-0.0016656+0.0013501i,-9.0862e-05+0.0010856i,-0.00066262+0.0013291i,-0.00043905+0.0014584i,-0.00049302+0.0018332i,-0.00040263+0.0017943i,0.00018349+0.0018383i,9.07e-05+0.0023411i,0.00018801+0.0015804i,0.0010506+0.00023858i,0.0012973-0.0003437i,0.00036614-0.0002306i,-0.00066292+1.4627e-05i,-0.00088967-0.00026i,-0.00087948-0.00031021i,-0.0010216-0.00020755i,-0.00023437-0.00061325i,0.00027945-0.00026881i,0.00037271+0.00064277i,0.00046939+0.00092184i,9.2736e-05+0.00049524i,-9.4678e-05-0.00026354i,0.00014969-0.00027967i
0.0004905+0.00073881i,0.00079488+0.0011952i,0.00077478+0.00032725i,0.00047208+0.00025154i,-0.0003628+0.00156i,-0.00053525+0.001534i,-0.00034295+0.00088678i,-0.00052709+0.0010068i,-0.00033334+0.0015684i,-1.7837e-05+0.0015718i,-5.2374e-05+0.00095723i,-0.0010407+0.00075979i,-0.0013001+0.00011792i,-0.00038436-2.6887e-05i,4.1836e-05+0.00028174i,-0.00023958-0.00041294i,-0.00043761-0.001244i,-0.00021015-0.0011918i,0.00076954-0.00063049i,0.0009493-0.00018127i,0.00057087+1.1211e-05i,-3.409e-06+0.00012434i,-7.8421e-05+0.00040919i
4.3732e-05-0.00044359i,-0.00024849-5.536e-05i,-0.00065703+0.0011214i,-0.00031295+0.0016227i,-0.00065642+0.001208i,-0.00053484+0.0012138i,0.00042929+0.0010546i,0.00073237+0.00039401i,1.8245e-05+0.00058047i,2.2783e-06+0.00080885i,3.1547e-05-0.00048657i,-0.00047725-0.00058696i,-0.00078206+0.00080979i,-0.00031073+0.00042246i,0.00033646+0.00019142i,0.00011744+0.00047097i,4.0826e-05+0.0011283i,0.00021098+0.00079485i,-0.00027669-8.3137e-05i,-0.00054696-0.00021736i,-0.00050745+0.00057163i,-0.00070795+0.00078182i,-0.00011448+0.00078947i
0.00011949+0.00060884i,0.00094001+0.00059274i,0.0015454+0.00010709i,0.0019303-0.00060167i,0.0022555-0.00021152i,0.001466+0.00031321i,0.00013558+0.00031874i,-0.00052306+0.00042329i,-0.00025302+0.00092296i,0.00073068+0.00077983i,0.00094026+0.00030499i,0.00035236+3.8452e-06i,-0.00085912-0.00015233i,-0.0014061-0.00015595i,-0.00066859-5.8002e-05i,0.00037964+0.00052274i,0.0011477+0.00086258i,0.00094404+0.00031044i,0.00053017-3.6389e-05i,0.00051481+0.0002747i,0.00075003-9.2828e-05i,0.00046528-0.00049432i,-0.00018499-5.4517e-05i
0.0010037-0.00065581i,0.00069428+0.00025968i,0.00079758-0.00027027i,0.00059242-0.00095985i,-0.00030872-7.5933e-05i,-0.0005607+0.0008237i,-0.00020874+0.0010626i,-0.00022976+0.0001437i,-0.00030909-0.0003927i,-7.2149e-05-0.00049818i,0.00045153-0.00069692i,0.00040465-0.00035875i,-7.1667e-05+7.706e-05i,-0.00027994+0.00062536i,0.00024703+0.00062646i,0.00029991+0.00014225i,-0.00012375-0.00011755i,-0.00028159-0.0003382i,-0.00045762-0.00062285i,-4.566e-05-2.5934e-05i,0.00048606+0.0004704i,0.00078683+0.00024637i,0.00074704-0.00038561i
0.00045163+0.00017371i,0.00098136+0.00096077i,0.0010918+0.0027694i,0.00053155+0.002353i,0.00083215+0.00012559i,0.00061194-0.00052421i,-0.00064543-0.00037937i,-0.0012004-0.00083972i,-0.0015107-0.00067255i,-0.0015869-0.00055692i,-0.00076676-0.00042461i,-0.00021586+0.00047497i,-9.2894e-05+0.00072033i,-0.00059972+0.0003284i,-0.00062712+0.00024518i,0.00016966+0.00013958i,-0.00034778-0.00020641i,-0.00051392+0.00020372i,-0.00050464+0.00067885i,-0.0002408+0.00080124i,0.00062096+0.00059656i,0.00042869+0.00010164i,-0.00028595-0.00068081i
0.0021301+0.001318i,0.0019374+0.00063898i,0.0015355-0.00024791i,0.0014751-0.00096574i,0.001358-0.0010115i,0.0012476-0.00046944i,0.00062115-0.0002511i,-0.00025028+0.00035726i,-4.602e-05+0.00051423i,-1.5814e-05-7.5461e-05i,-0.00027496-0.00061557i,0.00030608-0.0010267i,0.0004899-0.00066227i,-0.00045686+3.2031e-05i,-0.00090354+6.9276e-05i,-0.00029327+0.00031539i,0.00022514+0.00072023i,0.00022501+0.00022979i,-8.6451e-05-0.00073679i,5.4413e-05-0.00043544i,2.5431e-05-0.00036801i,-0.00053033-0.00023875i,-0.00053543+0.00065329i
-0.00067971+0.0012917i,-0.0011972+0.0016038i,-0.00095471+0.0011641i,-0.00080744+0.00028418i,-0.001085-0.00027654i,-0.0012865-1.0255e-05i,-0.0011634+0.0011435i,-0.000228+0.0011366i,0.00021883+0.0009397i,-5.3484e-05+0.00081335i,7.6623e-06+0.00041375i,0.00021202+0.00070117i,-0.00024924+0.0008113i,-0.00038411-0.00012207i,0.00037256-0.00026723i,0.00055908+0.00015118i,-3.3358e-05+0.00022942i,-0.00065085+0.00012584i,-0.0012422-2.0012e-05i,-0.00066811-1.9922e-05i,0.0002977+0.00015392i,-3.6071e-05+0.00031483i,-0.00044643+8.2859e-06i
0.0016164+0.0019156i,0.0010936+0.0010173i,0.0010918+0.00052603i,0.0015216-0.00073299i,0.001733-0.0017872i,0.0007936-0.00095518i,-0.00034284+0.00070729i,-0.00010353+0.00097723i,-0.00017127+0.00036346i,-0.0010091+0.00029496i,-0.0012887-0.00035228i,-0.0011587-0.00097719i,-0.00090361-0.00023424i,-0.00069746+0.0006821i,-0.00016564+0.00065448i,0.00064455+0.0004459i,0.00043776+0.00029863i,-0.00034124+0.00047764i,-0.00065576-5.7598e-05i,-0.00080075-0.00057347i,-0.00025497-0.00053653i,-7.2983e-06-0.00082379i,-0.0003258-0.0011429i
-0.00087823-0.00023103i,-0.0011373+0.00098479i,-0.00049962+0.001474i,7.8204e-06+0.0026167i,-4.5225e-05+0.0026819i,0.0014287+0.0019262i,0.0019376+0.00093959i,0.0014708+0.00054503i,0.00091504+0.00074277i,-0.00020086+0.00070011i,-0.00090612+0.0007142i,-0.00083744+0.00080193i,-0.00043339+0.00044044i,0.00034557-0.00031793i,0.00084066-0.00037211i,-0.00024813-0.00063337i,-0.0006813-0.00070543i,-0.00041524-0.00044084i,-0.00065681-5.6567e-05i,-0.00056024+0.00061841i,-0.00018408+0.0007404i,-0.00014836+0.00090869i,-0.00035938+0.00099234i
0.00025677+0.00030352i,0.00028291+0.00086236i,-0.00046911+0.0006391i,-0.001405+0.00041076i,-0.00096784+0.00023877i,-0.00041096+0.00081149i,-8.7081e-05+0.0009161i,0.00051968+0.00036371i,-5.8641e-05+0.00066564i,-0.00042714+0.0011135i,0.00035252+0.0011821i,0.00054751+0.0010038i,-0.00036655+0.00034591i,-0.00087253+0.00028608i,0.00015421+0.00061869i,0.00085143-0.00010413i,-2.664e-05-0.00052877i,-0.00059263+2.2e-07i,-0.00024753+0.00019892i,3.2838e-05-0.00046075i,-0.00022741-0.00025635i,-0.00039823+0.00036118i,8.9217e-05+0.00046657i
-0.0014291+0.00081731i,-0.0014101+0.00076932i,-0.00097489+0.00030729i,4.8472e-05+0.00045567i,0.00094425+0.0018387i,0.0016468+0.0020422i,0.00077747+0.0013333i,-0.00072804+0.0010315i,-0.001024+0.00043856i,-0.00069523-0.00034328i,0.00016509-1.1645e-05i,0.00096103+0.00055141i,0.00086838-8.2077e-05i,-0.00014065-0.00032292i,-0.0012215-0.00035269i,-0.0013497-0.0010865i,-0.00075742-0.00087148i,0.00026363+0.0002054i,0.00028598+0.00027282i,8.3944e-05-5.7573e-05i,-0.00023873+0.00049622i,-0.00052018+0.00086945i,-0.0006088+0.000622i
-7.4354e-05+0.0012369i,0.00019428+0.0015854i,0.00094107+0.0013624i,0.0016686+0.00074485i,0.00088779-0.00010637i,-0.0003857-0.00093574i,-0.00087095-0.00092675i,-0.00058873-0.00012837i,-0.00061342+0.0007347i,-0.00026849+0.0010166i,0.00011566+0.00062086i,-0.0001739+8.4615e-05i,9.1339e-05+0.00014402i,-7.712e-05+0.00046981i,-0.00031993+0.00074044i,-0.00013019+0.00068706i,-0.00012143+0.00093091i,0.00018324+0.0011001i,0.00038509+0.00073541i,0.00032827+0.00044053i,0.00055183+0.00016171i,-0.00026134+3.4559e-06i,-0.00023385-0.00045634i
0.00062246+0.0010511i,0.0012947+0.00076223i,0.0016861+7.6624e-05i,0.0013519+0.00048668i,0.0013468+0.00048573i,0.0015188+0.00060916i,0.00096223+0.0011773i,-1.9406e-05+0.00084829i,-0.00049748+0.00071129i,-0.00071842+0.00049557i,-0.00072364+5.1884e-05i,-0.0007905+0.00014389i,-0.00060686+0.00042849i,-0.00019325+0.00039215i,0.00040741+0.00039002i,0.0006246+0.00094132i,0.00041129+0.00062082i,0.00016063+3.6756e-05i,-8.5064e-05-0.0004249i,0.00038339-0.00073191i,0.00030772-3.375e-05i,-7.2114e-06+5.4541e-05i,7.0311e-05-0.00035523i
-0.00073011+0.0017775i,-0.00087049+0.0017506i,0.00028188+0.0019235i,0.0010877+0.0016454i,0.00023129+0.00056944i,-0.00038663-0.00045128i,-0.00022281-0.00055117i,-0.00011282-0.00098468i,-0.00025291-0.00061393i,-0.00070421+0.00038944i,-0.00061525+0.00074172i,-0.0008128+0.00078221i,-0.00049675+0.00078125i,-0.00013697+0.00075403i,-0.00035297+0.00028556i,-0.00011119+0.00021153i,-2.1713e-05+0.00086354i,0.00013044+0.00014593i,0.00075139-0.0011325i,0.0001247-0.0011981i,-0.00046413-0.0010112i,-0.00033105-0.00093443i,-0.00054426-0.00071227i
0.0016229+7.4965e-05i,0.0017253-0.00020271i,0.0020946-0.00065023i,0.0019459-0.00066714i,0.0016744-0.00012326i,0.00036435+4.4527e-05i,-0.00070294-0.00038375i,-0.00021017-0.00034247i,0.00060037+0.00024068i,0.00076497+0.00028497i,0.00031351+0.00042047i,-0.00043906+8.0151e-05i,-0.00034981-0.00051362i,-0.0002119-0.00076176i,-0.00047077-0.00040868i,-0.00042884+0.00042593i,-0.00047962+0.00068469i,-0.00053046+0.0013564i,-0.00092642+0.0017777i,-0.0010335+0.00099601i,-0.00035761-0.00013431i,-0.00041467-1.0539e-05i,-0.00023404+2.1021e-05i
1.6391e-05+0.0020425i,0.00037771+0.0020619i,0.0009613+0.002815i,0.00084439+0.0025961i,0.0015818+0.001713i,0.0017357+0.00070661i,-4.9968e-05+0.00043052i,-0.0013378+0.00066535i,-0.0010918+0.00035063i,6.0943e-06+0.00068687i,0.00030054+0.00067482i,-0.00020914+0.00011297i,-0.00043635+0.00049227i,-0.00018423+0.00019375i,0.00063977-7.1452e-05i,0.00035118+0.00074491i,-0.00089861+0.00067704i,-0.00044692+2.6741e-05i,9.8815e-05-0.00048089i,8.1688e-05-0.00055491i,4.369e-05-0.00013243i,-0.00068+0.00010608i,-0.00043324+0.00018411i
4.2665e-05-0.00055938i,0.00059451+0.00029991i,0.00057311+0.00014065i,0.00080045-0.00051113i,0.00092324-0.00030584i,0.0015531+0.0004499i,0.0016865+0.0010818i,0.00047957+0.00099256i,-0.00049307+0.00024824i,-0.00020861-6.5272e-05i,-0.00036351+0.00034502i,-0.00061566+0.00020658i,-0.00077148-0.00042238i,-0.00020889-0.00017101i,0.00019347+0.00011265i,-0.00051337-0.00021786i,-0.0010374-0.00044704i,-0.00098825-0.00068846i,4.9676e-05-0.0011837i,0.00025467-0.0008871i,-0.00034702-0.00039593i,2.0961e-05-2.3636e-06i,0.00039099+0.00049868i
-3.561e-05+0.0011027i,0.00026127+0.0020997i,0.0012274+0.0014667i,0.0016086+0.00012557i,0.0010645-0.00040348i,7.3264e-05-0.00044406i,-0.00022831+0.000315i,3.3453e-05+0.00087831i,0.00028189+0.00052808i,-0.00043195+0.00090182i,-0.0013771+0.00071568i,-0.00065452-0.00058374i,0.00031753-0.0011131i,-0.00016073-0.00067229i,-0.00044607+0.00040297i,-0.00088053+0.00061847i,-0.0009709+0.00047766i,-0.00044548+0.00014758i,-0.00079749-0.00042919i,-0.00042894-0.00029441i,-8.8478e-05-0.00028768i,0.00034507-4.4231e-05i,0.00065831-2.9762e-05i
-0.00017193+0.00052774i,8.7798e-05+0.0016181i,0.00059351+0.0025474i,0.0011757+0.0023364i,0.0010123+0.0017755i,0.001129+0.0011013i,0.0010593+0.00043686i,0.00012192+9.847e-05i,-0.00091793+0.0005821i,-0.00094642+0.00056726i,-0.00014199+0.00077539i,0.00045313+0.0012011i,0.00050674+0.00043i,-0.00012156-0.00033502i,0.00010414-0.0012526i,-0.00016677-0.0014229i,-0.00053491-0.00062723i,-6.9925e-05+0.00033529i,0.0010442+0.00073825i,0.0012755+0.0006954i,0.00014493+0.00046749i,-0.00044794+0.00047018i,-0.00053449-6.9024e-05i
-0.00026435-0.00093608i,-0.00059006-0.00033057i,-0.0004066-5.5243e-05i,-0.0010228-5.3267e-05i,-0.0013418+0.00021972i,-0.0012141-2.389e-05i,-8.3759e-05-0.00053851i,0.00074416-0.00046977i,-0.00025984+0.00037041i,-0.0013798+0.0010777i,-0.0013959+0.00073178i,-0.00069887+0.00023886i,-0.00035445-0.00015194i,-0.00014329-0.00085261i,-0.00019537-0.0010775i,-0.00020375-0.00022769i,-0.00051489-0.00048473i,-0.00078142-0.0012656i,-0.00054725-0.00094604i,-8.9746e-05-0.00053011i,-0.00056112-0.00025761i,-0.00079222+0.00039337i,-0.00017726+0.00023282i
0.00066323-0.00020378i,0.00031803+0.00046376i,0.00016329-0.00036087i,0.00019175-3.6902e-05i,0.00015014+0.00040096i,0.00051484+0.0010243i,0.00032118+0.0012102i,0.00041622+0.00055911i,-0.00032208-0.00022789i,-0.00082384-0.00056301i,-0.00038068-0.00049433i,-9.711e-05-0.00054819i,0.00016056-0.00031359i,-9.8802e-05-0.00024254i,-0.00047195+0.00013666i,-0.00063369+0.0006785i,-0.00079849+4.7742e-05i,-0.00045706-0.00041803i,-8.6813e-05-0.00011513i,-3.2789e-05+0.00022161i,-9.8043e-05+3.5864e-05i,-0.00051913-0.00031741i,-0.00030289+0.0002941i
-0.00030359+0.00075284i,0.00029029+0.0021992i,0.00011643+0.0028717i,0.00040218+0.0016623i,0.00031936+0.0001911i,-0.00029684-0.00016185i,-0.00021404-0.00038995i,0.00021546+7.8857e-05i,-0.00021162+0.00015219i,-0.00048325-0.00038697i,-0.0004102-0.00031624i,-0.00036252-0.00018868i,-0.00011724+5.674e-06i,-0.00023017+0.00037601i,1.1823e-06+0.00022537i,0.00044245+0.000164i,0.00042726-9.3602e-05i,0.00017337-0.00040581i,0.00021508+0.00023373i,0.00025089+0.00082251i,0.0011569+0.00041774i,0.0018471-6.1262e-05i,0.0011233+0.0003937i
0.0010581+0.00055415i,0.00073376+0.00058683i,-0.00093778+0.00043029i,-0.00076237-0.00059639i,3.3547e-05-0.00021636i,0.00022436+0.00078343i,0.00031432+0.00099254i,2.5054e-05+0.00061485i,-0.00059794+0.00015043i,-0.0015485+0.00042968i,-0.0014801-0.00010026i,1.0991e-06-0.00088228i,0.00071736-0.00053727i,0.00082996-0.00087973i,0.0005406-0.00094311i,-0.00045125-0.00028267i,-0.00045467-7.9852e-05i,0.0001504-0.00034758i,-1.7949e-07-0.00022594i,-0.00024808+0.00027786i,-5.3065e-05+0.00019324i,0.00033002+8.5601e-06i,0.00022084+5.8921e-05i
0.00078968+0.002101i,0.00087424+0.0022991i,0.0019659+0.0022448i,0.0020528+0.00081889i,0.0016094-0.0010757i,0.0006289-0.0012269i,0.00033391-0.00056794i,0.0003353+0.00031192i,-0.00025009+0.00071687i,4.8814e-05+0.00013748i,0.00029946+0.00044014i,-0.0002416+0.00041288i,-0.00022605-9.156e-05i,-0.00034027-1.7023e-05i,-0.00032583+0.00013404i,0.00055976+0.00030951i,0.00037623-2.5547e-05i,5.2945e-05-0.00056262i,0.000551-0.00024315i,0.0010228+0.00043243i,0.0013649+0.00090477i,0.00065374+0.00026113i,-0.00053837-3.866e-05i
8.9162e-05-0.00044777i,-0.00065171+0.00033535i,-0.0010706+0.0015892i,-0.001006+0.0018774i,-0.0011565+0.0013777i,-0.0011461+0.0013713i,-0.00039369+0.0013546i,-0.00022324+0.0010376i,-0.000734+0.00068595i,-0.00099926+0.00018287i,-0.00012072+0.00038595i,-0.00018406+0.00027497i,-0.00060631-0.00044837i,-0.0010039-0.00020787i,-0.00097007+0.00043676i,-0.00032457+0.00036035i,0.00041869-0.00035523i,-2.1777e-05-0.00045403i,-0.00031879+0.00097137i,0.00021034+0.00098374i,7.4322e-05-0.00063146i,-0.00072228-0.00051507i,-0.0011723+0.00043637i
-0.00092271+0.0005192i,0.00015547+0.0011204i,0.00084033+0.0014747i,0.00082853+0.0018102i,0.0013119+0.0020289i,0.0014153+0.00033773i,0.0006-0.0013285i,2.6963e-06-0.00075982i,-0.00049529-0.00013424i,-0.00073826+3.898e-05i,-0.00046781+0.00036758i,-0.00037963+0.00038444i,-0.00054231+0.0001951i,-0.0004875+0.00035808i,-0.00026642-0.00032433i,-0.00036517-0.00099981i,-0.00024259-0.00066774i,0.00032982+3.4786e-05i,0.0010035+0.00032845i,0.0013144+0.00048376i,0.00074487+0.00088259i,-0.00028318+0.00074596i,-0.00032469+0.0010068i
0.00025662-0.00047785i,6.1178e-05-0.000386i,-0.00077543+6.7661e-05i,-0.00087203+0.00067937i,-0.00034871+0.00044944i,4.9887e-05+0.0012586i,-3.9052e-05+0.0020598i,-0.00071456+0.0015411i,-0.00071138+0.0011033i,-0.00049205+0.00062416i,-0.00018979-2.0933e-05i,0.00043807-0.0001201i,-0.00021708+0.00037873i,5.1362e-05+0.00052717i,0.00074816+0.00030875i,0.00063807+0.00024512i,0.00036035+0.00027178i,6.2256e-05+0.00013552i,-0.00029144+0.00022745i,-0.00042866-8.1133e-05i,6.3004e-05-0.00051166i,-0.00032034-0.00034121i,-0.00095199+0.00021552i
-0.00038433+0.0024569i,-0.00043195+0.0032957i,-0.00094956+0.0042567i,4.6525e-05+0.0030077i,0.001394+0.0014062i,0.001975-9.9926e-05i,0.0017533-0.00066451i,0.00024629-5.0706e-06i,-0.00019275+0.00014368i,0.0013255+5.5202e-05i,0.0018029-0.00054506i,0.00080608-0.00076061i,0.00023594-0.00070912i,5.8301e-05-0.00099597i,-0.00023788-0.00082696i,2.7151e-05-0.00046834i,0.0005118-0.0011276i,0.00017143-0.0015163i,0.00018989-0.00047197i,-9.0599e-06-0.0003534i,-1.062e-05-0.00034468i,0.00048928+0.00052414i,0.00020199+0.0010777i
0.0020219+8.5489e-05i,0.0025128-0.0019644i,0.0034832-0.0023922i,0.0026688-0.0016448i,0.0013411-0.0011005i,-0.00011856-0.00072705i,-0.00075961-0.0004826i,-0.00068503+0.00036257i,-0.0007245+0.0010379i,-0.00077971+0.00023399i,-0.00091281-0.00032968i,-0.00061483-4.1735e-05i,-0.0003773+0.00039391i,-0.00072375+0.00074182i,-0.0009872-1.1529e-05i,-0.00028339-0.00048667i,0.00016016-0.00040403i,0.00025667-0.00060527i,0.00049747-9.1646e-05i,0.00031094+0.00027308i,-4.7906e-05+0.0003159i,-0.00043753-8.6477e-05i,-0.0006731-0.0003906i
0.00024818+0.00060509i,-0.00014164+0.00096413i,1.9017e-05+0.0011771i,0.00029122+0.00043201i,5.2152e-05-0.00024887i,-0.00051788+0.00060906i,-0.00056659+0.0010224i,-0.00058914+0.00045721i,-0.00070245+0.00033602i,4.9941e-05+0.00050627i,0.00059267+0.00051372i,0.00032216+0.00020396i,4.7768e-05-0.00040108i,-4.8349e-05-0.00044606i,0.00013871-0.00034167i,0.00051307-0.00011236i,0.00012656-0.00048655i,-0.00023844-0.00049419i,-4.8258e-05+0.00049558i,-0.00057074+0.00048621i,-0.00091161+0.00016362i,-0.00064241+7.1501e-05i,-0.00090234-8.9456e-05i
-0.00064942-0.0011285i,-0.0013212-0.00071847i,-0.0009996+0.00011308i,-0.00025711+0.00085748i,0.00013625+0.00098655i,0.0007355+0.00017002i,0.00081096+1.7406e-05i,0.00017423+0.00047852i,-0.00012027+0.00056349i,-1.4509e-05+0.00083296i,-0.00013395+0.00062658i,-7.5666e-05+0.00048634i,0.00047889+0.00079667i,0.0012628+0.00068668i,0.0013086+0.00043545i,0.00098655+0.00049996i,0.00048114+0.00061685i,-3.3541e-05+5.9546e-05i,0.00028435-0.00035784i,0.00028967+0.00031102i,-0.00064488+0.00066426i,-0.00081969+1.0928e-05i,-0.00063345-0.00044799i
0.00080083+0.0013154i,0.0022514+0.0020829i,0.0029633+0.0026518i,0.0021159+0.001954i,0.0013208+0.001053i,0.0010177+0.00044058i,0.00020165+0.00042393i,-0.00076418+0.00046444i,-0.00074682-0.00034518i,0.00045873-0.00065604i,0.0011264-0.00064452i,0.00092928-0.00064124i,0.00024436-0.00049893i,-0.00051302-5.0949e-05i,-0.00017297+0.0011756i,0.00024813+0.0014693i,-0.00021777+0.00047707i,-0.00040261-3.406e-05i,-0.00046441-0.00011705i,-0.00054553-1.1013e-05i,-0.00065267-4.1596e-05i,-0.00070678-0.000723i,-0.00019396-0.00075521i
0.0015656+3.4402e-05i,0.0002085+0.00059065i,-0.00065223+0.00041723i,-0.00047754-0.00070755i,-5.4872e-05-5.0123e-05i,-0.00034873+0.0004397i,-0.0009805+0.00035216i,-0.00069628+0.00065825i,-2.4054e-05+0.00078527i,-2.3541e-05+0.00029225i,-0.00013182-0.0009341i,0.00034498-0.0013105i,0.00069867-0.0003992i,0.00084501+0.00023304i,0.0003437-0.00027531i,0.00021342-0.00032401i,0.00020702+0.00094077i,-5.4446e-05+0.00089654i,0.00021686-4.2625e-05i,-0.00024939-1.3948e-05i,-0.00084518-0.00048031i,-0.00057529-0.00068791i,6.9778e-05-0.00051816i
-0.0013853+0.00064065i,-0.0015317+0.0015849i,-0.00074808+0.0027075i,0.0004206+0.0029297i,0.00086242+0.0017271i,0.0017967+0.001605i,0.001498+0.0012043i,-0.00044292+0.00028798i,-0.00041665-0.00033895i,0.0011196-6.779e-05i,0.001335+0.0010268i,0.00068071+0.00089593i,-2.3449e-05+0.00049797i,-0.00060045+0.00035338i,-0.00048015+0.00025984i,-7.132e-05-0.00025381i,0.00022582-0.00057518i,0.00050054+0.00029699i,0.00042328+0.00040554i,0.00028786+8.3949e-05i,0.00036118-0.00014301i,0.00068522-0.00015191i,0.00048378+0.0002802i
-0.00067061-0.0002432i,0.00061216+0.00098384i,0.0010767+0.0016126i,6.9501e-05+0.0012864i,-8.7465e-05+0.0014931i,0.00013354+0.00083272i,-0.00017153+0.00091665i,0.00022693+0.00089556i,0.00083981+0.00010352i,0.0006135-0.00037679i,0.00011838+1.2769e-05i,5.7139e-05+0.00012905i,-0.00028299+4.4001e-05i,-0.00050117+0.00044459i,-0.00019386+0.00083477i,-0.00029387+0.00079875i,-0.00028354+0.00011344i,-0.00014389-4.7843e-05i,-3.0577e-05+0.00011608i,0.00056798+8.061e-05i,0.00053619+0.00027634i,-0.00036438+0.00042279i,-0.00065875+0.00040688i
-0.00078798+0.00029629i,-0.00059321+0.00087408i,-7.7598e-05+0.0022218i,0.00022741+0.0035819i,-0.00040723+0.0035355i,-0.00065122+0.0022035i,-0.00024805+0.0011036i,0.00054048+0.00073277i,0.00040984+0.00082701i,-0.00025394+0.00061887i,-0.00020203+0.00011821i,7.4693e-05-0.00021075i,-0.00043365-0.0003311i,-0.001548-0.00062319i,-0.0011833-0.00048048i,-5.8896e-05-0.00051034i,7.9051e-05-0.0004688i,-0.00017775+7.7726e-05i,-0.00022984+0.00023208i,-0.00046314-0.00018571i,0.00016231-0.0005205i,0.0002907-0.00051141i,-0.00040461-0.00014988i
-0.00061406+0.00044111i,0.00079119+0.00029494i,0.0024982+0.0016607i,0.0031015+0.0016805i,0.0027879+0.001785i,0.001651+0.0017879i,0.0013255+0.0022006i,0.0015462+0.0025632i,0.0022241+0.002225i,0.0027591+0.0014862i,0.0024095-0.00041895i,0.0014964-0.0020711i,0.00048346-0.0019905i,-4.5996e-05+5.6248e-05i,-0.00032203+0.0011348i,-0.0003753+0.00051023i,-0.00011066+0.0011133i,0.00043775+0.0014756i,0.00064457+0.00045478i,0.00021827-4.7113e-05i,-3.3494e-05-0.00010295i,0.00017615-0.00023634i,-0.00037705-0.00055779i
0.0018542-0.0016936i,0.00036574-0.0010518i,-0.0011691-0.0029781i,-0.0011588-0.0035637i,-0.0007582-0.0023438i,-0.0010959-0.0017153i,-0.0013124-0.0015855i,-0.0019495-0.0020928i,-0.0028921-0.0019488i,-0.0030783-0.00043716i,-0.0027584+0.00084344i,-0.0013721+0.00079648i,-0.00044534+0.00095686i,1.2373e-05+0.00092495i,4.7513e-05+0.00033348i,-0.00012605+0.00011343i,-6.1551e-05+0.00024336i,-0.00016523+0.0001255i,-0.0003519+0.00067869i,-0.00031839+0.00025383i,0.00047377-0.0004305i,0.00079141+1.6354e-05i,0.00031183+0.00073552i
0.00045167+0.0011855i,0.0020477+0.0013052i,0.003168+0.001184i,0.0023944+0.00046551i,0.0015944-0.00081833i,0.00078456-0.0004796i,0.00027535-0.0008707i,0.0007911-0.0018067i,6.3496e-05-0.0010586i,-0.00091501-0.00074216i,-0.00048013-0.00072489i,-0.00011338-6.662e-05i,-1.6723e-05+0.00027488i,-0.00049024+0.0006349i,-0.00038498+0.00065666i,0.00017065+0.00017429i,0.0005345-0.00013929i,0.00064144-0.0003047i,3.7673e-05+0.0001294i,-0.00055337+0.00047833i,-0.00019016+0.00046014i,7.4825e-05+0.00078827i,0.00037139+0.00018002i
0.00028858-0.00015488i,0.00031767+0.00042371i,-0.00072638-0.00046758i,-0.00090558-0.00039556i,-0.00076059+0.00051662i,-0.00061059+0.00084265i,0.00028395+0.00055138i,0.00036879+0.00093973i,-0.00058733+0.0010328i,-0.0011938+0.000382i,-0.0012088-5.6147e-05i,-0.00095972-7.9719e-05i,-0.0010023-0.00027472i,-0.0010152-0.00072717i,-0.00042329-0.00097194i,-1.0715e-05-0.0004241i,0.00036127-0.00051771i,0.00027908-0.00098695i,-8.0486e-05-0.00068728i,0.00037893-3.6613e-05i,0.00060665+0.000419i,0.001191+0.00086326i,0.0011148+0.00065352i
-0.00058251+0.00087517i,-0.00050668+0.00052098i,0.00028569+0.00035183i,0.00043379+9.4126e-05i,0.0010472-0.00050788i,0.0012962-0.0010703i,0.0013366-0.00087691i,0.00068855-0.00035378i,-0.00035593-0.00040611i,-0.0010442-0.0010226i,-0.0010216-0.001108i,-0.00094064-0.00065276i,-5.5202e-05-0.00054881i,0.00045419+0.00010308i,-0.00034161+0.00093872i,-0.0003167+0.0001672i,0.00048027-0.00051176i,0.00022428-0.00071536i,-0.00045436-0.00097045i,-0.00035519-0.0005184i,-0.00066867+0.0002454i,-0.00043508+0.00029837i,0.00070449-0.00010842i
0.00073077+0.00097555i,0.0015575+0.00097269i,0.00077397+0.00080929i,-0.0010855+0.0010528i,-0.0010817+0.00080424i,-0.000365-0.00015422i,0.00010539-0.00020867i,-0.00021645-0.00026288i,-0.0014422+0.00037565i,-0.0020401+0.00031527i,-0.0012861-0.00021555i,0.00026973+0.00047807i,0.0005227+0.0010358i,-0.00017935+0.00021152i,-0.00012114-0.0005143i,0.00034766-0.00089371i,0.00082679-0.001396i,0.00069297-0.0013455i,-7.3441e-05-6.8906e-05i,-0.0005301+0.00056653i,-0.00057832+9.9135e-05i,-0.00015032-7.0388e-05i,-0.00017715-0.0003816i
