0.0011123-0.00079483i,0.00083912-0.0019356i,-2.1499e-05-0.0033936i,-0.0002778-0.0034572i,-0.00087343-0.0022236i,-0.0011394+0.00011565i,-0.00027617+0.001173i,0.00077678+0.0011887i,0.0013299+0.00064661i,0.0015393-0.00072285i,0.00063154-0.00080106i,-0.00048482-0.00072971i,-0.00018235-0.00049044i,-9.114e-05-4.7738e-05i,-0.0010282+0.00017547i,-0.0015539+0.00037477i,-0.00075576+1.6037e-05i,2.218e-05+0.00038602i,-0.0001615+0.00096401i,-0.00024899+0.0006166i,-0.00026907-0.00029484i,-0.0010289-0.00091236i,-0.00094164-0.0003435i
-0.00115+0.00014225i,-0.00056461+0.00015546i,0.00023612+0.001288i,0.00045188+0.0018825i,0.00070641+0.0022774i,0.0018073+0.002293i,0.0021274+0.0012581i,0.0015513+0.0011033i,0.00152+0.0013674i,0.0013553+0.00036418i,0.00039053-0.00046365i,0.00026706-0.00032398i,0.00090973-0.00020375i,0.0011475-0.00037522i,0.00034664-0.00017189i,-0.00014974+8.0386e-05i,-0.00074424+0.00023097i,-0.0010894+2.1665e-05i,-0.00054723-0.00049985i,9.3102e-06-0.00044243i,7.1268e-05-0.0002091i,-1.9003e-06-0.00046702i,0.00018127+0.00022521i
0.00079944+0.0015938i,0.0023481+0.0010936i,0.0031514-0.00030484i,0.0032664-0.00087999i,0.0027948-0.00026285i,0.0017714-0.0010506i,0.0016047-0.0015522i,0.0015179-0.0003639i,0.0012396+0.00044518i,0.0009567+3.8573e-05i,0.00074562-0.0005181i,-3.3099e-05-0.00015139i,-0.0014151+0.00036045i,-0.0014462+0.00034772i,-0.00051486+0.00030429i,-0.00053863+0.00046396i,-0.0005702+0.00022315i,-0.00024553+0.00019209i,0.00077049+2.8644e-05i,0.0012382+2.5132e-05i,0.0010026-3.7057e-05i,0.00086597-0.00018803i,0.0010146-0.00021103i
0.0010774+0.00081324i,0.00084724+0.00030223i,0.0011986+0.00071336i,0.0020412+0.0012061i,0.0023537+0.0012891i,0.0022797+0.00017424i,0.00153-0.00028537i,0.00074114+3.2641e-05i,0.0011138-0.00029063i,0.00085923-0.00040643i,-1.2964e-05-0.00066983i,-3.5228e-05-0.00040465i,0.00069162+0.00026805i,0.00070403+0.00020572i,-0.00035736-0.00050327i,-0.00036639-0.0006914i,0.0005729-0.00048285i,0.00046183-0.00014615i,6.8309e-05+0.00035568i,-0.00012031+0.0004187i,-0.00098496-0.00038206i,-0.00046205-0.00040644i,0.00034135+9.7464e-05i
-0.00058337+0.00073243i,0.00047139+0.00062613i,0.00021699-0.0012629i,0.00027709-0.0013099i,0.00072004+0.00075123i,0.0011861+0.0015119i,0.001153+0.00091207i,0.00032403+0.00025151i,0.00039992-6.9743e-05i,0.0010479-0.00031487i,0.0010181-0.00091605i,0.00095644-0.00091326i,0.00070745+7.6953e-05i,0.00036333+0.00084069i,0.0001925+0.00045541i,0.00031318+0.00018913i,6.2911e-05+0.00032048i,-0.00054465+0.00033551i,-0.00076106+0.000879i,9.078e-05+0.00068261i,0.00090595+0.00037875i,0.00077332+0.00044269i,0.00033353-0.00025386i
0.0008805-0.0014684i,0.0019261-0.0014574i,0.0014719-0.0019283i,-0.00010464-0.0024807i,-0.00061377-0.0010501i,0.00029292+0.00064111i,0.0013375+3.9027e-05i,0.0014078-0.00032156i,0.001786-0.00015888i,0.0011289-0.00072367i,0.00015448-7.0026e-05i,0.0006504+0.00069818i,0.0015764-0.00040586i,0.0014529-0.0011851i,0.0011886-0.00090899i,0.00084865-0.00075646i,5.5821e-06-0.00011689i,-0.00024207+0.00096666i,0.00061213+0.001466i,0.0006013+0.0010164i,-4.9912e-05+0.00043571i,-0.00015646+0.00053541i,0.00034049+0.00072317i
-1.7198e-05-0.0011745i,-0.00057561-0.00088113i,0.00040111-0.00063269i,0.0016721-0.00046613i,0.0012238+3.2891e-06i,0.00095212+1.9506e-05i,0.0019482-0.00012903i,0.0020018-0.00038378i,0.00067496-0.00051704i,-8.1466e-05-0.00047175i,0.00019355-0.00030986i,0.00063235+0.00013127i,0.00083816+0.0001046i,-8.6951e-05-0.00030263i,-0.00085556-0.00025459i,-0.00068074-0.0002946i,-0.0002334-0.00019188i,-0.00045829+0.00013483i,5.218e-05-0.00020968i,0.00067986-0.00023152i,1.3768e-06+0.00079282i,0.0003773+0.0011572i,0.00077164+0.00064877i
-0.0015399-0.00049746i,-9.4715e-05+0.00030921i,0.00021928-0.00028819i,-0.00020747-0.00013038i,-0.00033426+0.0014047i,0.00034465+0.001534i,0.0009205-0.00034844i,0.00070461-0.001272i,0.00028025-0.00058786i,0.00013432-0.00014374i,0.00086036+4.7232e-05i,0.001531+0.00016708i,0.001597-0.00028475i,0.001018-0.00092274i,4.6698e-05-0.0010799i,-0.00038662-0.00053684i,-0.00046964+0.00017877i,-0.00016924+4.3833e-05i,5.5243e-05-0.00022024i,0.0002095+0.00019323i,0.0005809+0.00050786i,0.00072718+0.00097425i,0.0002953+0.0010345i
-1.3071e-05+0.00020814i,-0.00016915+0.00030473i,-0.00072394+0.00049919i,-0.0002572+0.00068335i,-0.00011859+0.00094473i,-0.00064109+0.00036214i,-0.0005584-0.00013989i,7.2037e-06+0.0005254i,0.0010685+0.0010975i,0.0015893+0.00085762i,0.00087396+0.00053882i,-0.00024567+0.0002895i,-0.00062136-0.00042207i,-6.7358e-05-0.0001786i,0.00070317+0.00034569i,0.00035815+0.00042059i,0.00035641+0.00016025i,0.00092761-0.00013345i,0.00056957+3.7396e-05i,0.00070293+0.00022782i,0.00065543+0.00064546i,0.00070652+0.00062298i,0.00084097-9.4368e-06i
0.00052786+0.001923i,0.0016866+0.0015014i,0.0035162+0.0014288i,0.0038766+0.0026157i,0.0028645+0.0023266i,0.0020903+0.0015774i,0.0016432+0.0007131i,0.00059339-0.00075017i,0.00023297-0.00050464i,0.00078939-0.00014255i,0.00064957-0.00087606i,0.00024702-0.00051459i,-2.1075e-05+0.00067447i,-1.2006e-05+0.00084328i,0.00059753+0.00042106i,0.00073767-0.00037909i,0.0010926-0.00072489i,0.00084546-0.00066593i,-0.00043806-4.6935e-05i,-0.00023367+8.7415e-05i,3.8913e-05-0.00013438i,0.00044018-0.00028838i,2.747e-05+0.00019272i
0.00030822+0.00022993i,0.00026661+0.000767i,-0.00017611+0.00082815i,-0.00017382+0.00012267i,-0.00016165-0.00031416i,0.00089595+7.4117e-05i,0.0014423+6.9685e-05i,0.00067591-0.00013785i,0.00060663-0.00037559i,0.00078986-0.00059151i,0.00086357-0.00095366i,0.0011014-0.00062584i,0.0011053-0.00025855i,0.00083335-0.00049429i,-7.943e-06-0.00019786i,-0.00065227-0.00041753i,-0.00076394-0.00089423i,-0.00066192-0.00030467i,-0.0011417+0.00027104i,-0.00072114-0.00080958i,0.0002684-0.0012821i,0.00018372-0.00020851i,-0.0001125+0.00031308i
0.0030889-0.0010598i,0.002518-0.0021664i,0.0023265-0.0033252i,0.0013999-0.0031586i,0.00048711-0.0015973i,0.00060814+0.0006066i,0.0010227+0.00078035i,0.00078077-0.00026596i,0.00033728-0.00039566i,0.00052409-0.0012424i,0.00056845-0.0010511i,0.00076219+0.00043273i,0.00079199+0.00032532i,0.00058456-0.00075664i,0.00049378-0.00042745i,-0.00017637+0.00069776i,-0.00069385+0.0010535i,-0.00055672+0.00078547i,-0.0001086+0.0010088i,-0.00077917+0.0010629i,-0.001004-0.00023362i,-0.00045027-0.00064428i,-0.00062573-6.0666e-06i
0.0021603+0.0014745i,0.0019431+0.0020181i,0.0016075+0.0018373i,0.00085705-0.00029867i,0.00075569-0.0022191i,0.0012738-0.0017993i,0.0016203-0.00050062i,0.0014537+0.00020759i,0.0012124+0.00082285i,0.0012814+0.00034366i,0.0011057-0.00069072i,0.00053718-0.00134i,0.00021742-0.00022756i,-0.00058377+0.00098501i,-0.0012688+0.0014579i,-0.00086211+0.0010882i,0.00018283-5.9494e-05i,0.00045702-0.0010365i,0.00032753-0.00096587i,0.00068007-0.00034327i,0.00052941+0.00020397i,-0.00014252+0.0002718i,-0.00027294+3.7359e-05i
0.0014235+0.00034307i,0.002471-2.1528e-05i,0.0019487-0.00048448i,0.00077025-0.00070658i,0.0012265+0.00076782i,0.0011918+0.0016572i,0.00091316+0.00078372i,0.00037882+0.00047945i,-3.4202e-05+0.00064703i,-0.00015974+0.00029934i,0.00017262-0.00050005i,0.00013845-0.00076987i,-0.00046058-0.00077399i,-0.00039204-0.0008916i,0.0010258-0.00010146i,0.0013179+0.00017205i,0.00041731-0.00011499i,0.0002268-0.00028855i,0.00047117+5.7381e-05i,0.00049778+0.0010143i,0.00048179+0.0017078i,0.00054372+0.002048i,0.00071361+0.00099442i
0.00028382-0.00020902i,0.00071658-0.00069594i,0.0019096-1.0982e-05i,0.002284-0.0005503i,0.0012123-0.00099821i,0.00043332+0.00015134i,-2.741e-05+0.00046252i,-0.00029291+0.00023461i,0.00053345+6.2506e-05i,0.0011203-0.00036206i,0.00048407+0.0004722i,-0.00082957+0.0017083i,-0.0011365+0.0017279i,-0.00054658+0.00091118i,-0.00025214+9.9378e-05i,-0.0006549-5.9856e-05i,-0.001131-0.00046064i,-0.00038882-0.00076456i,2.4062e-06+0.00011118i,0.00012742+0.00043309i,9.1237e-05+8.6899e-06i,0.00011689-0.00035166i,7.9199e-05-0.00017498i
-0.0013888-0.0014407i,-0.0015257-0.00065914i,-0.0019274-0.00087534i,-0.0020155-0.00075592i,-0.00098891+0.00033729i,0.00020103+0.0012836i,0.001112+0.00084744i,0.0011021+0.00082984i,0.00035615+0.00072303i,0.00049472-0.00026507i,0.00084806-0.00043701i,0.00094897+0.00026895i,0.0011904+0.00076223i,0.001346+0.00030275i,0.001063-8.3249e-05i,-8.7585e-06-0.00026519i,-0.0011365-0.00075225i,-0.0011524-0.00020607i,-0.00089648+0.0001755i,-5.3269e-05-0.00016181i,0.00059014-0.00025221i,0.00078074+4.482e-05i,0.00084039+3.7549e-05i
0.0034641+0.00080919i,0.0030793-7.2001e-06i,0.0024382-0.0019823i,0.0017751-0.0025028i,0.0014227-0.0019621i,0.00063558-0.0015428i,0.00011728-0.00026019i,-0.00036685+0.00020717i,-0.0004169-0.00023709i,0.00082279-0.00036153i,0.0013662-0.00069143i,0.00051185-0.0011199i,0.00020662-0.00081675i,0.00016198-0.000631i,-8.3203e-05+0.00037764i,-0.00013601+0.0012838i,-0.0005391+0.0010524i,-0.00044692+0.00089353i,-0.00032488+0.00023448i,-0.00071461-0.00010285i,-8.5426e-05+6.9225e-05i,0.00044005+0.0004208i,0.00064503+0.00053426i
0.0018827-0.0019092i,0.001419-0.0017823i,0.001077-0.0018347i,0.00098375-0.0025417i,0.00018478-0.0013844i,1.8055e-05+0.00058848i,0.00080667+0.00043788i,0.00074134-0.0013022i,0.00050709-0.0012035i,6.9445e-05-0.00066374i,-0.00035584-0.00079247i,-5.0405e-05-0.00033804i,-7.6189e-05+0.00013679i,-0.0003578-0.00012312i,-0.00014679+0.00035768i,0.00018451+0.00030161i,0.00074708-0.00026475i,0.00097845+4.3194e-05i,0.00076503+0.00057936i,0.00033821+0.0004605i,-0.00041929+0.00041595i,-0.00073157+0.0003598i,-0.00079253-0.00020713i
-0.0010057+0.0006692i,-0.0012554+0.0017562i,-0.0015322+0.0020786i,0.00025134+0.0018456i,0.0014+0.0022656i,0.0014196+0.0015841i,0.0014726+7.4621e-05i,0.00093789-0.00053276i,0.00061272-0.00063431i,0.0010789-0.0012017i,0.0010737-0.00047623i,0.00051459+6.2064e-05i,0.00016918-0.00080847i,6.6793e-05-0.00091774i,0.00056575-0.0010293i,0.00054767-0.0012311i,-0.00020792-0.00071247i,-0.00040605+0.00011519i,0.00053459+0.00033586i,0.00090619+0.00028048i,0.0010406+0.0005239i,0.0015012+0.0010265i,0.00067499+0.00053454i
0.00010492+0.00021438i,0.00023455-0.0006666i,0.00088069-0.0018891i,0.00087887-0.00093614i,3.7459e-05+0.0003084i,-7.3685e-05+0.00061043i,0.00050173+0.00064657i,0.00051885+0.00019851i,0.00055726-0.00045075i,0.0009811-0.00048323i,0.00074174-0.0001015i,0.00011614+0.00029547i,-0.00022896+0.00047826i,-0.00015142-4.6413e-05i,-3.3475e-05-0.00038026i,-0.0002747-0.00052667i,-0.00035365-0.00059702i,-0.00085114+0.00027525i,-0.00040169-5.8369e-05i,0.00068481-0.00039837i,0.00057873+0.00032975i,-1.9404e-05+0.00061408i,0.00036638+0.00025146i
0.00060862-0.0018012i,0.00033208-0.0011853i,0.00050574+0.00031825i,0.00080425+0.00065612i,0.00032422+0.00075177i,0.00048616+0.001148i,0.0010183+0.0010176i,0.001093+0.00028152i,0.0010598-1.8076e-05i,0.00087559+0.0005984i,0.00062424+0.0010699i,0.00073963+0.00020534i,0.0010353+2.6871e-05i,0.0010712+0.00046667i,9.4315e-05+0.00043419i,-0.00046643+0.00046531i,-0.00062302+0.00072286i,-0.00072517+0.00092143i,-0.0010923+0.00056447i,-0.0010792+0.000587i,-0.00031371+0.00050762i,-0.00032345+0.00046292i,-0.00044843+0.00014342i
-0.00073211+0.0011266i,-0.00068032+0.0011805i,0.00083539+0.0010908i,0.0011093+0.0013931i,0.00087872+0.0017271i,0.0011799+0.0010576i,0.0016117+0.00024411i,0.0017439+0.00016983i,0.0014405+0.00059401i,0.0010736+0.00064088i,0.00067395-7.3951e-06i,0.00074298-0.00026308i,0.00087308+5.596e-06i,0.0003774+5.7492e-05i,0.00036547-0.00026076i,0.0004823+0.0002274i,0.00055585+0.00013369i,0.00067603-0.0002807i,-0.00010993+0.00032819i,-8.2536e-05+0.00099782i,0.00093795+0.00076349i,0.0010479-0.00054081i,0.00030041-0.00080165i
0.00010376-0.0010784i,0.00012072-0.0014657i,1.198e-05-0.0003214i,-0.00013443+0.00055663i,-0.00044706+0.0013992i,0.00016426+0.00096909i,0.0011183-8.6698e-05i,0.0014494-0.00051384i,0.0018131-0.00052219i,0.0017496-0.00057493i,0.0006317-0.000615i,0.00017184-0.0011257i,0.0010176-0.0016716i,0.0011633-0.0010085i,0.00069532-0.0011733i,0.00096465-0.0019983i,0.0015561-0.0012809i,0.0013477-0.00035862i,0.00042854-1.2216e-05i,4.7704e-05+3.2612e-05i,0.00030473-0.00040464i,0.00045167-0.00043216i,1.2396e-05-0.00059985i
0.0009817+2.2122e-05i,0.00075731+0.0014231i,0.001013+0.0011158i,0.0012881+0.00026434i,0.0015404+0.00076715i,0.00079715+0.0011572i,0.00020657+0.00028283i,0.00013503-0.0003445i,0.000136-0.00055804i,5.6378e-05-0.00032336i,-0.00038373-1.8792e-05i,-0.00039802-8.8777e-05i,0.00024716-0.00081747i,0.00060255-0.0017067i,0.00039305-0.0013421i,0.00015506-0.0010636i,5.0953e-05-0.0013118i,-0.00029911-0.0013751i,-0.00081265-0.0012901i,-2.6945e-05-0.0012901i,0.0011621-0.00059551i,0.00075728+0.0001785i,8.1858e-05+0.00026783i
0.00033367+0.002866i,0.0015697+0.0022681i,0.0021547+0.0015762i,0.0027587+0.00039911i,0.0022824+0.0001988i,0.0011819-0.00055131i,0.0015462-0.0012041i,0.0013275-0.00065514i,0.00063142+0.00019992i,0.00047772+0.00039726i,-1.6992e-05-0.0001138i,-0.00091474-0.0004175i,-0.0010573+6.4701e-05i,-0.00070798+0.00016137i,-0.00043918-0.00021806i,-0.00064085-0.00024114i,-0.00081921-0.00032395i,-0.00083955-0.00018079i,-0.0010225-0.00027423i,-0.0011916+0.00041485i,-0.00091736+0.00017774i,0.00048219-0.00075071i,0.0010329-0.00039825i
-0.0009004-0.0017606i,-0.0003164-0.0011083i,-0.00047536-0.0010841i,-6.1894e-05-0.0006444i,-0.00028905+0.00084112i,-0.00069443+0.0019218i,1.1963e-05+0.001903i,0.00013116+0.0014233i,0.00030625+0.0008873i,0.00058236+0.00018752i,0.00047186+0.00049951i,0.00069723+0.00084711i,0.00097296+0.00076087i,0.00074657+0.00085722i,0.00019996+0.0011521i,-0.00042993+0.00064042i,-0.00068401+1.6682e-05i,-0.00066734+0.00020426i,-0.00021367+0.00037059i,9.7662e-05+0.00067583i,0.00016067+0.00012024i,-1.6602e-05-4.1437e-05i,-3.3111e-05-8.8564e-05i
0.00085627-0.001065i,0.00046427-0.00080212i,0.0011049-0.0023114i,0.0013342-0.0022654i,0.00026672-0.0005853i,0.00063734+0.00074504i,0.0018924+0.0011803i,0.0018949+0.00059059i,0.0012608+0.00049883i,0.0015607+0.00078554i,0.0014709+0.0002304i,0.0013815-0.00015509i,0.0022412+0.00039784i,0.0019591+0.0014774i,0.0013932+0.0015905i,0.0015141+0.0015987i,0.0008509+0.0018378i,-0.0005953+0.0021781i,-0.0010427+0.002129i,-0.00034383+0.0012607i,0.00041265+0.0004261i,0.000684-0.00058829i,0.00038419-0.00078821i
0.00072381+0.00023634i,0.0014749-7.9699e-05i,0.0017469-0.000646i,0.0010429-6.2851e-05i,0.00087623+0.00043167i,0.0014884+0.00024876i,0.0011632+9.5213e-05i,0.00058284-0.00053589i,0.0009541-0.00027042i,0.0013877-0.0001854i,0.0011236-8.8598e-05i,0.00044217+0.00022205i,-0.00029508-7.0792e-05i,-0.00020235-0.00037538i,0.00067114-0.00083574i,0.0011617-0.0014879i,0.00071621-0.0013532i,8.0897e-06-0.00053693i,0.00020993-0.00053228i,0.00079237-0.00070969i,0.0010159-0.00025867i,0.001103+7.9652e-05i,0.00084909+0.00016202i
2.3228e-05-0.00019504i,0.00043947-0.0006928i,0.0010425+0.00025406i,0.0015949+0.0014449i,0.0020157+0.001248i,0.0013114+0.00046539i,0.0014021+9.4987e-05i,0.0017847+0.00074103i,0.0016799+0.00047018i,0.0011667-0.00069693i,0.00022926-0.00064452i,-0.00067819-0.000233i,-0.00075646-0.00018684i,-0.00043536-0.00079025i,-3.6429e-05-0.0018232i,0.00026968-0.0022463i,-0.00018483-0.0022353i,-0.00080425-0.0015304i,-0.00040262+3.7075e-05i,0.00019293+0.00037742i,0.00067529-7.5018e-07i,0.00067807+4.1797e-05i,0.00032679+1.6794e-05i
-0.00095184-0.00099614i,-0.0013723-0.00097301i,-0.0015814-0.0014353i,-0.00097976-0.001458i,-0.00053143-0.00040172i,0.00047414+0.00025921i,0.001053+0.00044236i,4.5896e-05-0.0001106i,-0.00047277-0.00068741i,-0.00018142-0.00098206i,-0.00061951-0.00033765i,-0.00083153+0.00025843i,-0.00037443-0.00024848i,-0.00014966+0.00017389i,-0.00058813+0.00054011i,-0.0011038-4.7026e-05i,-0.0011604-0.00033233i,-0.00086967+0.00025226i,-0.00022314+0.0013802i,0.00037887+0.0015411i,0.000332+0.00056044i,0.00053928+4.8049e-05i,0.0002292+0.00024819i
0.0022457+0.0005578i,0.0022085+5.4047e-05i,0.0024009-0.000333i,0.0016905-0.0006106i,0.00048943+0.00020115i,-6.8929e-05+0.0012728i,-0.00026112+0.0010189i,8.416e-06+0.00035733i,0.0005323+0.00043279i,0.00036741+0.00041019i,0.00044845+0.00037909i,0.00058162+0.0010679i,-0.00010728+0.0013927i,-0.0006957+0.00061136i,-0.00061449+0.00069709i,-0.00099998+0.00096327i,-0.0013964+0.00083422i,-0.0011167+0.00080924i,-0.00086717+0.00062192i,-0.00069219+0.00082685i,0.00017818+0.00073546i,0.00069515+0.0002808i,0.00014034-0.00011964i
0.0013527+0.0003505i,0.0019515-0.00017334i,0.0027851-0.0004838i,0.0022725-0.0010787i,0.00097257-0.0013503i,0.00040881-0.00017274i,0.0014382+0.00072447i,0.0018183+0.00057128i,0.0019114+0.0011598i,0.0017566+0.0014411i,0.00076562+0.001069i,0.00042964+0.00098797i,0.00075375+0.0008908i,0.00080388+0.0013976i,0.00098449+0.0016744i,0.0012502+0.0010113i,0.0011649+0.0012008i,0.0010561+0.0013965i,0.00048393+0.0017448i,-0.00025642+0.0014476i,-0.00052037+0.00041748i,-0.00056055+0.00023466i,-0.00070959-0.00048955i
0.00083717+1.2226e-06i,0.00059837-0.00088155i,-0.00039031-0.0017287i,-0.00094889-0.0011469i,-0.0006477+0.0008673i,0.00078433+0.0011422i,0.0016329+0.00027893i,0.0016714+0.00019413i,0.0016434-1.7068e-05i,0.001626-0.00030645i,0.0013684-0.00025871i,0.0008025-0.00039404i,0.00097832-0.0003339i,0.0017666-8.5289e-05i,0.0016898-0.0004222i,0.0013513-0.0008001i,0.0014661-0.00052484i,0.0012733-0.00022858i,0.00025617-9.5651e-05i,2.4072e-05+1.0693e-05i,7.5307e-05-6.9136e-05i,-0.00084013+0.000433i,-0.000862+0.00081942i
0.0007726+0.0012773i,0.0016847+0.00065587i,0.0021365+0.0010576i,0.0019568+0.00057556i,0.0018461+8.0609e-05i,0.0016391+0.00055047i,0.0010272+0.0009099i,0.00096319+0.00033118i,0.0013482-0.00071208i,0.0019553-0.0013441i,0.0015376-0.0012583i,0.0005319-0.00059484i,-0.00028075-0.00079796i,-0.00041012-0.00059876i,9.7272e-05-0.00061889i,-0.0005309-0.00088032i,-0.0012738-0.00045326i,-0.00078883-6.3515e-05i,-0.0002694+4.8121e-05i,0.00017578+0.00017245i,0.0001718-0.00012566i,-0.00017666-5.785e-05i,-0.00045113-0.00030965i
0.0025072-0.000875i,0.002521-0.0018329i,0.0027951-0.0027873i,0.0027408-0.0017506i,0.00086595-0.00032046i,-0.00062555+0.00063187i,-0.00033305+0.00036954i,-0.00059985-0.00026167i,-1.8038e-05-0.00037974i,0.00046449-0.00024678i,-0.00067685-0.00035368i,-0.001061-1.4081e-05i,-0.00078851+0.00065635i,-0.00090448+0.00062251i,-0.00084832+6.3684e-05i,-0.0011291-0.00024991i,-0.0012493-0.00039111i,-0.0012795+4.3151e-05i,-0.00080605+0.00069102i,-0.00053402+0.00023285i,-0.00075504-0.00031981i,-0.0006118-0.00049831i,-0.0010141-0.00061494i
-0.0016638+0.00081318i,-0.00080331+8.313e-05i,-0.00040105+0.00091747i,0.00022477+0.001635i,0.00094646+0.0018601i,0.00086091+0.001658i,0.00026138+0.0014089i,-0.00013869+0.0010748i,0.00017307+0.0007167i,0.00043648+0.0011467i,-1.4096e-05+0.0011118i,2.7589e-05+0.00064202i,-3.749e-05+0.00010049i,-9.8565e-05+8.5283e-05i,0.00042904+0.00086028i,0.00098905+0.0014678i,0.0014911+0.00078944i,0.0011216+0.00016034i,0.00062169+0.00024925i,0.00019962+0.00051937i,-0.00035246+0.00011346i,0.00013596-0.00036051i,0.00033278-4.7917e-05i
-0.0014274-0.0020453i,-0.0018738-0.00055207i,-0.0019927+0.00026947i,-0.002231+0.00060083i,-0.00089596+0.001288i,0.0011619+0.0014444i,0.0018512+0.0010241i,0.0010283+0.00095897i,0.00046283+0.0011918i,0.0015343+0.0013009i,0.001653+0.0012388i,0.00090154+0.0015137i,0.00046088+0.0014069i,0.0004537+0.00053764i,0.00091455-0.00043613i,0.0010797-0.00023321i,0.0014664+0.00060327i,0.00061439+0.00068714i,-3.117e-05-0.00014264i,0.0002958-0.00010062i,0.00016639-9.1995e-05i,-0.0001046-0.00047344i,-0.00054251-0.00060155i
0.00031321+0.0016952i,0.0017257+0.0016225i,0.0022597+0.0012053i,0.0023129+0.00067668i,0.0026455-0.00016378i,0.0027653-0.00092215i,0.0021266-0.001403i,0.0015986-0.0015034i,0.0022697-0.0005648i,0.0031739+0.00024385i,0.0034882+0.00024001i,0.0023681+0.00039371i,0.0014459+0.00018917i,0.0010737-0.00094794i,0.00052577-0.001168i,0.0003964-0.00087832i,5.9393e-05-0.00047288i,-0.00084432-0.00073182i,-0.00086492-0.00041504i,9.7319e-05+0.00019764i,-0.00024277-0.00027804i,-0.00036302-0.00060016i,0.00091384-0.00016916i
-0.00011364-0.00030828i,0.00035359+0.00010668i,-1.6189e-05+0.001696i,0.00041334+0.0031592i,0.0015568+0.0032721i,0.0020869+0.0017081i,0.0016617-1.8679e-05i,0.00083199-0.0010575i,0.00096482-0.0012904i,0.00092915-0.0011452i,0.00065173-0.0015865i,0.0011869-0.0016185i,0.0017041-0.0011059i,0.00093304-0.0013315i,-0.00020336-0.001928i,-0.00023645-0.0017393i,-4.678e-06-7.1198e-05i,-0.00023745+0.00089713i,-0.00093847+0.00067163i,-0.000689+0.00032922i,0.00023476+0.00071066i,0.00023314+0.00095688i,0.00048844+0.00041623i
0.00073339-4.2733e-05i,0.0014736+0.00065105i,0.0017931-0.00079327i,0.0013455-0.0016487i,-0.00028094-0.00015424i,-0.00048559+0.001835i,-6.8881e-05+0.0015515i,-1.9708e-05-5.6905e-05i,0.00060201-0.00065833i,0.00080383-0.00067204i,-8.3721e-06-0.00075113i,-0.00060954+1.4881e-05i,-0.0001769+0.0009107i,0.00024334+0.00058684i,-0.00051327+0.00075925i,-0.001262+0.00048407i,-0.00040338+0.00032009i,0.00076458+0.00014917i,0.0017289+0.00018574i,0.0020538+0.00099895i,0.0014519+0.0011816i,-2.4333e-05+0.00078104i,-0.0010869-0.00017666i
-0.0010576-0.00060435i,-0.00057842+0.00021742i,-0.00070449+0.0011302i,-0.00046698+0.0013629i,0.00053299+0.0016059i,0.0014057+0.0013068i,0.0010751+0.00036373i,-0.00044696-0.00017947i,-0.0012905-0.00011826i,-0.00020664-0.00011996i,0.00038492+0.00028653i,-5.8582e-05+0.00061847i,-0.000442+2.8416e-05i,-0.00035115-0.00053968i,0.00040322-0.0012045i,0.0013125-0.0005896i,0.001588-0.00013684i,0.00084595-0.00019933i,-0.00010022-2.3374e-05i,-0.00046122-0.00016809i,-0.00046671+0.00042995i,-0.00033627+0.00087531i,5.4929e-05+5.8205e-06i
-0.00071959+0.00065589i,-0.00022216+0.00072588i,0.00099424+0.00055799i,0.00090874+0.0010295i,0.0013786+0.0013295i,0.0022548+0.0011181i,0.0018762+0.00097315i,0.0007024+0.00088119i,3.7182e-05+0.0014951i,0.00047112+0.0012418i,0.00059749-0.00033747i,0.00073614-0.00054343i,0.00021414-5.0134e-05i,-0.00039336-0.00051561i,4.1078e-06-0.00025694i,0.00051963+2.5411e-05i,0.00056377-0.00081678i,0.00010907-0.00093383i,0.00014121-0.0007601i,0.0007979-0.00065103i,0.00072251-0.00053652i,0.00031799-0.00049112i,0.00011025-0.00074515i
-0.0019544-0.0010747i,-0.0012787-0.00064126i,-0.00073438-0.00032937i,0.00035411+0.0016099i,0.00035601+0.0028848i,0.00070423+0.0022635i,0.0012736+0.0012195i,0.0018202+0.0003022i,0.0023376-0.00023969i,0.0023553+0.00019933i,0.002159+7.7942e-05i,0.0011793-0.00046891i,-0.00024871-8.9236e-05i,-0.00060673-0.00048083i,-6.2813e-05-0.0014941i,-0.00021282-0.0015389i,-0.00055007-0.0012785i,-0.00038243-0.00069494i,-0.00028989-0.00027443i,2.0506e-05+3.6217e-05i,0.00085363-5.9631e-05i,0.00065894-0.00020526i,0.00038472-0.00078037i
7.3533e-06-0.00021646i,-0.00043443+3.7367e-05i,-4.6958e-05-0.00026579i,0.00029813-0.0012653i,0.00057804-0.001328i,0.0015693+9.0127e-05i,0.0024308+0.00024772i,0.0028662-0.00011355i,0.0022231-0.00039934i,0.0011631-0.00095361i,0.00058603-0.0013428i,0.00045682-0.0006766i,0.00053369-1.282e-05i,0.00077079-0.0001778i,0.00022723-0.00077638i,-0.00048266-0.00041513i,-0.00019909+0.00054832i,-0.0001572+0.00065992i,0.00032845+0.00080573i,0.0009242+0.0010275i,0.00079657+0.0012201i,0.00025434+0.001003i,0.00027567+0.00019977i
