-0.0016792+0.0007926i,-0.0012047-0.00086569i,-0.0010798-0.00041442i,-0.00056443+0.0010469i,3.8229e-05+0.0016572i,3.0453e-05+0.00099918i,-2.2498e-05+0.00091133i,0.00013145+0.0012333i,0.00045658+0.00064335i,0.00069057-0.00027955i,0.0011584-0.00035216i,0.00078447+4.1782e-05i,6.8202e-05+6.4279e-05i,-0.00036971-0.00021672i,-0.00017882+0.00020825i,0.0002004+0.00042924i,1.7406e-05-0.00061173i,-0.00051444-0.00061861i,-0.00030869+0.00027817i,-0.00010166+0.00056728i,-0.00027709+0.0001958i,-0.00084941-0.00093973i,-0.0011278-0.00099937i
-0.0016661-0.0016845i,-0.0022195-0.00076587i,-0.0013735+0.00057505i,0.00032113+0.00063954i,0.0014675+7.4482e-05i,0.00073908-0.00017175i,0.00030954-0.0010991i,0.0010534-0.0014062i,0.00077486-0.0011436i,-0.00027512-0.0011749i,-0.00066484+0.0002816i,-0.00077884+0.0011044i,-0.00055217+0.00052711i,-0.0001762+3.5047e-05i,6.2049e-05+0.00050406i,0.00017563+0.0008985i,-4.4935e-05+0.00052898i,-0.00032433+0.00032812i,-0.00035265+0.00030143i,-0.00034224+0.00025622i,-0.00023104-0.0002977i,4.784e-05-0.00021231i,1.0821e-05+0.00061503i
1.2713e-05-0.000885i,-0.00029478-0.00045401i,-0.0010138+0.00035837i,-0.00089335+0.0012669i,-0.0004562+0.0012957i,-0.00028475+0.00051536i,1.6928e-05-0.00078484i,0.00047125-0.0013232i,0.00031684-0.00024463i,0.00020804+0.00040822i,0.00084465+0.00020986i,0.00063319+8.4901e-05i,0.00026383+0.00052902i,0.00019151-0.00036302i,-0.00014851-0.0012593i,-8.6803e-05-0.00094283i,0.00044747-0.00079458i,0.00095827+0.00032238i,0.0012266+0.0010695i,0.0010208+0.00034327i,0.00064586-0.00033956i,0.00057459-0.00012697i,0.00029776+0.00095578i
-0.00094962+0.0023391i,-0.00069109+0.0020992i,-0.00065277+0.0030835i,0.00039245+0.0032212i,0.0025498+0.0015537i,0.0031369-0.00017939i,0.0022782-0.00050342i,0.0010856-0.0002518i,0.00043386-0.00058423i,-2.6341e-05-0.00054293i,-0.0001603-0.00015694i,0.00016487-0.0007422i,0.0006602-0.0005993i,0.00031047+0.00039942i,-0.00026546+0.0001859i,-0.00012715-0.00019169i,0.00026574+0.00041689i,0.00029683+0.0013389i,0.00075121+0.0010458i,0.0014315+0.00047662i,0.00075175+0.00072846i,0.00042326+0.00040793i,0.00017055+7.7721e-05i
-0.00068606-0.0015738i,-0.0011963-0.00086292i,-0.0021003+0.00074837i,-0.001717+0.0024567i,-0.00069437+0.002841i,0.00059536+0.00148i,0.0010536-2.8567e-05i,0.00055011-0.00064367i,0.00022082-0.00032898i,-0.00013359+0.0001257i,-0.0003481-0.00022478i,-0.00035169-0.00065686i,0.00019179-0.00013982i,0.00055431+0.00014137i,0.00048561+4.1059e-05i,0.00052371+0.00092694i,0.00040945+0.0011747i,0.00018779+0.00084064i,-9.3835e-05+0.00088647i,-0.00070213+0.00080868i,-0.00041438+0.00082517i,-6.6776e-05+0.00087706i,0.00039155+0.000864i
0.0019753-9.1992e-05i,0.0015797+0.00059562i,0.0023447+4.2492e-05i,0.0018347+0.0003287i,0.00079473+0.00068238i,0.0013186+0.00010524i,0.0018397-0.00030216i,0.0013268+3.7211e-05i,0.00067738-0.00022288i,0.00073061-0.00037677i,-8.6924e-05+0.00035008i,4.4719e-05+0.00046114i,-4.638e-06+0.00028337i,-7.9146e-05+0.00043256i,0.00040515+0.00075069i,0.00011741+0.00048472i,-0.00020006+0.0003304i,-6.4803e-06+0.00048947i,-0.00031801+0.00086753i,-0.00082337+0.00086764i,-0.00098101+0.00039805i,-0.00050889+3.9794e-05i,5.629e-05-0.00030827i
0.002094-0.00029465i,0.00086535+0.00059577i,0.00046887+0.0006856i,-0.0006637+0.0014559i,-0.001629+0.0014869i,-0.00087726+0.00079356i,0.00095046+1.223e-05i,0.001719-0.00087146i,0.00092886-0.00063181i,0.00013348-0.0004072i,0.00047733-0.00035824i,0.00039287-0.00024729i,-0.00047398-4.6891e-05i,-0.0011105+0.00066223i,-0.00059744+0.00025329i,-0.00033205-9.0195e-05i,-3.5816e-05-0.00066008i,6.4016e-05-0.00059406i,-0.00028879+0.00021145i,6.9565e-05-2.0237e-05i,-4.2978e-05-0.00071457i,-0.0002889-0.0014363i,-0.00011424-0.001004i
0.0022833+0.0023254i,0.001275+0.00096291i,0.0013698-0.00058886i,0.0017139-0.00087348i,0.0021037-0.0016288i,0.0022215-0.0020496i,0.0023128-0.0014084i,0.0018829-0.0013489i,0.0014996-0.00085863i,0.00081655+0.00015137i,0.00020399-0.00041124i,-0.00033296-0.0010301i,-0.0015697-0.00031756i,-0.00098657-0.00053614i,0.0006419-0.00040767i,0.00031072+0.00059887i,-0.00055013-5.8057e-05i,-0.00029197-0.00081493i,0.00024609-0.0010611i,-0.00016042-0.0013618i,-0.0009596-0.0010743i,-0.00046679-0.00089611i,0.0004128-0.00032889i
0.0014125-0.00049052i,0.0012992+0.00045995i,0.0012925+0.00049668i,0.00066874+0.0010357i,-0.00048319+0.0016466i,-0.00074472+0.0008539i,0.00058003-0.00016111i,0.0014702-0.00015427i,0.00049274-2.7733e-05i,-0.00083464-0.00048346i,-0.00039353-0.00093272i,0.00039571-0.0011076i,-0.00028152-0.00076179i,-0.00055633-0.00099597i,-0.00040703-0.00083797i,-0.00065775-0.00012188i,-0.0004977-0.00048852i,-0.00017726-0.0012198i,-7.2892e-05-0.0011964i,-4.0317e-05-0.00070043i,0.00011994+0.00034666i,0.00019692+0.00049675i,0.00058791-0.00031383i
0.0014674-0.00041588i,-0.00010165-0.0014776i,-0.0008572-0.0012864i,-0.0010435+0.00028142i,0.0002592+0.00046167i,0.0018236-0.00014508i,0.002118-0.00034796i,0.0014633-0.00099603i,0.00040915-0.00093829i,-0.00061794-0.00047917i,-0.00012979-2.0789e-05i,0.00015145+0.0005353i,-0.00077444-2.6284e-05i,-0.00058201-0.00019522i,-6.0995e-05-4.1822e-05i,0.00033816+0.00028446i,0.00031261+0.00062667i,-0.00066395+0.00047931i,-0.00098119+0.00036211i,-0.00065776+0.00058327i,7.1829e-06+0.00056773i,-0.00015028+0.00020705i,0.00044844+0.0006349i
-0.00065333-0.00086044i,-0.00081122+0.00012461i,-0.00056322+0.0015112i,-0.0010335+0.0028436i,-0.00016364+0.0024716i,0.00079798+0.00097112i,0.00030007-0.00019281i,-0.00033352-0.0010242i,-0.00038868-0.00093961i,-0.00015533-2.3891e-05i,-0.00020656+4.4457e-05i,-0.00058028-0.00060254i,0.00028468-0.0010445i,0.0011308-0.00080827i,0.0010123-0.00045179i,0.00038265-0.0005855i,0.00012032-0.00056105i,0.00082542+0.00030205i,0.00085618+0.001196i,0.00084536+0.00078861i,0.00063375-0.00011687i,0.00048055-0.00035575i,0.00061311+6.0699e-05i
0.0012637-0.00065609i,-0.00028753-4.3164e-05i,-0.00041645+8.633e-06i,0.00029028+0.00051607i,0.00070248+0.00086914i,0.00047405+0.00067406i,0.00049404-0.00029124i,0.00072322-0.0009322i,0.00020585-0.00089549i,-8.0465e-06-0.0010265i,-0.00022264-0.00072714i,-0.00037814+8.2253e-05i,-0.00050259+0.0006808i,-0.00061277+0.00082965i,-0.00045309+0.00058173i,-0.00035086+0.00029196i,0.00026348+0.0003182i,-0.00023298+0.00076279i,-0.0013335+0.00036951i,-0.0016454+0.00019443i,-0.0010269+0.00032673i,6.51e-05+0.00032649i,0.00042651+0.00040815i
0.001093-8.6138e-05i,0.0011828+0.00050034i,0.00038813+0.0018225i,9.3688e-05+0.0025369i,0.00065045+0.0026923i,0.0011908+0.0014087i,0.0013164-0.0002307i,0.00092325-0.00047163i,0.00072143-3.1981e-05i,0.00058602-0.0001867i,0.0001552-9.3198e-05i,-0.00019124+0.00013436i,-0.00048793+0.00024693i,-0.00021222+4.3859e-05i,-0.00057277-0.00023243i,-0.00072093-0.00016957i,-0.00032361+0.00013743i,-0.00083663+0.00026181i,-0.0006468+0.00012634i,-0.00035452-5.0922e-05i,-0.00015977-0.00017585i,0.00014126+0.00051237i,0.0005425+0.00050553i
0.0012422+0.0017854i,0.0010262+0.00091565i,0.00018365+0.0014396i,0.00016158+0.0018254i,0.001089+0.0011563i,0.00099409-0.00015345i,0.00057819-0.00091308i,0.00068088-0.00074055i,0.00051137+0.00014473i,1.0487e-05+0.00082833i,0.00046723+0.00089524i,0.00064994+0.00030278i,3.2134e-05-0.00052165i,-0.00015344-0.00048307i,-0.00057056-0.00071858i,-0.00053875-0.0011943i,-0.00041831-0.00073189i,1.0778e-05-0.00053056i,0.00063439-0.0010053i,0.00098227-0.0014496i,0.0009035-0.0012607i,0.00055252-0.00025806i,-0.000176+0.00018289i
-0.0010848-0.0016694i,-0.00057278-0.00046266i,-0.0010423+0.00015095i,-0.00081693+0.0014145i,-7.0091e-05+0.0024058i,-5.0768e-06+0.0011116i,0.00018124-0.00045817i,0.00079976-0.00059924i,0.00043613+0.00019122i,-0.00034784+0.00045546i,-0.00064355+0.00015699i,-0.00035218-0.00036064i,0.00050607-8.1156e-05i,0.0011567+0.0010974i,0.00021219+0.0012211i,-0.00075281+0.00088707i,-0.00028723+0.00016423i,0.0001361-0.0010111i,0.0013219-0.0013712i,0.0018187-0.0008829i,0.00085777+0.00053735i,0.00046572+0.00078677i,0.00018689+0.00047579i
-0.0016895+0.00040339i,-0.0012072+0.0010973i,-0.00056049+0.0020627i,0.00047402+0.0024348i,0.0014152+0.0020561i,0.0012041+0.00048425i,0.0012916-0.0014437i,0.0015314-0.0016616i,0.00070479-0.00075502i,0.00030871+0.0003948i,0.00035525+0.00093295i,0.00063747+0.00035434i,0.00086135+0.00065706i,0.00062659+0.00028034i,0.0007914-0.00068921i,0.00054716-0.00071726i,0.00036657-0.00033952i,0.001178+0.00041711i,0.0011689+0.00068269i,0.00048507+0.00033392i,0.00034583+0.00032222i,0.00028342+0.00026966i,0.0001297+8.8776e-05i
-0.0027149+0.00085381i,-0.00096648+0.00068535i,-0.00071912+0.002889i,-0.00044087+0.0043225i,0.00064586+0.0032284i,0.0012813+0.0011979i,0.0013267-0.00074781i,0.00063448-0.0013625i,-0.00093795-0.000118i,-0.00074884+0.0001844i,9.9952e-05-0.00029901i,-7.5048e-05-0.00063276i,0.00011993-0.0012395i,0.00053216-0.0012254i,0.0010604-0.00079298i,0.00076821+8.3289e-05i,-0.0001947+0.00048621i,-0.0002025+0.00040356i,0.00049571+0.00031085i,0.00051169+0.00017173i,0.00064156-0.00035778i,0.00085731-0.00069892i,0.00023928-0.00091959i
-0.0019321+0.0006092i,-0.0013588+0.0009664i,-0.0007645+0.0021147i,-0.0001427+0.0024259i,0.00035838+0.0014371i,0.0011434+5.4373e-05i,0.0011759-0.00068329i,-0.00043844-0.0014292i,-0.0010632-0.0013791i,-0.00055918-0.00013795i,-0.00044848-3.2567e-07i,0.00018021-0.00056746i,0.0003389-0.00092121i,5.3879e-05-0.00081502i,-0.00014147-0.0001119i,-0.00069169+0.00093252i,-0.0012772+0.001247i,-0.0015192+0.0012949i,-0.0015091+0.00076384i,-0.0011496-0.00023527i,-0.00068383-0.00019318i,0.00021724-0.00021735i,0.00065861-0.00048583i
-0.0015033+0.0010175i,3.0829e-05+0.0013844i,0.0016433+0.0016674i,0.001552+0.0017104i,0.0014073+0.0022528i,0.0018183+0.0012927i,0.0014504-0.00030372i,0.0011199-0.00039121i,0.0014692+0.00026094i,0.00091097+0.00033901i,0.00016713+7.2405e-05i,8.2377e-05-0.00025583i,5.3806e-06-0.00011726i,-0.00026888+0.00025581i,-0.00072674+0.0009775i,-0.0010055+0.0009906i,-0.00080682+0.00025064i,-0.00047482+0.00044576i,-0.00028215+0.0005031i,-0.00035025+2.5775e-05i,-0.00085004-0.00034537i,-0.0010486-0.00074416i,-0.00090487-0.00070125i
-0.0012561+0.001501i,-0.00038339+0.0022844i,-0.00052441+0.0033765i,0.0003724+0.0034052i,0.0014143+0.0023154i,0.0011482+0.0011556i,0.001348-0.00040633i,0.00052958-0.00031868i,-0.00073457+0.00016112i,-0.00032807+0.00033952i,0.00048839+0.00023551i,-0.0003373+2.3003e-05i,-0.0008424-5.2865e-05i,-0.00040055+0.00014173i,-0.00035192+0.00076533i,-0.00035239+0.0008174i,-0.00016311+0.00025007i,-0.00021389-0.00035368i,0.00052166-0.0014063i,0.00054803-0.0012536i,-0.00023258-0.00026224i,-0.00064528+0.00018599i,-0.00072695-0.00025933i
-0.00087472-0.0024193i,-0.00054046-0.0021828i,-0.0023277-0.00066336i,-0.0023509+0.0012741i,-0.00043064+0.0024785i,0.00090104+0.001664i,0.0017598-6.4189e-05i,0.00053871-0.00067916i,-0.0015389-0.00037459i,-0.0014891+0.00033562i,-0.00047291+0.00060131i,0.00031913+0.00074857i,0.0001863+0.00073791i,-0.00024287+0.00042617i,-0.00010352+0.00034063i,0.00021405+7.5581e-05i,0.00037497-0.00041378i,0.00074823-0.0011059i,0.00088273-0.00079759i,0.00063547-3.8999e-05i,2.9524e-05+0.00029428i,-0.0007859+0.0012025i,-0.00066274+0.00091206i
-0.0023246+0.0010536i,-0.0016115+0.00091402i,-0.0011598+0.0017468i,-0.00040883+0.0031611i,-0.00011309+0.0027195i,0.00078774+0.0002324i,0.00075751-0.00089271i,0.00057771-0.00032854i,5.2881e-05-0.0001318i,-0.00059772-4.0845e-06i,-2.1343e-05+0.00049697i,0.0016517+0.00021813i,0.0019683-9.3168e-05i,0.00060888+6.9919e-05i,0.00022527+0.00065024i,0.00014027+0.001391i,6.3573e-05+0.0011498i,0.00042924+0.00071393i,0.00043695+0.00067315i,-0.00016089+0.00083863i,-0.00050063+0.0007895i,-0.00021789+0.00072418i,0.00028846-0.00028247i
0.0020329+0.0011836i,0.001578+0.0012957i,0.00073787+0.0022048i,0.00018902+0.0021146i,0.0010154+0.00078069i,0.0012563-0.00030567i,0.0012525-0.00084593i,0.000948-0.00076908i,-0.0001924-0.00099729i,-0.00021457-0.0014414i,0.00060586-0.00068902i,0.00027914+1.0719e-05i,-0.00044202+0.00047932i,-0.00029495+0.00051131i,-0.00067681-0.00049417i,-0.00088314-0.00034646i,-0.00072609+0.00045832i,-0.00044645+0.00038882i,-0.00037672+0.00074278i,-0.00069434+0.0013822i,-0.001116+0.00062966i,-0.0011516-0.00022558i,-0.00020821+0.00011913i
-0.0011245+0.0023012i,9.6986e-05+0.001714i,0.001337+0.0017188i,0.0022526+0.0015359i,0.0022781+0.00030336i,0.0015412-0.001403i,0.00081253-0.0013235i,0.00054888-0.00032255i,0.00040942+0.00066071i,0.00064263+0.0010118i,0.0013933+0.00034624i,0.0015991-0.00015628i,0.00082584-0.00053661i,0.00035858-0.0005641i,-0.00012718-0.00024638i,-0.00065324-2.6973e-05i,-0.00066805+0.00062725i,-0.0010334+0.0012173i,-0.0012378+0.001159i,-0.00029395+0.00058574i,0.00042805+0.00034485i,0.00053133+8.7757e-05i,0.0010069-6.4803e-05i
0.0014581+0.00030481i,0.0002229+0.000535i,0.00019404+0.00019751i,0.00086496+0.00074484i,0.0015454+0.001394i,0.0013166+0.00062363i,0.001303-0.00047729i,0.0015221-0.00068078i,0.0011149-0.00027636i,2.8437e-05-1.7855e-05i,-0.00030482-0.00092552i,-0.00013339-0.0015507i,-0.00019338-0.00057901i,-0.00012728-0.00046374i,-9.994e-05-0.00084876i,-0.0007389+0.00012363i,-0.00058461+0.00064411i,-0.00036069+0.00049034i,-0.00031652+0.00058907i,-5.4597e-06+0.00070721i,-0.0001882+0.00075567i,-0.00049698+0.00071459i,-0.00023339+0.00085912i
-0.00055583-0.0021615i,-0.00033126-0.0012818i,-5.2722e-05+0.00067999i,0.00088046+0.0016787i,0.0018601+0.0017219i,0.0023255+0.0012759i,0.0020518+0.00067045i,0.0011853+0.0001582i,0.00076435+3.4094e-05i,0.00017119-7.7757e-05i,-0.00010235-0.00023763i,-0.00036755+0.00084803i,5.6729e-05+0.0011805i,0.00047944+0.00063992i,-0.0003255+0.0012264i,-0.00047032+0.0013697i,-0.00060876-0.00030096i,-0.0012514-0.0010741i,-0.0012489-0.0012077i,-0.00052386-0.0016044i,-0.00027206-0.00079802i,-0.00088741+0.00010915i,-0.00094586+0.0002622i
-0.0016772-0.00058045i,-0.0017831+0.0003089i,-0.0017748+0.0021839i,-0.000932+0.0031756i,0.00076086+0.0026662i,0.0018227+0.00097933i,0.0025873-0.00068672i,0.0016681-0.00096597i,0.00026579-0.0007491i,0.00010642-0.00058157i,0.00044302+0.0002413i,0.00049132+0.0013058i,0.00037993+0.00083814i,0.00065449+0.00091873i,0.00054157+0.0017001i,0.00026426+0.00072676i,0.00040058-0.00032393i,-9.6295e-05-0.00037235i,-0.00037149-0.00052807i,-0.00038228-0.00011961i,-0.00031448+0.0007575i,-0.00038163+0.0011638i,-0.00029577+0.0009673i
0.00021807+0.00093324i,-0.0011238+0.00042914i,-0.00022394+0.0015772i,0.00046119+0.0024263i,0.00067189+0.0019228i,0.00038073+0.00047188i,0.00029575-0.00027095i,0.00048483-0.00021658i,3.1531e-05-0.00011522i,-6.7524e-06-0.00045561i,0.0002433-0.00062752i,0.00042997-0.00092437i,0.00027545-0.00053518i,0.00028114+0.00049046i,0.00046408+0.00099883i,-3.9912e-05+0.00082786i,-7.934e-05+0.00057476i,0.00064663+0.00054619i,0.001034+0.00048605i,0.0013484+0.00037528i,0.0010397+0.00017071i,-0.0001677+9.8929e-05i,-0.00030069-0.00029225i
-0.00077832+6.9933e-06i,-0.0016644-0.00065627i,-0.0017738-0.0011705i,-0.0011927+7.4096e-05i,3.9458e-05+0.0012239i,0.00080996+0.001054i,0.00074714-1.7415e-05i,0.0007718-0.00064227i,0.00015561-0.00014331i,-0.00016897+0.00066614i,-0.00017898-8.1736e-05i,-0.0002154-0.0008211i,0.00042663-0.00057163i,0.00094869-0.00034473i,0.00060115-0.0001106i,6.9186e-05-8.1767e-05i,0.00020613+0.00024744i,0.00048546-3.1557e-06i,0.00011832-0.00059059i,-0.00036125-0.00085326i,-0.00083598-0.00086895i,-0.0005817-0.00032809i,0.00037811+0.00033677i
0.0020576+0.0019395i,0.0019653+0.0012471i,0.0013056+0.00036521i,-0.00038852-9.9339e-05i,-0.00028727+0.00018181i,0.0010939-4.1467e-05i,0.0010292-0.00055021i,0.00032256-0.00081555i,-0.00031485-0.00060888i,-0.00076341-0.00041162i,-0.0013703-0.00021792i,-0.0016119+0.0001392i,-0.0017841+0.00037122i,-0.0020988+0.00040191i,-0.0012964+0.00056204i,-0.0007431+0.0015808i,-0.00058002+0.0014383i,0.00015238+0.00061711i,0.00024393-3.3064e-05i,0.00012639-0.00024857i,0.00011674+0.00048374i,-0.00068706+0.00080959i,-0.0008197+0.00020995i
-0.00033474-0.00046014i,-0.00027587-0.00010782i,-0.00078774+0.00026637i,-2.4084e-05+0.0014307i,0.00071538+0.0019679i,0.0011492+0.0010009i,0.0011437-0.0004743i,0.0002475-0.00058537i,-0.00097115-0.00029674i,-0.00092023-1.8456e-05i,0.00010341+0.00086904i,0.00062968+0.0013271i,0.00084085+0.0016094i,0.00032763+0.0014339i,-0.00025467+0.0007497i,-0.00050415+0.00044283i,-0.00073832+0.00062085i,-0.00022718+0.00067583i,0.00066878+0.00095482i,0.00048291+0.00065513i,-0.00036937+7.2845e-05i,-0.00051816+0.00031523i,-0.00030094+0.00070185i
-0.0015231+0.00057093i,-0.0007903+0.00071718i,-0.0008473+0.0020678i,0.00027649+0.0037038i,0.0021045+0.0031576i,0.0026591+0.0010115i,0.0016304-0.0004953i,0.00058528-0.00070632i,0.00027449-0.00043236i,0.0001759+0.00023612i,0.00017908+0.00046054i,0.00035693-9.703e-05i,0.00018247-0.00019321i,-5.1487e-05+0.00021328i,0.0004916-0.00038763i,0.00037244-0.00011248i,-0.00013951+0.00036977i,-0.00039209+3.4641e-05i,-0.00090028+1.2236e-05i,-0.0010139+0.00024369i,-0.00016863-0.00044109i,0.00032694-0.0011594i,0.00082869-0.000797i
-0.0013983-0.0002982i,-0.000236+0.00030309i,9.8133e-05+0.0011692i,2.1299e-05+0.0019751i,0.0010658+0.0024602i,0.0015083+0.0018121i,0.00080218-0.00025632i,0.00011885-0.00099756i,0.00027375-0.00053492i,0.00056318-0.0005887i,0.00065363+0.0001102i,0.00036552+0.00094947i,0.00026796+0.00092879i,0.00014512+0.00061838i,-6.6597e-05+0.00060017i,-0.00018457+0.00026528i,-7.4074e-05-0.0005335i,0.00043899-0.0008406i,1.7295e-05-0.00053465i,-0.0007767-0.0001609i,-0.00024513+0.00012034i,0.00043852+4.4868e-05i,0.00048623-3.007e-05i
0.00036195+0.00078466i,-0.00018706+0.0010591i,1.5011e-06+0.0023069i,0.0010712+0.003042i,0.0013507+0.0022266i,0.0016748+0.00091877i,0.0024066+0.00082882i,0.0018279+0.00099585i,0.00050848+0.00062135i,0.00023503+0.00035759i,-1.2961e-05+0.00019239i,-0.00030145-0.00049846i,-0.00048271-0.00081643i,-0.00072756-0.00058312i,-0.00054235-0.00018805i,0.00041232-0.00039292i,0.00031068-0.00092325i,9.0887e-05-0.00079712i,0.00030938+0.00023021i,-6.2997e-05+0.00055512i,-7.1993e-05+4.7518e-05i,-0.00013591+0.00032713i,-0.00018257+0.00010578i
-0.0020934+0.00036776i,-0.001845-0.00030045i,-0.001734+0.0014976i,-0.00073867+0.002757i,0.00096975+0.0026658i,0.0010144+0.0013684i,0.00057291-2.3935e-06i,0.00084798-0.00068129i,0.00020109+0.00021815i,-0.00025276+0.0018865i,0.00014615+0.0016715i,0.00021769+0.00029197i,-0.00014823+0.00013077i,-0.0003344-0.0003101i,0.00014647-0.00073546i,0.0013636-0.00014434i,0.0014281-0.00021689i,0.00084957-0.00031322i,0.00021496-0.00044777i,-0.00076461-0.00066304i,-0.00056656-0.00058825i,2.9919e-05-0.0006478i,-0.00021524-0.00035364i
0.0034938-0.00099268i,0.0025974-0.0013737i,0.0012837-0.00099239i,0.00059107-0.00073552i,0.00068488-0.00068458i,0.00046987-0.00030527i,0.0013697-0.000299i,0.0021472-0.00012866i,0.002079-0.00017506i,0.0021-0.00044521i,0.0013588-0.00073299i,0.00070158-0.00096036i,-0.0001448-0.00093243i,-0.00081361-0.00042818i,-0.00077577-0.00010462i,-0.00027591-0.00026777i,0.00036392+0.00036317i,0.00047675+0.0010113i,0.00016089+0.00069442i,-0.00033921-1.6282e-05i,-0.00044211+2.3074e-05i,-0.00089202+0.0001853i,-0.0011993-0.00026926i
0.00021028+0.0010773i,0.00021419+0.0019718i,0.00048508+0.0027119i,0.0012986+0.0025305i,0.0023468+0.0018627i,0.0022989+0.0007434i,0.0015932-0.00038659i,0.0010994-0.00091251i,0.00040089-0.00070982i,-0.00025757-0.00051098i,-0.00078583-0.00061671i,-0.00061231-0.0004379i,-0.00040063-0.00029568i,-0.00031807-0.00020574i,-6.8132e-05-0.00019006i,-0.00030129+0.00014709i,-0.0012538+0.00069985i,-0.0013983+0.00077552i,-0.00030197+0.00074816i,-0.00040875+0.00027966i,-0.00030653+0.0003161i,-7.424e-05-0.00041799i,-0.00047726-0.0011162i
-0.0010902-0.00025079i,-0.0021176+0.0013763i,-0.0019742+0.0028599i,-0.001178+0.0029206i,0.00012243+0.0028346i,0.0014787+0.0022736i,0.0017365+0.00059031i,0.00090171-0.0011071i,-0.00052134-0.001051i,-0.0010137+0.0002543i,-0.000536+0.0015476i,-0.00051593+0.0012029i,-5.4556e-05+0.0004679i,0.00055613+0.00043056i,0.00057232+0.00055354i,0.00028722+0.0014814i,0.00023112+0.0013241i,-0.0003664+0.00097204i,-0.00080503+0.00070749i,-0.0012153-4.8426e-05i,-0.0012312-0.00071039i,-0.00038684-0.0009453i,0.00013482+0.00037995i
0.0013524+0.0019421i,4.8778e-05+0.00067688i,0.0006074+0.001118i,0.0014251+0.00090079i,0.0013838-0.00057055i,0.00095497-0.0013324i,0.00055754-0.00068316i,0.00066359-0.00010489i,0.00063495+7.1974e-05i,0.00044025+0.00027584i,0.00012995+0.00021478i,-0.00067367-0.00061248i,-0.00059318-0.000658i,-5.2541e-05-0.00067048i,-0.00015156-0.0015242i,-0.00064032-0.0013741i,-0.00039417-0.00038658i,-0.00028404-0.00042999i,0.00012873-0.00068476i,-0.00030089-0.00019457i,-0.0012097+0.00017451i,-0.00032435+7.6092e-05i,0.00079957-0.00026652i
0.0015922+0.00083813i,0.0016823+0.00031051i,0.0012575+0.00093179i,0.00039688+0.0016783i,-0.00050112+0.00096243i,1.1404e-05-8.3555e-05i,0.00068388-0.00058417i,5.3851e-05-0.00083784i,-0.000159-0.00060647i,0.00056637-0.00012089i,0.00083475+4.4337e-05i,0.00090826+0.00065526i,-0.00013136+0.0007691i,-0.00131+0.00024328i,-0.001419+0.00053449i,-0.00075527+0.00046946i,4.143e-05+0.00011154i,0.0002697+9.5513e-05i,7.6058e-05-0.0003942i,-0.00074375-0.0011148i,-0.00076705-0.0013937i,-0.00032052-0.0013831i,-0.00039444-0.00063958i
0.00086996+0.00066576i,0.00045689+0.00054563i,0.00030242+0.00086476i,0.00027789+0.00032448i,0.0012176+0.00045265i,0.001554+0.00078752i,0.0014319-2.1048e-05i,0.0013861-0.00076705i,0.00018168-0.00074192i,-0.00093861-0.00046524i,-0.00085524-0.00017598i,-0.00085584-0.00057277i,-0.001218-0.00074574i,-0.0011906-0.00049393i,-0.00028949-0.00036853i,0.00019821-0.00048783i,0.00041919-0.00060404i,0.00072001-0.00066346i,0.0012871-0.00068918i,0.00081834+0.00012828i,0.00011773+0.0009311i,8.5382e-05+0.00063496i,-0.00034801+3.9649e-05i
0.0021988+0.00019717i,0.0013931-0.00016586i,0.00043541+0.00054533i,0.00034147+0.0018649i,0.0002523+0.0015437i,8.0353e-05+0.00032067i,0.00023188-4.0661e-05i,0.00041684-0.0001995i,-0.00024092+6.0563e-06i,-0.00077796+0.00058835i,-0.00023791+0.00028203i,-3.9661e-05-0.00020448i,-0.00028701-0.00030969i,-0.00013386-0.00029925i,-0.00040158+0.00028678i,0.00049167+0.00058812i,0.0010337+0.00054649i,0.00027185+0.00029862i,0.00035557+0.00023703i,0.00074614+0.0005499i,0.00092502+0.00034824i,7.2949e-05+0.0005235i,5.9061e-05+0.00042511i
-8.711e-05-0.00093487i,-0.00042695-0.0010838i,-0.0010731+0.00023613i,-0.0013647+0.0023678i,-0.0011738+0.0029664i,0.00030143+0.001381i,0.0016048-0.00045358i,0.001419-0.00066997i,0.00067571-0.00052714i,-2.7614e-05-0.000462i,0.0005682-0.00038252i,0.0016692+0.00059204i,0.00048856+0.00076868i,-0.00053362-5.4648e-05i,-4.7018e-05-0.0006165i,-7.4316e-05-0.00044357i,-0.00037285+0.00029518i,-0.00021789+0.00056391i,0.00010693+0.00053739i,-0.00031368+0.00054935i,-0.00088209+0.00049162i,-0.00073666+0.00034249i,-0.00019461+0.00037926i
-0.00054441-0.00053189i,-0.0013617+0.00036118i,-0.0018683+0.0019353i,-0.0014938+0.0032709i,0.00062951+0.0029489i,0.002684+0.0010802i,0.002616+7.6767e-05i,0.0012352-0.00024326i,0.0009163-0.00016088i,0.00061588+0.0002984i,0.0002648+0.0001065i,0.00050072-8.6663e-05i,0.0003193-0.00017257i,-0.00023001+2.047e-06i,-0.0010696+6.7885e-05i,-0.0013465-0.00014896i,-0.00081857+0.00033883i,-0.00047946+0.0013819i,-0.0016845+0.0013649i,-0.0013214+0.00055829i,0.00018815+0.00029218i,0.0004334+0.00048755i,0.0006136+3.7598e-05i
