-0.0016653+0.00036581i,-0.0011446-6.3939e-05i,-0.0025222+0.00054694i,-0.0028317+0.00047766i,-0.0028594+0.0010966i,-0.0028705+0.0018523i,-0.0018232+0.0018353i,-0.00063539+0.0015676i,0.00015787+0.0011793i,0.001036+0.00069766i,0.0008079+0.00065608i,0.00095278+0.00053856i,0.0015773+0.0001547i,0.00082392-0.0006256i,0.00051603-0.00013538i,0.00017545+0.0004609i,-0.00079771+7.033e-05i,-0.00093606-0.0001847i,-0.0011213-4.0824e-06i,-0.001259+0.00011391i,-0.00026789-0.00026425i,0.00012521-0.00029306i,-5.0836e-05+1.5212e-05i
0.0018552-8.8976e-05i,0.0013671+0.00070021i,0.0019336-0.00026578i,0.0015372-0.0005458i,-0.00065082+3.532e-05i,-0.0020755+0.00070853i,-0.0026855+0.00097606i,-0.0034341+0.0005504i,-0.0031593-2.0499e-05i,-0.0025196-0.0010441i,-0.0016699-0.00045993i,-0.00043507+0.001615i,9.7776e-05+0.0018267i,0.00090519+0.00032939i,0.0014374-0.00043919i,0.0010254-0.0007181i,0.00022536-0.00086984i,8.6256e-05-0.0013977i,0.00020199-0.0014097i,-0.00021565-0.0010896i,-0.0013542-0.00086485i,-0.0012442-0.00039568i,-0.00020587-0.00026669i
0.0010281+0.00073743i,0.0012513+0.0003094i,0.0010295+8.6103e-05i,0.00019992-0.00069388i,-0.00075424-0.0010398i,-0.0022178+0.00060954i,-0.0027141+0.0019005i,-0.0025941+0.0023884i,-0.0026063+0.002416i,-0.0025526+0.0019433i,-0.0017448+0.0024445i,-0.00025412+0.0022026i,0.00054153+0.00022245i,0.0012604-0.00085129i,0.0015492-0.0004291i,0.000765-0.00027776i,-0.00030638-0.00065586i,-0.00038755-0.00069363i,-0.000353-0.00067823i,-0.00031627-0.00059196i,-0.00044682-0.00065006i,-0.00096114-0.00020946i,-0.00072151+0.00043763i
-0.0017681+0.00050704i,-0.0016123+8.9921e-05i,-0.0012435-0.00020107i,-0.0013626+0.0013145i,-0.0010456+0.002495i,-0.0005387+0.002516i,-0.00059267+0.0024766i,-0.00060264+0.0028524i,-0.00045262+0.0030613i,5.5971e-05+0.003083i,0.00055392+0.0025845i,0.00057139+0.0010714i,0.00013719-0.0012339i,-0.00060386-0.0021468i,-0.000799-0.0013751i,-0.00017558-0.0011452i,-0.00041168-0.00072376i,-0.00095607-0.00027604i,-0.00030723-0.00013722i,-6.511e-05-5.0269e-05i,0.00048878-0.00016264i,0.0013544-0.00032801i,0.0010329-0.00023821i
-2.7834e-05+0.00051626i,-0.00054319+0.00085826i,-0.00080455+0.000671i,-0.001402+0.0013097i,-0.0012663+0.0015984i,-1.6198e-07+0.00091656i,0.00081879+0.0009247i,0.0010029+0.0018724i,0.00080369+0.0029413i,0.00058037+0.0028131i,0.0012499+0.0010709i,0.0011481-0.00022277i,-0.00016234-0.00078319i,-0.00083602-0.00049201i,-0.00058649+0.00045651i,-0.00067556+0.00051909i,-0.00073276+1.5348e-05i,-0.00020312-1.0141e-05i,0.00011749+0.00048717i,0.00027051+0.00071007i,0.00016899+6.0915e-05i,-0.00046339-0.00031203i,-8.6475e-06-0.00064389i
-8.3121e-05+0.00098929i,0.00067304+0.001931i,-0.00050827+0.001785i,-0.00097599+0.0013924i,-0.00090395+0.00082886i,-0.00036924-0.00037736i,0.00037604-0.0013698i,-8.5975e-05-0.0014139i,-0.00042079-0.00017936i,0.00051866+0.00095244i,0.0005874+0.0010302i,-0.00040659+6.0271e-05i,-0.00062216+1.7864e-05i,-0.00023985+0.00060409i,4.8534e-05+0.00081794i,0.00052823+0.00035628i,0.00077817+6.4534e-05i,0.00015427+0.00021303i,-0.00027126+0.00027429i,-0.000508+0.00035932i,-0.00081964+5.6988e-05i,0.00039545-0.00032698i,0.00089897-0.00065495i
-0.0020796-0.00060133i,-0.0021928-0.00080301i,-0.001021-0.0007977i,-0.00048404+7.5596e-05i,-0.001777+0.00038345i,-0.0012713+5.9469e-05i,-0.00048797-0.00107i,-0.0015277-0.001447i,-0.0014741-0.0012055i,-0.0009009-0.0010398i,-0.00091419-0.00064966i,-0.0011647+0.00013471i,-0.00086298+5.3444e-05i,-0.00023935-0.00044891i,0.00028896-0.00010435i,0.00045329+0.00040918i,0.00045035+0.00071011i,0.00030138+0.0004956i,0.00010884+0.00029628i,-0.00020107+7.996e-05i,-0.00026516+0.00037264i,-8.6012e-05+0.0010363i,-4.7857e-05+0.00050089i
0.00048152+0.0018617i,0.0023196+0.0019037i,0.0026447+0.00090195i,0.0010441-0.00014188i,-0.00056458-0.00076253i,-0.0016243-0.00039603i,-0.002845-0.00045598i,-0.0026599-0.00089109i,-0.0017006-0.0002185i,-0.0012499-0.00019228i,-0.0010682+0.00022752i,-0.00077206+0.0018183i,0.00029979+0.0026161i,0.0012916+0.0017761i,0.0010743+0.00097899i,0.00038218+0.00033127i,0.00049552-0.00037007i,0.00052217-0.00060726i,0.00014015-0.00052282i,0.00011231-0.00092395i,0.00034962-0.0013155i,0.00018251-0.0013887i,-0.00039288-0.0011097i
-0.0019865-0.00044866i,-0.0015337+0.00021252i,-0.0023377+0.0011962i,-0.0033462+0.0015931i,-0.0031933+0.0015752i,-0.0029337+0.0011973i,-0.0025516+0.0012513i,-0.0023364+0.0017413i,-0.0021682+0.0016225i,-0.0023309+0.001452i,-0.0026909+0.0016427i,-0.0016221+0.0022882i,0.00028458+0.0017049i,0.0014858+0.00048801i,0.0015912-0.00014741i,0.0010816-0.00036122i,-0.00039458-0.00027186i,-0.00091432-0.00020603i,-0.00089254-0.00026612i,-0.00074159-0.00031464i,-0.00011409+0.00010934i,-1.7891e-05-4.282e-05i,5.0871e-05-0.00072987i
0.0019112+0.003127i,0.0016649+0.0020668i,0.0028172+0.0011817i,0.0028133+0.00060199i,0.0012133+8.3389e-05i,-0.00024094+0.00016924i,-0.00082349+0.0013259i,-0.00050116+0.0023653i,-0.00075858+0.0025389i,-0.00074027+0.0017501i,-0.00013788+0.0012309i,0.001124+0.00074244i,0.0015161-0.00031801i,0.00048163-0.0011162i,0.00064847-0.0013805i,0.0011581-0.0015145i,0.00027427-0.0014417i,-0.00054234-0.0011874i,-0.00036047-0.0013618i,-6.3996e-05-0.001589i,1.9372e-05-0.0016775i,0.0005158-0.0016681i,0.00050529-0.000413i
-3.411e-05-0.00022896i,-0.00035657-0.000367i,-7.9131e-05-0.0011443i,3.7436e-05-0.0016823i,-0.00010364-0.00068248i,-8.312e-05+0.0010192i,0.00060833+0.0019577i,0.0010049+0.0018379i,-0.00036068+0.0012843i,-0.00079828+0.0013149i,0.00075927+0.0014848i,0.0009808+0.00074568i,2.6142e-05+6.3097e-05i,-0.00068123+0.00015845i,-0.0010693-0.0002051i,-0.00031206-0.00079623i,5.6108e-05-0.0004497i,-3.4843e-05+2.6233e-05i,0.00018564+4.0694e-05i,-0.00028639-0.00093545i,-0.00025574-0.0012136i,0.00010862-0.00067236i,-0.00019676-0.0003383i
-0.00067857+0.00055998i,0.00022224+0.0012826i,-0.00092694+0.001632i,-0.0018565+0.00074103i,-0.0011058-0.00036041i,4.4236e-05-0.00050489i,0.0014056-0.0010057i,0.0017221-0.00082589i,0.00010186-4.5564e-05i,-0.00047797+0.00055478i,0.00050143+0.00070545i,0.00065705-0.00047866i,0.00024582-0.0013642i,-0.00024857-0.0014961i,-0.00043012-0.0008818i,0.00011326-0.00083064i,0.00027803-0.00098445i,0.00049246+0.00015783i,0.00070738+0.00078231i,0.00038425+0.00040839i,0.00013101-7.6307e-05i,-2.168e-05+0.00022257i,-0.00037522+0.00054824i
-0.0016024+0.0020649i,-0.00037381+0.0022605i,0.00023754+0.0022726i,9.1989e-05+0.0012193i,-0.00011512+0.00034098i,0.00039369-0.00042388i,-0.00012554-0.0019627i,-0.00076361-0.0030221i,-0.0012725-0.0017825i,-0.0011977-0.00011024i,-0.0005538+0.00025204i,-0.001151+0.00012908i,-0.0014484+0.00053508i,-0.00050754+0.00081516i,-0.00029421+0.00059012i,-0.0010144+0.0003198i,-0.0014623-0.00012618i,-0.0011085-0.00070275i,-0.00016708-0.0012712i,0.00042021-0.0011595i,0.00054392-0.00055763i,0.00013378+0.00018189i,-0.00037783+0.00061971i
8.8695e-05+0.0011286i,0.0012+0.00089922i,0.0014809+0.00013666i,-2.2355e-05-0.00046748i,-0.0015504-0.0011537i,-0.0026338-0.0013792i,-0.0033196-0.00091811i,-0.0034295-0.00017489i,-0.003188+0.00088786i,-0.0016354+0.0013602i,-0.00050814+0.00037342i,-0.00146-0.00023913i,-0.0012419-0.00021841i,0.00059177-0.00075713i,0.0011264-0.0011036i,0.00044577-0.00051559i,0.00047972-1.8859e-05i,0.00076596+0.00044326i,-0.00019631+0.0003668i,-0.00066814-0.00034411i,0.00030198-0.0002691i,0.00070302-0.00018468i,-8.6126e-05-0.00032022i
8.79e-05+0.0016352i,0.00075091+0.0024024i,0.0017216+0.0011303i,0.0017652+0.0014223i,-0.00040088+0.0013289i,-0.0022547+0.00083717i,-0.0031935+0.0014763i,-0.0035905+0.0019403i,-0.0035748+0.0016932i,-0.0028675+0.0011053i,-0.0018895+0.00088587i,-0.0016674+0.00024544i,-0.0016236-5.186e-05i,-0.00020509-0.00029661i,0.0010562-0.00038025i,0.00039434-0.000325i,0.00023382-0.00037064i,0.00018565-0.00025733i,-0.00037372+0.00026843i,-0.00080782+0.00023889i,-0.00079926-0.00023593i,-8.5103e-05-0.00051398i,0.00014979-0.00090898i
-0.00049231+0.0018246i,0.00012887+0.0011127i,0.00084388+0.0008941i,0.00074534+0.0004872i,0.0002403+0.00099877i,-0.00085902+0.002101i,-0.0015266+0.0031694i,-0.0014616+0.0044703i,-0.0012534+0.0039923i,-0.0014696+0.0021304i,-0.00096151+0.0016275i,-6.0728e-05+0.0019412i,0.00017017+0.0012624i,0.00074402+0.00013202i,0.0010598-0.00071277i,0.00062099-0.0014715i,0.00024731-0.0012233i,0.00073755-0.00045407i,0.0012739-0.00047651i,0.00056769+0.00017974i,-0.00019582+0.00020893i,0.00045422-0.0004464i,0.0010173-0.00047505i
-0.0012859-0.0019205i,-0.0020714-0.0020298i,-0.0024981-0.0015295i,-0.0031753+0.00028408i,-0.0032213+0.0012869i,-0.00061985+0.0015788i,0.0021846+0.0024744i,0.0021968+0.0026164i,0.0010213+0.0015193i,0.00019295+0.0017339i,-0.00041589+0.0025499i,9.0398e-05+0.0025376i,0.00084338+0.0015214i,0.00049568+0.00025138i,0.00045398-0.00036635i,0.00011575-0.00033298i,-0.00052111-0.00026108i,-0.00036607+8.3087e-05i,-0.00060284+0.00066065i,-0.0003865+0.00088664i,-0.00022144+0.0011004i,-0.00047569+0.00030533i,-7.0177e-05-0.0002355i
0.00066218+5.8362e-05i,0.0001518+0.000193i,7.9637e-05-0.0012351i,-0.00042159-0.0024016i,-0.0011357-0.0012647i,-0.00053702-5.0721e-06i,0.0018386-0.00022555i,0.0026454-0.00026232i,0.001148+8.7407e-05i,0.00047672+0.00033084i,0.00052366+0.0004474i,0.00063137+0.00015712i,0.00067052+0.00019895i,0.00019021+0.00044416i,-0.00082442-0.00030495i,-0.0009023-0.0010419i,-0.00036699-0.0010418i,-0.00042316-0.0003728i,-0.00090823-0.00025088i,-0.0013497-0.00070185i,-0.00099019-0.00058435i,-0.00058595-0.00075193i,-7.4572e-05-0.00093311i
0.00020131-0.0017714i,-0.00069329-0.001031i,-0.0012447-0.0019486i,-0.002316-0.0021999i,-0.0030904-0.0018424i,-0.0011915-0.0017067i,0.00035685-0.0021732i,0.00024871-0.0026178i,-0.0003569-0.0020631i,-0.0011646-0.0011665i,-0.00040522-0.00083631i,0.00059416-0.00056885i,0.00072999-0.0001478i,0.00023484+0.00010704i,-0.00075275+0.00016805i,-0.0010431+4.1285e-05i,-0.0015186+9.8923e-05i,-0.0009023-0.00016404i,-0.000236-0.00047513i,9.4757e-05-0.00056481i,-0.00029483-0.00053393i,-0.0008997-0.00089367i,-0.00095735-0.00074488i
-0.0010488+9.147e-05i,-0.0015045+0.00068609i,-0.00094641+0.00028981i,-0.0017001+3.4771e-05i,-0.002692-0.0007101i,-0.002282-0.0020434i,-0.0021378-0.0023411i,-0.0030313-0.0013418i,-0.0038864-6.4961e-05i,-0.0036034+5.3838e-05i,-0.0023652-0.00082357i,-0.0011693-0.00121i,6.9543e-05-0.00083808i,0.00071831-0.00010313i,-3.2613e-06+0.00027461i,-0.00082429+0.00010593i,-0.0009323-0.0001259i,-0.0012046-6.6226e-05i,-0.00080294-2.6847e-05i,-0.00012361-0.00075294i,4.7766e-05-0.00075611i,-0.00041697+0.00050823i,8.9929e-05+0.0014382i
-0.0028192+4.1754e-05i,-0.0017041-8.2778e-05i,-0.0004771+0.00030031i,-0.00020823+0.00027423i,-0.00072025+0.00021986i,-0.0018886+0.00078638i,-0.0029411+0.00033842i,-0.0037083+0.00064955i,-0.0038078+0.0015397i,-0.002841+0.0016711i,-0.0017001+0.0015023i,-0.0011232+0.0012455i,0.00016278+0.0012365i,0.00073024+0.00095905i,0.00018312+0.00075066i,0.00043054+0.00026423i,0.00059782-0.00057347i,3.0862e-05-0.00083984i,-9.4026e-05-0.00064473i,0.00015337-0.00050587i,0.0003117-0.00096029i,0.00056674-0.00080515i,0.00051193-1.8419e-05i
0.00188+0.00091816i,0.00097255+0.00055026i,0.0016526-0.00048155i,0.0013852-0.0011992i,-0.00051555-0.0011906i,-0.0020395-0.00023668i,-0.0026412+0.0014162i,-0.0025038+0.0031482i,-0.0014258+0.0041073i,-0.0003796+0.0039159i,-0.00092308+0.0029537i,-0.0013808+0.0013787i,-0.00090366-0.00018086i,-0.00010119-0.001075i,0.0005894-0.00084131i,0.00040287-0.00069832i,0.00029469-0.0013704i,0.00059981-0.0010502i,3.6436e-05-0.00033407i,-0.00022996-0.0005363i,-0.0013413-0.00079626i,-0.0017448-0.000984i,-0.00060421-0.00052891i
0.00044472-0.001698i,-0.00070194-0.0019435i,-0.00042688-0.0023842i,-0.00062798-0.00091141i,-0.0018238+0.00096507i,-0.0020085+0.0028076i,-0.0011678+0.0036565i,-0.00059102+0.0035147i,-0.0001294+0.0031168i,0.00059005+0.0026318i,0.00028403+0.0027218i,-0.00044921+0.0021684i,-0.00037541+0.00063776i,0.00030828-0.00052903i,0.00014074-0.0014221i,-0.00016729-0.0019691i,-0.00072969-0.0014852i,-0.0013353-0.00084052i,-0.00079089-0.00025171i,-0.00025667+0.00028005i,-0.00055628+0.00019548i,-0.0011818-0.00039455i,-0.00081473-0.00078294i
0.0013508+0.00075705i,0.0018261-3.388e-05i,0.002311-0.001153i,0.0014209-0.0018631i,0.00055961-0.0023754i,0.0001731-0.0019538i,0.00073033-0.00044861i,0.0012717+0.00055451i,0.0012597+0.00038175i,0.0013972+0.00063325i,0.0016113+0.00087122i,0.0019834+0.0010785i,0.001504+0.0011005i,0.00011651+0.00048525i,-0.00050801-0.00038653i,-0.0008663-0.00050574i,-0.0017342-0.00012144i,-0.0018191-6.3764e-05i,-0.00064075-8.6982e-05i,0.00014063-0.0003001i,-5.4856e-06-0.0004009i,-0.00074341-0.00026358i,-0.00041042-0.0012483i
0.00069121+0.0001845i,0.00063969-0.00066105i,0.0011416-0.0024314i,-0.00021541-0.0031411i,-0.0016118-0.0022i,-0.0012401-0.0022106i,0.00099705-0.0025027i,0.0013675-0.0020936i,-0.00013722-0.0021588i,0.00016669-0.0029142i,0.0010192-0.0017393i,0.0019012-0.00012003i,0.0016567+0.00038192i,0.0004583+0.00011106i,-0.00022753+4.0329e-05i,-0.0005149+0.00026056i,-0.00096986-5.5746e-05i,-0.00090595+6.7319e-05i,8.4611e-06+0.00070147i,0.00024035+0.00053382i,0.00023678+0.00028638i,0.00033775+6.8657e-05i,-0.00031338+0.00067612i
-0.0012408+0.0032682i,-0.0002456+0.0031044i,0.0020529+0.0027845i,0.002279+0.0009785i,0.00095852-0.0011313i,-0.00040502-0.0030321i,-0.00072211-0.0029404i,-0.0013685-0.0017934i,-0.0025646-0.0013269i,-0.0028674-0.0010836i,-0.0016525-0.0010652i,-8.0558e-05-0.00036417i,0.0004576+0.00031319i,0.00025805+0.00026626i,0.00069599+0.00021591i,0.0014172+0.00018597i,0.0019513+0.00027817i,0.0014026+5.348e-05i,0.00091864-0.00039363i,0.00046364-0.0010882i,0.00043322-0.00070122i,0.00042978-0.00013193i,-6.0718e-05+5.312e-05i
0.0016786+0.0011904i,0.0018103+0.00086392i,2.5305e-05+0.00024438i,-0.0018368+0.00016348i,-0.0027713+2.5183e-05i,-0.0033232-0.00082571i,-0.0031849-0.00081111i,-0.0028602+0.00016175i,-0.003164+0.0010288i,-0.0035738+0.0011046i,-0.0029736-0.00012483i,-0.001816-0.00052153i,-0.00057077+0.00048529i,0.00033908+9.162e-05i,0.0013477-0.00076558i,0.0020182-5.7559e-05i,0.0017892+0.00016264i,0.0013016-0.00055304i,0.00088124-0.00067202i,0.0007696-0.0014083i,0.0011665-0.0018537i,0.0014186-0.0011023i,0.00082621-4.3959e-05i
-7.1666e-05+0.0024476i,0.0008888+0.0025927i,0.001313+0.0031649i,0.00096649+0.0028225i,-0.0005214+0.0029771i,-0.0022212+0.0021723i,-0.0028872+0.0012965i,-0.0027555+0.0023546i,-0.0030886+0.0032664i,-0.002688+0.0030358i,-0.001478+0.002352i,-0.00093632+0.00091825i,-0.00084006-0.00022347i,0.00029906-0.0015611i,0.0017758-0.0024967i,0.0011406-0.0019344i,0.00026094-0.0017119i,-0.00012611-0.0017128i,-0.00045467-0.00076987i,-0.0011015-0.00021095i,-0.0013796-0.00026536i,-0.00071714-0.00048928i,8.791e-05-0.0005288i
-0.0027156+0.00073736i,-0.0023589+0.001032i,-0.00077452+0.0014182i,0.00019723+0.0018628i,-0.00013749+0.0026279i,-0.00016709+0.0027988i,-4.8305e-05+0.0030282i,0.00027674+0.0029157i,0.00052838+0.0026087i,-0.00033313+0.0033299i,-0.0014035+0.0040634i,-0.0012827+0.0029857i,-0.00017749+0.0010895i,0.00041691-0.00073598i,1.0099e-05-0.0010176i,-9.7556e-05-0.0016109i,-0.00027697-0.0023137i,-0.00095724-0.0015421i,-0.0010234-0.0008244i,0.00011255-0.00021385i,0.00034964+0.00054071i,-0.00024317+0.00066351i,-0.00018498-0.00014918i
-0.00047016+0.00071851i,0.00047449-8.1358e-05i,0.00048237-0.0013507i,-0.00059505-0.00056009i,-0.0013275+0.0002652i,-0.00039449+0.00021524i,0.00061416+0.00063889i,6.3697e-05+0.00016605i,-0.00027363+5.4069e-05i,0.00052531+0.00094514i,0.0013752+0.0011809i,0.0010518+0.0014713i,0.00029191+0.0012114i,-0.00011597+0.00042058i,-0.00078597+0.00015975i,-0.0012657+3.7262e-05i,-0.0012681-0.00011336i,-0.0012868-5.3678e-05i,-0.00034621+0.0002169i,0.00056822+0.00032857i,0.0005782+0.00022447i,3.6542e-05-0.00012883i,-0.00074572-0.00026909i
0.00053048-0.0017067i,-0.00044204-0.0016883i,-0.00097909-0.002109i,-0.0024927-0.0023287i,-0.0035426-0.001313i,-0.0031303-0.00010759i,-0.0018089-0.00018495i,-0.0012644+6.0944e-05i,-0.0013041+0.00066254i,-0.000265+0.00018149i,0.0010407-0.00043905i,0.0012294-7.619e-05i,7.9909e-05+0.0005115i,-0.00084433+0.00014734i,-0.0013426+0.00040889i,-0.0020005+0.00080399i,-0.0017363+0.00058023i,-0.0010468+0.00090204i,-9.7869e-05+0.0011492i,0.00043567+0.0010971i,-0.00049684+0.00043659i,-0.0015463-9.7888e-05i,-0.0013588+1.0303e-05i
9.5681e-05-0.00087696i,0.00078906-0.0016742i,0.0013881-0.0022131i,0.00044041-0.001462i,-0.00041209+1.899e-05i,-0.0010648+0.00027485i,-0.0013442-0.00055695i,-0.0016782-6.5872e-05i,-0.001909-7.9222e-05i,-0.0018142-0.00051804i,-0.00098963-0.00088241i,7.5675e-05-0.0013827i,0.00050735-0.00071172i,0.00044747+0.00058556i,0.00039573+0.0011468i,0.0008975+0.0010185i,0.0013542+0.00035548i,0.0014471-9.8358e-06i,0.00098385+0.00015879i,0.00047645-6.7731e-05i,0.001047-9.9589e-05i,0.00080487+0.00024997i,0.00020656+0.0005575i
-9.602e-05-0.00034878i,0.0011332-0.00014839i,5.533e-05+0.00090609i,-0.00208+0.00074801i,-0.0035108+0.00015161i,-0.0034422-0.00043191i,-0.0027627-0.00038267i,-0.0019291+0.00080051i,-0.001444+0.0017365i,-0.0022096+0.00057036i,-0.0022768-0.0010721i,-0.00032909-0.00084804i,0.00098108-0.00048228i,0.00093234-0.00036445i,0.00079303-0.00096599i,0.00093745-0.0017715i,0.00069479-0.0023384i,0.00067921-0.0023495i,0.00020143-0.0015125i,0.00038614-0.0012163i,0.00012742-0.0013819i,-0.00085619-0.00094179i,-0.0010526+0.00014172i
-0.0017287+0.0018079i,-0.0018538+0.002912i,-0.0015857+0.0035765i,-0.0012117+0.0025664i,-0.0020421+0.00063886i,-0.0027462-8.2843e-05i,-0.0025847+9.1751e-05i,-0.0017067+0.0013079i,-0.00097482+0.0025337i,-0.0013278+0.0026033i,-0.0016404+0.0018617i,-0.00070174+0.0012322i,0.00024395+0.00069404i,0.00045477+0.00013771i,0.00044857-0.00096905i,0.00084485-0.0023166i,0.00050392-0.0028279i,-0.00033495-0.0022898i,-0.00013443-0.0012641i,-7.1642e-05-0.0003051i,0.00010021-0.00029225i,0.0014385-0.00060987i,0.0015455-0.00015104i
0.00071332-0.0010245i,0.001805-0.0013305i,0.0013091-0.0014284i,0.00024151-0.00051368i,-0.00089015+0.00039071i,-0.0016824+0.0014806i,-0.00066639+0.0022341i,0.00037993+0.0011669i,0.0001919+0.00060866i,-0.00072253+0.0016119i,-0.0014059+0.002267i,-0.001083+0.0019197i,-0.0010974+0.0011413i,-0.00095685+0.00042561i,-0.0003826-0.00019314i,-0.00042625-0.00047944i,-0.0011828-0.00027567i,-0.0014664-0.00022687i,-0.0011949-0.00022669i,-0.00044601+4.2176e-05i,0.00021537+0.00025392i,0.00058684-0.00032237i,0.0010654-0.00073872i
0.0010598+0.0047497i,0.0011477+0.0052398i,0.0023642+0.0042915i,0.0021765+0.0018689i,0.00064758-0.00052378i,-8.6415e-05-0.00078439i,-0.00026781-0.00050666i,0.00014568-0.0013283i,0.00035402-0.0010087i,0.00017508+0.0015089i,0.00034377+0.0031625i,0.00079738+0.0018257i,0.00030559+0.00077963i,-0.00071533+0.00025618i,-0.0009949-0.00060566i,-0.00094285-0.00018859i,-0.0013435+0.00026929i,-0.0011634+0.00023061i,1.7423e-05+0.00017306i,0.00026344+0.0003682i,-0.00042905+0.00029312i,-0.00085985-0.00026901i,-0.00069204-0.00084694i
-0.00066955-0.0010376i,-0.0017456-0.001747i,-0.001068-0.0025205i,-0.00055367-0.0017706i,-0.00093517-0.0011663i,-0.00089734-0.002112i,-0.00091868-0.002097i,-0.0020199-0.0024729i,-0.0034961-0.0024211i,-0.0022835-0.0005328i,0.00016221+0.0010842i,0.00089594+0.00025532i,0.00031819+5.3863e-05i,-0.00064833+0.00089722i,-0.00086286+0.0006816i,-0.00047743+0.00051657i,9.9678e-05+0.00047814i,0.00037834-0.00029588i,0.00048825-0.0012902i,0.00079505-0.0011539i,0.00047986-0.00061143i,-0.00028028-0.00041571i,-0.00059737+0.00013507i
0.0020307+0.00045409i,0.0048666+0.00036491i,0.0060977-0.0013761i,0.0028604-0.0034101i,-0.0010982-0.0033424i,-0.0013827-0.0021815i,-0.00087698-0.0018459i,-0.0036304-0.00076671i,-0.0056369+0.00042683i,-0.0031996+0.00079057i,-0.00055097+0.000125i,0.00075051-0.00090287i,0.0013738-0.00070504i,0.00052906-8.2156e-05i,0.00010895+0.00030763i,0.00045201+0.00039473i,0.00083107-5.3022e-05i,0.00097029-0.00034237i,0.00094249-0.00057073i,0.00053051-0.00058878i,8.9242e-05-0.00046209i,1.3305e-05+3.2882e-05i,0.00048181+6.8599e-05i
-0.0020058+3.507e-05i,-0.0041207+0.00046171i,-0.0047622+0.00065977i,-0.0037184+0.0012307i,-0.0031064+0.0014277i,-0.0030347+0.00098686i,-0.0031863+0.0012494i,-0.0040438+0.0034211i,-0.0035979+0.0049035i,-0.0018685+0.0031696i,-0.0014248-0.00038367i,-0.0015173-0.002822i,-0.00020033-0.0026703i,0.0012531-0.0015651i,0.0014601-0.00030381i,0.00092739-6.8802e-06i,0.0010326-0.00089952i,0.00090858-0.0013523i,0.00012141-0.0010533i,-0.0006539-0.00091863i,-0.0011282-0.00069212i,-6.3249e-05+0.00051133i,0.00080564+0.00085902i
0.00030588+0.0014937i,0.0011231-0.00071007i,0.001943-0.00088491i,0.0015379-1.41e-05i,-0.00042621-0.00036323i,-0.0016093-0.00089119i,-0.0021329+0.00085793i,-0.0013405+0.0030848i,0.0011585+0.003002i,0.0017466+0.0013311i,-7.6566e-05+0.00021405i,-0.0016779-0.00014319i,-0.0010915-0.00010718i,-0.00059283-0.00027887i,-0.0011415-0.00091802i,-0.00048052-0.0014821i,-4.9504e-05-0.0019718i,-0.00040141-0.001983i,-0.0010705-0.00088968i,-0.00098962-0.00018438i,0.00011886-0.00041803i,0.00095825-0.00070313i,0.00083901-0.00081952i
0.0012012+0.002903i,0.0021355+0.0039588i,0.0034286+0.0038876i,0.0018895+0.0023234i,-0.00084871+0.0012779i,-0.0018376+0.0028384i,-0.00032333+0.0038122i,0.0023692+0.0028925i,0.003246+0.0019665i,0.00073749+0.00083221i,-0.0019569+0.00049924i,-0.0022822+0.00098373i,-0.0016594+0.00087975i,-0.0012455+0.00052567i,-0.0011325+7.9245e-05i,-0.00090846-0.00033874i,-0.00062021-0.00061153i,-0.0011792-0.00096355i,-0.0014096-0.00061464i,-0.00058908+0.00025424i,-0.00041239+0.0003099i,-0.00014521-0.00013136i,0.00030361-0.00038562i
-0.0051171+0.0023775i,-0.0064148+0.0030462i,-0.0055362+0.0036564i,-0.0022727+0.002666i,-0.00022287+0.0012841i,0.001012+0.0010353i,0.0024333+0.0011653i,0.0032756-0.00059212i,0.0015634-0.0031045i,-0.0013459-0.0026452i,-0.0020922-8.3169e-05i,-0.00085575+0.0018759i,0.00037477+0.0018326i,0.00077725+0.0012137i,0.00080933+0.00021941i,0.00042647-0.00057583i,-0.00023172-0.00015446i,-0.00076168+0.00075567i,-0.00017945+0.00041428i,0.00070163-0.00037727i,0.00060387-0.00082996i,-9.3013e-05-0.0013521i,-3.7186e-06-0.00043134i
-0.0011181+0.00048758i,0.0018425-0.0010744i,0.0026087-0.0014385i,0.001066-0.00078711i,0.00087489+0.00063757i,0.0018102+0.00031125i,0.0022272-0.0016171i,0.00061041-0.0041105i,-0.0021671-0.0042184i,-0.0027283-0.00073953i,-0.00016498+0.0021247i,0.0026979+0.0026908i,0.0029842+0.0025763i,0.0022791+0.0013014i,0.0013173+0.00025796i,0.00043165-0.00029482i,0.00070577-0.00054832i,0.00073642-0.00036649i,0.00053203-0.0010732i,0.00031605-0.0011747i,-0.00019121-0.0011779i,-0.00028156-0.00063132i,-0.00036356+9.3106e-05i
-0.0023935+0.0029614i,-0.002693+0.005273i,-0.0034629+0.0060907i,-0.0037031+0.0049982i,-0.0030697+0.003852i,-0.0014091+0.0023574i,-0.00084756-0.00063516i,-0.003072-0.0028124i,-0.0057888-0.00068627i,-0.0050239+0.0014684i,-0.0013037+0.00052199i,0.0011022-0.00037839i,0.00081417-0.00063812i,0.00024537-0.00055534i,-2.7489e-05-0.00039536i,-0.00034897-0.00045129i,-0.00016934+0.0004547i,0.00027649+0.00080655i,-7.9455e-06-0.00039019i,-0.0002099-0.00089185i,-0.0003423-0.0012325i,-0.0010082-0.0012014i,-0.0012994-6.2018e-06i
