-0.0013493-0.00037496i,-0.0012879-0.00084549i,-0.0025044-0.00033884i,-0.0018284-0.00020589i,-0.00082961+0.00060695i,-0.0014281+0.0014282i,-0.0014903+0.0015245i,-0.00015116+0.0018987i,0.0011554+0.0019676i,0.0014121+0.0013944i,0.001291+0.00076517i,0.00083699+5.4971e-05i,1.4307e-05-0.00024059i,-2.0677e-05+0.00012881i,0.0001966-5.9746e-05i,-0.00016851+0.00017889i,-0.00070795+0.00093129i,-0.0006981+0.00067459i,-0.00058825+0.00021021i,-0.00042445+0.00014676i,6.283e-05+0.00042157i,0.00018892+0.00014522i,4.7326e-05-0.00023313i
-2.9976e-05+0.00097613i,-0.00021056+0.0010461i,-0.00086238+0.0019332i,-0.00026602+0.0024142i,0.00086226+0.0013688i,-0.00034386-0.00033533i,-0.0020756-0.00058151i,-0.0015136-0.00048366i,-0.0004086-0.00057621i,0.00050696-0.00077397i,0.00052001-0.0009355i,0.00019559-0.0010364i,-0.00012286-0.00060551i,-0.00067942-3.701e-05i,-0.00051118+9.7911e-05i,9.9293e-06+2.8524e-05i,1.0498e-05+0.00039768i,-0.00025624+0.00055755i,5.0479e-05+4.9939e-05i,7.0192e-05-8.462e-05i,0.00029762-0.00025582i,0.00097715+0.00028723i,0.0011617+0.0003641i
-0.00035427-0.0022151i,-0.0010841-0.0022569i,-0.0029623-0.0020083i,-0.0029945-0.0014531i,-0.0017642-0.00070466i,-0.00088286-0.00034537i,-0.0011998-0.00084052i,-0.0012819-0.00066252i,-0.00073109+0.00017389i,-3.1079e-05+0.00041141i,-6.799e-05+0.00015011i,-0.00077968-0.00048116i,-0.00039785-0.0003209i,0.0003428+0.00013344i,0.00095454+0.00012408i,0.00072488+0.00010908i,7.2892e-06+0.00067719i,0.00036876+0.00073396i,0.00057043+0.00042726i,0.00030484+0.00067788i,6.9581e-05+8.248e-05i,1.7658e-05+0.00022346i,7.8298e-05+0.00079027i
0.0020995-0.0030983i,0.0014139-0.0037588i,0.00085779-0.0049817i,-0.0018772-0.0031062i,-0.0037897-0.00021122i,-0.0024848+0.0011053i,-0.0013169+0.00052388i,-0.0009951+8.445e-05i,-0.00033926+0.00012768i,-0.00013-0.0005173i,-0.00047798-0.00040825i,-0.00022538+0.00017559i,9.4348e-05-0.00052792i,0.00058859-0.0011466i,0.00051781-0.00088111i,-0.00021493-0.0006055i,2.4538e-05-0.00029011i,-7.1938e-06-0.00043725i,-0.0002936-0.00044387i,0.00013497-0.00059395i,0.00076197-0.00044457i,0.0005736-0.00023471i,0.00059486+9.9003e-05i
-0.00032772+0.0011006i,0.00032464+0.0013303i,0.0006692+0.0013676i,0.0013586+0.0010587i,0.0012156+0.00028024i,-7.6146e-05-0.00059829i,-0.00086012-0.00039778i,-0.0011498+0.00052895i,-0.00076023+9.5582e-05i,0.00019385-0.00031179i,0.00047495-0.00022629i,0.00014065+8.8039e-05i,-0.00039349+0.0011026i,-0.00052458+0.0014641i,-0.00014917+0.00048666i,0.0002517+4.3993e-05i,0.00046667+0.00043196i,0.00028505+0.00073142i,8.5559e-05+0.00051338i,-9.7149e-05+0.00032453i,-5.1703e-05-0.000101i,-0.00014825-0.00030193i,-0.00072909-2.2669e-05i
0.00096268-0.00022892i,5.8393e-05-0.0012789i,-0.0015449-0.0032404i,-0.0022614-0.0031333i,-0.0027228-0.0015436i,-0.0032346-0.0014933i,-0.0030919-0.0017686i,-0.0019128-0.00054821i,-0.00082687-0.00026607i,-4.8572e-05-5.7645e-05i,0.00029531-0.00026153i,0.00041991-0.00090762i,-0.00019168-0.00076003i,-0.00033448+0.00019994i,-0.00032433+0.00045909i,-0.00018002-0.00035338i,-0.00024756+1.4655e-07i,-0.00087031+0.00045992i,-0.00065094+0.00079554i,-9.8714e-05+0.00072488i,0.0001417+0.00015493i,0.00029096+5.6865e-05i,0.00030171-0.00048962i
0.0015133+0.00014942i,0.0010934-0.00021934i,-0.00010578-0.0014477i,-0.0013118-0.0012703i,-0.0010457+2.7224e-05i,5.8186e-05+0.00032806i,-0.00052975-0.00035459i,-0.00058644-0.00053212i,0.00029509-0.00018173i,-0.00018894-0.00023472i,-0.00080474-0.00064942i,-0.0010686-0.00055781i,-0.00081025+0.00084783i,-0.00015571+0.0011038i,0.00021979-0.00028447i,0.0006128-0.00089959i,0.0008935-0.00019239i,0.00032723+0.00033358i,-0.00053724+0.00010709i,-0.00052361+0.00043478i,-0.00029279+0.00075878i,-0.00055571+0.00016678i,-0.00027791+8.4461e-05i
0.0017106+0.00048518i,0.0011967+0.0011254i,-3.7008e-05+0.00088848i,-0.00034333+0.00055215i,0.00043986+0.00060611i,0.00046127+0.00060918i,-0.0003813+8.858e-05i,-0.00094523-7.2882e-05i,-0.0006216+3.5684e-05i,-0.00017128-7.29e-05i,-0.00049151+6.062e-06i,-0.0012348+0.00015958i,-0.0012038-0.00023561i,-0.00039115-0.00039938i,-0.00045031-0.00030658i,-0.00020229-0.00013153i,0.00044442+0.00035691i,0.00076534+0.00092568i,0.001093+0.00094917i,0.00098972+0.00012275i,0.00064332-5.5979e-05i,4.0531e-05+0.00029591i,0.00019693+0.00029256i
-0.00127+0.00045432i,-0.002809+0.00041669i,-0.0025887+0.00033489i,-0.0013283+0.0002652i,-0.00097511-0.00034287i,-0.0015045-0.0017768i,-0.0017708-0.0023789i,-0.0015103-0.0016855i,-0.0010113-0.00055065i,-0.00080948-0.00064353i,-0.00051843-0.00046593i,3.8418e-05-2.057e-05i,-0.00039434-0.00019024i,-0.00076184-0.00057991i,-0.00014163-0.00080659i,0.00032353-0.00070784i,0.00028142-0.00030478i,0.00032715-0.00049311i,0.00094298-0.00031405i,0.00075318+3.0689e-05i,-0.00020389+0.00034173i,-0.00083856+0.00046194i,-0.0011065+0.00018055i
0.0005264-0.0020892i,0.0012038-0.0028084i,0.00078891-0.0032487i,2.342e-05-0.0014335i,0.00018555+0.00018138i,0.00047243-0.00054551i,0.00014589-0.00093559i,-0.00021732-0.00036742i,-0.00016759-0.00059543i,5.0785e-05-0.0006051i,-5.7723e-05-0.00028759i,9.5997e-05-0.00018646i,0.00077555-0.00054506i,0.00075135-0.00058534i,0.00025182-0.00022786i,0.00023432+0.00026681i,0.00036509+0.00024162i,0.00037422-0.00046164i,6.2265e-05-0.000467i,-0.00034262-8.7082e-05i,-0.00084093-0.0002912i,-0.0010488-0.00049326i,-0.00035513-0.00022925i
0.0011272+0.00059733i,0.0018462+0.0010598i,0.0010766+0.00041452i,-0.00036234+0.0012377i,-0.0013449+0.0031887i,-0.00049027+0.0023112i,-4.648e-05+0.00092751i,-0.00062602+0.00050119i,0.00014214+0.00018863i,0.00058032+6.6542e-05i,0.00023894-0.001273i,0.00045851-0.0019935i,0.00070893-0.00091992i,0.00012378-0.00077261i,-0.00031291-0.0011848i,-0.00010007-0.00064076i,-0.00043757+0.00022949i,-0.0013635+0.00041841i,-0.0018517+0.00010852i,-0.0013747-0.00017518i,4.2522e-05-0.00023063i,0.00078051-0.00020177i,0.00087518-0.00062082i
-0.0027947-0.00073636i,-0.0021306-3.6821e-06i,-0.0018323+0.0013273i,-0.0012995+0.0016768i,0.00010249+0.0015253i,0.00046859+0.0011516i,-6.3097e-05-0.00012611i,-0.00035608-0.00081651i,-0.00079901-0.00043868i,-0.00024689-0.00061007i,0.00075069-0.00036559i,0.00034279+0.00041815i,-0.00030467+0.00020291i,3.9314e-05-0.00033518i,4.1774e-05-0.00024598i,-0.00025923-0.00024788i,-0.00016684+0.00036742i,0.00024993+0.00068493i,0.00043248+3.8973e-07i,0.0002056-0.00021208i,-6.9242e-05-0.00027638i,0.00051407-6.6884e-05i,0.00062606-0.0002209i
0.00021548-0.00027088i,-0.00079128-0.0012423i,-0.0010984-0.0010419i,-0.0005999-0.00035265i,0.00083697-0.00078206i,0.00071716-0.0016616i,-0.00061349-0.00094232i,-0.0007004-0.00041308i,0.00011392-0.00030745i,0.00047146-7.4354e-05i,0.00086282-0.00046308i,0.00057449-0.0011455i,-9.2523e-05-0.0012503i,-0.00056221-0.00057341i,-0.00042716-0.00026183i,-0.00024009+0.00043748i,-0.00047283+0.0013517i,-0.00046855+0.0003725i,-0.00067825-0.00052217i,-0.00046658+2.053e-05i,1.8997e-05-0.00058988i,-0.00012861-0.00045799i,-0.0004871+0.0002882i
-0.00028062+0.0014687i,0.00072603+0.00094398i,0.0014229+0.0011213i,0.0016472+0.00077418i,0.0015511-0.00013813i,0.00098454-0.00067259i,-0.00030881-0.00057733i,-0.0012858+0.00016898i,-0.000803+0.0017502i,0.00068674+0.001874i,0.0013896+0.00036837i,0.0010011-0.00074353i,0.00079567-0.00090151i,0.00056953+0.00025741i,0.00044886+0.00024568i,0.00051916+0.00026841i,0.00047953+0.000947i,0.00051619+0.00042615i,0.00052498-0.00023095i,0.00048102+6.8859e-05i,0.00060469+0.00074259i,0.00057713+0.00080198i,0.0007981+0.00087228i
0.0012265-0.00042804i,0.001184+2.7635e-05i,0.00059647+0.0014855i,-0.00037273+0.0023956i,-0.00040285+0.0027436i,-7.9465e-05+0.0013194i,-0.00032621-5.2895e-05i,-0.00067108-0.00019992i,-0.00012703-0.00049748i,0.00070288-0.00030351i,0.0011883-4.8633e-05i,0.00092968-0.00052904i,0.0004674-0.00063492i,0.0005926-0.00046647i,0.00053268+0.00031652i,7.5492e-05-0.00012143i,1.9075e-05-0.001354i,-0.00010531-0.00113i,4.1643e-06-0.00033329i,0.00015969+0.00017002i,-0.00017348+0.00069038i,-0.00038151+0.0011275i,-3.1485e-05+0.0012107i
0.00022318+0.0015036i,-0.0012848+0.00024962i,-0.0022872-0.0014099i,-0.0018706-0.0018092i,-3.6751e-05-0.0015421i,-8.7168e-05-0.002561i,-0.0013552-0.0030955i,-0.0010006-0.0018878i,0.00047558-0.0006486i,0.0010656-0.00028827i,0.00044217-0.00030988i,-0.00065108-0.0002624i,-0.0005874-0.00056646i,0.00047734-0.00061302i,0.00018705-0.00064124i,-0.0012746+0.00037674i,-0.0013475+0.00052474i,-0.00056316+1.7431e-05i,-4.3405e-05+0.00026713i,0.00010351+0.00025001i,0.00010592+0.00047529i,0.00017347+0.00062387i,-9.0889e-05-0.00020367i
-0.00067081+0.0014841i,-0.00042975+0.00049076i,0.0011891+0.0011213i,0.0030905+0.00064331i,0.0032787-0.0012035i,0.0013434-0.0023221i,-0.00089549-0.0024891i,-0.0022626-0.0011932i,-0.0018697+0.00053062i,-0.00063402+0.00067334i,0.00024619-0.00019457i,0.00098534-0.001222i,0.0015201-0.00086412i,0.0008818-0.00031838i,5.11e-05-3.7122e-05i,-0.00029387+0.00085186i,-0.00019915+0.00085777i,-9.8369e-05-0.00021407i,0.00063822-0.00091955i,0.0014036-0.00039009i,0.0012609+0.0001604i,0.00059115+6.1302e-05i,0.00025519+9.0841e-05i
0.0021485+0.0017847i,0.0020626+0.0023779i,0.0022871+0.0028163i,0.0017672+0.0020818i,0.00086471+0.00022737i,-0.00073714-0.0006096i,-0.0020581-0.00013839i,-0.0016444+4.7829e-06i,-0.00026866-6.8701e-05i,-0.00016499-0.00036106i,-0.00071373-0.0013375i,-0.00094571-0.0011964i,-0.00077608-0.0004766i,-0.0011416-0.000509i,0.00034791-0.00020929i,0.00098109+0.00030871i,-1.7997e-05+0.00040574i,-0.00038767+0.0005073i,-0.00059741+0.00019261i,-0.00019115-0.00060163i,0.00013058-0.00022932i,0.0002548+0.000656i,0.00014492+0.00035843i
-0.0012409+0.0026932i,-0.00077549-0.00043508i,0.0013524-0.0013254i,0.0033379-0.00082666i,0.0029608-0.00019647i,0.00090032-0.00039907i,-0.001084-0.00025418i,-0.0014777+0.00050493i,-0.00018394+0.001223i,0.001272+0.00063531i,0.0016659-0.0005354i,0.001121-0.00083627i,0.00069218-0.00023969i,0.0008757-0.0001336i,0.00066492-0.00054446i,-0.00014202-0.00072444i,-9.9165e-05-3.2551e-05i,0.00044018+0.00018631i,0.0002027-0.00025494i,-7.4924e-05+3.2126e-05i,-5.2654e-05+0.0004252i,0.00011577+0.0004864i,0.00010938+0.00059863i
-0.0010442+0.0021279i,-0.00020504+0.00088787i,0.0017099+0.0016229i,0.0028842+0.0018491i,0.0034443+0.00041961i,0.0016074-0.0015521i,-0.0011124-0.00067273i,-0.0014033-1.5038e-05i,0.00020339+0.00010772i,0.00090193+0.0012484i,0.00081051+0.00074583i,6.6801e-05-0.00095972i,-0.00031863-0.0017759i,0.00012576-0.00096021i,0.00062796-1.9705e-05i,0.0007723+0.00061702i,0.00065882+0.00031745i,0.00092859-8.6764e-06i,0.0011231+0.00022512i,0.00091077+0.00021817i,-0.00030166+0.00024036i,-0.0014796+0.00039947i,-0.0011287-3.4915e-05i
-0.00035481+0.0073309i,-0.0016004+0.0074739i,0.0015578+0.0081237i,0.0046731+0.0042074i,0.0049861-0.00043372i,0.0018087-0.0027441i,-0.0016487-0.0011741i,-0.0020984+0.00087352i,-0.00022018+0.0017259i,0.0015927+0.00018404i,0.0012427-0.0020886i,0.00070525-0.0029033i,0.00026587-0.0026675i,0.00012948-0.002199i,0.00073736-0.0014049i,0.00034488-0.00091449i,-0.00063508-0.00041455i,-0.0010442-0.00020747i,-0.0007539-0.00090553i,-0.00038522-0.00099993i,0.00052132-0.00029142i,0.0010391-0.00060263i,0.00092556-0.0012316i
-0.00078867-0.011451i,-0.0014409-0.0095302i,-0.0062249-0.0092853i,-0.0085206-0.004024i,-0.0079308+0.00159i,-0.0047306+0.003584i,-0.0025723+0.0010759i,-0.0023721-0.0018594i,-0.0020667-0.0027396i,-0.0022985-0.0013608i,-0.001962+0.00047373i,-0.00022131+0.0013963i,0.0013982+0.0020328i,0.00088379+0.0018034i,-0.00037147+0.0012352i,0.00042212+0.00043426i,0.0015123+0.00010279i,0.00090373+0.00055185i,-0.00038681+0.00060131i,-0.00091826-0.00035349i,-6.6291e-05-0.00056551i,0.00040029+0.00025118i,0.0002689+0.00078877i
0.0035461-0.0063451i,0.0022531-0.0045312i,-0.0017862-0.0040747i,-0.0047459-0.00094235i,-0.0053544+0.001758i,-0.0032443+0.0020665i,-0.0018343+0.00035903i,-0.0023632-0.00078364i,-0.0016415-0.0010246i,-0.00080827-0.00091421i,-0.00049316-0.00046041i,-0.000622+0.00027517i,-0.00078202+0.000868i,-0.00056034+0.00057553i,-0.00060001-0.00012577i,-0.00051277-0.000185i,-2.297e-06+0.00078601i,4.286e-05+0.0011679i,1.9168e-05+0.00077086i,-1.7603e-05+0.00065182i,-0.00024175+0.00041716i,1.2043e-05+0.00035616i,-0.00046106-7.1803e-05i
0.00031065-0.0016034i,-0.00089709-0.0015217i,-0.0021518-0.00085982i,-0.0021494-7.6527e-05i,-0.00082821+0.0004027i,1.409e-05-0.00051156i,-0.00014558-0.001128i,-0.00038094-0.00014385i,-0.0003534-0.00013654i,0.00015007-0.00055911i,0.00051141-4.877e-05i,3.7059e-05+0.00073139i,-0.00051728+0.00098548i,-0.00056839+0.00036598i,-0.0005349-0.00031665i,-0.00057175-4.9655e-05i,-0.00021917-9.4014e-05i,0.00060003-0.00041881i,0.00096626-0.00034728i,0.00071118-0.00023097i,0.00082863+0.00040873i,0.0007192+0.0009194i,-8.3555e-05+0.00049224i
0.00051391+0.00096689i,0.0008655-0.00059024i,0.00090945-0.0017959i,0.00040548-0.0017081i,-0.000649-0.00099195i,-0.0015026-0.0010835i,-0.0020432-0.0021806i,-0.0010828-0.001497i,0.00035161-0.00010214i,0.00036356-0.00012865i,0.00034045-0.00068659i,0.00019287-0.0012434i,-0.00024042-0.00051093i,0.00033532+2.9412e-05i,0.00066405-0.00080702i,-1.5729e-06-0.00092571i,0.00022396-0.00052983i,0.00019667-0.0007566i,-0.00088028-0.0008692i,-0.00091441-0.00016883i,-0.00019092-0.00010459i,-7.183e-05-0.00054635i,2.5352e-05-0.00075483i
0.0017606+0.00014801i,0.0013189+0.00042507i,0.0011315-6.87e-05i,-0.0011875-0.00086914i,-0.0026928-0.001794i,-0.0025803-0.0018306i,-0.0019054-0.00040866i,-0.00089477+0.0012007i,0.00067576+0.00032639i,0.00039333-0.0014047i,-0.00077888-0.0013875i,-0.00028528+8.0486e-05i,0.00024222-4.0327e-05i,0.00023747-0.0013628i,0.00030798-0.00095629i,0.00025683-0.00012257i,-0.00021478-0.00015647i,-0.00014367+0.00023056i,0.00038204+0.00033839i,0.0010096+0.00018439i,0.0011106-6.1402e-05i,0.00040145-0.00027464i,-0.00033508-0.00026419i
-0.0014947-0.0023562i,-0.00017638-0.0021363i,-0.0010171-0.0004559i,-0.0019468+0.0015027i,-0.0014131+0.0025636i,-0.00018845+0.0021406i,-0.00023971+0.00067223i,-0.00027519+7.6008e-05i,-9.72e-05+0.00016214i,0.00041624+0.00048208i,0.00061921+0.00088119i,0.00014749+3.0297e-05i,0.00023739+0.00025578i,-4.3746e-05+0.0009338i,-0.00053205+0.00059645i,-0.00050312+0.00059093i,-0.00014166-4.5293e-05i,4.7011e-05-0.0010903i,-0.0001576-0.0011167i,-0.00018914-0.00048936i,0.00044805+0.00016811i,0.00032823+0.00063921i,-1.2321e-05+0.00050856i
-0.00046944-0.0010742i,-7.1037e-05-0.0013212i,-0.0013239-0.00097158i,-0.0014324-0.00011675i,-0.00020332+0.00098438i,-4.9271e-05+0.00031231i,-0.001226-0.00059897i,-0.0010411-6.9045e-05i,-0.00030262+0.00062591i,-0.00072856+0.00038502i,-0.00076193+1.4199e-05i,-0.00079277-0.00030501i,-0.00094501+0.00011444i,-0.0010431+0.00035283i,-0.00093562+0.00016609i,-0.00054397+0.00043614i,-0.00026077+0.00043165i,-0.00035217+0.00041639i,3.0177e-05-0.00023637i,4.445e-05-0.0011291i,-0.00052837-0.0003499i,-0.00025132+0.00035863i,-0.00071291+0.00047412i
-0.0015505+0.00085062i,-0.00084762+0.0011215i,-0.00095572+0.0025827i,0.0001537+0.0022257i,0.0016819+0.00041461i,0.0011388-0.00082437i,-0.00019776-0.00094049i,-0.00098345-0.00047241i,-0.00092772-7.1091e-05i,-0.00031007+0.00066069i,0.00029918+0.00043703i,0.0009837-0.00066442i,0.00054035-0.00067857i,8.0598e-05-0.00019264i,0.00089513-0.00065736i,0.00067463-0.00071515i,0.00038336-0.00022556i,0.00013375+0.00017132i,5.268e-05+0.00017408i,0.00043293+0.00030283i,0.00054817+0.00075672i,-8.7787e-05+0.0012594i,-0.00026126+0.0020008i
-0.00027402-0.0021082i,-0.00036393-0.0021143i,-0.00086286-0.0022194i,-0.0018255-0.00067006i,-0.0018072+0.00089169i,-0.0014796+0.00040496i,-0.001693-0.00086452i,-0.0016929-0.00084184i,-0.00082513-0.0007327i,0.00023255-0.00047352i,0.00016264+0.00018473i,-0.00068858+0.00070173i,-0.00062365+0.00083225i,6.1142e-05+0.00039143i,2.738e-05+0.00041908i,-0.00065029+0.0011536i,-0.001588+0.0011513i,-0.0012535+0.00066673i,-0.00036241+0.00012505i,0.00015643+0.0002395i,0.00066687+0.00027483i,0.00093083+0.00046137i,0.0008246+0.00030921i
-0.00038618-0.0011237i,-0.0013438-0.0021059i,-0.0017299-0.0017525i,-0.0019865+0.00078248i,-0.002522+0.0019979i,-0.0018227+0.00046403i,-0.0015049-0.0013978i,-0.0017055-0.0012153i,-0.00054775-2.9722e-05i,-0.00013325+0.00062531i,-0.00053081+0.00038651i,-0.00050782+0.00015613i,0.00026869+0.0003056i,0.000234-0.0002666i,0.00011431-4.7356e-05i,0.00047001+0.00020317i,-0.00018202+7.1038e-05i,-0.00031603+8.0595e-05i,0.00014542-0.00028898i,0.00049665-0.0004585i,0.00089761-0.00041223i,0.00040596-0.00050719i,-0.00017666-0.00023736i
0.00083135-0.0011038i,0.0008919+0.00014708i,-0.00048158+0.00042628i,-0.00097174+0.00077582i,-0.00043495+0.0016278i,-0.00023948+0.00091479i,-0.0010474-0.00027137i,-0.0016299-0.00039326i,-0.00077825-0.00026949i,-0.00049068-7.0058e-05i,-0.00088701-0.00049525i,-0.00075915-0.00036958i,-0.00063389-0.00010891i,-0.00015996-0.00043895i,-7.134e-05-0.00052425i,-0.00039021-0.00050796i,-0.00029039+0.00017846i,0.00025038+0.00064734i,0.00020145+0.00044401i,-6.0889e-05-0.0002254i,-0.00010114-0.00056176i,-2.0838e-05-0.00079163i,0.0003856-0.0012533i
-0.0014423-0.0011257i,-0.001369-0.0013057i,-0.0021954-0.0014393i,-0.0013631-0.00016027i,-0.00022447+0.00081314i,-0.00065523-0.00039399i,-0.00099638-0.00107i,-0.00060473-0.00023443i,0.00013813+0.00024512i,-7.8196e-05-0.00063857i,-0.00028797-0.0010279i,-2.34e-05-0.00074117i,0.00028585-0.00054949i,0.00045357-1.0992e-05i,0.00038305+0.00028564i,0.00044527-0.00025154i,3.7369e-06-0.00054901i,-0.00071902-0.00011214i,-0.00040509+0.00018797i,-0.00054443-1.3779e-07i,-0.00022418+5.2991e-05i,-2.4263e-05+0.000152i,7.1151e-05+0.00048795i
0.000195+0.00073535i,8.2298e-05+0.00099513i,0.00016685+0.0020502i,0.0010763+0.001669i,0.0015321-0.00024872i,0.0010975-0.0020939i,-0.00051194-0.0019765i,-0.0013272-0.00035965i,-0.00019588+0.00085938i,0.00097085+0.0007807i,0.00045332+0.0002907i,-0.00036904-0.00011218i,-0.00064655-0.00031416i,-0.0003387+0.00031978i,-0.00015658+0.00012387i,-0.00017345-0.00065215i,-0.000728-0.00034834i,-0.0010653-0.0005652i,9.0778e-05-0.00034808i,0.0005519+0.00042078i,0.00045702+0.00076287i,0.00043975+0.00045091i,0.00057483-0.00015404i
-0.00061284-0.00059792i,-0.00011009-6.6638e-05i,-0.00044039-0.00011595i,-0.0007111-0.00018457i,-0.00052356+0.00046101i,-0.00060203-1.9949e-06i,-0.0012032-0.0014676i,-0.00082216-0.0014748i,-0.00061167-0.00043459i,-0.00040651-0.00037014i,0.00014757-0.00074209i,1.4148e-05-0.00031458i,-0.00018952+2.5468e-05i,-0.00013929+0.00032882i,-0.00033297+0.00078417i,-0.00011948+0.00093439i,-0.00041683+0.00016359i,-0.00063109-0.0004533i,-0.00085174-0.00023596i,-0.00049961-0.00025706i,0.0010259-0.0003885i,0.00090465-0.00061237i,-0.00028165-0.00046656i
0.0021537-0.0019i,0.0011881-0.0025735i,1.6884e-05-0.0024871i,-0.00073468-0.0011297i,-0.0012495-0.00015204i,-0.001962-0.00082235i,-0.0013298-0.00124i,-0.0010943+0.00011644i,-0.0008237+0.00017158i,0.00015356-0.00023331i,0.00013293+0.00018366i,0.00010841-4.574e-05i,0.00026715-0.0003889i,0.00048919-0.00026106i,0.00021057-6.1e-05i,-0.00048699+0.000271i,-0.00097228-0.00063686i,-0.00080229-0.0011138i,-0.0002666-0.0006256i,-0.00070564-0.00031083i,-0.00087768-0.00051033i,-0.0005758-0.00093785i,0.0002799-0.00063745i
0.00043683-0.0025654i,-0.00042838-0.0017104i,-0.0020779-0.0005562i,-0.0022367+0.00097545i,-0.00080895+0.0016621i,4.6639e-05+0.0006517i,-0.00036424-0.00012813i,-0.0010969-0.00031726i,-0.00087011+2.3298e-05i,-0.00043996+7.3848e-05i,-0.00057391+3.8721e-05i,1.6857e-05+0.00050649i,0.00079549+0.00045864i,0.0011765+2.589e-05i,0.0007599-0.00037451i,8.3914e-05-0.00025176i,-0.00015355-0.00013804i,0.00027759+0.0002369i,0.00049654+0.00039946i,-8.9045e-05+0.00061298i,3.7701e-05+0.00092324i,6.0586e-05+0.00089492i,3.2446e-05+0.00059922i
0.0016591+0.00029636i,0.00032036-0.00076376i,-0.00051308-0.0015582i,-0.00010392-0.001243i,0.0014495-0.0010053i,0.0018614-0.001181i,0.00014506-0.0011875i,-0.00064137-0.0008335i,4.4011e-05-0.00034472i,0.00057825+0.00012334i,0.00075302+0.00015364i,0.00064846-0.0011007i,0.00044991-0.001734i,-0.00025594-0.0012404i,-0.00080432-0.00075734i,-0.0012955-0.00022875i,-0.0015186+0.00057787i,-0.00050405+0.00035844i,-2.1608e-05-0.0001216i,0.00018396-0.00055989i,0.00060146-6.6466e-05i,0.00065022+0.00073534i,0.00024948+0.00020786i
0.00053659+0.0010082i,-0.00040198+0.00056659i,-0.0011776-0.00014805i,-0.0011774-0.00037126i,-0.00090539-0.00065532i,-0.001513-0.0013252i,-0.0010319-0.0015796i,-0.00043137-0.0015523i,-0.0013081-0.0016112i,-0.0012143-0.0015243i,-0.00062839-0.0014767i,-0.00097091-0.00024529i,-0.00052577+0.00039057i,5.7259e-06-0.000154i,-0.00025071-0.00034994i,0.00024187+4.9688e-05i,0.00016454-1.2095e-06i,-0.00020276-0.00062663i,0.00028989-0.0010935i,0.00045589-9.4716e-05i,-0.00045482+0.00086773i,-0.000664+0.00037498i,0.00025711-0.00064187i
0.0030678-0.0019291i,0.0024171-0.0021464i,0.0022213-0.0023341i,0.00091871-0.0016274i,-6.0179e-05-1.7696e-05i,-0.00053618+0.00044436i,-0.00073794-1.7044e-05i,-0.00059293-5.8923e-05i,0.00036511+0.00049233i,0.00015611+0.00036495i,-0.00057949-0.00071846i,-0.00050759-0.0010193i,-0.00028147-0.00056758i,-0.00060169+0.00021103i,-0.00028521+1.4835e-05i,0.00097245-0.00023302i,0.0013396+1.8563e-05i,0.00083469+0.00041402i,0.00041256+0.00021908i,1.4258e-05-0.00090839i,-0.00062744-0.0015608i,-0.00059685-0.00075026i,-0.0009159+0.0009228i
-0.0031733-9.5331e-06i,-0.0033962+0.0008495i,-0.0042305+0.0014597i,-0.003442+0.0018403i,-0.001141+0.0020547i,0.00048998+0.00099173i,-0.00031305-0.00073588i,-0.00095552-0.00091188i,-7.1779e-05+0.00015844i,0.00069343+0.0011498i,0.00082637+0.00067695i,0.00078097-0.00050613i,0.00053775-0.00052196i,0.00083297+0.00017715i,0.00042324+0.00040357i,0.00033739+0.0002666i,0.00063272+0.00059256i,0.0012542+0.00031007i,0.0015743-0.00025889i,0.00088252+0.00036326i,0.00079716+0.00044543i,0.00037571-0.00010302i,0.00018537+0.00067383i
0.0016088-0.0007625i,0.0014207-0.0012237i,0.00082369-0.0022126i,-0.00081163-0.0020121i,-0.00059028-0.0010002i,0.00077505-0.00080381i,0.00036849-0.001479i,0.00018899-0.00099089i,0.00074851-0.0003402i,0.00056466-0.0014364i,0.00044633-0.0012734i,0.00049735+0.00010357i,0.00038865+0.00044226i,0.00021464+0.00075511i,-0.00010214+0.0010383i,0.00011545+0.00080475i,0.0003128+0.00045961i,0.00061504+4.8897e-05i,0.00097282+5.117e-05i,0.00041082-0.00032709i,-0.00039553-0.00044629i,-0.00044403+0.00016142i,-4.4796e-05+0.00068351i
-0.00028513-0.00051125i,0.00052693+0.00036423i,0.00018968+0.0011298i,-0.00055611+0.0014595i,-0.00078296+0.0010762i,-0.00090316-0.00027433i,-0.0018651-0.00089238i,-0.0018206-0.00061861i,-0.00065199-0.00049645i,-0.0001789-0.00051756i,0.00056726-0.00078845i,0.00070838-0.00071005i,-0.00020232-3.0629e-05i,-0.00060895+0.00023324i,-0.00066002-0.00041073i,-0.00044623-0.00059692i,-0.00041157-0.00033069i,-0.00010765-0.00038665i,0.00020599-0.00036735i,0.00033335-0.0005151i,0.00039498-0.0011754i,0.0012101-0.00095617i,0.0012366+4.7159e-05i
