-0.00058055+0.00070936i,-0.00053697-0.0011452i,-0.0013007-0.0025335i,-0.0024106-0.0015462i,-0.003086+7.7178e-05i,-0.0025101+0.00099661i,-0.0014674+0.00084715i,-0.00020293+0.001061i,0.00055985+0.0010175i,0.00044153+0.00018289i,0.0002597-0.0005351i,0.00031027-0.00076892i,-0.00057422-0.00042396i,-0.00084505+9.2019e-05i,-0.00067135+0.00058934i,-0.00084932+0.00066819i,-0.00078201+0.00098655i,-0.0006662+0.0014206i,-6.8481e-05+0.00016433i,0.00016894-0.00067827i,0.0004694-0.00060731i,0.00035005-0.00089028i,-0.00066566-0.00055533i
0.0029054-0.0017494i,0.0027689-0.0024996i,0.0017278-0.0021767i,6.7583e-05-0.0015139i,-0.0001688-0.00059609i,-8.6307e-05-0.00023182i,-0.00032182+0.00033269i,-0.00066872+0.00076596i,-0.00077519+0.0010609i,-0.00096452+0.00069845i,-0.00082047+0.00087954i,-0.00014429+0.00075982i,8.3303e-06+0.00020185i,7.7065e-05-0.00053893i,0.00021103-0.001227i,-0.00054399-0.00081997i,-0.00033892+0.00012051i,0.00059827+0.00043678i,0.00084282+0.0009634i,0.00044763+0.0014125i,9.1598e-05+0.001231i,-0.0001571+0.0005278i,-0.00039141+0.00025171i
-0.0022565-8.8242e-05i,-0.0019716+0.00034018i,-0.0014688+0.00078258i,-0.00029891+0.00021614i,0.00056752-0.00057588i,9.5199e-05-0.00060701i,-0.00057485-0.00049365i,-0.00078304+0.00036546i,-0.00040451+0.0011891i,0.00038623+0.00097691i,0.00047026-2.34e-05i,4.5647e-05-0.00079601i,4.9588e-05-0.00082321i,0.00026425-0.00067207i,0.00067596+0.0002045i,0.0011299+0.0011932i,0.001463+0.0007611i,0.00098162+0.00067273i,0.00023507+0.0016108i,-9.0118e-06+0.0019704i,9.0076e-05+0.00089507i,-7.5605e-05+0.00025709i,-0.00038693+0.00087962i
-0.00050235-0.0013738i,-0.0015931-0.0019533i,-0.0023887-0.001239i,-0.0018303-9.9581e-06i,-0.00067278+0.0012156i,-0.00070616+0.0018082i,-0.0010308+0.00086513i,-0.00083345-0.00033659i,-0.00065357-0.00037405i,-0.00019899+0.00014596i,0.00014895+0.00032708i,0.00015292+7.4587e-05i,-2.0204e-05-7.1935e-05i,-0.0005911-5.7316e-05i,-0.00048954-0.00018155i,1.087e-05+0.00020962i,-4.7572e-05+9.8297e-05i,0.00034293+0.00029267i,0.00014183+0.00087261i,-0.00017635+0.00057588i,0.00014726-0.00013147i,0.00047582-1.2078e-05i,-0.00015634+0.00040827i
-0.0037639+0.00084608i,-0.0022135+0.00039889i,0.00020852+0.00050597i,0.00081953+0.0012083i,0.00066839+0.00092395i,0.00051043-0.00045626i,0.00040339-0.0014949i,0.00058247-0.0010274i,-0.00011889+4.6783e-05i,0.00021513+0.00011344i,0.00065415-0.00074217i,1.4938e-05-0.00041062i,-0.00028136+0.00059872i,-0.00079683+0.00054661i,-0.00080422-0.00023577i,-0.00028983-8.3222e-05i,-0.00044349+8.5425e-05i,-0.0012018-0.00015202i,-0.0021493-5.6117e-05i,-0.0017678-0.00044073i,-0.00020177-0.00019061i,0.0011447+8.6116e-05i,0.0012548+0.0003561i
0.001896+0.0002785i,0.0008876+0.00044951i,-0.00068145+0.00046084i,-0.0013863+0.00054443i,-0.00078418+0.00032213i,-0.00056869+0.00022069i,-0.00035949+0.0005206i,-0.00051962+0.00057717i,-0.00094906-0.00019568i,-0.00033964-0.00077536i,-0.00018569-0.00071333i,-6.8706e-05-0.00047183i,1.6313e-05-0.0010109i,-0.0002982-0.00063764i,-0.00039522+0.00036711i,-0.00019722+0.0003357i,0.00074631+5.9354e-05i,0.00097418-4.9412e-07i,0.00056455+0.00062891i,0.00049346+0.00087573i,0.00091086+0.00019588i,0.0005812-8.2801e-05i,-0.00058219+0.00015397i
-7.1924e-06-0.00057773i,-1.274e-05-0.001434i,0.0010536-0.0016856i,0.00037729-0.0020606i,-0.00043539-0.001038i,0.00033788+0.00010928i,0.00035426+3.9586e-05i,0.00012247+0.00021711i,3.0381e-05+0.00013385i,-0.00029112+0.00025189i,-0.00056516-0.0007008i,-0.00030958-0.00082008i,-0.00015448+0.00032024i,-0.00089792+0.00029791i,-0.00095386+2.187e-05i,-0.0002976-7.0409e-06i,0.00020322-3.8173e-05i,0.00091155-1.8454e-05i,0.0008713+7.0284e-05i,0.00071352+0.00063294i,0.0015227+0.0010807i,0.0014317+0.0012877i,0.00087268+0.0014898i
4.8005e-05+0.00040496i,0.00068444+0.00048582i,0.00035554+0.00098599i,-0.00018508+0.00095639i,-5.315e-05-1.672e-05i,0.00022268-0.0006002i,3.8537e-05-0.00027199i,-4.3008e-06+0.00051156i,0.00051139+0.0003725i,0.00045386+0.00012769i,-0.00018652+0.00025072i,-5.9167e-05+0.00064353i,-0.00012553+0.00035439i,-0.0002385-0.00049942i,-0.00022944-3.8668e-05i,4.9986e-05+0.00030476i,0.00049006-0.00021211i,0.00024869-0.00027706i,-0.00027901-0.0003014i,-0.00018975+1.6355e-05i,-0.00093106+0.00016195i,-0.0012156+8.0955e-05i,-0.00080235+3.5403e-05i
-0.00091857-0.0024279i,-0.0017752-0.0024112i,-0.0016568-0.0014787i,-0.00087596-0.0013352i,-0.00038429-0.00067613i,-0.00030346+0.00063349i,-0.00033459+0.0013989i,3.2779e-05+0.00040197i,-0.00026595-9.5653e-05i,-0.0010474-8.0167e-05i,-0.0019996-0.00091689i,-0.0013914-0.00089396i,-2.6988e-05+1.8123e-05i,6.2837e-05+0.00033842i,-0.00030178-0.00010263i,-0.00087444-9.8358e-05i,-0.0015675+0.00053829i,-0.0019263+0.00039401i,-0.00092003+7.6216e-05i,0.00055713+0.00011058i,0.00049073-0.00061448i,-0.00030208-0.0012886i,-0.0010281-0.00089514i
0.00046836+0.0017196i,0.0009034+0.001157i,0.00040046+0.0011935i,4.6152e-05+0.0012058i,-0.00020712+0.00040069i,-1.7459e-05-0.00027925i,0.00015079+1.0026e-05i,-0.00064455+0.00068221i,-0.00066791+0.00069627i,0.0005652-0.00019607i,0.00062985+5.4847e-05i,0.00049296+0.00011106i,0.0010916-0.00081901i,0.00082366-0.00056027i,-8.0328e-05-0.00034176i,-0.00061314-0.0001207i,-0.00066357+0.00027587i,-0.0006382-0.00010474i,-0.00039302-0.00013049i,-0.00027619+1.5728e-05i,-0.00045334+0.00030594i,0.00017747+0.00031468i,0.00032872+0.00039487i
-0.0017091-0.0010729i,-0.0016834-0.00081922i,-0.0018252-0.00032843i,-0.00059608+0.001509i,0.00060589+0.0021188i,0.00096587+0.00093395i,0.00062472+0.00020006i,-0.00012811+1.9722e-05i,-2.3098e-06+9.0783e-05i,0.00049991+0.00078295i,0.00051211+0.00090703i,0.0003368+0.00044515i,0.0001572+9.8045e-05i,0.00019073-0.00036758i,0.00065609-0.00024197i,0.00043517+0.00036636i,-9.1112e-05+0.00072823i,5.3586e-05+0.00073399i,-0.0005689+0.00043935i,-0.00059481+8.6113e-06i,-4.5214e-05+0.0001127i,-0.00084223+0.00019681i,-0.001347+0.00017983i
-0.00056177-0.0012323i,-0.0016768-0.00032397i,-0.0012612+0.0012966i,-0.00079508+0.0011234i,-0.00076173+0.00055167i,-0.00069774+0.00030084i,-0.00069033-0.00045544i,-0.0007367-1.503e-05i,-0.00061764+0.00092972i,-0.00034471+0.00076186i,-0.00021095-0.00043295i,-0.00030281-0.0010977i,0.00021996+2.7072e-05i,0.00028316+0.0011872i,-0.00026382+0.00030402i,0.00015059-0.00037083i,0.00097796-0.00013817i,0.0010424+0.00018207i,0.0007509+0.00055577i,-0.00037823+0.0009664i,-0.0010708+0.00045576i,-0.00066687-0.00020787i,-0.00054283+0.00032019i
0.0007017+0.0018144i,0.0014316+0.00072198i,0.0010565+0.00075975i,0.0006297-7.3259e-05i,0.00029683-0.0010432i,-0.00074605-0.00088062i,-0.00057266-0.00088239i,0.0003517-0.00052244i,0.00068543-0.00015498i,0.001009-0.00014453i,0.0009332-0.00045494i,0.00014583-0.00066902i,-0.00059068-9.2927e-05i,-0.0011914+0.00033407i,-0.0012241-0.00021539i,-0.00059816-0.0003603i,-0.00020019-0.0002812i,-0.00046563+1.5585e-05i,-0.0011641+0.0002358i,-0.0011245+0.0003602i,-0.00077893+0.0001233i,-0.00099825+0.00010473i,-0.0011705+0.00012177i
0.00044739+0.0023943i,0.00040845+0.0021763i,0.0010639+0.0023094i,0.0015798+0.0026046i,0.0008361+0.0019579i,0.00014046+8.2498e-05i,-0.00030278-0.00076165i,-0.00053051+0.00044i,-0.00022902+0.00075366i,-0.00031243-0.00038257i,4.4089e-05-0.00090605i,0.00066133-0.00013724i,0.00049628+0.0002374i,-0.00064095-0.00082034i,-0.0012705-0.00099642i,-0.00082164-0.00016934i,0.00022938+0.00041976i,0.0011904+0.00045368i,0.0013058-0.0001525i,0.00089328-0.0011431i,0.00084806-0.00091116i,0.00064243+8.0964e-05i,0.00071292-0.00026983i
0.00168-0.00035599i,0.0013418-0.0016616i,0.00074828-0.0023729i,0.00077229-0.0010814i,0.00024463+7.2921e-05i,-0.00078965+0.00068627i,-0.0006937+0.0011482i,-0.00010865+0.0010786i,-5.5714e-05+0.00073656i,1.9861e-05+3.9378e-05i,-0.00029503-0.00076109i,-0.00068278-0.00073055i,-0.00067241-0.00052214i,-0.00061267-0.00039431i,-0.00096408-0.00016596i,-0.0012152+0.00034812i,-0.00048357+0.00077107i,0.00074512-0.00010119i,0.00055998+3.3456e-05i,7.7305e-06+0.00099034i,-0.00024086+0.00058272i,2.8518e-05-4.3435e-05i,-0.0001775-0.00019879i
0.0002628+0.00054651i,-0.00025656+0.00012956i,-0.00029598-0.00046873i,-0.00052182-3.1466e-05i,-0.00042652+4.675e-05i,-0.00015934+0.00028678i,-0.00029983+0.00013396i,0.0005315-0.00064227i,0.00065197-0.00035909i,-0.00027752+0.00026266i,-0.00098451+0.00042095i,-0.0010415+0.00024406i,-0.0010579+0.00049992i,-0.00098647+0.00040084i,8.405e-06+8.9722e-05i,9.4798e-05+5.8812e-05i,-0.00011267+0.00043749i,0.00014151+0.0011089i,0.0001986+0.00013585i,-0.00036588-0.0004929i,-0.00042438-0.00022705i,-0.00056209-0.00045106i,-0.0010062-0.00065411i
-0.0033256-0.00096065i,-0.002881-0.0010132i,-0.0022108-0.00056912i,-0.0010443-0.00086467i,-0.00044634-0.00094528i,-0.0001231-0.00057744i,0.00025436-0.00055045i,-0.00020683-0.00082352i,-0.0003281-0.00029113i,0.00051345+0.00061187i,0.0008433+0.00077528i,0.00064813+0.00099024i,0.00039255+0.00066952i,-0.00056207-0.00014862i,-0.0006726-0.00062664i,-0.00010416-0.00055074i,-0.00034227-0.00049684i,-0.0010971-0.00022872i,-0.0010309-0.00015453i,-0.00017561-0.00081322i,0.00059144-0.0012532i,-0.00017045-0.0010881i,-0.00083206-0.00047571i
0.0009717+0.0016108i,0.00037051+0.00071416i,-0.00066848+0.0013558i,-0.00077648+0.0015677i,0.00017001+0.0012579i,0.00082891+0.00086255i,0.00063945+0.00062244i,0.00041436+0.00031904i,0.00068415+6.0985e-06i,0.0011044+0.00020197i,0.00070663+0.00040084i,-0.00035044+0.00020676i,-0.00074158+9.2155e-05i,-0.00067344+0.0002008i,-0.0006332-0.00046354i,-0.00070699-0.00042879i,-0.00032762+0.00019496i,-0.00051923-0.00010135i,-0.00051011-0.00039027i,0.00020575-4.0342e-05i,0.00031474+1.9124e-05i,-6.2434e-06-0.00018533i,-0.00035879+4.4705e-05i
0.00026835-0.00077464i,-0.00094063-0.0021451i,-0.00088252-0.0027147i,-5.824e-05-0.0016727i,0.00023547+0.00055716i,-0.00014466+0.0014743i,-0.00059617+0.00073236i,-0.00052998-0.00030424i,0.00029369-0.00029737i,0.0008489-0.00010784i,0.00033098-0.00039626i,-0.00014216-0.00020519i,5.0269e-05+0.00096148i,-2.9872e-06+0.0011606i,-0.00027452+0.00060273i,-0.00016837+0.00028886i,0.0001967-6.6882e-05i,0.00033692-0.00012529i,0.00023069+0.00033553i,-3.8914e-06+0.00029419i,-0.00018645+0.00041966i,-0.00073481+0.00067421i,-0.0011565+0.00023558i
0.00017378+0.00058543i,0.00029218+0.00089225i,-0.0006937+0.00039593i,-0.00032861+0.00064364i,-0.00071652+0.0014029i,-0.0013978+0.0010506i,-0.0004735+0.00068656i,0.00026647+0.00088048i,-0.00054231+0.00098591i,-0.00023519+0.00024706i,0.00053684-0.00036582i,0.0003193-0.00097416i,0.00047617-0.00048718i,0.00072392+2.0779e-05i,0.00041714-0.0005488i,-0.00019409-0.00015554i,5.79e-05+0.0007235i,0.00018908+0.00083801i,-0.00058792+0.00075821i,-0.00099728+0.00046229i,-0.0005202-0.00025301i,0.00018028-0.00021525i,0.00034642-0.00075553i
0.0010742-0.0014915i,-0.00010254-0.0018243i,-0.0010698-0.0018752i,-0.0016924-0.0012252i,-0.0015828-0.00097263i,-7.5608e-06-0.00089544i,0.00087397-0.00013703i,0.000214+0.00020053i,-0.00013158-6.8739e-05i,0.00036908-7.542e-05i,0.00088846-0.00030692i,0.00072824-0.00052354i,0.0009089-0.00047714i,0.00037202-0.00034013i,-0.00045738-0.00011164i,-0.00063006-0.00010138i,-0.00094797-0.00033348i,-0.00097328-0.00027362i,-1.4397e-05-0.00012226i,0.00053086+0.00063152i,-0.00036011+0.0011641i,-0.00060482+0.00077716i,-0.00064544+0.00059389i
0.0010388+0.00098945i,0.001257+0.0011528i,0.0013823+0.0013534i,0.0011772+0.00091591i,0.0008889+0.00058133i,0.00015578+0.00091793i,-0.00046676+0.00047149i,-0.00035894-0.0002509i,-0.00028307-4.7499e-05i,-0.00014068+0.00021317i,-8.428e-05+0.0002021i,-0.00035435-0.00064353i,-5.8014e-05-0.0010934i,9.3581e-05-0.0009141i,-0.00081761-0.0012161i,-0.00059208-0.00081203i,-0.00012095-0.00022746i,-4.2716e-05-0.00037949i,-0.00053069-0.00077209i,-0.00096387-0.00043739i,1.6159e-05-0.00012744i,0.0006943-0.00097747i,0.00040253-0.0016355i
-0.0025443-0.00068265i,-0.0026427-0.00073232i,-0.0018994-0.00012065i,-0.0016738+0.00056361i,-0.00092409+0.00040419i,-0.00051439+0.00021781i,-0.00071471-7.8429e-05i,-0.00072176-0.00018258i,-8.5198e-05+0.00030374i,0.00089016+0.00065784i,0.0012809+0.00021427i,0.00052657-4.9446e-05i,-0.00013999+0.00021738i,0.00030917+0.00028135i,0.00045362+1.7284e-05i,-0.0001481-3.092e-05i,-0.00053622-0.00019486i,-0.00013056-4.7535e-05i,0.00019947-3.8448e-05i,0.00036415+0.00020048i,0.00013089+0.0010744i,-8.6283e-05+0.00078948i,-0.00038692+0.00047585i
0.00086573-0.00063869i,-0.00074437-0.00087118i,-0.00058979+7.3226e-05i,-0.00023845+0.00062192i,-0.00032506+3.2636e-05i,3.8146e-05-0.00024297i,0.00051861+0.00025532i,0.00053057+0.0002995i,0.00041165-0.00042693i,0.00018599-0.00089129i,-3.8774e-05-0.00023088i,-0.00052433+0.00077025i,-0.00076709+0.00094629i,-5.3946e-05+6.4745e-05i,0.00011754-0.00022609i,0.00017677+2.1089e-05i,-4.8302e-05+0.00040596i,0.00027834+0.0008855i,0.00069094+0.0010035i,0.00035821+0.00076086i,2.012e-05+0.00042697i,0.00052353+0.00031457i,0.00072569+0.00079659i
0.00067815-0.0012871i,0.00046659-0.0030596i,-0.00051995-0.0031862i,-0.00067609-0.0015171i,-0.00066408-0.00025891i,-0.00079298+1.9955e-05i,-0.00081001+0.00022221i,-0.00085665-1.1883e-05i,-0.00077286+0.00029881i,-0.00053731+0.00084638i,0.00029471+0.00080537i,8.4262e-05+0.00012676i,-0.00017156-0.00083685i,-0.00010771-0.00059922i,-0.00061806+0.00020288i,-0.00093866+0.00038947i,-0.00097763-0.00035965i,-0.0010048-0.00096141i,-0.00013891-0.00083423i,9.489e-05-0.00074993i,-0.00054049-0.00062604i,-0.0011198-0.00048561i,-0.00065051-0.00036273i
6.6172e-05-0.0011611i,-0.00030847-0.0017655i,0.0011739-0.0017375i,0.0016902-0.0012504i,0.00044408-0.0010345i,5.9249e-05-0.00021988i,-7.699e-05+0.00033424i,-0.00054722+0.00060937i,-0.00010293+0.000521i,8.855e-05-0.00018848i,-0.00031367-0.00054093i,0.0001545-0.00068047i,8.3877e-05-0.001104i,0.00026122-0.00030885i,0.00064466+0.00076998i,2.6001e-05+0.00023245i,-0.00019666-0.00035447i,0.00012455-0.00035871i,-0.00037289+5.3927e-05i,-0.00056796+0.00057101i,-0.0001432+0.00055216i,0.0001068+5.3088e-05i,-0.00030031-0.0001867i
0.00039103+0.00039145i,-0.00044204+0.00014195i,0.00031937-0.00084956i,0.00052367-0.0018447i,-0.00053002-0.001696i,-0.0010096-0.0010093i,-0.00080368-0.00038777i,1.951e-05-0.00015509i,0.00059407-0.0002515i,0.00087298-0.00072318i,0.00031168-0.001008i,-0.00022822-0.00064477i,-4.3735e-05-0.00020498i,-0.00074834+0.00013195i,-0.0015412+0.00010137i,-9.7465e-05+0.00064125i,0.0013548+0.00053114i,0.00097099+8.9415e-05i,0.00011902-0.0003055i,-0.0004486-0.00082496i,6.7159e-05-0.00037559i,0.0005894+0.00015812i,0.00018369+0.0002382i
-0.00047859-0.0012632i,-0.00070826-0.00060735i,-0.0011045-0.00029628i,-0.0013574+0.00032418i,-0.00066482+0.00072641i,4.823e-05+0.00078357i,0.00036424+0.0007587i,1.281e-05+0.00038978i,-0.00047297+9.524e-05i,-0.00019627-0.00014005i,-0.00016772-9.0845e-05i,-5.2122e-05+7.6943e-05i,-3.9684e-05+4.2698e-05i,-0.00066899+0.00033067i,-0.00055346-5.7498e-05i,-5.8461e-05-0.0003076i,-8.4068e-05-2.4501e-05i,-0.00044199+0.00025717i,-0.00020342+0.00012975i,0.00031745-0.00018362i,0.00041374+0.00030401i,0.00011345+0.00081143i,-0.00012253-5.5092e-05i
5.3112e-05-0.00075536i,0.0016877-0.002304i,0.0014411-0.0029754i,0.00053027-0.0023503i,-8.665e-05-0.0010507i,-0.00026479-0.00039939i,0.00072869-0.00023607i,0.00097896+3.0713e-05i,0.0013367+9.7259e-05i,0.0016973-0.00064809i,0.001238-0.0014147i,0.00021566-0.0010388i,-0.00056181-0.00029921i,-0.001315-0.00030552i,-0.001579-0.00068448i,-0.00065309-0.00074539i,-0.0009643-0.00027538i,-0.0011873+0.00020545i,-0.00040118+0.00016492i,-1.9676e-05-0.00021812i,-0.00039252-0.0001285i,-0.0001859-0.00023649i,-7.0145e-05-0.00096528i
-0.00092335-0.0015781i,-0.00087503-0.0016452i,-0.0016769-0.00057541i,-0.0017212+0.0012995i,-0.0011968+0.0013579i,-0.00030616+0.00055076i,0.00058457+0.00044547i,0.001004+8.3851e-05i,0.00077385-0.00045036i,0.00012333-0.00011013i,-7.3477e-05+0.00064071i,-2.9827e-05+0.00051374i,-0.00015032-0.00023375i,-1.6098e-05+8.5346e-05i,0.00046835+0.0009638i,0.000169+0.00044804i,-0.00056516-0.0008404i,-0.00053513-0.00095819i,0.00026816-0.00034138i,0.00078287-0.00050899i,0.00045886-0.0016651i,-0.00017431-0.0018872i,-0.00088168-0.00042776i
-0.0018659-0.00038175i,-0.001672-0.0013137i,-0.0007718-0.0004653i,-0.00044704+6.1452e-05i,-1.3633e-05+0.00052911i,0.00021157+0.0012183i,0.00014288+0.0011836i,-1.2948e-05+0.00013391i,-4.2388e-06+8.5308e-05i,0.00048323+0.0011064i,0.00077027+0.0006644i,0.00068236-6.4924e-05i,0.00056685+0.00023141i,0.00027758+0.00046609i,0.00045248-2.9279e-05i,0.0010718-0.00052654i,0.0010565-0.00010581i,0.00025984+0.00050093i,-0.00070402+0.00015869i,-0.00030815+0.00013613i,0.00056574+0.00052794i,0.00073183+0.00050458i,0.00021487+5.4273e-07i
0.0020314-0.0007658i,0.0012134-0.00086326i,-9.1933e-05-0.00035328i,-0.00081843+0.0010005i,-0.00045058+0.0013741i,-1.2389e-05+0.0012337i,7.3971e-05+0.001129i,0.00033615+0.00035428i,-6.3731e-05+2.1345e-05i,0.00024541-8.4652e-05i,0.00010738+0.00011423i,-0.00086592-3.2187e-05i,-0.0013955-0.00022282i,-0.00043428+0.00018449i,3.7097e-05+0.00086642i,-0.00049657+0.00064048i,-0.00022207+0.0002754i,-0.00017139+0.00095938i,-0.00013979+0.0014499i,0.00077121+0.00096302i,0.0012946+0.00057456i,0.00062498+0.00033715i,-0.00044756+0.00022369i
0.00021859-0.00086529i,-0.00030761-0.0016129i,-0.00094626-0.0022289i,-0.00029276-0.0017235i,0.00065997-0.00026888i,0.00017155+0.00090728i,-0.00061502+0.0016169i,-0.00024766+0.0011774i,0.00068268+0.00081473i,0.0006846+0.0012767i,0.00044357+0.0011993i,9.5337e-05+0.00025834i,-0.00074773-0.00033988i,-0.0006612-0.0003926i,-0.00040062-0.00010723i,-0.0010541-0.00018264i,-0.00072078-0.00061901i,7.4376e-05-0.00013516i,-0.00035695+0.00021767i,-0.00088416+0.00035059i,-0.00065785+0.00061762i,0.00011967+0.00061488i,0.00081728+0.00082263i
-0.001406+0.0022563i,-1.3571e-05+0.0018722i,0.00021365+0.0022545i,0.00042972+0.002508i,0.0011766+0.0012365i,0.00087306-0.00048225i,0.00055412-6.429e-05i,0.00029568+0.0006061i,-0.00010601+0.00018965i,0.0001637-1.0624e-06i,0.00026385+0.00046194i,0.00047748-0.00019638i,0.00071487-0.00075494i,-0.0001368-0.00080814i,0.00017682-0.0015332i,0.00077269-0.0010197i,0.00036916-4.9662e-05i,-1.4608e-05-0.00050229i,-0.00041694-0.00087834i,-0.00093201-0.0003873i,-0.0010944-0.00024497i,-0.00077894-0.00022641i,-0.00010321+0.00017426i
-0.00039362-0.00025161i,-0.00035267-0.00044345i,3.7329e-05-0.00012269i,0.00060889-4.5427e-05i,0.00045162-0.00055411i,-0.00012593-0.0004993i,0.00018006-0.00010298i,0.00083273-9.4267e-05i,0.00027165-0.00058127i,-0.00032013-0.00041389i,-0.00076208-0.00065852i,-0.00030915-0.00099573i,3.1493e-05-0.0007006i,-9.9756e-05-0.0003727i,0.00022048+5.6613e-05i,0.00025336+0.00044213i,0.00031883+2.5571e-05i,0.00073537-0.0010066i,0.00084395-0.00078893i,7.6736e-05-0.00049614i,-9.5455e-05-0.00078231i,0.00041887+0.00017441i,8.453e-05+0.00087824i
-0.00051261-0.00075609i,-0.0010535-0.0018547i,-0.0013064-0.0025244i,-0.00060305-0.0010571i,-0.00024901+0.00023573i,-0.00036795+0.00032701i,-0.00048224+0.0001984i,-0.0004389+0.00024157i,-0.00064116+0.00070271i,-0.00041999+0.0010149i,1.5741e-05+0.00066917i,-0.00019882+4.1826e-05i,2.7904e-05-2.2983e-06i,0.00019898+0.00078197i,-0.00044041+0.0011118i,-0.00055043+0.00052833i,-0.00011594+0.00039195i,0.00041989+0.0010594i,0.0014602+0.0012215i,0.0014018+0.00030281i,7.7308e-05-0.00045459i,-0.0003924-0.00023402i,-0.00073062-3.3201e-05i
-0.00013642+0.0011723i,-0.00018928+0.00030248i,0.00053443+6.935e-05i,0.0016181-0.00024765i,0.00059345-0.00085164i,-0.00026041-0.0015002i,-0.00030814-0.00075696i,-0.00024867-3.6968e-05i,-0.00047383-8.6968e-05i,-0.00073477-0.00047274i,-2.2456e-05-0.00038335i,0.00054134-0.00018677i,-0.00013683-0.00083536i,-0.00058942-0.0017486i,-0.00056293-0.0020779i,-0.00048818-0.0015451i,-0.00044003-0.00088395i,-0.00083569-0.00075928i,-0.00091182-0.00036849i,-0.00040678+5.1236e-05i,-0.00030033-1.1895e-05i,-7.0568e-05+0.00016867i,0.00042161+0.00059899i
0.00064032-0.0001117i,-0.00064838+0.0013931i,-0.0023849+0.0019923i,-0.0020128+0.0010853i,-0.00061544-0.00015676i,-6.6267e-05-0.00017029i,0.0002803+0.0003554i,7.1904e-05-0.00016731i,-0.00029532-0.00037743i,0.00029299+0.00061286i,0.00043169+0.0015805i,-6.6219e-05+0.0013759i,-0.00072383+0.00020659i,-0.00055821+4.0365e-05i,0.00028735+0.0003958i,0.00043566+0.00017379i,-0.00015758-0.00087995i,-0.00063729-0.0020176i,-0.00049963-0.0013519i,8.2013e-05-0.00056017i,0.00054885-0.00024327i,0.000468-2.2769e-05i,-0.00045717-0.0001958i
-0.00015192+0.0012691i,0.0010671-0.00021343i,0.0010476-0.00017501i,0.0013336-0.000199i,0.0017136-0.00037449i,0.0011574-0.00030183i,-6.6991e-05-0.0010296i,-0.00054094-0.0018655i,-0.00098919-0.00094683i,-0.00071717-0.00015591i,0.00040563-0.00058553i,0.00019668-0.00084535i,-0.0011586-0.00060397i,-0.0015983-0.00046794i,-0.00079304-0.00052192i,-0.00019653-0.00080459i,-0.0002498-0.00073119i,0.00063054-0.0007978i,0.00080017-0.00089613i,-0.00010834-0.00037345i,-0.00032973+0.00014102i,0.00079016+0.00020926i,0.0010374+0.00043084i
-0.0019088+0.00028275i,-0.0013105+0.00040331i,-0.00067014+0.00057834i,0.000301-0.00026317i,0.00086255-0.00084159i,0.00093711-0.00052373i,0.00037405-0.00044473i,-0.0012827-0.00027521i,-0.0015498+0.00053496i,-0.0003646+0.00086097i,6.7094e-06+0.00034364i,6.2905e-05-0.0001309i,0.00071073-0.00018828i,0.00055966-0.00079734i,-0.00023846-0.0011717i,-0.00098012-0.00088109i,-0.00077245-0.00057944i,0.00013015-2.3086e-05i,0.00048543+0.00045974i,0.0009994+0.00098931i,0.00088851+0.001057i,-3.4183e-05+0.00050155i,-0.00065774+0.00030236i
-0.00013447-0.0012417i,-0.00072359-0.0013026i,-0.00093792-0.0020332i,-0.0010652-0.0015025i,-8.3017e-05-0.0005304i,0.00067426+0.00070468i,0.00074984+0.00087947i,0.00098598+0.00023339i,0.00085759+0.00034791i,-4.0212e-05+0.00051113i,-0.00068511+0.00064633i,-0.0010347+0.0008402i,-0.00046598+0.00094124i,0.00035628+0.00062786i,0.00056704+0.00012934i,0.0002991+0.00012573i,-0.00073194+0.00026993i,-0.0014794+0.00037807i,-0.0011869+0.0005971i,-0.00095177+0.00069258i,-0.00094287+0.0001137i,-0.00084107+5.1487e-05i,-0.00080189+0.00034841i
-0.0011023+0.00091892i,-0.00094674-0.00012569i,-0.00023159-8.5159e-05i,-0.00042282+0.00022326i,5.1948e-05+0.00092469i,0.0002311+0.0014975i,-0.00038878+0.0012817i,-0.00037103+0.0011812i,-0.00028885+0.00080612i,0.00053977+0.00025224i,0.0013313+0.00034322i,0.00074574+0.00020472i,7.6151e-05-0.00069074i,0.00012054-0.0013622i,6.2668e-05-0.0014773i,0.00049975-0.0012257i,0.00037478-0.0010641i,-0.00039816-0.0012298i,-0.0001797-0.00079904i,-2.4839e-05+0.00044763i,0.00020208+0.0014718i,0.00025605+0.00085516i,-0.00024198-0.0006867i
-0.00018909-0.0019597i,-0.0009716-0.0022i,-0.0015281-0.001166i,-0.0014954-0.00010195i,-0.0018934+0.00087885i,-0.0015446+0.00061118i,-0.00037865+0.00062866i,0.00010789+0.00067755i,0.00057476-0.00024064i,0.00073501-0.00066722i,0.00041695-0.00047934i,-2.7803e-05+7.0666e-05i,7.8692e-05+0.00077769i,-3.5216e-05+0.00047188i,-4.3579e-05-6.7699e-05i,0.00085057-0.00026695i,0.0012124-0.0005245i,0.00056556-0.00055508i,0.00041846-0.00015814i,0.0010802+0.00023499i,0.0003951+0.00041239i,-0.00037259+8.5169e-05i,0.00024415-0.00049506i
