-0.0046856+0.0019898i,-0.0049944+0.0019981i,-0.0031861+0.0044641i,-0.0018504+0.004617i,-0.00031873+0.0027274i,0.0017167+0.0013619i,0.0015006+0.0015235i,0.0011972+0.001533i,0.0013934+0.0011902i,0.0010328+0.00073765i,0.0010916+0.00020267i,0.0014281-0.00056565i,0.00064167-0.00064437i,-0.00022171-0.00041275i,-0.0005997-1.206e-05i,-0.00050913+0.00022684i,-0.00077149+0.0013365i,-0.0008423+0.0020554i,0.000307+0.0009448i,0.00042097+0.00056636i,4.4799e-05-5.8921e-05i,-0.00027022-0.00050268i,-0.00070151-0.00026044i
0.0017588+0.00066209i,0.0010683+0.0012097i,0.0013824+0.00027118i,0.0010964-0.00097445i,-9.3758e-05-0.0015227i,-0.00077676-0.0012691i,-4.1989e-05-0.00055193i,9.5498e-05-0.00015309i,-0.00016124-0.00056409i,-2.1774e-05-0.0013444i,-0.00022147-0.0014866i,-0.0004737-0.00073749i,-0.0003669+0.00010293i,0.00023791+0.0002948i,0.00086893-0.0002657i,-0.00035705-0.0003086i,-0.0012578+9.9236e-05i,-0.00086708+0.00040864i,0.00033893+0.0006188i,0.0012356+0.00055691i,0.00091871+0.00047461i,0.00034588+0.0002602i,0.0002072+8.1654e-06i
-0.00066429+4.222e-05i,-0.001497+0.00053739i,-0.0021057+0.0018713i,-0.0017693+0.0020904i,-0.00077827+0.0017195i,-0.00023204+0.00050724i,1.39e-05-0.00057031i,0.00059587-0.00029499i,0.0006161-0.00023731i,0.00057447-0.00053954i,0.00049474-0.00039684i,0.00035933+0.00011891i,0.00072583+0.00041703i,0.0010426+0.00035975i,0.00066727+0.00027053i,-0.00047414-7.803e-05i,-0.0003661-4.2624e-05i,0.00010557+0.00023065i,-0.00035089+9.9136e-05i,-0.00054819+0.00010654i,-1.9616e-05-0.00045946i,0.00019538-0.00096945i,-0.00040017-0.00040827i
-0.00027347+0.0020638i,0.00088733+0.0015187i,0.00070135+0.0017371i,-0.00059115+0.0012897i,-0.00073724+0.0001345i,-0.00044212-0.00042364i,-0.001178-0.0004452i,-0.0019083+2.9569e-05i,-0.0016689+0.00035837i,-0.0013703+0.00034016i,-0.0010701+0.00017127i,-0.00073702-0.00038531i,-0.00035626-0.00074964i,-0.00035597-0.00033196i,-0.00067253+0.00023787i,-0.00024677+0.00048994i,0.00077651+0.00020752i,0.00059351+0.00011898i,0.00016566+0.00056594i,0.00045126+0.0011217i,0.00096545+0.0012284i,0.0004051+0.0010902i,-0.00060872+0.00073711i
-0.0017939+0.001654i,-0.0017794+0.00077325i,-0.002364+0.0015662i,-0.0015774+0.0023735i,-1.554e-05+0.0012134i,0.00092361-5.2145e-05i,0.00052339+0.00013892i,-0.00036798+0.00060722i,-0.00032924+0.00067635i,-0.00040469+0.00081087i,-0.00069003+0.00099769i,0.00014704+0.00099047i,0.00079115-0.00017597i,0.00025825-0.00053926i,-0.00015517+2.4525e-05i,-0.00042692+8.0537e-05i,-0.00027405+0.00031863i,0.00016866+0.00025704i,0.00084183-0.00080084i,0.00080491-0.00043926i,0.00024011+0.00027244i,-0.00021991+0.00013834i,-0.00025093+0.00043537i
0.0014955+0.00084679i,0.00090778+0.0029451i,0.001026+0.0032298i,0.0016833+0.00054645i,0.0014501-0.0013473i,0.00031148-0.00070995i,-6.3504e-05-5.0094e-05i,-0.0004199-0.00054938i,-0.00076978-3.6119e-05i,-0.00084268+0.0012178i,-0.00094058+0.00067251i,-0.00088424+0.00015431i,-0.00043781+0.00043424i,0.00088121+0.00022661i,0.0011346+0.000398i,0.00029488+0.00056677i,0.00011777-3.82e-05i,0.00034492+6.6177e-05i,0.00011651+0.00038943i,-0.00037722+0.00045126i,-0.00048371+0.00018605i,-0.00017712+0.00013645i,-0.00021873+0.0002884i
-0.0010924-0.0010547i,-0.001361-3.0702e-05i,-0.001229+0.0005563i,-0.0011445+0.00076794i,-0.0010593+0.00093351i,-8.4292e-05+0.00062068i,0.00063775+0.00030068i,0.0002719-0.00022934i,5.3732e-05-0.00080079i,0.00017159-0.00059611i,0.0001324+0.00019017i,-2.1726e-05-0.00021692i,-3.0671e-05-0.00043664i,-0.00019926+0.00021459i,-0.00028079+0.00025365i,-0.00037913+0.00010042i,-2.5481e-05+5.0776e-05i,-0.00021516-0.00011516i,-0.00065164-0.00015318i,-7.447e-06-0.00018638i,0.00024243+0.00029929i,0.00058849+0.0005393i,0.00069733+0.00054894i
0.0015688+0.0025855i,0.0017934+0.0024619i,0.0024527+0.0018043i,0.0025404+0.00060366i,0.0016979-0.00057199i,0.00054651-0.00088232i,0.00025424-0.0010022i,0.00074379-0.0014046i,0.00084107-0.00088996i,0.00072002-0.00060478i,0.00059283-0.00147i,-0.00015477-0.00088004i,-2.1059e-05+0.00015012i,0.00030168-1.0919e-05i,0.00048628-3.1269e-05i,0.0002807-0.00011955i,0.00041321-0.00038483i,0.00086838-0.00017051i,0.00066778+7.6088e-05i,0.00069051+0.00024998i,-0.00026362+0.00031237i,-0.00058707-2.4225e-05i,-0.00050977-0.00031549i
-0.0027484-0.00086926i,-0.002842-3.9919e-05i,-0.0029808+0.0011031i,-0.0024334+0.0023155i,-0.0019662+0.002153i,-0.0011226+0.0010728i,-0.00083142-8.1545e-05i,-0.00080441-0.00065275i,-0.0010733+0.00023025i,-0.0010095+0.00040561i,-5.8217e-06-0.00024959i,-2.838e-05-0.00036244i,-0.00053777-0.00031009i,0.00050844-3.8718e-05i,0.0014999-6.7862e-05i,0.00085276-0.0001179i,0.00037745+0.00042921i,0.00062525+0.00063669i,0.0008358+0.00019235i,0.00072436-0.0004659i,0.00087227-0.00053799i,0.00080397-6.6306e-05i,6.6867e-05-0.00037498i
0.00066887+0.0015076i,0.00028072+0.0020332i,0.001041+0.0017239i,0.002041+0.0013172i,0.0021394+0.00082404i,0.0013955+7.3068e-05i,8.4075e-06-0.00070957i,-0.00066925-0.0011636i,-0.00048361-0.00069563i,-0.00012072-0.00011487i,-6.8672e-05+0.00048574i,-0.00010974+0.00034996i,-0.00065527-4.7778e-05i,-0.0012732-0.00017663i,-0.00054484-0.00026515i,0.00020929-0.00038306i,3.748e-05-8.534e-05i,-0.00020695+0.00017281i,0.00097564+0.00013262i,0.0010272+6.0695e-05i,5.3768e-05-3.2099e-05i,-0.0002627+0.00032132i,-0.00028656+0.00041554i
0.0009336-0.00055326i,-0.0001531-0.00038403i,-0.0017153-0.00045135i,-0.0029531-0.00097395i,-0.0025967-0.000689i,-0.0019803-0.00080436i,-0.0014273-0.0010383i,-0.00098838-0.00018051i,-0.0007548+0.00043797i,-0.00059572+0.00099302i,-0.00074568+0.00093671i,-0.00054534+0.00085328i,-2.8972e-05+0.0011887i,0.00046201+0.00069183i,0.00052813-0.00046108i,0.00034609-0.00072741i,-0.00016856-0.00023385i,-0.00057791-0.0001085i,-0.00018963-0.0007508i,3.5964e-05-0.0005323i,-0.00016094+0.00011232i,-0.00025397-0.00012377i,0.0002068-0.00047483i
-0.00061981+0.0010208i,-0.0012886+0.0013636i,-0.00066852+0.0030087i,3.5837e-05+0.0031926i,0.00023297+0.0016926i,-0.00046226+0.0008979i,-0.00052368+0.00038669i,2.5135e-05+0.00060715i,8.7511e-06+0.00064255i,0.00037629+0.00040644i,0.00039423+7.3232e-06i,0.00025671-0.00028781i,0.0004484-8.5549e-05i,-0.00022011+3.2179e-05i,-0.00076086-0.0003335i,-0.00084916-0.00095997i,-0.00091155-0.0010629i,-0.0004372-0.00030289i,0.00010633+5.6726e-06i,2.491e-05-0.00023448i,-0.00042736-4.3188e-05i,-0.00063762+0.00016364i,-0.00038881+5.3203e-05i
-0.00087705+4.6848e-05i,-0.0004298+0.000542i,-0.00060927+0.0012138i,-0.00082761+0.00054645i,-0.00022102-0.00070388i,0.00014672-0.0014751i,6.0384e-05-0.0014329i,-0.00037688-0.00063124i,-0.00054212-0.00033973i,-0.00045629+0.000314i,-0.00085324+0.00050905i,-0.00040621-0.00020077i,0.00023652-0.00075293i,-5.4827e-05-0.0013079i,-0.00055553-0.00037307i,0.00011449+0.00083197i,0.00053717+0.00069989i,0.00062164+0.00058025i,0.00097956+0.0012503i,0.0004837+0.0010248i,-3.9816e-05+5.7302e-05i,-0.00082371-0.00041022i,-0.00074688+0.00014187i
-0.0015403-0.0013175i,-0.0015835-0.0013487i,-0.0017943+0.00019139i,-0.00092691+0.00048791i,5.1407e-06+0.00019511i,-0.00020635+0.00023622i,-0.00057528+5.2967e-05i,-0.00037921-0.00025552i,-0.00036096-0.0013149i,-0.00051991-0.0018726i,-0.00080492-0.0013279i,-0.00053927-0.00070205i,-6.6458e-05-0.00028595i,5.5762e-06+0.00023867i,-0.00028214+0.00031159i,-0.00037692-6.7335e-05i,0.00021232-0.00045179i,0.00045269-0.00085338i,0.00034952-0.0010507i,0.00015515-0.00079208i,8.2834e-05+8.6466e-06i,1.6982e-05-0.00015523i,5.1232e-05-0.0008336i
-0.00056782+0.0013069i,-4.2855e-05+0.0029093i,0.00089409+0.0032811i,0.0016803+0.0025262i,0.0014225+0.00041491i,0.00093246-0.00067148i,0.0010928-0.00095892i,0.000832-0.0010788i,-0.00014693-0.00029857i,-0.00048712-6.7652e-05i,-0.00057054-0.00035124i,-0.00050204-4.0228e-05i,0.00054743+0.00032757i,0.00044582-0.00034051i,-0.00015034-0.00073351i,3.9401e-05-0.00014539i,0.00043957-4.1909e-05i,0.0005083-5.8291e-05i,0.00049913+8.7937e-05i,5.9878e-05+0.00043509i,-0.00088433+0.00032623i,-0.0013154-0.00092939i,-0.0010188-0.0016318i
-0.00082092-0.0012381i,-0.0016683-0.00023258i,-0.0019629+0.00035205i,-0.0026462+0.00084433i,-0.0024596+0.0013759i,-0.0021054+0.001643i,-0.00068282+0.0017851i,0.00078974+0.0010802i,0.00040479+0.00067836i,-0.00054618+0.00085023i,-0.00017007+0.0011679i,0.00041438+0.0010519i,-3.1659e-05+0.00042135i,-0.00043584+0.00031322i,-0.00070057+0.00095987i,-0.00024611+0.0010072i,0.0006092+0.00016414i,0.00075717+0.00027894i,0.00062879+0.00070649i,0.00021709+0.00051739i,-0.00014391+0.00028731i,-0.00010118+0.00056132i,-0.00033385+0.00095597i
0.00084289-0.00093776i,-0.00095084-0.0014137i,-0.00099112-0.0013584i,0.00035784-0.00085156i,0.00087082+0.00013523i,3.5426e-05+0.00028599i,5.007e-05-0.00041606i,0.00059911-0.00048911i,0.00067234+0.00059534i,0.0011506+0.0012227i,0.0018263+0.0015841i,0.0012186+0.0012696i,0.00035321+0.00015153i,-1.8962e-05-0.00097526i,0.00033647-0.0015184i,0.00022193-0.00041247i,-0.00077858+0.00079913i,-0.00080162+0.00083022i,4.0545e-05+0.00056095i,0.00045277-0.00015654i,0.00044686-0.0010989i,-9.0223e-05-0.00069766i,-0.00060436+0.00017986i
-0.0012696+0.001207i,-0.00021053+0.0010788i,-0.00080579+0.0012342i,-0.0016809+0.00090186i,-0.001449+0.00038514i,-0.00033424-8.1749e-05i,0.00047616-0.00067359i,0.00041506-0.00075846i,0.00058532-0.00093968i,0.0010371-0.00040328i,0.0011767+0.00014055i,0.00096069-0.00014414i,0.00049032-0.00047449i,0.00014712-0.0010775i,-0.00041869-0.0012231i,-0.00067464-0.00095349i,-0.00051408-0.00015451i,-7.8681e-05+0.00011066i,-0.00025104-7.7148e-05i,-0.00037512+9.3397e-05i,-0.00030223+0.0003854i,-0.0005685-6.2831e-05i,-0.00091869-0.00058188i
-6.6724e-05-0.0012964i,0.00037949-0.00076677i,0.00036133+0.00031436i,0.00034943+2.4636e-05i,0.00068847-0.00044815i,0.00070877-0.00026088i,0.00082026-0.00077771i,0.00046637-0.0017511i,-0.00025733-0.0015587i,4.2674e-05-0.0012888i,0.00026062-0.0011994i,-0.00029701-0.0014215i,-0.00021061-0.00084461i,-0.00030878+0.00036872i,-0.00085199+0.0001194i,-0.00068717-0.00024168i,-0.0004115+0.00015445i,0.00022844-0.00024472i,0.0011126+1.3925e-05i,0.001173+0.00044524i,0.00065571+0.00070064i,0.00051718+0.00088481i,0.0005628-0.00050898i
-0.0010537+0.0003649i,-0.0022746+0.0010386i,-0.0031467+0.002102i,-0.0026341+0.0020725i,-0.0010995+0.0010895i,-5.3452e-05+0.00042545i,3.6086e-05+2.2735e-06i,-4.6291e-05-0.00069004i,-0.00085441-0.00062828i,-0.0013724+2.9962e-05i,-0.0013691-0.00023682i,-0.0006639-0.00070339i,-0.00052899-1.4945e-05i,-0.00047207+0.00079944i,-0.00014864+0.00072236i,5.2181e-05+4.2279e-05i,-0.00018574-0.00020105i,-2.3509e-05-5.4966e-05i,0.00074918-0.00033112i,0.00099549-0.00029901i,0.00057879-0.00037458i,0.0005013-0.0002384i,-0.00023336+1.9145e-05i
0.0011277-0.001953i,0.000362-0.0013247i,-0.0015307-0.00039137i,-0.0026934-0.00031787i,-0.0024516+0.0009974i,-0.0015056+0.0021547i,-0.0011145+0.0017173i,-0.00085026+5.8633e-05i,-0.0011304-0.00079719i,-0.0016916+0.00022084i,-0.0013987+0.0013543i,-0.0006999+0.0011344i,-0.00088769+0.00053438i,-0.00075472+0.00060907i,-0.00018868+0.00051086i,-0.00060837-0.00034942i,-0.0015726-0.0010144i,-0.0013065-0.0010174i,-0.00050221-0.00032716i,0.00011356+0.0010321i,0.00033626+0.00082756i,0.00015507-0.00074595i,0.00053389-0.00109i
0.00027067+0.0012604i,-0.00011795+0.0019509i,0.00062357+0.002304i,0.001882+0.00094506i,0.0027969-0.00088184i,0.0015731-0.0017868i,5.8561e-06-0.00091099i,-0.00039975+0.00039252i,-0.00024948+0.0012145i,-1.9972e-05+0.0020168i,-0.00042952+0.0014774i,-0.00038525+0.00058163i,-0.00010267+0.00063836i,0.00030701+0.00070749i,0.00036263-7.5762e-05i,-0.0001073-0.00066053i,8.3827e-05-0.00024456i,0.00032655-0.00037086i,0.00030424-0.00052392i,-0.00012379-0.00089741i,-0.00026171-0.00081738i,-0.00033153+0.00030325i,-0.00026181+0.00037254i
-0.0012006-0.00065949i,-0.0013541+0.00088998i,-0.0022138+0.0026193i,-0.0019859+0.0027556i,-0.00055765+0.0016341i,0.00024466+0.00012708i,0.00052739-0.0006637i,0.0010011-0.00041839i,0.0021263+3.3545e-05i,0.0023888+0.00062958i,0.0012102+0.00011914i,0.00070518-0.00024679i,0.0012651+8.8314e-05i,0.0008512-0.00063938i,-0.00046879-0.00078443i,-0.0014379-0.00020241i,-0.0014045-0.00013252i,-0.00086363+0.00039553i,-0.00034831+0.00086942i,0.00025298+0.0001176i,-8.2386e-06-0.0002756i,-0.00038601+0.00016307i,0.00013743+8.4386e-05i
0.00053208+0.00025923i,-0.00022764+0.00063762i,0.00013885+0.00020676i,0.00043232-0.0004276i,0.0004214-0.0010182i,0.00021043+4.6828e-05i,0.00045159+0.0009491i,0.00016176-0.00033739i,0.00030759-0.0012833i,0.00071939-0.0017585i,0.00042928-0.0015944i,5.8352e-05-0.00019362i,3.1598e-05+0.00066983i,-0.00033786+0.00059792i,-0.00023042+0.00037297i,0.00015684+0.00092454i,-0.00028781+0.0011662i,-0.00078936+0.00031202i,-0.00032435-0.00065186i,-0.00046625-0.0015698i,-0.0011423-0.0016796i,-0.0010934-0.0011942i,-0.00058581-0.00066978i
-0.0026296+0.0022622i,-0.0025418+0.0026447i,-0.001255+0.0036513i,-1.3341e-06+0.0030255i,0.0011732+0.001514i,0.0011525+8.1452e-05i,0.00053227-0.00041615i,0.00025244-0.00042547i,-0.00014558-0.00092559i,-0.00063789-0.00033463i,7.3716e-05-0.00043157i,0.0011747-0.0008496i,0.0011612-0.00055772i,0.00032656+8.0128e-05i,-0.00019228-3.8921e-05i,0.00016135-0.00039665i,0.00077048-6.381e-05i,0.00092623-8.6351e-05i,-0.00017512-0.00027909i,-0.0011682-0.00016513i,-0.00092287-0.00045719i,-0.00034086-0.0011681i,-0.00027976-0.00023377i
-0.00022515-0.0030472i,-0.00048042-0.0017501i,-0.0012614-0.0016977i,-0.0019199-0.0016121i,-0.0012686-0.00077839i,-0.00087253+0.00011836i,-0.00057768+0.0001866i,-0.00080553-0.00049157i,-0.0021132-0.00098712i,-0.0020788-0.00076383i,-0.0011529+0.00024624i,-0.00052586+0.00097949i,0.0007448+0.0013769i,0.00081898+0.001478i,0.0001873+0.00091546i,-0.00034794+0.00065165i,-0.00062785+0.00032886i,-0.00070706+0.00015308i,-0.00022448+0.00032104i,0.00047935+0.0003188i,3.2523e-05+0.00045517i,-0.00058758+6.6835e-05i,-0.00065799-0.00019626i
0.0030189-0.00022978i,0.0021914-0.00012074i,0.001678-0.0016653i,0.00032508-0.0021485i,-0.0012743-0.0019194i,-0.0017368-0.0013914i,-0.00034166-0.00020193i,0.00046207+0.00067734i,-0.00041732+0.0013602i,-0.0011923+0.0013475i,-0.0010106+0.001238i,-0.00066987+0.0010628i,-0.00015637+0.00040315i,0.00038747+0.00026185i,0.00043254+0.00067543i,0.00036201+0.00072488i,0.00029757-3.9149e-05i,0.00025206-0.00047766i,4.6314e-05+0.00023514i,-0.00020338-0.00047661i,0.00038113-0.00075071i,0.00038349-4.4269e-05i,-2.3068e-05-0.00050058i
-0.0010398+4.8774e-05i,-0.0014694+0.00057838i,-0.00083115+0.0026771i,9.4508e-05+0.0036692i,0.0006434+0.0020487i,0.0010532-2.8007e-05i,0.0013835-0.001033i,0.00030073-0.0015471i,-0.00035696-0.00099618i,0.00040256+0.00083032i,0.0011995+0.0016571i,0.0013473+0.00071548i,0.001341-0.00056378i,0.00062995-0.00079338i,-0.00039212-0.0010401i,-0.00047229-0.0011775i,0.00011112-0.00043256i,0.00074722+0.00086313i,0.00014154+0.0014617i,-0.00080043+0.00069976i,-0.00060447-3.5011e-05i,-7.2531e-05-0.00019389i,0.00049194-0.0004137i
0.00062524+0.0019447i,0.00054485+0.0013283i,0.0011369-0.00065526i,0.0012086-0.0024244i,0.00092896-0.0025196i,-1.4156e-05-0.0016344i,0.00035529-0.00092476i,0.00070346-0.00017365i,0.0005613+0.00056967i,0.00073321+4.8961e-05i,0.00045413-0.00048385i,-2.3868e-05-0.00045266i,-0.00028728-7.7138e-05i,2.2578e-05-8.2164e-05i,-0.00023744-0.00048536i,-0.00062036-0.00085388i,-0.00027301-0.0008482i,-0.00015457-0.00010864i,0.00012373+0.000219i,0.00039972-0.00018789i,0.00048661-0.00026826i,4.3296e-05-6.9014e-05i,0.0001067+0.00015535i
-0.0014397+0.00097681i,-0.0015286+0.0018427i,-0.0018622+0.0026662i,-0.0014091+0.0027988i,-0.0007999+0.0022545i,-0.0001925+0.0010693i,0.00063395+0.00023241i,0.00070449-0.00019964i,0.00080848-0.00063415i,0.000422-0.0005336i,-0.0005871-0.00092279i,-0.0012073-0.00072767i,-0.0010116-5.4448e-05i,-0.00075393+0.00080295i,-0.0010497+0.00098053i,-0.0010696+0.00025446i,-0.00081902-9.1252e-06i,-0.000353-2.8534e-05i,0.00015875+0.00072789i,0.00064694+0.00053858i,0.00048674-6.6044e-05i,-0.00088549-0.00010472i,-0.0012558+6.213e-05i
-0.0017205-0.00016378i,-0.0023355+0.00028631i,-0.0015944+0.0014455i,0.00023426+0.0020253i,0.0015459+0.0010512i,0.0010083+0.00063454i,0.00058798+0.00040937i,0.0003303-0.00073757i,-0.00047435-0.0015339i,-0.00079159-0.0021788i,-0.00059756-0.0018488i,6.9746e-05-0.0005851i,-0.0001579-0.00017575i,-0.00096056-6.8321e-05i,-0.0010695+0.00019236i,-8.9066e-05+0.00022495i,0.00048334+5.9245e-05i,0.00044769-0.00074144i,0.00070462-0.0011293i,0.00045953-0.00048452i,0.0007246-0.00031705i,0.00055204-6.386e-05i,7.0903e-05+4.0148e-05i
-0.0016742+0.00074701i,-0.0020504+0.00061182i,-0.0018189+0.0019129i,-0.00049223+0.0019628i,0.0016665+0.0013798i,0.0018446+0.0012717i,0.00025898+0.00069287i,-0.0018081-0.0005075i,-0.0025849-0.0010868i,-0.0022182-0.00066193i,-0.0014094+0.00017985i,0.00019412+0.0010506i,0.00034364+0.00098269i,-0.00016794+0.00032439i,-4.07e-05-1.779e-05i,-0.00037103-0.00022654i,-0.0014233-0.00016714i,-0.0015839-0.00015404i,-0.00095522-0.00093195i,-0.00050976-0.00076964i,0.00024537-0.00011463i,0.0005981+0.00026951i,0.00027169-7.728e-05i
-0.0028543+0.00028211i,-0.0031754+0.00085462i,-0.0024789+0.00169i,-0.0011274+0.0015011i,-0.00025177+0.00044787i,-0.00018401-0.00042295i,-0.00039433+0.00015668i,7.9707e-05+0.00067328i,5.4279e-05+0.00069593i,-0.00035637+0.00093725i,-9.8952e-05+0.00059061i,7.3711e-05-0.00041142i,0.0005791-0.00084083i,0.0013826-0.00030927i,0.0011319-0.00013223i,-0.00027277+9.6967e-05i,-0.00023656+0.00061688i,0.00089847+5.8195e-05i,0.00076116-0.00033633i,-0.00022807-0.00012745i,0.00018752-0.00090994i,0.0007881-0.0011819i,-0.00011373-0.0010976i
-0.001436-0.0012977i,-0.0012921+8.6155e-05i,-0.002873+0.0016413i,-0.0029688+0.0024474i,-0.0015759+0.0029531i,-0.00093352+0.0023874i,-0.00061119+0.00037962i,-0.00026556-0.00067621i,0.00057597+0.00061523i,0.0011958+0.0015979i,0.00045635+0.00099313i,0.00033928-3.3274e-05i,0.00056707-0.00028767i,0.00031768-0.0005059i,0.00049551-0.00077033i,0.00031962-0.00031692i,-0.00035409+0.00026654i,-0.00063428-9.5421e-05i,-0.00047801-0.00040311i,-0.00024526-0.00026347i,-0.00036533+0.0003218i,-3.5622e-06+0.0005089i,0.00038895-0.0001752i
-0.00029671+3.5637e-05i,-0.000549+0.00083515i,0.00017106+0.00071026i,0.00047762+0.00029859i,0.00064602+0.00036656i,0.0010793+0.00065155i,0.00066415+0.0010053i,0.00040767+0.00087312i,0.0011419+0.00024631i,0.0016176-0.00038126i,0.0013534-0.00038693i,0.0010108+0.00054449i,9.4953e-05+0.00067271i,-0.00063792+0.00036904i,-0.00096258-0.00065008i,-0.00053454-0.0012872i,-0.00030608-0.00015434i,2.7076e-05+0.00054455i,0.00087772+0.00072744i,0.0010625+0.00043917i,0.00066775-0.00022463i,-0.00011293+0.00054207i,-0.00082088+0.0013018i
0.00026029+0.0007747i,0.0011384+0.00064545i,0.0010111+0.00051026i,-5.7771e-05+0.00022423i,-0.00043881-0.00046757i,-0.00016712-0.00018441i,-0.00046234-0.00027917i,-0.00024667-0.0010055i,0.0012147-0.0014518i,0.0014097-0.0012748i,8.9769e-05-0.00068011i,-0.00085416+0.00026794i,-0.00076322+0.00042751i,-4.1264e-05+0.00042635i,-0.00047079+0.00029598i,-0.00099612-0.00010677i,-0.00058078+4.6852e-05i,-0.00024832-0.0005538i,7.7982e-05-0.00070264i,0.00054211-0.00047334i,0.00067525-0.00077272i,0.00096875-0.00066715i,0.00070032-3.5626e-05i
0.00039839-0.0023534i,-0.0013211-0.0024296i,-0.0023148-0.0019082i,-0.0022654-0.001206i,-0.0018664-0.0003347i,-0.0009745+2.0558e-05i,-2.7899e-05+0.0001273i,-0.00014137-0.0004241i,-0.00092739-0.0012108i,-0.0010365-0.00073663i,-0.00017401-0.00012982i,0.00018929-0.0002099i,0.00043395+3.5611e-05i,0.0010856+0.00019627i,0.0015416+9.6381e-05i,0.00075103+0.00088741i,-2.3732e-05+0.0010453i,-0.00028347+0.00040664i,-0.00042904-0.00026224i,4.7865e-05-0.00036737i,-0.00023416-0.00048207i,-0.00027974-0.00059754i,-8.3399e-06-0.000176i
-0.00019812+0.00028748i,-8.0669e-06+0.00086054i,-0.00020275+0.0020708i,0.00089546+0.0017007i,0.0017928+0.00080598i,0.00041575+0.00029209i,-0.00099803-0.00032999i,-0.0011104-0.00063758i,-0.0010811-0.00010469i,-0.0012625-3.4996e-05i,-0.0010689-0.00027911i,-0.00021883+0.00018031i,-5.933e-05-0.00032709i,-0.00022085-0.0011377i,-4.8114e-05-0.00097253i,0.00020636-0.00064125i,0.00050812-0.0001588i,0.00043087-0.00020573i,0.00033343+6.3053e-05i,0.00054063+0.00031675i,0.00090017-0.00065895i,0.00097067-0.00064415i,8.1633e-05-0.00015051i
-0.0031917+0.00015002i,-0.0037094+0.0016678i,-0.0036746+0.002701i,-0.0019648+0.0029227i,0.00042465+0.0018636i,0.0010347-0.00012292i,-0.00064811-0.00068909i,-0.0011249-0.00059035i,-0.0005962+0.00027097i,-1.1593e-05+0.0013226i,0.00056045+0.001343i,0.00046273+0.00076224i,0.0007111-0.00022555i,0.0011069+2.3204e-05i,0.00058838+0.00022317i,0.00014635-0.00021192i,1.736e-05+0.00014374i,-0.00078078+0.00059479i,-0.0014789+0.00042394i,-0.00064065+1.4662e-05i,0.00014419+0.00019796i,-0.00032376+0.00024783i,-3.9943e-05+0.00012101i
0.00052099-0.00038643i,-0.00025855-0.0013845i,-0.0016775-0.0016679i,-0.0021726-0.0013473i,-0.0016794+0.00015116i,-0.0010794+0.0008638i,-0.00034104+0.00045992i,0.00034418-0.00020599i,0.00032708+0.00030817i,0.00029435+0.0010017i,0.00053034+0.00048277i,0.00015284-0.00020014i,-0.00029095+0.00020153i,-0.00097094-0.00015342i,-0.0013523-0.00086041i,-0.00065465-0.00040032i,-0.00047068-0.00028991i,-0.0006213-0.00098555i,-0.00067105-0.00066603i,-0.0009491+0.00012321i,-0.00089195+0.00035682i,-0.0010809+0.00031268i,-0.00070726+0.00035238i
0.000288+0.0017334i,-0.00031049+0.0016395i,-0.00086632+0.0015409i,-4.1644e-05+0.0023278i,0.00015953+0.0023336i,-5.0138e-05+0.0010455i,0.00052121+7.6693e-05i,0.00069983-0.00017001i,0.00067071-0.00047968i,0.0010429-0.00088322i,0.0014131-0.0011789i,0.0012391-0.0011287i,0.00099362-0.00034101i,0.00023838+0.00015464i,-0.00066523+0.00015729i,-0.00061911+0.00011983i,-0.00042668-0.00027234i,-3.8046e-05-4.4865e-05i,0.00051683+0.00024627i,0.00027616+0.000225i,0.00023786+7.595e-05i,-0.00016589-0.00064492i,-0.00027978-0.00074133i
-0.0014916+0.0016174i,-0.0015682+0.0017852i,-0.0014281+0.002995i,-0.00074318+0.0026579i,0.00029526+0.001142i,0.00069839-0.00017746i,0.00063326-0.0013149i,0.00079681-0.0017074i,0.00017534-0.0010748i,-0.00026538-0.00046088i,-0.00075037-0.00021861i,-0.0010201-0.00040417i,-2.2363e-05-0.00062833i,0.00074483-0.00019048i,-2.0585e-05-0.00010088i,-0.00090949-0.00020215i,-0.0008469-0.00021561i,-0.00066589+9.9618e-05i,-0.00060835+0.00025856i,1.3219e-05-0.00073988i,0.00052476-0.0010443i,-5.8148e-05-0.00045983i,-0.00060147+0.00016006i
-0.0018142-0.00060028i,-0.0025364+0.00048737i,-0.0019479+0.0019096i,-0.00047246+0.0022244i,0.00020932+0.0017375i,0.00058512+0.00052365i,0.0010272-0.00060864i,-0.00021775-0.00049264i,-0.0018247-0.00046763i,-0.0013505+0.0001622i,-0.00017008+0.00073069i,-0.00010505+0.00069171i,-0.00083179+6.0448e-05i,-0.00040764-0.00014073i,0.0013519+0.00090623i,0.001904+0.00070106i,0.0019435+0.00043196i,0.0021019+0.00091332i,0.0014421+0.00056581i,0.0011178+0.00062459i,0.00052439+0.0011056i,-0.00032612+0.00082945i,-0.00064358+0.00059264i
