-0.0016589+0.00077077i,-0.0012044+0.00035745i,-0.00067937+0.0011381i,0.00013536+0.00058002i,0.00048491+0.0011534i,0.00051934+0.0016293i,0.0012105+0.0007429i,0.0015898+0.0010336i,0.0016975+0.0010961i,0.0015548+0.00017683i,0.00096349-0.00064512i,-0.00034249-0.0006797i,-0.00064322-0.00079033i,-7.0142e-05-0.00081973i,6.7137e-06-0.00078747i,-0.00071942-0.00078056i,-0.00031296-0.00030583i,0.00017333+0.00054631i,-7.3162e-05+0.00063091i,-0.00017776-0.00016831i,-9.2404e-05-0.00040931i,-0.00012557-0.00067963i,-0.00050579-0.00063481i
-0.0018651+0.0024964i,-0.0010053+0.0028062i,-0.00037858+0.0034199i,0.00062526+0.0024541i,0.0010702+0.00099883i,0.00041829-0.00010101i,-0.0001671-0.00016764i,-8.7812e-05-0.00016742i,0.00064037-0.0006001i,0.00036849-0.00066572i,-9.2577e-05-0.0005864i,-0.00043498-0.001343i,-0.00039334-0.0010872i,-5.7046e-05-0.00053208i,0.00020314-0.00061728i,0.00054236-0.00065759i,0.00088875-0.00027907i,0.00095526+0.00057862i,0.00019737+0.00048935i,-0.00027738-3.7453e-05i,-9.3892e-05-0.00036893i,-0.00019467-0.00063339i,-0.00065965-0.00076244i
-0.00068715+0.00137i,-0.00077607+0.0018652i,-6.7558e-05+0.0027927i,0.00061279+0.0034948i,0.00045873+0.0035808i,-0.00042017+0.0022054i,-0.00049857+0.0011918i,-0.00019388+0.00097557i,-0.0006874+0.00088899i,-0.00041163+0.00032352i,0.00048305-0.00063427i,0.00022393-0.0012764i,-0.00033263-0.0013991i,-0.00025703-0.0017667i,0.00021169-0.0021368i,0.00028258-0.0014159i,0.00015802+0.0001099i,0.00030955+0.00049282i,0.0005623+0.00012385i,0.00073057+0.00053064i,0.00074693-9.6975e-05i,0.00015897-0.00064138i,-3.3749e-05-0.00048755i
0.0017592-0.0012521i,0.00054004-0.00079012i,-0.00011731-3.4562e-06i,0.00059124+0.0013579i,0.0010389+0.001251i,0.00073531+0.0001845i,0.00030859-0.00013966i,0.00018491-3.0573e-05i,0.00042617+0.00043731i,0.00034023+0.00041091i,0.00056823-0.00027954i,0.00028927-0.00051454i,0.0002558-7.4349e-05i,0.0009901+0.00088886i,0.00069377+0.0016337i,-0.00011511+0.0022708i,-0.00015174+0.0016242i,0.000549+0.00021398i,0.00022386+0.00019784i,-0.00012568+0.00060676i,0.00037292+0.0007311i,0.00066803+2.0709e-05i,0.00042525-0.0010884i
0.00088462+0.0034185i,0.0010824+0.002759i,0.00089056+0.0020374i,-0.00027492+0.0011372i,-0.00078606+8.3326e-05i,-0.00083802+0.0005747i,-0.0010798+0.0011917i,0.00014689+0.0012357i,0.0013627+0.00037048i,0.0024111-0.0010787i,0.0021821-0.0012897i,0.00047987-0.0013917i,-0.0001988-0.0014146i,-0.00056439-0.0010995i,-0.0015426-0.00098506i,-0.00123-0.00049159i,-2.8975e-05-0.00026902i,0.00040184-0.00027632i,0.00020409+0.00029076i,-1.1751e-05+0.00041795i,0.00054963+0.00017127i,0.0006701+0.0002219i,0.00048056-9.7148e-05i
-0.0013521+0.001075i,-0.000874+0.0019792i,-0.00010669+0.0042515i,0.00074322+0.00504i,0.0016356+0.0037711i,0.002052+0.002651i,0.0010834+0.0012717i,0.00029324+0.00066591i,-0.00011967+0.00054075i,-0.00045836-0.00027083i,-0.00050529-0.0011247i,-0.0004083-0.001627i,-0.00041507-0.0013318i,2.0114e-05-0.00027357i,0.00077756+0.0002555i,0.0010841-0.00056181i,0.0013215-0.00039288i,0.000776+0.00039776i,-0.00017401+0.00044432i,-0.00067636+0.00051021i,-0.00056086+0.00044037i,-0.00061662+0.00020064i,-0.00025504-0.00040569i
0.0003325-0.00070209i,-0.0011452-0.00078966i,-0.0024785-0.00018591i,-0.0022419+0.00049837i,-0.00024961-1.214e-05i,0.00037405-0.00091126i,-9.7744e-05-0.00041981i,0.00017114-0.00021908i,0.00027751-0.0002859i,-0.00020718+0.00048391i,-0.00042294+0.00041846i,-0.00042971-0.000667i,-6.7765e-06-0.00046407i,0.00027674+0.00028273i,0.00049434+0.0010975i,0.00036998+0.0019596i,-0.00011816+0.0020564i,1.474e-05+0.0012889i,-3.2496e-05+5.7197e-05i,-0.00012687-0.00048338i,0.0002405-8.8971e-05i,0.00015845+0.00043392i,-0.00014296-3.8464e-05i
0.001876+0.00025885i,0.0023522+0.00066946i,0.0025932+0.00090914i,0.0010651+0.0010669i,-0.001147+0.0015435i,-0.0018145+0.0022112i,-0.0010223+0.0016738i,0.00012398+0.0012256i,0.0005826+0.00090924i,0.00048394+0.00038679i,0.00058623+0.00029131i,0.00019837+0.00020626i,-0.00082364+0.00072663i,-0.0013817+0.0016709i,-0.0011923+0.0020682i,-0.0011049+0.0015636i,-0.0011131+7.0388e-05i,-0.00046934-4.9246e-05i,0.00026605+0.00010682i,0.00028195-0.00041662i,0.0002902-0.00043999i,0.0001202+0.00031971i,-4.5536e-05+0.00060722i
0.0023978-0.0020487i,6.304e-05-0.0025107i,-0.0017946-0.002277i,-0.001133-0.0012615i,0.00074501-0.00070864i,0.001627-0.00037102i,0.001348-2.2529e-06i,0.0010224+5.522e-05i,0.001112+0.00042627i,0.0013974-0.00017092i,0.0010916-0.00035879i,4.2495e-05+0.00045229i,-0.00039336+0.00067807i,-9.7657e-05+0.00053028i,-0.00013732+0.00093937i,-5.2749e-05+0.00078756i,-0.00010295+0.0002475i,-0.00013479+0.00036206i,-4.7987e-05+0.0008362i,1.2525e-05+0.00057894i,-0.00049572-0.0002526i,-0.00086381-0.00053762i,-0.00086941-0.00046789i
0.0014753-0.00037936i,0.00069536-0.0011919i,0.00067368-0.0014022i,0.0009374-0.00052659i,0.00016359+0.00011111i,-0.00065919+0.00015467i,-0.000544-4.3517e-07i,-0.00024088-0.00018389i,-0.00052023-0.00080303i,-0.0010418-0.0016164i,-0.00083953-0.0011332i,-0.00048882-0.00089341i,0.00034984-0.0011379i,0.0012508-0.001035i,0.00043599-0.00073725i,-0.00041806-5.8522e-05i,-0.00022771-0.00017397i,0.00046883-0.00055877i,0.00051157-0.00055673i,-6.2321e-05-0.00012912i,-0.00042801+0.00026699i,-0.00022149+0.00030382i,0.0003517+8.7744e-05i
-0.0020916+0.00086485i,-0.0013748+0.0013996i,-0.00027688+0.0034354i,0.00094099+0.004686i,0.001231+0.0035094i,0.0011072+0.0019654i,0.00058198+0.0011974i,-0.00015387+0.0013494i,-0.00022164+0.0011098i,-0.00022241+0.00069088i,-0.00047003+0.00020529i,-9.2275e-06-0.00037865i,0.00033304-0.00031645i,-0.00025213-8.7844e-05i,-0.00052734-0.00051309i,0.00014234-0.00092122i,0.00053964-0.00088321i,0.00027678-0.00047636i,0.00017939+0.00053666i,0.00028318+0.0010003i,0.0009518+0.0008732i,0.0010748+0.00025275i,0.00021934+6.2552e-05i
-0.0019497-0.0030639i,-0.0028407-0.0020914i,-0.0025268+0.00084839i,-0.00068127+0.0029872i,0.00072744+0.0024755i,0.00042782+0.00039671i,7.9413e-05-4.7987e-05i,0.00084307+0.00094552i,0.0013212+0.0019207i,0.00063164+0.002632i,-0.00029356+0.0024954i,0.00011127+0.0015536i,0.001125+0.00029516i,0.0014397-0.00047514i,0.00078337-0.00010716i,0.00080001+0.00085016i,9.8067e-05+0.0012684i,-0.0011134+0.0012143i,-0.00032512+0.00012244i,0.0011037-0.0010664i,0.0012218-0.0008612i,0.00043348-0.00060884i,-0.00049574-0.00064607i
0.0022478-5.8184e-05i,0.0012611-0.0003627i,0.00078058+0.00098334i,0.00068741+0.0027941i,0.00068761+0.0016295i,0.0010573+0.00071977i,0.000827+0.00066962i,0.0011607+0.00073758i,0.001765+0.00067944i,0.0021065-0.0002316i,0.0022131-0.00086712i,0.0011785-1.4804e-05i,0.00031521+0.0015439i,0.00060529+0.0015221i,0.00071395+0.0002117i,0.00027811+0.0001656i,0.00052491+0.00031373i,0.00049712+5.2694e-05i,-0.00014956+0.00022391i,-0.0007841-0.00053967i,-0.00095793-0.0012703i,-0.00066606-0.0014023i,-0.00022103-0.00060904i
-0.00076545+0.0026509i,-0.0008275+0.0026615i,-0.00096503+0.0030949i,-0.00033315+0.0034845i,0.0013034+0.003069i,0.0015031+0.0013117i,0.0013764-0.0001814i,0.0013389-0.00023675i,0.00051974-0.00016495i,-0.00014853-0.001542i,-0.00047273-0.002395i,-0.00077285-0.0017614i,-0.00065053-0.0012308i,-0.00010228-0.00096247i,-0.0002195+2.8597e-05i,-0.0008656+0.00058983i,-8.9873e-05+0.0002198i,0.00064291+0.00020495i,0.00064899-9.2595e-06i,0.00048842+0.00014307i,5.1395e-05+0.00033317i,-0.00018086+1.4548e-05i,0.00016365-0.00024213i
0.00050103-0.0014367i,2.1282e-05-0.00071569i,-0.0010356+0.00062467i,-0.0012949+0.001263i,-0.00088209+0.00013917i,-0.00085262-0.00068098i,-4.4089e-05-0.00082199i,0.00042263-0.00018871i,-0.00010762+0.00010622i,2.8812e-05-0.00014951i,2.7705e-05+0.00021419i,-0.00030054-0.00040799i,9.9551e-05-0.00050042i,0.00098961+0.0002632i,0.00099319+0.00069231i,-0.00012861+0.00038284i,-8.1218e-05-9.2897e-05i,8.4005e-05-0.00019658i,-0.00021091-0.00038886i,-0.00049588-0.00066206i,-0.00041618-0.00028356i,0.00054611-8.1572e-05i,0.00093216+0.0001121i
0.00071365+0.0028126i,0.0010339+0.0019995i,0.0019591+0.0024218i,0.0017461+0.0028743i,0.0012239+0.0032468i,0.00083988+0.0025738i,0.00020296+0.001994i,-0.0011069+0.0023584i,-0.00083772+0.0018199i,0.0010892+0.0010944i,0.0013849+0.00077174i,0.0012829+0.00018433i,0.00070255-0.00048721i,-0.00064691-0.00034762i,-0.00051427-0.00057268i,-0.00032096-0.00056813i,-0.0002615+0.000366i,-0.00062963+0.00055465i,-0.00096679-5.569e-05i,-0.00045353-6.8012e-05i,-0.00021557+5.6483e-06i,0.00027492-0.00028433i,0.0011357+0.00035085i
-0.00052059-0.00017677i,-0.0011579+0.00078042i,-0.00023251+0.00095035i,0.0015553-0.00032233i,0.0019119-0.0014457i,0.00063586-0.0022101i,0.00042107-0.0012262i,0.0012275+0.0010694i,0.00071604+0.0019635i,0.0011695+0.00091606i,0.0022764-0.00057391i,0.0025297-0.0013682i,0.0017464-0.00083694i,0.00080935-0.00017223i,0.0010498+1.1555e-05i,0.0010302+0.00083732i,5.9753e-05+0.00044726i,-0.00020439-0.00074932i,2.7373e-05-0.00024221i,-0.00056982+0.00029937i,-0.00065729-0.00069082i,3.0409e-05-0.0012491i,-8.9283e-05-0.00081208i
0.00032382-0.0008156i,0.00046522-0.00027061i,-0.0011489+0.0016831i,-0.0020256+0.0018837i,-0.0015231+0.0012735i,-0.0003197+0.001106i,0.00059083+0.0010739i,0.00048282+0.0015294i,0.0006932+0.0002412i,0.0012494-0.0015885i,0.00073751-0.0013788i,-0.00048159-0.00087576i,-0.00085467-0.00030354i,-0.00086056-0.00043551i,-0.00044819-0.0009141i,0.00015201+0.0001602i,4.153e-06+0.0010409i,-3.0618e-05+0.00061418i,-9.0817e-05-0.00045881i,-0.00025265-0.00049224i,0.00025033-0.00023586i,0.00023463-0.00041042i,-0.00010051-0.00076259i
-0.0019282+0.0036183i,-0.0010856+0.0038394i,9.7928e-06+0.004029i,0.0017858+0.0044748i,0.0025767+0.0035266i,0.0017296+0.0009643i,-2.4618e-05-0.00016518i,-0.00033485+0.00072849i,0.00033251+0.00088231i,8.5317e-05-0.00058821i,-0.00031441-0.0012589i,3.0614e-05-0.00021534i,-0.00026525-0.00010053i,-0.00075885-0.0011131i,-0.00010501-0.00093456i,-0.00015892-0.0002376i,-2.0883e-05-0.00038294i,0.0006079+4.7891e-06i,0.00016184+0.00027433i,0.00014872+0.00034201i,0.00093828+0.00015734i,0.00096016-0.00031031i,0.00025251+0.0001148i
-0.0022728-0.00017815i,-0.0032343+0.00070859i,-0.0019876+0.0015313i,9.3284e-05+0.0015182i,0.0014466+0.00073434i,0.0010185+0.00033743i,-0.00031934+0.00046918i,-0.00079704-7.6005e-05i,-0.00078819-0.00072631i,0.00023461+0.00033539i,0.0011332+0.0011067i,0.0007499+0.00045913i,0.00089026-0.00020471i,0.0015146+3.3297e-05i,0.0012128+0.00019707i,0.00040996+0.00042349i,-9.6769e-06+0.0006021i,0.00055395-0.00010102i,0.00052716-0.00080843i,0.00016207+0.00018462i,0.0011929+0.00017895i,0.0014058-0.00091096i,0.00050256-0.00083499i
-0.00062606-0.00099664i,-0.0011674-0.0010412i,-0.0017787-0.0013591i,-0.001723-1.4187e-05i,-0.00035985+0.0022576i,0.00069137+0.0030466i,0.0011229+0.0029983i,0.0010775+0.0028124i,0.0010044+0.0020252i,0.0019971+0.00066514i,0.0023325-0.00011524i,0.001285-0.00023115i,0.00043484+0.00021187i,0.00053789+0.00058569i,0.0010459+0.00059593i,0.00043426+0.00098186i,7.38e-06+0.00099831i,-0.00036207+0.00082289i,-0.0012523+0.00016107i,-0.00059675-0.0002132i,0.0006818+3.412e-05i,0.00090526+0.00067897i,0.00042439+0.00066415i
-0.00043298-0.00031702i,-0.00024528+0.00039719i,-0.00056124+0.00082045i,-0.00012109+0.00099222i,0.00035861+0.00065808i,0.0002886+0.00084891i,0.00062223+0.0014981i,0.00082324+0.0013316i,0.00086074+0.0004044i,0.00073825-0.00029834i,0.00032179-0.0011039i,0.00034167-0.0019795i,7.912e-05-0.0016681i,-0.00051094-0.0008798i,-0.00030377-0.00098095i,0.00042604-0.00081278i,0.00050567+0.00035006i,0.00035117+0.00092614i,-0.00048667+0.00097954i,-0.0012763-9.1046e-05i,-0.00025318+8.3428e-05i,0.0010562+0.0014094i,0.0010242+0.0013837i
0.00028695-0.00010208i,-0.00060136+7.0258e-05i,-0.00051639+0.0011918i,-0.00029559+0.0014076i,-0.00038316+0.00070833i,-0.00064473+0.00022538i,0.00031997+0.00073075i,0.0010461+0.00092668i,0.00054281+1.7622e-05i,0.00026902-0.00078473i,0.00050446-0.00080104i,0.00011238-2.3624e-05i,-0.0011741+0.00023868i,-0.0007184-0.00013749i,0.00036687-0.00030006i,0.0007631-0.00059497i,0.0012079+0.00018743i,0.00081061+0.00055357i,0.00014662-0.00015123i,-0.0002659+6.2877e-05i,-0.00046777+0.0004518i,-0.00073962-2.2574e-05i,-0.0011778-0.00042183i
-0.0014642+0.002226i,-0.000712+0.0025671i,0.00016477+0.0040798i,0.0022241+0.0041248i,0.0035895+0.0028875i,0.0027116+0.0016599i,0.00054464+0.00077835i,-0.00076524+0.00063903i,-0.00073805+0.0015555i,-0.0004084+0.001663i,0.00011401+0.00076222i,0.00081247-0.00035495i,6.3775e-05-0.0012859i,-0.00068243-0.0016026i,-4.2554e-05-0.0010339i,0.00035886+0.00030246i,3.3122e-05+0.0008179i,0.0005942+0.000857i,0.00089279+0.00073731i,0.00026809-4.3042e-05i,0.00015758-2.7256e-05i,0.00016013+0.00012529i,0.00014455-1.1149e-05i
-0.0022392+0.0013625i,-0.0024235+0.0030436i,-0.00070427+0.0044657i,0.00082339+0.0030644i,0.0012002+0.0001854i,0.0001047-0.00096054i,-0.0010978+0.00032949i,-0.00091988+0.001648i,0.00048671+0.0016274i,0.001317+0.00029552i,0.0016363-0.00086094i,0.0019626-0.0013674i,0.0015316-0.0013653i,0.00075889-0.0011895i,0.00049555-0.00094819i,0.00082675-0.00072419i,0.00083036+7.181e-05i,0.00037358+0.00029165i,0.00015983-0.00040222i,-0.00012812-0.00089859i,-0.0004903-0.00072642i,-0.00030587+0.0001436i,0.0003126+0.00034258i
-0.00015591-0.0028781i,-0.0016833-0.0014206i,-0.0029655+0.0014344i,-0.0023174+0.0040558i,-0.00074372+0.0049893i,0.00057458+0.003471i,0.001634+0.0020682i,0.0025818+0.0019817i,0.0024308+0.0017193i,0.0014996+0.0010378i,0.00097376+0.00032509i,2.5785e-05-9.5338e-05i,-0.00026723+0.00013424i,0.0011253+0.00099656i,0.0017395+0.00094878i,0.0012868+0.00052292i,0.00047499+0.00053867i,-0.00087038+0.00041266i,-5.3812e-05-1.9528e-05i,0.00058404-0.00067784i,0.00011273-0.0012876i,0.00012477-0.00085458i,0.00023598-3.4396e-05i
-0.0001279-0.001314i,-0.00048604-0.001386i,-0.0013394-0.0011298i,-0.00088205+0.00023545i,0.0016782+0.0019534i,0.0022109+0.0024248i,0.0006894+0.0017467i,0.00025472+2.8196e-05i,-1.8202e-05-0.0014691i,-0.00068838-0.0013107i,-0.00044452-0.00018574i,-9.3732e-05+0.00039868i,0.00016412-0.00028232i,2.5533e-05-0.00029848i,9.7641e-05+0.00069067i,0.00048662+0.00095288i,-1.8189e-05+0.00071063i,-0.00073159+0.00030765i,-0.00025893-0.00042038i,0.00092869-0.00064578i,0.00090056-0.00052821i,0.00058947+0.00010669i,0.00046311+0.00095355i
0.00044119-0.0006459i,-0.00054889+0.00043389i,-0.0017645+0.0016209i,-0.0023034+0.0018385i,-0.00095305+0.0017034i,-0.00041332+0.0013751i,-0.00078237+0.00075559i,0.00014166+0.00026203i,6.2314e-05-0.00033463i,-0.00087873+0.00011435i,-0.00057159+0.00025626i,-0.00045778+0.00014876i,-0.0013488+0.0001015i,-0.00089873-7.7329e-05i,0.00059201+0.00041132i,0.00043463+0.0011512i,-0.00033583+0.00079417i,-0.00026599-0.00024015i,0.00042735-0.00066535i,0.0006858-0.00033468i,8.3274e-05-9.4837e-05i,0.00012151+0.00044547i,-0.00017007+0.00090019i
0.00025441+0.00089534i,-0.00011588+0.0010357i,-0.00095077+0.0018584i,-0.00079218+0.0029036i,-0.00026897+0.0022169i,-0.00084052+0.0011981i,-0.000204+0.0013789i,0.00044831+0.0020745i,0.00040903+0.0018396i,0.00054662+0.0011854i,0.0012248+0.00033066i,0.0016243-0.00070972i,0.0010224-0.0005763i,0.00047157+0.00023448i,0.00017534+0.00051149i,0.00041868+0.00022825i,0.0009652+0.00017757i,0.00070609+0.00050272i,0.00081666+0.0009341i,0.00087977+0.00059892i,3.6257e-05+0.00036404i,-0.0011712+0.00062467i,-0.00074955+0.00043371i
-0.00020204+0.0013106i,-0.00026524+0.0020528i,7.3696e-05+0.0030577i,0.0015583+0.0031282i,0.0022951+0.0020754i,0.0013196+0.0010117i,0.00022318+0.00070941i,0.00066465+0.0012097i,0.0014791+0.00091691i,0.0012279-0.00013315i,0.0014295-0.0004645i,0.0011953-0.0001895i,-0.00027625-0.00043064i,-0.00060639-0.0014169i,-1.6945e-05-0.001629i,0.00021215-0.00061889i,0.00065942+0.00016718i,0.0016522-3.3398e-05i,0.0012327-4.6075e-05i,0.00062963+0.00015008i,0.00039815+0.00028015i,-0.00020591+0.00011661i,0.00012457-5.8552e-05i
-0.00089976+3.1291e-05i,-0.0017281+0.0016577i,-0.0025045+0.0031083i,-0.0025099+0.0021708i,-0.0013429+0.0003805i,-0.00054308+1.2253e-07i,0.00024671+0.00075093i,0.00077191+0.0012331i,0.00077766+0.00089053i,0.00043827+0.00030646i,0.00049806-0.00086101i,0.0011358-0.00098101i,0.0010601-0.00059659i,0.00033735-0.00032914i,0.00034314-7.3615e-05i,0.00027308-3.7992e-06i,0.00026697+0.00082826i,0.00032651+0.0011598i,0.00032841-0.00010343i,2.367e-05-0.00050363i,-0.00066462-0.00046765i,-0.00072179-0.00084145i,-8.6598e-05-0.00012111i
0.0011056+0.00013527i,0.00074817-0.00038778i,-3.8641e-05+0.0014496i,-0.00026446+0.0026338i,0.00062501+0.0026988i,0.0013291+0.0023731i,0.0013789+0.00088187i,0.00066306-0.00055467i,-0.00076661-6.7008e-05i,-0.0010975+0.00091372i,0.00047386+0.00060971i,0.0014866+0.00050618i,0.0013972+0.00076326i,0.00096473+0.00055199i,0.00060202+2.9914e-05i,0.00044423-8.9277e-05i,-0.00018311+0.00012816i,-9.949e-05+0.00047293i,0.00052778+0.00073449i,0.00032977+0.00047637i,2.53e-05+0.00041396i,0.00050439+0.00087185i,0.00099262+0.0009107i
0.00078516+0.0025333i,0.0016513+0.0024788i,0.0028391+0.0028519i,0.0032004+0.0030372i,0.0017023+0.0017877i,0.00073121+9.9349e-05i,0.00082859+0.00032886i,3.7897e-05+0.00077099i,-0.0004878+0.00024891i,3.3266e-05+0.00075911i,-0.00026195+0.00092393i,-0.00072333-9.0636e-05i,-0.0008655-0.00035722i,-0.0014947-0.00031715i,-0.00077818-0.00053351i,-0.00035899+0.00026694i,-0.00092619+0.00070695i,-0.00097818+0.00036961i,-0.00038997+0.00026372i,-0.00016021+2.9755e-05i,-0.00010036+9.815e-05i,0.00059224-0.00010969i,0.00078894+0.00011011i
0.00070667-0.00066861i,-0.00070067-0.0004931i,-0.0014744+0.00046882i,-0.0015952+0.00058966i,-0.00082907+0.00065553i,0.00038792+0.0013092i,0.0012231+0.0012795i,0.001494+0.0012093i,0.0017103+0.0012861i,0.0014552+0.00052123i,0.00014675+3.3598e-05i,-0.0011319-0.00011729i,-0.0012596-0.00045041i,-0.0011197-0.00066328i,-0.00087324-0.00035914i,-0.00061807-0.00041592i,-0.0004936-0.00063994i,-0.00021062-0.00020667i,0.00038428-0.00053453i,0.0006393-0.00083144i,0.0011018-0.00094257i,0.001946-0.00038792i,0.0015894+0.00067285i
0.00056507+0.00064983i,0.00010084+0.00046122i,-0.00031171+0.00097924i,-0.00041822+0.0023647i,-0.00017263+0.0024961i,0.00015332+0.0013157i,0.00044802+0.00072457i,0.00080587+6.3652e-06i,0.00081247-0.00053453i,0.0011923-3.279e-05i,0.00090503-0.00016119i,-5.5411e-05-0.00043379i,-0.00030881-0.00035653i,-0.00011984-0.00044677i,0.00025048-0.00053272i,0.00032466-0.00024698i,-0.00035123-0.00014658i,-0.00071256+0.0002548i,-0.0015182+0.00014961i,-0.0015724-0.00035133i,-0.00068654-0.00039288i,-0.00054023+0.00074438i,-0.00023872+0.0016819i
0.00014513+0.0011892i,6.3333e-05+0.0021938i,-0.00017845+0.0028489i,0.00090497+0.0027293i,0.0014773+0.00208i,0.001117+0.00048345i,0.00071796-0.00041496i,0.00033522-0.00040451i,0.0006087-0.00092991i,0.00081298-0.0013014i,0.00028583-0.0012929i,-0.00077562-0.0010844i,-0.0014504-0.00052077i,-0.001021+0.00011053i,-0.00045053+0.00029824i,-7.8538e-05+0.0010434i,0.00010259+0.00060672i,0.00013635-0.0003981i,-0.00018399-0.00059418i,0.00027013-0.00045753i,0.0013233+0.00043851i,0.00089538+0.00098148i,-0.00016669+0.0011094i
0.0016207+0.0027254i,0.0019049+0.0002205i,0.0015732-0.001384i,0.00065557-0.0014037i,-0.0002831-0.002037i,-0.001725-0.0013155i,-0.0022501+0.00084933i,-0.0011293+0.0018334i,0.00041711+0.0017506i,0.0011203+0.00061976i,0.0016094-0.00057052i,0.0011821-0.00088526i,0.00041061-0.00041011i,-6.5638e-07-0.00025495i,8.3204e-05-0.0014293i,0.00072969-0.0011769i,0.00097739+0.00015378i,0.0012617+0.0003134i,0.00051328-7.2043e-05i,-0.00018308+0.00016179i,0.00033262+0.00070885i,0.00071609+0.00058969i,0.00053367-0.00028617i
0.0015845-0.0004538i,0.0015508-0.00027092i,0.0016854+0.0017762i,0.0010991+0.0037725i,0.00050434+0.0031821i,0.0001271+0.0018701i,0.00023095+0.0017i,0.0005357+0.001587i,0.0010742+0.001063i,0.0016529+0.00064242i,0.00088509+0.00011662i,-8.4641e-05-8.8922e-06i,-3.9116e-05+0.00019243i,0.00027638+0.0008272i,-3.2666e-05+0.00048766i,-0.00035843-0.00024121i,0.00045811-0.00048416i,0.0012755-0.00059139i,0.0017271-0.0007637i,0.00095521-0.00027539i,-0.00018997+0.00047247i,-0.00043232+0.0005322i,-0.00089916+2.5207e-05i
-0.0010571-0.001302i,-0.00089045-0.0012458i,0.00052351+0.00036832i,0.0014643+0.0016055i,0.0015+0.0010461i,0.00079014-0.00057907i,0.00033872-0.00027285i,0.00015994+0.00016341i,0.00010638-0.00015996i,0.00047182+0.00041305i,0.00087065+0.00098451i,0.00086066+0.0010028i,0.00012174+0.00095195i,-0.00041516+2.4738e-05i,-0.00047267-0.00033858i,-0.0010066+0.00031373i,-0.0002333+0.00078092i,0.0012232+0.0011933i,0.0013389+0.00090282i,0.00090308+6.3686e-05i,0.00046101-0.00084672i,-0.00057256-0.00024108i,-0.00085816+9.4073e-05i
-0.0016321+0.00054674i,-0.0019789-0.0010834i,-0.0024753-0.00060073i,-0.0014178+0.00023577i,0.0010378+0.00011418i,0.0012847-0.00020417i,0.00064622-0.00092365i,0.00074814-0.0007574i,0.00070299-0.00015748i,0.000382-0.00037137i,-0.00036361-0.00031423i,-0.00072278+0.00070833i,-0.00013835+0.0019752i,-6.7616e-05+0.0021898i,-0.00023103+0.0012863i,-0.00020755+0.00065681i,0.00068128+0.0013828i,0.0013622+0.0021976i,0.0011007+0.0018575i,0.00038301+0.00073133i,-0.00058497-0.00056662i,0.00013242-0.0014984i,0.0014192-0.0014157i
0.0016911+0.00071528i,0.00090757+0.0032572i,-0.00047448+0.005127i,-0.0009989+0.0058454i,-1.4434e-05+0.0040717i,0.000743+0.00029266i,0.0010584-0.0014106i,0.00068486-0.00087983i,0.00051768-0.00035702i,0.00094961+0.00049931i,0.00033657+0.00024108i,0.00015674-0.00036927i,0.00089366-0.00036656i,0.00068789-1.8408e-05i,-0.00056151+0.00012172i,-0.0010546-0.00030543i,-0.00093807+0.00051611i,9.3599e-05+0.0018589i,0.00071147+0.0024008i,0.00051125+0.0013527i,0.00082164+0.00015286i,0.00094598-0.00030267i,0.0008765-0.0010515i
0.0017628+0.001773i,0.0013928+0.00063582i,0.0016774+0.00038326i,0.0028565+0.0018849i,0.0021856+0.0026297i,0.00037901+0.0016939i,-0.00010713+0.0010782i,2.3595e-05+0.00059617i,0.00023572+0.00063135i,0.00071305+0.00066849i,0.00071337-0.00035854i,-0.00033601-0.00084716i,-0.0012394-0.0012276i,-0.0014097-0.0014912i,-0.0012568-0.0015727i,-0.0015769-0.0012891i,-0.0020116-0.00027749i,-0.001576+0.0010118i,-0.00080837+0.0014274i,-0.00019527+0.00079159i,0.00067285+0.00011092i,0.0013548+4.9476e-05i,0.0012645-0.00040895i
-0.0022451+0.0016168i,-0.0026865+0.0018315i,-0.0024708+0.00090477i,-0.0017521-0.00019368i,-0.00034529-0.00013483i,0.00067039+0.00046685i,0.00077045+0.0010619i,0.0006249+0.00064846i,0.00097546-0.00014016i,0.0013381-0.00024706i,0.0014372-0.00087413i,0.00081918-0.0018244i,0.00041469-0.0014477i,0.00076477-0.00026416i,0.0004606+0.00042107i,-0.0002469+0.00022368i,-0.00079328-0.0010515i,-0.00090741-0.0016057i,-0.0011725-0.0010075i,-0.00069758-0.00055563i,0.00039987+0.00013049i,0.00043736+0.00089912i,0.00038963+0.0013835i
-0.0028352+0.00076649i,-0.00222+0.0020577i,-0.0012777+0.0032695i,-0.0015217+0.0030224i,-0.0023073+0.0023588i,-0.001531+0.0018771i,-0.00070858+0.0021071i,-0.00023334+0.0020486i,-1.2613e-05+0.00096567i,0.00031876+0.00011906i,0.00097663+0.00024012i,0.00046599-7.8677e-05i,0.00039901-7.7207e-05i,0.0012309+0.00063761i,0.0018014+0.00041479i,0.0017997-0.00026091i,0.00072549-0.0008352i,-0.00063244-0.0017795i,-0.00066816-0.001383i,-0.00069655-9.8933e-06i,-0.00023937+0.00089657i,0.00058051+0.0010231i,-7.5428e-05+0.0012891i
