-0.001314-0.00024794i,-0.00098128-0.0016207i,-0.0014251-0.0024388i,-0.001933-0.00098608i,-0.0026953+0.00015283i,-0.0021568+0.00051124i,-0.00030307+0.0014951i,0.0008886+0.0023106i,0.0010811+0.0021246i,0.00023636+0.00099912i,-8.7312e-05-0.00073349i,-0.0002981-0.0010657i,-0.00019872-0.00053504i,0.00041382-0.0003546i,0.00013869-2.0478e-05i,-0.00051594+0.00054372i,-0.00060914-9.5276e-05i,6.7697e-05-0.00060727i,0.00032103+8.9026e-05i,-0.00039388-4.4586e-05i,-0.00089425-0.00014464i,-0.00059148-0.00014648i,0.00013603-0.00039727i
0.00053999-0.0021369i,0.00036793-0.0014859i,-0.00095963-0.0012901i,-0.0020632-0.0012681i,-0.001776-0.0012231i,-0.00090861-9.8669e-05i,-0.00033984+0.00095491i,-0.00086197+0.0010318i,-0.00091914+0.0010026i,-0.00074899+0.0009417i,-0.00045098+0.00042933i,0.00011222-1.5673e-05i,0.00033554+0.00029501i,0.00067692-8.7215e-05i,0.00096525-0.00066166i,0.00095711-0.00077136i,0.00069149-0.00074901i,0.00064724-0.00059355i,0.00048089+1.5782e-05i,-0.00020775+0.00061216i,2.7741e-06+0.00052275i,9.1088e-05+0.00024934i,-8.1643e-05-0.0001974i
0.001768-0.002446i,0.0015198-0.0026814i,0.00072262-0.0017425i,-0.00042732-0.0029489i,-0.0013929-0.0040351i,-0.0016365-0.0019014i,-0.00087445+0.00014018i,-0.00041336+0.00084854i,-0.00070912+0.00087488i,-0.00156+0.00032242i,-0.0019832+6.8995e-06i,-0.00094458-5.2986e-05i,5.133e-05+0.00046174i,-0.00032439+0.0014112i,-0.00031628+0.0013117i,-0.00019559+0.00047982i,-0.00021851-0.0004335i,0.00014882-0.00064717i,0.00061534-0.00022028i,0.00078535+5.5831e-05i,0.00070392-0.00025636i,0.00045121-0.00048957i,1.3838e-06-0.00063261i
0.00069994-0.00097609i,0.00015613+4.2394e-05i,-0.00064584-0.00044459i,-0.00070821-0.0015549i,-0.00011204-0.001611i,-0.00076531-6.1051e-05i,-0.00049235+0.00086656i,-0.0001458+0.00054226i,-0.00071039-0.00030689i,-0.00034794-0.00017049i,-3.3674e-06+0.00099161i,-0.00043673+0.00086897i,-0.00038543+0.00011284i,-0.00024911+0.00022482i,-0.00066562+0.00029799i,-0.00098297+0.00025787i,-0.00055742+0.00031758i,-7.2579e-05+0.00048093i,0.00010217+0.00090951i,-0.00015766+0.00057951i,-0.00044264-0.00059495i,-0.0004675-0.00055514i,-0.0005625-9.971e-05i
0.00013761+0.0018246i,-0.00029517+0.00099259i,-0.00067539+6.533e-05i,0.00064332-0.00075079i,0.001944-0.0020472i,0.0011357-0.0018959i,0.0007416-0.00052436i,0.00049059+0.00077661i,-0.00090551+0.00087702i,-0.0017331-0.000112i,-0.0011709-0.0010834i,-0.00020988-0.001418i,-0.00029436-0.0010025i,-0.00024402-0.00066611i,0.0001785-0.0010275i,0.00039584-0.00076609i,0.00081923-6.0277e-05i,0.00071133-0.00042941i,0.0001033-0.00072594i,-0.0002466+6.4035e-05i,-0.00040011+0.0001055i,-0.00041992-0.00020213i,-0.00025112+0.00018226i
0.00095041+2.1468e-05i,0.0011261+0.0003476i,0.0017402-0.00010085i,0.00052295-0.00040015i,-0.00049141-0.0010836i,-0.00037634-0.00037611i,-0.00073293+0.00082168i,-0.0014119+0.00033923i,-0.0024359-0.00018134i,-0.0023439-0.00019616i,-0.0013571-0.00031324i,-0.0007167-8.1691e-06i,0.00028768+0.00030663i,0.00026558-1.1709e-05i,-0.00010714-0.00032442i,-0.00049636-0.00052922i,-0.00019289-0.00047641i,0.00037944-7.8222e-05i,0.00049067+0.00056143i,0.00074452+0.00070131i,0.0002304+0.00026733i,-0.00050643+0.00037322i,-0.00024156-4.8093e-05i
-0.0012296+0.00054582i,-0.0015493+0.0010887i,-0.00070595+0.0007743i,0.0003509+0.00096209i,0.00018879+3.8536e-05i,-0.00033555-0.00057989i,0.00014285+0.00015373i,-0.00039701+0.00084146i,-0.002202+0.0018016i,-0.0026366+0.0024739i,-0.0019423+0.0019398i,-0.0010146+0.00011662i,-0.00074933-0.00050612i,-0.0011712-0.00059656i,-0.0010491-0.0014459i,-0.00071914-0.0007197i,2.1957e-05+0.00015401i,0.00062971-0.0004298i,0.00025093-0.00060704i,0.00038936-0.00036853i,0.00081026-0.00013375i,0.00067504-2.4124e-05i,0.00058146-0.00017938i
0.0012495-0.0015358i,0.00024834-0.00057093i,-0.00023289-0.00091114i,0.00031423-0.0015213i,0.00018781-0.001927i,-0.0011044-0.001342i,-0.00052333+0.00021515i,0.001139+0.0011013i,0.00069683+0.0014193i,-0.00072707+0.0018601i,-0.00091476+0.0017432i,-0.00058295+0.0007707i,-0.00039646+0.00096486i,-0.00028452+0.0022094i,-9.9893e-05+0.0021513i,0.00031172+0.0012085i,0.00040279+0.00028545i,0.00010831-0.0001694i,0.0001105-4.3722e-05i,2.1711e-05+4.0393e-06i,0.00027439+0.00036888i,0.00081391+0.00058856i,0.00099884+0.00093778i
-0.00032939+0.00045529i,-0.00041412+0.0006419i,-0.00017115+0.0016545i,0.00014569+0.0012393i,0.0009967-0.00060663i,0.0011507-0.00091703i,0.00027958+4.1173e-05i,0.00064883+0.00074063i,0.00096663+0.0011742i,0.00010168+0.0013675i,-0.00012961+0.0010149i,-6.3801e-05+0.00020676i,-4.8734e-05-0.00023444i,0.00023065+0.00034138i,0.0010455+0.00041308i,0.0010267+0.00047459i,0.00049766+0.00072768i,0.0010468+0.0002979i,0.0011156+0.00022929i,0.00044378-0.00043743i,0.00046079-0.00053881i,6.638e-05+0.00075877i,-0.00050523+0.0014618i
-0.00012263-0.0018756i,-0.00079018-0.0017174i,-0.0014556-0.0019194i,-0.00081298-0.0021001i,-0.0010963-0.0026402i,-0.0012024-0.0024748i,-0.00080355-0.00086515i,-0.0010022-0.00037796i,-0.0012454-0.00040621i,-0.00096229+0.00047631i,-0.00012591+0.00057928i,0.00028001-0.0001104i,0.00071903-0.00012488i,0.00095064+0.00027497i,0.00060657+0.00049123i,-4.7124e-05+0.0004101i,-0.00052244+3.2401e-05i,-0.00042749-4.0897e-05i,-6.1497e-05+0.0001123i,-0.00011963-1.9456e-05i,-0.00019936-0.00030228i,0.00010893-0.00010577i,6.5467e-05+0.00025146i
0.00054-0.0013586i,-4.7838e-05-0.0013696i,-0.00049734-0.0015988i,-2.274e-05-0.0016093i,-0.00034172-0.001187i,-0.00065742-0.00029654i,-0.00083871+0.00085493i,-0.0015749+0.0002555i,-0.0019143-0.0013075i,-0.0015325-0.0016877i,-0.00076872-0.0011856i,-3.6438e-05-0.00083504i,-2.0491e-05-0.00022093i,-2.7517e-05+6.9003e-05i,0.00026423-0.00079636i,0.00063753-0.0013535i,0.0013265-0.0013249i,0.0013065-0.0011473i,0.00045854-0.00051657i,2.1762e-05-0.00060743i,0.0005317-0.0004656i,0.00067491-0.00015051i,0.00011292+0.00051271i
-0.0012167-4.7799e-05i,-0.0015311+0.00061654i,-0.0023633+0.00065585i,-0.00205-0.00012811i,5.9244e-05-0.00098819i,0.00088109-0.00036197i,-0.00052372+0.0006072i,-0.0025151+0.00024173i,-0.0028667-0.00069663i,-0.0029675-0.0004083i,-0.0027205+0.00020205i,-0.0015792-0.0011174i,-0.00045184-0.0014604i,-0.00047494-0.00048609i,-0.00010458-0.00051456i,0.00029501-0.00011319i,-0.00020412+2.0104e-05i,-0.00048085-0.00044878i,0.00017342-0.0010414i,0.00080483-0.00099396i,0.00072316-0.00077798i,0.00019691-0.00049922i,-0.00031572+7.866e-05i
0.00026668+0.0011771i,0.00050427+0.0015371i,0.0014137+0.00084914i,0.001893-0.0005248i,0.0015979-0.0017328i,0.00022717-0.0019703i,-0.00091042-0.00066374i,-0.0012942+0.00081071i,-0.0025214+0.0015918i,-0.0029213+0.0012651i,-0.0014365+0.0011181i,-0.00098913+0.0012908i,-0.0015499+0.00027685i,-0.00086603+2.0561e-05i,-0.00061509+0.00032844i,-0.0007414-0.00043131i,0.00021049-0.00053862i,0.0007231+0.00037499i,0.00013062+0.00033661i,5.6004e-05+6.5665e-05i,-1.3969e-05-0.00053462i,-0.00061939-0.00033401i,-0.00041287+0.00059848i
0.0014979+0.0013523i,0.00068358+0.00058457i,0.00053698-0.00025877i,0.0011929-0.0012022i,0.0011792-0.001965i,0.0002401-0.0010575i,0.0006635+0.0007779i,0.0012153+0.0023185i,4.1369e-05+0.0026666i,-0.00030093+0.0033505i,0.00054871+0.0029625i,0.00037617+0.0016169i,-0.00026954+0.0016035i,-0.00026523+0.0014477i,0.00037379+0.00056207i,0.00065675+7.3269e-05i,0.00054198-8.5938e-05i,0.00056696-0.00050519i,0.00062329+0.00013981i,0.00019285+0.00034817i,-0.00015764-0.00091343i,6.033e-05-0.0012129i,0.00037893+9.0812e-05i
0.00064985-0.00018682i,-0.0001504-0.00052728i,-0.00027709-5.302e-05i,0.0017719+0.00028445i,0.0022352-0.00049239i,0.0014514-0.0015059i,0.0012875-0.0011967i,0.0015049-6.2901e-05i,0.0014065+0.00082581i,0.0016308+0.0018134i,0.0018392+0.0017395i,0.0016183+2.3248e-05i,0.0014848-2.5697e-05i,0.0013798+0.0010595i,0.0015829+0.00045475i,0.0015153+0.0003296i,0.00048301+0.00041411i,0.00031582+1.8591e-05i,0.00095071-1.9915e-05i,0.00069623-0.00023256i,0.00058596+0.00016068i,0.00063314+0.00064116i,0.00028435+0.00024628i
0.00014169+0.0013514i,0.00058263-0.00080657i,0.0010072-0.0019331i,0.00050921-0.0017628i,0.0007339-0.0019449i,0.00092935-0.0018305i,0.00044586-0.0015646i,0.00027163-0.0018934i,0.0007574-0.0013636i,0.0010352-0.0015139i,0.00073901-0.002057i,0.00038045-0.0014683i,-0.00043283-0.00018761i,-0.00026822+0.00051766i,0.0011188+0.00053654i,0.0011468+0.00051715i,-0.00018585-5.3039e-05i,-0.00037253-0.00024981i,0.00014626-0.00010195i,-0.00027158-0.00029821i,-0.0010879-0.00034068i,-0.0011919-0.00059973i,0.00048544-0.00043515i
0.0007805+0.00065223i,-0.0004194+0.00094628i,-0.00036902-0.00019913i,0.0003398-0.0011852i,0.0011763-0.002158i,0.00026763-0.0024013i,-0.0021661-0.0019554i,-0.0027642-0.0026183i,-0.002347-0.0036941i,-0.0019185-0.0042578i,-0.0014626-0.0033955i,-0.0014279-0.0015937i,-0.0012727-0.00083387i,-7.242e-05-0.0012691i,0.00038622-0.00082432i,0.00016177-0.00071734i,0.00040306-0.0010805i,0.00090699-0.0010294i,0.00065379-0.00081572i,9.752e-05+0.00024175i,0.00035723+0.000189i,0.00011899-0.00033653i,8.1284e-05-0.00037273i
-0.00042606-0.0017249i,-0.0011468-0.00082715i,-0.0013582-0.0010916i,0.00045152-0.002424i,0.00066893-0.0030694i,-0.00016855-0.0024912i,-0.001089-0.0011803i,-0.0034341-0.00024919i,-0.0048485-0.00070185i,-0.004797-0.0012203i,-0.0036486-0.00070924i,-0.0021107-7.7727e-05i,-0.0010992-0.00039114i,-0.00033778+7.692e-05i,0.00032389+0.00055377i,-1.7998e-06-0.00013669i,-0.0010274-0.00019078i,-0.00063994-8.8321e-06i,2.2295e-05+0.00027799i,-0.00038331-0.00010808i,-0.00059991-0.00068282i,3.0689e-05-0.0002305i,0.0010876+0.00043691i
-0.00063954+1.4681e-05i,-0.00053394+0.0018352i,-0.00022071+0.0030342i,-0.00084126+0.0020245i,-0.00010919+0.00052352i,0.0016323+0.0011056i,0.00018953+0.0023049i,-0.0015861+0.0026228i,-0.0028037+0.0024573i,-0.0037718+0.0015436i,-0.0028625+0.0011287i,-0.0013221+0.0018898i,-0.00087656+0.0017044i,-0.0015398+0.00085764i,-0.0018167+0.00016002i,-0.0015249-0.00011311i,-0.00010424-0.0001318i,0.00080491-0.00022728i,0.00068406-0.00014759i,0.00044135+0.00046249i,-0.00014505+0.00026023i,-0.00070338+0.00012756i,-0.00060471+0.00027322i
-0.00052612-0.00071713i,-0.0010747+3.0152e-05i,-0.00081584+0.0005731i,-0.00032146-0.00010108i,0.00055781-0.00049587i,0.00085511+2.6687e-06i,0.0013849+0.0016973i,0.0014577+0.0036534i,0.00010368+0.0041894i,-0.00034614+0.0039632i,0.00053974+0.0036562i,0.0010845+0.002513i,0.00076073+0.0019946i,0.00041348+0.0020453i,0.00080406+0.0016976i,0.00058314+0.0012502i,-0.00054322+0.00071427i,-0.00025509+0.0002506i,-1.3117e-05+0.0001926i,-0.00055377+0.00037099i,-0.00061516+6.4e-05i,-0.00047202+0.00028078i,-0.00023917+9.9452e-05i
-0.00073983-0.0016048i,-0.0013625-0.001762i,-0.0017046-0.0015781i,-0.0013058-0.0017272i,-0.00077532-0.0022333i,-0.00016756-0.0018421i,0.0012689-0.00081318i,0.002797-0.00010947i,0.0025518+0.0010527i,0.00093167+0.002284i,0.00090214+0.0020986i,0.0017562+0.0013661i,0.0017293+0.0011589i,0.00141+0.001334i,0.0014872+0.0008466i,0.00084286-0.00018317i,0.00025452-0.00043853i,0.00038205+5.1916e-05i,0.00020734-9.738e-05i,-6.897e-05-0.00049848i,0.00021766+4.1345e-05i,-0.00030798+0.00045883i,-0.00042842-0.00014592i
0.00049268-6.6948e-06i,0.0010817+0.00046281i,0.0012346+0.0009885i,0.0011435+0.0010195i,0.00025668-0.00035234i,-0.00041999-0.002407i,-4.8903e-05-0.0030225i,0.00082294-0.0031272i,0.0022448-0.0035289i,0.0027191-0.0022615i,0.0021793-0.0012939i,0.002124-0.0011306i,0.0017296-0.00017449i,0.0013274-4.8483e-05i,0.0016931-0.00037699i,0.0013098+0.00021582i,0.00036665+0.00016619i,-0.00054197+0.0003487i,-0.00039908+0.00061123i,-0.0003198+0.00034896i,-0.00085459+6.7589e-05i,-0.00064673-0.00086008i,-0.00069131-0.00062722i
-0.00030839+1.1917e-05i,-0.0016202-2.551e-05i,-0.00154-0.00013866i,-0.0010548-0.0013155i,-0.0019161-0.0031146i,-0.0026165-0.0030335i,-0.0026567-0.0024962i,-0.00276-0.0035752i,-0.0022312-0.0046822i,-0.0018908-0.0045407i,-0.0021619-0.0040362i,-0.0017361-0.0030759i,-0.00064554-0.0012531i,-6.6549e-05-0.0003851i,-1.4239e-05-0.00049293i,0.0002497-0.00087879i,-0.0003482-0.00064182i,-0.0001869+2.7074e-05i,0.00086026+9.124e-05i,0.00039337+0.00059075i,-3.9522e-05+0.00091808i,-0.00062969+0.00079269i,-0.00039741+9.4033e-05i
-0.00072437+0.0020391i,0.00070694+0.00065173i,0.0021426+0.00016268i,0.0026639-0.00036197i,0.0024811-0.0016394i,0.0014171-0.0022467i,-0.0007629-0.0012546i,-0.004161-0.00044504i,-0.0055769-0.00052235i,-0.004412-0.0012169i,-0.0030067-0.0013481i,-0.0026319-0.00089238i,-0.0026542-0.00090492i,-0.0021647-0.0010492i,-0.0015867-0.0001315i,-0.0010854+0.00030738i,-0.0001619-0.00010834i,0.00061435-0.00027213i,0.00092604-0.00025668i,0.0001637-0.00031442i,-0.0005048-0.00033065i,-0.00010613-0.00076769i,0.00019785-0.00085689i
0.0002232+0.002158i,0.0013064+0.0025498i,0.0032458+0.0024835i,0.0031805+0.0012882i,0.0012424-9.5078e-05i,-0.0001703+0.00019572i,-0.0012343+0.0017611i,-0.0026883+0.003507i,-0.0042198+0.0041824i,-0.0048634+0.0039225i,-0.0039784+0.0029129i,-0.0024709+0.0022771i,-0.0018621+0.0018728i,-0.0017644+0.00084405i,-0.001823+0.00050919i,-0.0016249+0.00037891i,-0.00086586-0.00065262i,-0.00034329-0.00066973i,-1.6082e-06+0.00035599i,-0.0002485+0.00033142i,-0.00017576+0.00021872i,0.00011919+0.00065734i,1.9848e-05+0.00073934i
-0.0019635-0.0010871i,-0.00087479-0.00070044i,-0.00089197+0.00027458i,-0.00065285+0.00049339i,0.00074365+0.00012144i,0.0024187+0.00079094i,0.0024985+0.0029133i,0.0015978+0.0049668i,0.00027902+0.0059224i,1.2515e-05+0.0057638i,0.00034078+0.0044574i,0.00038717+0.0028665i,0.00029655+0.0019766i,0.00011069+0.0021307i,-0.00025+0.0021612i,-0.0003427+0.0012014i,-0.00094169+0.00017878i,-0.0015187-0.00043584i,-0.0008223-3.8165e-05i,0.00027059+0.00057177i,0.001363+0.00028155i,0.001314+0.00017435i,9.8377e-05+0.0005404i
-0.0019919+0.0016599i,-0.0024443+0.0021407i,-0.0030735+0.0033248i,-0.0024669+0.0025085i,-0.00047622+0.00017978i,0.00046811-0.0013142i,0.0017076-0.00030957i,0.0037202+0.0018696i,0.0042201+0.0030471i,0.0030428+0.0031602i,0.0024921+0.0022507i,0.0024327+0.001171i,0.0014104+0.0011438i,0.0010473+0.0014541i,0.00090414+0.00088457i,0.00055468+0.00041755i,0.00071798+0.0005875i,0.0007108+0.00059857i,0.0006641+0.00066843i,0.001013+0.000819i,0.00048734+0.00086626i,-0.00040014+0.00055127i,-0.0003669+0.0010082i
-0.0012047-0.0016732i,-0.001472-0.001626i,-0.0020719-0.0013622i,-0.00083215-0.00094854i,-0.00017287-0.00093858i,0.00048652-0.0017212i,0.0015834-0.0022407i,0.00203-0.0024585i,0.0020936-0.0020534i,0.0013748-0.0010485i,0.0012599-0.00071994i,0.00147-0.00026445i,0.0014777+0.00037732i,0.0018687+0.00010913i,0.0016822-0.0012105i,0.00098722-0.00135i,0.00031012-0.00020209i,0.00059835+0.00044387i,0.0010059+0.0004023i,0.00058292+0.00093027i,-9.7618e-06+0.00087192i,-0.00095363+0.00065978i,-0.00070743+0.00043507i
-0.0014705+0.00097659i,-0.00010461+0.0012253i,0.00067226+0.0017735i,0.001754+0.0017057i,0.0020498-6.9889e-06i,0.0011989-0.0027428i,0.00013096-0.0040469i,-0.0013698-0.0041777i,-0.0021129-0.004329i,-0.0018228-0.0040796i,-0.00094946-0.003163i,-0.00024109-0.0019743i,0.00031074-0.0013785i,0.00075389-0.0017733i,0.00032251-0.0019377i,-0.00041502-0.001278i,-0.00027425-0.0015116i,6.6724e-05-0.0017599i,0.00026703-0.0013646i,0.00015569-0.00070767i,0.00028183-0.00055774i,-0.0006629-0.00065125i,-0.0012876-0.00027315i
-0.0014643+0.0017172i,-0.00091038+0.0022949i,-0.0004416+0.0028577i,0.00053745+0.0022026i,0.0014961+0.00061552i,0.0012238-0.0010036i,-0.0012034-0.0018134i,-0.0048506-0.0021775i,-0.0062678-0.0017978i,-0.0047133-0.0013022i,-0.0024698-0.0014653i,-0.00081503-0.0016417i,-0.0002121-0.0011091i,-0.00059001-0.00083448i,-0.00080773-0.0010959i,-0.000845-0.00098237i,-0.00086594-0.0011779i,-0.00041164-0.00066725i,-5.8543e-05-0.00023348i,0.00023728-0.0007464i,0.00016418-0.0010865i,-0.00052791-0.00052538i,-0.00036639-0.00015997i
-0.00089604-0.00093738i,-0.00086373-0.00069443i,-0.00022545-0.0013855i,-1.2676e-06-0.0020473i,0.00012231-0.0024204i,-0.00064081-0.0015679i,-0.002723+0.001192i,-0.0044094+0.0031148i,-0.0052357+0.0034882i,-0.0047809+0.0024721i,-0.0025354+0.0012069i,-0.00072655-0.00030047i,-0.00091911-0.00043835i,-0.0012588+6.8483e-05i,-0.00074672-0.00065222i,-0.00077574-0.0013955i,-0.00053364-0.0016688i,0.00031862-0.0014473i,0.0005694-0.00063528i,1.9115e-05+0.00025709i,-0.00041448+0.00081466i,0.00033601+0.00072748i,0.00032555+4.1197e-05i
-0.00050713+0.0026268i,4.6949e-05+0.0031983i,0.0015733+0.0033231i,0.0021249+0.0019769i,0.0013202+0.00014595i,-3.3583e-05+0.00094701i,-0.0003363+0.003702i,-0.00062723+0.0059048i,-0.00076707+0.0065866i,-0.00049312+0.0055194i,-0.00094404+0.0031559i,-0.0023904+0.0012302i,-0.002618+0.0011983i,-0.001473+0.0015542i,-0.00062875+0.0014564i,0.00035144+0.0008153i,0.0010979+0.00080648i,0.00072084+0.0011626i,-0.00031061+0.00070851i,-0.0011941+0.00011088i,-0.00078928-0.00030859i,-0.00015814-0.00070652i,-0.00048436-0.00050826i
-0.0014989-0.00079581i,-0.0017381-3.2453e-05i,-0.00014629+0.0017679i,0.0014267+0.0011896i,0.0017474-0.00045567i,0.0013093-7.0996e-06i,0.001219+0.0017406i,0.0025564+0.003972i,0.0030356+0.0053845i,0.0023096+0.0046919i,0.0015702+0.0033344i,0.00024662+0.0021949i,-0.00012193+0.0027142i,0.0013277+0.0025373i,0.001971+0.0011401i,0.00082689+0.00065652i,0.00035646+0.00011105i,0.0003477-8.8849e-05i,0.00024595+0.00094207i,0.00057322+0.0010374i,0.0012497-0.0002049i,0.0012677-0.00097834i,0.00022548-0.00064421i
-0.00080442+0.00021859i,-0.00046327-0.00014479i,-0.00082012-0.00036158i,-0.00076684-0.00070827i,-0.00013482-0.00094108i,0.0014409-0.00096472i,0.00268-0.00017023i,0.0032718+0.00048423i,0.0032857+0.00045624i,0.0023601+0.00052569i,0.0013937+0.0018045i,0.00090546+0.002797i,0.0008057+0.0028077i,0.001041+0.0023435i,0.00065344+0.00099944i,0.00091428+0.00063958i,0.00086817+0.0010798i,0.00012012+0.00059405i,-0.00049102-0.00039395i,-0.00018516-0.00038365i,-0.00019376-0.00014009i,-0.00043934-0.00030743i,-0.00028999-0.00031859i
-0.0016097+2.6018e-05i,-0.0018789+0.00027663i,-0.0029183+0.0002084i,-0.0027937+0.00018176i,-0.00097083-0.00025477i,0.00025621-0.001931i,0.00094139-0.0029415i,0.00090908-0.0029884i,0.00011276-0.0031073i,-0.0003064-0.0019706i,0.0010036-0.00045664i,0.0026155+0.00086208i,0.0027996+0.00068651i,0.0020374+0.0001935i,0.00083633-0.00024511i,-0.00013489-0.00064714i,-0.00040818-0.0003303i,-0.00036143+0.00028921i,-0.00017402+0.00093185i,0.00024856+0.0013239i,-9.0674e-05+0.0010779i,-0.0010696+0.00019425i,-0.00073424-0.00036042i
0.00010134+0.00047367i,-0.0005108+0.0006273i,-0.00049727+0.0018364i,0.0011714+0.0006888i,0.0022165-0.0015925i,0.0012789-0.0027422i,5.3197e-06-0.0028684i,-0.002374-0.0040224i,-0.0035427-0.0043011i,-0.0028626-0.0028133i,-0.0010325-0.0014907i,0.00097817-0.0019815i,0.0010884-0.0033767i,0.00017235-0.0030443i,-0.00069123-0.0010998i,-0.0012127+0.00037426i,-0.0014437+0.00074073i,-0.0012786+0.0010011i,-0.00079433+0.0013058i,-0.00033658+0.0012932i,-2.1062e-05+0.0012882i,-0.00041267+0.00080949i,-0.00019731+0.0010499i
0.0011749+0.001883i,0.0015765+0.00043401i,0.0022011-0.00061114i,0.0026249-0.001548i,0.0029149-0.0025687i,0.00080505-0.0025498i,-0.0027224-0.00099257i,-0.0051263-0.00028757i,-0.005895-0.00044855i,-0.0045093-0.00024618i,-0.002418-0.00076553i,-0.0014175-0.002055i,-0.0019888-0.0029599i,-0.0022135-0.0023597i,-0.0010161-0.00057949i,2.9826e-05+0.00037149i,0.00012921-0.00021556i,9.979e-05-0.00096612i,0.00012737-0.0003601i,-0.00021392+0.00064522i,-0.00016903+0.00062766i,0.0001953+0.00047018i,0.00034018+0.00016544i
-0.00093944+0.00059473i,-0.00011646+0.00083921i,-0.00036481+0.00046135i,-0.0003204-0.00054896i,-0.00025801-0.0015625i,-0.00069325-0.0010226i,-0.0022894+0.0010462i,-0.0043133+0.0024613i,-0.0051252+0.0031101i,-0.0039362+0.0028044i,-0.0027044+0.001372i,-0.0038803+0.00016787i,-0.0044409-0.00030077i,-0.0025671-4.2753e-05i,-0.00060529+0.00045887i,-0.00010597+0.00075558i,-1.4083e-05+0.00082758i,0.00052885+0.00030033i,0.00032767-2.9824e-05i,0.00047148-0.00033742i,0.00078693-0.00069943i,-0.0003144-0.00024182i,-0.00085689+0.00074766i
6.9258e-05-0.00037262i,0.00098419+0.0011497i,0.00089372+0.0025698i,0.0024564+0.0019861i,0.0029602+0.00044508i,0.0011187+0.00024165i,6.5214e-05+0.0027878i,0.00019258+0.0048162i,0.00023846+0.0047547i,0.00023529+0.0038802i,-0.00030547+0.0029488i,-0.0014526+0.002824i,-0.0021581+0.0029795i,-0.0015727+0.0022244i,-0.00019111+0.0014369i,0.00051374+0.00055678i,9.5708e-05-6.3795e-05i,0.00050888-6.7815e-05i,0.0005394-4.7063e-05i,-6.7184e-05+2.8553e-05i,-0.00026592+0.00057479i,-0.00014889+0.0011895i,-0.00024088+0.0011041i
-0.0019325+0.001561i,-0.0013738+0.0024816i,-0.00071515+0.0033976i,0.00057386+0.0016668i,0.0015092-0.0012043i,0.0023592-0.0012424i,0.0036223+0.0015198i,0.0045932+0.0034697i,0.0039238+0.0035057i,0.0020486+0.0021959i,0.00066419+0.0027626i,0.00072667+0.0044832i,0.0009758+0.0044153i,0.00078913+0.0031904i,-5.0492e-05+0.0016649i,-0.0003809+0.00052973i,0.00019407+0.00020819i,0.00018385-0.00068219i,-9.9171e-05-0.00038831i,0.00046962+0.00080865i,0.00084051+0.00081041i,0.00081221+0.0004741i,0.0010167+0.00053026i
0.0013488-0.0011142i,0.00049152-0.0020509i,-0.00058261-0.003913i,-0.0011364-0.0043402i,-0.0011488-0.0037221i,-0.00052614-0.0020637i,0.0021692-0.00019551i,0.004352+0.00015662i,0.0036621-0.0003536i,0.0017377-0.00016897i,0.0015454+0.00085598i,0.001753+0.0016612i,0.0019845+0.0014665i,0.0022806+0.0009061i,0.0010768+0.00085407i,0.00017049+0.00075796i,0.00013252+0.00029392i,-0.00038055+0.00054968i,-0.00047859+0.00093788i,0.00038578+0.0010423i,0.0011267+0.0004131i,0.0010981-0.00020454i,0.00057362-0.00020025i
0.0020972+0.0012488i,0.0035905+0.00056033i,0.0040109-0.00017881i,0.0030687-0.002089i,0.00026692-0.0033306i,-0.0015294-0.0032232i,-0.00078554-0.0035356i,0.00019897-0.0044255i,-0.00092709-0.0046188i,-0.0015227-0.0037589i,0.00029861-0.0023216i,0.0013293-0.0018431i,0.0010639-0.0017638i,0.00041108-0.0011389i,0.00020894+0.00019925i,-0.00040143+0.0011816i,-0.0010003+0.001457i,0.00053724+0.0012635i,0.0016078+0.0010105i,0.0013456+0.00072341i,0.0010659+0.00027093i,0.00052609-6.2976e-05i,-0.00013431-0.00056617i
0.0014891+0.002561i,0.00042374+0.0039412i,0.00065804+0.0045886i,0.0017514+0.0016293i,0.0014655-0.0023727i,0.00024109-0.0049875i,-0.0014886-0.0058157i,-0.0030017-0.0055333i,-0.0035949-0.0043117i,-0.0028229-0.0027535i,-0.001877-0.0021027i,-0.0013502-0.0031306i,-0.00080501-0.0030798i,4.4212e-05-0.0015975i,0.00026384-0.0012448i,-0.00014385-0.00029027i,0.00032226+0.00069162i,0.00082692+0.00026329i,0.0004286-1.9419e-05i,0.000374+0.00047343i,4.6285e-05+0.00089483i,-0.00054028+0.00046051i,-0.00062501+0.00055511i
0.0021829-0.0018853i,-0.00066266-0.0028336i,-0.0019152-0.0042674i,-0.0010679-0.0045649i,-0.00088023-0.0048303i,-0.0018952-0.0039627i,-0.0031034-0.0022546i,-0.0052364-0.0012183i,-0.0050701+1.221e-05i,-0.0041992+0.00054197i,-0.0042617-0.00034184i,-0.0043095-0.0012873i,-0.0035734-0.0018648i,-0.0022385-0.0014006i,-0.00047201-0.00051979i,0.0010179-0.00046495i,0.00095889-0.0011883i,0.00049964-0.0020783i,0.00025062-0.0015175i,0.00030342-0.00090131i,-0.00031326-0.00057505i,-0.00060725+4.7407e-05i,-2.5723e-05+0.00051852i
