-0.004515+0.0020545i,-0.0033938+0.0013601i,-0.0025264+0.0011065i,-0.00078062+0.00091235i,0.00057142+0.0014787i,0.00067613+0.0020631i,3.8602e-05+0.0020043i,0.00042448+0.0015697i,0.00089078+0.00071635i,0.00064103-4.3868e-05i,0.00041311-0.00022053i,0.0002479-0.0003933i,6.8801e-05+0.00047036i,0.00022687+0.0010992i,0.00077021+0.00050294i,0.00088786+0.00073011i,0.00016401+0.0006637i,-0.00062653-0.00022376i,-0.00045041+0.00010016i,-0.0001276+0.001121i,-0.00014196+0.00070534i,-0.00027798+0.00033182i,-0.00094981+0.00079621i
-0.0021222+0.029482i,0.00061829+0.015107i,0.0014819+0.0066032i,0.0029004+0.0026855i,0.0030047-0.0004733i,0.0012615-0.0019392i,-9.592e-05-0.0014396i,0.00059212-0.00027978i,0.0025982-0.00078038i,0.0024451-0.0022616i,-0.00020456-0.0025642i,-0.0017517-0.0022877i,-0.00063667-0.0025345i,0.00068191-0.002366i,0.00051532-0.0010829i,0.0010023+0.00018188i,0.0011447+0.00032816i,0.00067799-0.00062785i,0.00022448-0.0011343i,-0.0002015-0.00082278i,6.5255e-05-0.00061189i,-0.00041626+0.00039296i,-0.00023453+0.00090944i
0.026489-0.0040304i,0.011871-0.003909i,0.003667-0.0017921i,0.00041055-0.0020402i,-0.0012103-0.0010983i,-0.0016691+0.0011474i,-0.00089206+0.0020798i,-0.0013441+0.00078935i,-0.0026494-0.0012941i,-0.0027256-0.0013176i,-0.0015808+0.0011668i,-0.00082703+0.0023456i,-0.0015179+0.0014097i,-0.0024096+0.00077387i,-0.0021451+4.3628e-05i,-0.0014995-0.0011146i,-0.00088586-0.00084967i,-0.00046309+0.00022021i,-0.00057445+0.00067596i,-0.00075267+0.0014743i,-0.00057948+0.001707i,0.00051519+0.00072205i,0.0013815-5.7453e-05i
-0.01492-0.026016i,-0.013319-0.011746i,-0.010289-0.0035852i,-0.0070899+0.00067478i,-0.0027098+0.0029017i,0.00050792+0.0038599i,0.0017468+0.0023407i,0.0010275+0.0013356i,-0.001061+0.0019481i,-0.00074088+0.0021567i,0.0017596+0.001636i,0.0026183+0.0011623i,0.0016059+0.0014204i,0.00025909+0.0019496i,-0.00059062+0.0020177i,-0.0011396+0.0016981i,-0.0011062+0.0012838i,0.00015567+0.0010736i,0.0012236+0.00031799i,0.0014859-0.00069527i,0.0016201-0.0013009i,0.001012-0.0013334i,-0.00030232-0.00099018i
-0.016316+0.020704i,-0.0054179+0.011487i,-0.00092463+0.0060124i,0.00086979+0.0049734i,0.0027336+0.001816i,0.002907-0.0017907i,0.0012826-0.0026063i,0.00058227-0.0012031i,0.0022679-0.00039504i,0.0020899-0.0019019i,7.0072e-05-0.0030315i,-0.00065843-0.0023141i,0.00012616-0.0017696i,0.0012672-0.00095879i,0.0013413-2.8862e-05i,0.0010598+0.00081782i,0.0012367+0.00080386i,0.001247-0.00018834i,0.0011381-0.00086178i,0.00028443-0.00090759i,-0.00065431-0.00094003i,-0.00079366-0.00023852i,-0.0004717+0.001125i
0.024461+0.012383i,0.011453+0.0033858i,0.0051859-0.00093976i,0.0035316-0.0039406i,0.00059186-0.004667i,-0.0024814-0.0021514i,-0.0020202+0.0011978i,-0.001394+0.0012614i,-0.0020294-0.0014137i,-0.0024279-0.001624i,-0.0023294+0.00025214i,-0.0017433+0.0014701i,-0.0012567+0.001071i,-0.0016393-0.00027694i,-0.0015762-0.0013317i,-0.00079449-0.0017132i,-0.00014552-0.0014028i,-0.00030466-0.0011856i,-0.00063412-0.0013528i,-0.00070244-0.00069391i,0.00039855-0.00049889i,0.001749-0.00028133i,0.0015113-0.00017384i
0.0051283-0.028762i,-0.00027227-0.015099i,-0.0036112-0.0074695i,-0.005711-0.0036224i,-0.0052085+0.00073184i,-0.0020611+0.0028884i,0.0011945+0.0023261i,0.0012311+0.0015907i,-0.00037317+0.0025799i,-0.00029302+0.0035462i,0.0010878+0.0021977i,0.0021325+0.00076347i,0.0013169+0.00080149i,-0.00043135+0.00091246i,-0.00086544+0.00039717i,-0.0015721-1.665e-05i,-0.0018188+0.00039244i,-0.0012264+0.0015506i,-0.00068475+0.00205i,7.5947e-05+0.0012854i,0.00064522-0.00013635i,0.00029636-0.0015416i,-0.00035367-0.0027958i
-0.029759+0.0054985i,-0.016341+0.0055624i,-0.0083512+0.0050487i,-0.003588+0.006078i,0.0017562+0.0056685i,0.0041606+0.0027026i,0.0025464-0.00039018i,0.00064462-0.0012988i,0.0013783-0.0011282i,0.0022683-0.00134i,0.0017305-0.0019463i,0.0014614-0.0013763i,0.0011005-0.00099756i,0.0011125-0.00047682i,0.0012664+0.00068104i,0.00078108+0.001161i,0.00099659+0.0014087i,0.002121+0.0010725i,0.0020562+0.00022878i,0.0016346-0.00039264i,0.0016492-0.00069685i,0.0005744-0.00044394i,-0.00059245+0.00062425i
0.014012+0.027303i,0.0099406+0.014129i,0.0066839+0.00588i,0.0062698+0.0018424i,0.0043279-0.00093497i,0.0009504-0.0015398i,-0.00084213-0.00027343i,-0.0014459+0.00018764i,-0.0021613-0.0015595i,-0.0027093-0.0027692i,-0.0026916-0.00098573i,-0.0014596+0.00080249i,-0.00046254+0.00047246i,-0.00033085-0.00053891i,0.00020993-0.0017961i,0.00088769-0.0028024i,0.0010885-0.0029268i,0.00038642-0.0023187i,-0.00063148-0.0015545i,-0.00118-6.5855e-05i,-0.00095729+0.00074221i,8.8614e-05+0.00063352i,0.0011013+0.00073664i
0.015974-0.017619i,0.0061099-0.011902i,0.00091103-0.0073983i,-0.0014572-0.0056711i,-0.0029531-0.002383i,-0.0019165+0.0011467i,0.00062792+0.0022588i,0.0014976+0.0021782i,0.0003914+0.0024218i,-0.0003716+0.0031435i,0.00051348+0.0028932i,0.0010303+0.0014767i,0.00013671+0.0013244i,-0.00089959+0.0014126i,-0.0014999+0.00074078i,-0.0015394-0.00012189i,-0.0017506-0.00012792i,-0.00181+0.00050524i,-0.00098326+0.000933i,-0.00021446+0.0011027i,0.00026515+0.00075109i,0.00045735-0.00079646i,-0.00031426-0.0021421i
-0.030033-0.015318i,-0.021314-0.0061379i,-0.014984-0.00025612i,-0.011672+0.0052257i,-0.0055065+0.0086486i,0.00054916+0.0068319i,0.0023422+0.0027336i,0.0014482-0.00039503i,0.0013102-0.0016986i,0.0019536-0.0021061i,0.0018053-0.002128i,0.0011853-0.0017674i,0.00063806-0.0011185i,0.00070004-0.00094097i,0.00045555-3.9794e-05i,-0.00056409+0.0011809i,-5.8768e-05+0.0016227i,0.001624+0.0019433i,0.0019318+0.0015967i,0.0015556+0.00083066i,0.00084698+0.00022626i,-0.00040595+0.00011772i,-0.0013892+0.00065356i
-0.0050351+0.03135i,-0.0003998+0.019546i,0.00197+0.012047i,0.0052561+0.0087864i,0.0071844+0.003325i,0.005053-0.0014008i,0.00057106-0.0023295i,-0.0024867-0.0015117i,-0.0028828-0.0021959i,-0.0023629-0.0033401i,-0.0013121-0.0015904i,-0.00022394+0.00072876i,-0.00069445+0.00086643i,-0.00061065-0.00078308i,0.00054273-0.0018556i,0.0012835-0.0025406i,0.0015818-0.0031954i,0.0011411-0.0028818i,-4.4233e-05-0.0027109i,-0.00057632-0.0023368i,0.00044874-0.00093303i,0.0011659+0.00031801i,0.0014041+0.00063059i
0.029032-0.009562i,0.016902-0.0092726i,0.008085-0.0070412i,0.0036847-0.0078737i,-0.001303-0.0069938i,-0.003271-0.0026883i,-0.0011862+0.0015302i,0.00076443+0.0032884i,0.00041114+0.0036735i,-0.00085431+0.0036638i,-0.00043336+0.0022831i,0.00015476+0.00057639i,-9.0619e-05-0.00031472i,-0.0010553+5.4494e-05i,-0.002235+0.00074855i,-0.002709+0.00025503i,-0.0029784-0.0003529i,-0.0018484-8.3789e-05i,-0.00077133+0.00038453i,-0.00095872+0.00018222i,-0.00027086-0.00017048i,0.00024949-0.0008816i,0.00034466-0.0015268i
-0.012992-0.023059i,-0.010989-0.014923i,-0.0088561-0.0087045i,-0.0094455-0.0038993i,-0.0064222+0.0013605i,-0.0009115+0.0044656i,0.0020659+0.0023201i,0.0025032-0.0014058i,0.0032445-0.0013472i,0.0043306-0.00068455i,0.0035757-0.0012421i,0.0014518-0.0010522i,-0.00048611+0.0002844i,-0.00070675+0.0013619i,0.00073019+0.002001i,0.0015589+0.0024528i,0.0022485+0.0023544i,0.002499+0.0027208i,0.0016783+0.0021662i,0.001529+0.00087002i,0.00098774-9.3635e-05i,-0.00049143-6.1869e-05i,-0.0016111-0.00013094i
-0.020165+0.026541i,-0.014017+0.020066i,-0.0073328+0.012357i,-0.0021478+0.010652i,0.0027293+0.0076242i,0.0045654+0.0026114i,0.0013206-0.00055239i,-0.0028284-0.001645i,-0.0042327-0.002128i,-0.0032456-0.0032705i,-0.0016221-0.0025134i,-0.00073621-0.00082937i,-7.3286e-06-0.00057076i,0.00059512-0.0011819i,0.0010924-0.0013652i,0.0015341-0.0012101i,0.0021376-0.002119i,0.0021064-0.0026098i,0.0015951-0.0017369i,0.0012785-0.00083156i,0.00054795+0.00028475i,-0.00021622+0.0010263i,0.00063121+0.0011159i
0.027935+0.0067067i,0.019867+0.0043505i,0.012449+0.0033755i,0.0099044-0.00067324i,0.0053694-0.0044345i,0.00016616-0.0044325i,-0.0015843-0.0015146i,-0.0011807+0.002863i,-0.0013013+0.0053526i,-0.0024506+0.0051143i,-0.0022414+0.0033555i,-0.00062949+0.00070202i,-0.00093734+0.0001405i,-0.0020598+0.00055589i,-0.002616-0.00098195i,-0.0029242-0.001914i,-0.0026584-0.0011284i,-0.0018424-0.00068884i,-0.0015908-0.00061733i,-0.0015022-0.00084941i,-0.00013046-0.00032234i,0.00079082-0.00021388i,0.00077-0.0011914i
0.00026482-0.024495i,-0.00060974-0.019161i,0.00041465-0.013641i,-0.0022765-0.010216i,-0.0051993-0.0038599i,-0.0035786+0.0012853i,0.00081685+0.0023579i,0.0038161+0.00034684i,0.0058909-0.0010467i,0.0063526-0.00095864i,0.0042197-0.00036786i,0.00079229+0.00017037i,3.1476e-05+0.0007885i,0.0003585+0.0016867i,-0.00069425+0.0023544i,-0.0010488+0.0023245i,0.00030566+0.001949i,0.0012+0.0019394i,0.0014463+0.0025324i,0.001217+0.002486i,0.0011053+0.00066971i,0.0008216-0.00050012i,-0.00061635-0.00060049i
-0.032178+0.013749i,-0.025563+0.011001i,-0.017992+0.0077264i,-0.011564+0.0084319i,-0.0028896+0.0084726i,0.0028333+0.0047666i,0.0020255+0.00020086i,-0.0020346-0.0029979i,-0.0040878-0.0055449i,-0.0030029-0.0060939i,-0.00062069-0.0030068i,0.00060445-0.00039644i,0.00042345-0.00030095i,0.00063143-0.00014396i,0.0014724-5.7017e-05i,0.0028601-0.00062547i,0.0031104-0.0015832i,0.0018063-0.0019775i,0.0012587-0.0020155i,0.00096958-0.0016595i,0.00013926-0.00042001i,-0.00043636+0.00079389i,-0.00088124+0.001275i
0.01993+0.019142i,0.014622+0.015517i,0.00715+0.011381i,0.0063597+0.0081889i,0.0067942+0.0026683i,0.0047898-0.0015478i,0.0004056-0.00097149i,-0.0031324+0.0030288i,-0.0036361+0.0064183i,-0.0037522+0.0053976i,-0.0023584+0.002612i,-7.8559e-05+0.0011749i,2.0408e-05+0.00060134i,-0.00036266-6.885e-05i,-0.00089751-0.0015706i,-0.001789-0.0023828i,-0.0020788-0.0020304i,-0.0018727-0.0013283i,-0.0017755-0.00045436i,-0.001157-0.00021296i,0.00043026-0.00062578i,0.00034215+0.00020656i,-0.0002232+6.5077e-05i
0.0074536-0.021996i,0.0092535-0.015905i,0.008418-0.0093478i,0.005639-0.0080916i,0.0011997-0.0055624i,-0.0013952-0.0017113i,-0.00056736+0.0015906i,0.0037033+0.0024659i,0.0066997+0.0017505i,0.0064931+0.0017736i,0.0039931+0.0017622i,0.0013883+0.00082864i,0.0005462+0.00022603i,0.00030531+0.00060125i,-0.00040576+0.0013023i,-0.00083217+0.0016468i,-0.00072248+0.0021737i,-0.00042764+0.0022432i,0.00031115+0.0022428i,0.00013084+0.0018449i,-0.0002269+0.00070586i,9.0439e-05-0.00025419i,0.00015217-0.0013655i
-0.024782-0.004082i,-0.022882-0.0067447i,-0.016867-0.0076135i,-0.014822-0.0036818i,-0.0088018+0.0023103i,-0.0015437+0.0047577i,0.0011565+0.0018883i,-0.00045566-0.0040372i,-0.0024218-0.0083758i,-0.0026101-0.0089667i,-0.0018861-0.0057857i,-0.0012984-0.0019768i,-0.00065999-0.0013858i,8.0687e-05-0.001229i,0.00068607+0.00016245i,0.0013952+0.00089757i,0.0025397-0.0001131i,0.0024299-0.0010474i,0.0015987-0.0010012i,0.001312-0.00090827i,0.00065647-0.00075133i,-0.00094262-0.00041612i,-0.0016082-5.5827e-05i
0.0070282+0.027432i,0.001443+0.02467i,-0.0027802+0.017974i,7.3077e-05+0.015524i,0.0049479+0.010123i,0.0066605+0.0027506i,0.0030747-0.00042207i,-0.0030218+0.0021239i,-0.0067308+0.0053615i,-0.0077245+0.0053973i,-0.0056427+0.0032059i,-0.0020606+0.0012812i,-0.00052893-0.00019421i,-0.00086926-0.00024681i,-0.0015318-0.00049165i,-0.001699-0.0017308i,-0.0012165-0.0018856i,-0.0014764-0.0015986i,-0.0018037-0.0014936i,-0.00083736-0.0012663i,-0.00026867-0.0002186i,-0.0003264+0.00024632i,0.00039045-0.0010183i
0.014095-0.018773i,0.015829-0.011534i,0.012502-0.004645i,0.010073-0.0045905i,0.0049807-0.0051423i,1.9605e-05-0.003347i,-0.00096427-0.00030344i,0.002072+0.0035608i,0.0061663+0.004699i,0.0068246+0.0038411i,0.004153+0.0024666i,0.0018139+0.00039749i,0.0010938+0.00012838i,0.00051049+0.00073765i,-0.00050618+0.0009144i,-0.00071357+0.0018539i,0.00013449+0.0024723i,0.0008875+0.0023926i,0.00019597+0.0017779i,-0.00050037+0.00086777i,0.0002034+0.00074754i,0.0008152+0.00046931i,0.00010975-0.00032326i
-0.019555-0.011759i,-0.014981-0.018327i,-0.008469-0.016789i,-0.0087867-0.012096i,-0.0085882-0.0041247i,-0.0048353+0.0012823i,-0.00032488+0.001832i,0.0016696-0.0029744i,0.0011788-0.0086154i,0.00063036-0.0095649i,0.00020387-0.006199i,0.00016151-0.0026416i,0.0010005-0.0011671i,0.0011322-0.00032649i,0.00083066+0.00064097i,0.0013092+0.00076386i,0.002318-0.00037168i,0.0029684-0.00068555i,0.0022455-0.00027501i,0.0012662-0.00041898i,0.0011-0.0009447i,0.00031158-0.0010852i,-0.00046287-0.00054778i
0.00064505+0.031784i,-0.0077793+0.025413i,-0.0091011+0.014788i,-0.0054644+0.012324i,0.0023396+0.010256i,0.006053+0.0061022i,0.0019734+0.0021547i,-0.0048692+0.0010309i,-0.0094382+0.0024119i,-0.009514+0.0028708i,-0.0059196+0.0021782i,-0.0021206+0.0015959i,-0.0012914+0.00061331i,-0.0018791-0.00030734i,-0.0013092-0.00098476i,-0.0008321-0.002129i,-0.0012294-0.0023516i,-0.0011398-0.0014732i,-0.0009664-0.00088753i,-0.0005968-0.00052743i,0.0009253-0.00059323i,0.0010303-0.00079888i,0.00051245-0.00017053i
0.021082-0.011144i,0.02139+0.00054328i,0.01467+0.0059895i,0.011722+0.0041321i,0.0082356-0.0015674i,0.0039731-0.0041312i,0.0010231-0.0017826i,0.0019836+0.0032076i,0.0054226+0.0061536i,0.0064853+0.0059926i,0.0041023+0.0038818i,0.0014913+0.0016076i,0.00079393+0.00095044i,0.00058708+0.00065263i,8.8078e-06+0.0002098i,-0.0013345+0.00059815i,-0.0022293+0.0015328i,-0.0022821+0.0015693i,-0.0017328+0.00039654i,-0.00047513+6.8697e-05i,0.00090919+0.00072594i,0.00082592+0.0010293i,0.00074395+0.00074187i
-0.025726-0.015605i,-0.0094268-0.021373i,0.0010725-0.01531i,0.001405-0.010918i,-0.0022056-0.0055854i,-0.0033164-0.00091574i,-0.00050217-0.00054549i,0.0026943-0.0040645i,0.0032676-0.0076446i,0.00282-0.0085635i,0.0013565-0.0059624i,0.00029142-0.0032823i,0.00041605-0.002186i,0.00014403-0.0018192i,0.00032569-0.0017353i,0.0016306-0.00064552i,0.0028558+0.00030695i,0.0025295+0.00032092i,0.0013643+0.00065144i,0.00063793+0.0011418i,0.00034425+0.00056716i,7.401e-05-2.2618e-05i,4.3634e-05+6.1969e-05i
-0.0054251+0.031188i,-0.01629+0.017723i,-0.014082+0.0055609i,-0.010097+0.0031712i,-0.0037423+0.0053146i,0.00080695+0.0049013i,0.0006753+0.0023425i,-0.0044559-0.0003816i,-0.0095849-0.0013144i,-0.010184-0.00063904i,-0.0068315+0.00036474i,-0.003296+0.00078127i,-0.0020758+0.00094787i,-0.0011228+0.00095797i,-0.00069601+0.00026915i,-0.00072775-0.00098904i,-0.00036545-0.001812i,-5.0367e-06-0.0018466i,0.00078166-0.0013669i,0.00047542-0.00075987i,-0.00022825-0.00019685i,-0.00042003-0.0003153i,-0.00084437-0.0015691i
0.034642-0.013337i,0.020881+0.0062508i,0.0063332+0.010461i,0.0029433+0.0099801i,0.0039409+0.0052886i,0.004201+0.0011831i,0.0024062+0.0014663i,0.0012574+0.005101i,0.0030008+0.008995i,0.0041584+0.0093908i,0.0033273+0.0063105i,0.0023806+0.0030585i,0.0020235+0.0010925i,0.001478+0.00065272i,0.00046857+0.00049563i,-0.00040632+0.00081786i,-0.00042091+0.0017436i,-0.00073696+0.0017274i,-0.0010508+0.0002924i,-0.00088416-0.00045871i,-0.00029231+0.00027098i,0.00035085+0.00094211i,-0.00022949+0.00093996i
-0.02068-0.028841i,0.0010921-0.025608i,0.0085438-0.014735i,0.0078492-0.010664i,0.0022448-0.0087278i,-0.00045819-0.0048247i,0.0010422-0.0019606i,0.0037975-0.003036i,0.0060375-0.007009i,0.0053942-0.0093524i,0.0030171-0.0071169i,0.0013819-0.0042691i,0.00088189-0.0026103i,0.00094048-0.0013701i,0.00072507-0.00014414i,0.00095986+0.0013588i,0.0018295+0.0016875i,0.0017034+0.00061011i,0.00075814+0.00040395i,0.00016404+0.00075687i,0.00058843+0.00075162i,0.00082715+5.2769e-05i,0.00011657-0.00084713i
-0.020807+0.038332i,-0.023437+0.013301i,-0.014161-0.001376i,-0.010664-0.0046799i,-0.0084206+0.00023154i,-0.0052429+0.0032269i,-0.0038633+0.00079772i,-0.0054354-0.0019859i,-0.0086361-0.0023867i,-0.0094885-0.001599i,-0.0066742-0.00024725i,-0.0038179+0.0013035i,-0.0020358+0.0019418i,-0.0010802+0.0013844i,-0.0012292+2.8011e-05i,-0.00093509-0.0015664i,-0.00014433-0.0024216i,0.00064947-0.0020999i,0.0012281-0.0020114i,0.0015287-0.0015425i,0.0013776-0.001476i,0.0014783-0.0016029i,0.0016699-0.0011284i
0.045674-0.0011442i,0.01707+0.01136i,-0.0013009+0.0089162i,-0.0032723+0.0089826i,0.0016661+0.0078621i,0.004571+0.0048634i,0.0029383+0.0044981i,-0.00012385+0.0066581i,0.00034271+0.0092842i,0.0027653+0.0098767i,0.0030905+0.0067267i,0.0018775+0.0037065i,0.0014041+0.0020546i,0.0010511+0.001041i,0.00043536+0.00044963i,-0.0006935-0.00022972i,-0.0019005-0.0002574i,-0.0020754-0.00018134i,-0.0013358-0.00016482i,-0.00097355-0.00017692i,-0.0005501-2.7935e-05i,-0.00044742-3.8141e-05i,-0.00101-0.00046984i
-0.015269-0.041163i,0.0069941-0.021122i,0.01106-0.0047181i,0.01078-0.0025545i,0.0069599-0.0054119i,0.0033322-0.0050032i,0.0036313-0.0032988i,0.0061037-0.00314i,0.0081842-0.005813i,0.0077578-0.0079053i,0.0052379-0.0058047i,0.0023972-0.0031251i,0.00068569-0.0024161i,0.00012903-0.0017101i,0.0001824-0.00086011i,0.00040856+0.00033639i,0.0010746+0.0012818i,0.00088006+0.0012058i,-7.94e-05+0.00040651i,-7.179e-05-0.00045108i,0.00049864-0.0002712i,0.00065481+0.00064645i,0.000649+0.00082208i
-0.047433+0.036665i,-0.031651+0.0059665i,-0.012091-0.004376i,-0.0065863-0.0060298i,-0.0077831-0.002228i,-0.0061988+0.0008668i,-0.0045718-0.00099685i,-0.0058266-0.0040272i,-0.0089298-0.0054964i,-0.010264-0.0043084i,-0.0080721-0.001632i,-0.0038979+0.00015268i,-0.0013907+0.00040408i,-0.0011892-0.00011921i,-0.00068673+5.2921e-05i,0.00056133-0.00023231i,0.0010377-0.0016192i,0.0011639-0.0024457i,0.0014203-0.00070128i,0.001193+0.00095561i,0.00083564+0.0012002i,0.0012915+0.00044859i,0.0011653+2.5805e-05i
0.053684+0.024505i,0.015599+0.019538i,-0.0041031+0.0072251i,-0.007259+0.0047192i,-0.0014369+0.005418i,0.0020938+0.0041893i,0.0015724+0.0037668i,-0.00029573+0.0053888i,-0.00049385+0.0082887i,0.0011373+0.009064i,0.0025174+0.0063558i,0.0023299+0.0030011i,0.0018713+0.00083041i,0.0013891+0.00019927i,-0.00044353-0.00031276i,-0.0024281-0.0011988i,-0.0025527-0.00060193i,-0.0010023-0.00033658i,-0.00024203-0.0012398i,0.00024209-0.001817i,0.00075415-0.0013811i,0.00033363-0.00084522i,-0.00035917-0.0010193i
0.0062441-0.063302i,0.013895-0.023813i,0.0053691-0.00033018i,0.0044132+0.0054052i,0.0052042+0.0014792i,0.004193-0.00085417i,0.0045012-0.00088695i,0.00559-0.0019375i,0.0071445-0.0043654i,0.0071898-0.0064073i,0.0048758-0.0062635i,0.0025503-0.0036887i,0.00065915-0.0016411i,-0.00012333-0.00084408i,0.00044362+7.0106e-05i,0.001019+0.0012372i,0.0018636+0.0017615i,0.0013517+0.0007286i,-0.00070772+0.00056793i,-0.0014329+0.001349i,-4.8201e-05+0.00094392i,0.00085931+0.0004406i,0.00056643+0.00011222i
-0.072781+0.01293i,-0.038502-0.0065413i,-0.012342-0.0058668i,-0.0025569-0.0045292i,-0.0033938-0.0026847i,-0.0029001-0.00078464i,-0.0016061-0.0013026i,-0.0043655-0.0042235i,-0.0082895-0.0067101i,-0.0097329-0.0046773i,-0.0079617-0.0012909i,-0.0040002-4.5937e-06i,-0.0016507+0.00070674i,-0.0010261+0.0014153i,-0.00012209+0.00090152i,0.00070691-0.00077515i,0.00047933-0.0018398i,-7.2222e-05-0.00055244i,0.00086536+0.0010559i,0.0015848+0.0004382i,0.0015767-7.2297e-05i,0.0018494-0.00056879i,0.0021457-0.0012349i
0.045971+0.06485i,0.010685+0.033339i,-0.0013968+0.006697i,-0.0053387-0.00025708i,-0.0034891+0.0028472i,-0.00055304+0.0045206i,-0.00080489+0.0047553i,-0.0017507+0.0065481i,-0.0016416+0.0094304i,-0.00027103+0.0095331i,0.0013394+0.0072358i,0.001758+0.0034991i,0.001516+8.5384e-05i,0.0012673-0.0012402i,5.9255e-05-0.0014412i,-0.0017247-0.00099242i,-0.0027285-0.00015838i,-0.0018951-0.00037613i,-0.00088055-0.0013672i,-0.00052384-0.0022767i,-0.0003639-0.0019692i,-0.00082401-0.00095844i,-0.0014744-0.0014678i
0.049249-0.066118i,0.030746-0.023031i,0.0079695-0.0034584i,0.00084487+0.0037128i,0.0029794+0.0032176i,0.0033601+0.001223i,0.0036743+0.0014532i,0.0054877+0.00046734i,0.0077494-0.0026277i,0.008479-0.0058979i,0.0060181-0.0059797i,0.0024112-0.0038041i,-0.00086233-0.0022737i,-0.0024896-0.002014i,-0.0024071-0.001248i,-0.0014802+0.00053206i,7.8937e-05+0.0017466i,0.00057231+0.0017628i,3.7975e-05+0.0010157i,2.8741e-05+0.0012682i,0.00064319+0.0018326i,0.00048503+0.0015726i,-0.00075411+0.00062288i
-0.085255-0.025998i,-0.039354-0.023112i,-0.011861-0.0086052i,-0.00088117-0.0038793i,-0.00052268-0.0043191i,-0.0015932-0.0024024i,-0.0016169-0.0022844i,-0.0034216-0.004146i,-0.0068911-0.0064231i,-0.0090885-0.0061552i,-0.0075113-0.0024265i,-0.0035475+0.00085079i,-0.00090063+0.0021148i,0.00057218+0.0022087i,0.0016796+0.0018182i,0.0020166+0.00058479i,0.001451-0.00077072i,0.00059788-0.0002435i,0.00018256+0.0013056i,0.00058552+0.0013783i,0.0014443+0.00069485i,0.001407+0.00035461i,0.0012679+0.000834i
0.0028599+0.1045i,-0.0069225+0.054061i,-0.001185+0.018864i,-0.00083736+0.0047319i,-0.0021124+0.0045279i,-0.00070102+0.0049681i,-0.0017627+0.0034258i,-0.0037889+0.0042511i,-0.0028416+0.0072518i,0.0005055+0.0092705i,0.0026353+0.0074331i,0.0020374+0.0035734i,0.00093801+0.00027683i,0.00077038-0.0018657i,8.8036e-05-0.0023796i,-0.0013443-0.002089i,-0.0018553-0.00070552i,-0.0007593+0.00059092i,9.0123e-05+0.00015059i,0.00039448-0.00049207i,3.804e-06-0.00080869i,-0.00016182-0.0010249i,0.00019535-0.0016497i
0.090906-0.044281i,0.046429-0.015493i,0.014024-0.0049939i,0.0029424+0.00029312i,0.0037878+0.0021672i,0.0031378+0.00069239i,0.0024223-0.00034953i,0.0054251-0.0007171i,0.009171-0.0022686i,0.0093529-0.0048974i,0.006108-0.0060569i,0.0018574-0.0043878i,-0.00081474-0.0026821i,-0.0017713-0.0025422i,-0.0016743-0.0013276i,-0.0016752+0.0012099i,-0.00034879+0.0020958i,0.00064183+0.0013124i,-0.00080519+0.0003419i,-0.001254+3.2232e-05i,-0.001004+0.00046589i,-0.0011177+0.00077247i,-0.0012536+0.001101i
-0.075802-0.079049i,-0.034029-0.044343i,-0.014914-0.014197i,-0.0051394-0.0022252i,-0.0016513-0.0025231i,-0.0011362-0.0020843i,-0.00033683-0.0017845i,-0.0016182-0.0046942i,-0.0057136-0.0077258i,-0.007686-0.0067586i,-0.006016-0.0035318i,-0.0038532-6.5571e-05i,-0.0021988+0.0022892i,-0.0010041+0.0033512i,-0.00026723+0.0026982i,0.0011291+0.00047424i,0.0019818-0.0012345i,0.00053293-0.001508i,-0.00025119-0.00059325i,0.0010489+0.0005237i,0.0022487+0.00090404i,0.0018667+0.00088615i,0.0012114+0.00027543i
-0.055083+0.10319i,-0.034351+0.052869i,-0.010578+0.022609i,-0.0017251+0.0082203i,-0.0021054+0.0045528i,0.00026942+0.004184i,0.0013579+0.0031399i,-0.0014013+0.004711i,-0.0034796+0.0075998i,-0.0025848+0.0083735i,-0.000183+0.0062812i,0.0022366+0.0030503i,0.0028533+0.00018643i,0.0028175-0.0012049i,0.0018522-0.0014411i,-0.00091799-0.0020273i,-0.0020036-0.0018857i,-0.00041638-0.00036871i,0.0011005-0.00051043i,0.00098114-0.0010416i,0.0013893-0.001223i,0.0010338-0.0016888i,0.00038596-0.0012573i
0.12092+0.012308i,0.060581+0.01134i,0.022249+0.0015747i,0.005803-0.0027551i,0.0032494-0.00074636i,0.0026956+0.00018108i,0.0022459+0.00045678i,0.0049502+0.00051001i,0.0084517-0.00057818i,0.0080458-0.0024994i,0.0044706-0.0043131i,0.00062434-0.0038014i,-0.0015876-0.0026898i,-0.002863-0.0032588i,-0.0037318-0.0020823i,-0.0028395+0.00042774i,-0.0014374+0.0015179i,-0.00013286+0.001362i,-0.00053741+0.00024801i,-0.0018651-0.00042865i,-0.0024202-1.3025e-05i,-0.002761+0.00026696i,-0.0022487-0.00011986i
