-0.0048945+0.0020003i,-0.0027583+0.0018778i,-0.0014268+0.0039481i,0.00011148+0.0043337i,0.0011706+0.0031273i,0.0021052+0.00087887i,0.0018245+0.00080131i,0.0012546+0.0018564i,0.0012635+0.0016962i,0.0011356+0.00068689i,0.00052124-0.00047937i,0.00043545-0.0012727i,0.000791-0.00114i,0.00021724-0.0012491i,0.0002872-0.00080125i,0.00054767+3.0158e-05i,0.000808+0.00092357i,0.0008621+0.00095886i,0.00038581+0.00099775i,0.00019424+0.00057827i,0.00038805-0.00060265i,0.00017156-0.00087048i,-4.5411e-05+2.5385e-05i
-0.00093758+0.0002263i,-0.00054649+0.00035396i,-0.00058784+0.0011289i,-7.6963e-06+0.0009513i,0.00082781+0.00092678i,0.0014231+0.00084277i,0.0015266+0.00084347i,0.00087083+0.00073416i,-0.00022082+0.00070463i,-0.00048449+0.0007239i,-0.00018793+0.00024144i,0.00017917-0.00035806i,0.00020781-0.00041578i,0.00022046-0.00052446i,-0.00014763-0.0010267i,-0.00076943-0.00071363i,-0.00022052-7.4876e-05i,-0.00049889+0.00041033i,-0.0011966+0.00042258i,-0.00077059+0.00017811i,-0.00028789+0.00060987i,-0.00059315+0.00063976i,-0.0014442+0.00033321i
-0.00097293+0.0023665i,-0.00073266+0.0021209i,0.0002363+0.0016852i,0.0017682+0.00034721i,0.0029183-0.00039472i,0.0031535-0.00023547i,0.002305-0.0001288i,0.00091338+0.00018996i,0.00042175+0.00020315i,0.00069872-0.00026554i,0.00057528-0.00091763i,9.9614e-05-0.00097816i,-0.00029837-0.0012228i,-6.5653e-05-0.0012864i,0.00028381-0.00060241i,9.9071e-05+0.00022386i,-0.00064775+0.00055912i,-0.00018828+0.00049858i,0.00060005+0.00057003i,0.00024766+0.00071585i,-0.00017136+0.00089664i,-0.00065543+0.0001756i,-0.00058302-0.00034143i
-0.0030067+0.00079209i,-0.0040055+0.0010354i,-0.0039608+0.0010738i,-0.0018409+0.00015028i,-0.00015019-0.00042602i,5.3911e-05-0.00086796i,0.00022753-0.0010853i,2.3785e-05-0.00026438i,3.9177e-05-0.00033986i,0.00053217-0.00026442i,0.0001692-0.00014328i,0.00026209-0.00080736i,0.00058731-0.00060414i,0.00072586-0.00031909i,0.00058908-0.00030234i,0.00055902-1.7748e-05i,0.00040553+0.00085155i,-0.0001247+0.00031403i,0.00019263-0.00032627i,0.00056963-0.00032796i,0.00029886-0.00095408i,0.00014534-0.00066595i,-0.00035009-0.00013277i
0.0017242+0.0032504i,0.00058652+0.00043825i,-0.0004672-0.001039i,-0.0006903-0.0021516i,-6.7669e-05-0.0022678i,0.00021241-0.0011447i,0.00052619-0.00072989i,0.00017404-0.0005685i,-5.0369e-05+0.00046299i,0.00061768+0.0019029i,0.0011805+0.0011377i,0.00056772-0.00012306i,-0.00069668-0.00044953i,-0.00043845-0.00093639i,0.00055907-0.001092i,0.0003844-0.00028259i,-0.00054168+0.00073002i,-0.001066+0.0009622i,-0.00077799+0.0007293i,-0.00026571+0.00036339i,0.00049034+0.00027938i,0.00057217+0.00024876i,0.00028227-6.2064e-05i
-0.00050685+0.00093618i,5.5455e-05+0.0018725i,0.0010854+0.002732i,0.0020152+0.0032375i,0.0020717+0.0020246i,0.0020338+0.00039159i,0.0019951-0.000144i,0.00075119-0.00048916i,-2.3034e-05-0.00045095i,0.00061942+0.00044134i,0.00029024+0.00051815i,-0.0002073-0.00011766i,-0.00048021-0.00014183i,-0.00059973-0.00037221i,-7.6113e-05-4.3993e-05i,-0.00036127-6.7817e-05i,-0.00043687-4.7262e-05i,0.00032748+8.3263e-05i,0.00064751+0.0001681i,0.00035827+0.00053456i,0.00051336+0.00052039i,0.00078047+0.00045137i,0.0002412+0.00038249i
0.00016688+0.0014786i,0.00060001+0.00090075i,0.0012794+0.0013101i,0.0017616+0.00072649i,0.0021664+2.8163e-06i,0.0017153-0.00011273i,0.0011342+5.3313e-05i,0.00041152+0.00036596i,-0.00014721+0.00063574i,0.00041703+0.00038066i,0.00027189-0.00029684i,-0.00033982-0.00051915i,-0.0002997-0.00051603i,-0.00038362-0.00039576i,-4.0131e-05-0.00044555i,0.00018461-0.00012793i,0.00020702-0.00019845i,9.8728e-05-0.00068296i,-0.00034616-0.0011956i,3.7505e-06-0.00092069i,1.5165e-05-0.00010252i,-0.00080296+0.00032424i,-0.0010888+0.00027031i
-0.0013901+0.00094169i,-0.00044301+0.00045632i,0.0005912-7.2764e-05i,0.0006854-0.00025015i,0.00092804-0.00054597i,0.0016313-0.00078324i,0.001871-0.00064906i,0.0010466-0.0003593i,0.0006805-0.00074597i,0.00043052-0.00017134i,-8.0889e-05-0.00015133i,-0.00026452-0.0011682i,-0.00044418-0.0014238i,-0.00051859-0.00083895i,-0.00033494-0.0006535i,0.00019186-0.00066254i,0.00063548-0.00069744i,0.00049135-0.00048258i,0.00014777+0.00045274i,0.0003987+0.00063323i,0.00039272+0.00042579i,0.00018377+1.2079e-05i,-0.00011717-0.00040118i
0.0021776+0.0020313i,0.00099292+0.00095135i,0.00021761-0.00056516i,0.00030428-0.0010216i,-0.0003243-0.0015615i,0.00022865-0.0011335i,0.0018714-0.00080845i,0.001436-0.0010515i,0.0010694-0.001016i,0.001004-0.00044574i,0.00061288-0.0004861i,0.00088847-0.00074572i,0.00087789-0.00019933i,8.9821e-05-8.7028e-05i,1.4547e-05-4.175e-05i,0.0006294-0.00058904i,0.00026583-0.0014108i,0.00049989-0.0011492i,0.00089946-6.8709e-05i,0.0006822+0.00069561i,0.00033064+0.0010777i,0.00065889+0.0014955i,0.00086357+0.00075182i
0.00036344-0.0011958i,-0.0014222-0.00084722i,-0.0016823+0.00069013i,-0.00030641+0.0011825i,0.00060628+0.00059269i,0.00093136+0.00021658i,0.0014497-0.00023533i,0.0010198-0.0001478i,0.00049725-0.00027922i,0.00043886-0.00048862i,-0.00022577+0.00015211i,0.00012961+0.00042062i,0.00078686+0.00059544i,0.00044239+0.00033509i,0.00010629-0.00052518i,0.00019319-0.00098682i,0.000405-0.00097717i,0.00080206-0.0012635i,0.00053587-0.00099082i,-3.0311e-05-0.00017i,-0.00033118+9.0911e-05i,-0.0005212+0.0002622i,-0.00069545+0.00050069i
-0.0018685+0.0016017i,-0.00040616+0.0022666i,0.00066178+0.0030175i,0.0014086+0.0022619i,0.0020905+6.9956e-05i,0.0023765-0.0012175i,0.0023274-0.00035796i,0.0018853+8.8352e-05i,0.00084624-0.00051191i,0.00039131-0.00063239i,1.924e-05-0.00047147i,-0.00071229-0.00052648i,-0.00029666-0.00012098i,0.00019158+0.00017473i,-0.00018808-0.00013507i,8.7588e-05-0.00012286i,0.00071883+0.00014688i,0.0008105-5.1904e-05i,0.00080663-0.00017263i,0.00055705-0.00046895i,0.00034059-0.0012196i,0.00030321-0.0015603i,0.00037109-0.0013869i
-0.0014026-0.0025464i,-0.00082351-0.0022223i,-0.00061295-0.0024289i,-0.00047509-0.0019575i,-2.5165e-05-0.0013657i,0.00079931-0.00047396i,0.0019898-0.00013724i,0.0015555-0.00090992i,-3.4123e-05-0.0010057i,0.00024623-0.00083297i,0.00077146-0.00065293i,-0.00028016-0.00065861i,-0.00091235-0.00065184i,-0.00047056-0.00034877i,0.00089653-0.0003509i,0.0013234-0.00037791i,7.0589e-05-0.0002225i,-0.0010261+0.00052298i,-0.00078087+0.00051635i,0.00037914-0.00024114i,0.00067259-0.00033904i,0.00078064-0.00051388i,0.00070321-0.0006769i
0.0012516-0.00044173i,0.0016884-0.0016482i,0.00035779-0.0014973i,-0.00065496-0.0010033i,8.7982e-05-0.0002602i,0.00086023+0.00025334i,0.00065274-0.00017531i,0.0002888-0.00077673i,7.8171e-05-0.00090317i,-0.00043403-0.00054265i,-0.00023385-0.00023202i,-0.00017349-0.0001732i,-0.00032406+1.4161e-05i,-0.00020404+8.9346e-05i,4.3347e-05-0.00047691i,0.00056562-0.00025564i,0.00042237+0.0003852i,-0.00019562+7.8927e-07i,-0.00037147-2.6282e-06i,-0.00057677+0.00019351i,-0.00038862-0.00036496i,0.00015271-0.00028602i,0.00076584-0.00018969i
-0.0020559-0.0018927i,-0.0019105-0.0015913i,-0.0021496-0.00048386i,-0.0026816-0.00087731i,-0.0015779-0.00020274i,0.00073033+0.00072608i,0.0016019-0.00010836i,0.0011988-0.000611i,0.00042728-0.00056469i,-6.7485e-05-0.00079983i,-0.00031959-0.0009469i,-0.000863-0.00054127i,-0.001058+0.00021824i,-0.00045158+0.00050029i,0.00020022+0.00029035i,0.00087145+0.00019527i,0.00057114+0.00021117i,0.00023499+0.00025467i,0.00084584-9.4803e-05i,0.0014151-0.00014286i,0.00089367+0.00027104i,0.0001363+0.00061991i,7.9975e-05+0.0005449i
0.00017057+0.00080307i,0.0011977+0.0014472i,0.0033645+0.0023936i,0.0039593+0.0019623i,0.0023528+3.5565e-05i,0.00099343-0.0010938i,0.0014141-0.0011008i,0.0020913-0.00096476i,0.0020043-0.00076697i,0.0016076-5.8263e-05i,0.00084909+8.1347e-05i,0.00043164-0.00098692i,0.00043868-0.0015547i,3.1251e-05-0.00099547i,-0.00033279-0.00012153i,0.00016501+4.2206e-05i,0.00023686+9.9362e-05i,-4.079e-05+0.00043928i,5.7664e-05+0.00085109i,0.00025171+0.00070759i,0.00056394+0.00012582i,0.0004224-0.00035848i,-0.00027149+0.00013557i
0.00036721-0.0014198i,-0.00039101-0.0023152i,-0.001664-0.0031303i,-0.0011633-0.0019553i,0.00051856-0.00074966i,0.0019511-0.00014339i,0.0016179+0.000859i,0.00041458+0.00045347i,3.2283e-05-0.00073986i,0.00010482-0.00093863i,0.00014614-0.00072317i,-2.1556e-05-0.00046215i,0.00045478-0.00035401i,0.00085576-0.00056567i,0.00048934-0.00096645i,-0.0001492-0.00073596i,-0.00014982-0.00022969i,0.00016261+0.00018599i,0.00022257+0.0005279i,-0.00010532+0.00029471i,-0.00043471-0.00018438i,-0.00081019-0.00034654i,-0.00063361+4.5481e-05i
-0.00083306-0.0016953i,-0.0013717-0.0014417i,-0.0031399-0.0020222i,-0.0031681-0.0029097i,-0.0015617-0.0018459i,-0.00048773-0.00022291i,0.00052196+0.00056059i,0.00088287+0.00012962i,-0.00024416-0.00021642i,-5.1795e-05-9.2839e-05i,0.00033179-0.00048427i,1.1406e-05-0.00082856i,0.00036193-0.00018354i,0.0004073+0.00031211i,0.00023771-0.00031376i,0.00016471-0.00093488i,7.8914e-05-0.00029838i,0.00071882+0.00047709i,0.00055173+0.00091663i,0.00023402+0.00052953i,0.00023423-2.3956e-05i,0.00023276-2.8605e-07i,-0.00035638+0.00044791i
-0.00076238+0.001051i,-0.0010034+0.0014817i,-0.001059+0.0017989i,-0.0012205+0.0015949i,-0.00067245+0.00022029i,5.2601e-05-0.0014113i,0.00086167-0.0014566i,0.0013001-0.00083502i,0.0019011-0.00031668i,0.002113+9.1411e-05i,0.00093079+0.00019749i,5.0068e-05+0.00021875i,0.0003538+0.00030547i,0.0011232+0.00013021i,0.00055685-1.8027e-05i,-0.00023068-0.00030035i,0.00045692+0.00030277i,0.00084659+0.00037599i,0.00085311-0.00023348i,0.00089058+8.5297e-05i,0.00044333+0.00022052i,-0.00042958-0.00045565i,-0.00092045-0.00044707i
-0.00036248-0.00017039i,0.00086769+0.00037602i,0.0010393+0.0011879i,0.0010971+0.00062755i,0.0012535-6.7204e-05i,0.0016217-0.00021861i,0.0016359-0.00038361i,0.0015917-0.00067753i,0.00051127-8.9519e-05i,-0.00027464+0.00010113i,0.00010729-0.00052667i,0.00025367-0.00063169i,0.00076526-0.00057809i,0.00086744-0.00093125i,0.00083797-0.00094907i,0.00056288-0.00025176i,-6.4915e-05+0.00030379i,0.00022385+0.00022119i,5.1404e-05-7.7786e-05i,-5.3883e-05-0.00037927i,0.00057998-0.00046628i,0.00054535+0.00019507i,7.1958e-05+0.0011672i
-0.002022+0.0025739i,-0.0025348+0.0046098i,-0.00098195+0.0060811i,0.0021939+0.0041547i,0.0031904+0.0010537i,0.0027148-0.0019401i,0.0021885-0.0026061i,0.0012997-0.0011043i,0.00039464-1.1909e-05i,0.00019595+0.00011877i,0.00050811-0.00042982i,4.9051e-05-0.00089549i,-0.00017193-0.001374i,-0.0002023-0.00070297i,-0.00026146-0.00037096i,-0.00030374-0.00086339i,-1.9259e-05-0.00034417i,0.0012255-0.00045901i,0.001021-0.0012472i,-3.4919e-05-0.00054356i,-5.4731e-05+0.00060533i,-0.00035586+0.00061613i,-0.00067046+0.00026923i
0.012223-0.0094336i,0.013737-0.012808i,0.0076241-0.020672i,-0.002285-0.018475i,-0.0082-0.010153i,-0.0065589-0.0010387i,-0.00096086+0.0017376i,0.00090145-0.00030169i,-9.1406e-05-0.0013611i,-0.00135-0.0016563i,-0.0028832-0.0011125i,-0.0028412-0.0003305i,-0.0014997+0.00089929i,-0.00073371+0.0028558i,-9.4949e-05+0.0033969i,0.00011443+0.00036854i,-0.00077569-0.0026787i,-0.00083852-0.0019112i,0.00016284-0.00086192i,1.7926e-05-0.0007018i,-0.00039005-0.00017226i,-5.1473e-05+0.00015817i,-1.7228e-05-0.0002966i
0.001739-0.0017828i,0.0017259-0.001487i,0.00059988-0.0017903i,-0.0010539-0.0020076i,-0.0016611-0.0016196i,-0.0011556-2.7564e-05i,0.00074726+0.001117i,0.0013011+0.0010558i,0.00065783+0.00019814i,3.2263e-05-0.00064998i,-1.5847e-05-0.00074261i,0.00069627-0.00023665i,0.0013091+0.00016354i,0.0013492+0.00034471i,0.00064958+0.001202i,0.00024749+0.0010268i,-5.1651e-05-0.00032541i,-0.00054421-0.00038914i,-0.00043739-0.00061172i,-8.5412e-05-0.0010715i,-0.00075197-0.00069213i,-0.00021679+0.00060713i,0.00022105+0.00089493i
0.0014722-0.00041973i,0.0003636+0.00053276i,-0.00077132+0.00044918i,-0.0016197-0.0005483i,-0.001627-0.0012974i,-0.00063623-0.00043316i,0.00035212-0.00056628i,0.00057617-0.0014407i,-1.6972e-05-0.0013708i,-0.00020883-0.00055699i,0.00028221-0.00030736i,7.8452e-05+0.00022458i,-0.00038366+0.00079262i,-0.00086629+0.00089278i,-0.0011406+0.0004921i,-0.0005596-0.0004715i,-0.00022118-0.00060173i,0.00028611-0.00052078i,0.00028873-0.00078588i,9.3014e-05-0.00053984i,-0.00015529+3.3175e-05i,-0.00054745+0.00055575i,-0.00012909+0.00068026i
0.00097737+0.0014255i,0.0019133-0.00018865i,0.0029194-0.0004968i,0.0025108-0.0006964i,0.0012897-0.0015388i,0.00092081-0.0027098i,0.00026272-0.0020533i,-0.00059365-0.00095899i,-0.00020775-0.00073493i,0.0002131-0.00035579i,-0.00038715-0.00016645i,-0.00016925-0.00050274i,0.00083855-0.00062056i,0.00042088-0.0010222i,0.00065462-0.0012551i,0.00038638-0.00048104i,-0.0002423-0.00019533i,-0.00011252-0.00060696i,-0.00022697+6.5332e-05i,-0.00024788+0.00092437i,6.2253e-05+0.00035126i,0.00044795-0.00050871i,0.00068959-0.00031153i
-0.00040555-0.0002294i,-0.0013039-0.00014548i,-0.0023785-0.0013624i,-0.0017593-0.002037i,-0.00010516-0.0017548i,0.00051321-0.00044608i,0.00022385+0.00095464i,0.00016489+0.00027619i,0.00025706-0.00034921i,0.00025767-0.0003752i,0.0004958-0.00050895i,0.00010121-0.00045322i,-0.00010349-0.0007895i,0.0003601-0.00061906i,-7.5828e-06-8.4495e-06i,-0.00082407-0.00041565i,-0.00072665-0.0012729i,-0.00055855-0.00081452i,-0.00016908+8.0587e-05i,-0.00020484+0.00028635i,-0.00069422+0.00026409i,-0.00048711-3.4162e-05i,-0.0001768-0.00023364i
-0.00045241-0.00038088i,-0.00021054+0.0011145i,-0.00017397+0.0017575i,0.0008503+0.0019635i,0.0014605+0.0013791i,0.0014844+0.0011811i,0.0020039+0.00097223i,0.0012761+7.8858e-05i,0.00019872-0.00025472i,0.00029841-9.3158e-05i,0.00093861-0.0010555i,0.0014226-0.0011784i,0.00090348-0.00069893i,0.00060907-0.0007851i,0.00029584-0.00084311i,-0.00021705-0.00087828i,-4.1624e-05-0.00036726i,-0.00037074-0.00015719i,-0.00039756-0.00012725i,-0.00028848+0.00045319i,-0.00067275+0.00049215i,-0.00062516+0.00046917i,-0.0004411+0.00056587i
-0.0015272+0.00072789i,-0.0011441+0.0010983i,-0.00010849+0.00034333i,-0.00010889-1.3516e-05i,0.00029392+0.00022973i,0.00091931+0.00060491i,0.00063811+0.000264i,0.00048402-0.00078341i,-2.7821e-05-0.00025643i,-0.00028504+0.00076349i,0.00050378+0.001064i,0.00081849+0.00075099i,0.00028442+1.5786e-05i,-5.5012e-05-0.00053334i,0.0001069-0.000874i,0.00047976-0.0007842i,1.8038e-05-9.3985e-05i,-0.00025033-0.00036828i,0.00032645-0.00051531i,-7.3259e-05+0.00036986i,-0.00083773+0.00097668i,-0.00016226+0.00033607i,0.00054151-0.00037879i
0.00084423+0.0010905i,0.0008178+0.00064293i,0.0008086+0.00036541i,0.00036716-0.00045292i,0.00035756-0.00095372i,0.00060786-0.00051562i,0.00053875+3.9522e-06i,-9.6977e-05-0.00014126i,-0.0002118-7.3691e-05i,0.00037563+0.00079206i,0.00071253+0.00078608i,0.00012102-0.00030661i,-0.00019836-0.00062205i,2.8471e-05-0.00030271i,0.00055873-0.00056241i,0.0010798-0.00071006i,0.00089723+8.8454e-05i,0.0003626+7.8066e-05i,0.00065594-0.00012181i,0.0013628+0.00030793i,0.0014367+0.00048975i,0.0011571+0.00022168i,0.00073231+0.00034495i
-0.0016686-0.0019662i,0.00019432-0.00077777i,-7.491e-05+0.00075995i,-0.00050576+0.0014086i,0.00010461+0.00096667i,0.0011004+0.00065285i,0.001674+5.0026e-05i,0.0011196-0.00060451i,-6.4846e-05-3.2034e-05i,-0.00028412-2.2336e-05i,0.00023092-0.0011003i,-0.00071341-0.001131i,-0.00081485-0.00069673i,0.00037631-0.00051962i,0.00088976-0.00010881i,0.00076094+0.00027377i,0.00031379+0.00023532i,0.00019592+0.00042818i,0.00057616+0.00024546i,0.00025897-4.6729e-05i,0.00038921+0.00040584i,0.00038075+6.126e-05i,6.3875e-05-0.00082905i
-0.00077179-0.00066356i,-0.00035124-0.0011262i,9.5358e-05-0.0016575i,0.00048302-0.0016583i,0.0006227-0.0016835i,0.00086283-0.0014445i,0.00026055-0.00088319i,-0.00037798-0.00022104i,0.0001336+0.00052318i,0.0003793+0.00080423i,-0.00011168+0.00018013i,0.00017935-4.6376e-05i,0.00044064-4.8838e-05i,0.00027041-0.00037443i,0.00061105+8.6101e-05i,0.0003584+0.00064424i,-0.00017619+0.00018679i,-7.02e-05+0.00024856i,9.0809e-05+0.0011865i,0.00042092+0.00098335i,0.00044761-0.00052501i,0.00015501-0.00071129i,-0.0003503-1.3757e-06i
-0.0015945-0.0027439i,-0.0020729-0.0024185i,-0.0026797-0.0023886i,-0.0024101-0.00087291i,-0.0014538+0.0010117i,-9.4462e-06+0.0011434i,0.00092153+0.00069544i,0.0011598+6.4243e-05i,0.00060834-0.00035103i,0.00019397+0.00059314i,0.00044131+0.00084433i,0.00073768+0.0002362i,0.00030554-0.00016774i,-0.00032634-7.0298e-05i,-0.00021048+0.00026398i,-6.3895e-05-8.2345e-05i,-0.00014898-0.00022153i,-0.00014094-0.00022271i,-0.00045722-0.00053846i,0.00027616-0.00048663i,0.00051133-0.00046535i,-6.7281e-05-0.00091498i,-2.9074e-05-0.00030237i
-0.0016174-0.00046654i,-0.0018138+0.00040061i,-0.0024073+0.0015212i,-0.0014287+0.0020372i,-4.3397e-05+0.0014065i,0.0010758+0.00017367i,0.0016154-0.0013104i,0.0017068-0.0015066i,0.00060383-0.0013095i,-0.00029017-0.00018574i,-0.00016687+0.0008702i,-0.00032982+0.00071259i,-0.00090172-0.00035239i,0.00019546-0.0012032i,0.0011302-0.0002405i,0.00056461+0.00068785i,0.00043277+0.0009769i,0.00051875+0.0013916i,-7.7678e-05+0.00073816i,-0.00018714+0.00022876i,0.00044315+0.00018378i,0.00092865-0.0001354i,0.00074665+8.9561e-06i
-0.0025266+0.00050282i,-0.0015686+0.0010101i,-0.00073295+0.0022831i,0.00032685+0.0022154i,0.0012896+0.000559i,0.0014829-0.00031882i,0.0014363-0.00034009i,0.0011763+0.00029968i,0.00054032+0.0012903i,0.00010611+0.0013816i,0.0007005+0.00066813i,0.00077738+0.0002235i,0.00017992+0.0001204i,1.7386e-05-0.00053469i,-0.00015634-0.00053731i,-0.00075998-9.7712e-05i,-0.00081744-0.00024038i,-0.00017961-0.00034153i,0.00059895-0.00014902i,0.00059825-0.00017778i,-0.00019716+7.0056e-05i,-0.00034793+0.00045781i,-0.00023649+0.00035735i
0.00073552-0.00070594i,0.00049827-0.00022942i,-0.00040647-0.00036695i,-0.00065663-0.0011263i,-0.00038563-0.00077269i,0.00026152+0.00024285i,0.0010726+0.00014829i,0.0007279-0.00061456i,-0.00012458-0.00055759i,2.7223e-05-0.00051734i,0.00027366-3.911e-05i,-0.0001358+0.00012899i,-0.00071681+0.00017665i,-0.00066741-9.5456e-05i,-2.0167e-05-0.00043089i,-5.3794e-05-0.00025938i,-0.0011631-2.645e-05i,-0.00084348+0.00043904i,1.9025e-05-2.2868e-05i,-1.8202e-05-0.00058502i,0.00030471-0.00022532i,0.0003238+0.00028002i,0.00054238+0.00085839i
-0.0013329-0.00080251i,-0.0013418-0.00010965i,-0.00084567+0.00013914i,-5.6816e-05-0.00029175i,0.0007312-3.4593e-05i,0.0010805+0.0014318i,0.0015787+0.0011369i,0.00098492-9.3764e-06i,9.4937e-05+0.00025362i,0.00019585+0.00073638i,0.00034271-0.00054519i,0.0004895-0.0013643i,0.00069943-0.00089342i,0.0011386-0.00092904i,0.0011485-0.00075198i,0.00056188-0.00080775i,0.00048787-0.00081449i,0.00068789-0.00040103i,0.00063715+0.00010884i,0.00060406+0.00029569i,0.00010275-0.00010376i,-0.00042618-8.1842e-05i,-0.00020212-0.00019309i
-0.0031089+0.0017904i,-0.001093+0.0019445i,0.00031784+0.0027083i,0.00077171+0.0013493i,0.0015913+0.00037169i,0.0024979+0.00029758i,0.0023345-7.958e-05i,0.0014114-3.7916e-05i,0.00078768+0.00026017i,0.00063532+2.4582e-05i,0.00038153-0.00069043i,0.00048107-0.00036555i,0.00022489+2.4582e-05i,-0.00048668-6.927e-05i,-0.00035018-0.00026324i,-0.00036231-0.0004893i,0.00037687+0.0002571i,0.0013604-5.434e-05i,0.0014177-0.00065952i,0.0011088-6.3162e-06i,0.00049691-0.00010683i,0.0005889-0.0001824i,0.00074202+0.00046395i
-0.00011931+0.00011489i,5.3643e-05-0.0013097i,-0.00045575-0.001152i,-0.00023225-0.00018934i,0.00040656+0.00010431i,0.00072821+0.00057669i,0.0010587+0.00080072i,0.00047599+9.898e-05i,-0.00017759-0.0002569i,0.000279-0.00056679i,0.00085792-0.00070755i,0.0001519-0.00074771i,-0.00011688-0.0011712i,-0.00013669-0.00067984i,-0.00011712+0.00037337i,-0.00062723+0.0001625i,-0.00055271-0.00032566i,0.00033168-7.091e-05i,0.00026779+0.00059743i,-0.00029315+0.00033259i,-0.00032501-4.3038e-05i,-0.00051661-0.00013873i,-0.0010654+0.00027332i
-0.0012884+0.0010185i,-0.00034257+0.0021287i,0.0012322+0.0010198i,0.0019185-0.0019034i,0.0009688-0.0026443i,0.00014959-0.0015254i,0.00061101-0.0009568i,0.00057978-0.001141i,7.3157e-05-0.00062284i,0.00044758+0.00027407i,0.0006481-1.0409e-05i,-0.00036262-0.00057623i,-0.00059483-0.00025853i,-0.00016598+5.8848e-05i,-0.00017807+0.0004743i,-0.00016066+0.00099282i,0.00025782+0.00057869i,0.00025283+6.3006e-05i,-1.3971e-05+0.00015878i,6.5254e-05+0.00019464i,0.0001512-0.00012933i,0.00023314-0.0004129i,0.00016596-0.00049235i
0.0018932-0.00028453i,0.0024915-0.00018292i,0.0020218-0.00094151i,0.00031634-0.0016864i,-0.00043214-0.00093528i,1.508e-05-7.1494e-05i,0.00021387+0.00011128i,0.00051159+2.8777e-05i,4.9135e-05+2.857e-06i,-3.9549e-06+0.00065255i,-0.00045845+0.00044255i,-0.00042257-0.00048271i,0.00019061-0.00038752i,0.0004095+0.00036406i,0.00068408+0.00071461i,0.00073162+2.1134e-05i,0.00059895-0.0013417i,0.0002616-0.0011206i,0.00019674-0.00029243i,0.00049091+0.00054224i,0.00063295+0.0012067i,0.00021818+0.001095i,1.2345e-05+0.00094097i
-0.00086625-0.0020533i,-0.00098573-0.0013181i,-0.0012877-0.00034574i,-0.00074821-3.1353e-05i,-0.00028161-0.00041387i,0.00027978-0.00031091i,0.00086068-0.0005931i,0.00090503-0.0012041i,0.00035717-0.0010626i,1.3862e-05-0.00096403i,-0.00021981-0.00091874i,-0.00027671-0.00047921i,8.0178e-05-0.00015878i,0.00021303-0.00020099i,-0.00016861+9.9914e-05i,-0.00079927+0.00024124i,-0.00058974-0.00047049i,-0.00018513-0.0004235i,-7.2812e-05-0.00048189i,0.00037003-0.00073455i,0.00043428-0.00068375i,0.00025109-7.6103e-05i,-0.00025156+0.00018922i
0.0013903-0.00177i,0.0017779-0.0021058i,0.0017965-0.0019224i,0.00042974-0.0014418i,-0.0005104-0.00059211i,0.00013665+0.00058056i,0.00045745+0.00073061i,9.2818e-05+4.5918e-05i,-0.0003298-0.00082756i,-0.00028603-0.0016571i,0.0002782-0.0012762i,0.0011321-0.00028712i,0.0016153+0.0003437i,0.0015719-5.3954e-07i,0.0010606-0.00046468i,5.876e-05+0.00016134i,-0.00080084+0.00085392i,-0.00083476+0.00062686i,4.8942e-05+4.0933e-06i,0.00037701-0.00021547i,-0.00032282-6.9133e-05i,9.8219e-05+0.0003452i,0.00093486+5.1007e-05i
-0.00038476-0.0019068i,-0.00031345-0.0016654i,-0.00042632-0.00030826i,0.00025688-0.00085826i,0.0018715-0.0015794i,0.0026439-0.0013388i,0.0013845-0.00072806i,-0.00031126-0.00067272i,-0.00037548-0.00038525i,6.2228e-06+0.00076533i,7.1391e-05+0.0011387i,6.8416e-05+0.00035843i,0.0001471-0.00081419i,0.00091349-0.00065476i,0.00059303-0.00034511i,-0.00054536-0.001186i,-0.0008914-0.0012297i,-0.0003898-0.00061763i,0.00020322+7.7692e-05i,0.00048202+7.8476e-05i,0.00052534+0.00028914i,0.00033908+0.00025456i,2.4387e-05-0.00019779i
0.0015323-0.0014851i,0.00010488-0.0019303i,-0.0022927-0.0019543i,-0.003171-0.0018601i,-0.0027921-0.0010291i,-0.00090253+0.00031281i,0.001264+0.00019444i,0.0012289-0.00071131i,8.1373e-05-0.00075651i,-0.00018773+0.00022811i,-7.0227e-05+0.00049172i,-0.00043887+4.1169e-06i,-0.0004955-6.1812e-05i,0.00030911+1.7374e-05i,-1.4223e-05-0.00021472i,-0.00025767-0.00062566i,5.6427e-05-0.00076498i,0.00033819-0.00058106i,0.00066044-0.00053365i,0.0006935-0.00095576i,0.00038591-0.00020627i,-0.00015183+0.0012123i,-0.00025207+0.00093291i
0.0012972-0.002499i,0.0024304-0.0030698i,0.0022613-0.002694i,0.00051843-0.0017773i,-0.00071297-0.0012379i,0.0005524-0.00078274i,0.001708-0.00034541i,0.00097049+0.00013124i,-0.00010167-0.00024313i,-0.00040101-0.00082095i,0.00012771-0.00049545i,0.00010276-0.00017033i,-0.0003963-0.00082332i,-8.2874e-05-0.001357i,-9.0309e-05-0.00093372i,-0.00020781-0.00070131i,-0.00034232-0.00015943i,-0.00061049-4.4362e-05i,-0.00030885+0.00021949i,-0.00019494+0.0009207i,-0.00031635+0.0010338i,4.7035e-05-6.4064e-05i,-0.00014192-0.00034733i
