0.064287+0.10585i,0.033741+0.093174i,0.0051897+0.073445i,0.0032537+0.052997i,0.009228+0.030896i,0.0091542+0.01426i,0.0050321+0.0051021i,-0.00078546+0.00089473i,-0.0029223-0.0011802i,-0.0010411-0.002696i,0.0011717-0.0025299i,0.0032469-0.0014601i,0.0029512+0.00051343i,0.0022383+0.0023439i,0.0029008+0.002419i,0.0019135+0.00038409i,2.0855e-05-0.0013354i,-0.00061988-0.0004895i,0.00010707+0.0012733i,0.00079615+0.0015617i,0.00060143+0.0010818i,0.00063219-9.9962e-05i,0.00091279-0.0015164i
0.12422-0.018604i,0.10106+0.00089493i,0.07122+0.019739i,0.050592+0.014879i,0.030421+0.00097006i,0.013651-0.0042398i,0.003813-0.0031321i,-0.0013421-0.00022061i,-0.0029672+0.00089781i,-0.0045197-0.00077217i,-0.004811-0.0025346i,-0.0028378-0.0038963i,-0.00094051-0.0030269i,0.00063622-0.0013241i,0.00070451-0.0013746i,-0.00054465-0.0018718i,-0.0012208-0.0016336i,-0.0011153-0.0011843i,-0.00010724-0.00052729i,0.00030115+0.00033808i,-0.00065179+0.00013808i,-0.0014637-7.5131e-05i,-0.002493+0.0001651i
0.032537-0.12459i,0.039902-0.095819i,0.041853-0.058738i,0.028723-0.039697i,0.010906-0.027351i,-0.00045857-0.015333i,-0.003741-0.0053109i,-0.0016191+0.0012469i,-0.0012759+0.0032689i,-0.0032355+0.0033929i,-0.0042436+0.003607i,-0.0041638+0.0023538i,-0.0019491-0.00084211i,0.00056531-0.0032837i,0.0010732-0.003278i,-0.00014285-0.0017131i,-0.00082117-0.00039554i,-0.0001173-0.0011965i,0.00070589-0.0024863i,0.00071141-0.0020142i,0.00097645-0.00077548i,0.00078516+0.00018074i,0.0005116+0.00080613i
-0.10631-0.081121i,-0.080065-0.074302i,-0.045552-0.058904i,-0.030438-0.039439i,-0.023965-0.019633i,-0.017298-0.0052722i,-0.0084336+0.0022994i,0.00047602+0.0036711i,0.0029941+0.0027853i,0.0021871+0.0038391i,0.0015419+0.0055616i,4.9635e-05+0.0054859i,-0.00065198+0.0035468i,-0.00078994+0.00017638i,-0.0013725-0.0021131i,-0.00063847-0.0010018i,0.00098987+0.00071936i,0.0018329+0.00053929i,0.00099895-0.00052886i,0.00057092-0.00089204i,0.0010033-0.00085297i,0.0012896-0.0010943i,0.0017082-0.00044269i
-0.11602+0.060459i,-0.10069+0.04219i,-0.071319+0.017047i,-0.048519+0.0095416i,-0.03069+0.011069i,-0.015882+0.012238i,-0.0042665+0.0084697i,0.0020444+0.00075227i,0.0034158-0.0022614i,0.004386-0.00048404i,0.0051871+0.0006844i,0.0047515+0.0028491i,0.001984+0.0044276i,-0.0017434+0.0035794i,-0.0041264+0.0024458i,-0.0027189+0.0016597i,-0.00024426+0.00054878i,-0.00022994+0.00025548i,-0.00032453+0.00060777i,-0.00016892+0.00051284i,-0.00026469-1.7401e-05i,-9.383e-05-0.0010386i,0.00051793-0.0017706i
0.01322+0.13753i,0.0072688+0.11701i,-0.0026138+0.078161i,-0.0010649+0.049545i,0.0033224+0.030147i,0.0054849+0.017724i,0.0057302+0.0076731i,0.0027527-0.00099055i,0.00085558-0.003456i,0.0016108-0.0039133i,0.0024252-0.0047739i,0.0034673-0.0038972i,0.0027658-0.0015686i,0.00080214+0.00092722i,-0.00044414+0.002567i,-0.00070519+0.0022819i,-0.00096331+0.00051747i,-0.0015911-0.00071588i,-0.0013225-0.00034448i,-0.00055978-0.00051241i,-0.0010142-0.00053554i,-0.002064-0.00029512i,-0.0022696-0.0003982i
0.13104+0.042755i,0.11046+0.038022i,0.069761+0.02994i,0.043635+0.017008i,0.027225+0.0062008i,0.015674+0.00042352i,0.0059917-0.0022985i,-0.0013819-0.0018021i,-0.0031815-0.0013037i,-0.0033979-0.0033862i,-0.0044648-0.0057648i,-0.0031097-0.0069343i,-4.3564e-05-0.0049407i,0.0026698-0.0009612i,0.0039416-0.00011621i,0.0030586-0.0011907i,0.00054778-0.001682i,-0.0012343-0.0017303i,-0.00063305-0.0012876i,0.0005502-0.00088445i,0.00051621+3.6461e-05i,-0.00054574+0.0009892i,-0.001591+0.0010944i
0.090291-0.10428i,0.077891-0.090785i,0.05249-0.056708i,0.029036-0.03562i,0.012632-0.025182i,0.0032207-0.016939i,-0.0020291-0.0078027i,-0.0038268+0.00078284i,-0.0040774+0.0029602i,-0.0050519+0.0023721i,-0.0055365+0.002582i,-0.0054366+0.001382i,-0.0031521+0.00066756i,0.0018571+0.00018518i,0.0049891-0.00086328i,0.0044888-0.0014526i,0.0022297-0.00092255i,0.00035546-0.00016695i,8.3134e-06+0.00013936i,3.3746e-05+0.00040398i,0.00063443+0.0010259i,0.00095003+0.0015528i,0.00099231+0.0019861i
-0.063462-0.12562i,-0.057984-0.10948i,-0.036182-0.069522i,-0.024581-0.038166i,-0.020756-0.020974i,-0.01838-0.0094889i,-0.012578-0.00015208i,-0.0039258+0.0037294i,-8.8736e-05+0.0040234i,-0.00026858+0.0054303i,-0.00048305+0.0077579i,-0.0016205+0.0088523i,-0.0019184+0.0060815i,-0.0014964+0.00036691i,-0.0019558-0.0023951i,-0.0020615-0.0012471i,-0.0012112+0.00017207i,-0.000281+0.0010487i,0.00023098+0.00099865i,0.0015129+0.00017594i,0.0030031-0.00017226i,0.0028422-0.00038601i,0.0019977-0.00025681i
-0.14064+0.012832i,-0.12443+0.016889i,-0.078369+0.012875i,-0.04588+0.013229i,-0.029235+0.013823i,-0.017896+0.013607i,-0.006805+0.011688i,0.0011687+0.0044037i,0.0027503-0.00049538i,0.0034614+0.00104i,0.0054806+0.0031238i,0.0059189+0.0037891i,0.0032028+0.0021046i,-0.0012464-0.00054947i,-0.0047965-0.0010193i,-0.0051852-0.00013664i,-0.0031486+0.00020993i,-0.0013428-9.2893e-05i,-0.00072146-0.00073759i,-0.00028732-0.0016598i,0.00019893-0.002513i,0.00087933-0.0032244i,0.0011456-0.0025562i
