-0.0022583+0.00041115i,-0.0023767-0.00061959i,-0.0034377-0.00035255i,-0.0035523+0.00052432i,-0.0018879+0.0022384i,-0.00069413+0.0032375i,-0.00023367+0.002616i,0.00034565+0.0019349i,0.00022049+0.001558i,0.00019396+0.0014545i,0.00025567+0.00080282i,0.00028148+0.00030546i,7.2804e-05+0.0005722i,-0.00015038+5.88e-05i,0.00038182-0.00030734i,0.00048222-0.00076207i,0.00019926-0.0013755i,0.00028765-0.00086034i,0.0011096+3.4866e-05i,0.0013355+4.3828e-05i,0.00072064-0.00036533i,0.00057124-0.00050042i,0.0002338+0.00016666i
-0.0011707-0.0030381i,-0.001176-0.0020158i,-0.0019774-0.0017487i,-0.0024407-0.0010527i,-0.0030585-0.00016961i,-0.002449+0.00026142i,-0.00057043+0.00052154i,0.00012308+0.00076087i,-0.00023727+0.00042383i,-0.00094661-0.00018088i,-0.0015115-0.00038828i,-0.0018097-0.00016998i,-0.0018855+0.00043662i,-0.00089775+0.001143i,-0.00042521+0.00089741i,0.00029412+0.00075371i,0.00090607+0.0010807i,0.0015446+0.00069754i,0.0020804-0.00011585i,0.000666-0.00014985i,-0.00017932+0.000565i,-0.00037599+0.00081275i,-0.0011045+0.00047449i
-0.00081326-0.0010053i,-0.00061336-0.00067002i,-0.00062348-0.00070062i,-0.0002112-0.00042911i,-0.00032905+0.00012597i,-0.00073649+0.0013351i,-0.00088062+0.0017133i,-0.00023688+0.0011117i,-0.00039892+0.00084194i,-0.00086106+0.00080546i,-0.00054646+0.00040402i,-0.00031148+0.00020492i,-0.001242+0.0015715i,-0.001892+0.0018684i,-0.0011191+0.00050437i,-8.251e-05-4.7173e-05i,0.00045883-0.00037561i,0.00081342-0.00023145i,0.0007979+0.00030544i,0.00073141+2.8212e-06i,0.00015998-0.00010507i,-0.00039986+1.8448e-05i,-6.2944e-05-0.00083973i
0.00072766-0.0018264i,0.00074031-0.0018334i,-0.00054963-0.0013677i,-0.0017508-0.00043405i,-0.0020394-0.00023932i,-0.0012381+0.00059248i,-0.00018883+0.00078083i,0.00019118+0.00047176i,-0.00073317+0.0002063i,-0.0017675-0.00082968i,-0.00086081-0.0013717i,-0.00016266+0.00024535i,0.00016493+0.0014528i,0.00017778+0.0015182i,-5.8533e-05+0.0013854i,0.00035811+0.00051301i,0.00073603+0.00037545i,0.00084867+0.00092701i,0.00061647+0.00097302i,0.00020843+0.00013059i,-2.27e-06-3.3447e-05i,-0.00024718+0.00019488i,-0.00036461+0.00042334i
-0.00063336+8.0466e-05i,-0.00059746-0.00050195i,0.00054987-0.00071007i,0.00053253+7.6171e-06i,-0.00028472+0.00080986i,-4.6564e-05+0.0015493i,0.00027088+0.0012503i,0.00019104+0.00081144i,6.8222e-05+0.00077301i,-0.00021742+0.00056205i,-0.00074193+0.00054861i,-0.00074825+0.00023095i,-0.00072874-0.00018607i,0.00010709-0.00020251i,0.00076066-1.7622e-05i,0.00042664+0.00044295i,0.00049938+0.00070181i,0.00088428+0.00020298i,0.0010238+4.1574e-05i,0.00045952+0.00023521i,0.00050823+0.00033687i,0.00054965+0.00057333i,-3.8305e-05+0.0006557i
0.001338+0.00023503i,0.00012901+0.00011149i,-0.0001144-0.00092962i,-0.00031584-0.0012577i,-0.0012229-0.00094576i,-0.001182-0.00032786i,-0.00054786+0.00035499i,-0.00049037+0.00051843i,-0.00062037+6.8473e-05i,-0.00062333-0.00039583i,-0.0013526-0.00042572i,-0.0025727-0.00026577i,-0.002609+0.00015503i,-0.0013761+0.00044773i,-0.00079609+0.00081464i,-0.00026748+0.0011093i,-9.9226e-05+0.00093578i,3.3471e-05+0.00061109i,0.00013282-0.00052872i,-0.00016142-0.0010139i,-0.0004716-0.00070073i,-0.00021873-0.00057483i,-0.00015124+0.00027454i
-0.00050433+0.00035169i,-0.0012551-0.00055926i,-0.0003714-0.00015521i,-0.00049939-0.00022125i,-0.0007906-0.00053445i,-0.00068289+3.9492e-05i,-0.00089545+0.0011271i,-0.00077868+0.0011117i,-0.00069138+0.0008836i,-0.00069096+0.0007419i,4.4685e-05+0.00029271i,-1.1593e-05+0.00056155i,-0.00086373+0.00082417i,-0.00055789+0.00073143i,2.1438e-05+0.00073741i,0.00029235+0.00079684i,5.2309e-05+0.00058746i,0.00037764+0.00026829i,0.00090628-0.0001927i,0.00096905-0.00092727i,0.0004479-0.00088705i,-0.00028802-0.0009646i,-0.00059488-0.001039i
-0.0011601+0.001306i,0.0004475+0.0018677i,0.0007341+0.0018377i,0.00053229+0.00049016i,0.00060156-0.00024567i,0.00090604+0.00012122i,0.00095836+0.00068177i,0.0012892+0.00015772i,0.00085484-0.00016332i,-2.528e-05-0.00037598i,-0.0003779-0.00085158i,-0.00031091-0.0010311i,-0.00033681-0.0011609i,-0.00018898-0.00025028i,9.0902e-05+0.00057833i,-0.00036043+0.0005548i,-0.00049352+0.0002162i,0.00026035-0.00033719i,0.00031372-3.1552e-05i,-0.00027046+0.00083931i,-0.0001447+0.00064748i,-5.1914e-05-0.00025511i,-0.00024437-0.0004811i
-0.0015145-0.0016794i,-0.0014582-0.0011334i,-0.0025656-0.00066829i,-0.002448-0.00027252i,-0.0013734+0.00064436i,-0.00054806+0.0013186i,-1.1407e-05+0.00067154i,-1.3507e-05+0.00014084i,-0.0004229+0.0007564i,-0.00062044+0.001055i,-0.00038897+0.0011136i,-0.00014486+0.00091444i,-4.6585e-05+0.00072783i,-4.0909e-06+0.0010177i,0.00021033+0.00076182i,0.0005793+0.00051588i,0.00079168+0.00024854i,0.0008159+4.8125e-05i,0.00075594-0.00017421i,0.00038421-0.00092893i,-6.5942e-05+8.8779e-05i,0.00079231+0.0017457i,0.00094499+0.0011097i
-0.00077426-0.0022594i,-0.000416-0.0025053i,-0.00028179-0.00181i,-0.0011216-0.00091215i,-0.0013832+0.0002316i,0.00042128+0.001151i,0.0013298+0.0019254i,0.00039661+0.0017852i,-0.001158+0.00065223i,-0.00082991+0.00022795i,-1.5609e-05+0.00028395i,-0.00053499+0.0007893i,-0.00064412+0.0013931i,0.00015725+0.0019346i,0.00099491+0.0015682i,0.0010997+0.00034036i,0.0016208-0.00040764i,0.002302-6.2659e-05i,0.0019381+7.0093e-05i,0.0011848+1.7872e-05i,0.00020278+0.00010433i,-0.00011908+0.00027404i,-0.00016837+0.00071627i
-0.0020457+3.6003e-05i,-0.0017399+0.00097428i,-0.0022684+0.002053i,-0.0020139+0.001697i,-0.00081573+0.0002729i,-3.0947e-05-0.00064377i,0.00040878-0.00024122i,-0.00026769+0.00081528i,-0.0014453+0.0010578i,-0.0015168+0.00071889i,-0.00058561+0.0010018i,-0.00012766+0.00096314i,-0.00057576+0.00040437i,-0.00088083+0.00056293i,-0.00049434+0.00073121i,-0.00014033+0.0003796i,-0.00027441+0.00018361i,-0.00085561+0.00017817i,-0.00079036+0.00060591i,0.00015905+0.00024417i,0.00062689-0.00035342i,0.00042918-6.1119e-05i,0.00029983-0.00016561i
0.001744+0.0025041i,0.0020377+0.0022274i,0.0026862-5.3257e-05i,0.003283-0.0013645i,0.0015737-0.0014567i,-0.00068469-0.00062867i,-0.00096944+0.00034939i,-0.00020967+0.00055872i,0.0004475+0.00056955i,0.00016251+0.00026619i,-0.00025555-0.00056708i,-0.00040054-0.00049433i,-0.00068054+4.1207e-05i,-0.00052255+0.00016452i,-0.00034522+0.00027434i,0.00013246+8.164e-05i,0.000427-4.3632e-05i,0.00081787+0.00014703i,0.00084289+0.00051966i,0.00073899+0.00041668i,0.00071486-0.00016307i,0.00045031-0.00079307i,0.000157-0.00098051i
-0.0023871-0.0005766i,-0.0013647+0.00032982i,-0.0020494+0.00074835i,-0.002359+0.0013231i,-0.0019669+0.0016448i,-0.0010439+0.00066353i,-0.00019447-0.00013981i,-0.00056253-1.5111e-05i,-0.00060337+0.00049325i,-0.00027854+0.0010232i,-0.00033985+0.00072924i,-0.00047814+0.00080446i,-0.00032897+0.001074i,0.00037567-7.0636e-06i,0.0005688-0.00032315i,0.00027671+0.00060263i,-9.622e-05+0.00050522i,-6.916e-05-0.0001601i,0.00032479-7.5618e-05i,0.00082456+0.00075023i,0.00067762+0.0019205i,5.6167e-05+0.0012127i,2.1268e-05+0.0003211i
0.00017151+0.00053646i,0.00052808+0.00024792i,0.00011848+0.00050193i,-0.00028139+0.00012706i,-0.00034129-2.2654e-05i,-0.00048744+0.00064349i,0.00048007+0.0013086i,0.00082208+0.0009754i,0.00031098+0.00072925i,-9.3637e-05-0.00012136i,-0.00062356-0.0012992i,-0.0010749-0.0011406i,-0.0013062-0.00010226i,-0.0013509+0.0011737i,-0.00050272+0.0022254i,0.00049523+0.0021824i,0.00038225+0.0016973i,0.00014271+0.0013324i,0.00025463+0.00093581i,0.00064736+0.00054526i,0.00033864-0.00013812i,-0.00013121+0.00031648i,-0.00033055+0.00080213i
0.0029122+0.00029683i,0.0027566-0.00064913i,0.0018378-0.0018147i,0.00037978-0.0031031i,-0.00082694-0.0018787i,-0.00061965+0.00075865i,-0.00058781+0.0016861i,-0.0010399+0.00048329i,-0.00075686-0.00028309i,-0.00044523-0.00027766i,-0.00033479-0.00034476i,-0.00088919-0.00052041i,-0.0014777-0.00013853i,-0.00099768+0.00015771i,-0.00036338+0.00074439i,0.0003024+0.00047593i,0.0014823-0.00041174i,0.0019056-0.0004229i,0.0012781+7.2161e-05i,0.00044743+0.00037888i,0.00015922+5.8726e-05i,0.00027989-8.2384e-05i,5.6756e-05+7.0005e-05i
-0.00033621+0.00012284i,-3.8262e-05-0.00029841i,0.00058527+0.00022173i,0.00057032-0.00012181i,4.0956e-05+4.428e-05i,0.00053632+0.00061367i,0.0012471+0.00064803i,0.0010256+0.0010366i,-0.00012819+0.00067343i,-0.0012189-0.0001524i,-0.0011069+0.00049104i,-0.00072857+0.0012716i,-0.00079964+0.00084227i,-0.00047284+0.00052885i,-0.00018391+0.00048815i,-0.00063809+2.7872e-07i,-0.00035648+0.00042176i,-0.0001473+0.00065824i,0.00023405+0.00027922i,0.00093656-0.00033269i,0.00022644-0.00068198i,-0.00024099-0.00022465i,0.00035887+0.00010935i
-2.3269e-05+0.00042824i,0.00026947+0.00029629i,0.00039662-6.5127e-05i,-1.1596e-05-0.00070036i,-0.000643-0.00056748i,-0.0010444+0.00056546i,-0.00018909+0.00068062i,0.00015755+0.0004003i,-0.00055622+0.00075372i,-0.001185+0.00083688i,-0.0011596+0.00031753i,-0.0012036-0.00014781i,-0.0014242-0.00033716i,-0.0011789-0.00058312i,-0.00076635-9.8398e-05i,-0.00080871+0.00081078i,-0.00036282+0.0012878i,0.00026364+0.00097734i,0.00055561-0.00033677i,9.0943e-05-0.0012727i,-0.0003461-0.00095691i,-0.00041595-8.8395e-05i,-0.00046057+0.0006815i
-0.00023601-0.0016972i,-0.0008291-0.0019402i,-0.0019512-0.00091549i,-0.0026264-0.00054157i,-0.0022063-6.3414e-05i,-0.0015271+0.00053238i,-0.00023769+0.00066067i,0.00034414+0.00094471i,0.00014877+0.00061261i,-9.24e-05+0.00030968i,-0.00039152+0.00029944i,-0.00028345+0.00018499i,-0.00010684+0.00033588i,-0.00016414+0.00090264i,0.00012374+0.0011543i,0.0005435+0.0013154i,-1.4126e-05+0.0011305i,8.4461e-05+9.0384e-05i,0.00096941-0.00050915i,0.00096168-0.00057953i,0.00031851-0.00038771i,7.9415e-05+0.00038686i,9.8095e-05+0.00040559i
0.0017401-0.00057225i,0.0014671-0.0009255i,0.002257-0.00096218i,0.0018675-0.0017673i,0.00093025-0.0018735i,0.00031703-0.00018328i,0.0001418+0.0017568i,0.00041169+0.0019694i,0.00024686+0.0010301i,0.0001013-8.7392e-05i,0.00061116-0.00065452i,0.00035902-0.00023368i,-0.00055261+0.00045413i,-0.0010626+0.00074677i,-0.0010856+0.00011986i,-0.00047781+0.00039315i,-0.00039905+0.0012062i,0.00030718+0.000291i,0.0012505-0.00010918i,0.0015794+0.0001869i,0.0010892-1.0572e-05i,0.0004273-0.00043768i,0.00042391-0.00027867i
0.00023812-0.00045639i,0.0008006-8.4304e-05i,0.0011657+0.0010701i,0.0004473+0.0015573i,-0.00062868+0.00083998i,-0.00014583+0.00066847i,0.00065022+0.0009869i,0.00063634+0.00082349i,-0.00022742+0.0008794i,-0.0010798+0.00047543i,-0.00077958-0.0002956i,-0.00051404-0.00051587i,-0.00080191-0.00055971i,-0.0010729+7.513e-06i,-0.0011512+0.0005161i,-0.0011411+0.00023139i,-0.00051743+0.00027346i,-0.00018397+0.00057094i,-7.7305e-05-0.00020809i,0.00037482-0.00079777i,0.00053745-0.00027323i,0.00096211-0.00022485i,0.0011181-0.00064001i
-0.0014221+0.0019902i,-0.00092777+0.0011698i,-0.0015664+0.0011518i,-0.00086825+0.00079015i,0.0010144+0.0010425i,0.0014139+0.00095698i,0.0011151+0.00029321i,0.0010492+0.00023764i,0.00038711+0.00046768i,-0.0002144+0.00095767i,-0.00040645+0.0006059i,-0.00033773-0.00014425i,-0.00027489-0.00024124i,-0.00026252+2.0243e-05i,0.00023205+0.00022977i,0.00070702+0.00020578i,0.00044756+0.00040708i,2.4447e-06+0.00031591i,-3.7231e-05-4.0557e-05i,0.00018274+0.00011361i,-0.00023012+0.00023241i,-0.00035436+0.00016056i,0.00039385+0.00062741i
-0.0024884-0.00027011i,-0.0025308-0.0010942i,-0.0027669-0.00028464i,-0.0020364-4.5469e-05i,-0.00090358-0.00012199i,0.00011584+0.00057293i,0.00024895+0.00079593i,-0.00064177+0.00010317i,-0.00094287-0.00017832i,-0.00049524+0.00035767i,0.00015943+0.00090957i,1.8109e-05+0.00075915i,-0.00083891+0.00095065i,-0.00012977+0.001047i,0.00097601+0.0013459i,0.00056419+0.0010448i,-0.00027196+0.00060122i,-0.00018083+0.00050269i,0.00073927+0.00015642i,0.0010673+0.00018872i,0.00072987-0.0002247i,0.00031602-0.00013321i,-0.0004355+0.00042727i
0.0016802-0.0012672i,0.0022164-0.0013458i,0.0021968-0.0019282i,0.00028476-0.0025582i,-0.00085655-0.0014907i,-0.001013-1.6141e-05i,3.0429e-05+0.0007198i,0.00068472+0.00078524i,0.00024813+0.00073807i,4.599e-05+2.2043e-05i,-8.9873e-05+0.00017561i,-0.00026031+5.045e-05i,-0.00069501-0.00048777i,-0.00080707+0.00087513i,0.0004098+0.0016416i,0.00069682+0.0014375i,-0.00057928+0.00094405i,-0.00061245+0.00068822i,0.00031885+0.0006288i,0.00072874-0.0006643i,0.00025846-0.00097521i,-0.00016451+2.6651e-05i,-0.00085124+0.00013909i
0.0018004+0.00016593i,0.0010812+0.00051832i,4.4316e-06-0.00071918i,-0.0007028-0.0023114i,-0.00073379-0.0021462i,-0.00039546-0.00056092i,6.6688e-05+0.00064971i,-0.00025859+0.00079597i,-0.0010241+0.00041783i,-0.0014012-6.2747e-05i,-0.0011807-0.00059928i,-0.001106-0.0011688i,-0.0012592-0.0011588i,-0.00034264-0.00056475i,0.00086446+9.0787e-06i,0.0010486+0.00051218i,0.00060443+0.00087834i,-0.0001363+0.00094896i,-0.00047241+0.00080982i,-0.00080308+0.00040737i,-0.00097769-0.00094148i,4.9166e-05-0.00083176i,0.00081632-0.00043344i
-0.00081704-5.3911e-06i,-0.00083738-8.309e-05i,-0.00028631-0.00054142i,9.1825e-05-0.00050951i,-9.286e-05-0.00075747i,0.00015076-0.00036774i,-2.0514e-05+0.0013818i,0.00018445+0.0018922i,0.00038343+0.00074782i,0.00033568-8.2454e-05i,-0.00017754-0.00044828i,-0.00068847-0.0004325i,-0.00085657-0.00014315i,-0.00067384+0.00039847i,0.00025204+1.1444e-05i,0.00060848-0.00032852i,0.00055523+0.00074263i,0.00028811+0.00071738i,-0.00030958-9.7999e-05i,-0.00058057+0.00021827i,-0.00065716+0.00046068i,-0.00081393+0.000682i,-0.00040183+0.00059787i
-0.00030879-4.7858e-05i,-0.00078878-0.0005409i,-0.00023307-0.0014062i,0.00020114-0.00068851i,-0.00028734-8.8839e-05i,0.00011342+0.00011687i,0.0010741-7.1899e-05i,0.0012136-0.00010638i,0.00034076+0.00011377i,-0.0002032-3.5455e-05i,-0.00069772-0.00075069i,-0.0014527-0.00048871i,-0.001085-5.9334e-06i,0.00017182+0.00041287i,0.00043476+0.0012464i,0.00030328+0.001285i,0.00031543+0.00073724i,0.00016682+0.00041693i,0.00023178+0.00034518i,-0.00028204+0.00067118i,-0.00069742+0.00024942i,-0.00038093-0.00058374i,-0.00043528-0.00060939i
-0.00018115-0.00062573i,-0.00038682-0.00093356i,0.00010264-0.00039437i,-0.00047829+0.00028079i,-0.0013016+1.5831e-05i,-0.00069155+0.00065227i,-0.00014951+0.0012832i,-0.00023407+0.00075729i,-0.0010352+0.00087804i,-0.0011088+0.0010507i,8.6589e-05+0.00030029i,0.00038713-1.5509e-05i,-0.00032054+0.0006637i,-0.00040465+0.0010497i,0.00015961+0.0010056i,-0.00017927+0.00064871i,0.00022869+0.00033185i,0.0012869+0.00082292i,0.0011499+0.00075249i,0.00097278+0.00013408i,0.0010115+1.8986e-05i,0.00043593+0.00036698i,-0.00056196+7.5148e-05i
0.00095841+0.0006816i,0.0011199+0.00094403i,0.00063407+0.00053926i,0.00038912-0.0014538i,0.00072208-0.0020834i,0.0005901-0.00044234i,3.5656e-05+0.0011152i,-0.00052483+0.0016771i,-0.00026086+0.0011225i,-0.00013191+0.00052867i,-0.00045621-0.00014349i,-0.00012872-0.00072072i,2.1258e-05-0.00023774i,-0.00092202+0.00088034i,-0.001113+0.00070343i,6.959e-05+0.00034853i,0.00053841+0.00091231i,0.00055791+0.0012257i,0.00071898+0.0012882i,0.00034501+0.0011326i,0.00041648+0.00014819i,0.0010241-0.00021819i,0.00056834-0.00030781i
-0.0022245-0.00036715i,-0.0017327-0.00092966i,-0.0015302-0.00043712i,-0.00070686-0.00016596i,-0.00033349+0.00020947i,0.00013555+0.00095788i,0.00054664+0.00074399i,2.1373e-05+0.00013519i,-0.00089661-2.9095e-05i,-0.0013796+0.00046204i,-0.00080226+0.00092416i,-5.132e-05+0.00083237i,-0.00052343+0.00039852i,6.5641e-05+0.00085224i,0.00098985+0.00075495i,0.00028381+0.00039723i,-0.00011312+0.00041254i,-0.00023016+0.00013868i,0.00024073-0.0001943i,0.00070852-0.00012716i,0.00074639-1.0824e-05i,0.00043877-0.00019761i,-0.00037222+1.3654e-05i
-1.5807e-05+0.00063242i,4.5617e-05+0.0018887i,-0.00022368+0.0014919i,0.00076912+0.00078324i,0.00049077+0.00089384i,-8.3402e-05+0.00063207i,0.00035324+0.00058268i,1.248e-05+0.00043831i,-0.00044873+0.00023247i,8.3033e-05-0.00020833i,-0.0001029-0.0005309i,-0.00071066-0.00028266i,-0.00053643+5.5346e-05i,-0.00014226+0.00047728i,0.00043423+0.00082898i,0.00090392+0.00062265i,6.7959e-05+0.00058545i,0.00031717+0.00095427i,0.0011143+0.00055985i,0.00084544-0.00033759i,0.00063088-0.00058611i,0.00025393-1.6067e-05i,-0.00017431+0.00084146i
-4.1272e-05-0.00081374i,-0.00064028-0.0015327i,-0.00093795-0.0017166i,-0.00096674-0.0012572i,-0.0010042-0.00049527i,-0.00091538+0.0011468i,-4.2278e-06+0.0020273i,0.00027006+0.00085794i,9.7018e-05-6.2805e-05i,-0.00034689+0.00044964i,-0.00061296+1.6367e-06i,-0.00058059-0.00066255i,-0.00058439-0.0006253i,-0.00041925-0.00040001i,-0.00040491+0.00062776i,-0.00031647+0.0014564i,0.00015854+0.0010911i,-0.0001716+0.00038375i,-0.00048267-8.6028e-06i,-0.00088456+0.00015457i,-0.00083723+6.4253e-05i,-0.0001574-0.00059329i,0.00029309-0.00037483i
0.0014695+0.0011997i,0.0015093-0.00062564i,0.0018-0.0011139i,0.00073415-0.0015683i,-0.00029353-0.0012883i,-0.00044626-0.00037782i,-0.00055737+0.00038948i,-0.00080385+0.00077737i,-0.0014068+0.00063329i,-0.0012795+3.1853e-05i,-0.00066464-0.00021283i,-0.0005432-4.9498e-05i,-0.00071248-0.00010115i,-0.00063048-7.3556e-05i,-0.0005724+0.00031873i,-0.00010079+0.0004558i,2.4874e-05+0.00063467i,0.00019956+0.00086524i,0.00063138+0.00098057i,0.00052173+0.00058391i,5.1186e-06+1.7624e-05i,0.00016004-0.0005092i,-0.00019107-0.00033105i
-0.0011869+0.0016464i,-0.00053866+0.0010103i,0.00044097+0.00035085i,0.0011281-0.00053742i,0.0008934-0.0010887i,0.00017069-0.00047393i,0.00033424+0.00047488i,0.00075488+0.0010532i,0.00011098+0.0004575i,-2.9632e-05-0.00031836i,0.00050251-4.0303e-05i,0.0008044+0.00024797i,0.0004025-0.00022274i,-0.00018526+0.00053468i,3.426e-05+0.0011721i,0.00025013+0.0011723i,0.00033778+0.00093116i,0.00036295+0.00074142i,0.00024704+0.00081983i,-5.2889e-05+0.00024708i,-0.00061704-0.00044788i,-0.00024949-0.00045624i,0.00050999-2.9516e-05i
-0.0015708-0.00035868i,-0.0015313+0.00025263i,-0.0020788+0.00081274i,-0.0012862+0.0014703i,-0.0012291+0.0019119i,-0.00062735+0.001941i,3.7959e-05+0.0015135i,-0.00035049+0.00095466i,-0.00064443+0.00091035i,-0.00033341+0.00075491i,-0.00028169+0.0003028i,-0.00023481+0.00051631i,0.00034405+0.00079587i,-3.1194e-05+0.00050239i,-0.00029191+0.00020261i,0.0006328+0.00015054i,0.00065935+0.00044899i,0.00056265+0.00062658i,0.00099331+0.0003675i,0.00055256+0.00011299i,0.00072743+0.00038847i,0.00067757+0.0010609i,-0.0002979+0.00094131i
-0.00085007-0.0010845i,-0.00032781-0.0011793i,-0.0012194-0.0011428i,-0.0022098+0.00016261i,-0.0015121+0.0007675i,-0.00034467+0.00074873i,-0.00017949+0.00080004i,0.00045501+0.0011566i,-5.7052e-05+0.0016781i,-0.00097119+0.0016753i,-2.0033e-05+0.00081229i,0.00028424+0.00062021i,8.133e-06+0.0014245i,8.6001e-05+0.00064679i,0.00037897+0.00023872i,0.00047806+0.00034514i,0.00079498-2.123e-05i,0.00081794+0.00084748i,4.4222e-05+0.00093467i,-0.00051+5.5893e-05i,8.5197e-05-0.00029829i,-4.8112e-05-0.00015498i,-0.00084888-0.00040587i
0.00044234-4.261e-06i,0.0010643-0.00038407i,0.0016749-0.00054571i,0.0015285-0.00046272i,0.00056887-0.00052355i,-0.00045554+7.5129e-05i,-0.00052819+0.00090805i,-0.00035616+0.00066652i,-1.6796e-05+0.00036538i,0.00018359+0.00085358i,0.00024488+0.00076627i,0.00016016+0.00020781i,-0.00015821+0.00031299i,-0.00053405+0.0013073i,-0.00047566+0.0013278i,-6.0161e-05+0.00042534i,-7.024e-05-0.00020732i,-0.00063154-0.00044124i,-3.3018e-05-0.00013696i,6.435e-06+0.00060537i,-0.00058615+0.00057938i,-0.00047608-0.00011474i,-0.00020418+0.00010224i
0.00027994+0.0010506i,0.00024832+0.0015176i,-0.00049563+0.0007139i,0.00074667+1.2864e-06i,0.0017656+0.00048105i,0.0016332+0.00072116i,0.0012455+0.00052351i,2.6077e-05+0.00054892i,-0.00043281+0.00073241i,0.00023897+0.00055497i,-0.00034795+0.00014155i,-0.00022583+0.00051042i,0.00012098+0.00045088i,2.1493e-05+0.00015959i,0.00084558+0.00013408i,0.0013613+0.00011255i,0.00086875+0.00051561i,0.00082095+0.00042591i,0.0010565-0.00019004i,0.00045157-0.00054931i,0.00013843-0.0002759i,0.00092303+5.6057e-05i,0.00078019+0.00047547i
-0.0024922+0.00029407i,-0.001887-0.00029872i,-0.0009201+0.00033809i,-0.00012403+0.0010973i,-0.00033816+0.00089904i,0.00050191+0.0012334i,0.0005614+0.0015763i,4.4499e-05+0.0010161i,-0.0006314+0.00077201i,-0.00076461+0.00076225i,-0.00078314+0.00028489i,-0.0011304-0.00049384i,-0.0010024-0.0002443i,-0.00088355+0.00036319i,-0.00039241+2.2929e-05i,-5.2364e-05-0.00039794i,5.8998e-05-8.9141e-05i,0.0010339-8.4343e-05i,0.0015192-0.00073709i,0.0011856-0.00045236i,0.00026522+0.00029876i,-0.00025165-0.00013988i,0.00026942-0.00067318i
-0.00059741+0.0012052i,-0.00083894+0.0016611i,-0.001315+0.0017186i,-0.0012666+0.00034493i,-0.0013653-0.00013279i,-0.0011481+0.00017612i,-0.00037357+0.00079931i,-0.00023032+0.0014165i,-0.00044844+0.0013646i,-0.00041821+0.0010949i,-6.5566e-05+0.00096158i,-0.00037351+0.00034421i,-0.0015861+1.1172e-05i,-0.0015863+0.00057431i,-0.00065917+0.0006722i,-2.5453e-05+8.2956e-05i,-7.1664e-06-0.0003872i,0.00050402-0.00018732i,0.0009806-0.00044407i,0.00084883-0.0004188i,0.00025321+0.00038219i,-0.00029217-0.00020246i,-0.0006198-0.00097917i
0.0013521+0.0009282i,0.00042104+0.00019534i,0.00038152-0.00010159i,0.00023595-0.0004137i,0.00012963-0.00030874i,0.00011946+0.00035286i,-0.00021549+0.00089427i,-6.8223e-05+0.00062418i,0.00067307+0.00064092i,0.00070318+0.00070832i,8.7158e-06-4.0517e-05i,-0.00066867-0.00031303i,-0.0011686-0.00020974i,-0.00090123+0.00036938i,-0.00037057+0.001076i,0.00068476+0.0006393i,0.00097104+0.00054261i,0.0014814+0.00054122i,0.0012898+0.00048498i,1.7959e-05+6.5715e-06i,-0.00028892-0.00059745i,-0.00010545-0.00089953i,-0.00052784-0.0010371i
0.0010249+0.0014454i,0.00030693+0.0019136i,0.00013281+0.0014525i,-0.00018754+0.00054584i,-0.00062341-0.00025986i,-2.7811e-05-0.00010408i,0.00029815+0.00014892i,0.0004666-0.00019404i,0.00079771-0.00013293i,0.00066447+0.00030226i,0.00036352-7.2644e-05i,0.00024868-0.00050337i,-0.00033456-0.00044154i,-0.0006018-0.00041328i,0.00011037+0.00020243i,0.00034433+0.00028888i,0.0010311+0.00010702i,0.0013209+0.0001677i,0.00047624+9.6695e-05i,-0.00017454-0.00044801i,-0.00029041-6.1244e-05i,-0.00063817-7.2956e-05i,-0.0004194-0.00088966i
-0.00012617-0.0019267i,-0.00019161-0.002146i,0.00015007-0.0013073i,-0.0001341-0.00046292i,-0.00064379-0.00036992i,-0.00017702+0.0002766i,0.0004908+0.00082205i,0.00047301+0.0010942i,-0.00020681+0.0010322i,-0.00091136+0.00030224i,-0.0015284+0.00030547i,-0.0011593+0.00074653i,-0.00069498+0.00059605i,-0.00059938-0.0002544i,-1.8767e-06-0.00047217i,0.00051197-5.537e-05i,0.00036003+0.00081395i,0.00088745+0.001038i,0.0015918+0.0001298i,0.0007278-0.00034117i,7.1032e-05-2.0941e-05i,2.2649e-05+0.00027784i,8.3207e-05-1.8647e-05i
0.001597-0.0005588i,0.0017385-0.00022371i,0.00076191-0.0016437i,-0.00037007-0.0018369i,-0.0010604-0.00060519i,-0.0013035+0.00069152i,-0.0011392+0.0016843i,-0.00060119+0.0016362i,-0.00040501+0.0011435i,-0.00080347-8.5005e-06i,-0.0012948-0.00017543i,-0.00086277+0.00044161i,-0.00053202+0.00019985i,-0.00081374+0.00050977i,-0.00056996+0.00046041i,0.00040449+3.7241e-05i,0.00042971+0.00077916i,0.00024954+0.0010836i,0.0008417+0.00048093i,6.9776e-05+0.00041365i,-0.00085117+5.8722e-05i,-0.00027267-0.00035773i,0.00068954-0.0005294i
