-0.0028233-0.00038215i,-0.0019677-0.0010202i,-0.0029241-2.048e-05i,-0.0019558+0.00051945i,3.5949e-05+0.00087681i,0.00062437+0.0015316i,0.00075245+0.001375i,0.0005152+0.00099491i,5.6488e-05-8.8893e-05i,0.00022933-0.00035267i,0.00041573+4.8538e-06i,0.00051738+0.00031758i,0.0011095+0.00037592i,0.0010598-0.00028015i,0.00050909-0.0006696i,0.0001933-0.00083283i,9.9438e-05-0.00030608i,0.00020003+0.00046671i,7.5569e-05+0.00035762i,1.9014e-05+6.2338e-05i,-0.00043888+3.831e-05i,-0.00054287+0.00010784i,-3.2459e-05+0.00063419i
0.00035162+0.00092217i,0.00047426+0.00082256i,0.0022015+0.00057104i,0.003249-9.2152e-05i,0.0019319-0.0011352i,-0.00013499-0.00060765i,-0.0010864+6.1879e-05i,-0.00065956-0.00079192i,0.0004416-0.0011448i,0.00093572-0.0014326i,0.00031901-0.0018071i,0.00014608-0.0018725i,0.00040812-0.0012853i,-0.00024484-0.00028907i,-0.00049322+0.00013517i,-0.00034187+0.00011821i,-0.00018803+0.00028201i,-0.00063331+0.00030378i,-0.00076887+0.00046532i,-0.00012024+0.00065568i,0.00017717+0.00059263i,0.00058911+0.00058745i,0.00026284+1.5026e-05i
0.00076482+0.00064265i,0.00073884-0.00012777i,0.00051131+0.00054389i,0.001523+0.00016826i,0.0019086-0.0011665i,0.00073137-0.0011439i,-0.00041414-0.00084339i,-0.00048508-0.0011222i,-0.0003282-0.0013778i,7.0663e-05-0.0013472i,0.00064443-0.00086675i,0.00083188-0.00065252i,0.00069044-0.00041392i,0.00036685-0.00098643i,-2.9058e-05-0.0013303i,-7.9271e-05-0.0012181i,2.9528e-05-0.0014388i,2.1142e-06-0.0011717i,8.9802e-05+0.00036341i,0.00037098+0.0011863i,0.00017718+0.00034401i,0.00021951+3.5455e-05i,-2.4111e-05+0.00012955i
0.0010512+0.0025186i,0.0013396+0.001786i,0.002826+0.0012039i,0.003698-3.5958e-06i,0.0030591-0.00081069i,0.0015572-0.0013195i,0.00051288-0.00070545i,0.00048598+0.00030713i,0.0010107-0.00038086i,0.00094979-0.0009352i,0.000441-0.0011358i,-0.00033141-0.0013801i,-0.0013133-0.0010139i,-0.0011425-0.00055913i,-0.00051364-0.00060048i,-0.00077899-0.00093678i,-0.00047459-0.00059165i,0.00053133+9.4362e-05i,0.0011994-8.4703e-05i,0.0012192-0.00044833i,0.00049172-0.00054058i,-0.00011184-0.0009806i,0.00025238-0.0014785i
-0.00034564-0.00014228i,6.1452e-06-0.00043921i,-6.5671e-05-0.0015604i,0.000699-0.0015013i,0.0010905-0.00050717i,5.3165e-05-6.491e-05i,-0.00032127-1.338e-05i,-0.00031657-0.00029575i,-0.00077454-0.00090185i,-0.00058504-0.00092327i,-0.00045587-0.0005981i,-0.00032261-0.00054064i,0.00025166+0.00013001i,0.00046916+0.00090195i,-0.00041192+0.0014483i,-0.00043251+0.0008207i,0.00065087-0.00036849i,0.00048377-0.0011124i,7.906e-05-0.00065436i,0.00082076+0.0003643i,0.0012108+0.00011195i,0.00071882-0.00037738i,-0.00010874-0.0007436i
0.001402-0.0014069i,0.0016588-0.0017424i,0.00266-0.0030202i,0.0019071-0.0029329i,-0.00018174-0.0019871i,-0.0015927-0.0012403i,-0.00057045-0.00026086i,0.00095995+0.00011384i,0.0012352-0.00031104i,0.00071479-0.00080771i,-0.00013093-0.00096046i,-0.00058632-0.00081393i,-0.00075018-0.00033922i,-1.2434e-05+0.00030225i,0.00016494+0.00049228i,-0.00012436+0.00026112i,-0.00013669+0.00030902i,-0.00023376+0.00037518i,-0.00021401-4.4937e-07i,-0.00017247-0.00050586i,-0.00072835-5.7123e-05i,-0.00087273-8.0265e-05i,-0.00095813-0.00090247i
-0.00096809-0.0012202i,-0.0012721-0.00050234i,-0.00077243-0.00080349i,6.1792e-05-4.4785e-06i,-0.00013258+0.0010362i,0.00038198+0.00065805i,0.00021375+0.00069209i,0.00036656+3.2253e-05i,0.00055921-0.0011513i,0.00017903-0.0013533i,-0.00013089-0.0004487i,-0.00045132-0.00023049i,-0.00015184-0.0001284i,-8.6778e-06-0.00048146i,-0.000114-0.00060943i,-0.00046969+0.00026274i,-0.00090031+0.00015956i,-0.00031772+0.0001127i,0.00013459+0.00062003i,-0.00010128+0.00037101i,-0.00012833+8.3742e-06i,-0.00019171-7.7974e-05i,0.00022685-0.00019731i
-0.00033949+0.00069527i,-0.001081+0.0013701i,-0.00034707+0.0028812i,0.0012344+0.0017258i,0.0016095+0.00018636i,0.0011371+5.3337e-05i,0.00096843+0.00027988i,0.00090065+0.00025404i,0.00016165-0.00059887i,-0.00018158-0.00066114i,-0.00039601+0.00014661i,-0.00010888-9.2306e-05i,0.0008288-0.0013222i,0.0011488-0.001579i,0.00056793-0.00078022i,0.00025752-0.0005637i,0.00018423-0.0011039i,0.00055492-0.0010506i,0.00064766+0.00020115i,-4.8904e-05+0.00040236i,0.00017691+0.00030924i,0.00045055+0.00053059i,-0.00013475+0.00035271i
-0.0024021-0.00031056i,-0.001378-0.00065073i,-0.00030432+0.00025724i,0.00037739+0.0015062i,0.00028711+0.00062911i,-0.00018004-0.00064516i,-0.00022793-0.00086295i,0.00051931-0.00048944i,0.0011843-0.00018898i,0.00058291+0.0002943i,0.00054153+0.00031812i,0.00052977+0.00047597i,-0.00030209-0.00016603i,-0.00063538-0.00099675i,-0.00029302-0.0010055i,-0.00015172-0.00049135i,0.00019083+0.00033048i,0.00040919+0.00080287i,0.000663+0.00086384i,0.0006295+0.00025341i,0.00034357-0.00015339i,-0.00019487+0.00032205i,-0.0008747+0.00064725i
-0.0012205-0.0002972i,-0.00014714-0.00047531i,0.00041741+0.00014321i,0.00029541+0.0012643i,0.00027001+0.0010432i,0.00023098-0.00018739i,0.00017984-0.0011633i,0.0010458-0.0015433i,0.0016045-0.00093847i,0.0012292-0.00051945i,5.2636e-05-0.00044972i,-0.00046998-0.00022595i,-0.00032201+0.00050995i,-0.00013874+0.0006755i,0.00072517+0.0002178i,0.0016846+9.5818e-05i,0.0020802+0.00044754i,0.0013095+0.0011301i,-3.2408e-06+0.00075084i,-0.00030102-4.8438e-05i,-0.00043442-0.00066044i,-0.00042145-0.00073495i,0.00025634-0.00070381i
0.00078344+0.0019684i,0.0018948+0.0025879i,0.0024778+0.0027691i,0.0024871+0.0013997i,0.0018752-0.00032753i,0.00061619-0.0010256i,-0.00036538-0.0011497i,-0.00052539-0.001506i,0.00026383-0.001185i,0.00058739-0.00041739i,0.00039604-0.0004248i,0.00047158-0.00068198i,0.00036658-0.00098236i,0.00036318-0.00070471i,0.00073933+0.00026341i,0.00093376+0.00098438i,0.0011824+3.3063e-05i,0.00071553-0.00048973i,0.00027877+0.00023415i,0.0006525+0.00017882i,0.00073013-0.00065034i,0.00055346-0.00075297i,-0.00015271-0.00055708i
0.0010619+0.00040221i,0.00076974+0.00113i,0.0005994+0.0013357i,0.0012485+0.0005181i,0.0017582+7.6673e-05i,0.0010303-0.00020089i,-5.323e-05-2.0983e-05i,0.00014007-0.00035402i,0.00061232-0.0014502i,0.00055233-0.0013766i,0.0001051-0.00021015i,-0.00025714+0.00033381i,-0.00036037-0.00023109i,-0.00014197-0.0010242i,0.00025945-0.0011956i,0.00042622-0.00062807i,-4.5471e-05-0.00034384i,-2.9819e-05+3.3193e-05i,0.00013076-0.00019745i,-0.00016782-1.8128e-06i,-0.0007029-8.8195e-06i,-0.00034011-0.00060519i,0.00032257-0.00034i
0.0015832+0.00062218i,0.0017036+0.00080582i,0.0028812-0.00019255i,0.0029191-0.0011108i,0.001728-0.0018166i,0.00085023-0.002109i,9.0348e-07-0.00026537i,-0.0004974+0.0011255i,-0.00020946+0.00027942i,-0.00012084-1.2608e-05i,0.00028313-0.00015581i,0.00046674-0.00084178i,-0.00035231-0.00079066i,-0.00046353-0.0007068i,0.0001287-0.00097729i,1.8624e-05-0.00088522i,-0.00079679-0.00055434i,-0.00030418-0.00020614i,0.00106+0.00031003i,0.0011319+0.00037384i,-4.697e-05-0.00038243i,-0.00071385-0.0012391i,-0.00059058-0.00090101i
0.0015629-0.0008569i,0.0021262-0.0008254i,0.0021914-0.0017078i,0.000765-0.0013921i,-0.0017435-0.0010455i,-0.0027331-0.00015826i,-0.0013696+0.00031917i,7.7695e-05-0.00058268i,0.00029886-0.0014997i,0.00031527-0.0022218i,-0.00023322-0.0017709i,-0.00083668-0.00043214i,-0.00083657+1.0193e-05i,-0.00012979-0.00011689i,0.00040315-0.00043722i,0.0006504-0.00034304i,0.00054253-0.00028954i,0.00065744-0.00093412i,0.001112-0.0011142i,0.00072688-0.00053715i,0.00041337-0.00043732i,0.00038533-0.00063238i,0.00024252-0.00044402i
0.0012628+8.1614e-05i,0.00071803-0.0002654i,0.00025082-0.0012675i,0.00027696-0.0016914i,0.00065388-0.0014916i,9.319e-05-0.00075543i,-0.00032387+0.00031022i,-0.00017067+0.000442i,-0.00041565-0.00017998i,-0.0015191-0.00067291i,-0.0019671-0.00058174i,-0.001435-7.1913e-05i,-0.0012856+0.00040261i,-0.0012949+0.00033904i,-0.00041625+2.2641e-05i,-0.00030496+0.00016901i,-0.00038786+0.00056123i,0.00017842+0.0005762i,0.00067641+0.00039396i,0.00068596+8.3143e-05i,0.00017126-0.00030635i,0.00031531+3.6525e-05i,0.00011493+1.7022e-05i
0.0029373-0.00054879i,0.0027261-0.00092357i,0.0034228-0.00090993i,0.0021441-0.00056862i,0.00032557-0.0011615i,-0.00011504-0.0015219i,-0.00032574-0.00058898i,-0.00026731-0.00035219i,0.00029985-0.00054833i,0.00056348-0.00035016i,0.00091773-0.00041485i,0.0005459-0.00068764i,-0.00079419+0.00016563i,-0.00070091+0.00069861i,0.00050182+0.00086567i,0.00020299+1.1058e-05i,-0.00049759-0.00087394i,-0.00013363-0.00051116i,0.00026439-0.00057036i,-0.00024468-5.1852e-05i,0.00010192+1.4164e-05i,0.00054453-0.00056453i,-0.00028902-0.00050912i
-0.0014044+0.00051961i,-0.00050105+0.001332i,-0.00076637+0.0020445i,0.00035068+0.0021355i,0.001229+0.001461i,7.7352e-05+0.00030322i,-0.00015476-0.00011803i,0.00044411+0.00023125i,0.00020042+0.00058742i,0.00021109+0.0004054i,0.00034078-0.00015597i,-0.00013188-0.00072241i,0.00024121-0.0011568i,0.00026376-0.0012846i,-0.0009145-0.00060159i,-0.00091191-4.5683e-05i,-0.00050575-0.00074864i,-0.00025287-0.00087271i,0.00033621-0.00025991i,0.00064499-0.00046113i,0.00025715-0.00025515i,7.7353e-05-0.00018387i,9.3134e-05-0.0010482i
-0.0017752-7.1749e-05i,-0.0011346+0.0001989i,-0.00054491+0.00068985i,0.0011224+0.00057643i,0.0021361+5.563e-05i,0.0020628-0.00041264i,0.0017885-0.0012853i,0.00096749-0.0014105i,-0.00024881-0.00048592i,-0.0010609+0.0002396i,-0.0011518+0.00020283i,-0.00089756-0.00030481i,-0.00024498-0.0005218i,-0.00049804-0.00050467i,-0.00056471-0.00032896i,-9.1092e-05+9.1889e-05i,0.00010694-0.0003084i,0.00050703-1.8368e-05i,0.00037021+0.0007394i,0.00029659+0.00039495i,0.00024112-0.0010149i,0.00072503-0.0014258i,0.00073361-0.00090545i
-0.0028435-0.0026317i,-0.0017233-0.0014225i,-0.0020871+0.00074602i,-0.0012655+0.0013233i,4.8813e-05+0.0011404i,-6.9696e-05+0.00095248i,-0.00045473-0.00010782i,-0.00027181-0.00027087i,0.00027311-0.00017755i,0.00088285+0.00019146i,0.00028176+0.00078553i,4.5796e-05+0.00096381i,0.0001596+0.0007605i,0.00029401-0.00031364i,0.00014889-0.00079467i,-0.00032712-0.00090404i,0.00011478-0.00076756i,0.00085828-0.00045704i,0.0016908+0.00024694i,0.0014587+0.0012698i,0.00050475+0.00093456i,0.00048179-0.00032893i,0.00094185-0.0011627i
-0.00030777+8.286e-05i,-0.00077223-0.00043682i,-0.0014091-0.00019612i,-0.00036733+0.00092295i,0.00087582+0.0016111i,0.00058589+0.0015887i,0.00060306+0.00095308i,0.00034967-0.0001776i,-0.00026751-0.0013436i,-0.00047262-0.0014336i,-0.00016902-0.00092781i,0.00060649-0.00055837i,0.00075016-0.00040198i,0.00065645-0.00087114i,0.00017904-0.0010796i,-0.00052819-0.00029996i,-0.00084516+0.00015514i,-0.00081664-0.00035455i,-0.0004839-0.00033948i,0.0001-4.041e-05i,7.7972e-05+0.00017884i,0.00050525-0.00055547i,0.00076604-0.00065245i
-0.00069989+0.0021146i,0.0003026+0.0022646i,0.001409+0.0025699i,0.0023191+0.0010175i,0.0027778-0.00094006i,0.0025373-0.001587i,0.0010135-0.0013675i,0.00033471-0.00089868i,0.0011425-0.00090059i,0.0014709-0.00088806i,0.0010297-0.00087733i,0.0009314-0.0015295i,0.00059666-0.0020196i,0.00016837-0.00075745i,0.00039624-0.00039767i,0.00031639-0.00052251i,9.8751e-05+0.00033417i,0.00051393+0.0010448i,0.00047988+0.00094435i,0.00010622-0.00028981i,0.00028162-0.00065429i,-0.00023255-0.00073637i,-0.0010085-0.0007577i
0.0007374-0.00010815i,0.00087755-0.00021509i,0.0010721-0.00057258i,0.0010478-0.00070439i,-9.5381e-05-0.00028987i,-0.0018377-0.00057481i,-0.0018416-0.00063837i,-0.00036998-0.00024372i,0.00017079-0.00035201i,-0.00029976-0.00059034i,-0.0002017-4.8821e-05i,2.0335e-05+8.6919e-06i,-0.00067653-0.00083171i,-0.00090198-0.0010927i,0.00015053-0.00067191i,0.00053599-0.00018328i,0.00024852+0.00031216i,0.00056456+0.00020902i,0.00065661-0.00029191i,0.00017745-0.00061651i,-0.00021507-0.00037838i,0.00052597+2.4009e-06i,0.0015038-0.00027544i
0.00053207+0.0018051i,0.0021474+0.0020021i,0.0035556+0.0019894i,0.0035827+0.00042022i,0.0026791-0.0012517i,0.001317-0.0016494i,0.00015233-0.00035201i,-0.00036323+0.0001535i,-0.00040527-0.00069118i,-0.00070509-0.0008091i,-0.00059474-0.00037273i,-0.00022246-0.00085694i,0.00018141-0.0013094i,-0.00039705-0.00053118i,-0.00039263-0.00033898i,0.00036372-7.1243e-05i,-0.00019596+0.00018201i,-0.00047363+0.00042146i,0.00025483+0.00067203i,0.00035861+4.9267e-05i,-0.00020586-4.5864e-05i,-0.00087936-0.00019816i,-0.00048908-0.00096094i
0.0020001-0.00043785i,0.0026642-0.00043141i,0.0033297-0.0012276i,0.0020206-0.0024051i,0.00030171-0.0030651i,-0.00084386-0.0018228i,-0.00056325+4.9008e-05i,8.0856e-05-0.00087111i,0.00047688-0.0022239i,0.00035906-0.0020481i,-0.00011985-0.0021515i,-0.00010672-0.0017895i,-0.00028597-0.00042787i,0.00027176+0.0011648i,0.00038947+0.0014341i,0.00017802+0.00064158i,-0.00060694+0.0002774i,-0.00043242+0.00016309i,-9.3229e-05+0.00057147i,-0.00047356+0.00015057i,-0.00066348-0.00032023i,-0.00023367+6.2085e-05i,0.00024536+6.338e-05i
-0.0010137-0.00092891i,-0.00030486-0.00063387i,4.0845e-05-0.00035823i,0.00036979+0.00040721i,0.00020366+0.0011834i,7.1863e-05+0.0012569i,0.0002247+0.00061911i,-0.00040286+0.0003987i,-0.00042967-7.1544e-06i,6.1758e-05-0.00043139i,0.00041797-0.00047078i,0.00069431-0.00079792i,0.00097788-0.0009826i,0.00097238-0.00060272i,0.00068208+0.00042107i,0.00035214+0.0010096i,-0.00012647+0.00066622i,-0.00038898+0.00067156i,0.00015212+0.00032813i,0.001229-0.00074774i,0.00097632-0.0010449i,-0.00013211-0.00039268i,-0.00073492+0.0002474i
0.0010792-0.00060973i,0.0016129-0.00023606i,0.0012887-0.00048527i,0.0013578+0.00023281i,0.0013659+0.00010704i,4.1734e-05-0.00012921i,-0.00037533-0.00015144i,0.00010007+8.6187e-05i,0.00028828-0.00034617i,0.00027682-0.00029789i,7.9538e-06+0.00047481i,3.9143e-05+0.00047206i,0.0004622+0.00048675i,0.00064974+0.00072096i,0.00060045+0.00064412i,0.00059897+0.00016092i,0.00036501+0.000523i,0.00018696+0.00043486i,-0.00016736-0.00039794i,4.8762e-05-0.0003729i,0.00053109-1.5872e-05i,0.00066464-6.0155e-05i,0.00057416-0.00050846i
-0.0011243-0.00052636i,-0.00091602-0.00077365i,-0.0014643-0.00021861i,-0.0010698+0.00085971i,5.688e-05+0.0010601i,-0.00024752+0.00061736i,-0.00068113+4.3946e-05i,5.3517e-05-3.5608e-05i,6.3422e-05+3.1335e-06i,-0.00042417-0.00014288i,0.0001106+0.00012911i,0.0006299+0.00030637i,0.00078789+1.4909e-05i,-0.00021403-2.7241e-05i,-0.00077144+7.9965e-05i,-0.00032689+0.00021196i,-0.00032782+0.00010754i,-0.00031031-0.00022961i,-0.00035114+0.00021612i,-0.00048053+0.00086796i,-0.00017744+0.00019788i,0.00055577-0.00033068i,0.00037425-0.00017381i
0.00017918-0.0008112i,0.00010136-0.00077314i,0.0010105-0.0018561i,0.0016422-0.001939i,0.00045951-0.00047682i,2.9714e-05+0.00021614i,0.00052078+0.00014861i,0.00032824-0.00053504i,1.2497e-05-0.00091854i,-0.00069294-0.00074618i,-0.00075578-0.00070734i,-0.0002447-4.737e-06i,7.9279e-05+0.00055188i,0.00058058+0.00058029i,0.0010567+0.00033994i,0.0010548+4.5165e-05i,0.00071174-0.00028494i,0.00082466-0.00033548i,0.0010703-3.4544e-05i,0.00080715+0.00059307i,0.0001061+0.0012218i,-2.7994e-05+0.0002257i,0.00039345-0.00060232i
-0.00080079+0.0011759i,-0.00047553+0.002202i,0.0016197+0.0019619i,0.003036+0.00092119i,0.0024682+0.00022533i,0.00078787+0.00084371i,0.00015568+0.00089853i,0.00092644+0.0002867i,0.0011065+7.6557e-05i,0.0010063-0.00041891i,0.00093684-0.00076237i,0.00028365-0.00071742i,-0.00020965-0.00097935i,6.4993e-05-0.00078687i,0.0004902+0.00044785i,0.00087138+0.00095808i,0.0012507+0.0010261i,0.001131+0.00056399i,0.00080516-0.00033467i,0.00080204-0.000825i,0.00061792-0.00035899i,0.00035649-0.00023464i,-7.2269e-05-5.9664e-05i
-0.00018111-0.0012438i,-0.0014451-0.00030482i,-0.0013575+0.00078237i,0.00077561+0.0010236i,0.0014758+0.00092773i,0.0010855+0.00014768i,0.00091134+0.00022482i,0.00011556+0.00025292i,0.00026369-0.0007869i,0.00014509-0.00068119i,-0.00047673-0.00043378i,-0.00012869-0.00036356i,0.00028319-0.00010556i,0.00010002-0.00026632i,-8.1621e-05-0.00033942i,0.0004196-0.00071957i,0.00060048-0.00068683i,0.00060445-0.00017287i,0.0015279+0.00023057i,0.0020315+0.00068488i,0.0014695+9.4475e-07i,0.00059234-0.00057668i,0.00012856-0.00043498i
-0.000296+0.0031698i,0.00041275+0.0025091i,0.0017702+0.0027425i,0.0032543+0.0021998i,0.003241+0.0009078i,0.0012236+0.00020065i,0.00011245+0.00014266i,0.00039+0.00027232i,-9.4912e-06+0.00024467i,0.00013323-0.00034429i,0.00048448-0.00061197i,0.00059133-0.0011757i,0.00012372-0.001343i,-0.0011427-0.0010147i,-0.00091911-0.001207i,0.0005077-0.0005137i,0.00048563+0.00034793i,0.00022551+0.00055889i,0.00028302+0.0006309i,0.00049224+0.00063221i,0.00087055+0.00022621i,0.00034692-0.00072885i,-0.00017041-0.0012274i
-0.00021351-1.252e-05i,-4.6001e-05+0.00077046i,0.00010762+0.00067828i,0.00099993+0.00055811i,0.0011591+0.00052063i,0.0002283-0.00033628i,-0.00087349-0.00036397i,-0.00081745-0.00042832i,-8.7194e-05-0.00080021i,-0.00034648-0.00057943i,-0.0007598-0.00061225i,-0.00106-0.00021457i,-0.001007+8.6884e-06i,-0.00064641-5.7791e-05i,0.00010552-0.00052413i,-0.00020054-0.00019927i,-0.00044755-0.00025416i,0.00043417-0.00064923i,0.0013965+0.00018446i,0.0016268+0.0004667i,0.00034562+0.0007631i,-0.00088688+0.00095418i,-0.00097958+0.00039515i
0.00096644+0.0014485i,0.00067793+0.0014125i,0.0019856+0.0010019i,0.0025331-6.8903e-05i,0.0018704-0.0011592i,0.0010145-0.0013463i,0.00085875-0.000542i,0.0010193+7.7042e-05i,0.00079005-0.0010268i,0.00079212-0.0020976i,0.00050208-0.0013684i,0.00012411-0.00071592i,-0.00021687-0.0013582i,0.0004135-0.00092541i,0.0016544+6.0884e-06i,0.0010152-0.00064393i,-0.00018711-0.0011562i,-0.00028085-9.8019e-05i,-0.00072731+0.00064304i,-0.00070729+0.00040646i,-0.00042314+6.8554e-05i,0.00013857-2.9683e-05i,0.00051116+0.00014222i
0.00074848-0.0028419i,-0.00015483-0.0026972i,-5.6753e-06-0.0018935i,0.00064912-0.00059036i,0.0018612-0.00041461i,0.0019717-0.00019368i,0.00098761+6.8758e-05i,0.00083423+0.00022017i,0.00018846+0.00022639i,-0.00072401-0.00070203i,-0.00089379-0.00074389i,-0.00054083+4.1118e-05i,-0.00015146+0.00054686i,-0.00010048-7.7902e-05i,0.00017176+0.00030484i,0.00052969+0.0013442i,0.0007982+0.0009781i,0.00082283-8.6166e-05i,0.00044606-0.00012246i,-0.00013447+0.00045222i,-0.00033318+0.00032464i,0.000129+0.0003119i,0.00034076+0.00045355i
0.0011855-0.0024906i,0.00078207-0.0016717i,0.00084471-0.0014749i,-0.00013079-0.00054478i,-0.0019813-0.00043265i,-0.0024342-0.00094021i,-0.00054064-0.00092611i,0.00070762-0.00072053i,0.00052994-0.0010969i,-0.00022678-0.0015125i,-0.00072236-0.00098167i,-0.00043811-0.00030599i,0.00011107-0.00013651i,0.00099602-2.373e-05i,0.0015179-0.00017665i,0.00096294+0.00013382i,0.00054208+0.00041951i,0.00023895+5.5902e-05i,-0.00037954-7.3861e-05i,-5.9957e-05-0.00050326i,0.00048529-0.0006078i,0.00029178+0.00026766i,-2.6334e-05+0.00086532i
-0.0022864+0.0019632i,-0.0014174+0.0032586i,0.00017125+0.0042396i,0.0022061+0.0034036i,0.0031411+0.0019586i,0.0028509+0.00097843i,0.0017241+0.00011244i,0.00049553-0.00079931i,0.00022896-0.00099989i,0.00082853-0.00096874i,0.0012877-0.00049673i,0.0008537-8.2257e-05i,0.0005987-0.00043948i,0.00021627-0.0003875i,-0.00019826-0.00010134i,-7.9176e-05-6.9401e-05i,5.3043e-05-0.0001703i,7.1531e-05+6.1386e-05i,-0.00040984+0.00065925i,-0.00022082+0.00058996i,0.00042633-0.00039003i,0.00057401-0.00042037i,-6.032e-05-3.859e-05i
-0.00063342-0.0024969i,-0.0018409-0.00083601i,-0.0014571+0.00049954i,-0.00055044+0.0017374i,-0.00025946+0.0015441i,-0.00013147+0.00049005i,0.00011938+0.00057425i,-0.00026706+0.00053966i,-0.00053946-0.00015567i,-0.0002296-0.00013924i,-0.00042747-3.6223e-05i,-0.00042603-0.00023555i,-0.00016564+0.00016823i,0.00055868+0.00084825i,0.00074966+0.00088012i,0.0010118+0.00058357i,0.0012473+0.0001108i,0.00035356+0.00010007i,-0.00069189+0.00039807i,-0.00060213+9.9714e-06i,-0.00015456+3.7357e-05i,-0.00049765-7.4834e-05i,-1.8794e-05-0.00033157i
0.0013273-0.00060827i,0.00053026-0.00098328i,-0.0005346-0.0020507i,0.00053503-0.0015965i,0.0011969-0.00021474i,0.00022421+0.00012264i,3.7183e-05-6.8923e-05i,0.00064547-0.00063888i,0.00075946-0.0013892i,8.8725e-06-0.0011412i,-0.00031932-0.0003052i,0.00046372-1.5602e-05i,0.00061523-0.00060828i,0.00048445-0.00050628i,0.00092004+0.00050593i,0.00084774+0.0005976i,0.00083405-5.9636e-05i,0.00046179-0.00028046i,-0.00029582-0.00037154i,-6.6101e-05-0.00022765i,0.00055946-0.00045624i,-0.00019457-0.00086186i,-0.00088694-0.00052815i
-0.00068704-0.00015457i,0.0012017-0.00043362i,0.0013367-0.00064675i,0.00064136+0.0010013i,0.00045246+0.0015009i,-0.00022631+0.00036589i,-0.00092787-3.424e-05i,-0.00056653+0.00041117i,-0.00055957-7.6201e-05i,-0.0001913-0.00066172i,0.00013554+1.3174e-05i,0.00050671+0.0001459i,0.00035004+0.00060893i,-0.00033539+0.0005501i,-0.00048573-0.00027798i,-5.1749e-05+4.633e-05i,1.9442e-05+0.00066558i,-0.00041743+0.00068851i,-0.00077701+0.00052615i,7.9709e-05+0.00040986i,0.00083035-0.00040315i,0.00075785-0.0010159i,0.00064905-0.00075342i
0.00043518-0.0024978i,0.00013469-0.00214i,0.00025796-0.0016446i,0.00043712-0.0010582i,0.00062627-0.00090355i,0.00070692-0.00034541i,0.0014634-0.00026835i,0.0017064-0.00062668i,0.00052395-0.0011189i,-0.00036049-0.0013463i,-0.0010539-0.00079037i,-0.0014063-0.0002637i,-0.00095781+2.9204e-05i,-0.00077525+0.00040704i,-0.00081801+0.00072057i,-0.00053307+0.0011031i,0.00064073+0.0017111i,0.0015549+0.0010885i,0.0016582+0.00039408i,0.0013532+0.00070898i,0.0011571+0.00078678i,0.00042456+0.0004115i,-0.00012744-2.7646e-06i
-0.0014561-0.00098189i,-0.0015033-0.00046174i,-0.00095916+0.0011635i,0.00023979+0.0017487i,0.0012107+0.001122i,0.00062337+0.00065639i,0.00046724+0.00095499i,4.1506e-05+0.00081591i,-0.00031132-0.00014331i,-0.00029301-0.00078839i,0.00018482-0.0010949i,0.00038385-0.0006375i,0.00011168+0.00026154i,0.00010649+0.00045424i,-0.00073244-0.00036576i,-0.00067729-0.00063825i,0.00016793+0.0006189i,4.405e-05+0.0011929i,8.1495e-05+0.0012308i,0.00055547+0.0014848i,0.00089435+0.00074784i,0.0012456+0.00021433i,0.00084696+2.5151e-05i
-0.0010841-0.0019389i,-0.0016668-0.00056584i,-0.0013708-0.00050192i,-0.00076301-0.00026764i,-0.0011962+0.00046516i,-0.00085433+0.00050693i,0.00026412+0.00018223i,0.0006471-0.00020322i,0.00098102-0.00055597i,0.0010081-0.00063748i,0.00046213+0.00033784i,0.00034168+0.0015022i,-0.00015855+0.0010499i,-0.00077306-0.0005i,-0.00058257-0.00095318i,-0.00068733-0.00045217i,-0.00035365-0.00051764i,0.00014963-0.00053494i,-0.00021448+0.0004079i,-1.3916e-05+0.0010062i,0.00031585+0.00034339i,-2.5266e-05-0.00038172i,0.00019564-8.9988e-05i
-0.0010457-0.0008395i,-0.0017981-3.0305e-05i,-0.0012212+0.00037636i,0.0001963+0.00026751i,0.00043699+0.00052094i,0.0007322+0.00031288i,0.00057207+0.00018656i,0.00043327-0.00075227i,0.00074959-0.0016768i,0.00078186-0.0014874i,-0.00027372-0.00021034i,-0.00032192-0.00026137i,0.00094488-0.0015556i,0.0016956-0.0027324i,0.0015937-0.0028761i,0.00054187-0.0014389i,1.9032e-05-0.00049944i,0.00025977-0.00012176i,0.00014645+0.00019395i,-0.00028219+0.00051787i,-0.00027603+0.00035932i,1.3846e-05-0.0005371i,0.00068757-0.00057821i
-0.0012416-0.0015149i,-0.00037417-0.00058172i,0.0014561+0.0011446i,0.0022636+0.0019893i,0.0017215+0.0018349i,0.00077878+0.0012035i,0.00012834+0.00033719i,0.00016678-0.00059898i,0.00027091-0.0013579i,-5.5772e-05-0.00079748i,0.00013693+8.7888e-05i,0.00091833-0.00035105i,0.00084653-0.0013688i,0.00077979-0.0018291i,0.0009097-0.0015294i,2.4469e-05-0.0011405i,0.00019902-0.00087386i,0.00041103-0.00018939i,-0.00023831+0.00019724i,-0.00049481-9.9557e-05i,-0.0002766-0.00011042i,0.00060077-3.5732e-06i,0.0014793-0.00061974i
