-0.001999+0.00099645i,-0.00049474-0.00075586i,-0.00051182-0.0017579i,-0.00065311-0.0013787i,-0.00095441+0.00019511i,-0.0010394+0.0021882i,0.0001511+0.0025503i,0.0016075+0.0012238i,0.0019941+0.00030994i,0.002066+0.00016115i,0.0011387-0.00042109i,-9.3879e-05-0.00072108i,-0.00077803-0.0002252i,-0.0010779-0.00045873i,-0.00052473-0.00037991i,0.00013461-0.00010108i,-2e-05-0.00016542i,3.5491e-05-0.00034943i,-5.5995e-05-5.5916e-05i,1.8656e-05+0.00058354i,0.00056817+0.0004337i,0.00036678+0.00027782i,-0.00022119-0.00034702i
-0.00096832-0.00042899i,-0.0017808-0.00074046i,-0.0003597-0.00074352i,0.00071742-0.00031053i,-0.00026409-2.9127e-05i,-0.00085167+0.00055001i,-0.0010685+0.0013571i,-0.00051961+0.0013707i,0.00016409+0.0010125i,0.00065701+0.00070024i,0.0010124+0.00028613i,0.0007236+6.712e-05i,0.00043929-0.0003791i,0.0006858-0.0011497i,0.0003972-0.0014465i,0.00019174-0.00086665i,-0.00018161-0.00044627i,-0.00041543-0.00044265i,-0.0004322-0.00010059i,-0.00022105+0.00064887i,0.00024231+0.00099619i,0.00054021-4.4348e-06i,0.00079537-0.00097899i
0.0012816-0.001244i,0.001537-0.0028823i,0.002961-0.00382i,0.0026506-0.0034006i,9.2797e-05-0.0027801i,-0.0012812-0.00067412i,-0.0004396+0.0012394i,0.00076088+0.0015619i,0.00023432+0.0010483i,9.3986e-05+0.00029164i,0.00024528-0.00038006i,0.00035761-0.00032268i,0.00072798+0.00030467i,0.00035667+0.00067858i,-0.00067223+0.00040123i,-0.0008341+0.00049017i,-0.00057593+0.00072535i,-3.8408e-05+0.00033939i,0.0001221+2.4301e-05i,0.00083599+6.7961e-05i,0.0008648-0.00047093i,0.00036264-0.00068071i,-1.8338e-05+0.00036265i
3.133e-05+0.00045531i,9.2876e-05+0.00069157i,0.00094626+0.0010957i,0.0016079-0.00016207i,0.0021768-0.0016268i,0.0015161-0.00075946i,0.00052423+0.00035116i,-0.000108+0.00075413i,0.00016467+0.0010171i,0.00096176+0.00018092i,0.00037298-0.001186i,-0.00039051-0.0013428i,-0.00036331-0.0012185i,4.9398e-05-0.0015292i,0.00042167-0.0010753i,0.0004968-0.0003806i,0.000636+0.00020582i,0.0006716+0.00038215i,0.00035876-0.00025141i,0.00019879-0.000417i,0.00093366+3.3614e-05i,0.0013451+0.00057517i,0.00060397+0.00041867i
0.00089535-0.00066891i,0.001797-0.0010048i,0.0020362-0.0014383i,0.0014876-0.0015639i,0.0005076-0.00041861i,0.00037202+0.0010197i,0.00092244+0.001809i,0.00022578+0.0019529i,-0.0001174+0.0014747i,-0.00026071+0.0007368i,-0.00017405+0.00013878i,-4.8301e-05-0.00059344i,-0.00014729-0.00036964i,-0.00033079+0.00022365i,-0.0010171+0.00019639i,-0.0012369-0.00031149i,-0.00031937-0.00018325i,4.5213e-05+2.5408e-05i,-0.00024363+5.1622e-05i,-0.00031443+9.6794e-06i,-0.00047352+0.0007139i,0.00033424+0.0015063i,0.0010454+0.00062353i
0.00031628-0.00063376i,0.00043071-0.00047858i,-2.2463e-05-0.00063693i,-0.00062689-0.0014165i,-0.0011204-0.0018945i,-0.00076694-0.00029448i,-0.00021575+0.00067977i,-0.00032749+0.00047402i,-0.00061511+0.00045008i,-0.00068215+2.8226e-06i,-0.00062231+0.00023626i,-0.00046324+0.00054342i,-0.00064266+0.00036203i,0.00021754-8.8275e-06i,0.0010282-0.00039879i,0.00016057+0.00016841i,-0.00012081+7.0952e-05i,-0.00014987-0.00015505i,0.0002053-4.9089e-05i,0.00022483-0.00014179i,0.00034745+1.488e-05i,0.00052083+0.00063742i,-4.7366e-05+0.00053133i
0.00016968+0.0012078i,0.00049576+0.00045253i,0.0019714-0.00010414i,0.0031875-0.00040342i,0.0019998-0.00099135i,0.00039669-0.00088239i,0.00018803-0.00048204i,0.00048389-5.4419e-05i,0.0010525+0.00059135i,0.0010304-0.00029931i,0.00018774-0.00067533i,-0.00052146-0.00078188i,-0.00011323-0.00081623i,-0.00078092-0.00045353i,-0.00072772-0.00046521i,-0.0003894+9.3493e-05i,-0.00078822-4.8337e-05i,-0.000507-5.7247e-06i,-7.2592e-06+0.00050612i,0.00022581+0.0001338i,0.00034987-0.00046298i,0.00036094-0.00078319i,0.00048593-0.00010234i
-0.0006117-0.00031898i,0.00073232+0.00071199i,0.0014799+0.0019698i,0.002227+0.0010848i,0.0020798-0.00030237i,0.0016277+0.00045991i,0.00059039+0.0014351i,0.00056523+0.0012541i,0.00084283+0.001373i,0.00049901+0.0011589i,0.00051516+7.3869e-05i,7.2716e-05+0.00015296i,-0.00014249+0.0002464i,0.00036706-3.4595e-07i,0.00029426-0.00072038i,-0.00012021-0.0011829i,-0.0005106-0.0010644i,7.277e-05-0.0009819i,0.00052917-0.00051149i,0.00014029-0.0004596i,-6.4573e-05-0.00036697i,0.00049785-0.00059986i,0.00055496-0.00075979i
0.0011663+0.00027269i,0.0014935-0.00040551i,0.00088927-0.00090109i,0.00049605-0.0014081i,0.0005305-0.0015973i,1.1647e-05-0.0006594i,-0.00064476-0.00026604i,-0.00030288-4.8787e-05i,0.00071966+0.00020589i,0.001075-5.6036e-05i,0.00061427+1.9837e-05i,-0.00027173+0.00044376i,-0.00088738+0.00044362i,-0.00095009+0.00018418i,-0.00021894-0.00024841i,0.00042819-0.00039308i,0.00026285-0.00058354i,0.00010016-0.00066721i,0.00028817-0.00065081i,0.00028274-0.00066949i,0.00028446-0.00068263i,0.00016912-0.00067495i,-0.00022194-0.0001885i
0.00075601+0.00036502i,0.0018116-0.0011616i,0.0030215-0.0014198i,0.0027015-0.0012992i,0.0011466-0.0010015i,0.00027067+4.9423e-05i,0.00019723+0.00075217i,0.0002179+0.00089232i,0.00011195+0.00086668i,0.00046027+0.00077305i,0.00080782-0.00014285i,-6.888e-05-0.00012893i,-0.0011676+0.00093119i,-0.00039619+0.00065913i,0.00076002-2.0998e-05i,0.00063947-0.00028154i,-4.4023e-05-0.0007219i,-0.00053037-0.00033813i,-0.00046301+0.00039019i,5.2798e-05+0.00049701i,0.00032519+0.00011157i,0.00042855+3.6908e-05i,3.2329e-05+0.00046759i
-0.0010905+0.00077431i,0.00061148+0.00044894i,0.0021723-0.00029902i,0.0026023-0.0002535i,0.00078748+0.00028252i,-6.4831e-05+6.9467e-05i,0.00031782-3.103e-05i,9.2381e-05-6.6027e-05i,0.0002643-6.8318e-05i,0.0004328+0.00089536i,5.8544e-05+0.0011692i,0.00018317+0.00024206i,-0.00018428-0.00090004i,-0.0002502-0.00079426i,0.00087569-0.00061726i,0.00041071-0.00052019i,-0.0008279-0.00035903i,-0.00076195-0.00031897i,-0.00016112+0.00055893i,0.00025857+0.00071845i,-0.00011925+0.00021273i,-0.00060198-0.00019716i,-0.00093179-0.00036138i
0.00053263+7.0221e-05i,0.001463-0.00028067i,0.0018248-0.00099896i,0.0013043-0.00084186i,0.00015006-0.0011792i,-0.00042449-0.00055732i,-5.9828e-05+0.00082348i,0.00077022+0.0010512i,0.00057235+0.00015239i,0.00097776-0.0002788i,0.0015167-0.0001061i,0.0013464+0.00041579i,0.00082716+0.00042321i,0.00049903-0.00018475i,0.00040358-0.00038556i,0.00058023-3.4194e-05i,0.0009291+0.00086975i,0.0007756+0.0010509i,0.00021522+0.00067427i,0.0002778-6.1331e-06i,0.0011302-0.00019492i,0.0005883-8.5784e-05i,-0.00028148+0.00016174i
-0.00074301-0.0023012i,-0.001941-0.0024093i,-0.0035191-0.0022413i,-0.0037528-0.0019324i,-0.0020418-0.00059652i,-0.00062444+0.00091271i,-0.00035226+0.0011951i,5.6844e-08+0.00044121i,0.00019258+0.0001594i,0.00035746-4.3727e-05i,0.00026233-4.3242e-05i,-0.00027507+8.3153e-05i,-4.4041e-05-0.00027474i,0.0011565-0.00065303i,0.00095165-0.0006152i,-0.00033513+0.0001018i,-0.00063126+0.00084073i,-4.8695e-05+0.00064361i,0.00096319+0.00063614i,0.00096123+0.00022858i,5.5099e-05-0.00045721i,0.00016842-0.00051424i,-6.2614e-05+0.00033013i
0.0010361+0.00017503i,0.0021519-0.00073607i,0.0036442-0.0008804i,0.0027172-0.001484i,0.00025139-0.0024291i,-0.0005516-0.0012812i,-0.00044277+8.4471e-05i,-0.00029739+0.00021925i,0.00041702+0.00016462i,0.00039917+0.00031238i,-6.3485e-05+0.00022013i,0.00014203+0.00034894i,0.00021802+0.00067035i,-2.239e-05+0.00076769i,-7.1981e-05+0.00064328i,0.00019412+0.00029913i,0.00044738-0.00010697i,0.00040347-0.00044166i,0.00015472-0.00038061i,-0.00029623-0.00032029i,-3.645e-06+0.00026038i,0.00040566+0.00064336i,2.6709e-05-8.3336e-05i
0.001008-0.00069259i,0.00082476-0.0005243i,0.0024035-0.00026767i,0.0024302-0.00059078i,0.0012234-0.0011928i,0.0015661-0.00070115i,0.0017538+0.00030773i,0.001477+0.0003618i,0.00063612-0.00048163i,0.00018912-0.00052462i,-0.00033167-0.00041271i,-0.0011624-0.00055419i,-0.00083035-0.0012689i,-0.00021434-0.0015673i,0.0001249-0.00072619i,0.00031214+1.9607e-05i,0.00010226-3.6691e-05i,5.6378e-05+0.00025435i,9.9236e-05+0.0011405i,0.00068122+0.00085829i,0.0005413-0.0005326i,-0.00064941-0.0010752i,-0.0011225-0.00089749i
-0.00033472-2.9839e-05i,-0.00040027-0.00053693i,-0.00038827-0.00018851i,0.00038638-0.0013052i,0.00047918-0.0013508i,-0.00038124+2.9482e-05i,-0.0008837+0.0013517i,-0.0010039+0.0014638i,-0.00066262+0.00073116i,-4.3527e-05+0.0001345i,-3.2842e-05+1.9236e-05i,-0.00055956-8.3929e-05i,-0.0010459-0.00022862i,-0.00090776-0.00070066i,-0.00040702-0.0012196i,0.00021231-0.00092366i,0.00082396-0.00030778i,2.6688e-05+2.9094e-05i,-0.0013036+0.00033223i,-0.0012048-0.00011049i,-0.00065419-0.00044669i,-0.00049313-2.3709e-05i,-9.6136e-05-0.000225i
0.0010339+0.0011979i,0.0016924+0.0006883i,0.0019827+0.00044213i,0.0014264-0.00044713i,0.00058575-0.00044996i,-0.00020585+0.00032426i,0.00021081+0.00097751i,0.00098778+0.0013331i,0.00086341+0.0012i,0.00038077+0.00061441i,0.00059598+0.0001667i,0.00050002+0.00036539i,-0.000302+0.00088968i,-0.00059959+0.0007009i,-9.4938e-05-0.0001516i,0.00012067+0.00026833i,-0.00041151+0.00065624i,-0.0006339+0.00062089i,-0.00036906+0.00091873i,0.00024247+0.00082149i,0.00078465+0.00052128i,0.00088344+0.00066153i,0.00036421+0.00095285i
0.00129-8.7469e-05i,0.0016808-0.00035084i,0.0023377-0.0010712i,0.0028227-0.0021275i,0.0016633-0.0026186i,0.00067957-0.0011846i,0.0012613+0.00055257i,0.0014045+0.00062847i,0.001302+0.0011222i,0.001462+0.0012361i,0.0011595-0.0001771i,0.0004337-0.00064499i,-3.9782e-05-0.00014307i,-0.00049011-0.00048418i,0.00024383-0.00049398i,0.00035642-0.00017049i,-0.00012764-0.00017519i,0.00010187-0.00063122i,-0.00034862-0.000669i,-0.00048917+0.00024446i,0.00014346+0.001629i,0.00012531+0.0014354i,8.4345e-05+0.000304i
-0.00098254+0.00070638i,0.00026557-0.00053682i,0.0011021-0.00099383i,0.0011298-0.001191i,0.0011659-0.0010794i,0.0012864-0.00054697i,0.0012783+0.00031937i,0.001037+0.000951i,0.00071186+0.00078872i,0.00039174+0.00099736i,2.0978e-05+0.00091495i,0.00085942+7.1714e-05i,0.0012865-0.00072586i,0.0010817-0.00081065i,0.001213-0.0010647i,0.00091833-0.0011459i,0.00087981-0.00070875i,0.00010489+0.00043558i,-0.0001056+0.0013187i,0.00053375+0.0010211i,0.00053345+0.0002798i,0.00034846-0.00095516i,0.00040475-0.0012265i
0.00019149-0.00020992i,8.0414e-05-0.0013393i,0.0015134-0.00088705i,0.0024617-0.00068171i,0.00050351-0.00061806i,-0.00066067+0.00062561i,9.0722e-05+0.0012321i,0.0004516+0.0010285i,0.00035997+0.00061796i,0.00096954-0.00026909i,0.00093235-0.00074954i,-0.0001992-0.001188i,-0.0010457-0.0011886i,-0.00055979-7.3899e-05i,0.00032917+0.00031617i,0.00017047-0.00016321i,0.00014096-0.00030633i,0.00031999+0.0001322i,0.00050928+5.3937e-07i,0.00023494-0.00039071i,-0.0003961-0.00023642i,1.926e-05+0.00021182i,0.00053933+0.0004024i
0.00032126-0.0034006i,-0.0013464-0.0021983i,-0.0013828-0.0017555i,-0.00058715-0.0019206i,-0.001061-0.00074872i,-0.0018751+0.00042806i,-0.0010814+0.0012181i,-0.00010947+0.0012849i,0.00019698+0.0012555i,0.00049555+0.00073782i,0.0003173+0.00045375i,-0.00037876+0.00038213i,-0.00074292+0.00032638i,-0.00025085+0.00037983i,0.00010568-0.00027233i,-0.00027597-0.0010104i,-0.0001618-0.0010036i,-7.2003e-05-0.00013246i,-0.0006969-0.00018563i,-9.6531e-05-0.00040405i,0.0005878-0.00032934i,0.00041136-0.00057068i,0.0001676-0.00017852i
0.00021548-0.00031386i,0.00074888-0.00040997i,0.00046719-0.0010604i,-0.000196-0.0021851i,-0.00061941-0.0023565i,-0.0006079-0.0010806i,-0.00024513-0.00064729i,0.00044262-0.00068024i,0.0011273-0.00031954i,0.00090248-0.00069754i,0.0002144-0.00084295i,0.00017816-0.00014854i,-0.00018863+0.00060324i,-0.00012231+0.00077415i,0.00092075-0.00014866i,0.00074005-3.4332e-06i,-0.00026782-7.5272e-05i,-0.00075793-0.00022223i,-0.00038339+3.1219e-05i,-0.00023987-0.00017841i,0.0001778-0.00065405i,0.00065286-0.00027886i,-0.0002599+0.00040271i
-0.001152+0.00044193i,-0.00081565+0.00073416i,0.0010119-2.8873e-06i,0.0018029-0.00038636i,0.0010916-0.00019398i,-0.00032804+0.00074198i,-0.00091567+0.0012125i,-0.00018029+0.00082541i,0.00080196+0.00050435i,0.0010047+0.000324i,0.0011188-0.00025672i,0.00086604-0.00097001i,-0.00056637-0.0010808i,-0.0011465-0.00014537i,-0.00056853-4.7411e-05i,-0.00015607-3.2666e-05i,-0.00015548+9.0082e-05i,-0.00020312+0.00055454i,0.00023487+0.001022i,0.00058451+0.00085033i,0.00076858+0.00036259i,0.00098433-0.00078348i,0.00051566-0.00088549i
-0.00036632-0.0016253i,8.6679e-05-0.0017386i,0.00085892-0.0016453i,0.00056322-0.0014419i,-0.00042781+0.00026144i,-0.00048888+0.0019611i,2.3292e-05+0.0023528i,0.00067714+0.0014471i,0.00085361+0.00014706i,0.00036456-3.3212e-05i,-0.00018232-0.00035896i,0.00019277-0.00045863i,0.00096156-0.00016851i,0.001757-0.00063053i,0.0022245-8.1708e-05i,0.0014726+0.00059786i,0.00080472-4.4372e-05i,0.00037031-0.00073454i,-0.00058472-0.0010584i,-0.00048962-0.00038078i,0.0001855-0.00028272i,-0.00014156-0.00067089i,0.00011349-0.00073778i
0.00069647-0.0010484i,0.00075891-0.00083146i,0.00075553-0.0011547i,0.00053686-0.0017222i,-0.00047953-0.0013031i,-0.0010786+6.6344e-05i,-0.00090776+0.0014713i,-0.0003953+0.0018187i,-0.00012396+0.0016886i,0.00033054+0.00097117i,0.00025716+0.00041248i,0.00014271+0.00062802i,0.00044236+0.0010999i,-5.4862e-05+0.00074719i,3.7566e-07-0.00041403i,0.00024944-0.00065419i,0.00062836+0.00034933i,0.00043718+0.000341i,0.00038798-0.00018009i,0.00029662+0.0001933i,-0.00083309+0.00017841i,-0.0010267+0.00024212i,-0.00094221-0.00012005i
0.00055473+0.0022172i,0.0014328+0.0011372i,0.0043704+0.00042052i,0.0049772-0.0007605i,0.0024095-0.0016139i,0.00067347-0.00039161i,0.00055819+0.00067939i,0.0010582+0.000649i,0.0020045+0.0011816i,0.0018566+0.000703i,0.00023069-0.00068584i,-0.00063916-0.00075864i,-0.001019-0.00041642i,-0.001039-0.00046065i,-0.00010687-0.00050488i,0.00028996+8.3921e-05i,0.00042682+0.00075116i,0.00048016+0.00077139i,2.1353e-05+0.00041209i,0.00025785+0.00017142i,0.00065632+8.2681e-05i,0.00096318-0.00058889i,0.0009142-0.00038846i
0.00089321-0.0016589i,0.0004672-0.0017936i,0.00085724-0.0022489i,0.0012755-0.0015661i,0.00021085-0.001213i,-0.0011629-0.00035505i,-0.00055167+0.00089648i,0.00032578+0.001211i,0.00027188+0.00025523i,0.00035885+0.0001239i,0.00056199+0.00020238i,0.00020998+0.00015411i,5.8585e-05+0.00016853i,0.00026473-0.00014868i,-4.1015e-06-2.0267e-05i,-4.0339e-05-0.00015913i,0.0002786-0.00085925i,1.0597e-05-0.00073694i,0.00012198-0.00055709i,0.00068068-0.00049309i,0.0003951+0.00020604i,-4.7e-05+0.00022759i,-0.00030896-0.00030065i
0.0011223+0.00051035i,0.00088348-0.0008201i,0.0018168-0.001735i,0.0019254-0.0018706i,0.0010276-0.0018093i,0.00069115-0.00015231i,0.00092047+0.0015171i,0.00017184+0.0012034i,-0.00059936+0.0010392i,-0.00054785+3.6554e-05i,-0.00038736-0.0010489i,-0.00054007-0.00069924i,-0.00085015-0.00040175i,-0.00040581-2.7304e-05i,0.00042058+0.00010643i,0.00032915-0.0004927i,0.00026028-0.0012745i,-0.00023751-0.0010637i,-0.0010382-0.00072938i,-0.0011198-0.0010389i,-0.00028519-0.00032532i,0.00039823+0.00089041i,-0.00032728+0.00090325i
0.00036353+0.0021487i,0.0014101+0.0015174i,0.0024848+0.00062207i,0.0028354-0.00075669i,0.0023182-0.0012834i,0.0011835-0.00017133i,0.00060043+0.00058254i,0.00016468+0.00064797i,-0.00028147+0.00059805i,-0.00027037+0.000894i,-0.00028518+0.00081706i,-8.1579e-05+3.1129e-06i,-0.00019719-0.00034463i,-0.00096364+3.9915e-05i,-0.0012185-0.00034932i,-0.00047342-0.00064372i,-0.00024258-0.00026116i,-0.00045089+8.3467e-05i,9.1128e-05+0.00027199i,0.00049614+0.00012093i,0.00037009+0.00013718i,0.00010198+0.00017322i,9.6094e-05-0.00019724i
-0.00091913-0.00026389i,-0.00085916-0.00056943i,-0.00095012-0.0009479i,-0.00014473-0.0016486i,0.00069451-0.0012494i,0.0004419-0.00025883i,0.00059437+0.00046891i,0.0012587+0.0011495i,0.0010285+0.0019i,0.00093349+0.0017247i,0.0011191+0.00085759i,0.00040716+0.0001861i,8.6776e-05+0.00039987i,0.00022588+0.00030695i,0.00067817-0.00052364i,0.00052654-0.0003014i,-0.00037434-1.2414e-05i,-0.0011431+0.00019611i,-0.00096385+0.00043643i,-0.00043449-4.9908e-05i,-0.00025095-0.00033833i,0.00046395-0.00047149i,0.00043276-0.00064127i
0.00095778-3.8786e-05i,0.0004351-9.7796e-05i,0.0013743-0.00063476i,0.0011238-0.0026128i,-0.00053835-0.0033987i,-0.00085235-0.0013065i,-8.0195e-05+0.00036463i,0.00059533-5.1461e-05i,0.0011336+0.00017319i,0.00080394+0.00050519i,0.00029641+0.00027608i,5.563e-05+0.00023861i,-0.00031098+0.00040008i,0.00052669+0.00045453i,0.00078544-0.00019383i,0.00034623-0.00061395i,-0.00028662-0.00024555i,-0.00079303-0.00016515i,-0.00016262-0.00032022i,0.00030516+0.00017137i,-7.9456e-06+0.00086679i,-0.00027238+0.00078487i,-0.00031853+0.00047587i
0.0017241-0.00061848i,0.0026768-0.00072508i,0.0023127-0.0011176i,0.0010411-0.0017607i,-0.0011513-0.0016159i,-0.001691+0.00061062i,-0.00037111+0.0018429i,0.00066634+0.0010061i,0.0011054-0.00017706i,0.0010665-0.00018033i,0.00084504+0.00012094i,0.00088522-0.00027265i,-0.00014992-3.002e-05i,-0.00080475+0.00049924i,-0.00010069+0.00037241i,0.00021597+0.0005265i,0.00021172+0.00048858i,-4.9223e-05+6.1957e-05i,-0.00043505+2.2437e-05i,-0.00074209+0.00016032i,-0.00036035+0.00023519i,0.00034028+2.6529e-06i,4.6529e-05+0.00044063i
3.1393e-05+0.0014861i,0.00041028+0.00069938i,0.0014151-0.00022235i,0.0023638-0.0013265i,0.0016001-0.002154i,0.00026153-0.0017296i,0.00076673-0.00049063i,0.00097051+0.00070017i,0.00068037+0.00091191i,0.00084049+0.00082581i,3.0752e-05+0.00082847i,-0.00044878+0.00019549i,-0.00026365-2.497e-05i,-0.0004452+0.00028997i,-0.00052779+2.9019e-05i,-0.00090212-0.00018236i,-0.00087021-0.00020537i,-0.0002414-0.00025074i,3.3293e-05-0.00042416i,0.00028801-0.00031158i,0.00011801-3.9761e-05i,-0.00052374-0.00045484i,-0.00021918-0.00073062i
-0.0005385+0.00034188i,-0.00037848-0.00017346i,0.00012912+9.4692e-05i,0.0011054+2.8711e-05i,0.0012628-0.00011557i,0.0009858+0.00030784i,0.00086057-0.00035694i,0.00046494+0.00011487i,0.00029945+0.00083524i,0.00046338+0.00047237i,0.00017703-0.00015009i,0.00016895-0.00078482i,0.00021856-0.00080265i,0.00026092-0.00047376i,0.0011132-0.00058112i,0.00099081-0.00065965i,6.7177e-05-2.4835e-05i,-0.00036649+6.404e-05i,-0.00016766+0.00044059i,1.1921e-05+0.001013i,0.00046903+0.0002786i,0.00050293+4.8682e-06i,-9.6976e-05-0.00031539i
3.6502e-05-0.001753i,2.0459e-05-0.001064i,-0.00031733-0.0016677i,-0.00054154-0.0024089i,-0.000179-0.0013131i,0.00021537+0.00072343i,0.00020723+0.0015568i,-9.3518e-05+0.00083678i,0.00022971+0.00014748i,0.0007343-1.0425e-05i,0.0011006-0.0001087i,0.00044396-0.00019623i,-0.0010386-0.00067835i,-0.0010653-0.0010382i,0.00037333-0.0008344i,0.00055725-0.00098363i,-0.00031066-0.0013723i,-0.00068572-6.6321e-05i,-0.00023631+0.00075736i,-0.00019122+9.1188e-06i,-0.00010545-0.00034137i,0.00037358-8.135e-06i,-0.00050812+0.0002153i
-0.0001895-0.0010586i,-0.00020567-0.00054854i,0.0005171-0.0019312i,0.00077059-0.0019796i,0.00041963-0.00021063i,0.00027+0.0012269i,0.00053218+0.0017502i,-0.00011188+0.001775i,-0.00048497+0.001757i,-0.00041184+0.0011277i,-0.00042131+0.00034855i,-0.00022272+0.00032286i,0.00011617+0.00020674i,0.00036563-0.00073706i,0.00022836-0.00072137i,-0.00033161-0.00019562i,-0.00065231-0.00034007i,-0.00035069+0.00035789i,0.0001314+0.00067946i,0.00051073+0.00074357i,0.00060876+0.00066424i,0.00017402+0.00034597i,-0.00020325+0.00010341i
0.0021011+0.001397i,0.0038909+0.00014414i,0.0046608-0.0007896i,0.0044049-0.0014453i,0.0029322-0.0018678i,0.0010029-0.0012524i,0.00049394-0.00024892i,0.0010544+0.00064589i,0.00098861+0.0013985i,0.001227+0.0012578i,0.00090183+0.00028456i,-0.00029757-0.00070797i,-0.00098086-0.00040126i,-0.001013+5.6299e-05i,-0.00082784-0.00041199i,0.00015907-0.00060397i,0.00045669-0.00082597i,-0.00042312-0.00075545i,-0.00095739-0.00046382i,-0.00020416+0.00010124i,0.00061081-0.00012099i,0.00062372-0.0010039i,0.00037811-0.00068325i
-0.00084072-0.00064963i,0.00022568-0.001099i,0.0016978-0.0014296i,0.0012595-0.0011706i,0.0010566-0.0013746i,0.00062219-0.00093196i,-4.0797e-05+5.784e-05i,0.0006076+0.00054726i,0.00044754+0.00099797i,-0.00016413+0.0010012i,-0.00010394+0.00077713i,-0.00076177+0.00042807i,-0.0012321-0.00032802i,-0.00071181+0.00031525i,-0.0001514+0.00064932i,-0.00021658-2.8471e-05i,-0.00053087-7.3165e-05i,-0.0011328+0.0002363i,-0.00065469+0.00072621i,-2.4082e-05+0.00041385i,-5.3147e-05+0.00025553i,0.00024213+0.00037592i,0.0006083-0.00024561i
-0.0012166+0.0004383i,-0.00048174+0.00021269i,0.0008149-0.0013115i,0.0012241-0.0022484i,0.00056291-0.0014815i,-0.00036418-0.00036776i,0.00012461+0.00024201i,0.0014035+0.00088085i,0.0018188+0.00064312i,0.0018203-0.0004867i,0.0017833-0.00066788i,0.00098437-0.00055694i,4.7673e-05-0.00078461i,-0.00057567-0.00091431i,-0.00030594-0.00065649i,0.00045753-0.00012818i,0.00053581-0.00026307i,-0.00022264-8.3048e-05i,-0.00065531-0.00020187i,-0.00033745+2.7964e-05i,8.3066e-05+0.00039093i,-0.00050117+0.00030762i,3.1253e-05+0.00042954i
0.00098499+0.0015874i,0.0027078+0.00081505i,0.0034736-0.00061806i,0.0028216-0.0016712i,0.0017733-0.0014611i,0.00030549-0.0012825i,-0.00023676-0.00017562i,-5.5476e-05+0.00049993i,0.00019961+9.5373e-05i,0.00031723+1.5862e-05i,0.00021694+0.0001158i,0.00063728-0.00032493i,0.00062118-0.0011286i,-0.00013458-0.00076864i,-0.00024686-0.00011083i,0.00013501+0.00018197i,1.5681e-05-0.0001094i,-0.00033216-5.5587e-05i,0.00024485+0.00072398i,0.00069488+0.0012712i,0.00055086+0.00056041i,0.00018593-0.00038588i,-0.00016383-0.00053454i
-0.00085367+0.00083402i,0.00077022+5.4038e-05i,0.0028666-0.0001818i,0.0037445-0.00027226i,0.0028585-0.00060706i,0.0014493+4.8408e-05i,0.00069989+0.00068751i,0.00044442+0.0010182i,0.0003062+0.00075838i,0.0009942+0.00012488i,0.00096257+0.0001616i,-0.0002953+1.2588e-05i,-0.00017372-0.000601i,0.00033203-0.00072559i,0.00018232-0.00074808i,0.00019679-0.00089187i,1.9744e-05-0.0006941i,-0.00039352-0.00096716i,-0.00027864-0.0013256i,-0.00035859-0.0007969i,-0.00054067-0.00054898i,4.7705e-06-0.00029759i,0.00010029-0.00042069i
0.00060814-0.00070861i,0.0014871-2.0408e-05i,0.0011337-0.00099623i,0.00060043-0.0016341i,-0.00021669-0.00079058i,-5.327e-05+0.00059214i,0.0013416+0.0017378i,0.0014278+0.0017316i,0.0013582+0.00090332i,0.00091311+0.00041366i,5.7713e-06+3.3565e-05i,5.0776e-05+0.00012907i,0.00048316+0.00050986i,0.00073715+0.00065752i,0.00045378+0.00063663i,-0.00036778+0.00059782i,-0.0013059+0.00026178i,-0.00093695-2.5847e-05i,-0.00088856-0.00046831i,-0.0013248-0.00075398i,-0.00064477-4.2294e-05i,-0.00024959+0.00046833i,-0.00060569+0.00030693i
-0.00098695-0.0012424i,-0.0011583-0.00069797i,-0.0011056-0.00033936i,-0.00096153-0.00097634i,-0.00070658-0.0014026i,-0.0005123-0.00039227i,-0.00019401+0.0009405i,0.0010623+0.0013671i,0.0017362+0.00040006i,0.0010533+7.4255e-05i,0.00061491+0.00025773i,0.00028707+0.00057539i,0.00044061+9.9601e-05i,0.00057728-0.00077666i,-0.00011743-0.0009058i,3.791e-06-0.00073627i,0.00059049-8.5658e-05i,-5.4533e-05+0.00047328i,-0.0001078+0.00029888i,0.00041918+0.00023666i,0.00030842+0.00012701i,0.00011507-4.0657e-05i,0.0002449-0.00034461i
0.0010051-0.0020356i,0.00080039-0.0021072i,0.0012718-0.0022075i,0.0013034-0.0022294i,-0.00035403-0.0014177i,-0.0016348+0.00051995i,-0.00057039+0.0014161i,0.0003887+0.0018191i,0.00064941+0.0017107i,0.00060432+0.00060864i,-0.00020557+7.303e-05i,-5.6918e-05+5.5471e-05i,-4.462e-05-9.1475e-05i,7.2201e-05+0.00046326i,0.00093072+0.0010827i,0.00097863+0.00042736i,5.6661e-05-0.00065347i,-0.00055607-0.00050005i,-0.00020728+0.00011093i,0.00016006+0.0003962i,0.0004961+0.00044745i,0.0007821+0.00077318i,0.00020657+0.00086369i
