0.001245+0.00067153i,0.0012904-0.0011018i,0.001263-0.0021942i,0.00011189-0.0023152i,-0.00056803-0.0014632i,-0.00084995-0.00017692i,-0.0010945+0.00068369i,-0.00050641+0.0015315i,-9.5383e-05+0.0010435i,0.00060648-0.00035142i,0.00046283-0.00074733i,-0.00074805-0.00055937i,-0.00095626-0.00043896i,-0.0006264-0.00067305i,-0.00083645+0.00012271i,-0.0009189+0.0010851i,-0.00049768+0.00049595i,-0.00065853+3.1062e-05i,-0.00046286-0.00038311i,8.3389e-05-0.00062539i,0.00099559+8.5303e-05i,0.0017367+2.6768e-05i,0.0012308-5.291e-05i
0.00051922+0.0011224i,0.00022538+0.0003437i,0.0009721-0.00076721i,0.0017483-0.0013176i,0.0017717-0.0014327i,0.00063313-0.0010429i,0.00062303+8.5659e-05i,0.0011194+0.00041972i,0.00073261-0.00053015i,0.00031876-0.00043677i,0.00046362+0.00011495i,0.00042155+0.00081779i,0.00044791+0.0015404i,0.00089178+0.0009209i,0.00063885-8.2322e-06i,0.00079681-0.00069089i,0.0011565-0.0007629i,0.00097401-0.00038735i,0.0002439-7.7757e-05i,-0.00042801+5.8044e-05i,-0.00021075-0.0002772i,0.00057133-0.00033848i,0.00023883+0.00025857i
-0.00055481-0.0022505i,-0.00013746-0.0010531i,-0.00054164-0.00036532i,-0.0015806+0.00037921i,-0.0026763+0.00080169i,-0.0028383+0.00049936i,-0.0014847+0.00020106i,-0.00069647+6.2617e-05i,-0.00093392-0.00035731i,-0.00026166-0.0006568i,0.00029027-0.00069872i,-8.2044e-05-0.00081216i,-5.3078e-05-0.00033052i,-0.00066448-0.00046073i,-0.00037913-0.00045598i,0.00077468+0.00031744i,0.00089864+0.00041851i,0.00070079+0.0003621i,0.00021972+0.00050171i,-0.00028875+0.00039912i,-0.00054255-8.5059e-05i,-0.00050599-0.0005545i,-0.00018375-0.00042104i
0.00015582+0.00024119i,8.8383e-05+0.00020456i,-0.00012682-0.00057851i,-0.00065527-0.0013791i,-0.00040213-0.00177i,-0.00036881-0.0014307i,0.00022139-0.000471i,0.00068285-0.00019982i,0.00028386+4.0635e-05i,-8.4216e-05+0.00044337i,-0.00015262+8.6252e-06i,0.00053109+0.00025782i,0.00094567+0.00055789i,0.00028135-1.0008e-05i,-0.00031084-0.00027891i,-0.0002328-0.00021276i,-0.00032618+0.00072039i,-0.00067621+0.00097434i,-0.001069+0.00029556i,-0.0011082-2.7109e-05i,-0.00049463-0.00010255i,-0.00014777+0.00028763i,-0.0003586+0.00078456i
0.00033692-0.00044988i,-0.00046184+6.4014e-05i,-0.00084719+0.00011988i,-0.0012055-9.991e-05i,-0.00091105-0.00016611i,-6.5333e-05-0.00029345i,0.00057845-0.00037391i,0.00049198-0.00011201i,0.00074297+0.00015375i,0.00055623+0.00036812i,0.00043662-6.1513e-06i,0.0004736+0.00013056i,-0.00022213-8.3016e-05i,-0.00086712+0.00035326i,-0.00041166+0.00020868i,0.00015408-0.0002554i,0.00022785+2.8836e-05i,0.00013806+0.00012476i,-0.00047399+0.00017361i,-0.00062194-0.00025846i,2.0929e-05-0.0003526i,0.00023737-0.00032379i,-0.00037415-0.00055148i
0.00023463-0.0015838i,-0.0001603-0.0019459i,-0.0013765-0.0018842i,-0.0024593-0.0019522i,-0.0028206-0.0020399i,-0.0028002-0.0011962i,-0.0018056-0.00019731i,-0.00083492+0.00049752i,-0.00067186-0.00024981i,-0.00069579-0.000391i,1.3549e-05+0.00012676i,0.00011757+0.00015869i,-0.00027138+0.00023777i,-0.00032842+0.00030899i,4.1463e-05+0.0001738i,0.00055722+0.00015695i,0.00042314+0.00080504i,0.00030646+0.00074214i,0.00048061-0.00021703i,0.001058-0.00041068i,0.00098418+1.4687e-05i,9.467e-05-0.00018118i,-0.00050508-0.0001113i
-0.00069453-0.0011938i,0.00095219-0.0006545i,0.0016041+0.00011425i,0.00084452-0.00017226i,-9.1948e-05-0.00046537i,-0.0003056+5.4255e-06i,-3.4001e-05-0.00038749i,0.00049165-0.00077758i,0.00094803-0.00052192i,0.00043666+0.00042153i,0.00024274+0.0015001i,0.00083671+0.00092358i,0.00090653+0.00074931i,0.00077305+0.0010579i,0.00093144+0.00031066i,0.00011003-0.00041023i,-0.00053808-0.00014349i,0.00013472+0.00017327i,0.00044571+0.00024192i,-0.00016653-0.00013821i,2.2207e-05-0.00096169i,0.00068817-0.00032723i,0.00071573+0.00015271i
-0.00014235-0.00070807i,0.00037971-0.0003705i,-0.00021564-7.7608e-06i,-0.0018974-5.1138e-05i,-0.0027347-0.0011989i,-0.0022889-0.0017318i,-0.001013-0.00027239i,-3.7933e-05+0.00022534i,0.00069165-0.00017513i,0.00054902-0.00047306i,0.00011919-0.00027794i,0.00031206-0.00022428i,0.00017255-0.00037659i,-0.00077973+0.00010401i,-0.0011171-0.0001014i,-0.00021508-6.2939e-05i,-0.00014303+0.00036498i,-0.00075624+0.00061008i,-0.00087879+0.00047764i,-0.00041657-0.00011349i,-0.00042605-2.3122e-06i,-0.0001701-0.00030156i,0.00011335-0.00071616i
0.0011173+0.00040071i,0.00088544+0.00050471i,0.00086899+0.00014562i,0.00098319-0.00040589i,0.00015446-0.0015179i,-0.00029328-0.0012046i,0.00052121+0.00031163i,0.00059754+0.00063363i,0.00010403+0.00029864i,5.0925e-05-9.6234e-05i,0.00038346-0.00028217i,5.4732e-05-0.00036073i,1.0386e-07-6.7603e-05i,0.00037635-0.00026863i,0.00022696-0.00027837i,0.00043493-0.00027922i,0.00061726-0.00014846i,0.00056948-3.1831e-05i,0.00046563-0.00013007i,0.00032829+0.00042994i,-0.00020077+0.00021915i,-0.00082483+0.00057865i,-0.00061661+0.0012088i
-0.0012521-0.0011564i,-0.00010516-0.00069976i,-8.5546e-05-2.0067e-05i,-0.00055845+0.00041813i,-0.00031839+0.00054317i,0.00079626+0.00037134i,0.0012934+0.00062989i,0.0010909+0.00054361i,0.00047302-4.5602e-06i,-0.0002772+3.774e-05i,-0.00070631+0.00057037i,-0.00071173+9.0397e-05i,-0.00028354-0.0005297i,0.00021603-0.00023582i,0.00022446+0.0003333i,-0.0007115+0.00011849i,-0.00080527+5.445e-05i,-0.00019914+0.00074854i,-0.00032206+0.00096833i,-0.00020653+0.00033208i,0.00025429-0.0004979i,0.00023253-0.00067453i,7.5288e-05-0.00028011i
0.0018297-0.00073557i,0.0018624-0.00088781i,0.00111-0.0016676i,-0.00070922-0.0018787i,-0.0012665-0.0016712i,-0.0004554-0.00077323i,0.00024699-0.00087804i,0.0010479-0.0010259i,0.00088039-0.00032727i,0.00035898+1.7406e-05i,-1.5243e-05+9.2622e-05i,-0.00011365+0.00087367i,0.00034911+0.00080463i,0.00051205-0.0001624i,0.00055455-0.00038106i,0.00027576-0.0002196i,6.737e-05-0.00022581i,0.00049556-0.00029883i,0.00030939-0.0007567i,3.1142e-05-0.00061839i,0.00030658-0.00048314i,8.7151e-05-0.00077243i,-4.8945e-05-0.00049005i
0.00037413+3.2344e-05i,-0.0005332-0.00059275i,-0.0019384-0.001223i,-0.0018222-0.0014322i,-0.00087922-0.00044714i,-0.00062228-0.00023096i,-0.00055343-0.00052424i,-0.00013317-0.0010719i,0.0001255-0.0014163i,8.6483e-05-0.00019828i,-0.00068358+0.00041873i,-0.0004802-1.1103e-05i,0.00061385-0.00015167i,0.0011497-5.7349e-05i,0.0012652+0.00052049i,0.00059707+0.00038233i,0.00014298-0.00048764i,0.00036231+9.24e-05i,0.00029915+0.00089956i,0.00010015+0.0004392i,-0.0002868-0.0002854i,-0.0003086-0.0011921i,0.00029271-0.0011547i
-0.0012198-4.6377e-05i,-0.00060215-1.5306e-05i,4.0195e-06+5.4852e-06i,0.0003896-0.00046728i,0.00076484-0.00070922i,-5.3784e-06-0.00035143i,0.00012632+0.00058514i,0.00035091+0.00046325i,-0.00093036-0.00044158i,-0.0011702-0.00021816i,-0.00014348+0.0011185i,0.00062009+0.0013577i,0.00046654+0.00024896i,-0.00023209-0.00084491i,-0.00060049-0.0011086i,-0.0004546-0.00089502i,0.00010427-0.00078671i,0.00049424-0.00023776i,5.587e-05+0.00017219i,-0.00043587-4.238e-05i,-0.00054159-0.0004886i,-0.00030347-0.00055595i,-9.4545e-05-0.00041749i
0.00086975+0.0010957i,0.00060385+0.0012525i,-0.00021925+0.00084012i,-0.00088574+0.00071619i,-0.00048371-0.00048593i,4.5324e-05-0.00094825i,-0.00043321+0.00030848i,-0.00022766-1.0233e-05i,0.0005717-0.00072746i,-0.00018847-0.00037293i,-0.00065973-1.5125e-05i,-0.00026687+0.00022246i,0.000568-0.00033188i,0.00023815-0.00076386i,-0.00014168-3.0765e-05i,0.00018581-0.00024635i,0.00032707-0.00076576i,0.00056727-0.00025592i,0.00018939+2.9123e-05i,0.00030996+0.00042636i,0.00026929+0.00053686i,0.00012222+8.1962e-05i,0.00025753+7.8788e-05i
-4.0256e-05-0.00073253i,-0.00076349-0.0011567i,-0.00085363-0.0018862i,-0.00083188-0.00078021i,-0.0013239+0.00061603i,-0.0024399+0.0013173i,-0.0015864+0.00087527i,-0.0010057-1.7476e-05i,-0.00064005-0.00041927i,0.00030174-0.00083882i,0.00025656-0.00099987i,0.00018964-0.00023483i,0.00061971+0.00079127i,0.00084132+0.0008014i,0.00040566+0.00017468i,0.00070124-0.00054823i,0.00056644-0.00074013i,-0.00046969-0.00063033i,0.00017661-0.00058169i,0.00061852+0.00010714i,-0.00018931+0.00010553i,-0.0005428+0.00038332i,-0.00053973+0.00075159i
0.0014996-0.00067891i,0.001997-0.0014142i,0.0018159-0.0029114i,0.00071912-0.0031662i,-0.00046643-0.002092i,0.00023778-0.0010759i,0.00095576-0.00094787i,2.7929e-05-0.0011145i,-0.00025414-0.00019401i,3.024e-05+0.00041102i,5.8529e-05-2.4497e-05i,-0.00048817-0.00050853i,-0.00068641-0.00035851i,0.00015869+0.00016936i,0.00021993+0.00030154i,-7.9753e-06-1.9398e-05i,0.00018205-0.00067498i,1.1381e-05-0.00033197i,-9.161e-05+5.5817e-05i,-0.00038898-0.00046009i,-9.1352e-05-0.00026389i,0.00045345+0.000206i,0.00017929-0.00029766i
-0.000117-0.00029298i,-0.00054953+0.0001262i,-0.00081693+0.00097361i,-0.0011618+0.0017761i,-0.0015551+0.0011665i,-0.00085385+0.00093244i,-0.00023216+0.00079099i,-0.00043375-0.0006799i,-0.00016351-0.001121i,0.00030278-0.00053576i,0.00051059-7.4183e-05i,0.00027247+6.543e-05i,-0.00035676-0.00029104i,-0.00025737-0.00070729i,0.00012614-0.00052627i,0.00094191-0.00057683i,0.00092052-0.00027495i,0.00010405-0.00022055i,2.5056e-05-0.00063797i,0.0001399-0.00062525i,0.00065855-0.0005474i,0.00074329-0.00035255i,0.00063911-0.00078524i
-0.0019283-0.00099413i,-0.00068101-0.00076163i,-0.00047301+0.00057923i,-0.00036425+0.0015099i,0.00080738+0.0012315i,0.0012992+0.00064614i,0.0010029-0.00050878i,-0.00022781-0.00083917i,-0.00079643-0.00031191i,-0.00049417-0.00019916i,-0.00046687-0.0003518i,8.966e-05-0.00010088i,0.00049508-0.00027169i,0.00062889-0.0011447i,0.00012636-0.0011384i,-0.00036048-0.00065807i,0.0002438+0.00013081i,0.0009737+0.00042811i,0.00079157+0.00058224i,0.00011101+0.00098902i,0.00026102+0.00099283i,-0.00016377+0.00070031i,-0.0006276+0.00031964i
0.00055132+0.00066492i,0.00061068+0.00045477i,0.00039873-0.00064649i,0.00062888-0.00085264i,0.00072912+2.6617e-05i,0.0010496-0.00019683i,0.0012658-0.0005442i,0.0006933+0.00058029i,0.00036956+0.00044679i,0.00028959-0.00055478i,1.1068e-05-0.0002448i,0.00024636+0.00058935i,0.00061441-7.1674e-05i,0.0006631-0.00044821i,0.00048007+5.8232e-05i,-0.00018691+0.00056964i,-0.00014728+0.00089148i,5.0876e-05+5.4427e-05i,-0.00047786-0.00041535i,-0.00072135-7.5537e-05i,-0.00078576+0.00041384i,-0.00066454+0.00048683i,8.1038e-05-0.00023423i
-0.00019538-0.0013917i,0.00024246-0.0010245i,2.4823e-05-0.0015813i,-0.0011441-0.0019949i,-0.0017004-0.00098268i,-0.0010358-0.00013654i,-0.00029798-0.00077863i,-0.00018562-0.00096639i,8.3003e-05-0.00027289i,-0.00035212+0.00030426i,-0.00088897+0.00062484i,-0.00016356+0.00038728i,0.00069567-0.00015256i,0.00068106-0.00010028i,0.00031827-0.00020567i,4.3861e-05-0.00056856i,8.2385e-05-0.00029203i,0.0002538+0.00034264i,0.00017303+5.8967e-05i,1.832e-05-0.00034182i,0.00051302+0.00015666i,0.00058595+0.00030607i,0.00045845+0.00015415i
-0.00049533+0.0007894i,-0.00047811+0.0012801i,-0.00085273+0.00099847i,-0.00116+0.00034195i,-0.0014386-0.00035378i,-0.0011047-0.00072332i,-0.00016846-0.00019934i,0.00017793-0.00037232i,-3.4995e-05-0.00077583i,0.00012786-0.0008083i,0.00075007-0.00019358i,0.0012557+0.00060331i,0.0013924+0.00028414i,0.00074561-0.00012864i,0.00070932-0.00013231i,0.0010223-0.00018027i,0.00056576-9.2679e-05i,-0.00013789+0.00011535i,2.2071e-05+0.00062166i,0.00054566+0.00081981i,0.00043657+0.00038572i,-4.5723e-05+0.00058727i,-0.00087655+0.00030419i
-0.0010023-8.6327e-05i,-0.00074194-0.00063773i,0.00021207-0.00035093i,0.00074326+6.3732e-05i,0.00041794+0.00031986i,-0.00020399-0.00016426i,-0.00042959-0.00037945i,-0.000663-9.7484e-05i,-0.00046387+0.00011957i,0.0001222+0.00066935i,0.00015688+0.0010884i,0.00026473+0.0003966i,0.00028004+0.00026979i,-0.00022123+0.00084116i,-0.00026498+0.00042971i,0.00027368-0.00043576i,0.00067692-0.00093099i,0.00048172-0.00045311i,0.00041886-1.0534e-05i,0.00063721-0.00025656i,0.00024987+0.0002624i,0.00037082+0.00085978i,5.8196e-05+0.0009086i
0.0010541-4.2033e-06i,0.00058142+0.00072267i,0.00021931+0.0002004i,0.00027586-5.4534e-05i,0.00022719+0.00032871i,0.00027735+2.2578e-05i,0.00041198+4.2499e-05i,0.00042369+1.7092e-06i,-0.00037975-0.00013007i,-0.00082269+0.00022098i,-0.00022165+0.00057804i,0.00043016+0.00011491i,0.00014384-0.00049532i,0.00049232-0.00017018i,0.00072629+0.0005704i,0.00044484+0.00043167i,0.00048198+0.00039621i,0.0001533-1.5617e-05i,-0.00061626-0.00030127i,-0.00041839-0.00021248i,0.00033016+0.00039871i,0.00049667+0.00080982i,0.00052436+0.00041385i
0.0013799+0.00096924i,0.00078159+0.0009669i,-0.00040033+0.00053024i,0.00010214-0.00067599i,0.00020579-0.00063335i,-0.00062918-0.00032415i,-0.00011879-0.00026404i,0.00045176+7.1663e-05i,-6.4597e-05+0.00061607i,-0.00050267+0.0010156i,0.00022258+0.00062076i,0.00032176-0.00031719i,-0.00019324-0.00082318i,-0.00037644-0.00077194i,-0.00017052-0.00047556i,0.00061143+2.5843e-05i,0.0007398+0.00016323i,-0.00016717+2.0241e-05i,-0.00048157-0.00028493i,2.1801e-05+0.00030818i,5.8841e-05+0.00053916i,-0.00036033+0.00010294i,-0.00023221+4.229e-05i
0.00068605+0.00088033i,0.00055188+0.00023365i,0.00042933-0.0010998i,-0.00040673-0.0018313i,-0.0015768-0.0019495i,-0.0019358-0.0014099i,-0.0016578-0.00058659i,-0.00056714+0.0001044i,0.00060214+0.0007106i,0.00085577+0.00069068i,-9.4749e-05+0.00013215i,5.3483e-05-0.00025592i,0.00084231+0.0003111i,0.00017709+0.00025883i,4.7295e-05-0.00034626i,0.00021238-0.00034686i,0.00036892+5.1704e-05i,0.00042576+0.00058071i,0.00012889+0.00064425i,-0.00025186-0.00062675i,-0.00068177-0.0004636i,-0.00021635+0.00032452i,0.00083684+0.00060403i
-0.001636+0.00069914i,-0.00049036+0.00017365i,0.00041545+0.0010069i,0.00078231+0.001617i,0.0016545+0.00089774i,0.0016622-0.00043241i,0.00054698-0.00078928i,9.9977e-05-0.00067121i,1.9308e-05-0.00026875i,-0.00035616+0.00023824i,-0.00058281+0.0005666i,-0.00021346+0.00078318i,-0.00018056+0.00041208i,-0.00085482+0.00010326i,-0.0012064+0.00027541i,-0.0012858-9.6636e-05i,-0.00045256-0.00022696i,0.00040576-0.00010997i,-0.0001227+2.0307e-05i,-0.00030965+9.4673e-05i,0.00041349+3.7153e-05i,0.00050517-0.00055817i,-1.3309e-05-0.0012389i
0.0004245-0.00055145i,7.6304e-05+0.00013812i,-0.00095462-0.0009322i,-0.0013139-0.0018838i,-0.0023269-0.0016404i,-0.0027802-0.00026175i,-0.00095036-1.2675e-06i,0.00054995-0.00027497i,9.3364e-05-0.00072646i,-0.00074918-0.00024827i,-0.00086019+0.0001923i,0.0002897-6.8633e-05i,0.00099912-3.6783e-05i,-4.5885e-05+4.6107e-05i,-3.8111e-05-0.00012883i,0.00019026-0.0004889i,1.5964e-05+0.00036553i,-4.4777e-05+0.0017936i,-0.0004448+0.00089792i,-0.0001341-0.00054691i,-1.1861e-05-0.00092591i,-0.00026373-0.001176i,-0.00026494-0.00090259i
-1.1591e-05-0.00014772i,0.00061974-0.0012056i,0.0014157-0.0012555i,0.00059643-0.00094218i,-0.00096431-0.00061759i,-0.0014575+8.6882e-05i,-0.00091545+0.00025355i,-9.7294e-05-0.00047374i,7.4149e-05-0.00027204i,-0.00082592+0.00069371i,-0.00052929+0.00082939i,5.1117e-05+0.0010675i,2.1062e-05+0.00086637i,0.00020047-0.0001067i,7.5928e-05-0.00045253i,-0.00028909-0.00047721i,8.9187e-05-0.0003045i,0.00047616-0.00013702i,0.00044201-0.000602i,0.00053775-0.00083334i,0.00051966-0.00030139i,0.00031388+0.00075814i,0.00054005+0.00034552i
-0.00068014-0.00018252i,-0.0010884-0.00030319i,-9.342e-05+0.0006507i,0.000629+0.00045686i,0.00026507+0.00020626i,-0.00013491-0.0003932i,-9.4893e-05-0.0011569i,3.1022e-05-0.0012462i,0.00013701-7.7422e-05i,3.0218e-05+0.0011585i,-0.00022744+0.00078788i,0.00014389+0.00041105i,0.0011823+0.00069337i,0.00088172+0.00085041i,-0.00039262+0.00072306i,-0.00015269+5.9405e-05i,0.00025904-0.00045988i,0.00059177-0.00026581i,0.00099495-0.00021408i,0.00061696-0.00039086i,0.00074027-0.00053952i,0.0003775-4.1294e-05i,-0.00017221+0.00074257i
-0.00050654+0.0002875i,0.00010993-0.00044726i,0.00069471-0.0004309i,6.1651e-05-0.00080882i,-0.00040413-0.0013667i,-0.00032593-0.0013633i,-0.00029804-0.00061242i,-0.00042719+0.00058259i,-0.00039079+0.00078624i,-0.00031057+0.00092653i,-0.00064144+0.0005064i,-0.00053277-0.00017103i,-0.00046636+0.00019643i,-0.0005769+0.00092712i,-0.00014037+0.00079491i,7.0751e-05+9.5997e-05i,-5.7444e-05-0.00052398i,0.00023812-0.00089463i,0.00010332-0.0010666i,0.0010432-0.00075285i,0.0015857-0.00022934i,0.00062255+0.00049945i,0.00054063+0.00074476i
-0.00045101+0.00022936i,-0.00097901+0.00039869i,0.00012804+0.00083406i,0.0012371+0.00061081i,0.0009925+1.0949e-05i,0.00019559-0.00019715i,-0.0010417-0.00031698i,-0.0015135-0.00042667i,-0.00065503+3.6626e-05i,0.00045963+0.00078684i,0.0004905+0.00060343i,0.00065775-0.00016042i,0.00061756+0.00028175i,-8.8095e-05+0.00044392i,-0.00023788+0.00044562i,-1.5928e-05+0.0010079i,-0.00070329+0.00082206i,-0.00070154+0.00028427i,-0.00037449-0.00047558i,-0.00055136-0.0011627i,-0.00048592-0.00094803i,-3.7541e-05-0.00020787i,-0.0005784-0.00015297i
-0.00072977+0.00019098i,-0.00027353-0.00073641i,0.00021501-0.00038321i,0.00056842-0.0014434i,0.0008035-0.0025657i,-0.00022488-0.0019707i,-0.0010111-0.00091302i,-0.00017956-0.00038009i,0.00030407+0.00020235i,-0.00039689+0.00043556i,-0.00028793+0.00029388i,0.00025114+0.00027501i,8.937e-05+0.0003673i,-0.00014195+0.00033674i,5.8636e-06+0.00015213i,-0.00016645-7.0169e-06i,-0.00068588+7.1534e-05i,-0.0010746+0.00019209i,-0.0006476-0.00010611i,-0.0001105-0.00044749i,-2.7856e-05-0.0004535i,0.00022416-0.00042216i,0.00023901-6.4075e-05i
-0.00041751+0.00053979i,0.00013552-0.00017985i,0.0014701-0.00034211i,0.0015466-0.0012844i,0.00049826-0.0017361i,-0.00014484-0.001855i,-0.00027796-0.0011848i,-7.2822e-05-6.5718e-06i,-0.00014125+0.00022076i,-0.0004189+2.3255e-05i,-0.00030766+2.3658e-05i,-3.9981e-05-8.8064e-06i,0.00023086-0.0001923i,0.00024376-0.00032496i,0.00021841-0.00055167i,0.00021805-0.0003884i,0.00053689-0.00011954i,0.0013782-0.00074903i,0.0012862-0.00069135i,0.0002026-0.00047075i,-0.00063362-0.00031925i,-0.0010038-0.00012073i,-0.00079256+0.00034694i
-0.00062305+0.00022277i,-0.00045895+0.00084639i,-0.00098546+0.00087186i,-0.0015161+0.00042735i,-0.0015045-0.00057949i,-0.0014983-0.0011582i,-0.00054745-0.00058195i,0.00090143+0.00015493i,0.0015089+0.00029722i,0.001296+0.00045425i,0.00021747+0.00056964i,-0.00039123-3.7157e-05i,-0.00011987-0.00076213i,-0.00064294-0.00071897i,-0.00080817-0.00025151i,-0.00016704-0.00014256i,0.00033619+0.00029007i,0.00018381+0.00061206i,-0.0002875+0.00040701i,-0.00013397+0.00035976i,0.00041751+7.2134e-05i,0.00069584-0.00021477i,0.00057794-0.00013164i
-0.00079382+0.00056341i,1.3274e-05+0.00076125i,0.0014313+9.2304e-05i,0.0021231-0.00053137i,0.0020335-0.00078916i,0.00083274-0.0002495i,-0.0001732+0.00044457i,0.00057121+0.00073545i,0.0014639+0.00028818i,0.0015661-0.00060827i,0.00067001-0.0005345i,9.7534e-05-0.00035976i,0.00048686-9.3803e-05i,0.00031302+0.00031569i,0.00033217+0.00025199i,0.00051771+0.00028173i,0.00087498+4.7258e-05i,0.00069359-0.00052024i,0.0004276-0.00029434i,0.00074846+0.00043417i,0.00053586+0.00036024i,-0.00028507-0.00040228i,-0.0005769-0.00019944i
0.00034523-0.00075604i,0.00089541-0.00058306i,0.00066468-0.00093357i,-6.9693e-05-0.0013648i,-0.001035-0.00098931i,-0.0011949+2.1582e-05i,-0.00058957+0.00019906i,-3.8347e-05-6.2334e-05i,-0.00044277+0.00016122i,-0.0013581+0.0001343i,-0.0010134-0.00010314i,-0.00016624+0.00032663i,0.00027401+0.00040069i,0.00018564+0.00019946i,0.00027725-0.00018638i,0.00075928+0.00022731i,0.0008675+0.00072559i,0.00082566-6.1674e-05i,4.6428e-05-0.00016845i,-0.00096734-2.281e-05i,-0.00042941+0.00025726i,0.00025981+0.00057079i,0.00040796+0.00094127i
0.0019032-0.00079713i,0.0019992-8.4942e-07i,0.0011812-4.0007e-05i,0.00020401-0.000909i,-0.00096854-0.00078757i,-0.0011791+9.1953e-05i,4.9645e-05+0.00035381i,0.00097732-0.00014766i,0.0010785-0.00072306i,0.00053786-0.0010359i,0.00031945-0.00045253i,0.00016112+4.5507e-05i,-0.00010874+0.00029081i,-0.0006855+0.00098746i,-0.00072388+0.0011566i,-0.00029435+0.0006642i,-0.00054525+0.00019843i,-0.00063604+0.00046095i,-0.00034848+0.00013734i,-0.00043464-0.00027041i,-0.00047169-3.3385e-05i,-0.00046216+0.00038112i,-0.00031574-1.0671e-06i
-0.001216-0.0011245i,-7.1525e-05-0.0011244i,-0.0017247+0.00051654i,-0.0027099+0.0023097i,-0.0014575+0.0033059i,0.0011724+0.0022411i,0.0007939-0.00017474i,-0.00052025-0.0014147i,-0.0012724-0.00097748i,-0.00088507-0.00032316i,0.00030612-0.00029773i,0.00022578+0.00036406i,-0.0003135+3.7653e-06i,-0.00055455-0.00097531i,-0.00032172-0.00059864i,-0.00011658+0.00038861i,-0.0006249+0.00073009i,-0.0009942+0.00023547i,-0.00015975-9.525e-05i,3.2027e-05-0.00024882i,0.00018643-0.00040563i,0.00093225-0.00044244i,0.0002175-0.00014741i
0.00015153-0.00016293i,0.0002433-0.00067479i,0.0011813-0.0011994i,0.0020661-0.0011476i,0.0013355-9.1045e-05i,0.001061+0.00029775i,0.00050607-8.5522e-05i,-0.0010604-0.00039779i,-0.0018764-0.00086886i,-0.0010115-0.0010988i,-7.3793e-05-0.00051258i,-0.00011987+1.1486e-05i,-0.00057655-0.00011781i,-0.0013662-7.889e-05i,-0.0013847+0.00021448i,-0.00051414+0.0004321i,-3.4781e-07+0.00020818i,0.00031296+0.00027939i,4.36e-06-0.00016356i,-0.00028134-0.00058459i,-0.00050677-0.00035148i,-0.0008877-0.00042813i,-0.00036381-7.9332e-05i
0.0016985-0.00053268i,0.0013551-0.00011937i,3.957e-05-0.00070993i,-0.00086765-0.0012187i,-0.0011599-0.0013294i,-0.0011007-0.00038475i,-0.00041814+0.00017164i,-0.00010859-0.00025053i,-0.00078187-0.00042671i,-0.0007966-6.3628e-05i,-0.00024011+0.000305i,0.00042684+0.00069482i,4.8403e-05-1.0673e-05i,-0.00079431-0.00054587i,-0.00072169-8.4872e-05i,-0.0011165-8.7557e-05i,-0.001288-0.00069662i,-0.00047279-0.00074578i,5.7297e-05+0.00022784i,0.00012705+0.0010863i,-1.9906e-05+0.00052445i,-0.00014935-0.00015179i,-0.00025324-0.0004646i
0.0013241-0.00058799i,0.0013953-0.00021539i,0.0019991-0.00085298i,0.0013254-0.0016829i,-0.00038851-0.002127i,-0.0020003-0.0020902i,-0.0019308-0.00063619i,-0.00023901+0.00015228i,0.00025782-2.4698e-05i,-0.00018666+0.00021947i,-8.299e-05+0.00012813i,0.00023131-5.9468e-05i,0.00081974-0.00057708i,0.00036645-0.00064486i,-0.00068141-0.00012192i,-0.00031124+0.00035217i,0.00056069+0.00045868i,0.00042219+0.00014815i,-0.00029964+0.00027589i,-0.00043744+0.00071713i,-0.00021741+0.00085397i,-5.6352e-05+0.00063018i,0.00019074+0.0006289i
0.00061102+0.00065826i,0.00096005+0.0003748i,0.0012342-0.00052753i,-2.5092e-05-0.0010154i,-0.00057231-0.00057747i,-0.00081216-0.00016706i,-0.0012391-0.00028873i,-0.00036536-0.00094252i,0.00018754-0.0014821i,0.00030777-0.00098565i,0.00018877+8.402e-06i,0.00037825+4.1909e-05i,0.00084701+2.0944e-05i,0.0011836-9.7319e-05i,0.00088123-0.00035434i,7.5869e-06-0.00046762i,0.000135-0.00031209i,0.00056509+0.00051143i,0.00059932+0.00097602i,0.0002505+0.0012363i,-0.00047686+0.00091673i,-0.00013546+0.00082149i,0.00068211+0.00039683i
-0.00010947-0.00016607i,-0.00068425-0.00048476i,-0.00048833-0.00012428i,-0.0012973+0.0013874i,-0.0023609+0.001621i,-0.0021819+0.00074598i,-0.0016461+0.00045915i,-0.00049423+0.00025032i,9.8018e-05-0.00030953i,0.00010627+7.1503e-05i,0.0002501-2.709e-05i,-7.4087e-05-0.0004996i,-0.0002783+0.00027971i,-0.00032508+0.000613i,-9.8627e-05-0.00021889i,0.00068579-0.00064468i,0.0005178-0.00048922i,-0.00010536-0.00070078i,0.00049702-0.00042325i,-1.1209e-05+0.00017604i,-0.0009541+0.0004773i,-0.00055315+9.1023e-05i,4.2928e-05+0.0005523i
