-0.0020299+0.00058223i,-0.0017275+0.0010562i,-0.0022847+0.0017687i,-0.0024113+0.0020423i,-0.0014882+0.0026808i,0.00081742+0.0021974i,0.0019499+0.0010259i,0.0014062+0.00067893i,0.00087405+0.00066693i,0.0013771+0.00015682i,0.0011606-0.00060255i,0.00057934-0.0011324i,-0.00019485-0.0010018i,-0.00086201-0.00074528i,-0.00099224+0.0001153i,-0.0012832+0.00047787i,-0.0017683-5.0304e-05i,-0.0011009-0.00029216i,2.0292e-05-0.00029383i,0.00029979+3.0264e-05i,0.00069397+6.7339e-05i,0.00070603-0.00031099i,-0.00041148-0.00030714i
-0.0016656-4.437e-05i,-0.0016603+1.8154e-05i,-0.0016815+0.0006334i,-0.0010892-4.9221e-07i,-0.00017383-0.00042998i,-0.00034942-8.7808e-05i,-0.00022656-0.00031626i,-1.2907e-05-0.00034656i,0.00063985+0.00033193i,0.0012844+0.00095531i,0.00039224+0.0011066i,-0.00041176+0.00050511i,-0.00050048-0.00027877i,-0.00025164-0.0005897i,0.00016987-0.00035347i,0.00014771+0.00037534i,-0.00017291+0.00024535i,-0.00061998-0.00026607i,-0.00062881-9.841e-05i,-0.00041489+0.00038584i,1.5758e-05+0.00076008i,0.00066937+0.000815i,0.0003815+0.00046349i
-0.0010449-0.00017069i,-0.0012846-1.318e-05i,-0.0011154+0.00074015i,-0.00014724+0.00035527i,0.00054723-0.0011856i,0.00089658-0.001264i,0.00086159-0.00016118i,-0.0005614+0.00069265i,-0.00093277+0.0010006i,-0.00022562+0.00085582i,-0.0003854+0.00034751i,9.1162e-06-9.2817e-05i,0.0003765-1.5985e-05i,0.00022684-1.5753e-05i,0.00032993-0.0003563i,-0.0002242-0.00027389i,-0.00071438+7.9735e-05i,-0.00023713+0.0001959i,0.00027778-0.00028723i,0.00054515-0.00046551i,0.00021078+2.1691e-05i,-0.0010413-0.00036362i,-0.00039246-0.00083862i
-0.0017034-0.0016002i,-0.0013176-0.0010964i,-0.00056255+0.00052937i,0.00019498+0.0018344i,0.0004776+0.0027203i,0.0011017+0.0026527i,0.0013999+0.0016574i,0.00024887+0.00027548i,-0.00052371+0.00012586i,0.00032627+0.00085741i,0.0011632+0.00078367i,0.0006214+0.00093131i,1.0809e-05+0.0010207i,-0.0004975-3.0563e-05i,-0.00053547-0.00070628i,2.497e-05-0.0010097i,0.00048965-0.00096323i,0.001038+6.9297e-05i,0.0012416+0.0012575i,0.00073793+0.00083113i,-0.00012752-0.00054311i,-0.00058383-0.00080174i,-0.00027671-0.00027359i
0.0019794+0.0019976i,0.0012939+0.0021056i,0.00081966+0.0015134i,0.0016107-0.00014146i,0.0026716-0.00073792i,0.0017736-0.0011654i,0.0015384-0.00092166i,0.0016782-0.00044649i,0.0011646-0.00031122i,0.00078903-0.00018938i,0.00042711-2.8051e-05i,0.00055585-0.00023141i,0.00099031-0.00094644i,0.00059645-0.00097722i,-0.00027547+6.2318e-05i,-0.0011018+0.00017979i,-0.0010288-0.00052858i,0.00019289-0.00063501i,0.00052032-0.00049963i,0.00035462-0.00041056i,0.00026437-0.00029245i,-8.5262e-05-0.00059362i,0.00032239-0.00025346i
0.001435-0.0016366i,0.0017235-0.0026155i,0.0015684-0.0022131i,-0.00040641-0.0021717i,-0.0013241-0.0020944i,-0.00040624-0.0013839i,0.00039548-0.0015515i,0.00056548-0.00067143i,-0.00016019+0.00068719i,-0.0011094+0.00027047i,-0.0015626-0.00032381i,-0.0011685-0.00028383i,-0.0013306-0.0004807i,-0.0016669-0.00010347i,-0.0011967+0.0010283i,-0.0010529+0.00091455i,-0.00049858+0.00010964i,-0.0002498-0.00010373i,-0.0014419-0.00026079i,-0.001413-0.000128i,-0.00066515+0.00020997i,-0.00030845-0.00010966i,0.00015389-0.00064141i
-0.0019466+0.0017951i,-0.0015308+0.0020672i,-0.00025821+0.0023059i,0.00063552+0.0027291i,0.00081933+0.0030509i,0.00048916+0.001454i,0.00044833-0.00025705i,-0.00049415-0.00012629i,-0.0017149+0.00069003i,-0.0013822+0.0010486i,-0.00066448+0.00083047i,-0.00078842+0.00031968i,-0.00081801-0.00021001i,-0.00038866+8.2301e-05i,0.00023301+0.00013285i,-0.00036175+0.00026497i,-0.00049156+0.0006141i,-0.00017301+0.00050281i,-0.00062102+0.00025768i,-0.00021938+0.00022294i,0.00061674+0.0001029i,0.0002644+6.147e-05i,0.00081911+0.00017668i
-0.0014923+0.00024657i,-0.0017902+0.00092299i,-0.0020589+0.0017286i,-0.001264+0.0029135i,0.00036041+0.0025177i,0.0014697+0.0010444i,0.002131-0.00016633i,0.00047539-0.001011i,-0.00059645-0.0011763i,-0.00020671-0.00045564i,-0.00019677+0.00050759i,-0.00010019+0.00052162i,-7.0694e-05+0.00069981i,4.1029e-05+0.00075311i,0.00037442+0.0003521i,-0.00015661+7.2899e-05i,-0.00044372+0.00032906i,-0.00058832+0.00059594i,-0.00069408+0.00070757i,-0.00076767+0.00080685i,-0.00063771+0.00077263i,-6.4632e-05+0.00037983i,8.9222e-05-0.00026399i
-0.00039962-7.9585e-05i,-0.0010542+8.5582e-06i,-0.0010977+0.00017599i,-0.00047234+0.00098164i,-0.00043127+0.001531i,-0.00043114+0.00155i,0.0002918+0.00049985i,0.00043708+0.00062313i,0.00023774+0.0015545i,-0.00021824+0.0016219i,-0.00027315+0.0018504i,-0.00041684+0.0015689i,-0.00027394+0.00080655i,0.0002714+0.00044533i,0.00028018+0.0001461i,-4.7702e-06-0.00012805i,-0.00041278-0.00062234i,-0.00034619-0.00038831i,0.00036713-0.00037277i,0.00067509-0.00049091i,0.00010479-0.00080593i,-0.00024625-0.0011386i,-0.00061912-0.00086426i
0.0015326-0.00083939i,0.00096392-0.0019442i,0.00012011-0.0032096i,-0.00084857-0.0027395i,-0.00090486-0.0011722i,0.00010057-0.00010465i,0.00085791+0.00019073i,0.0010655+0.0003313i,0.001336+0.00076577i,0.00066558+0.00046821i,-0.00010807-0.00014233i,-0.00077005-0.00023691i,-0.00089249-0.00012291i,-0.00080965+0.00049783i,-0.00080266+0.00066979i,-0.00028447+0.00046492i,-0.00020602+0.00022977i,-6.8768e-05+0.00045216i,0.00067345+0.0006596i,0.00032748-8.3292e-05i,0.00036801-0.00037341i,0.0011862+2.6946e-05i,0.00065079+4.226e-05i
-0.00064774-0.002221i,-0.00048459+0.00033521i,0.00011103+0.0014764i,-0.00033905+4.6253e-05i,-0.00041499-0.00079203i,0.0010045-0.00097952i,0.0018419-0.00090935i,0.0018605-0.00019787i,0.0015422+0.00039373i,0.0005025+0.00098362i,-9.3367e-06+0.0011699i,0.00036201+0.00062326i,0.00021253+0.00028977i,-0.00019715+0.00026229i,-0.00013905+0.00048976i,0.00034776+0.00010167i,-0.00022001-0.00030169i,-0.00037441-0.00038938i,0.000922-0.00022859i,0.00099264+0.00011318i,-0.00030473+0.00061015i,-0.0009754+0.00042157i,-0.00074329-0.00083263i
0.00030392-0.0014607i,-0.00037248-0.00059282i,-0.0024594-0.00051306i,-0.0031389-7.4209e-05i,-0.0030302+0.0014232i,-0.0022027+0.0023652i,-0.00084706+0.0010951i,-0.00016794-0.00072546i,-0.00020153-0.00067748i,-0.00079367-0.00028814i,-0.0010415+0.00013961i,-0.00094119+0.0005662i,-0.00023413+0.00011946i,0.0006178-0.00026758i,-0.00016067+6.273e-05i,-0.001338+0.00012763i,-0.0011029-0.00014484i,-0.00072122-9.1891e-05i,-0.0012749+8.544e-05i,-0.00086616+0.00018119i,-0.00019964+0.00033322i,-0.00055357-3.5154e-05i,-0.00078266-0.00079708i
0.00034002+0.00013023i,0.00094854+7.6339e-05i,0.0031946+0.00018803i,0.00344+0.00015781i,0.0013122-2.0296e-05i,0.00012032+0.00025663i,-0.00014083+0.00017313i,-0.00082052-0.00043306i,-0.00096686-0.00011138i,-0.0010654+0.00047602i,-0.0014596+0.00037292i,-0.0016897+0.00024342i,-0.001775+0.00047262i,-0.0010482+0.00044527i,0.00041225+6.2924e-05i,0.00049443+0.00020363i,-0.0010457+0.00049812i,-0.0013809+4.5055e-06i,-0.00080126-0.00073092i,-0.00055888-0.00082453i,-0.00013559-0.00019479i,0.00044684+0.00064915i,0.0012121+0.0004002i
-0.00025304-0.00031771i,-0.0012737+0.00018524i,-0.0018162+0.00072747i,-0.001948+0.0002103i,-0.0008972-0.00018681i,0.0002496+0.00070299i,0.00035164+0.00052401i,0.00012046+0.00019658i,-7.7119e-05+0.00068152i,0.00027409+0.0017164i,0.00042112+0.0020675i,9.6907e-05+0.0018627i,3.7727e-05+0.0013901i,0.00026406+0.00016103i,0.00065249-0.00025353i,0.00043028-0.00041725i,-7.693e-05-0.00042291i,-0.00026362+0.0008244i,-0.00037538+0.0011655i,-2.5726e-05+8.6851e-06i,8.0622e-06-0.00027806i,-0.0001658+0.00045024i,-0.00052465+0.00063184i
0.00042341+0.00078261i,-0.0004717-0.00032477i,-0.0012716-0.00066726i,-0.0015623-0.00018133i,-0.0015249-0.00019508i,-0.00088378+0.00035431i,0.00011025+0.00036315i,0.00041295-0.00015375i,0.00080231+0.00013049i,0.00046801+0.00094953i,-0.00051374+0.0014809i,-0.00043757+0.0013958i,6.6915e-05+0.0012386i,0.00011835+0.0014547i,0.00024969+0.0018339i,0.00039134+0.001598i,-0.00023238+0.00072671i,0.00035296-0.00047508i,0.00085447-0.00092338i,-2.2105e-05-0.00056236i,-9.9065e-05-0.00049637i,-0.00023178-0.00059285i,-6.5786e-05+8.1101e-05i
-0.00078842+0.0012397i,-0.00029355+0.0017104i,0.00067214+0.0015223i,0.0018026+0.00086147i,0.0021209+0.00021221i,0.0016301+5.5905e-05i,0.0013357+0.00047128i,0.001122+0.00040106i,0.0008468+0.0003045i,-4.9262e-05+0.00092788i,-0.00071604+0.00076123i,-0.00075528+0.00013859i,-0.00043784-9.7099e-05i,0.00012132-0.000874i,0.0001612-0.00066418i,-0.00045348+0.00022237i,-0.00097199-6.0154e-05i,-0.00053461-0.00056627i,-0.00058817+0.00013983i,-0.0010773+0.0010804i,-0.00066212+0.00065951i,-0.00025366-0.00031245i,0.00030549-0.00045522i
-0.00026188-0.0040589i,-0.0015233-0.0030543i,-0.0038609-0.0026373i,-0.0040201-0.0013217i,-0.0024954+0.00083534i,-0.00023867+0.0016926i,0.0013431+0.00071517i,0.0011334-0.00020568i,0.00014261+0.0002862i,-0.00021689+0.00072178i,-5.1406e-05+0.0006084i,-0.0001366-2.7803e-05i,0.0003511-0.00077545i,0.00090796-0.0005406i,0.00059991-0.00026994i,0.00043479-0.00056368i,7.0301e-06-0.00011775i,-0.00020016+0.00031869i,0.00017458-5.9305e-05i,0.00052662-0.00041202i,-8.754e-05+0.00012632i,-0.00014149+0.00040035i,0.00043672+0.00031459i
0.0010544-0.0017094i,0.00082282-0.0015328i,0.00077929-0.0013947i,-1.874e-05-0.00067474i,-0.00018707+5.4916e-05i,0.00071164+0.00012806i,0.0010288-4.4404e-05i,0.0006143-0.00022784i,-6.9128e-05+0.00014139i,-0.00084203+0.00019583i,-0.0008327+0.00013669i,-0.00040912-2.4419e-06i,-0.00033345-0.0004149i,-0.0003018+0.00016916i,-0.0010519+0.00061192i,-0.0016218+0.0001433i,-0.00070386+0.00021496i,2.9974e-05+0.00031599i,0.00022929-1.226e-05i,-0.00014194+0.00021515i,-0.00053799+7.7116e-05i,-0.00077139+5.1767e-05i,-0.0008949+0.00041565i
0.0018342-0.0011409i,0.00072774-0.0012821i,-0.00052174-0.0017629i,-0.00024403-0.001664i,0.00021148-0.0014916i,0.00047912-0.00088987i,0.00094195-0.00030633i,0.00058985-0.00041152i,-0.00027504-7.0206e-05i,-0.00030528+0.0011002i,-0.00034804+0.0016287i,-0.00098179+0.00067885i,-0.0010055-0.00026384i,-0.00142-0.00011184i,-0.001691+0.00038265i,-0.00084553+0.00023044i,-0.00074871-2.8437e-05i,-0.0003563-0.00039653i,0.0006533-0.00015626i,0.00023267+0.00014139i,-0.00047387-0.00025046i,-0.00071554-0.00059417i,-0.00059994-0.00048414i
-0.00016734+0.0021484i,0.00073822+0.001757i,-5.9669e-05+0.0010136i,-0.0001606-0.0003447i,0.00033729-0.00146i,-8.5341e-05-0.0012337i,-0.00058762-3.0363e-05i,-0.0010245+0.00087297i,-0.00099721+0.001527i,-0.00028153+0.0012051i,-0.00023711+0.00020634i,-0.001066-0.00036506i,-0.0011943+0.00026094i,-0.0011251+0.00058856i,-0.0011123-0.00025724i,-0.00078924+0.00014118i,-0.0010145+0.00073614i,-0.0012433+0.00045979i,-0.00056755+1.0646e-06i,0.00015777-0.00046777i,0.00035554-0.00063916i,0.00021837-0.00014115i,-0.00016532+0.00048578i
0.00029957+0.0016243i,0.0014304+0.0010757i,0.00254+0.00024074i,0.0017278+0.00026095i,0.00089284+0.00049551i,0.0017389+0.00045572i,0.0019396+0.0005422i,0.0011023+0.00060377i,0.0010804+0.00056307i,0.0012664+0.00053368i,0.0008921+0.00010786i,5.6143e-05-0.00083842i,-0.0001716-0.00023086i,-0.00025521+0.0008445i,-0.00038385+0.00095203i,-0.00056092+0.00082576i,-0.00097072+0.00052685i,-0.00058248+0.00033834i,-9.6008e-05+0.00021458i,0.00010541-0.00038378i,-2.2453e-05-0.00084239i,-3.0991e-05-0.0002732i,-0.00013374-9.222e-05i
-8.9552e-05-0.0016001i,0.00020371-0.0013708i,0.00041386-0.00067645i,0.00032124-0.00026484i,0.0003953+0.00062716i,0.0014845+0.00065247i,0.0027043-0.00042646i,0.002503-0.0006291i,0.00095709+1.7104e-05i,-4.2874e-05+0.00058367i,-0.00021315+0.00064491i,-0.00015109+0.00035225i,2.6942e-05+4.3406e-05i,0.00019003-3.966e-05i,0.00063216-0.00072378i,0.00071989-0.0012823i,0.00028827-0.00079069i,-0.00055718-0.00012289i,-0.00027156+0.00031453i,0.00012547-0.00034981i,0.00023037-0.00074718i,0.00050149-0.0001882i,-0.00020266-8.7395e-05i
0.00053766-0.0015523i,-0.0014801-0.00039219i,-0.0030127+3.9714e-05i,-0.0019466-0.00038931i,-0.00036478+1.7396e-05i,0.00062441+0.00031852i,0.0015791-0.00042791i,0.00083193-0.00086103i,-0.00014308-0.00073029i,-0.00044399+5.2868e-05i,-0.0011549+0.00073193i,-0.001347+0.00095989i,-0.00083104+0.00062385i,0.0001033+0.00034867i,0.00035345+0.0001325i,-0.00037665+3.0833e-05i,-0.000998-0.00047046i,-5.8831e-05-0.00086057i,0.00073199-3.4006e-05i,0.00055208+0.00062647i,-9.453e-05+0.00018552i,-0.00059954+0.00044717i,-0.0004408-1.1922e-06i
0.0012572+0.0025774i,0.0016859+0.0017529i,0.0013785+0.0014407i,0.00085758+0.00081533i,0.00090155+0.00060429i,0.00065671+0.00068198i,-9.9905e-05+0.00010156i,-0.00025492-0.00034347i,-5.4395e-05+8.1319e-06i,-0.00015571+0.00037556i,-0.00077328+0.00013367i,-0.00097668-2.343e-05i,-0.0012528-1.102e-05i,-0.0018933+0.00041021i,-0.0020071+0.0007865i,-0.0009376+0.00039805i,-1.4945e-05-0.00018252i,-4.2614e-05+0.00034166i,-0.00023875+0.00077701i,-0.00013365+0.00018341i,-0.00032754-0.00043611i,-0.00014602-0.00055596i,0.00067797+2.1876e-05i
0.002889+0.0011264i,0.002066-0.00038183i,0.00098994-0.0013768i,0.00074355-0.0019414i,0.00023945-0.0018472i,-0.00014104-0.001126i,0.00054729-0.00046603i,0.00044022-0.0002537i,-0.00032911-0.00011474i,-0.00039461+0.00049049i,-0.00042464+0.00056082i,-0.00034605+6.8812e-05i,9.1538e-05+0.00035147i,-0.00028113+0.0011128i,-0.00082386+0.00129i,-0.001187+0.00057672i,-0.0010387-0.00043728i,-0.00062754-0.00081385i,-0.00081754-0.00071627i,-0.00058321-0.00059416i,-0.00050816-0.0008302i,-0.00061436-0.0009832i,-1.3261e-05-0.0008179i
0.0011887+0.0018737i,0.0022871+0.00088175i,0.0027506+0.00023641i,0.0018253+8.5398e-05i,0.0016572+0.00038487i,0.0021009+0.00022859i,0.0021441-0.00010166i,0.0010444-6.8974e-05i,0.00047437+0.00024195i,0.00040475+0.00042479i,0.00070178+0.00086158i,0.00012618+0.0006193i,-0.00072724+0.00024619i,-0.00039921+0.00054871i,-0.00015582+0.00046526i,-0.00035195+0.00071957i,-0.00052065+0.00066191i,-0.00035445-7.1579e-06i,-3.854e-05+0.00037363i,0.00016364+0.00042358i,1.7692e-05-0.0003627i,0.00027496-0.00052009i,0.00062461-0.00051012i
0.00068071+0.0015553i,0.00021539+0.0019012i,-0.00074111+0.0029697i,-0.00049426+0.0024036i,0.00083251+0.00059865i,0.0012712-0.00026063i,0.00065737+0.00023691i,0.00065441+0.00071669i,0.00036533+0.0013243i,-0.00011069+0.0018171i,1.0877e-05+0.0010504i,0.00038141-0.00042162i,0.00052428-0.00092625i,5.3162e-05+7.9306e-05i,-0.00012968+0.00062474i,-0.00035407+0.00073749i,-0.0013134+0.001422i,-0.0013956+0.0012713i,-0.00032862+0.00029316i,-0.00030688+0.00018894i,-0.00034734+0.00056986i,-0.00011824-3.8696e-05i,-0.00054558-0.00033229i
0.0026425+0.0005804i,0.0019305+0.00022675i,0.0012299-0.001417i,0.00058612-0.0022101i,0.00061654-0.002051i,0.001018-0.0013281i,0.0016706-7.0406e-05i,0.0015717+0.00049391i,0.00073721+0.00076387i,-2.7452e-05+4.2562e-05i,-0.00044829-0.00019089i,-0.00042915-0.00013591i,-0.00081822-0.00018628i,-0.00099345+0.00060512i,-0.00039261+0.00067904i,0.0010073+0.0002963i,0.00087409+0.00026043i,-0.00029617+0.00011192i,-0.00046095+0.00036471i,-0.00012373+0.00018753i,0.00013555+0.00037375i,0.00051743+0.00024977i,0.00042718-3.4674e-05i
-0.0028059+0.00010233i,-0.0021744-0.00076021i,-0.001441-0.00078142i,-0.0014955+0.0006785i,-0.0011134+0.0011079i,0.0013245-0.0002844i,0.0022152-0.0011691i,0.0013226-0.00082081i,2.5347e-05+0.00034822i,-0.00062922+0.0013293i,0.00036017+0.0016889i,0.00060407+0.0012841i,-5.1621e-05+0.00067207i,-0.00023249+0.00014188i,-0.00034791-0.00032045i,2.7655e-06-0.00056349i,-3.1727e-05-0.00080688i,-2.2668e-05-0.00079384i,0.00021609+1.2324e-06i,0.00019635+0.00037553i,0.0003233+2.1289e-05i,0.0006074-0.00046735i,0.00042641-0.00082164i
-0.0002706+0.0021084i,0.00094074+0.0011324i,0.0016076+0.00075534i,0.0018916+0.0008217i,0.0013033+0.00029135i,0.00086965-0.00045779i,0.00087485-0.00058109i,0.00059973+2.4731e-05i,0.00024766+0.00079868i,0.0002263+0.00072834i,0.00019518+2.1881e-05i,-0.00047032-0.00021587i,-0.00097693-7.4926e-05i,-0.0008268+0.00054691i,-0.00062713+0.0014249i,-0.00013531+0.00017905i,-0.00034023-0.0015395i,-0.0010374-0.0017288i,-0.00056016-0.00095765i,0.00010913-0.00046849i,9.3471e-05-0.00099803i,-0.00063786-0.0005823i,-0.001093+0.00051978i
0.0015567-0.00051384i,0.0019296+2.1447e-05i,0.0017909+0.000268i,0.00077705+0.00014456i,2.8464e-05+0.00010583i,0.00020157+0.00066299i,0.00054573+0.00017531i,0.0010293-0.0003008i,0.0011282+0.00032714i,0.00038549+0.00052944i,6.4622e-05+0.00051666i,0.00021562+0.00085352i,-0.00046515+0.00073968i,-0.00064894+0.00063943i,-0.00070534+0.0009144i,-0.0005237+0.00093256i,-0.0007375+0.0007295i,-0.00087829+0.0001916i,-0.00073851-0.00033683i,-0.00096478-0.00071392i,-0.00082108-0.00048235i,-0.00056134-0.00074245i,-0.00041667-0.00098416i
-0.00026822+0.0012502i,-0.00018959-0.00094018i,0.00020008-0.0019474i,0.00011349-0.0010424i,0.00061803+9.039e-05i,0.0010693+0.00026681i,0.0013139+0.00010824i,0.0014694-0.00014599i,0.0013356-0.00030911i,0.0010769+6.4385e-05i,0.00050706-0.00044546i,0.00044085-0.001554i,0.00061504-0.00064558i,0.00012648+0.00069852i,-0.0010201+0.00065084i,-0.00094745+0.00091217i,0.00012868+0.0018488i,0.00055265+0.00174i,0.00073685+0.00038374i,7.5819e-05-0.00050755i,-0.00040376-0.00040294i,-0.00020675+0.00052327i,-7.4853e-05+0.00092729i
0.0016927+0.00041676i,0.0020168+0.00037554i,0.0028676-9.2975e-05i,0.001993-0.00078711i,0.0012959-0.001818i,0.0017992-0.0021737i,0.0014353-0.00077918i,0.00050777+0.00012106i,-0.00037152+0.00067207i,-0.0011686+0.00050708i,-0.0013776-0.00026301i,-0.0012421-0.00036557i,-0.00074634+0.00014514i,0.00038898-3.8213e-05i,0.00056017-0.00044962i,-4.726e-05-9.8201e-05i,5.6475e-05+0.00018089i,0.00027658+0.00010261i,0.00019878-0.00046152i,0.00029937-0.00049965i,7.6789e-05-0.00010112i,-6.5314e-05+3.5069e-05i,-0.00013457-0.00063542i
0.00080186+0.00020629i,0.00052286+6.8668e-05i,0.0010241-0.0002033i,0.0016349+5.6363e-05i,0.0015052-0.00024303i,0.0010863-6.5479e-05i,0.00063969+0.00019779i,-0.00033117+0.00074849i,-0.0010206+0.0020228i,-0.0010899+0.0027089i,-0.00048763+0.0019078i,0.00019696+0.00092884i,8.9753e-05+0.00018346i,-0.00027172-0.00017776i,4.5537e-06-0.00044402i,0.00027556-0.0010012i,-8.7903e-05-0.0013674i,-0.0001407-0.0007309i,0.00027835+0.00011516i,0.00019254+0.00027171i,0.0004035-0.00012124i,0.00035304-0.0003003i,-6.6008e-05-0.00026532i
-0.00013505-0.00035124i,-9.0136e-05-0.00059999i,-0.0013006-0.0005676i,-0.0015056-0.0011988i,-0.00015268-0.00065582i,0.0010265+0.00033982i,0.0015873+0.00071732i,0.0013542+0.0010204i,0.00095409+0.001083i,-0.00012805+0.0010064i,-0.00024209+0.0016141i,-0.00036212+0.0012266i,-0.0012532+4.292e-05i,-0.0013772-5.5141e-06i,-0.0012156+0.00030504i,-0.0015714+1.4908e-05i,-0.0017747-0.00034777i,-0.0010102-0.00018587i,-0.00058221+2.8966e-05i,-0.00047181-0.00010188i,0.00024262-0.00074094i,0.00063425-0.0010263i,0.00050347-0.00055614i
0.00018637+0.00079871i,0.0007451+0.00030883i,0.0014021-0.00038111i,0.0014374-0.0003244i,0.001174-0.00012393i,0.0011621-0.00089265i,0.0010906-0.0011466i,0.00034542+0.00019824i,-3.7612e-05+0.0011209i,1.9024e-05+0.0010831i,-0.00048578+0.00089318i,-0.0011463+0.00046555i,-0.0010626+0.00071182i,-0.0011522+0.00092231i,-0.0014537+0.0004487i,-0.00090454+0.00028334i,-0.00081333+0.00073362i,-0.00098777+0.00047297i,-0.00079582-0.00046904i,-0.0005457-0.0008097i,0.00012064-0.00019368i,-4.185e-05+7.9632e-05i,0.00018392+1.2939e-05i
-0.0012484-0.0020332i,-0.0015223-0.002212i,-0.00085353-0.0023373i,-0.0013118-0.0019116i,-0.001251-0.001607i,-0.00025744-0.00019992i,0.00027191+0.0011987i,0.00049451+0.00028142i,-0.0004075-0.0013717i,-0.00084244-0.00077484i,-0.00058096+0.00086242i,-0.00032987+0.00071496i,-4.2434e-06-0.00010229i,-0.00051422-9.7322e-05i,-0.00058493-8.6211e-05i,-0.00020508+0.0001978i,-0.00041212+0.00021907i,-0.000229-0.00029387i,0.0006154+0.00051847i,0.00095054+0.0011786i,0.00076636+0.00062564i,-0.00010139+6.3263e-06i,-0.00040373-0.00018068i
0.0017145+0.0014284i,0.0011145-0.00033657i,0.0010857-0.00072046i,0.0015091-0.0012034i,0.0017673-0.0022396i,0.0014849-0.0010023i,0.00063963+0.0005465i,0.00020159+0.00017399i,0.00069644+7.8924e-05i,0.00037706-2.2883e-05i,-0.0013645-0.0002618i,-0.0014824-0.00013988i,-0.00075091-5.5463e-05i,-0.00068566+0.00054566i,-0.00035303+0.00066012i,-0.00020988+0.00014732i,0.00022899-0.00025057i,0.00065329+0.00010534i,0.00053397+0.00015027i,0.00019303+0.00050296i,4.5451e-05+0.00051479i,-0.00015656+0.00076519i,-0.00031627+0.00039437i
0.0031636+0.0018248i,0.0024768+0.00045065i,0.0023102-0.00094806i,0.0018116-0.0017363i,0.0010765-0.0019076i,-0.00015236-0.0014669i,-0.00086504+1.3668e-06i,-2.176e-05+0.0010595i,-0.00010948+0.00075666i,-0.00036354-4.3105e-05i,-0.00044651+1.1746e-05i,-0.0006368+0.00049207i,-0.00047971+0.0007306i,-0.00021323+0.00057626i,-0.00025573+0.00046018i,-0.0008198+0.00066602i,-0.0009036+7.4284e-05i,-0.00039827-0.0007817i,0.0001054-0.00094078i,0.00034693-0.00072309i,0.00050382-0.00058576i,0.00032507-2.7648e-05i,-0.00057979+0.00021258i
-0.0022377+0.000986i,-0.0015807+0.0013466i,-0.0014165+0.0010745i,6.9619e-06+0.00088395i,0.0017119+0.00084608i,0.0019233+0.00051496i,0.0012676+0.0001361i,0.00022487-8.2857e-05i,-0.00097304+0.00055635i,-0.00155+0.0011489i,-0.00093276+0.0014209i,0.00010097+0.00054881i,5.3759e-05-0.0011731i,-0.00083507-0.00087524i,-0.00098431-0.00018523i,-0.0011022-0.00036708i,-0.001479+0.00044847i,-0.0013215+0.000841i,-0.00074753+0.00060894i,-0.0011572+0.00036407i,-0.0012085-9.4489e-05i,-0.00074644+8.9534e-05i,-0.00088783+0.0003683i
0.00028665-0.0014855i,-0.00021973-0.0017606i,-0.00050853-0.0015518i,-0.00098807-0.000809i,-0.00088748+6.0025e-05i,0.00089889+0.00041002i,0.0020026+0.00072245i,0.0008635+0.00073241i,-0.0004148+0.00024589i,-0.00072322+0.00060953i,-0.00042657+0.00057093i,-4.6229e-05-6.0212e-05i,0.00010123-0.00041791i,-0.00018338-0.00053444i,-0.00052984+0.00013252i,-0.0003708+9.6013e-05i,-7.9876e-05-0.00057173i,0.00031651-0.00014353i,0.0010302+0.00038506i,0.00093093+0.00051114i,0.00012955+0.0006561i,-0.00020911+0.0005058i,-0.00016314+0.00011393i
0.0030454+0.00096693i,0.0020841+0.00088855i,0.0014953+0.00041534i,0.0011255-0.00066186i,0.0016326-0.0011333i,0.0016592-0.00052491i,0.00072201+0.00042206i,-4.443e-05+0.00060031i,1.4741e-05+0.000752i,0.00018073+0.00059799i,0.00018526+0.00031256i,-0.00081454+0.00089614i,-0.0014191+0.00074899i,-0.00085118+0.00045324i,-0.00047255+0.00072503i,-0.00037626+0.00068989i,-0.00054564+0.00019891i,-0.00014637-0.00029224i,1.7374e-05-0.00080796i,-0.00042458-0.00058389i,-0.00010379-0.00070304i,0.00028988-0.00060742i,0.00052719-0.00026439i
0.0026262-0.00064525i,0.0020847-0.0025552i,0.001632-0.0038861i,0.0012052-0.0036563i,0.00034259-0.0027017i,-0.00047679-0.001591i,-0.00059185-0.00077132i,-0.00042923-0.0006195i,-0.00025113-0.0001886i,-0.00099529-0.00024847i,-0.0012816-0.00037418i,-0.00048775+0.0002417i,-0.00052033+0.00059842i,-0.00037681+0.00054134i,-0.00020534+0.00027311i,-0.00029064+0.00038155i,0.00032078-6.7447e-05i,0.00066598-0.00074419i,-0.00029506-0.00072665i,-0.00076721-0.00025252i,-0.00034581-0.0006802i,-0.00026055-0.00052666i,-0.0001854+0.00019083i
