6.8443e-05-0.001173i,-0.00057295-0.0013426i,-0.00065225-0.0016615i,-0.0020042-0.001377i,-0.0047148-0.0010147i,-0.005844+0.00047569i,-0.0045328+0.0019005i,-0.001875+0.0027113i,-0.00025697+0.0031044i,0.0001739+0.0025175i,0.00033822+0.00071474i,0.00043557-1.7367e-05i,0.00023014-0.00012674i,-0.0004758-0.00022555i,-0.00056683+0.00031113i,-0.00057305+0.00048021i,-0.0012166+2.6993e-06i,-0.00094618-0.00076579i,-7.9812e-05-0.00070536i,-0.00020558-0.00028042i,-0.00015163-0.0003492i,0.00080178+0.00026728i,0.00078146+0.0010912i
-0.00082166+0.00024633i,-0.00031816+0.00046204i,-4.6262e-05+0.00029262i,0.00037869-0.00037991i,-0.00062096+0.00044543i,-0.0023272+0.00067654i,-0.0016113+0.00057998i,-0.00081892+0.0016434i,-0.00067286+0.0015934i,-0.00039053+0.00047005i,-0.00031887+5.2392e-05i,-0.00013291-0.00019165i,-2.2753e-05-0.00016877i,-0.00022144-0.00059075i,-0.00058749-0.0011106i,-0.00039166-0.00060163i,0.00024172-3.614e-06i,0.00028406+0.00030221i,5.4197e-05-0.00010306i,-0.00028012-0.00044189i,-0.00035271-0.00041228i,0.00059493-0.00020299i,0.00094246-0.00014418i
-0.00012496+0.00080343i,0.00046785+0.00011998i,0.00031331+0.00041487i,-0.00013163+0.00014555i,-0.0017226-0.00069265i,-0.0034995+0.00011467i,-0.0030766+0.00095069i,-0.0014102+0.0014235i,-0.0010902+0.0020734i,-0.0010752+0.0019198i,-0.00066447+0.00066388i,-0.00073327-0.00021173i,-0.00090809-0.00037089i,-0.00080272-0.00060654i,-0.00050355-0.00036895i,1.4613e-05+0.00035011i,0.00025719+0.00019895i,7.3739e-05-0.00060849i,-0.0001525-0.00067904i,-0.0003036+0.00018593i,-0.00025037+0.00037211i,-0.00030966-1.8798e-05i,-0.00030072-2.9024e-05i
-0.00079543+1.4133e-06i,-0.0009947-0.00061155i,-0.0018281+0.00018648i,-0.0022526-0.00037564i,-0.0020143-0.00098186i,-0.0020189+0.0005621i,-0.0025366+0.0016917i,-0.001872+0.0012966i,-0.0011571+0.0012378i,-0.00046576+0.0011391i,0.00039225+0.00018954i,0.00033864-0.00025888i,0.00038993+0.00043801i,0.00025781+0.00092753i,-0.00046295+0.00083557i,-0.00076911-0.00015451i,-0.00018068-0.0010174i,0.00015928-0.00083946i,0.00056536-0.00011457i,0.00045656-0.0001112i,2.8888e-05+0.00010717i,-5.9665e-05+0.0004413i,0.00019817+0.00020553i
0.0013163-0.00039672i,0.0017839-0.00072366i,0.0014661-0.00086548i,-0.00080442-0.00076877i,-0.0024621-0.0012294i,-0.0027499-0.00066116i,-0.0024033+0.0006489i,-0.0013248+0.0014225i,-0.0010765+0.0010933i,-0.00083013+0.00054533i,-0.00024389+3.2017e-08i,-0.00063138+0.00027636i,-0.00091514+0.00039023i,0.00018348-2.8654e-05i,0.00086412-0.00032923i,0.00047955-0.00079614i,-8.6894e-05-0.00079766i,-0.00024733-0.00075281i,-0.00055519-0.00082566i,-0.00077724-0.00059035i,-0.00022161-0.00072432i,0.000622-0.00062747i,0.00074127-8.1952e-05i
-0.0013092-0.0001574i,-0.0016033+0.00012329i,-0.0020753+0.00062234i,-0.0027466+0.00043731i,-0.0031179+0.0001782i,-0.0032065+3.9007e-05i,-0.0022814+0.0004424i,-0.0010131+0.00090834i,-0.00049334+0.00068473i,-0.00084093+0.00018546i,-0.00079006-0.00020595i,-0.00030037-2.907e-05i,5.6901e-05-0.00030033i,-1.6014e-05-0.0005898i,-0.00021597-1.0004e-05i,-0.00064929-0.00011156i,-0.00030217-0.00071027i,0.00042236-0.00032977i,0.00059282+0.00020317i,-3.5142e-05+5.5226e-05i,-0.0001227-0.00045603i,0.00088947-0.00038305i,0.00079063+0.00085239i
0.00071639-7.0747e-05i,0.00056548+0.0011128i,-0.00092251+0.0011577i,-0.0016333+0.001018i,-0.0021876+0.0009794i,-0.0022375+0.00063323i,-0.0018041+0.0011456i,-0.0012202+0.0018765i,-0.00050273+0.0022336i,-0.00036484+0.0018022i,-0.0010252+0.00042056i,-0.0014332-0.00054802i,-0.00032552-0.00041481i,0.00073969-0.00028329i,0.00045528-0.00014239i,0.00030178+0.00025224i,0.00016236+0.00050221i,-0.00012115-4.1457e-05i,0.00012422-0.00015236i,1.3669e-06+0.00072627i,-0.00016927+0.00070841i,-0.00055184-0.00010297i,-0.00077148-0.00035426i
0.00074488+0.00054554i,0.00030214+0.0014704i,0.00065291+0.0016123i,0.00015017-0.00029375i,-0.0011199-0.0010285i,-0.0013949+0.00014201i,-0.001569+0.0013492i,-0.0021612+0.001446i,-0.0018171+0.0010777i,-0.0004143+0.00096359i,0.00081459+0.00025236i,0.00065339-0.00035995i,-0.00052051-8.5093e-05i,-0.0011888+0.00027576i,-0.00069797+0.00038301i,0.00024371+0.00039539i,0.00053525-2.6295e-05i,0.00011884-0.00043259i,-0.00038709-0.00055665i,-0.00012685-0.00079908i,0.00027078-0.00062326i,-9.9108e-05+7.0442e-05i,-0.00087251+5.1108e-05i
-0.0011273-0.00083839i,-0.0014697+0.00019416i,-0.0017379+0.0023285i,-0.0013392+0.0019416i,-0.0012479+0.00071637i,-0.0023526+0.00063136i,-0.0027745+0.00097559i,-0.0016509+0.0015296i,-0.0012179+0.0019306i,-0.00070386+0.0014261i,0.00024035+0.00050249i,0.00018022-0.00037405i,-0.00029764-0.00081482i,-0.00037444-0.00089281i,-0.00031966-0.0009435i,-0.00061752-0.00021002i,-0.00069037+0.00030699i,-0.0010427+0.00044653i,-0.0010307-0.0003777i,0.00019568-0.00088769i,-0.0003803-0.00027266i,-0.00053091-3.1623e-05i,-6.0672e-06-0.00013569i
-0.00025253-0.00014771i,0.00071489-0.00040395i,0.00073568-0.00056424i,-0.00056799-0.00034446i,-0.002052-0.000772i,-0.0027552-0.00073897i,-0.002241+0.00092133i,-0.0012795+0.001269i,-0.00052311+0.0009037i,-9.4988e-05+0.0013284i,-1.6718e-05+0.0011845i,6.2195e-05+0.00051861i,-0.00013754+0.00036207i,-0.00084952+0.00081161i,-0.0012695+0.00083004i,-0.00093156-7.2543e-05i,-0.00010143-0.00092637i,0.00022157-0.0011907i,0.00011394-0.0005348i,-0.00028709+0.00011193i,-0.0004184+0.00038338i,-0.00019681-9.5353e-05i,0.00013428-0.00078463i
0.0013769+0.00055043i,0.0016671-0.00074635i,0.001581-0.0018424i,0.0003108-0.0025219i,-0.0011005-0.0016706i,-0.0027824+0.00021058i,-0.003031+0.0017673i,-0.0014354+0.0025521i,-0.00085318+0.0020285i,-0.00079416+0.001448i,-0.00027405+0.00074141i,0.00016778+0.00013381i,-2.8511e-05+0.00080574i,-6.6509e-06+0.0015827i,0.00033562+0.00089374i,-0.00020247-0.00046235i,-0.00050239-0.00055094i,-0.00035321-0.00031092i,-0.00034672-0.00080894i,-0.00047438-0.0005173i,-0.00049259-0.00011911i,0.00031254+0.00031738i,0.00058065+0.00083122i
-0.00071193-0.0026544i,-0.0013309-0.0017379i,-0.0017954-0.00043699i,-0.0020688+0.00022844i,-0.0030234+0.00011641i,-0.0027923+0.00056101i,-0.0019824+0.00077113i,-0.0013014+0.00021033i,-0.00057378-0.00032185i,-0.00017372-0.00013934i,-0.000368+0.0002601i,-0.0002067+0.00063644i,-0.0002141+0.00079821i,-0.00018736+0.00093269i,-0.00032926+0.00057797i,-0.00050345-0.0003443i,-0.00011158-0.00082446i,-4.5991e-05-0.0010386i,-0.00032425-0.0010515i,-0.0002426-0.00054264i,4.5126e-05-0.00015642i,8.8312e-05+1.7034e-05i,-0.00015468+0.00065682i
0.00072852-2.6367e-05i,0.00054072-0.00042617i,0.0013078-0.00021525i,0.0012375-0.0010745i,-0.00060459-0.0012341i,-0.0024535-0.00015504i,-0.0028388+0.00073503i,-0.0018171+0.0011711i,-0.0010261+0.0015771i,-0.00096418+0.0010012i,-0.00030555+1.9046e-05i,-0.00020462-0.00037714i,-0.0001672-0.00020438i,-0.00013157+0.00042185i,-0.00038768+0.00063383i,-5.4371e-05+0.00036564i,0.00044974-2.6582e-05i,0.00066559-0.00010959i,-0.00023068-0.00042341i,-0.0011551-0.00043242i,-0.00093879+7.1083e-05i,-0.00068004-0.00037612i,-0.00034615-0.00090305i
0.00096602-0.00067052i,0.0003981-0.00035162i,-9.5055e-05-8.8372e-05i,-0.0019445+0.00036492i,-0.0034513+0.00040435i,-0.0035036+0.00026322i,-0.0022446+0.0010627i,-0.00058903+0.0022171i,-0.00066+0.0016607i,-0.0013328+0.00081238i,-0.0013607+0.00091389i,-0.00096331+0.00027532i,-0.00093637-1.9969e-05i,-0.00063363-0.00023633i,-0.00066635-0.00076732i,-0.00047205-0.0008299i,-0.0004182-0.00076045i,-0.00047653-0.0010677i,-0.00060053-0.0013317i,-0.00077305-0.001156i,0.00017496-2.1412e-05i,0.00066158+0.00082817i,-3.9602e-05+0.00068171i
-0.00045907+0.0011448i,-0.00037885+0.0013837i,0.00028671+0.0013275i,0.0005811+0.00072538i,-0.00063582+0.00077493i,-0.0014946+0.0012165i,-0.0023719+0.002003i,-0.0025742+0.0022369i,-0.0018385+0.0019104i,-0.0011695+0.0012497i,-0.00076865+0.00029478i,-0.00068568-0.00063344i,-0.00012942-0.0005763i,0.00020902-0.00022775i,-0.00057366-0.00067231i,-0.0010878-0.00075033i,-0.00060418-0.000717i,-0.00010601-0.00072469i,-3.4524e-05-5.7171e-05i,2.4097e-05+0.00041314i,0.00022256+0.00038311i,0.00054672+0.00023504i,0.00041004-1.5993e-05i
0.0010985-0.0014833i,8.1477e-05-0.0019307i,-0.00055496-0.0016978i,-0.0016379-0.00077888i,-0.0028524-0.00023891i,-0.0035935+0.00054176i,-0.0028515+0.00138i,-0.0014602+0.0013607i,-0.00057189+0.00071145i,-0.00050449+0.00040205i,-0.00012522+0.00024304i,0.00032914+6.641e-05i,0.00030768+0.00024299i,0.00028749+0.00016721i,-9.9192e-05+0.00038048i,-0.00076391+0.0010916i,-0.0012634+0.00019784i,-0.00086777-0.0006208i,-0.00081625+0.00024461i,-0.00040318+0.00030855i,0.00018895+0.00022908i,5.1326e-05+0.00013557i,0.00020456-0.00010795i
-0.00054172+4.0454e-06i,-0.00082119-0.0004223i,-0.00033165-0.0013692i,0.00016178-0.0011186i,-0.001435-0.00079257i,-0.0023347-0.00024976i,-0.0017774+1.3623e-05i,-0.0007976+0.00021942i,-0.0002564-6.7552e-05i,-0.00048425-0.00024227i,-0.00064475-0.00017386i,-0.00032665-0.00038939i,0.00024288-0.00062455i,0.00013504-0.00033445i,-0.00036793+4.4213e-05i,-0.00038645-0.00024165i,6.5376e-05-0.00085081i,7.3104e-05-0.001148i,0.00037916-0.00089508i,0.0010434+6.9018e-06i,0.00079975-0.00026757i,0.00044021-0.00061134i,-0.00013342-0.00024339i
0.00034252+0.00065198i,0.00080492+0.00054678i,0.0010539-0.00034334i,0.00079792-0.00079229i,-0.0012195-0.000344i,-0.0033069-2.3048e-05i,-0.0025812+0.0004811i,-0.00093722+0.00087231i,-0.00061067+0.0012499i,-0.00072368+0.0010884i,0.00045272+0.00074209i,0.00065917+0.00063296i,0.00020135-0.00014369i,0.00016823-0.00090106i,-5.6153e-05-0.00099881i,-0.00027753-0.0013265i,-0.00023259-0.0016392i,-9.0931e-05-0.0012403i,0.00019022-0.00046892i,0.00011656-0.00068667i,-2.9901e-05-0.00087311i,0.00034792+7.603e-05i,-0.0003142+0.00045736i
-0.00072678+0.00012742i,-0.00053132+0.00087223i,-0.00058537+0.0014951i,-0.0012717+0.0011605i,-0.0020958+0.00043672i,-0.0029077-0.0003889i,-0.003052+0.00017179i,-0.0016171+0.0016687i,-0.00051572+0.0021321i,-0.00036193+0.0015378i,-0.00023788+0.00077789i,-0.00057308+0.0002299i,-0.00088185+0.00019338i,-0.00021171+0.00036558i,-5.3773e-05+0.0005017i,-0.00031437+0.00051039i,-0.00024499-0.00012035i,-0.00054948-0.00083808i,-0.00049101-0.00075196i,3.7466e-05-0.00042036i,-0.00023434-0.00052406i,-0.00036738-0.00034033i,-0.00022335-0.00016466i
-0.0007737-0.00066194i,-0.00068327-0.00034251i,-0.00094938-0.00021027i,-0.0014961-0.0005458i,-0.001822-0.00058854i,-0.0020208+0.00026026i,-0.0018167+0.001399i,-0.0014226+0.00192i,-0.001312+0.0021433i,-0.00065205+0.0021736i,0.00031348+0.0011671i,0.00011153+8.3077e-05i,-0.00033505-0.00015152i,8.8334e-05+0.00026754i,-0.0001959+0.00054733i,-0.00043281+0.00033996i,0.00041383+0.00030071i,0.0011156+0.00012104i,0.0005726-0.0002206i,-1.3671e-05-0.0005698i,-2.8547e-05-0.00037045i,-1.6473e-05+0.00040103i,0.0006673+0.00052955i
-0.00029849+0.00018663i,-0.00089561+0.0017441i,-0.0011644+0.0019711i,-0.00087677+0.0012881i,-0.0010705+0.00013864i,-0.001657-0.00063618i,-0.0018152+0.00027441i,-0.0018545+0.0014744i,-0.001623+0.0015999i,-0.001462+0.0014712i,-0.0010814+0.001045i,-0.00027193+0.00013629i,-9.1836e-06-0.00023523i,0.00058405+8.9073e-05i,0.0012735+0.00020485i,0.0011223-2.2359e-05i,0.0004601-0.0003957i,-0.00016407-0.00028188i,-0.0003987-0.00031683i,0.00010723-0.00053188i,0.00039382-0.00018068i,0.0003799+0.00012325i,0.00077167-0.00017123i
0.0011752-0.0015917i,0.0004386-0.0014229i,-0.0002915-0.0021252i,-0.0010611-0.0029762i,-0.0018161-0.0022064i,-0.0024967+0.00047182i,-0.0024807+0.0023067i,-0.0021997+0.0022878i,-0.0012629+0.00062116i,-0.00022025+6.4306e-05i,-1.3008e-05+0.00050387i,-3.5768e-05+0.00038367i,-0.00018995+0.00040121i,6.0626e-05+0.00017945i,-5.5362e-05-0.00050884i,-0.00057-0.0013651i,-5.0039e-05-0.0013781i,0.00037563-0.00038653i,0.00027451+0.00055986i,0.00014396+0.0012916i,-2.2646e-05+0.0013807i,-0.00030645+0.00082907i,-0.0010392+0.00056633i
0.00033199-0.00076541i,-8.983e-05-0.00018883i,-0.0015648+8.7013e-05i,-0.0028864-0.00086553i,-0.0031316-0.0013757i,-0.0030963+4.0891e-05i,-0.0024518+0.0018387i,-0.0013837+0.0023856i,-0.00094525+0.0018149i,-0.00054394+0.0010574i,0.00046563+0.00081749i,0.00053255+0.00014152i,-4.4648e-05-0.00025067i,-2.177e-05-0.00074291i,0.00035887-0.0005389i,3.1515e-05+0.00048797i,-0.00064027+0.00048857i,-0.00036106-0.00017255i,6.5503e-05-0.00075841i,-0.00059162-0.00015944i,-0.00045511+0.00019987i,-0.00056564+5.9288e-05i,-0.0010707+0.0006575i
0.00060408+0.0010664i,0.0018355+0.00090614i,0.0026491+0.00092334i,0.0022517+0.00037191i,0.00074736-0.0004447i,-0.0017466-0.00082969i,-0.0028139+0.00018033i,-0.001919+0.0014056i,-0.0013139+0.0014687i,-0.00032992+0.00073845i,0.00050902+0.00033181i,-0.00027561+0.00021678i,-0.00048686+0.00020457i,-0.00013832-0.00051697i,8.364e-05-0.00070209i,-0.00016729-0.00028344i,-0.00044103-0.00039811i,-0.00079877-0.00055883i,-0.00084049-0.00075355i,-0.00077305-0.00031953i,-0.00077819+0.00065508i,-0.00044389+0.00072759i,-0.00043594+0.00034329i
-0.00074491-0.0003511i,-0.001001-0.00066876i,-0.0017899-0.0011454i,-0.0025153-0.0012999i,-0.0026244-0.0013736i,-0.0026695-0.00091355i,-0.0025497+0.00084712i,-0.0023085+0.0019699i,-0.0020013+0.0018759i,-0.00037986+0.0019216i,0.00084556+0.0015548i,0.00055465+0.000485i,0.00040452+0.00012514i,0.00082009+3.817e-05i,0.00041916-0.00025372i,-0.0001153-0.00060763i,7.5234e-06-0.00094804i,-0.00013144-0.00039284i,-6.417e-05-0.00012821i,-5.218e-05-8.8282e-05i,-0.00022723-0.00038511i,-0.00027338+0.00013055i,-0.00045206+0.00080765i
0.00051248+0.0006968i,0.00089996+0.00095081i,0.00079726+0.00035864i,0.00013795-0.0005078i,-0.0016783-0.00084572i,-0.0029292-0.0011312i,-0.0020823+0.00084938i,-0.0012682+0.0021143i,-0.00034772+0.001377i,-8.2371e-06+0.00078436i,-0.00033633+8.9277e-05i,-0.00058826-0.00030565i,-0.00073821-6.2072e-05i,-0.00013928+0.0004223i,5.0667e-05+0.00024995i,-0.00063262+0.00037412i,-3.2175e-05+0.0001156i,0.00080009-0.00011371i,0.00013086-0.00020172i,-0.00023049+0.00023781i,-0.00015556+0.00053224i,-4.5657e-05+0.00019787i,0.00020327+0.00055878i
0.0010041+0.00025126i,-0.00035776+0.00083i,-0.00052632+0.00028957i,-0.00033543-0.0004397i,-0.0015706-0.00041878i,-0.0027674+0.00029741i,-0.0026659+0.0015307i,-0.0021534+0.001658i,-0.0010326+0.00022431i,-0.00064844-0.00064945i,-0.00045523-0.00012682i,-0.00041637+9.4638e-05i,-0.00056727+0.00037515i,-0.00034745+0.00013158i,-0.00035094-0.00033139i,-0.00040877+0.00034617i,-0.00089271+0.00066081i,-0.0010577+2.1228e-08i,-0.00053626-2.7417e-05i,-0.00070006+0.00038088i,-0.00037596-4.1318e-05i,0.00034274+8.2749e-05i,0.00015176+0.00040593i
0.00093887+0.00047253i,-0.00033529-0.00043699i,-0.0015491-0.00084797i,-0.0019796-0.00061767i,-0.0027626-0.00011801i,-0.0035116+0.0006164i,-0.0032293+0.001335i,-0.001671+0.0010986i,-0.00076879+0.00026199i,-0.00017431+0.00031728i,0.00024467+0.00056549i,0.00057717+0.0004488i,0.0010944+0.00074462i,0.00047706+0.00017781i,-0.00048949-0.00064896i,-0.00072812-0.00080981i,0.00021379-0.0012621i,0.00066299-0.0011398i,-0.00042402-0.00080876i,-0.0004006-0.00075465i,0.00014667-0.00018357i,0.00038991-1.7783e-05i,0.00043945+0.00011069i
0.0026927+0.00013159i,0.0018421-0.0019359i,0.0014047-0.0027796i,0.00035769-0.0029205i,-0.0019904-0.0030836i,-0.0036269-0.0015199i,-0.0032027+0.00069674i,-0.0021329+0.0015257i,-0.00090382+0.0011613i,-2.1582e-05+0.001011i,-0.00010776+0.0011271i,-0.00012735+0.00046895i,0.00074843+0.00018196i,0.0006072+0.0004655i,0.00036049-0.0002833i,0.00052166-0.0010543i,-6.9912e-05-0.00078118i,-0.00038226-0.00054855i,-0.00081082-0.00034372i,-0.00050218-0.00014645i,0.00018043-0.00013534i,-0.00013057+0.00036521i,-0.00040041+0.00062499i
0.00072279-8.0756e-05i,0.00096409+0.0010866i,0.0011212+0.00079533i,0.00068885-0.00078456i,-0.0014798-0.0014072i,-0.0035326-0.0006096i,-0.0024318+0.00099653i,-0.0013028+0.0018156i,-0.0011891+0.0015705i,-0.00032109+0.00076845i,-0.00035406+1.8243e-05i,-0.00093408-0.00017268i,-0.00051818-0.00021168i,0.00021817-9.1958e-05i,0.00039161+0.00015709i,0.00023857+0.00053536i,2.2862e-05+0.00015032i,-0.0005415-0.00012379i,-0.00063353+1.736e-07i,3.7521e-05+0.00011202i,0.00053112-0.00018906i,0.00078072+7.9592e-05i,0.00026766+0.00065256i
0.00089323-0.0019067i,9.9344e-05-0.0022203i,-0.00038369-0.0023824i,-0.0013678-0.002005i,-0.0025296-0.0014509i,-0.0033216-0.00023617i,-0.0027208+0.0011698i,-0.001526+0.0012689i,-0.00086821+0.0011164i,-0.00076813+0.00055735i,9.7735e-05+4.3887e-05i,0.00095161+0.00010032i,0.00069327+0.00047613i,0.00077551+0.00087516i,0.00026583+0.0005619i,-0.00051039-0.0004419i,-0.00091134-0.00063317i,-6.0381e-05-0.00018626i,0.00030085+0.00013907i,-0.00020641+0.00030333i,-2.4137e-05+0.00032737i,0.00022621+0.00068714i,-0.00016093+0.00062646i
-0.0013528-0.0010261i,-0.00073197-0.00025088i,-0.0012587+0.00030962i,-0.0013519-8.2212e-05i,-0.00093443-0.00068803i,-0.0013944+0.00026573i,-0.0024383+0.0013584i,-0.0018689+0.0010209i,-0.00032912+0.00095465i,-0.00011831+0.0013105i,3.9819e-05+0.00078082i,0.00091278-0.00063032i,0.00089811-0.00088323i,0.00022256-0.00080532i,0.00037107-0.00090804i,1.2465e-05-0.00095473i,-0.00077634-0.001242i,-0.0013612-0.001352i,-0.00071005-0.00082072i,0.00024023+0.00070004i,-0.00023324+0.00062565i,2.869e-05+0.00020364i,0.0002114+0.0001691i
0.00038701-5.2036e-05i,-0.00033651+0.00054715i,-0.00091049+0.00041197i,-0.0015863+0.00080746i,-0.0015039+0.00065814i,-0.0018552+0.0005357i,-0.0023701+0.0009103i,-0.0017272+0.0011112i,-0.0014913+0.0013262i,-0.00095396+0.0007494i,-0.00013534+7.3102e-05i,-0.00053257-1.0981e-05i,-0.00031532+9.6773e-05i,-0.00055831+2.5245e-05i,-0.0010114-0.00025619i,-0.00047681-0.00037078i,-0.00025167-0.00075523i,-0.00052639-0.0014014i,-0.00078746-0.00076887i,-0.00079735+0.00021165i,-0.00044405+0.00042241i,-0.00041061-0.00060674i,-0.00012089-0.00084611i
-0.00095911-0.00063528i,-0.0016628-0.0010805i,-0.0020835-0.0017046i,-0.0021174-0.0011077i,-0.0031407+0.00020092i,-0.003803+0.0012807i,-0.0035293+0.0015221i,-0.0022206+0.0018155i,-0.0012535+0.0018753i,-0.00064925+0.0014369i,-0.00017784+0.00092085i,-0.00033634+0.00027363i,-0.00059601-0.00059594i,-0.00039995-0.00073159i,5.586e-05-0.00063784i,-2.4434e-05-0.00033951i,-0.00043077-0.00040796i,-0.00041242-0.00074626i,-0.00070604+1.1804e-05i,-0.0011629+0.00038128i,-0.00043915-0.00012171i,0.0005248-4.4208e-05i,-7.3525e-05+0.00044307i
-0.00079585-0.00076351i,-0.00016185-0.00024003i,0.00014074-0.00032112i,-0.0014264+0.00049025i,-0.0031803+0.0011268i,-0.0029788+9.3977e-05i,-0.0018855+0.00045863i,-0.00099454+0.0013863i,-0.00056148+0.0008361i,-0.00029128+0.00027991i,0.00013328+0.00027748i,4.1562e-06-0.00018514i,-3.0734e-05-0.00027442i,0.00019591+1.3665e-05i,2.2401e-05-0.00075395i,0.00033168-0.0016472i,0.00042581-0.0015028i,0.00033241-0.00096514i,0.00043151-0.00043581i,0.00042939+0.00025119i,0.00061312+0.00045684i,0.00043611+0.00060051i,0.00010502+0.00094912i
-0.00018441-0.0029036i,-0.0014801-0.0034786i,-0.0033252-0.0032751i,-0.0038456-0.0020223i,-0.0037836-0.0014763i,-0.0036474-0.0013881i,-0.0026451-0.00050405i,-0.0014181+0.0011996i,-0.00065201+0.001871i,-0.00096623+0.0012827i,-0.0012583+0.0011173i,-0.00054198+0.0010644i,-0.00043083-0.0001128i,-0.00087932-0.0001349i,-0.00064348+0.0007339i,-0.0005884+0.00037082i,-0.000746+0.00021345i,-0.00095181-6.3462e-05i,-0.00071736-0.00063181i,-7.0138e-05-0.00066787i,0.00026729-0.00011731i,-6.0344e-05+0.00042204i,-0.00056213-0.00016352i
0.00030442-0.00030074i,0.0009099-6.6066e-05i,0.0012715+0.00095016i,0.00032912+0.00023111i,-0.0014907-0.0015469i,-0.0030602-0.0010216i,-0.0029593+0.00018908i,-0.0022578+0.0010437i,-0.0025089+0.0020006i,-0.0018803+0.0022666i,-0.00052759+0.00098977i,-0.00010268+6.9455e-05i,5.6455e-06-0.00054344i,0.00020603-0.00082389i,0.00022825-0.00068845i,0.00059338-0.00056835i,0.0002041-0.00035061i,-0.00040931-0.00032595i,-0.00016509-7.0229e-05i,0.00072736-9.2023e-05i,0.00085452-0.000243i,0.00052097+0.00010897i,0.00077082+4.4659e-05i
0.0013957+4.7349e-05i,0.00097707+9.1779e-05i,0.00016796-0.0007217i,-0.0014137-0.0015657i,-0.0031678-0.0016288i,-0.0037765-0.00035962i,-0.0028358+0.0013192i,-0.001866+0.002132i,-0.0015113+0.0016184i,-0.0012497+0.000196i,-0.00015334+8.4557e-05i,0.00043211+0.00017482i,0.00017877+0.00040743i,-8.1089e-05+0.00063222i,-7.7944e-05+0.00011466i,-0.00053291-0.00047204i,-0.0010897-0.00061505i,-0.0012078-0.0010807i,-0.0010777-0.0015018i,-0.00051598-0.0011418i,0.0005269-0.00092478i,0.00067182-0.00029788i,0.0010444+6.9329e-05i
0.002127-0.00035205i,0.00091768+9.4164e-05i,-0.00090841-0.00029252i,-0.0017076-0.00073831i,-0.0025129-0.00041614i,-0.0034455+0.00026743i,-0.0032635+0.0013152i,-0.0020592+0.0012967i,-0.0012108+0.00091075i,-0.00091826+0.00068412i,-0.00046996+0.00017096i,0.00018416-0.00010209i,0.0007021-1.5234e-05i,0.00077928-0.00013824i,0.0006817-0.00015291i,0.00034929-0.00030318i,-0.0001693-0.00022843i,-0.0011293+0.00030143i,-0.0015023+0.00026478i,-0.00061494+4.8375e-05i,0.00072831+0.0003373i,0.00053003+0.00068934i,-1.7685e-06+0.00051491i
0.0020526+0.00087365i,0.0019319+0.0014924i,0.0020848+9.8601e-05i,0.0016834-0.0017332i,0.00019147-0.00287i,-0.0018316-0.0019346i,-0.0030946+0.00016456i,-0.0023092+0.0017558i,-0.0012848+0.0018367i,-0.0015398+0.00090092i,-0.00091216+0.00034128i,-0.00052226+7.8346e-05i,-0.00024961+0.00034685i,-9.0604e-05+0.00055276i,-0.00063404+0.001071i,-0.00075724+0.0013728i,-0.00028637+0.00039812i,5.2511e-05-0.00011465i,0.00026422-0.00046871i,-0.00028506-0.00014739i,-0.00021839+0.00038507i,-0.00018724+0.00017728i,-0.001032-3.9349e-05i
4.4606e-05+0.00073995i,-0.0002016+0.0014422i,0.00015184+0.0012582i,-0.00044928-0.00017115i,-0.0023164-0.00069081i,-0.0024739-7.95e-05i,-0.0017752+0.00088183i,-0.0017616+0.00083742i,-0.0017741+0.0007988i,-0.001547+0.00034841i,-0.00084091-0.00033363i,-0.00035412-0.00054034i,-1.8794e-05+8.5195e-07i,0.00063463-0.00019566i,0.00084817-0.00087726i,2.756e-05+0.00012865i,0.00020323+0.000861i,0.00072294+7.6273e-06i,0.00053012-0.00071885i,0.00028805-0.00057771i,-0.00040067-1.3024e-05i,-0.0012958+0.0003915i,-0.0011167+0.00030151i
0.00076488+0.0018406i,0.00081164+0.00047803i,0.0011569-0.00019538i,0.00052161-0.0011134i,-0.00094317-0.0012098i,-0.0026408-0.0010286i,-0.0026268-0.00062554i,-0.0020235+0.0010861i,-0.0016085+0.0018601i,-0.00091469+0.00074147i,-0.0006339-9.5453e-06i,-0.00083566-0.00013692i,-0.0012227-9.3878e-05i,-0.00079352+7.0882e-05i,-0.0002036-0.00021311i,0.00020452-0.00024109i,0.00044444-0.00020745i,-0.00016475-0.00041123i,-0.0010137-0.00044533i,-0.00031495-0.00014055i,5.5609e-05+8.9623e-05i,-0.00063011-3.5461e-05i,-0.00064186-0.00063103i
0.0014863-0.0013752i,0.0024407-0.0016407i,0.0016653-0.0018689i,-0.00082067-0.0011937i,-0.003003-0.00037511i,-0.003221+0.00050467i,-0.0025564+0.0013919i,-0.0014692+0.0013153i,-0.00046243+0.0010841i,-0.00079685+0.0014373i,-0.00063706+0.00093954i,9.793e-05+0.00063944i,0.00047993+0.00069134i,0.00022398-0.00016155i,0.00051078-0.00094357i,-9.519e-05-0.00078144i,-0.00084539-0.00024023i,-0.00038542-0.00020547i,-8.1371e-05-0.0005451i,3.6008e-05-0.00024741i,0.00041572+0.00039807i,9.1718e-05+0.00083428i,-0.00037621-0.00015572i
