6.6541e-05+3.996e-05i,-0.00037521-0.0012116i,-0.0016988-0.0017802i,-0.0019756-0.00084996i,-0.0014551-0.00026861i,-0.0010365+0.00054858i,-0.00081289+0.0011288i,0.00013385+0.0014234i,0.00068635+0.0014276i,0.00061934+0.00042911i,0.00039548-0.000401i,0.00034837-0.00056324i,-0.0003941-0.00044166i,-0.0011407-0.0007477i,-0.00076608-0.00049747i,-0.00024042-0.0001818i,7.5875e-05+8.0982e-05i,-3.077e-05+0.00038847i,0.00038084+0.00020741i,0.00067362-0.00011411i,0.00015315-0.000799i,0.00035037-0.00072345i,0.00049893-0.00046775i
-0.00015212+0.0011155i,9.8636e-05+0.00048774i,-8.4023e-05-0.00065324i,-0.00026785-0.0011627i,8.3126e-05-0.0018287i,0.00028656-0.0019522i,0.0001589-0.0017729i,0.00037788-0.0013432i,0.00090554-0.00019668i,0.0014525+0.00042197i,0.0014188+0.00057168i,0.00083024+0.0002927i,-0.00031879-0.0005759i,-0.00091986-0.0003901i,-0.00075599+0.00080808i,-0.00028214+0.00094692i,0.00039752+0.00037272i,4.9938e-05-0.00066846i,-2.0413e-05-0.0010189i,6.5409e-05-0.0011134i,-0.00034027-0.00079606i,0.00047305+0.0004053i,0.00054333+0.00092639i
0.0006897-0.00057326i,-0.0004631-0.0021648i,-0.0013217-0.0033366i,-0.0014578-0.0022648i,-0.00096202-0.00091835i,-0.00021791-0.00033787i,0.00039997-0.00039358i,0.00062211+4.248e-05i,0.0008966-5.186e-05i,0.001198-0.0010085i,0.0011393-0.00097312i,0.00033458+3.4142e-05i,-0.0004514+0.00016965i,-0.00017118-0.00011942i,0.00045939-0.00028983i,0.00059503-0.00048341i,0.00011047-0.00063855i,-0.00058132-0.00039869i,-0.00060378+1.3589e-05i,-0.0006231-0.00030996i,-0.0010051-0.00081096i,-0.0007436-0.00091553i,-0.00035412-0.00026938i
0.00041227-0.0026268i,-0.00077025-0.0030861i,-0.0015076-0.0032073i,-0.0018857-0.00013495i,-0.0015968+0.001814i,-0.0011807+0.0012022i,-0.00037863+0.00023431i,7.5608e-05-0.00030794i,0.00056622-0.00016948i,0.00088422-1.1434e-05i,0.00030474-0.00015545i,0.0001303+0.0002939i,0.00015583+0.0011079i,0.00021318+0.00074965i,0.00035459-3.1798e-05i,0.00016415-0.00058371i,0.00049542-0.00040619i,0.00068132+0.00022153i,0.00077665+0.00034944i,0.0014646-0.00032626i,0.0010018-0.00018005i,1.0441e-05+0.00016476i,-0.00033263+0.00027442i
-0.00057754+0.0017082i,0.00073646+0.0021849i,0.0015122+0.002642i,0.0013678+0.0017674i,0.0021479+0.00077474i,0.0018009+0.00015873i,0.00037639-0.0010932i,-0.00024828-0.0018109i,-0.00013073-0.0010526i,0.00035036-0.00016469i,0.00058185-0.00036111i,0.00092884-0.00068752i,0.0014097-0.0011781i,0.00085822-0.0010944i,1.5806e-05-0.00056161i,-0.00035545-0.00093193i,-8.2891e-05-0.0010149i,0.0004842-0.0004955i,0.00086549-0.00043669i,0.00079189-0.00058302i,0.0003844-0.00023522i,6.7725e-05+0.00041983i,0.00034691+0.00029474i
0.0013703+0.00066718i,0.0010573-0.00038553i,0.00092024-0.0017071i,7.3787e-05-0.0022555i,0.00010078-0.0017447i,0.00022336-0.00096025i,0.00023385-0.00037292i,-0.00036475-0.00076351i,-0.00053619-0.00068543i,-0.00076471-0.00069581i,-0.00087092-0.00048558i,-0.00010475+0.00069279i,0.000388+0.00043234i,0.00023509-0.00048i,-0.00023632-0.00022332i,-0.00055551+9.3993e-05i,-0.00031554+9.6253e-05i,0.00040162+0.00034712i,0.00019349+0.000147i,-0.00032254-4.7428e-05i,0.00028036-0.00045165i,0.0010376-0.00046741i,0.00016103+0.00039636i
-0.00015384-0.0014131i,-0.00010441-0.002228i,-0.00046075-0.0023311i,-0.0017603-0.00097512i,-0.0023165-0.00029483i,-0.0016288-0.00044221i,-0.00051839-0.0011014i,-0.00042754-0.00092315i,-0.00025627+2.5707e-05i,-0.00015542+0.00073552i,0.00038189+0.0014216i,0.00034052+0.0011633i,-7.8833e-05+0.00033433i,0.00014611-2.8076e-05i,3.926e-05-0.00018397i,-6.0459e-05-0.00027664i,-8.9887e-05-0.00060948i,-1.2016e-05-0.0012922i,0.00078707-0.0009136i,0.0011106-0.0001437i,0.00074355-0.00046553i,0.00014432-0.00066364i,-0.00033857-0.00017499i
-0.00057534+0.00042221i,-0.0007168+0.001466i,-0.00040052+0.0021408i,-0.0006005+0.0020671i,-0.00081699+0.0019766i,6.8359e-05+0.0011634i,0.00040677+8.1958e-05i,0.00013664-0.00031938i,0.00070811+0.00047266i,0.0016065+0.00075334i,0.0016173+0.0007362i,0.00065765+0.00033458i,0.00018712+9.8486e-05i,-0.00022547-0.00028509i,-0.0007074-0.00073256i,-8.5754e-05-0.00033658i,0.00061136-0.00023376i,0.00026432-0.0004168i,-0.00011365-0.00024058i,-0.00015357+0.00028672i,-0.00031775+0.0003934i,-0.00022908+9.3067e-05i,1.2124e-05+0.00026182i
-0.0023182-0.00064244i,-0.0026332-0.0013404i,-0.0019238+0.0002543i,-0.0011092+0.0019029i,0.00075486+0.002146i,0.0016582+0.0018405i,0.00065221+0.00064852i,-6.9159e-05+0.0006523i,0.0005014+0.0017292i,0.00084816+0.0014441i,0.00093869+2.9339e-05i,0.001249-9.6822e-05i,0.00097092+0.00018341i,0.00019587+0.00019851i,-0.00045514+0.00011125i,-0.00032108-0.00054918i,-0.00014345-0.0011916i,-0.0001223-0.0006383i,-0.00015313+0.00041295i,0.00063094+0.00055212i,0.00093429+7.7485e-05i,0.00040836-3.018e-05i,-0.00047886+0.00066034i
0.0012748-4.2172e-05i,0.0003952-0.00063212i,9.1488e-05-0.0015706i,-0.00026299-0.0017558i,-0.00083716-0.0013799i,-0.0006643-0.0018181i,-5.449e-05-0.0014216i,0.00023068-0.0010877i,0.00080619-0.0014982i,0.0019504-0.0011871i,0.0017624-0.00055643i,0.00066515-2.3627e-05i,0.00020022+0.00048562i,0.00022565+0.00064137i,0.00078382+0.00045766i,0.0011542+3.7695e-05i,0.0011878+6.1764e-05i,0.0009263+0.00071364i,0.00054719+0.00067988i,0.00023135+0.00070265i,-0.00020144+0.0010614i,-0.00043727+0.0002829i,0.00019023-0.00043426i
0.0027487+0.0006925i,0.0026594-0.00021675i,0.002509-0.0017206i,0.0015538-0.0025376i,-0.00021631-0.0024279i,-0.00074895-0.0023032i,-0.00027563-0.0015532i,0.00070362-0.00066091i,0.0011071-0.0011047i,0.00063276-0.0016254i,0.00026385-0.0021957i,-5.8518e-05-0.0021063i,-0.00039515-0.0010506i,-0.00087575-0.0013339i,-0.00045145-0.0019803i,7.4001e-05-0.00060436i,0.00023674+0.00091777i,0.00039337+0.00061105i,9.5445e-05-0.00024818i,0.00029576-0.00074118i,0.00071838-0.00031062i,-0.00015586+9.0589e-05i,-0.00020349+0.00034197i
0.0012107+0.00038681i,0.0018774-0.00045195i,0.0019153-0.0022051i,0.00040335-0.0027294i,-0.00065-0.0014602i,-0.00032728-0.00080223i,-0.00024765-0.00061222i,-0.0011593-0.00077882i,-0.001428-0.0012299i,-0.00094363-0.00079775i,-0.00029036+0.00029075i,-9.7316e-05-0.00032087i,-0.00065742-0.0016298i,-0.0010119-0.0015335i,-0.00089712-0.00034737i,-0.0010728+0.00032671i,-0.00056339-0.0001355i,-0.00036521-8.8136e-05i,-0.00025758+0.0001202i,0.00029825-0.00039991i,5.782e-05-0.00043083i,0.00012568-0.0002806i,0.00057104+0.00014216i
-0.0015529-0.0015425i,-0.0021736+8.8126e-05i,-0.0037711+0.00053295i,-0.0037485+0.0011533i,-0.0019095+0.0016528i,4e-07+0.0017383i,0.00011029+0.0013601i,-0.00099355+0.0010581i,-0.0010034+0.0010731i,-0.00076207+0.0010051i,-0.00045407+0.00063093i,3.113e-05+0.00047775i,-6.058e-06+0.000159i,0.00029831-0.0008084i,0.00014463-0.00078393i,2.9907e-05-0.00010312i,0.00068436+7.6811e-05i,0.00074672-1.8793e-05i,0.00075192-0.00016397i,0.00043154-0.0005823i,4.113e-05-0.00073134i,0.00016596-0.00021479i,-6.4736e-05+6.1315e-05i
-0.0005996-0.00067019i,-0.0010724-0.00058263i,-0.0022757-0.00031693i,-0.0020183+0.00023378i,-0.00057051+0.00091571i,0.0006171+0.0010016i,0.00041605+0.00033002i,-3.617e-05+0.00057186i,0.00020861+0.00092302i,0.00038202+0.0010889i,0.00050182+0.00086872i,0.00082816-0.00034956i,0.00089037-0.0014877i,0.00041284-0.0015456i,-0.00033353-0.0008958i,-2.5884e-05-0.00057712i,-0.00020805-0.0010877i,-0.00011666-0.00071166i,0.00025946+0.00020476i,-0.00013026+0.00049751i,0.00015573+0.00012866i,0.00044943-0.00046841i,0.00017456-0.00071855i
4.4405e-05-0.00051264i,0.0011913-0.00060409i,0.001613-0.0011357i,0.00066339-0.0017095i,4.5995e-05-0.0016938i,0.00083997-0.0015731i,0.0013784-0.0020764i,0.00087703-0.00074241i,0.0010606+0.00023877i,0.0013093-0.00040823i,0.0011092-0.00077058i,0.0013419-0.00029749i,0.0014578+0.00052439i,0.0010652+0.0013497i,0.00084222+0.00074766i,0.00053632-0.00020033i,-0.00027717-4.7678e-05i,-0.0005906+0.00023916i,-0.00082498+0.00021586i,0.00014149+0.00030041i,0.00077577+0.00048207i,0.00017208+0.00047579i,0.00031079-0.00015308i
0.00046638-0.0023142i,-0.00045269-0.0015026i,-0.002978-0.00068007i,-0.0043876+6.5477e-06i,-0.0020508+0.0004255i,0.00072832+0.00085845i,0.0015244+0.0004577i,0.00098792-0.00015111i,0.00061516-0.00012087i,0.00052011-0.00013498i,0.00057068+0.00029228i,0.00014555+5.3808e-05i,2.456e-05-0.00063376i,0.00073172-0.00095855i,0.0013495-0.0017559i,0.00099268-0.0013144i,0.00040657-0.00011287i,0.00093292+0.0002248i,0.0017154+0.0003494i,0.00091501+0.00069474i,-0.00043097+0.00057098i,-0.0011929+0.00033662i,-0.0011304+0.00010287i
0.0018597-0.0021192i,1.3072e-05-0.0023697i,-0.0013025-0.0030154i,-0.0010335-0.0019474i,-0.00053556-0.00057365i,-0.00027163-6.1404e-05i,-2.4865e-05-0.00061962i,-0.00020432-0.00044218i,-0.00027439-0.00059213i,-0.00032504-0.0018712i,-0.00042114-0.0012222i,-0.00025707+0.00031802i,-3.1657e-05+0.00018709i,0.00019112-0.00093856i,9.8206e-05-0.0012843i,-0.0004863-0.001259i,4.4935e-05-0.0011879i,0.00081742-0.0010393i,0.00098007-0.000483i,0.0010461+0.00092285i,0.00065928+0.0009988i,-0.00053136+0.00011764i,-0.001126-5.1038e-05i
-0.0033876-0.0020625i,-0.0041184-0.0018231i,-0.0053779-0.00094893i,-0.003467+0.00022343i,-0.00065393+0.0011404i,0.00017241+0.00042775i,-0.00057603-0.00054645i,-0.00093214-0.00028948i,-0.00026466+0.00063633i,-0.00053667+0.00033423i,-0.00064843-0.00020698i,0.00066485-0.00011521i,0.0013648-0.00085226i,5.1618e-05-0.0014849i,-0.001222-0.0019152i,-0.0012461-0.0017308i,-0.00057984-0.00074705i,0.00043363+0.00026463i,0.00026055+0.0012077i,-1.5752e-05+0.0019045i,0.00011797+0.0016527i,-0.00073142+0.00086853i,-0.00066118+1.2529e-05i
-0.00093763+0.0010831i,-0.00025138-0.00042191i,-0.00074152+0.00010209i,-0.00044475+0.00039908i,0.00096596-0.00044792i,0.00081-0.0011442i,0.00099307-0.00032963i,0.00068299+0.00062634i,0.00020656+0.0014238i,0.00060761+0.00095323i,0.0011879-0.00013282i,0.001341-0.00060996i,0.00030602-0.0011578i,-0.00083222-0.00083847i,-0.00095315-8.2891e-05i,-0.00085035-0.00018197i,-0.0011216-8.0803e-05i,-0.00093321+6.5995e-05i,-0.00010625+0.00070556i,0.00010524+0.00089614i,0.00065207-0.00031347i,0.0014126-0.00069441i,0.0011-0.00032576i
0.0010336-0.00027805i,0.00094049+4.9611e-05i,6.4511e-05-0.00012096i,-0.00016132-0.00065988i,-0.00021587-0.00091775i,-0.00051386-0.00099426i,-0.00047274-0.0017717i,-0.00028496-0.0015679i,0.00065686-0.00036259i,0.0014959-5.1581e-05i,0.0014409+0.00027877i,0.0010812+0.00010877i,0.00026798-2.7467e-05i,0.00016201+0.00060047i,0.00074936+0.00056401i,6.6633e-05-0.00012854i,-0.00051967-0.00029581i,-2.0353e-05-0.00021778i,0.00026232-0.00036954i,0.00025151+0.00021907i,0.00012292+0.00032795i,-0.00021102+0.00025009i,-0.00019714-0.00063191i
-0.0016524-0.0034155i,-0.0026761-0.0033079i,-0.0027798-0.0040649i,-0.0023873-0.0038168i,-0.0016946-0.00178i,0.00057521+0.00036325i,0.0019196+0.00031642i,0.0014547-0.0012986i,0.00093131-0.0013022i,0.00069402-0.0011626i,0.00056936-0.0011732i,0.0013404-0.00082691i,0.0012675-0.0011799i,0.00056518-0.0018017i,0.00035538-0.001441i,-7.772e-05-0.0010199i,-0.0001761-0.00082405i,-0.00026282-0.00059105i,-0.00052766-0.00011133i,2.0328e-05-0.00018841i,0.00054582-0.00028927i,-3.6429e-06+0.00013781i,-0.00018886+0.00016577i
0.0002131+0.00014872i,-0.0011-0.00074142i,-0.0028394-0.0017326i,-0.0029637-0.0023724i,-0.0013435-0.0015216i,0.0002107-0.00073212i,0.00044167-0.00056196i,3.4614e-05-0.00077344i,-0.00016366-0.00088234i,-9.6729e-05-0.00075315i,0.00033967-0.00056197i,0.0012408-0.00012767i,0.00043081-0.00060593i,-0.00073088-0.0012239i,-0.0006782-0.0017862i,-0.0002979-0.0015139i,-3.1566e-05-0.0013932i,0.00029044-0.00092766i,0.0003272+0.00012073i,0.00033415+0.00019331i,0.00057029+0.00016662i,0.00019413+0.00045367i,-0.0003273+0.00078353i
-0.0015109-0.00075655i,-0.002377-0.0001532i,-0.003113+0.00030984i,-0.0024611+0.0024334i,-0.0010977+0.0032544i,7.2629e-05+0.0027686i,0.00026181+0.0014835i,-9.2371e-05-0.00019907i,-0.00067377-0.0010785i,-0.0019619-0.00032318i,-0.0017435+0.00041687i,-0.0004339-0.00033746i,-0.00023705-0.00095502i,0.0001544-0.00072042i,-0.00016691-0.00089485i,-0.00083552-0.00064706i,-0.00022946+6.6732e-05i,0.00017672+0.00064221i,0.00028827+0.00062575i,0.0008447+0.00018385i,0.0012254+0.00035436i,0.00071914+0.00036916i,-0.00082837+0.00026145i
-0.0043555-0.0019295i,-0.0047155-3.1225e-05i,-0.0038001+0.0010979i,-0.0023291+0.0019531i,-0.0015888+0.0020971i,-0.00037489+0.0010071i,0.001657+0.00033515i,0.0014799+0.0002944i,-0.00033992+0.00029009i,-0.00059218+0.00035096i,0.00027679-2.2617e-05i,0.0010611+3.5047e-05i,0.0016402+0.00019619i,0.0015076+0.00040994i,0.00067816+0.00067339i,0.00041113+0.00028417i,0.0007244-0.00025141i,-0.00022683-0.00018477i,-0.0005632-0.00024831i,-0.00014282-0.0010789i,9.8129e-05-0.00082586i,0.00081111+0.00033952i,0.00022132+0.00064087i
-0.00084712+0.002078i,-0.00076848+0.0013842i,-0.00056547-0.00035336i,-0.00082216-0.0009689i,-0.00066769-0.00054442i,0.00055251-0.00082803i,0.00055591-0.0012456i,7.4747e-05-0.0002422i,0.0010593+0.0014594i,0.0025405+0.0015872i,0.0021351+0.00081683i,0.00049423+0.00046179i,-0.00021674+5.2084e-05i,-0.00042359-0.001128i,-0.00066801-0.0017156i,-0.00010305-0.0013727i,0.00031851-0.00026898i,0.0006378+0.00014496i,0.00034841-3.441e-05i,-7.492e-05+6.5007e-05i,-0.00036514+0.00040299i,-0.00066134+0.0003443i,-0.0007102-0.00040315i
-0.0010155-0.0051478i,-0.00096709-0.0048428i,-0.0017498-0.003552i,-0.0021925-0.0015803i,-0.0020361+0.00038791i,-0.00045809+0.00126i,0.00042686+0.0011104i,0.00069443+0.00021443i,0.0015806-0.00036264i,0.001499-0.00022138i,0.00087793-0.00025526i,0.00041091+0.00019726i,0.00047703+3.8783e-05i,0.00037696-0.00063871i,-0.00035576-0.00095704i,-0.00063816-0.0009304i,-0.00063874-0.00055726i,-0.00049719-0.00023797i,-0.00020274+9.2743e-05i,0.00026295+0.00036296i,0.00036134+0.00041236i,-4.1692e-05+0.00055967i,-0.00010755+0.00093001i
-0.00077414+0.0015067i,-0.00077351+0.0012046i,-0.0023922+0.0015046i,-0.0030341+0.0021243i,-0.0018542+0.0018973i,-0.00066964+0.0015125i,-0.00028368+0.0005199i,-0.00021599-0.0005417i,0.00062604-0.001337i,0.0013462-0.0023634i,0.0017465-0.0026244i,0.0016976-0.0017242i,0.0013916-0.00074666i,0.00012153-0.00044828i,-0.0018644-0.00057813i,-0.0013268-0.0012018i,8.5942e-05-0.00095033i,0.00023927-0.00027876i,0.00073782-0.00033183i,0.00061009+0.0003487i,0.0003187+0.00041114i,0.00034987-9.4875e-05i,0.00033743-0.00014144i
0.00030054+0.00026236i,0.00023+0.00052914i,-0.0010535+0.001833i,-0.0017223+0.0016295i,-0.00018794+0.00080856i,0.00083883+0.0003553i,0.00016249-0.00057231i,-0.00017121-0.0010688i,-0.00012445-0.0010975i,0.00039104-0.0015317i,0.0010269-0.0013066i,0.00070984-0.00095108i,0.00041937-0.00055418i,0.00071106-0.0010566i,0.00094961-0.0014272i,-0.00025684-0.00054281i,-0.00073254-6.471e-06i,3.2498e-05+0.00026303i,0.00047559-0.00030053i,0.00045138-0.00081707i,-2.655e-05-0.00026931i,-2.4096e-05+0.00016854i,0.00017285+0.00031382i
0.0016137-0.0015697i,0.0013481-0.0013119i,0.0016496-0.0019017i,0.0011219-0.0026469i,0.00030263-0.0023847i,-5.0927e-05-0.0016562i,6.1149e-05-0.000903i,0.00043201-0.00017726i,-0.0005275+0.00046028i,-0.0012847+0.00069914i,-0.00073017+0.00024902i,-0.00022745-9.6741e-05i,0.00017819-0.00015203i,0.0013596+9.1641e-05i,0.0017138-0.000124i,0.0010655-9.1867e-05i,0.00034541+0.00037979i,-0.00023262+0.00053358i,-0.00011078+0.00014245i,0.00028517-0.00024388i,-8.4882e-05-0.00067806i,0.0001467-0.00083502i,0.00041506+0.00020634i
-0.0026031-0.00024467i,-0.0010953-0.00045611i,-0.0014006-0.00043237i,-0.0019044+0.00049007i,-0.00077684+0.0010835i,0.00095663+0.00088565i,0.0015362+0.00027294i,0.0012514+0.00010384i,0.00042582+0.00029434i,-0.00026723+0.0011994i,-0.00019774+0.0018458i,0.00051232+0.00090317i,0.0011091-0.0001224i,0.00088862+0.00014624i,0.00025445-0.0002021i,0.0003553-0.00064283i,0.00015646-0.00019401i,-0.00025358+0.00024722i,-0.00017468+9.3152e-05i,-0.0003743-0.00045311i,9.5626e-05-0.00050516i,0.00073577+0.00016722i,0.00038821+0.00081626i
-0.00029107+0.00053754i,-7.3387e-05+0.0009479i,-2.1571e-05+0.0011435i,-0.00018653+0.00099111i,0.00066956+0.0019598i,0.0013536+0.0016499i,0.0013809+0.00045812i,0.00082193+0.00056508i,0.00067774+0.0015917i,0.000946+0.0017498i,0.0012097+0.00070846i,0.00058319-5.9617e-05i,-0.0004989-6.0726e-05i,-0.0010999-0.00015892i,-0.0011936+5.8586e-05i,-0.00057343-0.00012146i,-7.5024e-05-0.00025467i,-0.0001594+0.0001135i,-0.00040466+0.00022415i,-0.00050368+0.00012739i,-0.00098761-0.00034253i,-0.0011599-0.00045416i,-0.00043327-8.3524e-05i
0.0017962-0.0018514i,-0.0011222-0.0023722i,-0.0038996-0.0030165i,-0.0042231-0.0027494i,-0.0029215-0.0015796i,-0.0011488-0.00020718i,4.6269e-05-0.00011038i,0.00025166+0.00042648i,0.0017998+0.00066928i,0.0026795+0.00031187i,0.0020148+0.00086075i,0.0009997+0.00047224i,-8.5697e-05-5.8016e-05i,-0.00050177+0.00061992i,-8.3464e-05+0.00078974i,0.00069588+0.00038859i,0.0003884-0.00040803i,-0.00045634-0.00095769i,-0.00096251-0.00070371i,-0.00078664+7.0214e-05i,0.0003658+0.00054443i,0.00088286+0.0010842i,0.00055292+0.0016955i
-0.00026756-0.0020183i,-0.0004321-0.0027533i,-0.0013149-0.0023434i,-0.0024617-0.00098625i,-0.0019156-7.8982e-05i,-0.00045663-0.00035935i,0.00060876-0.002122i,0.0012492-0.002188i,0.0015494-0.001605i,0.0015424-0.0011791i,0.0008006-0.00060174i,0.00053577-0.00030561i,0.00093907-0.00062081i,0.0013902-0.0010767i,0.0017785-0.0012232i,0.0013971-0.00093282i,0.0006717-0.00018494i,0.00029392+7.8543e-05i,0.0002897-0.00011499i,0.0005458+4.3892e-05i,0.00084443+0.00016492i,0.0006439+0.00022251i,0.00042601+5.144e-05i
0.00070078+0.00027084i,0.001716+0.00071688i,0.0014061-0.00012915i,0.00061559-0.0015804i,9.8885e-05-0.0012551i,-0.00034243-0.00092068i,-0.0008582-0.0017172i,-0.001462-0.0014542i,-0.00064859-0.0007774i,0.0008526-0.00060808i,0.0014379-0.00070614i,0.0012564-0.0014686i,0.0008924-0.00097504i,0.00080933-0.00031066i,0.0014964-0.0010945i,0.0012896-0.0015717i,0.00065154-0.00090499i,0.00061941-0.0003864i,0.00021811-0.00038433i,0.00018665-0.00037004i,0.0003794-0.00052661i,0.00036628-0.00055239i,0.00050864-0.00046403i
-0.00045044+0.00043511i,-0.0025533+0.00039399i,-0.0035755-2.6066e-05i,-0.0026795-0.00071643i,-0.001198-0.00051487i,-0.00020441-0.00012831i,-0.00051814-0.00012009i,-0.00095152+0.00045444i,3.6296e-05+0.00036379i,0.00012655+0.00063935i,-0.00058668+0.00043425i,-0.000465-0.0004713i,0.00028309-0.0011555i,0.00073724-0.00098514i,0.00032493-0.00038132i,0.00015384-0.00020622i,0.00033944-0.00019965i,0.00063639-0.00053132i,0.00084372+1.2543e-05i,0.00046002-0.00016758i,0.00020923-0.00087159i,0.00021702-0.00084771i,6.6607e-05+9.8572e-05i
0.00069961+0.00012188i,-0.00070894-0.00041424i,-0.0015451-0.00077584i,-0.0017567-0.0013991i,-0.00097706-0.00085494i,0.00025189+0.0003228i,0.00044851+0.0009054i,0.00011728+0.0012372i,0.00032706+0.0010643i,0.00089869+0.0009338i,0.00082127+0.00046178i,0.00015614+0.00053488i,-0.00086652+0.00069385i,-0.0015499+0.0004169i,-0.001077-0.00025588i,-5.5216e-05-0.00040529i,0.0004518-0.00011859i,0.00093745-8.6719e-05i,0.001598+0.00033442i,0.0010923+0.00031376i,0.00021208-6.4097e-05i,0.00031785-0.00060963i,0.00097619-0.00078002i
0.0013521+0.00051722i,0.0015783-0.00024256i,0.0027361-0.00039232i,0.0021088-0.00079894i,0.0011238-0.0011868i,0.0010931-0.00078404i,0.0012263-0.00037595i,0.0010026-5.7927e-05i,0.00029688+0.00071198i,0.0001139+0.00089278i,0.00032308-0.00014038i,-0.00020459-0.00060332i,-0.0010392-0.00013401i,-0.0012123+0.00034626i,-0.00011631+0.0001995i,0.00085996+0.00010451i,0.000146+0.00040426i,-0.00022303+0.00069657i,-8.6347e-05+0.00030925i,0.00021584+8.5348e-05i,0.0010944+0.00066279i,0.0013266+0.00098534i,0.00076416+0.0010993i
-0.0022524+0.00078787i,-0.00023557+0.00040405i,0.00052152-4.0955e-05i,0.00057725-0.00048085i,0.00084168-0.00093068i,0.0016144-0.0014948i,0.0018449-0.001839i,0.00082643-0.0014808i,0.0003103+0.00019902i,0.00074092+0.0014045i,0.00057651+0.0011961i,-9.3027e-05+0.00082565i,-0.00031762+1.2243e-05i,-0.00011765-0.00057836i,0.00052351-0.00064648i,0.00060298-0.00024919i,-0.00036258-0.00013416i,-0.00058242-0.00066267i,0.00012086-0.00045664i,0.00059893+0.00012282i,0.00083404+9.0044e-05i,0.00083275+9.3277e-05i,0.0011973+0.00061953i
0.0007731-0.0017825i,-0.0016992-0.0026888i,-0.0047255-0.0034194i,-0.0055921-0.0017227i,-0.0032308-0.00019166i,2.7813e-05-0.00044269i,0.0011159-0.0016669i,0.0017088-0.0026155i,0.001603-0.0021073i,0.001361-0.00050919i,0.0013942+0.00042083i,0.0009498+0.00095349i,0.00054257+0.00082921i,0.0010228-0.00044326i,0.00097081-0.0017285i,-1.1757e-05-0.0014683i,-0.00025822-0.0011396i,0.00038108-0.0011409i,0.0006726-0.00068281i,0.0006587-0.00071065i,0.0003008-0.0014772i,-0.00036087-0.00080313i,-0.00064973+0.00050003i
0.0027353+0.00014827i,0.0026746-0.00085013i,0.0020691-0.0021839i,-0.00058999-0.0019424i,-0.0024721-0.0012937i,-0.0014427-0.00045133i,-0.00049873+0.00046916i,-0.00082604-0.00016046i,-0.00048042-0.00096169i,0.00080784-0.00045429i,0.0012388-0.00017071i,0.00070138-0.0003283i,0.00037235-0.00014644i,-0.00010849+0.00041752i,-0.0005463+0.00019564i,-0.00040068-0.00053031i,-0.00027765-0.00039758i,-0.00059227+0.00047686i,0.00025888+0.00090441i,0.00083972+0.00034661i,0.00059548-0.00064776i,2.7378e-05-0.00091963i,-0.00074469-5.3978e-05i
-0.0005155-0.00014328i,-0.00095535-0.00029733i,-0.00037005-0.0001499i,0.00039403-0.00054481i,0.00078893-0.00017556i,0.00090941+0.00046545i,0.00036448+0.00066614i,-0.00067988+0.00099047i,-0.00093565+0.00040484i,-0.00076241-0.0010499i,0.0001456-0.0019109i,0.00043476-0.0012407i,-0.00069359-0.00022604i,-0.0011904-0.00011725i,-0.00067981+0.00050287i,0.00025701+0.0019201i,0.00076429+0.0021682i,0.0010369+0.001456i,0.0004917+0.00038948i,-0.00037256-0.00055665i,-0.00018054-0.0011638i,0.0006085-0.00063651i,0.0002628+6.9055e-05i
6.7585e-05+0.0010734i,0.001422+0.0010536i,0.00093128+0.00043748i,-0.00046465-0.00035287i,-0.00014096-0.00051011i,0.00037881-0.00025639i,0.00049541-0.0001149i,-0.00065491+0.0004118i,-0.00076574+0.0017395i,-5.7694e-05+0.0018752i,0.00046826+0.00075821i,0.0008525-0.00037577i,0.00090055-0.0010316i,0.0010516-0.000755i,0.00058883-0.00015031i,-0.00010289+0.00021975i,3.6022e-05+0.00015763i,-0.00021342+3.0679e-05i,8.1873e-06+0.00019859i,0.0010236-1.6173e-05i,0.00035945-9.2242e-05i,-9.0674e-05+0.00087072i,9.8356e-05+0.0010639i
-0.00044926-0.001798i,-0.00057559-0.00030418i,-0.0027924-0.00017465i,-0.0034438-0.00038339i,-0.0017039-0.00015093i,0.0013338+0.00013612i,0.0019691+3.995e-05i,0.00092921+0.00018935i,0.0010884+0.0010279i,0.00083469+0.001049i,-0.00019945+0.00090227i,-1.3934e-05+0.00091941i,-0.00021756-3.6261e-05i,-0.00034636-0.0014962i,0.00063496-0.0025441i,0.00051598-0.0021606i,0.00028158-0.0013841i,0.0006834-0.0008587i,1.6903e-05-0.00016534i,-0.00027173+0.00012544i,2.5383e-06+0.00012312i,-0.00051595+6.908e-05i,-0.00035545-1.0778e-05i
-0.0014356+0.0004185i,-0.0021182-0.00028889i,-0.0018386-0.00010402i,0.00013364+0.00025608i,0.001589-2.6299e-05i,0.00058487-0.00032668i,-0.00087647+0.00011362i,-0.00013682+0.0011397i,0.0013289+0.0010142i,0.0020364+0.00059946i,0.001293+0.00082631i,0.00085186+0.00029532i,0.0002507-0.00080689i,-0.00011803-0.0011391i,-0.00037673-0.0011482i,-0.0018629-0.00068129i,-0.0018078-0.00046468i,-0.00076587-0.00061442i,-1.4605e-05-0.00083276i,0.00073914-0.00055176i,0.0010407-3.5059e-05i,0.00092494-6.0874e-05i,0.00013542-0.00031705i
