-0.00068778+0.00036722i,-0.00065564+0.00063596i,-0.0012813-7.4086e-05i,-0.0015594-0.00065991i,-0.0017341-0.00068802i,-0.0015033+0.0010716i,-0.0010138+0.0025077i,-0.00027499+0.0019745i,0.00048095+0.00079343i,0.00020333+0.00032571i,-0.0002202+0.00071278i,0.00020978+0.00072855i,0.00074232-0.00028197i,-0.00026756-0.0011889i,-0.00043233-0.0015683i,0.00030733-0.001385i,-1.3696e-05-0.00088609i,-8.1699e-05-0.00034509i,0.00085052+7.408e-05i,0.0007496-0.00027242i,6.4226e-05+0.00030827i,-2.839e-05+0.00058469i,9.88e-05+0.00049162i
0.0012824-0.000494i,0.00045359+0.00045781i,-0.00057861+0.00081489i,-0.00065767+0.00091626i,-0.00085403+0.0013224i,-0.00049428+0.0015721i,0.00031803+0.0016505i,-0.00035549+0.0011504i,-0.00072084+0.00073942i,-0.00012035+0.00058559i,0.00050784+0.00060336i,0.00080549+0.00054884i,0.00099033+8.0051e-05i,0.00059501-0.00025931i,0.000303-0.00034382i,0.00036383-0.00037174i,0.00043025+8.3508e-06i,0.00055434+3.2446e-06i,0.00080782-0.00029028i,0.00068964-0.00036637i,2.0784e-05-0.00041972i,-0.00042158-0.00022392i,-0.00034842+0.00020365i
-0.00064967+0.00070036i,-0.00051375-0.0012951i,3.3254e-05-0.000522i,-2.1951e-05+0.0015215i,-0.0012158+0.0015569i,-0.0027767+0.00073981i,-0.0026427+0.00037582i,-0.0012586+0.00061785i,-0.00055856+0.00043875i,-0.00030592-0.00047323i,-0.00027627-0.00064153i,-0.00030328-0.00031529i,-0.00030513+0.00031075i,-0.00054628+0.00062456i,-0.00095365+0.00022698i,-0.0011803+0.00015697i,-0.00067931-5.8661e-05i,4.1372e-06+0.00029892i,0.00091295+0.00076126i,0.0012929+0.00040535i,0.0010184-0.00021556i,0.00074187+0.00010381i,0.00061137+0.00075448i
0.001855-0.00051014i,0.0021189-0.0012459i,0.0014202-0.0011569i,-2.7319e-05-4.259e-05i,-0.0014683+0.0014191i,-0.0017746+0.0020104i,-0.0011429+0.0017941i,-0.00047577+0.0013162i,0.0004631+0.00046412i,0.0010018-0.00066832i,0.00037694-0.0011261i,3.9427e-05-0.00080283i,-0.00032223-0.00058581i,-0.00051159-0.00029897i,-0.00020738-0.00037331i,-4.1937e-05-0.00049424i,-0.00041875+5.3179e-05i,5.7313e-05-7.8558e-05i,0.00058822+0.00025936i,0.00028317+0.00066782i,-0.00040287+0.00029678i,-0.00022367+0.00021614i,0.00058903+0.0001393i
-0.0013414-5.0405e-05i,-0.0017027+0.00031225i,-0.0025964+0.00060496i,-0.0028289+0.00068593i,-0.0018727+0.0019428i,-0.00014518+0.0018415i,6.6661e-05+0.0012157i,-0.0006686+0.00091863i,-0.0010183+0.0003773i,-0.00091635+0.00057494i,-0.0005882+0.00083465i,-0.00051246+0.00059865i,-0.00016013+0.00023201i,-4.9808e-05+0.00015463i,-0.00031583-0.00024405i,-0.00084827-0.00028477i,-0.00042963+0.00074689i,-2.7731e-05+0.0010716i,-0.00027461+0.00033329i,0.00010856-1.9629e-06i,0.00023543+3.5794e-05i,0.00020386-4.6747e-05i,0.0004299+0.00076881i
0.0013154-0.0001809i,0.0014091-0.00090963i,0.0024507-0.0007348i,0.0016337+0.00023605i,3.1831e-06+0.00056067i,-0.0016909+0.00050728i,-0.0019217+4.3985e-05i,-0.0015447-2.2685e-05i,-0.00085196+0.0001824i,0.00055738-4.6717e-06i,0.00057437-0.00077804i,-0.00045637-0.0013315i,-0.0009981-0.00058262i,-0.00097547-0.00078555i,-0.00077694-0.0010563i,-0.00032928-0.00078623i,0.0006288-0.00047385i,0.00093184-0.00021562i,0.00010305+0.00031712i,-0.00053482+0.00043549i,-0.00031943+0.00040177i,0.00010467+0.00027181i,0.00039411+0.00024915i
-0.0012969-0.0020517i,-0.0026544-0.00076036i,-0.0030575+0.00044038i,-0.0025403+0.0013152i,-0.0022434+0.0014445i,-0.0019341+0.0019586i,-0.0014296+0.0026344i,-0.0012355+0.0024108i,-0.0012787+0.0013773i,-0.00080089+1.674e-05i,5.3268e-05+0.00024671i,0.00036585+0.00033705i,0.00037387-0.00026539i,0.00069116+5.2356e-05i,0.00054412+0.00026412i,0.00040319+0.00044422i,0.00044276-7.2987e-05i,0.00016054-0.0001186i,-5.3882e-05+0.00039013i,0.00053354+0.00021926i,0.0004312-0.00017535i,-0.00012957+0.00080774i,-0.00017336+0.0014215i
0.00021642+0.00094934i,-3.2076e-06+0.0013728i,-0.0014416+0.0015432i,-0.0014344+0.00094802i,-9.3702e-05+0.0017172i,0.00062536+0.0019203i,-0.00079311+0.0015067i,-0.0017368+0.0017284i,-0.0011388+0.0019239i,1.3604e-05+0.0011878i,0.00048578+0.00022375i,0.00050072-0.00057512i,0.00070464-0.00097703i,0.00046254-0.00061441i,0.00016338-0.00024696i,-0.00037394+0.00010725i,-0.00071056+0.00053032i,-0.0003723+0.00054281i,0.00041222+0.0002581i,0.00073003+9.6422e-05i,0.00012884-0.00021064i,-0.00021404-0.00089861i,0.00051417-0.00062471i
0.00064177+0.0020257i,0.0016239+0.00091464i,0.0022947+0.00019196i,0.0016053+0.00039618i,0.00059535+0.0004334i,-0.00018084-0.00040155i,-0.00036987-0.0010286i,4.4361e-05-4.0289e-05i,0.00039944+0.00061839i,0.00093048+4.4504e-05i,0.00035766-3.6697e-05i,-0.0013993+0.00052569i,-0.0011712+0.00053872i,0.00034752-3.1599e-05i,0.00095961+0.00037844i,0.0009607+0.0013541i,0.00069374+0.0010136i,0.00028819+0.00071209i,0.00011307+0.00077348i,0.00017534+0.00022908i,-0.00012196-0.0006253i,0.00017148-0.00033843i,0.00047927-0.00010524i
6.5145e-05-0.00080916i,-0.00080174-0.00063068i,-0.0020025-0.0016585i,-0.0024543-0.001917i,-0.0022588-0.00089481i,-0.0018036+0.00049972i,-0.0012057+0.0011486i,-0.00097816+0.0011584i,-0.00081399+0.0012693i,-0.00028476+0.00012511i,0.0003445-0.0011187i,0.00089972-0.0011718i,0.0011069-0.00067627i,0.00060788-0.00011948i,-0.00035331-8.239e-05i,-0.00029284-0.00048645i,0.00045607-0.00031574i,0.00023612+0.00025342i,-9.1241e-05+0.00048463i,-0.0008343+0.001004i,-0.00043992+0.00034307i,0.00047056-0.00059748i,-5.1864e-05-0.00025321i
-0.001731-0.00043331i,-0.0017891+0.00097493i,-0.0020785+0.0025096i,-0.0022957+0.0026618i,-0.0021242+0.0036305i,-0.0019284+0.0044067i,-0.0020957+0.0032849i,-0.0017505+0.0020096i,-0.00073794+0.00053912i,-0.00050497-0.0010622i,-0.00083922-0.0014176i,-0.00042846-0.00037819i,-0.00057341+0.00029995i,-0.00088233+0.00022355i,-0.00067772-0.00012946i,-0.0007216-0.00048147i,-0.00021564-0.00018223i,0.00072967+1.0844e-05i,0.0003928+0.00015028i,-0.0010125+0.00010269i,-0.00099814-0.00035776i,-0.00011898+3.0405e-05i,-7.0753e-06+0.00041997i
0.0017187-0.00046519i,8.0289e-05-0.00062023i,-0.0010716-0.0014869i,-0.0019775-0.000897i,-0.0028209+0.00031199i,-0.0025171+0.0007433i,-0.0013577+0.0007874i,-0.00090774+0.00019919i,-0.00084859-0.00018223i,-0.0014191-0.00094045i,-0.00073276-0.0011382i,0.0008779-0.00025078i,0.00080686+9.1827e-05i,0.0001832+6.5564e-05i,-7.6186e-05+0.000157i,-0.00025955+0.0010215i,5.4278e-05+0.00092896i,0.00027366+0.00029684i,0.00017058+0.00085021i,0.00034805+0.00047628i,0.00051874-0.00050121i,0.00027174-0.00011868i,0.00076463+0.00052483i
-0.00078903+0.00062231i,5.9753e-05+0.00020217i,-0.00096801-0.00016047i,-0.0015913-0.00044348i,-0.0012949-0.00019481i,-0.001683+0.00094993i,-0.0014594+9.7917e-05i,-0.00080061-0.00017778i,-0.0010091+0.00013383i,-0.00052571+0.00028956i,0.00013608-7.549e-05i,0.00077124-0.0003161i,0.00098505+0.00025687i,0.00036151-0.00023902i,-0.0005335-0.00091075i,-0.00053956-0.00064485i,0.00010411-0.00024817i,0.00024687+0.00020234i,0.00014967+0.0014659i,0.00011554+0.0011459i,-0.00089342-0.00042503i,-0.0010979-0.0010542i,0.00014574-0.00053905i
-0.0003422+0.00028159i,5.3639e-05+0.0003281i,0.00039728+0.0004719i,-0.00036694+0.00062265i,-0.0015444+0.001591i,-0.0010481+0.0023748i,0.00023126+0.0024781i,0.00041574+0.0024557i,0.00041023+0.0019413i,0.00043168+0.00096598i,0.00013275-0.00024615i,0.00057768-0.00070398i,0.0010833+0.00037125i,0.00032572+0.00057571i,-7.3703e-05+0.00017782i,0.00017593+0.00050711i,9.3115e-05+0.0009753i,-6.2734e-06+0.001224i,-0.000533+0.0011149i,-0.00033881+0.0004118i,0.00026075-0.00040004i,0.0006031-0.00041424i,0.00041011-0.00021852i
-0.0012091+0.00047268i,-0.001189+0.00099173i,-0.0020451+0.0015126i,-0.002089+0.0025406i,-0.0013917+0.0029255i,-0.00021789+0.002335i,0.00096676+0.0015412i,0.00069522+0.0013203i,0.00042034+0.0011589i,0.00075543+0.00062173i,0.00045218+0.00055889i,-0.00024562+0.00031995i,0.0001267+5.6716e-05i,0.00047112-3.709e-05i,-7.6372e-05+1.5659e-05i,-0.0010837+0.00070152i,-0.0017327+0.0010279i,-0.0015173+0.00055187i,-0.00098684+0.00038789i,-0.0002397+0.00024842i,-0.00057274-0.00012103i,-0.00089431-0.0001548i,-0.00043837+4.0926e-05i
0.00099265-0.001266i,0.00056456-0.0017547i,-0.00096878-0.0013402i,-0.0026573-3.1511e-05i,-0.0033239+0.00094265i,-0.0030516+0.0017418i,-0.0021426+0.0020704i,-0.0015668+0.0013436i,-0.001157-0.0004862i,-0.00082499-0.00089977i,-0.00063433-0.00068444i,-0.00048093-6.2167e-05i,6.0751e-05+0.0010693i,0.00046767+0.00077891i,0.00020251-4.5504e-05i,0.00016005-8.1654e-05i,0.00016085-0.00026364i,-0.00016713+0.00014995i,-0.00015636+0.00070141i,-0.00033283+0.00074211i,-0.00035925+0.00049968i,3.0182e-05+0.00056155i,0.00042643-3.0885e-05i
0.00010836-0.00019982i,1.9119e-05+0.00093387i,-0.00048027+0.0011339i,-0.0016463+0.00076542i,-0.0021166+0.001127i,-0.0023157+0.0015544i,-0.002987+0.0020387i,-0.0028521+0.002477i,-0.0023736+0.001438i,-0.0018246+0.00071577i,-0.00079864+0.00023221i,-0.000297-0.00035576i,-1.3502e-05-0.00038152i,-2.7897e-05+0.00042119i,-3.6534e-05+0.00087293i,0.00038793+0.00010796i,0.00067021-0.00024179i,0.00038967+0.00047967i,-0.00087939+0.00032862i,-0.0016792+0.00024904i,-0.00085068+0.00037001i,0.000495-9.1564e-05i,0.00087534+0.00051734i
-0.00087329-0.0028308i,-0.00084718-0.0021265i,-0.0014156-0.0017907i,-0.0023187-4.9454e-05i,-0.0023736+0.0020387i,-0.0012544+0.0024164i,-0.00054398+0.0018084i,-0.00060373+0.00079503i,-0.001023-0.00059179i,-0.00098063-0.00067977i,-0.00037319+0.00024562i,0.0005826+2.3288e-05i,0.00089458-0.00077234i,0.00053025-0.00086418i,0.00058617-0.00055839i,0.00057363-1.7936e-05i,0.00023911+0.00056087i,0.00058444+0.00079952i,0.00094521+0.00060151i,0.0010491+0.00025215i,0.00055143-0.00080202i,0.00078404-0.000761i,0.00066713+0.00016797i
-8.4016e-05-0.0016509i,-0.001068-0.0015585i,-0.0023293-0.0015417i,-0.0034562-0.00095202i,-0.0039545+0.00029842i,-0.0029766+0.00098341i,-0.0012248+0.00119i,-0.00065929+0.00094805i,-0.00018033+0.00031567i,3.4619e-05+0.00072463i,-0.00061162+0.00071545i,-0.00095866-0.00048586i,-0.000283-0.00066923i,8.3042e-05-0.00024898i,-0.00067536+0.00030284i,-0.00079208+0.00088089i,-0.00033794+0.00064781i,-0.00053283+0.00019954i,-0.00059459+0.00034392i,0.00012355+0.0010566i,0.00034445+0.00082588i,-1.8979e-05+6.4647e-06i,0.00024223+0.00028162i
0.00038215+0.00023285i,0.00042933-0.00026713i,-0.00069251-0.00071735i,-0.0011705-0.00013421i,-0.0020981+0.0018942i,-0.002607+0.0025226i,-0.0016732+0.0021318i,-0.00032109+0.0020431i,0.0011133+0.0013189i,0.0012103+0.00032991i,-0.00017706+0.00013488i,-0.00093091+0.00015117i,-0.00031646+0.00014358i,2.9755e-06+0.00096731i,-0.00037809+0.0013479i,-0.00034118+0.00084402i,-0.00031593+0.00024461i,-0.00029968-0.00012487i,3.6358e-05+8.5571e-05i,-0.00050469-1.3921e-05i,-0.00095988+5.8581e-05i,-0.00057712-5.1582e-05i,-0.00023253+0.00013524i
-0.0003894+0.0012407i,7.9439e-05+0.0016138i,0.0002614+0.0012914i,-0.00020678+0.00046044i,-0.00089716+0.00089782i,-0.0008639+0.0014569i,-4.5664e-05+0.0018623i,0.0006573+0.001993i,0.0010202+0.0013394i,0.00058629+0.00021719i,-0.00016546-9.0952e-05i,-0.00024429+0.00064019i,-0.0003523+0.00096997i,-0.00026006+0.00094804i,-0.00046347+0.00036856i,-0.00067057-0.00032568i,8.4473e-05-0.00068524i,0.00091288-0.00011218i,0.00072684-0.00010005i,0.00044606+0.0002346i,0.00029035+0.00021921i,0.00012455-0.00071475i,-3.9126e-05-0.00041637i
0.0009682+0.00052709i,0.0010758-0.00035134i,0.00054473-0.00012776i,-0.00022965-0.00021915i,-0.00030092-0.00093558i,-0.0009318-0.0011916i,-0.0019219-0.00016628i,-0.0028029+0.00141i,-0.0012853+0.0016025i,0.00047567+0.00040456i,6.0798e-05-0.00084289i,-4.9791e-05-0.001456i,0.00020919-0.00083466i,0.00016528+0.00022684i,0.00050195+0.00067092i,0.0008414+0.0008196i,0.00018197+0.00027809i,-0.00062686-0.00050332i,0.000103-0.00044434i,0.00090109+5.1773e-05i,0.00070189+0.00052806i,0.00057683+0.00054224i,0.00024806+0.0001503i
0.001061-0.00026483i,0.00091886-0.0001511i,0.0006503-0.00033159i,-0.00077564-0.00046396i,-0.0035729-0.00033036i,-0.0047298+0.00032986i,-0.003292+0.00070521i,-0.002109+0.00047914i,-0.0010363+0.00022451i,0.00021232+4.7613e-05i,0.00076193-0.00099198i,0.00049282-0.0017693i,0.00044943-0.001001i,0.00059504-0.00059552i,0.0004579-0.00085572i,0.00019996-0.00060533i,0.00032851-0.00014475i,0.00028283+0.00030272i,0.00015782+0.00032269i,-0.00018945-3.17e-05i,-0.00047478-0.00016634i,-0.00010226+0.00029415i,2.7554e-05+0.00047745i
0.0004657-0.001593i,-0.00053609-0.0026941i,-0.00070345-0.0028938i,-0.0014017-0.0030026i,-0.0020812-0.0018886i,-0.0026288-0.00062668i,-0.0027558-0.00038659i,-0.002032+0.00011312i,-0.00096503+0.0003931i,-0.00049964-3.0143e-05i,-0.0006571-0.00035498i,-0.0003103-0.00017223i,0.00015504-0.00030082i,-4.8339e-05-0.00062456i,-0.00035413-0.00018182i,-0.00077969+0.0001165i,-0.00044466+0.00056448i,0.00014066+0.00019723i,0.00023836-9.6064e-05i,0.00042539+0.00051386i,0.00092655+0.00028866i,0.0010452-0.00013195i,0.0007153+0.00027479i
0.0011134+0.00036403i,0.0015779-0.00015221i,0.0014432-0.0004939i,-0.0002393-0.00017417i,-0.0025412+0.0014393i,-0.0029859+0.0019064i,-0.0019774+0.00078233i,-0.00078804+0.00013967i,0.00018862+0.00012404i,-8.623e-05-7.8152e-06i,-0.0011823+5.2323e-05i,-0.0012087+0.00017467i,-0.00076357+0.00050534i,-0.00056451+0.0010837i,-0.00066364+0.00061938i,-0.0012375+8.8063e-05i,-0.00084935+0.00035053i,0.00018879+0.00079111i,3.5501e-05+0.0010535i,-0.0007747+0.00090033i,-0.0011525+0.00072996i,-0.00025974+3.5513e-05i,0.0001621-0.00029566i
-7.9628e-05+0.00068441i,-0.00082159+0.00052353i,-0.0026394+0.00039685i,-0.0017371+0.00049323i,-0.00077474+0.00078509i,-0.0007762+0.0014865i,-0.00060627+0.0021694i,-0.00034782+0.0020873i,0.00066774+0.0012703i,0.0010264+0.00039951i,0.00040982-5.4376e-05i,6.0553e-06+0.00020001i,4.38e-05+7.2143e-05i,-0.00034412-0.00071062i,-0.00083111-0.0011079i,-0.00024395-0.00040502i,0.00055193+0.00079177i,0.00088906+0.00058898i,0.00096844+0.00019573i,0.001041+0.00049782i,0.00061261+0.00073233i,-0.00016564+0.00059452i,0.00062596+0.000275i
-0.00049352+0.00082823i,-9.4343e-05+0.000966i,-2.2826e-05+0.001649i,-0.0010557+0.0023274i,-0.0022272+0.0023346i,-0.0021787+0.0023991i,-0.002016+0.0021529i,-0.0016379+0.0010794i,0.00024145+1.0372e-05i,0.0013888-0.00033312i,0.0010041-0.00033462i,0.0010072-0.00078839i,0.00060862-0.00039862i,-0.00038671+0.00037978i,-0.00021036+0.00019709i,0.00015965-0.00044401i,-0.00013557+8.2076e-05i,-0.00028944+0.00065489i,0.00044745-0.0002641i,0.00066984-8.5332e-05i,-0.00021947+0.00010816i,-9.9948e-06-4.7534e-06i,0.0012937+0.00041328i
0.0015787+0.0017992i,0.0021899+0.00059767i,0.0028469-7.3962e-05i,0.0021314-0.00064805i,0.00031145-0.0013572i,-0.0014465-0.00062468i,-0.0031523+0.00092458i,-0.0030375+0.0013162i,-0.0015703+0.0012019i,-0.00067195+0.00041103i,-0.00012094-0.00049148i,-0.00055151-0.00054716i,-0.00087454-0.00027967i,-0.00031355-0.00030948i,0.00030164-0.00082332i,0.00047703-0.001419i,0.00050338-0.0013804i,-1.0234e-05-0.00038552i,-0.0005447+0.0001268i,-0.00078338+0.00019092i,-0.0008036+0.00022109i,-0.00073349-0.00031865i,-0.00025835-0.00061936i
-0.00063132-0.0015658i,-0.0013471-0.00037136i,-0.0029026-0.00048299i,-0.0039284-0.00069668i,-0.0037623+0.00025628i,-0.0030298+0.0011134i,-0.0022543+0.00030155i,-0.0013515+0.0001129i,-0.0011731+0.00068686i,-0.0016958-0.00017371i,-0.0018289-0.00096478i,-0.001299-0.00085458i,-0.00074005-0.00099684i,0.00033127-0.00078076i,0.00085532-0.00045512i,0.00075437-6.8379e-05i,0.00060723+0.00018166i,-0.00067429+0.00026194i,-0.00088983+0.00064545i,-0.00056773+0.00060895i,-0.00064261+0.00021764i,9.6806e-05+3.6045e-05i,7.1677e-06+0.00025974i
-2.0138e-05-0.0013571i,-0.00017259-0.0012261i,-0.0013737-0.00090798i,-0.0027886+8.8007e-05i,-0.0035299+0.0018949i,-0.0019147+0.0016872i,0.00014288+0.00048832i,-0.00055991-0.00049316i,-0.002436-0.00079153i,-0.0028159-0.00062138i,-0.0015041-0.00050941i,-0.00070353+0.00024062i,-0.00023407+0.00082143i,-0.0001235+0.00049807i,-0.00038768+0.000909i,2.5145e-05+0.00088729i,0.00023556+0.00061751i,0.00015168+0.00069798i,-1.2114e-05+0.00011109i,-0.00031136-0.0005406i,-0.00013117+0.00028755i,-4.9326e-05+0.00072317i,0.00022963+0.00057693i
0.00029569-0.0019595i,-0.00022422-0.0015589i,-0.00082404-0.0014081i,-0.00093355-3.8496e-05i,-0.0017538+0.0022521i,-0.00074455+0.0032373i,0.0013641+0.0021237i,0.0020141+0.00040747i,0.0017394+0.00016011i,0.00060668+0.00081379i,-0.00011188+0.0010272i,-6.1981e-05+0.0012246i,0.00028113+0.0010323i,0.0001877+0.0007143i,-0.00045626+0.0011982i,-0.0009231+0.0010681i,-0.00086082+0.00010884i,-0.00077625-0.00010372i,-0.00013747+0.0001595i,0.0003268+0.00043985i,-0.00060887+0.00076953i,-0.00074456+0.0010864i,0.00048962+0.00096453i
-0.0018753-0.0018506i,-0.0025653-0.00078372i,-0.0034943-0.00081433i,-0.0037298-0.0014905i,-0.0035642-0.00050079i,-0.0036405+0.0013837i,-0.0019427+0.0022651i,-0.00022224+0.0028497i,0.00048248+0.0020632i,0.00046792+0.00051281i,0.00042292-5.3915e-05i,0.00069855+0.00053916i,0.00084652+0.00039693i,0.0008435-0.0002515i,-0.00031572-0.00035026i,-0.0012772+0.00022617i,-0.0012114+0.00038843i,-0.00018082-8.9352e-06i,0.00043098+0.00031045i,0.00059967+0.00093801i,0.00022481+0.00091208i,0.0001308+0.00032225i,0.00034916+0.00032637i
0.00072858+2.0929e-05i,0.0011484-0.0004458i,0.00023459-0.0013285i,-0.00073612-0.00067296i,-0.0019034+0.0012179i,-0.0022957+0.002421i,-0.0015806+0.002696i,-0.00093252+0.0019014i,-6.514e-05+0.0014799i,1.7566e-05+0.00052019i,-0.00037977-0.0010501i,-0.00025241-0.0014511i,-0.00017467-0.0013691i,-1.2471e-05-0.0016891i,0.00022297-0.0015679i,0.00066748-0.0008545i,0.00050204-0.00054351i,0.00065569-0.00023466i,0.00095339-0.00025146i,0.0006764-0.00082412i,0.00049014-0.00025061i,-5.8918e-05+0.00030202i,0.00015602-0.00044157i
-0.00063439+0.00056391i,0.00041278+0.0012493i,0.00063004+0.0020909i,0.00054026+0.0026361i,0.00043477+0.002297i,-5.8153e-05+0.0012507i,-0.0017844+0.0011218i,-0.0036356+0.0015972i,-0.003647+0.0018211i,-0.0016528+0.00032834i,-0.00076801-0.001099i,-0.001038-0.0013485i,-0.0014049-0.0015836i,-0.0014729-0.0014205i,-0.00079313-0.00075614i,0.00037548-0.00019i,0.00041582+0.00033405i,0.00018472+0.0010382i,0.00013102+0.0015068i,0.00085794+0.0007588i,0.0013031-1.4165e-05i,-0.00020827+0.00040494i,-0.0010367+0.0004442i
0.0014672-2.5735e-05i,0.0014452-0.00013422i,0.00081043+0.00090118i,-0.00089677+0.00048624i,-0.0014831+0.00038981i,-0.0015732+0.0001958i,-0.0021799-0.0014998i,-0.0026392-0.0018559i,-0.0028454-0.00096443i,-0.0018989-0.00024665i,-0.0010452+0.00077944i,-0.0018371+0.00168i,-0.0021742+0.0010389i,-0.001608+0.00086585i,-0.00047618+0.0013175i,0.00059052+0.0011114i,0.00022651+0.000824i,-0.0004315+0.00095429i,-0.0008539+0.001336i,-0.00048135+0.0014836i,-0.00011876+0.0011709i,-0.00061411+0.00022153i,-0.0003137-0.00055806i
-0.00025916-0.00087212i,-0.00061044-0.00072149i,-0.0011038-0.00075479i,-0.0022008+7.194e-05i,-0.0030519+0.0007266i,-0.0028543+0.00095246i,-0.0018153+0.00051569i,-0.00076219-7.4128e-05i,-0.0013261-0.00081136i,-0.0016355-0.0010006i,-0.00045169-0.00021334i,-2.5684e-05+0.00093916i,-0.00060602+0.0015789i,-0.00099319+0.001006i,-0.0015145+0.000936i,-0.00095597+0.00099129i,6.7315e-06+0.00016363i,-0.00026662+0.00043738i,-0.00092914+0.0012717i,-0.0006881+0.0015347i,-0.00017593+0.0014277i,-0.00032992+0.00072604i,-0.00051037-2.0532e-05i
0.00069489-0.00019325i,0.0011251-0.0011651i,0.00078918-0.0027286i,-0.00096705-0.0024195i,-0.0022537-0.00090969i,-0.0018651+0.0019365i,-0.0004523+0.0035716i,0.00099627+0.0021056i,0.0017336+0.00057967i,0.00091287-7.2837e-06i,9.672e-05-0.00051548i,0.0005745-0.00022177i,0.0006193-8.2305e-05i,-0.00018694+5.8314e-05i,-0.0011975+0.00058027i,-0.0013518+0.00060082i,0.00013878+0.00019638i,0.00145-0.00026569i,0.0012514-5.044e-05i,0.00036231+0.00077231i,-8.5498e-05+0.0013302i,8.1359e-05+0.00074428i,0.00025542-0.00032768i
-0.0010176-0.0030585i,-0.00073018-0.0027597i,8.4521e-05-0.0032453i,-0.00078408-0.0015537i,-0.0019299+0.0012637i,-0.00079128+0.0024286i,9.2973e-05+0.0027091i,4.2126e-05+0.0024371i,0.00053735+0.0017091i,0.00035215+0.00029569i,-0.00011388-0.00074408i,0.00030859-0.0013558i,0.00054859-0.0024042i,0.00077967-0.0028108i,0.00030516-0.0023121i,-0.0010418-0.0017504i,-0.00091994-0.00056574i,0.0006181-7.4635e-05i,0.00068296-0.00052666i,-0.00016444-0.00063973i,5.218e-05-0.00064306i,0.00040749-0.00063829i,-0.0002391-0.00021078i
0.0024495+0.0013575i,0.0021252+0.0018894i,0.0018933+0.0031025i,0.00071883+0.0028479i,-0.0012712+0.0019907i,-0.0028528+0.0018739i,-0.0033255+0.0023153i,-0.0022777+0.0027601i,-3.5044e-05+0.002331i,0.00097091+0.00098049i,-0.00023192-0.00042417i,-0.0013797-0.0014078i,-0.0012027-0.0016112i,-0.00062829-0.00085074i,-0.00021187-0.00070738i,-0.00022272-0.0010931i,-0.00061351+9.397e-05i,-0.00046594+0.0010742i,-0.00014771+0.0010923i,0.00025342+0.00092987i,-3.9104e-05+0.00069146i,-3.4932e-05+0.00059523i,0.00030632+0.00060191i
-0.0011913+0.0004912i,-0.0014552-0.00010266i,-0.001943+0.00085024i,-0.0023713+0.0031464i,-0.0026683+0.0043358i,-0.0017796+0.0032847i,-0.0019218+0.0015539i,-0.0030398+0.00077402i,-0.0027924+0.0011985i,-0.0015134+0.00068262i,-0.00084148+0.00016754i,-0.00012547+0.0015967i,0.00013835+0.0025118i,2.9928e-05+0.0023577i,0.00023223+0.001439i,0.00062632+0.00058688i,0.00066598+0.0003764i,-0.0001125+0.00017926i,-0.00085843+0.00059344i,-0.00074439+0.00052522i,-0.00043653+0.00049395i,-0.00077773+0.00070038i,-0.00028018+0.00037549i
0.00021795-0.002477i,-0.0011312-0.0019359i,-0.0032143-0.0024515i,-0.0055884-0.0021908i,-0.0065937-0.00074038i,-0.0054989-0.00056237i,-0.0043672-0.0020453i,-0.0038183-0.0021762i,-0.0035843-0.0014794i,-0.0030034-0.0018221i,-0.0012532-0.0009359i,0.0001573+0.00077046i,3.9572e-05+0.0012708i,-0.00040451+0.0012771i,4.5084e-05+0.00066202i,0.00087384+0.00049293i,0.00045206+0.00076527i,-0.0005262+0.00039665i,-0.00067408+0.00053512i,-2.7304e-05+0.00081122i,3.6877e-05+0.00068355i,-0.00026291+0.00090088i,-0.0005336+0.0011252i
0.001595-0.00076165i,8.187e-05-0.0019468i,0.00025044-0.0028017i,-0.00019008-0.0034249i,-0.0011219-0.0027466i,-0.0017306-0.0010491i,-0.00070665-0.00055569i,0.00048671-0.0009737i,0.00018525-0.0011372i,-0.00081547-0.0014566i,-0.0013899-0.0014629i,-0.001454-0.0005027i,-0.0010197+0.00017202i,-0.00087213+0.00065648i,-0.00088097+0.0007534i,-0.00025625+0.00034366i,0.00060294-0.00039743i,0.00123-0.00046392i,0.00068906-0.00022565i,0.00017088-0.00035041i,0.00020646-0.00012522i,-4.4181e-05+3.6227e-05i,2.1212e-05-0.00013349i
0.0019523-0.0011947i,0.00062573-0.0019604i,0.00072239-0.0023351i,0.00021237-0.0022789i,-0.0015271-0.0013996i,-0.0023074+0.00092253i,-0.00074264+0.0029101i,0.0015721+0.0032903i,0.0022965+0.0015014i,0.0018711+0.00020431i,0.00041944-0.0005513i,-0.00082222-0.0010571i,-0.00066768-0.00081761i,-0.00063878-0.0011527i,-0.0006043-0.0014969i,-0.00083388-0.0011897i,-0.0010922-0.00087334i,-0.00063675-0.00055349i,-0.0003036+0.00052909i,-6.1757e-05+0.0010341i,0.00040031+0.00052539i,0.0002915+8.9411e-05i,5.5284e-05+3.6366e-05i
