-0.0031375-0.00068439i,-0.002394-0.00064482i,-0.0024283-0.00088351i,-0.0023189-0.00095438i,-0.0014923+7.5299e-05i,-0.0011366+0.0014852i,-0.0011184+0.0028791i,-0.00029709+0.0035793i,0.0003817+0.0027232i,0.00056941+0.0012849i,0.00019783+0.00027712i,-0.00083807+0.000815i,-0.0013756+0.0010988i,3.2021e-05+0.00068466i,0.00053495+0.0001197i,0.00042612-0.00029905i,0.00031643-0.00014001i,-8.3016e-05+3.8417e-05i,-8.8494e-05+0.00050328i,-4.3868e-05+0.00071766i,0.00019547+0.00049407i,-0.00021554+0.0002774i,-0.00057805-0.00071877i
-0.00051502+0.00017036i,-0.00046533+0.00071828i,-0.00081475+0.00026931i,-0.00030516-0.00076116i,0.00022556-0.00081427i,0.00022527-0.00032534i,-0.00021832-0.00048594i,-0.00078668-0.00066616i,-0.0010311-0.00067132i,-0.00073776-0.00021492i,-0.00066484+0.00033937i,-0.00061118+0.00086988i,-0.00047445+0.00050487i,-0.00039583-0.00039867i,0.00019404-0.00017675i,0.00050587+3.8888e-05i,-0.00062567+8.7515e-05i,-0.0016853+0.00018544i,-0.0012137+5.9282e-06i,0.00015913+0.00025075i,0.00041386+0.00079312i,-0.0012967+0.00041064i,-0.0011774-0.00029999i
0.00057304+0.0017991i,0.0011361+0.0013646i,0.0024009+0.0013168i,0.002713+0.00080063i,0.0017855-0.00034086i,0.00051803-0.00077967i,7.2121e-05-0.00074218i,-0.00071219-0.00074265i,-0.0013497-0.00041449i,-0.0012218+0.00052931i,-0.0010574+0.00040108i,-0.00056267-7.0934e-05i,-0.00022428+0.0008031i,0.00014168+0.0015886i,0.00042611+0.0010934i,-0.00012303+0.00011893i,-0.00041013-0.00048374i,-0.00033745-0.00013864i,4.6952e-05+0.00042322i,0.00057864+0.00019407i,7.1443e-05+0.00010446i,0.00027552+0.0001447i,0.00031878-0.0001735i
-0.001763+0.00010334i,-0.0013133+0.00071764i,-0.0011193+0.0009496i,-0.00094577+0.00069144i,-0.00023792+0.00061675i,0.00072898+5.3911e-05i,0.00065238-0.00030129i,-0.00064725-0.00021215i,-0.0016825-0.0004787i,-0.0015028-0.00056664i,-0.00060834+8.12e-05i,-0.00025299+0.00025935i,0.00018966+7.8287e-05i,8.5416e-05+0.00048757i,-0.00041768+0.00012331i,-0.00078238+1.4257e-05i,-0.00067048+0.00011345i,-0.00063741+0.00015462i,-0.0010033+0.00080071i,-0.001203+0.00077611i,-0.0010854+0.00041483i,-0.00056302+0.00019462i,-7.8007e-05+0.00027844i
-0.00093083-0.00058132i,-0.00048087-0.00045013i,0.00084728-0.00027515i,0.0013761-0.000342i,0.0015829-0.0017286i,0.0010706-0.0027814i,-0.00054024-0.001969i,-0.00091925-0.0012352i,-0.0008494-0.00070381i,-0.0015536+0.00032166i,-0.0013749+0.0002892i,-0.00082716+9.498e-05i,-0.00030084+0.00057962i,1.8747e-05+0.00020715i,-0.00042523-0.00045511i,7.2487e-05-4.1623e-05i,0.00087126+0.00049769i,0.0010573+0.00030342i,0.00054413-0.00023953i,0.00019113-0.00070025i,0.00072419-0.00020978i,9.635e-05+0.00024086i,-0.00091307+0.00021481i
-0.00026054-0.0013501i,0.00027426-0.0019237i,-0.00021485-0.0010028i,-0.00048842-0.00046037i,-0.00011951-0.00067188i,0.00027349+0.00013138i,0.00018038-0.0001764i,9.8237e-05-0.00067485i,0.00021229-0.00062548i,0.00012814-0.00039655i,-0.00030458+6.5825e-05i,-0.00032069+1.8276e-05i,0.00012106-0.00053687i,0.00089216-0.0011267i,0.00067543-0.0010295i,5.375e-05-0.00035659i,-0.00045966-0.0001673i,-0.0011263-0.00029446i,-0.00098096+4.1531e-05i,2.5859e-05-0.00020269i,0.00012726-0.00055732i,-3.4319e-05-0.00067395i,0.00052892-0.00065215i
-0.00017536+0.0017262i,0.00052681+0.001953i,-0.00022757+0.0020196i,5.1304e-05+0.0010035i,0.00090242-0.00024763i,0.0011102-6.7877e-05i,0.00076413+0.00087481i,-0.00027585+0.00059302i,-0.00097205+0.00028042i,-0.00078539+0.0011565i,0.0002876+0.0010014i,0.00071838-3.6665e-05i,0.00016612-0.00049423i,5.9497e-05-0.00041998i,0.00043747-0.00036807i,-0.00052233-0.0003228i,-0.0010822-0.00065046i,-0.00065571-0.00052123i,-0.00012892+0.00023886i,2.7745e-05+0.00030492i,0.00014803-0.00016038i,-0.00042844-0.00079625i,-0.00031494-0.000379i
0.0012347-0.00084457i,-0.00037556-0.0018287i,-0.00039953-0.0030935i,4.0833e-05-0.0032765i,0.00044223-0.0023916i,0.00055043-0.0013199i,0.00018342-0.0001474i,-0.00027242-8.291e-05i,-0.00064223-0.00083193i,-0.00061824-0.00036645i,-0.00028647+0.00013816i,-0.00029031+0.00069655i,-0.0001153+0.00033291i,8.6232e-05-0.00022945i,-0.0005687+0.00010573i,-0.00090295-0.00029312i,-0.00077707-0.00092923i,-0.0012642-0.00058318i,-0.0012076-0.00036975i,-0.00065485-0.00016789i,-0.00073747-0.00014249i,-0.00087968-0.0003826i,-0.00075079-0.00071212i
0.0017605-0.0020742i,0.0014254-0.0024625i,0.00069625-0.0014955i,0.00023513-0.00099064i,0.00020544-0.00031855i,0.00028328+0.0004388i,-0.0004935+4.6021e-05i,-0.00092276-0.00049079i,-0.0007461+0.0001333i,-0.0005476+0.00087014i,-0.00037761+0.00098418i,-0.00030541+0.00031569i,0.00065273-0.00093238i,0.00088351-0.001524i,-0.00062048-0.0014653i,-0.00081276-0.0011966i,-0.00016482-0.00050117i,-0.00062123-0.00010996i,-0.00083282-7.3384e-05i,-0.00021247+0.00031257i,-0.00016877+0.00015011i,-0.00016988-0.00024766i,-0.00035947-0.00075406i
0.00096278+0.0006954i,0.0016108+0.0022897i,0.0015529+0.0018282i,0.0012795+0.00074453i,0.00047491-0.00036585i,-8.7283e-05-0.0010307i,0.00018611-0.00091627i,2.5626e-05-0.0004705i,-0.00056294+0.00047408i,-0.00082771+0.0007335i,-0.00063862+0.00051777i,-0.00028775+0.00058884i,-0.00063759+0.0005987i,-0.0010779+0.00050023i,-0.00064325+0.000351i,-0.00071356+0.00016087i,-0.001365+0.0003944i,-0.0011018-0.00028766i,-0.0002576-0.00074163i,5.1142e-05-0.00057438i,0.00010241+9.2829e-05i,0.00016352+0.00054637i,-0.00035914-0.00018855i
-0.0006749+0.00082615i,-0.00097459+0.00033891i,-0.00062035-7.3056e-05i,-0.00034532-0.00056686i,0.00018596-0.00093711i,0.00055198-0.00030499i,0.00036529+1.9036e-05i,-0.00034493+1.6104e-05i,-0.0010767+0.00070603i,-0.0012513+0.0014456i,-0.00058244+0.0015624i,0.00020246+0.0007805i,0.00049703+0.00053476i,0.00051777+9.0839e-05i,-0.00021112-0.00078473i,-0.00061922-0.0013428i,-0.00051997-0.00084229i,-0.00073515+0.00010702i,-0.00086509+8.1141e-05i,-0.00015986+7.1858e-05i,0.00014531+0.00017487i,9.0891e-05-1.9381e-05i,8.2061e-06-0.00049478i
0.00080442-0.0013313i,0.00046227-0.0018008i,-0.00027061-0.0015947i,-0.0006227-0.00098215i,-0.00022682-0.00069405i,-8.47e-05-0.001221i,-0.0011366-0.0012403i,-0.0015539-0.00095525i,-0.00096182-0.000825i,-0.00088772-0.00041702i,-0.00067709-0.00022246i,0.00012691-9.6541e-05i,0.00024936+7.8382e-05i,-0.00032892+0.00036459i,-0.00012592+0.00031209i,0.00018233-0.00045035i,-0.00051314-0.00050191i,-0.0012903+0.00037626i,-0.00021106+0.00099735i,0.00039296+0.00051073i,-0.00010731-0.00021973i,0.00027593-0.00030156i,0.00054453+0.00049468i
0.00022465+0.00039485i,0.00021645-0.00023041i,-0.00022642-0.00031603i,-0.00023623-0.00043593i,0.00022888-0.00056049i,0.0010406-0.00063193i,0.00018108-0.0005852i,-0.0016854+0.00026082i,-0.0019846+0.00091456i,-0.0019572+0.00056818i,-0.0013975-0.00020735i,9.7165e-06+0.00012426i,0.00015495+0.00059257i,-0.00011519-0.00030329i,-8.5603e-05-0.00044442i,-0.00062806-0.00040031i,-0.00029282-0.00053545i,0.00027639-8.3327e-06i,0.00010748+0.00037257i,-0.00041385-0.00027152i,-0.00075772-0.00075515i,-0.00036834-0.00084938i,-0.00016498-0.0012584i
0.00015512-0.00040401i,0.00035623+2.2528e-05i,0.0005708-0.0016079i,-5.1775e-05-0.0022125i,-0.00087122-0.001683i,-0.0003239-0.00086902i,0.00035994+0.00025632i,0.00028523+0.00059308i,-0.0005501+7.0074e-05i,-0.0012895+0.00011995i,-0.0011425-0.00032302i,-0.00061369-0.00048461i,-0.00032161-0.00039241i,-0.00018594-0.00044094i,-0.00032162-0.00015092i,-9.6303e-05-5.4552e-05i,0.00015218-0.00020044i,0.00039659+6.5278e-05i,0.0010187+0.00049499i,0.0010159-7.0001e-05i,0.00066152-0.00044447i,2.1565e-05-0.00041362i,-0.00014142+9.2472e-05i
3.2675e-05-0.00096653i,0.00025016-0.0010031i,0.00052323-0.00099077i,0.00053646-0.0018762i,0.00081471-0.0014735i,0.00058977-0.00062266i,-0.0005666-0.00077056i,-0.0011103-0.00082046i,-0.0012788-0.00063878i,-0.0006657-0.00076929i,-0.00035206-0.00080261i,-0.00062045-0.00016474i,-0.00030318+0.00022266i,9.4649e-05-0.00019014i,-0.00036186-0.00031942i,-0.00094196-0.00057109i,-0.00071724-0.00034383i,-0.0003503+0.00014533i,-0.00037621+0.00014971i,-0.00050875-0.00024824i,-0.00078037-0.00088849i,-0.0011052-0.0010231i,-0.00042482-7.3886e-05i
0.00080566+0.00085985i,0.0010912+0.00078696i,0.0025287+0.0014002i,0.0035641+0.0010037i,0.0032202-0.00041419i,0.0015822-0.00048103i,0.00055386+0.00067625i,-0.00018525+0.0012206i,-0.00049285+0.00054362i,-0.00010743+0.00022872i,0.00029739-0.00018938i,0.00011199-0.00023886i,7.8202e-05+0.00020025i,-3.2835e-05+0.00038088i,-5.8325e-05-0.00048223i,0.00020962-0.00065895i,-5.4957e-05-0.00016265i,-6.2532e-05-0.00037047i,0.00015051-0.00012572i,-4.9631e-05-0.00011739i,-0.00010945-0.00028556i,-0.00020177+0.00011975i,-0.0002922-1.5455e-06i
2.9408e-05+0.0013578i,-0.00090682+0.0021557i,-0.0011889+0.0014532i,-0.0010359+0.00097108i,-0.00015495+0.00044053i,0.00096687-0.00061975i,0.0012207-0.0010438i,0.0011218-0.0011426i,0.0008972-0.0011273i,7.9532e-05-3.8588e-05i,-0.00026658+0.00090291i,-0.00010653+0.0006985i,0.00022291+0.00069949i,4.7475e-05+0.00060912i,-0.00013955+0.00096351i,-0.00020651+0.0010424i,-0.00032384+0.00015166i,-0.00074731-0.00014265i,-0.001209-6.9782e-05i,-0.00083988-0.00010989i,-0.00041966+0.00011647i,-1.7596e-05+0.00016361i,-0.00070117+0.00023832i
0.0011212-0.0010111i,0.001578-0.0012236i,0.0011291-0.0022334i,0.00049012-0.0017422i,-0.00060537-0.0014987i,-0.0006549-0.0018065i,-0.0004378-0.00041916i,-0.00026398+0.00071647i,-0.00036001+0.00085477i,-0.0013256+0.00013181i,-0.00074428-0.00030552i,-0.00033465-5.2428e-05i,-0.00047274-0.00021145i,-0.0001018-0.00051927i,-0.00022256-0.00067791i,-0.00077862-0.0010484i,-0.00021994-0.0010084i,1.2212e-05+0.00012593i,-0.00029783+0.00037794i,0.00026259-0.00019878i,0.00031457-0.00026206i,1.9141e-05-0.00079951i,0.000324-0.00050833i
-0.0016123+0.0014755i,-0.00078272+0.0011276i,-0.00026459+0.0012127i,0.00069491+0.00067924i,0.0017266-0.0002776i,0.0018857-0.0012152i,0.0012041-0.00096854i,-0.00017138-0.00020492i,-0.0015429-0.00031374i,-0.0012687-0.00020423i,-0.00045876+0.00014432i,0.00033852+0.00026357i,0.0012195+0.00029432i,0.00037189+7.6516e-05i,-0.0010749-0.00022157i,-0.00069158-0.00069202i,-0.00037712-0.00079983i,-0.00063563-1.7575e-06i,-0.00076883+0.00015792i,-0.00023262+8.567e-05i,0.00018369+1.5396e-05i,0.00017017+3.435e-05i,0.00038-8.4094e-05i
0.0015348+0.0011159i,0.0012386-0.00024682i,0.001329-0.0010057i,0.0015302-0.001819i,0.0011949-0.0023403i,-0.00026805-0.0022926i,-0.00096503-0.0012645i,-0.0010198+0.00024448i,-0.00097287+0.00071348i,-0.00056389+1.3804e-05i,-0.0003337-0.00027814i,-0.00028609-0.00066645i,0.00074198-0.0010601i,0.00062077-0.0010196i,-0.00043347-0.00068584i,-0.00039422-0.00073672i,-0.00014369-0.00038956i,-0.00099357+6.7783e-05i,-0.0016314-0.00014476i,-0.0011212-0.00049012i,-0.00063806-0.00088031i,-0.00066172+0.00017567i,-0.00018269+0.00050659i
0.00080298-0.0018182i,0.0010681-0.00074372i,0.00017769+1.6627e-06i,-0.00076774+1.5368e-05i,-0.00036877-0.00062116i,0.00031756-0.00024912i,0.00017872+0.00034211i,-0.00045035+0.00022058i,-0.00056337-0.00028383i,-0.00067115-0.00087911i,-0.0007525-0.000547i,-0.00024963+0.00073329i,-0.00020564+0.001282i,-0.00046086+0.00059069i,-0.00031214-0.00019957i,-0.00071268-0.00018759i,-0.0011122-0.00010781i,-0.00065326-7.5967e-05i,-0.00064654+5.1225e-05i,-0.00061634-0.00032544i,-0.00083835-0.00028395i,-0.00038462-0.0005023i,-2.0061e-05-0.0011734i
8.7831e-05+0.0013822i,0.00065145+0.0013026i,0.00070986+0.00082883i,0.00061101-0.00012119i,0.00097126-0.00088861i,0.0010038-0.00088759i,2.2578e-05-0.0006237i,-0.00082003-0.00024681i,-0.0015928-5.8491e-05i,-0.0018968-6.256e-06i,-0.0012838+0.00041843i,-0.0010764+0.0006669i,-0.00096507+0.00058429i,-0.00093885+0.00060247i,-0.00094066+0.00042719i,-0.00064281-0.00043752i,-1.6626e-05-0.00038338i,-0.00030566+0.0005287i,-0.0009177+0.00095494i,-0.00094627+0.00068215i,-0.00091532-0.00032036i,-0.00019901-0.00081628i,0.00023525-0.00056157i
-9.7032e-05-0.00037667i,-0.0011245-0.0008087i,-0.00066792-0.0017949i,-0.00027939-0.0015932i,3.5321e-05-0.0018547i,-0.00034674-0.0016575i,-0.00053203-0.001124i,3.0874e-05-0.00047012i,0.00036791+5.5113e-05i,-0.0005627+2.5023e-06i,-0.0012805+3.0894e-05i,-0.00074312-0.00039432i,-0.00027709-0.00068026i,9.7077e-05-8.8893e-05i,0.00060899+5.7366e-05i,0.0012274+6.642e-05i,0.0010815+0.00012942i,0.00010121+0.00022941i,-0.00012424+0.00019524i,6.9847e-05+0.00069472i,-0.00032934+0.00026415i,7.0229e-05-0.0010145i,0.0005814-0.00081083i
0.00089071+0.00023133i,0.0012295-0.00098528i,0.0025152-0.0011248i,0.0029079-0.00079154i,0.0012871-0.0016106i,-0.00030151-0.0015553i,-0.00099039+2.9221e-05i,-0.0011598+0.00021869i,-0.0011412+8.236e-05i,-0.0009795+0.00092511i,-0.00099115+0.00088183i,-0.00039961+6.1673e-05i,0.0012452+0.00023451i,0.0011609-6.1286e-05i,4.7235e-05-0.00097797i,-9.2205e-05-0.0013074i,-4.9369e-05-0.00046448i,-0.00030609+0.00064377i,0.00037759+0.00064096i,0.00091809+0.00044544i,0.00037572+0.00085951i,0.00024064+0.000865i,0.00025735+0.0003575i
0.0026596+0.0015948i,0.0022528+3.3465e-05i,0.0033978-0.00088006i,0.0034802-0.001904i,0.0020234-0.0025089i,0.0002582-0.0016658i,-0.00072558-0.00027509i,-0.00090869+0.00065686i,-0.0013214+0.00055176i,-0.0014599-0.00049166i,-0.00072119-0.00081564i,-9.3555e-05-0.00011817i,0.00011262+0.00035277i,0.00023822+0.00062609i,0.00029599+0.00031611i,0.00028538-0.00088145i,-0.00039047-0.00096813i,-0.00047031+0.00022148i,0.00034427+0.00091052i,0.00022888+0.00067414i,0.0002127+0.00016271i,0.00031646-0.00058506i,6.6886e-05-0.00076994i
-0.00089373+0.0016408i,-0.00080753+0.00036296i,-0.00078397+0.00057167i,-0.00065616+0.00083819i,2.2497e-05-0.0004605i,0.0010811-0.0012081i,0.0010635-0.0010916i,0.0001119-0.00055708i,-0.0010541+0.00021658i,-0.0012468+0.0010225i,-0.00058739+0.0012662i,1.2165e-05+0.00063024i,0.00056749-0.0002986i,9.107e-05-0.00041373i,-0.00049755+8.3392e-05i,-0.0010451+1.3981e-05i,-0.001106-0.00020061i,-0.00037187-0.00014158i,-0.0008193+0.00035715i,-0.0010019+0.0011288i,2.0464e-05+0.00038236i,-0.00021167-0.00048468i,-0.0012638+9.7993e-05i
0.00048263-0.00041769i,0.00012931-0.00015719i,-0.00042727-0.00096379i,-0.00089445-0.001511i,-0.0011956-0.0008023i,-0.00060451-0.000534i,-0.00014675-0.00049153i,-0.00048386+0.0005455i,-0.0010703+0.00053898i,-0.00085574-9.3252e-05i,-0.00065729+0.00010116i,-0.0014734-0.00035538i,-0.0006564-0.00092504i,9.312e-05-0.0004488i,0.00011515-0.00014818i,0.000645-0.00037028i,0.00056868-0.0013525i,8.3235e-05-0.00097885i,-0.00047924+0.0001603i,-0.00051291+4.1332e-05i,-0.00034564-0.00047306i,-0.00050669-0.0003378i,-0.00031191+0.00024139i
-0.00055789+0.00099479i,-0.00075059+0.00036665i,-0.0012253+0.0010942i,-0.00019406+0.0020612i,0.0013727+0.00025469i,0.0020803-0.0015198i,0.0020294-0.0014155i,0.0012276-0.0011121i,-0.00013763-0.00010593i,-0.00036299+0.0012822i,0.00020285+0.0013537i,0.00034481+0.00039718i,-2.9457e-05+1.0908e-06i,0.00020695+9.8451e-05i,0.00023218-0.0003678i,-0.00031711-0.0011193i,-0.0011771-0.0016347i,-0.0010391-0.00024144i,-0.00012633+0.0011583i,0.0002906+0.0010661i,0.00037933+0.00058653i,-7.75e-06+9.5812e-05i,-0.00036985-9.3892e-05i
0.0011819+0.00045966i,0.00042741-0.0003983i,0.0009825-0.0012096i,0.0015857-0.0015542i,0.0015224-0.0018134i,0.00073313-0.0015785i,-0.00021932-0.0013832i,-0.0005654-0.001611i,-0.00045079-0.00089151i,-0.00052196-0.00061368i,-0.0006922-0.00095935i,-0.00029504-0.00076108i,-8.6861e-05-0.00057386i,-0.00049754-0.00015575i,-0.00054326-0.00046707i,5.8517e-05-0.0010198i,-8.3662e-05-0.00046943i,-1.4001e-05+9.4952e-05i,0.00047881+0.00020489i,0.00056396+0.00046721i,-1.9326e-05+8.0646e-05i,-0.00040055-0.00015041i,-0.00057331-0.00071172i
-0.00015032-7.8818e-05i,-0.00048365+0.00075328i,-0.00064154+0.001375i,3.7039e-05+0.0011514i,0.0003585+0.00064833i,5.1971e-05-0.00035942i,-0.00042704-0.00067905i,-0.0012836-0.00031498i,-0.0014567+0.00046414i,-0.0014163+0.00064139i,-0.0010472+0.00079747i,0.00031533+0.0009177i,0.00081537+0.00031354i,0.00060846-0.00055017i,-0.00011275-0.00029647i,-0.00045182+0.0002238i,-0.0001996+0.00043969i,-0.00071525+0.00029887i,-0.00069144+0.00015766i,-0.0001912+0.00032205i,-0.00086306+0.00027113i,-0.00035377-0.00046576i,0.00029875-0.00035584i
0.0015964+0.00060716i,0.0018458+0.00069869i,0.0015106+0.0002537i,0.0013503-0.00055333i,0.00094584-0.0012359i,0.0004317-0.0014128i,0.00024596+0.00037075i,-0.00044322+0.0013936i,-0.00069305+0.00094723i,0.00016921+0.00048608i,0.00020727-0.00020998i,4.206e-05-0.0005517i,0.00048682-0.00029446i,0.00087028-2.9301e-05i,0.0002517-0.00048313i,-0.00049073-0.00049164i,-0.00041259+0.00025983i,-0.0004497+0.00017793i,-0.00012594-0.00027552i,0.001152-0.00033488i,0.0015827-0.00033125i,9.0034e-05-0.00047337i,-0.00055545-0.00017891i
-0.00013958+0.00033736i,-0.0015442+0.0014086i,-0.0011817+0.0023248i,0.00016039+0.0022532i,0.00081518+0.00063909i,0.0011656-0.0011063i,0.0010958-0.0013543i,2.9363e-05-0.00081125i,-0.00095407-0.00025301i,-0.0011962-6.8409e-05i,-0.00061209+0.00022922i,0.00040543+0.00057387i,0.00034072+0.00094169i,-0.00046752+0.00091115i,-0.00062675+0.00018675i,-0.00092179-0.00033114i,-0.00085655-0.00010132i,-0.00076972+0.00072329i,-0.00075524+0.00055385i,-0.00028205-3.7182e-05i,0.00021525-0.00041868i,0.00066906+5.9965e-05i,0.00040687+0.00069939i
0.0014903+1.2955e-05i,0.0014573-0.0012984i,0.0014713-0.0017644i,0.0015361-0.0017569i,0.0012122-0.0021469i,0.00014282-0.0018111i,-0.00040689-0.00088794i,-0.00065533-0.00025227i,-0.0011548+0.00034578i,-0.0010644+0.00031267i,-0.0001482+0.00029516i,0.00050936+0.00033659i,0.00021947-0.00019957i,7.0248e-05-0.00049494i,5.7757e-05-0.00028655i,-5.5459e-05+4.8718e-05i,-0.00056646+0.0004809i,-0.0015253+0.00068068i,-0.00087187+0.00030912i,0.0001034-0.00070495i,0.00026744-0.00094836i,-0.0002517-0.00028856i,-0.00047193-0.0001447i
-0.00045459+9.5692e-05i,-0.00087287-0.00060719i,-0.00095395-0.001132i,-0.00084591-0.0010078i,-0.00065229-0.0016462i,-0.00038232-0.0014678i,-0.00021764-0.00036355i,-0.0010102+0.00043202i,-0.0013334+0.00047524i,-0.00071225-7.6365e-05i,-0.00022426-0.00017688i,0.00015766+0.00029748i,8.7917e-05+0.00056557i,0.00010134+0.00047018i,0.0001513+0.00029257i,-0.00022066-0.00016142i,-1.3557e-05-0.00062394i,-0.00035063-0.00023174i,-0.0009864+0.00038292i,-0.00091069+0.00095721i,-0.00026906+0.00036825i,0.00065722-0.00087693i,0.00044581-0.00084798i
0.00032674-0.00087502i,-0.00011147-0.00074859i,0.00025601-0.00025812i,0.00062516+7.6848e-05i,5.8054e-05-0.00046809i,-0.00027546-0.0012888i,0.00015912-0.00063529i,0.00027822+0.00053246i,-0.00075676+0.00062349i,-0.00072392+0.00041164i,4.1658e-05-1.5714e-05i,0.00018948-0.00028947i,-1.8844e-05+0.00011752i,-0.00010243+0.00028919i,-0.0005475-0.00021629i,-0.00013351-0.00090283i,0.00064672-0.00094328i,0.000672-0.00027287i,0.00012079+0.0003934i,-0.0008319+0.00060926i,-0.00062243+4.9041e-05i,-0.00019773-0.00014478i,-0.00039709+0.00064672i
0.00049453+0.0012133i,0.00038503+0.0020877i,0.0018553+0.0018105i,0.0016755+0.00045195i,0.00083725-0.0015723i,0.00068103-0.0011594i,-0.00015867-0.00086089i,-0.0012287-0.00054685i,-0.0013524+0.0003825i,-0.0014985+0.00029251i,-0.0013368-0.00045925i,-0.00033946-0.00084428i,-0.00012756-0.00022409i,-0.00023133+0.00028016i,-0.00017789+0.00012406i,-0.00036224-5.63e-05i,-0.00026161-0.00040641i,0.00035996-0.00091382i,-6.3022e-05-0.00093989i,-0.00090661-0.00064379i,-0.00030791-0.00011637i,-0.00054236+2.7736e-05i,-0.00065987-0.00042009i
-0.00038271-0.00065633i,-0.00082241-0.0012734i,-0.00078183-0.00093927i,-0.00037616-0.00010866i,-0.0003122+0.00013004i,0.00029652+0.00010274i,3.9053e-05+0.0002651i,-0.00095654+4.8889e-05i,-0.0011374-0.000265i,-0.00087379-0.0005001i,-0.00012374+0.00013507i,-5.1012e-05+0.0008448i,-0.00032187+0.00056766i,4.5663e-06+0.00019368i,0.0006566-5.7335e-05i,0.00038525-0.0001764i,-0.00067499-0.00046782i,-0.0013645-0.00079499i,-0.001111-0.00086647i,-0.0003509-0.00032367i,0.00054305+4.4645e-05i,0.0009583-0.00040264i,0.00055864-0.00058966i
0.00058451-0.0008166i,0.00019118-0.00091938i,-0.00020752-0.00093082i,5.1873e-05-0.0012677i,0.00037155-0.0019279i,0.00069313-0.001376i,0.00067905-0.00040889i,0.00044129+0.00011329i,-0.00033739+0.00070552i,-0.00058316+0.00085225i,-0.00043205+0.00032674i,-0.0011424-9.631e-05i,-0.00081202+2.9456e-05i,-0.00077335-0.0002292i,-0.00079969-0.0011352i,-0.00069743-0.00093501i,-0.0014423-0.00020374i,-0.001567+0.00016657i,-0.0010554+0.00066236i,8.168e-05+0.00080587i,0.00069694+0.00030003i,0.00019723-0.00056024i,4.5611e-05-0.00068003i
0.00058243+6.002e-05i,-0.00011554+0.00052059i,-0.0011278+0.00090683i,-0.00022359+0.00014313i,0.0013948-0.00022061i,0.0017366-0.0004723i,0.00021011-0.00097816i,-0.0009738-0.0009151i,-0.0014459-0.00064658i,-0.0019464+0.00017184i,-0.001587+0.0004468i,-0.0007256+2.909e-05i,-0.00046101+0.00028119i,-0.00056324+0.00038666i,-0.00056021-0.00034477i,-0.00037241-0.00099237i,-0.0003719-0.0006124i,-3.4021e-05-0.00015307i,0.00078677+0.00022117i,0.00049867+0.0008723i,-0.00065466+0.00056573i,-0.0012801-0.00040658i,-0.0011067-0.00024049i
0.0016566+0.0016303i,0.0016759+0.0010574i,0.001461+0.00043043i,0.0019913-6.9e-05i,0.0012495-0.00035374i,0.00080641-0.00098416i,0.00066304-0.00088698i,4.2843e-05-0.00035705i,-0.00035477-0.00022392i,-0.00070627+0.00045719i,-0.00027236+0.0012625i,0.00010553+0.0014094i,-4.5257e-06+0.00089419i,-0.00017843-8.9649e-05i,-0.00018624-0.00085693i,0.00032498-0.0006862i,0.00060115-0.00021649i,0.00013601-0.00051618i,-0.0001918-0.00014435i,-0.00024685+0.000747i,0.00022628+0.00044363i,9.5466e-05+0.00029845i,-0.00076653+0.00073857i
-0.0011121+0.00075928i,-0.00107+0.00069655i,-0.00088014+0.0010299i,0.00046273+0.00037447i,0.0015862-0.0015527i,0.0011912-0.0030295i,-0.00010933-0.0025272i,-0.0010518-0.00029187i,-0.00089012+0.0011525i,-0.00017496+0.001152i,-0.00028499+0.00036765i,2.9924e-05-0.00012638i,0.00075425+0.00087579i,-0.00027951+0.0011699i,-0.0010515-0.00038541i,0.00016003-0.0014951i,0.00048056-0.0010933i,0.0002795-0.0003215i,0.00045549+0.00015265i,0.00038395-0.00047i,7.1813e-05-0.00074237i,-0.00086045-0.00022167i,-0.00085986+0.00045765i
-0.00020415+0.00062284i,-2.1048e-05+0.0010563i,-0.0001708+0.0021143i,0.00047011+0.0020101i,0.0014188+0.00045907i,0.0015337-0.00088444i,0.00014611-0.00085074i,-0.00081556-0.0003537i,-0.0012518+0.0004619i,-0.0014746+0.00073284i,-0.0013231+0.00011238i,-0.00056571+0.00018966i,-1.4374e-05+6.4715e-05i,-6.3191e-05-0.0004573i,-0.00043221-0.00020526i,-0.00068878-2.4031e-05i,-0.0012526-0.0005566i,-0.0011805-0.00015214i,-0.0003073+0.000342i,-0.00052539+1.9369e-05i,-0.00086942-4.7657e-05i,-0.00034142+0.00012458i,-0.0003385+5.6852e-05i
-0.00069994+0.0014965i,-0.00046358+0.0015108i,-0.00083453+0.0022503i,-5.2006e-06+0.0027167i,0.00038801+0.0012651i,5.1191e-05+0.00054159i,-0.00035082+0.00041562i,-0.00047795-0.0002i,-0.0006841-0.00044848i,-0.00073337+1.7435e-05i,-0.00080834+0.0011168i,-0.001183+0.0014386i,-0.0012725+0.00086967i,-0.0006417+5.5978e-05i,0.00036653-0.00042811i,0.00056745-0.00059268i,-0.00055692-0.00054281i,-0.0010728-0.00029383i,1.8287e-05+0.0006895i,0.00033809+0.00080296i,-0.00053998-7.6636e-05i,-0.00070804-0.00048323i,-0.00021517-0.00067021i
