-0.0014143+0.0014839i,-0.0015728+0.00031942i,-0.0035227-0.00042989i,-0.0041706+5.1685e-07i,-0.0028495+0.0020787i,-0.00099134+0.0026862i,-0.00030935+0.0011167i,0.00034714+0.00064226i,0.0015138+0.00075953i,0.0020829-0.00028273i,0.00062205-0.00057276i,-0.00052978-0.00019614i,0.00031234-0.00033654i,0.00078737-0.00077779i,0.00042295-0.001034i,-0.00068335-0.00046986i,-0.00090781-4.9719e-05i,-0.00020082-0.00017245i,0.00015985-0.00042908i,0.00054666-0.00040751i,0.00097046-0.00048212i,0.00065297-0.00066245i,-0.00037297-0.00070487i
-0.0022176-0.0025408i,-0.0009428-0.002217i,0.0012555-0.0029113i,0.0018668-0.0035442i,0.00051372-0.0036215i,0.00080754-0.00296i,0.0015456-0.0011638i,0.00088095-0.00047905i,0.00048349-4.7402e-05i,-8.1748e-05+0.0010397i,-0.0015903+0.0011541i,-0.0024801+0.0014498i,-0.0025936+0.0017602i,-0.0013374+0.00040085i,-0.00037727-0.00075391i,-5.0799e-05-0.00094241i,0.00032238-0.00071555i,0.00029359-0.0001719i,0.00028795-0.00040492i,0.00034587-0.00033138i,0.00022646+0.00029704i,0.00032493+0.00040188i,0.0003545+0.00056431i
-0.00047282+0.0012928i,-0.00025611-0.00064758i,-0.00097098-0.0023342i,-0.00098463-0.0038372i,-0.0014047-0.0039445i,-0.0018179-0.0025479i,-0.0016794-0.0017817i,-0.00068333-0.0014074i,0.00026025-0.00028014i,0.00060438-0.00031926i,0.00057108-0.00037431i,0.00078558+0.00024986i,0.00094397+0.00048569i,0.00030814+0.0003713i,-6.7508e-05-0.00023444i,-0.00030476-7.0389e-05i,-0.00055187-0.00033574i,0.00066999-0.00039998i,0.00039484+0.00057789i,-0.00088123-0.00010164i,-0.00016995-0.00044133i,0.00036118-0.00026774i,0.00011914-0.0007523i
0.0020793+8.7626e-05i,0.00049688-0.0016086i,-0.0013186-0.0032253i,-0.0034847-0.002618i,-0.003784-0.0008163i,-0.0030587+0.00063133i,-0.0018504+0.00077276i,-0.00062326+0.00068446i,-0.00014173+0.00036865i,0.00049383-0.00058405i,0.0010395-0.0007946i,0.0015468-0.00040267i,0.0013762-0.00060282i,0.0008884-0.001076i,0.00051457-0.0005518i,0.00037482+0.00055638i,0.0008331+0.00041603i,0.00086621-0.00020414i,-7.7425e-05+4.3983e-05i,-0.00051723-0.00013272i,-0.00034466-0.00083498i,-1.5836e-05-0.00075095i,-0.00029413-0.00062909i
0.0031483+0.001187i,0.0016493+0.00056602i,0.0010599+0.00058939i,0.00073311+0.00086363i,-0.0001791+0.0015657i,-0.00020944+0.001197i,-2.3471e-05+0.0011255i,-9.2397e-05+0.0013835i,-0.0001923+0.00052579i,0.00010393-0.00066725i,-6.8968e-05-0.00023087i,-0.00099073-0.00044464i,-0.0011887-0.0016399i,-0.00084661-0.00076403i,-0.00049526-0.00020072i,-0.00065935-0.00081481i,-0.0012481-0.0003951i,-0.001003-0.00010406i,0.00045632-0.00012766i,0.00099505+0.00083309i,0.00043632+0.0011098i,-0.00026563+0.00024698i,-0.00027498+0.00044491i
-0.0028884-0.00019203i,-0.0016223-1.9307e-05i,-0.00044562-0.00084869i,0.0010368-0.0013586i,0.002482-0.0011026i,0.0022766-0.0010147i,0.0013226-0.0011413i,0.0014389-0.00078049i,0.0014906-0.00097452i,0.0011293-0.00077496i,0.00061653+0.00051515i,-0.00032703+0.0011699i,-0.00129+0.00071227i,-0.0012011+0.00072738i,-0.00080209-0.00012726i,8.3533e-06-0.0006299i,0.00023058+0.0004977i,-0.0001975+0.00046937i,0.00032895+9.0204e-05i,0.00019604-9.3202e-05i,2.9622e-05-0.00027247i,-0.00022975-0.00031415i,-0.00070254-0.00051827i
-0.0026367-9.0482e-05i,-0.0021612-0.00083934i,-0.0012089-0.00098829i,8.2452e-05-0.0017725i,0.00022694-0.0023606i,0.00018166-0.0017085i,0.00057842-0.0012384i,0.0010075-0.00066872i,0.00053444-0.00046877i,-0.00016708-0.00039421i,-0.00012037+0.00026588i,1.5692e-05+0.0011664i,-9.4506e-06+0.0018646i,-0.00014153+0.0014442i,-0.00044185+0.00046888i,-0.00023406-9.7912e-05i,0.00027298-0.00044833i,0.00052589-0.00051975i,0.00070501-0.00041678i,-0.00014098-0.00043912i,-0.00048522-0.0011046i,0.00011624-0.0013446i,4.8015e-05-0.00041498i
0.00049468+0.00077897i,-0.00012479-0.00085697i,-0.00067244-0.0015609i,-0.0023887-0.0020444i,-0.0039775-0.0020599i,-0.0027132-0.00094143i,-0.00086518-0.00014124i,-0.00056658+0.00021922i,-0.0010671+0.00088149i,-0.001008+0.00083321i,0.00065442+0.00011543i,0.0018621-6.4083e-05i,0.0018812-0.0006603i,0.0012825-0.0011598i,0.00060563-0.00025813i,0.00043366+0.00021941i,0.0009398+7.0186e-05i,0.0011184+0.00034903i,0.00064101+0.00060873i,0.0006074+0.0003958i,0.00085545-2.1929e-05i,0.00063531-0.00039244i,0.00025096-0.00027156i
0.00064016-0.00041752i,-0.0010366-0.0005799i,-0.0021751-0.0020713i,-0.0042484-0.0022382i,-0.005999-0.00030335i,-0.0042915+0.0013976i,-0.0010459+0.0015425i,-9.172e-05+0.0012599i,-0.0005628+0.00095401i,-0.00054325+0.00075851i,3.7673e-05-0.00010846i,0.00024539-0.00058456i,5.0733e-06-0.0006464i,0.00010703-0.00089609i,-0.00046712-0.0010427i,-0.0010158-0.00070074i,-0.0006895-8.9374e-05i,-0.00035863+0.0001347i,0.00022382+0.00041091i,0.0002289-0.00017842i,-3.3553e-05-0.00082028i,9.9386e-05-0.0011671i,0.00035789-0.00053917i
0.0021502-0.0030902i,0.0010814-0.0030392i,-0.00061822-0.0018465i,-0.0022211+0.00019088i,-0.0018096+0.0022781i,-7.1194e-05+0.002327i,0.00078256+0.0010952i,0.00053336+4.4841e-05i,0.00014495-0.00025708i,0.00010665-0.00051321i,-0.00023722-0.00068887i,-0.0003972-0.00077342i,9.2908e-05-0.00042983i,0.00018936+0.00035756i,-0.00024461+0.00050064i,-0.00075825+0.0003228i,-0.00035466-0.00014451i,0.00017516-0.00018141i,-0.0002602+8.4967e-05i,-0.00085599+0.00077055i,-0.00037115+0.0012145i,0.00051225+0.0010306i,0.00085319+0.00097405i
-0.0020845+0.00013962i,-0.00066359+0.0002442i,-0.00010665+4.2273e-05i,0.0010829-0.00072417i,0.0017783-0.0013672i,0.0016821-0.00086402i,0.0013923+3.4544e-05i,0.001109-0.00042992i,0.0013955-0.0014769i,0.0020794-0.00041276i,0.0013136+0.00064815i,0.00032168+0.00048755i,0.00018757+0.00092128i,-0.00038854+0.0012799i,-0.0008912+0.00040392i,-0.00031262+9.6606e-05i,0.00055554+0.00053517i,0.00010684+0.0004236i,-0.00045026-6.8957e-05i,0.00026607-0.00037433i,0.0005008-0.00037951i,9.6796e-05-0.00036515i,-0.00022756+0.0002131i
-0.00013026+0.002309i,0.0005352-0.00058134i,0.0011535-0.0034873i,0.00012089-0.0051021i,-0.0018539-0.0046609i,-0.0023011-0.0025285i,-0.0011197-0.0011161i,-5.2042e-05-0.0010195i,-0.00061206-0.0013082i,-0.0013925-0.001555i,-0.001448-0.0010424i,-0.00057148-0.00022327i,0.00045446+0.00049842i,0.00074492+0.00086546i,0.00010306+1.8855e-05i,-0.00078991-0.0002909i,-0.00099948+0.00028335i,-0.00073704+3.878e-05i,-0.00016492-0.00061392i,-0.00015819-0.00046942i,-0.00038807+0.00013787i,-0.00044485+0.0002215i,-6.2267e-05+0.00014616i
0.0012854-0.0018152i,-0.00037789-0.0031161i,-0.0029493-0.0042252i,-0.0051943-0.0039216i,-0.0048282-0.001393i,-0.002903+0.00084065i,-0.0010413+0.00048976i,-0.00027192+4.0926e-05i,-0.00079403+0.00066942i,-0.0011094+0.00040289i,-0.00035691+0.00020135i,0.00064104+0.00011218i,0.00022317-0.00096915i,-0.00014965-0.00144i,-4.1074e-05-0.00080391i,7.2781e-06-0.00037522i,0.00026032-0.00034458i,0.00065198-0.00036196i,0.00062537-0.0003755i,0.0007561-0.00022199i,0.00094512-0.000197i,0.00046875-0.00029554i,0.00063601-0.00078406i
0.0003296-0.0044333i,-0.0021037-0.0032931i,-0.0038859-0.0023411i,-0.0048714+0.0002043i,-0.0037845+0.0032181i,-0.0013811+0.0036456i,0.00027597+0.0023792i,0.0010174+0.0024962i,0.0003155+0.0021093i,-0.00043692+0.00074456i,5.9832e-05+0.00011195i,0.00013456-0.00049368i,-0.00035208-0.00040822i,-0.00049974-4.3873e-06i,-0.00017482-0.00026775i,-5.0669e-05-8.6141e-05i,-0.00056438+0.00055031i,-0.00030225+0.00025695i,-1.3662e-05-0.0004512i,-0.00028514-0.00056146i,-0.0008103-0.00057123i,-0.00061298-0.00018553i,-0.00042941+0.00052235i
-0.0024051-0.003099i,-0.0019412-0.0024741i,-0.0021247-0.00082533i,-0.0018761+0.0010978i,-0.00013421+0.0017174i,0.00072739+0.00088378i,0.00083903-8.6088e-05i,0.00087492+5.9269e-06i,0.00033285-0.00011629i,-0.00026434-0.0002251i,-0.0009528+1.4722e-05i,-0.00056641-3.1095e-05i,-0.00018855+9.9515e-05i,-0.00074834+0.00044299i,-0.00078733+0.00035898i,0.00023692+0.00024075i,0.00054124+0.00055476i,0.00015514+0.00025212i,8.031e-05-0.00062636i,0.00042004-0.00040856i,0.00015587+0.00050369i,-0.00039517+0.00039831i,0.00014189-0.00013948i
0.00036101+0.0040031i,0.0019077+0.0011159i,0.0028261-0.0021528i,0.0030424-0.0029007i,0.0027104-0.0023904i,0.001548-0.001441i,0.0010164-0.00075556i,0.001308-0.00054202i,0.00091204-0.00054687i,0.00067309-0.0011467i,0.00055334-0.00097589i,-0.00010806+0.0001035i,0.00036492+0.00025268i,0.00084744-0.00047881i,0.00036655-0.00024414i,-0.00031469+0.00024671i,-0.00060296+5.641e-06i,-3.0261e-05-0.00011988i,0.00026453-0.00014559i,0.00039751+0.00021147i,-5.9175e-06+0.00041874i,-0.00057052+4.0886e-05i,-0.0003906-9.2691e-05i
0.0042848+0.00096255i,0.001485-0.0018308i,0.00025317-0.0040604i,-0.0009312-0.0059909i,-0.0029498-0.005452i,-0.0038298-0.0037205i,-0.0022912-0.0014122i,-0.0014497-0.00018084i,-0.0015628-0.0006613i,-0.00092607-0.00035961i,-0.00028454+1.688e-05i,0.00071514-6.7001e-05i,0.0014556-0.00063488i,0.0011384-0.0011692i,0.00070949-0.0010045i,9.571e-05-7.1487e-05i,-0.00011528-0.00037699i,3.6594e-05-0.00064844i,-0.00045637-0.00059851i,-0.00049312-0.00042803i,-0.00048486+0.00056919i,-0.00040563+0.00025942i,8.48e-05-0.00031725i
0.0021507-0.0019855i,0.00035759-0.0014052i,-0.0017195-0.0036457i,-0.0041174-0.0033546i,-0.0051617-0.00052192i,-0.0031659+0.00040281i,-0.000779-0.00010008i,-0.00078581+0.00037447i,-0.0010786+0.0013514i,4.1548e-05+0.0012883i,0.00018366+0.00090168i,-0.00043731-2.1656e-05i,-0.00055979-0.00075149i,-0.00053715-0.00056285i,-0.00035069-3.6058e-06i,-0.00046524+0.0004028i,-0.0005469+0.00021085i,-0.00024501-0.00032354i,0.00050839-0.00036325i,0.00063076-0.00023589i,-0.00055637-0.00069501i,-0.001326-0.00067567i,-0.0012754-0.00019121i
-0.00053255-0.0034517i,0.00029436-0.0019596i,-0.0014223+0.00011957i,-0.0031979+0.0011453i,-0.0025483+0.0023725i,-0.00047026+0.0024152i,0.00085845+0.0010128i,0.0011987+0.00096944i,0.0013541+0.0014919i,0.0006678+0.0015172i,0.00038032+0.0010557i,0.00020633+0.00061099i,-0.00065326+0.0009409i,-0.00090902+0.00089293i,-0.00093252+0.0013289i,-0.00050333+0.0014282i,-8.1553e-05+0.00074716i,-0.00084047-2.6448e-05i,-0.0014182-0.00027316i,-0.00065102-4.2738e-05i,-0.00051522+0.00025426i,-0.00040837+0.0004136i,0.00013531+0.00014585i
-0.0083251+6.6021e-05i,-0.0053344+0.00065815i,-0.0042909+0.003147i,-0.0014282+0.0040906i,0.0016301+0.0035179i,0.0023672+0.0027229i,0.0014802+0.0013968i,0.00070081+0.00048084i,0.00029786+1.5816e-05i,0.00058785+0.00034591i,0.00090728+0.00071979i,0.00068294+0.00072248i,0.0001476+0.0011141i,-7.5915e-05+0.0011155i,9.0346e-05+7.2971e-05i,-0.00015253-0.00065496i,-0.00012104-0.00045709i,0.0003598+6.296e-05i,-0.00027252+0.0007419i,-0.00096299+0.00059871i,-0.00063487+0.00014362i,-0.00037349-0.0003047i,6.4128e-05-0.00048024i
0.0035556+0.002932i,0.0032588-0.00087124i,0.0056915-0.0049306i,0.0051547-0.0067526i,0.0018808-0.0063718i,-0.0001751-0.0043872i,3.5703e-05-0.0015782i,6.9999e-05-0.00049286i,-0.00069012-0.000589i,-0.00067419-0.00094326i,-0.00031718-0.00054109i,0.00022842+0.00043211i,0.00056186+0.00049518i,0.0008469-0.0004137i,0.00032146-0.00082968i,-0.00023687-0.00055524i,0.00061154-0.00032416i,0.00035145-0.00062155i,0.00011247-0.00083917i,0.00095281-0.00012333i,0.0008038+0.00022751i,8.9289e-06+6.7221e-05i,0.00014105+0.00041653i
0.0031639-0.001273i,-2.8704e-05-0.0034935i,-0.0021945-0.0051012i,-0.0035504-0.0059313i,-0.0039057-0.0050262i,-0.0024247-0.0029533i,-0.00072799-0.0015882i,-0.00082359-0.0012223i,-0.0011726-0.00061831i,-0.00092725+0.00035579i,-0.00075042+0.0007678i,-0.00018808-0.00015481i,0.00042323-0.0012774i,0.00028748-0.0010617i,4.7913e-06-0.00067107i,0.00024924-0.00075778i,-3.2247e-06-0.00047143i,7.9979e-05+0.00013437i,-0.00047086+0.0003373i,-0.00077513-2.0421e-05i,0.00066383-0.00049049i,0.00097758-0.00055274i,-0.00033164-0.00055678i
0.0023457-0.0016677i,0.00085829-0.00054656i,-0.0017826-0.0022776i,-0.0034969-0.0024966i,-0.0037094-0.0015699i,-0.0035596-0.0010496i,-0.0026837-0.00029622i,-0.00064509+0.00054452i,0.00035345+0.0011946i,0.00039251+0.00084874i,4.3933e-05-0.00015816i,-0.00030444-0.00077461i,-0.00034402-0.00069656i,-0.0005859-0.00043094i,-0.00060316-0.00044928i,-0.00017011-0.00016735i,-0.0002345+0.00031465i,0.00010934+0.0002651i,0.00024149+0.00036598i,1.381e-05-0.00020804i,0.00019266-0.00047418i,0.00037458-0.00011214i,0.00032341-0.00049292i
-0.0014356+0.0018008i,-0.00043111+0.00094287i,0.00032625+0.00079925i,0.00036193+0.00023065i,0.00016194+0.00016823i,-0.00066133-8.967e-05i,-0.00040752+0.00017612i,0.0009191+0.00081367i,0.001371+7.7268e-05i,0.0011074-0.001118i,7.7762e-05-0.00015573i,-0.0010765+0.0012667i,-0.001641+0.001401i,-0.0012739+0.0011771i,-0.00019956+0.00074695i,0.00078465+0.00084317i,0.0009951+0.00062479i,0.00036717-2.7129e-05i,0.00016437+0.00020188i,0.00061127+0.0007201i,0.001059+0.0004402i,0.00038156-0.00046356i,-0.00097483+0.0001578i
0.00025596+0.0027576i,0.00047768-0.0008489i,0.0006445-0.0017691i,0.00067691-0.0013785i,0.00075996-0.0014213i,0.0012856-0.0008847i,0.0014913+0.00053346i,0.0012803+0.00093354i,0.0010464-0.00048613i,0.00023776-0.0011643i,-0.00060379-0.00054518i,-0.00042067+0.00022537i,0.00066685+0.00098349i,0.0011304+0.00082361i,0.0011255+0.00038442i,0.00098374+6.8787e-05i,0.00093537-0.00055426i,0.001345-0.00049863i,0.00099772-0.00012308i,-0.00020243+0.00054087i,-0.00031986+2.0536e-05i,0.00021395-0.00072592i,0.00019906+0.00031553i
0.0029664-0.0011048i,0.00062132-0.0019018i,-0.0001718-0.0032087i,0.00013676-0.0046619i,0.00027013-0.0041689i,0.00015447-0.0026451i,0.00098962-0.0019818i,0.0012369-0.0013343i,-0.00013936-0.0005621i,-0.0012304-0.00033516i,-0.0010152-0.00029076i,-0.00028845-2.2091e-05i,0.00074079-0.00067132i,0.00085434-0.00060287i,0.00017601+0.00010206i,-6.3588e-05+9.7411e-05i,-5.1155e-05+7.3171e-05i,0.0010524+0.00026159i,0.0012696+0.00012579i,0.00016016-0.00084624i,6.6061e-05-0.0010172i,0.00056557-0.00024316i,0.000779+0.00021392i
0.00066437-0.0041962i,-0.0012604-0.0039175i,-0.0022727-0.004429i,-0.0034984-0.0034777i,-0.0041945-0.00167i,-0.0019684-0.00068899i,-0.00062934-0.00066921i,-0.0015311-0.0009295i,-0.0020699+0.0001904i,-0.0011833+0.0013435i,-0.00033324+0.00053582i,-0.00042046-0.00089558i,-0.00052692-0.001189i,-0.00049216-0.000633i,-0.00017265-0.00088727i,-0.00056095-0.0012334i,-0.00074016-0.00061172i,-0.00037812-0.0006996i,0.00019363-0.00013691i,0.00043478+0.00025962i,0.00068798-0.00066914i,0.00014701-0.00099731i,-0.00098005-0.00081481i
-0.0012106-0.0025068i,0.00078634-0.0012771i,-0.00046613-0.0017968i,-0.0025972-0.0012884i,-0.0031179-0.00097024i,-0.0029725-0.0012287i,-0.0021081-0.00070528i,-0.0012099+9.185e-05i,-0.00014619+0.00054877i,0.0010458+0.00030118i,0.0005506-0.0003356i,-0.00065017-9.5921e-05i,-0.0009296+0.00030506i,-0.00033892+0.00033487i,0.00027013+0.00011037i,0.00041359+0.00071122i,0.00041456+0.0012848i,0.00061021+0.00093346i,0.00021543+4.4665e-05i,0.00030796+3.919e-05i,0.00069014+0.00033379i,0.0011906+2.9743e-05i,0.0011472+8.5371e-05i
-0.001304+0.0025356i,-0.00084041+0.00090105i,-0.0011813+0.00082451i,-0.00042126+0.00095309i,0.00054748+0.0016703i,-0.00039901+0.0015635i,-0.0006339+0.00067154i,0.00025124-0.00011976i,0.00044027-0.00060292i,0.00066851-0.00059714i,0.00038956-0.00016326i,-0.00044758+0.00057476i,-6.8468e-05+0.00064755i,0.00051785-0.00045779i,0.00035923-0.00090127i,0.0003664-1.3393e-06i,0.00038405+0.00036648i,-0.00013025+0.00034611i,-0.00077866+0.00024658i,-0.00081594+0.00010572i,-0.00039393+1.7701e-05i,-0.00023899-0.00021415i,0.00016997-0.00012611i
0.0019267+0.0015533i,0.0011214-0.0020688i,0.00039273-0.003989i,0.00058703-0.0039618i,0.0010325-0.0025114i,0.0010273-0.0011412i,0.0010271-0.0010771i,0.0010875-0.0014701i,0.00038222-0.001284i,-0.0006365-0.00063128i,-8.2492e-05+0.00037689i,0.00083893+0.0010159i,0.00087124+0.00025288i,9.7417e-05-0.00018339i,-0.00031819-1.6088e-05i,-0.00039918-0.00018444i,-0.00023933-0.0010644i,-5.5564e-05-0.00054666i,-0.00044758-9.0749e-05i,1.2427e-05-0.00067706i,0.000616-0.00044929i,0.00088873+0.00026871i,0.00054383+0.00037674i
0.0016823-0.0039516i,-0.00051258-0.0033073i,-0.0010355-0.0040065i,-0.002251-0.0044843i,-0.0026531-0.0032551i,-0.0017148-0.0026503i,-0.00027115-0.0028814i,0.0004458-0.0021479i,0.00024373-0.0003024i,-0.00053602+0.00080295i,-0.00044124+0.00052738i,0.00046531+0.0002313i,0.00043163-0.00028183i,-0.00049937-0.00096149i,-0.00035185-0.00038577i,0.00042181-0.00031308i,0.00067481-0.0008613i,0.00025053+0.00014198i,-0.00039403+0.00050699i,0.00013215-0.00027806i,0.00032622-0.00063416i,-0.00033223-0.0002579i,0.0001575-0.00042405i
-0.0017769-0.0070662i,-0.0011435-0.0045216i,-0.0022387-0.0045069i,-0.0042722-0.0032405i,-0.0044404-0.00095867i,-0.00378-0.00010255i,-0.0026008-0.00016281i,-0.001774+7.744e-06i,-0.0011664+0.00063346i,-2.5986e-05+0.0012184i,0.00011226+0.00053439i,-0.00037843-0.00055408i,-0.0011977-0.0005051i,-0.0016677+7.789e-05i,-0.0012491-0.00016992i,-0.00066476-0.00094207i,-0.00031607-0.00028366i,-0.00041566+0.00031956i,-3.9427e-06-0.00019371i,0.00097586-0.0002153i,0.00091743-9.3968e-05i,0.00077016-0.00060821i,0.0008173-0.0012881i
-0.0040465+0.0026244i,-0.0011371+0.0025579i,-0.0014006+0.0020775i,-0.0019216+0.00085134i,-0.0012444+0.0011456i,-0.00079639+0.0014399i,0.00032023+0.0015477i,0.00047133+0.0013882i,8.3895e-05+0.00094515i,0.0013588+6.615e-06i,0.0019972+0.00032662i,-3.5441e-05+0.0009327i,-0.0014573+0.00049371i,-0.0010964+0.00014293i,-0.00073347+0.00017319i,0.00017877+9.2165e-05i,0.0010635+0.00015735i,0.00066797+0.00054502i,-8.6235e-05+0.00023574i,4.5259e-05+0.00016588i,0.00031614-0.00016991i,0.00047012-9.8047e-05i,0.00023985+0.00028091i
0.0032556+0.0049485i,0.0031566+0.00015076i,0.0024577-0.0020325i,0.0017374-0.0019112i,0.00085627-0.0012256i,6.2158e-05-0.00071802i,2.7344e-05+0.00038886i,0.0010951+0.00023518i,0.0020235-0.00094299i,0.0012583-0.001195i,0.00071753-0.00031994i,0.00098409+0.00090604i,0.00034109+0.00029253i,0.00018089-0.00092304i,0.00051278-0.00059209i,0.00027869-0.00048095i,-2.4781e-05-0.00063326i,0.00032528-0.00043206i,0.0010731-6.3788e-05i,0.0017803-0.0001956i,0.0017403+0.00043247i,0.00052556+0.00050261i,0.00039039-0.00047202i
0.0069779-0.00088206i,0.003792-0.0033304i,0.0026091-0.0047078i,0.0019034-0.0046826i,0.0010239-0.0031836i,0.00010577-0.0019069i,0.00072906-0.0014954i,0.0010601-0.0013714i,0.00052298-0.0012896i,9.8315e-06-0.00078888i,0.00016701+0.00011714i,-0.00016289-0.00061951i,-0.00093995-0.0014518i,-0.0010245-0.00033934i,-0.00096117+0.00057438i,-0.00025684+0.00026084i,-0.00020695-0.00031742i,0.00027111-5.7841e-05i,0.0006018-0.00042805i,-0.00011804+3.0079e-06i,-0.00026309+0.00019876i,-0.00033872-0.00047407i,-1.6403e-05-9.5184e-05i
0.0032224-0.0052615i,0.00038852-0.0047077i,-0.00065321-0.0052378i,-0.0013078-0.0060816i,-0.0023343-0.0062382i,-0.0028241-0.0039814i,-0.0016882-0.0014394i,-0.0005391-0.00023109i,-0.00057774-8.6905e-05i,-0.00049202+3.4382e-06i,-0.00029529+4.026e-05i,-0.00068562-5.5321e-05i,-0.000648+0.00036175i,-0.0005534+0.00051355i,-0.0008016-0.00031905i,-0.0012896-0.0006409i,-0.0011756-0.00058927i,-0.00021143-0.00088973i,0.00078737-3.2555e-05i,0.00058153+0.00010898i,0.0007521-0.00037602i,0.0010707-0.00028643i,5.7248e-05-0.00074596i
-0.0057346-0.0010461i,-0.0019098+0.00029418i,-0.0012346-0.00014852i,-0.0023314-0.00062747i,-0.0025663+3.9431e-05i,-0.0015964+0.00075424i,-0.0005296+0.00041139i,3.9222e-05+0.00085772i,0.00043521+0.0011428i,0.00075852+0.00080608i,0.00067858+0.00024823i,-0.00021476+2.9913e-05i,-0.0011138+0.00072636i,-0.00072312+0.00098428i,-0.00040658+0.00049873i,-0.00017803+4.1272e-05i,0.0002054+0.00023791i,0.00011865+0.00097632i,0.00057574+0.00082305i,0.0007245+0.0011108i,0.00031727+0.00080043i,0.00041264-0.00046599i,0.00016406-0.00060363i
-0.0031706+0.0040142i,-0.0011004+0.00078589i,-0.00086547-0.00052988i,-0.0017498-0.00025884i,-0.0015379+0.00088863i,-0.00099003+0.0015876i,2.37e-05+0.0013572i,0.0011385+0.00079443i,0.001309+8.5308e-05i,0.00098523-0.00018309i,0.0010107+5.3734e-05i,0.00089915+0.00088044i,0.00075592+0.00067951i,0.00020801+5.3934e-05i,-0.00016057-0.0003304i,0.00010822-0.00051254i,-0.00010427-0.00061479i,-0.00022256-0.00087839i,-0.00012057-0.00030063i,-0.00026236+0.0008115i,-0.00026415+0.00091308i,-0.00029283+0.00052958i,-0.00057766+0.00085821i
0.0059996+0.0036698i,0.0024562+3.7986e-05i,0.00093323-0.001497i,0.0005056-0.0013646i,0.00011113-4.7982e-05i,0.00044743+0.00079423i,0.00082712-0.00035306i,0.00089173-0.0013527i,0.00092199-0.00090877i,0.00091364-0.00058564i,0.00091267+0.00017074i,0.00076812+0.00078637i,0.00038076-0.00091154i,-0.00017598-0.001553i,-0.00075362-0.00034883i,-0.00059144+0.00023575i,3.7503e-05+0.00028864i,0.00092504+0.00010909i,0.0014102+0.00013534i,0.0014091-0.00025609i,0.0017394-0.00027282i,0.00096897+0.0004545i,0.00028715+0.00048603i
0.0085554-0.0062175i,0.0037959-0.0053155i,0.0021303-0.0058422i,-0.00017094-0.0056133i,-0.0015639-0.0042067i,-0.001935-0.0022456i,-0.0007941-0.0010737i,1.5767e-05-0.0012043i,-0.001204-0.001615i,-0.0018745-0.0012818i,-0.0012978-0.00097303i,-0.0012639-0.00058516i,-0.0011241-0.00066015i,-0.00054232-0.00098215i,-0.00029626-0.0013344i,-0.00059316-0.0015944i,-8.7306e-05-0.0013252i,8.035e-05-0.00063388i,0.00023549-0.00025661i,0.00088079+2.2604e-05i,0.00030478+0.00039468i,-0.00016376-0.00013101i,0.00030939-4.9869e-05i
-0.0061978-0.010579i,-0.0043585-0.0055211i,-0.0037684-0.0034275i,-0.0041807-0.0025947i,-0.0042275-0.001614i,-0.0024495-0.00036105i,-0.0012441+0.00024752i,-0.0015988+0.00014815i,-0.0021161+0.00055231i,-0.0017871+0.001361i,-0.00055814+0.0013446i,0.00023591+0.00088516i,0.00074625+0.00066345i,0.00088843+0.00026799i,0.00036687-0.00031535i,0.00053478-0.00037544i,0.0003631-0.00049133i,-0.00041473-0.00024251i,0.00010752+7.991e-05i,0.00050877-0.00018245i,-0.00023022-0.00059234i,-0.00084364-0.00059435i,-0.00098862+0.0001347i
-0.0053484+0.0029961i,-0.00096119+0.001946i,-0.00075105+0.00054562i,-0.0013186-0.00042005i,-0.0017997-0.00057949i,-0.001656+0.00039285i,-0.00087271+0.0015609i,-0.0003651+0.0015377i,0.00019712+0.0010895i,0.00084651+0.00072457i,0.0012071+0.00059163i,0.00034908+0.00066031i,-0.00044458-7.4173e-05i,-0.00019142-0.0009424i,0.00030291-0.00087199i,-0.0003909-0.00021062i,-0.0013801-4.6897e-05i,-0.0012071-4.6787e-05i,-0.0008385+0.0010369i,-0.00027973+0.0015287i,0.00051765+0.001077i,0.00073525+0.00041084i,0.00016131+0.00030055i
0.00087166+0.0094407i,0.0015985+0.0037814i,0.001758+0.0016135i,0.0015304+0.0003849i,0.0010386+0.00025022i,0.0011413+0.00039161i,0.00042673-0.00042231i,0.00011449-0.00046356i,0.00062498+0.00016758i,0.00069604+6.5062e-05i,0.00035437-0.00051673i,0.00059355-0.0009874i,0.00071599-0.0011169i,-5.8753e-05-0.0012715i,-0.0004149-0.00144i,-0.0006116-0.0014855i,-0.00031089-0.0013355i,9.0414e-05-0.00065556i,-2.5768e-06+3.3346e-05i,-0.00018447+0.00022474i,4.6873e-05-0.00018528i,0.00032107-0.00076236i,-0.00022831-0.00011878i
0.0087933+0.0010263i,0.0043511-0.000222i,0.0024382-0.0009726i,0.0013252-0.001801i,0.0010797-0.001449i,0.00091353-0.00068904i,0.00062088-0.00098213i,0.0011128-0.0013706i,0.00076524-0.0014836i,3.9751e-05-0.0014904i,-0.00070941-0.0013487i,-0.0013809-0.0016643i,-0.0015463-0.0011917i,-0.0014514-0.00035385i,8.3205e-05-0.0003423i,0.00087888-0.00020332i,0.00041711-0.00011127i,4.8806e-05-0.00058031i,0.00077703-0.00039063i,0.00083342-0.00045343i,0.00039061-0.00072224i,3.9761e-05-0.0005305i,-2.2312e-05-0.0001989i
