-0.0023213-0.0001816i,-0.0019121-0.0023235i,-0.0012736-0.001195i,-0.00031484+0.00087287i,-0.00012766+0.0019605i,0.00046586+0.0012471i,0.00069286+0.00046808i,0.0013146+0.0014126i,0.0021022+0.0021529i,0.0015076+0.0015165i,0.00092436-2.3536e-05i,0.00069527-0.0006827i,-0.00066595-0.00084919i,-0.00077795-0.0011913i,-0.00047336-0.0011256i,-0.00029058-0.00017289i,-2.6062e-06+0.00043621i,-7.5663e-05-0.00019285i,0.00020357-0.0008652i,0.00017127-0.00079029i,0.00018289-0.00030165i,0.00097821-0.00027051i,0.00047933-7.4386e-05i
-9.8225e-06-0.0021919i,0.00083248-0.0010153i,0.00050774+0.00037065i,-0.00016224+0.0016062i,0.00028334+0.0020392i,0.0012367+0.00067056i,0.00044262+0.00025909i,-0.00092101+0.0020533i,0.000485+0.0027432i,0.0014112+0.0021756i,0.00028092+0.0014218i,-0.00027727-5.5995e-05i,0.00025703-0.0012071i,0.00025068-0.00072223i,0.0006371-0.00067801i,0.0013894-0.001029i,0.0011044-0.00057338i,0.00051371+0.00011227i,0.00012052+0.00080629i,0.00034767+0.0010078i,0.00048712+0.0003106i,5.4759e-05+7.8459e-05i,-0.00031398-0.00038528i
-0.00079959+0.00039721i,-0.0022899+0.00068046i,-0.0025546+0.0011095i,-0.00045773+0.0021948i,0.001234+0.0024507i,0.00075012+0.0003869i,-0.0010372-0.00091895i,-0.0022671+0.00052887i,-0.0012186+0.0022286i,0.0010276+0.0022422i,0.0018984+0.0007305i,0.0010112-0.00011514i,0.00070349+0.00024409i,0.00094436+0.00052125i,0.00081644+6.1395e-05i,0.00030786-0.0011037i,0.00031447-0.0017124i,0.00037224-0.0010238i,0.0002791-0.0007013i,0.0004527-0.00080425i,0.00033457-0.00050311i,8.0409e-05-0.0006767i,-0.00022447-0.00057746i
0.00065891+0.00048939i,-2.9047e-06-0.00045348i,0.00039966-0.0003838i,0.00097246+0.00038808i,0.002733+6.0739e-05i,0.0022143+1.7328e-05i,-0.00043858+0.0015918i,-0.0010768+0.0036795i,0.00044609+0.0042099i,0.0018159+0.0032826i,0.0018666+0.0014786i,0.0013105+0.0010994i,0.00056992+0.0013691i,0.00027224+0.00030056i,0.00044234-0.00064875i,0.00031847-0.00013401i,-0.00020085+0.0008131i,-0.00040288+0.00092285i,0.00029414+0.00058311i,0.0012876+0.0003952i,0.0011662-3.0039e-05i,8.8646e-05-0.00063817i,-0.00040883-0.0013997i
7.3239e-06+0.0009703i,0.0010539+0.00067659i,0.0025577+0.0004926i,0.0028066+0.00022184i,0.0014181-0.00094713i,-0.00054632-0.0010289i,-0.0020347+0.0011292i,-0.0020593+0.0029355i,-0.00040239+0.0027278i,0.00091054+0.0018433i,0.00099017+0.00086902i,0.00050872+0.00057445i,7.444e-05+0.00056017i,-1.0971e-06+0.00073161i,-9.9143e-05+0.00026343i,1.4963e-05-0.00099553i,0.00091231-0.00076836i,0.0010563+0.000219i,0.00058733+0.00075445i,0.00040958-2.2866e-05i,0.00032972-0.00086991i,0.00019807-0.00071578i,-1.8248e-05-0.00076216i
-0.0013577-0.0019132i,-0.00054848-0.00032002i,-0.00052419+0.00077083i,0.00067757+0.0018486i,0.0013943+0.001906i,0.00089208+0.0013708i,-3.7372e-05+0.0014711i,-0.00073846+0.0015948i,-0.00057825+0.0015461i,-0.0010035+0.0012553i,-0.00061999+0.0007426i,0.00044083+0.00040449i,0.00091543-0.00026246i,0.0014764-0.0015337i,0.0017096-0.0021107i,0.0012969-0.0021633i,0.0011462-0.0013192i,0.00054404-0.00090249i,-0.00018486-0.00088091i,7.5722e-05+6.3598e-06i,0.00052099+0.00079425i,0.00028984+0.00022405i,0.00029203-0.00070152i
-0.00075784-0.0016465i,-0.0012475-0.00076766i,-0.001157+0.00014802i,0.00083398+0.00061146i,0.0020316+0.00058463i,0.0016506+0.00014505i,0.0003825+0.00037244i,-0.00030615+0.0016944i,0.0005141+0.0027314i,0.0012693+0.0021934i,0.0013313+0.0011606i,0.0003922+0.00042248i,-0.00015376+0.00017671i,-7.5644e-05-0.00067921i,0.00055158-0.0017057i,0.0004417-0.0019521i,-0.00012707-0.0012619i,0.00019581-0.00031514i,0.00026069-0.00047854i,-0.0001385-0.00027724i,-4.9882e-05+0.00061855i,0.00089962+0.0010138i,0.0010044+0.0010464i
-0.0010489-0.0015001i,-0.001414-0.0010676i,-0.0016429+0.00098506i,-5.2751e-05+0.0022767i,0.001761+0.0012407i,0.001917-0.00094942i,-5.2721e-05-0.00039309i,-0.0013534+0.0019156i,-0.00022026+0.0024501i,0.0011429+0.0021343i,0.0015074+0.0017363i,0.00065419+0.0012098i,0.00029315+0.00069354i,0.00048181-9.5904e-05i,5.4144e-05-0.00025752i,-0.00072189-0.00059374i,-0.00064502-0.0007735i,0.00027699+0.00026013i,9.6091e-05+0.00074933i,5.0188e-05-1.5938e-05i,0.0012994-0.00021533i,0.0015008-0.00022351i,0.00053412-0.00070862i
-0.00035658+0.00095537i,0.0014124+0.00076292i,0.003228+0.0017139i,0.0041956+0.0018522i,0.0037211+0.00012528i,0.0020731-0.00066198i,-0.00054283+0.0002174i,-0.0013905+0.0017007i,8.7575e-05+0.0024672i,0.0022279+0.0022223i,0.0026627+0.0011116i,0.0019167+0.00037047i,0.000975+0.0002304i,0.00041524-0.00025972i,-8.1392e-06+0.00024121i,-0.00087367+0.00069522i,-0.00089523+0.00034038i,-0.00010843-0.00027036i,0.00073924+0.00012886i,0.00056515+3.8979e-05i,0.00019422-9.3451e-05i,-0.00049514+0.00033424i,-0.00073841+5.9945e-06i
-0.0016422-0.0012705i,-0.0015036-0.00045986i,-0.0025156+0.0013888i,-0.0019877+0.0017954i,-0.00054066-1.7673e-05i,1.8121e-05-0.0014528i,-0.0013109-0.00047983i,-0.0020361+0.0015275i,-0.00060723+0.0025031i,0.00079584+0.0017207i,0.0011379+0.00081469i,0.00049902+0.0011208i,-0.00028699+0.0010572i,-0.00077256+0.00036885i,-7.0212e-05+0.00014323i,0.0010168-0.00020366i,0.0012097-0.00063492i,0.00096-0.00056468i,0.0011336+5.7531e-05i,0.0011112+0.00017833i,0.0004818-0.00067196i,-0.00024349-0.0010821i,-0.00024064-0.0013347i
-0.00042412+0.001125i,-0.00010175+0.0012265i,0.0008531+0.0027376i,0.0022779+0.0037612i,0.0035387+0.0028003i,0.0030656+0.00077907i,0.00051646-0.00017189i,-0.00079554+0.0016976i,-9.834e-05+0.0037614i,0.00090479+0.0033341i,0.00075094+0.0011193i,3.6451e-05-0.0003524i,-0.00033756-0.00046603i,-6.9144e-05-0.00047123i,0.00054506-0.00090302i,0.0012112-0.0015035i,0.0010304-0.0018451i,0.0006555-0.0017378i,0.0003626-0.001388i,-0.00041017-0.00072995i,-0.00024293+5.1377e-05i,0.00047228-5.5482e-05i,0.00024064-0.0007489i
-0.00038832-0.00037866i,-0.00077442+0.00016378i,-0.0015636+0.00092076i,-0.00066264+0.0010606i,0.0011662+0.00014782i,0.00094727-5.0562e-05i,-0.00062544+0.00099832i,-0.00099049+0.002866i,-0.00018262+0.0036274i,-1.1597e-05+0.0023634i,-0.00020298+0.0012918i,2.9951e-05+0.00068687i,0.00030359+0.00017699i,0.0006248-0.00070244i,0.00029278-0.0018175i,-0.00021685-0.0023819i,-0.000194-0.0019958i,-0.00089813-0.0011824i,-0.00048354-0.00026421i,-1.4899e-05+8.8459e-05i,-0.00038234+0.00013951i,-4.6008e-05+0.00083501i,0.00016001+0.00038059i
-0.00073934-0.00056526i,-0.00051916-0.0012463i,0.00022572-0.00077822i,0.0012916+0.0012697i,0.0028815+0.00083286i,0.0028684-0.0015432i,-0.00015665-0.00068303i,-0.0017747+0.0018134i,-0.00094018+0.0029243i,0.00099494+0.002691i,0.0015886+0.001439i,0.0010055+0.0002612i,0.0010896-0.00020394i,0.0011077-0.000876i,0.00058397-0.0014074i,-0.00068141-0.0013722i,-0.0011562-0.0010425i,-0.00015655-0.00033465i,0.0011101+0.0002034i,0.0016959+0.00050049i,0.0012485+7.5887e-05i,0.00091687-0.00014685i,0.00072885-0.00022169i
0.0022687+0.00079171i,0.0019812+0.0014273i,0.0019786+0.001122i,0.0018648+0.00032769i,0.0012126-0.00058976i,0.00028073-0.0006087i,-0.00050038+0.00070998i,-0.00064708+0.002521i,0.00019343+0.0029892i,0.0015298+0.0023848i,0.0015558+0.0014261i,0.00086019+0.00058479i,0.001244-2.3844e-05i,0.0011332-0.00057379i,0.00046093-0.00057737i,0.00067459-0.00023496i,0.0015563+3.3798e-05i,0.0015965+0.00034417i,0.0013476+0.00013892i,0.0012504-0.00094046i,0.0009367-0.001132i,0.00057555-0.00058311i,-7.5682e-05-0.00053863i
0.00087784+0.00055637i,0.00038494+0.001201i,0.00074015+0.0019038i,0.001418+0.0020778i,0.0015555+0.00025259i,0.00026255-0.00077696i,-0.0012498+0.00074069i,-0.0014254+0.0029148i,-0.00058569+0.0034392i,0.00022385+0.002369i,-0.0003564+0.000929i,-0.00083131-0.00017725i,-0.00062333-0.00040686i,-0.00030125-0.00044499i,0.00058066+2.9123e-05i,0.00080567+0.00043572i,0.00051978+0.00038937i,0.00021046+8.8897e-05i,-0.00030968-0.00029659i,-0.00031469-0.00017165i,-0.00044849-9.4148e-05i,6.6997e-05-0.00010041i,4.9436e-05+0.00010496i
0.0010959-0.00077467i,0.00064253-0.00011912i,-0.00029446-0.0003048i,0.00053532-0.00045149i,0.0016197-0.0004748i,0.00061582-0.00027062i,-0.0008804+0.00068475i,-0.00097322+0.00255i,-6.8628e-05+0.0031982i,0.00032487+0.002676i,0.00028365+0.0016705i,0.00010076+0.00095266i,-0.00021807+0.00097818i,-5.369e-05+0.00077195i,0.00043725-0.00018615i,0.00055799-0.0011395i,0.00037424-0.0014291i,0.00017229-0.0014237i,-3.978e-05-0.001377i,-0.00023639-0.00025012i,0.00025636+0.00089799i,0.00047595+0.00070874i,1.4171e-05+1.4411e-07i
0.0010097+0.0013936i,0.00022479+0.00073104i,0.001407+0.00042556i,0.00095031+0.0009819i,0.0007263+0.00067062i,0.001372-0.00032625i,-0.00039703-0.00044375i,-0.0017927+0.00049867i,-0.00083624+0.0018183i,0.001146+0.0018371i,0.0017818+0.0012761i,0.0012269+0.0013687i,0.00099056+0.001369i,0.00097363+0.00013122i,0.00054614-0.00084581i,0.00016237-0.00063676i,-0.00023774-0.00066251i,-0.00067839-0.0004107i,-0.00075261+0.00041912i,-0.00054953+0.00074658i,-0.00040891+5.3145e-07i,4.2923e-05-0.0009446i,0.00089875-0.0011269i
-0.0011973-1.5072e-05i,-0.0013806-0.00052365i,-0.0019463+0.00089226i,-0.00065587+0.0027075i,0.0016264+0.0032448i,0.0014255+0.0019141i,-0.00064244+0.00039876i,-0.0011967+0.0018019i,-0.00046791+0.0030148i,0.0010825+0.0024814i,0.0016047+0.0018901i,0.0016458+0.00065057i,0.002143-0.00051623i,0.0014576-0.00065726i,0.00014977-0.00089446i,-0.00028475-0.00098786i,-0.00067886-0.00024752i,-0.0010421+0.00022004i,-0.00022559+0.00043751i,0.00013685+0.0001885i,-0.00018433-0.00012187i,-4.8838e-05-0.00015249i,-0.00039165+0.00018207i
-0.0011391+0.00097337i,-0.00095147+0.0019124i,1.2434e-05+0.0017151i,0.0013873+0.0012371i,0.0028782+0.0006774i,0.0027916-0.001048i,0.00054157-0.00061739i,-0.00065315+0.0019427i,-0.00028425+0.0028357i,0.00025152+0.0014529i,0.00074885+0.00019174i,0.00087779-0.00038123i,0.00074364-0.0011162i,0.00036596-0.00095655i,0.00029884-0.00063756i,0.00023576-1.0379e-05i,0.0008253+0.00077038i,0.0012114+0.00025168i,0.00085556-0.00031246i,0.0010933+8.8711e-05i,0.00084223+0.00026274i,0.00034124+0.0003299i,0.00020114+0.00020981i
0.00070321-0.00057554i,0.00030487-0.00025516i,0.00055126-0.00084601i,0.0012258-0.0023529i,0.00046981-0.0029799i,-0.00024187-0.0021374i,-0.00046419-0.00052428i,-0.0010156+0.0027192i,-0.0010697+0.0042892i,-0.000747+0.002784i,-0.00045014+0.0011322i,-0.00021601-4.8505e-05i,-0.00086238+9.1504e-05i,-0.00074013+0.00051351i,5.8003e-05-6.6388e-06i,0.00012764-0.00078272i,-0.00030872-0.00089265i,-0.00045834+0.00019803i,0.00012605+0.00038705i,0.0010737+0.00011451i,0.00097129+6.2097e-05i,7.275e-05-0.00077125i,-0.0002934-0.00099425i
0.00051669+0.00074803i,0.00041627+0.0014591i,0.00045183+0.0022725i,0.00079345+0.0027944i,0.001565+0.0014352i,0.00078919+0.00033797i,-0.0014043+0.00048529i,-0.0016072+0.0020954i,-0.00019862+0.0042109i,2.1118e-05+0.0041659i,0.00030155+0.0023066i,0.0011559+0.0012308i,0.0010936+0.001638i,0.00021978+0.0015103i,-3.7346e-06+1.4412e-05i,0.00088275-0.00072913i,0.0011421-0.00039878i,0.00051695-0.00081054i,3.9687e-05-0.00087084i,0.00037643-0.00026276i,0.00060952-6.3412e-05i,0.00015837-0.0003208i,0.00064252-0.00054299i
0.00081001+0.00060399i,0.00068362+0.00093977i,0.0013699+0.0017708i,0.0026518+0.0026627i,0.0034429+0.0018173i,0.00081459-0.00022281i,-0.0023224-0.00013422i,-0.0016281+0.0013478i,0.0010803+0.0015946i,0.0019933+0.00019552i,0.0015675-0.00041491i,0.0015252-0.00051873i,0.0015873-0.00054378i,0.0010911-0.00028768i,0.00059593-6.3663e-05i,0.00032359-7.931e-05i,-0.00020727-0.0001048i,-0.00028761+0.00036316i,2.7764e-06+0.0006839i,-0.00022565+0.00049128i,-0.00029643+7.0592e-06i,0.00015473+0.00018992i,-0.00033418+0.00070124i
-0.00025139-0.0006121i,-0.00041334+0.00010566i,-0.00045943+0.00065321i,0.00061605+0.0014925i,0.0012542+0.0016089i,0.00061342+0.00090598i,-0.00077913+0.00073704i,-0.0020844+0.0022022i,-0.00096768+0.0025407i,0.0010668+0.00093307i,0.0022215+0.00016587i,0.0029816+0.00066481i,0.002208+6.2448e-05i,0.0016715-0.0011507i,0.0011783-0.0010759i,0.00038914-0.00044749i,0.00019678-0.00044732i,0.00030672-0.00091155i,0.0012336-0.00090611i,0.0014387-0.00083803i,0.00062356-0.00089102i,0.00011457-0.00083512i,-0.00047065-0.00099176i
0.00052149-0.0017645i,0.00024387-0.0016731i,0.00067045-0.0023156i,0.0019234-0.0010855i,0.002206-0.0002708i,0.0013077-0.00026246i,-0.00077248+0.00095932i,-0.0024397+0.0033375i,-0.0023655+0.0035627i,-0.0010523+0.0019024i,-8.8863e-05+0.00086796i,-4.2665e-05+0.00030941i,0.00022958-0.00090269i,0.0010833-0.001395i,0.00095549-0.0011637i,0.00051571-0.0010073i,0.00032653-0.001362i,0.00022093-0.0010881i,0.00016822-0.00087649i,0.00039463-0.00084109i,0.00083768-0.00071955i,0.00027415-0.00085157i,-5.8852e-05-0.00071381i
0.00056058-0.00084135i,0.0011862+0.00080797i,0.0014553+0.0021547i,0.00077563+0.0021813i,0.001163-7.3761e-06i,0.0019827-0.00087856i,0.0010124+6.1699e-05i,0.00051142+0.0028179i,-2.3334e-05+0.0048648i,-0.00043771+0.0038658i,-0.00065673+0.0023392i,-0.0011675+0.00076388i,-0.00071864-0.00020001i,4.7843e-05+0.00014278i,0.00027491-0.00058415i,-8.4796e-05-0.0014602i,-0.00039238-0.00062533i,-0.00068424+6.753e-05i,-0.00025235-0.00016577i,-5.8247e-05-0.00011628i,-0.00023333-6.0396e-05i,7.2138e-05-0.00014171i,0.00026814+0.00010131i
-0.00061104-0.00051705i,-0.00037115+0.0005643i,-0.00018458+0.0018112i,0.001367+0.0033595i,0.0022165+0.0024049i,0.0020945-3.3588e-05i,0.0014838-0.0001089i,0.0007482+0.0014402i,0.00076847+0.0030094i,0.0004731+0.0032657i,-0.0003592+0.0020374i,-0.00071498+0.0013976i,0.00024951+0.0016549i,0.0012089+0.00088219i,0.0014526-0.0001376i,7.6123e-05-0.00034788i,-0.0017039-0.00053483i,-0.0019072-7.0835e-05i,-0.0010292+0.00080893i,-0.0005067+0.00103i,-0.00020185+0.00064556i,-6.0461e-05-0.00059547i,0.00032393-0.0011307i
0.00013573+0.00039304i,0.00012141+0.0009808i,-0.001348+0.00082016i,7.7973e-06+0.0014107i,0.0021911+0.0018168i,0.0013064+0.00056227i,-0.00075968-3.2774e-05i,-0.0016552+0.00056248i,0.00027552+0.00082613i,0.0018887+0.00099158i,0.0018185+0.0017138i,0.0022357+0.0017666i,0.0019217+0.00095504i,0.0011141+0.00031176i,9.4575e-05-0.00024893i,-0.0004372-0.00072916i,-0.0001504-0.00064243i,0.00042282+0.0004378i,2.7423e-05+0.00082152i,-0.00055148+0.00059927i,-0.00016182+0.00062332i,0.00019749+0.00095028i,0.00052471+0.0009896i
-0.00064682-0.00016753i,-0.0011417-0.0012994i,-0.00014484-0.00088686i,0.00088674-0.0004982i,0.00065539-0.00065316i,-0.00032082-0.0018214i,-0.0016775-0.0015412i,-0.0023252+0.0007129i,-0.00080268+0.0014941i,0.0017532+0.00042379i,0.0024968-0.00019905i,0.0021463-0.00027163i,0.0018357-0.0013436i,0.0016835-0.0022623i,0.0016888-0.0014482i,0.0019651-0.00079868i,0.0025378-0.00065522i,0.0022921+0.00017106i,0.0018407+0.00011282i,0.00060457-8.1589e-05i,-0.00023317+2.4653e-05i,0.00015872-0.00036055i,0.00038856-0.00045741i
6.0359e-05-0.0022643i,0.001212-0.0015065i,0.0012763-0.0011533i,0.00063263+0.00039249i,0.00053345+0.0019533i,0.0010346+0.0019864i,0.00080838+0.0021582i,-0.00076241+0.0026774i,-0.0018993+0.0024343i,-0.0012255+0.0013752i,0.00051093-8.0492e-05i,0.00078296-0.0010543i,-0.0002777-0.00080299i,-0.0011253-0.0007208i,-0.00077014-0.0009242i,2.4148e-05-0.0011002i,0.00033584-0.0016489i,0.00074974-0.0019829i,0.00078351-0.0016714i,0.00092289-0.00062468i,0.00058688+7.5622e-05i,-0.00070091+0.00014337i,-0.0007254+0.00064013i
0.00089357-0.00053925i,0.00034842+0.0019024i,-6.3652e-05+0.0036588i,0.0010179+0.0035785i,0.001954+0.0026623i,0.0017672+0.0016023i,0.00059465+0.0013929i,0.0001069+0.0030076i,0.00056166+0.0048416i,0.00021401+0.0045957i,-0.00022627+0.0029249i,-0.00045877+0.001914i,0.00016201+0.001325i,0.00051895+0.0011756i,2.0771e-05+0.00041471i,-0.00016672-0.00058083i,-0.00055895-0.00099091i,-0.00057884-0.0006341i,0.00033527-0.00012515i,0.00095632+0.00016162i,0.00011455+0.00065915i,-0.00061877+0.00058188i,-0.00071837+5.9699e-05i
-0.0010878+0.00039039i,-0.0024141+0.00079677i,-0.0032843+0.0018939i,-0.0019904+0.0028008i,0.00057455+0.002139i,0.00097559+0.00084792i,-0.00028553+0.0016163i,-0.0005544+0.0032346i,0.0002202+0.0043625i,0.00016633+0.0047197i,0.00056081+0.0030751i,0.00092483+0.0013589i,0.00082582+0.00041463i,0.00086312+0.00014132i,0.00077844-0.00021618i,0.00025066-0.00056353i,-0.00072465+2.5451e-05i,-0.00096587+0.00011255i,-0.00072434-6.9451e-05i,-0.00044559+0.00020978i,0.00017978+0.00010039i,0.00059013-0.00012042i,0.00034606-0.001021i
-0.00016741-0.0017012i,0.00062311-0.0031539i,0.0011744-0.0040861i,0.002476-0.0022055i,0.0031991-0.00075948i,0.0024747-0.0011537i,-0.00014745-0.00072406i,-0.0014017+0.0019875i,0.00010879+0.003875i,0.0017064+0.0024715i,0.0024066+0.0010143i,0.0021334+0.00028184i,0.00183+0.00040141i,0.0014415+0.00026912i,0.00088855-0.0007878i,-7.344e-05-0.0011287i,-0.00048774-0.00038486i,-0.00042863+0.00035102i,-8.5764e-05+0.00052698i,0.00058102+0.00045305i,0.00059072+0.00025809i,0.00082507-0.00034786i,0.00067778-0.00076194i
0.0022762-0.0001051i,0.0036339+0.00062182i,0.0041738+0.00049673i,0.0038126+0.0013932i,0.003086+0.0017155i,0.0016279+0.0012278i,-0.00062073+0.0021417i,-0.0019517+0.0033704i,-0.00094727+0.0035275i,0.00088493+0.0018944i,0.0018415-0.00013629i,0.0014968-0.00057812i,0.0011477-0.00054526i,0.0013727-0.0012329i,0.0011613-0.0014606i,0.0014955-0.001642i,0.0021284-0.0011224i,0.0019263-0.00014722i,0.0016751+0.00025123i,0.0011915+0.00074012i,0.00025057+0.0010019i,6.7273e-05+0.00080085i,0.00042659+4.9992e-05i
-0.001369+0.0037914i,-0.0019368+0.0041689i,-0.00090949+0.0057412i,0.001208+0.0048137i,0.0032466+0.0006397i,0.002181-0.002595i,-0.00081613-0.0018191i,-0.0023389+0.0015987i,-0.0016307+0.0035855i,-0.00020538+0.0029979i,5.1666e-05+0.001627i,0.00014241-0.00014133i,-3.289e-05-0.0013267i,-0.00059756-0.0007531i,0.00021461-0.00026388i,0.001041-0.0010602i,0.0002413-0.0016183i,0.00017232-0.0009578i,0.00076989-0.00019726i,0.00077417+0.00059194i,0.00038269+0.00018111i,0.00011079+0.00020636i,0.00036095+0.00073465i
9.781e-06-0.00070085i,-0.0020831-0.00033597i,-0.0029043-0.00056696i,-0.0012433-0.0002798i,0.00076094-0.00033788i,0.00046131-0.0012687i,-0.0012574-0.00088309i,-0.0014058+0.0021244i,1.5913e-05+0.0036426i,0.0010286+0.002796i,0.00081516+0.0021631i,-0.00012135+0.0019986i,-0.00025345+0.0015467i,0.00078776+0.00058053i,0.001266+0.00010057i,0.00049314-0.0002626i,-0.00076716-0.00069586i,-0.0017108+1.6621e-05i,-0.0011255+0.0010234i,-0.00017381+0.0010367i,0.00064407+0.00046656i,0.00061463-0.00073963i,2.4149e-06-0.0004719i
0.0021325+0.00030505i,0.0019144-0.00035361i,0.0026181-0.0011125i,0.0030072+0.00045172i,0.0023613+0.0014206i,0.0011638+0.00024441i,-0.0012702+0.00083203i,-0.0023163+0.0027114i,-0.00060326+0.003964i,0.0010012+0.0037085i,0.001399+0.0019949i,0.0015899+0.0010045i,0.0015899+0.0013598i,0.0019479+0.00059307i,0.0018443-0.00046699i,0.00086216-0.00054704i,0.00030404-0.00045392i,-0.0004972+7.2415e-05i,-0.0003332+0.00031748i,0.00026761-0.00038199i,0.00050273-0.00025187i,0.00059376-0.00028886i,-6.7789e-05-0.00056389i
0.0012639+0.0024571i,0.0026957+0.0026684i,0.0043363+0.0032232i,0.0046526+0.0027758i,0.0039637+0.0019201i,0.0012302+0.001273i,-0.001563+0.0012994i,-0.0026081+0.0029774i,-0.001341+0.004205i,0.00038995+0.0029681i,0.00049051+0.0010889i,0.00023274+0.00053716i,0.0013899-0.00035273i,0.0023537-0.0010674i,0.0020493-0.00055529i,0.0012338-0.00049249i,0.0011345-0.00070672i,0.0011209-0.00048206i,0.001076-0.00018621i,0.00043949-0.00017812i,0.00012277+0.00010434i,0.00058699-3.0367e-05i,0.00043639+0.00034234i
-0.00061755+0.00082819i,-0.0024372+0.0014896i,-0.0026771+0.0017401i,9.0058e-05+7.6802e-05i,0.003177-0.0022244i,0.0030959-0.0029977i,0.00050318-0.00058936i,-0.00031584+0.0024482i,0.00083683+0.0029521i,0.00090652+0.0014753i,-0.00013774+0.00042069i,-0.00027165+4.9856e-05i,0.00060969-0.00030816i,0.0007532-0.0009669i,0.00031241-0.0019013i,0.00081338-0.0020653i,0.0011231-0.00062996i,0.0001888-0.00012078i,-0.00056639+2.6556e-05i,0.00050481+0.0004401i,0.0012519+0.00034313i,0.00097647+0.00047029i,0.00095343+0.0001818i
0.00057899-0.0023897i,0.0013438-0.0035821i,0.00083255-0.0031591i,8.5737e-06-0.0012245i,0.00011721-2.5332e-05i,0.00012792+0.00075307i,0.00020375+0.0012277i,0.00037528+0.0015371i,0.00073075+0.0019377i,0.00043055+0.0020121i,0.00040453+0.0020778i,0.00099976+0.001488i,0.00085259+0.00018053i,0.00098747-0.0007372i,0.00081548-0.0012526i,0.00059126-0.00091769i,-0.00034602+0.0001484i,-0.00083865+0.00022977i,0.00023186+1.7544e-05i,0.00080069+0.00012165i,0.0012646+1.3109e-05i,0.0010853+0.00041324i,0.0011451+0.00068872i
0.0011616+0.00054673i,0.0018501+0.0021005i,0.0021934+0.0030364i,0.00099737+0.0028655i,0.00025846+0.0013243i,-0.00042605-0.00061474i,-0.0013492-0.0010177i,-0.00092133+0.0004404i,0.00049505+0.001961i,0.0011319+0.002121i,0.0011814+0.0014905i,0.0015439+0.0009654i,0.0015657+0.00022668i,0.00081428-0.0004685i,0.00087093-0.00083059i,0.00050903-0.0010264i,-0.00061448-0.00082931i,-0.0010707-0.00095427i,-0.00054345-0.0007017i,0.00042637-0.00059674i,0.0007362-0.00013917i,9.578e-05+0.00054807i,-0.00017298-0.00046133i
-0.00087305-0.00068789i,-0.00081257-0.00069163i,-0.0017548+0.00050507i,-0.0015267+0.0026059i,0.00044704+0.0031478i,0.0010448+0.0018472i,-0.00066126+0.0011957i,-0.0016667+0.0033775i,-0.00079851+0.0045996i,0.00077404+0.0032522i,0.0017908+0.0014859i,0.0018233+0.00014451i,0.0014941-0.00069893i,0.00096413-0.0014484i,0.00086585-0.0013883i,0.00076406-0.0010557i,0.00058471-0.00082097i,0.00088022+6.0419e-05i,0.0009838+0.00055439i,0.00078543+0.00048836i,0.00067082+6.6718e-05i,0.00069611-0.00039479i,0.00014897-8.5991e-05i
-0.00017328-0.0019648i,-0.00018867-0.0022463i,0.00012488-0.0017122i,0.0017115-0.00066386i,0.0025106+0.00017026i,0.0016849+0.00048968i,-0.00082103+0.0014529i,-0.0019108+0.0036843i,-0.00021193+0.0056176i,0.00073915+0.004591i,0.00048996+0.0011953i,-7.5665e-05-0.0013622i,-0.00065524-0.001349i,-1.2632e-05-0.00099205i,0.0009611-0.0012623i,0.00075332-0.0016377i,0.00056638-0.00087729i,8.8083e-05+0.00021399i,-0.00022795+0.00040784i,0.0003826+0.00029233i,0.00055333-0.00032227i,-2.8615e-05-0.00052396i,-0.00042236-0.00031452i
2.3121e-05-0.0001864i,0.0020804+0.0019835i,0.0024695+0.0039666i,0.0017354+0.0047068i,0.0017898+0.0040389i,0.0022546+0.0032877i,0.00085908+0.0029006i,-0.00095629+0.0038363i,-0.0012432+0.0042222i,-0.00025831+0.0025617i,0.00021098+0.00097259i,-0.00064908+0.00079836i,-0.00079627+0.00019465i,-0.0002801-0.00065361i,0.00017213-0.0014893i,-1.9211e-05-0.0023024i,-0.00052273-0.0021657i,-0.00057629-0.0017737i,-0.00044113-0.0010889i,-0.00016169+0.00019881i,-3.2503e-05+0.00053189i,0.00027958+0.0005479i,0.0002154+0.00054591i
-0.00042467+0.0010688i,-0.0022337+0.0012353i,-0.0039205+0.0021684i,-0.0028326+0.0011942i,-0.0010811-0.001035i,-0.00028167-0.0021247i,-0.0014435-0.0020048i,-0.0030816+0.00064183i,-0.0028357+0.0029985i,-0.001226+0.0033282i,0.00027295+0.0033842i,0.001001+0.0023266i,0.0012176+0.0016395i,0.00071294+0.0012566i,-0.0006696+0.00066079i,-0.0011032-2.8262e-05i,-0.0013356-0.0003567i,-0.0012848-9.429e-06i,-0.00081103+0.00069999i,-0.0002655+0.00011544i,0.00069771-0.00037019i,0.0013637-0.00010192i,0.0012641-0.00026113i
