-0.00096847+0.00039198i,0.00042337-0.00062614i,0.00065498-4.9004e-05i,0.00050988+0.00077971i,0.00028425+0.00037719i,-0.00025528+0.00030054i,-0.0015187+0.00083606i,-0.0010566+0.0014909i,0.00010775+0.0011982i,0.00012121+0.00035032i,0.00075476-0.00012591i,0.00051486+0.00035359i,-0.00035009+0.00081751i,-0.00013246+0.00013997i,0.00032623-0.00089891i,0.00037073-0.00055638i,0.0003017+0.00074051i,0.00031672+0.00068486i,0.00041351+0.00027616i,0.00047521+0.0004286i,-6.1926e-05+0.00084964i,-0.0010029+0.00069923i,-0.001126-0.00062765i
-0.00065475-0.00043416i,-0.00094666-0.00024226i,-0.00049363+0.00077291i,-0.00034254+0.0019754i,-0.00030442+0.0020298i,-4.8158e-06+0.00049285i,-0.00050217-0.0011151i,-0.0012761-0.00080634i,-0.00041034+0.00027084i,0.00017581+0.00018415i,-7.8136e-05+3.6602e-05i,-0.00019133+0.00012799i,-0.00016674+0.00031233i,0.00070487+0.00056242i,0.00098386+0.00031051i,0.00066604+0.00049453i,0.0012078+0.00052661i,0.00092729+0.00064037i,-0.00043563+0.0004985i,-0.0010289+0.00020227i,-0.00069565+0.0002043i,-0.00037531-0.00018934i,-9.1571e-05-0.00025931i
-0.0013957-0.002266i,-0.00064196-0.0017795i,-0.00083951-0.00025153i,2.7766e-05+0.0014077i,0.00049974+0.0021997i,0.00063837+0.0010171i,0.00021791-0.001238i,-0.00081949-0.0019203i,-0.0014317-0.0005064i,-0.0014258+0.00083062i,-0.0011177+0.00064222i,-0.00024839+0.00058459i,0.00020128+0.0012277i,-0.00040244+0.0012882i,-0.00031918+0.00053703i,0.00031725-0.00031229i,0.00036775-0.00067927i,-9.409e-05-0.00049803i,-0.00072025+1.4068e-05i,-0.0010342+0.00015081i,-0.00043026+0.00040684i,0.00015755+0.00032572i,0.00046767-7.5405e-06i
0.0011614-0.00028875i,0.0017785+0.00051157i,0.00094469+0.0017947i,0.00049576+0.0022627i,0.0012999+0.0020894i,0.0015645+0.0013114i,0.00050514+0.00036919i,-0.0010652+0.00017588i,-0.0015826+0.0004701i,-0.00068678+0.001094i,0.0003385+0.0014312i,-3.1264e-05+0.0020512i,-0.00099443+0.001622i,-0.00091553+0.00058925i,-0.00065799+0.00016287i,-0.00054423-2.237e-05i,0.00042812+0.0001793i,0.0011053+0.00032444i,0.001072-0.00012185i,0.00051176-0.00080591i,-0.00018299-0.00074107i,-0.0003484-0.00061008i,0.00017345-0.00058282i
-0.0012452+0.0012681i,-0.0023134+0.0022677i,-0.0018827+0.0023034i,-0.0013466+0.0025881i,-0.00087459+0.0020336i,0.00027848+0.00045035i,0.0001228-6.5561e-05i,-0.00057099+0.00012044i,-0.000389+0.00012699i,-9.5237e-05+0.00053542i,0.00035725+0.00054229i,-0.00024527+0.00051607i,-0.0010147+0.00096429i,-0.00043172+0.00047909i,0.00016819-0.00013682i,-0.00032173-0.00035596i,-0.00055061-0.00029i,-0.00033179+0.00022275i,-0.00036+0.00039212i,-0.00027946+0.00010863i,-9.8194e-05-0.00032383i,0.00042006+0.00015917i,0.0008201+0.00064926i
0.00072364-7.7877e-05i,0.00023232-0.00048913i,-0.00039395-0.00027047i,0.00052453+0.00058367i,0.00075324+0.0013289i,-0.00038887+0.00045009i,-0.0013332-0.00057884i,-0.0014949-0.00034518i,-0.0016112+0.00037389i,-0.00064633+0.00018119i,0.00018323-0.00031081i,-0.00020577-0.00048342i,-8.0731e-05-3.4875e-05i,0.00029546-4.0792e-06i,0.00013693+4.0256e-05i,0.00014271+0.00069489i,0.0001932+0.00093964i,-0.0001154+5.8928e-05i,-0.00093462-0.00082966i,-0.00034435-0.0014247i,-2.7201e-05-0.00087892i,-4.7499e-06-0.0002148i,0.00088618-0.00012114i
0.0023613-0.0011669i,0.0028162-0.00018712i,0.0015576+0.00060742i,-0.00079275+0.0018293i,-0.0005679+0.0013958i,0.00027547+0.00073366i,-0.00039978+0.00021974i,-0.0011212-0.00033176i,-0.00033654-0.00054134i,0.00044849-9.3357e-05i,0.00039058+0.0007039i,-1.6026e-05+0.0005408i,0.0002132-0.00012487i,0.0011688-0.00064008i,0.0010915-0.00031975i,-0.00026799-0.00058124i,-0.0011013-0.00087193i,-0.00076745+0.00010494i,-0.00027253+0.00037467i,-0.00086665+0.00071691i,-0.0010014+0.0016012i,-0.00041161+0.0012072i,0.00062945+0.00099941i
0.00020348+0.0016039i,0.00029034+0.0022555i,-6.8739e-05+0.0038214i,0.00052948+0.003583i,0.0015257+0.0019757i,0.0013042+0.00012235i,-0.00038801-0.00029242i,-0.0010952-0.00014318i,-0.00061353-0.00080509i,0.00023091-0.0004875i,0.00061936-0.00040132i,0.00057132-0.0010992i,7.7847e-05-0.0012173i,-0.0002753-0.00065074i,-0.00019105-0.00013137i,-0.00025854-0.00035155i,-0.00018833-0.00034297i,0.00044146+0.00078942i,0.00081075+0.0011376i,0.00058293+0.00014488i,0.00030336-0.00022061i,2.1057e-05-0.00017672i,-0.00038659+9.6183e-05i
-0.0024734-0.0017062i,-0.0024011-0.0015479i,-0.0023128+0.00026835i,-0.0015005+0.001533i,0.00034261+0.0014808i,0.00093904-0.00047034i,0.00019143-0.0023144i,-0.00070965-0.0018229i,-0.00054992-3.0722e-05i,-0.00032647+0.00088851i,7.8873e-05+0.0005524i,0.00022499+0.00042362i,-0.00065385+0.00020406i,-0.00080981-0.00040174i,-0.00015974-0.00059472i,-0.00041222-0.0002724i,-0.00050934+8.4228e-05i,0.00031933+0.00069072i,0.0011691+0.0011157i,0.0010556+0.00038641i,0.00054089-0.00017703i,0.0001507+0.00010223i,-0.00042561-0.00011136i
0.0022183-0.0023505i,0.0016009-0.0024766i,0.0010819-0.0019317i,-0.00043042-0.00010478i,-0.0012114+0.0010988i,-0.00062597-0.0001795i,-0.0011512-0.00098419i,-0.0017086-0.00038275i,-0.00063077+0.00039001i,-0.00038575+0.00091662i,-0.0007228+0.0010439i,-0.00075404+0.0012708i,5.5151e-05+0.0015109i,0.00019462+0.001374i,-0.00051497+0.00069092i,-0.00061853-0.00022664i,5.4739e-05-0.00056594i,0.00075925+0.00014861i,0.00026563+0.0017983i,-0.00048459+0.0014511i,-0.00054315-6.4702e-05i,-0.00074555-0.00054511i,-0.00042507-0.00052798i
0.0001763+0.00034442i,0.00035902+0.001132i,-0.00049678+0.0016368i,-0.00059047+0.0023986i,0.00015287+0.0026738i,0.00068163+0.0022414i,0.00082788+0.00078922i,0.00016037+3.2089e-05i,-0.00046403+0.00037213i,8.131e-06+0.0012281i,0.00010805+0.0013902i,-0.00065393+0.00060154i,-0.00035679+0.00029791i,0.00076953-0.00016586i,0.0014958-0.00063151i,0.00076549-0.00031173i,7.1505e-05+0.0004812i,0.00015139+0.00087759i,0.00029589+0.00036807i,-0.00014486-0.00015424i,-0.00051299+0.00011968i,-0.00055178+0.00063894i,-0.00084371+0.00098172i
-0.00013596-0.00027303i,-0.00098918+8.6941e-05i,-0.00022206+0.0015485i,5.7049e-05+0.0022539i,-0.00018904+0.0012473i,-5.9293e-05-0.0003297i,-0.0010103-0.0009747i,-0.0015549-0.00044483i,-0.00050043-0.00012752i,-0.00017421-8.846e-05i,-0.00043733-9.0358e-05i,-0.00027159-0.00017738i,-0.00086372+0.00015463i,-0.00074635-0.00040764i,0.00065316-0.0012685i,0.0012816-0.00065695i,0.00098313+0.00020135i,0.00090807-0.00056523i,0.00072483-0.00050171i,0.0003051+0.00057548i,6.3779e-05+0.00069885i,0.00063029+0.00034872i,0.001011+0.00012116i
0.00031267-0.00061195i,0.00040965-0.00054532i,0.00023583-0.0001372i,0.0011384+0.0011906i,0.00063754+0.0016179i,-0.00036631+0.00063406i,-0.00092582-0.00018221i,-0.00206+6.107e-05i,-0.0018956+0.0005884i,-0.00029655+0.00038781i,0.00065459+0.0002973i,0.00063297+0.00034426i,0.00048293+0.00046414i,0.00029017-5.8285e-05i,0.00033814-0.00090456i,0.00024523-0.00047675i,0.00048902+0.00048347i,0.00041788+0.00087395i,0.00043714+0.00063901i,-4.0553e-05+0.000654i,-0.00065406+0.00066492i,-4.9161e-05+0.00044382i,0.00067501+0.00033195i
-8.0437e-05+0.0022783i,-3.5305e-05+0.0022096i,0.00041245+0.0014419i,0.00011498+0.0014379i,-2.0739e-05+0.0010891i,-0.00011969-0.00070577i,-0.00089199-0.00193i,-0.0011284-0.0011086i,-0.00045649-0.00017365i,0.00090725-0.00012506i,0.0014896-0.00011485i,0.00085602-0.00012985i,0.0002023-0.00031377i,-0.00017037-0.00097753i,0.00054438-0.0011189i,0.00093094+0.00035102i,0.0005765+0.0010931i,0.00036038+0.00090831i,-0.00015401+0.00075969i,-0.0001015+0.0011427i,0.00051556+0.001213i,0.00058073+0.00033217i,8.4606e-05-0.00038733i
8.3663e-07-0.00013964i,-8.2119e-05-0.00011278i,-0.00021534+0.00034857i,-0.00012061+0.0011539i,0.00070961+0.00055063i,0.00070158-0.00049888i,-0.00060425-0.00075512i,-0.0013435-0.00077405i,-0.0010952-0.00034807i,-0.0010274+0.00046483i,-0.00017158+0.0010561i,0.00049373+0.00096499i,0.00044771+0.0010101i,0.00071383+0.0011048i,0.00073669+0.00076653i,0.00037887+0.00056106i,0.00031816+0.0008026i,-0.00025546+0.00080938i,-0.00048442+0.00077073i,-0.00032183+0.00099843i,-0.00081549+0.00092919i,-0.0010005+0.00017092i,-0.00019354-0.0002093i
-0.0007326-0.0011943i,0.0010781-4.6918e-05i,0.00077466+0.0020623i,2.8254e-05+0.0038413i,0.00048213+0.004006i,0.0015051+0.0023987i,1.6322e-05+0.0010813i,-0.0022208+0.00023101i,-0.0019677+9.2289e-05i,-0.0011552+0.00082565i,-0.00062607+0.00086762i,-0.00065891+0.00095084i,-0.00053855+0.001398i,-0.00013158+0.000687i,-0.00065873+6.0839e-05i,-0.0013347+0.00067203i,-0.0010663+0.0010849i,0.00018563+0.0009137i,0.00090806+0.00011656i,0.00069067-0.0004715i,-0.00016389-0.00047894i,-0.0005842-0.0010218i,-0.00028963-0.00080159i
0.00022618+0.00034615i,-5.6067e-05+0.0010803i,-0.00048422+0.0010847i,0.00034367+0.0014176i,0.0020091+0.002117i,0.0013869+0.00062708i,-0.00036372-0.00068037i,-0.00099054-1.5377e-06i,-0.00070841+0.00055639i,5.5445e-05+0.00061724i,1.2503e-05+0.00095511i,-0.00033795+0.00028685i,-0.00038343+0.00019428i,-0.00042852+0.00063102i,-0.00037978+0.00035353i,1.0404e-06-4.7797e-06i,-9.4897e-06+7.65e-05i,-0.00057255+0.00039668i,-0.0010198-0.00033195i,-0.00071577-0.00035054i,-0.00030256+1.3025e-05i,-0.0001432-0.00045594i,0.0001254-5.9569e-05i
0.00058266+0.00078382i,0.00020518+0.00077494i,-0.00049597+0.00085534i,-0.0006148+0.0015228i,-5.324e-05+0.0010385i,9.474e-06-0.00011137i,-0.00019446-0.00056766i,-0.00077776-0.0010615i,-0.0012955-0.00028692i,-0.00081258+0.00042224i,-0.0002158+0.00010722i,-0.00037949-0.00028653i,-0.00032325-0.0001653i,0.00047104-0.00036268i,0.00064317-0.00019427i,-8.3999e-05+7.1011e-05i,-0.00014836-0.00014344i,0.00019552-0.00063405i,0.0003504-0.00035294i,0.00044982+0.00016267i,0.00058044-0.00034327i,0.0007912-0.00043204i,0.0006049-1.2084e-05i
-0.0015488-0.0011914i,-0.0014596-0.0013268i,-0.0013738-7.1029e-05i,-0.0010745+0.0017814i,-0.00085383+0.0022711i,-0.00090864+0.00046034i,-0.0010769-0.0011384i,-0.001371-0.0012332i,-0.0004109+4.7646e-05i,2.1119e-06+0.00088759i,-0.00078029+0.00090591i,-0.0011067+0.00011905i,-0.00059534-0.00039711i,-0.00026177-0.00030958i,-0.00039132-0.00043436i,0.00010222-0.00055437i,0.00065463-0.00044888i,0.00062011-0.00016487i,0.00093268-0.00020064i,0.00070333-4.823e-05i,-0.00037555+0.00027869i,-0.00037701-0.00022012i,0.00021857-0.00064145i
0.00013505-0.0011943i,0.0011177-0.00077072i,0.0008703+0.0014653i,-2.1003e-05+0.0030234i,0.00065793+0.0026506i,0.00088816+0.0010874i,0.00047368-0.00073522i,-0.00060782-0.0013944i,-0.0011101-0.00068486i,-0.00034133-0.00045291i,0.00011378-7.6629e-05i,5.375e-05-0.00014232i,6.4137e-05-0.00089117i,-0.00042525-0.00036483i,-0.00057095+0.00067905i,-6.9921e-05+0.0012039i,0.0003936+0.0010653i,0.00055567+0.00096929i,4.2871e-05+0.0010298i,-0.00055845+0.00032689i,-0.00056741-8.7657e-05i,-0.0012042-0.00014039i,-0.0016107-1.8524e-05i
-0.001557-0.00057804i,-0.00076632-0.00021534i,0.0001686+0.00067381i,-0.00062719+0.0016607i,2.7503e-05+0.0013125i,0.0011094+0.0007323i,-0.00023273-0.00011707i,-0.0010154-0.00043621i,-0.00097924+8.6029e-05i,-0.00076644+0.00030257i,0.0002137+0.00029244i,0.00057053+0.0003601i,0.00016057+0.00038582i,0.00087563-3.8193e-05i,0.0011569+0.00054945i,0.00042349+0.0010417i,-0.0001592+0.00067986i,0.00020242+0.00016555i,0.00052517+3.2529e-05i,0.00012394-9.2037e-05i,-0.00040793+0.00020289i,-0.00062462+0.00022256i,-0.00031584-0.00020747i
-3.5384e-05-0.000532i,1.3338e-05+0.00062144i,-0.00046926+0.0020184i,0.00021808+0.0026095i,0.00084249+0.0018981i,0.00093507+0.0005159i,0.00033595-5.6668e-06i,-0.0007671+0.00013177i,-0.0010622+0.00017098i,-0.0012949+0.00048712i,-0.0016319+0.00056436i,-0.00078842+0.00068273i,0.00033802+0.0014192i,0.00080347+0.0017097i,0.00074033+0.0011558i,0.00074806+0.00041265i,4.9339e-05+0.00024524i,-0.00011199+0.00061806i,0.00013465+0.00097113i,0.00014627+0.00093498i,0.00036482+0.00050887i,0.00041966+0.00056864i,0.00087577+0.00045294i
0.00013485-0.00066887i,-0.00028842-0.00075759i,-0.00078938+0.00014624i,-0.001273+0.00090737i,-0.0010498+0.0012343i,-0.0002922+4.5821e-05i,-0.00059307-0.0010979i,-0.0007678-0.0011931i,0.00034342-0.0005055i,0.0015823-2.0279e-05i,0.0011467-0.00022791i,-0.0003767-0.00039283i,-0.00092466-0.00025852i,-0.00016793+0.00044274i,0.00019078+0.00023531i,0.00010197-0.00057552i,0.00043745-0.00014035i,0.00075127+0.00076301i,0.00089596+0.00076428i,0.00084753+0.00081137i,0.00069752+0.00089658i,0.00075407+0.00036362i,0.00041309-0.00020288i
-0.00046578+0.00023625i,0.00033172+0.00097953i,0.00034372+0.0017135i,-4.734e-05+0.0029941i,0.00031271+0.0030425i,0.0011648+0.0014518i,0.00085719-0.00030947i,-0.00040006-0.001155i,-0.0013204-0.00043785i,-0.00088049+0.00042465i,-0.00030189+0.00021598i,-0.0012428-0.00051157i,-0.0017657-0.00096474i,-0.00087123-0.00087154i,-0.00088866-0.00072949i,-0.0014355-0.00057026i,-0.0010948+7.7973e-05i,-0.00013658+9.5363e-07i,0.00083381-0.00015858i,0.0011896+0.00030813i,0.001097+0.0010304i,0.00095018+0.0014603i,0.00068231+0.00081654i
-0.0011971-0.0019328i,-0.00043679-0.0003134i,-6.839e-05+0.0014654i,0.00017339+0.0024683i,0.00086218+0.0031343i,0.0012375+0.0012475i,0.00041164-0.0013486i,-0.0012737-0.0023008i,-0.0017511-0.0018279i,-0.00057365-0.00045122i,0.00050268+0.00047038i,1.6121e-05+0.00032535i,-0.00048032-0.00043947i,-0.0010137-0.0010814i,-0.00086956-0.0015639i,0.00035371-0.00076807i,0.0003857+4.9704e-05i,0.00029886-0.00062872i,0.0002881-0.00055891i,-0.00030939-0.00014809i,-0.00055502+2.9836e-06i,-0.00013013-0.00023181i,0.00047288-0.00010621i
-2.1685e-05-0.00085493i,0.00049278-0.00038315i,4.0059e-05+0.0015523i,0.00020918+0.0032833i,0.00053004+0.0027214i,0.00072441+0.0010023i,-0.00019624-0.00061408i,-0.0010961-0.0014284i,-0.0010463-0.00037898i,-0.00035635+0.00090326i,0.0004771+0.00084384i,-0.00020367+0.00083119i,-0.0008686+0.00097794i,-0.00033846+1.9696e-05i,0.00022276-0.00062859i,-7.658e-05-0.0012438i,-0.00055053-0.0010405i,-0.00029979+6.6278e-05i,-0.00034483+0.00087405i,-0.00044503+0.0012495i,-0.00047335+0.00092356i,-0.00075213+0.00066644i,-0.00014821+0.00031046i
-0.0010225+0.00039968i,-0.0018073+0.00095329i,-0.0014936+0.002011i,9.2994e-05+0.002202i,0.00029831+0.0015279i,-0.00040245+0.00099515i,-0.00055319+0.00029539i,-0.00058634+0.00022154i,-0.00031329+0.00060127i,0.00079057+0.0014072i,0.0011252+0.0011885i,0.00057629+7.4194e-05i,0.0009523-0.00028552i,0.0013132+0.00018693i,0.00010462+0.0003067i,-0.00018552+0.0003415i,-7.0127e-05+0.00040624i,-0.00038974+0.00020632i,-0.0002449+0.00031473i,0.00017784-7.1011e-05i,-2.8497e-06-0.0003995i,-2.6264e-05+4.4189e-05i,0.00030792+0.00071892i
-0.0015148+0.00054564i,0.00043944-0.00045837i,0.00052899+0.00014571i,-0.00041882+0.0014007i,-0.00012027+0.002084i,0.00089811+0.00045054i,5.8496e-05-0.0018894i,-0.0012273-0.0013431i,-0.00076621+0.00045935i,-0.00011028+0.0011435i,-1.1927e-05+0.0014061i,0.00059587+0.0011801i,0.001375+0.0013275i,0.0011548+0.00073001i,0.00011862-0.00043511i,-0.00027464-0.00083218i,0.00037965-0.00017613i,0.00029188+0.00074093i,-0.00028772+0.0012832i,-0.00048777+0.0013483i,-0.00052415+0.00086352i,8.8698e-05-0.00020066i,0.00047736-0.00070183i
0.0016235+0.00026693i,0.00052811+0.0015967i,-9.2858e-05+0.0025242i,-0.00053274+0.0028573i,-0.00073123+0.0024232i,-0.00036672+0.00088622i,-0.00057725-0.00021434i,-0.001018-0.00039249i,-0.00095507-0.00027398i,-0.00015495+0.00023366i,0.0011626+0.00096935i,0.00030847+0.0013152i,-0.0011578+0.0010089i,-0.0010268+0.00037113i,-0.00047132-6.2408e-05i,-0.00013813+0.00010208i,-0.00030747+0.0010734i,-0.00010513+0.0016198i,0.00026275+0.00058618i,0.00035101+0.00019496i,0.0009472-0.00033979i,0.0012384-0.00053695i,0.0006418+0.00038624i
-1.2788e-05+0.00044282i,0.00025309+0.00088075i,0.00052855+0.0020434i,0.00017085+0.0022377i,0.0001257+0.00096399i,-7.1077e-05-0.00073061i,-0.00045036-0.0018404i,-0.00017664-0.00073533i,-0.000274+0.00021546i,2.1458e-05+0.00019504i,0.00043508+0.00025629i,-0.00046537+2.4714e-06i,-0.0014932-0.00015158i,-0.0015276-0.00047002i,-0.00075413+7.9755e-06i,-0.00062415+0.00096828i,-0.0011521+0.0010552i,-0.0011915+0.00085713i,-0.00051871+0.00066127i,-0.00013119+0.00073667i,0.00033138+0.00040622i,0.00071841+0.00010336i,0.00076729+0.00072807i
-0.0011306+0.00056197i,-0.0010292+6.9645e-05i,-0.0013273+0.0016092i,-0.00089649+0.0036916i,-0.0006589+0.0028548i,-0.00039613+5.8977e-05i,-0.0014491-0.0015857i,-0.0026201-0.0018509i,-0.00082369-0.0010315i,0.00078903+0.00025482i,-0.0002459+0.00039311i,-0.00067832-4.4785e-05i,-0.00030829+0.00061546i,-0.00063786+0.00075248i,-0.00048942+0.00080467i,0.0002728+0.0010042i,0.0010561+0.00049495i,0.00083009-0.00044492i,0.00044687-0.00039129i,0.00056588+0.0001211i,-0.00031363+0.00033125i,-0.0016608-5.3368e-05i,-0.0014557-0.00050472i
-0.00051117+0.00027899i,-0.00063805+0.00045303i,-0.00020123+0.0013921i,0.00094702+0.001726i,0.0022722+0.0015513i,0.0010646+5.7904e-05i,-0.0018812-0.0014127i,-0.0031348-0.0010364i,-0.0023808+0.00080065i,-0.0012064+0.0011875i,-0.00043092+0.00015682i,-5.2135e-05+7.8634e-05i,0.00041027+0.0006828i,0.00068184+0.00033874i,0.00089963-0.00023846i,0.00077553+0.00019384i,0.00019651-9.9769e-05i,0.00023425-0.0004395i,0.00059564+0.00012534i,2.3959e-05+0.00035289i,-0.00045199+0.00018791i,-0.0003654-1.2164e-05i,-0.00018044-0.0003993i
-0.00083244+9.8968e-05i,-0.0010182+0.00064009i,-0.0011827+0.0016313i,-0.00076835+0.00193i,0.00011756+0.00076685i,0.00021199-4.5089e-05i,-0.0010409-0.00013684i,-0.0020472-8.8336e-05i,-0.0016936+0.0007822i,-0.00071682+0.0016108i,0.00039902+0.00099314i,0.00077092+0.0001534i,0.00059126+7.8261e-05i,0.0006123+0.00032204i,0.00022913+0.00012014i,0.00014904-0.00010755i,-7.5338e-05+0.00038904i,-0.00034542+0.00069527i,0.00033356+0.0002037i,0.00053999-0.00026841i,0.00058354-0.00027458i,0.0003362-0.00046575i,-0.00040169-0.00083532i
-2.0412e-06-0.0015636i,0.0011729-0.0020682i,0.00050018-0.0010149i,-2.9381e-05+0.0013693i,0.00014557+0.0021479i,5.7779e-05+0.00014951i,-0.00045668-0.0014962i,-0.00064839-0.00075014i,-0.00086559+0.00098543i,-0.0013939+0.002089i,-0.00025731+0.0022204i,0.0012572+0.0011509i,0.0015894+0.00071603i,0.00055869+0.0010735i,-4.2766e-05+0.00082912i,0.00060693+0.00080927i,0.00080201+0.0010189i,0.00037626+0.00047041i,-0.00025236-0.00011032i,-0.00049685+0.00036082i,-0.00061838+0.000705i,-0.00073032+0.00041915i,0.00027369+0.00012938i
0.0021918+0.00041266i,0.0021323+0.0022663i,0.0011031+0.0031424i,-0.00067368+0.002106i,-0.0011917+0.0013653i,-0.0010998-0.00032604i,-0.0010731-0.0022419i,-0.00084934-0.0018859i,-0.0007609-0.00095765i,-0.00060513-0.00078645i,-0.0004333-0.00085123i,0.00012913-0.00029265i,0.00033939+0.00041068i,0.00037406+0.00060732i,0.00095307+0.00042545i,0.0005866+0.0013327i,-0.00071271+0.0012806i,-0.0010646+2.8044e-06i,-0.0002441-9.78e-05i,0.00023309+0.00010119i,-0.00039055+0.00036104i,-0.00072431-0.00046937i,-0.00063175-0.001093i
0.0002307+0.00018846i,-0.00086383-7.4497e-05i,-0.00047321+0.00093334i,0.00035063+0.0021441i,-0.00024672+0.0013419i,-0.00040769-2.7474e-05i,-0.00069406-0.00079913i,-0.001283-0.00078977i,-0.00036537-0.00042269i,0.00099388-0.00033991i,0.00087395-2.4448e-06i,-0.00035361+0.0005615i,-0.00091292+0.0015456i,-0.0010149+0.0020752i,-0.00035966+0.0014176i,0.00093849+0.0010348i,0.00067498+0.0013197i,0.00021143+0.0015278i,-0.00021447+0.0013112i,-0.00083932+0.00069897i,-0.00090426-0.00010166i,-0.00094637-0.00030226i,-0.00044364-0.00032288i
0.00017053-0.00079362i,0.0015377+0.0010443i,0.00048964+0.0023548i,0.00036654+0.00348i,0.0018371+0.0035948i,0.0022683+0.0014043i,0.00033844-0.00063989i,-0.0015934-0.00077427i,-0.0018298-0.0001215i,-0.0011235-0.00021295i,-0.00070995+1.4531e-05i,-0.0012634+3.8528e-05i,-0.0013865-0.00013435i,-0.00075598-0.00010242i,-0.00075881+0.00029211i,-0.00069046+0.00053503i,0.00019642+0.00048318i,0.00063612+0.00027133i,0.00077714+5.7482e-05i,0.00052961+0.00075844i,-0.00042924+0.0010228i,-0.00071867+0.00038142i,-0.00017244+0.00038372i
-0.000133-0.00077729i,-0.00029235-0.00050163i,-0.0012784+0.00022211i,-0.00066982+0.0010899i,0.00028467+0.0017962i,0.00020081+0.0015824i,-0.00053488+0.00065028i,-0.0011757+3.3807e-05i,-0.0010121+0.00073194i,-0.00012836+0.00048008i,0.00033455-0.00032165i,-7.1042e-05-4.5014e-05i,-0.00096896-0.00091055i,-0.0014232-0.0014657i,-0.0004592-0.00081518i,0.00047543-0.00060209i,0.00029505-0.00099638i,0.00013018-0.00037064i,0.00042413+0.00051976i,0.00022316+0.00057535i,-0.0003535+0.00045214i,-1.6715e-05+0.00020119i,8.7562e-05-0.00027464i
-0.00071812-0.0018578i,-0.0010783-0.00161i,-0.0029389+0.00015204i,-0.0039366+0.0029188i,-0.002451+0.0044772i,-0.00030673+0.0029569i,2.8628e-05+0.00012715i,-0.0015041-0.00086738i,-0.0015612-0.00029913i,-0.00064688+0.00063309i,-5.3873e-05+0.00093179i,0.00023268+0.00050076i,0.00020422-0.00014964i,0.00063139-0.0014272i,0.00024976-0.0014847i,0.00028608-0.00070134i,0.00099773+0.00014368i,0.0010315+0.00074632i,0.0010103+0.00042826i,0.00077642+0.00040856i,0.00015494+0.0012223i,-0.00071488+0.0013031i,-0.00028749+0.0010304i
0.00063939-0.00064544i,0.0015629-0.00079478i,0.0015579+0.00054138i,0.00055714+0.0026413i,0.00046472+0.0024611i,0.00052065+0.00083921i,-0.00056179-0.0011835i,-0.0010715-0.0017504i,-0.0004882-0.00073657i,-0.00019086+0.00060863i,-0.00015763+0.0008858i,0.00022195-0.00041154i,0.00073666-0.00081981i,0.0011998-0.00025511i,0.0010129-0.00030604i,0.00069049-0.00048023i,0.0010184-0.00013871i,0.00083138+0.00034271i,-7.6164e-05+0.00049257i,0.00018797+0.00071107i,0.00029236+0.00073235i,0.00019279-2.0289e-05i,-0.0001189-0.00066049i
7.1376e-05+0.00102i,2.6132e-05+0.0028388i,-3.3858e-05+0.0034013i,3.5025e-05+0.0026958i,5.3654e-05+0.0016913i,-0.00018229+0.00072411i,-0.00050211-0.00032018i,-0.00089764-0.0013985i,-0.00066654-0.0014881i,-0.00039316-0.00049552i,8.2395e-05+0.00036357i,0.00044505+0.00018475i,0.00064047+3.3159e-05i,0.00071246+0.00028635i,0.0011014+0.00027286i,0.00060184+0.00060253i,-0.00069379+0.00066409i,-0.00094717+0.00057704i,-0.00031213+0.00074196i,-0.00018528+0.00069809i,-0.00044354+0.0003595i,-0.00076812-5.664e-05i,-0.00064635+7.4162e-05i
-0.0023316+0.00065392i,-0.0037645-0.00038371i,-0.0040375-0.00022756i,-0.0014278+0.00089052i,0.00086503+0.00073041i,0.00070452-0.001276i,-0.00012542-0.002347i,-0.0013882-0.0012271i,-0.0017601+0.00022065i,-0.00073987+0.00070549i,-2.5431e-05+2.7416e-05i,-3.6291e-06-9.8231e-05i,-0.00017928+0.0005329i,-0.00041545+0.00052935i,-0.0010464+0.00033016i,-0.00097565+0.00059698i,-0.00025625+0.00045583i,0.0003789+0.00064715i,0.00060632+0.00033927i,0.00024092-7.7091e-05i,-1.0763e-06-6.9514e-07i,0.00011462-0.00028931i,0.00030014-9.5341e-05i
0.00066095-0.0019817i,0.00081873-0.0011654i,0.00024621+4.684e-05i,-0.00073941+0.0027641i,-0.0014346+0.0031153i,-0.00090299+0.00011051i,-0.00083493-0.0014419i,-0.000911-0.00097811i,-0.00074908-5.39e-05i,-0.00039471+0.00036931i,7.8689e-05+9.0865e-05i,-0.00023129-3.8272e-05i,-0.00055791+0.00015347i,-0.00070623+6.0205e-05i,-0.00046857-0.0007892i,-0.00041086-0.00089715i,-0.00069473-0.00085567i,-0.00042655-0.0010737i,-0.00042611-0.0003654i,-0.00033189+0.00040506i,-7.3504e-05+0.00050849i,-0.00022986-0.00032087i,3.6659e-06-0.00090718i
