-0.0028514-0.0012952i,-0.0016985-0.0020478i,-0.0019276-0.00031754i,-0.002207+0.0012293i,-0.00097492+0.0018395i,0.00057942+0.0010333i,0.00057836+0.00017502i,-0.00027334+0.00012973i,-0.00017188+2.8682e-05i,0.001051-0.00010033i,0.0017204-0.00017755i,0.0014514-0.00017668i,0.00083093+0.00062802i,0.00039422+0.00054549i,0.00092299-0.00068088i,0.0011928-0.0008569i,0.00034436+6.4533e-05i,0.00058727+0.00052227i,0.00062532-0.00046344i,-0.000312-0.00066016i,-0.00098841+8.1354e-05i,-0.00082222+0.00026351i,0.00028454+1.0478e-05i
-0.0020879+0.00030477i,-0.0078185+0.0019772i,-0.013521+0.00092231i,-0.011577-0.0016521i,-0.0045145-0.0014879i,0.00077888-0.0019158i,0.006258-0.0066382i,0.010312-0.0086882i,0.0086482-0.0066795i,0.0040974-0.0045505i,0.001325-0.0032267i,0.00014525-0.0012847i,-0.00039803+0.000187i,-0.00033627+0.00077011i,-0.0009-0.00018455i,-0.0023669-0.0018926i,-0.0023656-0.0021718i,-0.0013898-0.0017047i,-0.0011723-0.0012563i,-0.00078283-0.00044662i,-0.00015946-0.00040105i,-0.00032312+0.00053288i,-0.00054007+0.0020331i
0.0038233+0.003733i,0.0086341+0.0034421i,0.010328+0.0034217i,0.0027774+0.0033966i,-0.008215+0.001177i,-0.012948+0.00033012i,-0.012755+0.0021492i,-0.010521+0.002851i,-0.0056521+0.001456i,-0.00173-0.0002695i,-0.0013394-0.00043974i,-0.0010509-6.9172e-05i,0.00049733-0.0010498i,0.0011273-0.0015215i,0.00070871-0.00022012i,0.0020894+0.0009875i,0.003464+0.0012208i,0.0035187+0.0014347i,0.0038934+0.0011283i,0.0030101+0.00052662i,0.00088057+0.00040467i,-0.00029444+0.00013006i,0.00058764+0.00011588i
0.0010365+0.0019193i,-0.0019219+0.0012594i,-0.0035924-0.002079i,-0.00018447-0.0050522i,0.0020685-0.0030731i,-0.00012075-0.00098523i,0.0014801+0.0017506i,0.0053215+0.0059998i,0.0066266+0.0067887i,0.0055542+0.0047583i,0.0040341+0.0019522i,0.0014473+0.00049061i,-0.0018575+0.0012208i,-0.0022095+0.0016482i,-6.5912e-05-0.00015255i,0.00051723-0.0019489i,-5.344e-05-0.0025191i,-0.00083169-0.0023205i,-0.0022548-0.0017504i,-0.0028994-0.0010193i,-0.0026068+0.00067196i,-0.0017446+0.0014245i,-0.00034372-1.4537e-05i
0.0013661-0.0015835i,0.0027857+0.00048374i,0.0055789+0.0013891i,0.0039863-0.0017073i,-4.7196e-05-0.0061951i,-0.0047365-0.0055106i,-0.010889-0.0020513i,-0.012677-0.0011476i,-0.0093448-0.0028456i,-0.0068655-0.0028865i,-0.0044665-0.0014999i,-0.00040948-0.0018169i,0.0024487-0.0024144i,0.0024004-0.00037549i,0.0010524+0.0028714i,0.00048227+0.0042938i,0.00094374+0.0041286i,0.0011286+0.0028225i,0.00098142+0.0014082i,0.0014438+0.00064123i,0.0016216+0.00098938i,0.0014447+0.0011399i,0.0013203+0.00024336i
-0.00082287+0.0031193i,-0.0017081+0.0010282i,-0.0017811-0.0018791i,-0.000564+0.00011547i,-0.0016156+0.0023731i,-0.0049891-0.0010894i,-0.0053364-0.0030428i,-0.0023405+8.1407e-05i,0.00055525+0.001142i,0.0022265+0.0003397i,0.0035304+0.00093158i,0.0031431-0.00017941i,0.00052907-0.001305i,-0.0011327+0.00091519i,2.0389e-05+0.0020157i,0.0009424+4.3695e-05i,0.00031155-0.0016805i,-0.00080985-0.0029346i,-0.0018539-0.0037247i,-0.0025269-0.0028664i,-0.0027484-0.0013089i,-0.0022562-0.0006991i,-0.0020963-8.6212e-05i
0.002275+0.0066309i,0.0043134+0.0070536i,0.0057828+0.0055796i,0.0046439+0.0021851i,0.00354-0.0010066i,0.0025274-0.0019561i,0.0009934-0.0035692i,0.00055441-0.005226i,0.00072694-0.0037371i,0.00034242-0.0017484i,0.00055306+6.7813e-05i,0.0019341+0.0020483i,0.0030714+0.001809i,0.002891+0.00017741i,0.0014367-0.00039442i,3.7677e-05-7.1743e-05i,0.00032808+0.00098436i,0.00094273+0.0029223i,0.00095499+0.0041639i,0.0014187+0.0027331i,0.0014994+0.0005995i,0.00034243-0.00011493i,-0.00094913+0.00065632i
-0.0031093-0.00026965i,-0.0058272-0.0014544i,-0.0082222-0.0028342i,-0.0098808-0.0015377i,-0.010597+0.00050811i,-0.0065885+0.0014723i,-0.00041668+0.0032585i,0.00174+0.0054899i,0.00029159+0.0053574i,-0.0007086+0.0045665i,-0.0009843+0.0040005i,-0.0028101+0.001718i,-0.0049192-0.00087813i,-0.0044871-0.00066903i,-0.0010375+0.00012253i,0.0015484-0.00095995i,0.0019278-0.0021917i,0.0021304-0.001995i,0.0019675-0.0018539i,0.0014764-0.0020348i,0.0008057-0.0013146i,-0.00049338+0.00019594i,-0.00057088+0.00069637i
0.0038933+0.0031802i,0.004296+0.0049629i,0.0050977+0.0046367i,0.0053717+0.0018534i,0.0027593+0.0022767i,-0.0037391+0.0047386i,-0.0064157+0.0053021i,-0.0030441+0.0037437i,-0.00086966+0.00033873i,-0.0014339-0.0029752i,-0.0019332-0.0039334i,-0.0014648-0.0017531i,0.00070505+0.001818i,0.0020302+0.0028935i,0.0010643+0.0016236i,1.6874e-05+0.001248i,-0.00094097+0.0017547i,-0.0019759+0.0017601i,-0.0014593+0.0021709i,-0.00019966+0.002693i,0.000464+0.0021235i,0.00095921+0.0014562i,0.0013769+0.00090727i
-0.0024755+0.0001299i,-0.0011652-0.0013633i,-0.00022434-0.0050727i,-0.002168-0.0074432i,-0.0059007-0.0088784i,-0.0078508-0.007966i,-0.0076618-0.0035898i,-0.0056057+0.00084427i,-0.001341+0.0018861i,0.0027543+0.00092314i,0.0037509-0.00062838i,0.0024361-0.0032492i,0.00057706-0.0056388i,-0.0011155-0.0051215i,-0.0020087-0.0015712i,-0.00098726+0.0009822i,0.0013939+0.00084541i,0.0022341-0.00077774i,0.0025272-0.0021441i,0.0010774-0.0013404i,-0.00046034+0.00035948i,-7.5079e-05+0.0011433i,0.00072424+0.00084961i
-0.0008603+0.0035672i,-0.00074091+0.0076647i,-0.00018885+0.010185i,0.0013791+0.0096055i,0.00047901+0.006723i,-0.0029942+0.00081236i,-0.0048082-0.0033669i,-0.0039597-0.0024919i,-0.001695-0.00054012i,0.0013706+0.00020995i,0.0036378+0.0004929i,0.0038333+0.002778i,0.0032639+0.0061605i,0.003372+0.0066544i,0.0030516+0.0041789i,0.0015641+0.0011568i,-0.00038364-0.00012544i,-0.0015349-0.00092328i,-0.0016869-0.0025587i,-0.0011093-0.0027227i,-7.2299e-05-0.002231i,0.00029656-0.0021419i,-0.00027968-0.0014097i
-0.0033713+0.0037647i,-0.00058643+0.0019973i,0.0013478-0.0008295i,0.0022329-0.0039007i,0.0048408-0.0049439i,0.0067689-0.0038575i,0.0045126-0.0018405i,0.00010004-0.0015125i,-0.0028844-0.00042517i,-0.0034048+0.0021927i,-0.002382+0.0034047i,-0.00043104+0.000394i,0.0015612-0.003784i,0.0018591-0.0056624i,0.0010179-0.0050798i,-6.1612e-05-0.0027719i,5.5005e-05-0.00067362i,6.854e-05+0.00037261i,-0.00085782+9.591e-05i,-0.0013937-0.00026949i,-0.00082707-0.00056757i,0.00026343-0.00025995i,0.00063043+0.0004102i
0.00037316+0.0039763i,-0.00088594+0.0066535i,-0.0022826+0.006966i,-0.003741+0.0062446i,-0.0059113+0.0048333i,-0.0061532+0.0032769i,-0.0028031+0.0029185i,0.00063468+0.00088842i,0.0017381-0.0019864i,0.00092591-0.0037927i,-0.0010552-0.0032756i,-0.002485-0.00050979i,-0.0036518+0.0020318i,-0.0033933+0.0029694i,-0.00098195+0.00255i,0.0014635+0.00043474i,0.0019705-0.0010401i,-8.7394e-05-0.00072738i,-0.0020651+0.00024151i,-0.0019433+0.00057643i,-0.00087286+0.00031271i,-6.1486e-05+0.00060532i,0.00058144+0.0011793i
-0.0030302-7.6226e-05i,-0.00083709+5.4605e-05i,0.0013749-0.00088573i,0.0018907-0.0025806i,0.00046842-0.0013082i,-0.0034896+0.00227i,-0.0046505+0.0035868i,-0.0019707+0.0036772i,0.00013847+0.0032113i,0.00059659+0.0016386i,0.00057221-0.00053953i,0.0016665-0.0026391i,0.0043284-0.0037991i,0.0056108-0.0035393i,0.0041542-0.0023872i,0.0018669-0.0014728i,0.00025638-0.00074526i,-0.00070811+0.0001071i,-0.00087548+0.00094349i,-0.0013752+0.00094574i,-0.0013223+0.00098438i,-0.00047362+0.0013352i,0.00068558+0.0012577i
0.00070901+0.0049687i,0.00054047+0.0053531i,-0.00061917+0.0037243i,-0.0026821+4.0703e-05i,-0.005714-0.0026714i,-0.0076776-0.0043665i,-0.0075345-0.0025668i,-0.0063716+0.0015919i,-0.0037313+0.0035903i,-0.00017122+0.002967i,0.0021256+0.0013i,0.0007021+0.00097922i,-0.0032243+0.00173i,-0.0044178+0.0022273i,-0.0024914+0.0026407i,-0.0019683+0.0024077i,-0.0013112+0.0017282i,0.00027588+0.0013471i,0.00025851+0.0015278i,0.00019815+0.0019293i,0.00059074+0.0021745i,0.00080345+0.00098053i,0.00066051-4.2874e-05i
-0.00020041+0.00097633i,0.0021986+0.00087143i,0.0046999-0.00028288i,0.0049504-0.0018918i,0.0024222-0.0029442i,-0.0010264-0.0035499i,-0.0034529-0.0036564i,-0.0049752-0.0024851i,-0.0054522-0.0014347i,-0.0048643-0.00023358i,-0.0022747+0.00078204i,0.001203+0.00073836i,0.003751+0.00079107i,0.004123+0.0011007i,0.002566+0.00024761i,0.0010437-0.00059951i,0.00056732-7.381e-05i,0.00044696+9.4172e-05i,0.00052023-0.0014933i,0.00085685-0.0019914i,0.00087411-0.0012019i,0.0007896-0.0013956i,0.0011814-0.0015634i
0.00056734+0.002203i,-0.0017913+0.0038125i,-0.0039404+0.0039357i,-0.0039781+0.0038438i,-0.0025959+0.0019766i,-0.00055128-0.0013325i,0.0008436-0.0028613i,0.0023625-0.0034124i,0.0041145-0.0039947i,0.0025022-0.0027106i,-0.00013839-0.0001431i,-0.0011748+0.00054911i,-0.0022381+3.7995e-05i,-0.0032534+0.00023616i,-0.002293+0.00060813i,-0.0014762+0.00093117i,-0.0012342+0.00054449i,-0.00071549-0.00030999i,-0.00040036-0.00069894i,-0.00025417-0.0011132i,0.00051869-0.0011997i,0.00062305-0.00043342i,-0.00015357+0.00047797i
-0.0046313-0.0004715i,-0.001018+2.5642e-05i,0.001312+0.0018944i,0.003589+0.0030266i,0.004284+0.0044235i,0.0020026+0.0047005i,0.00031599+0.0031293i,0.0012909+0.0017443i,0.0030702+0.001373i,0.0022771+0.0006849i,0.00036011-0.00012843i,0.00085424+0.00032778i,0.002842+0.0024372i,0.0041664+0.0029171i,0.0045727+0.0012015i,0.0036621+0.00032131i,0.0027031-0.00028331i,0.002066-0.0012907i,0.0011599-0.0025274i,0.00050682-0.0026994i,-0.00049733-0.0019413i,-0.0010636-0.0010865i,-0.00039968+0.00057598i
9.3013e-05+0.001408i,-0.0020235+0.002173i,-0.0039111-6.1382e-06i,-0.0051869-0.0023078i,-0.0049022-0.0026243i,-0.0051045-0.00095273i,-0.0044478+0.0014649i,-0.0025398+0.0038672i,-0.0011195+0.0050044i,0.00061489+0.0040265i,0.0014997+0.0020989i,0.00032437+7.274e-06i,-0.00048052-0.0017428i,-1.1415e-05-0.0024274i,0.00028566-0.0018345i,-0.00024563-0.0011253i,-0.0010631-0.0013434i,-0.0019989+2.175e-05i,-0.0024684+0.00086213i,-0.0022413+0.0005067i,-0.0027805+0.00099807i,-0.0021827+0.0013172i,-0.0013028+0.00081226i
0.00051188+0.002685i,0.002387+0.0041784i,0.0020988+0.0042082i,-0.00045755+0.0027612i,-0.0052388+0.0017104i,-0.0090467+0.0011377i,-0.0089455+0.00057985i,-0.0070276-0.00063982i,-0.0061836-0.0018441i,-0.0055739-0.0014409i,-0.0028511-0.00030522i,-0.00010407+0.00066438i,0.00059393+0.0032861i,-0.00026863+0.0042495i,-0.00024856+0.0026222i,0.00066994+0.0016111i,0.00089335+0.00098458i,0.00040659+0.0013421i,0.00067213+0.00084518i,0.00088018-0.00013309i,6.5793e-06-8.7066e-05i,-0.00069708+0.0010432i,-0.00060323+0.0014253i
0.00041213-0.00075557i,-0.00070687-0.0032228i,-0.00020782-0.0051965i,0.00031472-0.0045573i,-0.00038991-0.0034482i,-0.0014885-0.0021756i,-0.0020593-0.0018073i,-0.00072969-0.002569i,0.0011053-0.0034121i,0.0012916-0.0033852i,0.0013205-0.0019292i,0.0018652-0.0019346i,0.0023096-0.002779i,0.0027282-0.0020498i,0.0025557-0.00096415i,0.0015011-0.0010569i,0.00061817-0.0013103i,0.0007752-0.0014039i,0.00086388-0.00082672i,0.00042045-0.00043521i,0.00079651-0.00036579i,0.0014332-0.00065122i,0.0012348-0.0016777i
0.00022123-0.0017704i,0.00022815-0.00048373i,0.0004741+0.00042055i,0.00046497+5.2052e-05i,0.00038756-0.00075707i,-0.00045562-0.0018598i,-0.0011958-0.0014724i,0.00047003+0.00077209i,0.0024077+0.0011829i,0.0019546+0.00014284i,0.00033467+0.00034669i,-0.00024188+0.0012968i,-0.00051255+0.0024846i,-0.0010677+0.0025934i,-0.0012636+0.001503i,-0.001307+0.0012674i,-0.00053452+0.0019615i,0.00070382+0.0023676i,0.001275+0.001419i,0.0015142+0.00016838i,0.0017246-0.00027879i,0.0010566-0.00052723i,-6.6067e-05+0.00030894i
-0.0020468-0.00046372i,-0.004112+0.0022433i,-0.0038486+0.0026887i,-0.0026248+0.0021031i,-0.0028304+0.0024338i,-0.0038668+0.0034474i,-0.0038862+0.0034815i,-0.0026424+0.0034385i,-0.0014338+0.0043066i,-0.00064809+0.0049093i,0.0006877+0.0042433i,0.0023452+0.0019525i,0.0035356+0.0010223i,0.0039359+0.0021887i,0.0034233+0.0028725i,0.0031305+0.0020625i,0.0023975+0.0010597i,0.0011276+0.00010622i,6.6391e-05-0.00039963i,-0.00069109-0.00068813i,-0.00036765-0.0011323i,-0.00062749-0.0013496i,-0.00048986-0.00073727i
-0.0030238+0.0034107i,-0.0025065+0.0061284i,-0.002663+0.0060558i,-0.0026121+0.0038304i,-0.0022504+0.0021222i,-0.0032744+0.0010365i,-0.0035852+0.00013042i,-0.0029389-0.00032742i,-0.0031478-0.00042492i,-0.0029863+0.00018536i,-0.0023496+0.001369i,-0.0026815+0.0012239i,-0.0033808+0.00046153i,-0.0034528-0.00055716i,-0.002414-0.0020223i,-0.0012065-0.0018569i,-0.00078634-0.00066713i,-0.00071554-0.00037651i,-0.0014106-4.8323e-05i,-0.001873+0.00037034i,-0.0013599+8.8191e-05i,-0.00076252+3.0439e-05i,-0.00085953+0.00039375i
0.0030699+4.394e-05i,0.0032354-0.0014711i,0.0031284-0.0038899i,0.0010987-0.0039961i,-0.0020037-0.0032747i,-0.0036025-0.0018245i,-0.0032243-0.00021092i,-0.0013235-0.00014184i,0.000576-0.00077684i,0.00055049-0.001324i,-0.00038123-0.0020797i,-0.00030971-0.00132i,0.0011563+0.0011084i,0.0015978+0.0026881i,0.00092309+0.0029069i,0.00086192+0.0020115i,0.0015693+0.0003169i,0.0017085-0.00052988i,0.00071264-0.00040657i,-0.0006306-0.00016217i,-0.0011365+0.0010623i,-0.0010052+0.0012151i,-0.00019451+0.00039498i
0.00025731+0.0064551i,0.0023026+0.0056743i,0.0031983+0.0038011i,0.0018904+0.00074689i,-0.00080123-0.0019558i,-0.0036898-0.0022609i,-0.0041809+0.00012443i,-0.002035+0.0021678i,0.00084358+0.0011351i,0.0018126-0.0014337i,0.00071385-0.0030755i,-0.00021914-0.0030966i,-0.001681-0.002684i,-0.0019948-0.0029286i,-0.00095693-0.0032616i,-0.0001059-0.002813i,0.00057876-0.0019575i,0.00041039-0.0018625i,-0.00088607-0.0014286i,-0.00051183-0.00022589i,0.00095924+0.00028864i,0.001478+9.0558e-05i,0.00087427+3.0276e-05i
6.951e-05+0.00038465i,-0.001986+0.00068766i,-0.0019346+0.0014078i,0.00051969+0.0010611i,0.00098233-0.0014534i,-0.0014168-0.0033811i,-0.0023106-0.002908i,-0.0016727-0.0010262i,-0.0010739+0.0005053i,-2.3395e-05+0.00047197i,0.0016557+0.0010424i,0.0033803+0.0025663i,0.0033792+0.0043494i,0.0015086+0.0058591i,0.00012865+0.0055044i,-0.00039526+0.003692i,-0.00093766+0.001901i,-0.00092502+0.0017005i,-0.00017061+0.0010909i,-5.632e-05+0.00047044i,7.5e-05+0.00011196i,0.0010278-0.00029596i,0.0010826+0.00055917i
-0.0035962+0.0020466i,-0.0025196+0.0022407i,-0.0017195+0.0011912i,-0.0012376-0.00037053i,-0.00078449-0.0010621i,-0.001384-0.0021274i,-0.0023371-0.0033588i,-0.0024507-0.0022208i,-0.0013145-0.00069638i,-0.00027484-0.00052021i,0.00037144-7.8196e-05i,0.00055029-0.00051198i,0.00061284-0.0022713i,0.00069523-0.0029954i,0.0011619-0.0024004i,0.0015551-0.00076044i,0.001017-0.00058093i,0.00053258-0.00060422i,-0.00049275-0.00016605i,-0.0013784+5.6448e-05i,-0.00079344+7.9967e-05i,0.00024182-0.00036552i,3.6132e-05-1.3409e-05i
0.002616+0.00018577i,0.0035879+0.0011063i,0.0032274+0.0019762i,0.0010649+0.0023294i,-0.0012136+0.0023196i,-0.00090992+0.0014328i,0.00042706+0.00022885i,0.00080211+0.00054612i,0.0014265+0.0015662i,0.0013838+0.0022773i,0.00026169+0.0026833i,-0.001526+0.0030993i,-0.0021422+0.00407i,-0.0023238+0.0038882i,-0.0024609+0.0021789i,-0.0012906+0.00023888i,-0.00062856-0.00094465i,-0.00054627-0.00065026i,-0.00073353-0.00026064i,-0.00099281-0.0010841i,-0.00085359-0.0020997i,-0.0010267-0.0027716i,-0.00031392-0.0017903i
-0.0025568+0.0055136i,-0.0022984+0.0051714i,-0.00061568+0.0029821i,-9.126e-05+0.00062357i,-0.0017838-0.0006053i,-0.0044263-0.00055391i,-0.004305+0.0010953i,-0.0015437+0.0029721i,-1.7799e-05+0.0031299i,-0.00046049+0.0014571i,-0.00047501-0.00032349i,0.00011477-0.0024421i,0.00097026-0.0031946i,0.0015164-0.0028793i,0.0021834-0.0020232i,0.0020997-0.00051728i,0.0014623+0.00055306i,0.001515+0.00020493i,0.00078866+7.5696e-05i,-8.7873e-05+0.0013785i,-0.0010347+0.0015372i,-0.0015321+0.0015428i,-0.0014794+0.0018192i
0.00056431+0.00058955i,-0.001563+0.0015957i,-0.0015094+0.0019664i,-0.00065908-8.9648e-06i,-0.00012526-0.0013933i,-0.0018186-0.0014846i,-0.0038303-0.00053323i,-0.0044796+2.8405e-05i,-0.0040595-0.0010744i,-0.0028017-0.0018248i,-0.0015406-0.00078856i,-0.0010158+0.00082867i,-0.0017546+0.0019838i,-0.0024551+0.0025532i,-0.0024188+0.0019936i,-0.00085681+7.344e-05i,0.00045585-0.0019208i,0.00019605-0.00085099i,-0.00038876+0.00085065i,0.0002941+0.0010327i,0.0012842+0.0013608i,0.00093634+0.0017616i,0.00045243+0.0022976i
-0.0036163+0.00012139i,-0.00078659+0.00081773i,0.0016393-0.00071136i,0.001421-0.002041i,-0.0008057-0.0027456i,-0.0035621-0.0045611i,-0.0048923-0.0050918i,-0.0037652-0.0040514i,-0.0016366-0.0028624i,0.00047378-0.0025011i,0.0031978-0.0022714i,0.0045062-0.0012175i,0.0036284-0.00082089i,0.0031257-0.00047264i,0.0029238-0.00035709i,0.0012525+0.00014112i,-8.2368e-05+0.0012195i,-1.4449e-05+0.00086352i,0.00015797-0.00031727i,0.00013298-0.00059248i,0.0002479+0.00011558i,0.00018981+0.00044786i,-0.00037637+0.0002144i
0.0028429+0.0017323i,0.0032523+0.0041317i,0.0022693+0.0049252i,0.00076535+0.0045371i,6.1804e-05+0.0035243i,-5.416e-05+0.00089978i,0.0011293-0.00077295i,0.0030332-0.0001247i,0.0035202+0.00074699i,0.0022134+0.0014927i,-1.4408e-05+0.0023741i,-0.002101+0.0023399i,-0.0028301+0.0016107i,-0.0026488+0.00067038i,-0.0017207-4.2697e-05i,-0.00014062+0.00049907i,0.00067517-0.00015902i,-0.0001351-0.0017916i,-0.00085408-0.0017258i,0.00041005-0.0010687i,0.0018456-0.00085013i,0.0026853-8.6317e-05i,0.0023876+0.00057738i
-0.005152+0.0011698i,-0.0046566+0.00045206i,-0.0028305+0.00018299i,6.0337e-05-0.00022848i,0.0003459-0.00053564i,-0.00080184+0.00050097i,-0.0001992+0.0014095i,0.00085358+0.0026601i,0.00061354+0.0035752i,-0.00012517+0.0020694i,0.0004217+7.7078e-05i,0.001824-0.00046547i,0.0028205-0.00063719i,0.0034409-0.00051909i,0.0030446+0.00097764i,0.0012861+0.00053539i,-0.00053157-0.00057921i,-0.00044887-0.0004273i,-3.7672e-05-0.00020751i,-0.0008614-0.0004699i,-0.00099466-0.0011692i,-0.00082788-0.0013739i,-0.0008169-0.0016789i
0.00070028+0.00108i,-0.00024818+0.0022269i,-0.00076624+0.00090966i,-0.0017047-0.00068219i,-0.0031735+0.00021566i,-0.0048728+0.0019083i,-0.0068323+0.0029609i,-0.0066563+0.0027994i,-0.0050487+0.001961i,-0.0042968+0.00073911i,-0.0046367+0.00032622i,-0.004124+9.8358e-05i,-0.0027195-0.00011731i,-0.0021746-0.00050583i,-0.0011232-0.00063483i,0.00084773-9.4518e-06i,0.0012881+0.00083704i,0.00066482+0.00041355i,0.00016566-0.00045938i,0.00032018+3.5303e-05i,0.00027778+0.00082999i,-0.000933+0.0018222i,-0.0020785+0.0014638i
-0.0029657+0.00587i,0.00035527+0.005697i,0.0029883+0.0052479i,0.0026097+0.0013391i,0.00024293-0.0022835i,-0.0031503-0.003247i,-0.005529-0.0029903i,-0.0049022-0.0026338i,-0.0030439-0.002326i,-0.00059803-0.0020809i,0.0025871-0.0019791i,0.0044129-0.0018479i,0.0043664-0.0003767i,0.0033998+0.0014431i,0.0029702+0.0013185i,0.0014759+0.00011195i,0.00015584-0.0013874i,0.00049783-0.0018607i,0.0010279-0.00094738i,0.00033422+0.00024628i,-0.00047505+0.00056011i,0.00015383+0.0002573i,0.0011018+0.0007956i
0.00082416+0.00094352i,-0.00010502+0.0016655i,-0.00057077+0.00090815i,-0.0020952-0.00072971i,-0.0038472-0.0031655i,-0.0034821-0.00427i,-0.0013001-0.0044991i,0.0010265-0.0039056i,0.0017652-0.0021936i,0.00063279-0.00073189i,-0.00041895-0.00055944i,-0.0011384-0.00082892i,-0.0010912-0.00067218i,-0.00093067-0.00050133i,-0.0012681-0.00018204i,-0.0006263+0.00044704i,0.00070767+0.00098241i,0.00070699+0.00047184i,-0.00037545-0.00038426i,-0.00068385-0.00032683i,-0.00079857+0.0011093i,-0.000752+0.0026983i,-0.00030483+0.0028753i
-0.0004173-0.0023837i,-0.0010943-0.0025647i,-0.0013287-0.0024256i,0.00047775+6.8082e-05i,0.0017049+0.0021506i,0.00097293+0.0031823i,0.00079512+0.0036629i,0.0018705+0.002991i,0.0023192+0.0023743i,0.0025901+0.0028203i,0.0028699+0.0029905i,0.0025356+0.0029731i,0.00161+0.0025023i,0.00086633+0.0030501i,0.0014261+0.0037785i,0.0018241+0.0025499i,0.00055231+0.00075169i,-0.00041257+0.00045531i,-0.00020029+0.00036072i,0.00060512+7.445e-05i,0.0014184-0.00052968i,0.0014522-0.00069064i,0.0017303-3.2916e-05i
0.00074486+0.00022313i,0.00066807+0.0014621i,0.00094749+0.0015807i,0.001199+0.00091465i,0.00037079-9.1073e-06i,-0.0013939+0.0010678i,-0.0027248+0.002339i,-0.0023224+0.0026707i,-0.001761+0.001909i,-0.0022711+0.00051632i,-0.0033927-0.00011569i,-0.0040297-0.00059306i,-0.0026782-0.001028i,-0.00023555-0.0011879i,0.00050482-0.0011307i,-0.00051893-0.00031499i,-0.0010478+0.00041704i,-0.00028589-6.4723e-05i,1.5092e-05-0.00051961i,-8.6343e-05-0.00017915i,0.00029075+0.00037741i,0.00016278+0.00023541i,0.00039271-0.00071706i
-0.0039873+0.0040911i,-0.0033103+0.0061562i,-0.0022433+0.0063583i,-0.0013857+0.0040208i,-0.0028795+0.00071094i,-0.0056506-0.0011814i,-0.0062922-0.0020121i,-0.0044439-0.0014493i,-0.0021492-0.00046155i,-0.0004941-0.00024462i,0.0013659-0.00019556i,0.0025406+0.0006476i,0.0020917+0.0016548i,0.00096653+0.0016377i,-0.00024811+0.0013719i,-0.00036195+0.00074313i,0.00061651-0.00037366i,0.001101-0.0011115i,0.00083963-0.00064709i,0.00013617-0.00052296i,-1.2208e-05-0.0011057i,0.00078061-0.0013442i,0.001067-0.00068542i
-0.0018356-0.00082113i,-0.0012749+0.00021683i,-0.00084399+0.00049454i,-0.00092182+0.00061554i,-0.0020432+0.0001951i,-0.0034017-0.0012169i,-0.0034423-0.0019945i,-0.0019917-0.00097061i,-0.00068844-0.00018524i,-0.00090103-0.00073081i,-0.0017579-0.001108i,-0.0013374-0.0026665i,-0.00043243-0.0026929i,0.0011594-0.0011991i,0.0024877-0.00068297i,0.0015963-0.0010754i,-0.00021196-0.00053236i,-0.00045775+0.00031485i,-0.00035774-7.9767e-05i,-0.0009926-0.00014925i,-0.0012222+0.00016707i,-0.0017064+0.00020781i,-0.0015303+0.00017117i
0.0022441+0.00048146i,0.0029452-0.0018542i,0.0015615-0.0023302i,-0.00029006-0.00095569i,-0.001058-0.00040551i,-0.002145-0.00059167i,-0.0020629+0.00022659i,-0.00061697+0.0010429i,-0.00095227+0.0006337i,-0.0011255+0.00077075i,0.00062839+0.001804i,0.0025193+0.002169i,0.0015735+0.002246i,-0.0009517+0.0016668i,-0.001691+0.00076248i,-0.00062168+0.0010825i,0.00070678+0.0011976i,0.00058299+0.00019878i,-0.00018019-0.00072141i,0.00029752-0.00078665i,0.00055164+0.00027727i,0.00012629+0.0010129i,-0.00032981+0.0011976i
-0.00097952-0.00031529i,-0.001417+0.00062861i,-0.00023239+0.0005149i,-0.00023749-0.001362i,-0.0012094-0.003216i,-0.0014008-0.0020395i,-0.00086515+2.9664e-05i,-0.00012342-0.00015152i,0.00022433-0.0012954i,-0.00040134-0.0010485i,-0.0010947-0.00053273i,-0.0009856-0.001535i,0.00030326-0.0018472i,0.0017835+6.4455e-05i,0.0024734+0.0016714i,0.0015273+0.001523i,0.00041841+0.00093594i,0.00027975+0.0006833i,0.00033995+0.00025685i,-0.00031245+0.00025816i,-0.00046035+0.00040399i,-0.00012877+0.0010437i,-0.00019744+0.0014913i
-0.00064758+0.00088208i,-0.0018783+0.00087959i,-0.0028206+0.0011031i,-0.0025737+0.0011659i,-0.0025312+0.0019152i,-0.0033897+0.001472i,-0.0030285+0.00027299i,-0.0020611+0.00044643i,-0.00065125+0.0001778i,0.00022434+0.00017187i,0.00075493+0.0014576i,0.0013862+0.0029538i,0.0012934+0.0029954i,0.00063957+0.0012487i,-6.8069e-05-0.00051529i,-0.00057253-0.00074092i,-0.00056713+0.00020355i,-0.00026872+0.00011399i,0.00019147-0.00033382i,0.00083747-0.0001494i,0.00099818+0.00062516i,0.0010784+0.0010291i,0.0012292+0.00054067i
