-0.0010435+0.0026417i,-0.00064946+0.0012521i,-0.0021907+0.0019144i,-0.002122+0.0016073i,-0.00014919+0.0015293i,0.0012056+0.00075438i,0.00084671+4.7575e-05i,0.0002209-2.2938e-05i,-8.4916e-05-0.0005559i,-0.0002287-0.0011842i,0.00037439-0.0016103i,0.00039368-0.0013556i,5.8947e-05-0.00050619i,0.0007325-0.00024758i,0.0011601+6.7524e-05i,0.0001657+0.00073761i,-0.00044511+0.0010972i,-0.00014525+0.00091184i,0.00010655+0.00022604i,-0.00015942+3.2021e-05i,-0.00086034+0.0010822i,-0.00068643+0.0012642i,2.7951e-05+0.00013115i
0.0015312+0.0041542i,0.0023769+0.0036178i,0.0036584+0.0014086i,0.0035551+0.00010944i,0.0022972-0.00017693i,0.0013377-0.0010402i,0.00098065-0.00073212i,0.00040507-0.00019999i,0.00047821-0.00023646i,0.00092525-0.00019852i,0.00041018-0.00041609i,0.00054379-0.0001637i,0.00016928-0.00030804i,-0.00034133-0.00063721i,-0.00052405-0.00032233i,-0.00069096+0.00040676i,-0.00076196+0.00073007i,-0.00056383+0.00062175i,-0.0009608+0.0004406i,-0.0013323+0.00013584i,-0.0009245-0.00024072i,-0.0001223-7.3674e-05i,0.00034542-0.00017021i
0.00038616+4.6294e-05i,0.00054361+0.00090746i,0.0014926+0.0014921i,0.0015091+0.00087816i,0.0012776+3.0269e-05i,0.0019645+0.00022196i,0.0018306+0.00046227i,0.00047916+0.00031067i,-9.1276e-05-0.00014153i,-0.00037675-0.00050699i,-0.00099667-0.00049779i,-0.00069035-0.00015106i,-0.00021819-9.6716e-05i,5.1585e-05-0.00041775i,-0.00013681+3.1869e-05i,-0.00074072+0.00049018i,-0.0006825+0.0010323i,-0.00030467+0.0010714i,-0.00079635+0.00024812i,-0.00080195-0.00068132i,-0.00030672-0.0011876i,0.00014926-0.00045567i,0.0001828+0.00013381i
0.001641+0.00072166i,0.0014096-0.00050873i,0.0018306-0.0010776i,0.0021871-0.00060254i,0.0017027+0.00063482i,0.0011413+0.0011575i,0.0012965+0.00023594i,0.0010834+7.9521e-05i,0.00099647-0.00021406i,0.00079331-0.00080745i,0.00036448-0.00044151i,-0.00075265+0.00052289i,-0.0012407+0.0007365i,-0.0015138+4.2523e-07i,-0.0017886-0.0001958i,-0.00051587+0.00055901i,-0.00051562+0.0012387i,-0.00077942+0.00066648i,0.00051447+0.0011115i,0.00094531+0.0014353i,0.00047341+0.00026145i,0.00055472-0.00055614i,0.00032791-0.00048447i
0.002299+0.00026896i,0.0015741+0.00068518i,0.00025312+0.00050784i,0.00028547+0.00078534i,0.0011787+0.00058727i,0.0019107-4.9778e-05i,0.0015694-0.0001568i,0.00074659-0.00016131i,0.00010751-0.00046646i,-0.0010562-0.00061648i,-0.00088238-0.00068746i,-0.00018612-9.6412e-05i,0.0001569+0.00050729i,-0.00021378+0.00051325i,-0.00082941+0.00083723i,-0.00059028+0.00063207i,0.00012475+0.00051827i,0.00033474+0.00074958i,-0.00010692-6.6195e-06i,-0.00016153-0.00059277i,0.00067299-9.1224e-05i,0.00069386+0.00038704i,0.00010194+0.00011118i
0.0022548+0.0019614i,0.0026306+0.00069893i,0.0023129-0.00052259i,0.0017867+0.00022376i,0.0013256+0.00089152i,0.0011873+0.00099288i,0.0011995+0.00040548i,0.0010987-0.00085603i,0.00011266-0.00063415i,-0.0001106+9.1766e-05i,0.00048198+0.00024262i,0.00040904+0.00033251i,0.00019796+0.0005421i,0.0003366+0.0010747i,0.00044993+0.00086878i,0.00032917+0.00051208i,0.00032321-0.00012042i,-4.5113e-05-0.00063997i,-0.00047326-0.0008165i,-0.00036456-0.00022103i,-0.00022672+0.00078726i,-0.00019086+0.00061092i,-0.00079206+3.9385e-05i
-0.001288+0.0011594i,-0.001199+0.0018022i,-0.00053117+0.0015023i,-9.6501e-05+0.00017896i,0.00033303-0.00084326i,0.0011351-0.0012447i,0.0018256-0.00090656i,0.0012357+0.00039358i,-0.00018941+0.00021067i,-0.00085996-0.00084435i,-0.0010273-0.001085i,-0.0005533-0.00097309i,-0.00013954-0.00078083i,-0.00048978-0.00014942i,-0.0005708+0.00037227i,-0.00029325+0.00031065i,-4.4231e-06+5.1107e-05i,0.00046159-0.00083806i,0.0011206-0.0005308i,0.0011428+0.00012723i,0.00054943+0.00029484i,0.00046643-0.000135i,1.8834e-05-0.00022608i
0.001682+0.00036278i,0.0016245-0.0011686i,0.00049446-3.9742e-05i,0.00029082+0.0013792i,0.0010342+0.0012694i,0.0019972+0.00053243i,0.0014387+0.00062889i,0.00031499-4.1772e-05i,0.0001505-3.4515e-05i,0.00036346+0.00037417i,0.00079408-5.1318e-05i,0.00028522-0.00025704i,-0.000419+0.00018336i,-7.8239e-05+0.00055425i,0.00042226+0.00050182i,-9.648e-05-6.4315e-05i,-0.00013776-0.00069815i,0.0010777-0.00053274i,0.0010118-0.00013659i,-3.9915e-05+5.4504e-05i,-0.0003173-0.00012343i,-0.00039682-4.8637e-05i,-0.00018597+0.00049971i
0.0022211+0.0014934i,0.0019416+0.0014838i,0.0016618+0.00034673i,0.0016418-0.0014453i,0.001574-0.0016284i,0.0011601-0.00057163i,0.00066738-0.00010706i,0.00017047+0.00016427i,-0.00021313+1.5005e-05i,0.00047704-0.00034896i,0.0014262-0.00043308i,0.0010329+3.6633e-05i,0.00058779+0.00080573i,-0.00033839+0.00066044i,-0.0011132+0.00080465i,-0.00079888+0.0009379i,-0.00013764+0.0002324i,0.00097578+9.4025e-05i,0.0012333+0.00090438i,0.00065195+0.001047i,-3.7718e-05+0.00041032i,-0.00019892-0.00020541i,-1.1535e-05-0.00026287i
-8.7402e-05+0.0016833i,0.0014407+0.0023007i,0.0015448+0.0024653i,0.0014419+0.0012227i,0.0019749+0.00080148i,0.0019736+0.0011245i,0.0011868+0.00064583i,0.00060404-0.00031747i,0.00026281-0.0012781i,-0.00035818-0.0014941i,-0.00071288-0.0011686i,-0.00069012-0.00076275i,-0.00045725-0.0013366i,-0.00033052-0.001151i,-0.00032074-0.00042229i,-0.00053896+0.00011732i,-0.00079993+0.00123i,-0.00037144+0.0004022i,0.00019013-0.00086029i,0.00011629-0.00085462i,8.6577e-05-0.0008454i,-0.0002375-0.00091765i,-0.0013992-0.00055672i
0.0017319-0.00031539i,0.00097078-0.00020803i,0.00023381-0.00020802i,0.00072902-0.00032931i,0.0018668-0.00065618i,0.0017796-0.00079157i,0.00075148-0.00067395i,0.00049619-0.00072093i,0.00072492-0.00027254i,1.004e-05+0.00021258i,-0.0005197+0.00041681i,-0.00069269-0.00031712i,-0.00071462-0.00031564i,-0.00017035+0.00068122i,-0.00037105+0.00033585i,-0.00011659-0.00031302i,0.00046362-0.00025549i,0.00024082+0.0003213i,-0.00036934+0.00030103i,-0.00062688-0.00019237i,-0.00028378-0.00024195i,0.00017955-0.00012466i,0.0001658+0.00038383i
-0.0013212+0.0018797i,-0.00030774+0.0024029i,1.1988e-05+0.0034766i,0.00042373+0.0035069i,0.00069136+0.0024399i,0.001275+0.0013452i,0.0021696-3.3905e-05i,0.0016435-0.00062158i,0.00071642-0.00081959i,0.00050066-0.0010509i,0.00042299-0.00086786i,9.9706e-05-0.00037868i,-0.00010312-0.00042346i,0.00011824-0.00045749i,8.7643e-05-0.00011118i,0.00011085+0.00013803i,-0.00024939-0.00038084i,-0.00049181-0.00058686i,-5.8487e-05-0.00022059i,0.00011928+0.00028075i,8.8399e-05+0.00097792i,2.7908e-05+0.0014188i,2.1373e-05+0.00099824i
0.0011368-0.0008612i,0.00077301-0.00092686i,0.0010258-0.0011836i,0.0010454-0.0011224i,0.00087764-0.00067128i,0.0011914-2.0298e-05i,0.0013932-5.1365e-06i,0.00076129-6.4351e-05i,4.4938e-05-0.00037937i,-0.00014521-0.00037462i,0.0003307+2.1101e-05i,0.00011671-0.00024931i,-0.00066776-0.00016691i,-0.00056528+0.00044416i,-0.00052416+0.00040106i,-0.0011562+0.00061173i,-0.0010459+0.00069576i,-0.00082218+0.00023196i,-0.00071927-0.0001767i,0.00022319-0.0001268i,0.00058268-0.00030242i,0.00034144-0.00063709i,0.00064814-0.00037332i
0.0031696+0.0015439i,0.0029097+0.0021867i,0.0025129+0.0011463i,0.0019067+7.3992e-05i,0.001326+0.00033934i,0.001229+0.0004695i,0.0013136-0.00029762i,0.0011378-0.00040194i,0.0015113+7.5614e-05i,0.0013158-0.00030099i,-1.5853e-05-0.00062591i,-0.00062897+0.00037587i,-0.00041898+0.0009783i,-0.00080996+0.00043518i,-0.00088616+0.0001586i,-0.0011857+0.00014542i,-0.00093354-0.00067865i,9.1376e-05-0.0012273i,0.00089742-0.00074681i,0.00094425-0.00029482i,0.00044308+3.7511e-05i,0.0005417+0.00011666i,0.00039847+0.00050844i
-0.0011807+0.0014539i,-0.00084653+0.001476i,-0.00012169+0.00052977i,0.00062497+0.00075766i,0.00177+0.00053616i,0.0023564-0.00013053i,0.0014341-0.00054279i,0.0011766-0.0013848i,0.00099301-0.0013232i,0.00043334-0.0004562i,-0.00026687-0.0003922i,-0.00070552-0.00088185i,-0.00058886-0.00042038i,-0.00033687+0.00031039i,0.00030141+0.00085583i,0.00074349+0.00050398i,0.00062211+0.00072191i,-0.00043872+0.00066323i,-0.00090713+5.8934e-05i,-0.00010495+1.5685e-05i,0.00022374-7.8823e-05i,-2.6568e-05-4.4016e-05i,-0.00012307-0.00023039i
-0.00021856+0.0028947i,0.00020558+0.0036683i,0.0017423+0.0038811i,0.0022345+0.002512i,0.0022751+0.00085317i,0.0020499+0.0003037i,0.00099222+0.00044659i,7.3556e-05-0.00038448i,0.00017386-0.00086965i,0.00065322-0.00078884i,0.00079871-0.00015717i,0.00029149+0.00048868i,-0.00029424-0.00034467i,-0.00092289-0.0017762i,-0.0014082-0.0022093i,-0.00091861-0.0013114i,-0.00033166-0.00062239i,0.00011349-0.00012238i,0.00046329+0.00017378i,0.00013444-1.2331e-05i,-5.3588e-05+0.00024063i,4.0399e-05+0.00090821i,0.00010013+0.0008476i
0.0013778+0.00091991i,0.002375+0.0001251i,0.0022102-0.00048173i,0.00085623-0.000613i,0.001302-0.00084742i,0.0021922-0.0010888i,0.0018068-0.00075008i,0.0010596-0.00029241i,0.00027444-0.00037675i,6.9383e-05-0.00062729i,-0.00013385-0.00060071i,-0.0010502+0.00028754i,-0.0015584+0.00059668i,-0.0012543-0.00048671i,-0.0009282-0.00057326i,-0.00011903+0.00052489i,0.0012091+0.0009983i,0.0011103+0.0016747i,0.0001743+0.0014276i,-0.00037885+0.00018706i,-0.00040537+0.00029008i,-0.00026205+0.00049014i,-0.0002177+6.9329e-06i
0.0011377+5.0395e-05i,0.0014556-0.00017368i,-0.00013136-0.00074864i,0.0005729-0.0013523i,0.002186-0.00056468i,0.0022358+0.00052646i,0.001791+0.00026241i,0.0011515-0.00015495i,0.00021033-0.00015133i,1.9963e-05-0.00044547i,-0.00035822-0.00035909i,-0.00053374+0.00046491i,0.00030098+0.0013802i,0.00083047+0.0014212i,0.00096615+0.0011049i,0.00084711+0.00078915i,1.9743e-05+0.00060533i,-0.00076439+0.00069082i,-0.00078393+0.00065011i,-0.00038932+0.00076544i,-0.00087232+0.00076557i,-0.00086787+0.00016029i,-0.00028679-5.1949e-05i
0.0028957+0.0027555i,0.0036664+0.0014475i,0.0036126+0.00069818i,0.0028714+0.00042923i,0.0015126-0.00026188i,0.00098263-5.4285e-05i,0.0017915+0.00048281i,0.00056413+0.00030275i,-0.0016214-0.0012446i,-0.0011364-0.0017677i,-0.00034345-0.00067383i,-0.00057231+0.00030122i,-0.00013799+0.00033743i,-0.00059732-8.9671e-05i,-0.0010943-5.3633e-05i,-0.00052282+0.0004144i,-0.00061944+0.00094755i,-0.00041349+0.0016795i,-0.00010056+0.0014925i,-5.5457e-05+0.0006978i,-6.4736e-05-0.00033596i,-0.00015007-0.00088878i,-0.00045062-0.00015332i
-3.1564e-06+0.00066864i,-0.00021778-0.00016302i,0.00054151-0.00064989i,0.001144-0.00067008i,0.00078395-0.00073762i,0.0016245-0.00089383i,0.0023767-0.00057966i,0.0012427-2.1055e-05i,0.00026623+0.00043323i,-0.00033765+0.00064504i,-0.0008602+0.00047427i,-0.0013184-3.1402e-05i,-0.0011715+3.9474e-05i,-0.00010175+0.00065014i,0.00055211+0.00093807i,0.00054036+8.0623e-05i,0.00030568-0.00091838i,-5.9241e-05-0.00066938i,-0.0002046-0.00054759i,-4.0185e-05-0.00065604i,5.581e-05-0.0008563i,0.00036412-0.00089209i,0.00086326+0.0004338i
0.0021808+0.00027707i,0.0019789+0.0010968i,0.00085012+0.00062732i,0.00080438+0.0010792i,0.0015616+0.0009892i,0.0020056+0.00013874i,0.0015841+0.0003047i,0.0015595+0.00033706i,0.0013437-0.00024051i,0.00041896-8.2321e-05i,0.00029511+0.00016361i,0.00028813+0.0001892i,-0.0001775+0.00036152i,-0.00017841+0.00015974i,-0.00037053+0.00022305i,-0.00063275+0.00087837i,-0.00012873+0.00094391i,-0.0002261+0.00092466i,-0.00060471+0.00027937i,-0.00033874-0.00079242i,-0.00059008-0.000512i,-0.00041861+9.8444e-05i,-0.00015599-0.00038343i
0.0019338+0.00061312i,0.0015343-0.0007638i,0.0008474-0.002252i,-0.00010317-0.0019608i,0.0004088-0.00032929i,0.00098613+0.00043683i,0.00069965-0.00024761i,0.00081948-0.0010495i,0.00017983-0.0012805i,-0.00067757-0.0013471i,-0.00059428-0.0018724i,-0.00057209-0.0010737i,-0.00030151+0.00087324i,-0.00030255+0.002373i,-0.00070968+0.0021846i,-0.00097177+0.0010273i,-0.00084275-0.00016363i,-0.00088462-0.001065i,-0.00090502-0.00054176i,-0.0006671-0.00026618i,-0.00048928-0.00052694i,-0.00072233-7.7029e-05i,-0.00049345+0.00044787i
-0.0011113+0.0011987i,0.00043325+0.0017154i,0.00085598+0.0030793i,0.0016009+0.0031273i,0.0032517+0.0019075i,0.0035249-4.8081e-05i,0.0029793-0.00043899i,0.0014528+0.00051569i,0.00032878-0.00048841i,0.00036514-0.0012476i,0.00017392-0.00049505i,0.00062528-0.00059491i,0.00019126-0.00038738i,-0.0010828-1.5206e-05i,-0.00061263-0.00058656i,4.2414e-05-0.00088447i,-0.00041807-0.00095507i,-2.8663e-05-0.0008044i,0.00058452-0.00099707i,8.7913e-05-0.00073931i,-0.00027885+5.7905e-05i,0.0006168+0.0010876i,0.00061213+0.0008984i
0.0015829+0.0026961i,0.0026684+0.0025664i,0.0023524+0.0020342i,0.0011121+0.00082009i,0.0013718+0.00050878i,0.001742+0.0006049i,0.00098159+0.00074979i,0.00017492+3.509e-05i,-0.00046993-0.00016775i,-0.00047259+0.00021508i,0.00079447+0.00034468i,0.00076761+0.00040773i,-0.00049577+0.00021205i,-0.0006202-5.5492e-06i,-0.00013784+2.9085e-05i,4.0925e-05-0.00014271i,-5.3712e-05-0.00058605i,-8.833e-05-0.00066664i,-0.00051167-0.00083079i,-0.00048911-0.00041071i,-0.00025861-0.000219i,-0.00060305-0.00062644i,-0.0011255-0.00035824i
-0.00064141+0.0025243i,0.00079255+0.0028648i,0.0021335+0.0014375i,0.0024586+0.00016167i,0.0027613-5.6298e-05i,0.0028651-0.00018076i,0.0023222+0.00019013i,0.0010342-0.00019185i,0.00014634-0.00057168i,-0.00018815-0.0011443i,-0.00014836-0.0015339i,-0.00024734-0.00059937i,-0.00050845-0.00013293i,-0.00024729-0.0005776i,-0.00043141-0.00061349i,-0.00049294-0.00044702i,0.00060042-0.00017881i,0.00070716+9.564e-05i,-2.6812e-05+0.00012946i,0.00014545+0.00029549i,0.00063777+0.00090514i,0.00038034+0.00055491i,-3.5886e-05-0.00016606i
0.0025782+0.0009053i,0.0020782+0.00038979i,0.0018216+0.0005806i,0.0015593+0.00078843i,0.0017264+0.00021119i,0.0031375-0.00028949i,0.0031739-0.00091009i,0.0010371-0.0014301i,6.5598e-05-0.00013374i,-0.00067717+6.4871e-05i,-0.0016042-0.00034257i,-0.0013094-0.00072904i,-0.00080256-0.0012193i,-0.00052202-0.00040197i,-0.00043137-0.00014817i,0.00010864-0.00038808i,0.0009649+0.0005042i,0.00067867+0.00093873i,0.00027926+0.00026577i,0.00031871-0.00029185i,6.3945e-06-0.00036772i,-0.00084893+0.00039536i,-0.0010251+0.001013i
0.0015117+0.0040709i,0.0017014+0.0034604i,0.001784+0.0011788i,0.0017003-0.00047729i,0.0015963-0.00032285i,0.0016381-0.00034984i,0.0021448-0.00047004i,0.0018465+0.0001348i,0.00039665+0.00035842i,0.00014808-1.3312e-05i,0.00027812-0.00066052i,-0.0001512-0.00082662i,-0.00069709-0.00038854i,-0.00048799-0.00017389i,2.8351e-05-0.00020499i,-0.00030951+2.3442e-05i,-0.00078153+0.00049267i,-0.00033849+0.0013666i,0.00020866+0.0017542i,0.00021165+0.00030986i,3.0743e-05-0.00056179i,-0.0010447-0.00096123i,-0.0012394-0.00086203i
0.0014064+0.0022192i,0.0022177+0.0023432i,0.0029255+0.001655i,0.0032085-8.0228e-05i,0.0023621-0.00083325i,0.0018972-0.0010141i,0.0022217-0.00071927i,0.0015441-0.00028342i,0.0011709-7.2308e-05i,0.0011242-0.00082766i,0.0004068-0.00122i,2.3216e-05-0.00053551i,-1.2615e-05-0.00033893i,-0.00064774-0.00035822i,-0.0011743+0.00040169i,-0.0011583+0.00099146i,-0.00095622+0.00097436i,-0.00072269+0.0004668i,-0.00058466-2.852e-05i,-0.00020911-0.00024202i,-0.00053353-0.00031296i,-0.0011847-5.9537e-05i,-0.0008284+0.00013266i
0.00018016+0.0024599i,0.0018872+0.0029789i,0.0020246+0.0023743i,0.00093323+0.0015706i,0.0013421+0.00057929i,0.0020932-0.00058342i,0.0015246-0.0012548i,0.00083804-0.00098374i,0.00060811+6.3945e-05i,0.00024251+0.00097069i,-0.00040881+0.00039035i,-0.0001497-0.00018632i,0.00045925-0.00032519i,6.1426e-05-0.0010793i,-0.00043821-0.00090911i,-0.00076118-0.00012223i,-0.00099679+0.00020282i,-0.0015267-1.3194e-06i,-0.0012397-6.919e-05i,-0.00071923-0.00010925i,-0.00031271-0.0001449i,-0.00036195+0.00028657i,9.7561e-05+0.00042577i
0.0018199+0.0026731i,0.0018008+0.0030266i,0.0021865+0.0019848i,0.0020143+0.0005325i,0.0014385+4.2206e-05i,0.0014224-0.0001561i,0.002016-0.00039789i,0.00099716+4.2709e-05i,-0.00024075+0.00040443i,-0.00068826-0.00011653i,-0.00053439-0.00015616i,-0.00046102-0.00013561i,-0.00041986+0.00048696i,-6.5796e-05+0.0013266i,-0.0012059+0.00086128i,-0.0017573-6.2493e-05i,-0.00090745-0.00054511i,3.4245e-05-0.00051535i,0.00064092-2.8145e-05i,0.00017616-0.00012757i,-0.00025555-0.00018687i,-8.7596e-05+0.00023182i,-0.00026943-2.9498e-05i
0.0021931+0.0018655i,0.0029901+0.0011466i,0.0029448+0.00080187i,0.0010938+0.00048514i,0.00032397-0.00030965i,0.0011644-8.5368e-05i,0.0011786-4.6879e-05i,0.00027384+0.0001968i,0.00039255+7.5879e-05i,0.001212-0.00019564i,0.0011442+0.00057359i,-0.00031259+0.00051153i,-0.0010051+0.00055309i,-0.00087088-3.6165e-05i,-0.00091659-0.000907i,-0.00069777-0.000753i,-0.00089978-0.0011662i,-0.0011156-0.0015546i,2.2924e-05-0.0013386i,0.00077565-0.00073363i,0.00011139+0.00046066i,-0.00053219+0.00084236i,-0.00073155+0.00058996i
-0.00047601+0.0014545i,-0.00076026+0.00145i,0.00025531+0.00082958i,0.0016409-0.00020599i,0.0021647-0.001116i,0.0026197-0.00097064i,0.0024422-0.00083625i,0.00096968-0.0012614i,-0.00031369-0.0023067i,-0.00032505-0.0021008i,-0.00034553-0.00053975i,-0.00070445-0.00024466i,-0.00077039-0.00065157i,-0.00046892-0.00061696i,1.9177e-05-0.00015881i,0.00040752+0.00037728i,0.00084117-0.00015492i,0.0013647-0.00070911i,0.0008272-0.00018476i,9.636e-05+0.00024308i,9.8241e-05+0.00099052i,6.2016e-05+0.0014021i,-0.00011985+0.00077166i
0.0016514+0.00041368i,0.0020097+0.0010735i,0.0010166+0.00094373i,0.00124+0.0011463i,0.0012634+0.0012803i,0.0010978+0.0014211i,0.00061471+0.00063594i,-0.00044835+3.8245e-05i,-0.00028521+0.00058473i,6.0284e-05+0.00080103i,-0.00017248+3.1142e-05i,-0.0002301-0.00014484i,-8.2846e-05-7.3029e-05i,-7.6071e-05+0.000323i,-0.00016135+0.00089743i,0.00024861+0.00097268i,0.00085289+8.7237e-05i,0.00095558-0.00053742i,0.0015654-0.00075818i,0.0012904-0.00034689i,-0.00016907+0.00018457i,-0.00045653+1.9384e-05i,-0.00013341-0.00015534i
0.00078931+0.0014996i,0.0010892+0.0018418i,0.00031421-9.9868e-05i,0.00027633-0.00096172i,0.0011294-0.00049488i,0.0022982-9.5475e-05i,0.0024603-0.00020064i,0.0016679-0.00043871i,0.0011958-7.9538e-05i,-0.0001316-0.00053033i,-0.00084338-0.00097554i,-0.00011565-0.00010429i,0.00064572+5.3491e-06i,0.00094869-0.00033722i,0.00084167-0.00030293i,0.001311-0.00012509i,0.0011713+0.00036803i,0.00066455+0.00078565i,0.00072167+0.0004928i,0.00074154-0.00035053i,-0.00020299-0.00036044i,-0.00046917+0.0001263i,-0.00051009+0.00013942i
-0.0013988+0.0033055i,-0.0011953+0.0038781i,0.00071339+0.0031668i,0.001578+0.0019686i,0.0019191+0.00016912i,0.0024196-0.00049166i,0.0017736-0.00097684i,0.00047403-0.0013447i,-0.00027084-0.0010559i,0.00022806-0.0010287i,0.00015617-0.00071034i,-0.000415+0.00013613i,-0.00012607-0.0005801i,0.00045725-0.00094528i,5.2618e-05+0.00013024i,-0.00048997+0.0007744i,-0.00030835+0.0012217i,-0.00046847+0.0014364i,-0.00028745+0.0011466i,0.00028228+0.00075655i,0.00057849-7.1131e-05i,6.7242e-05-0.00018839i,-0.00089052+0.00055294i
0.0014786+0.0023554i,0.0021968+0.001965i,0.0024659+0.0017294i,0.0020619+0.0011013i,0.0020808+0.00023328i,0.002097-0.00040299i,0.00097768-0.00069469i,-0.00017642-0.00077429i,-0.00027352-0.00034985i,9.0572e-06+0.00060812i,0.00051396+0.00055369i,0.00092327+0.0006988i,0.00044426+2.7342e-05i,-0.0004661-0.00080299i,-0.0010176-0.00045495i,-0.00081333-0.00085273i,-0.00079261-0.00065529i,-0.0013482+7.9092e-05i,-0.0013992+0.00030014i,-0.00097679-0.00026472i,-0.00040245-0.00024817i,2.2985e-05-0.0005541i,0.00014969-0.00086539i
0.0001876+0.002628i,0.00025854+0.0023882i,0.0011029+0.00055419i,0.0021575-0.00014707i,0.0020899+0.00092399i,0.0024806+0.0016308i,0.0022384+0.001421i,0.001292+0.0009823i,0.00092241+0.0012089i,0.00099887+0.00090313i,0.00068301+8.7389e-05i,0.00052367+0.00010839i,0.00060914+3.8023e-05i,0.001007-0.00057768i,0.00079635-0.00086261i,5.7533e-05-5.0636e-05i,-0.00074543+0.00037349i,-0.0017322+0.00022479i,-0.001541+0.00053944i,-0.00060039+0.00018842i,-9.6768e-05-0.0004125i,0.00035258-0.00027957i,0.00051285-7.5278e-05i
0.0020826+0.0010827i,0.0028255+0.0009656i,0.001468+0.00028807i,0.00032001+0.00026332i,0.0016271+0.00044203i,0.0031655-8.6944e-05i,0.0021637-0.00060127i,0.0010392-0.00074902i,0.0014121-0.00094657i,0.0014798-0.00078431i,0.00031903+0.00014758i,-0.00030475+0.00094992i,-0.00036833+0.0011815i,-0.00031966+0.0002767i,-0.00012093-0.00014619i,-0.00068327-0.00040504i,-0.0011948-0.00081722i,-0.0012089-0.00049226i,-0.00076319+0.00020448i,-0.00057706+9.0477e-05i,-0.00055453-0.00066784i,-0.00049091-0.00021352i,-0.00042567+0.00026593i
-7.5646e-05+0.0021508i,0.001235+0.0023979i,0.00096551+0.001133i,0.0010508+0.0009894i,0.0017824+0.0018016i,0.0031156+0.0016575i,0.003007+0.00035298i,0.00065529-0.00072685i,-0.000465-0.00068244i,0.00013301-0.0006245i,0.00071485-9.612e-05i,0.00076339+0.00044188i,0.00070554+0.00041956i,9.8689e-05+0.00064001i,0.00018087+7.3892e-05i,0.0007601-0.00050984i,0.00075213-0.00073827i,0.00083157-0.0011559i,0.00063279-0.0012071i,2.0704e-05-0.00072345i,-0.00017944-0.00036797i,-0.00068085-0.00018332i,-4.4002e-05+0.00048018i
0.0026778-0.0002703i,0.0020954-0.00032475i,0.0016272+0.00010274i,0.0012987+0.00043259i,0.00079513-0.00016949i,0.0016844-0.00092346i,0.0024995-0.00062639i,0.0023613+0.00018367i,0.0018534-0.0002743i,0.00051172-0.0010581i,-0.00072959-0.001301i,-0.0010456-0.00084936i,-0.0012856-0.00045883i,-0.0015828+0.00027833i,-0.0012863+0.00037982i,-0.00022146-0.00061758i,0.0005251-0.00076352i,0.00051864-0.0006667i,0.0010057+4.2459e-05i,0.00066239+0.00093818i,-0.00013423+0.00017466i,-0.00059064-0.001043i,-0.0003413-0.0010257i
0.00051649+0.0036759i,0.0026058+0.0030106i,0.0022467+0.0015957i,0.0016189+0.00099294i,0.0013327+0.0010044i,0.0012832+0.00050373i,0.0012568-0.00031848i,0.00050357-0.0010854i,0.00028847-0.0013178i,0.00086566-0.00078647i,0.00070621+0.00014996i,0.00031044+8.8713e-05i,0.00023097-0.0006884i,0.00018385-0.00041273i,0.0010866+7.0558e-05i,0.0011597+4.598e-05i,0.00060253+0.00059984i,0.00095831+0.00084705i,0.0012258+0.00028941i,0.00029646-0.00026504i,-0.00026573-0.00046981i,-0.00039963-0.00022184i,-0.00022663+0.00033151i
0.0022343-0.00010989i,0.00062905-0.00042932i,0.0011554-0.0013443i,0.00092623-0.0014019i,0.00031961-0.00017877i,0.00063857+0.0012447i,0.00083262+0.0014692i,0.00056773+0.00053172i,3.4939e-05-6.4189e-05i,-0.00064491-7.8906e-05i,-0.0011789-0.00024853i,-0.0010093-0.00028559i,-0.00049881+5.2187e-05i,-0.00017762+0.00065185i,0.00020079+0.00091855i,0.00061617+0.00065575i,0.0011235-2.176e-06i,0.0009567-1.0725e-05i,0.00016255-0.00026829i,0.00020349-0.00036057i,3.6561e-05-0.00030255i,-0.00091499-0.00076936i,-0.0015935-0.0011937i
0.00087421+0.0013599i,0.0016914+0.00059569i,0.0017155+0.00087175i,0.0012225+0.00092596i,0.0017633+0.00055469i,0.0026905+0.00010789i,0.0015535-3.8159e-05i,0.00032739+0.00024126i,-0.00030938+0.00024363i,1.1737e-05+6.255e-05i,4.7423e-05-0.00027758i,-2.5442e-06-0.00062428i,-0.0001169-0.00092432i,-0.00010934-0.0015079i,0.00073355-0.0015752i,0.00091542-0.00041072i,0.00097292+0.001153i,0.00062472+0.0017874i,-0.00011197+0.0015497i,-1.5077e-05+0.0010541i,-0.00015657+0.00075574i,0.00013016+0.00077475i,0.00034317-0.0001471i
0.0027726+0.00048853i,0.0026234+8.7762e-05i,0.0020159-0.00039263i,0.0011135-0.00034926i,0.0011728+0.00031511i,0.0015582+0.001119i,0.0016326+0.00023272i,0.0013643-0.0010661i,0.0011707-0.0014094i,0.0011661-0.0011848i,0.00071145-0.0011857i,0.00025172-0.00063845i,0.00098329+0.00028034i,0.0016173+0.00064052i,0.0014203+0.00017965i,0.0010899+0.00015195i,0.00055898+0.00064532i,0.00026131+0.0010498i,0.00023481+0.001148i,-0.00013369+0.00038642i,0.00013514-0.00033089i,-0.00023031+0.00046863i,-0.00039632+0.00042231i
