-0.0037329+0.00014124i,-0.0025951-3.0902e-05i,-0.003018+0.00064528i,-0.002763+0.0012532i,-0.0014229+0.0025366i,-0.00030908+0.0030649i,0.0003123+0.002401i,8.6407e-05+0.0019914i,8.586e-05+0.0019178i,0.00050848+0.0017059i,0.00046379+0.00076491i,0.00065507-0.00063442i,0.00094529-0.0010173i,3.4946e-05-0.00058862i,-0.00059826-0.0006678i,0.00041495-0.00030689i,0.00090893-0.00054793i,0.00086298-0.00081722i,0.0010905-0.00045807i,0.00066313-0.00014812i,0.00019531+0.00057092i,-0.00010605+0.001278i,-1.5053e-05+0.0012155i
0.00032019-0.00039675i,-9.4732e-05-0.00063994i,9.3891e-05-0.0010406i,-0.00068783-0.00066018i,-0.0016532-0.00024598i,-0.0022252-0.00036161i,-0.0022628-0.00037136i,-0.0013372-0.00019951i,-0.00080469-0.00078181i,-0.00069351-0.00050609i,-0.0008256+0.00069174i,-0.001461+0.0008109i,-0.0012742+0.00081179i,0.00012307+0.00026016i,0.001113-0.00025561i,0.00080959-0.00030663i,0.00050245-0.00047773i,0.00071399-0.00092135i,0.00021335-0.00064466i,-0.00055639+0.00019465i,-0.00019009+0.00010844i,0.0006599+0.00026624i,0.00030964+0.00073432i
-0.0010579-0.0015926i,-0.0003838-0.0020906i,-0.0010451-0.0010446i,-0.002086+0.00044585i,-0.0013314+0.0017423i,0.00022696+0.002603i,0.0006101+0.0016042i,-3.7686e-05+0.00020946i,-0.00032415-4.7084e-06i,0.00028868+0.00034515i,0.00081443+0.00035224i,0.0011445-0.00026293i,0.0007766+0.00025106i,0.00023993+0.00048974i,0.0011246+8.4757e-06i,0.0014892+6.5222e-05i,0.0009266-9.1389e-05i,0.00031507+0.00054311i,-0.00013763+0.00074437i,7.2493e-06+0.00050407i,8.7829e-05+0.00049704i,-0.0003592+0.00027655i,-0.00056623-0.00058881i
-0.0015395+0.0018489i,-0.0016603+0.0011096i,-0.00077225+0.00022526i,0.00067168+0.00016646i,0.0011904-0.00038104i,0.0010192-0.00065505i,0.00050475-0.00016645i,-0.00018516+0.00012058i,0.00031363+0.00015198i,0.00071624+0.00057489i,0.00039076+0.00025016i,0.00077262+1.4264e-05i,0.0011368+7.895e-05i,0.00078367-0.00064593i,-0.00016804-0.00090084i,-0.00041585-0.00080933i,0.0006011-0.00053069i,0.00032615-0.00035958i,-0.0005193+0.00017479i,4.1709e-05+0.00010758i,0.00028317-0.00042761i,-0.00054355-0.00037894i,-0.00051376-0.00095417i
-0.00046005+0.00025711i,-0.00038516+2.5481e-05i,-0.0010599+9.4763e-05i,-0.0011425+0.0012516i,-0.0011223+0.0012938i,-0.0013834+0.0004041i,-0.00090825+3.3933e-05i,-0.00056934+0.00048497i,-0.00068727+0.00058701i,-0.00034445-8.2751e-06i,0.00061964+0.00077151i,0.00099467+0.0013995i,-0.00013163+0.00079201i,-2.4632e-05-0.00022036i,0.0011844-0.00036954i,0.00050951-1.4073e-05i,-0.00070972+0.00062748i,-0.00064398+0.00084341i,-0.00052551+1.724e-05i,-0.00051468-0.00067592i,1.7371e-05-0.00054028i,0.00020448-0.00039003i,-0.00032342+0.00011524i
-0.0016269-0.0010487i,-0.0009907-0.00068126i,-0.00066931-0.0012185i,-0.00072377-0.0011528i,-0.00048698+3.4796e-05i,7.9434e-05+0.0010864i,-0.00046077+0.0013922i,-0.00030798+0.0016561i,0.00074757+0.0015793i,0.00096426+0.0010785i,0.00048362+0.00052392i,0.00043306-1.3288e-06i,0.00071935+0.00010233i,0.00021156+0.00029089i,-4.621e-05+0.00037116i,0.00066259+0.00035132i,0.0011699+0.00055778i,0.00044667+0.00017463i,-0.00048162-0.00049101i,-0.00040887+0.00013271i,0.000538+0.00013146i,0.0015376-0.00050705i,0.0013585-0.00059633i
0.0012435-0.00015718i,0.0010166-0.00065518i,0.0001197-0.0017079i,-0.00015821-0.0020836i,-0.00011217-0.0017113i,-0.001044-0.00046361i,-0.0010623+0.00030304i,-5.2256e-05+1.9228e-05i,0.00045276-0.00071288i,-0.00018133-6.0789e-05i,-0.0006571+0.00054101i,-0.00048271+0.00072531i,-8.9677e-05+0.0004682i,1.8101e-05-0.00035795i,-0.00068752+0.00013888i,-0.0015054+0.00063595i,-0.0010855+0.00024442i,0.00027779+0.00016199i,0.00070012+0.00011959i,0.00047822-0.00048204i,0.00096303-0.00019994i,0.0012367-3.9043e-05i,0.00099253-0.00021862i
-0.0011866+0.00040087i,-0.00059956+0.00054043i,-0.00038394+0.0011191i,-0.00059231+0.00023373i,-0.00040942-0.00055658i,-0.00040454+0.00012785i,-0.000311+0.00038468i,-0.00010733+0.00054336i,-0.00019716+0.00058192i,4.833e-05+0.00017586i,0.00037972+0.00017559i,0.00055774-7.1604e-05i,0.00076248-0.00020372i,0.00096181+0.00033809i,0.0010768+0.00086247i,0.00082112+0.00055469i,0.00035785+0.00019249i,-0.00024104-0.00026695i,-0.00063703-0.0002742i,-0.00017264-0.00017715i,0.00023713+0.00023293i,0.00044861+0.00072542i,0.00079233+0.00039946i
-0.00039936+0.00090717i,-0.00048144+0.0013963i,-0.001098+0.00073628i,-0.00088993+0.00027476i,4.8612e-05+0.00088602i,8.7382e-05+0.00109i,-0.00076278+0.00062858i,-0.00012582+9.4628e-05i,0.00041089+0.00014377i,-0.00046182+0.00037608i,-0.00085569+0.0001688i,-0.00027875-0.00042569i,0.00077982-0.00019398i,4.4451e-05+0.0002116i,-0.00027497+0.00010846i,0.00084721+7.5553e-05i,0.00079994+0.00058981i,0.00032738+0.00074493i,-0.00012227+0.00085012i,-8.3722e-05+0.00045835i,0.00060249-0.00014821i,0.00048137-0.00044277i,0.00021515-0.0002443i
0.00010847+5.8561e-05i,0.0004301+0.00042456i,-0.00019025+0.00022928i,-0.00051613-0.00046157i,-0.00058413-0.001071i,-0.00068255-0.00095078i,-0.00054099-0.00048406i,5.0168e-05-0.00047401i,0.00011911-0.00071611i,-0.0002544-0.0007163i,-0.00020979-5.5412e-05i,0.00027311+0.00090087i,0.00011762+0.00087941i,4.2312e-05+3.0965e-05i,0.00025674-0.00020419i,-7.8214e-05-0.0001427i,-0.00016421-0.0002239i,0.00036272+7.3565e-05i,0.00068723-0.00017089i,0.00082238+4.0422e-05i,0.00076277+0.00015262i,0.0006457+0.0004314i,0.00039755-6.2093e-06i
-0.00047393-0.0013391i,0.0004632-0.00091436i,0.00024462-0.0002152i,9.4793e-06+0.00073924i,0.00028538+0.0015963i,-0.0004809+0.0013374i,-0.0012169+0.00070046i,-0.00062908+0.00013502i,0.00015808-0.0006164i,0.00011484+3.2433e-05i,0.00017036+0.00077241i,0.0001098-1.3185e-05i,-0.00015107-0.00012343i,0.00031831+0.00081371i,0.00048075+0.00079498i,-0.00032873-4.6835e-06i,-0.00099985+0.00040522i,-0.00077191+0.0011459i,-7.1486e-05+0.00064997i,0.00014221+6.794e-05i,-0.00028086-0.00037422i,-0.00069787-0.00075102i,6.8985e-06-0.00070557i
0.00053153+0.0021665i,0.0013735+0.0014813i,0.0015214+0.0011605i,0.0007096+0.00021597i,0.00073089-0.0014014i,0.0011052-0.001908i,0.00031111-0.0012935i,-0.00093528-0.00098147i,-0.00073404-0.00091409i,0.00038927-0.0010246i,0.0001935-0.0012111i,-0.00048506-0.00095096i,-0.0010196-0.00080065i,-0.0012407-0.00089007i,-0.00085628-0.00084808i,3.9743e-05-0.00020122i,0.00042967+0.00023416i,0.00012757+0.00069404i,-0.00022889+0.00049273i,-0.00023213-0.00010794i,0.0002121-0.00050772i,4.572e-06-0.00066377i,-0.00036169-0.0003532i
-0.00044568+0.0010921i,-5.7151e-05+0.00082807i,0.00033586+0.00076523i,-2.7455e-05+0.00044382i,6.692e-05+0.00030807i,0.000176-0.00051874i,-0.00061798-0.0015864i,-0.00054156-0.0012589i,-5.0356e-05-0.0001535i,-0.00067557+0.0002597i,-0.00017517+0.00040966i,4.171e-05+1.5631e-05i,5.6478e-05-0.00015176i,0.00042692+0.00071495i,0.00042714+0.00032825i,0.0007722+9.2013e-05i,0.00068393+0.00065487i,0.0001905+0.00037757i,8.4962e-06+0.00029079i,-0.00020392+7.8854e-05i,-0.00061878-0.00011527i,-0.00050093-0.00028958i,-0.00027061-3.5034e-05i
0.00049224-0.00010636i,0.00037009-0.00094709i,0.00081696-0.0013832i,0.001237-0.0010633i,0.00067428-0.0002792i,0.00047055+0.00072974i,0.0012632+0.0011025i,0.0006272+0.00056904i,-0.00050446+0.00029957i,-0.00067236+0.00089513i,-0.00035725+0.0009998i,7.6767e-05+0.00089036i,-3.6552e-05+0.0011531i,-0.00050293+0.0010018i,-0.00010809-0.00014914i,0.0005943-0.0003352i,0.00093964+6.9493e-05i,0.0010896-1.891e-06i,0.00057932-3.2823e-05i,0.00096104+0.00033751i,0.0012778+0.00053423i,0.0013426-0.00011484i,0.00076399+0.00045919i
0.001517-0.0012795i,0.0018281-0.0020011i,0.0010785-0.0028694i,-0.00013708-0.0031998i,-0.00090936-0.0026641i,-0.0012993-0.0011918i,-0.0018393-0.00048906i,-0.001664-0.0004562i,-0.00072852-0.00065986i,-0.00023621-0.00089001i,-0.00089978-0.0003594i,-0.0012854+0.00065095i,-0.00073907+0.00061635i,-2.2945e-05+0.00026208i,0.00010544+0.0010291i,-0.00016295+0.001479i,-0.00015933+0.00088718i,8.0704e-05+0.00054081i,0.00034143+0.00032201i,0.00032539+0.00030072i,4.4408e-05-0.00018941i,-0.00010823-0.0009036i,-0.0010503-0.00099595i
-0.001324-0.0017373i,-0.0017407-0.0016414i,-0.0021541-0.00082964i,-0.0023821+0.0005253i,-0.0013261+0.00072653i,0.00033642+0.00073726i,0.00031223+0.00099264i,0.00010784+0.0013941i,-0.00020303+0.0016479i,-0.00055732+0.00098006i,-0.00060662+0.00064757i,-0.00040384+0.0010464i,-0.00040857+0.0010786i,0.00015127+0.00024059i,0.00073718+0.0001307i,0.00072404+0.00047057i,0.00052291+0.00017699i,0.00080827-0.00055914i,0.00072939-0.00095175i,0.00090113-0.00065611i,0.00083755-0.00045604i,0.00069484-0.0003082i,0.00097236-0.00018419i
0.0015674-0.00051505i,0.0013739-0.0015436i,0.0010767-0.0022466i,-0.00047819-0.0026005i,-0.0015779-0.0020165i,-0.0010594-0.00092217i,0.00013753-0.00053823i,0.00054426-0.00033894i,0.00023063-0.00059105i,-0.00011274-0.00074659i,-0.0005448-0.00038969i,-0.00059881+0.00021872i,-0.00035399+0.0007244i,-0.00038221+6.674e-05i,0.00029888-0.00026491i,0.00047317+8.3674e-05i,0.00042334-0.0001844i,0.00049701-0.00026625i,0.00057746-0.00044369i,0.00048926-0.0010697i,8.181e-05-0.0010813i,1.1516e-05-0.00071202i,-7.4168e-05-6.508e-05i
-0.00022504-0.00049044i,-0.00036429-0.00043297i,-0.00013724-0.0010244i,0.00015383-0.0009889i,-0.00017174-0.00026471i,-0.00044382+0.00021495i,-0.00022835+0.00029769i,-0.00043975+0.000355i,-0.00029418+0.00082278i,-5.5436e-05+0.00025518i,-0.0002703-0.00043848i,-5.6326e-05-5.6112e-05i,-9.2894e-05+0.00031889i,-6.1794e-05+0.0005384i,0.00014871+0.00084231i,0.0010588+0.00017175i,0.0013217-0.0009809i,0.00041361-0.0008986i,-2.3613e-05-0.00019119i,-4.1507e-05-2.2788e-05i,-0.00027412-0.00021073i,-0.00030524+0.00069267i,-0.0004305+0.00085011i
-0.00092873+0.00047882i,-0.00088199+0.0013132i,0.00020758+0.0016838i,-0.00034805+0.0012511i,-0.00051403+0.00022495i,0.00074411-0.00030106i,0.00061589+0.00024433i,-0.00029094+0.00070705i,0.00018171+0.00028129i,0.00043059+0.00018128i,0.00048374+0.00030837i,-0.00018017+0.00065205i,-0.0011256+0.00047204i,-0.0005928+0.00027445i,0.00023182+0.00026139i,0.00013171+0.00012474i,-2.6677e-06-0.00020389i,0.00038119+6.1881e-05i,0.00075836+0.00050867i,0.0010852-0.00028138i,0.00057905-0.00050234i,-0.00068601-0.00018641i,-0.00081905-0.00030908i
-0.00073041+0.00033156i,-0.0013523-0.00042155i,-0.0019473+0.00071247i,-0.0012947+0.0012883i,-0.0012821-5.9088e-05i,-0.00093052-0.0010616i,-0.00024671-0.00052381i,2.6801e-05+0.00051447i,-0.00037849+0.0005626i,-1.5182e-05+0.00067466i,0.00063099+0.0010928i,0.00055899+0.00082074i,0.00048773+6.6407e-05i,0.0010836-0.00034948i,0.0016909-0.00024505i,0.00084969+0.0002841i,0.00055728+0.00032565i,0.0013085-0.00011619i,0.0010139-0.00047866i,0.00049435-3.8406e-05i,-0.00010303+0.00064518i,-0.00017731+0.00014095i,0.00047637-0.00093353i
-0.00041173+0.0008085i,-0.00028423+0.00076704i,-0.00075569+0.0014112i,-0.0006497+0.0017683i,-0.00031041+0.0015282i,-0.0004447+0.00099587i,-0.00056639+0.00064479i,-0.00063365-0.00030187i,-0.0011982-0.00031155i,-0.00097427+0.00095654i,-0.00075218+0.00074288i,-0.0009556-7.5217e-05i,-0.00073029-0.00074142i,-0.00080036-0.00095161i,-0.0007064+0.00011196i,-0.00032928+0.00093219i,0.00015241+0.00068502i,0.00037247+0.0006761i,-0.00026371+0.00040522i,-0.0012414+0.00019876i,-0.0012713+0.00015271i,-0.00044297+0.0001017i,0.000549-0.00029276i
0.00061375-0.00069659i,0.00047796-0.0010404i,-0.00062298-0.0021201i,-0.0015139-0.0021746i,-0.0008504-0.0016494i,0.00054152-0.00083086i,0.00094491-0.00029214i,0.00086976-0.00013051i,0.00062752-0.00044104i,-0.00028548-0.00096572i,-0.00054864-0.00065498i,-0.00059928-0.00014262i,-0.00057649+0.00012052i,-0.00060392+0.0003203i,-0.00024873+0.00080928i,0.00046933+0.00021965i,0.00091941-0.00040398i,0.0011847-0.00041231i,0.00080211-0.00066436i,-9.7861e-05-0.00020474i,-0.00067812+0.00036487i,-0.00053622+0.00088044i,-0.00078414+0.00031418i
-0.00011215+4.5664e-05i,-0.0010316-0.00038342i,-0.0011337-0.00092242i,-0.0014941-0.00042262i,-0.0027413-0.00019731i,-0.0017408-0.00031106i,-0.00052772+5.8202e-05i,-0.0006051-0.00010044i,-0.00093659-0.00054573i,-0.00097976-0.00078573i,0.00020374+3.1494e-05i,0.00027473+0.001047i,-0.0008207+0.00065024i,-0.0010175+0.00012321i,-0.00060666+0.00055513i,-0.00019019+0.00058086i,0.00034351-2.5717e-06i,0.00050634-0.00021415i,0.00042008+0.00061703i,0.00012612+0.0007745i,-7.7494e-05+0.00023801i,-0.00026104+0.00033182i,0.00031467+0.0011011i
-0.00065142-0.0017713i,-0.00015319-0.00098882i,0.00015957-0.00039415i,0.00075909-0.00024536i,0.0011198+0.00029694i,0.00061714+0.00015985i,-0.0002797+0.00019516i,-3.7915e-06+0.00046525i,0.00055007+0.0005119i,0.0004209+0.00060321i,-4.5474e-06+0.000104i,-0.00010583-0.00014155i,-0.00059557-0.0001346i,-0.0009126-0.00085418i,-7.5386e-05-0.00060021i,0.00021382+0.00041626i,7.1736e-05+7.5456e-05i,-0.00013278-4.2176e-05i,-0.00014923+0.00035097i,0.00059622-0.00036138i,0.00032585-0.0004119i,-0.00053198+3.0124e-06i,-0.00034621+0.00060835i
1.6514e-05+0.00091654i,1.1376e-05+0.0014139i,7.7119e-05+0.0014102i,0.00017915+0.0013765i,0.00090645+0.0013832i,0.00078802+0.00033865i,1.8406e-05-0.00016235i,0.00043575+0.0007663i,0.00067277+0.00063881i,0.00019211-0.00059262i,0.00024461-0.0004937i,2.3974e-06-0.00014188i,-0.00030543-0.00012027i,3.3933e-05+0.0002516i,-0.0005497+0.0010695i,-0.0011957+0.00077868i,-0.00089159+0.00013991i,-0.00056981+0.00057029i,-0.00034341+0.00034057i,-0.00029552-0.00031378i,-0.00061733-0.00027453i,-0.00078347-1.751e-05i,-0.00040065+0.00026451i
-0.00024432+0.00032843i,0.0003778+0.00096084i,0.00046573+0.0006729i,-0.0004104+0.00017787i,-0.00099941-0.00022068i,-0.0013798-0.0008321i,-0.0011404-0.00055247i,-0.00077683-0.00013005i,-0.00075991-0.00068152i,0.00011597-0.00099141i,0.0012404-0.00056959i,0.0009103-0.00010084i,-0.00072023-9.7904e-05i,-0.0010856-0.00026828i,-0.00022677-5.8534e-05i,0.00040396+7.2686e-05i,0.00021758+0.00024872i,-4.3045e-05+0.00024771i,0.00029091-6.8278e-06i,-0.00012393+0.0002434i,-0.00051939+1.2811e-05i,-0.00011692-0.00037662i,-0.00019529-3.8946e-05i
-0.0029084-0.0011401i,-0.0031533-0.0010874i,-0.0037346-0.0005423i,-0.0028031-0.00037479i,-0.0013172+0.00078155i,-0.00010598+0.0010185i,0.00047652+2.2157e-05i,0.00057832-0.0001579i,0.00040849+5.5055e-05i,8.5427e-05+0.00043096i,-0.00013551+0.00041443i,-0.00024538-1.939e-05i,-0.00041478-0.0001475i,-0.00096323-4.3604e-05i,-0.00047651-0.00048608i,3.6493e-05-0.00072593i,-0.00062494+0.00019478i,-0.0012937+0.00075276i,-0.0010784+0.00053048i,-0.00058028+0.00017253i,-0.00064791+0.00078685i,0.00016075+0.0012356i,0.00057301+0.00085505i
-0.00020577-0.0022675i,-0.00032451-0.002325i,-0.00070281-0.0017003i,-0.0014991-0.00069879i,-0.0014907+0.00015762i,-0.00045007+0.00059434i,-0.00019947+0.00052651i,-0.0010379+0.00016998i,-0.0011202-0.00055676i,-0.00039558-0.00017275i,-0.00048235+0.0012776i,-0.00066532+0.0011922i,-7.392e-05+0.0011382i,0.00038152+0.0015313i,0.00038842+0.00089718i,0.00030455+0.00013812i,0.0011578+0.00019654i,0.0011335+0.00011461i,0.00045888-0.00026757i,-0.00019589-0.00035908i,-0.00075903+0.0005825i,-0.0012595+0.001244i,-0.0015554+0.0011616i
-0.0026911+0.0017601i,-0.002336+0.0017538i,-0.0011209+0.0022864i,0.00034439+0.0023154i,0.0013195+0.0018814i,0.0013511+0.00072797i,0.00065756+0.00069663i,0.00043807+0.00042037i,0.00086798+0.00049556i,0.0011099+0.00070415i,0.00051342+0.00069375i,0.00034281-3.4219e-05i,0.00047989-0.0011453i,0.0010253-0.0012387i,0.00087225-0.00013231i,0.00021611+0.00081086i,-0.00022847+0.000206i,-9.0819e-05+3.011e-05i,0.00047236+7.4729e-05i,0.00026156-0.00040307i,-0.00011982+0.00020372i,0.00011806+0.00098824i,-0.00014566+0.001041i
0.00036597+0.00043192i,0.0002824+0.00069957i,0.00046278+0.0012493i,0.00063531+0.0014458i,0.0003274+0.0018457i,-3.7386e-05+0.0010251i,-0.0004302-0.00053298i,1.2566e-05-0.00070421i,0.00011713-0.0012623i,-0.00018781-0.001642i,-0.00030446-0.00082606i,-0.00059465-2.1815e-06i,-0.00089557+0.0005446i,-0.00073627+0.00027406i,-0.00059005-0.00029885i,-0.00070466-3.5443e-05i,0.00016233+0.000308i,-0.00011689+3.1291e-05i,-0.00086801-0.00063808i,-0.0010221-0.00024912i,-0.00086311-2.0079e-05i,-0.00050851+0.00023789i,-0.0010411+0.00054402i
-0.00027961-0.0011769i,-0.00066484-0.0013261i,-0.00031372-0.0022151i,-0.001094-0.001727i,-0.0018772-0.0018193i,-0.00088065-0.0014858i,-0.00015669-0.00043013i,0.00020909+0.00039049i,-1.9789e-05+0.00056734i,-0.00090729+0.0002763i,-0.00065418+0.00058816i,-0.00046054+0.00082761i,-0.00065488-7.101e-06i,-0.00042624-9.8846e-06i,-0.00051117+0.00042156i,-0.00040656+0.00045257i,-0.00030451+0.00014063i,-0.00073366-0.00011995i,-0.00017632-0.00026173i,1.3963e-05+2.5202e-05i,-0.00030687+0.00011024i,-0.00028475-0.00034256i,-0.00052378-0.0004293i
0.001514-0.00077662i,0.0014411-0.0010732i,0.00050009-0.0015746i,0.00060171-0.0016979i,0.00049689-0.00075776i,0.00021829+0.0001378i,0.00090944+0.00020709i,0.0005998-0.00036709i,-2.1771e-06-0.00060656i,-0.00091243-0.00022707i,-0.00054683-0.00022685i,0.00013668+3.1554e-05i,-0.0006426+0.00025683i,-0.00072216+3.9056e-05i,-0.00014877+0.00025483i,0.00024754-0.0003102i,0.00057952-0.00067963i,7.0317e-05-0.00054335i,-0.00061565-0.00094693i,-0.00031267-0.0012345i,-8.7824e-05-0.0007471i,-0.00043238+0.00079597i,-0.00035617+0.00087858i
0.00055552-8.2392e-05i,4.7943e-05-0.00025919i,0.00011177-0.0004183i,-0.00036956-0.00067606i,-0.0014845-0.00060712i,-0.0018759-5.818e-05i,-0.0012362-3.8856e-05i,-8.754e-05-0.00039944i,-0.00017706-0.00079964i,-5.9137e-05-0.00073353i,0.00018034-9.0865e-05i,9.0138e-06+8.3415e-05i,-0.00057689+0.00027165i,-0.0010841+0.00024462i,-0.00084376-0.00012505i,-0.00024509+0.00051218i,-0.00025518+0.0012703i,-3.8968e-05+0.00079533i,0.00033331+0.00061843i,-7.5641e-06+0.00062263i,-0.00013578+0.0009086i,-0.00031218+0.0014501i,-0.00054797+0.00043117i
-0.0021867+0.00080214i,-0.0018479+0.0014787i,-0.0017579+0.0020443i,-0.0011558+0.0017332i,0.00054769+0.0009797i,0.00029393+0.00083134i,-5.0329e-05+0.00013656i,0.00046327-0.00020027i,-7.1274e-05+0.00036648i,-0.00039545+0.00048362i,-0.00049124+0.00037355i,0.00019356-0.00070302i,0.00030012-0.0013074i,-0.00032351-0.00079899i,-0.00038994-0.00087409i,3.2808e-05-0.0006223i,7.6226e-05+0.00056641i,0.00019808+0.0012405i,0.00050008+0.00041534i,-0.0001273-0.00077766i,-0.00038812-0.00088421i,-0.00042289-0.00051328i,-0.00063228-0.00041975i
0.0014275-0.0016817i,0.0014386-0.001261i,0.000114-0.00063071i,-0.0010649-0.00064646i,-0.001698-0.001344i,-0.0019101-0.0017627i,-0.00083065-0.0011088i,0.0002929-0.00027715i,0.0004263+1.6894e-05i,-0.00035491+0.00011443i,-0.00024111+0.00037502i,-9.1933e-05+0.00060308i,-0.00035185+0.00059054i,-0.00023104-0.00026079i,-0.00010888-0.0012034i,-0.00029107-0.00058785i,-0.00031081+0.00066605i,-0.00010236+0.00041506i,0.00026799-0.00016889i,4.5059e-05+0.00050588i,-0.0001838+0.000765i,-0.00019351+0.00062354i,-0.00073378+0.0003329i
-0.00027106-0.00116i,0.00034297-0.0015648i,-0.00068515-0.0021853i,-0.0016012-0.0018398i,-0.002059-0.00076289i,-0.0020538+0.00063218i,-0.0012098+0.00077319i,0.00025882+0.00013613i,0.0005923-0.00015354i,0.00026314-0.00037961i,-0.0001262+9.7125e-05i,-0.00057705+0.00035393i,0.00010901+0.00017928i,0.00024976+9.4753e-05i,-3.7005e-05+0.00043388i,5.2281e-05+0.00061712i,0.00025069-9.8509e-05i,0.00058791-0.00012685i,0.00023431+0.00059508i,-0.00035973+0.00031213i,-0.0011316-0.00012641i,-0.0013556-0.00011024i,-0.00083085+0.00089259i
-0.00033359-4.4127e-05i,0.00014505-0.00017327i,0.00027137+0.00034885i,0.00071221+0.00085794i,0.00098483+0.00029397i,0.00093984-0.00043998i,0.00090306-1.7541e-05i,0.00025818+0.00022739i,3.9309e-06-0.00038619i,0.00042751-0.00065791i,0.00084933-0.00030132i,0.00040535+0.00036348i,-0.0006043-0.0001287i,-0.0014367-0.00073231i,-0.00092156-0.00024237i,-0.00023215+0.00017596i,-0.00039628-7.1696e-05i,-0.00011792-0.00044588i,0.00032598-0.0011783i,8.5985e-05-0.0012726i,-0.00019876-0.00041351i,-0.00032784+4.0658e-05i,0.00015349-0.00023834i
3.4856e-05+0.00066758i,-0.00018534-0.00087131i,0.00043612-0.00080453i,-0.00042254-0.00033068i,-0.0014424-0.00037939i,-0.0011135-0.00069442i,-0.00086701-0.00094161i,-0.00067198-0.00081168i,-0.00028545-0.0005734i,0.00017974-0.0001904i,0.0002903+0.00024313i,-0.00061376+0.00016218i,-0.00095641-0.00063098i,-0.00034617-0.00071742i,0.00051178-0.0004268i,0.0010877+1.5281e-07i,0.0010831+3.0379e-05i,0.00080243+0.00027059i,0.00013445+0.00059551i,-0.00031417-0.00018688i,-0.00062244-0.00056464i,-0.0005442-0.00012911i,-0.00022439+0.00041954i
0.00048822-0.0005364i,0.00040359-0.00050164i,1.1099e-05-0.00016088i,8.8927e-05+5.8444e-05i,-0.00024658+0.00013185i,-0.00090654+0.00023378i,-0.00048609+8.7356e-05i,0.00016205+1.2065e-05i,-0.0003324+6.7879e-05i,-0.0007538+0.00028272i,-0.00083383+0.00078521i,-0.00048306+0.0011193i,5.9572e-05+0.00021859i,-3.9752e-05-0.00028652i,-0.00028257+0.00023739i,-0.00011557+0.00012015i,-2.4419e-06-0.00043291i,-0.00025291-1.546e-05i,1.9395e-05+0.0005217i,8.513e-05+0.00065729i,0.00011517+0.00066791i,7.5244e-05+0.00032125i,-8.7725e-05-0.00021837i
0.0013337+2.8719e-06i,0.0008941+0.00037279i,0.0013765-0.0001678i,0.0010882-0.0014528i,0.00042699-0.0020839i,3.947e-05-0.0015561i,-0.00028264-0.00082898i,-0.0009307-0.0002426i,-0.000853-0.00041832i,-0.00035895-0.0011411i,-0.00083689-0.00075045i,-0.0013704+0.00020179i,-0.00070565-0.00012967i,-0.00022703-0.00067804i,-0.00037767-0.00084654i,5.395e-05-0.00011132i,2.0515e-05+0.00059345i,-0.00027804-0.00030352i,0.00038397-0.00088715i,0.0007636-0.00015692i,0.00056693+6.1977e-06i,0.00035651-0.00061102i,0.00082207-0.00024957i
-0.00053424-0.0010445i,-0.00023229-0.0010046i,-0.00092467-0.0011666i,-0.0017922-0.0010973i,-0.001474-0.0011477i,-0.0013313-0.0012403i,-0.0013185-0.00059459i,-0.00061044+0.00019184i,-0.00089326+7.0372e-05i,-0.0010303-0.00023217i,1.4251e-05-0.00014634i,3.0087e-05+7.4795e-05i,-0.00027352-0.00028411i,-0.00065818-1.1469e-05i,-0.00060719+0.00088929i,-4.4105e-05+0.00075543i,0.00051455-9.4812e-07i,0.00082203-0.00013537i,0.0003215-0.00025816i,0.00027323-0.00020562i,6.6221e-05-2.8714e-06i,-0.00059061+0.00035089i,-0.00073381+0.00046197i
0.0008177-0.00058875i,0.0012611-0.00069136i,0.00093393-0.00076163i,-5.0355e-05-0.00061091i,-0.0003287-0.0010301i,-0.00035256-0.0011068i,-0.0002461-0.0007447i,-0.00033439-0.00024982i,-0.00036855-0.00031362i,-0.00051711-0.00068221i,-0.00045576-0.00046554i,-9.9144e-05-0.00041284i,0.00025424-0.00061908i,0.00062661-0.00050591i,0.00017978-0.00061778i,-9.5505e-05-0.00075947i,0.0001332+0.00047363i,0.00025225+0.00087899i,0.00034396+0.00044139i,2.3375e-05-0.00056999i,0.00026235-0.00085123i,0.00067842-0.00061527i,0.00045389-0.00090032i
-0.0012006+4.8484e-05i,-0.00079379+0.00036876i,-0.00030721+0.0013019i,0.00053803+0.0018028i,0.00097632+0.0012046i,0.00018499-0.00017259i,-0.0004289-0.0013507i,-0.00084301-0.00071984i,-0.00014455-0.00042844i,0.00060009-0.00071188i,-2.7765e-05+0.00029731i,-0.00019757+0.00080035i,-8.6775e-05-9.2646e-05i,-0.00016657-0.00045405i,0.00039363-0.00082508i,0.00053812-0.00068946i,0.00048255+0.00025854i,0.00046726+0.0005308i,0.00048052-8.7863e-05i,0.00028719-0.00032974i,-0.00049939+0.00015532i,-0.00085546+0.0004841i,-0.00079275+0.00027355i
