-0.0009081+0.00037143i,-0.0010293+0.00015889i,-0.0021813+0.00071698i,-0.0018784+0.0012943i,-0.00065191+0.0013827i,0.00012727+0.00072876i,-0.00070436+5.4571e-05i,-0.0022982-7.9544e-05i,-0.0024266-0.00062205i,-0.001394-0.00067687i,7.1873e-05-0.00012606i,0.00057195-0.00060393i,0.00011381-0.001317i,-0.000144-0.000643i,0.00021227-7.3668e-05i,0.00060112+9.1514e-05i,5.9053e-05-0.00059217i,-6.4466e-05-0.0010249i,0.00035976-0.00026515i,-7.8601e-05+0.00031018i,-0.00044627+0.00035029i,8.4479e-05+0.00033194i,0.0013236+0.00019273i
-2.6789e-05+0.0013357i,-0.00048536+0.0017326i,-0.00051121+0.0019694i,0.00054407+0.002659i,0.0014316+0.0027773i,0.0017281+0.0011091i,0.0015202-0.0014262i,0.00040272-0.0027956i,-0.001108-0.0026418i,-0.0015746-0.001784i,-0.0012311-0.00075471i,-0.00074594+9.4009e-05i,-0.00045435+0.00078947i,-7.8927e-05+0.0010054i,0.00034296+0.00044138i,0.0005875+9.8697e-05i,0.0001074+0.00017977i,-0.00032886+0.00066794i,-0.00033074+0.00020784i,-0.00024843-0.00055381i,-9.6143e-05-0.00025i,-0.00013716+0.00019315i,0.00010792+0.00013031i
-0.00069662-0.0016509i,-0.0013569-0.0020151i,-0.001649-0.0017461i,-0.00090496-0.00042739i,0.00055099+0.0013336i,0.0019075+0.0020121i,0.0024138-0.00059435i,0.0016834-0.0031879i,-0.00013565-0.0025952i,-0.0015367-0.0011771i,-0.0015579+0.00035406i,-0.00089685+0.0010756i,-0.00071532+0.00094413i,-0.00029189+0.00031548i,0.00022437+0.00042888i,0.00045984+0.0013664i,0.0007343+0.0013254i,0.00077023+0.00072825i,0.00050752+0.0010567i,0.00037378+0.00066101i,0.00076778+0.00023103i,0.00067962+0.00060306i,0.00028969+0.0010359i
0.00011012+0.0022636i,0.00017891+0.0027782i,0.0013836+0.0024635i,0.001272+0.0014283i,0.00050348+0.0017016i,0.00068865+0.00094365i,0.00071805-0.00080305i,-8.5609e-05-0.0015713i,-0.0013946-0.0016969i,-0.0015817-0.00055707i,-0.00088626+0.00047298i,-0.00078756-2.5327e-05i,-6.9217e-05+0.00038769i,0.00035165+0.0010252i,0.00013944+0.00098229i,2.8973e-05+0.0018935i,-0.00033378+0.001845i,0.00010957+0.00027851i,0.00030863-0.00035955i,-0.00010706+0.00075838i,0.00024599+0.00076827i,0.00034645-0.00054587i,0.000235-0.00061502i
-0.00072404+0.00030852i,-0.0020468+0.00030193i,-0.0030136+0.00049953i,-0.0033177+0.0021264i,-0.0014521+0.0039327i,0.00061073+0.0034465i,0.0012214+0.00048501i,0.00013006-0.0018794i,-0.0011096-0.0015207i,-0.0011037-0.00067618i,-0.00048172+0.00041965i,0.00037381+0.00075094i,0.00022487+0.00035238i,0.00048103+0.00010159i,0.0012439+0.00019821i,0.0013081+6.0965e-05i,0.00053151-0.0008565i,-0.00096688-0.0012511i,-0.0013675-0.00063306i,-0.00073875+0.00035469i,-9.6191e-05+0.00079888i,0.00026086+0.00071426i,0.00015641+0.0010835i
0.001684+0.0017362i,0.0010908-0.00052174i,0.0010005-0.0026638i,0.0012626-0.0029002i,0.00061472-0.0010039i,-0.00049928+9.4516e-05i,-0.00083705-0.0014431i,-0.001775-0.0022049i,-0.0022206-0.0014853i,-0.00099436-0.00016099i,-0.00035722+0.00047335i,-0.00017188-0.0003973i,-0.00013441-2.9664e-05i,-0.00062454+0.00053391i,-0.0006007+0.00033384i,-0.00095346-5.8135e-06i,-0.00060592+8.7604e-05i,0.00019166+0.00072735i,-0.00040926+0.0006828i,-0.0005249+0.00033256i,0.00015685+0.0006514i,0.00075438+0.00046919i,0.0012131-0.00012165i
0.00061991+0.00099874i,-0.00078559+0.001085i,-0.0015963+0.0012378i,-0.0016545+0.0019093i,-0.00090987+0.0028557i,0.00047072+0.0019414i,0.0008439-0.00022892i,0.00035969-0.0012516i,-0.00081189-0.0016828i,-0.0015249-0.001154i,-0.0015873+0.00012546i,-0.0013931+0.00031529i,-0.00052395+0.0006034i,0.00042989+0.0013637i,0.00087083+0.001582i,5.7685e-06+0.00058379i,-0.0005732-0.00060013i,-0.00041222-0.0010598i,-0.00063802-0.00021684i,-0.0011139+0.00082206i,-0.00084332+0.0011059i,0.00025477+0.0011248i,0.00044053+0.00060059i
-0.0013431-0.00063677i,-0.00023487-0.0022261i,-0.00063474-0.0018879i,-0.00092849+0.00028257i,6.7246e-05+0.0015844i,0.001665+0.00064805i,0.0017505-0.00058232i,0.00044239-0.00090721i,-0.0012968-0.0011164i,-0.0016594-0.00044687i,-0.0011849+0.00062542i,-0.00090397+0.00051198i,-0.00057147-0.00017389i,-0.00056951-0.00047614i,-0.00026595+0.00048001i,-2.9263e-05+0.0012202i,-0.0007392+0.00072402i,-0.00084373+5.0709e-05i,-0.00076608+0.0008266i,-0.00035584+0.0017054i,-0.00029915+0.00083813i,-0.00025183-0.00027577i,0.00089398+0.0002055i
0.00051476+0.0016665i,-0.00015566+0.0024992i,0.00033102+0.0027312i,0.00046856+0.0022272i,-0.00019982+0.0023941i,5.9547e-05+0.0020728i,0.00086473+8.7433e-05i,-1.0657e-05-0.0014229i,-0.0018033-0.001635i,-0.0014724-0.00056492i,-0.00026346+0.00054932i,-0.00086124-0.00022849i,-0.0010654-0.00038076i,-0.00059226+0.00068713i,-6.2466e-05+0.00086869i,0.00046523+8.571e-05i,0.0011818-0.00017642i,0.00057822+0.00016215i,-0.00049714+0.00088313i,-0.00067466+0.0009745i,-0.0007157+0.00041928i,-0.0005431+0.00027366i,-0.00011912+0.00057744i
-0.0013827-0.000531i,-0.001291-0.0016817i,-0.00076461-0.0010303i,0.00076542+0.00044448i,0.0019338+0.0014524i,0.0024339+0.0010058i,0.0023217-0.001151i,0.0011568-0.0025788i,-0.00017354-0.002698i,-0.00047161-0.0014531i,-0.00037133-0.0003145i,-0.00033553-0.00051848i,-0.00025375-0.00077603i,-0.00056171-0.00014939i,-0.00036797-1.6109e-05i,-9.7079e-05-0.00020885i,0.0001498+0.00041869i,0.00046909+0.0004215i,0.00038923+0.00046903i,0.00040942+0.001235i,0.00020182+0.001017i,3.5468e-05+0.00093615i,0.00032382+0.00027882i
-6.7065e-05-0.00022053i,0.0012433-9.0254e-05i,-0.0005978+0.00025819i,-0.002322+0.0010162i,-0.0023091+0.0017792i,-0.00018002+0.0016001i,0.00083214-0.00053213i,-0.00039212-0.0024035i,-0.0011789-0.0019688i,-0.00068274-0.0012616i,-0.00029756-0.00079752i,0.00040195-0.00022507i,0.0010666+0.00033804i,0.0012863+0.00058893i,0.001248+0.00094491i,0.00031148+0.00089417i,-1.925e-05+0.00041724i,0.00028165+0.00010125i,-0.00021397+0.00021593i,-0.00055355-0.00015081i,-0.00050205-0.00040417i,-0.00017823-4.054e-05i,0.00015844-0.00061727i
-0.0021537-0.00093462i,-0.0021727-0.0013831i,-0.0034507-0.0013704i,-0.0027157+0.001072i,-0.0007858+0.0029039i,0.00036046+0.0021224i,6.469e-05-0.00015216i,-0.0014049-0.0019053i,-0.0021132-0.0022627i,-0.0017777-0.0016967i,-0.0012024-0.00082016i,-0.00037037-6.9185e-05i,-3.1718e-07-5.1431e-06i,0.00036525-0.00032443i,0.0001807+0.00056048i,-0.00050233+0.00080465i,-0.00022905+0.00078636i,0.00022204+0.0006711i,-0.00023276+0.0003999i,-0.00032992+0.0003169i,0.00030497+5.6386e-05i,0.0007817+7.2831e-05i,0.0010034+0.00011249i
0.0012942-0.00053193i,0.0016439-0.0010232i,0.0016668+3.247e-05i,0.0010996+0.0013263i,0.00092285+0.0023446i,0.0015122+0.0021373i,0.0010934-0.00077979i,-0.00055703-0.0027094i,-0.0018798-0.0027147i,-0.0024302-0.0015551i,-0.0021604-6.8023e-05i,-0.0013213+0.0006746i,-0.00030228+0.00098336i,-0.00078909+0.00082801i,-0.0010332-4.8647e-06i,0.00030633-0.00025572i,0.0010788+0.00013115i,0.00022846+0.00024992i,-0.00066277+0.00015006i,0.00016567+0.00098155i,0.00069535+0.00085935i,0.00027677+0.00013829i,0.00063236+2.6243e-05i
-0.0025444-0.00019192i,-0.0029113+0.00043111i,-0.0042543+0.00058558i,-0.0037852+0.0013137i,-0.0011858+0.0025313i,0.002107+0.0017559i,0.0026877-0.00061735i,-8.0743e-05-0.0018657i,-0.0022673-0.0018851i,-0.0024094-0.00060777i,-0.0017787-6.7647e-05i,-0.0012581-0.00035877i,-0.00040802+0.00027196i,-8.5191e-06+0.00086288i,5.4923e-05+0.0010851i,0.00094422+0.0010989i,0.00086939+0.00049387i,6.2363e-05-0.00013516i,0.00012708+0.00011287i,0.00012741+0.0012355i,-0.00043295+0.0012135i,-0.00034949+3.185e-05i,0.0008208+0.00022046i
0.0019332-0.00030875i,0.0017134-0.00082609i,-0.0004744-0.0020101i,-0.0025529-0.0020382i,-0.0018364-7.0943e-05i,0.00026968+0.0017901i,0.0016291+0.00045051i,0.0014563-0.0017718i,0.00030682-0.0018282i,-0.00018755-0.00069632i,-0.00039291+0.0009257i,-0.00024546+0.00074717i,0.00044922-0.00039604i,0.00099262+0.00035827i,0.00080876+0.0007915i,0.0013022-0.00019203i,0.001476-0.00080311i,0.00058698-0.00071416i,-0.00082527-0.00027917i,-0.00075163+0.00038438i,0.00034931+0.0003091i,0.00022437-0.00048524i,0.00013105-0.00022374i
0.00085526+0.0013338i,-0.00015169+0.001029i,-0.00060192+0.0014999i,4.5907e-05+0.0017292i,0.00022969+0.0016915i,0.00030117+0.00077305i,0.00012191-0.00086036i,-0.00096666-0.0022178i,-0.0015775-0.0026031i,-0.00158-0.0021481i,-0.00070873-0.0014595i,-0.00028686-0.00022483i,-0.00062443+0.00036484i,-0.001095+0.00056131i,-0.0014026+0.0013597i,-0.00053815+0.0016387i,1.2285e-05+0.00061573i,-0.00017412-0.00063199i,0.00019653-8.6343e-05i,0.00036187+0.00017224i,6.1859e-05-0.00038562i,0.00041125-0.00068303i,0.00069622-0.00073732i
0.0013522-0.00060971i,0.00092721-0.00092806i,0.001204-0.0018425i,-1.0456e-05-0.0013511i,-0.0010588-0.00048859i,0.00019948+0.00019875i,0.00089774-0.00043524i,-0.0007557-0.0016762i,-0.0020398-0.00199i,-0.0020702-0.0019952i,-0.0010207-0.0011779i,0.00039621-3.9223e-05i,0.00023249+0.00089596i,0.00021618+0.0010099i,0.00027223+0.00034605i,7.2132e-05-0.00043736i,0.00012437-0.00071433i,4.7706e-05+6.5472e-05i,-0.00020213+0.00072692i,-7.1208e-05+0.00088749i,-0.00058261+0.00022211i,-0.00024953+1.6223e-05i,0.00034961+0.00033734i
0.0011783-0.00066635i,0.00068378-0.00026987i,-0.00091993+0.0009509i,-0.0016679+0.0027652i,-0.00031161+0.0024441i,0.0012664+4.2072e-05i,0.001323-0.0019974i,-0.00043899-0.0030963i,-0.0020696-0.0026163i,-0.0024593-0.0010088i,-0.0015136-0.00035333i,-0.00094348+0.00019864i,-0.0012583+0.00061616i,0.00017687+0.00020629i,0.00092181-0.00025458i,-0.0001205-0.0002792i,-0.00048038-0.0003903i,-0.00035593-0.00041218i,-0.00040902+0.00037278i,9.7705e-06+0.0011157i,0.00018545+0.0011229i,0.00027502+0.0010281i,0.00015995+0.0010802i
-0.002672-0.00033242i,-0.0029413-0.0020682i,-0.0024833-0.00094625i,-0.000995+0.0015383i,0.00060091+0.0029679i,0.0020755+0.0027089i,0.0016555-0.00028897i,-0.00087486-0.0023117i,-0.002633-0.0016624i,-0.0027693-0.00039787i,-0.0021674+0.0009612i,-0.0015048+0.00084684i,-0.0011603+0.0007419i,-4.6889e-05+0.00080453i,-0.00025225+0.00014891i,-0.00093923-8.7365e-05i,-0.00015078+0.0002685i,0.00060375+0.00077559i,0.00066327+0.00078964i,0.0003344+0.00056729i,7.002e-05+0.0002684i,0.00017761-2.3531e-05i,0.0004088+0.00029822i
0.001815-0.00069496i,0.00086077-0.00053775i,-0.00058218+0.00014828i,-0.0013692+0.0015589i,-0.0015053+0.0024682i,-0.00060388+0.0013178i,0.00018938-0.00058183i,-0.0010066-0.0015033i,-0.0020948-0.001077i,-0.002396-0.00038186i,-0.0022109+0.00051522i,-0.0011446+0.001121i,-0.00066681+0.0010836i,-0.00030509+0.00098638i,0.00028736+0.0014317i,0.00030326+0.0010945i,0.00029697+9.5578e-05i,0.00064712-8.5005e-05i,-0.00038027+6.9153e-06i,-0.0013312-0.00024082i,-0.00089231+0.00024365i,-0.0001422+0.00028549i,0.00014123-0.00013497i
-0.00059343-0.0010956i,-0.00031488-0.00063624i,0.00022474-9.497e-05i,4.2094e-05+0.0012232i,6.649e-05+0.0019992i,0.0014107+0.0015855i,0.0023619+0.00025405i,0.00091655-0.0022722i,-0.00071061-0.0024786i,-0.00031115-0.00079668i,0.00028061-0.00025575i,0.00023468-0.00054705i,0.00016417-9.0131e-06i,2.3999e-05+0.00096249i,0.00072806+0.0012324i,0.00085332+0.00067139i,0.00043731+0.00037353i,0.00103+0.00085606i,0.0008142+0.00060955i,0.00017452-9.2508e-05i,0.0003572-0.00053951i,0.00080567-0.00014263i,0.00041328-0.00016944i
0.0023375-0.0014532i,0.001519-0.00051568i,-0.00056719-0.00082752i,-0.0023644+0.00016248i,-0.0019573+0.0028584i,-0.00031937+0.0037266i,0.00074074+0.00065047i,0.00085897-0.0016251i,0.00020178-0.0018916i,-0.0007883-0.0013065i,-0.0014407-0.00082302i,-0.0013292-0.00053112i,-0.00041834-7.9656e-06i,0.00028057+0.00022403i,0.0001195+0.00037197i,0.00016529+0.00046794i,0.00027533+0.00026491i,5.5876e-05-0.00011629i,-0.00023706+8.2808e-05i,-0.00037421+0.00062713i,-0.00023163+0.0010678i,-0.00014495+0.00046819i,-2.0284e-07-0.00039211i
-0.00047835+0.00081814i,0.0001495+0.00080046i,0.00045473+0.00051713i,0.0010329+0.0012588i,0.0016317+0.0020221i,0.001925+0.0012799i,0.0020236-0.0013521i,0.00070235-0.003893i,-0.0018569-0.0036375i,-0.0024406-0.001716i,-0.00071286-0.00085868i,0.00092056+2.1762e-05i,0.001142+0.0012033i,0.00062651+0.0014179i,0.00092431+0.0010672i,0.0011356+2.9946e-05i,0.00013076-0.00058678i,-6.2132e-05-0.00053051i,0.00024675-2.5035e-05i,0.00011815+0.00073581i,-0.00022154+0.0010767i,-0.00039445+0.00074716i,0.00032081+0.00047634i
-0.0017549-0.0010523i,-0.0024352-0.0016806i,-0.003592-0.0013625i,-0.0046372-0.00040415i,-0.0023694+0.0010498i,0.00071236+0.0012177i,0.00097494-6.8787e-05i,-0.00079622-0.0023513i,-0.0026637-0.0033027i,-0.0028295-0.001689i,-0.0021399-0.00032143i,-0.0015704+0.00050309i,-0.0011944+0.00091493i,-0.0013642+0.00023102i,-0.00072501-0.00035867i,-4.8618e-05-0.0005857i,0.00024951-0.00075414i,0.00024307+0.00013556i,-0.00073608+0.0010562i,-0.001256+0.00043464i,-0.0011519-0.00025142i,-0.0014178+0.0003292i,-0.0012633+0.00047771i
6.9928e-05+0.0010361i,-0.0004398+0.00037907i,-0.00060145+8.5612e-05i,-0.00047644+0.0015492i,-0.00053604+0.0028608i,-0.00029147+0.0023281i,9.3377e-05-3.7568e-05i,-0.00025782-0.0015827i,-0.00061677-0.0013757i,-0.0011247-0.00010699i,-0.0016248+0.00018797i,-0.00096606+9.5388e-05i,-8.0237e-06+0.00086198i,0.00027365+0.0016126i,0.00031615+0.00086969i,0.00035901+6.2165e-05i,-0.0002596+0.00025635i,-0.00070665+0.00048882i,-0.00044876+0.00088692i,-0.00012221+0.00038317i,0.00065267-3.4779e-05i,0.0010092+0.00048027i,-3.9668e-05+0.00025186i
-0.00076583-7.6443e-05i,-0.00093335-0.0004942i,-0.0015155-9.7402e-05i,-0.001919+0.00031652i,0.00023212+0.0014583i,0.0026415+0.001097i,0.0022761-0.000911i,0.00015266-0.0022781i,-0.00097254-0.0023097i,-0.0014699-0.0013383i,-0.0010141-0.00019234i,-0.0002396+0.00050605i,-0.00017808+0.00047793i,5.1168e-05+0.0005945i,0.00031795+0.0005586i,0.00011302+0.00049385i,0.00036858-0.00031263i,0.00064279-0.0010583i,-0.00011838-9.7348e-05i,-0.00072597+0.00027402i,-0.000231+0.00012757i,0.00012897+0.0005532i,0.00015292+0.00072167i
0.0021728-0.0021413i,0.0018976-0.00048348i,0.00088497-0.0017791i,-0.00027843-0.0019354i,-0.00094037+0.00033385i,4.9665e-05+0.0023627i,0.00072031+0.0014411i,-0.00023425-0.001484i,-0.00098072-0.0029637i,-0.0012065-0.0015071i,-0.001166+0.00014378i,-0.0012415+0.00021506i,-0.00096129-8.5999e-05i,0.00022551+0.00050727i,0.0012736+0.001067i,0.0017366+0.0011329i,0.0015382+0.0009126i,0.00048491+0.00039013i,-0.00022553+0.00029952i,-0.00046845+0.00060912i,-6.1805e-05+0.00099055i,0.0001769+0.00091982i,-0.00015853+0.00066913i
0.00063977+0.0022217i,0.00056482+0.00078686i,-0.00019663+0.00066614i,-0.00081301+0.00088425i,0.00013402+0.001256i,0.0012255+0.000381i,0.00073348-0.0021851i,-0.0012058-0.0043115i,-0.0028254-0.0045036i,-0.0021797-0.0028456i,-0.0015177-0.0007991i,-0.0013141+0.00062516i,-0.00089817+0.0015977i,-0.00065281+0.00171i,-0.00058267+0.0010718i,-1.0521e-06+0.00051555i,0.00078674-0.00016609i,0.00063661-0.00017i,-0.00017904+0.0008449i,9.6786e-05+0.0011681i,0.0011168+0.0011128i,0.0011294+0.0012432i,0.00053061+0.0014307i
-0.0017374-0.00048964i,-0.0021643-0.00082243i,-0.0033826-0.00071604i,-0.0031997+0.0010864i,-0.0014703+0.002496i,0.000475+0.0017164i,0.0011451+0.00010612i,0.00013062-0.0011938i,-0.0017254-0.001709i,-0.0033092-0.0014521i,-0.0019571-3.0917e-05i,-0.00011989+0.00065103i,0.00063217-3.5091e-05i,0.00087682+8.7086e-05i,0.0006612-0.00016224i,0.00052982-0.00038693i,0.00041936-0.00025118i,0.00036797+0.00018457i,0.00050078+0.00095612i,8.1766e-05+0.00091736i,7.9425e-05+0.00057694i,-3.7313e-05+0.0009905i,-0.00040642+0.0011507i
0.00036487-0.0009772i,0.0013206-0.0017747i,0.0015607-0.0022775i,-0.0010267-0.0019524i,-0.0022276-0.00014985i,0.00024926+0.00082568i,0.0015205-0.00098827i,-0.00031892-0.0028293i,-0.0021723-0.0022042i,-0.0025612-0.0009475i,-0.0012133-0.00034044i,0.00011646+0.0010179i,0.00015988+0.0016206i,-0.00016027+0.00065529i,-0.00013837+3.4111e-05i,0.00034864+0.00034441i,0.00060113+0.00090659i,0.00085789+0.00062685i,0.00060623+0.0005401i,0.00023135+0.00096334i,-4.0474e-05+0.0010574i,-0.00069461+0.00069156i,-0.0012773+0.00050971i
0.0016494+0.0017552i,0.00020295+0.0031867i,0.00035043+0.0031074i,-0.00052468+0.0021835i,-0.0002619+0.0021659i,0.00025494+0.0019971i,0.00033997+0.00037225i,0.00032373-0.0013949i,2.9701e-05-0.0015494i,-0.00041657-0.00057066i,-0.0003947+0.00022125i,-0.00078057+0.00032869i,-0.001424+0.00014784i,-0.0009231+0.00034291i,0.00052844+0.00062927i,0.0010827+0.00064698i,0.00091881+8.9373e-05i,7.2927e-05-6.6054e-05i,-0.00083619+1.6985e-05i,-0.0011538+9.7849e-05i,-0.0011998+0.00052837i,-0.00089013+0.00058152i,-0.00064479+0.00056522i
-0.00030916-0.0014475i,-0.00098801-0.0027052i,-0.0016526-0.0026443i,-0.00096408-0.00098767i,0.00069375+0.0012191i,0.0019958+0.0020646i,0.0020622+0.00015369i,0.0012443-0.0024548i,-0.00013427-0.0034362i,-0.00082156-0.0023057i,-0.00024304-0.00062095i,0.00053096+0.00042966i,-6.2362e-05+0.0014688i,-0.00097757+0.0020215i,-0.0011632+0.0018588i,-0.00028965+0.00087932i,0.00028225+0.00035521i,-9.3251e-05+0.00017897i,-0.00055809-0.00061303i,-0.0012425-0.00061874i,-0.0010516+0.00015543i,-6.7514e-05+0.00067344i,0.00057161+0.00042381i
0.0015879-1.2096e-05i,0.0016478+0.00016594i,-9.8201e-06-0.0001241i,-0.0022192-0.00073223i,-0.0021147+0.00022302i,0.00082066+0.0014084i,0.0020162-0.00026552i,0.00046408-0.0026761i,-0.0011473-0.0031167i,-0.0015198-0.0022307i,-0.00088996-0.0013939i,-0.00059898-0.0010358i,-0.00063661-0.0012331i,-0.00021436-0.0008068i,0.00017959+0.00070699i,0.00096618+0.00086739i,0.00078629+4.9209e-05i,-0.00014797-0.0005917i,-0.00010329-0.00022462i,-0.00048058+0.00053467i,-0.0004468+0.0005609i,6.2878e-05+0.0003862i,0.00047115+0.00020146i
-0.0029018+0.00020207i,-0.0035652+0.00055776i,-0.0031877+0.0018713i,-0.0015271+0.0027576i,7.1043e-05+0.0026468i,0.0014657+8.0972e-05i,0.00078174-0.0026908i,-0.00061662-0.0034598i,-0.0015037-0.0025818i,-0.0015531-0.0021648i,-0.00097312-0.0012032i,-0.00056609-0.00017134i,7.7658e-05-0.00028265i,0.00033168+0.00038249i,-0.00059748+0.00046726i,-0.00084042+3.1474e-05i,-0.00019649+0.0004177i,-0.00050963+0.00078586i,-0.0011496+0.00063729i,-0.00077742+0.00016553i,-0.00055703-0.00031987i,7.1766e-05-0.00048916i,0.0010036+0.00043651i
0.00093104-0.00039634i,9.272e-05-0.00010515i,-0.00028427-0.001053i,-0.0015054-0.00048329i,-0.0016158+0.0015447i,-0.0008356+0.0018187i,-0.00038507-5.6681e-05i,-0.0011773-0.0017917i,-0.0017665-0.0016173i,-0.0020203-0.00068224i,-0.0017702+0.00021724i,-0.00041259+0.00057021i,0.00017987+0.00059416i,0.000241+0.0002381i,8.5629e-05-4.7516e-05i,0.00015862+5.1869e-05i,0.000744+0.00013089i,0.00080096+0.0001243i,8.68e-06+0.00039609i,8.7374e-05+0.00059377i,0.00015065+0.00069561i,-0.00031945+0.00092303i,0.0001049+0.00011613i
-0.00075683+9.8026e-05i,-0.00053936+0.0014202i,0.00044968+0.002014i,0.0022142+0.0015979i,0.0022365+0.0014146i,0.001621+0.0013865i,0.00082629+0.00024248i,0.00039008-0.001572i,-0.00028092-0.0022014i,-0.0014732-0.00075288i,-0.0012023+0.00098391i,1.3293e-05+0.00090252i,0.00036925+1.7723e-05i,-2.7923e-05+0.00033959i,-0.00032884+0.00056139i,-5.6326e-05+0.00022217i,0.00094531-0.00028077i,0.00093518-0.00035699i,2.7366e-05+0.00034269i,-0.00051812+0.00048332i,-0.00099845+0.00048335i,-0.000969+3.9592e-05i,-0.00044175+0.00015919i
-0.00068126-7.62e-05i,0.00038746-0.00098323i,-0.0024372-0.0015811i,-0.004952+0.00011712i,-0.0041232+0.0029007i,-0.0008337+0.0034618i,0.0011354+0.00076594i,0.00032292-0.002039i,-0.00058909-0.0024306i,-0.00064187-0.0011677i,-0.00039711-0.00017946i,-0.00011541+0.00026007i,-0.00025044+0.00014298i,-0.00041861+0.00020388i,-7.4879e-05+0.00046589i,0.00079724+0.00059412i,0.0010233+0.00084383i,0.00051174+0.00053285i,0.00033946-1.9509e-05i,0.00018149-0.00052907i,0.00048514-0.00085567i,0.00056905-9.9163e-05i,-0.00017943+0.00020512i
0.00047471-0.00039505i,0.00032952+0.0016418i,0.00081011+0.0027491i,0.00064578+0.0029513i,-9.4859e-05+0.0037339i,0.0010479+0.0029341i,0.0013885-0.00021011i,2.4845e-05-0.003058i,-0.0010275-0.0037984i,-0.0018242-0.0027537i,-0.0014822-0.0018491i,-0.0014848-0.00066021i,-0.001416-3.3207e-05i,-0.00011775+0.00060246i,0.00087849+0.00039448i,0.0012716-0.00055581i,0.00083645-0.00044552i,0.00025868-0.00027612i,0.00017363-0.00022376i,-2.9173e-05-0.00057693i,-0.00085972-0.00045934i,-0.00094368-0.0001712i,3.3514e-05+0.00038426i
-0.0028512-0.00089094i,-0.0027953-0.0015484i,-0.0031763-0.0012188i,-0.0027893-0.00034193i,-0.001322+0.0018455i,0.00079388+0.0020637i,0.0015791-0.00088804i,0.0003144-0.0026113i,-0.001355-0.00209i,-0.0019125-0.00060089i,-0.0025679-2.7522e-06i,-0.0021729-6.4072e-05i,-0.00099504+0.00046081i,-0.00087336+0.00084981i,-0.00095006+0.00096866i,-0.00083045+0.0011923i,-0.00037328+0.0011677i,-0.00030543+0.0013713i,-0.00072673+0.0014847i,-6.621e-05+0.00069224i,0.00038643-0.00012579i,0.00030532-0.0001247i,0.00056671-0.00037833i
-0.00072431-0.00043071i,-0.00021972-0.00037689i,-0.0011855+0.00090334i,-0.0022279+0.0027945i,-0.00069647+0.0039645i,0.0019892+0.0027364i,0.0027638-0.00046557i,0.00097821-0.0025128i,-0.0016309-0.0025775i,-0.0021973-0.0013485i,-0.0015697+0.00014991i,-0.00061582+5.0096e-05i,-0.00044269-0.00062879i,-0.00070256-0.0001094i,-0.00050267+0.00055789i,-0.00049715+3.9218e-05i,-0.00097965-0.00028361i,-0.00076291+9.0425e-05i,-0.00039558+0.0007736i,-0.00029286+0.00075915i,-0.00025831+0.0005639i,-6.2014e-05+0.0003421i,-0.00028814+0.00037085i
-5.0042e-05-0.00014899i,0.00012584+0.00025601i,-0.001446+9.9116e-05i,-0.0018756+0.00080226i,-0.0015763+0.0022946i,-0.00023235+0.0022791i,0.00067113-0.00048111i,1.4095e-05-0.00225i,-0.0011645-0.0017431i,-0.0017074-0.00097076i,-0.0012123+0.00040237i,-0.00047534+0.0011013i,0.00025619+0.00032i,0.00014126-0.00036438i,-6.3796e-05-0.00046118i,-0.00033098-9.5923e-05i,-0.00078448-0.00057175i,-0.00077851-0.00056981i,-0.00064842+0.00047607i,-0.00027442+0.0017041i,-0.00042596+0.0019077i,-0.00016224+0.0013022i,0.00092073+0.00079008i
0.00081977-0.0020465i,-0.00068433-0.0018523i,-0.0012608-0.0012309i,-0.0016981+0.00043115i,-0.001365+0.0024168i,0.00091152+0.0029313i,0.0017136+0.00033512i,0.00048569-0.0027035i,-0.001347-0.003268i,-0.001277-0.0023794i,0.00054901-0.0012949i,0.0012345-0.0007744i,0.00067398-0.00075212i,0.00047088+0.00011655i,0.00046113+0.00055666i,0.0005382+7.9832e-05i,0.00030497-4.5617e-05i,-0.0004198+2.6851e-06i,-0.00065656+0.00036799i,-0.0011397+4.2797e-05i,-0.0014288-0.00044737i,-0.0011265-0.0004845i,-0.00019406-0.00032093i
-0.00057304-3.6572e-05i,-0.0007875-0.0010774i,-0.00088634-0.00039698i,-0.00050917+0.00072404i,-0.00010382+0.0021498i,0.00032114+0.0019312i,-4.2832e-05-0.00044341i,-0.00082897-0.0026345i,-0.0013678-0.0037075i,-0.0013743-0.0032487i,-0.0013875-0.0019505i,-0.0007843-0.00080886i,-0.00017016+0.00011731i,-0.0005505+0.00076493i,-0.00047752+0.0010216i,0.00050935+0.0010732i,0.0012082+0.00084775i,0.00076064+0.00064272i,0.00015408-3.5249e-05i,0.00017291-0.00048096i,-0.00053016-0.00022778i,-0.00097269-0.00053032i,-0.00076981-0.00095043i
0.00082492-0.00053514i,-3.0212e-05+6.1784e-05i,-0.0016309+5.7743e-05i,-0.0026256+0.00094183i,-0.0014357+0.0030246i,0.0009753+0.0026978i,0.0014506+0.00010053i,-4.8395e-05-0.0017336i,-0.0020375-0.0019777i,-0.0026276-0.0015515i,-0.0015431-8.0135e-05i,-0.0011178+0.001221i,-0.00096394+0.001242i,0.00017918+0.00033666i,0.00050977+9.7409e-06i,0.00031825-0.00025206i,0.0003057-0.00051507i,0.00020743-0.00040507i,-0.00014699+5.8283e-05i,-9.0964e-05+0.000601i,9.0924e-05+0.00017132i,0.0005099-0.00042049i,0.0011375-0.00020005i
