-0.00079493+0.0018565i,-0.00030407+0.0007104i,-0.0014532-0.00025028i,-0.0027184-0.00098602i,-0.0023788-4.0294e-05i,-0.0020264+0.0010068i,-0.0016081+0.0010444i,-0.00036055+0.001478i,0.00014732+0.00066567i,0.00021752-0.0007023i,0.0002672-0.00083351i,-0.00022083-0.00078066i,-0.00045828-6.2657e-05i,-0.00031061+0.00019925i,0.00036918-1.4148e-05i,0.0010218-0.00019912i,0.00067712-0.00042443i,-0.00038068+9.259e-05i,-0.00012827-0.00024651i,0.00022163-0.000326i,-0.00057498+0.00044586i,-0.00099962+2.222e-05i,-0.000142-0.00043088i
0.0002406+0.0015378i,-0.00033311+0.0015422i,-0.0021452+0.00093147i,-0.0040268+0.00014863i,-0.0044592-0.00084339i,-0.0024705-0.0025139i,-0.0013723-0.0021293i,-0.0012091-0.00079214i,-0.0010723-0.00058219i,-0.0003123-0.00075925i,-2.1383e-05-0.00072488i,-0.00066565-0.00054142i,-0.00054074+0.00033232i,-0.00041167+0.00070665i,-0.00026932+0.00034491i,0.00083855-0.00050759i,0.00083256-0.0012797i,0.00027912-0.00084255i,0.00095934-0.00025019i,0.0011348-0.00089375i,0.00069302-0.00089202i,0.00045891-0.00016074i,0.00085966+0.00022381i
-0.0026925-0.0014033i,-0.0020113+5.5752e-05i,-0.0014928+0.0015332i,-0.0009361+0.0025414i,-0.00091135+0.0030865i,-0.0011264+0.0029079i,-0.0013262+0.002913i,-0.001458+0.0023929i,-0.00081701+0.0006477i,0.00011837-0.00019628i,-0.00010208-0.0009564i,0.00040439-0.0011696i,0.0010735-0.00015145i,0.00080284-0.00018782i,0.00077299-0.00036248i,0.0004441-0.00095387i,0.00033149-0.0013593i,-0.00031767-0.00055835i,-0.0012505+0.00021004i,-0.0011525+7.2936e-05i,-0.00045277-0.00027191i,-7.1709e-05-4.1185e-05i,0.00048241+0.000149i
-0.00064598+0.0021065i,-0.00096832+0.00052437i,-0.0007151-0.0023103i,-0.0010947-0.0044188i,-0.0010659-0.0030687i,-0.00042168-0.001142i,2.8699e-05-0.00058604i,-0.00013903-1.9491e-05i,0.0001775+0.00049584i,0.00042623+0.00046114i,0.00038759+0.00011589i,0.00018953-0.00010882i,-4.3527e-05+0.00012297i,0.00029829-0.00060387i,0.00025423-0.0014196i,-0.0002861-0.00082551i,-0.000804-0.00020439i,-0.00041422+0.00033839i,0.00036505-1.0409e-05i,8.7917e-05-0.00013441i,-0.00052178+0.00022087i,-0.00021822+0.0006698i,0.00018837+0.0004432i
0.00092276-0.0061928i,-0.0016358-0.0040884i,-0.0054627-0.0019396i,-0.007761-0.00017908i,-0.0068477+0.00025518i,-0.0050357-2.7116e-05i,-0.0037337-0.00049107i,-0.0023157+0.00045764i,-0.00045407+0.00028059i,0.00069948-0.0007958i,7.9871e-05-0.00068059i,-0.00018015-0.00073562i,0.00036382-9.5313e-05i,0.00057059+0.00046409i,0.0011982+0.0002073i,0.0020617-0.00047901i,0.0010761-0.00079422i,-0.00042007-0.00022885i,-0.00074046+7.9268e-05i,-0.00071776+8.0031e-05i,3.5201e-05-0.00062445i,0.00055628-0.00089467i,-0.00025163-0.00037568i
0.0020151-0.00033863i,0.0029367-0.0017027i,0.0028704-0.0028251i,0.0013629-0.0026708i,0.00066183-0.0010664i,0.00017807+0.00016153i,-1.8798e-05+0.000718i,-0.00040744+0.00084609i,-0.00020279+7.3207e-05i,-0.00016405-0.00084019i,-0.00063758-0.00083263i,-0.00021833-0.0006878i,-0.00012905-0.0017557i,-0.00029553-0.0020748i,-1.401e-05-0.0014017i,0.00024341-0.00084259i,-0.00035875-0.00047245i,-0.00017356-0.00032927i,0.00060905-0.00039016i,0.00056738-0.00054534i,0.00038917-0.00023358i,7.919e-05-0.0001708i,8.0113e-05-9.0298e-05i
0.0046923+0.0007278i,0.0013674-0.0003404i,-0.002715-0.0033338i,-0.0054931-0.0054549i,-0.0053899-0.0048478i,-0.0035723-0.0029549i,-0.0026505-0.0019526i,-0.0016975-0.00083195i,-0.00060775+4.0427e-05i,-0.00054833-0.00045756i,-0.00010441-0.00058426i,0.00077438+0.00041886i,0.00098826+0.001256i,3.0862e-05+0.0012293i,-0.0010113+0.00091139i,-0.00050062+0.0005917i,0.00030582+0.00015157i,0.00032365-0.00048382i,0.00047505-0.0015825i,0.0010309-0.0018128i,0.0010382-0.00096131i,0.00074123-0.00022481i,0.00015228+2.1651e-05i
-0.0016964-0.0026699i,-0.0021426-0.0018196i,-0.0022046-0.00045559i,-0.0028598+0.00075449i,-0.0032604+0.0014429i,-0.0019243+0.0011639i,-0.0015686+0.0013292i,-0.0019359+0.0015474i,-0.00096959-3.1034e-05i,0.00024302-0.0019103i,0.00015808-0.0020271i,-0.00041984-0.0012256i,-2.5964e-06-0.00079704i,0.00080565-0.00066684i,0.00093261-0.0010085i,0.00054622-0.00052997i,0.00020787-0.00048319i,0.00018674-0.0001789i,-5.4227e-05+0.00019887i,-0.00023711-0.00071939i,0.00017272-0.00078553i,0.00065797-0.0003349i,0.0010557-0.00025528i
-0.0031795+0.0008723i,-0.0029712-0.00039969i,-0.001223-0.0015352i,0.00031447-0.001675i,0.0006028-0.001218i,0.00032405-0.00098294i,0.00068566-0.0004777i,0.0001923+0.00051627i,-0.0014166+0.00073236i,-0.0013909+0.00010689i,-0.00068145-0.00025306i,-0.00045129+0.00014694i,-0.00032869-0.00013642i,-0.00032202-0.0007422i,-6.9973e-05-0.00083819i,-0.00023362-0.00047427i,-4.737e-05+0.00042655i,0.00034862+0.0015662i,0.0011265+0.0013167i,0.0012484+0.00058234i,0.00020033-0.00012261i,0.00019491-0.00047776i,0.00053509-0.00017008i
-0.00057522-0.0021967i,-0.0017707-0.00068884i,-0.0041554-0.0011975i,-0.0059572-0.00076934i,-0.005612+0.00092499i,-0.0034069+0.0013326i,-0.0021547+0.00020287i,-0.0016929-0.00030646i,-0.0012039-0.00017908i,0.00017997-0.00027402i,0.0015445-8.8557e-05i,0.0015122-0.00023563i,0.0011372-0.00013607i,0.00057406+0.00050035i,8.8392e-05+0.0007641i,0.00035011-0.00033319i,0.0010394-0.001003i,0.00042634+7.0652e-05i,9.7827e-05+0.00023323i,0.00068133-0.00023599i,0.00066229+2.945e-05i,0.00019763-3.1734e-06i,0.00039034+0.00043586i
-0.0023405-0.0033779i,-0.00086682-0.0022835i,-0.0012294-0.00024378i,-0.0021478+0.0020272i,-0.0020612+0.0042543i,-0.001132+0.0034251i,-0.0005919+0.001365i,-0.00038825+0.00023002i,-0.0002655-0.00019755i,-0.00084729-0.0010263i,-0.00052681-0.0011174i,0.00021315-0.0007485i,0.00070685-0.00091328i,0.00097876-0.00048341i,0.00093397-0.00023451i,0.00016291-0.00074268i,-0.00011014-0.00053472i,-0.00013183+0.00018788i,0.00032041+2.6719e-05i,0.00044003+0.00047248i,0.00080528+0.0013501i,0.00081432+0.0014998i,0.0003026+0.00036098i
0.002434+0.0030961i,0.0016331+0.00043649i,0.0010802-0.0037671i,0.001044-0.0050303i,0.0016174-0.004029i,0.0012158-0.0029493i,-0.00026295-0.00153i,-0.00076578-0.00049041i,-0.00054841-0.00014582i,-0.00067402+0.00045602i,-0.0010651+0.00072131i,-0.00085124+0.0010015i,-0.00037241+0.0010814i,-0.000605+0.001015i,-0.0012595+0.00036161i,-0.00035866-0.000215i,0.0010753+2.2771e-06i,0.00071011-0.00034996i,0.00081288-0.00045741i,0.0018198-0.00038803i,0.0010887+0.00017454i,-0.00015303+0.00060449i,-0.00024239+0.00046568i
0.0019102-0.0025545i,0.0021646-0.0021187i,-0.0013662-0.0028211i,-0.0053369-0.0031274i,-0.0057665-0.0016642i,-0.0039489-0.00032779i,-0.0027841+0.00030707i,-0.0018772+0.00071849i,-0.00078286+0.00070731i,0.00020751-4.1332e-05i,0.0010078-0.00035388i,0.0015719-0.0013356i,0.0019355-0.0015262i,0.0021049+1.33e-05i,0.0013341+0.00022647i,0.00034565-0.00090725i,0.00065488-0.00031978i,0.0005858+0.00026265i,-0.00088111-0.00043267i,-0.0019468-0.0010526i,-0.0014576-0.00083907i,-0.00049124+0.00020703i,0.00020885+0.00078396i
-0.0053054+0.00050994i,-0.005246-0.0010069i,-0.004098-0.00018657i,-0.0029539+0.0022215i,-0.0012846+0.0035403i,0.00059283+0.0025375i,0.00098363+0.0013771i,0.0007449+0.0010774i,0.00064107+0.00087642i,5.3202e-05-3.0691e-05i,-0.00034315-0.0011086i,-0.00071274-0.0012977i,-0.00059311-0.00096279i,0.0002505-0.00069999i,0.00034287-8.2917e-05i,-0.00040848+0.00032703i,-0.00047372+0.00041707i,-0.00083444-5.581e-05i,-0.00096566+1.1671e-05i,-0.0010393+0.00058384i,-0.00082955+0.0010955i,-0.00010333+0.00055128i,0.00031984-0.00034205i
0.0029688+0.0019231i,0.002538+0.0014843i,0.00080078-0.0012272i,-0.000107-0.0027164i,-0.00053376-0.0028292i,-0.0012339-0.0025239i,-0.0016-0.0015833i,-0.0012024-0.00015341i,-0.00044557+0.00083987i,-0.00062545+0.00082198i,-0.00080726+0.00017282i,-0.00011329+0.00015742i,0.0011655+0.00068275i,0.00098456+0.00082896i,0.00031529+0.00024647i,0.0009672-0.00030052i,0.0011008-0.0014484i,0.00080743-0.0016646i,0.001629+0.00012838i,0.0020841+0.00018543i,0.0008402-0.00053712i,3.1988e-05-0.00029233i,0.00013895-1.9922e-05i
-0.0078213-0.0039377i,-0.0060833-0.0015063i,-0.0064727+0.0015626i,-0.0069031+0.0037786i,-0.0058997+0.0039804i,-0.0027107+0.0035081i,-0.00037918+0.0023577i,-0.00029427+0.0017941i,-0.00051534+0.0014176i,-0.00061056+0.00041664i,-0.00038347-0.00030994i,0.0007901-0.0010418i,0.0013874-0.001602i,0.0015479-0.00090793i,0.0010323+5.5662e-05i,-0.00050642+6.5226e-05i,-0.0012554+1.9681e-05i,-0.0012977+0.00046744i,-0.0010577-4.5897e-05i,-0.00048191-0.00069857i,-0.00040829-0.00029404i,-0.00035101+0.00015386i,-4.7566e-05+0.00086894i
-0.0033109+0.0036365i,-0.0028356+0.0021313i,-0.0017952+0.0010714i,-0.001089+0.0012979i,-6.254e-05+0.002859i,0.0010874+0.0019515i,0.00095234-0.0003745i,-0.00014409-0.00088479i,-5.5551e-05-0.00022683i,7.1875e-05+4.6481e-05i,-0.00094752-0.00012539i,-0.0016369+2.9438e-05i,-0.00090302+0.00072333i,2.5916e-05+0.00044836i,0.00062272-0.00096749i,0.00067122-0.00078039i,0.00026443+0.00012332i,0.00034782+0.00040683i,0.00076262+0.00074054i,0.0013008+0.00069052i,0.0015148-0.00028767i,0.0011612-0.0012377i,0.00035019-0.00093684i
0.0089165-0.0014681i,0.0058661-0.0020371i,0.00069559-0.0049782i,-0.0016424-0.0067119i,-0.0019851-0.005711i,-0.002957-0.0031727i,-0.003807-0.00082457i,-0.0032333+0.00048252i,-0.0016407+0.00057486i,-0.00067992-0.00014325i,-0.00049164-0.00056102i,0.00016459+0.00027651i,0.00053119+0.0017822i,-0.00020083+0.0013401i,1.0496e-05+0.00020688i,0.00044367-0.00033631i,0.00047954-0.00082746i,0.0010994-0.00096344i,0.0011418-0.00024098i,0.00016863-2.75e-05i,-0.00066153-0.00038138i,-0.00050623+0.00015443i,0.00011676+0.00075537i
-0.0049648+7.4755e-05i,-0.0039671-0.00023184i,-0.0034183+0.00064219i,-0.0044295+0.00092373i,-0.0040371+0.0013312i,-0.0011891+0.0014649i,0.0008386+0.00084068i,-0.00037283+0.00045026i,-0.0014095+0.00038082i,-0.00078098+0.00021983i,-0.00021-0.00051123i,0.0003389-0.0017726i,0.0012547-0.0015784i,0.0014901-0.00055636i,0.0015796-0.00057092i,0.0019236-0.00020189i,0.0011276+0.00052754i,0.00026632+7.6313e-05i,0.00034816-0.00028033i,0.00025489+0.00050851i,-0.00011802+0.00080099i,0.00030706-0.00028909i,0.00067702-0.00058822i
0.0023546+0.0028373i,0.0011022+0.0011867i,0.00052542-0.0016198i,-1.3569e-05-0.0019453i,0.00049398-0.00069587i,0.00084928-0.00095835i,-0.00081812-0.0021214i,-0.0017277-0.001501i,0.00038034-0.000643i,0.0013865-0.0006828i,-4.9876e-05-0.00065024i,-0.000942-4.3072e-05i,-0.00053827+0.00013298i,-4.8993e-05-0.00022656i,-0.00024535-0.00078114i,-3.4463e-05-0.0012396i,0.00037637-0.0011617i,5.5898e-05-0.00091316i,0.00016296-0.00074447i,0.0010998-0.00045579i,0.0010425-0.0013214i,0.00011207-0.0024388i,-0.00025388-0.0016899i
0.00056399-0.0026776i,0.00031677-0.0021364i,-0.00079713-0.0024875i,-0.0023081-0.0036565i,-0.0023268-0.0037387i,-0.0016095-0.0018216i,-0.0023807+6.1833e-06i,-0.0021551+0.00037355i,-0.00026442+0.00032233i,0.00063625+5.9665e-05i,7.3987e-05+0.00032996i,-0.00013941+0.00064457i,0.00088322-0.00038126i,0.0012732+0.00030601i,0.00072313+0.001517i,0.00046191+0.0009657i,0.00020235+0.00073104i,-8.6564e-06+0.00046312i,0.00054277-0.0007617i,0.00054178-0.00024257i,-0.00041739+0.00062284i,-0.00031451+0.0009107i,0.00047802+0.001506i
-0.00239+0.00060104i,-0.0023894-0.00012205i,-0.0016432-0.00086942i,-0.0033797-9.4409e-05i,-0.0044249+0.0016885i,-0.0017785+0.0016819i,0.00034612+0.00039134i,0.00061285+0.00025113i,0.0007252+0.00027215i,0.001186-0.00039805i,0.0009787-0.00056866i,0.00057032-0.00062042i,7.3918e-05-0.0014056i,7.3148e-05-0.0018079i,0.00030175-0.001107i,0.00084059-0.00046393i,0.0016454+0.00034452i,0.0017943+0.00017041i,0.0011319-0.00014776i,0.00044007+0.0008942i,0.0011146+0.0018684i,0.0019093+0.0012519i,0.0015816-0.00014134i
0.004578-0.0013258i,0.0023908+9.7526e-06i,-0.00064302-0.0016242i,-0.0015804-0.0017076i,-0.0014049-0.00027339i,-0.0016156-0.00019898i,-0.0025467-0.0012787i,-0.0027307-0.0017381i,-0.0013635-0.0015481i,-0.00085986-0.0014106i,-0.00061883-0.00068997i,-0.00015346+0.00078353i,-2.071e-05+0.0015855i,0.00022808+0.0014391i,-0.00037051+0.0016338i,-0.00033858+0.00044272i,0.00029961-0.0014443i,-8.6727e-05-0.0019458i,-0.00039857-0.0018741i,-9.3414e-05-0.0017903i,-0.00056834-0.0010519i,-0.00096081-0.0002668i,-0.00076773+4.2362e-05i
-0.005298-0.0043831i,-0.0037841-0.00419i,-0.0043846-0.0027281i,-0.0047437-0.0023215i,-0.0040503-0.0014652i,-0.0021726+0.00026807i,-0.00058508+0.0016341i,-0.00087864+0.0020507i,-0.0011085+0.0017502i,-0.00059899+0.0009437i,3.6639e-05+0.00046199i,0.00083424-3.709e-05i,0.0009761-8.4543e-05i,0.00013288+0.00026349i,-0.00023321+0.00050897i,-0.00049454+0.00071482i,-0.00094938+0.0012659i,-0.00089102+0.0015081i,-0.0014261+0.0010465i,-0.0013277+0.00084314i,-0.00083938+0.0010201i,-0.00026987+0.0010868i,0.00021604+0.00074851i
0.00055182+0.0024294i,-0.0011148+0.0015088i,-0.00059476+0.00075425i,-0.00157+0.001306i,-0.0037753+0.0024236i,-0.0030882+0.0019502i,-0.0002294-0.00039395i,0.0010723-0.0010345i,0.001077-0.00035638i,0.00065519-0.00076603i,-1.6521e-05-0.00096085i,-0.00092321-0.00016501i,-0.0011187+9.3071e-05i,-0.000279-0.00026337i,0.00053792-0.00081846i,0.0016674-0.0016131i,0.0028047-0.0018933i,0.0024881-0.0011895i,0.0015072-5.4231e-05i,0.00076515+0.00045697i,0.0001982-7.2122e-05i,0.00067511-0.00084049i,0.0010761-0.00098501i
0.0017808-0.00030788i,0.0022772-0.00020943i,0.00082817-0.0015887i,0.0001749-0.0024043i,0.00027436-0.0017182i,-0.00076479-0.0012333i,-0.0030776-0.00070853i,-0.0036278+0.00033968i,-0.0017476+0.00043684i,-0.00054648-0.00056815i,-0.00073109-0.0010038i,-0.00026591-0.00031502i,0.00075324-0.00011127i,0.0014282+4.2649e-05i,0.00057697+0.00046531i,-0.0011989+0.00075586i,-0.0019771+0.00021733i,-0.0020327-0.00033967i,-0.0016217-0.00072507i,-0.0012504-0.0014388i,-0.00083101-0.00030258i,-0.00079794+0.00093927i,-0.0010841+0.00048281i
-0.0030001-0.0016868i,-0.0014646-0.0010406i,-0.001287-0.00046354i,-0.0032259-0.0013521i,-0.003445-0.0017475i,-0.001446+9.8967e-06i,0.00053306+0.0015935i,0.00099208+0.0020208i,0.0011202+0.001918i,0.00090814+0.0014425i,0.00037926+0.0011747i,0.00032895+0.00036559i,0.00061356-0.00095371i,0.00089953-0.0011863i,0.0012765-0.00047812i,0.0016256+0.00034708i,0.001951+0.00088647i,0.0015377+0.001117i,0.0011873+0.0012273i,0.00092122+0.0011756i,0.00066676+0.00094981i,0.00057697+0.0013903i,0.00029799+0.0010333i
0.0014599+0.004269i,0.00056684+0.003662i,-4.59e-05+0.0012566i,-0.0012601+0.0016215i,-0.0025545+0.0030632i,-0.0015513+0.001576i,-0.00074962-0.0016872i,-0.00051122-0.0025779i,0.0005345-0.0014979i,0.0011635-0.0011432i,0.00093921-0.0012816i,-0.00016244-0.0012477i,-0.00085286-0.0012878i,-0.00034879-0.0012005i,-0.0004384-0.00069767i,-0.00063297-0.001233i,-0.0010162-0.0023565i,-0.0015517-0.0018455i,-0.00084533-0.00096761i,0.00025019-0.0010542i,0.0005798-0.0014872i,0.00071571-0.0010433i,0.00060163-0.00027595i
-0.0039102-0.0057191i,-0.0023871-0.0042695i,-0.0031692-0.0010894i,-0.0030332+0.00052786i,-0.0010369+0.0015468i,0.00025074+0.0025103i,-0.001919+0.002857i,-0.0037535+0.0020563i,-0.0026828+0.001134i,-0.0022366+0.001197i,-0.0014644+0.0013556i,0.00012264+0.0011192i,0.00041573+0.00037721i,0.00017388-2.2726e-06i,0.00036328+0.00057033i,0.00011478+0.00076057i,-0.00073431+0.001218i,-0.00062272+0.0010236i,-0.00027985+0.00012654i,-0.00037776+9.7021e-05i,-0.00044667+0.00031951i,-0.0010345+0.00077687i,-0.00091114+0.0014163i
-0.0028047+0.0023706i,-0.0029365+0.00083256i,-0.0013118-0.00041043i,-0.0020781-0.0015507i,-0.0028155-0.0024451i,-0.0010199-0.0016037i,0.00069783-0.00023983i,0.0012683+0.00033632i,0.00098118+0.00029454i,0.0012831+0.00027323i,0.0010685+0.00044555i,0.00027632+0.00019871i,-0.00032222-0.0010545i,0.00019746-0.0013367i,0.00082042-0.00034753i,0.00075037-0.00053334i,0.0011449-0.0016469i,0.0015714-0.0015268i,0.0013024-0.0011656i,0.0012105-0.00062851i,0.00081333+5.392e-05i,0.00028359-0.00046312i,0.00054672-0.0012701i
0.010632+0.00073778i,0.0071383-0.00069621i,0.0039172-0.0040714i,0.00021473-0.0033644i,-0.003121-0.0008966i,-0.0040989-0.0011532i,-0.0049467-0.0021581i,-0.004083-0.001883i,-0.0020198-0.00173i,-0.00079708-0.0019814i,-0.001244-0.0016936i,-0.0017383+0.00018805i,-0.0012358+0.0014447i,-0.00095609+0.00047866i,-0.0012146+0.0004127i,-0.0018827+0.0010493i,-0.0017188+0.00053886i,-0.00083788+0.000407i,0.00020802+0.00017543i,0.00044445-0.00087089i,-0.00031842-0.00064325i,-0.0008945-0.0001142i,-0.00057426-0.0007049i
-0.0077194-0.0065557i,-0.0056827-0.0051852i,-0.0058355-0.0013329i,-0.0048306+0.00064913i,-0.0015234+0.0019881i,-0.00038925+0.0032706i,-0.0011913+0.0038671i,-0.0011778+0.0045824i,-0.0011003+0.0029789i,-0.0011252+0.00063907i,-0.00011215+0.00086193i,0.0012522+0.00088284i,0.0019044-0.00017856i,0.0013349-0.00061653i,0.0010235-0.00040508i,0.0022605+0.00069913i,0.0023156+0.0017343i,0.0014104+0.0016288i,0.00042152+0.00073854i,-0.00051553+0.00016583i,-0.00036996+0.00084761i,0.00070976+0.0012761i,0.0012132+0.0011492i
0.0022646+0.00784i,0.0014406+0.0051231i,0.0014032+0.00010801i,-0.00018031-0.0021805i,-0.0021751-0.0032221i,-0.0010344-0.0046428i,0.001721-0.0048226i,0.0018678-0.0036135i,0.0017991-0.0020046i,0.0017689-0.0015281i,0.00044721-0.0020731i,-0.00088583-0.0018319i,-0.001401-0.0010848i,-0.00094037-0.00043306i,-0.0003705-0.00075091i,2.2917e-05-0.0022157i,0.00010277-0.0026265i,4.8444e-05-0.0010407i,0.00017266+7.5373e-05i,0.00067753-0.00016073i,0.0006242-0.00094566i,0.00080469-0.0011864i,0.00092679-0.001039i
0.0062453-0.010583i,0.0044399-0.0069853i,-0.001395-0.0041528i,-0.0041231-0.001846i,-0.0042231+0.0010074i,-0.005115+0.0016738i,-0.0062823+0.0005938i,-0.0056721+9.4499e-06i,-0.0039409-0.00064585i,-0.0024855-0.00097745i,-0.0015588+1.6092e-05i,3.4825e-05+0.0012639i,0.0013829+0.0017795i,0.0010679+0.001419i,0.0001015+0.0013612i,-0.00053942+0.0017944i,-0.00064028+0.0018067i,-0.00023794+0.00097698i,0.00018462-0.00032856i,-0.00017991-0.0013147i,-0.0012712-0.00037026i,-0.0017393+0.00055608i,-0.0014782+0.00066041i
-0.012972+0.0067356i,-0.0075715+0.0036318i,-0.001547+0.0035309i,0.0003041+0.002805i,0.001528+0.0016331i,0.0034901+0.00097245i,0.0037078+0.0020816i,0.0027175+0.0039499i,0.0020062+0.0039014i,0.0019881+0.0024514i,0.0022596+0.00073249i,0.0019949-0.00065695i,0.0016247-0.00089337i,0.0010363-0.00077366i,0.0011897-0.0010884i,0.0024378-0.0010324i,0.0023297-0.00019917i,0.0011713-0.00059747i,0.00079319-0.0009709i,7.3568e-05-0.00010432i,0.00034232-0.0003923i,0.0015407-0.00044737i,0.00076109+0.00053165i
0.012155+0.0076871i,0.0069833+0.0047857i,0.0030082-0.0015599i,0.00043442-0.005218i,-0.0021206-0.0060491i,-0.0037286-0.0061703i,-0.0023867-0.0067919i,-0.0009261-0.0065077i,0.00051095-0.0048882i,0.0014766-0.0031808i,0.00010342-0.0020444i,-0.0014499-0.00096719i,-0.0019677+0.0008089i,-0.0013653+0.00063701i,-0.0012169-0.0012172i,-0.0022038-0.0017682i,-0.0026088-0.00091292i,-0.0022676+9.063e-05i,-0.0016661-0.00031659i,-0.00041926-0.00094463i,4.468e-05-0.00079285i,-0.0004706-0.00051048i,-0.00026732-0.00089976i
-0.0011457-0.013681i,-0.00018233-0.010718i,-0.0032486-0.0065929i,-0.0057493-0.0027999i,-0.0058867+0.001114i,-0.0056124+0.0030959i,-0.0058824+0.003778i,-0.0060665+0.0033764i,-0.0044573+0.0016313i,-0.0029266+0.00055411i,-0.0017423+0.0013086i,0.00025179+0.0021713i,0.0017064+0.0011297i,0.0020987+0.00039274i,0.0017554+0.0010555i,0.0020788+0.0016548i,0.0016191+0.0017275i,0.00073178+0.0012956i,0.00069593+0.00052262i,-5.3482e-05+0.00045903i,-0.00064604+0.00095435i,-0.00019211+0.0012031i,-0.00019264+0.0014083i
-0.0099525+0.009721i,-0.0093348+0.0061184i,-0.0056753+0.0040688i,-0.0026023+0.0035502i,0.00035533+0.0031114i,0.0037283+0.0020154i,0.0052141+0.00088049i,0.0056448+0.001371i,0.0046078+0.0020448i,0.0031873+0.0016706i,0.0024787+0.00036754i,0.0018506-0.0014883i,0.0016388-0.0025322i,0.00085717-0.0019464i,-6.6672e-05-0.0020617i,0.0007451-0.0031303i,0.0023284-0.0026297i,0.0018456-0.0016808i,0.00046654-0.0010431i,-0.00044147-0.00018429i,-0.00033673+0.00016355i,0.00046965-0.00046237i,0.0005739-0.0011049i
0.0119+0.0001408i,0.0075055+0.0021831i,0.0023591+1.9607e-05i,-0.0006966-0.0035582i,-0.0031468-0.0042263i,-0.0046929-0.0046575i,-0.0041996-0.0057934i,-0.0029777-0.0056283i,-0.0013946-0.0039218i,6.1426e-06-0.0032522i,-0.0010777-0.0023696i,-0.0019087+0.00018731i,-0.0016484+0.0017979i,-0.0019772+0.0018504i,-0.0018859+0.0016286i,-0.0016328+0.00192i,-0.0025994+0.0022729i,-0.00266+0.0013706i,-0.00036216+0.00046707i,0.00066451+1.965e-05i,-0.00013734-0.00097458i,-0.00079599-0.00079894i,-0.00044522-0.00022538i
-0.017191-0.0077419i,-0.010695-0.0063081i,-0.0048852-0.0021326i,-0.0032413+0.00089317i,-0.0022825+0.0036291i,-0.00032678+0.004977i,-0.0005327+0.0052505i,-0.0025445+0.0065705i,-0.0027107+0.0060757i,-0.0010082+0.0028916i,0.0013288+0.00061099i,0.0021549-0.00025624i,0.0019867-0.00063153i,0.00084846-0.00017965i,0.00058543+0.00029102i,0.0019638+0.00030557i,0.0023043+0.00042793i,0.0014959+0.00091047i,0.00072569+0.00034847i,0.00036572-0.00069726i,0.00048468+0.00020702i,0.0013492+0.00069366i,0.0016682+0.00018595i
0.0014557+0.011825i,-0.00030811+0.0079023i,-0.0010076+0.0028366i,0.00081519+0.00099927i,0.0027901+0.00015975i,0.0033056-0.0018866i,0.003548-0.0032522i,0.0043564-0.0027124i,0.0046811-0.0016834i,0.0033649-0.00069259i,0.001455-0.0009876i,0.00024333-0.0019442i,-0.00098419-0.0017707i,-0.0010703-0.0013689i,9.8292e-05-0.00080899i,-0.0002719-0.00040425i,-0.0011659-0.00041676i,-0.0011127-0.0011408i,-0.00072092-0.00083358i,-0.00034158+0.00032546i,0.00040699-0.0001346i,0.00059667-0.00085094i,-0.00016921-0.0010574i
0.0098416-0.0096844i,0.0085656-0.0050989i,0.0039912-0.0035624i,-0.0010224-0.0036587i,-0.0046022-0.0034071i,-0.0060618-0.0024292i,-0.0070382-0.0026386i,-0.0068659-0.0028655i,-0.0045293-0.0023031i,-0.0022919-0.0011876i,-0.0013391+0.0007209i,-0.00080649+0.0012266i,0.00039372+0.0013279i,0.00071856+0.001333i,0.00031252+0.00052235i,-4.3699e-05+0.00037121i,-0.00035197+0.00069954i,0.00025314+0.0001733i,0.0005252-0.00080719i,7.0406e-05-0.0010304i,-0.00030355-0.00061914i,-0.00093637-2.5602e-05i,-0.00048565-3.4992e-05i
-0.018245-0.0011705i,-0.014054-0.00294i,-0.0083134-0.0029849i,-0.0068482-0.00091865i,-0.0052911+0.0023984i,-0.0011301+0.0035297i,0.0018794+0.0036649i,0.0025437+0.0046972i,0.0013281+0.0047123i,5.2532e-05+0.0025953i,0.00058527+0.0006005i,0.001105-0.00070555i,0.00074479-0.0016854i,0.00038746-0.0018117i,0.00034207-0.00084934i,0.00065454-0.0010706i,0.00057276-0.00168i,0.00085734-0.0019219i,0.0010213-0.00086475i,0.00053695-0.00022823i,0.00039739-0.00035559i,0.0015235-0.00054294i,0.0020586-0.00053463i
0.0092928+0.010496i,0.0052639+0.009085i,0.00075984+0.0044026i,-0.00026522+0.0019904i,-0.00038869+0.00077054i,-0.0011314-0.0015964i,-0.00069854-0.0047158i,0.00042482-0.0057483i,0.0015423-0.0041715i,0.00078538-0.0025393i,-0.00094198-0.0016322i,-0.0012552-0.00090656i,-0.0012667-0.00019802i,7.3314e-05+0.00048815i,0.0010475+0.0010082i,0.0002365+0.00058717i,-0.00049851-0.00027404i,-0.00082554-0.0010462i,-0.00015821-0.00095004i,0.00084293-0.0002763i,0.00050202-0.00043404i,-0.00038901-0.00032858i,0.00016241-8.6675e-05i
