0.0030261+0.0010682i,0.0054778-0.001272i,0.0048496-0.0039023i,0.0010543-0.0039911i,-0.0023038-0.0020138i,-0.0024692+0.0015763i,-0.00055918+0.0036297i,-2.569e-05+0.0026824i,0.00065671+3.3642e-05i,0.0014623-0.0014021i,0.0012396-0.0014935i,0.00072605-0.0012337i,-9.277e-08-0.0005027i,-0.00035335-0.00060808i,0.00025454-0.00054343i,0.00087872-0.0002013i,0.00092409-0.00039024i,2.8177e-05+3.9188e-05i,-0.00044131+0.00036977i,-0.00045949-6.783e-05i,-0.00059489-0.000602i,-3.2845e-06-0.00030027i,0.000287-6.561e-05i
0.00052779+0.00057538i,0.0017155+0.0011591i,0.0012994+0.0005794i,0.00020193+0.00029661i,-0.0005008+0.00043532i,-9.5182e-05+0.0008945i,0.00045546+0.0013061i,0.00049181+0.0010551i,0.0001544+0.00085033i,7.1262e-06+0.00056918i,0.0006166+0.00048489i,0.00062391+0.00028698i,0.00036963-0.00017656i,0.00030218+0.00012226i,0.00068397+0.00091386i,0.00026885+0.00062996i,-0.00030205-0.00013249i,0.00029368-0.00078155i,0.0011375-0.00064585i,0.0014158+8.0438e-05i,0.00098964-0.00020992i,0.00068031-0.00050509i,0.00090663-0.00011236i
0.0011393-0.00045457i,0.0018154-0.0016862i,0.0020384-0.0023967i,0.00069608-0.0021593i,-0.00044823-0.0014021i,-0.00033504+0.00036874i,0.0006194+0.0017984i,0.00063212+0.0014021i,-0.00032816+0.0010512i,-0.00062384+0.00024981i,-0.00051529-6.5556e-05i,-0.00055219+0.00010085i,-6.9452e-05+0.00030866i,0.00071862+0.00045853i,0.00057596+1.195e-05i,0.00028474+0.00019415i,-0.00021788-3.0486e-05i,-0.00076307+9.0078e-05i,-0.00059377+0.00070215i,-0.00040387+0.00058547i,-0.000953+0.00025316i,-0.0011219-8.287e-05i,-0.00058499-0.0001251i
0.0030115-0.00057975i,0.0033446-6.5062e-05i,0.0024511-0.0003861i,0.0015468-0.0015673i,0.0010793-0.00015373i,0.00084139+0.0018945i,0.0010341+0.0016558i,0.00096797+0.00060037i,0.00058884+5.4864e-05i,0.00045177-3.4525e-05i,0.00084591-0.00061559i,0.00055775-0.00080951i,-7.1965e-05-0.00033503i,-0.00027169+9.6753e-05i,-1.7421e-05+0.00024489i,0.00044473+0.00033964i,-7.6484e-06+0.00020159i,-0.001332-0.00029266i,-0.00070681-7.5368e-05i,-3.2346e-05+0.00064532i,-0.00023615+0.00046178i,6.9697e-05-8.2965e-07i,0.00059456+6.7915e-05i
-0.00019313+0.0024546i,-0.0004413+0.00256i,-0.00020211+0.0024563i,0.0011649+0.00067023i,0.0021935-0.0010382i,0.0017547-0.0012608i,0.0011752-9.1943e-05i,0.0005182+0.00055066i,0.00028827+0.00075414i,0.00058237+0.00088005i,0.00054399+0.00039394i,0.00017572+7.9442e-05i,-0.00043963+0.00027913i,-0.0008787+8.804e-05i,-0.00026174-0.00038552i,0.00073681-0.00046681i,0.0012889-0.00022825i,0.0004999+0.00031796i,-0.00023482+0.00062041i,-0.00066168+0.00079272i,-0.00032357+0.00052921i,-8.4141e-05+0.00010156i,0.00011477+0.00016136i
-0.000802-0.0032193i,-0.0010288-0.0019909i,-0.0014314-0.00096512i,-0.0013137+8.9885e-05i,-0.00096661+0.0018297i,0.00037787+0.0025606i,0.0018793+0.0019673i,0.0016544+0.0010511i,0.00056336+0.00037745i,-0.00021467+0.00079254i,-0.00045361+0.0013804i,0.00017591+0.0014288i,0.00070097+0.0008193i,0.00079687+0.00035407i,0.00039966+0.00024188i,-0.00018362+0.00011909i,0.00023962+0.00031357i,0.00063706+0.000859i,-3.8071e-06+0.00084258i,-5.1475e-05+9.335e-05i,0.00022366+0.00012557i,0.00033359+0.00053055i,3.4937e-06+0.0007103i
-0.00083683+0.00095229i,-0.00010383+0.0015242i,0.00031954+0.0015584i,0.00038035+0.0012241i,0.0018076+0.00085924i,0.0026424+0.0010847i,0.001884+0.0012481i,0.00062773+0.00063326i,-0.00047312+0.00018772i,-0.00047894+0.00058228i,0.00042972+0.00010962i,0.00044518-0.00062725i,8.6201e-05-0.00058255i,0.00038964-0.00037751i,0.00054514+0.0002229i,1.472e-05-8.0438e-05i,-0.00047911-0.00053869i,-0.00038475-0.00044819i,4.7378e-05-0.0005401i,0.00012106+7.5752e-06i,3.2576e-06+0.00029711i,0.00051319+0.00047316i,0.00044891+0.00030442i
0.00053593-0.003117i,0.00050568-0.00264i,-0.00067596-0.0018926i,-0.0014809-0.0011578i,-0.0019726+0.00034344i,-4.3136e-05+0.0011962i,0.002139+0.0010991i,0.0012364+0.0012055i,0.00037805+0.00083512i,-7.2077e-05+9.2183e-05i,-0.00017348+0.00020228i,-0.00013937+0.00027077i,0.00028115+0.00056415i,0.0011163+0.00037213i,0.00089777-0.00011789i,0.00010082-0.00016787i,-0.0004087+0.00026569i,0.00026474+0.0003301i,0.00024507-8.3091e-05i,-0.00044723+1.7953e-05i,0.00015489-0.00043699i,0.00066856-0.00098372i,0.00033597-0.00070945i
0.0013596-0.0012581i,0.0019309-0.00077755i,0.001878-0.00040583i,0.00094963+0.0003385i,0.000228+0.0015927i,0.0012514+0.0020402i,0.0026045+0.002039i,0.0016639+0.0024891i,9.9769e-05+0.0023808i,-0.00013307+0.0011377i,0.00015773+0.00024421i,0.00025127-9.168e-05i,7.1259e-05+0.0005902i,-0.00026586+0.0009036i,0.00037673+0.00027622i,0.00081038-0.00011511i,0.00098774+4.6953e-05i,0.00096389+0.00070423i,0.00027157+0.00061123i,0.00063032+0.001104i,0.0011683+0.00080349i,0.00074318-0.00053589i,0.00025918-0.00042828i
0.0015507-0.00087397i,0.0015023-0.00041003i,0.00059613-0.00071203i,-0.00040319-0.00030621i,0.00019677+0.00048603i,0.001347+0.00078526i,0.0012604+0.0011529i,0.00044499+0.00053848i,2.2576e-05+7.3907e-05i,-1.0865e-05-0.0003983i,0.00031746-0.00074834i,0.00023822-0.00037432i,-9.7643e-05+0.00016978i,-0.00048728+0.00040278i,-0.00041776+0.00022678i,-0.00022926-0.00036133i,-0.00030908-0.00059274i,-0.00055703-3.0603e-05i,-0.0011849+2.3729e-06i,-0.0011039-1.6029e-05i,-0.00040465+0.00044503i,-0.0002266+0.00016386i,0.00018899-0.00014418i
-0.00018416-0.0022826i,0.00080564-0.0013309i,0.00081634-0.00085381i,0.0009261-0.00048134i,0.0010691+0.00033231i,0.0019795+0.0015801i,0.0023714+0.0016259i,0.00037064+0.00047246i,-0.0014963-0.00036512i,-0.0012076-0.00021895i,-0.00038164+0.00023442i,0.00013205+0.00079818i,0.00056139+0.00072065i,0.00082274+0.00037806i,0.00068313+4.1831e-05i,6.6282e-05+0.00016727i,-0.00050408+0.00051444i,-0.00016496+0.00055175i,-1.1887e-05+0.00062371i,-0.00020166+0.00052031i,-0.00041322+0.00029439i,-0.00083393+0.00047449i,-0.00045856+0.00025708i
0.002034-0.00059049i,0.0018214-0.0003996i,0.00034629-0.00052813i,-0.00036252-0.00046158i,-0.00058699-0.00016713i,0.00082446+0.0015645i,0.0015049+0.0024156i,0.00031177+0.00098985i,-0.00052596+0.00023798i,-0.00021319+0.00097138i,-1.6376e-06+0.001481i,-0.00021958+0.0016722i,0.00057764+0.0013315i,0.0012555+0.00045043i,0.00086019+0.00034298i,0.00057565+0.00064131i,0.000308+0.00073379i,6.391e-05+0.00015662i,0.00029169-0.00014919i,5.1215e-05-3.869e-05i,-8.0329e-05-8.7571e-05i,0.00029073+0.00045141i,0.00025662+0.00043325i
8.3049e-05-0.0019987i,0.00076057-0.0017626i,0.0001887-0.0015935i,-0.00024232-0.0015218i,0.00045605+0.00013366i,0.0014023+0.0018922i,0.0019012+0.0017848i,0.0013776+0.00037034i,0.00066231+0.00081978i,0.00076562+0.0016505i,0.00081843+0.00098372i,0.00061835+0.00068409i,9.3582e-05+0.00049581i,0.00031729+0.00025821i,0.0014146+0.00014854i,0.0012498+9.4176e-05i,0.00034114+0.00029798i,-0.00010062+0.00024682i,0.00013446+0.00017572i,0.00068783+0.00020828i,0.00072976+0.00021682i,-0.00043706-2.4351e-05i,-0.0005544-0.00049593i
0.0011918-0.0010723i,0.0011334-0.0013412i,-0.00017883-0.0015448i,-5.0541e-05-0.00039959i,0.00079321+0.001336i,0.0017792+0.0026519i,0.0026753+0.0016988i,0.0014295+0.00027913i,0.00058927-6.0007e-05i,0.00082784+0.00027427i,0.00049906+0.00059377i,0.00044708+0.00017651i,0.00083225+0.00043819i,0.00087692+0.0012133i,2.7359e-05+0.00063944i,-0.00054912-5.2669e-05i,-0.00051796-6.6921e-05i,-0.00045023+0.00021624i,-0.00021225+0.00062842i,-0.00020354+0.00062966i,6.9082e-05+0.00037194i,0.0003666+0.00013729i,0.00072346+0.00043724i
-0.0013536-0.00032851i,-0.0016772-0.00055842i,-0.0012456+0.0012027i,-0.00029733+0.0025099i,0.00096894+0.0036067i,0.0018569+0.0037111i,0.0014104+0.0022366i,0.000766+0.0010823i,0.00037812+0.00024701i,0.00025756-0.00012196i,-9.4322e-05+0.0002797i,0.00039099+0.0004829i,0.001384-0.00021169i,0.0016688-0.00011557i,0.0013104+0.0010336i,0.00024365+0.0008822i,0.00016689-9.5145e-05i,0.000752-0.00030683i,0.00083894-0.00011314i,-0.00016826+0.00012067i,-0.00059486+0.00026339i,-0.00011367+0.00010883i,-2.6814e-05-2.2216e-05i
0.00014847-0.0013251i,0.00060609-0.0017986i,0.00075101-0.00091116i,0.00093634-0.00041801i,0.0013205+0.00031723i,0.001802+0.0013998i,0.0022193+0.0018544i,0.00186+0.001237i,0.0011036+0.00098652i,0.00061762+0.000698i,0.00032849+0.00051093i,-0.00016589+0.00071693i,-0.00071224+0.00029994i,-0.00068914-5.3e-05i,0.00039442+0.00013544i,0.0010408+2.7881e-05i,0.00075441+0.00010682i,0.00047994+0.00058122i,-0.00064253+0.0002431i,-0.001152-0.00063174i,0.00010366-0.00019057i,0.00074264+0.00051262i,5.9698e-05+5.1088e-05i
0.00011611+0.0012158i,0.00029471+0.0014888i,0.00041201+0.00078155i,0.0016738-0.00026357i,0.0023993-0.00035359i,0.0026429+0.00059678i,0.002825+0.001576i,0.0013391+0.0015932i,-0.00059238+0.0010281i,-0.00066492+0.00058702i,-0.00042865+0.00056811i,-8.6809e-05-7.8984e-05i,0.00054116-0.00109i,0.0011967-0.0015344i,0.0016139-0.00055234i,0.0012471+0.0010173i,0.00071221+0.001373i,-0.00017877+0.0012656i,-0.00012925+0.0015993i,0.00021671+0.0014878i,-0.00013625+0.00044082i,-0.00039526-8.7962e-05i,-0.00016481-0.00011498i
-0.00072765+0.00029056i,-0.00057944+0.00049855i,0.0011631+0.00041447i,0.0026768+0.00051705i,0.0029512+0.00050175i,0.0026545+0.0013371i,0.0026692+0.0017007i,0.0022257+0.00086232i,0.0013661+0.0016527i,0.00080727+0.0025421i,0.00046576+0.0015135i,0.00087185+0.00079971i,0.0012229+0.00033022i,0.0010863-0.000146i,0.0010895-0.0015867i,0.00050392-0.0011832i,8.8268e-05-7.2863e-05i,0.0003484-7.6345e-05i,0.00052373+0.00031377i,0.00042671+0.00097836i,0.00016695+0.0016149i,-0.00036847+0.0013492i,-0.00060305+0.00086195i
0.0017579+0.0016731i,0.0027752+0.0016401i,0.0030315+0.00028948i,0.0019997-0.0006919i,0.00043964-0.0001385i,3.3896e-05+0.00065208i,1.1014e-05+0.0009418i,-0.00011788+0.00064863i,-0.00017531+0.00064202i,-0.00035982+0.0016713i,-0.00069411+0.0015822i,-0.00066033+0.00048936i,-0.00046716+7.8957e-05i,0.00010044-4.4654e-05i,0.00088149-0.00055373i,0.00074076-0.00056612i,0.00028019-0.00029835i,-0.00058779-0.00038434i,-0.0013568-0.00010373i,-0.00094618+0.00016612i,-0.0005966+0.00030192i,-0.00017821+0.00012465i,-0.00037144-0.00057177i
-0.001833+0.00081993i,-0.0014234+0.00021091i,-0.00049332+0.00070063i,0.0009311+0.00044912i,0.0017929+0.00099973i,0.0016991+0.0014749i,0.0021127+0.001111i,0.0014309+0.00023686i,0.00048006-0.00018742i,0.00064654-0.00033207i,0.00095156-0.00068171i,0.00038726-0.00077053i,-0.00021862-0.00056231i,-0.00015111-0.00010287i,0.0005512-0.00020682i,0.00078292-4.6358e-05i,0.00054825-2.5655e-05i,0.00024156+0.00021365i,7.7163e-05+0.00071299i,-0.00035077+0.0011765i,-0.00069983+0.0004984i,-0.00018059+0.00010647i,0.00025153+0.00062133i
0.0017482+7.0153e-05i,0.0032273+0.00057117i,0.0034131-0.00058515i,0.0025172-0.0013638i,0.0010917-0.00060502i,0.00091991+0.001233i,0.0011401+0.0020412i,0.00050278+0.0011493i,-0.00063985+0.00062437i,-0.00032476+0.00012816i,-0.00011749-0.00093661i,-0.00064842-0.0013883i,-0.00010713-0.00081528i,0.00018905-1.0895e-05i,0.00062525+0.00017693i,0.0010115+0.00043557i,0.00021749+0.00058189i,-0.00079252+0.00041263i,-0.00040944+0.0010364i,0.00025311+0.001178i,-8.6587e-05+0.00073745i,-0.00032752+0.00059005i,-7.5166e-05+0.00046988i
-0.00062082+0.0028727i,-8.8331e-05+0.0028492i,0.0016176+0.0023412i,0.0019234+0.0010411i,0.0022735+9.0253e-05i,0.0017429+0.00014421i,0.00058191+0.00085095i,-0.00025923+0.001097i,-0.0010325+0.00074104i,-0.0015487+0.00033532i,-0.00085954+7.8032e-05i,6.8358e-06-8.1823e-06i,-0.00034814+0.00017961i,-0.00012897+0.00075063i,0.0005143+0.0011917i,0.0011013+0.00093093i,0.00057121+5.2349e-05i,-0.00030302-0.00076248i,-0.00087021+2.557e-05i,-0.00037899+0.00021663i,0.0009722-0.0001908i,0.0010086+0.00025272i,0.00076482+0.0014741i
0.00056999+0.00015548i,0.00077089+0.0012747i,0.0022447+0.00085353i,0.0024966-0.00013139i,0.0012789+0.00023436i,0.0013487+0.00087264i,0.0020174+0.00082017i,0.0014006+0.00061492i,0.00018085+0.00095949i,-0.00023788+0.00097094i,-0.00045812+0.00037959i,-0.00066065-3.4403e-05i,-0.00073133+0.0002341i,-0.00027081+0.00034738i,0.00047204-0.00016508i,0.0010042-0.00053319i,0.00078558-0.00032912i,0.00079968-0.00015174i,0.0011809+0.00022079i,0.00056176+0.00065092i,-0.00042601+0.00018874i,-0.0011091-0.00026039i,-0.0012475-0.0008692i
0.001166+0.0012526i,0.0015143+0.0013373i,0.0024706+0.00025159i,0.0022181-0.0012186i,0.0011622-0.0005588i,0.00094618+0.00099021i,0.0016025+0.0008023i,0.0015107+0.00054806i,0.0007131+0.00089667i,-2.5303e-05+0.0010271i,0.00048951+0.00046523i,0.0011927-0.00010769i,0.0013881+0.00017668i,0.00062842+0.00068244i,-0.00034294+0.0007999i,3.8628e-05+0.0010868i,0.001048+0.0001136i,0.00070241-0.00055043i,-0.00039993+0.00011035i,-0.00076694+0.00019011i,-0.00025367-0.00043943i,-3.3359e-05-0.00041331i,-9.7875e-05-0.00019834i
-0.00022822+0.0022968i,0.00055439+0.0027378i,0.0024126+0.0015345i,0.0026576+0.00011703i,0.0020071-1.5244e-05i,0.0016249+0.00013131i,0.0012897+0.0012754i,0.0010319+0.001819i,0.0015751+0.0015932i,0.0022793+0.0015468i,0.0022112+0.00090046i,0.0019588+0.00016645i,0.0012979-7.8071e-05i,0.00020178+0.00015642i,6.2816e-05-0.00060931i,0.00074572-0.00097425i,0.00052588-0.00028445i,0.0004479-8.6264e-05i,0.00081407-0.00028167i,0.00064796-0.00059997i,0.00023001-0.00034493i,-3.8672e-05-5.226e-05i,-0.00034082-0.00054155i
-0.00026264-0.0006928i,0.00077902-0.00092232i,0.0012978-0.0013625i,0.00081625-0.0013309i,0.00018874-9.7462e-05i,0.0006091+0.0014981i,0.0011994+0.0011643i,0.0006806+1.0523e-05i,0.00056106-8.1097e-05i,0.00054237-0.00045321i,0.00023499-0.0015675i,8.2277e-05-0.0010291i,-7.8323e-05+0.00025192i,0.00012312+0.00078233i,0.00019249+0.00015978i,4.9032e-05-0.00049448i,-0.00010974+0.00025913i,-0.00065427+0.0010468i,-0.00092875+0.00073161i,-0.00083051+0.00037977i,-0.00080888+0.00028389i,-6.162e-05-0.00050578i,0.00065745-0.00019036i
0.0013981+0.0011565i,0.0008006+0.001603i,0.0016155+0.00092503i,0.0026035+0.00020828i,0.0012738-0.00021008i,0.00077875+0.00024908i,0.0014277+0.0016842i,0.0011647+0.0013537i,0.00085696-0.00069939i,0.00087198-0.0018753i,0.00066438-0.0016167i,0.00038864-0.00086329i,0.00017063+0.00037164i,-0.00084976+0.0014878i,-0.00069302+0.0017671i,0.00051162+0.0010217i,0.00025688+0.00016545i,-0.00014089+7.8176e-05i,-0.00047161+9.5199e-05i,-0.00026887+0.00091427i,-0.00038688+0.00082464i,-0.0008696-0.00015096i,4.575e-05-0.0007586i
-0.0019966+7.5233e-05i,-0.0017676+0.00043906i,-0.00063794+0.00052823i,0.00072638+0.00088303i,0.0018603+0.0013275i,0.0024541+0.00096745i,0.0023798+0.0005761i,0.0013471-0.00013472i,0.00032409-0.00081675i,-0.00019355-0.0004735i,-0.00049446-0.00066258i,-0.00044127-0.0009429i,-0.00012938-0.00026458i,0.0001977-0.00041018i,0.00060615-0.0011801i,0.0008837-0.00054786i,0.00071155+3.3422e-05i,8.6032e-05+0.00035526i,-0.00036169+0.00075616i,-0.00030435-0.00032178i,0.00045756-0.00085442i,0.00050783-0.00042213i,0.00038967+9.6214e-05i
0.0024321+4.1303e-05i,0.0018134-0.00031673i,0.001298-0.0003023i,0.00060029+0.0001688i,0.0003779+0.0013587i,0.0011622+0.0027966i,0.0013922+0.0027027i,0.00088258+0.0016576i,0.00023187+0.0012735i,-0.00019935+0.0020977i,-0.00018562+0.0022265i,-0.00044645+0.001666i,-0.00057848+0.0007792i,-0.00013846-0.00011582i,0.00046034-0.0003832i,0.00031037+1.4703e-06i,-0.00033854+0.00018193i,-0.00016415+0.00033366i,0.00041792+0.00087069i,0.00079212+0.00081113i,0.00071309+0.00042268i,0.0003182+0.0002131i,0.00023538-0.00035757i
-0.00035387+0.00017581i,-0.00057911-7.536e-05i,-0.00016185-0.00074507i,-0.00024321-0.00097765i,0.00030489-1.5638e-06i,0.0015375+0.0013542i,0.0021941+0.0019425i,0.0012585+0.0011138i,0.00027604+0.00054524i,0.00081787+0.0007243i,0.0012287+0.00061943i,0.00094959+0.00025717i,0.00055195-0.00024002i,-5.6519e-05-0.0006775i,6.6128e-06-0.00013267i,0.00039353-0.00024476i,-0.00019549-0.0002899i,-0.00058715-2.0255e-05i,0.00037618+5.4111e-05i,0.00038215+0.0006617i,-0.00044513+0.00085995i,-0.00021203+0.00022161i,-0.00013839+1.4647e-05i
0.00021409-0.00032521i,0.00049128-0.00066418i,0.00067841-0.0013124i,-0.00029893-0.0011238i,-0.00014421+0.00057385i,0.001326+0.0012251i,0.0025505+0.00071704i,0.00214+0.00045347i,0.0011754+0.00021988i,0.0011369+0.00025966i,0.0010884-0.00015387i,0.00068391-0.00085544i,0.00017189-0.00012752i,-0.00033934+0.00085494i,-1.1348e-06-0.00031179i,4.3924e-05-0.00089609i,-0.00026197+0.00012705i,-2.0156e-05+0.00034292i,4.4723e-05-0.00050457i,-0.00077828-0.00098917i,-0.0014574-0.00047409i,-0.00073384+0.00047501i,-0.00032258+0.00048336i
-2.5347e-05+0.00095108i,0.00066376+0.00041999i,0.0011249+0.00043768i,0.0021323+0.0003595i,0.0024004-9.7387e-05i,0.0020631+0.00056023i,0.0014026+0.0014075i,0.0010592+0.0005663i,0.0011526-0.00047574i,0.00083092-0.0005613i,0.00032566-0.00066942i,8.3406e-05-0.00073621i,-0.00046689-0.00033011i,-0.00089893-0.00012199i,-0.00063105-0.00033151i,-0.00014202-0.00031219i,0.00051306-0.00038132i,0.00059541-0.00045197i,0.00011853-0.00016753i,-2.1138e-05-6.9865e-05i,-0.00015597-0.00045032i,-0.00017272-0.00031736i,-9.8102e-05+4.7074e-06i
-0.0011868-4.274e-05i,-0.0016461+0.00049499i,-0.00052057+0.0008895i,-0.00017003+0.0011928i,0.00029449+0.0018262i,0.0014136+0.0021317i,0.0016464+0.0016459i,0.0011461+7.0289e-05i,-0.00029641-0.00052042i,-0.001515-0.00051375i,-0.0017189-0.00077517i,-0.0011861-0.00016297i,-0.00042923+0.00014079i,-0.00034329+0.00020991i,0.00030119+0.0001975i,0.00081416+3.021e-05i,0.00037741+0.00010515i,-0.00020212-0.00012794i,0.000164-0.00044454i,0.00010404-0.00035061i,7.0001e-05-0.0001233i,0.00021236+0.00037795i,-0.00012205+0.00072996i
0.00059549+0.00032114i,0.0012395-0.00094446i,0.0027844-0.0025346i,0.0021603-0.0019109i,0.0012831-0.00043316i,0.0010933+0.0012396i,0.0012141+0.0015002i,0.0013808+0.00069782i,0.00047689+0.00073515i,-0.0012853+0.0012915i,-0.0017457+0.0015561i,-0.0011047+0.0011139i,-0.00081713+0.00069733i,0.00034862+0.00031897i,0.0010267+0.00047324i,0.00050232+0.00088806i,6.7588e-05+0.00026525i,0.00012994-1.3695e-05i,-0.00054783+0.00044241i,-0.00057519+0.00048366i,0.00059686+0.00052925i,0.00075789+0.00026701i,0.00061912-0.00016115i
-0.0011033-0.0015109i,-0.0017415-0.0009626i,-0.0020358-0.00054864i,-0.0026878+0.00022332i,-0.0019701+0.0012085i,0.00045105+0.0015757i,0.00029315+0.00089454i,-0.000686+6.3049e-05i,-0.0004808+0.00075999i,0.00017725+0.0022087i,0.00044075+0.0026156i,0.00034157+0.0019789i,0.000756+0.001401i,0.00086682+0.00090228i,0.00099568-0.0001394i,0.0013515-0.0004343i,0.00119+0.00056444i,0.00025053+0.00043101i,-7.2165e-05-0.00053286i,-0.0001403-0.0007835i,-0.00054793-0.00025203i,-0.00010323+0.00018836i,0.00028201-0.00013642i
-3.444e-05-0.0011315i,0.00082423-0.0012884i,0.0024677-0.0010278i,0.0027782-1.6852e-05i,0.0024651+0.0012075i,0.0034673+0.0018808i,0.0030739+0.002055i,0.00085029+0.0014707i,-0.00027377+0.00092468i,-0.00017362+0.0010547i,0.00029701+0.00074749i,0.00016003-0.00010165i,-0.0002684-0.00029136i,0.00029769+0.00058484i,0.0011105+0.00035134i,0.0011022-0.00062452i,0.00040302-0.00094521i,-0.00031532-0.0010825i,-0.00049461+0.0001521i,-0.00060916+0.00089768i,-0.00016889+0.00044595i,0.00011258+0.00025631i,-0.00081044+0.00023182i
-0.00074213+0.00049516i,0.00074833+0.0010987i,0.0010028+0.00064745i,0.00018372+0.00033494i,-8.7377e-05+8.4643e-05i,0.000237+0.00010632i,0.0013992+0.00055732i,0.001511+0.00029843i,0.00022696+0.00060679i,9.9522e-05+0.0010131i,0.00091117+0.00029195i,0.00047921-0.00083981i,0.00027127-0.00079508i,0.0010458-0.00040694i,0.0010056+0.00020061i,0.00072454+0.00029656i,0.00085934+5.7599e-06i,0.0012587+0.00029256i,0.0012724+0.00086836i,0.0013727+0.00088455i,0.0015075+0.00012889i,0.00093509-2.8601e-06i,0.00085833+0.00026956i
-0.0037936+0.00037104i,-0.0035664+0.0013865i,-0.0022178+0.0029647i,-0.00014834+0.003668i,0.0017103+0.0039867i,0.0023769+0.0033769i,0.0016382+0.0026292i,0.000823+0.0023388i,-4.1024e-05+0.0013376i,-0.00010102+0.00025462i,0.00024518-0.00032575i,-0.00019911+0.00014304i,-0.00062486-0.0001599i,0.00019314-0.00046087i,0.00054836+0.00030717i,-0.00018338+0.0010397i,-0.00033573+0.00077674i,-0.0002151+0.00028144i,-5.3543e-05+0.00052479i,-0.00010116+0.00084968i,0.00037858+0.00069108i,0.0002802+0.00056388i,-0.00044417+0.00067736i
0.00075184+0.00079233i,0.0012259+9.0822e-05i,0.0022794-0.0015303i,0.0015103-0.0017322i,0.0017141-0.00072355i,0.0031743+0.0010397i,0.002541+0.0012659i,0.00069317+0.00029915i,-0.0006866-5.2165e-05i,-0.0012172+0.00036491i,-0.001427+0.0014223i,-0.0014035+0.0010945i,-0.0003765+0.00043941i,0.00013447+0.00040398i,0.00059414-6.0058e-05i,0.0009116-0.00048476i,0.00043477-0.00052821i,0.00034756-0.0002916i,0.0001611-0.00011902i,-0.00065977-0.00014803i,-0.0015727+0.00036229i,-0.0017407+0.00090284i,-0.0010785+0.00075807i
0.00088043+0.0005201i,0.0015335+0.00037269i,0.0018357+0.00045924i,0.00098372+0.000327i,0.00026909+0.00034373i,0.00017053+0.00089198i,0.00094494+0.00077763i,0.0012481+0.00010096i,0.00062348-6.1098e-05i,-3.5469e-05+0.00062057i,-0.00038333+0.0014711i,0.00017012+0.0013025i,0.00064306+0.00096999i,0.00082949+0.00045219i,0.0008514-0.00028855i,0.00072478-0.00058362i,0.00031563-0.00051431i,-0.00018757-5.6207e-05i,-0.00031532+0.00070617i,-5.5766e-05+0.00098195i,0.00044942+0.00037011i,0.00063631-2.9921e-05i,0.00090599+8.735e-05i
-0.00097841+2.4617e-05i,-0.00066402-0.00084317i,8.1517e-05-0.0015011i,0.0013703-0.00090027i,0.0023396+0.00025591i,0.0027887+0.0018896i,0.0025905+0.0020718i,0.0015452+0.00055796i,0.00094341+0.00053021i,0.0012264+0.0020612i,0.0016705+0.002054i,0.001032+0.00020869i,-9.1492e-05-0.00074678i,-0.00032093+5.1837e-06i,0.00037928+0.0001438i,0.00012685-0.0002577i,-0.00059397+4.4749e-05i,-0.00090688+0.0004486i,-0.00077275+0.00082243i,1.0228e-05+0.00096288i,0.00036691+0.00052024i,-0.0001766-0.00086305i,-0.00026662-0.0011027i
0.00078417-0.00095423i,0.0015884-0.001488i,0.0012139-0.0013094i,0.00059229-0.00071923i,0.00015058+0.00093775i,0.00048584+0.0017461i,0.0009441+0.0012112i,0.00065347+0.00036045i,0.00020197-0.00039624i,0.00029992-0.00034187i,0.00014191-4.0416e-05i,-0.00029804-0.00017647i,-0.00028395-4.4103e-05i,-0.00023711+0.00053054i,-0.00034766+0.0006354i,-0.00067868+1.2547e-05i,-0.0010546-0.00066095i,-0.00055845-0.0011514i,0.00015933-0.00067596i,-0.00023147-0.00022175i,-0.00049424-0.00039832i,-0.00074455+7.3259e-06i,-0.00080153+0.00047068i
0.0010779-0.00050066i,0.0010156-0.00078671i,0.0012053-0.0015274i,0.00029871-0.0014041i,-0.00026334-0.00040356i,0.00023092+0.0009636i,0.00020498+0.0015198i,-0.00014314+0.00098998i,-0.00031147+0.00033833i,-0.00072076-0.0010659i,-0.0009979-0.0022831i,-0.0013734-0.0022324i,-0.0012949-0.0012107i,-0.00048412+0.00046063i,7.9985e-05+0.00093636i,-0.00028239+0.0004238i,-0.00073582-1.4134e-05i,1.3025e-05-0.00016279i,0.00097846+0.00012046i,0.00011783+0.00029059i,-0.0008295+0.000108i,-0.00032176+0.00017535i,-0.00023057+0.00062849i
-0.00077774-3.0214e-05i,-0.00074821-0.00012378i,0.00018786+0.00033522i,0.0011873+0.00013012i,0.0018519+0.00081881i,0.0014403+0.0020716i,0.0013792+0.0020711i,0.00053619+0.0021662i,-0.00093371+0.0016503i,-0.0017294+0.00083775i,-0.0019584+0.00071895i,-0.0019364+0.00070079i,-0.00060644-0.00027525i,0.00064003+0.0005032i,0.00044256+0.0014361i,0.00072204+0.00062452i,0.00088025+0.00072225i,0.0008433+0.00041028i,0.00035813-0.00066587i,-0.00079706-0.0005425i,-0.0010121-0.00012373i,-0.00016289+0.00014541i,0.00010403+0.00053477i
