-0.0024373-0.00017136i,-0.0019525-0.0010025i,-0.0024867+0.00078649i,-0.0020772+0.0023691i,-0.0011026+0.0018085i,-0.00037489+0.0014376i,-0.0011112+0.0014768i,-0.00088606+0.0012137i,0.00065715+0.00064954i,0.0011495+5.2431e-05i,0.00065284-0.00074773i,0.00043376-0.0014392i,0.00010465-0.0011748i,0.00018779-0.00078376i,0.00049084-0.0003406i,-1.0717e-05-5.517e-05i,0.00015303+8.594e-05i,0.00041543-0.00042935i,0.00035497-0.0005157i,-0.00018023+0.0002845i,0.00010182+0.00058721i,0.00043481+0.00093254i,3.8988e-05+0.00075866i
0.0012732-0.00076814i,-0.00048496-0.0022518i,-0.0015739-0.0041219i,-0.0018178-0.0040602i,-0.0018956-0.0021707i,-0.0014174-0.00084838i,0.00030037+0.0013203i,0.0011587+0.0025484i,0.00040002+0.002366i,-0.00050663+0.0022225i,-0.00060992+0.0016988i,0.00070736+0.0014538i,0.0012569+0.0016849i,2.4613e-05+0.001732i,-0.00098702+0.0015009i,-0.00062319+0.00088147i,0.00010138+0.00028355i,0.00079818-0.00021742i,0.00037424+0.00059733i,-0.00025711+0.0011609i,-0.00063607+0.0008531i,-0.00052171-0.00014708i,0.00023014-0.0011156i
0.00055993+0.0003323i,0.0010187-0.00019625i,0.0020917-0.0013617i,0.0023124-0.0011872i,0.00070167-0.001445i,0.00074417-0.0015366i,0.0030267-0.00085371i,0.0056131-0.00059733i,0.0057372-0.00033665i,0.0040112-0.0004388i,0.0022145-0.00054005i,0.0003916-0.00012087i,-0.0004622+0.00052367i,-0.00033962+0.00056025i,-0.00011143+0.0005868i,0.00047455+0.0016736i,0.00053503+0.0022081i,3.7204e-05+0.0013421i,0.0001366-6.2058e-06i,0.00029672-0.00072666i,7.5324e-05-0.00076526i,-0.00064434-0.00074934i,-0.0010561-0.00012609i
-0.0020574+0.0010962i,-0.0013473+0.0020712i,-0.00078209+0.0030743i,0.00014084+0.0029406i,0.0013648+0.0018089i,0.0021988-0.0005482i,0.0031644-0.0030054i,0.0037992-0.0049646i,0.0034313-0.0055087i,0.0026917-0.0047426i,0.0016304-0.0031572i,0.0007512-0.0019878i,0.00097567-0.0013558i,0.0014645-0.00082217i,0.00085587+3.3158e-05i,-0.00025466+0.00035533i,0.00057717-0.00036451i,0.0012564-0.00051215i,0.0010174+6.4853e-05i,0.00073382+0.00025497i,0.00017202-0.00015011i,-0.00040139-0.00072468i,-0.00078599-0.00065091i
-0.0011795-0.00078738i,-0.00235-0.0014093i,-0.0029464-0.0022204i,-0.0023287-0.0014167i,-0.0019728-0.00036923i,-0.00059299-0.0019142i,-0.00015118-0.0047842i,-0.0017947-0.0069245i,-0.0028715-0.0070695i,-0.0032954-0.0048672i,-0.0027634-0.0027107i,-0.00085405-0.002418i,0.00022597-0.0025303i,0.00031297-0.0016948i,0.00049123-0.0009648i,0.0013235-0.00055115i,0.0019831+0.000105i,0.0013689-0.00023246i,0.00033665-0.0004182i,-0.00091614-0.00088894i,-0.0011341-0.001451i,-0.00021347-0.00047359i,-0.00072332+0.00088511i
-0.0016152-0.00022558i,-0.00067743-0.0005795i,0.00013655-0.00078628i,0.00046228-0.00064202i,0.0006222-0.0003065i,1.1151e-05-0.00085584i,-0.0013778-0.00098306i,-0.0037752-0.00036477i,-0.00523+3.249e-05i,-0.004522+0.00030585i,-0.0026262+0.00024388i,-0.00045933-0.00011457i,-0.00039834-0.00054076i,-0.0011903-0.0011096i,-0.00099134-0.0011352i,-0.00021074-0.0010313i,0.00050864-0.00094359i,0.00031491-0.0010358i,0.000151-0.00089692i,-0.00013114-0.00041446i,-0.00057283-0.00049929i,-0.00022308-0.00091016i,-3.309e-06-0.00045422i
0.0013708+0.0022685i,0.0014775+0.00087351i,0.0019298-0.00061111i,0.00087716-0.00066296i,0.00034293-0.0013456i,-1.2624e-05-0.0010588i,-0.0005312+0.0015427i,-0.00015876+0.0038371i,-0.00010062+0.0050068i,-2.4301e-05+0.0035121i,8.6378e-06+0.0019985i,-0.00045668+0.0010723i,-0.0010349+0.0001746i,-0.0015416+0.00056177i,-0.0013323+0.00083676i,-0.00096279+0.00091307i,-0.00028946+0.00085628i,0.00038342-7.9238e-05i,0.0001413-0.00055701i,-0.00065499+0.00021419i,-0.00064141+0.00022627i,-0.00062829-0.00077499i,-0.00078325-0.00058477i
0.0018469-0.00030764i,0.00067495-0.0016343i,0.0014656-0.0016816i,0.00055352-0.0013297i,-0.00090264-0.001728i,-0.00095971-0.0020368i,0.0013621-0.00093998i,0.0044192+0.00099399i,0.0054949+0.001291i,0.0041321-0.00047164i,0.002019-0.0011614i,0.0011788+0.00041157i,0.00062588+0.0015108i,0.00038766+0.0017736i,0.00081641+0.0020659i,0.00050262+0.0014683i,2.916e-05+0.00071003i,0.00044434+0.00072947i,0.00083306+0.00042438i,0.00011755-0.00025722i,-0.00018136+0.00021581i,-0.00029546+0.0010336i,-0.0007258+0.00029076i
-0.00045174-0.002013i,-0.00056259-0.0019921i,-0.0011392-0.0011701i,-0.0010817+2.279e-05i,-0.00059033+0.00038878i,0.00037582-0.0012945i,0.0016346-0.0031731i,0.0037669-0.0053982i,0.0042937-0.0075322i,0.0024793-0.0063831i,0.0010738-0.0032262i,0.0012376-0.0010959i,0.0017879-0.00079207i,0.0017012-0.00063023i,0.0010739+0.0002234i,0.00049999+0.00067109i,0.00075314+0.00062371i,0.00075514-0.0003849i,-6.1632e-05-0.00091911i,-0.0005725-0.00032096i,-0.0005606-0.00032711i,-0.00080759-0.00016184i,-0.00085527+3.7816e-05i
0.00074145-0.0024189i,0.00045328-0.0038249i,8.4957e-05-0.0045493i,-0.00092107-0.003515i,-0.0022661-0.0018157i,-0.0020474-0.00072546i,-0.00096713-0.002087i,-0.0018417-0.0049268i,-0.0044539-0.0064564i,-0.0048028-0.0055188i,-0.0027765-0.0034979i,-0.00087108-0.0019667i,-8.1142e-05-0.0018354i,-0.0002826-0.0020911i,9.2962e-05-0.0020036i,0.0013926-0.0016857i,0.0014965-0.0011346i,0.0011117-0.00079212i,0.00092734-0.00065337i,0.00051581-0.00078182i,-6.9212e-05-0.00045033i,-0.00029678-0.00060237i,-0.00021995-0.0015249i
-0.0006058+0.00026461i,-0.00092244+0.00040447i,-0.00061247-5.3496e-06i,-0.00042181+2.8275e-05i,-0.00028444+6.8043e-05i,-0.00060292-0.00053848i,-0.002155-0.00052926i,-0.0041385-0.00093628i,-0.0059674-0.00051843i,-0.0063984+0.00081065i,-0.0046753+0.0009338i,-0.0022765-0.00067705i,-0.0012003-0.001433i,-0.00097807-0.00066589i,-0.0010759-0.00073329i,-0.00077894-0.0010496i,0.0003023-0.00017856i,0.00065048-0.00032128i,0.00033542-0.00067471i,-6.2362e-05-0.00084343i,-9.6226e-05-0.0010487i,-0.00060121-0.00092616i,-0.00043528-0.0013286i
-0.00096108+0.00076586i,0.00042383+0.0016692i,0.0018254+0.0033299i,0.0020065+0.0028405i,0.00077306+0.0002116i,0.00017304-0.0012154i,0.00049164-0.00010707i,0.00046857+0.0022022i,0.00012513+0.0038964i,0.00014944+0.0034155i,0.0003575+0.0021453i,5.3745e-05+0.0014256i,-0.00069405+0.0010409i,-0.0014833+0.00091656i,-0.0011275+0.00079395i,-0.00080975+0.00023283i,-0.00097713-0.00029971i,-0.00084386-0.00031301i,-0.00034745-0.00078477i,-0.00028609-0.0011753i,-0.00038214-0.00038073i,-0.00025896+0.00047109i,-0.00029659-0.0003182i
0.0026224+0.0010236i,0.0023446-0.0012169i,0.001518-0.0039115i,0.00045049-0.0050203i,-0.00081013-0.0046866i,-0.0012174-0.0034221i,0.0010277-0.0022618i,0.0037561-0.00038396i,0.0051357+0.00023452i,0.0045486-0.00085363i,0.002654-0.0010017i,0.0014388+0.00013278i,0.00075776+0.00072003i,0.00024649+0.0015561i,-8.5666e-05+0.0024392i,-0.00018993+0.0013663i,-0.00032802+0.00090557i,-0.00037873+0.00032594i,-0.00043245-6.0121e-05i,-0.0007513-4.468e-05i,-0.00030434-0.0003843i,0.00044475+0.00024669i,0.00074205+0.00042016i
-0.00058507+0.0014833i,-0.00084842+0.00095505i,-0.00012165+0.0002377i,0.0004028-0.00036165i,-8.3144e-05-0.00074317i,0.0002273-0.0028546i,0.0012168-0.0044971i,0.0024994-0.0058828i,0.0033607-0.0074847i,0.0026788-0.0076328i,0.00093405-0.0051951i,0.00021218-0.0023033i,0.00078264-0.00073154i,0.00074417+0.00015589i,0.0010344+0.00089288i,0.0021229+0.0010138i,0.0021938+0.0014175i,0.0015467+0.0015692i,0.0011651-3.6627e-05i,0.00081456-0.00083572i,0.00073047-7.1868e-05i,0.00044722+0.00040749i,0.00011589+0.00069102i
0.0017472+0.0025498i,0.0015155+0.0012464i,0.0014221-0.00057837i,0.001048-0.0017281i,-0.00015554-0.0022363i,-0.00094565-0.0020485i,-0.0019048-0.0023039i,-0.0031082-0.0040075i,-0.0037637-0.0056065i,-0.0038037-0.0051405i,-0.0025209-0.0026135i,-0.00095862-0.0016374i,-0.00049162-0.0025881i,-0.00030729-0.0021026i,0.00047238-0.00057777i,0.0011558-0.00012316i,0.00084647-0.00050151i,0.00045076-0.0013441i,0.00030371-0.0013864i,-3.6777e-06-0.00030559i,-0.00058148+0.000285i,-0.00043777-7.5308e-06i,0.00025718-0.00049127i
-6.2296e-06+0.00068924i,0.00018603-0.00026956i,0.0007047+0.000248i,8.634e-05-7.0806e-05i,-0.00018913-0.00056032i,-0.00033771-0.00031839i,-0.00151-5.4476e-05i,-0.0034317-5.5062e-05i,-0.0045348+0.00060123i,-0.0041488+0.0014717i,-0.0021652+0.0011008i,-0.00070359-0.00027702i,-0.00085197-0.0014047i,-0.0013145-0.0018253i,-0.0002158-0.0015307i,0.00047173-0.001142i,0.00031248-0.00077806i,0.00019285-0.00027882i,0.00020143-0.0001325i,5.3716e-05-0.00013708i,9.9774e-06-6.962e-05i,0.00043809+9.2981e-07i,0.00032285-0.00016207i
0.0018307-0.00056465i,0.0010275-0.0013474i,0.0003126-0.0025842i,-0.00020117-0.0034294i,0.00038168-0.0013179i,0.0012544+0.0013444i,0.0017716+0.0017082i,0.0023041+0.0018006i,0.002706+0.0029731i,0.0020464+0.0031743i,0.00082504+0.0025777i,0.00037432+0.0017656i,-4.4015e-05+0.00058956i,-0.00050916+0.00013124i,-0.00062041-0.00021203i,-0.00022558+3.3737e-05i,1.9603e-05+0.00031007i,-0.00037396-0.00043279i,-0.00049569-0.0013898i,-0.00049552-0.0014002i,-0.00071926-6.3053e-05i,-0.001163+0.00054435i,-0.0006752-9.6599e-05i
0.0012164-0.00083493i,-0.0007106+9.3954e-05i,-0.00037951-0.00014563i,-0.00069531+1.5636e-05i,-0.0016291-0.0005321i,-0.00051315-0.0013218i,0.0023027-0.00121i,0.0045316-0.00023772i,0.005358-0.00019662i,0.0037218-0.0013513i,0.001056-0.0010189i,-4.2391e-05+0.00030362i,-0.0001652+0.0014336i,-0.00026931+0.0021031i,-0.00015029+0.0015172i,0.00039954+0.00094664i,0.00062897+0.0011675i,0.00019463+0.0010125i,7.4258e-05+0.00039435i,0.00054194+0.00017904i,0.00028327+0.00034951i,-8.4617e-05+0.0010967i,0.0003758+0.0017531i
0.00033831-0.00063222i,4.4952e-05-0.00063119i,-0.00012036-0.00067584i,-0.0014543-0.00053274i,-0.0024075-0.0011021i,-0.0019182-0.0024411i,0.00029828-0.003603i,0.0029462-0.0046556i,0.0032477-0.0053186i,0.00090236-0.00512i,-0.00081059-0.0034216i,-0.00014947-0.00089771i,0.0011185-4.7551e-06i,0.0017012-0.00039584i,0.0016136+0.00012241i,0.0012359+0.00090124i,0.0013169+0.00085859i,0.00078949+0.00098996i,-0.00021479+0.00089524i,-0.00032068+0.00025131i,-0.00019642+0.00011007i,0.00047387+0.00051736i,0.00074609+0.00069481i
-0.00046421-0.0015224i,0.00017932-8.3071e-05i,-0.0011617+0.00078501i,-0.0027094+0.0020434i,-0.0032561+0.0026953i,-0.0026504+0.0017197i,-0.0011253-0.00035759i,-0.0011172-0.0034875i,-0.0025309-0.0043029i,-0.0030173-0.0021523i,-0.0012391-0.00071273i,0.00067354-0.00046743i,0.0013243-0.00062932i,0.001449-0.0017717i,0.00069074-0.0018868i,0.00057463-0.0013092i,0.00060095-0.0011231i,0.00031578-0.00097261i,0.0012823-0.0011257i,0.0015919-0.00058685i,-3.8819e-05-5.3702e-05i,-0.00064389-0.00027021i,-0.00038826-4.1143e-05i
-0.0023277+0.00041014i,-0.0022941+0.0010576i,-0.0010663+0.00056437i,1.3542e-05-4.3357e-05i,-6.8972e-05+0.0010177i,-0.0012068+0.0014539i,-0.0021886+0.001243i,-0.0036973+0.00068167i,-0.0046006+0.00055113i,-0.0032279+0.00040681i,-0.0011742-0.00072142i,-9.182e-05-0.0013862i,-0.00067538-0.0014577i,-0.00099216-0.0014171i,-0.00025938-0.00126i,-0.00011085-0.00099578i,-4.1371e-05-0.00049547i,0.0001908-4.8798e-06i,9.5359e-05-0.00057557i,0.00026192-0.0014538i,1.0584e-05-0.0013169i,-0.00049528-0.00031294i,-0.0010038-3.5911e-05i
0.0024524-2.5209e-05i,0.0028195-0.0012954i,0.0023697-0.0027942i,0.0010219-0.0028228i,0.00071856-0.0023458i,0.00091306-0.0014647i,0.00084677+0.0010085i,0.00058659+0.0031995i,0.001009+0.0027504i,0.000631+0.0011858i,-0.00096413+0.00011753i,-0.0020051-0.00016206i,-0.0013026+0.00028354i,-0.00071538+0.0013918i,-0.00069264+0.0015569i,0.00019048+0.00055881i,0.00026044-0.00015113i,-0.00062768-0.00086515i,-0.00091438-0.00098411i,-0.0011176-0.00016958i,-0.0015847+0.00045768i,-0.0011837+0.00017676i,-0.00078457+0.00034748i
0.0018716+0.00060541i,0.00045003-0.00027662i,-0.00094057-0.00064607i,-0.0020665+0.00070548i,-0.0026249+0.00093318i,-0.0011886-0.00029061i,0.0014542-0.00040155i,0.0031387+0.00062557i,0.0022698-0.00038979i,0.00030626-0.0017062i,-0.0010246-0.00088607i,-0.0015491+0.00034384i,-0.0015373+0.0010714i,-0.0012266+0.00095906i,-0.00014488-8.9749e-05i,0.00046226-0.00069993i,0.0002029+0.00039329i,0.00014795+0.00049931i,-9.5395e-05+0.00065926i,7.1713e-05+0.0012741i,0.00090934+0.00078901i,0.00068484+0.0002711i,3.5495e-05-0.00047007i
-0.00048156-0.00065395i,-0.00095407-0.0018203i,-0.00099181-0.0030067i,-0.0015507-0.0029752i,-0.0019017-0.0018892i,-0.00076234-0.0026499i,0.0013381-0.0047378i,0.0031438-0.004753i,0.0026494-0.0043317i,0.00011947-0.0032392i,-0.00032183-0.0010756i,0.00041819+0.00059401i,0.00051662+0.0010803i,0.0011574+0.00097245i,0.0012475+0.0011394i,0.0003431+0.0016328i,2.3601e-05+0.0013346i,-0.00022011+0.00029719i,-0.00022771+0.00019739i,0.00054482+2.0949e-05i,-0.00011161+0.00023169i,-0.0013204+0.00077319i,-0.00086901+0.0010276i
0.002158+7.7276e-05i,0.0027795+0.00019647i,0.0022437-0.0016376i,0.00057218-0.0027532i,-0.00058018-0.0016265i,-0.0007335-0.0012067i,-0.00059381-0.0035482i,-0.00050371-0.0057774i,-0.00079463-0.0047995i,-0.00096984-0.0027387i,0.00040273-0.0004936i,0.0020128+0.00039894i,0.002646-0.00072541i,0.0017299-0.001078i,0.0012549-0.00058386i,0.0012148-0.00048593i,0.0010083-0.00016011i,0.0011338+0.00023782i,0.0011598-0.00010478i,0.00024121-0.0011105i,-0.00039525-0.0013248i,-9.453e-05-0.00069421i,-0.00074192-8.9805e-06i
3.3821e-05+0.00066306i,-0.00017402+0.0024555i,-0.001366+0.0034992i,-0.0021059+0.0027562i,-0.0016094+0.0017357i,-0.0010745+0.001112i,-0.0018286-0.00068541i,-0.0024313-0.001971i,-0.00223-0.0020524i,-0.0011563-0.0023209i,0.00020395-0.002723i,0.0014281-0.0028167i,0.0019475-0.0024104i,0.00082484-0.0015594i,8.7139e-05-0.00086517i,0.00044338-0.00075328i,0.0014637-0.00095728i,0.0013593-0.00090094i,0.00058074-0.00075147i,0.00016463-0.00059592i,-0.00021592-0.00019249i,-0.00061203+0.00047114i,-0.00056817+0.00020834i
-0.0016672+0.0016207i,-0.0010214-0.0011106i,0.00068168-0.0033039i,0.0020073-0.0035223i,0.0021124-0.0033676i,0.00097274-0.0027831i,-0.00029023-0.0017973i,-0.0011675-0.00053619i,-0.0014517-0.0007614i,-0.00095158-0.0023605i,-0.0012375-0.00325i,-0.0021431-0.0035314i,-0.0021014-0.0032399i,-0.0011522-0.0021541i,-0.00048987-0.00086336i,-0.00056543-0.0002055i,-0.00040003-3.359e-05i,0.00013177-0.00041471i,0.00030162-0.00077874i,-0.00014307-0.0001677i,-0.00049567-0.00023132i,-0.00038409-0.00078913i,-0.00055227-0.00082272i
-0.0012176-0.0030165i,-0.0015229-0.003494i,-0.00097938-0.0032164i,-0.0010772-0.001228i,-0.00098755+0.00012369i,0.00050006-0.00033346i,0.0016046-0.00038725i,0.0012668+0.0002467i,0.00026267+8.3383e-05i,-0.0020052-0.0014032i,-0.0046283-0.001758i,-0.0038335-0.00068996i,-0.0020627-4.4966e-05i,-0.0012527-0.00061505i,-0.00058434-0.00072092i,-0.00023424+0.00017297i,0.00089059-0.00013945i,0.0017078-0.00059291i,0.0011683-0.00031395i,0.0002703-0.00036684i,0.00017705-0.00019163i,0.0002849-0.00041642i,-0.00010448-0.00042671i
0.0031733+0.0014216i,0.0021716+0.0010447i,0.0015504+2.3228e-05i,-0.00054571-0.0013785i,-0.0032548-0.0015315i,-0.0038055-0.00057927i,-0.00071652-0.0005518i,0.0024411-0.0019102i,0.0021009-0.0016431i,-0.0004727+0.00080801i,-0.0020896+0.0021569i,-0.0014643+0.0023296i,-0.0010627+0.0023014i,-0.0010549+0.0019645i,-0.00074265+0.00098719i,-3.029e-05+0.00071324i,0.00068564+0.0010783i,0.00024794+0.00040094i,-0.00028589-6.4742e-05i,-0.00065313-1.0467e-05i,-0.00080895-0.0004034i,-0.00011926-0.00040194i,-5.6166e-05+7.2877e-05i
-0.0014133+0.0011479i,-0.0014763+0.0010406i,-0.00066856+0.0010829i,0.00017546+0.0018697i,0.000539+0.0012549i,0.0018387-6.5396e-05i,0.0032363-0.00098653i,0.0029704-0.0031638i,0.0022601-0.003425i,0.0025905-0.00026673i,0.0032604+0.0017758i,0.0033179+0.0016653i,0.0020584+0.0013526i,0.0009949+0.0015538i,0.00022308+0.00061409i,0.00039351-0.00024659i,0.0010734-0.00019337i,0.0012135-8.3856e-05i,0.0012963+5.3824e-05i,0.00080273-0.00054364i,-0.0002001-0.0008666i,4.8423e-05+1.1786e-06i,0.0003072+0.0012864i
-0.00032458-0.0029406i,-0.00085439-0.0041787i,-0.0014465-0.0045415i,-0.00064816-0.0044814i,0.0018677-0.0054363i,0.0039973-0.0057004i,0.0040745-0.0050174i,0.0024073-0.0041141i,0.0013936-0.003704i,0.0020047-0.0037775i,0.0031327-0.0035388i,0.0035131-0.0032569i,0.0030445-0.0024123i,0.002285-0.0008455i,0.0014491+0.0004109i,0.00097248-0.00015721i,0.00087802-0.0011261i,0.00085436-0.0012034i,0.0014448-0.0014051i,0.00083957-0.00088098i,-0.00058352-0.00031022i,-0.00048488-0.00021205i,5.6165e-05-0.00044251i
-0.00069663-0.0018237i,-0.0016748-0.0013264i,-0.0026991-0.0014152i,-0.0034254+2.7045e-07i,-0.0026715+0.00024787i,-0.0013346-0.0017452i,-0.001046-0.0032426i,-0.001583-0.0021698i,-0.0023297-0.0021218i,-0.0022538-0.0035744i,-0.0024035-0.0043367i,-0.0017121-0.0041143i,-0.00021362-0.002725i,0.00087065-0.0025278i,0.0017136-0.0021915i,0.0014809-0.00064314i,0.00057806+0.00021007i,1.4835e-06-0.0001484i,0.00021719-0.00064252i,0.00016048-0.00088609i,0.00032058-0.00062411i,0.00064663-0.00023506i,0.00075016-0.00076576i
-0.00094557+0.0022078i,-0.00055345+0.0022991i,0.00063525+0.0020235i,-0.00044422+0.001309i,-0.0028841+0.00032642i,-0.0045158-1.8442e-05i,-0.0054325+0.00037653i,-0.004127+0.0011953i,-0.0020978+0.0022027i,-0.0022206+0.0015059i,-0.0035046-3.1679e-05i,-0.0036257-0.00056514i,-0.0025599-0.00079877i,-0.0011804-0.00049018i,-0.00081051-0.00018185i,-0.0011764+6.8863e-05i,-0.00099168+0.00033774i,0.00013945+0.00035837i,0.0010476+0.00062526i,0.0011171+0.00053058i,0.0006203+0.00052357i,-0.00021477+0.00026089i,-0.00017266+0.00019273i
-0.00034216+0.00030776i,0.00069708+6.0284e-05i,0.00088897-0.00017704i,0.00033202-0.00013694i,-4.4725e-05+0.000378i,-0.00075659+0.0024047i,-0.0005977+0.0046767i,-6.847e-05+0.0041531i,0.00039704+0.0025451i,0.00030063+0.002763i,-0.00011486+0.0043643i,-0.00016356+0.0052687i,-0.00069324+0.0038335i,-0.0014246+0.0015507i,-0.0019581+0.00011885i,-0.0016211-0.00023782i,-0.00054114+9.617e-05i,4.3507e-05+0.00017658i,0.00020129+0.00055599i,-0.00027932+0.00093074i,-0.00076055+0.00022073i,-0.0014077-0.00077259i,-0.0023545-0.00071181i
0.0021855-0.00071107i,0.0031409-0.0031992i,0.0027952-0.0052527i,0.002913-0.0057297i,0.0031674-0.0041175i,0.0033017-0.0011887i,0.0039311+0.00014014i,0.0029356-0.00073743i,0.0020179-0.0016441i,0.0024457-0.0016101i,0.0027592-0.00026814i,0.0026866+0.00020286i,0.0022421+8.7366e-05i,0.00090037+0.00074256i,0.00014251+0.0012813i,0.00064827+0.0020507i,0.001417+0.0021039i,0.0019444+0.00097998i,0.0018352-0.00042742i,0.00081346-0.00063178i,-0.00059922+2.3551e-05i,-0.0011558+0.00058244i,-0.0013636+0.00092988i
0.0048003+0.0026034i,0.0035451+8.4455e-05i,0.0023112-0.0021613i,0.0010944-0.0034436i,0.00088369-0.0048463i,0.0025051-0.0054483i,0.0044328-0.0042236i,0.0031931-0.0033677i,0.00063074-0.0041898i,-0.00036022-0.0049008i,0.00036334-0.0045343i,0.00089476-0.0034721i,0.00050575-0.0015475i,0.00036792+0.00017587i,0.00043038+0.0010793i,0.00042706+0.00072634i,0.00028741+0.00033495i,0.0003716-0.00026137i,0.00053497-0.00065491i,0.00010527+7.963e-05i,-0.00066018+0.00034783i,-0.0010863+0.00018046i,-0.00084022+0.00048556i
-0.0014035-0.0033207i,-0.0019044-0.0018638i,-0.0031084+0.0009528i,-0.0047414+0.0032899i,-0.0050264+0.0032517i,-0.0042297-0.00097238i,-0.0020912-0.0069493i,-0.00075641-0.0091748i,-0.0022406-0.0070343i,-0.0041855-0.0048805i,-0.0042722-0.0039861i,-0.0033636-0.0030599i,-0.0022487-0.0024234i,-0.00048392-0.0015393i,0.0011808-0.00068644i,0.0014567-0.0004005i,0.00061493-0.00053525i,-7.1386e-05-0.00049706i,-8.7784e-05+0.0002345i,0.00037253+0.00026931i,0.00031981-3.8236e-05i,-0.00039205+0.00010954i,-0.00065976-0.00017824i
0.00035711-0.0023131i,-0.00018513-0.0011211i,-0.0026632-0.00026211i,-0.0048129-0.00083779i,-0.0062283-0.0010776i,-0.0086514-0.00095004i,-0.009353-0.0021508i,-0.0079526-0.0041245i,-0.006402-0.0026526i,-0.0054658+0.00058599i,-0.0051681+0.0011626i,-0.0037899+0.00044277i,-0.0012527+0.00085131i,0.0004468+0.00079146i,-6.3817e-05-8.4479e-05i,-0.00080337-0.00046051i,-0.00050943-0.00013003i,-0.00027192+0.00055973i,-0.00018426+0.00070138i,-9.068e-05+0.00027448i,0.00022395+8.5873e-05i,0.00018101-0.00046812i,-7.8963e-05-0.00095442i
-0.00069988-0.00010248i,-0.002724-0.0016758i,-0.0041944-0.0044869i,-0.0040021-0.0048097i,-0.0026052-0.0036426i,-0.0028051-0.00048967i,-0.0044587+0.0020091i,-0.0044479+0.0018937i,-0.0017416+0.0015088i,0.00035592+0.00261i,0.00041179+0.0038668i,6.8301e-05+0.0035354i,-0.00023476+0.0021181i,-0.00043884+0.0011299i,-0.0002578+0.0013521i,0.00076965+0.0016063i,0.0016586+0.0011708i,0.0016945+0.00075019i,0.0014415+0.00060656i,0.00031287+0.00042083i,-0.0010179+0.00049896i,-0.0012175-7.0537e-05i,-0.0013975-0.00061724i
0.00022882+0.0014887i,0.0026956+0.0012857i,0.005675+0.0013134i,0.0066267+0.00094565i,0.0054448-0.0012564i,0.0038335-0.0018837i,0.0035202+0.0015497i,0.0040266+0.0036605i,0.0041624+0.00099357i,0.0038936-0.0020071i,0.002946-0.0020716i,0.0012743-0.0015641i,3.0941e-05-0.0013747i,-0.00069911-0.0011472i,-0.00041741-0.0010127i,0.00065551-0.00020907i,0.0013723+0.00022204i,0.0015829-0.00094908i,0.0009537-0.0019418i,-0.00010878-0.0015307i,-0.00069659-0.00049283i,-0.00062299-2.8551e-05i,-0.00014519+6.8069e-05i
0.00018597+0.0030437i,0.0025489+0.0032102i,0.0041982+0.003885i,0.0043564+0.0045497i,0.0046322+0.0030432i,0.0063763-0.00027404i,0.0088376-0.0028717i,0.0088624-0.0044906i,0.0052755-0.0053563i,0.00082998-0.0057974i,-0.00054478-0.0052286i,-0.00025365-0.0035064i,-0.0012596-0.0015802i,-0.001363-0.0012291i,0.00017183-0.0018876i,0.00089016-0.00249i,0.00059257-0.0023842i,-0.00012102-0.0017541i,-0.00039768-0.00065579i,-0.0006052+0.0011995i,-0.00029709+0.0015543i,0.00057464-0.00012743i,0.00042428+1.5862e-05i
0.0021503-0.00065913i,-3.267e-05-0.0010302i,-0.0029954-0.0027247i,-0.0061017-0.0035696i,-0.0067387-0.0026649i,-0.0031021-0.0034062i,0.0020549-0.0076433i,0.0049199-0.011232i,0.0032713-0.0092006i,-0.00052359-0.0051718i,-0.0023324-0.0030975i,-0.0023594-0.0014222i,-0.0015151+0.00032337i,-0.00067816+0.0009103i,-0.00036144+0.00067848i,-0.00058517-0.00014005i,-0.00079083-0.00051799i,-0.00068143+1.4771e-05i,-0.0011315+0.00059662i,-0.0011085-0.00023144i,-0.00022381-0.00077387i,0.00049256+0.00025545i,0.00031158+0.00084844i
0.0026848-0.0020092i,0.0018503-0.0025209i,0.00023422-0.0033622i,-0.0011495-0.0026828i,-0.0019441-0.0038105i,-0.0022001-0.0076598i,-0.0024265-0.0095803i,-0.002718-0.0088424i,-0.0017984-0.0055332i,-0.00030657-0.001091i,0.00030029+0.001585i,0.00052575+0.0023976i,0.0010096+0.0019853i,0.0013133+0.00013722i,0.00078566-5.3778e-05i,-2.7354e-05+0.00092655i,9.9811e-05+0.0012543i,0.00080507+0.00088884i,0.0013357-5.3314e-05i,0.0013607-0.0008256i,0.00049353-0.0013491i,-0.00060489-0.0016741i,-0.00040036-0.0011505i
0.00074248-0.0014627i,0.0024743-0.0024476i,0.0045362-0.0052818i,0.0047871-0.0065842i,0.0026026-0.0041721i,-0.001043-0.00068438i,-0.0037572+0.002459i,-0.0058395+0.0036286i,-0.0046484+0.0025757i,-0.00026213+0.00095847i,0.0019059+0.00054276i,0.0026644+0.00048052i,0.0030912-0.00043566i,0.0016947-0.0010007i,0.00069188-0.00013667i,0.0013856+0.00083495i,0.0023094+0.00097219i,0.0023834+0.00037626i,0.0019092-0.00065887i,0.00073255-0.0012458i,-0.00047994-0.0010917i,-0.00074016-0.00064992i,-0.00082524-0.0003452i
