-0.0034288-0.00090407i,-0.0040236-0.00051716i,-0.0034809+0.00099677i,-0.0011299+0.0018879i,-0.00046268+0.0015059i,-0.00072928+0.0010847i,-0.00094042+0.0011642i,-0.00056579+0.00088115i,-0.00035068+0.00051469i,-0.00013579+0.0006364i,0.00061721+0.00029258i,0.00086009-0.00087924i,0.00090699-0.0017315i,0.0014564-0.0021508i,0.002245-0.0010975i,0.0013204-7.8825e-05i,0.00059425-0.00038437i,0.00040247-0.0011575i,-3.678e-05-0.0016872i,-0.00072249-0.001549i,-0.00066962-0.0011737i,0.00021635-0.00071591i,0.00071418-0.0002683i
0.0015789+0.0015785i,0.00096628+0.00019633i,0.00071536-3.0845e-05i,0.00050241+0.00032103i,-0.00059517-0.0010087i,-0.001132-0.0023281i,-0.0011904-0.001393i,-0.001595+0.00011612i,-0.00072948+0.0011924i,2.5404e-05+0.0010408i,-0.00039715+0.00056132i,-0.00017115+0.00048141i,-4.5912e-05-4.6862e-05i,1.7138e-05-0.0003944i,-0.00047828+6.3915e-05i,-0.00088445+0.00012124i,-0.000337+0.00055277i,0.00052545+0.00087899i,0.0014051+0.00056102i,0.00051322+0.00011012i,-0.00043866-7.9106e-05i,1.776e-05-1.4333e-06i,0.0002509-0.00030668i
-0.00083673-0.00083458i,-0.00027876+0.00030547i,4.4982e-05+0.00049793i,0.0007603+0.00033359i,0.0011242+9.7356e-05i,0.00024626-0.00045966i,-0.0016317-0.00016934i,-0.0020312+0.000836i,-0.0010567+0.0008987i,-0.00013037+0.00022382i,-0.00017184+9.3103e-05i,-0.00051346-0.00046787i,-0.00019727-0.00052594i,0.00028452-0.00060349i,0.00063954-0.00059697i,0.00011185+0.00070323i,0.00018763+0.00062073i,0.0005757-0.00032869i,0.00048681-0.00031125i,0.00099658-0.00060288i,0.0012885-0.00057811i,0.00080946+0.00035002i,7.2077e-05+0.0006048i
-0.0010398-0.0018848i,-0.0014362-0.00088152i,-0.0011949-0.00078882i,-0.00048568-0.00028221i,-1.6408e-05+0.0003394i,-0.00051619+0.0002582i,-0.00077347+0.00019421i,6.0113e-05-0.00014184i,0.00052707+7.7827e-05i,-3.6536e-06+0.00048284i,-0.00025008+0.00038925i,1.8959e-05+0.00030334i,0.00028547+0.00037919i,0.00064914-5.078e-05i,0.00074237+3.2194e-05i,0.0007063+0.00015211i,0.00073514+0.0002053i,8.5496e-07+0.00052345i,-0.00085555+0.00060275i,-0.0010317+0.00037284i,-0.00021976+6.1068e-05i,0.00060891+0.00050933i,-3.1612e-05+0.00083852i
-0.0003178+0.00087191i,0.0007037-2.7187e-05i,0.00018238-0.0012479i,-0.00094341-0.0012803i,-0.0018968-0.00013977i,-0.0022002-0.00027916i,-0.0018649-0.00149i,-0.00057942-0.0012261i,-0.0002071-0.00052951i,-0.0011109-0.00013668i,-0.00069353+0.00045714i,-0.00040315+0.00084452i,-0.00041958+0.0004926i,0.00032674-0.00050532i,0.00082083-0.00052323i,0.00027996-0.00044125i,-0.00018358-0.0001747i,-0.00010545-0.00027393i,-6.6093e-06-0.00047632i,-9.707e-05+4.7051e-05i,-0.00041355+0.00027619i,-0.00040474-0.00047031i,-0.00017721-0.0013181i
0.0023364-0.00054155i,0.00080109+0.00024355i,-0.00083086+0.00026963i,-0.0021595-0.00013428i,-0.003096-0.00041335i,-0.0033129-0.0010925i,-0.0016303-0.0014761i,-0.00027131-0.00038982i,8.8123e-05-7.1796e-05i,9.1614e-05-0.00022833i,-0.00023603+0.00013172i,-0.00016745-0.00014944i,-0.00032591-0.00028704i,-0.00075731-0.00013425i,-0.0006601+0.00024868i,-0.0010301+0.00075866i,-0.00036526+0.00020649i,0.00064925-0.00066022i,0.00034852-0.00034178i,0.00018049+8.9861e-06i,-0.00028906-0.00023875i,-0.0001608-0.00036451i,0.00044992-0.00018769i
-0.0012272+0.0012118i,-0.00070973+0.0013808i,3.8882e-05+0.0004727i,0.00077011-0.0005263i,0.00044967-0.00049681i,-0.00075067-0.00058925i,-0.001612-0.00085766i,-0.0015623-0.00012145i,-0.0013714+0.00080585i,-0.00062557+0.00091289i,0.00050854+0.00056136i,0.00026621+0.00038479i,-0.0003483-2.8137e-05i,0.00019515-0.00011436i,0.00034026-0.00022034i,3.5475e-05+0.00027038i,-0.00063156+0.0008861i,-0.00068602+0.00017007i,-0.00028927-0.00051124i,-0.00024521-0.00084886i,0.00027993-0.00080817i,0.00053677-4.4174e-05i,0.00035639+0.00011501i
0.00061216-0.0012567i,0.0020913-0.0017351i,0.0015363+0.00017469i,0.00031532+0.00069999i,-0.00025275-0.00068849i,-0.00060277-0.0021556i,-0.0012195-0.0018278i,-0.0010484-0.00072587i,0.00024038+9.6591e-05i,0.0011424+0.00095401i,0.0011319+0.00060612i,0.00084288-0.00058361i,0.00060585-0.00012037i,0.00013065+0.0006186i,-0.00026745-0.0004363i,-4.4787e-05-0.00093557i,-8.2638e-06-0.00050283i,-0.00022089-0.00052892i,8.9918e-05+0.0001542i,3.7899e-05+0.00038842i,-0.00050663-0.00033814i,-0.00066356-0.00031669i,-0.00049139-0.0003701i
-0.0014185+0.0028755i,-0.0015888+0.0034036i,-0.0011561+0.0034566i,-0.00094571+0.0020124i,-0.00089457-0.00011283i,-0.00037344-0.0014402i,-0.0010397-0.0018408i,-0.0017588-0.00086538i,-0.00096994+0.0005206i,-0.00016179+0.00061639i,-6.5948e-05+0.00016018i,-0.0006044+1.6228e-05i,-0.00044038-0.00027321i,-0.00013665+0.00030342i,-0.00092192+0.00073912i,-0.00085797+0.00022812i,3.9721e-05+6.8608e-05i,0.00090296+0.00030999i,0.00065023+0.00022978i,-0.00023224-5.7405e-05i,-0.00049082-0.000343i,-0.00038259+3.6694e-06i,-0.00047586-0.00018415i
-6.007e-05+0.00029365i,0.0012334+0.00020264i,0.0017763-0.00049493i,0.00081632-0.00075564i,-0.00021814-0.00074921i,-0.0017014-0.00097409i,-0.0021559-0.00040594i,-0.0009944+0.00039708i,-0.00023936+0.00034975i,4.1048e-05+2.4204e-05i,0.00021944-0.00010511i,0.00035634-0.0001281i,0.00034439-8.4453e-05i,-4.4777e-05+5.2712e-05i,-0.00025739+0.0007725i,-0.00025257+0.0011217i,-6.6735e-05+0.00081919i,0.00080019+0.00046396i,0.00075288+0.00035489i,-0.00028909+0.00034872i,-0.00061767+0.0001871i,-0.00012503-0.00065602i,0.00033163-0.00064304i
-0.00037899+0.0024105i,0.00012996+0.001456i,-0.00010686+0.00010218i,-0.00091978-0.00076982i,-0.0010622-0.001872i,-0.0016024-0.0024879i,-0.0013503-0.0015647i,-0.0011879-0.00023625i,-0.00052364+6.1094e-05i,0.0003073-0.00019097i,0.00032021-0.00032564i,0.00021021-7.4366e-06i,-4.2767e-05+0.00042133i,-0.00067012+0.00014259i,-0.00055751-0.00025414i,-0.00021932+0.00015011i,-5.8898e-06+0.00067864i,6.6168e-05+0.0012811i,0.00035415+0.00070687i,0.00038732+0.00027429i,0.00028524+0.00028529i,0.0002829+0.0004461i,-0.00024438+0.00043574i
0.00076158+0.0003025i,0.00097103+0.00035443i,0.00059411+0.00010441i,-6.7242e-05-0.00093177i,-0.0010779-0.00090796i,-0.0022065-0.0012743i,-0.0019586-0.00085618i,-0.0013298+0.00016934i,-0.00069933-0.0001167i,-0.00048456-0.00019164i,-0.00036531-0.00026543i,-7.846e-05-0.00014711i,-0.00072262+0.00040073i,-0.0015085+0.00015124i,-0.00083909+0.0002509i,0.00017457+0.00058694i,0.00049341+0.00055135i,0.00032297+0.00057995i,-0.00027315+0.00060991i,-1.6718e-05+0.00014796i,6.9023e-05+0.00016023i,0.00023509-9.8844e-05i,0.00070269+9.9415e-05i
0.00059254+0.0010817i,0.00013009+0.0015035i,-0.00025477+0.0018093i,-7.2867e-05+0.0010078i,-0.00041349+0.00027983i,-0.00065952-0.00016984i,-0.0009046-0.00045672i,-0.001103-0.00062875i,-0.00034843-0.00038672i,-0.00018116+0.00092178i,-5.3045e-05+0.0014816i,0.00025735+0.00078262i,-0.00041303+0.0008131i,-0.00072068+0.00039822i,0.000158-3.0074e-05i,0.00051948+0.00012749i,-1.5152e-05+0.00047289i,7.4928e-05+0.0005851i,0.00050016+0.00038659i,0.00063226+0.00058788i,0.00089041+0.00053066i,0.0006901-0.00024334i,0.00069174-0.00042472i
-7.6482e-05+0.00028693i,0.00064496+0.00069535i,0.0014064+0.00095171i,0.0013171-0.00015642i,0.00037439-0.001615i,-0.00070379-0.002397i,-0.0016947-0.0020145i,-0.0016378-0.00083733i,-0.00072914+0.0002256i,-0.00062592+0.00030371i,0.00022938+0.00013408i,0.00091856-8.2973e-05i,0.00035728-0.00019943i,-0.00019471+0.00027222i,-0.00015665+0.00059938i,0.00048567+0.00039522i,0.0011174-0.00033771i,0.001044-0.00060808i,6.9486e-05-0.00023942i,-0.00076214-0.00015085i,-0.00014698+0.00042676i,0.00053693+0.0007871i,0.00067311+0.00040803i
0.0012933-0.00039832i,0.00024623-0.0013175i,-0.0016332-0.0009902i,-0.0025122+0.00063864i,-0.0015506+0.0016556i,-0.00063412+0.00029098i,-0.0010776-0.00069559i,-0.0017058-0.00041965i,-0.0018571+0.00019641i,-0.0015919+0.00058663i,-0.0008074+0.00053725i,-7.394e-05-0.0001918i,0.00108-0.00057313i,0.0015332+0.00077317i,0.0014098+0.0016647i,0.00075258+0.0013254i,0.00014019+0.00077449i,0.00064555+0.0001858i,0.0007979+0.00013641i,0.00095979-0.00031575i,0.00033175-0.00052627i,-8.6616e-05-6.4413e-05i,0.00043765-0.00027204i
-0.0019951+0.0062562i,-0.00048148+0.0044831i,0.0015033+0.0023948i,0.0015783-0.00059014i,0.00070464-0.0027329i,-0.00057384-0.0036265i,-0.0015753-0.0027974i,-0.0012686-0.00087753i,-0.00038605-0.00052408i,0.00036872-0.000994i,0.00058742-0.00078393i,0.00051788-0.0013034i,-0.00011773-0.0015372i,-0.00080822-0.0015669i,-0.0014928-0.0015464i,-0.0015455-0.0010232i,-0.00011215-0.00031401i,0.0010659+0.0004923i,0.00048289+0.00057014i,0.00022055+0.00020027i,0.00047872-0.00039663i,0.00020327-0.00058728i,0.00028773+0.00017265i
0.002612-0.00038611i,0.0033714-0.00092596i,0.0019521-0.0005256i,0.0003982-0.00019705i,-9.3934e-05+0.00012904i,-0.0002361-0.00026726i,-0.00054133-0.00056792i,-0.00085827+0.00039315i,-0.00045577+0.0012101i,-8.4047e-05+0.00038505i,0.00013953-0.00051418i,-0.00017302-0.00033566i,-0.00090963-9.795e-05i,-0.00092376-0.00025231i,-0.00069758-0.0008873i,-0.00058958-0.00056208i,-4.1927e-05+3.0368e-05i,-5.3194e-06-8.6884e-05i,0.00014111-0.00062777i,-0.00031433-0.0011211i,-0.0012562-0.00097093i,-0.00083671-0.00024608i,-0.0002714+0.00051706i
-0.0018166+0.0035819i,-0.0007106+0.0030941i,0.0001908+0.0016045i,0.00063481+0.00096863i,-2.3651e-05+0.00047426i,-0.0011046-0.00068078i,-0.0015736-0.0010533i,-0.0010325-0.00039433i,0.00016975+0.00019135i,0.00094999+0.00033905i,0.0017106+0.00031381i,0.0018145+0.00029663i,0.00054822+0.0002806i,-0.00063615-3.7344e-06i,-0.00063301-0.00076368i,-6.3219e-05-0.00073936i,-0.00063808+0.00034816i,-0.0006165+0.00045623i,-8.0935e-05+0.00082361i,-4.3787e-05+0.0006916i,-8.2789e-05+0.00023071i,0.0002796+8.4738e-06i,0.000322-0.00036409i
0.0026311+0.00012103i,0.0026548+8.3589e-05i,0.0012614-0.00093542i,0.00022839-0.0010493i,-0.00060655-0.00087698i,-0.0010587-0.00057592i,-0.00077208-0.00027868i,-0.0007309+0.00051582i,-0.00057187+0.0010833i,-0.00088505+0.0004819i,-0.00075852+0.00043277i,-0.00023784+0.00056199i,-5.742e-05+0.00050805i,-0.00020754+0.00095571i,-0.0002784+0.001426i,-0.00010378+0.00092688i,0.00028671+0.00026522i,0.00095381+4.7724e-05i,0.0010768-0.00072113i,0.00069877-0.00052709i,0.00057009+0.00013791i,0.00035613-0.0003194i,7.0801e-05-0.00011006i
-0.0022955+0.002988i,-0.0017995+0.0025429i,-0.00093912+0.0010485i,-0.00070285-0.00036595i,-0.00068508-0.0013332i,-0.00092687-0.0024665i,-0.0018022-0.0025887i,-0.0012394-0.001327i,-0.00033382-0.00021564i,-0.00030261-0.00011235i,-0.00088659-0.0003717i,-0.00085421+9.2505e-05i,-0.00051677+0.00018761i,-0.00056398-0.00039199i,-0.0011708-0.0010355i,-0.0011879-0.00044017i,-0.00068841+0.00069232i,-0.00041878+0.00038557i,-2.9689e-05-0.00020343i,0.00038216+0.00026063i,0.0010833+0.00039752i,0.0011075+0.00052588i,0.00042507-5.0789e-05i
0.0021949-0.0018693i,0.0030406-0.0015899i,0.0028452-0.0014925i,0.0024606-0.0009493i,0.0022544-0.00020977i,0.001117-0.0010692i,-0.00055607-0.0019966i,-0.0011538-0.0012854i,-0.0011238-0.00046031i,-0.00077911+1.6691e-05i,-0.00053071+0.00043497i,-0.00043212+0.00017044i,0.0002961-0.00035305i,0.00074125+5.9949e-05i,0.00082248+0.00043381i,0.00035359+0.00015098i,-0.00022262+0.00023222i,0.00012867+8.2463e-06i,0.00057677-1.9287e-05i,0.00056791+7.9054e-05i,0.00040091+0.0001568i,-5.4444e-05-0.0001098i,-0.00014907-0.00051701i
-0.0019448+0.001802i,-0.0020978+0.0026617i,-0.001663+0.0016548i,-0.0012767+0.00031999i,-0.001434-0.00058484i,-0.0019651-0.001114i,-0.0022373-0.0014116i,-0.0021274-0.00075968i,-0.0012347-0.00088059i,-0.00017248-0.0010264i,-0.0001542+0.00013147i,-0.00034197+0.00080307i,-0.00044243+0.00082153i,-0.00014969+0.00041366i,-0.0005967+6.4296e-05i,-0.00078625-0.00027248i,-0.00026247-0.00067113i,0.00011999-0.00082183i,-3.9045e-05-0.00080682i,-0.00028702-0.00072862i,0.00027199-0.00026512i,0.00058095+0.00051478i,6.6159e-06+0.00060703i
0.00017736+0.00031854i,0.0018538+0.0001001i,0.0025044+0.0010364i,0.001574+0.0012052i,0.0007153+0.00019858i,3.777e-05-0.0012823i,-0.0005229-0.0012551i,-0.00048649-0.0010012i,-0.00058756-0.0011231i,-0.00082301-0.00050572i,-0.00058243-2.2964e-05i,-0.0004406+0.00035717i,-0.00028696+0.00041396i,-0.00017585-0.00048642i,-0.00051436-0.001209i,-0.00014762-0.00087027i,0.00011202-0.0002866i,0.00038118+0.0001654i,0.00012572+0.00046123i,-0.00073572+0.00098673i,-0.00070484+0.0009827i,-0.00028012+0.00030097i,-0.00025944+0.00015927i
-0.002146+0.0029768i,-0.0023572+0.0035057i,-0.0021293+0.0029295i,-0.00054584+0.00038779i,0.00042475-0.0014526i,-0.00092628-0.0017012i,-0.0017305-0.0014761i,-0.0010169-0.00061165i,-0.00084334+0.0001023i,-0.00039198-0.00037575i,-0.00014442-0.00040891i,-0.00078135+6.4846e-05i,-0.00072755+0.00039515i,-0.00051911+0.00035248i,-0.00024453-0.00088666i,0.00051972-0.0011417i,0.00098246-0.00022358i,0.00099028+0.00021689i,0.00068351+7.2625e-05i,-3.0844e-05+0.00028426i,-0.00017399+0.00046432i,0.00015738+0.0002198i,0.00019377-0.00028022i
7.7004e-05-0.00017457i,0.00093471+0.00015584i,0.0015877+7.7801e-05i,0.00077402+0.0002655i,0.00034502+4.1292e-05i,-0.00011954-0.00080972i,-0.00092489-0.0010449i,-0.0009747-0.00011394i,-0.0006859+0.00015234i,-0.00022166-0.00013407i,-0.00014846-8.0404e-05i,-0.0010045+0.00026453i,-0.0013549+0.00042671i,-0.00020423+0.00043607i,0.00061243+0.00056969i,0.00014915+0.00055934i,9.1606e-05+0.00037037i,0.000501+0.00022413i,0.0005972+0.00064765i,5.5748e-05+0.00030494i,-0.00037856-0.00025973i,-0.00030633-0.00035914i,-0.00025749-0.0007119i
-0.0016005+0.00087158i,-0.0014491+0.0020014i,-0.00011314+0.0025113i,0.00097265+0.00043798i,0.0012565-0.0014122i,0.00029608-0.0018366i,-0.0013197-0.0019031i,-0.0014978-0.0013403i,-0.00029016-0.00053377i,0.00038938-0.00049699i,-6.7142e-05-0.00027163i,-0.00076673+0.00016221i,0.00020118-0.00058i,0.00072228-0.0015277i,2.3991e-05-0.0022341i,-0.00016277-0.002074i,-0.00019708-0.00089425i,0.00054712-0.00020576i,-0.00019589-5.3423e-05i,-0.001797-0.00027847i,-0.001033-0.00038976i,0.00028336-7.7853e-05i,0.00031017+9.8602e-05i
-0.00042984-0.00010463i,0.00081014-0.0011076i,0.0014168-0.00052577i,-0.00010457+0.00029229i,-0.0013579+0.00060132i,-0.0015477-0.00018232i,-0.0017908-7.4172e-05i,-0.0018267+0.00055053i,-0.00051075+0.00024637i,0.00057008+0.00042191i,0.0004218+0.00030435i,0.00031916-0.0002073i,3.3227e-05+0.00012049i,0.00023503+0.00038482i,0.00014284+0.00074137i,-0.0005935+0.00059141i,-0.00044977-0.00024645i,0.0002665-0.00031212i,0.00060521+9.1837e-05i,0.00031948+0.0002122i,-0.00058569+0.00043511i,-0.00028383+7.2657e-05i,0.00074434-0.00082125i
-0.0014134+0.00090656i,-0.002123+0.0023909i,-0.0015551+0.0026294i,-0.00020734+0.0012187i,-2.3433e-05-0.0002123i,-0.00091558-0.0013648i,-0.0014907-0.0015084i,-0.00081201-0.00017339i,-0.0001137+0.00070707i,0.00012087+0.00069439i,0.00046453+0.00015816i,0.00059513-0.00018484i,1.9296e-05-1.3938e-05i,-0.00032583-8.6219e-05i,-0.00083421-0.00053687i,-0.001324-0.00021085i,-0.00066591-0.00026049i,-0.00026167-0.0008317i,-0.00020958-0.0003641i,-0.00029943+0.00057951i,-0.00034115+0.00070538i,-0.00070597+9.1154e-05i,-0.00062717-0.00031389i
0.0016111+0.00037957i,0.0022025-0.0004878i,0.0013444-0.00075908i,-0.00011223-0.00096339i,-0.00094463-0.001128i,-0.0013739-0.0011893i,-0.0012031-0.00093396i,-0.00091789+0.00040479i,-0.00057429+0.0010428i,-0.00013876+0.00057936i,-0.00049689-6.9569e-05i,-0.00092302-0.00073166i,-0.00047474-0.00049097i,0.00012258+0.00012772i,0.0002436+0.00020307i,-0.00024683-0.00019292i,-0.00015169-0.00055925i,-0.00018559-0.00053465i,-0.0001271+0.00014803i,8.478e-05+0.00035453i,0.00010284+0.00024846i,0.00086402+6.4237e-05i,0.00097591-0.00035482i
0.00028907+2.5968e-05i,0.00038779-0.00033206i,0.00012068-0.00014449i,-0.0005813-0.00040268i,-0.00067481-0.00049354i,-0.00095973-0.00039601i,-0.0010883-0.00036424i,-9.4713e-05-0.00060434i,9.7044e-05-0.00029193i,-0.00043969+1.376e-05i,0.00032952+0.00035546i,0.00060382+0.00039451i,0.00035082+8.3593e-05i,0.00016002+0.00030811i,0.00064322+0.0011279i,0.0010417+0.001406i,0.0010633+0.00026277i,0.00091575-0.00055499i,0.00067011+0.00039336i,0.00039918+0.00098111i,0.00053095+0.0008387i,0.000832+0.00050817i,0.00061701+0.00044756i
-0.00077537+0.00015455i,-0.0005906+0.00090437i,0.00016083+0.0015407i,0.00065638+0.0014821i,0.00057367+0.00050041i,-0.0004684-0.00093239i,-0.0019299-0.00088954i,-0.0017428-0.00044868i,-0.0011647-2.8265e-05i,-0.0012419+0.00085573i,-0.00074523+0.00091363i,0.00049903+0.00014833i,0.0011496+0.00011522i,0.001051+0.00048491i,0.00082689+0.0003616i,0.00052537-4.2309e-05i,0.00074857-0.00056618i,0.0013173-0.00010291i,0.00099617+0.00069553i,-0.00018501+0.00057555i,-0.00075769-0.0001248i,-0.00055113-0.00025799i,-0.00087262+0.00042455i
-0.00019115-0.0012091i,0.00052539-0.0016733i,0.0009998-0.0016856i,0.0006984-0.0010925i,3.5118e-05-0.0010415i,-0.00094163-0.0011167i,-0.0018552-0.0017276i,-0.0017054-0.0020623i,-0.00083984-0.0010003i,-0.00025609+0.00011907i,0.00039295+0.00096018i,0.00095003+0.0011949i,0.00079668+0.00087912i,0.00039742+0.00090039i,-0.0013392+0.00010576i,-0.0016226-0.00078622i,-0.00018509-0.00092034i,0.00046356-0.00060166i,0.00046011+0.00028347i,0.00018702+0.00070315i,0.00044426+3.825e-05i,0.00070534-0.00034434i,9.4477e-05-0.00019188i
2.1069e-05-0.00089568i,-0.00060942-0.0011276i,-0.00049894-0.0010526i,-0.00036081-0.001125i,-0.00099777-0.0010411i,-0.0017108-0.0010037i,-0.0021483-0.0014086i,-0.001796-0.0017156i,-5.0747e-05-0.0013257i,0.00068846-0.00023026i,0.00029888+0.00048405i,-0.00055266+0.00052016i,-0.00081095+0.00035272i,0.00013632+1.9186e-05i,0.00058605-0.00087548i,0.00047378-0.00073631i,0.00034947+0.00055816i,-0.00021604+0.0014601i,-0.00030781+0.00054779i,-0.000647-0.0010294i,-0.00092928-0.00067845i,-6.6051e-05+0.00017013i,0.00071496+0.00024691i
-0.003028-0.0018005i,-0.0029302-0.00073837i,-0.0010449+0.0014571i,-9.3951e-06+0.0019413i,-0.0004223+0.0012245i,-0.0011685+3.5376e-05i,-0.00097618-0.0008401i,-0.00091932-0.00057938i,-0.00079278-0.00023193i,-0.00026211+1.5698e-06i,0.00010284-3.598e-06i,0.00069635+0.00061443i,0.0005624+0.00084667i,0.00093482-0.0002878i,0.0011277-0.00067125i,0.00098012+8.5965e-05i,0.00031865+0.0010551i,0.00032814+0.0010746i,0.00030739+0.00010456i,-4.0816e-05-0.00011198i,4.8653e-05+0.0010114i,-0.00020318+0.0010811i,0.00028765-7.3571e-05i
0.0014006+0.00054094i,0.0024158+0.0010041i,0.0022799+0.00083589i,0.0017421+0.00034487i,0.0010529-0.0012916i,0.00019586-0.0025601i,-0.00094402-0.0018663i,-0.0019957-0.00054833i,-0.0014101-0.00034736i,-0.00041532-0.00030575i,0.00018053-0.00039808i,0.00030091+0.00013368i,-0.00039869+8.2658e-05i,-0.00051039-0.0013419i,0.00014946-0.0017947i,0.00058958-0.0015228i,0.00061334-0.0011695i,0.00039382-2.2991e-05i,0.00015066+0.00082014i,2.0822e-05+0.00084282i,0.00036562+0.0011858i,-0.00013688+0.00026684i,-0.00043307-0.00084184i
-0.00037207-0.00075922i,-0.00057541-0.0016907i,-0.00032587-0.00061379i,-0.000658+0.00037361i,-0.0015837-0.00056617i,-0.0023369-0.0014713i,-0.0021469-0.0014671i,-0.0010642-0.00075394i,0.00016283+0.0006194i,0.0005855+0.00077533i,0.00016827+0.00052204i,0.00013961+0.00079518i,0.00043848+0.00050812i,0.0003399+0.00034428i,0.00050825+0.00018736i,0.00038189-0.00062503i,-0.00016529-0.0008543i,-0.00035195-0.00056127i,-0.00080154-0.00029372i,-0.00060413-2.6801e-06i,-9.315e-05-0.00017611i,-4.3465e-05-0.00013445i,6.0596e-05+0.00056291i
0.00063475+0.00035464i,0.0016463+0.00154i,0.0012291+0.00097686i,0.00031194-6.3133e-05i,-0.00031259-0.0011239i,-0.00096606-0.0012424i,-0.0017396-0.00090231i,-0.0018196-0.00066928i,-0.0016683+0.00025956i,-0.00087667+0.00074595i,0.00016622+0.00095881i,0.0004878+0.0011659i,-0.00033555+0.0012426i,-0.00093708+0.0010499i,-0.00038668+0.00035246i,-0.00024549+0.00012486i,-0.00021143+0.00049094i,-0.0001496+0.00027047i,-8.2176e-05-0.00018579i,0.00023262-0.00011056i,0.00019197-7.5998e-05i,1.4461e-05-0.00015662i,-0.00015248+5.8674e-05i
-0.002346+0.00072989i,-0.0024756+0.00087714i,-0.00059426+0.0011609i,0.001158+0.00025198i,0.00098822-0.0017141i,0.00013088-0.0030242i,-0.0010467-0.0023046i,-0.0014228-0.001014i,-0.00052818-5.3823e-06i,8.7217e-05+0.00045185i,-0.00025771+0.00018621i,-0.00022072-3.2765e-05i,0.00049541+0.00020314i,0.00085575-0.00040461i,0.00039548-0.0011929i,-0.00069331-0.00060482i,-0.00065874+6.9203e-05i,-0.00017678-3.3787e-05i,-5.568e-05-0.0002272i,0.0002719+0.00096623i,0.00066923+0.00061609i,0.0010107-0.00031552i,0.0010736-0.00042039i
0.0016523+0.000517i,0.0017813+4.7488e-05i,0.000193-0.00052884i,-0.0012405-0.00077055i,-0.0012689-0.00076134i,-0.00059621-0.00076841i,-0.00047351-0.00079199i,-0.00030087-0.00036569i,4.5531e-05-0.00017803i,0.0005852+0.00029246i,-0.00011172+0.00068428i,-0.00072187-0.00057831i,-0.00058947-0.0018587i,-6.2203e-05-0.00162i,0.00025903-0.0013792i,9.1184e-05-0.0010854i,-0.00025983-0.00042947i,-0.00026507-0.00049025i,-0.00041698-0.0010269i,-0.00094491-0.00081615i,-0.00090936-0.00033263i,0.00011866+0.00022912i,0.00048103+0.00044215i
-0.002103+0.00041658i,-0.0023151+0.0023679i,-0.0015872+0.0026665i,-0.00010597+0.00072463i,0.00067984-0.0011473i,5.073e-05-0.0016428i,-0.0011751-0.0011002i,-0.0012672-0.00044014i,-0.00079822+0.00012376i,-0.000661+0.00027909i,-0.00084008+0.00060893i,-0.00091884+0.00055247i,-0.00042029-5.6652e-05i,-0.00017882-0.00017045i,-8.0456e-06-0.00048262i,0.00058487-0.00079869i,0.0005604-0.00071777i,4.5285e-05-0.00026398i,0.00027969+0.00038474i,0.00010822+0.00096564i,-0.00044794+0.00081903i,0.00029054-3.6302e-05i,0.00083452-0.00075889i
-0.0022327-0.00034641i,-0.0014616+6.1551e-05i,-0.00094659+0.00057716i,-0.00014181+0.00040721i,0.00010094+0.00027521i,-5.4956e-05-0.00017925i,-0.0008024-0.00064659i,-0.00094701-0.00095122i,-0.00023152-0.0010221i,-0.00028792+7.9727e-05i,0.00045376+0.0009742i,0.00077629+0.0005448i,0.00034085+9.0445e-05i,0.00073581-0.00048878i,0.001075-0.00060187i,0.0009095+0.00045767i,0.00026246+0.00034394i,0.00025641-0.00084733i,0.00036446-0.00077272i,0.00039639-0.00023871i,1.6108e-05+0.00025093i,-0.00044898+0.00036911i,-0.00090588+0.00028229i
-0.0011232+0.00076834i,-0.00090159+0.0015554i,0.00022875+0.0018325i,0.00018536+0.0013679i,-0.00060728-0.00064566i,-0.0013087-0.0021407i,-0.0014017-0.0015055i,-0.0010768-0.00019253i,-0.00032225+0.00040866i,-0.00029236+0.00052472i,-6.7688e-05+0.0009389i,0.00086886+0.0012069i,0.0006591+0.0004537i,-0.00016748-0.000284i,-0.00037466-0.00055208i,-0.00052672-0.00068146i,-0.00075359-0.00046455i,-8.6574e-05-0.00038199i,0.00033715-4.7062e-05i,-0.00012544+0.00033893i,-0.00041744+0.0001788i,6.3269e-05+0.00011928i,0.0006337-0.00011041i
-0.0010177-0.00099226i,-0.0019759+0.00065574i,-0.0020981+0.00039532i,-0.0017692-2.2013e-05i,-0.0021922+0.00057102i,-0.002423+4.8216e-05i,-0.0024001-0.0014096i,-0.0013461-0.0015425i,-0.00020614-0.0013552i,-0.00053385-0.00024987i,-0.00045876+0.00079232i,0.00026348+0.001232i,0.00034773+0.0006346i,0.00095922-3.9597e-06i,0.0014541+0.00017718i,0.00086122-0.00020043i,0.00020337+3.1831e-05i,0.00028891+4.7812e-05i,0.00094268-0.00027603i,0.00079481-0.00017693i,0.00053937-0.00059952i,0.00091355-0.00084472i,0.0012286-0.00039561i
