-0.003502+0.00050929i,-0.003594+0.001369i,-0.0040181+0.0017092i,-0.0032293+0.001252i,-0.0023483+0.0012833i,-0.0014629+0.0019381i,-0.0012176+0.0016018i,-0.00084285+0.0020807i,0.00025381+0.0022399i,0.0012557+0.0010478i,0.0014798-0.00027507i,0.0010046-0.00080496i,0.00027701-0.00099195i,-0.00079804-0.00034742i,-0.00061703+0.00023821i,0.00010642+0.0001983i,4.222e-05+0.00031406i,-0.00026789+0.00051546i,7.2165e-05+0.00025129i,9.1766e-05-0.00078499i,8.3216e-05-0.0012759i,0.00032167-0.00097429i,0.00055748-0.00060322i
-0.00049232-0.00046873i,0.00044862-0.0013034i,0.0004507-0.0007493i,0.00016829-0.00077554i,0.00030356-0.0013428i,-0.00074172-0.0017158i,-0.001323-0.001609i,-0.00019843-0.00061882i,0.0009051+0.00019632i,0.00089984+0.0001597i,-9.9053e-05+0.00053018i,0.00032483+0.00046574i,0.00087557-7.0866e-05i,7.5072e-05-0.00050085i,-0.0011211-0.0010093i,-0.0011373-0.0015757i,-0.00030671-0.0018031i,-0.00021107-0.00060409i,-0.00014598+0.00029204i,-0.00019593+0.00016675i,-0.0007929+0.00052025i,-0.00030882+0.00060379i,0.00087753-0.0002114i
0.00038057-0.00041908i,0.00076511-0.00043777i,-0.00011116-0.00052411i,-0.00077025-5.0033e-06i,-0.0015521-0.00021239i,-0.0019803-0.00029807i,-0.00040201-0.00017275i,0.0014963-0.00070311i,0.0023361-0.00088875i,0.0022747-0.00048094i,0.001992+0.00016181i,0.00095528+0.00070432i,0.0010146+0.00045632i,0.001351-0.00019448i,0.00090272-9.0403e-05i,0.00071186-0.00011852i,0.00060996-9.3448e-05i,0.00069891+0.00085008i,0.00086317+0.00070099i,0.00032672-0.00010522i,-0.00019866-5.1148e-06i,0.00018746+0.00013518i,0.0011593-6.8704e-05i
-7.0592e-05-0.001473i,0.0001461-0.001222i,0.00035003-0.00096685i,0.00047168-0.00077508i,0.00029941-0.0015562i,-3.501e-05-0.0018557i,0.00025103-0.0019318i,0.00031651-0.0012948i,0.0001628+6.1184e-05i,2.6122e-05+0.0011891i,-0.00012239+0.0013982i,0.00029602+0.00052317i,0.00014962+0.00023017i,9.4212e-05+2.0506e-05i,0.00021927-0.00042146i,-2.9514e-05-0.00046504i,-0.00056775+0.00021938i,-0.00059095+0.0008594i,-0.00026322+0.00021274i,4.7874e-05-0.00035513i,1.7727e-05-0.0005191i,0.00033134-0.00086651i,0.00074799-0.00057059i
0.0010995+0.00038364i,0.0013881-0.00011587i,0.0020329-0.0013699i,0.0014149-0.00091308i,0.0001848-0.00018623i,-0.00096128+7.3432e-06i,-0.0016114+0.00023124i,-0.0010309+0.00040475i,0.00077947+0.00029757i,0.0018469+0.00060066i,0.0013858+0.00037184i,0.0012836-0.00023908i,0.0013797+0.00013883i,0.001059+0.00083329i,0.00050387+0.00079393i,-0.00031945+0.0011147i,-0.00073637+0.0014001i,-0.00021896+0.00097897i,-1.3837e-05+0.00082811i,-0.00034525+0.00054818i,-0.00038683-9.9674e-05i,-0.00024929+0.00010286i,0.00017468+0.00048023i
-0.00015799-0.0006294i,-0.00022351-0.000265i,-0.00054154-0.00061056i,-0.00014557-0.00035606i,0.00035783-0.00023005i,-0.000247-0.00055068i,-0.00081307-0.00014045i,-0.00088799+0.00059095i,0.00023127+0.00057153i,0.0013407-0.00013555i,0.001252-0.00075779i,0.00085648-0.00010828i,0.00096354+0.00046177i,0.00060346-0.00019934i,-0.00013077-5.7687e-05i,-9.9666e-05+0.00074178i,0.0002493+0.00020067i,0.0003123+6.5868e-05i,-0.00032322+0.00036138i,-0.00041878+0.0005607i,-0.00033637+0.00075217i,-0.00044475+0.00031939i,0.00024533-0.00040488i
-0.00011817-0.00075715i,0.00063077-0.0010476i,0.000355-0.00086444i,-0.00068153-0.00010599i,-0.0011648+9.7537e-05i,-0.00022955+0.00020449i,0.00022307+6.7103e-05i,-9.3138e-05+5.5689e-05i,1.9941e-05+0.00030068i,0.00037586+0.00091433i,0.00062907+0.0015624i,-0.00011795+0.00076867i,-0.00014479+0.00048188i,0.00022821+0.00074594i,-0.00021934+0.00017972i,0.00032083+0.00030049i,0.0011907+0.00037413i,0.00076051+4.3699e-05i,0.00022093-0.00027945i,0.0001307-0.00042179i,0.00040715+6.134e-05i,0.00059362+0.0013716i,0.00036134+0.0016494i
-0.0011973+0.0021663i,-0.00081664+0.0024966i,0.0011586+0.0024887i,0.0027519+0.0015153i,0.0031754+0.00038623i,0.0022588-0.00027362i,-8.1595e-05-0.00055099i,-0.00074924+1.254e-05i,-3.3642e-05+0.0010357i,0.00029134+0.00079349i,0.00043448+0.00066119i,0.00060068-3.4733e-05i,0.00067919-0.0010887i,0.00024052-0.00088276i,-0.00040003-0.00072279i,-0.00057446-0.00037375i,-0.00065809-0.0001836i,-0.00068501-0.00031681i,-0.00035172+8.113e-05i,-2.4482e-05-1.4121e-05i,0.00082701-0.00082891i,0.0014104-0.00081966i,0.00045172+0.00018038i
0.00032095+0.00017194i,0.00072201-0.0016889i,-0.00017832-0.0018976i,-0.00094134-0.0014101i,-0.00056573-0.001698i,-5.0072e-05-0.0021163i,-3.4684e-05-0.0011743i,0.00014073-0.00010423i,0.00066947+5.185e-05i,0.00041891+5.7513e-06i,2.8633e-05-0.00038119i,-0.00015813-0.00011554i,-0.00086207+1.0842e-05i,-0.00091935-0.00028684i,-0.00013827-6.229e-06i,0.00048935+0.00083735i,0.0007688+0.00081118i,0.00050225+0.000493i,0.0004286+0.00068321i,0.00053234+0.00077346i,0.0001617+0.00035585i,0.00014663+0.00035068i,0.00032173+0.00056375i
-0.00028689+0.0010977i,-0.00015812+0.0021456i,-0.0001259+0.0019795i,-0.00034973+0.0016789i,8.8653e-05+0.0021403i,-8.2064e-06+0.001515i,-0.00048788+0.00039803i,0.00011628+0.00061263i,0.00094302+0.00094891i,0.00047982+0.00047345i,-0.00017083+3.8632e-05i,-8.8245e-05+0.00048858i,0.00021078+0.00027948i,-1.3086e-05-0.00018152i,-0.0009119-0.00039069i,-0.0011644+4.1921e-05i,-0.00038711+0.00031657i,8.515e-05+0.00062309i,-3.9153e-06+0.00089108i,-0.00067128+0.00084446i,-0.0010847+0.0010329i,-0.00067467+0.00075669i,-0.00058682+0.0006653i
0.00038695-0.0013206i,-0.00016213-0.0010283i,-0.00051344-0.00093804i,-0.00091433-0.0013317i,-0.00089169-0.0010224i,-0.00093579-0.00061335i,5.9623e-05-0.00062536i,0.0008586-0.00046662i,0.000452-0.0002922i,8.3154e-05+2.6203e-05i,-0.0002229+9.3563e-05i,-0.00043714-0.00016997i,-0.00019892+5.8768e-05i,0.0005828-0.00011657i,0.00063914-0.00099025i,-0.00014952-0.00064154i,0.00028024+0.00024495i,0.0010082+0.0010695i,0.00035272+0.0013327i,0.00012459+0.00082508i,0.00048071+0.00048739i,0.00044781-0.00053856i,0.00064214-0.00036524i
0.00062007-0.00038485i,0.00015444-0.00029793i,0.0001625-0.00065633i,-0.00070356-0.0013768i,-0.00082591-0.0018035i,0.00023663-0.00095854i,0.00066427-9.6098e-05i,0.00082222-9.8553e-05i,0.00093271+0.00054526i,0.00082872+0.00049593i,0.00043195+5.1475e-05i,0.00019643+0.00043552i,-0.0002031+0.00058453i,-0.00083858-0.00021197i,-0.00071036-0.00075228i,-0.00042717-0.00055975i,-0.00042919+0.00047889i,-0.00040252+0.0011076i,-0.00010393+0.00076702i,0.00075228+0.00062885i,0.00046466+0.00032877i,-0.00012161-0.00027443i,-0.00036586-0.00013262i
-5.5924e-05+0.00097571i,0.00030522+0.00093362i,-3.514e-05+0.001515i,-0.00035791+0.00051789i,0.00090707-0.00014162i,0.0016019-0.00017235i,0.00086069-0.00084918i,0.00089159-0.00055117i,0.0012236+6.1795e-05i,0.00056742-0.00013567i,0.000507-0.0001014i,0.00030663+0.00055798i,-2.1405e-05+0.00029557i,-0.00022565-0.0001991i,0.0003255+0.00019854i,0.00056934+0.00047881i,0.00055005+0.00050083i,0.00050424+0.0006336i,-0.00020873+0.0009007i,-0.00055708+0.00012029i,-0.00033069-0.00030665i,-0.00073751-0.00016138i,-0.00097767-0.00019538i
0.00043027+0.0010757i,0.0013604+0.0013597i,0.0021705+0.0011699i,0.0025767+0.00053676i,0.0018498-0.00063022i,0.0010976-0.0016262i,0.00037675-0.0011822i,6.2503e-05-0.00055745i,0.00020286+6.0287e-05i,-0.00011539+0.00028072i,-0.00041482+0.00025774i,-2.6529e-05+0.00017841i,-2.0575e-05+0.00015604i,-0.00066902+0.00022718i,-0.00055004+0.00020461i,-6.5299e-05+0.00048637i,0.00015141+0.00041405i,0.00050516+0.00088117i,0.00061642+0.0015615i,-8.7091e-05+0.0012084i,-6.3412e-05+0.00066819i,0.00043389-0.00031211i,-0.00016716-0.00076146i
0.0016417+0.0012781i,0.0012218+0.00098051i,0.0019646+0.0001017i,0.0020591-0.00063003i,0.0014857-0.0010865i,0.00050468-0.001025i,-0.00022006-0.001143i,-0.0002149-0.0012976i,0.00034038-0.00075547i,0.00088811-0.00013926i,0.00065247+0.00021497i,0.00080355+0.00072993i,0.0013686+0.0010143i,0.0010578+0.0011871i,6.1992e-05+0.00036996i,0.00014929-0.00020884i,0.00023174+0.00026949i,0.00029567+0.00070544i,0.00038369+0.0008738i,-0.00056028+0.00067375i,-0.00096286+0.00022288i,-0.00093816-0.00034767i,-0.00064511-0.00018278i
0.0024618-0.00088272i,0.0022433-0.00072802i,0.00046233-0.0017405i,-0.0010031-0.0029609i,-0.0010401-0.002787i,-0.00057013-0.0019331i,-0.00015196-0.0013423i,0.00055753-0.00056202i,0.001154-0.00063394i,0.0010012-0.00067681i,-9.8038e-05+1.5595e-05i,-2.4906e-06+0.00069078i,0.00049075+0.00086291i,0.00012144+0.0007029i,-0.00031233+0.0004771i,-0.00052612-0.00027118i,-0.00024239-0.00022366i,0.00024716+0.00046559i,0.0011191+0.00081986i,0.001065+0.00039626i,0.00044188-0.00028854i,8.4995e-05-0.00051278i,1.232e-05-0.00033596i
-0.00083001-0.0009466i,-0.0016271+0.00058158i,-0.0021812+0.0001332i,-0.0027949-0.00041368i,-0.0030307-5.6159e-05i,-0.0020404-0.00016327i,-0.0012128-0.00028254i,-0.00068741+0.00017952i,-0.00011405+0.00042739i,0.00045527-0.0001379i,0.00038433-0.00052318i,0.00015281-0.00034188i,0.00067738-0.00052626i,0.00076824-0.00082308i,8.259e-05-0.0009862i,-0.00034668-0.00074659i,-0.00021739-0.0002956i,0.0002759-0.00014284i,0.00071873+2.6663e-05i,0.00092897-0.00014612i,0.0010619-0.00058251i,0.00063924-0.00072492i,0.00016629-0.00073013i
0.00139-0.00089429i,0.0012226-0.0015589i,0.0013853-0.002254i,0.00098035-0.0019787i,-0.00017304-0.0011285i,-0.00019689+0.00038431i,8.5503e-05+0.00095711i,0.00060192+6.6234e-05i,0.00087206+0.00017687i,4.7484e-05+0.00079258i,-0.00032183+0.0004571i,-0.00032955-1.3476e-05i,3.4551e-05+0.00040816i,0.00055807+0.00047459i,0.00042696+0.00057524i,0.0001624+0.0013815i,-8.6647e-05+0.0007321i,-0.00026909+0.00019173i,0.00029115+0.00091525i,0.00061168+0.0013671i,-8.7852e-05+0.00098i,-0.00086597+0.00026917i,-0.00057002-0.00024668i
-0.00015889+0.00079367i,-0.00045489+0.0010768i,-0.0013503+0.0014658i,-0.00093596+0.00085333i,0.0004093+0.00045448i,0.00031808-0.00038558i,-0.00013174-0.0013517i,0.00041077-0.00078951i,0.0011239+0.00075492i,0.0010446+0.0011929i,0.00030568+0.0010616i,0.00048728+0.00078721i,0.00027967+0.00030871i,-0.00094887+4.9205e-05i,-0.0010794+0.00012102i,-0.0011094+0.00063926i,-0.00070171+0.00016469i,-4.5532e-05-2.8537e-05i,-0.00041904+4.1466e-05i,-0.00083121-0.00048448i,-0.00084161-0.0002949i,-0.00052249+0.0007556i,-0.00070844+0.00052434i
-0.0023788-0.0025193i,-0.0017266-0.0018998i,-0.0011147-0.0012106i,-0.00063154+0.00017384i,-0.00045988+0.0012829i,0.00023673+0.0018104i,0.00038264+0.0012855i,-2.481e-05-0.00018047i,-0.00042002-0.00073666i,7.9819e-05+0.00049303i,0.00024777+0.0012025i,-0.00013455+0.00077353i,0.00021861+0.00061347i,0.00080151+0.00026025i,0.00070752-1.8055e-05i,0.00021204-0.00022965i,0.00054079-7.8201e-05i,0.00015084+0.00061832i,-0.00040633-6.8443e-05i,-0.00052562-0.00046831i,0.00012976-0.00021597i,0.00066529-0.00022229i,-6.3363e-05+0.00023067i
1.0715e-05+0.00057668i,0.00091975+0.00082501i,0.0016211+0.0018527i,0.0016169+0.0016177i,0.0015965+9.3865e-05i,0.0011679-0.00021743i,0.00036065+2.6972e-05i,-0.00025713+0.00044156i,0.00018509+0.0012964i,0.00061771+0.0010254i,0.00049909+0.00019478i,0.00051626+0.00043353i,0.00032857+0.001835i,-0.00021351+0.0021408i,-0.00046533+0.00066585i,-9.5463e-05+0.00015794i,-0.00011853+0.00011851i,-0.00027608-0.0003403i,0.00011515-0.00038454i,0.00010082-3.2315e-05i,0.00010322+0.00010119i,0.00032545-0.00034187i,-0.00052637-0.00025063i
-0.00029869-0.0029416i,-0.0019803-0.0014952i,-0.0029176-0.00048259i,-0.0032383-0.00022919i,-0.0031735-0.0011024i,-0.0015623-0.00078665i,-0.00029754-0.00063806i,0.00038613-0.00036047i,0.00015051+0.00034997i,-0.00025398+0.00072534i,-2.5443e-05+0.00061614i,0.00016657+0.0005789i,0.00033392+0.00042714i,0.0011587-0.00052514i,0.00069047-0.00066394i,-0.00081729-0.00065979i,-0.00079666-0.00032802i,-0.00075395-8.8788e-05i,-0.00040889+9.2498e-05i,0.00040561+0.0005326i,0.00025775+0.00023363i,-0.00054585-0.00032457i,-0.00043173-0.00051057i
0.0016812-0.0013627i,0.00084034-0.001463i,0.00061395-0.0016552i,0.0004663-0.0017302i,-0.00042907-0.00085934i,-0.00037516+8.642e-05i,3.6524e-05+7.729e-05i,0.00037222+6.6715e-05i,0.0012311-0.00020246i,0.0011196-0.00050596i,0.00016997-0.00037126i,-0.00050736-0.00016557i,-7.5752e-05+0.00044016i,0.00018766+0.00053602i,-0.00016712+0.00040944i,-5.2156e-05+0.00030434i,-0.00023803+1.151e-05i,0.00011078-0.00022019i,0.0003372-0.00063063i,0.00027984-0.00021013i,0.00029905+0.00048079i,0.00048564+0.00038739i,0.0003079+0.0002211i
0.0013329-0.0016354i,0.0015986-0.0017326i,0.0012534-0.00080803i,0.00068606-0.00038025i,0.00011753-0.00018991i,-0.00064257+0.00047969i,-0.00093763+0.0010048i,-0.00046532+0.00085108i,0.00022461+0.00026617i,0.00066698-0.00062839i,0.00061293-0.00089911i,0.00060349-0.00011886i,0.00053623+0.00056096i,0.00058742+0.0005313i,0.00072665+0.00027701i,0.00077375+4.7788e-05i,3.6664e-05+0.00012216i,-0.00060689-0.00018571i,-0.00066782-0.0010255i,-8.2797e-05-0.0011273i,0.0010212-0.0002336i,0.00091198+0.00049944i,0.00053546+0.0012091i
-0.0013036-0.0018564i,-0.0013468-0.0010745i,-0.0013161-0.00060566i,-0.0010522-0.00011825i,-0.0011183+0.00043323i,-0.00099893+5.037e-05i,-0.0003684-0.00055288i,0.00012605-0.00087489i,0.00033873-0.0011545i,0.00042097-0.00026306i,-6.1827e-05+0.00067988i,-0.00018704+0.0002792i,-0.00045887-0.0007726i,-0.00049399-0.00078136i,-3.9575e-05-0.00034811i,-0.00020978-3.1692e-05i,-0.0004205+0.00022414i,0.0004262+3.6838e-05i,0.0014396-7.0284e-05i,0.0016364+0.00018356i,0.00072948+0.00064466i,0.00016246+0.00050829i,0.00058764-0.00025565i
-0.00093025+0.0011236i,-0.0022893+0.0015406i,-0.0026522+0.00080103i,-0.0016588+0.00053518i,-0.0011272+0.00032004i,-0.00059126+0.00019004i,5.1886e-05-0.00018542i,0.0005466+0.00029049i,0.000903+0.00047413i,0.00061444-0.00014026i,0.00011385-0.0004393i,-3.4688e-05-0.00017982i,0.0007324-0.00013561i,0.0013118-0.0002329i,0.00044327+2.4339e-05i,-3.4553e-05+0.00020871i,0.00035103-0.00027815i,0.00032775-0.00075211i,0.00030047-0.00032025i,0.0002346+0.00023705i,0.00035042+0.00029385i,0.0007497+0.00039785i,0.00080123+0.00064765i
-0.001622-0.00048434i,-0.00078564-0.00028008i,0.00086389-0.00043437i,0.0013787-0.00060469i,0.0006621-0.00041796i,0.0015917+6.135e-05i,0.0017951-0.00041606i,0.00053296-0.0006858i,0.00025084-3.1427e-05i,0.00042913+1.4255e-05i,1.2113e-05-0.00046621i,-0.00045773+0.00025782i,-0.00064459+0.00026557i,-0.0009716-4.4541e-05i,-0.00064784-0.00024759i,-0.00010225-0.00075423i,3.328e-05-0.00070131i,-0.00017297+0.00015278i,5.2697e-05+0.00046205i,0.00049833+0.00033945i,-1.4203e-05+0.00027644i,-0.00029251+0.00058831i,-9.1417e-05+0.00047907i
0.00092934-0.00079033i,9.6494e-05+0.00023514i,-0.00092857+0.00079166i,-0.00080988-0.00028856i,-0.00043344-0.00070317i,-0.00078897-0.00042225i,-0.00016261-0.00025296i,0.00011327+9.6433e-05i,0.00029935-0.00038881i,0.00046262-0.0010288i,3.0763e-05-0.00059499i,-7.9477e-05-3.8205e-05i,-0.00051238+0.00015107i,-0.00094622-8.2027e-06i,-0.00037186+8.7234e-05i,-0.00028703-0.00014576i,-0.00021955-0.00044533i,0.00047736+0.00029847i,0.0003687+0.00049821i,6.3653e-05+1.1598e-05i,0.00058479-0.00065481i,0.0006012-0.00071626i,0.00062648-0.0005405i
0.00033485-0.00056398i,0.00083175-0.0013189i,0.0018858-0.00095625i,0.0020464-0.00038999i,0.0016699-0.00073832i,0.0017405-0.00082861i,0.0010038-0.00054181i,0.0002597-0.00018829i,0.00021145+0.00047887i,0.00021264+0.00018918i,0.00055084-0.00010108i,0.00028493-0.00023072i,0.00033717-0.00041001i,0.00051014+3.3882e-05i,-0.00017186-3.1215e-05i,-0.00054176-4.0203e-05i,-0.00040936+0.00082283i,-0.00098711+0.00067234i,-0.00070091-0.00037262i,-0.00053122-0.0006146i,-0.00020172-0.00054702i,0.00040361-0.0011169i,0.00019296-0.0015585i
0.002445+7.5139e-05i,0.0024319-0.0014306i,0.0026582-0.00184i,0.001499-0.0015656i,-0.00026966-0.0015559i,-0.0011537-0.00083422i,-0.00053266+0.00050545i,0.0006648+0.00085983i,0.0012337+0.00038528i,0.0018077-0.00042083i,0.0016382-0.00018408i,0.0011984-0.00014158i,0.00056414+0.00046909i,-5.228e-06+0.0014036i,-0.00013997+0.000849i,0.00022318+0.00028394i,0.0002746+0.00036759i,0.00021535+0.00019861i,0.00038519-0.00013484i,-0.00030189-0.0001235i,-0.00059005-9.2726e-05i,-6.1053e-05+3.7717e-05i,0.00038328+0.00058443i
-0.001128-0.00030688i,-0.0019724-0.0010691i,-0.0016619-0.0014259i,-0.00098476-0.00048385i,-0.00052919-0.00028626i,-0.00023146-0.0009665i,-3.0328e-05-0.0019472i,0.0003245-0.0019731i,3.0543e-05-0.00097326i,-3.5767e-05+0.00052048i,4.8571e-05+0.0010961i,0.00024096+0.00080735i,0.00035722+0.0011042i,0.00018076+0.00077511i,0.00011433-0.00016162i,-0.00030875-0.00090683i,-0.00046668-0.00081754i,-0.00016235-0.00046844i,1.8099e-06-0.00057618i,0.00012733-0.0008077i,0.00070108-0.00039499i,0.00091115-0.00034311i,0.00081287-0.00013221i
-4.0951e-05+0.0015345i,0.000995+0.00098278i,0.0013789+0.0012327i,0.00145+0.0011646i,0.0013641-1.1501e-05i,0.00060603-0.00056719i,0.00037643-0.00023305i,0.00047651+0.00074717i,-7.023e-05+0.0013004i,-7.2463e-05+0.0001501i,0.00033982-8.7999e-05i,-0.00018522+0.00011299i,-0.00096912-0.00076309i,-0.0010534-0.0012686i,-0.0010149-0.00089211i,-0.00096849-0.00033197i,-0.00070147-0.00032696i,-0.00056844+0.00068063i,4.8174e-05+0.00097i,0.00055877+0.00027496i,0.00057548+0.00044677i,0.00028326+0.00086227i,6.032e-05+0.00078953i
-0.0024965+0.0014896i,-0.002448+0.0013882i,-0.0016946+0.0017477i,0.00016296+0.0019203i,0.0011581+0.00082299i,0.00081579-4.4469e-05i,-0.00012073+0.00055488i,-0.00069339+0.000949i,-0.00032262+0.0011925i,0.00015833+0.0016347i,0.00024373+0.0010164i,0.00045598+9.1133e-05i,0.00067589-0.00060267i,0.00042114-0.0011978i,-4.4721e-05-0.00055878i,-0.00026281+0.00024096i,0.00046353+0.00044441i,0.00070426+0.00081703i,3.2443e-05+0.00080691i,-0.00055188-9.7859e-05i,-0.00013134-0.00040333i,0.00036281+7.2055e-05i,9.4373e-05+0.00048363i
0.0013242-0.0019732i,0.00054365-0.0012231i,-0.00075496-0.0019098i,-0.0017263-0.0011848i,-0.0019267-0.00021037i,-0.00082027-0.00018611i,0.00035787-0.00022059i,0.001465-0.00031096i,0.0017059-0.00097218i,0.00061555-0.00090515i,-0.0003267-0.0004006i,-0.00054299+0.00022179i,-0.00068685+0.00021772i,-0.00092189+0.00028735i,-0.00036367+0.00011504i,-2.4395e-05-0.00017208i,-0.00013982+0.0004684i,0.00034414+0.00069877i,0.00063891+0.00095554i,0.00032971+0.0014191i,-0.00044281+0.0012385i,-0.00068638+0.00079324i,0.00015187+0.00059535i
0.0023597-0.00020287i,0.0022575-0.00024411i,0.0020988-0.00058296i,0.00091693-0.0013763i,-0.00011034-0.0015029i,-0.00037148-0.0015611i,-0.00066255-0.0011155i,-0.00045315+0.00014542i,-0.00010187+0.00069984i,6.2459e-05-7.6301e-05i,0.00018363-0.00044153i,-0.00019625-7.5819e-05i,0.00031278+0.00025329i,0.00078819+0.00051133i,0.00029094+0.00034321i,-0.00033936+0.00035907i,-0.0005605+0.00042462i,-6.5608e-05+0.00030543i,-0.00015162+0.0010798i,-0.00013234+0.001145i,0.00049915+0.00054387i,0.00093934+0.00086765i,0.00023803+0.00010377i
-0.0007216-0.0012774i,-0.0010028-0.0012204i,-0.0013029-0.00042056i,-0.00085307+0.00045238i,-0.00018505+0.00013523i,0.00017845-0.00076497i,5.4087e-05-0.00095882i,7.0313e-05-0.0006618i,0.00025388+0.00016593i,0.00020815+0.0010997i,-3.7807e-05+0.00070133i,-3.4479e-05-0.00035576i,2.6175e-05-6.2405e-05i,-0.00019514+0.00032126i,-0.00049078-0.00064375i,-0.00076281-0.00076497i,-0.00058852+0.00068291i,-1.1327e-05+0.0011182i,0.00041412+0.00011866i,0.00033559-2.7251e-05i,0.00027846+0.00019956i,2.0736e-05-0.00018646i,0.00022843-0.00035268i
-0.0023575+8.4776e-06i,-0.0022871+0.0003367i,-0.0013455+0.00013965i,-0.00071988+0.00088525i,-0.0010044+0.00051823i,-0.00039342-0.00063587i,0.00014506-0.0013837i,0.00063693-0.00051365i,0.0014401+0.00031162i,0.0018222+0.0005686i,0.0010105+0.0005532i,7.372e-05-0.00027443i,-1.5023e-05-0.00035267i,-0.00018665+0.00021528i,-0.00058651-0.00017864i,-0.00050476-0.00027733i,-4.1922e-06+0.00010711i,-0.0003051+0.00082087i,-0.00044142+0.0011558i,0.0001156+0.00033171i,0.00013167-0.00072964i,0.00047034-0.00074831i,0.0010153+9.0963e-05i
0.00073974-0.00032448i,0.00062042-0.0010572i,0.00065684-0.0011097i,0.00058113-0.0011261i,-0.00028305-0.00021877i,-0.00088547+4.7403e-05i,-0.00054745-0.00023972i,-0.00013995-0.00023982i,0.00058265-0.00015682i,0.0012694-9.9905e-05i,0.00078601-0.00027485i,0.00022964+0.00019201i,-3.0236e-06+0.00019772i,-6.005e-07-0.00021141i,-0.00027397+0.00026694i,-0.00058734+0.00097165i,-0.00088813+0.00075472i,-0.00088117+0.00052139i,-0.00036307-0.00031772i,-0.00017162-0.0012916i,-0.00048895-0.0017624i,-0.00058684-0.0010794i,-0.00026855-0.00013885i
0.0013459-0.0021242i,0.00078802-0.00073307i,0.00039778-0.00053995i,0.00029854-0.00046576i,-0.0005611-0.00022128i,-0.0011415+8.2098e-05i,-0.00057975+0.00027061i,0.00038005+0.00028519i,0.00077661+0.00043983i,0.0012585-0.00018321i,0.00052078-3.704e-05i,-0.00017627+0.00073041i,0.0004506+0.00081065i,0.00096884+0.0003584i,0.00067581-0.00010551i,-1.0836e-05-4.6403e-05i,-0.00035307-0.0002894i,-7.1235e-05-0.00036648i,4.4052e-05-0.00027379i,-0.00012234-0.00060624i,-0.00013894-0.00090156i,0.00024457-0.00039653i,0.00019385+0.00050476i
-0.0014752-0.0016221i,-0.0022512+0.00023739i,-0.0034789+0.00098468i,-0.0024694+0.0013286i,-0.0010621+0.0012562i,-0.00019737-0.00045067i,-9.7097e-05-0.00096619i,-0.00054773-0.00045739i,-0.00044929-0.00026696i,-0.00079367-1.0538e-06i,-0.00039009+0.00053397i,0.00062037+0.00089141i,-0.00014057+0.0003185i,-0.0010352-0.00069663i,-0.00042446-0.00084117i,-0.00028708+0.00017375i,-0.00085628+0.00030965i,-0.0010255-0.0001159i,-0.00033457+0.00027042i,2.189e-05-0.00049001i,-7.4339e-05-0.0010343i,0.00036451-0.00016842i,0.00052024+0.00031592i
-0.00090308-0.00093197i,0.00067552-0.0010494i,0.0012913-0.0020932i,0.00076811-0.0013488i,-0.00045991-0.00068102i,-0.00057263-0.0010733i,-0.00012618-0.0010082i,0.00029632-0.0009703i,0.00026913-0.00065775i,-0.00023019+0.00013287i,-0.0005475+6.9756e-06i,-0.00045047-0.00036644i,-6.6701e-05-0.00042076i,-9.4978e-05-0.00077282i,0.0002949-0.00039671i,0.00049612-0.00018744i,0.00044574-0.00042525i,-4.9251e-05+0.00023397i,-0.00074195+0.00023053i,-0.00020519+0.00027521i,0.00044135+0.00076197i,0.0012541+0.0007118i,0.0012543-9.4217e-06i
0.0020521+0.00095642i,0.00099643+0.00077192i,0.0015636+0.00046759i,0.001295+0.00029538i,0.00039967-0.00080786i,0.00014733-0.0010903i,0.00021513+7.3102e-05i,0.00053025+0.00039193i,0.00020115+0.0006062i,0.00062309+0.0010067i,0.0012315+0.00070763i,0.00060906+0.00013427i,5.6208e-06-0.00029333i,0.00059061-0.00031931i,0.00072607+3.1138e-05i,-0.00041485+0.00023906i,-0.00039664+0.00052173i,0.000575+0.00027644i,0.00088612+0.00034266i,0.00036953+0.00015044i,-9.2365e-06+2.1443e-05i,0.00026236+0.00015283i,0.00095443-0.00012772i
0.00059673+0.0011195i,-7.7839e-05+0.0012031i,-0.0004841+0.001399i,-0.00018318+0.0022739i,-6.4272e-05+0.0017194i,0.00086557+0.00042419i,0.0010069-0.0011392i,0.00033211-0.0019134i,0.00036168-0.00061727i,0.00074387+0.00034958i,0.00011668+0.00055587i,-0.00018461+0.00034464i,0.00022504+5.2014e-05i,0.00010378-7.2021e-05i,-0.00032431-2.055e-05i,0.00025987+0.00029299i,0.00067819+0.00010203i,0.00043749-0.0004261i,0.00021386-0.00023786i,0.00022871-0.00034241i,0.00043299-0.00024242i,0.00091913-0.00044909i,0.00085524-0.0010886i
0.0005328-0.00053503i,0.00061269-0.001025i,0.00022412-0.0013861i,0.00030603-0.0013242i,0.0010174-0.0007169i,0.00072486-0.001285i,0.00032189-0.0011117i,0.00041247-6.1225e-05i,0.00080319+0.00015483i,0.0010056+0.00055748i,0.00018038+0.00064788i,-0.00075112+3.8443e-05i,-0.00032377-4.5292e-05i,-0.00032617+0.00011193i,-0.00062352+0.00055734i,-0.00047498+0.0010215i,-9.5891e-05+0.00094126i,0.00042077+0.00043793i,0.00033477-5.9765e-05i,-0.00026399-0.00016593i,-0.00063088-0.00015047i,0.0002752-0.00029375i,0.00073055-1.4114e-05i
