0.00094154+0.00066402i,0.00049728+0.0021754i,-0.00024321+0.0014394i,-0.00049511-2.1175e-05i,-0.00032577+0.00056018i,0.00022357+0.0011096i,0.00039878+0.00022468i,-0.0003748-0.00093501i,-0.0010686-0.00071129i,-0.0010041-0.00021076i,-0.00043274-0.00073009i,-3.3203e-05-0.0011384i,0.0001194-0.0011133i,0.00012288-0.00035928i,0.00070264-0.00010706i,0.00037528-0.00062615i,-0.00041601-0.00064324i,-0.00075258-0.00017545i,-0.00045152+9.3969e-05i,-0.00034083+0.00033237i,-0.00019526+0.0010575i,-0.00015337+0.001811i,-0.00084572+0.001202i
0.0016309-0.0011154i,0.00075664-0.0018291i,0.00049126-0.0028513i,9.6401e-05-0.0027218i,-0.00041447-0.0026009i,-0.00052153-0.0012098i,-7.7174e-05-1.8142e-05i,0.00033678-0.00092593i,0.00045304-0.001433i,0.00011613-0.000642i,-0.00045523+5.4843e-05i,-0.0005761+0.00032325i,-0.00015441+0.00039806i,0.00050394+0.00090778i,0.00057612+0.0015021i,0.00058033+0.00075492i,0.0003012+0.00032014i,-0.00026722+0.00012159i,-0.00028375+5.0677e-05i,-0.00025867+5.6375e-05i,-0.00011697-0.00018406i,0.00047194+1.809e-05i,0.00092174-2.7072e-05i
0.00057709+0.0011515i,0.00098612+0.0018266i,0.0011746+0.0016071i,0.0014822+0.00062718i,0.0010582-0.00016996i,0.00024166-5.101e-05i,-0.00055332+1.0323e-05i,-0.0012312-0.00080191i,-0.0012809-0.0014188i,-0.00078272-0.00075493i,-0.00043385+0.00010012i,0.00012689+0.00025677i,0.00052926-0.00014023i,0.00039682-0.0002892i,0.00030714-0.00025884i,0.00042932-7.0774e-05i,7.7559e-05+0.00037734i,-0.0001655+0.0003217i,-0.00037296-0.0002386i,-0.00038428-0.0003624i,3.8894e-05-0.00043278i,-0.00011134-6.9099e-07i,0.0001042-3.0531e-06i
-0.0016302-0.00034605i,-0.0015778-0.00012657i,-0.0012459+0.0003642i,0.00068286+7.6127e-05i,0.0023943+0.00015392i,0.0022046-0.00051252i,0.0010454-0.0012988i,-1.8931e-05-0.0012955i,-0.0010037-0.0013043i,-0.00096457-0.00090806i,0.00016259-0.0005123i,0.00025429-0.00092135i,1.5503e-05-0.0012964i,0.00012507-0.00068593i,0.00021537+0.00025168i,-0.00014206-0.00013725i,5.6527e-05-0.00070053i,0.00056979-0.00059596i,0.00048408-0.00093266i,0.00042127-0.0008873i,0.00048272-0.00040885i,0.00016105-0.00013428i,0.00014721-0.00032756i
7.5651e-05-0.00035951i,0.00093034+0.00036888i,0.0011951-0.00018756i,-0.00021212-0.00071031i,-0.0011584-0.00022226i,-0.0012621+0.00057284i,-0.0011725+0.00038515i,-0.00076599-0.0008995i,-0.00026883-0.0011724i,-0.00048987-0.0010996i,-0.00064343-0.0014886i,-9.423e-05-0.00092283i,-0.00015823-0.00051639i,1.3291e-05-0.00062757i,0.00045935-0.00086504i,0.00030941-0.0015213i,-0.00061993-0.00073747i,-0.0011801+0.0003523i,-0.00059667+0.00049912i,0.00029477+0.00055018i,0.00021867+0.00067691i,0.00029453+0.00070242i,0.00086942-2.7213e-05i
-0.00023511-0.0019579i,0.00037294-0.0018627i,0.0004401-0.0015328i,0.00099575-0.00047399i,0.0009368+0.00044237i,0.00042906+0.0019563i,0.0001545+0.001862i,-0.00043233-0.00013691i,-0.0015076-0.0010486i,-0.0021541-0.00082274i,-0.0012246-0.00037012i,-0.00049829+0.00035742i,-0.00011479+0.00025043i,0.00057682-0.00030247i,0.00018941-0.00035143i,-0.0001083-0.00082421i,-0.00079453-0.0013413i,-0.001604-0.0013738i,-0.0014325-0.00062732i,-0.00089925+0.00024955i,-0.00084545+0.00030096i,-0.00069397+0.00042509i,-0.00019125+0.0010783i
0.0011067-0.00046499i,0.0014865+0.00021051i,0.00015955+0.0008936i,-0.0012234+0.001159i,-0.0011718+0.0007948i,-9.8886e-05+0.00068341i,0.00023888+0.00020332i,-0.00023908-4.8798e-05i,-0.00082924-0.00025363i,-0.0010945-0.00016445i,-0.00093205+0.00083299i,-0.00021427+0.0010505i,0.00058162-0.00026441i,0.0012063-0.00058662i,0.00072558+0.00038099i,0.00035904+0.00080564i,-0.00014358+0.00048261i,-0.00018277-0.00013565i,2.625e-05-0.0007768i,-0.00048175+7.538e-05i,-0.00025302+0.00092764i,0.00050785+0.00012715i,0.00084514-0.00040836i
0.00019518+6.546e-06i,-0.00030333-0.00059123i,-0.00033959-0.00027034i,0.0005069+0.00019658i,0.00091154+0.00040434i,0.0010927+0.0001951i,0.0007373-3.3964e-05i,0.00013296-0.00039862i,-0.00013278-0.00020405i,-0.001035-5.7965e-05i,-0.0010403-0.00032263i,0.00032583-0.00022734i,0.00088107+6.3536e-05i,0.00068936-7.0646e-05i,0.0014439-4.9908e-05i,0.0019547-1.7014e-06i,0.0011589-0.00064522i,0.00029872-0.0010467i,2.871e-05-0.00072745i,-0.00063053+5.9201e-06i,-0.00065058+0.00057981i,0.000207+0.00045551i,0.00070239+0.00033234i
0.00040356+0.0013356i,0.00056741+0.00049132i,0.0010184-0.0011817i,0.0011221-0.0015767i,0.0011728-0.00066218i,0.00073023-0.00043925i,-0.00030056-0.00055852i,-0.00082562-0.0010359i,-0.0003156-0.0012172i,-0.00059635-0.0010149i,-0.00025472-0.0010396i,0.00080231-0.00087719i,0.0007268-0.00021615i,0.00088122+0.0005479i,0.00092464+0.00082952i,0.00062708+0.00067393i,-0.00054709+0.00049761i,-0.001231+0.00030949i,-0.00047902+0.00042213i,0.00027406+0.00056008i,0.00046299+0.00017653i,0.00043091+9.5219e-05i,5.8227e-05-9.505e-05i
0.0010342+0.00014915i,0.00011273+3.0048e-05i,-4.1438e-06+0.0013933i,0.00058891+0.0016634i,0.0012845+0.00065763i,0.00071365-0.00021014i,-0.00029191-0.00063881i,-0.00090427-0.00091815i,-0.00090551-0.00081218i,-0.00014282-0.0011117i,0.00073811-0.00092837i,0.00050585+0.00025778i,-0.0003565-0.00010448i,-0.0004085+7.9833e-05i,0.00037653+2.811e-05i,0.00077202-0.00026949i,0.0010806+3.7539e-05i,0.0011931-0.00035797i,0.00010191+0.00010279i,-0.00071289+0.00033327i,-0.00087909-0.00018479i,-0.00040817-0.00040721i,-6.5215e-05-0.00056895i
0.00028487+0.00047499i,-0.00060782+0.00032334i,-0.00031397+0.0010224i,0.00049628+0.00098026i,0.00077151-0.00012465i,0.00083581-0.00088742i,0.00080978-0.00087321i,0.0003893-0.0012086i,-0.00079539-0.0014451i,-0.0011683-0.0011708i,-0.00043087-0.00055701i,3.6376e-05-0.00027548i,9.9791e-05-0.00051596i,0.00014682-0.00013533i,0.00059496+0.0010271i,0.00040373+0.0013918i,7.9354e-05+0.00048573i,0.00017877-0.00068779i,-0.00054282-0.00072475i,-0.00026841+0.00016203i,0.00052133+0.00068259i,0.00083644+0.00090133i,0.00028675+0.00084223i
