-0.0010395-0.001144i,-0.0010252-0.0015487i,-0.0015468-0.0009942i,-0.0020106-0.00012265i,-0.0019616+0.00018398i,-0.0017637+0.0011896i,-0.00084784+0.0024494i,-0.00047118+0.0024067i,-0.00040182+0.0013357i,-0.00029995+0.00087321i,-0.00055877+0.00037254i,-0.0011186+0.00010855i,-0.0011784+0.00074014i,-0.00063683+0.00089653i,-0.00082097+0.00028696i,-0.00054926-0.00025873i,-0.00023056-0.00049868i,-0.0001423-0.00093521i,0.00014918-0.0010318i,0.00069835-0.00058602i,0.00065094+0.00010061i,0.00040886+0.00023692i,0.00026187+5.5942e-05i
-0.00051693+0.00095368i,0.00043621-0.00028898i,0.0011531-0.00034583i,0.0011555-5.7851e-05i,0.00056439-0.00043264i,-0.0012993+0.00010319i,-0.001589+0.0010731i,-0.00056753+0.0012044i,-0.00028824+0.00019836i,0.00017546-0.00014799i,-9.1318e-05-0.00014239i,-0.00074711-0.00055106i,-0.00094393-0.00068254i,-0.00044754-0.00056949i,0.00055687-0.00021242i,0.00051042+0.0007092i,-0.00028565+0.00034955i,-9.849e-05-0.00030629i,0.00050638-0.00019233i,-0.00022487-0.00083004i,-0.0010743-0.00099536i,-0.00034833-0.00079912i,0.00028832-0.00064606i
-0.0013863-0.00014078i,-0.0011385-0.00042988i,-0.0015292-0.00035381i,-0.00090244-0.00011767i,-0.00013111+0.00047919i,4.7268e-05+0.0015933i,0.00040033+0.0014952i,0.00087203+0.00082333i,0.00091784+0.0008484i,0.00015383+0.00049682i,-0.00089253+0.00014526i,-0.00082772-0.00015416i,-9.6827e-05-0.00098127i,-0.00084574-0.00019816i,-0.0010993+0.0010569i,-0.00016941+0.00083408i,0.00041895+0.00012947i,0.00040835-0.0002196i,0.00046763+2.7116e-05i,0.00023684+0.00011891i,-0.00013533+0.00042957i,-0.0002197+0.0001705i,-0.0001471-0.00050998i
-0.0003059-0.00077576i,-0.00028818-0.00044644i,-0.00038569-0.0011897i,-0.00074206-0.0011632i,-0.0016686-0.00049447i,-0.0017659+9.765e-05i,-0.0010394+0.0011553i,0.00019632+0.00069203i,0.00084098-0.00044863i,-8.4677e-05-0.00047981i,-0.00085271-0.00035174i,-0.00085832-0.00019976i,-0.00025894+4.5238e-05i,7.2597e-05+0.00061055i,0.00010801+0.00069101i,-5.1509e-05+0.0002479i,0.00034513+2.903e-05i,0.00065288-0.00026963i,0.0010187+6.7856e-05i,0.0012322+0.00055114i,0.00090341-3.6444e-06i,0.00062097-0.00026936i,9.9959e-05+0.00016913i
0.00083082-0.00032455i,0.00065815-0.00060902i,-0.00012053-0.00079154i,-0.00056442-0.00070685i,-0.0010187+0.00027322i,-0.001148+0.0010736i,-0.00018573+0.00095043i,0.00053265+0.00078727i,0.00051008+0.00038865i,0.00035988+0.00046946i,-0.00034361+0.00027859i,-0.0013468+8.1156e-05i,-0.0014555-0.00011388i,-0.00068379+0.00012047i,-0.00047653+0.0010984i,-0.00024666+0.0019367i,-0.00029978+0.0011744i,0.000199-0.00041822i,0.0013885-3.1449e-05i,0.0010038+0.00016615i,-0.00028148-0.0010663i,-0.0011129-0.0008651i,-0.0011552+0.00019907i
6.6117e-05-0.00118i,0.00069841-0.00059806i,0.0010896+0.00042071i,-0.00025357+0.0006424i,-0.0016893+0.00024132i,-0.0019294+0.00052692i,-0.0012024+0.0009082i,-0.00016465+0.00056474i,-2.7622e-05-0.00047267i,-0.00049855-0.00069306i,-0.0010025+0.00011725i,-0.00050239-0.00018521i,-0.00021807-0.0008427i,-0.00064164-0.00050628i,-0.00092146-0.00025472i,-0.0010879+3.909e-05i,-0.00086248+0.00039307i,-0.00068158+0.0008833i,-8.5346e-05+0.00063381i,0.00052791+1.1307e-05i,5.8954e-05-0.00033215i,-0.00028455-0.00043826i,-0.00014386-0.00057267i
-0.0022815-0.00017675i,-0.0022031+0.00010685i,-0.0024829+0.00062751i,-0.0018797+0.00042786i,-0.0013027+0.00047344i,-0.00054439+0.000869i,-0.00071757+0.00090414i,-0.0011293+4.8952e-05i,-0.0011112-0.00039528i,-0.00065014-0.00044153i,-0.00013707-0.00050261i,-0.00011677-0.0002858i,-0.00010306+0.0001557i,-0.00013691-0.00034778i,-0.00039184-0.00051688i,-0.00081386+0.00068943i,-0.00036976+0.0012929i,0.00033833+0.0011299i,0.00066732+0.00092103i,0.00011157+0.00031866i,-0.00073317+0.00014175i,-0.00031329-9.9843e-05i,-0.00014392-0.00033699i
-0.00012789-0.0011749i,0.00035246-0.0011601i,-0.00054201-0.0010138i,-0.0010403-0.00085015i,-0.0011756+0.000317i,-0.0018212+0.0016337i,-0.0018517+0.0018566i,-0.00085156+0.00098018i,-0.00031573+0.00046866i,-0.00015064+0.00044257i,-0.00022365+0.00048556i,-0.00010832+0.00016543i,-0.0002898-0.00025347i,-0.00058902-0.00030684i,-0.00061941+0.00036696i,-0.0010245+0.00049955i,-0.0011763-0.00024247i,-0.00073449-0.00031i,-0.00032016-0.00030947i,-0.00010366-0.00053266i,-9.1362e-05-0.00055568i,-1.3555e-05-0.0002646i,-0.00023339+3.4097e-05i
-0.00055824+0.001157i,-0.00054044+0.00067921i,-0.00026726+0.00071574i,0.00055213+0.00032777i,0.00015979+0.00012593i,-0.00094434+0.00093743i,-0.00015019+0.0015384i,0.0010458+0.0011277i,0.0010082+0.00019657i,0.00088888+0.00031299i,-3.8567e-05+0.00027984i,-0.0010762-7.2702e-05i,-0.0010634+0.00036012i,-0.00068515+0.00072969i,-0.00039683+0.00041949i,-0.00050817-7.179e-05i,0.00012461+6.8157e-06i,0.00088988+0.00063548i,0.00063252+0.00082489i,0.00032542-0.0002456i,-8.2215e-05-0.00063014i,-0.00052535+0.00041292i,-0.00016961+0.00069135i
-0.00017868+0.00098595i,-0.0005734+0.00050533i,-0.00061711+0.0013256i,-0.00054972+0.0013675i,-0.00064164+0.00022522i,-0.0016863-0.00051159i,-0.0017691+0.00021406i,-0.00014425+0.0011801i,0.00035472+0.00056483i,-0.0002843-0.0010209i,-0.0002777-0.0015009i,3.5555e-05-9.7196e-05i,-0.00026192+0.00092392i,-0.00052495+0.00074136i,-0.0005571+0.00038201i,-9.7359e-05+3.0482e-05i,-7.6094e-05+0.00024021i,0.00010477-0.00033371i,0.00029099-0.00059175i,-0.00061186-0.00012899i,-0.0012095+1.7964e-05i,-0.00099712+8.6318e-05i,-0.00013727+0.00058906i
-0.00057715-0.0007711i,0.00065522-0.00053518i,0.0011206+8.9313e-05i,0.00044311+0.00016864i,-0.0012728-0.00014736i,-0.0016252+0.00057984i,-0.0010439+0.0016885i,-0.00084259+0.0013387i,0.00012862+0.00030327i,0.00049206+0.00020555i,0.00057907-0.00041123i,0.00063939-0.00091021i,-4.9883e-05-0.00072334i,-0.00035242-0.0006147i,-0.000295-0.00072135i,1.2958e-05+9.3712e-05i,-0.00015644+0.00056407i,-0.00037098+0.00038571i,-4.8998e-05-0.00017844i,0.00069931-0.00045152i,0.00019597+0.00037119i,-0.0004109+0.0007382i,-0.00021658+0.00055489i
-6.6027e-05+0.001586i,0.00021005+0.0021947i,-0.0001754+0.0016558i,-0.00020487+0.00066777i,0.00034865+0.00019986i,-8.1375e-05+0.00046603i,-0.00063819+0.00067771i,-0.00094616+0.00060085i,-0.0013309+0.00067154i,-0.0011579+0.00070333i,-0.00095622+0.0006194i,-0.00099278+0.00023796i,-0.0012198-0.00022614i,-0.00098324-6.248e-05i,-0.00040209+0.00081452i,-0.00031533+0.00096896i,-9.925e-05+8.2738e-05i,-5.1761e-05-0.00033354i,-0.00026694+5.7872e-06i,0.00022995-0.00022475i,3.3421e-05-0.00039785i,3.3173e-05-4.0023e-05i,0.00018079-0.00012799i
-0.0017583+0.00059335i,-0.0012566+0.00044981i,-0.0012798+0.00059771i,-0.00092822+0.0011882i,0.00017671+0.0012544i,0.00013596+0.0009037i,0.00011316+0.00063737i,0.0005815+0.00027994i,-0.00036491+0.00015271i,-0.00096225+0.00011041i,-0.0008885+0.00045945i,-0.0010489+6.0519e-05i,-0.0010202-0.00091127i,-0.0013368-0.0013718i,-0.0012077-0.0017763i,-0.00031719-0.00098599i,-0.00022999-6.7976e-05i,-5.6403e-05-0.00026406i,1.2902e-05+0.00013511i,6.0063e-05+0.00074779i,0.00059818+0.0012715i,0.00066546+0.0015806i,0.00049935+0.00090919i
0.0010982-0.0010913i,0.0013742-0.00058702i,0.00018604-0.0005164i,-0.00065816-0.00089521i,-0.0014591-9.0262e-06i,-0.0021394+0.0012166i,-0.00055969+0.0018045i,0.0007934+0.0014418i,0.00068864+0.00074723i,3.4389e-05+5.7659e-05i,-0.00035021-9.566e-05i,-0.0005629+0.00031637i,-0.00070867+0.00059449i,-0.00029813+2.3657e-05i,-0.000252+0.00018934i,0.00021842+0.00085105i,0.00013294+0.00037839i,-0.00049413-0.00045116i,-2.4005e-06-0.00067786i,0.0001685-0.00049422i,-0.00021434+0.0002551i,-0.0006166+0.00072387i,-0.00035927+0.00025222i
0.0018855+0.00033847i,0.0014917-0.00071272i,0.00063773-0.00068889i,-0.00025077-0.00063578i,-0.0011518-0.00065696i,-0.0014618-1.8463e-05i,-0.00084155+0.00062087i,-0.00011978+0.0007165i,-0.00053739-5.9521e-05i,-0.0010694-5.3502e-05i,-0.0011435+0.00030634i,-0.0011826+0.00020348i,-0.00091783-0.00011419i,5.4732e-05-0.0003631i,1.484e-05-0.00014722i,-0.00057137-2.7432e-06i,-0.00034717+2.6592e-05i,0.00011803+0.00056144i,0.00050359+0.00099823i,0.00040562+0.00025477i,-5.8778e-05-0.00020823i,-0.00035735-0.00045272i,-0.00043489-0.00038944i
-0.00041276+0.00011645i,-0.00021049+0.0002888i,0.00036167-0.00067588i,0.00023228-0.0016485i,-0.00032236-0.0011686i,-0.00098661-5.9878e-05i,-0.0012701+0.00090991i,-0.0010812+0.0011787i,-0.00097979+0.00058375i,-0.0009851+0.00030763i,-0.00032093+0.00059265i,0.00015413+0.00027009i,0.00021766-0.00012603i,-5.1224e-05-0.00051398i,-0.00017102-0.00030637i,-0.00058756+8.4103e-05i,-0.00087886+0.00049364i,-0.00051513+2.68e-05i,-0.00017914-0.0001345i,0.00050749+0.00036266i,0.00040517+0.00058855i,-0.00063378+0.00071505i,-0.00081869+0.00076247i
-0.0012294+0.00033474i,-0.0017361+0.0010707i,-0.0022342+0.0015453i,-0.0021434+0.0012926i,-0.0019136+0.00086047i,-0.0022167+0.0013091i,-0.00099732+0.0021424i,-0.00020652+0.0017138i,-0.00065687+0.00046226i,-0.00092971-0.00021036i,-0.001257-0.00051895i,-0.0010086-0.00040451i,-0.00054393-0.00034566i,-0.00067595+0.00012122i,-0.00038343+0.00082636i,-0.0001003+0.0011871i,-0.00023272+0.00092622i,-6.4674e-05+0.00035858i,-3.2039e-05+1.2185e-05i,-3.2435e-05-8.6082e-05i,-0.00010469+3.5856e-05i,-0.00050121+0.00024195i,-0.00010993+0.00026884i
-0.00032263+0.00073057i,-0.00033144+0.0010482i,-0.00026519+0.00040721i,0.00069683+0.00013577i,0.00076718+0.00091889i,0.00034406+0.0020933i,-0.00028706+0.0017789i,-0.0002704+0.00093431i,0.00055579+0.0010487i,0.00028517+0.00022682i,-0.00026877-0.00077575i,-0.0005752-0.0011109i,-0.0011287-0.00069575i,-0.0012911+6.4031e-06i,-0.00086494-6.0684e-05i,-0.00043193-4.4497e-05i,8.8024e-05+0.00019795i,0.00022649+0.00054127i,-3.7127e-05+0.0010847i,-0.00016799+0.0010881i,-0.00029977+6.4581e-05i,-0.00019604-0.00014693i,0.00027957+0.00026196i
0.0010771-0.00054779i,0.00053801-0.00098667i,0.00033022-0.0011628i,-0.00079143-0.00060053i,-0.0012693-0.0011639i,-0.0013931-0.00041306i,-0.0011466+0.00050705i,-0.00059607+0.00014566i,-0.00041434-0.00065589i,-0.00082999-0.00098386i,-0.0009627+0.00033942i,-0.00077907+0.0010796i,-0.0003573+0.0002095i,-1.2682e-05-0.00038835i,-0.00028549+9.5179e-05i,-0.001137+0.0007481i,-0.0012318+0.00096226i,-0.00094838+0.00053634i,-0.00028675-0.00023445i,-6.8304e-05-0.0003478i,-0.00043034+0.00022059i,-0.00071222+0.00033466i,-0.00050063+0.00040868i
-0.0014251+9.9326e-05i,-0.0016261-9.259e-05i,-0.0018758-0.00037947i,-0.0013223-0.0009834i,-0.0016889-0.00069713i,-0.0020405+0.001462i,-0.0016494+0.0021418i,-0.00080658+0.0013762i,-0.00089772+0.00070677i,-0.0010473+0.00014353i,-0.00034858-0.00031597i,-0.0013168-0.00086858i,-0.0010146-0.0015846i,-8.008e-05-0.0012004i,-0.0012273+0.00026437i,-0.0013766+0.00051643i,-0.00018779+4.5171e-05i,-3.066e-05+3.614e-06i,-0.00066776-0.0004333i,-0.00069098-0.0013255i,-1.6399e-05-0.0012206i,0.00031335-0.00068695i,0.00033285-0.00061888i
-0.0007688+0.00085473i,-0.0009298+0.00062351i,-0.0016632+0.00089965i,-0.0010921+0.00085577i,-0.00023318+0.00046296i,-0.00086429+0.0014095i,-0.00085266+0.0010968i,0.00020394+0.00041077i,0.00047129+0.00014272i,-0.00010562+1.2099e-05i,-0.00046889-9.9595e-05i,-0.00052243-0.00040184i,-0.00088584-0.0001592i,-0.00086832-0.00040167i,-0.0002491-0.00050238i,1.2421e-05+0.00013688i,-0.00014646-0.0003058i,-0.00047607-0.0014031i,-0.00029291-0.0015652i,4.6287e-05-0.00088985i,-0.00062337+2.9245e-05i,-0.00079061+0.00070137i,-0.0003114+0.00064165i
-0.001212+0.00098317i,-0.00098178+0.0010448i,-0.001048+0.0011216i,-0.0007113+0.0010818i,-5.4338e-05+0.0004742i,-0.00021418+0.001484i,-0.00043981+0.0027748i,-0.00021301+0.0017608i,0.00025087+0.00022841i,-0.00029975+9.3788e-05i,-0.00084728-0.00036091i,-0.00066896-0.0010448i,-0.00098641-0.00064012i,-0.0012251+5.2353e-05i,-0.00055113+0.00063769i,-0.00012193+0.00052317i,-0.00025954+0.00040261i,-4.4355e-06-8.7857e-05i,0.00023598-0.0003216i,-0.00034091-9.6848e-05i,-0.00010535-0.00020283i,3.6664e-05+0.00038033i,-0.00034518+0.00090639i
-0.00023176+0.0011666i,-0.00029318+1.9515e-05i,-0.00028572-3.7985e-05i,-0.00062918-0.00093286i,-0.00026734-0.0014536i,0.00028644-0.0002102i,0.00013497+0.0012245i,0.00063437+0.0014848i,0.001232+0.0010667i,0.00083256+0.00013755i,0.00037553-0.00079132i,0.00017744-0.0010023i,-0.00017107-0.00083694i,-0.00020281-0.0010102i,-0.00051931-0.00076683i,-0.00035106-0.00078573i,0.00045744-0.00077644i,0.00091148+1.2488e-05i,0.00052973+0.00039654i,6.0812e-05+0.00017146i,-0.00023938-0.00036354i,-0.00050651-0.00014645i,-0.00016446+0.00044887i
0.0019106-0.0012149i,0.001255-0.0016881i,0.001467-0.0015736i,0.0011712-0.0010177i,-0.00012369-0.00086432i,-0.0015345-0.00012424i,-0.00092405+0.0013812i,9.0054e-05+0.0020264i,-0.00057227+0.001382i,-0.00097629-5.8297e-05i,-0.00072218+6.562e-05i,-0.0007742+0.00059496i,-0.0011251+0.00034002i,-0.0010259+1.8983e-06i,-0.00027605+3.5899e-05i,-9.7354e-06+0.0003229i,-0.00034258+0.00062396i,-0.0005174+0.00013199i,-0.00014246-0.00064423i,0.00025012-0.00095959i,-0.00034262-0.00081756i,-0.0011125-0.00074336i,-0.0011416-0.00054828i
0.0016027-0.00095712i,-9.1565e-05-0.001855i,-0.0018592-0.0028606i,-0.0029575-0.0025245i,-0.0036002-0.0011258i,-0.0026746+0.0006117i,-0.00097777+0.0013689i,-0.00011314+0.0010438i,-0.00054697-3.4449e-05i,-0.0011202-0.00015348i,-0.00068408+0.00018373i,-4.4966e-05+3.7542e-06i,-5.0062e-05-0.0001198i,-0.00013878-0.0003292i,-8.3858e-05+0.00010599i,-0.00066791+0.00027255i,-0.00077747-0.00017419i,-0.00032407-0.00025881i,-0.00013548-0.00028561i,-0.00022559-0.00060743i,-0.00065101-0.00032343i,-0.00048035-0.00035154i,-0.00048147-0.00075703i
1.5902e-05-0.00093653i,-0.00021477-0.0012899i,-0.00049669-0.00042964i,-0.00081432-0.00032235i,-0.0015739-0.00052107i,-0.0012861+0.00035666i,-0.00038719+0.0011894i,0.00020945+0.00062351i,0.00040736+0.00019934i,0.00016169+0.00042616i,-0.00078606+0.00028771i,-0.00071764+0.00047528i,0.00035218+0.00038452i,0.00026368-0.00016569i,-0.00062923-0.00019387i,-0.00051105+7.8632e-05i,-0.00043674-0.00044825i,-0.00065145-0.00028511i,-0.00069658+0.00065473i,5.6178e-05+0.00052389i,0.00043356-2.9618e-05i,0.00052447-1.0359e-05i,0.00051331+0.00054889i
0.00083675+9.2561e-05i,0.00029137-0.0007164i,-0.00034605-0.0012059i,-0.00089321-0.0013804i,-0.0010482-0.00091584i,-0.0010843+0.00061296i,-0.00018718+0.001838i,0.00053949+0.002699i,0.00034987+0.0017341i,0.00023555-0.0003271i,3.1438e-05-0.00096565i,-0.00035897-0.0009993i,-0.0011006-0.0005069i,-0.00076332+0.00038526i,4.5206e-05+0.00056728i,0.00017381+0.00074332i,-0.0004256+0.00086706i,-0.00085635+0.00047272i,0.00026539+1.0163e-05i,0.0011952-7.1057e-05i,0.00015641-0.00054717i,-0.00011076-0.00058353i,0.00011998-0.00027425i
0.0004412-0.0008341i,0.00019822-0.00091387i,8.2721e-05+0.0001939i,-0.00025735+0.00094571i,-0.00055821+0.000469i,-0.00048975+0.00057414i,-7.8832e-05+0.0012003i,-0.00029376+0.0011557i,-0.00070882+0.00044385i,-0.00076753+0.00049251i,-0.00067902+0.00048098i,-0.00053021-0.00044254i,-7.8048e-05-0.00066929i,0.00015283-0.00038161i,-0.00037016-1.4264e-05i,-0.00048323-7.6564e-05i,-0.0002532+0.00027901i,0.00034378+0.00085882i,0.0009929+0.0003695i,0.00047778+0.00016537i,9.0356e-05+0.00036089i,-0.00017445+3.2101e-05i,-0.00020125-0.00023959i
-0.00035958-0.00033891i,-0.00068136-7.9014e-05i,-0.00055022-0.00064554i,-0.00017678-0.00027633i,-0.00035386+0.00055067i,-0.00066026+0.0011212i,-0.00049012+0.0013392i,2.5391e-05+0.00073606i,0.00050708-0.00018171i,0.00033054-0.00022744i,-5.6469e-05-0.0001383i,-6.0231e-05-0.0015198i,-0.00019282-0.0012933i,-0.00031703+0.00036175i,-0.00041384+0.00073933i,-0.00071925+0.00066492i,-0.00066735+0.00048831i,0.00047207+0.00015594i,0.0015928-0.00011629i,0.0014099-5.7777e-05i,0.00034372-0.00033985i,-0.0004247-7.1484e-05i,-0.00047978-0.0001081i
-0.00098055+0.00095375i,-0.00096922+0.0007925i,-0.00097336+0.00043205i,-0.00073934+7.1508e-05i,-0.00096012-0.00011026i,-0.0019303+8.4545e-05i,-0.0015255+0.00085424i,-0.00047854+0.00069359i,0.0001429-0.00019354i,-6.1132e-05-0.00053017i,-0.00044508-0.00082154i,-0.00029632-0.0011939i,0.0002861-0.00097061i,0.00050621-1.5875e-05i,-0.00032562+0.0005458i,-0.0005985+0.00035503i,-0.00034419+0.00023488i,-0.00073359+0.00028658i,-0.0010375+8.8096e-05i,-0.0002837-0.00049477i,-8.1304e-05-0.001164i,-0.00064601-0.00083935i,-0.00019849-0.00067183i
-0.0010048+0.0002491i,-0.00016092+0.00021355i,0.00073252-0.00096393i,0.0013875-0.00071004i,-0.00030335+0.00089527i,-0.0014623+0.0013119i,-0.0002913+0.0013694i,0.00056707+0.00092205i,0.00056781-0.00091748i,-0.00026088-0.0014767i,-0.00091651-0.00079105i,-0.0012353-0.00058202i,-0.0014707-0.00090777i,-0.00059644-0.00041381i,-0.00050022+0.00013892i,-6.0153e-05+0.00013346i,0.00079895+0.00053908i,0.00051884+0.0004039i,0.00023944-0.00051428i,-4.8077e-05-0.00081413i,4.3954e-06-0.00022778i,0.00015952+0.0001038i,0.00034227+0.00048952i
-0.00057081-0.0017453i,-0.0012082-0.0024556i,-0.0020091-0.0016068i,-0.0019202-0.00089263i,-0.0025177+3.1462e-05i,-0.0026292+0.00087163i,-0.0014116+0.0012034i,-8.8891e-05+0.0012556i,0.00022656+0.00075261i,-0.00041395-2.1729e-05i,-0.00070955-0.00051464i,-0.0011476-0.00036222i,-0.0011471+0.00022193i,-0.00066742+0.00040422i,-1.7057e-05+0.00055274i,0.00017833-0.00023486i,3.8782e-05-0.00097637i,3.445e-05-0.0004066i,-0.000489+0.00018497i,-0.00037023-0.00035303i,0.00073555-0.00076275i,0.00086809-0.00032774i,6.4829e-06+0.00054021i
-0.00088355-0.00022798i,-0.0010352+0.00037788i,-0.0015505+3.2081e-05i,-0.0014162+0.0005563i,-0.0011385+0.00092139i,-0.00069236+0.0015026i,2.7039e-05+0.0019241i,0.0011351+0.00092462i,0.0010941+0.0001724i,-0.00059977+0.00018141i,-0.0014502-0.00038027i,-0.00070601-0.00090409i,-8.9836e-05-0.00072354i,7.2126e-05-0.00042571i,-0.00068239+0.00021328i,-0.00079264+0.00054836i,-7.5543e-05+7.1529e-05i,0.00081007+3.9191e-05i,0.0011379+0.00078585i,0.00029214+0.00059048i,-0.00028632+0.00016168i,-0.00061854+0.00093111i,-0.00036146+0.00095768i
0.00090347+0.0007558i,0.001456+0.00055094i,0.0023301+0.00036098i,0.001416-0.00028615i,-8.6971e-05-0.0018372i,-0.00091836-0.0012697i,-0.00063941+0.001331i,-5.5783e-05+0.0013021i,0.0001137-8.4137e-05i,-6.3343e-05-0.0011521i,-0.00020421-0.00086879i,-0.00087748+9.4153e-05i,-0.0011685+0.00037826i,-0.0013004+0.00053975i,-0.0016251+0.00057118i,-0.00090807-0.00022107i,-0.00043943-0.00064398i,-7.5388e-05-0.00039284i,0.00079504-0.0001827i,0.00060398+4.7085e-05i,-7.2349e-05+1.1038e-05i,1.1965e-05+0.00013026i,0.00025903+0.00016175i
0.00053256+0.001121i,0.00085731+0.00162i,0.0021836+0.00087354i,0.0016063-0.001001i,-0.00011706-0.0025303i,-0.00075859-0.001531i,-0.00038373+0.00011956i,0.0005597+0.00010322i,0.00093701-0.000102i,2.1355e-05-0.00020558i,-0.00087773-0.00063516i,-0.00066254-0.00045812i,-0.00056085-0.00074715i,-0.00083593-0.00074147i,-0.00091836+0.00024243i,-0.0011613+0.00092686i,-0.00077176+0.00070082i,4.7675e-05-0.00010332i,0.00017986-0.00029595i,0.00013039-0.00060231i,0.00027447-0.00072709i,-0.00016778-0.00024996i,-0.00066922-0.00027131i
-0.00057054-0.001016i,9.5067e-07-0.0010576i,-0.0005256-0.00094858i,-0.0015402-0.001103i,-0.0018627-0.00025372i,-0.0017399+0.0012052i,-0.00069329+0.0020238i,0.00047307+0.0013862i,0.00012265+0.00093892i,-0.00034183+0.00062339i,-0.00050103-0.00055902i,-0.0010365-0.0013817i,-0.00090988-0.0010929i,-0.00028241-0.00077472i,-0.00033214-0.00074196i,-0.00021544+0.00019098i,-0.00031793+0.00057225i,-0.00078012+0.00011942i,-0.00037315-0.00031701i,2.8721e-05-0.00055864i,1.3945e-05-0.00031407i,0.00017733+0.00035713i,-6.2903e-05+0.00094445i
6.0237e-05-0.0013413i,-0.0015382-0.00070609i,-0.0035844-0.0020258i,-0.0044658-0.0016711i,-0.0044511-0.0014159i,-0.0040337-0.00021885i,-0.0052306+0.00017306i,-0.0071726-6.7039e-05i,-0.0073187+0.0009683i,-0.0060328+0.0026795i,-0.0038496+0.0038262i,-0.0017644+0.0044846i,-0.0001621+0.0035237i,0.0015924+0.0019383i,0.002179+0.0010423i,0.0013368+0.0012262i,-0.00019887+0.00032336i,-0.001167-0.00092968i,-0.00081895-0.0006315i,-0.00012556+6.146e-05i,0.00033604-0.00014857i,0.00035577-0.0011129i,0.00061989-0.00068868i
-1.9084e-05+0.00011083i,-3.1637e-05+0.00074601i,-0.00016837+0.00055598i,-0.000485+0.00052333i,-0.0018814+0.00087789i,-0.0025111+0.0016221i,-0.0010491+0.00096136i,0.00024648-0.00020253i,-0.00032218-0.00017744i,-0.00055169+0.00015236i,-0.00048889-0.00023204i,-0.00050052-0.00039482i,-0.00028832-0.00036789i,-0.00025082-0.00034812i,-0.00070337-0.00016941i,-0.00084435-0.00069753i,-0.00025553-0.00022358i,-0.00023037+0.00035861i,-0.00045543+0.00026706i,-0.0002732+0.00040828i,9.1241e-05+3.0076e-05i,-0.00018621+0.00020728i,-0.00074374+0.00010525i
0.0012819+0.0014227i,0.0016429+0.002451i,0.0027618+0.0023599i,0.0027765+0.00028782i,0.0020151-0.0018349i,0.00080656-0.0014505i,2.6914e-05-0.00076965i,-0.0002332+0.00021853i,-0.000213+0.0001437i,-0.00035366-0.00037939i,-0.00055277-0.00060334i,-0.00051304+0.00021942i,-0.00071111+0.00054149i,-0.00084314+0.00039336i,-0.00027403+0.00069111i,0.00030514+0.00085276i,0.0005381+2.5765e-05i,0.0007284-0.00062716i,6.8633e-05+1.7677e-05i,-0.00078463+0.00019804i,-0.0011075-0.00037091i,-0.0010556-0.00062411i,-0.00055095-0.00054912i
0.00040186+0.00015982i,-0.00052934+0.00031322i,-0.00023719-5.5765e-05i,-2.8658e-05-0.0013959i,-0.00085033-0.0017479i,-0.001817-0.00081177i,-0.0020089+0.00084783i,-0.00062434+0.0011169i,-0.00014797+0.00051446i,-9.1152e-05+7.0633e-05i,0.00040375-0.00050272i,-0.0001701-0.00069361i,-0.00056843-0.00057835i,-0.00028364-0.00038638i,-0.00074476-0.00029304i,-0.0002321+0.0001214i,0.00063374+0.001116i,0.0008363+0.0015536i,0.00050624+0.00061094i,0.00021778+7.3078e-05i,0.00027891-0.00031432i,-1.1407e-07-7.433e-05i,-0.00020264+0.00030388i
-0.00046321+0.0012466i,0.00052279+0.001219i,0.00071726+0.0014423i,0.0010047+0.0019393i,0.00045433+0.00194i,-0.0010171+0.0017211i,-0.0016664+0.0018526i,-0.0017293+0.0013996i,-0.0013935-6.5101e-05i,-0.00069335-0.00085549i,8.4948e-05-0.00088744i,-0.00039673-0.00067972i,-0.0011602-0.00080285i,-0.000691-0.001304i,-0.00063963-0.00032844i,-0.0005594+0.00083868i,-4.0253e-05+0.00049207i,-7.6801e-05-0.00029861i,-0.00077605-0.00030293i,-0.0002884-0.00042458i,-7.7374e-07-0.00042844i,-0.00021225+0.00033783i,-4.8931e-05+0.00047541i
0.00063241+0.0020424i,0.0013327+0.00099492i,0.0017767+0.00061298i,0.0010729+0.00022833i,-0.00079902-0.0002275i,-0.0025223-2.6415e-05i,-0.0015291+0.00074991i,0.00035731+0.0013802i,0.0010075+0.00055318i,0.00075533-0.00061912i,4.7198e-05-0.0012017i,-0.00049875-0.0013465i,-0.00079916-0.00033601i,-0.001794+0.00042635i,-0.0017765+0.00018548i,-0.0011471+0.00045726i,-0.00042621+0.00010987i,0.0004001-0.00036576i,0.00012485-0.00039857i,-0.00069866-0.00046061i,-0.0010405-0.00035427i,-0.00064914+0.00010144i,-0.00042056+0.00035341i
-0.0012677+0.0012269i,-9.9351e-05+0.00077347i,0.00085627+6.3221e-05i,0.0019987-0.00027146i,0.0018616-0.00023532i,0.00030096+0.00021648i,-0.00073521+0.0012959i,-0.0010145+0.0015821i,-0.0010887+0.0011899i,-0.0011912+0.0010505i,-0.00095286+0.00081184i,-0.00050906+0.0002623i,-0.00069937+0.00021865i,-0.00024948-8.3268e-05i,-1.0771e-05-0.00012094i,-9.9737e-05+0.00015045i,-0.00023093-0.00024219i,-0.00066667-0.0013984i,-0.00064397-0.0015138i,-0.00067239-0.00042602i,-0.00029492-0.0001141i,-0.00032206-0.00062714i,-0.00083577-0.0011875i
