0.001318-0.00041522i,0.00058052-0.0012128i,0.00041689-0.0026561i,-0.00025694-0.0021645i,-0.0025293+7.3377e-05i,-0.0044631+0.0013291i,-0.0041511+0.001852i,-0.0019847+0.0022106i,-0.00020853+0.0016241i,-4.597e-05+0.0010152i,4.6208e-05+0.00086964i,-1.0425e-05+0.00056983i,-0.00059094-0.00034297i,-0.0009559-0.00025765i,-0.00053464+0.00058983i,0.00026962+0.00071208i,0.00010284+0.00038852i,-0.0004299+0.00011236i,-0.00035821+0.00016667i,-0.00056652+0.00026107i,-0.0010313+4.9413e-05i,-8.1393e-05+5.6833e-05i,0.00022233-0.00026474i
0.00019707-0.0011269i,-0.00018686-0.001695i,0.00024658-0.0024129i,-0.00026922-0.0018219i,-0.001794-0.00059105i,-0.0016645+0.00059076i,-0.00022159+0.00031932i,0.00039347-0.00094224i,0.00052469-0.00084639i,0.0006978-0.00020689i,0.0001122+0.00060378i,-0.00033517+0.0016753i,7.5397e-05+0.0014831i,0.00079032+0.00075549i,0.00063117+0.00024884i,-1.6101e-05-0.00048846i,-4.3364e-05-0.00066431i,-5.3427e-05+2.5431e-05i,-0.00014805+0.00039416i,0.00010594+1.7083e-05i,-8.9435e-05-0.00016547i,0.00014899+0.00038163i,-4.0706e-05+0.00062315i
-0.0025891+0.0025021i,-0.0008216+0.0025965i,0.00081703+0.0034134i,0.00065632+0.0036451i,0.00057935+0.0017122i,0.00045022+0.0003435i,-0.00043707-0.00036707i,-0.00086513-0.00058486i,-0.00069376+0.00042779i,0.00019982+0.0011993i,0.00091731+0.00067387i,0.0010403-6.5145e-05i,0.001125+0.00016915i,0.00027514+0.00010448i,0.00013168-0.00022883i,0.00031505+0.0003917i,0.0006318+0.00037202i,0.00068545-0.00048635i,0.00018786-0.00049587i,-0.00024689-0.00026716i,-0.00033525-0.000457i,0.00012363-0.00020685i,0.00048937+0.0001835i
-0.00032349-0.00023244i,0.00063281-0.0002607i,-0.00050793+0.00062124i,-0.0018657+0.0013564i,-0.0011459+0.0011749i,-0.00038268+0.00025686i,-0.00045106-0.00037038i,-0.00096727-0.0002286i,-0.001017-0.00020056i,-0.00049388+0.00043131i,-0.00037964+0.00083008i,0.00017842+0.00060452i,0.00093307+0.00011018i,0.0006153-0.00017649i,-4.1909e-05-0.0002982i,-0.00026573-0.00047116i,-0.0005154-0.00048954i,-0.00093107+8.1749e-05i,-0.00088305+0.00039928i,-8.4591e-05+0.0014391i,0.00049925+0.0017373i,0.00021582+0.00069012i,-3.7281e-05+0.00029244i
0.0011037-0.00029287i,0.0011141-0.00064197i,0.00072738-0.00095773i,0.00023153-0.00078337i,-0.0013925-0.00059453i,-0.0022451+8.8487e-05i,-0.0021051+0.00048564i,-0.0019298+0.00011316i,-0.0012988+0.00047362i,-0.00054193+0.001591i,-0.00042473+0.0010194i,-0.00031371-0.0001773i,-0.00067823-0.00029297i,-0.0011723-9.9712e-05i,-0.0010418+0.00055182i,-0.00072095+0.00083672i,-0.00017271+0.00032026i,-0.00044066+7.5225e-05i,-8.517e-05-0.0003887i,0.0010155-0.00033823i,0.00085169+0.00035048i,0.00035715+0.00065606i,0.000242+0.00088342i
-0.0016693+0.00052973i,-0.00080997+0.0014704i,-0.00091693+0.0023118i,-0.00084559+0.0022208i,-0.0012515+0.0016989i,-0.00099825-0.00032604i,-0.00071602-0.0015288i,-0.0009386-0.0012505i,4.5106e-06-0.00060182i,0.00046941+0.0011163i,-0.00069622+0.0017989i,-0.0011623+0.0014224i,-0.00059947+0.00020243i,-0.00026992-0.0011759i,0.0007024-0.0010769i,0.00092865-0.00015319i,-2.1558e-05+7.6032e-05i,-0.00089269-7.1649e-05i,-0.00054253-0.00042966i,4.7896e-06-0.00076668i,-6.512e-05-0.00061913i,-0.00051324-0.00082064i,-0.0014396-0.0011979i
0.0014722-4.5976e-05i,0.0014502-0.00028745i,0.0010154-0.0005495i,-0.00029575-0.0013782i,-0.0010381-0.0012929i,-0.0013393-0.00087288i,-0.00070579-0.00068842i,-7.7055e-05-0.0002176i,0.00042531+0.00030978i,0.0010119+0.00066052i,0.00060713+0.00090601i,1.7256e-05+0.0013277i,-1.101e-05+0.0010143i,0.00016306+0.00047004i,-0.00038818+0.00068284i,-0.00088611+0.0004441i,-0.00068917-5.0964e-05i,-0.00055961-0.000124i,-0.00050009-0.0001145i,-0.0004427-0.00051003i,-0.00047409-0.00012086i,0.0001154+0.0004227i,0.00031414+0.00036209i
6.791e-05-0.0012612i,2.792e-05-0.0011896i,0.00069143-0.00091975i,-0.0005389-0.00018146i,-0.0024199+0.00023758i,-0.0028587+0.00074283i,-0.0023783+0.00062353i,-0.00095708+6.4141e-05i,0.0005113-3.4965e-05i,0.00058335+0.00057397i,7.5272e-06+0.0011137i,-0.00019036+0.00098723i,0.00019249+0.0013486i,0.0012196+0.0016198i,0.0011598+0.00056304i,0.00058483-0.00022881i,0.00035669+2.8428e-05i,3.2088e-05+0.00046262i,-0.00025407+0.00071119i,-0.0002851+0.00042592i,0.00011411+0.00024014i,0.00059151+0.00046324i,0.0013339+0.00016383i
-0.0010007+0.0024591i,-0.00037629+0.0011191i,-0.00051188+0.0014354i,-0.0009165+0.00062132i,-0.0001826-0.00050652i,0.00025428-0.00052767i,-0.00081477-0.00086149i,-0.0019758-0.00048713i,-0.0016063+0.00062571i,-0.00084375+0.0016561i,-0.00070261+0.0013481i,-0.00060088+0.00035279i,-0.00041525-0.00025713i,-0.00038946+0.00026873i,-0.00093827+0.00033687i,-0.0010281+0.00023663i,-0.0003841+5.3275e-05i,0.00017332-0.00065231i,0.00034693-0.00060834i,0.00029624-9.7786e-05i,-9.7675e-05-1.6084e-05i,0.00024696+4.9561e-05i,0.0011598+0.00031165i
-0.00018094-0.00093302i,0.00058276-0.00019689i,0.00097942+0.0010401i,-2.7221e-05+0.00087078i,-0.0012236+0.00092279i,-0.0012633+0.000872i,-0.00050822+0.00047356i,-0.00050186+0.00057018i,-0.00024408+0.00084778i,0.00033794+0.0010471i,-8.5371e-05+0.00073514i,-0.00017574+0.0002304i,0.00046939-2.7624e-05i,0.00076016+0.0003385i,0.00045319+0.00012529i,0.00092229-0.0007517i,0.0012847-0.00083969i,0.00095198-0.00014874i,0.00034922+4.6572e-05i,-4.8801e-05-0.00033031i,0.0002901-0.00024045i,0.0004894-4.1741e-05i,-0.00033559-8.2273e-05i
-0.0021458+0.00019111i,-0.0029269+0.00094283i,-0.0028775+0.0017189i,-0.0012562+0.0032981i,-0.00010547+0.002999i,0.00061107+0.00095013i,0.00029331-0.00093951i,-0.00022353-0.00079127i,-0.00012128+0.00059197i,-0.0006159+0.00079206i,-0.00064308+0.00036896i,-0.00025979+0.00023878i,0.00029779-9.1397e-05i,0.00032304-4.5377e-05i,-7.0592e-05-0.0002437i,-0.00031025+0.0004094i,-0.0007081+0.00020168i,-0.00090349-0.00039071i,-0.0012969-0.00068813i,-0.00087152-0.0005104i,-0.0010296-0.0001576i,-0.00139-0.00021798i,-0.0009841-9.8306e-05i
0.0015336+0.00070731i,0.0014285-0.00028006i,0.00072379-0.0012169i,-0.00019994-0.0011002i,-0.0018922-0.00055902i,-0.0023353-0.00087748i,-0.0012175-0.0013721i,-0.00022531-0.00086611i,-4.2837e-05+0.00061711i,9.6507e-05+0.0010229i,0.00032166+0.0010888i,-2.4919e-05+0.0015382i,-0.00082208+0.0011175i,-0.00092185+0.00045101i,-0.00025273+0.00080017i,4.929e-05+0.00070301i,0.00051203-0.00015016i,0.00078757-0.00032389i,0.00049457+0.00023546i,-5.8222e-05+0.00033801i,-0.00079965+0.00044184i,-0.00088622+0.00044396i,-0.00067423+0.00027876i
-0.0024794-0.00021253i,-0.0016847+0.00020864i,-0.0015039+0.0008645i,-0.00095102+0.0015121i,-0.00099261+0.0019333i,-0.00084231+0.0010463i,-0.00014797-3.4144e-05i,2.0977e-05-0.00056403i,-0.00024171+0.0003975i,-0.00068309+0.0014001i,-0.00045023+0.0014592i,0.00011184+0.00144i,0.00051072+0.00087594i,0.00070166+0.00052635i,0.00012266-0.00013093i,-0.00011519-0.00036671i,0.00045122-0.00054682i,0.00022347-0.00079298i,-0.00014324-0.00060961i,-0.00010833-0.00011935i,-0.00014823-0.00026481i,0.00036863-0.00071978i,6.2741e-05-0.00067593i
-0.00021651+0.00058122i,-0.00058283+0.00079594i,-0.00062053+0.0016949i,-0.00045868+0.0017565i,-0.00097601+0.00082319i,-0.00086871-0.00053637i,-0.00042624-0.0010674i,-0.00072989-0.00051314i,-0.00070764-6.412e-06i,0.00025169+0.00084689i,0.00037127+0.0012882i,4.9098e-05+0.00083447i,-8.3618e-05-0.00039296i,0.00039554-0.00067355i,0.00085564-4.3869e-05i,-0.00013292-0.00030076i,-0.00093032-0.00040931i,-0.00041391-0.00043625i,0.00037911-0.00042062i,0.00034949-3.1784e-05i,-9.1287e-05-0.00035492i,0.00013073-0.00021858i,4.2698e-05+0.00051519i
0.00063177-0.0012834i,0.00082529-0.0020611i,0.0022982-0.0020668i,0.0010435-0.0010765i,-0.0017771-0.00044573i,-0.0030576-0.00071936i,-0.0024075-0.00070657i,-0.0012469-3.9569e-05i,-0.00089676+0.00019801i,-0.00033618+0.00066573i,-8.5022e-05+0.0010015i,9.4156e-05+0.0011109i,0.00032887+0.0013701i,0.00055026+0.0009568i,0.00080931+0.00054118i,0.0010489+0.0004418i,0.00036381-0.00031638i,-0.00021097-0.0001224i,0.00020185+0.00021068i,0.00059286-4.5434e-05i,0.00060757+0.00034752i,0.00012629+0.00064641i,-7.4501e-05+0.0005571i
-0.0018191-0.00034764i,-0.0013851+0.00014454i,-0.0015581+0.00086216i,-0.0014072+0.00091061i,-0.0017405+0.00055415i,-0.0013616-0.00072333i,-0.00038882-0.0011974i,-0.00036611-0.00031549i,-0.0011304+0.00028804i,-0.0015458+0.00062894i,-0.00065204+0.00094704i,0.00077161+0.00094236i,0.0007229+0.00063418i,-0.00010053-2.1075e-05i,-0.0007719+9.6602e-06i,-0.00010072+0.00027682i,0.0005118+0.00022932i,4.3838e-05+0.00058035i,-0.00049037+0.00041507i,-0.00046109-0.00040559i,-4.7462e-05-0.00097052i,-0.00013237-0.00047i,-0.00043371+0.00013998i
-0.00022128+0.0012637i,0.00079326+0.0019904i,0.00068461+0.0025078i,0.00021635+0.0012633i,-0.00037986+6.2243e-06i,-0.00036465-0.0010148i,0.00015399-0.00089269i,-9.9536e-05+0.00037241i,-0.00024451+0.0013886i,-0.00026566+0.00095137i,-0.00013364+0.0006724i,0.0006414+0.001806i,0.001199+0.0019149i,0.00075951+0.0007614i,0.00024087-1.3579e-05i,-0.00012107-0.00078837i,-0.00030961-0.0015245i,-0.00034673-0.0013994i,-0.0001958-0.0009818i,0.00027092-0.0011374i,0.00021934-0.0011259i,-0.00044917-0.00056591i,-0.00022228-0.00061546i
-0.0012338+0.0008574i,-0.0013366+0.0021537i,-0.0011037+0.0019889i,-0.0012032+0.0017343i,-0.00068887+0.0024492i,-0.00078584+0.0018422i,-0.00060287-0.00016001i,-0.00016177-0.00072881i,-0.00016321+0.00067033i,0.00030961+0.0011866i,0.00074477+0.00060446i,0.00054978+4.0803e-06i,0.00021075+9.1392e-05i,0.00043849+0.00036622i,0.00041975+0.0002149i,0.00045118+0.00019489i,0.00023551-0.00026059i,1.1496e-05-0.00083305i,0.00035397-0.00041141i,0.00046807+0.00028289i,0.00047561+0.00070742i,0.00044242+0.00052994i,0.00037411+0.0008474i
-0.00096822-0.00082345i,-0.0012952+9.3687e-05i,-0.001241-0.00064458i,-0.0012455-0.0010944i,-0.0014229-0.00042466i,-0.00057204+0.00037537i,-0.00047644-0.0002156i,-0.0013454-0.00017442i,-0.0011566+0.00052741i,-0.00036671-4.048e-05i,0.00012643-0.00070847i,0.00037726-0.00080148i,0.00030193-0.00027249i,-0.00032282+0.00025963i,-0.00082271-0.00026279i,-0.00080193-0.00049478i,-0.00063703-0.00023648i,-0.00010824+0.00015431i,-0.00024198+0.00083222i,-0.00030117+0.000239i,-0.00055843+0.00051829i,-0.00076633+0.0014194i,-0.00029933+0.0011143i
0.00018075-0.0011419i,0.00030742-0.00032594i,0.00084697+0.0010569i,-0.0005157+0.0008589i,-0.0019731-0.001148i,-0.0021657-0.00080296i,-0.0013927+0.00078278i,-0.00029673+0.00044481i,0.00062703-0.00024675i,0.00090835-0.00046258i,0.00053864-6.8042e-05i,9.2311e-05+0.0010511i,-0.00047539+0.00093669i,-0.0005527-0.00023047i,-0.0004503-0.0015311i,-0.00087281-0.0016088i,-0.00099336-0.0010093i,-0.00030319-0.00071496i,0.00035509-0.00012252i,-4.355e-05+0.00026401i,-0.00043519-0.00025904i,-0.00063831-0.00019361i,-0.00045534+0.00088001i
-0.0012344+0.00015635i,-0.0014776+0.00070278i,-0.0021613+0.00069434i,-0.0015091+0.00074373i,-4.5176e-05+0.0002698i,0.00015611-0.0002399i,-0.00021151-0.00029709i,-9.928e-05+0.00042559i,-0.00011514+0.0012558i,-0.00012499+0.0012576i,0.0003129+0.00091023i,0.00064035+0.0010706i,0.000538+0.0011836i,0.00046321+0.0010331i,0.00061127+0.00023726i,0.00055448-0.00038743i,-0.00024391-0.00038054i,-0.000841-0.0004635i,-0.0004247-6.551e-05i,-0.00014268+0.00073771i,0.00031303+0.00087051i,0.00078108+0.00034129i,0.00050285+0.00046596i
0.0011799-0.00012767i,0.00091151-0.00068134i,-0.00043752-0.0010456i,-0.0019196-0.0014868i,-0.0025474-0.0012408i,-0.0019369+0.00041941i,-0.0013701+0.0010459i,-0.0010381+0.00086548i,-0.00077715+0.00091645i,-0.00074351+0.0003894i,-0.00030788+0.00012385i,0.00026409+0.00011911i,0.0004922-0.00020214i,0.00034345-0.00031234i,-0.00024418+0.00025198i,-0.00038848+0.00019559i,0.00010745-0.00054208i,0.00017563-0.00062664i,0.00035934-0.00055052i,0.00018791-0.00051922i,-0.00047702-0.00021293i,-0.00018569+4.4964e-05i,0.00067381+0.00026605i
5.2445e-06-0.0018666i,-0.00072733-0.0011481i,-0.00051294-0.00015387i,-0.00038653+0.00062128i,-0.00086995+0.00037302i,-0.0016815-0.00027977i,-0.0012273-0.00062602i,-0.00091606-0.00045233i,-0.0010475-0.00027429i,-0.00046373+0.00031427i,-0.00020382+0.0005094i,3.8262e-05+0.000596i,3.4161e-05+0.001294i,4.0894e-05+0.0014776i,0.00020185+0.00061741i,-2.3805e-05-0.00042619i,-0.00069106-0.0009184i,-0.00056409-0.00083698i,-0.00015636+4.9754e-06i,0.00037071+0.00065707i,0.00078458+0.0010641i,0.00045553+0.00053876i,0.00065708+0.00024316i
-0.00049867+0.000293i,-0.0010528-0.00033872i,-0.0010746-0.0011894i,-0.0012595-0.0016533i,-0.001404-0.00067041i,-0.001311+0.0005103i,-0.0010026-0.00027253i,-0.00031938-0.0014524i,0.00050005-0.00068821i,0.00083975+0.00050548i,0.00029269+0.00082499i,0.0001769+0.0001908i,0.00043971+8.3588e-05i,-9.7454e-05+0.00048117i,0.00010304+0.00052421i,0.0011296+0.00090336i,0.00085093+0.00062869i,0.0003162-0.00059629i,0.00022374-0.00026519i,-0.00071513+0.00046102i,-0.001135+0.0005505i,-0.00084459+0.0007124i,-0.00019909+0.00086758i
-0.0013777+0.0015141i,-0.0010815+0.0018445i,-0.00011126+0.0028974i,0.00028958+0.0032852i,-0.00065591+0.0023741i,-0.0010138+0.00048209i,-0.0012316-0.00088991i,-0.0014276-0.0011597i,-0.0013045-0.00061841i,-0.0012331-0.00025321i,-0.00099295+0.00039902i,-0.00039522+0.0011337i,0.00043647+0.0011567i,0.00066019+0.00010962i,0.00053248-0.00069977i,-0.000174-0.00068086i,-0.0012343-2.027e-06i,-0.001282+0.00044869i,-0.00086478+0.00064178i,-0.00060863+0.00080368i,-0.00027027+0.00034274i,-0.00066969-4.3411e-05i,-0.00053112-0.0004198i
-0.00089616-0.0008909i,-0.0016003-0.00072925i,-0.0027135-0.00054175i,-0.0028768+0.00052743i,-0.0025384+0.001388i,-0.0025822+0.0012219i,-0.0016757+8.6729e-05i,-0.00065283-0.0004934i,-0.00085066-0.00047127i,-0.00082569+6.9988e-05i,-4.818e-05+0.0007127i,0.00037529+0.00089526i,-0.00015273+0.00056708i,-0.00044419+0.00049076i,-0.00051069+0.00025311i,-8.0564e-05+0.00031777i,0.00010753+0.00012915i,-7.0377e-06+0.00037731i,0.00028236+0.00082626i,0.0004113+2.6597e-05i,0.00036169-0.00032761i,0.00029404-0.00010129i,-4.3717e-05+0.00021738i
0.0018033-0.00048031i,0.001511-0.0004464i,0.00071895-0.00051118i,0.00073082-0.00055489i,-0.00073716-0.00085052i,-0.0012177-0.00065598i,-0.00032316+8.3959e-05i,-0.00079357+0.00054943i,-0.001876+0.00031356i,-0.0017253-0.00025615i,-0.00086166-7.0215e-05i,-0.00060026+0.00044733i,-0.0010837+8.4047e-05i,-8.1304e-05+0.00032437i,0.00086035+0.00073815i,0.00063826-3.5315e-05i,-0.00023145-0.0010017i,-0.00081176-0.00056571i,-0.00016645+5.6809e-05i,-2.717e-05+0.00031874i,-1.1575e-05+0.00054861i,6.6938e-05+0.00011987i,9.0656e-05-0.00025359i
-0.00047314+0.0010844i,-0.00018224+0.00032467i,0.0005112+0.00062607i,-0.00037654+0.00089427i,-0.0019651-0.00038571i,-0.0023946-0.0014456i,-0.0020697-0.0014222i,-0.00083404-0.001191i,7.1392e-05-0.00028881i,-0.00095623+0.00063708i,-0.0012667+0.00040461i,-0.00012555+0.00032729i,0.00029113+0.00025008i,0.00027085-1.8307e-05i,0.00047864+0.00044248i,0.00061729+0.00026947i,0.00061816-0.00012757i,-3.1643e-06-4.7551e-05i,-1.7152e-05-0.00020659i,0.00058427-0.00014505i,0.0006896+0.00011179i,0.00033907-0.00036447i,-3.612e-05-0.00091071i
0.00095822+0.00011485i,0.0014004-0.00022849i,0.0016113+9.6873e-05i,0.00021832-0.00060307i,-0.00069536-0.00040961i,-0.00038926+0.00025334i,-0.0002334-8.477e-05i,-4.5143e-05-0.00040726i,0.00014095+0.00020853i,0.00025252+0.0010901i,0.00041222+0.0011252i,0.00054965+0.00083008i,0.00058438+0.00040197i,0.00026895+0.00011957i,-0.00029084+0.00011496i,-0.00025906-0.00027571i,0.00076012-0.00062255i,0.00070234+0.00024869i,-0.00010639+0.0010674i,7.5463e-05+0.0011007i,6.1395e-05+0.0013519i,-0.00061777+0.00086344i,-0.0006995+0.00017892i
0.001906+0.0012572i,0.0018562+5.8154e-05i,0.0015426+4.5107e-05i,0.0015346+0.00061575i,0.00011151-9.5658e-05i,-0.0019151-0.0011515i,-0.0016043-0.00093673i,0.00033056-0.0010095i,0.00051537-0.00081304i,-8.9768e-05+0.00021433i,0.00019101+0.0013193i,0.00038916+0.0020322i,-0.00021026+0.0016554i,-0.00033672+0.00094518i,0.00061246+0.00068913i,0.0011034+6.2624e-05i,0.0010928-0.00030496i,0.00068471-0.00028089i,-0.00011898-0.00070445i,-0.0010594-0.00050388i,-0.0010992+0.00050461i,-0.00067674+0.0006865i,-0.0006327+0.00047187i
-0.00085043-7.9288e-05i,-0.0012171+0.00034992i,-0.0016582-0.00020029i,-0.00071215+0.00053718i,-0.00046373+0.0018394i,-0.00060518+0.0014528i,-0.00019942+0.00030561i,-0.00029323+2.1996e-05i,-0.00083182+0.00045178i,-0.00095123+0.00053383i,-0.00029462+0.00044043i,6.1007e-05+0.00059923i,-6.4202e-06+0.00089417i,-0.00011636+0.00089818i,-0.00031429+0.00044183i,-0.00038139-0.00030982i,-0.0006557-0.00047981i,-0.00060459-0.00022105i,-0.00077671-0.0008413i,-0.0014603-0.0008211i,-0.0013407-0.00021864i,-0.00087546-0.00026871i,-0.0007095-0.00047242i
-0.00017304-0.001082i,-0.00020703+0.0010052i,-0.00069936+0.0015828i,-0.0018924+0.000505i,-0.0019733+0.000159i,-0.0014931+0.00051762i,-0.001492+0.00086862i,-0.0010987+0.00067002i,-0.0010922+7.6459e-06i,-0.00069502-0.00067104i,0.00042348-0.0009926i,0.00074018-0.00031747i,0.00023663-0.00051993i,0.00017724-0.0008261i,0.00028452-0.00010536i,-2.2434e-05-2.6605e-05i,-0.00032485+6.3756e-05i,-0.00040546+0.00025182i,-0.00035731+6.7662e-05i,-0.00035589-0.00011248i,-0.00011008-0.00028584i,0.00012696-9.0623e-05i,-3.9979e-05+0.00047437i
-0.0016915-0.0012556i,-0.0027429-0.00091189i,-0.0028376-0.0010052i,-0.0017084+4.7988e-06i,-0.0026715+0.0010286i,-0.0035845+0.00023424i,-0.0018514-0.0013998i,-0.0013779-0.0015192i,-0.0019385-0.00073307i,-0.001323-0.00048245i,0.00025858-0.00022374i,0.00085047+4.1817e-05i,0.00014129-0.0003259i,-0.00015718-0.00057826i,0.00054861-0.0002953i,0.0004835-0.00063403i,-0.00031653-0.00090098i,-0.00045404-0.00041991i,0.00019851-0.00042886i,0.00036464-0.00056833i,0.00047442-0.00035801i,0.00032882-0.00074988i,-0.00014782-0.00088699i
-0.0025041+0.00011499i,-0.0019571+7.1185e-05i,-0.0018636-0.00012897i,-0.0020416+0.00040612i,-0.0017937+0.0010227i,-0.00071732+0.00065185i,-0.00031529-0.00020311i,-0.0003861-0.0012026i,-0.00044985-0.00073171i,-0.00065127+0.00090702i,-0.00077868+0.0022013i,-5.7635e-05+0.0022008i,0.00080156+0.0013571i,0.0010279+0.0011416i,0.00090359+0.00076074i,0.0010609+0.00046949i,0.00099713+0.00096485i,0.00087604+0.0006125i,0.00024173-5.7773e-05i,-0.00028354+7.5282e-05i,-0.00027594+0.00050041i,-0.0001681+0.00063035i,8.1471e-05+0.00098289i
-0.0008413+0.002374i,0.001062+0.0024363i,0.0018271+0.0028128i,0.0010854+0.0018528i,0.00090862+0.0012285i,0.00096573+4.3664e-05i,0.00024697-0.00029117i,0.00054981+0.00087388i,0.0013157+0.0013782i,0.0013338+0.00073272i,0.00025884+0.00028093i,-0.00016058+9.0969e-05i,5.2763e-05+0.00059461i,-0.00066552+0.00099837i,-0.00071673-0.00019634i,-0.0001411-0.00099756i,1.398e-05-3.4685e-05i,6.826e-06+0.00026058i,-9.2007e-06-0.00043162i,0.00062058-0.00089499i,0.00050487-0.00036813i,-0.00045719-5.7e-05i,-0.00025821+0.00055336i
0.00039506-0.00095766i,-4.2641e-06-0.0013866i,0.00093936-0.0014831i,0.00068427-0.0013437i,-0.00076532-0.0014943i,-0.0011616-0.00060493i,-0.00085824+0.0003752i,-0.0011757+0.0010442i,-0.0010702+0.0013063i,-0.00049948+0.00077096i,-0.00028856+0.00032279i,0.00046813+0.00075548i,0.00063658+0.0013183i,-2.5727e-05+0.00091122i,-4.0717e-05+4.4199e-05i,-0.0001477-0.00027237i,-0.00085607-0.000151i,-0.00095156-0.00070909i,-0.00074814-0.00053023i,-0.00042112+0.00056621i,0.00016235+0.00054451i,0.00039194+0.00011025i,-2.7496e-05+0.00031476i
0.0004394-0.0011491i,0.00087935-0.00074505i,0.00064565+4.5254e-05i,-0.00093851-0.00010008i,-0.0019996-0.00081166i,-0.0012541-0.0010602i,-0.0011622-0.00032533i,-0.0013342-0.00015684i,-0.0012437-0.00034554i,-0.00036252-0.00046338i,0.00089865+5.2578e-05i,0.0010522+0.00025381i,0.00068997-0.0005745i,-7.5669e-05-0.0006367i,-0.001031-0.00020428i,-0.00077683-0.00039728i,-0.00019002-0.0010878i,-0.00010163-0.0012411i,0.00037608-0.0007964i,-0.00011059-0.00040392i,5.5177e-05-0.00012307i,0.00056152-0.00011963i,-0.00078404+0.00036816i
9.9648e-05+0.0019118i,8.9273e-06+0.0016809i,1.8627e-06+0.00033652i,0.00066083-0.0014598i,0.00080971-0.0031462i,-0.00066996-0.0027762i,-0.0013245-0.0019436i,-0.0005993-0.0014354i,0.0003506-0.00065416i,0.0010785-0.0002804i,0.0010862-0.00049006i,0.00054907-0.00062805i,-0.000105-0.00055424i,0.00039861-0.00058173i,0.0007494-0.00019385i,-0.00017925+0.00023082i,-8.4222e-05+8.1858e-05i,0.00048654-0.00037997i,0.00069353-0.0006217i,0.00035127-0.0005447i,-0.00059684-0.00075905i,-0.00094455-0.00021912i,-0.0013206+0.00085131i
-0.0012243+0.0015466i,0.0005823+0.0022297i,0.0016163+0.0034264i,0.0017247+0.0027396i,0.0013376+0.001596i,0.00087165-2.3572e-05i,0.00045527-0.0012254i,-0.00011973-0.00052336i,-0.00057943-0.00055174i,-0.0007378-0.0011563i,-0.0011218-0.00055193i,-0.00078581+0.00022157i,-0.00020802+0.00080932i,-0.00036717+0.00083389i,-0.00037953+0.00046639i,-2.5499e-05+0.0009678i,2.8648e-05+0.00036592i,-0.00033833-0.00055678i,-0.00029175+0.00012396i,-6.3302e-05+0.00048322i,-0.00050989-0.00035444i,-0.0011285-0.0007821i,-0.0011291-0.00060966i
-0.0017484-0.00044055i,-0.0015164-0.00012297i,-8.8523e-06+0.00021208i,0.00034549+0.0007484i,-0.00056528+0.00097292i,-0.001203+0.00060624i,-0.0011431+0.00090697i,-0.00038456+0.0013968i,0.00059954+0.0008211i,0.00054218+0.0001333i,-2.6282e-06+0.00071605i,4.3957e-05+0.00136i,-0.00011457+0.0013435i,0.00018671+0.0013928i,0.00054459+0.0010742i,2.7448e-05-1.0242e-05i,-0.0008968-0.00087255i,-0.0010801-0.00079481i,-0.001104-7.4091e-05i,-0.0010295+0.00032382i,-0.00059182+0.00030249i,-0.00048521+0.00043414i,0.0004076+0.0010864i
-0.00078294-0.0016015i,-0.0014818-0.0014123i,-0.0017735-0.0025502i,-0.0021676-0.0012592i,-0.0030684+0.0014021i,-0.0025686+0.0024684i,-0.00082098+0.0013448i,0.00017611-0.00037832i,0.00024673-0.00056325i,-0.00023822+0.00030003i,-0.00035539+1.8182e-05i,-0.00014969-0.00018538i,-1.9764e-06+0.00011693i,0.00063158+0.00033183i,0.00073796-0.00029902i,5.9683e-05-0.0013649i,-0.00041827-0.0014133i,-0.00011004-0.00032198i,0.00015878-0.0002739i,0.00038989-0.00049591i,0.00055569-1.5437e-05i,0.00064707+0.00055613i,0.00045315+0.0005608i
-4.0038e-05-0.0011898i,0.00043147-7.8134e-05i,2.4941e-05+0.0009945i,-0.0013319+0.00015305i,-0.0022854-0.0015154i,-0.0016889-0.0017862i,-0.00093604-0.00031722i,-0.00084436-2.2121e-05i,-0.00043636-0.00052223i,-9.9766e-05+2.9376e-05i,-0.00010397+0.0017678i,-0.00073075+0.0021911i,-0.00075814+0.00056576i,-0.00023238-0.00033388i,-0.0001742-0.00044724i,-0.00010817-0.0010228i,8.4015e-05-0.00082613i,-1.0416e-05-0.00063796i,0.00024553-0.00061366i,-0.00033525-0.00028421i,-0.00078361-0.00035878i,-0.0005643-0.00060784i,-0.0008754-0.00046917i
0.00014981+0.0006506i,0.00022851+0.0016035i,-0.0016163+0.0017422i,-0.0020595+0.0018262i,-0.0023019+0.0010389i,-0.0028399-0.00035603i,-0.0019804-0.00070397i,-0.00081541-0.001285i,-0.0010271-0.0010477i,-0.00061419+0.00040381i,8.0897e-05+0.0013806i,-0.00023025+0.0011509i,0.00012004-2.9381e-05i,0.00010835-0.00092208i,-0.00052933-0.00062379i,-0.000257-0.00064705i,0.00011315-0.00067713i,-0.00080917-0.00028216i,-0.0010061+0.00022064i,-9.4672e-05-4.5068e-05i,-0.00059169-0.00059633i,-0.00088172-0.00083565i,-5.4461e-05-0.00074118i
