0.0010376-0.0020428i,0.0012003-0.0042998i,-0.0005611-0.0053313i,-0.0021821-0.0038997i,-0.0020438-0.0011897i,-0.0013344+0.001035i,6.3455e-05+0.0014025i,0.00068069+7.468e-05i,0.0010099-0.00066365i,0.0009262-0.00089262i,0.00054364-0.00025264i,0.00067607+0.00048053i,0.00074753+0.00060737i,7.0556e-05+0.0012122i,-0.00021861+0.0013115i,-0.00024046+0.00070942i,-5.3083e-05-1.7752e-05i,0.0006139-0.0004555i,-0.00025491-0.00063445i,-0.0012696-0.00067538i,-0.00065957-0.0002222i,-0.00032182+0.000305i,0.00012877+0.00044411i
-0.0018915-0.0032452i,-0.002725-0.0027459i,-0.0020555-0.00098655i,-0.00065624-9.7589e-05i,0.00062344+0.00010944i,0.00053339-0.00047516i,0.00036113-0.00080239i,0.00060198-0.00039985i,0.0010874-5.4947e-05i,0.00092094-0.00025731i,0.00025333-0.00023868i,-0.00063692+0.00017972i,0.00023076+0.00020524i,0.0018372+0.00030568i,0.0018455+0.00052563i,0.00080206+0.00072178i,0.00030119+1.0698e-05i,-0.00036956-0.00027185i,-0.00073089-0.00014249i,0.00010535-0.0002733i,0.0003422-0.00032951i,-8.4406e-05-0.00029446i,-0.00022718-0.00032624i
-0.00017225+0.0023106i,0.0011357+0.00091339i,0.0014415+0.0012896i,0.0010814+0.0013105i,0.0014803+0.00049041i,0.0011011-0.0012141i,0.00062284-0.0015865i,-0.00018678-0.00093875i,-0.00028267-2.976e-05i,-7.9504e-05+0.00012216i,0.00013336-0.00065814i,0.00040097-0.00073996i,-0.0003627-0.00034654i,-0.00070023-0.00033247i,1.8486e-05-0.00034265i,2.5294e-05-0.00017777i,-0.0007286+0.00026114i,-0.0011466-0.00028001i,-0.0013951-0.00048852i,-0.00062218-0.00024365i,0.00057516-0.00037003i,0.00066652+0.00011637i,0.00034826+0.00022858i
-0.0026089-0.00052708i,-0.0029718+0.00047893i,-0.0023612-6.9355e-05i,-0.0012176-0.00031545i,0.00025911+0.00019737i,0.00080361+0.00017385i,0.0005149+6.2848e-05i,0.00020727-4.3562e-05i,0.00061724-5.0698e-05i,0.0012985+3.1116e-05i,0.0013122+0.00046356i,0.00098495+0.00031501i,0.00089814+0.00035387i,0.0006054+0.00084223i,0.00053066+7.0842e-05i,0.00079914-0.00077093i,0.00095552-0.0001981i,0.00086552+5.8171e-05i,0.00030177-0.00046256i,9.8848e-05-0.00072904i,0.00012244-5.2488e-06i,0.00012307+0.00039432i,0.0003787-5.1868e-05i
0.0019854-0.00037236i,0.00041437-0.00081587i,-0.00053948-0.00078443i,-0.00010818+0.00010712i,0.00060664-6.009e-05i,0.00054152+0.00021389i,-0.00065392+0.00081607i,-0.0010904+0.00075361i,-0.00029331+0.0011125i,-0.00028429+0.0010777i,2.1888e-05+0.00062694i,0.00033241+0.0011175i,-4.2464e-05+0.001043i,0.0003492+0.00055863i,0.0007125+0.00019612i,-9.9501e-05+0.00036296i,-0.00092643+0.00088162i,-0.00075391+0.00028866i,0.00011644+0.00025834i,0.0005727+7.9398e-05i,0.00054915-0.00010557i,-5.3955e-05+0.0001807i,-0.00072423+0.0001185i
-0.00079632+0.0020687i,-0.0011167+0.00039751i,-0.00037873-0.0022643i,0.00017875-0.0025839i,0.00020449-0.0013386i,-1.8046e-05+0.00012326i,9.6776e-05+0.00051218i,0.00040866+0.00038933i,0.00018955+0.00029266i,-0.00027148-0.00026289i,-0.00057266-0.00056516i,-0.00025649-0.00010067i,8.9541e-05+0.00044454i,-0.00024922+0.00078696i,-0.0011815+0.00099611i,-0.0012638+0.0001927i,-0.00043914-0.00019698i,-0.0001123+0.00015647i,8.8475e-05+0.000154i,-0.00024408+9.4796e-05i,-0.00030108+0.00018263i,1.4178e-05+0.00052154i,6.13e-06+0.00077738i
0.0006971-0.00039741i,0.00017288-0.0014438i,0.0005406-0.0014626i,0.0010856-0.00050405i,0.00063714-0.00014581i,0.00034957-0.00013585i,0.00013262+0.00015558i,-0.00077783+0.00010301i,-0.00077904-8.0488e-05i,-2.3291e-05-0.00035432i,-4.6098e-05-0.00091485i,-0.00017143-0.00062737i,-0.00076876-5.4054e-05i,-0.0005948-6.0734e-05i,3.2639e-05-0.0008689i,-6.1517e-05-0.0013219i,7.1812e-05-0.00076183i,-0.00069953-0.00012053i,-0.00053614+0.00039292i,0.00038148+0.00084904i,0.00014747+0.00031016i,7.2765e-05-2.697e-05i,7.4893e-05+0.00068995i
-0.0018392+8.2111e-05i,-0.0022173-0.00041244i,-0.0020571-0.00072651i,-0.00085485-0.00010516i,-0.00063335+0.00019459i,-0.00064143+0.00053031i,0.00052562+0.00058949i,0.00055194+0.00041957i,0.00010604+0.00059099i,0.00065598+0.00097923i,0.00096044+0.0012956i,0.0010717+0.00055791i,0.0013283-0.00022472i,0.0010886-0.00019231i,0.00089066+4.7791e-05i,0.00052058+0.00022977i,0.00031417+0.00038986i,0.0001644+0.0005229i,0.000139+0.00046563i,1.3342e-05+0.0009866i,-0.00025756+0.0010977i,-9.3799e-05+0.00055407i,0.00044704+0.00064056i
0.00045221-0.0031503i,-0.00071398-0.0032973i,-0.0015733-0.0030505i,-0.0011669-0.00087445i,-0.00024223+0.00090665i,-6.1625e-05+0.00030261i,-0.00029917-0.0006785i,-0.00012773-0.00078518i,0.00015476-0.00033166i,0.00036039+4.3949e-05i,0.00055111-0.00026405i,0.00049434-0.0010352i,0.00049796-0.00067317i,0.00045723-0.00034363i,3.7875e-05-0.00043237i,-0.00012896-0.00032251i,4.4709e-05-0.0010736i,-4.953e-05-0.001187i,-0.00012035-2.7902e-05i,7.9119e-05+0.00047736i,-0.00026467+0.00054278i,-0.0007767+0.00090356i,-0.00062941+0.00060484i
-0.0010494+0.0019459i,-0.0011712+0.0022886i,-0.0012398+0.0018131i,-0.00015818+0.001111i,0.00057238+0.00041853i,0.00012398-0.0010123i,-0.00048279-0.0017063i,-0.00073494-0.0010061i,0.00017456-0.00048712i,0.00099951-0.0004132i,0.00058884-0.00041936i,0.00010025-0.00020052i,0.00079499-5.5133e-06i,0.0012026+0.00013794i,0.0013151+0.00023706i,0.00066526+0.00047479i,0.00021175+0.00021276i,0.00075164-0.00084333i,0.00065524-0.0010472i,0.00018259-0.00042918i,-0.00033774+0.00032591i,3.3764e-06+0.00062779i,0.00019045-5.2622e-05i
-0.0018121-0.0017444i,-0.0018651-0.0022268i,-0.0011663-0.0013983i,-0.00020554-0.0002214i,0.00057+0.00022351i,0.0007985+0.00044313i,4.7056e-06-0.00026154i,-0.00013621-0.00073161i,0.00039522-0.00033587i,0.0010464-0.00020143i,0.00099803-0.00058688i,0.00032905-0.00024674i,0.00033778+3.5635e-06i,0.00089412-8.1067e-05i,0.00052985+0.00025194i,0.00023001+0.00048426i,0.00040205-0.00016506i,0.0006296-0.00070163i,0.0014196-0.00035436i,0.0013469-0.00022881i,0.00036736+4.8621e-05i,0.0001464+0.00094732i,-3.4897e-05+0.00082592i
0.0017151-0.0015218i,0.00077394-0.0014393i,-7.7296e-05-0.0018654i,-0.0010594-0.0031012i,-0.0011568-0.0024346i,-0.00037621-0.001544i,0.00042291-0.0010966i,0.00058511+9.4449e-05i,0.0011072+0.0011449i,0.00092892+0.00026744i,9.3939e-05+8.359e-06i,-0.00053576+0.0010015i,-0.0011497+0.0011445i,-0.0014513+0.00074951i,-0.0013107+0.00050523i,-0.0010702+0.00055951i,-0.00068099+0.00050782i,0.00026127+0.00010507i,-3.0975e-06-0.00030506i,-0.00052461-0.00019537i,-0.00010143+0.00015267i,-9.6635e-05+0.00029633i,-2.7172e-05+0.00064463i
-0.00023572-1.0408e-05i,0.00055306-0.0012365i,0.00056624-0.00088629i,0.00014185-0.00058634i,0.00015508+0.00013878i,-0.00012013+0.00099623i,-0.00022844+0.00063767i,-0.00024495+0.00013554i,0.0001868+0.00025086i,0.00046167-0.00012419i,0.00064146-0.00050333i,0.0010009+1.5332e-05i,0.00068588+0.00048824i,0.00016875-9.1405e-05i,0.00033689-0.00049993i,-0.00019442+0.00041478i,-0.00042076+0.00068742i,-0.00054922+0.00012556i,-0.0006998-0.000186i,-0.00052-0.00029487i,-0.00054849-0.00030338i,-0.00046337-0.00074217i,-0.00050159-0.00095027i
-0.0015995-0.001681i,-0.0015926-0.00045549i,-0.00095056-0.00048333i,0.00013086-0.00065702i,-0.00025204-0.00030855i,-0.00057602-0.00014978i,-0.00045445-0.00035133i,-0.00047349-0.00012717i,-0.00039525+0.00051728i,-0.001313+0.00016449i,-0.0011502+0.00029461i,0.00040726+0.00057207i,0.00048368+0.00035814i,0.00011281+0.00091834i,0.0002689+0.001081i,0.0006473+0.00078161i,0.00031803+0.00033441i,0.00078307-0.00031269i,0.0014966-0.001009i,0.00075593-0.00085114i,-0.00026246-0.00050508i,-0.00020717-0.00078108i,0.0002605-0.00044545i
-0.0013426-0.00074622i,-0.0020659-0.0026613i,-0.0024871-0.0025509i,-0.0016519-0.0003895i,-0.00081203+0.001034i,0.000504+0.00063772i,0.0017802+3.26e-05i,0.001048-0.00045476i,2.7144e-05+5.528e-05i,-4.0322e-05+0.00086191i,-0.00017351+0.0011841i,-0.00025983+0.00094225i,1.6632e-05+0.00033224i,0.000489+3.4925e-05i,0.0011982+0.00025447i,0.00085355+0.00029276i,6.8097e-05-0.0005387i,-3.5011e-06-0.00078718i,-0.0001779+0.00034761i,-0.00078872+0.00045859i,-0.00096986+0.00034315i,-0.00049507+0.0011988i,-2.1912e-05+0.0015066i
0.00014734+0.0007504i,0.00043978-0.00025752i,0.0001917-0.00028609i,-1.8441e-05-6.9613e-05i,-0.00072902+6.8014e-05i,-0.001226+5.1041e-05i,-0.0011521-0.00045876i,-0.00014143-0.00047702i,0.00098509-0.00027396i,0.00089011+0.00022933i,-1.0306e-05+0.00065322i,-0.00060078+0.00027488i,-0.00030824+0.00026422i,0.00016731+0.0010395i,5.0765e-05+0.00076301i,0.00037032-0.00061735i,0.00041689-0.00050446i,4.0315e-05+0.00036471i,0.00046077+0.00030845i,0.0006095-0.00015746i,0.00038016-0.00038337i,-0.00027888-0.00011798i,-0.00067785-0.00013556i
-0.00026781-0.0044978i,-0.0018807-0.0039075i,-0.0020854-0.0016616i,-0.00065373+0.00025869i,0.00038047+0.00061325i,0.00088404+0.00038579i,0.0011432+0.00016417i,0.00024035-0.00047692i,0.00034683+0.00018571i,0.00090568+0.00086674i,0.00044744+0.00017113i,0.00018977-2.2363e-05i,6.9781e-05+0.00024363i,0.00045021+0.00042201i,0.0010951+0.0004761i,0.00065642+0.00026067i,0.00010597+0.00049175i,0.00041055+0.00035003i,9.3754e-05-0.0003812i,-0.00092746-0.00038039i,-0.00076998-8.4122e-06i,-0.00073675+0.00019372i,-0.00088462+0.00016907i
-0.0010908-0.00066948i,-0.0018495-0.00094056i,-0.0013658-0.00075751i,-0.0011028-1.7786e-05i,-0.00062743+0.00035715i,-0.00015433-0.00059192i,-0.00057288-0.00071717i,-0.00043499-6.8716e-05i,0.00023622-1.7586e-05i,0.00014897+0.00025661i,0.00016339+0.0011683i,0.00031753+0.0010396i,0.0003192+0.0010716i,0.00036233+0.0011322i,0.0002519+0.00044286i,-0.00035352+0.00060574i,-0.0006597+0.00040212i,-0.00033598-0.00055681i,0.00020139-0.00079004i,0.00071267-0.000652i,0.00077143-0.00057627i,1.0959e-05-0.00038835i,-0.00050669-3.5051e-05i
0.0004388-0.0036638i,-0.00089243-0.0050061i,-0.0011803-0.0041677i,-0.0010193-0.0015617i,-0.001275+4.3445e-05i,-0.00095214+0.00067161i,-0.0002885+0.00076995i,-0.00016144+5.3016e-06i,-3.1671e-05-0.00072952i,-0.00029781-0.00034529i,-0.00090287-0.00011443i,-0.00016603+1.4469e-06i,0.00037614+0.00050879i,-0.00011801+0.00074641i,-0.00081519+0.00092554i,-0.0011761+0.0005108i,-0.0011855+0.00012283i,-0.00075779-4.6167e-05i,-0.00011985+9.2282e-05i,-0.00016662+0.0001497i,-0.00016169+1.9444e-05i,2.8245e-05-8.7682e-05i,0.00030426-0.00011954i
0.00060376-0.00026261i,0.00049637+0.00040431i,0.00057388+0.0011838i,0.00096531+0.0012987i,0.001406+0.0006794i,0.0014404+3.5992e-05i,0.0004207-0.00046482i,-0.00015801-0.00090317i,0.00017009-0.0010246i,-0.00020767-0.00025019i,-0.00019087+8.4643e-05i,0.00015113-0.00045389i,-0.00028765-0.00019193i,0.00024544+0.00043641i,0.00057567-0.00036795i,-1.0944e-05-0.00023659i,-0.00020075+0.00030893i,0.00017997-0.00016894i,0.00010476-0.00070664i,-0.0001323-0.00054667i,0.000323-0.00038723i,0.00055065-0.00023881i,0.00058776-0.00015719i
-0.0013402-0.0011971i,-0.0020975-0.001476i,-0.0015022-0.0010959i,-0.00070851-0.00037133i,-0.0011239-0.0003923i,-0.0015594+0.00018719i,-0.00095155+0.00082124i,-2.0145e-05+0.00074069i,0.0010452+8.9142e-05i,0.0013031+5.942e-05i,0.00022321+0.00039798i,-0.00049601+0.00058576i,-0.00047479+0.00013507i,-0.00038239-0.00019762i,1.8494e-05+3.289e-05i,0.00014449-0.00028918i,-0.00018567-0.00016041i,-0.0003463+0.00018044i,-0.00042431-0.00028594i,0.00018704-0.00067731i,0.00017235-4.5709e-06i,-0.00028925+0.00050399i,-0.00032877-3.7209e-05i
0.0027509-0.00025756i,0.0037888-0.0016721i,0.0034656-0.001865i,0.001253-0.0011681i,-0.00044223-0.00015069i,-0.0010365+0.00069853i,-0.00082515+0.00059067i,-0.000123+0.0012162i,0.00037076+0.001522i,0.00067425+0.00098981i,0.00064535-0.00012726i,0.00040581-0.00087854i,-9.2205e-05-0.00025218i,-0.001052+0.00023728i,-0.0010113+0.00024938i,-0.00038722+0.00034392i,7.8843e-06+0.00036959i,0.00062589+0.00019797i,6.101e-05-0.00014069i,-4.9904e-05-0.00031713i,0.0012127-0.00021312i,0.0012243-0.00020421i,0.00012669-0.0002297i
-0.0041936-0.00044715i,-0.0036022-0.00069628i,-0.0021054-0.00029788i,-0.0013931+8.3596e-07i,-0.00092513-0.00031532i,-0.0003608-0.00064665i,-0.00038672-0.00023581i,-0.00036704+2.2539e-05i,8.3958e-05-0.00045046i,0.00016692-0.00020737i,0.00062386+0.00031035i,0.00071213+2.0588e-05i,1.4074e-05-9.5038e-05i,-0.00053434+0.00013233i,-0.00037054+0.00048204i,-0.00021487+0.000384i,-0.00049346+0.00074586i,0.00022131+0.0010154i,0.00092235+0.00045504i,0.00059213+0.00010718i,0.00017535-0.00010038i,6.9945e-05-0.00024559i,-0.00032582-0.000147i
0.00096882-0.0026791i,0.0019278-0.0026929i,0.00032423-0.0016067i,-0.00066811+0.00015147i,-0.00027031+0.0012333i,-3.5517e-05+0.00045232i,2.152e-05-0.00040859i,0.00026699-0.00067966i,0.00032072-0.00033982i,0.00089091+0.00079392i,0.0007066+0.00080584i,0.00036281+0.0001395i,0.0008985+0.00033854i,0.00066079+0.00040172i,0.00030038-0.00012852i,0.0010794-0.00061528i,0.001199-0.00039151i,-0.00031056-9.8791e-05i,-0.00092728-8.4008e-05i,7.8663e-05-0.00095335i,0.00062338-0.0017211i,0.00039499-0.0010012i,0.00019052-0.0005307i
0.00017883+0.0010052i,-0.0012999+0.00075021i,-0.0013371-0.0014828i,-0.001537-0.0013619i,-0.0013605-0.00015591i,-0.0004445+0.00039308i,0.00070699+0.00076038i,0.0011302-1.4279e-05i,0.0010559-0.0006644i,0.00036096+0.00015605i,-0.000624+0.00095672i,-0.00064339+0.0013675i,-0.00066159+0.0016411i,-0.00055633+0.0014046i,-0.00053077+0.0014025i,-3.5796e-05+0.0010839i,0.00079212+0.00063858i,0.0012974+0.00033154i,0.0014654-0.00081151i,0.0011295-0.0014282i,-0.00013119-0.00090226i,-0.0010124+0.00032013i,-0.0011623+0.0011514i
-0.002757-0.0013962i,-0.0020131-0.0026037i,-0.0013426-0.0014734i,-0.00028029+3.6694e-05i,0.00033854-0.00018675i,0.00060407-0.00071391i,0.00090923-0.00046928i,0.000346+0.00011132i,-0.00040132+0.00070988i,0.00030129+0.00079046i,0.00073815-5.3703e-05i,0.00093039-4.0549e-05i,0.0003132+0.00055596i,-0.00028677+0.00013266i,6.3853e-05+0.00050249i,0.00068309+0.0013284i,0.00078325+0.0013796i,0.0001646+0.00087061i,-5.5016e-05+0.00086668i,-0.00011765+0.00095472i,0.00039423+0.00086238i,0.00034577+0.0007295i,0.00039719+0.00066831i
-0.0010907-0.0009873i,-0.00038788-0.0010948i,-0.000298-0.00033988i,-0.00031291-0.0008938i,0.00024612-0.0014617i,0.00048555-0.00068868i,0.00044145-0.0005459i,0.00040941-0.00044148i,0.00013204-0.0003804i,0.00024958-0.00062758i,0.00082127-0.00076555i,0.00032242-0.00022037i,-0.00031144-9.8564e-05i,-0.00019173-0.00093916i,6.3773e-06-0.00079264i,-5.3813e-05-8.4264e-05i,-0.00040933-0.00017974i,-0.00025776-0.0003845i,0.00015898-0.00023332i,-3.5134e-05-0.00075486i,-0.00023355-0.0018897i,-0.00022183-0.0019073i,0.00029224-0.00087011i
-0.001309-0.0014741i,-0.0016565-0.0013222i,-0.0013883-0.0012374i,-0.00056069-0.00033605i,0.00030179+0.00081015i,0.00063105+0.00069061i,0.00082128+0.00014829i,0.0010058+0.00054468i,0.0010997+0.00062666i,0.00052573+0.00031264i,0.00045117-0.00034024i,0.00076154-0.00035763i,0.00075502+0.0002004i,0.00062969+0.00064691i,1.6245e-05+0.00080901i,-5.818e-05+0.0004766i,0.00022778+0.00031782i,0.00038344+0.00040737i,9.7538e-05+0.00045772i,-0.00047213+0.00057839i,-0.0010087+0.00026383i,-0.0006191-0.00023349i,0.00024969+0.00038926i
0.00056754-0.00063603i,0.00099367-0.00055623i,8.0389e-05-0.00023165i,0.00023341-0.00059758i,0.0016708-0.00094957i,0.0016965-0.00080383i,-1.6902e-05-0.00057262i,-0.0013243-0.00044194i,-0.0013087-0.00015074i,-0.00082458+9.9361e-05i,-0.00017293+0.00023748i,0.00031592-0.00019481i,0.00041688-0.00065491i,0.00017398-0.00075812i,0.00048135-0.00034468i,0.0010345-0.00026771i,0.0012788-0.00056989i,0.0013651-0.00063185i,0.0013405+0.00017642i,0.0001725+0.00091755i,-0.00091456-0.00014133i,-0.00055502-0.00012734i,-0.00022886+0.00049965i
-0.0030307+0.0012842i,-0.0035992+0.0017076i,-0.0026618+0.0020275i,-0.0012183+0.0014383i,-0.00020809+0.00019082i,0.00050519-0.00045897i,0.00076871-4.2684e-05i,0.00056766+0.00037102i,0.00035817+0.00050363i,0.00019127+0.00059929i,-3.0212e-06+0.00076855i,-0.00013275+0.00052136i,-0.00013681+0.00055949i,-0.00016246-4.46e-05i,1.9025e-05-0.00073376i,0.0001764+0.00027333i,9.8962e-05+0.00010196i,0.00019957+0.00059779i,0.00049587+0.0015879i,0.0001306+0.0008406i,2.9333e-05-0.00020232i,0.00057111-0.00031826i,0.00075691-8.8466e-05i
0.00034743-0.002496i,0.00026074-0.0038901i,0.00089845-0.0033173i,0.00022526-0.0024715i,-0.00042143-0.0010317i,-7.1498e-05-2.6768e-05i,0.00029793+0.00042942i,0.00041176+0.0007354i,0.00074252+0.00047742i,0.0004699+0.00047996i,-0.0001715+0.00079048i,-0.00051627+0.00089201i,-0.00034282+0.00093513i,-0.00078029+0.00072971i,-0.0014259+0.00035359i,-0.0010283+4.4076e-06i,-0.00059788-0.00058583i,0.00016687-0.00059076i,-0.00010646-0.0002769i,-0.00038501-0.00076092i,0.00063268-0.00074859i,0.0012037+8.6382e-05i,0.0004267+0.00083029i
0.0031539-0.0031496i,0.0021083-0.0027066i,0.0015311-0.0023199i,0.00083441-0.0023864i,0.0002326-0.0014763i,-0.00013016-0.00026052i,0.00047517-0.00027112i,0.00082387-0.00017131i,0.00033792-0.0001008i,-0.00027624+5.1823e-05i,-0.00062567+7.9319e-05i,-0.00021666-0.0006624i,-0.00011417-0.00055644i,-0.00063444+0.001051i,-0.0011645+0.0012542i,-0.00068569+0.00029097i,0.00025869-8.912e-05i,0.00017364+1.5e-05i,0.00029372-0.00018376i,0.00022566+9.6895e-07i,-0.00063937+0.00034967i,-0.00099821+5.0001e-05i,-0.00059251-0.00079382i
-0.00017987-0.00037491i,-0.0016451-0.0014839i,-0.0028221-0.0013108i,-0.0024798-0.00042238i,-0.0019587-0.00047092i,-0.0013182-0.00027661i,2.7765e-05+6.4848e-05i,0.00029003+0.00044168i,-0.00039981-0.0002999i,-0.00045687-0.00086016i,-0.00041577+0.00063651i,1.629e-05+0.0016051i,0.0011029+0.0017458i,0.0010017+0.0010368i,-0.00036204+6.6148e-06i,-0.00081028-0.00012902i,-0.00034309+8.4885e-05i,-0.00017618-6.9254e-05i,-0.0002709-0.00034039i,-0.00020699-3.1546e-05i,-4.74e-05+0.00034357i,0.00035443-9.1657e-05i,0.00061594-0.00027665i
-0.0010849+0.00058077i,-0.0010052+5.328e-05i,-0.00028193-0.00033496i,0.00027368-5.025e-05i,-0.00019185-0.00032386i,-0.00077768-0.00053628i,-0.00061946-0.00025986i,-0.00072998+0.00030452i,-0.00055673+0.00035128i,-9.5594e-06+0.0011454i,8.8701e-06+0.0020744i,-0.00028066+0.001249i,-0.00045522+0.00076095i,-0.00081418+0.00075949i,-0.00083563+0.00024706i,-0.00035792-0.00013611i,-8.4552e-05-0.00013221i,0.00065413-0.00019347i,0.001269-0.0001639i,0.0013493+0.00020862i,0.00053323+0.00052575i,-0.00013344+0.00024691i,-6.8311e-05-1.3752e-05i
-0.00076699-0.00194i,-0.00068825-0.002843i,-0.00051753-0.0024554i,6.3973e-05-0.0014225i,0.00029945-0.00031968i,-4.6575e-06-6.8688e-06i,0.00054532-0.00010102i,0.00059379-0.00013977i,0.0011197-0.00025965i,0.001094-0.00021818i,-0.00019935-0.00013807i,-0.0014235+6.4122e-06i,-0.0011295+0.00064903i,-0.0001149+0.00080484i,0.00012851+1.9713e-05i,-0.00018995-0.00027658i,-0.00037535-0.00028443i,-0.00056867+0.00014369i,-0.00042483+0.00022498i,0.00025351-9.9772e-05i,0.00050493+0.00013436i,0.00011732+0.00023346i,-0.00065188-0.00048114i
0.00030819+0.0020553i,-0.00028219+0.00023608i,-0.000418-0.0013615i,-0.00019326-0.0014938i,0.00010379-0.00057934i,0.00033298+0.00016002i,-0.00015858+0.00032499i,-0.00024323-0.00013686i,0.00045958-9.4112e-05i,0.00044768+0.00011358i,-2.3692e-05-0.00063243i,-0.00058849-0.00044276i,-0.0010222+0.00013481i,-0.00052237+0.00020049i,0.00014633+0.00024685i,5.0605e-05+0.00028422i,-0.00047576+0.00046292i,-0.00065945+0.00036495i,-0.00074491+0.00043814i,-9.3851e-05+0.00049466i,0.00048386+0.00044939i,0.00043705+0.00062821i,4.6849e-05+0.00098001i
-0.0017028-0.0016027i,-0.0016865-0.00043591i,-0.00066228+0.0010145i,-0.00018588+0.00053583i,-0.00022671+0.00046556i,9.4547e-05+0.00024831i,-5.2376e-05-0.00032875i,0.00023561-0.00026906i,-3.2308e-05-0.00011952i,-0.00013504-5.2529e-05i,0.00017923-4.2365e-05i,-0.00044045+4.1598e-05i,-0.00075788-0.0004207i,-0.00038116-0.0012659i,0.00011593-0.00078029i,0.00066917-0.00017847i,0.00082523+0.00030986i,0.00068839+0.00047609i,0.00037122+0.00056245i,-0.00071634+0.00054573i,-0.0011617-0.00031274i,-0.00092597-0.00087213i,-0.00028883-0.00091518i
0.0001941-0.0022601i,-3.912e-05-0.0029567i,0.00043146-0.0019995i,0.00047418-0.0014792i,3.8779e-05-0.0010253i,-0.00033723-0.0005275i,-0.00040789+0.00026114i,-0.00022334+0.00085308i,0.00023737+0.00019973i,0.00047341+9.4187e-05i,0.00013701-2.7345e-05i,-0.0010898-4.0705e-05i,-0.0011233+0.00017102i,0.00013542+0.00020633i,-0.00015458+0.00032896i,-0.00029213+2.5347e-05i,-5.7272e-05-0.00027044i,-0.00043657+0.00018788i,0.00016721+0.00024228i,0.00044497+0.00016579i,0.00030778-3.8339e-05i,-0.000257-5.7032e-06i,-0.0010877+0.00028842i
-0.00030851+0.0010284i,-0.00077089-0.00071443i,-0.0016511-0.00045496i,-0.0016023+1.3959e-05i,-0.0007791+0.000343i,-0.00025009+0.00035776i,-0.00014695-0.00027165i,-0.00043173-5.9721e-06i,-0.00071351+0.00024775i,-0.00077896+8.4279e-06i,-0.00034309-1.2401e-05i,-0.0001139-0.00030495i,-0.00060739-0.00062754i,-0.00017086-0.0005194i,-4.1349e-07-0.00059279i,-1.1448e-05-3.6296e-05i,0.00038315+0.00036863i,0.00069339-0.00027476i,0.00053991-0.00040891i,0.00071217-0.0002472i,0.00097914-0.00025154i,0.00094432-0.00043077i,0.001034-0.00039214i
0.0003013-0.00058979i,0.00060767-0.0025102i,0.00061913-0.0022489i,-7.0042e-05-0.0010924i,-0.00014176-0.00059415i,0.00033055-6.2254e-05i,0.00017266+0.00050049i,0.00038771+0.00040003i,0.00039042+0.00024574i,-0.00053579-4.5502e-06i,-0.00074746-3.1878e-05i,-0.00030834+0.00041236i,-0.00017094+0.00073884i,-0.0010869+0.00046438i,-0.001257+0.00019718i,-5.0953e-05+0.00023777i,0.00040264+0.00024653i,-0.00045776-0.00024683i,-0.00049644-0.00041724i,-2.5728e-05+0.00010509i,0.00052143-3.7684e-05i,0.00077967-0.00046379i,0.00083166-0.00061154i
-0.00034316-0.0024721i,-0.00028538-0.0026573i,-1.4251e-05-0.0025279i,0.00011575-0.001155i,-0.00020589+5.7456e-05i,-7.7785e-05-5.0447e-05i,0.00069543-0.00019801i,0.0006837+4.8731e-05i,0.00012772+1.5219e-05i,-0.00056194-0.00015197i,-0.00015986+0.00029581i,0.00028434+0.00084279i,-0.00059451+0.0010097i,-0.0014586+0.00087736i,-0.0018074+0.00057659i,-0.0015761+3.0229e-05i,-0.00091724+1.4079e-06i,-0.00018323-0.00014189i,0.00013776-0.00050036i,0.00078272-0.0006664i,0.00038325-2.7808e-05i,0.00034836+0.0002971i,0.00050863-3.761e-05i
-0.00039193-0.00086064i,-0.00024772-0.0022219i,-0.00076861-0.0019461i,-0.00077984-0.00039872i,-0.00090618+0.00030553i,-0.00027224+0.00059289i,-0.00014383+0.00096005i,0.00011852+0.0007894i,0.00093556+0.00054461i,0.00040554+0.00030621i,8.3136e-05+0.00028769i,0.00013052+0.00035493i,0.00023662+0.0002772i,0.00054709+2.6035e-05i,0.00010194-7.435e-05i,-1.4249e-06-0.00020983i,0.00067884-0.00035423i,0.00066285+0.00014484i,0.0008957+0.00030095i,0.00087516+0.00020469i,0.00034793+0.00030321i,0.00030405-0.00019634i,2.9695e-05-0.00062764i
-0.00070433+0.002386i,0.00062412+0.003188i,0.0020118+0.0030075i,0.0021644+0.0017507i,0.0018992+0.00081961i,0.00020203-0.00027263i,-0.0012734-1.8111e-05i,-0.00082533+0.0010017i,0.00020399+0.00118i,0.00076971+0.00079197i,0.00033973+0.00041379i,-5.3354e-05-0.000675i,0.0002155-0.0017684i,-0.00012052-0.0015626i,-0.00057603-0.00090621i,-0.00077359-0.00013476i,-0.00070714-0.00034248i,0.00017038-0.00057966i,0.00011711-0.00046016i,-0.0003817-0.00017958i,-0.00050655+0.00025697i,-0.00013182+0.0002467i,0.00058956+9.5237e-05i
