0.0012128+2.7112e-05i,0.001505-0.0021649i,-0.00010503-0.0047163i,-0.0032033-0.0041654i,-0.0047831-0.0012653i,-0.0038578+0.00089298i,-0.00074207+0.0020518i,0.00089843+0.0017107i,0.00066241+0.00025459i,0.0010138-0.00081157i,0.0010066-0.00080944i,-7.791e-05-0.00074645i,-0.00050607-0.0003936i,6.315e-05-0.00012214i,8.8428e-05-0.00013964i,-0.00026252+7.0437e-05i,-6.3202e-05+0.00031123i,-0.00028169+0.00073295i,7.0862e-05+0.00060945i,5.3863e-06+3.6182e-05i,-0.00018159-0.00035039i,0.00066076-0.00082851i,0.00060167-0.00027014i
0.00033299+0.00070708i,0.00035548+0.00019131i,0.0012511+0.00018043i,0.00040927-0.00040824i,-0.00088177-0.0014876i,-0.00078815-0.0021416i,-8.7966e-05-0.001466i,-0.00023548-0.00044604i,-0.00012287+0.0001437i,-5.6131e-05+0.0007667i,-0.00057643+0.00082757i,-0.0012988+9.739e-05i,-0.0015857-0.00041338i,-0.00078817-0.00037949i,-0.00057957-0.00041501i,-0.00031734-0.00020951i,-0.00014771+0.00018107i,-0.00036353-5.9253e-05i,-0.00080114-0.00081183i,-0.0007937-0.00064555i,-0.00029355-0.00017437i,-7.0058e-05+3.5904e-05i,0.00027587+0.00012715i
0.0022482+0.00046692i,0.0018668+7.666e-05i,0.00023088-0.00093589i,-0.0010747-0.0017839i,-0.00094411-0.0023557i,-0.00067629-0.0024561i,-2.6609e-05-0.0014634i,-6.2962e-05-0.000197i,-0.00051401-9.2391e-05i,-0.0007524-0.00029137i,-0.00059623-0.00015164i,5.4193e-06-0.00017238i,-7.1003e-05+6.7707e-05i,-0.00077441+0.0002864i,-0.00072403+0.00048416i,-0.0010491+0.00057242i,-0.001044+0.00026021i,-0.0005714-0.00019814i,-0.00011189+0.00011762i,0.00011349+0.0002936i,0.00054472+0.00017732i,0.00069561+0.0003602i,0.00092102+0.00050344i
-0.0008765-0.00092701i,-0.0016792-0.0012716i,-0.0020832-0.0008496i,-0.0026912-0.00054923i,-0.0024978-0.00029026i,-0.001168+0.00022565i,-0.00075536-4.0726e-05i,-0.00087656+0.00018168i,-0.00014641+0.00058226i,-0.00024787+0.00062996i,-0.0011667+4.5834e-06i,-0.00019211-0.00060237i,0.0011125+0.00029584i,0.0010955+0.00084115i,0.00084089-0.00018395i,0.00046931-0.00069201i,6.8238e-05-0.00039372i,0.00012622-0.00044509i,0.00053228-0.001309i,0.00051502-0.0011438i,0.00026229-0.00033865i,6.4278e-05-0.00022416i,-0.00051426-7.0054e-05i
0.002295-0.00023313i,0.0023405-0.0022791i,0.0015477-0.0027597i,7.3294e-05-0.0017294i,-8.9497e-05-0.00070469i,5.4889e-05-0.00024397i,-0.00041684+0.00052849i,-0.00055683+0.0013157i,-6.4854e-05+0.0017747i,0.0004667+0.00117i,0.0006885+0.00039604i,-0.00022994-1.3351e-05i,-0.0010845+0.00044945i,-0.00022849+0.0010656i,-4.7627e-05+0.0010325i,-0.00071036+0.00084265i,-0.0003544+0.00046946i,0.00060933+3.6134e-05i,0.00057238-0.00041383i,0.00040621-0.00027137i,0.00035598+0.00050487i,-0.00056905+0.00062606i,-0.00062933-0.00020275i
0.0010529-0.00069001i,0.00067582-0.0009894i,-0.0010843-0.0021587i,-0.0021691-0.0030385i,-0.0030246-0.0027347i,-0.0021216-0.00077652i,-0.00065102+0.00011157i,-0.00011987-0.00010903i,-2.9631e-05-7.2893e-05i,-0.00031034+0.00019651i,-0.00057825+0.00061296i,-0.00043338+0.00046573i,-0.00040116+0.00074114i,-1.0801e-05+0.00079486i,8.5411e-05+0.00069771i,-0.00028045+0.00050403i,1.6952e-06+0.00060096i,0.00019831+0.00082763i,0.00012755+0.00049493i,-2.9683e-05+0.00078977i,-0.00028406+0.00048944i,-0.00020232-0.00013508i,-0.00058626+0.0001729i
0.00095627+0.00096474i,0.00069871-0.00030662i,-0.00014241-0.0017095i,-0.00060868-0.0011788i,-0.0011017-0.00027202i,-0.0010077-0.0005245i,-0.00047383-0.00080935i,-0.0006676-0.00042367i,-0.000404+0.00049704i,-0.00051216+0.00082116i,-0.00068368+0.00011473i,-0.00024842-0.00028493i,-0.00030462-0.00027194i,0.000192-0.00049481i,0.00024975-0.00040925i,-0.0003081-6.4205e-05i,8.2079e-05+0.0002758i,0.00030966+7.9862e-05i,0.00013805+3.1695e-05i,-0.00037009+0.00014338i,0.00017299-0.00023224i,0.00072944+0.00011861i,-7.9191e-05+0.00073517i
0.0024455+0.0021492i,0.0032449-0.00018123i,0.0026516-0.0017028i,3.8573e-05-0.0020463i,-0.0010696-0.0021891i,-0.0013741-0.0021178i,-0.0015256-0.0013137i,-0.00081248-0.00080789i,2.2366e-06-0.00044012i,0.00028363-0.00080396i,0.00018488-0.0013332i,-0.00027641-0.0012906i,-0.0010478-0.0007196i,-0.0018432-0.00051019i,-0.0021461-0.00016349i,-0.0013187+0.00028487i,-0.00073234-0.00042697i,-0.00027399-0.00097592i,0.00036743-0.00056198i,0.0007629+9.4037e-05i,0.00073433+0.0001972i,0.00063108-0.00026601i,0.00022133-0.0010532i
0.00033029+0.0018277i,0.00019315+0.0010915i,-0.00097818+4.6912e-05i,-0.0019799-0.00044766i,-0.0014939-0.0013161i,-0.0006957-0.0011566i,-0.00027788+0.00010474i,-0.00024042+0.00078251i,-8.4511e-05+1.1824e-05i,-0.0003693+4.9658e-05i,-0.00061762+0.00026252i,-0.0011616+7.6521e-05i,-0.0011075+0.00060944i,-0.00029028+0.00080165i,-4.9803e-05+0.00037555i,0.00014755+0.00039511i,0.00085794+0.00049998i,0.00071151+0.00049395i,0.00043377+0.00084067i,0.00064787+0.00061066i,0.00045565+0.00027377i,-2.2549e-05+6.9907e-07i,-0.00051085-0.00044704i
0.0019133-0.00091752i,0.0022444-0.0025387i,0.0011281-0.0038862i,-0.00094249-0.0027067i,-0.0021062-0.0011593i,-0.0010251-0.0011998i,0.00031947-0.00027517i,6.6985e-05+0.00010084i,-0.00012338-0.00081314i,-0.00024017-0.00063053i,-0.00035605-0.00022486i,-0.00011767-0.0003572i,-0.00026614+9.1136e-05i,-0.00031163+0.00051803i,7.3265e-05+0.00016804i,-0.00013452+0.00092291i,-0.00049587+0.0013567i,-0.00037599+0.00088995i,0.0005109+0.0006194i,0.0010777-0.00020334i,0.00053262-0.00061109i,0.00097012-0.0001882i,0.0018626-0.00023751i
0.0010724-0.0017406i,0.0012574-0.0012028i,0.00070347-0.00065382i,-0.00044858-0.00056778i,-0.0005063-0.0016303i,0.00016002-0.0018652i,5.4431e-05-0.0011017i,-0.00042492-0.0006823i,-0.0007346+0.00027149i,-0.00059406+0.00097563i,0.00040873+0.00049586i,0.00086193-0.00041177i,-5.6696e-06-0.00050253i,-0.00013393-2.9392e-05i,0.00016397+2.4763e-05i,0.00022049+0.00013933i,5.1157e-05+2.0717e-05i,0.00014074+9.2202e-05i,0.00036871+0.0002118i,6.5341e-05-0.00010226i,-0.00053936-0.00013789i,-0.0006164-4.629e-05i,0.00029612-0.00018382i
-0.0026263+0.0012778i,-0.0030438+0.001257i,-0.003261+0.00070835i,-0.0034063+0.00032567i,-0.002932+0.00058761i,-0.0013272+0.00040715i,0.00052661-0.00030233i,0.00039219-0.00067106i,-0.0002356-0.00023469i,0.00010814+0.0011619i,0.00023862+0.0015858i,0.00070224+0.00028521i,0.0013947-0.001223i,0.0010476-0.0015612i,0.00025012-0.0013717i,1.5388e-05-0.00078605i,-0.00027822+0.00031374i,-0.00017734-4.5277e-05i,-0.0001587-0.00024082i,-0.00071514-0.00015425i,-0.0011864-0.00016819i,-0.00083411+0.0005261i,-0.00027957+0.00092435i
0.00046292-0.00016408i,-0.00021448-0.0010566i,-0.00089533-0.001791i,-0.001144-0.0014502i,-0.00077757-0.00058387i,-5.727e-05-0.00055321i,-2.6792e-05-0.00082514i,-0.00068124-0.00070455i,-0.00073997-8.5454e-05i,-0.00035183+5.8551e-05i,-0.00014285-0.00028524i,-4.7909e-05-0.00024999i,-0.00019184-0.00084519i,-0.00058485-0.0014346i,-0.00077329-0.00071485i,-0.00037725-8.1807e-05i,-0.00072665-0.00019592i,-0.0017321-0.00040905i,-0.0014987-0.00035723i,-0.00040882-0.0001688i,0.00014653-0.00035747i,0.00042481-0.00050974i,0.00060175-0.00077922i
-0.0019017+0.0016978i,-0.00046961+0.00057812i,0.00018958+4.6717e-05i,-0.00064115-0.00034839i,-0.00048787-0.00060559i,0.00015716-0.0011632i,0.00031706-0.0018188i,0.00051494-0.0015467i,0.00025745-0.00077763i,0.00043077-0.00028452i,0.00071688-0.00030592i,0.00056884-0.00022486i,0.00026961-0.00012725i,-0.00021115-0.00096953i,-0.00063231-0.00071356i,-0.0006853-0.00014776i,-0.0011376-0.00064459i,-0.0012538-0.00014326i,-0.00045771+0.00059965i,-0.00011188+0.00039333i,-0.00054104+0.00025729i,-0.0009744-0.00030691i,-0.00038711-0.00031925i
-0.0016748+0.0010968i,-0.0018144-0.00081283i,-0.0020645-0.001893i,-0.0020138-0.0020519i,-0.00077342-0.0016279i,0.00032574-0.0017151i,0.00028313-0.0016665i,-0.00022104-0.00058965i,-0.00018494-0.00020245i,-0.00010932-0.00044178i,-0.00048759-0.00022729i,4.2779e-05-0.00025614i,2.8932e-06-0.00026339i,-0.00086061+6.9574e-05i,-0.0013488+0.00034553i,-0.00093151+0.00042363i,-0.00032333+0.00074923i,-7.8335e-05+0.00061748i,-0.00013606-0.00034392i,6.8402e-06-0.00050173i,-4.0957e-05-0.00021099i,-0.00050299-0.00036753i,-0.00069058-0.00038428i
4.5731e-05-0.0024837i,0.00048802-0.0034173i,-0.00040613-0.0031221i,-0.0017872-0.0013031i,-0.0021784-0.00043715i,-0.0011266-0.001138i,-0.00081405-0.0012856i,-0.00069076-0.00041345i,-0.00037326+0.00072707i,-0.00047162+0.0010189i,-0.00031667+0.0011899i,-0.00047573+0.00099823i,-0.00049091-0.00040454i,-0.00038613-0.00025949i,-0.00023525+0.00043437i,0.0001286-0.00022501i,0.00030812-0.00074302i,4.1144e-05-0.00041008i,-0.00015378+3.9092e-05i,-0.00046526-0.00011759i,-0.00070146+2.5697e-06i,-0.00034358+1.8079e-05i,-0.00060739+9.1257e-05i
-0.0011739-0.0013097i,-0.00031508-0.0022123i,-0.0012381-0.0017099i,-0.0029022-0.00083417i,-0.0024461-0.00088365i,-0.00062679-0.0013518i,0.00011499-0.00053651i,-0.00040987+1.8708e-05i,-4.6329e-05+0.00041857i,0.0010825+0.00083046i,0.0015685+0.00064562i,0.0005542-0.00032305i,0.0003034-0.0012399i,0.00034441-0.0011281i,0.00029909-0.00096311i,0.00059149-0.00052987i,-0.0001569-8.1858e-05i,-0.00047842-3.6994e-05i,-0.00063197+4.1998e-05i,-0.00072395-0.00010915i,-0.00030385-1.4196e-05i,-0.00027071-0.0001391i,-0.0003393+2.5803e-05i
-0.0008835-0.0051981i,-0.0029739-0.0038646i,-0.0041795-0.0020678i,-0.0042824-0.00056964i,-0.0025045+0.00042143i,0.00037332+0.00044827i,0.0015499-9.1195e-05i,0.00057123-0.00080824i,-0.00049584-0.0016513i,-0.001293-0.0013987i,-0.0015745-0.00020439i,-0.00094997-0.0001508i,-0.00052202-0.00010334i,-0.00038928+5.6065e-05i,-0.00016013+0.00026387i,0.00041153+0.00044268i,0.00065346+0.00041863i,4.4422e-05-0.0005648i,9.2377e-05-0.001589i,0.00024497-0.0017992i,-0.00060064-0.0014825i,-0.0010636-0.0007221i,-0.00020896+0.00021297i
0.0012829+0.0020826i,0.00086948+0.0016105i,8.3416e-05+0.0010962i,-0.00084422+0.00038305i,-0.00073396+0.00010741i,0.000445-8.4623e-05i,0.00078729-0.000555i,0.00048076+0.00030971i,0.00033591+0.0011927i,-0.00039197+0.00082702i,-0.00040365-9.1489e-05i,1.6805e-05-0.0011128i,-9.0329e-06-0.00046451i,-0.0001509+7.8414e-05i,-0.00020194-0.00096486i,8.9667e-05-0.0013696i,-3.4907e-05-0.00069489i,-0.00014793-0.00054565i,-5.6661e-05-0.00051088i,-0.00016013-0.00036047i,7.5232e-05-0.00016585i,0.0007444-0.0001015i,0.00011644+5.4842e-05i
-0.001724+0.00096209i,-0.0014549+0.00051501i,-0.0012602-0.0011614i,-0.0012179-0.0015853i,-0.00010171-0.00078971i,0.001037-0.0011303i,0.00094862-0.0019041i,0.00027255-0.0015179i,-0.00077183+0.00029897i,-0.0017685+0.0011769i,-0.0013587+0.0003158i,-0.00023811-0.00028089i,0.00019235-0.00064813i,0.00037395-0.00042588i,0.00015703-0.00023818i,0.0001284-0.00016503i,0.00013293+0.00036997i,0.00071125+0.00033952i,0.00055585+0.00033925i,0.00040186+2.0198e-05i,0.00064439-0.00023851i,-8.8876e-05+1.5802e-05i,-0.00029928+0.00028691i
-0.00015981-0.00039643i,-0.001291-0.00011438i,-0.0016472-0.00057637i,-0.0021819-0.001595i,-0.00173-0.0011682i,-0.00079294+9.2207e-05i,-0.00054336+0.00011846i,-0.00031001-0.00055384i,-0.00048957-0.0009282i,-0.00073881-0.00034558i,-0.00083863+0.00010116i,-0.00055512+0.00045613i,-0.00072643+0.0005858i,-0.0010479+0.00040211i,-0.00097587+1.0032e-05i,-0.00071048-0.00051343i,0.00017566-0.00028818i,9.4523e-05-0.00028229i,-0.00078722-0.00015477i,-0.00045621+0.00057393i,0.00043268+0.0012484i,0.00053935+0.00068175i,0.00027122+0.00018848i
0.0025613-0.0038779i,0.001886-0.0030705i,0.00072669-0.0033179i,-0.00064169-0.003731i,-0.0015587-0.0027789i,-0.0010731-0.00086796i,-0.0002701+0.00015816i,2.5436e-05+9.555e-05i,-0.00041186+0.00058358i,-0.0015088+0.0010494i,-0.0011495+0.001161i,-0.00054015+0.0010294i,-0.00010999+0.0011652i,-0.00025555+0.00083237i,-0.00038475+0.00070535i,-7.4949e-05+0.00088398i,0.00035279+0.00049002i,0.00036286-0.00048239i,0.00049162-0.00033537i,0.00010374+0.00012815i,-0.00028569-0.00015023i,0.00015268-1.3607e-05i,0.00039465+0.00049912i
0.0015083-0.0016185i,0.00047532-0.0033377i,-0.001355-0.0035746i,-0.0024077-0.0025261i,-0.0019447-0.0011261i,-0.00098882+0.00028142i,-0.00014824+0.00068313i,2.5337e-05+0.00044815i,-0.0004984+0.00040094i,-0.00028544+0.00051134i,0.00025581+0.00082326i,0.00099397+0.001016i,0.00059234+0.0016297i,-0.00055788+0.0011694i,0.00025433+0.00055016i,0.0014683+0.00088609i,0.0013871+0.00040303i,0.0012532+0.00030971i,0.0011605+0.00035091i,0.00038556+8.392e-05i,5.9992e-06+0.00016847i,-0.00010754+0.00020048i,-0.00033623-8.4184e-05i
-0.00078499-9.4592e-05i,-0.0011582-0.0010942i,-0.002812-0.0011024i,-0.0028607-0.0012982i,-0.00080968-0.0013107i,0.00020931-0.0012903i,-0.00024084-0.0013966i,-0.0010012-0.00079847i,-0.00033606+9.0389e-05i,0.00054131-5.2376e-05i,0.00053146-0.00046268i,6.6916e-05+0.00021038i,-0.00011835+0.00017703i,-0.00038754-0.0002772i,-0.00056109-7.7591e-05i,2.3702e-05-0.00028366i,-0.00042387-0.0006008i,-0.00075907-0.00031144i,-0.00082281-0.00060635i,-0.00019957-0.00070122i,-0.0003255-0.00012707i,-0.00099892+0.00028704i,-0.00047127+8.0807e-05i
-0.00012355+0.0017367i,0.00076591+0.0019021i,0.0016919+0.0010957i,0.0017669-0.00027138i,0.00052481-7.4874e-05i,-0.00030559-8.0224e-05i,-0.00068478-0.00061178i,-0.00037894-0.00035877i,0.00014964+0.00014561i,-0.0002914-5.1809e-05i,-8.8055e-05+6.0221e-05i,-0.00015109+7.1665e-05i,-0.00058831-0.0004224i,-0.00048114-0.00052386i,-0.00024515-0.00067433i,-0.00025571-0.0003173i,-7.8512e-05+0.0001315i,-0.00062514+0.00043732i,-0.001105+0.00081571i,-0.00029876+0.00076443i,-0.00012138+0.00014334i,-0.00073481-0.00039319i,-0.00037666-0.00033926i
-6.8422e-05-0.0011721i,-0.0018079-0.0016309i,-0.0031834-0.0012859i,-0.0030776-0.0011235i,-0.0015155-0.0012086i,6.707e-05-0.0013968i,0.00033219-0.0010618i,-0.00032041-0.00050666i,-0.00077403-4.1027e-05i,-0.00087137+4.3602e-05i,-0.00077872-0.00055837i,-0.00020054-0.00064969i,-0.00031769-0.00051479i,9.0182e-05-0.00056617i,0.00099135-3.6446e-05i,0.00031821+0.00037488i,-0.00059403+0.00025969i,-0.00029724+0.00038496i,-0.00025333+0.00055129i,-0.00015095+0.00019774i,0.00020163+0.00010772i,0.00020511+0.00016974i,-0.00029079-0.00020587i
0.0021419+0.00020259i,0.0018419-0.00058147i,0.0015121-0.001667i,0.00088337-0.0019818i,0.00051002-0.0024756i,0.0009596-0.0029691i,0.00074582-0.0024342i,0.00023157-0.0015394i,0.00050505-0.00048837i,-4.5996e-05-4.0037e-05i,-0.00051354-0.00074129i,0.00042224-0.00074233i,0.0012906+4.4833e-06i,-1.1378e-05+0.00024375i,-0.0015614+0.00026759i,-0.0011004+0.00075248i,-0.00043501+0.0010253i,-0.0001476+0.0010621i,0.0004029+0.00063698i,0.00023766+0.00044126i,-0.00016994+0.00048109i,-0.00026654+0.00042698i,-0.0004629+0.00046705i
-5.6983e-05+0.0023716i,0.00024655+0.0016793i,-0.00023198+0.00037061i,-0.001452-0.00099848i,-0.00074551-0.0010895i,0.00065095-0.00051917i,0.0009746-0.0009171i,0.00098066-0.000914i,0.00079432-0.00022423i,0.00055427-6.7594e-05i,0.00010284+2.5412e-05i,9.2232e-05+0.00021072i,0.00018811+0.0006692i,-0.0013284+0.00040627i,-0.0017562-0.00036774i,-0.0012568-0.000247i,-0.00076657-0.0001697i,-0.0002678-0.00049106i,9.697e-05-0.00035013i,0.00015369-0.00047797i,-0.00044924-0.00072612i,-0.00031632-0.00091149i,0.00069217-8.8593e-05i
-0.001526-0.0014139i,-0.0024224-0.0012832i,-0.0029103-0.00068555i,-0.0026485-0.00059058i,-0.0018835+4.3545e-05i,-0.00051072+0.00050189i,0.00028858+0.00043443i,-0.00096489+0.00086389i,-0.0012337+0.00038985i,-0.00039383-0.00084673i,0.00074233-0.0010116i,0.00046407+8.3612e-05i,-0.0012768+0.00026049i,-0.0015069-0.00021536i,-0.0013881-0.00030604i,-0.0016929-0.00075117i,-0.0014245-0.00059576i,-0.00075109-6.6564e-05i,-0.00050033-0.00050219i,-0.00020639+6.8591e-05i,-0.00041803+0.00094937i,-0.0001897+0.0004702i,-2.1136e-05-0.00031728i
0.00099901-0.0020137i,0.00060693-0.0029877i,2.2345e-05-0.0019436i,-0.0011208-0.0010271i,-0.002105-0.00042367i,-0.0016391+0.00048843i,-0.00011366+0.00097811i,0.00061467+0.00054768i,0.00062124+0.00013833i,0.00047994+0.0001341i,-0.00043379+0.00024277i,-0.00057071-0.00013544i,-0.00020452-0.00015945i,6.5916e-05+0.00052334i,-6.3862e-05+0.00057576i,-0.0004239+0.00020464i,-3.8251e-05-0.00016128i,-0.0003816-0.00054057i,-0.00042756+0.00017628i,-7.6959e-05+0.00060798i,-0.00049894+0.00054353i,-0.00084662+0.00023087i,-0.00045772-0.0006065i
0.00012447+0.0016067i,-0.00015995+0.00055201i,-0.0009905-0.0002334i,-0.0013485-0.00086363i,-0.0016282-0.0018815i,-0.0020864-0.0021491i,-0.0013174-0.001465i,0.00029024-0.00082971i,0.001141-0.00046645i,0.00032567-0.00032968i,-0.0003203-0.00028084i,-9.3675e-05+0.00047018i,-0.00060468+0.001442i,-0.00079501+0.0010589i,-0.00048468-5.2455e-05i,-0.0004804+0.00020027i,6.48e-05+0.00057807i,0.00043509+3.6639e-05i,-0.00027882-9.5242e-05i,-0.00037823-0.00043187i,-0.00047757-0.00039304i,-0.0011287-0.0002227i,-0.0012779-0.00080786i
0.00045154+0.0021566i,0.0004527+0.0015067i,0.00037561+0.0011489i,0.00041912+0.0010374i,0.0012975-0.00029156i,0.00086601-0.0022235i,-5.6142e-05-0.0023683i,-0.00029034-0.00095395i,-0.00021133+0.00019415i,0.00046771+0.00050976i,0.0002099+0.00056307i,-0.00012729-0.00010476i,0.00025596-0.00047496i,-0.00034128-0.00013347i,-0.00097001+9.5394e-06i,-1.5342e-05-7.3213e-05i,0.00042145+1.8686e-05i,-0.0003771+0.00090073i,-0.0010032+0.0016251i,-0.00078468+0.0010125i,1.4322e-05+0.00026411i,0.00017142+3.6614e-05i,-0.00013395-0.00040397i
0.0010084+0.0031037i,0.0029562+0.0025421i,0.0043883+0.0015622i,0.003288-0.00018143i,0.0013113-0.0016423i,-0.00013593-0.0014397i,-7.6875e-05-0.00021738i,-0.00010215+0.00087297i,0.00045092+0.00054642i,0.0013351-0.00055381i,0.00041518-0.0013021i,-0.00062282-0.0015367i,-0.0012068-0.0010841i,-0.0026058-0.00039108i,-0.0033444-0.0007818i,-0.001867-0.00069657i,-0.00023245-0.00068961i,-0.00019012-0.0012967i,-0.00083992-0.00067248i,-0.0006249+0.00058941i,0.00050935+0.00054878i,0.0010323-0.0003029i,0.00058444-0.00024327i
-0.0040734-0.0085546i,-0.0080274-0.0074631i,-0.01289-0.0046103i,-0.011668-0.0013087i,-0.0067692+0.0020819i,-0.00085217+0.0030534i,0.0017127+0.00043494i,0.00062165-0.0017799i,-0.0012424-0.0018773i,-0.0016925+0.00071669i,-0.00075604+0.002875i,0.00056897+0.0017819i,0.0026199+0.00044378i,0.0045562+0.00049358i,0.0048314+0.0010506i,0.0031344+0.00086975i,0.0005689-0.0001246i,-4.5244e-05-0.00025319i,0.0015318-0.0011417i,0.0014865-0.0015439i,-0.00066118-0.0011417i,-0.001648-0.00055458i,-0.00065709+0.0004889i
-0.00056509-0.00029692i,1.7784e-05-0.001213i,-0.0010961-0.0015699i,-0.0024519-0.0010703i,-0.0018071-0.00056344i,-0.00031854+0.00020456i,0.0003133+4.9499e-05i,0.00028398-0.00018073i,-0.00020524+0.0003869i,-0.00016629+0.00042796i,-0.00014947+0.00015433i,0.00035677+2.0166e-08i,0.00096905-1.8896e-05i,0.001032-0.00071323i,0.00063485-0.00075728i,-0.00060655+0.00015722i,-0.00041555+0.00030431i,0.00067132-0.00027326i,-4.9346e-05-0.00076612i,-0.0003821-0.0010816i,0.00034615-0.0008272i,0.00094323-0.00083287i,0.0010333-0.00062157i
-0.001686-0.0008987i,-0.0017589-0.0017999i,-0.0023255-0.0026122i,-0.0022648-0.0023917i,-0.00031662-0.00074664i,0.00092212-0.00029146i,0.00023906-0.00094681i,-0.00023731-0.001089i,0.00011536-0.00045806i,0.00026074-0.00010592i,-0.00050318-0.0002478i,-0.00077045-0.00038584i,-0.00080582-5.0081e-05i,-0.00020163+0.00025878i,0.00039271+0.00038967i,-0.00014648+0.00059949i,-0.0002057+0.00052214i,0.00041271+0.00043273i,6.8173e-05+0.0004229i,-0.00087007+2.0701e-05i,-0.00054007-0.00069897i,0.00034386-0.0012803i,0.00022063-0.00089233i
-0.0012812-0.0017519i,-0.0025539-0.0014258i,-0.0028601-0.0010909i,-0.0025622-0.00049018i,-0.0019093+4.5882e-05i,1.624e-05-0.00026652i,0.0013079-0.00095234i,0.0014363-0.00044068i,0.00023718+0.0005374i,-0.001145+0.00090959i,-0.00063453+0.0011099i,-2.731e-05+0.00083476i,0.00056427-6.0109e-05i,0.0011156-5.3321e-05i,0.00034574+6.1366e-05i,-5.671e-05+5.1153e-05i,1.6975e-05+0.00073548i,0.00012076+0.00058125i,-4.5445e-05-0.00026585i,0.00019328-0.00056757i,0.00020896-6.084e-05i,-2.962e-05-1.6615e-05i,0.00053656-0.00081188i
0.0029412-4.1885e-05i,0.003529-0.0028112i,0.002087-0.0044765i,-0.00049117-0.0028565i,-0.00075768-0.00086465i,0.0011967-0.0011161i,0.0019297-0.0022273i,0.0009217-0.0017583i,0.00030988-0.00085316i,0.00072203-0.00020744i,-0.00019714+0.00066269i,-0.00086301+0.0011427i,-0.00016035+0.0003601i,1.4902e-05-0.00047944i,-0.00013007+0.00028453i,-7.1249e-05+0.00084926i,0.00022185+0.00075532i,-0.00018013+0.00071514i,-0.00053818+0.0001026i,-9.6665e-05-0.00038962i,0.0003293-0.0003285i,0.00011963-0.00020218i,0.00038058-0.00025844i
-0.00069789+0.00094665i,-0.001106+0.00097304i,-0.0019239+7.4007e-05i,-0.0025883-0.000875i,-0.0027186-0.0015144i,-0.0020167-0.0017328i,-0.00083877-0.0011417i,-0.0003233-0.00030341i,-0.0011974+7.9942e-06i,-0.0018095-0.00029021i,-0.0013419-0.00044063i,-0.00060846-0.00016734i,-0.00085763+0.00042664i,-0.0011996+0.00024543i,-0.00072284+0.00067418i,-0.0010434+0.001099i,-0.0012535+0.00054053i,-0.00083459+0.00055824i,0.0003356+0.00046838i,0.00049733-0.00035086i,-0.00070087-0.00029899i,-0.00082206+0.00033064i,-0.00049237+0.00012362i
0.00066893-0.00058568i,0.0014981-0.0027256i,0.0018506-0.0036544i,5.4415e-05-0.0039235i,-0.0017127-0.0039525i,-0.0010511-0.0025516i,-3.0875e-05-0.0013826i,0.00047037-0.0012687i,0.00041108-0.00054999i,0.00018292+2.0177e-05i,-0.00014029+0.00020718i,-0.00072769-0.00013834i,-0.0005664+1.2172e-05i,-0.00012031+0.00079537i,-0.00019243+0.0007375i,-0.0006325+0.00033812i,-0.0004302+0.0008789i,-0.00040656+0.0010004i,-3.5211e-05+0.00097694i,0.00015529+0.0010199i,-0.00012465+0.0003724i,-0.0001178-0.00021109i,5.3225e-06-0.00026519i
0.0019305+0.00089326i,0.0013471-0.00086192i,-0.0013498-0.0018874i,-0.0029471-0.0015208i,-0.0012516+8.7617e-05i,0.0003165+2.1337e-05i,0.0005982-0.00088343i,0.000297-0.00084213i,-0.0004326-0.0001454i,-0.00051828+0.00093184i,-0.00038789+0.00086577i,-0.00068757+0.00025303i,-0.0006719+0.00042594i,-0.00019133+0.00098192i,1.8872e-05+0.0011869i,-4.2476e-06+0.0008744i,-0.00096409+0.00050842i,-0.0014053+0.00022277i,-0.00037133+5.8622e-05i,0.000283-0.00014172i,0.00030331-0.00048091i,-0.00049964-0.00030875i,-0.00024176+0.00021359i
-0.0016885+0.001196i,-0.00046689-0.00012392i,-0.00058922-0.0012482i,-0.001016-0.00042581i,-0.0011132+0.00094846i,-0.00025445+0.00050169i,-4.3596e-05+0.0001163i,-0.00097081+0.00012216i,-0.0010421+0.00038048i,-0.0002538+0.00025136i,-0.00027923-0.00031868i,-0.00038032-0.00036552i,0.00023309+2.4164e-05i,4.2759e-05+0.00059648i,-0.0007817+0.00048295i,-0.00059413-9.838e-05i,-0.00047773-0.00019979i,-0.00067148+4.7635e-05i,-0.00057424+0.00051897i,-0.00035521+0.00053068i,-0.00033067+0.00067619i,-3.4979e-05+0.00087949i,0.00056887+0.00099923i
0.00049889-0.0028268i,-0.00093725-0.0037769i,-0.0022744-0.0027656i,-0.0038359-0.00077699i,-0.0032571-0.00037549i,-0.0013556-0.00016886i,-0.00031409+0.00011415i,-0.00013002-0.00034793i,0.00034629-0.00099012i,0.00049525-0.0011177i,-0.00041272-0.00031725i,-0.00079757+0.00043887i,-0.00060389+0.0007439i,-0.00037479+0.00038879i,-0.00066086+0.000259i,-0.0011889+0.00069177i,-0.00069361+0.00068281i,-0.00040637+0.00021296i,-0.00095361-0.00010577i,-0.0011658-0.00022981i,-0.00081973-0.00023151i,-0.00078651+3.4747e-05i,-0.00075084-0.00010382i
