-0.0043132+0.00047388i,-0.0024472-0.00048445i,-0.00091166+0.00013872i,-0.00075572+0.0011582i,-3.4865e-05+0.0020717i,0.0010293+0.002043i,0.00028855+0.0017157i,-0.00020374+0.0012116i,0.000276+0.00085042i,0.00075456+0.00089981i,0.00061468+0.00026032i,0.00035059-0.0010108i,0.00040666-0.0011967i,0.00041839-0.0010226i,0.00023285-0.00061554i,-0.00038108-4.6142e-05i,-0.00040554+0.00032051i,6.3628e-05+0.00019485i,0.00026066-0.00076101i,-9.7218e-05-0.0011584i,-0.00021918-0.00031545i,0.00047413-0.00034193i,0.0012539-5.4187e-05i
-0.00026731-0.0031325i,-0.00021341-0.0025841i,-0.0018742-0.0014013i,-0.0024175-3.7372e-06i,-0.00096755+0.0013558i,-0.00012597+0.0018543i,-0.00016432+0.00058797i,6.2159e-05-5.5318e-06i,-0.00023177+0.00029435i,-0.00054166+0.00018602i,-0.00046362+0.00044579i,8.1247e-05+0.00059353i,0.00078705+0.00061479i,0.0014221+0.0004364i,0.0010717-7.3441e-05i,-5.2395e-07+1.6684e-05i,-0.00029864+4.1351e-05i,4.6747e-05-0.00030061i,0.00021202-0.00028132i,0.00061599+9.7809e-05i,0.00080059-0.00011383i,0.00055112-0.00023989i,0.00035492+0.00048982i
-0.0006043+0.00048406i,-0.00051415+0.0013638i,-0.00036055+0.0015822i,-0.00025517+0.0012432i,0.00038258+0.00074093i,0.00064761+0.00060586i,-4.9406e-05+0.00010169i,-7.013e-05-0.00046502i,-0.00056771-7.7783e-05i,-0.00057581+0.00027845i,-1.7838e-06+5.3217e-07i,3.8993e-05-0.00070755i,0.00069238-0.00041325i,0.0010076+0.00061393i,0.0005244+0.00070576i,-0.00015711+0.00047076i,-0.00040559+0.00057351i,0.00032153+0.00037351i,0.0002654+6.4847e-05i,0.000388-7.4053e-05i,0.00066403+0.00011737i,0.00023251+0.00031959i,3.9769e-05-0.00026784i
0.00012697-0.002994i,-0.0014424-0.0026142i,-0.0032412-0.0013607i,-0.0024724-3.0871e-05i,-0.0006321+0.0006509i,4.4528e-05+0.0009313i,-9.4907e-05+0.0010248i,-0.00017569+0.0012229i,-0.000273+0.0012094i,-0.00063042+0.00071231i,-0.00015864+0.00057217i,0.00033785+0.00058791i,0.0006148+0.00011238i,0.00076356-8.2367e-05i,0.00028063-0.00035705i,-3.3127e-05-0.00027349i,-4.8427e-05-0.0002874i,7.1243e-05-0.00089286i,-0.00018865-0.00064763i,-0.00034678+0.0003402i,-0.00021889-2.1102e-06i,-0.00050009-0.00044202i,-0.00056129+0.00036618i
0.0012132-0.0018672i,0.00017755-0.0021948i,-0.00041431-0.0017877i,-0.00055298-0.0015996i,-0.00027723-0.00056997i,9.5296e-05+0.00058556i,-1.576e-05+0.00043074i,-4.2503e-05+6.1368e-05i,-0.00023243+0.00039776i,-0.00072094+0.00059022i,-2.3614e-05+0.00062323i,0.00018411+0.0011044i,0.00019758+0.00081576i,0.00019903+0.00016462i,0.00015658+2.7142e-05i,0.00040187+0.00018723i,-8.3713e-05+8.1282e-05i,-7.4795e-05-2.4896e-05i,0.00062311+0.00031461i,4.1232e-05+0.00026306i,-0.00039294-0.00037648i,-0.00052944-0.00018991i,-0.00036044+0.00033113i
-0.00092762-0.00053355i,-0.00067419-0.00082911i,-0.00081681-0.00092434i,-0.00070311+0.00078236i,-0.00036561+0.0021634i,0.00065354+0.002027i,0.00045488+0.001559i,-0.00022777+0.00038042i,0.00010231+0.00011016i,-5.2679e-05+0.0010991i,-0.00029206+0.0022249i,0.00023138+0.0022666i,0.0013284+0.0010366i,0.0016664+0.00060659i,0.00097849+0.00040884i,-0.00016573-0.00044043i,-0.0008336-0.0011313i,-0.0006928-0.00066127i,-0.00010917-0.00051066i,0.00040086-0.00093605i,-0.0003382-0.00083278i,-0.0003243-0.00014361i,0.00077022+0.00036019i
-0.0020979+0.00095791i,-0.001693+0.0016647i,-0.0021925+0.0026993i,-0.0020077+0.0029112i,-0.00016295+0.0022165i,0.00097149+0.00037945i,0.00034353-0.00017181i,-0.00012449+0.00014639i,-7.4814e-05-0.0001717i,-3.1871e-05+8.4161e-05i,0.00012025+0.00066781i,0.00015629+0.0007402i,0.00058001+0.0008482i,0.00057337+0.00035848i,0.00087719-8.1705e-05i,0.0010132-6.1003e-06i,0.00060446-0.00027961i,0.00019442-0.00026446i,0.00049749-0.00011938i,0.0011265-0.00046748i,0.00083193-0.00031818i,0.00032053+0.00028394i,0.00013208+0.00026992i
-0.00057274+0.00073779i,0.00036954+0.0004331i,0.00072193+0.00077348i,0.00081737+0.0015027i,0.0014362+0.0016292i,0.0013014+0.00048828i,0.00037502-0.00066055i,-0.00014166-0.00045702i,9.3917e-05-0.00013899i,0.00023426-2.4695e-05i,-0.00064915-1.9961e-05i,-0.00094376-9.8481e-05i,-0.00022686+0.00018498i,0.00047758-0.0001116i,0.00042078-0.00039223i,0.00025873-0.00010219i,0.00021036-1.207e-05i,-0.00051807-0.00022571i,-0.0010047-0.00024308i,-0.00020938+0.00043652i,0.00051535+0.00023755i,0.00017904-0.00096039i,-0.00011195-0.0014953i
0.0012765-0.0019631i,0.00081072-0.0025044i,-0.00047957-0.0034671i,-0.00087537-0.0024311i,-0.00041119-0.00065657i,4.4383e-05+0.00019624i,0.00064672-2.0281e-05i,0.00017248-0.00025796i,-0.00028284+0.00031224i,-0.00025351+0.000909i,-0.00089189+0.0009521i,-0.00099174+0.0012144i,-0.00032145+0.0010446i,4.9185e-05+0.00044072i,-1.5892e-05+0.00043982i,-0.00011833+0.0010076i,-0.00026869+0.00084754i,0.00033565-3.2673e-06i,0.0003085-0.00025985i,-0.00027507-0.00018802i,0.00014733-0.0002179i,7.4626e-05-8.2503e-05i,0.00026801+0.00060995i
0.00052538+0.00043257i,0.00067368+0.00075969i,0.0020397+0.00029126i,0.0011711+0.00087475i,-0.00065955+0.00050327i,-0.00031034-0.00057844i,-8.3674e-05-0.00097171i,7.5019e-05-0.00063446i,0.00017875+0.00013852i,-0.00047892-0.00011485i,-0.00036091-0.00018811i,5.6192e-05-9.7835e-06i,4.0748e-06-0.00029644i,-5.9751e-05+0.00014097i,0.0004478+0.00072942i,0.00034652+0.00020536i,-0.00013396-0.00045191i,0.00010665-0.00055081i,0.00053685-0.00092381i,0.00056242-0.00060096i,0.00031503-8.5107e-05i,0.00048939-0.00017046i,0.00036539+0.00018433i
2.2403e-05-0.00045823i,7.8419e-05+0.00074386i,6.9288e-05+0.0015141i,-0.00072743+0.0024027i,-0.0010782+0.0028022i,8.4965e-05+0.0015572i,0.00057564-0.0001541i,0.0006074-0.00065411i,0.00069922-0.00046997i,-0.00026035-0.00029787i,-0.00066506+0.00030949i,-0.00042939+0.0008279i,-0.00046052+0.00073997i,0.00013601+0.00078315i,0.0001872+0.00059313i,-0.00020942+0.00028125i,-0.00023563+0.0002827i,-0.0003967-0.00014125i,-6.2054e-05-0.00056777i,0.00032025-0.00057099i,0.00013425-0.00040364i,-0.00045455-0.00027411i,-0.00022474-0.00046762i
0.00063437-0.0012127i,0.00014103-0.0025766i,-0.00035787-0.0022086i,-0.00082154-0.00028683i,-0.0012599+0.0012515i,-0.0010865+0.0013822i,-0.00064107+0.000343i,-0.00016989-0.00029553i,0.0006085-0.00043255i,0.00043054-0.0005191i,0.0001024-0.00025536i,0.00019984-0.00013544i,0.00013191-4.4593e-05i,-0.00014724+0.00048342i,-0.00073483+0.00092492i,-0.0014768+0.00098497i,-0.001276+0.0011847i,-0.00077863-0.00016086i,-4.9382e-05-0.0012252i,-0.00010498-0.00075842i,-0.00077255-0.00062105i,-0.00010554-0.00041879i,0.0008868+0.00010477i
0.0011068+0.00069873i,0.00080029+0.00045645i,0.0010485-0.00087599i,0.00093451-0.0012897i,0.00074386-0.0012011i,0.00079-0.00061838i,-5.1135e-05-6.6117e-05i,-0.00065982-0.00051489i,-0.0005981-0.00053693i,-0.0010773-7.5957e-06i,-0.00093825+9.5264e-05i,-0.00014426+4.6661e-05i,0.00019064+0.00052739i,0.00037499+0.00065944i,0.00087822+0.00051732i,0.00052037+0.00087015i,1.2781e-05+0.00098459i,0.00012651+0.00047012i,2.7106e-06+0.00057823i,0.00019248+0.0013199i,0.00057107+0.001437i,8.8703e-05+0.00042229i,9.9561e-06+8.7278e-05i
2.0156e-05-0.0015211i,0.0001002-0.0010239i,-0.0010454-0.00017235i,-0.0012657+0.0010963i,-0.00076345+0.0016671i,-0.00073384+0.00094321i,-0.00072776+0.00087986i,-0.00068169+0.0017099i,-0.00047435+0.0010673i,-0.00045084+0.00041526i,-7.7386e-05+0.0012763i,0.0007002+0.0011036i,0.0011763+0.00046333i,0.0010639+0.00019648i,5.9479e-05-0.00052281i,-0.00035269-0.00048393i,0.00016289-0.00014522i,0.00087881-0.00010262i,0.00097851-0.00014891i,0.00057836-6.219e-05i,0.00038828-0.0001557i,-6.9729e-05-7.3224e-05i,-0.00010462-2.0248e-05i
-0.0012265-0.00036594i,-0.0010289+0.0011869i,-0.00068413+0.0019429i,-0.00044206+0.0019599i,-6.3317e-05+0.0016136i,-0.00046595+0.0004468i,-0.0010213-0.00038156i,-0.00086691+0.00020951i,0.0002165+0.00023178i,0.00038144-4.6494e-05i,-0.00037371-0.00011269i,-0.00062309-0.00059786i,-0.00030029-0.00034893i,0.00024857-0.00014399i,0.00061634-8.4308e-05i,5.9359e-05-0.00019357i,-0.00040721-0.00031494i,0.00028569-0.00056757i,2.1554e-05-0.000617i,-0.00055833+5.3381e-05i,-0.00034271+0.00038625i,-9.2845e-05+0.00048759i,5.3747e-05+0.00060685i
0.00063004-0.0012187i,0.0007856-0.00025612i,-0.00027491+0.0004632i,-0.00072313+0.00054757i,-0.0001709+0.00078099i,0.00041762+0.00093168i,-3.2635e-05+0.00063104i,-8.2654e-05+0.0003268i,6.9727e-05+4.1678e-05i,-0.00095868-0.00018659i,-0.00070825+0.00059408i,0.00022219+0.00074935i,-2.4454e-05+7.411e-05i,0.00027179+0.00034945i,0.0010472+0.00043751i,0.00013941+8.6e-05i,-0.00079341+0.00029138i,0.00021614+0.00062658i,-0.00028037+0.00076152i,-0.0014449+1.6053e-05i,-0.0011563-0.00066749i,-0.00035567-0.00069614i,0.00015524-0.00025042i
0.00090901-9.0647e-05i,0.0007505-0.0014505i,-0.00041295-0.0018961i,-0.00095443-0.0012397i,-0.00019464+0.00010824i,0.00025365+3.5102e-06i,0.00046054-0.00063164i,0.00075983-0.0004733i,0.00025152-0.001084i,1.2384e-06-0.0011567i,0.00045336-0.00056575i,0.00023678-0.00046238i,0.00043436+0.00020134i,0.00064258+0.0003763i,0.00012343-6.7158e-05i,5.0761e-06+6.5771e-05i,0.00060468+2.0631e-05i,0.00056929+0.000599i,-0.00033761+5.9166e-05i,3.0491e-05-0.0015862i,0.0003456-0.0011707i,0.0003806+7.883e-05i,0.001325-0.00049667i
-0.00072604-0.00077893i,-0.00062729+1.1405e-05i,-8.143e-05+0.0010456i,4.73e-05+0.0017171i,0.00029993+0.001674i,0.00052772+0.00079884i,5.288e-06+9.9601e-05i,-0.00039294-0.00019615i,-0.00023154-0.0001833i,0.00040611+0.00031228i,0.00046677-5.0628e-05i,9.257e-05-0.00031808i,-8.9287e-05+0.00026157i,0.0006595+0.00032855i,0.0018859+0.00026894i,0.0015039+0.00026i,0.0007358-0.00013696i,4.1074e-05-0.00016682i,-0.00019976-0.00010477i,-0.00016211-6.0719e-05i,2.2623e-05-0.00046729i,0.0002364-0.00053714i,0.00011993-0.00033875i
8.6485e-05+0.00085099i,-0.0001261+0.0010696i,0.00019277+0.001501i,0.0012549+0.0025339i,0.0012641+0.0029907i,0.0012022+0.0017265i,0.00054051+0.00034996i,-0.00015489+3.5959e-05i,-0.00021903+0.00020317i,0.00019485-5.8084e-05i,0.00071236-0.00011926i,0.00055992-8.3558e-05i,0.00010684-0.00023348i,-0.00056332+0.00020493i,-0.00048623+0.00016447i,0.00011212-0.00055256i,0.00039351-0.00093911i,0.0002249-0.00086334i,-0.00013225-0.00088213i,-0.00016122-0.00014366i,-0.00086078+0.00021482i,-0.0012358-5.2719e-05i,-0.00080146+0.00033996i
0.00099121+0.00010829i,0.00034422-0.00013204i,0.00097553+0.0006533i,0.0011458+0.00085121i,0.00051013+0.00055963i,0.00016566+0.00062199i,-0.00011208+7.8011e-05i,0.00026019+0.00027955i,0.0008617+0.00086407i,0.0011181+8.9186e-05i,0.00084769-8.2209e-06i,0.00062444+0.00029189i,0.00064596+5.3015e-05i,-0.00062982-0.00093234i,-0.0015319-0.0013108i,-0.00095305-0.00047149i,0.00026384+0.00045314i,-4.1501e-05+0.00077858i,-0.00076358+0.00020621i,-0.00047444+0.00014283i,0.00014571-0.00024488i,0.00072831-0.00031983i,0.0007277+0.00021908i
0.00057752-0.0015124i,0.0015863-0.0022851i,0.0018704-0.0023025i,0.00020457-0.0014819i,-0.0004193-0.0001306i,0.00055059-3.4874e-05i,0.00039222-0.0011348i,-0.00020011-0.00029806i,0.0002586+0.00075001i,0.00021317+0.00074461i,-0.00066283+0.00039276i,-0.00051375-0.00020511i,0.00088901-0.00070135i,0.00079888-0.00040287i,-0.00014713+0.00072898i,0.00028708+0.0010794i,0.00013404+0.00018621i,-0.00045973-0.00086524i,-0.00024493-0.00096286i,-4.1035e-05-0.00054668i,7.2958e-05+0.0002389i,0.00030719+0.00064902i,0.00057531+0.00094452i
-0.0013026+0.0014834i,-0.0014541+0.0021604i,-0.0020977+0.0025384i,-0.0010837+0.0023967i,0.00065178+0.0023766i,0.0010982+0.0011072i,0.00013925-0.00050065i,-0.00053689-0.00019305i,-5.6688e-05+0.00098561i,0.00020825+0.00073098i,-0.0001855-0.00015596i,-0.00053502-0.00053362i,-0.00032113-0.00013936i,7.789e-05+0.00026198i,0.00042414+0.00014723i,-7.2881e-05+0.00030039i,-2.2285e-05+0.00085911i,-4.8959e-05+0.00057872i,0.00024489-0.00076108i,0.00052236-0.0010434i,0.00017474-0.00079208i,8.2076e-05-0.00030162i,-0.00013198-0.00044224i
-0.00073508-0.00081015i,0.00032832+0.00033904i,0.00064328+0.0017282i,0.00056599+0.0023207i,0.0013872+0.0021027i,0.0014591+0.0013802i,0.00035676+0.00070175i,-0.00034231+0.00079781i,-0.00019576+0.00012663i,3.9108e-05-0.00017445i,-0.00020234-9.2667e-05i,0.00013655-0.00037106i,-0.00022935-0.00026283i,-0.00070479+0.00010638i,-0.00018778+0.00031924i,0.00058288-0.00073468i,0.0012963-0.0014318i,0.0010985-0.0012536i,0.00039532-0.0015012i,-4.3612e-05-0.0010918i,-0.00033094-0.0008507i,-5.9948e-05-3.3273e-05i,0.00047082+0.00073023i
0.0015734-0.00039233i,0.0026848-0.0014244i,0.0026787-0.0024286i,0.0013844-0.0026926i,0.00071759-0.0022681i,0.00033564-0.001948i,0.00033492-0.0010901i,0.0005815-0.00024163i,0.0011117+0.00015021i,0.0010898+0.00023441i,0.00094326+7.5107e-05i,0.00087666-0.00077566i,0.0006636-0.0012382i,0.00014428-0.00033118i,-0.00061714+0.00058141i,-0.0007074+0.0004709i,-0.00085184-0.00062319i,-0.00081791-0.00090192i,-0.00020462-0.00056787i,0.00041188-0.00055207i,0.00035808-0.00024414i,-3.1549e-05-3.5254e-05i,0.00015103-0.00031225i
0.00036323-0.00048458i,-0.0011497+0.00027891i,-0.00049523-0.00012806i,-0.00060545-0.00061909i,-0.00098747-0.00082691i,-0.00049201-0.00096675i,-0.00016714-0.001166i,-0.00033157-0.000284i,-0.00038308+0.00097048i,-0.00030997+0.0012168i,0.0001667+0.00061553i,0.00053344-0.00010109i,0.0009089-0.00026799i,0.0015689+0.00036771i,0.0019585+0.00063951i,0.0016363+0.00018777i,0.00072182-0.00020763i,0.00034565-0.00032137i,7.0684e-05-0.00032772i,0.00059794-0.00063837i,0.00060339-0.00054018i,-0.00051196-9.2277e-05i,-0.00011483+0.00017303i
-0.00040108-0.00055774i,-0.00045476-0.0020242i,-0.0020005-0.0023595i,-0.0021611-0.0010356i,-0.001395+0.0002237i,-0.00036523+0.00040699i,0.00013121-9.9065e-05i,0.000145-0.00012921i,0.00010378+0.00045823i,0.00055497+0.00024632i,0.00039141+0.00031919i,-0.00018897+0.00064162i,-0.00027784+0.00012479i,-5.9351e-05-7.0622e-05i,0.000423+0.00029422i,-2.1719e-05+0.00046854i,-0.00076339+0.00051318i,-0.0012074-6.344e-05i,-0.00020298-0.00021388i,0.00026364-0.00046749i,-7.1509e-05-0.00093308i,0.00068995-0.00017934i,0.00088544+0.00039437i
0.0028261+0.0035222i,0.0036655+0.0035969i,0.0036673+0.0032861i,0.0020748+0.0020971i,0.0011308+0.0013994i,0.00044452+0.00042772i,-0.0003347-0.00079774i,-0.00037877-0.00030087i,-0.00011901+5.3128e-05i,0.00031388-0.0004323i,0.00046919-0.00097057i,0.00017099-0.0013519i,6.3175e-05-0.00044041i,4.4381e-05+0.00011245i,-0.0012291-0.00014575i,-0.0016446-0.00018696i,-0.00065971-9.5849e-05i,-8.8143e-05+0.00042899i,-2.9716e-05+0.00028218i,5.9335e-05+0.00030736i,-2.013e-05+3.2261e-05i,0.0002543-0.00053424i,0.00075256+0.00011601i
0.00080273+0.00010095i,0.00033879+0.00013413i,0.00057068+0.0015393i,0.0014668+0.0017466i,0.0024677+0.00073746i,0.0011762-0.00042784i,-0.00033962-0.00065748i,-0.00083279-0.00025012i,-0.0007954-0.00062476i,-0.00054376-0.00087729i,-0.00056826-0.00032673i,-0.00029213-0.00043746i,-8.2484e-05-0.00017588i,-0.00030647+0.0002364i,-0.00031671+0.0001674i,-0.00020905+2.7307e-05i,0.00051073+0.00058154i,9.3556e-05+0.0010123i,-0.00098192+0.00045479i,-0.00070659+0.00077581i,-0.0006275+0.0012588i,-0.00018346+0.00048058i,0.00041677+0.00034884i
0.0013774+0.00065158i,0.002779+0.00063899i,0.002755+0.0012521i,0.0013368+0.0009245i,-1.1696e-05-0.0010168i,-0.0010699-0.0020546i,-0.00043752-0.0016332i,0.00038293-0.00032582i,0.00049419+0.00026268i,0.0013781-0.0007367i,0.0013673-0.00067221i,4.9402e-05-0.00031608i,-0.0007633-0.0006387i,-0.0010278-0.00047773i,-0.00099903+0.00015612i,-0.00025125+0.00051011i,4.1112e-05+0.0002398i,-0.00037072+4.0021e-05i,-0.00023298+0.00036944i,0.00052297+0.00033528i,0.00081971+0.00025456i,0.00022079+0.00015111i,-0.00028134-0.0002131i
-0.00037232+0.001611i,0.00050826+0.00084178i,0.0010483-0.00050574i,0.00059896-0.00096911i,-0.00034054+0.0010074i,-0.0002144+0.0012729i,-0.00019136-0.00065841i,-0.00028828-0.0010936i,-6.8852e-05-0.00042555i,0.00028604-0.00029987i,0.00054358-0.00088755i,0.00094827-0.00071502i,0.00097734-0.00033409i,0.00091571-0.00025185i,0.00053684-0.00026965i,-0.00050149-0.00021777i,-0.00085804-0.00022008i,-0.000801-0.00019341i,-0.00069717-0.00024098i,-0.00074536-0.00067912i,1.4467e-08-0.0004335i,0.00085447+0.00065396i,0.00080423+0.00066488i
0.00020294-0.00040663i,0.0010531+0.00058894i,0.00081707+0.0012296i,0.0014701+0.0011078i,0.0015461+0.0015455i,0.00029219+0.0018391i,-0.00045284+0.001074i,-0.000565+0.00066391i,0.00015344+0.00024808i,0.00044079+0.00026682i,0.00086988+0.0002137i,0.0014706+0.00011061i,0.0013101+0.00018309i,0.00069266-0.00034839i,0.00038186-0.00048281i,0.00071571-0.00042898i,0.00069017-0.00036955i,2.3503e-05-0.00052092i,-0.00026688-9.618e-05i,-6.1821e-05+0.00036614i,0.00024471+0.00012055i,0.00050631+0.0003846i,0.00028908+0.00051624i
-0.00066679+0.00050456i,-0.00059303+0.00042345i,-0.00038267+0.00064928i,0.00039873+0.00071984i,0.0017854-0.00044814i,0.0016884-0.0013165i,0.00048715-9.9635e-05i,-0.00030853+0.00053551i,0.00029155+0.0004296i,0.00087916+0.00047497i,0.00027151+0.00011318i,0.00046924-0.00039872i,0.00030946-0.00019614i,-0.00059787+0.00028912i,-0.00055206+0.00018403i,-0.00011544+0.00052129i,0.00040837+0.00069636i,0.00047015+0.00058553i,0.00017416+0.00047568i,-0.00012755+0.00031869i,-0.00056668+0.00025811i,-0.00061905+4.7059e-05i,-4.7806e-05+0.00023461i
-0.001045-0.0011433i,-0.0014729-0.0011023i,-0.0016172-0.0023648i,-0.0016585-0.0017596i,-0.00087727+6.5658e-05i,0.0003831+0.00040343i,0.00014901-0.00021679i,-0.00074422-0.00087677i,-0.00034002-0.001069i,0.00022962-0.00071203i,-0.00033752+0.00018766i,-0.00093481+0.00077495i,-0.0010465+0.00038722i,-0.00091649-8.0645e-05i,-0.00026143+0.00029125i,1.1563e-05+0.0007885i,-0.00028025+0.00046142i,0.00016245-0.00011241i,0.00061328-0.00050431i,-0.00016427-0.00089603i,-0.00010879-0.0001376i,0.00072997+0.00088405i,0.00059074-0.00017704i
0.0015241+0.00094968i,0.0026789+0.00074982i,0.0022277+0.00062614i,0.001113+0.00083277i,-0.00056174+0.00095129i,-0.001481+6.8348e-05i,-0.0013718-0.00052525i,-0.00080481-0.00012245i,0.00039032+0.00028458i,0.00032808-0.00017907i,-0.00014355-0.00010543i,0.00022292+0.00084318i,-0.00046708+0.0010111i,-0.00053773+0.00038671i,0.00017961-0.00018148i,0.00022828+0.00084777i,-1.8787e-05+0.0013177i,-0.00042497+9.9507e-05i,0.00053728-0.00037444i,0.0010221-0.00024268i,0.00025792-0.00032847i,-4.2491e-05+0.00029712i,-0.0001891+0.00068035i
-0.00021334+0.00061743i,-0.0013341+0.0030434i,-0.00084944+0.0028006i,0.00029851+0.0016311i,0.00096078+0.00052041i,0.00084307-0.00026936i,8.3812e-05-0.00033104i,-0.00054236-0.00033251i,-0.00076014+1.9554e-05i,-0.00069689+9.3229e-05i,-0.00066868-4.3727e-05i,0.00041762+0.00010941i,0.001293-0.00011123i,0.0010093-5.1053e-05i,9.7207e-05+0.00012812i,-0.00012345-0.00013448i,0.00031619-0.00045143i,-0.00011243-0.00040293i,-0.00039913-0.00032207i,0.00018943+1.9127e-05i,0.00025097+0.00016054i,-6.9424e-05+3.7783e-05i,0.00040139-0.00068058i
-0.0028112-0.001513i,-0.0033597-0.002362i,-0.0030536-0.0011098i,-0.0012185+0.0011687i,0.00025286+0.002154i,0.00054174+0.0014927i,-0.00044167+0.00071311i,-0.00074058+0.00094904i,0.0002527+0.0008215i,0.0012504+0.00031024i,0.00099958+0.00035827i,0.00046565+5.077e-05i,0.00010185-0.0001247i,-0.00015386+0.00025643i,-0.00058887-0.00022865i,-0.00061042-0.00016738i,-0.00018156+0.00063791i,-0.00024754+0.00038058i,-0.00061083+0.00044762i,-0.00098442+0.00090482i,-0.00035121+0.00061992i,-0.00015673+0.00024864i,-0.00084426+0.00075061i
-0.0014344+0.00042195i,-0.0012412+0.00097848i,-0.0014066+0.0018939i,-0.0010791+0.0033008i,-0.00064458+0.0034989i,0.0011286+0.0016593i,0.0016611-0.00038574i,0.00090339-0.00029411i,0.00054834+0.00032068i,0.00028316+5.1013e-05i,0.00036615-0.00072964i,-2.0172e-05-0.00090159i,-0.00077064-0.0010577i,-0.00030734-0.0017398i,0.00063441-0.0010302i,0.00065981-0.00011679i,9.7922e-05+0.00061303i,-6.1401e-05+0.00093422i,-0.00019926+0.00075081i,-0.00048309+0.00090013i,-0.00023927+0.00029174i,3.2037e-05-0.00013399i,0.00034038+0.00082599i
-0.0022589-0.0011573i,-0.0030076+0.00049366i,-0.0054195+0.0023251i,-0.0042174+0.0036501i,6.6914e-05+0.0040548i,0.0021169+0.0022054i,0.00050553-0.00040589i,-0.00081216-0.00095858i,-0.00047645+0.00055073i,-0.00024367+0.0017667i,-0.00025545+0.0015526i,-0.00021047+0.00045972i,-0.00019031-0.00057468i,0.00013334-0.00098452i,0.00058392-0.0011114i,-0.00028624-0.00028845i,-0.0011261-0.00013584i,-0.00032469-0.00085749i,0.00024711-0.0010036i,0.00062054-0.00053344i,0.0006308+0.00026117i,2.1326e-05+0.00041554i,-0.00043918+0.00040709i
0.010541+0.0081763i,0.015+0.0082421i,0.018755-7.957e-05i,0.012254-0.0073983i,0.0040392-0.0097194i,-0.0022656-0.0064885i,-0.0027687-0.0028269i,6.5232e-05-0.0018835i,0.0019249-0.0014319i,0.0021627-0.0025955i,0.00028032-0.0034093i,-0.0012646-0.001942i,-0.001712-0.00017795i,-0.0022977+0.00097908i,-0.0021391+0.0016663i,-0.00065219+0.00064797i,0.00083333-0.00065594i,0.0014242-0.00043822i,0.0010876+0.00019498i,0.00050705+0.00085587i,0.0003642+0.0014611i,-8.0918e-05+0.001155i,-0.000435+0.00054254i
-0.00017602+0.0020374i,0.0015994+0.0022436i,0.0033249+0.00054435i,0.002792-0.000317i,0.0016989-0.00053925i,0.0010526-0.00060317i,9.26e-05-0.00083313i,-8.8807e-05-0.00037045i,-4.1193e-05+0.00017021i,-0.00010768-0.00096088i,-0.00011274-0.0013528i,-0.00020845-0.00019636i,-0.00059017+0.00021887i,-0.0011167+0.00029283i,-0.0012956+0.0010859i,-0.00041716+0.0011121i,0.0007403+0.00040882i,0.00098643+0.00044605i,0.0004949+0.00080665i,-0.00030665+0.0006058i,-0.00024679-9.7656e-06i,0.00032427+0.00018484i,0.00041926+0.00048361i
0.00012017+0.0020178i,0.0010142+0.0015368i,0.00095865+0.00032699i,0.0010797+0.00013801i,0.0013099+0.00029874i,0.00091759-0.00072651i,0.00026474-0.0013262i,0.0011354-0.00072041i,0.0016655+0.00056671i,0.0010518+0.00057144i,0.00090835-0.00015187i,0.00090876-0.00020812i,0.00023969-0.00015633i,-0.00029187-0.00060879i,-0.00036344-0.00066187i,-0.00037026+0.00029381i,-0.00018835+0.00077759i,-0.00043706+0.00050025i,-7.7442e-05+2.9444e-05i,0.00074932-7.1335e-06i,0.00066076+0.00032371i,0.00031506+0.00082765i,0.00023312+0.0010629i
-0.00018107+0.00094435i,-1.2179e-05+0.0013172i,0.0012004+0.0022574i,0.0012867+0.0018133i,0.0018123+0.00023212i,0.0012126-0.00051086i,-0.0004419-0.00038258i,-0.0012083-0.00023946i,-0.00029523+0.0002144i,0.00047862+0.00023826i,0.0002234-0.00051328i,-0.00022313-0.00075899i,-0.00030769-0.00040403i,-0.00029158+2.2238e-05i,-0.00024016-0.00029152i,0.00041586-0.0008983i,0.00086636-0.0006789i,0.00042097-6.8855e-05i,-0.00024447+0.00016739i,-1.6172e-05+0.00021351i,-0.00018424+0.00023848i,-0.00050753+0.00048053i,-0.00046267+0.00055685i
0.00077122-0.00033175i,1.5151e-05-0.00064416i,-3.2784e-06-0.00089913i,-0.00036326-0.0012803i,-0.00044933-0.0011564i,-0.0004636+0.00030815i,-1.9315e-05+0.00071971i,0.00045386+8.9975e-05i,0.00057933-0.00022819i,0.00020325-0.00078125i,-0.00036564-0.00089987i,-0.00058081-0.00055401i,-0.00017181-0.00045232i,0.00047914-0.00037933i,0.00013587+0.00042432i,-0.00041688+0.0011864i,-0.0010407+0.00087373i,-0.001183+0.00043733i,-0.00047518+0.00056737i,0.00025022+0.00072367i,0.0002182+0.00067174i,-0.00023476-6.7429e-06i,-0.0010483-5.0869e-05i
