-0.00062708-0.00032934i,-0.00067355-0.001015i,-0.0028153-0.0011776i,-0.0039132-0.00030637i,-0.0033535+0.001493i,-0.0026986+0.0025956i,-0.00058959+0.0024412i,0.0014095+0.0012728i,0.001441-2.2273e-05i,0.00073267-0.00088203i,0.00016115-0.0010043i,0.00010631-0.00093723i,-0.00028585-0.00015143i,-0.00046178+0.00022273i,0.00014124-0.00038996i,0.00051675-0.00039613i,0.000419-0.00032119i,0.00032205-0.00032141i,0.00079996-0.00045291i,0.00061551-0.00046408i,-0.0005017-7.6061e-05i,-0.0011161-0.000489i,-0.00044519-0.00068695i
0.0018648+0.0011735i,0.0021121+0.00096217i,0.00063568+0.00019206i,-0.00013345-0.00082025i,0.00044448-0.0022286i,-0.00068579-0.0022268i,-0.0016417-0.00038067i,-0.00097036+0.0014363i,-0.00029249+0.0007429i,-0.00049079-0.00028076i,-0.00015447+0.00056287i,-0.00016006+0.00090703i,-0.0005723+0.00043607i,-0.00069047-0.00018234i,-0.00091091-0.0006002i,-0.0011467-0.00066364i,-0.00069836-0.00013817i,-0.00065864+0.000591i,-0.00068102+0.00075444i,-0.00016766+0.00053473i,0.0004855+0.0010125i,0.00051389+0.00094359i,-0.00023669-0.00021117i
0.00064965+0.00032435i,0.0013502+4.45e-05i,0.0019978-0.0020166i,0.00095507-0.002727i,9.1267e-05-0.0020468i,-0.00082654-0.0011145i,-0.00021619-4.4051e-05i,0.00066359+0.00018566i,0.00013307+0.00024422i,4.9873e-05+0.00011687i,-0.00035334+0.00055723i,-0.00088951+0.0010258i,-0.00039184+0.00067564i,-2.9724e-05+0.001091i,-8.9537e-05+0.00099496i,0.00014081-3.017e-05i,0.00043014+4.4635e-05i,0.00061068+0.00063177i,0.0011232+0.001343i,0.00094866+0.001219i,0.0002708+0.00018159i,2.4425e-05-0.00045119i,9.5989e-05+3.3498e-05i
-0.0011676+0.00087355i,-0.0015703+0.0008507i,-0.00070492+0.0015173i,-0.00040061+0.0012811i,0.00039486-0.00022579i,0.00026355-0.0012399i,-0.0005445-0.00080345i,-0.00023944-1.7138e-05i,-5.3442e-05-0.00016325i,-0.0005145-0.00022678i,-0.00070455-0.00029768i,-0.00094739+0.00015528i,-0.00072707-0.00013295i,0.00033247-0.00088873i,0.0013469-0.00065136i,0.0016454+5.4064e-05i,0.0017135+0.00037729i,0.00066059-1.2848e-06i,-0.00060537-0.00014081i,-0.00017755-3.324e-05i,8.3735e-05+0.00029385i,-0.00046587+0.00042976i,9.5318e-05-0.00024015i
-0.00095156-0.0015047i,-0.0011339-0.002143i,-0.0013565-0.0017822i,-0.0018001-0.001228i,-0.0012519-0.0015766i,-0.00027438-0.002293i,-0.00039617-0.0010882i,-0.0012127+0.00080788i,-0.00099641+0.0012264i,-0.00029491+0.0010255i,-0.00047493+0.0010932i,-0.0011604+0.00072955i,-0.0008023-3.0848e-05i,-0.00026563-9.9511e-05i,0.00014924+0.0001764i,0.00020985+0.00015955i,3.0611e-05-1.8143e-05i,-0.00019398+0.00042011i,-0.00043832+0.00035492i,0.00011781+0.00070929i,0.00035094+0.0010512i,-0.0003314+0.00021561i,-0.00074989-7.5443e-05i
-8.3629e-06-0.0027984i,-0.00053715-0.0012478i,-0.00076934-0.0005447i,-0.00070202-0.00034835i,0.00016474-0.0012076i,0.00037547-0.0011938i,-9.033e-05+0.00019004i,-0.00053589+0.00028642i,0.00014271+0.00028696i,-0.00020763+0.00078042i,-0.00098284+0.0011997i,-0.0011857+0.00081873i,-0.00054935+0.00019151i,0.00015868+0.00076213i,-2.9404e-05+0.00022287i,0.00027511-0.00020143i,0.00095566+0.00065138i,0.00091384+0.00095913i,0.00051739+0.00028551i,0.00040321+0.00010949i,0.00059417+0.00055582i,0.00083313+0.0010093i,-3.6141e-05+0.00082448i
0.0013158+0.0011535i,0.001902+0.0019615i,0.0012071+0.0011704i,0.00010326-0.00018822i,-3.31e-05-0.0014498i,-7.4699e-05-0.0020391i,-0.00080159-0.0010295i,-0.00050654-0.00022834i,0.00022338-0.00046645i,-0.00012614-0.00065855i,-0.0013907-0.00030101i,-0.00089796+0.00055882i,0.00040992+0.00059789i,0.00038912+6.9284e-05i,-9.8624e-05+0.00023898i,0.00018509+5.2471e-05i,0.00046277-0.00022964i,0.00048615+0.00058018i,0.00052252+0.00079759i,0.00080361+0.00056239i,0.00044565+0.00086369i,-0.00037727+0.00032476i,-0.00097929-0.00036026i
-0.0015447+0.003407i,-0.00054302+0.0029951i,-0.00044615+0.0025559i,-0.00047155+0.0020778i,-0.00020229+0.00027437i,-0.0001867-0.00076247i,-0.00078253-0.00010319i,-0.0011371+0.00065979i,-0.00012223+0.00060984i,0.00084674+0.00070415i,0.00080811+0.00069379i,0.0002711+4.6113e-06i,-8.1431e-05-0.00078081i,-8.335e-05-0.00091268i,6.3538e-05-0.00099434i,0.00041625-0.0008499i,0.00047751-0.00018776i,-0.00052302+0.00039805i,-0.0011801+0.00048079i,-0.0015762+0.00011226i,-0.0012585+7.1347e-05i,-0.00027906+0.00062234i,0.00048683+0.00079912i
-0.00043381-0.0012449i,-0.00066645-0.00088622i,-0.00057062+0.00073365i,-0.00034748+0.0005214i,0.00014656-0.0013566i,-0.00017553-0.0019759i,-0.00066345-0.00079407i,0.00011412+0.00065751i,0.0010442+0.00092857i,0.0008162+0.00031109i,0.00026904+0.000193i,-0.0003185+0.00014789i,-0.00014194-0.00031238i,-3.6457e-05-0.00055211i,-0.00029884-0.00077405i,-0.00025164-0.00073583i,0.0001527-0.00054915i,0.00040344-0.00058324i,0.00080004-1.8107e-05i,0.00066659+0.00021874i,0.00074127-0.00046739i,0.00084788-0.00054501i,0.0001283-0.00015496i
-0.0031672+0.00027363i,-0.003401+0.00030074i,-0.003323+0.00025869i,-0.0019041-0.00014198i,-0.00032509-0.0013027i,-8.0924e-05-0.0012843i,-0.0010132-0.00067574i,-0.0011732-0.00017375i,-0.00056556+0.00032565i,-0.00077362+0.00066961i,-0.0007208+0.0012302i,-1.5147e-05+0.0011413i,-9.2987e-05+0.00086563i,2.5606e-05+0.00035979i,0.00062702+0.00018716i,0.00053767+0.00085387i,-0.00023998+0.0010844i,-0.00071004+0.00041339i,-0.00012172-0.0008015i,0.0004619-0.0011493i,0.00034682-0.00037926i,-0.0002647-0.00037135i,-9.3795e-05-0.0011023i
0.001498-0.0031293i,0.00042869-0.0040079i,-0.00030224-0.0037521i,-0.00021269-0.0010565i,-0.00025626+4.7893e-05i,-0.0003913+0.00021934i,0.00016046+0.001149i,0.00063103+0.00049885i,0.00044785-0.00077496i,-0.00085114-0.00025451i,-0.0018558+0.00037503i,-0.00071261+0.00045827i,0.0012448+0.00042571i,0.0015736+0.00086567i,0.0014965+0.0013361i,0.0014085+0.0015322i,0.00049793+0.00092846i,0.00010937-2.7123e-05i,0.00030929-0.00057733i,-0.00028046-0.00053265i,-0.00050075-5.7057e-05i,-0.00019877-0.0001726i,-6.9368e-06-0.00057549i
0.00088873+0.0017624i,0.00029819+0.0022656i,-5.2153e-05+0.0018072i,0.00036247+0.00037302i,0.00036528-0.00027119i,-0.00015986-0.00029683i,-0.0012263+0.00022451i,-0.0017318+0.0010442i,-0.0013027+0.00096016i,-0.00067304+0.00074714i,-0.00023098+0.00011398i,-0.00026205-0.0010301i,-0.00029479-0.0014783i,5.7953e-05-0.0009454i,0.00059101-0.00088783i,0.00063322-0.0011937i,-0.00024802-0.00055484i,-0.00042486+0.00019762i,-0.00054203+0.00035202i,-0.00081292+6.6557e-05i,0.00055594+2.5067e-05i,0.0016602-2.2012e-05i,0.0010696-0.00034523i
-0.0012935-0.00029799i,-0.002128-0.00018567i,-0.00088944-0.00072212i,0.00069159-0.001804i,0.00093607-0.0022165i,-0.00016096-0.0010843i,-0.00050159+0.00060547i,-1.4441e-05+0.0014208i,-1.975e-05+0.00098182i,-0.0002322+0.00028271i,-0.00076035+9.7672e-05i,-0.0018027-0.00026768i,-0.0013859-0.00014546i,-9.4176e-05+4.6571e-05i,5.0302e-05+7.0404e-05i,-5.3068e-05+1.1104e-06i,-0.00086675-0.00082907i,-0.00097528-0.001032i,-0.00055663-0.00022517i,-0.0006554+0.00031589i,-0.0011896+0.00053537i,-0.00098277+0.00015598i,-5.5828e-05-0.00039214i
0.00034084-0.0015766i,-0.00045672-0.0010306i,-0.0011707-0.0012442i,-0.0012303-0.002039i,-0.001657-0.0019002i,-0.0012797-0.0013036i,-0.00057612+0.00010987i,3.7967e-05+0.0011718i,7.3424e-05+0.00074668i,0.00012798-0.00031961i,-5.0256e-05-0.0006246i,-0.00054844+0.00022878i,-0.00057232+0.0011633i,-0.00053958+0.0010551i,-0.00034271+0.00052361i,9.0631e-05+0.00073125i,0.0004226+0.00032597i,0.00075514-0.00023219i,0.0010935-0.00023268i,0.00065445-0.00022859i,0.00076126+0.00032317i,0.0010996+0.00024577i,0.0010762+0.00024099i
0.0024555-0.00023911i,0.0013172-0.0009988i,0.00049793-0.0015951i,0.0003941-0.0019008i,0.00025562-0.002379i,-0.00024875-0.0013578i,-0.00034792-0.0006804i,0.000123-0.00067249i,4.1725e-05-0.0008075i,-0.00074272-0.0011497i,-0.00079205-0.00054103i,-0.00056866-0.00010704i,-0.00078773+0.00028367i,-0.00097274+0.00021138i,1.0209e-05-0.00027471i,0.00010402+0.00010256i,-0.00022825-8.9043e-05i,0.00058177-0.00026748i,0.0011825+0.00052761i,0.0015035+0.00067175i,0.0015464+0.00026981i,0.0014405+0.00010239i,0.00060384+0.00033255i
0.0020104+0.00037013i,0.0017063-0.00033123i,0.0016853-0.0021705i,0.00028713-0.0027655i,-0.0009721-0.0020096i,-0.00075066-0.0012221i,-0.00037869+7.0877e-05i,0.00059163+0.00060078i,0.00070455+0.0002217i,-7.8593e-05+0.00018921i,-0.00084562-0.00015576i,-0.0011287+0.0002775i,-0.0010036+0.00092804i,-0.00020542+0.00029292i,5.7074e-05-0.00019255i,-0.00040906-0.00055663i,-0.00014649-0.00054495i,0.00038944+0.00024912i,0.00033815+0.00091822i,0.00019759+0.0011418i,-9.406e-05+0.00098325i,-0.00024322+0.00033158i,3.7247e-05-0.00047613i
0.0017676-0.0011199i,0.0025632-0.00097232i,0.0015979-0.0011578i,0.00053177-0.0012367i,0.00013328-0.00083906i,-0.00023493-0.0009285i,-0.00037601-0.0004493i,0.00043412+0.00061271i,0.00083335+0.0011074i,0.00019252+0.0010663i,-9.0647e-05+0.0011569i,-2.2074e-05+0.0007544i,-0.0011596-9.7761e-05i,-0.0019929-0.00086005i,-0.0018077-0.0012329i,-0.001856-0.0012099i,-0.0011551-0.00071811i,-9.3002e-05-0.00039854i,0.0011633-0.00010615i,0.0011289+0.00035552i,-0.00041021-2.4798e-05i,2.3404e-05-0.00037941i,0.00060576-0.00033058i
1.1014e-05+0.0015967i,-7.0797e-05+0.0020905i,-0.00059801+0.0018645i,-0.001649+0.0009885i,-0.0013838-0.00071131i,-0.00028769-0.001008i,-0.00012599+0.00068693i,-0.001013+0.0010559i,-0.00071769-0.00046543i,-9.3367e-05-0.00090663i,-0.00049778+0.00016151i,-0.0007292+0.0011076i,-0.0012049+0.00082947i,-0.00098578+0.0003973i,-0.00078096+0.00018739i,-0.00067602+6.9445e-05i,0.0002134+0.00022734i,1.0219e-05+0.00070499i,-0.00085672+0.0012944i,-0.00058789+0.00088496i,0.00015046+0.00049744i,-5.6041e-05+1.3269e-05i,-0.0003661-0.00047767i
0.0016443-0.0024622i,0.00068162-0.0029436i,-0.0012891-0.0030391i,-0.0023684-0.0029803i,-0.0026544-0.0019837i,-0.0023913-2.3376e-05i,-0.00065945+0.0013096i,0.00041865+0.0016854i,-0.00079584+0.00060633i,-0.0018728-0.00075217i,-0.0019209-0.00047453i,-0.0013868+0.00062528i,-0.00038897+0.00034133i,0.00042501+0.00029413i,0.0011544+0.00064091i,0.0010618+0.00071619i,0.00034538-0.00020042i,0.00096441-0.00047462i,0.001279-0.00017206i,0.00044736-0.00016126i,2.937e-05+4.903e-05i,-0.00044095+0.00022782i,-0.00025586+0.00032411i
0.00059249-0.00074407i,-0.00047006-0.0021352i,-0.00048972-0.0029883i,-0.00045987-0.0024249i,-0.00097906-0.0015797i,-0.0014862-0.0014215i,-0.0014836-0.0005594i,-0.0010401-8.3721e-05i,-0.00058369+7.6499e-05i,-0.00082459+0.00071855i,-0.0010684+0.00035085i,-0.00098681-0.00037475i,-0.0010542-0.00078219i,-0.00044395-0.00039056i,0.00023586+8.2085e-05i,0.00020732-4.2579e-05i,-1.13e-06-0.00098498i,0.00025435-0.0013363i,-1.1848e-05-0.00069274i,0.0001764+8.3774e-05i,0.00050312+0.00047936i,0.0002672+8.2736e-05i,-0.00052843-0.00013313i
0.0020551-0.0036707i,0.00078705-0.0038769i,-0.00089454-0.0029988i,-0.0010214-0.0016508i,-0.001238-0.00065202i,-0.00098212-7.4871e-05i,-0.00018216+0.00056245i,-3.3522e-05+0.001101i,0.00013262+0.00068104i,-8.4291e-06+0.00040489i,-0.00045108+0.00025886i,-0.00024661+5.1696e-05i,-0.001019+5.5031e-05i,-0.0015762+0.00075585i,-0.00088408+0.0011004i,-0.00083658+0.00047304i,-0.00084359+0.00026009i,-0.00077854+0.00035194i,0.000162-9.2027e-06i,0.00066677-0.00034012i,0.00025587-0.00070791i,0.00070567-0.00075659i,0.00036018-0.00047689i
0.0007962+0.00091824i,0.00087028+0.0017411i,0.00022049+0.0013518i,-0.00036343+0.00019051i,-0.00027919+0.00019432i,-0.00043058+0.00022326i,-0.00039854+4.1106e-06i,0.000294+0.00033221i,0.00034372-0.00021106i,-0.00047851-0.00073679i,-0.00041357-0.00077458i,0.00025874-0.00044075i,0.00028155+0.0003511i,-0.00020614+0.00039888i,-9.2857e-05-0.00029675i,0.00040614-0.0008199i,-6.9786e-05-0.00038505i,-0.0010617-0.00032384i,-0.0010892-0.00030186i,-0.00067088+0.00012905i,0.00010622+2.5189e-05i,0.00039658-0.00010769i,-0.00015454-0.00015217i
-0.001984-0.0010799i,-0.0027115-0.00074301i,-0.0028998-0.00053802i,-0.001379-0.00074644i,-0.00079757+0.00019808i,-0.0014139+0.001108i,-0.0008712+0.00071895i,-0.00018848+0.00042876i,-5.6862e-07+6.7314e-05i,-0.00032576+0.00017469i,-0.00058051+8.5847e-05i,0.00064411-0.00059439i,0.001158-0.00063661i,0.00040316-3.46e-06i,6.5823e-05+0.00035851i,0.00022507-0.00045264i,0.00018533-0.0009763i,-3.812e-05-0.00050395i,0.00083694+1.1472e-05i,0.0012456+9.437e-05i,0.00018651-6.6628e-05i,-0.00023273+0.00052245i,1.5831e-05-0.00021866i
-5.9003e-05-0.00084689i,-0.00064307-0.00079842i,-0.0014241-4.5733e-05i,-0.0016712+0.00019635i,-0.0014796-0.00062084i,-0.0015566-0.00079559i,-0.0014275-0.00037358i,-0.00026777-1.4601e-05i,0.00049803-0.00014247i,0.00052396-0.00060314i,-0.0004116-0.00022727i,-0.0012851+1.3233e-05i,-0.001177+9.7214e-05i,-0.00060284+0.00033542i,0.00052944+0.00012769i,0.0005094+9.2172e-05i,0.0004222+0.0004182i,0.0007355+0.0013767i,0.00040856+0.001772i,-5.9999e-05+0.00094678i,-0.00051326+0.0006812i,-3.5817e-05+0.0010586i,0.00027032+0.00045063i
-0.00021652-0.00079041i,-0.00019391-0.0022664i,-0.00057201-0.0023845i,-0.0010824-0.0013573i,-0.00076869-0.0010416i,-1.7686e-05+8.028e-05i,-0.00031361+0.00090456i,-0.00057911+0.00095426i,0.00020385+0.00049883i,-0.00024073+0.00042144i,-0.0010674+0.00021818i,-0.0010769+0.00071212i,-0.00070734+0.0013112i,0.00066834+0.00093714i,0.001894+0.00090541i,0.0014673+0.00087315i,0.0009178+0.00024972i,0.00051706-0.00033121i,0.0003878-0.00058602i,-0.00057844-0.00040351i,-0.0010938-0.00085805i,-0.00024305-0.0012063i,-0.00021624-0.00081776i
0.00078873+0.00032306i,0.00075977-0.0012347i,0.0011895-0.0019233i,0.00056423-0.0013681i,-0.00027526-0.0010322i,-0.00071768-0.0014818i,-0.00055495-0.0010318i,7.512e-05+0.00028538i,0.0004246+0.00077452i,-4.6829e-05+0.00041808i,-0.0001744-0.00027659i,-0.00022133-0.00058199i,5.8994e-05+0.0003807i,-0.00043156-6.4731e-06i,-0.0013507-0.00036359i,-0.0015076+0.00064492i,-0.00078348+0.00085981i,-0.00018978+0.00094124i,-0.00030901+0.0014814i,-0.00033338+0.0010483i,0.00035702+0.00055821i,0.00032986+0.00028204i,-0.00018166-0.00060837i
0.0032775+0.0020479i,0.0045983+0.0016372i,0.003615+0.00057253i,0.0012568-0.0012523i,-0.00034315-0.0032443i,-0.0011724-0.0031166i,-0.0008957-0.00069146i,-7.1221e-06+0.00036797i,0.00096532-0.00077162i,0.00078198-0.0015085i,-0.00043242-0.0010233i,-0.0012195-0.00054624i,-0.0012934-0.00090092i,-0.0011196-0.0013287i,-0.0010068-0.00046359i,-0.00074158-1.3776e-05i,-1.4927e-05-0.00055684i,-0.00018928-0.00045443i,-0.00085725+0.00016635i,-0.00027042+0.00057194i,0.0002719+0.00084087i,0.00062181+0.0004406i,0.0006046-0.00045082i
-0.0019902-0.0008099i,-0.0016684+0.00087345i,-0.0010644+0.00063578i,-0.0005247-0.00025527i,-0.00064468-0.00067028i,-0.00034908+3.799e-05i,-0.00017677+0.00064223i,-0.00026283+0.00052905i,-0.00060878-0.00011314i,-0.00047647-2.1499e-05i,-0.00012318+0.00066403i,0.0002865+0.00027634i,0.00076173-0.00057886i,0.00088621-0.00095674i,0.00021653-0.00036379i,-3.7817e-05+0.00017385i,0.00032102-0.00019676i,0.00070646-0.00039444i,0.00076455-0.00035825i,0.00037275-0.00037514i,0.00059217-3.5674e-05i,0.00055144+0.00018766i,5.3156e-05+0.00021528i
-0.002381-0.00054198i,-0.0031631-0.00080017i,-0.0026295+0.00039405i,-0.00039332+0.00090954i,0.00055256+0.0003412i,0.0004506-0.00085817i,-0.00031825-0.00014688i,-0.00085187+0.00082681i,-0.00015419+0.00026674i,1.8602e-05+0.00056585i,-0.00060054+0.00093322i,-0.00067734+0.00038253i,-0.00037237-0.00024482i,9.7597e-05-0.00073413i,0.00093966-0.00093998i,0.001043-0.00058634i,-0.00010201-0.00030409i,-0.0001969+0.00060459i,0.00017719+0.0012683i,-0.00043231+0.00075853i,0.00015614+0.00048512i,0.00095805-7.3829e-05i,0.0013935-9.2072e-05i
0.0019967-4.3828e-05i,0.0023892+0.00027216i,0.0012323-0.00029326i,0.00089964-0.00035349i,0.0004844-0.00087847i,-0.00011374-0.0015304i,-0.00044099-0.0006417i,-8.3912e-05+0.00042027i,0.00072265+0.00086232i,0.00033694+0.00051592i,-0.00057248-0.000129i,-0.00076398-0.00060647i,-0.0010158-0.00087255i,-0.0010133-0.00082236i,-0.00059305-0.0011881i,0.00031993-0.00079948i,0.0010353+0.00049462i,0.00047308+0.00015475i,-0.00011912-3.6162e-05i,-0.00026671+0.00020422i,-0.00052294-9.6834e-05i,-1.0166e-05-0.0006538i,0.00071382+2.1641e-05i
-0.00052003-0.00022353i,-0.00090219+7.0306e-05i,-0.0012581-0.00076348i,-0.0010578-0.0014648i,-0.00095273-0.0014322i,-0.0010173-0.0006022i,-0.0012089-0.00011988i,-0.0011398-0.00050555i,-0.00047605-0.0011673i,-0.00035003-0.0011715i,-7.3728e-05-0.0010479i,-2.2783e-05-0.00095715i,-0.0012709-0.00011812i,-0.00085905+0.00072258i,0.00073548+0.00088723i,0.0010056+0.00078495i,0.00082678+0.00050991i,0.00074374+2.2246e-05i,0.00021118-0.00034824i,1.6307e-05-0.00074028i,-0.00023357-0.00064003i,-0.0005634-0.00051956i,-0.00085497-0.00062231i
-0.0015578-5.1108e-05i,-0.00034748+0.00029006i,0.00040365-8.0815e-05i,0.00073093-0.00087498i,-5.8326e-05-0.0006368i,-0.00018385-0.00030252i,-8.3749e-05+0.000274i,-0.00051628+0.0014354i,-0.0011459+0.00096513i,-0.00086232+0.00031078i,3.4325e-05+0.00061102i,-2.197e-05+0.00012237i,-0.0005497-0.00041467i,-5.6951e-05-0.00090791i,5.6557e-06-0.0008554i,-0.0007432-0.00041771i,-0.0012167-0.00026801i,-0.0012726-0.00025881i,-0.00032841-0.00019489i,0.00012053-8.4295e-07i,0.00054753+5.2925e-05i,0.0010245+2.6824e-05i,0.0011374+9.2826e-05i
-0.0012429-0.0022298i,-0.0029459-0.0018673i,-0.0032225-0.00052589i,-0.0015306+0.00063721i,-0.00047156+0.00062344i,-0.00069674+0.00050926i,-0.00093798+0.00072592i,-0.0007471+0.00066004i,-0.00059253+0.0010061i,-0.00066884+0.00098078i,-0.00055299-0.00012248i,-0.00054679-0.0012378i,0.00023759-0.00056813i,0.00103+0.0004922i,0.0016579+0.0010423i,0.0015674+0.00030895i,0.0011132+3.4939e-05i,0.0007611+0.00061285i,0.00038174+0.00081834i,0.00069968+0.0013196i,0.0005544+0.0012299i,-9.3572e-05+0.00079857i,2.7306e-05-0.0002073i
-0.0024746-0.001513i,-0.0029874-0.0011571i,-0.0039144-0.00060588i,-0.0027812-3.5332e-06i,-0.00031087+0.00057897i,0.00085144-0.00069542i,0.00088653-0.0018211i,0.00079463-0.0014678i,0.00053313-0.00060619i,-0.00017666+0.00014985i,-0.00026337+0.00041436i,4.9984e-06+0.00045726i,0.00061154+2.0108e-05i,0.0017963+0.00016904i,0.00154+0.00051278i,0.00085285+8.8839e-05i,0.00048311-0.00028299i,0.00046973-0.00090298i,-2.3526e-06-0.00097081i,-0.00078313-0.00025546i,-0.00069218+0.00060093i,-0.00081929+0.00084914i,-0.00014358+0.00023767i
-0.0019913-0.0014414i,-0.0020123-0.0019267i,-0.0019538-0.00065305i,-0.0010724+0.00063222i,2.2191e-05-0.0003413i,0.00030095-0.0011354i,-0.00059342-0.00041075i,-0.0014236+3.8048e-05i,-0.00083404-0.00022628i,-0.00026267-0.00050919i,-0.0004817-0.00026144i,-0.0004008-0.0001845i,0.00034615+6.146e-05i,0.0011334+0.00052433i,0.0012499+0.00073562i,0.00050699+5.966e-05i,-6.8078e-05-0.00045698i,1.6095e-05-0.00029518i,1.602e-06-1.4741e-05i,0.00014511+0.00011288i,0.00053568-8.6808e-06i,0.0001313+7.0781e-05i,0.00027458+0.0005259i
0.00039818+0.0022567i,0.0010126+0.0032296i,0.0010837+0.0038341i,0.00064756+0.0030016i,0.00090974+0.00027949i,0.0008672-0.0017132i,-0.00083329-0.0010416i,-0.001877+0.00021145i,-0.0018881+0.00073973i,-0.0013602+0.00085145i,-0.00019986+0.0011037i,-4.1763e-05+0.00092858i,-0.00078703-0.00023565i,-6.3271e-05-0.0014269i,0.00051645-0.0010676i,0.00035017-0.00039666i,0.00087717+8.4196e-06i,0.00099548+0.00044476i,-0.00014389+0.00066191i,-0.00043673+0.00077165i,-0.00031117+0.0013571i,0.00023932+0.00077672i,0.0010051-0.00037763i
0.0010566+7.0517e-06i,0.00034897-0.00015869i,8.4317e-05-0.00046618i,-3.9308e-05-0.0013204i,-0.00063959-0.0013281i,-0.00072638-0.00059029i,0.00023683-8.541e-05i,0.00043243+0.00021242i,5.1619e-07-0.00025276i,-0.0010299-0.00063985i,-0.0011033-0.00053937i,-0.00096543-0.00052749i,-0.0012203-5.5805e-05i,-0.00063379+0.00037345i,-0.00074141+7.2144e-05i,-0.00051566-0.00047437i,-0.00013944-0.00046362i,-0.0003804+0.00025485i,-0.00021527+0.00071274i,4.4077e-05+0.00042931i,-9.7e-05+6.3349e-05i,-3.4784e-05-9.3186e-05i,0.00057309+0.00015083i
-0.0023597-0.00083i,-0.0029839-0.00033392i,-0.0037857+0.00065785i,-0.0031715+0.00025081i,-0.0018476-0.0014931i,-0.0012901-0.001767i,-0.0014563-0.001466i,-0.00046065-0.00095277i,0.00028204-0.00084748i,-0.00041687-0.00052189i,-0.00080288-0.00022736i,-0.00041649-1.22e-05i,-0.00049845+8.0541e-05i,-0.00061151-0.00021279i,8.6238e-05-0.00033092i,0.00049927-0.00022808i,-0.00026623-0.00031443i,-0.00092409-0.00018608i,5.8346e-05-3.4354e-05i,0.00084854+1.6992e-05i,0.00016499-0.0002172i,-0.00063127-0.00026408i,-0.00048823-0.00027283i
0.00059043-0.0016869i,-0.001867-0.0023727i,-0.0033379-0.0017394i,-0.0022813-0.0010262i,-0.0011625-0.00079092i,-0.00080061-0.00032197i,-0.0011845+0.00031966i,-0.0013516+0.00058833i,-0.001066-0.00018943i,-0.0010262-0.00047651i,-0.00071029-0.00057499i,0.00037395-0.001273i,0.00068236-0.00039884i,0.00051461+0.0006174i,0.00042502+0.0003881i,-8.7068e-05+0.00034828i,3.745e-05+0.00038999i,0.00084575-0.0001964i,0.0013006-3.3029e-05i,0.00083333+0.00031334i,4.6604e-05-3.3529e-05i,-4.6187e-05-0.00020957i,6.9859e-05-0.00060306i
0.0029-0.0022857i,0.0023578-0.0031081i,0.0013842-0.0035993i,0.0010996-0.0028185i,0.00067558-0.002304i,-0.00074495-0.0013352i,-0.0014238+0.00061969i,-0.0011004+0.0017656i,-0.00025247+0.00040725i,-0.00072407-0.00068863i,-0.0010399-0.00060544i,-0.00043478-0.00082128i,2.898e-05-0.00056085i,0.00045689-0.00010764i,0.00084055+0.00022226i,0.00097717+0.0002023i,0.00072979-0.00025289i,0.000923-0.00014764i,0.0008864+0.00042817i,0.00061349+0.00053921i,0.00025491+0.00042681i,0.00032435+0.00014621i,0.00023372+0.00010559i
0.002507+0.0031674i,0.0022294+0.0024588i,0.0014465-0.00018041i,-0.0005866-0.0020418i,-0.0019262-0.0020165i,-0.0015118-0.0017538i,-0.0011444-0.001151i,-0.00069711-0.00019157i,0.0002314+0.00063802i,0.00063286+0.00021731i,0.00023966-0.00028021i,-0.00014705-0.00049486i,-0.0011518-0.00071068i,-0.0014019-0.0012206i,-0.0010955-0.00073507i,-0.001158-9.7073e-06i,-0.00078108+0.0004837i,-0.00017018+0.00034779i,0.00028514+4.1853e-05i,0.00091227+0.00079441i,0.0011845+0.0013647i,0.00033068+0.00075388i,-0.00024566-0.00033086i
-0.00047554+0.0011544i,-6.0892e-05+0.0014294i,-0.00036996+0.00090375i,0.00013444+8.9398e-05i,-0.00016463+9.9899e-05i,-0.0013241-0.00049058i,-0.0016309-3.9059e-05i,-0.00086551+0.0010707i,-0.00016205+0.00036797i,-0.0002659-0.00067948i,-0.00067888-0.00087897i,-0.00050763-0.00063495i,0.00010618+0.00021571i,5.9415e-05+0.00075085i,6.355e-05+0.00070384i,0.00027409+0.00044719i,8.256e-05+8.7768e-05i,0.00014431-0.00025785i,0.00014957-0.00053915i,0.00086742+5.0909e-05i,0.0011088+0.00013672i,0.00061248-0.00047089i,0.00052343-0.00043126i
0.0006483-0.00037335i,0.00074644+0.0001953i,0.0014402+0.00048733i,0.0017458+0.00016733i,0.0014171-0.0017413i,0.00026116-0.0019212i,-0.0017017-0.00045625i,-0.0019452+0.00058704i,-0.0013488+0.00034186i,-0.0012314-0.00010563i,-0.0011792-0.00013288i,-0.00065795-0.00011962i,-0.00068197-0.00020203i,-0.00062671-0.00051247i,-0.00013956-0.00035633i,0.00010664-0.0001152i,7.0883e-06-0.00044559i,-0.00062206-0.00072554i,-0.00056912-0.0001175i,-0.00057508+0.0003511i,-0.00088576-6.6568e-05i,-0.00071254-0.00027234i,6.0378e-05+0.00025117i
