-0.0028739-0.00061511i,-0.0027035+0.00047851i,-0.0020727+0.00146i,-0.00049864+0.0022173i,0.0015365+0.0027944i,0.0026046+0.0018849i,0.0017348+0.00058199i,0.00036246-1.2773e-05i,-0.00059835-0.00020602i,-0.0006944-0.00010286i,-0.0001441-0.00013562i,5.4663e-05-0.00085344i,0.00091404-0.0013335i,0.0015099-0.00093037i,0.0012292-0.00077294i,0.00075449-0.0010979i,0.0011408-0.001174i,0.00090539-0.00072999i,-0.00041862-0.00027642i,-0.0010661+0.00013079i,-0.00078242+0.00066186i,-0.00028335+0.00049324i,8.3841e-05-0.00052763i
0.003334-0.00083329i,0.0030694-0.0018232i,0.0032271-0.0021504i,0.0026334-0.0019398i,0.0011912-0.0005065i,2.4314e-05-0.00044643i,-0.00026654-0.0014488i,0.00020992-0.0017934i,0.00042774-0.0017315i,0.00067456-0.0014167i,-0.00044922-0.00082718i,-0.001952-0.00062996i,-0.0016414+4.3892e-05i,-0.00085513+0.00082989i,-0.00013019+0.00042769i,-0.00045915+7.4059e-05i,-0.0014198+0.00043259i,-0.0021107+0.0001636i,-0.001238-0.001023i,9.7266e-05-0.001013i,-0.00036061+0.0002917i,-0.00084209+0.00037479i,-0.00019006-0.00037703i
0.0013927-0.00092913i,0.00079124-0.00051011i,0.00025584-0.00066356i,0.00021929-1.2266e-05i,0.00040999+0.00101i,0.00022008+0.0013347i,-0.00030776+0.0011869i,-0.00058019+0.0009266i,-0.00081389+7.0993e-05i,-0.0012503-0.00057583i,-0.0012149-0.00044342i,-0.0011024-0.00024777i,-0.0014634-0.0002801i,-0.0013761-0.00021129i,-0.00072103-0.0011228i,-0.00067528-0.001973i,-0.001486-0.00088341i,-0.0017497+2.8228e-05i,-0.0011171-7.9634e-05i,-0.000197-0.0002444i,0.00048107+9.7353e-05i,0.00052823+0.0004683i,-0.00014224+0.00061873i
0.00032554+0.0031897i,0.0010768+0.0026872i,0.0028327+0.0020432i,0.0038102+0.0013331i,0.0037113+0.00071755i,0.0023549+0.00020574i,0.0004886+0.0005723i,9.3315e-05+0.00026543i,-0.00017514-0.00015504i,-0.00030547-0.0001356i,8.6453e-05-0.00061166i,3.488e-05-0.0013625i,-0.00027884-0.0015167i,-0.00014301-0.00077192i,8.9315e-05-0.00044937i,5.0514e-05+0.00012566i,0.00023614-0.0002597i,0.00049653-0.00097418i,0.00059522-0.00013367i,0.00015929-0.00014348i,-0.00041811-0.00075264i,-0.00070142-0.00032921i,-0.00041507+0.00017556i
0.0013947-0.0019821i,0.00035539-0.0020012i,-0.00058163-0.0015102i,0.00017389-0.0012259i,0.00085955-0.0012972i,0.0011221-0.001226i,0.001553-0.0012994i,0.00050314-0.0014535i,-0.00080872-0.0013195i,-0.00044665-0.0009394i,0.00027567-0.00068042i,0.00033374+4.1129e-05i,-8.3072e-05+0.00068254i,-0.00025266+0.0012265i,-0.00054005+0.00083234i,-0.00079612+0.00020598i,-0.00049603+0.00026408i,-0.00020904-0.00023772i,5.7581e-05-0.00086873i,-0.00022459-0.00057154i,-0.00010438+0.0002359i,-9.7537e-06+0.00025195i,-0.00029914-0.00017933i
-0.0011431-0.0019999i,-0.0005583+0.00019387i,-0.00078037+0.0013379i,-0.00078481+0.0024561i,-0.00071291+0.0031622i,-0.00039602+0.0025733i,0.00023175+0.00071961i,0.00054161-0.00058759i,-0.00045928-0.00069093i,-0.0010868-0.00012291i,-0.00080934-0.00035177i,-0.00027077-0.00054426i,-0.00023578-0.00028113i,0.00013164-0.00031792i,0.00080768-0.00038131i,0.00027425-0.00030332i,0.00052942-7.9585e-06i,0.0008066+0.00071501i,-7.2803e-05+0.00068217i,-1.2693e-05+0.00014883i,0.0010094+0.00013508i,0.0011167+0.00055777i,0.0011377-8.2406e-05i
0.001513+0.0015167i,0.0011038+0.00259i,0.0016248+0.0023174i,0.0019901+0.0010463i,0.0025038+0.00079865i,0.00093052+0.00097531i,-0.00058426+0.00083646i,-0.00036442+6.1292e-05i,-0.00040915-0.00078612i,-0.0008205-0.0012147i,-0.00104-0.0016423i,-0.0007505-0.0013711i,-0.00025801-0.0012702i,-0.00070722-0.0016385i,-0.00075467-0.0012354i,0.00039128-0.00096654i,0.00062142-0.00091033i,0.00040292-0.00072711i,0.00058299-0.00049941i,0.00046133-0.00057526i,-0.00051079-0.00095173i,-0.0012574-0.0012343i,-0.00098359-0.00074069i
0.00020061-0.0013786i,0.0010208-0.0012063i,0.0020985-5.0401e-05i,0.0018445+0.00016005i,0.0016026-0.00053249i,0.0012866-0.00059316i,0.0011607-0.00053587i,0.0013359-0.0001248i,0.00035137-7.4431e-05i,-0.0005808-4.3143e-05i,-0.00069159+0.00043271i,-0.0011265+0.00032349i,-0.0014818+0.0001901i,-0.00072425-0.00076859i,8.7996e-05-0.0015146i,-0.00071261-0.00059789i,-0.00061472-0.00026573i,0.00016081-0.00054334i,-0.00026043-0.00089634i,-0.00040411-0.00059265i,0.00016545+0.00029894i,-0.00032917+0.0003268i,-0.0010452+0.00041788i
0.0016233-0.0013701i,0.00062918-0.00071681i,-0.00096587-0.00069507i,-0.0022858-2.3693e-05i,-0.0015011+0.00051691i,-0.00043291+0.00049862i,-0.0010433+4.2056e-05i,-0.0015748-0.00077943i,-0.0008502-0.0016627i,-0.00061292-0.0021548i,-0.00056235-0.00090627i,-2.0453e-05+0.00075711i,-0.00021398+0.0018252i,-0.00041919+0.0023021i,2.0499e-05+0.0020648i,0.00051477+0.0012871i,0.0006835+0.0011227i,0.00031095+0.00057485i,0.001168+0.00017491i,0.00127+0.00013537i,0.00045946-0.00076695i,0.00031707-0.0016572i,0.00010646-0.0010508i
0.0014859-6.9477e-05i,0.002276+7.346e-05i,0.0023012+6.4672e-05i,0.0019768+0.00079376i,0.0011831+0.0015577i,0.0011663+0.0011278i,0.0012015-9.957e-06i,0.00033385-0.00053735i,-4.9684e-05-0.0002945i,-0.00011377-0.00037561i,-0.00016492-0.00082908i,0.00035305-0.00067568i,0.0002874+2.4756e-05i,-0.00022245-0.00040795i,-9.3256e-05-0.0010867i,6.8023e-05-0.0012146i,-0.00019441-0.00069429i,-0.00025303+0.00031984i,0.00020464+0.00049429i,-0.00017428-0.00015592i,-0.0003703+2.2247e-05i,0.00037828+5.1061e-05i,0.00068438-0.0001869i
