-0.0042618+0.0016527i,-0.0028739+0.0014281i,-0.0028945+0.0019259i,-0.0020709+0.0018288i,-0.0010035+0.0019159i,-0.00087694+0.00070019i,-0.0009198+0.0006271i,-0.00086239+0.00068767i,-0.00082483-5.8455e-05i,0.00027996-0.00045149i,0.00087094-0.00048399i,0.00034753-0.0011962i,0.0003604-0.0017438i,0.00017188-0.0022958i,0.00037249-0.0024976i,0.00072136-0.0016528i,0.00022239-9.9544e-05i,-0.00080892+0.00076821i,-0.0010736+0.00014296i,-0.00070375-0.00010685i,-0.00018727+0.00081405i,-2.3696e-05+0.00057396i,-0.00013768-0.0002481i
-0.0028276-0.0013388i,-0.0033282-0.0010579i,-0.0028438-4.8695e-05i,-0.0027909+0.00011764i,-0.0020236-0.00094773i,-0.000616-0.0019394i,-0.00039497-0.001673i,-0.0010864-0.00064461i,-0.00099244-0.00018458i,-0.00011428+0.00010105i,0.00067973+0.00025572i,0.00087807+0.00016503i,0.00095791-0.00046319i,0.0001809-0.00096616i,0.00017351-0.00064273i,0.00080976-1.6512e-05i,0.0013593+0.00080332i,0.00070386+0.0012109i,-0.00017095+0.00069409i,-0.00072912-2.1007e-05i,-0.0012093-0.0010748i,-0.00075733-0.0010037i,0.0001786+0.00011435i
-0.0010236-0.00025686i,-0.00058489-0.00012656i,-0.00080017-0.00046796i,-0.00061305+3.2821e-05i,0.00022402+0.00072812i,0.00063378-5.4297e-05i,8.822e-05-0.0010099i,-0.00066699-0.00060425i,-0.0003008-0.00055957i,0.00032629-0.0005115i,-0.00010328-0.00033907i,0.00016542-0.00023088i,0.00096825-0.00075423i,0.00083757-0.00071511i,0.00044071-9.3853e-05i,5.8119e-06-3.5225e-05i,-0.00050157-0.00021886i,7.5535e-06-0.00028572i,0.00039991-0.00055959i,0.0003729-0.00039918i,0.00010096+0.000234i,0.00016451-8.0045e-05i,0.00064622-0.0004089i
-0.0031452-0.00057201i,-0.0035454-0.00062854i,-0.0033551-0.00083994i,-0.0024487-0.0019427i,-0.0013888-0.0019639i,-0.0010294-0.00090942i,-0.0015777-0.00023309i,-0.00095958+4.2582e-05i,-7.7342e-05+0.00050698i,-5.2528e-05+0.00057646i,0.00073847+0.00012471i,0.0015665-0.00045295i,0.00072435-0.00021703i,8.1414e-05-0.0003645i,-8.2349e-05-0.0010169i,-0.00042258-0.00070144i,-9.9579e-05+4.6147e-05i,0.00075674+0.00093857i,0.0011492+0.0007235i,0.00050064-0.00017407i,-0.00025767-0.00038998i,-0.0001262-0.00087938i,0.00085153-0.0012136i
-0.001164+0.0011266i,-0.00041712-0.00013933i,-0.0010559-0.00031249i,-0.0014579+0.00070341i,-0.00096466+0.00029212i,-0.0011036-0.00056504i,-0.0010794-0.00034838i,-0.0005983+0.00097733i,0.00033473+0.0018016i,0.00080546+0.00078758i,0.0003532-0.00020876i,-7.3959e-05-0.00051548i,-0.0006014-0.00024916i,-0.00094199+0.00069833i,-0.00066494+0.00042351i,-0.00042761-0.00036783i,-0.00073317-0.00087401i,-0.00044719-0.00086192i,-0.00038592-3.5448e-06i,-5.9222e-05-0.00045051i,0.00024692-0.00054911i,-0.00015037-0.00041357i,0.00033976+0.00032651i
-0.0007939-0.00017277i,-0.0015189-0.0018457i,-0.0013838-0.0026989i,-0.0013597-0.0023291i,-0.0018708-0.0022782i,-0.00274-0.0025815i,-0.0024365-0.0022975i,-0.0012417-0.0010828i,-0.00020355-0.0002134i,0.00015984+0.00031306i,0.00048009+0.00083564i,0.00052548+0.00076401i,8.4012e-05+0.00010043i,-0.00065191-0.00061684i,-0.0006764-0.00047324i,0.00033655-0.00017452i,0.0010146-0.00077553i,0.00025335-0.00047124i,-0.00041222-0.00011807i,0.00021151+0.000147i,0.00027363+0.00024572i,-0.00018596+0.0005119i,2.7468e-05+0.00095914i
-0.0020292+0.00047853i,-0.0018807-0.0002872i,-0.0012043+0.00042549i,-0.00036779+0.0010974i,5.4583e-05+0.00022635i,0.00056042-0.0016425i,-0.00059202-0.0023794i,-0.0015904-0.0017938i,-0.00012245-0.0013525i,0.00057946-0.0010245i,0.00047687-0.00056884i,0.00060461-0.0001234i,0.00038454-0.00074619i,0.00014176-0.0014615i,0.00055912-0.00091408i,0.000978+0.00020392i,0.001184+0.00085562i,0.00036174+0.00084979i,-0.00081802+0.00032115i,-0.00057749+0.00032652i,-0.0001221+0.00065764i,-0.00025831+0.0011664i,-0.0001858+0.0016332i
-0.002667+6.5345e-05i,-0.002783+0.00025953i,-0.0027973+0.00050234i,-0.0022223+0.00036981i,-0.0012753+0.00010829i,-0.0010359-0.0015467i,-0.0013651-0.0021881i,-0.0011271-0.00079871i,-0.00018763-0.00040506i,-4.1034e-05-0.00021812i,0.00050155+0.00036875i,0.00080811+0.00059811i,0.0009368+0.00030693i,0.001304-0.00061265i,0.0015199-0.00095882i,0.0014447+7.5065e-05i,0.00063662+0.00079962i,0.00037404-9.619e-05i,0.0008001-0.00094741i,0.00088609-0.00041779i,0.00034722+6.7514e-05i,0.00017088+0.00010526i,0.00042838+0.0012143i
-0.0010929-0.0016577i,-0.0025084-0.00196i,-0.0034406-0.0018319i,-0.0022949-0.0016738i,-0.0014993-0.0006201i,-0.0017751-0.00018559i,-0.0020279-0.00015756i,-0.0014692+0.00082833i,-3.2831e-05+0.00072251i,-4.4412e-05+4.8919e-05i,-0.0001189-2.6013e-07i,0.0008657+0.00026006i,0.0011212+0.00065341i,0.00064611+0.00058859i,0.0010135+0.00031319i,0.00026045+0.00096371i,-0.00055657+0.0001907i,-0.00043282-0.001003i,-0.00059551-0.00097922i,-0.00087816-0.0010497i,-0.00085054-0.00086974i,-0.0013058-0.00069493i,-0.0018857-0.00058069i
-0.0004892-0.0013871i,-0.0011175-0.0018932i,-0.0009744-0.0019519i,-0.00098189-0.0013911i,-0.0015943-0.00085706i,-0.0016982-0.0017565i,-0.0012547-0.001285i,-0.00038178-3.3567e-05i,0.0010057+0.00016489i,0.00081501+0.00038058i,-0.00014124+0.00013847i,-3.9826e-05-0.00010535i,5.0409e-05-0.0001427i,-0.00036706+1.4292e-05i,-0.00051332+0.00043408i,-0.00068428+0.00086615i,-0.00044266+0.0005564i,0.00012128-0.00043632i,-0.00013364-0.00074312i,-0.00099858-0.0007157i,-0.00075483-0.0011786i,-0.00026366-0.0011518i,-0.0010985+5.848e-05i
0.00028377-0.002264i,0.00016019-0.004386i,-0.00074409-0.0051532i,-0.0025209-0.0039566i,-0.0025184-0.0030659i,-0.00099816-0.0028647i,-0.00075467-0.0018223i,-4.1595e-05-0.00072003i,0.0013402-6.4749e-05i,0.0010915-0.000298i,3.3241e-07+7.8945e-05i,-0.00035133+0.00066439i,-0.00069741+0.00043526i,-0.00078828+0.00057622i,-0.00029696+0.0010835i,-0.00019554+0.00057055i,-0.00013554+7.1833e-05i,-0.00020002-0.0012122i,0.0002254-0.0015656i,0.00053157+2.1467e-05i,0.00013834+0.00085082i,0.00037242-2.2664e-05i,0.0010732-0.0004197i
0.0008792-0.0018581i,0.00042176-0.0014935i,-0.00064746-0.00077893i,-0.0020489-0.00025318i,-0.0021284+0.00042103i,-0.0010187+0.0010301i,-0.00039032+0.00023058i,-0.0002395-0.00051664i,-0.00022267-0.00060831i,4.0086e-05-0.00090378i,0.0001121-0.00031336i,-0.00014818+0.00052034i,-0.00021328+0.00031821i,0.0003325+6.9911e-05i,0.00029916+0.00029242i,-0.00044705+0.00078176i,-0.00041416+0.00032213i,0.00071928-0.00045316i,0.0012401-0.00029131i,0.00057834+0.00012635i,0.00043757-0.0003764i,0.0009-0.0010892i,0.0010838-0.00065879i
0.00087884-0.0013189i,-0.00064829-0.002187i,-0.0023716-0.0028532i,-0.0034474-0.0031583i,-0.0026412-0.0025582i,-0.0021854-0.0018056i,-0.0021301-0.001169i,-0.00096064-0.00032764i,-0.00021778-0.00026424i,-0.00033317-0.00024726i,-0.00012319-0.00023965i,6.0187e-05+0.00023426i,-1.843e-05+0.00046624i,-0.00027699+0.00017399i,-0.00050239+0.00015897i,0.00010087-0.00022748i,0.00028169-0.00022902i,-0.00016028+0.00031937i,0.00026414+1.7061e-05i,0.0012038-0.00087559i,0.0015021-0.0012403i,0.00078622-0.0010821i,0.00096167-0.00087741i
0.00021417-0.00034332i,-0.00070066-0.0018498i,-0.0011772-0.0028963i,-0.00068514-0.0037164i,-0.00029073-0.002939i,-0.0008706-0.0015046i,-0.00094057-0.00025449i,-0.00062826+0.0011513i,-0.00042868+0.0012709i,-0.0010738+0.00038178i,-0.0016329+0.00069446i,-0.0007037+0.00086535i,0.00012457+0.00036605i,5.5567e-05+1.7603e-05i,0.00033151+0.00015032i,0.00055371+0.00049925i,5.3606e-05+0.00046948i,-4.0599e-05+0.00054217i,0.00039678+0.0011865i,0.00025011+0.00086467i,-0.00021621+0.00017108i,0.00021187+0.00040914i,0.00070024+0.0010081i
-0.00011033-0.0010186i,-0.00013667-0.0011802i,-0.0016031-0.0017625i,-0.0028785-0.0015766i,-0.002625-0.0010656i,-0.0018652-0.001425i,-0.0010407-0.0014912i,0.00032189-0.00084i,0.0019785+0.00012113i,0.0019242+0.00083696i,0.0014576+0.0009219i,0.0013369+0.00094542i,0.00070432+0.0010309i,0.00091824+0.00075759i,0.0010755+0.00028129i,0.00051988-7.5898e-05i,-0.00032322+0.0001763i,-0.00066963+0.00010022i,-0.00080189-0.00025707i,-0.0010794+0.00054151i,-0.0014545+0.0010024i,-0.0016198+0.00076004i,-0.001227+0.001355i
0.00065408-0.00068789i,0.00066289-0.0016653i,0.00022363-0.0014553i,-7.4119e-05-0.0011435i,-4.0652e-05-0.0010124i,-0.00065995-0.00098486i,-0.0014048-0.00038755i,-0.00067733+0.0003905i,0.00050588+0.00027097i,0.00091987-0.00011118i,0.00074734-0.00025713i,0.00012812-0.00039418i,-0.00046051-0.00025184i,-0.00091908+0.001018i,-0.00052077+0.001228i,0.0003955+0.00095531i,-0.00014995+0.00059979i,-0.00047988-0.00042319i,-0.00032949-0.00015737i,-0.00096267+0.00040989i,-0.0017195+0.00013712i,-0.001815-1.2913e-05i,-0.00068339+0.00025422i
-0.00055931-0.00082638i,-0.0015505-0.0016813i,-0.0011597-0.0020491i,-0.00096114-0.0012802i,-0.001883-0.00099367i,-0.0024454-0.0014079i,-0.0019295-0.0012685i,-0.001033-0.00028267i,0.00032133+0.00027042i,0.00035442-0.00043969i,-0.00038163-0.0011887i,0.00015297-0.001076i,-9.5297e-05-0.00049162i,-0.00071229+0.0004347i,-0.00062227-0.00027254i,-0.00030289-0.001057i,4.6325e-05-0.00033618i,-4.9912e-06+0.000158i,-0.00074124-0.00027984i,-0.0011587-0.0010023i,-0.00043952-0.00098584i,0.00029174-2.5075e-05i,-0.00054369+9.2822e-05i
0.001942-0.0022812i,0.0014779-0.0025165i,0.00011407-0.0037242i,-0.0013864-0.0032068i,-0.0021319-0.001246i,-0.0019488-0.00081037i,-0.0021296-1.0728e-05i,-0.0015455+0.0005381i,-0.00071299+0.00011975i,-0.00065868-1.0265e-05i,-0.00064078+0.00096491i,4.6314e-05+0.0013031i,0.00017965+0.00041451i,-0.00085607+5.5212e-05i,-0.00089271+0.00061674i,-0.00045967+0.00053362i,3.191e-05+0.00037482i,0.00011928-5.0768e-05i,6.2868e-05-0.00022218i,-0.00011412-0.00032031i,-0.00023351-0.00064662i,-0.00083382-0.00093262i,-0.0012896-0.00098732i
-0.0020906-0.0002088i,-0.0013965-0.00068393i,-0.00185-0.00035604i,-0.0032123-0.00046577i,-0.0027324-0.0010648i,-0.0018932-0.0015515i,-0.0011524-0.0016871i,-0.0012156-0.00034462i,-0.0012648+0.0007731i,-0.00065178+0.00098862i,-0.00022877+0.001126i,0.00013387+0.00088291i,0.00039448+0.00022984i,0.00027335+0.00023424i,-0.00040548+0.00026951i,-0.00087249-0.00031655i,-0.00029559-0.00063949i,0.00076647-0.00033834i,0.00089174+0.0006788i,0.0010826+0.00076505i,0.0013032-1.5238e-05i,0.0004606-0.00087965i,0.00041737-0.00091161i
-0.0016594-0.0012073i,-0.001577-0.0017282i,-0.0017856-0.0012783i,-0.0021684-0.00033643i,-0.0016671+0.00054862i,-0.0010516-0.0004689i,-0.00068099-0.0013577i,-0.00084196-0.00016837i,-5.2512e-05+0.00082034i,0.0013402+0.00036529i,0.0011565+0.00053258i,0.00040101+0.00072572i,0.0005066+0.00020796i,0.00092424-0.00034013i,0.00089802-0.0014139i,0.00082769-0.0011141i,0.00078801-0.00018898i,0.0006285+4.8803e-05i,0.00060474+0.00052869i,0.0011105+0.00079031i,0.0015145+0.00077227i,0.00081623+0.0003071i,0.00048567-0.00027216i
-0.0011506+0.0015793i,-0.0013903+5.3812e-05i,-0.00061135-0.0011743i,0.00057121-0.000435i,0.00077306-0.00077938i,0.00024814-0.0021205i,-0.00099757-0.0016871i,-0.0017544-0.00028587i,-0.0012797+0.00032521i,-0.00030673+0.00047184i,0.00035426+0.00048665i,-2.8087e-05+0.00011468i,-7.4912e-05-0.00011216i,-0.0001509-0.00017065i,0.00028873-0.00092127i,0.0007333-0.0011765i,0.00039086-0.00095108i,-0.00016358-0.00039983i,-0.00017539+0.00047155i,0.00041458+0.00058473i,0.00079464+0.00085083i,0.0011979+0.0013135i,0.0007471+0.0013229i
0.00047028-0.0012169i,-0.0020133-0.0015927i,-0.0027312-0.0029701i,-0.002456-0.0039976i,-0.0025235-0.0041428i,-0.0032452-0.0035273i,-0.0028667-0.002219i,-0.0016641-0.0001798i,-0.00096936+0.00021914i,-0.00087314+0.0003326i,-0.00091064+0.0011856i,-0.00080215+0.00068939i,-0.00028966-7.7181e-05i,-8.0127e-05+3.1733e-05i,-0.00033661-0.00069376i,-5.8167e-05-0.0013581i,0.00020241-0.00073035i,0.00043161-0.00025705i,4.8584e-05-0.00026558i,-0.00046087-0.00039853i,-0.00077701-0.00019344i,-0.00070332-5.625e-05i,-4.5456e-06-0.00056528i
0.00014081-0.0005049i,6.8221e-05-0.00060712i,-0.00098728-0.00093713i,-0.0029477-0.0017957i,-0.003202-0.0014387i,-0.0027411-0.00066642i,-0.0023468-2.4276e-05i,-0.00087482+0.0005451i,0.00086988+0.001162i,0.0012525+0.0010743i,0.00060477+0.0008384i,0.00038782+0.00035988i,6.958e-05-0.00040889i,-0.00045539-0.00018829i,-0.00053988+0.00077885i,0.00011308+0.0012726i,0.00095756+0.0004435i,0.00053277+0.0001323i,-0.0016924+0.00040892i,-0.0022522-6.046e-05i,-0.00087722-9.2075e-06i,-0.00061282-1.7294e-05i,-0.00096977+7.131e-05i
-0.0020889-0.00060906i,-0.0012261-0.00069448i,-0.0012691-7.6934e-05i,-0.0017993+0.0011261i,-0.0005867+0.0016042i,0.00096309-0.0001892i,0.00075343-0.0013065i,0.00036624-0.00081441i,0.00078273-0.00024097i,0.00099214-0.00032223i,0.00079992-0.00033981i,0.0012044-0.0002793i,0.0010358-0.00030752i,0.00061944-0.00034455i,0.0012373-0.00027508i,0.0012744+8.2137e-05i,0.00097916-9.9443e-06i,0.00089042-0.00054474i,0.00032232-0.00063422i,-0.00035063-0.00039169i,-0.0011206-0.00042816i,-0.00087574+5.9002e-05i,0.0001126+0.00027209i
9.9754e-05-0.0022861i,-0.00070993-0.0026608i,-0.0011574-0.0027555i,-0.00051107-0.0023758i,-0.00010961-0.0019633i,-0.00085036-0.0021456i,-0.0014939-0.0017259i,-0.00027806-0.00080466i,0.00082295-0.001106i,0.00083083-0.0011064i,0.00043736-0.00039174i,0.00024601-0.00040586i,0.00083583-0.0011521i,0.0012879-0.0015154i,0.00099554-0.0003794i,0.00038805+0.000425i,6.3368e-05-0.00010643i,0.00063406-0.00013138i,0.00074637-8.218e-05i,0.00026135-0.00036697i,0.00018959-0.00063175i,-0.00059917-0.00076986i,-0.0012091-0.0004755i
-0.00040443-0.00048432i,-0.00040289-8.646e-05i,-0.00060009-0.00094833i,-0.0013168-0.0025225i,-0.0012482-0.0039362i,-0.0016181-0.0037569i,-0.0019019-0.0020875i,-0.0014328-0.00070239i,-0.00077462+4.6314e-05i,-0.00052114+0.00036013i,-0.00032494+0.00071441i,0.00012519+0.00079764i,7.6466e-06+3.8964e-05i,0.0003007-0.00052069i,0.00022981-0.00038391i,-0.00022577-0.00010544i,2.4993e-05+0.0003119i,0.00086098+0.00021539i,0.0010106-0.00061143i,1.2672e-05-0.00044067i,0.00010466+0.00080314i,0.0006028+0.00053346i,0.00052194-0.0010283i
-0.00069647+0.00087341i,-0.00076607-0.00077244i,-0.0015588-0.0027347i,-0.0021684-0.0034176i,-0.0018379-0.0030385i,-0.0017112-0.0026015i,-0.0027044-0.0016063i,-0.0029599+0.0006455i,-0.001506+0.0015533i,-6.6839e-06+0.0015692i,0.00061911+0.0013682i,0.00070674+0.00046773i,0.00067085-0.00030032i,0.00023948-7.5991e-05i,-0.00015282-4.7494e-05i,1.2857e-05-7.124e-05i,-4.3184e-05+0.00021016i,0.00060708+0.00036383i,0.001151+3.4153e-05i,0.000559-0.00026832i,0.0001958-2.0898e-05i,0.00074195-0.00072889i,0.0012195-0.0011278i
-0.00084381+0.001811i,-0.00087017-0.00038245i,-0.00063731-0.0011066i,-5.9032e-05-0.0001026i,-0.00030192+0.00054458i,-0.0016896-8.5461e-05i,-0.0013828-0.00031516i,0.00020264+0.00044774i,0.0019555+0.00099699i,0.0021476+0.001517i,0.0012296+0.0013816i,0.00095931+0.00035408i,0.00040921-0.0005199i,-0.00056693-0.0012067i,-0.00090583-0.0014424i,-0.00035044-0.0010838i,0.00023321-0.00016954i,0.000467+0.00024544i,0.00050031+1.3985e-05i,5.4808e-05+0.0010376i,0.00019097+0.0012292i,0.0005991+0.00054312i,0.0011388-6.7198e-05i
-0.0020809+0.00018358i,-0.0029311+7.5032e-05i,-0.0027682+1.0081e-05i,-0.00068739+0.00012227i,0.0012369+0.00035624i,0.001285-0.00096189i,-3.701e-05-0.0012428i,0.00044489-0.00081989i,0.0019164-0.0015838i,0.0017293-0.00155i,0.0011954-0.0010483i,0.001366-0.0011012i,0.0011098-0.001407i,0.0003701-0.00088269i,0.00039141-0.00026834i,0.0010633-0.00027465i,0.00028759+1.3583e-05i,-0.00066571+6.2668e-05i,-0.00053077+0.00010624i,-0.00054695+0.00059937i,-0.00088434+0.0002047i,-0.00078029-0.00016877i,0.00011325-8.4408e-05i
-0.0011474+0.00059392i,-0.0018772+0.00013105i,-0.0020506+0.00085128i,-0.0017909+0.0010969i,-0.0018921-0.00072428i,-0.0024861-0.0024122i,-0.0025213-0.001807i,-0.0017102-0.0013987i,-0.0014283-0.0015352i,-0.0016176-0.0013352i,-0.0015183-0.00069106i,-0.0013442-2.1781e-06i,-0.0007575+0.0004901i,0.0001548+0.00113i,0.0010476+0.00042526i,0.0011533-0.0005823i,0.00049393-0.00054156i,0.00013579-0.00033826i,0.00045393-0.00012174i,-0.00012117+0.00021441i,-0.00085624+0.00019836i,-0.0010783-0.00013677i,-0.00054334+0.0001747i
-0.0034989+0.00045646i,-0.0035188+0.00044009i,-0.003082+0.0012099i,-0.0026728+0.0018046i,-0.0019983+0.001837i,-0.0019335+0.0015231i,-0.0025576+0.0014835i,-0.0022183+0.0017997i,-0.0015239+0.0020316i,-0.0019875+0.0020655i,-0.0017892+0.0012774i,0.00021088+8.0113e-06i,0.0016103-0.0013854i,0.001313-0.001859i,0.00058015-0.00086646i,0.00046732+0.00020555i,0.00018593+0.00037206i,0.00017589-0.0002224i,0.00064728-0.00033666i,0.00011242-0.00033958i,-0.00038376-0.00062572i,-0.00036736+0.00010091i,-0.00030879+0.0005557i
-0.001685-0.0014405i,-0.0012325-0.0039362i,-0.0026236-0.0054363i,-0.0030079-0.0047079i,-0.001053-0.0042656i,0.00034067-0.0040932i,-0.00090394-0.0027939i,-0.0016287-0.00094772i,-0.00031143+0.00064635i,0.00058585+0.0019762i,0.0012251+0.0023212i,0.0013477+0.0012642i,0.0013697+0.00049205i,0.0013184+0.00035369i,0.00023668+0.00020108i,-0.00052959-0.00027495i,-0.00026468-0.000833i,0.00025119-0.00034412i,0.00020084-0.00074231i,-0.00023185-0.0011961i,-0.00056795-0.00055353i,-0.00035708-0.00011569i,-0.00019775+1.1507e-05i
-0.0039201-0.00089641i,-0.0036611-0.0010595i,-0.0031104-0.0023272i,-0.0026889-0.0023582i,-0.0022375-0.0013482i,-0.0020307-0.0023502i,-0.0020565-0.0028351i,-0.00092884-0.0012385i,0.001245+0.00059644i,0.0027362+0.00055002i,0.0030318-0.0002033i,0.0019134-0.00043616i,0.00056599-0.00058303i,-0.00043246-0.00054697i,-0.001063-8.2167e-05i,-0.0003301+0.00071979i,0.00075744+0.0014489i,0.00051898+0.00145i,-0.00045233+0.00057626i,-0.00054754-0.00024107i,-0.00022452+3.1644e-05i,-7.2247e-05+0.000174i,0.00013746+0.0002325i
-0.00031984-0.0013205i,-0.00082084-0.0009055i,-0.0011648-0.0007784i,-0.00051811-0.00016715i,0.00072259+1.7993e-05i,0.00056671-0.001046i,-0.00046021-0.001916i,0.00013597-0.0015968i,0.00059246-0.0017716i,0.00043-0.0028603i,-0.0002286-0.0024204i,-0.00087564-6.244e-05i,-0.00071772+0.0013146i,-0.00067278+0.0015361i,-0.00098488+0.0014975i,-0.00072469+0.00067089i,-0.00020693+0.00019786i,-0.00059743+0.00071855i,-0.00053745+0.0014081i,-0.00012626+0.0012684i,0.00012916+0.00046437i,0.00037241+0.00013186i,0.00077252+4.3449e-05i
-0.0013884-0.00029362i,-0.00057574+0.00031732i,0.00042564+0.0010296i,0.00093366+0.0010463i,0.00065657-0.0004065i,-0.00020678-0.0014295i,-0.0014949-0.0011056i,-0.0013102-0.00030852i,-0.00077444-0.00059921i,-0.0011256-0.000663i,-0.0011543-0.00011938i,-0.00056748+0.00031903i,0.00051658-0.00032314i,0.00099768-0.0014489i,0.00067963-0.0017389i,-0.00037391-0.0017263i,-0.0010525-0.0019343i,-0.00070922-0.0017765i,-4.6003e-05-0.0011658i,-0.00017323-0.0010135i,-0.00048596-0.00076088i,4.9052e-05+4.0472e-05i,5.1496e-05+0.0003963i
-0.00032787-0.00056194i,-0.0019985-0.0018693i,-0.0039978-0.0032209i,-0.0046438-0.003338i,-0.0042457-0.0020333i,-0.0034766-0.0010332i,-0.0028447+0.00033582i,-0.002217+0.0011155i,-0.0014424+0.0014832i,-0.0016503+0.0022828i,-0.0014981+0.0023921i,-0.00060013+0.0014611i,-6.6356e-05+0.00077904i,-0.00029028+0.00034967i,-3.4203e-05-0.00055939i,0.00017991-0.00092266i,9.373e-06-0.00090021i,0.00025293-0.0013715i,5.5805e-06-0.0015637i,-3.001e-05-0.0012506i,-0.00025744-0.0008257i,-0.00071488-0.0006202i,-0.00028403-0.00069648i
-0.0018585-0.00050313i,-0.0015803-0.00038927i,-0.0035817-0.0002829i,-0.0049739-0.0007788i,-0.0032273-0.00080027i,-0.00096539-0.0015259i,-0.00053498-0.0022978i,-0.0012766-0.0010909i,-0.00041665+0.0014335i,0.00043124+0.0025196i,0.00077749+0.0021687i,0.0014355+3.6296e-05i,0.0016633-0.0018193i,0.00084546-0.0015637i,1.9022e-05-0.00085011i,-0.00047345-0.00059268i,-0.00010569-0.0004665i,-2.4613e-05-0.00045674i,-0.00070112-0.00036392i,-0.00075796-0.00022405i,-0.00089375+4.1615e-05i,-0.0016882+0.00014956i,-0.0016865-0.00013619i
-0.00084686-0.00051152i,-0.0027935-0.00091125i,-0.0040697-0.0015256i,-0.0031842-0.0016566i,-0.002431-0.0021197i,-0.0014698-0.0025177i,-0.00065079-0.0015529i,-0.00030119+0.00029914i,0.001047+0.00069313i,0.0021131-0.00065788i,0.0017657-0.0011191i,0.00071487-2.9493e-05i,-7.2212e-05+0.00055122i,-0.00038907+0.00056887i,-2.9498e-05+0.00030703i,0.00083828+0.00024133i,0.0012391+0.00013441i,0.0007231+0.00037034i,-0.00024921+0.0012349i,-0.00076743+0.00082228i,-0.00082229+0.00047545i,-0.00090024-3.3897e-05i,-0.00054974-0.00048326i
0.0010711-0.00054812i,0.0013592-0.0029331i,0.0036262-0.0049462i,0.0043563-0.0053683i,0.0029019-0.0042942i,0.0017015-0.0023648i,0.00049982-0.001518i,0.00022897-0.0014486i,0.00052624-0.0012528i,-6.9955e-05-0.0012086i,-0.00047706-0.001137i,8.8036e-05-0.00061484i,0.00050645+1.597e-05i,0.00044692+0.00034802i,0.00091094+0.0011524i,0.00084163+0.0013931i,0.0006049+0.00054454i,0.0012026-0.00061113i,0.0013952-0.0010193i,0.0007192-0.0003331i,0.0002209-0.00010301i,0.0008628-0.0010594i,0.00072167-0.0012568i
-0.00054291-0.0031855i,0.00028475-0.0040667i,-0.00025991-0.0049341i,-0.0016197-0.0040065i,-0.0022011-0.002829i,-0.0024044-0.0025541i,-0.0028808-0.0025314i,-0.0024745-0.0012808i,-0.0020555-0.0006864i,-0.0031164+5.4797e-05i,-0.0025733+0.0011688i,-0.00073229+0.00165i,0.0013563+0.0015056i,0.0021976+0.0012445i,0.00099133+0.0012878i,0.00046867+0.001397i,0.00025729+0.00081378i,-0.00020018+2.5529e-05i,-0.00019344-0.00056716i,0.00011776-0.00078956i,0.00035239-0.00049941i,-3.5397e-05-0.00050428i,-0.00065208-0.00086976i
0.0010191-0.00011997i,0.00031448-0.00035635i,-0.00043647-0.00076767i,-0.0021058-0.001374i,-0.0034683-0.0012109i,-0.0022974-0.0010809i,-0.00083137+0.00015717i,-0.00045161+0.0013629i,0.00043714+0.001933i,0.00050827+0.0020257i,7.3503e-05+0.0016701i,-0.00026614+0.0011555i,0.00038752-8.4017e-05i,0.00064202-0.00092955i,-0.00012354-0.00035818i,-0.00016199+0.00053889i,-0.00068169+0.0008269i,-0.00066659-4.7022e-05i,-0.00017499-0.0005542i,-0.00069629+0.00010804i,-0.0014136+0.0001373i,-0.00084822-0.00040189i,4.095e-06-7.1454e-05i
-0.0041089-0.00061893i,-0.0041057+0.00087507i,-0.0045564+0.0019593i,-0.0031538+0.0027684i,-0.0014074+0.002376i,-0.00058035+0.00035664i,-0.0013669-0.00014698i,-0.0013467+0.00073402i,0.00035977+0.0014299i,0.0010183+0.0011288i,0.0012071+0.00072972i,0.001001+0.001161i,-0.00018362+0.00063693i,-0.0010321-0.00055965i,-0.00097812-0.00050751i,-0.0011475-0.00054978i,-0.00072892-0.00027169i,-0.00029627+0.00029662i,-0.00057385+0.00067257i,-0.0010582+0.0010784i,-0.00031597+0.00083541i,0.00089737+0.00040037i,0.00019211+0.00023609i
0.0021209+0.0014393i,0.0018437-0.0010255i,0.0010725-0.0034772i,0.00060522-0.0050792i,7.1213e-05-0.0060039i,-0.00086908-0.0057084i,-0.00132-0.0023401i,-0.00019471+0.0002071i,0.0015054-0.00055585i,0.0018613-0.0017711i,0.00069308-0.0014921i,-0.00043056-0.00083088i,-0.0010668+0.00015359i,-0.0016037+0.0011886i,-0.001435+0.00059872i,-0.00032623-0.00063369i,0.00036106-0.0010014i,0.00028749-0.0012306i,-0.00017903-0.00071364i,-0.00074332+0.00023852i,-0.00056328+0.00032981i,0.000609+0.00016397i,0.00086632+0.00019986i
-0.00027659+0.0015257i,-0.00078215-3.1796e-05i,-0.0016673-0.0028162i,-0.0035326-0.0045183i,-0.0044455-0.004395i,-0.0041305-0.004362i,-0.0031998-0.0032289i,-0.0021052-0.001083i,-0.00078511-0.00057074i,0.00030067-0.0013366i,0.00013558-0.001668i,-0.00054772-0.0014647i,2.4992e-05-0.00089945i,0.00083349-0.001059i,0.0010229-0.001423i,0.00094845-0.0018321i,0.00040557-0.0014705i,-0.00084563-0.0006453i,-0.00085365-0.00040979i,-0.00047277-0.00086892i,-0.00060222-0.0016059i,-0.00028819-0.0012639i,7.7831e-05-0.00080398i
