-0.0045769-0.00024491i,-0.0038324-0.00063681i,-0.0054071+0.00094996i,-0.0051868+0.002486i,-0.0024842+0.0031269i,-0.001147+0.0025628i,-0.00039891+0.0022631i,0.0010396+0.0025722i,0.00162+0.0019061i,0.0013196+0.0012202i,0.0011605+0.00084863i,0.0010265+0.00053077i,0.00065265-0.00028948i,0.00083214-0.00041911i,0.00038661+0.00017124i,0.00028821+0.00039995i,0.00047084+0.00068847i,0.00019708+0.00039604i,5.8269e-05-0.00023219i,-9.622e-05-0.00029764i,0.00057386+0.00021396i,0.0008728-4.8909e-05i,0.00061128+9.3733e-05i
-0.00058297-0.00040925i,-0.00058274+0.00043153i,-0.00048879-6.647e-05i,-0.00091993+0.0011281i,-0.00066566+0.0013074i,-0.00052321+0.00038717i,-0.0004351+3.626e-05i,-2.5899e-05-0.001174i,-0.00063125-0.0013487i,4.7621e-05-0.00068331i,0.00040885-0.00014954i,-0.00026495-0.00018775i,-0.00028026-0.00093504i,-5.1223e-05-0.00084786i,-0.00022829-0.00028141i,-7.1573e-05+0.0005374i,2.8345e-05+0.00069182i,0.00020854+0.00022108i,0.00033052-0.00029019i,7.5626e-06-0.00032594i,0.00027394-1.1771e-05i,0.0007161-0.00019355i,0.00024167-0.00060094i
0.00033575-0.0010982i,0.00013937+0.0007735i,-0.00057931+0.00030164i,-0.0013153-0.00054637i,-0.00083972+2.1279e-05i,-0.00086228+0.00015884i,-0.0013503+6.2721e-05i,-0.0012282-0.00030553i,-0.0010193-0.00050309i,-0.0010034+5.9171e-05i,-0.00043838+0.00037144i,0.00043619+0.0001956i,0.00043891+0.00020414i,-0.00029487+0.00029887i,-0.00071123+0.00091964i,-0.00042148+0.0011789i,-0.0004209+0.00060354i,-0.00094345+0.00032634i,-0.00083583+0.0013636i,-0.00020439+0.0015838i,0.00016769+0.00040532i,0.00070583-0.0002444i,0.00092111-0.00072191i
-0.0011885-0.0013842i,-0.0023214-0.0006056i,-0.0014328-0.00025984i,-0.0010809-0.00030605i,-0.0014125-0.0008213i,-0.00074489-0.0010911i,-0.00045095-0.00067136i,-0.00042782-0.0011832i,-0.00014629-0.0019039i,-0.00012365-0.0015i,0.00070606-0.00061828i,0.00078358-0.00033502i,6.4007e-05-0.00066421i,-0.00039983-0.00031214i,-0.00051316+0.00047524i,-0.00058594+0.00086739i,-0.00049505+0.00085497i,0.00021173+0.00092938i,0.00039112+0.00074765i,-9.5957e-05+9.5189e-05i,-8.2827e-05-0.00029747i,0.0001476+0.00050986i,-9.4368e-05+0.0012303i
-0.00058813+0.00057352i,0.00046634-0.0002661i,4.5503e-05+0.0010764i,-8.4944e-05+0.0013284i,0.00012519+0.00047545i,-0.00017188-0.00055281i,-0.00064294-0.0011555i,-0.00060595-0.00092427i,-0.00032602-0.00091658i,-0.00013813-0.00079153i,3.8475e-05-0.00059639i,0.00015159-0.00080834i,-0.00053931-0.00057556i,-0.0015361-0.00041245i,-0.0017632-0.00057313i,-0.0016055-0.00032365i,-0.00057089+0.00030689i,0.00014891+0.00032749i,0.00016534-0.00060504i,-3.2038e-05-0.00066899i,-3.2382e-05-0.00061086i,0.00059884-0.00084515i,0.00060765-0.00034645i
0.00058536+0.0025018i,0.00095188+0.0016359i,0.001571+0.00069573i,0.00131-8.2502e-05i,0.0016957-0.0013454i,0.0014663-0.0013178i,0.00039514-0.00053272i,0.00047821-0.00063953i,0.00025888-0.00059478i,-0.00016123-6.0619e-05i,1.4607e-05+0.00017849i,0.00016426-0.00022411i,0.00023469-0.00087026i,-0.00056449-0.00035042i,-0.00090915+0.00014557i,-0.0005217+0.0002496i,-0.0005819+0.00041884i,-0.00013315-0.0005731i,0.00062798-0.0011123i,0.00045704-0.00042604i,1.8208e-05+0.00027527i,0.00035936+0.00077727i,0.0011276+0.00085371i
-0.0010304+0.0010585i,-0.0011253+0.0010128i,0.00067345+0.0017751i,0.00098934+0.00084311i,0.00085091+0.00010846i,0.00024591+3.5753e-06i,-0.00028235+3.5164e-05i,-7.49e-06-4.7669e-05i,8.9407e-05-0.00014365i,0.00024154-3.8873e-05i,0.0005254-0.00015742i,0.00065693+1.5188e-06i,0.00010523+0.00028312i,-0.00034821-0.00060841i,-0.00095151-0.0010767i,-0.0011938-9.2702e-05i,-0.00081519+0.00071888i,-0.00063575+0.0009496i,-7.1344e-05+0.00016837i,5.6182e-05-0.00060257i,-0.00033493-0.00026411i,-0.00025764+0.00025318i,0.00021702+0.0002461i
0.00063061-0.00024i,0.0009554-6.6894e-05i,0.00071172-0.00021994i,-4.5726e-05-0.00011374i,-0.00056986-2.864e-05i,-0.00060685-0.00058831i,-0.00018257-0.00093258i,-0.00015049-0.0010191i,-0.00043921-0.0013056i,5.2875e-05-0.0010035i,-0.00042903-0.00021998i,-0.00089271+0.00024065i,-0.00066384+0.00018595i,-0.00080313-0.00031863i,-0.00054298-0.00051251i,2.4863e-05-0.00068594i,0.00026517-0.00049999i,-0.00021469-4.2345e-05i,-0.00019649+0.00031434i,-0.00028323+0.00042516i,-0.00040704-0.00035936i,-0.00014639-0.00079593i,0.00013365+9.5756e-05i
-0.00016946+0.0026004i,-0.0012708+0.0017173i,-0.00056888+0.0019884i,0.00092192+0.0016462i,0.00079216+0.00017491i,-0.00037974-0.00066843i,-0.0015658-0.0001714i,-0.0015471-0.00028284i,-0.00059851-0.00089391i,-0.00021423-0.0011113i,-0.00062683-0.00097995i,-0.00078917-0.00085113i,-0.0007811-0.0010824i,-0.0010796-0.0011221i,-0.00088448-0.00036041i,-0.00069399+0.00026408i,-0.00081615+5.2768e-05i,-0.00092215-7.2746e-05i,-0.00077281+7.2449e-05i,-0.00030709+0.0002682i,9.5731e-05+6.7875e-05i,-0.00019419+0.00032444i,-0.00060106+0.00050511i
0.00088029-0.001951i,0.00021074-0.0023306i,-0.00031556-0.0026497i,-0.00040232-0.0022914i,-0.00099024-0.00097178i,-0.0010507-0.00077427i,-8.2464e-05-0.0008555i,3.3054e-05-0.00060037i,-0.00045775-0.0008199i,-0.00094744-0.00042231i,-0.0016563+4.9156e-05i,-0.0012715-0.0003795i,-0.0005092-0.00022229i,-0.0004564+0.00016838i,-0.0008692+0.00023213i,-0.00095598+0.00047244i,-0.00053569+0.00048936i,-0.00030618+0.00063932i,-5.4925e-05+0.00036376i,0.00048681-0.00038053i,-7.3276e-05-0.00082151i,-0.00052714-0.00093931i,-0.00011707-0.00059711i
0.0006905-0.0015152i,0.00050943-0.0014238i,0.00023559-0.0023708i,-0.00043827-0.0013863i,-0.0015747-0.00057616i,-0.0018172-0.00047049i,-0.0014709-0.001102i,-0.0013035-0.0018561i,-0.00093783-0.0016347i,-0.00057177-0.0012941i,-0.00090563-0.00018573i,-0.0012984+0.00099854i,-0.0012479+0.0011425i,-0.0013765+3.147e-05i,-0.001568-0.00020301i,-0.0011399+0.00048837i,-0.00070079+0.00080398i,-0.00016058+0.00078383i,0.00066138-0.00059651i,0.00076212-0.001626i,-4.0422e-05-0.0012148i,-0.00057949-0.00060266i,-0.00058404+0.00028059i
0.00092444+0.00027325i,0.0012291+0.00077859i,0.00099394-0.00043517i,0.00070573-0.00080566i,0.00049703+4e-05i,-5.6849e-05+0.00050944i,-0.00050297-0.00037573i,-0.00068402-0.001037i,-0.00047756-0.0014352i,-0.00060099-0.0014178i,-0.00047246-0.00044956i,2.95e-05-3.0498e-05i,0.00050459+0.00015767i,0.00048769+0.00047349i,7.6712e-05+0.00030858i,-0.00012583+0.00017979i,-0.00025289+0.00044494i,-0.00037925+0.00070939i,-0.00041595+0.00075107i,-0.0001325+0.00024784i,0.00030299-0.00010812i,-0.00044749+0.00032868i,-0.00077596+0.00084015i
-0.0026394+0.0012966i,-0.003137+0.00038824i,-0.0013889+0.001184i,-0.00015372+0.0015894i,0.00071848+0.0015798i,0.00056948+0.0010199i,-2.1102e-05-0.00067145i,0.00046082-0.0013361i,0.00029868-0.0012614i,-0.00050043-0.00088338i,-0.00014882+1.5296e-05i,0.00057815+0.00047353i,0.0011921-0.00027179i,0.00092917-0.00054389i,-0.00010227-9.9746e-05i,-0.00051788+0.00032624i,2.9363e-05+0.0007395i,0.00066387+3.5636e-05i,0.00068263-0.00025156i,0.00050889-0.00038262i,0.00062619-0.00057488i,0.00046213+9.1501e-05i,-0.0001118+0.00069029i
-0.00013436-0.00018215i,0.00039223-0.00046094i,0.0011294+0.00018134i,0.0013404+0.00054587i,0.00088624+0.00034198i,0.0005211-0.00033454i,0.00045194-0.00068446i,-1.593e-05-0.0011095i,-0.00032782-0.00075096i,-1.0569e-05-0.00019824i,0.00032842+4.6615e-06i,0.00037849+6.0188e-05i,0.00039826-0.00071767i,-7.9232e-05-0.00063775i,-0.0009652-3.8982e-05i,-0.00078081+0.00057511i,-0.00042422+0.00033263i,-0.00043392-0.00066569i,-0.00070563-0.0009032i,-0.00067388-0.00092165i,-0.00020033-0.0011859i,0.00047437-0.00064056i,0.00050176+0.00034694i
0.0010202+0.0013563i,0.00021297+0.0018232i,0.00068219+0.0021995i,0.0010045+0.0017793i,0.00031731+0.00067831i,-0.00032443-0.0003473i,-0.00039733-0.00093422i,-0.00030821-0.0012025i,-0.00033465-0.00079456i,-0.00057732-0.00088543i,-0.00032874-0.00053024i,-0.00012414+0.00023902i,-0.00025634-0.00069203i,-0.00073635-0.0015144i,-0.00080673-0.00084815i,-8.3144e-05+0.00012623i,-0.00010381+0.00074569i,-0.00052528-0.00019538i,-0.00050485-0.0014649i,-0.00080185-0.001078i,-0.00089239-0.00044419i,-0.00072384-0.00068099i,6.4614e-06-0.00050234i
0.00079453-0.00017673i,0.0004047+0.00027461i,-0.00098616-0.00037603i,-0.001201-0.0009446i,-0.00082073-0.00090556i,-0.00070015-0.00082395i,-0.00070862-0.00043549i,-0.00052291-0.00052995i,-0.00074898-0.0010736i,-0.0010544-0.00086134i,-0.00034215+1.8644e-05i,0.00058534-4.7155e-05i,0.00078982-0.00026481i,0.0001469-0.00010779i,-0.0007795-7.722e-05i,-0.0010132-0.00062926i,-0.0010286-0.00023618i,-0.00092468+0.00037254i,-0.00055029+0.0002894i,8.9663e-05-7.1653e-05i,4.0812e-05-0.00051861i,-0.00043949-0.00067832i,-0.00020254-0.00084778i
-0.00058546+0.00017231i,-0.00048888+0.00048358i,-0.00045526-0.0004401i,0.00031474-0.0011448i,0.00083306-0.0008759i,0.00014929-0.00053381i,-9.0018e-05-0.0010942i,8.7935e-05-0.0012309i,0.00014677-0.00065042i,5.7468e-05-0.00067591i,-0.00025125+1.4413e-05i,0.00093565+0.00048147i,0.0012129-5.9542e-05i,0.00013441+8.5211e-05i,-0.00049084-0.00010025i,-0.00066552-0.00049497i,-7.6872e-05-0.00042732i,0.00038784-9.9782e-05i,-0.00058526+0.00058763i,-0.0012297+0.00043629i,-0.0007365-0.00030528i,3.8047e-05-0.00040167i,0.00047424+0.00014567i
0.0041253+0.0012985i,0.0038422+0.0010996i,0.0046254-0.0008305i,0.0036911-0.0018716i,0.0009483-0.0021286i,-0.00077372-0.0018747i,-0.0011292-0.0013239i,-0.00059859-0.00091725i,-0.00019748-0.00099355i,-0.00052801-0.0011492i,-0.00059962-0.00085004i,-0.00047967-0.00015402i,-0.00062815+0.00028758i,-0.0008801+0.00017827i,-0.0013788+0.00021314i,-0.00047558+2.8362e-05i,0.00022857-8.7183e-05i,-0.00049286+4.3089e-05i,-0.00047774+0.00018936i,0.00054228+0.00043796i,0.00065491+0.00034514i,-0.00034277-0.00016815i,-0.00032013-0.0010325i
0.002281+0.00089056i,0.0023884+0.00012436i,0.0015105-0.00066565i,0.00037365-0.000541i,-0.0010369-0.00014637i,-0.0024547-0.00033053i,-0.001402-0.00027748i,-0.0001271-0.00028327i,-0.00034011-0.00045278i,-0.0012465-0.00027797i,-0.0015716-0.00056537i,-0.00067206-0.00080848i,-0.00036343-0.00024791i,-2.2474e-05+7.7474e-05i,-0.00024099+0.00015726i,-0.00064531+0.00041304i,5.5988e-05+0.00066265i,0.00032933+0.00039192i,-1.6965e-05-0.00069844i,8.4057e-05-0.0008961i,0.00010652-0.00024604i,2.6548e-05-2.1834e-05i,0.00019383-0.0002285i
-0.0014398+8.6172e-06i,-0.00098235-0.00049766i,-0.00078301-0.00042477i,-0.00070852-0.0001685i,0.00013865-0.00065796i,0.00013417-0.00064779i,0.00031686-0.00034237i,0.0003327-0.00041364i,0.00010601-0.00068767i,2.9969e-05-0.00066797i,-0.00017179+7.5252e-05i,-0.00021744+0.00022141i,-9.8029e-05+0.0003428i,-0.0006356+0.00051963i,-0.00029346+4.8389e-05i,0.00016888-0.0002248i,-0.00027081+0.00062489i,4.6142e-05+0.001149i,-6.2804e-05+0.0011738i,-0.00067684+0.00070585i,-0.00057604-0.00014709i,-0.00043568-0.0010394i,-0.00058029-0.0012607i
3.1164e-05+0.00049348i,0.00037619+0.00062486i,0.0010521+0.00078678i,0.0007001+0.00074633i,9.1848e-05+0.00061857i,-0.00024989+0.00062955i,9.0765e-05+6.8816e-05i,-0.00040922+0.00010797i,-0.00096088+0.00018578i,-0.00042197-1.3232e-05i,0.00032854+0.00028366i,0.00077744+0.00043532i,0.0010623+0.00019556i,0.00028859+0.00012394i,-0.00055934+9.0853e-05i,-0.00092281+0.00041096i,-0.00095851+0.00040662i,-0.00076738+3.3078e-05i,-6.9976e-05+0.00040129i,0.00047428+0.00039369i,0.00035491+0.00032048i,0.00035146-0.00013027i,0.00052471-0.0010018i
0.0013621+0.00090289i,0.0014762+0.00073488i,0.0025641-0.00019888i,0.0021982-0.0011942i,0.0011222-0.0011192i,8.0789e-05-0.0014731i,-3.4856e-05-0.0014589i,0.00062809-0.0011546i,0.00059717-0.0012261i,0.00096461-0.00095287i,0.0012521-0.000703i,0.00076514-0.00046958i,-7.4567e-05-0.00024145i,-0.00040406+4.2504e-05i,-0.00065833+0.00044432i,-0.0010086+0.00024301i,-0.0011824+0.00026345i,-0.00060609+0.00012679i,0.0003211-0.00022889i,0.00057455-0.00030726i,0.00063627-5.3849e-05i,0.00069427-0.0001922i,0.0003542-0.00085999i
-0.001717+0.0012988i,-0.00095219+0.0013206i,-0.0014319+0.001025i,-0.00053447+0.0012175i,0.00087925+0.0016884i,0.00011763+0.0010643i,-0.00082782+0.0001179i,-0.00069069-0.00079849i,2.5775e-05-0.0011903i,0.00066012-0.00095974i,0.0003476-0.00068736i,-7.4679e-05+0.00021289i,-0.00030056+0.0006757i,-8.0006e-05+0.00011876i,-6.6136e-05+6.9834e-05i,-9.3263e-05+0.00014415i,-5.8789e-07+0.00042977i,0.00031437+0.0012698i,0.00056332+0.00081588i,0.00014291+0.00013807i,-0.00012677-0.00026369i,-0.00022847-0.0011869i,0.00013206-0.00054117i
0.00073936+0.0019229i,0.0016047+0.001666i,0.0022446+0.0011462i,0.0018506+0.00095891i,0.00087511+0.00055764i,0.00029954+2.007e-05i,-0.00022502-0.00031445i,-0.00027735-0.00043693i,-0.00034148-0.00079228i,-2.298e-05-0.0015254i,0.00023426-0.00063887i,0.00010225+0.00035348i,-0.00060199-0.00028709i,-0.000897-0.00052781i,-0.00063363+0.00010372i,-0.00071002+0.00040992i,-0.00033447+0.00014274i,-0.00042948+0.00025938i,-0.00051962+0.00018704i,-0.00013088-0.00042879i,0.00021954-0.0010865i,0.00041423-0.00063866i,0.00098682-0.00075078i
8.5437e-05+0.0023618i,0.00072103+0.0028961i,0.001769+0.0026392i,0.0026365+0.0019102i,0.0026417+0.0010077i,0.0016641+0.00047197i,0.00031627+0.00012228i,-0.0005629+0.00059459i,-0.00040237+0.0014254i,0.00041914+0.00094336i,0.00065767+0.00020368i,0.0001229-0.00033941i,-0.00049697-0.00052926i,-0.0010891-5.2382e-05i,-0.0010141+0.00026313i,-0.001248+0.00025467i,-0.0010269+0.00032934i,-3.0662e-05+6.6465e-05i,0.00010616-0.00046652i,-0.00023882-0.00013314i,-0.0004227+0.0001171i,-0.00089099+0.00028613i,-0.00048023+0.00045678i
-0.00025877+0.0017385i,0.00075761+0.0002719i,0.0020322-0.00083133i,0.0017226-0.0019333i,0.00071146-0.0025245i,0.00024474-0.0016499i,-0.00019207-0.00065693i,-0.00011703-0.00079572i,0.00021203-0.0010584i,-8.0073e-05-0.00075233i,-0.00083545+0.00013789i,-0.0018503+0.00076752i,-0.0017452+0.00022628i,-0.001389-0.00057048i,-0.0012498-0.00019092i,-0.00053685+0.00078955i,0.00027112+0.001512i,0.00048855+0.00093617i,0.00035342-0.00010893i,0.00017035-0.00080434i,3.172e-05-0.00040453i,-0.00029036+0.00041412i,-0.00020097+0.00039339i
-0.0012185-0.0011396i,-0.00032343-0.0012782i,0.00074086-0.00093466i,0.0009981-0.00039006i,0.00059978+0.00046306i,-4.617e-05+0.0004942i,-0.00037874-0.00018413i,-0.00038303-0.00020589i,-4.4932e-05+9.0758e-06i,0.00053105+4.3625e-05i,0.00091-5.2563e-05i,0.00051483-0.00056318i,-0.00036172-0.0003611i,-8.7599e-05+0.00022386i,4.4466e-05+0.0001088i,-1.8267e-05-0.00020955i,0.00084973+0.00045356i,0.0010936+0.00095032i,7.3145e-06+0.0010733i,-0.00038954+0.00060512i,0.00031385-0.00058407i,0.00090898-0.00099785i,0.0011313-0.0010115i
0.0026816-0.00027675i,0.0024366+0.00031718i,0.0021856-5.0338e-05i,0.0009437-0.00091447i,-0.0008508-0.0017976i,-0.0012987-0.0017429i,-0.0010882-0.0006307i,-0.00086116-0.00015875i,-0.0009972-0.00012866i,-0.00089044-0.00035141i,-0.00015373-0.00050761i,-0.00015879-0.00021494i,-0.00069582+0.00072764i,-0.00057575+0.0017064i,0.0002159+0.00096126i,0.00038646+0.00021405i,-0.00057801+0.00063632i,-0.0004353+0.00080052i,0.00014202+0.00034343i,0.00042514-0.00034208i,0.00025827-0.00067812i,-0.00025395+2.1902e-05i,-0.00046589+0.00048718i
-0.0012229+0.0018327i,-0.0019904+0.0010773i,-0.0011265+0.0019057i,0.00043538+0.0021856i,0.0013408+0.0010255i,0.00021938-0.00027251i,-0.0011144-0.0011802i,-0.0013333-0.0013015i,-0.00046204-0.0011429i,0.00063315-0.0008935i,0.0010849-0.00041572i,0.0010186-0.00017688i,0.00052825-0.00034465i,-0.00029584-0.0001729i,-0.0007677-0.00051642i,-0.00079339-0.00095557i,-0.0011579-0.00019573i,-0.0010592+0.00092978i,0.00026206+0.0010161i,0.00085715+0.00037695i,0.00050961+0.00034462i,0.00087389+0.00099549i,0.0013986+0.00097265i
-0.0013855+0.0012359i,-0.00075439+0.00024572i,-0.00033131+0.00084546i,0.00052627+0.0011182i,0.00067383+0.00028056i,0.00082882-0.00021664i,0.00047992-0.00058575i,0.00022941-0.0010591i,0.00099022-0.0013211i,0.0007125-0.00010854i,0.0003084+0.00097715i,0.0013916+0.00050252i,0.0017689-0.00040837i,0.00043086-0.00094701i,-0.00066588-0.00094471i,-0.00084052-0.00022777i,-0.00061167-6.7916e-05i,-0.00010045+0.00047655i,-0.00012549+0.00077164i,-0.00015067+0.00050032i,0.00039687+0.00013702i,0.00051749-0.0004512i,0.00091927-0.00031411i
-0.00034082-0.0001263i,0.00042884+5.2759e-05i,-0.00030412+0.00078355i,-0.00054278+0.00090165i,-0.00078403+0.00023608i,-0.001225-0.00084468i,-0.0012679-0.0011338i,-0.00029574-0.0010757i,0.00039837-0.00076561i,-0.00021837-5.8137e-06i,-0.00053307+0.0009295i,-0.00049481+0.00093275i,-2.8892e-06-0.0001199i,0.00031308-0.0002631i,2.8642e-05+0.00052008i,-0.00057+0.00052518i,-0.0004856-4.7373e-05i,0.00037977-4.8892e-05i,0.00060861-1.4255e-05i,-0.0002772+8.9479e-06i,-0.00043854+0.00022567i,0.00051647+0.00070919i,0.00079634+0.00097609i
-0.0007498-0.00066057i,-0.0011776+0.00056904i,-0.0018232+0.0010134i,-0.0012039+0.00158i,-0.0014381+0.001533i,-0.0011452-0.00017307i,-0.000629-0.00029973i,-0.00064181-0.00030619i,-0.001168-0.00045547i,-0.0014705-0.0002286i,-0.00020036-0.00046232i,-0.00014791-0.00039517i,-0.00082931-0.00030549i,-0.00016059-0.00061643i,0.00027363-0.0004014i,0.00042166+8.3248e-05i,-4.7488e-05+0.00031127i,-0.00085952+0.00026264i,-0.00034052-0.00046989i,0.0003536-0.00031605i,-0.00022044+0.00016172i,-0.00041169+0.00028975i,-0.00050051-0.00017791i
-0.00087633-0.0031239i,-0.0011015-0.0027209i,-0.0021348-0.0015389i,-0.0022749-0.0006981i,-0.0011847-0.00013488i,-0.00054979+0.00052808i,-0.00036404-0.00062104i,-3.3841e-05-0.0020682i,1.3271e-05-0.0013814i,-0.00096629-7.5364e-05i,-0.0010504+0.00025084i,0.00042317+0.00018614i,0.00104-0.0001268i,0.00049687-0.00025908i,-0.00057303+0.00020201i,-0.0012457+0.00040906i,-0.0011522+0.00090948i,-0.00109+0.0011069i,-0.00050882+0.00038556i,4.359e-05+4.8598e-06i,2.4606e-05-0.0003426i,-0.00050343-0.00036818i,-0.0004997-0.00018534i
-0.0008216+6.82e-05i,-0.00046592+0.00059154i,-0.00019593+0.00040769i,-0.00038976+0.00032835i,-0.00036041+0.00066087i,-0.00016205+0.00018558i,0.00038468-0.00065613i,0.00097561-0.00097067i,0.00047863-0.0012833i,0.00018469-0.00062781i,2.9187e-05+0.00032469i,0.0001467+0.00040874i,1.9268e-05+0.00051i,-0.00072686+3.3e-05i,-0.0012027-0.00067746i,-0.00075401-0.00036084i,-0.00027823-1.3157e-06i,-0.00012008-0.00049527i,8.8583e-05-0.00053707i,0.00018698-0.00032871i,0.00029825-0.00030377i,0.0009057-0.00031522i,0.00096539-2.6011e-05i
0.0011873-0.00026807i,0.0015079-0.0002748i,0.00084732-0.00028974i,0.00024102-0.00021478i,-0.00077827-0.00046252i,-0.0014727-0.0011789i,-0.00020391-0.00096252i,-0.00012728+0.00015627i,-0.00095014+1.6313e-05i,-0.00085789-0.00084269i,-0.00040504-4.2739e-05i,-6.7736e-05+0.00065846i,-0.00057318+0.00054597i,-0.0011549+0.00011211i,-0.00070106-0.00047382i,-0.00031593-0.00063014i,-0.00013256-6.3396e-05i,-0.00020366-8.5663e-05i,-0.00038688-0.00035504i,-0.00024634+1.7732e-05i,4.4376e-05+7.4717e-05i,-5.3156e-05+1.4738e-05i,-0.00028781-0.00014536i
-0.0018854+0.00088147i,-0.0024932+0.0001811i,-0.001535+0.00059608i,-0.00057003+0.00090739i,-0.00063922+0.00073628i,-0.00069524+0.00079459i,-0.0015377-1.5391e-05i,-0.0018354-0.0011738i,-0.00085749-0.0012829i,-0.00016874-0.00053945i,-0.00011451+0.00016175i,-0.00052702+0.00018562i,-0.00013531-0.00042159i,-0.00046588-0.00017942i,-0.0012415-3.3112e-05i,-0.00038233-0.00024017i,0.00060658-0.00010588i,0.00057324-2.3153e-05i,0.00077385-0.00087098i,0.00043469-0.0013449i,0.00025341-0.00086182i,-2.2449e-06-0.00043048i,-0.00061462-2.6329e-05i
-0.0015977-0.00088285i,-0.0013302-0.0019626i,-0.0019271-0.0018024i,-0.0013532-0.00081012i,-0.00068287+7.2969e-05i,-0.00084892-0.00071535i,-0.00061836-0.0013787i,0.00025836-0.00071838i,-0.00017053-0.00099404i,-0.00094015-0.00046279i,-0.00085561+0.00077567i,-0.00038743+0.00026405i,-0.00015389-0.00061652i,-0.00053493-0.00040083i,-0.0010943-0.00017617i,-0.00092632-0.00016965i,-0.00057052+4.542e-05i,0.00047443+0.00087402i,0.00097618+0.00072959i,0.00052602+0.00012654i,0.00042773+0.00082741i,0.00082196+0.0013463i,0.00072869+0.0006379i
0.0011315-0.0024189i,0.0013621-0.00086263i,-0.00026616-0.00093832i,-0.0020914-0.00066572i,-0.0022101+0.00036984i,-0.0019389+0.00095606i,-0.0014161+0.00030293i,-0.00024345-0.00032395i,0.00013465-0.00054825i,-0.00081332-0.00017062i,-0.0011857+0.00041449i,-0.00013357+0.00064063i,0.00070745+0.00025189i,0.00059543+0.00037366i,0.00028654+0.0009545i,-0.00042001+0.0010965i,-0.00034613+0.00095008i,0.00022362+0.00068786i,0.00029105+0.00064527i,0.00044137+0.0004342i,0.00017082+0.00046266i,0.00010751+0.0003312i,0.00050951-0.00020382i
-0.000111+0.00077309i,-0.00032252+0.0012644i,0.00058475+0.0010033i,0.00034253+0.0008324i,0.00012474-0.00014512i,0.00058576-0.0012864i,0.0007777-0.0016308i,0.001139-0.0014101i,0.0011009-0.0012955i,-0.00029823-0.00085325i,-0.00064495+0.00014762i,0.00042694+0.00018361i,0.00029363-0.00038482i,-0.00066848-0.00067844i,-0.00051686-0.00070118i,-6.3573e-05-0.00029504i,-9.4972e-05+0.00045519i,-0.00012697+0.00051677i,-8.7355e-05-0.0001568i,4.1689e-05-8.9553e-05i,0.00063566+0.00021081i,0.0006257+0.00028347i,1.8679e-05+0.00024677i
0.00027601-0.0012822i,7.4699e-05-0.0015919i,0.00015031-0.0013912i,-0.00018952-0.0013052i,-0.00084655-0.0010836i,9.3475e-05-0.00068042i,9.405e-05-0.0015155i,-0.00082019-0.0021744i,-0.0003417-0.001545i,-0.00063464-0.00058463i,-0.00094049-0.00041507i,-0.00097-0.00023348i,-0.00085838+0.00059967i,-0.00019671+0.0013281i,0.00044087+0.00062548i,0.00062329+0.00027309i,0.00056539+0.0008511i,0.00026668+0.00054576i,-0.00068306+0.00028334i,-0.00029454-1.869e-05i,3.1836e-05-0.00016811i,0.00012268-0.00015714i,0.00058491-0.0004091i
0.00033552-0.00044521i,0.00056712-0.00075502i,-0.00030706-0.00070877i,-0.00027172-0.00083784i,0.00041204-0.00056433i,0.0003546-0.00058502i,-0.00056471-0.00069155i,-0.0010605-0.00026989i,-0.00082524+0.00038611i,-0.00074851+0.00010647i,-0.00038367-0.00019153i,8.2028e-06+0.00068453i,-1.6556e-05+0.0012363i,-0.00013044+0.0011128i,-0.0004422+0.00057182i,-0.00097247+0.00041049i,-0.00087879-0.00012269i,-0.00049012-0.00018189i,-0.00048547-0.00017902i,0.00021308-0.00016185i,0.0005686+0.00016472i,6.7039e-05-0.00043928i,-0.00013819-0.00059931i
-0.0010883-0.00031119i,-0.0007725+0.0014974i,0.00053351+0.00099823i,0.00043289+8.3218e-05i,-2.1163e-05-0.00070715i,0.00027574-0.00096913i,-6.1369e-05-0.0012537i,-0.0001589-0.0017991i,-0.00059689-0.0018775i,-0.0011146-0.0010581i,-0.00077739-0.00022234i,-0.00055492-0.00049357i,-0.00070011-0.0015604i,-0.00040836-0.0017242i,-0.00093975-0.0013092i,-0.0010842-0.00031138i,-0.00032214+0.00042143i,0.0002198+0.00017064i,0.0007348+0.00055288i,0.00087161+0.00093781i,0.0011518+0.00047026i,0.0011922-0.00040761i,0.0010671-0.00079594i
0.0008564-0.0018992i,0.000367-0.0010804i,-0.00097847-0.0013421i,-0.0018427-0.0013739i,-0.0015843-0.00051178i,-0.0013625-6.3636e-05i,-0.0011257-0.00053551i,-0.00021564-0.0005501i,-5.3194e-05-0.00085359i,-0.0006038-0.00050821i,-0.0010869+0.00044574i,-0.00071445+0.00024923i,-0.00023529+0.00013808i,-0.00086176+0.00078014i,-0.0013768+0.00077857i,-0.0011425+0.00073515i,-0.00081126+0.0010236i,-2.1716e-05+0.00071698i,0.00049479+9.7925e-05i,0.00055277-0.00029163i,0.0002595-1.4264e-05i,0.00033225+0.00028259i,0.00020616+9.276e-05i
