4.5915e-05-0.00054708i,0.00039732-0.001075i,0.00026215-0.0010874i,-0.0010899-0.00099715i,-0.0018864+0.00053604i,-0.002222+0.0010662i,-0.00078108+0.00048998i,0.0012397+0.0010487i,0.0015943+0.0014634i,0.001183+0.00076306i,-0.00014061+0.00058686i,-4.7951e-05+0.00033315i,0.0004653+9.4265e-05i,-0.00027609+0.00032391i,-0.00023558+0.00036758i,0.0003883+0.00080676i,-0.0005881+0.00084149i,-0.001374+0.00028712i,-0.0004677+0.00040678i,0.00024381+0.00079399i,0.00027129+0.00052739i,-0.00033592+0.00012535i,-0.0010792+0.00029942i
-0.0031528-0.0012589i,-0.0039462-0.00079884i,-0.0033242+0.0002951i,-0.0017732+0.0013365i,-0.00040021+0.0012996i,0.00051896-0.00046972i,0.00095204-0.0021057i,0.00042005-0.0012782i,-0.00024349+0.00025594i,-0.00055486+0.00080864i,-0.00060337+0.0010081i,-0.00010201+0.00077959i,0.00041203+0.00014919i,0.0012789-0.00070608i,0.0019149-0.0005318i,0.0012081-0.00056202i,0.00042518-0.00046316i,-0.00029168-6.3027e-05i,-0.00053672-9.5237e-05i,-0.00059259-6.6453e-05i,-6.9918e-05-0.00049904i,0.00016367-0.0010162i,-0.00077575-0.00062635i
0.0010285-0.0012123i,0.00076049-0.00059435i,0.00076308+9.6708e-05i,-5.4511e-05+0.00088008i,-0.00067177+0.00095699i,-0.00027103-0.00022197i,-0.00018035-0.00079862i,-0.00077628-0.00076753i,-0.00024868-0.00062556i,0.00062607+2.7599e-05i,0.00078591+0.0002346i,0.00058173-0.00019706i,0.00020747-0.0003756i,-0.0001459-0.00067592i,2.9915e-05-0.00058006i,3.3482e-05-4.9863e-05i,0.00037184+0.00017183i,0.00053661+0.00067673i,0.00028337+0.00037149i,0.00020003-0.00041834i,0.00020323-0.00073347i,-8.4536e-05-0.00035855i,-0.00031521-0.00028166i
-0.0014542+0.0014423i,-0.0034163+0.0024945i,-0.004103+0.0043117i,-0.0018531+0.0048504i,0.0004716+0.0038521i,0.0013582+0.0015745i,0.0012763-0.00072953i,0.0011597-0.0014417i,0.00042051-0.00096178i,-0.00084242-0.00012615i,-0.00087655+0.0007183i,-0.00027299+0.00083911i,0.00061422+0.00029608i,0.0010144-0.00037087i,0.00058356-0.00078981i,0.00029934-0.00094113i,-0.00055597-0.00050628i,-0.00034102-0.00013406i,0.00051107+8.2454e-05i,0.00046256-7.3323e-05i,0.00052218-0.00064209i,6.9822e-05-0.00040318i,-0.00054182-0.00030832i
-0.0016207+0.00011901i,-0.0019056-0.0001586i,-0.0022144+0.00032091i,-0.0019578+0.0018545i,-0.00064226+0.0023818i,0.00035355+0.0014297i,0.0008728-0.00028892i,0.00023173-0.0005979i,-0.0003053-0.00048661i,0.0001933-0.00064027i,0.00060277-0.00061779i,0.00056954-3.8722e-05i,0.00075967+0.00092063i,0.0011924+0.00060205i,0.00070409+0.00014059i,0.000591+0.00020055i,0.00024526+1.9562e-05i,-0.00054534-0.00035454i,-0.0004501-0.0001719i,7.9074e-05-0.00027281i,0.00047808-0.00040759i,0.000327-0.00029226i,-9.2812e-05-0.00040659i
-9.9802e-05-0.0014625i,-0.00042949-0.0015396i,-0.00035664-0.00096362i,-6.1404e-05-0.00079201i,0.00053776-0.00047704i,0.0003263-0.00051058i,-0.00022072-0.00094709i,0.0001214-0.00090419i,0.00022103-0.00054953i,-0.00016167-0.00075685i,0.00045902-0.001004i,0.00078551-0.00060368i,4.4085e-05+0.00069694i,-0.00037659+0.0016625i,-8.1435e-05+0.0016888i,0.00050529+0.0011517i,0.00055549+0.0010402i,0.00047669+0.00071576i,0.00067465-0.00013303i,0.0010303-0.00038214i,0.00063257+0.00037818i,-0.0001507+0.00075165i,-0.00010545+0.0002828i
0.0012444-0.0013799i,0.0013501-0.00076264i,-7.6663e-05+0.0012677i,-0.0013406+0.0025066i,-0.0013416+0.0019979i,-0.00058814+0.00055954i,-3.4282e-05-6.743e-07i,-0.00013486+0.00032499i,-0.00045584+0.00047291i,-5.0196e-07+0.00033951i,4.0645e-05+0.00032026i,-0.00054432+0.00012013i,-0.00076074+0.00047432i,-0.0010169+0.00062739i,-0.00096293-0.00052627i,-0.0006364-0.0010768i,-0.00039313-0.00069453i,4.0448e-05-0.00018746i,0.00012854+0.00048425i,-0.00078503+0.00087062i,-0.00058355+0.00046037i,0.00022251-0.00010985i,0.00015253-0.0003535i
0.0018609+0.0017162i,0.0022471+0.00097981i,0.0013743+0.00077545i,0.0006765+0.00091192i,2.488e-05+0.00079136i,-0.00079188-0.00037287i,-0.00084568-0.0011113i,-0.00028229-0.00038834i,-6.7173e-05+0.00020106i,0.00035274-9.1896e-05i,-0.00013423+0.00013497i,-0.00049913-0.00016627i,-9.9101e-05-0.0009071i,-4.7215e-05-0.00043767i,-0.00038906+0.0005865i,-0.00061458+0.00083589i,-0.00048101+0.00092024i,-0.00094048+0.001491i,-0.00061791+0.0013659i,-6.9996e-05+0.00097492i,6.4624e-05+0.00053215i,-2.4397e-05+0.00045282i,0.00021079+0.00078784i
-0.00069911-0.0022537i,-0.0017985-0.0020749i,-0.0023399-0.0017959i,-0.0027234-0.0005892i,-0.0019527-8.343e-05i,0.00016305-0.00066086i,0.00094162-0.0011665i,0.00022082-0.0011669i,-0.00030032-0.0011222i,-0.00015454-0.00097235i,4.8197e-05-0.00027487i,4.6789e-05+0.00075656i,0.00039081+0.00085666i,0.00060979+0.00097205i,0.00022241+0.001297i,0.0001079+0.00089654i,-0.00042101+0.00062395i,-0.00050694+0.00023805i,0.00020886-0.00033352i,-0.0001577-0.00099011i,-0.00030182-0.00056925i,0.00034396+0.00027568i,-0.00020932+0.00038145i
-0.00027594-0.0011911i,-0.00053025+0.00020565i,-0.0011129+0.002266i,-0.0016165+0.0037142i,-0.0010093+0.0035644i,0.00028702+0.0017731i,0.00025008-0.00028888i,-0.00049909-0.00055784i,-0.00080134+0.00059919i,-0.0010062+0.0011536i,-0.00059654+0.0011397i,0.00013676+0.00062326i,0.00055219-0.00042304i,0.00065286-0.00042309i,0.00058198-4.414e-05i,-0.00049196-0.00019636i,-0.00099496-0.00048015i,-0.0001222-0.00060633i,0.00015719-0.00062575i,-0.00017652-0.00024638i,-0.00035153+0.00026256i,-0.00053115+0.00077608i,-5.355e-05+0.00089213i
-4.7662e-05+0.0010502i,-0.0010169+0.0020582i,-0.0020197+0.0025366i,-0.0020179+0.0025847i,-0.001973+0.0019182i,-0.00094852+0.00096131i,0.00016509-0.00016164i,-0.00010728-0.001114i,9.5529e-06-0.0011286i,0.00063519-0.00021251i,0.00015971+0.00028987i,-0.00031646-0.0003981i,-0.00101-0.00093534i,-0.0012151-0.00064514i,-0.00072626+0.00027159i,-2.8395e-05+0.00024939i,0.00033162+6.713e-05i,0.00039232+2.7779e-08i,7.3527e-05-7.5572e-05i,-0.00029736+4.6276e-05i,-5.1489e-05+0.0004937i,-0.00031079+0.00050643i,-0.00055552-0.0002359i
-0.0014273-0.00072122i,-0.0025725-0.00081716i,-0.0031601-0.00025019i,-0.0023743-0.00010719i,-0.00059509-0.00024148i,-0.00092065-0.0010479i,-0.00095278-0.0015609i,-0.0008402-0.00057498i,-0.0012694+0.00058449i,-0.00049094+0.00035009i,0.00034638+0.00013411i,0.00049567+0.00050825i,0.00092945+0.00066065i,0.00049968+0.00027707i,-0.0011582+0.0001641i,-0.0012785+0.00062548i,-0.00028106+0.00065547i,0.00059686-1.7981e-05i,0.0010909-0.00025901i,0.0008286-2.451e-05i,0.00021309+0.0001114i,-1.8305e-05-0.00050499i,-0.00046472-0.0015686i
0.0019633-0.0012158i,0.0010158-0.0017126i,0.0002955-0.00049427i,-0.00015537+0.0012138i,-0.00011899+0.0010139i,-7.6124e-05-0.00047901i,0.00013608-0.00089401i,0.00050251-6.5349e-05i,0.00011055+7.6506e-05i,-0.0011272-0.00063911i,-0.0015475-0.0001978i,-0.00099693+0.00043277i,-0.00078285+2.1604e-05i,-0.00040824-6.9846e-06i,0.0001583+0.00036865i,0.00022233+0.00017996i,0.00021545+7.6953e-05i,-2.1497e-05+0.00045196i,4.3792e-05-6.8978e-05i,0.00028514-0.00036277i,-6.1429e-06-8.7298e-05i,-7.0452e-05-0.00035537i,0.00058374+0.00019286i
-0.0016233-0.0010717i,-0.0013669-0.00063867i,-0.0011326+0.0024168i,-0.0011422+0.003721i,-7.2777e-05+0.0025618i,0.00051341+0.0013146i,0.00011488-7.4673e-05i,0.00019873-0.00038431i,0.00021381+2.5055e-05i,0.0004094+0.00015155i,0.00069222+0.00024431i,0.00087655-0.0009302i,0.0011322-0.0018453i,0.0011773-0.0015781i,4.3706e-05-0.0010938i,-0.00055986-0.00022152i,-0.00066789+0.00046617i,-0.00025784+0.00012879i,0.00028398-0.00089091i,-7.0544e-05-0.0014106i,-0.00027626-0.00077226i,-0.00048677+0.00026183i,-0.0006246+0.00028781i
-0.0018522+0.00060123i,-0.0029643+0.0013842i,-0.0045156+0.0018135i,-0.0031817+0.0023608i,-0.00097752+0.0019178i,0.00026002-0.00011568i,0.00068109-0.00094229i,0.00056582-0.00085731i,0.00037233-0.0012597i,0.00023421-0.0006452i,0.0004129+0.00013057i,0.00070207-0.00042489i,0.00027989-0.00092869i,6.2372e-05-2.2178e-05i,2.4417e-05+7.7453e-06i,0.00028222-0.0006083i,-0.0004916-0.00032596i,-0.00070069-0.00045421i,0.00015141-0.00065349i,0.00019784-0.0003786i,0.00048824+0.0002977i,0.00045977+0.00042034i,1.4166e-08-0.00060561i
-0.00070706-0.0013121i,-0.00046522-0.0012854i,-0.0003047-0.00063486i,-0.00041899-8.7086e-05i,-5.0186e-05+0.00020517i,0.00068418-0.00038455i,0.00043972-0.00060156i,0.00030685-0.00034853i,0.00048715-0.00035131i,0.00020018-0.00052887i,0.00031035-0.00070456i,0.00043969-0.00043295i,0.00035989-0.0005239i,-7.3979e-05-0.00092235i,-0.00021147-4.0064e-05i,0.00010998+0.00070405i,-9.7005e-05+0.00054849i,-0.00024777+0.0010809i,-0.00034342+0.0010107i,-0.00014541-0.00053814i,-0.00024724-0.0010147i,0.00020384-0.00043213i,0.00044882-0.00048503i
0.00032371-0.0019808i,-0.0012303-0.001343i,-0.0028849+0.00051087i,-0.0030337+0.002307i,-0.0018784+0.0025746i,-0.00030622+0.00086461i,0.00062797-0.00064916i,-0.00021915-0.0012513i,-0.00040878-0.00083654i,-0.00021763-6.6549e-05i,-7.8927e-05+0.00018012i,0.00025391+0.00026425i,0.00031682+0.00041183i,0.00047125+0.00013411i,0.00064135+0.00018952i,3.1914e-05+0.00020643i,-0.00032219+0.00050223i,0.00054347+0.00096913i,0.00049911+0.00072875i,-0.00016208+0.00015456i,-0.00069252+0.00014533i,-0.0006078+0.00052289i,-0.00010188+0.00024371i
0.00035792-0.00053548i,-0.0010571+0.00048491i,-0.0026692+0.0010223i,-0.0029169+0.0019609i,-0.0015326+0.002098i,0.0011088+0.00017323i,0.002232-0.0011202i,0.0008287-0.00080461i,-7.0459e-05-0.00048379i,0.00028276-0.00036948i,0.00019469+0.00029201i,0.00060102+0.00068771i,0.00061239+0.00035943i,-0.00033705+5.0602e-05i,-0.00051208-0.00015274i,0.00043648+8.7825e-05i,0.00054706+0.0001965i,-0.00011967+0.00077814i,-0.00021068+0.00092758i,4.9301e-05+8.1871e-05i,6.7035e-05+5.2112e-05i,-0.00011363+0.00051498i,-0.0008519+0.00027512i
-0.00012251-0.0021869i,-0.0013041-0.0029286i,-0.0023561-0.0013529i,-0.0034369+0.00069608i,-0.0027401+0.001453i,-0.00075711+0.0010497i,0.00011051+0.00029675i,-0.00033629+0.00051165i,-0.00050744+0.0005959i,-0.00030752+0.00078945i,-0.0003111+0.001298i,0.00025195+0.00078528i,0.00052368+0.00074077i,0.00033338+0.00095567i,-0.00022401+0.00075097i,-0.00073269+0.0013197i,-0.00039447+0.0011644i,6.9092e-06+0.00030997i,0.00014999-0.00019442i,-0.00026587+5.945e-05i,-1.0651e-05+0.00033276i,0.00051494+9.0569e-05i,0.00054015+0.00011328i
0.0025481-0.00037651i,0.0023361-0.00064899i,0.0013252+0.00013384i,0.00082964-0.00015593i,0.00053106-0.0002674i,0.00011536-0.00024882i,0.00015399-0.00028648i,-5.9258e-05-0.00057902i,-0.00051715-0.0014525i,-0.00080852-0.0013678i,-0.00096191-0.00067931i,-0.00053193-0.00028305i,0.00046714+5.0245e-05i,0.00047863+0.00063881i,0.00017957+0.0011075i,0.00077336+0.0014367i,0.00073547+0.0010331i,0.00043155+0.00015564i,0.00022093+9.0838e-05i,0.00098058+1.7785e-05i,0.00099641+2.3042e-05i,-0.0001781-0.0003446i,-0.00097758-0.00035989i
0.0011583-0.00095449i,1.664e-05-0.00018542i,-0.001749+0.0014297i,-0.0024415+0.0019883i,-0.0011342+0.00048808i,0.00020228-0.001229i,0.00010538-0.0014318i,-3.164e-05-0.00063407i,6.1542e-05+0.00015188i,0.0001879+0.00052529i,-0.00034408+0.00032596i,-0.00020522+0.00052666i,-0.00019848+0.0010095i,-0.0010851+0.00026536i,-0.0012732-0.00024211i,-0.000669+0.00043731i,4.6483e-05+0.00042993i,0.00031884+0.00023407i,-3.3999e-05+0.00063646i,-0.00044804+0.0010288i,0.00050867+0.0008826i,0.0011454+0.00047323i,0.00035204+0.00032398i
-5.4121e-05-0.0015155i,-0.00061207-0.0014069i,-0.0014561-0.00127i,-0.0017997-0.00046106i,-0.00059233-7.3748e-05i,0.00044614-0.00024039i,0.00031274-0.00074767i,-0.00026754-0.00097795i,0.00011281-0.0002415i,0.0008792+0.00065301i,0.0012581+0.00037418i,0.00073684+8.2717e-05i,0.00018077+0.0006633i,6.0136e-05+0.00066016i,-0.00014865+0.00040796i,-0.00017424+0.00048127i,-0.00023445+0.00050863i,-0.00083183+0.00023683i,-0.00059353+0.00020923i,0.0002543+0.00039803i,-0.00046845+0.00031817i,-0.00082027+0.00054439i,-0.00082255+0.0011208i
0.0013335-0.0009669i,0.00071134-0.0013756i,-0.00053341-0.00073965i,-0.0014881-0.00029068i,-0.00084161-0.00032186i,0.0003799-0.00020368i,0.00060189-0.00051242i,0.00064774-0.00097523i,0.0001175-0.0011567i,-9.336e-05-0.00045209i,0.00034124+0.00015681i,0.00052111+0.0002266i,0.0011377+0.00013535i,0.00039814-0.00017255i,-0.0006699-0.00049977i,-0.00025723-0.00043526i,5.9686e-05-0.00028523i,0.000118-0.00040091i,-0.00014894-0.00031346i,-0.00074375+5.6255e-05i,-0.00050816+0.00019974i,-0.00052577-0.00019991i,-0.00065143+9.8761e-05i
0.00083352-0.00012301i,0.0001953-0.00016721i,-0.00059467+0.0013632i,-0.00099319+0.0030972i,-0.00023728+0.0030279i,-7.4916e-05+0.0013387i,-0.00018172-7.7726e-05i,-6.8892e-05-0.00071949i,-0.00037698-0.00042545i,-0.00061227+7.8921e-05i,-0.00042332-4.8493e-05i,-0.00011787-0.00054958i,-2.676e-05+2.0868e-05i,0.00052531+0.00083387i,0.00083864+0.00021199i,-0.00011043+0.00023667i,-0.00041332+0.00060008i,0.00065538+0.00067265i,0.00082167+0.00094578i,4.4622e-05+0.00034455i,-0.00057854-0.0002045i,-0.00073767-4.4331e-05i,-0.00028145-0.00028439i
0.00015486+0.00015584i,-0.00089527-0.00014824i,-0.0018403+2.0366e-05i,-0.0029492+0.00094684i,-0.0020837+0.00076399i,5.0617e-05-0.00043645i,0.0010328-0.00083846i,0.00063879-0.00093136i,0.00031124-0.0009355i,0.00031929-0.0006627i,-0.00014642-0.00028001i,-0.00024285-5.9482e-05i,0.00022104-0.00024635i,0.0002527+0.00067402i,-0.00014889+0.0013876i,-0.00010074+0.00072623i,-0.00070223+5.6532e-05i,-0.00096191+4.0284e-05i,-0.00025663+0.00096844i,-0.00043458+0.00096245i,-0.00063276+3.7453e-05i,-1.0101e-05-0.00060362i,-0.00024482-0.00029346i
0.00021408+5.7317e-05i,-0.00072259-0.00044932i,-0.0012247-0.0010093i,-0.0017596+4.7807e-05i,-0.0015004+0.0011454i,-0.00040031+0.001268i,0.00048346+0.00077677i,0.00031831+0.00078518i,-0.00057599+0.0010615i,-0.00058021+3.0885e-05i,-0.00053355-0.00047307i,-0.00079462-9.5881e-06i,-0.00031444+6.4751e-05i,-0.00040308-0.00018409i,-0.00051267+1.6048e-05i,0.00025297+0.0004889i,0.00088455+0.00032238i,0.00032727+0.0006424i,-0.00047761+0.00057333i,-0.00064452+0.00040915i,-0.00044452-0.00023606i,4.2411e-05-0.00038231i,0.00018949-0.00013662i
0.0011862-0.0013859i,0.00089511-0.00064337i,-0.00020433+0.00040313i,-0.00084172+0.0010113i,-0.00069624+0.0013265i,-0.00055999+0.0017346i,-0.00069279+0.0010582i,-0.00066096+0.00065978i,-0.00017873+8.0025e-05i,-8.4304e-06-0.00060109i,-3.8962e-05-0.00020594i,0.00014127+0.00038353i,0.00088534+0.00031284i,0.00070337+0.00059626i,-0.00097302+0.00075668i,-0.0019406+0.00022657i,-0.0009327+0.00010865i,0.00033633+0.0003105i,0.00073618+7.9462e-06i,0.0010341-0.00079785i,0.00099067-0.0011753i,0.00041169-0.00062346i,0.0002895-0.00031549i
0.0011747-0.00027706i,0.00022604-0.00075082i,-0.0012266+7.1078e-05i,-0.0016698+0.00029596i,-0.0019372-0.00042078i,-0.0017068-0.0018983i,-0.00081721-0.0018657i,-0.00042222-0.00051161i,-0.00039847-0.00038404i,-0.00076918-0.00065394i,-0.00081156-0.00041136i,-0.00013728+0.000298i,-0.00025483+0.00094709i,-0.00080693+0.00046006i,-0.0011551-0.00076954i,-0.0010997-0.00050343i,-0.00091839+0.00075739i,-0.00060318+0.00067133i,-0.00010978+0.00018437i,-0.00027363+0.00096691i,-0.00029486+0.0010144i,0.00034438+0.00038808i,7.7059e-05+0.00048903i
0.0013022-6.8636e-06i,0.00071398-0.00018882i,0.00053775+0.00020426i,0.00020297+0.0011129i,0.00040818+0.00096387i,0.00015042-0.00092441i,-0.00052071-0.0018528i,-0.000434-0.00094326i,0.00012928+7.2008e-05i,-0.00014019+0.0002942i,-0.00027139+4.6699e-05i,0.00019539-0.00057457i,0.00018994-0.00091006i,-0.00024224-0.00064224i,-0.00087391+0.00015946i,-0.00037976+0.00048091i,0.00014575+0.00049136i,-0.00037284+0.00039238i,0.00021106+0.00014094i,0.00057474+4.4172e-05i,-9.7738e-05-0.00010248i,-0.00054919+0.00020456i,-0.00056973+1.9451e-05i
-0.0005933+0.00057974i,-0.00044917+0.00090906i,-0.0012911+0.0019514i,-0.0015882+0.0019951i,-0.00016961+0.0005129i,0.001172-0.0011828i,0.0013933-0.001307i,0.00070632-0.0011796i,0.00040811-0.00085195i,0.0004779-0.00078685i,0.00042822-0.00082134i,0.00029243-0.00042861i,0.00018158-0.00085928i,0.00016771-0.0014584i,-0.00012225-0.0012625i,0.00061472-0.00040554i,0.00057354+0.00059363i,0.00023046+0.0010047i,0.00042196+0.00043767i,3.2297e-05-0.00039224i,-0.00025959-0.00047336i,0.00078424+0.00039372i,0.00075979+0.00017214i
0.0010141-0.00012307i,0.00051659-0.0011015i,-0.00046224-0.00057372i,-0.0028265+0.00090565i,-0.002644+0.0017394i,-0.0007771+0.0017998i,-0.00045949+0.00077775i,-0.00027249-0.00055354i,-0.00043884-0.0014001i,-0.00040784-0.00080873i,0.00020325-0.00010955i,0.00029856+0.00012229i,0.0004231+0.00013737i,0.00021858-3.5551e-05i,8.7985e-05+0.00016771i,0.00053447+0.00029601i,0.00015667+0.00093732i,-0.00056098+0.00090816i,-0.00036048-0.00034379i,0.00064937-0.00056003i,0.00097901+0.00071211i,0.00052243+0.0020238i,0.00046149+0.0019195i
0.001953-0.0022746i,-0.00069587-0.0032757i,-0.0026163-0.0030729i,-0.0027091-0.0015539i,-0.0017947-0.0010317i,-0.0012164-3.9753e-05i,-0.00025432+0.00088129i,0.00030683+0.00123i,-0.00016102+0.0005264i,-0.00041403+3.2144e-06i,-0.00064342+0.00010324i,-0.00063947+0.00032822i,0.00059036+0.0011084i,0.001058+0.0012798i,-0.00038636+0.00096452i,-0.0010894+0.00093658i,-0.00061855+0.0011201i,-0.00021171+0.00061733i,0.00039298-0.00042289i,0.00049125-0.0003865i,-1.0275e-05-0.00026335i,0.00040278-0.00090722i,0.00057529-0.00038811i
0.00029517-0.0012535i,-0.0010079-0.0027653i,-0.0019921-0.0014824i,-0.0018677+0.00034933i,-0.00082565+0.00039746i,0.00053253-1.9589e-05i,0.00078675-0.00019463i,0.00010533-0.00011026i,-0.0003867-0.00037338i,-0.00023292-0.00068958i,0.00066546-0.00044821i,0.00028003+0.00022859i,-0.00057471+0.00063362i,-0.00060332+0.0011673i,-5.1792e-05+0.0012204i,-1.9178e-05+0.00057921i,-0.00025003+0.00043098i,0.00023883+0.00076237i,0.00091429+0.0008503i,0.0010927+3.1709e-05i,0.00045699-9.9706e-05i,2.1507e-05+0.00036741i,0.00038796+0.00066211i
0.00038814-0.00070022i,8.3896e-06-0.0010598i,-0.0018571-8.9854e-06i,-0.0029622+0.0017923i,-0.0021376+0.002257i,-0.00014528+0.0012539i,0.00077846-0.00011652i,0.00036893-0.00014564i,6.2514e-05-0.00035371i,-0.0003536-0.00057946i,-0.00024887-0.0001072i,0.00019836+0.00020998i,0.0012511+0.00041868i,0.0010462+0.00024252i,6.6789e-05+0.00011937i,-0.00010065+0.00049083i,0.00033203+0.00080427i,0.00049625+0.00048394i,6.3276e-05+0.00094595i,8.4018e-05+0.00052289i,0.00054817-8.5751e-05i,0.00026473+0.00039166i,-0.00037354+0.00060082i
-4.3394e-05-0.0021374i,-0.00023429-0.0036743i,-0.00037755-0.0028403i,-0.00093823-0.00064635i,-0.00073537-0.00011685i,0.00027179-0.00059776i,0.00042-0.00071806i,-0.00058554-0.00010555i,-0.00089857+0.0001688i,-0.00077362+0.00013923i,-0.0011662-0.00038696i,-0.00083379-0.0004843i,-0.0002738+0.00020484i,-0.0003562+0.00032109i,-0.00065901+0.00010114i,-0.00073615-9.7729e-06i,-0.0012354-0.00061493i,-0.0012695-0.00047309i,0.00033351+8.4946e-05i,0.0010633-7.9221e-05i,0.00016355-0.00026827i,-0.0004189-0.00064117i,1.6621e-05-0.00089642i
0.00098185-0.00098933i,0.00049288-0.0019038i,-0.0011652-0.00036495i,-0.0025697+0.0021755i,-0.0017087+0.0020136i,-0.00019414+0.0013253i,-0.00030329+0.00083875i,-0.00054306+0.00022649i,-0.00040128+0.00019055i,-0.00014531+0.00026043i,-0.00049859+0.00029797i,-0.00059193+0.00023966i,-0.00078614+0.0001779i,-0.0014106+2.2934e-05i,-0.00097109-0.00034929i,0.00024398-0.0006165i,0.00056738-0.00011104i,0.00019973+0.00039652i,0.00025551+7.9032e-05i,0.00056903-0.00032419i,0.00058047+8.7093e-05i,0.00021092+4.7396e-05i,-0.00081314-0.00093073i
-0.00095811+0.00084884i,-0.0016559+0.0019604i,-0.0020403+0.002344i,-0.0019752+0.003575i,-0.0017274+0.0021165i,-0.0010913-0.00034737i,-0.0010875-0.0011869i,-0.00093864-0.00086141i,-0.00039681-0.00030312i,-0.00023977+9.1627e-05i,0.00054589+9.8956e-05i,0.0010678-7.4878e-05i,0.00088038-0.00016393i,0.00065576+6.6382e-05i,0.00047653-0.00017106i,0.00017079-0.00042568i,9.7562e-05-0.00051441i,1.644e-06+0.00029021i,-0.00067402+0.00079563i,-0.00071036+0.0010342i,-0.00090585+0.00045087i,-0.00080107-0.00095275i,-0.00048063-0.0014867i
-0.0015514-0.00057504i,-0.001933-0.0011634i,-0.001626-0.00036267i,-0.0017073+0.00059474i,-0.0011484+0.00073253i,0.00035214-0.00025667i,0.00085131-0.00025676i,0.00038075+0.00033357i,0.00071626+0.00095752i,0.00072141+0.00079243i,-9.8117e-05-0.00036431i,9.3548e-06-0.00048851i,0.00076005-0.0005649i,0.00087325-0.00097439i,-7.7764e-05-0.00031284i,-0.0010704+4.5769e-05i,-0.00038116-0.00040651i,-0.00014977-0.00036755i,-0.00061005-0.0003929i,-0.00035619-0.00015652i,-1.984e-05-1.9416e-05i,-1.372e-05-0.00026137i,-0.00032159-0.00047834i
-0.00082664-0.001447i,-7.2591e-05-0.00026218i,-0.00060444+0.00040829i,-0.0015169+0.00070071i,-0.0010085+0.0012331i,-0.00024198+0.0008752i,-0.00012657-7.9408e-06i,-7.4838e-05-0.00018345i,-6.5508e-05+0.0002532i,-0.00043459+0.00085878i,-0.00055141+0.00097181i,0.00036037+0.00071154i,0.00027683+0.00078212i,-1.1085e-05+0.00081376i,0.00036198+0.0010494i,-0.00020283+0.0010653i,-0.00036407+0.00021445i,0.00054984-0.00033881i,0.00033923-0.0001922i,-0.00015515-0.00033838i,-0.00029289-0.00055676i,-0.0002236+0.00011831i,0.00044751+0.00037217i
0.0004309-0.00079266i,-5.2581e-05-0.00074123i,-0.0015053+0.00073039i,-0.0023641+0.0017864i,-0.0010695+0.0013805i,0.0004297+0.00082099i,0.00067501+0.00087971i,0.00026206+0.00053779i,0.00025966+0.00023911i,0.00068803-3.1525e-05i,0.00075771-0.00038986i,0.00041671-1.6283e-05i,0.00016244+1.7419e-05i,2.3487e-05-0.0008352i,-0.00033644-0.0011851i,-0.00089393+1.2422e-05i,-0.00033606+0.0005278i,0.0003284+0.00010052i,0.00050031+0.00047051i,0.00078939+0.0012355i,0.00083559+0.0010288i,0.00034247+0.00050352i,-0.00044826+0.00013639i
-0.00019339-0.00086642i,-0.0017388-0.0005099i,-0.0024777+0.00085879i,-0.0028192+0.0023166i,-0.0023877+0.0017984i,-0.001212+0.00023723i,-0.00020465-0.00032287i,2.3517e-05-0.00048293i,-0.00019609-0.00017259i,-0.00066721-0.00020701i,-0.00053533-0.00043426i,0.00077222-0.00026606i,0.0010478+0.00036862i,0.00021423+0.00073592i,-0.00012052+0.00082701i,-0.00016152+0.00031271i,-0.00043094-0.00014281i,-2.5407e-05-7.3746e-05i,0.00049317-0.00042883i,0.0004199-0.00035158i,-0.00017784-3.8211e-06i,-0.00087207+0.00049344i,-0.00093249+0.00037248i
0.0011427+0.0014426i,0.00047395+4.1088e-05i,-0.001064-0.00076883i,-0.0017662-0.00056721i,-0.0015099-0.00060557i,-0.00068876-0.00053868i,-0.00071714-0.00075311i,-0.00086658-0.00020584i,-0.00052245+0.00051258i,-0.00027731+6.7219e-05i,0.00016949+0.00033774i,0.00054295+0.0010741i,0.00044655+0.0011147i,-0.00041324+0.00067805i,-0.0010666+0.00023808i,-0.00085928-8.1443e-05i,-0.00016806-0.00019215i,0.00023718+0.00045208i,0.00016536+0.00075672i,-6.2063e-05+0.00061388i,-0.00035109+0.0010482i,0.00024901+0.0014271i,0.0011327+0.00079727i
-0.00032566+0.0017748i,-0.00060949+0.0017265i,-0.0013985+0.0018601i,-0.0015787+0.0012536i,-0.00068149+0.0008921i,0.00058848+0.00068494i,0.0012618-3.7993e-05i,0.00066065-0.00076858i,-0.00057691-0.00029532i,-0.00054942-0.00044243i,-0.00082441-0.00052385i,-0.0011126-8.2212e-05i,-0.00029838+0.00029601i,-2.5543e-05+0.00056609i,0.00023202+0.00054499i,0.00099685+5.0932e-05i,0.0014324-0.00066111i,0.00095505-0.00097011i,0.00010092-0.00058551i,-0.00011458-0.00016226i,0.00013716+0.00018824i,-0.00016234+0.00093501i,-0.00050273+0.00060723i
