-0.0027358+0.00051062i,-0.0014783-0.00030608i,-0.0026861+0.00044088i,-0.0021642+0.00074245i,-0.00092802+0.0011782i,0.00085374+0.00076594i,0.0014095-8.6159e-06i,0.00031865+0.00024987i,-0.00053049+0.00032592i,0.00061463+0.00056154i,0.0017713+0.0003617i,0.0013944-0.0010542i,0.0012693-0.0015772i,0.00092307-0.00092504i,0.00017277-0.00050981i,0.00047748+0.00025548i,0.00053254+0.00054315i,0.00065359+0.00048885i,0.00051896+0.00028306i,-0.00067359+8.3163e-05i,-0.0011793+0.00059618i,-0.00058865+0.0010165i,-5.7497e-05-0.00012238i
0.002064+0.00089135i,0.002268+0.00059547i,0.0015587+0.00038849i,0.00092014-0.0010055i,0.00068991-0.0018503i,0.00023874-0.0021734i,3.0047e-05-0.0011856i,-0.00015546+0.00016679i,-0.00014288+8.805e-05i,0.00058363+5.8064e-05i,0.0010164+0.00014872i,-0.00012143-0.0001601i,-0.00088002-0.00071614i,-0.00019989-0.0009159i,0.00076251-0.0013112i,0.00090553-0.0011779i,-1.8983e-05-8.9979e-06i,0.0001138+0.00038051i,0.00079015+0.00018569i,0.00030635-0.00044616i,-0.00063824-0.0012175i,-5.9389e-05-0.0007833i,0.00061001+1.868e-05i
-0.00065742+0.0013305i,-0.0006639+0.0013051i,-0.00011466+0.0015403i,0.0012115+0.00074574i,0.0017413+0.00050395i,0.0013088-0.00033338i,0.0012973-0.00091661i,0.00056176-0.00045279i,-0.00019474-0.0002222i,4.5036e-05-0.00064161i,-0.00016738-0.00065169i,-0.00050686-7.1545e-05i,-0.00022503-0.00052073i,0.00024178-0.001351i,0.00057134-0.0021885i,0.00041819-0.0016799i,-0.00030242-0.00034735i,-0.0011701-0.00034127i,-0.00066887-0.0011648i,-0.00037721-0.0013627i,-0.00034992-0.00089048i,9.2686e-05+0.00014421i,-0.00046113+0.00016994i
0.00075103-0.00014992i,0.0016901-0.00070248i,0.0019609-0.0015797i,0.0010713-0.0022782i,0.00039482-0.0021905i,3.242e-05-0.00066253i,8.2306e-05+0.00097249i,0.0005124+0.001233i,0.0001584+0.00099521i,-0.00024092+0.00066892i,-0.00028114+0.00064228i,-0.00040457+0.00064272i,-1.3035e-05+0.00067888i,0.00011678+0.00088994i,0.00030292+0.00081054i,0.00053734+0.00011761i,0.00040746-0.00070198i,0.0008985-0.00044868i,0.00064502+0.00017765i,-0.00015355+0.00038701i,-0.00092658+0.0007205i,-0.0011986+0.00087906i,-0.00065312+8.1991e-05i
-0.0007424+0.0018084i,-0.00026187+0.0026854i,0.00033496+0.0028139i,0.001013+0.00026689i,0.0011523-0.0014236i,0.0003829-0.0015187i,-7.1762e-05-0.0014311i,-3.3871e-05-0.00094182i,0.00018365-3.9942e-05i,0.00010374+0.00078473i,-0.00028733+0.001258i,-0.00042309+0.00060179i,-1.3784e-05-0.0003631i,0.00059339-0.00059308i,0.00019748-0.00049837i,2.0484e-05-0.00081329i,0.00087539-0.00076619i,0.00033458-0.00010609i,-0.00023134-0.00021393i,-3.646e-05-0.00057704i,0.00061576-0.00023027i,0.001035+0.00020699i,0.00053055+0.00032648i
-4.1296e-05-0.00089309i,0.0001506-0.0015202i,0.00029646-0.0016744i,0.00069809-0.0013024i,0.00073115-0.0011536i,0.00056221-0.0009492i,0.00047246-4.3481e-05i,-0.00018697+0.00014606i,-0.00039778+1.9738e-05i,-0.00063576+0.00067405i,-0.00086274+0.00066944i,-0.00024944+0.0002223i,7.7602e-05-0.00014153i,0.00019313-0.00054673i,1.4641e-05-0.00022472i,-6.0428e-05-8.3689e-05i,-0.00012124-0.0003658i,-0.00011648-0.00041008i,0.00030606+0.00014414i,0.0010312+0.00047803i,0.0013464+0.0003116i,0.00068015+1.4955e-05i,4.1426e-05+0.00010533i
0.0010175+0.00031592i,0.0012092+0.0013995i,0.0013896+0.0010056i,0.001053-0.00013117i,0.00081428-0.0012413i,0.00071822-0.0007234i,0.00076372+0.00023366i,0.00050431-8.8697e-05i,0.00040349-0.00045538i,-7.6386e-05-0.00020061i,-0.00059057+0.00047757i,-0.0010259+0.00058843i,-0.00095045+0.0007938i,-0.00057096+0.0014225i,-0.0010181+0.00078223i,-0.0011198-0.00010788i,-0.0008939-0.0002726i,-0.00018822-0.00017812i,0.00040356-0.00015808i,-2.8668e-05-0.00073434i,1.82e-06-0.0015874i,0.0011126-0.0018308i,0.0012763-0.0013263i
0.0015357+0.00025774i,0.0022295-0.00011879i,0.0032649-0.0012294i,0.0033629-0.0016979i,0.0016498-0.0019723i,0.0005592-0.0015674i,0.00069259-0.00097368i,0.00044984-9.9728e-05i,-0.0001013+0.00054233i,-0.00017152-0.00018046i,-0.0003536-0.00060251i,-0.00097219+4.4271e-05i,-0.0012985-0.00045733i,-0.00078613-0.00097967i,-0.00080617-0.00044747i,-0.00073038-3.7365e-05i,-0.00086143-3.8267e-05i,-0.00070691-0.00081552i,0.00039769-0.0005736i,0.00055544-0.00041889i,0.00011591-0.00070733i,0.00030727-0.00015526i,0.0009813+0.00010089i
0.0016079+0.00096788i,0.00213+0.001095i,0.0011508-0.00014232i,0.00063766-0.0017639i,0.0010851-0.0021737i,0.00040292-0.0013028i,-0.00038351+0.00037373i,9.8111e-05+0.00074471i,0.00069685-7.7702e-05i,0.00043705-0.001474i,-0.00080445-0.001725i,-0.0013734-0.00046706i,-0.00063158+0.00030785i,0.00013+0.00097739i,2.3831e-05+0.00086985i,6.9145e-05+0.00019419i,0.00028601-0.00022924i,0.00055474-0.00042457i,0.00069285-0.00071405i,0.00053613-0.00091664i,0.0004767-0.00044738i,0.00057768+6.6311e-05i,0.00027593+0.00050807i
0.0017055-0.00084825i,0.0014527-0.0017044i,0.0016391-0.0019573i,0.0011511-0.0018202i,0.00032207-0.0021256i,-0.00010818-0.0015441i,-0.00036528-0.00022505i,0.00025933+0.00084301i,0.00099238+0.00092948i,0.00046541+0.00067676i,0.00019515+0.00039744i,-0.00027404+0.00020797i,-0.0010606+0.00071624i,-0.00087094+0.0010937i,-0.00072818+0.00089776i,-0.00024499+0.00043221i,0.00088574-7.544e-05i,0.0010353-0.00040464i,0.0007041-0.00029184i,0.00071025+0.0001035i,0.00028657+0.00019589i,-0.00066367-0.0003543i,-0.0010662-0.00066804i
0.0011574+0.00033588i,0.0014222+0.00064229i,0.0021977-0.00024632i,0.0018801-0.00088659i,0.0015566-0.0011075i,0.0011661-0.00087693i,0.00052061-0.00027109i,-0.00017225-0.00038932i,-0.00060079-0.00042032i,-0.00041566-0.00011386i,-0.00023826-0.00011798i,-0.0005611-0.0010666i,-0.00032204-0.00075139i,0.00024196+0.00065175i,-0.00015978+0.0011697i,0.00055049+0.00086756i,0.0012242+8.6049e-05i,0.00091338-0.00060155i,0.00080049-0.00058194i,0.00040817-3.2782e-05i,2.2853e-05+0.00081058i,-0.00011976+0.0010927i,0.00025107+0.0012063i
-0.0010836-0.00010162i,-0.00083041-7.2906e-05i,-0.0003962+0.00028743i,0.00043799-0.00016229i,0.0013027-0.0010994i,0.0010574-0.0011143i,0.00025812-0.00047315i,-2.3116e-05+0.00024824i,0.00020688+0.00082426i,0.00068666+0.0012493i,0.00085945+0.0017181i,0.00071217+0.0007979i,0.0002037-7.4126e-05i,-0.00078193-0.00022247i,-0.00072804-0.00025321i,-0.00021134+0.00052658i,-0.00022997+0.00037285i,9.7108e-05-6.6863e-05i,0.00037071+0.0005505i,0.00032934+0.0004622i,3.2046e-05+0.00046686i,-0.00036406+0.0006775i,-0.00064357+0.00079519i
0.00028774-0.0013436i,0.00061094-0.0014917i,0.00061273-0.0013731i,0.00082069-0.0011837i,0.0010664-0.0014694i,0.00067699-0.0015709i,-0.00024497-0.00086561i,-0.00081599-0.00011116i,-0.00026409-0.00012822i,-0.00018969-0.00016533i,0.00013863-0.00043527i,0.00053399-0.00029544i,0.00036565+0.00017565i,0.00031942+0.0002145i,0.0005612+6.4006e-05i,0.00097364-0.00066589i,0.0014442-0.0011038i,0.0007725-0.00071302i,6.2608e-05+1.0061e-05i,0.0004185-0.00020354i,0.00065227-0.00098125i,0.00023114-0.00072533i,-0.00040725-0.00062686i
0.00010821+0.0015507i,0.00015758+0.0026739i,0.00063947+0.0023531i,0.0019858+0.00089257i,0.0026118-0.00079881i,0.0017665-0.001786i,-0.00014649-0.0012845i,-0.00090663-0.00091677i,-0.0001322-0.001007i,0.00050158-0.00090268i,0.00061939-0.00075464i,0.00065339+0.00015881i,0.0006621+0.00020471i,0.00071065-0.00024295i,0.00067881-0.00040494i,0.00075189-0.00037192i,0.00059777+0.00035108i,0.00045807+0.00068672i,-1.2789e-05+0.00036106i,-0.00016056+0.00019647i,-1.7356e-05-0.00057614i,0.00010219-0.001486i,0.00023298-0.0011365i
0.00057282-0.0015446i,0.0010954-0.0011935i,0.00039968-0.00037602i,8.6389e-05-0.00078129i,0.00096368-0.0015738i,0.001467-0.0011448i,0.00081771-0.00070173i,5.2197e-05-0.00038762i,8.3674e-05+0.00035237i,0.00045034+0.00080632i,-8.787e-05+0.00079434i,-0.00055999+0.00063446i,-0.00035708-0.00011949i,0.00015494-0.00027341i,-1.964e-05+0.00044801i,3.242e-05+0.00029157i,-0.00012748-0.00079851i,-0.00051655-0.0013961i,-0.00042501-0.00035303i,0.00047794-0.00015408i,0.0010908-0.00044566i,-6.0796e-05+0.00039314i,-0.00047277+0.00053654i
0.0028912+0.0007625i,0.0038838+0.00098905i,0.0045809+0.00084755i,0.0037844-0.00015339i,0.0020506-0.0015708i,0.00079931-0.0011859i,0.00051789-0.00056006i,0.001017-0.00012518i,0.00096205+0.00034034i,-5.8195e-05+0.00033588i,-0.0006677-5.6072e-05i,-0.00051102+4.8367e-06i,-0.00038013+0.00065647i,-4.0408e-05+0.00033716i,0.00078875+0.00018588i,0.00068692+0.0004885i,0.00059381+0.00023915i,0.00037351-1.5205e-05i,-0.00023695+0.00062222i,-0.00066753+0.00048012i,-0.00068989-0.0003712i,-2.6432e-05-0.00038708i,0.00023934+3.6884e-05i
-0.0030251+0.00059908i,-0.0026811+0.00082461i,-0.0018306+0.00088731i,-7.8034e-05-0.00059557i,0.0015305-0.0016791i,0.0016671-0.0019455i,0.00071973-0.00098981i,-0.00013985+0.00012127i,-0.00031644+0.00054068i,-0.00037587+0.00040055i,-0.00024616-9.0067e-05i,0.00040969-0.00013426i,0.00057865-0.00040862i,0.00084488-0.00091442i,0.00094732-0.0011371i,0.00058699-0.00071664i,0.00070514-0.00050337i,0.00066599-0.00053567i,0.000201-7.2174e-05i,-0.00012505+0.00024655i,-0.00033416-0.00039765i,-3.0297e-05-0.00033193i,0.0002835+0.0001861i
0.0009306+0.00053269i,0.0016633+0.00032011i,0.0019323+0.0019474i,0.0013487+0.0013372i,0.00064306-0.0016921i,0.00094328-0.0028942i,0.00049062-0.0014805i,-1.9677e-05+0.00042512i,-0.0001294+0.00088942i,-0.00071381-2.9628e-05i,-0.0005367-0.00034614i,0.0002547+7.1988e-05i,0.00048052-0.00029004i,-0.00012971-0.0012397i,-0.00048583-0.0011159i,-0.00013732-0.00048832i,0.00022185-0.00081394i,0.00072784-0.00076999i,0.00086728-0.00036557i,0.00058211-0.00053116i,2.51e-05+0.00022116i,-0.00023728+0.00068052i,0.00025032+3.323e-05i
-0.00077115-0.00012564i,-0.0004299+0.00023684i,-0.00031394+0.00092423i,-0.00050149+0.0011444i,0.00023868+0.0010254i,0.00057183+8.3317e-05i,0.00017298-0.0010465i,0.00013537-0.0008991i,-0.00032589-0.00068221i,-0.00059626-0.00080101i,-0.00058816-0.00027382i,-0.00033297-0.00037785i,8.9742e-05-0.00054744i,-0.00021587-0.00010328i,-0.0001472-0.00038802i,0.00082074-0.00037153i,0.00092522+0.00064107i,0.00067625+0.00086643i,0.00093957+0.0005538i,0.00059342+0.00027411i,0.00023886-0.00021263i,4.137e-05-0.00066041i,0.00012195-0.00017365i
-0.00078067-0.0014228i,-0.00094238-0.00072639i,-0.00057306+0.00122i,0.0007373+0.0010355i,0.0017655-0.00079678i,0.0021196-0.0016633i,0.0016891-0.0013845i,0.00093987-0.00059056i,0.00049252-2.3388e-05i,-0.0004196-0.00043175i,-0.000488-0.00042936i,-7.435e-05-0.0004011i,-0.00061452-0.00077296i,-0.00090855-0.00079232i,-0.00012311-0.0002749i,0.00052839+0.0006856i,7.986e-05+0.00045752i,-0.00041754-7.6572e-05i,-0.00056833+8.4181e-05i,-0.00083069-4.0345e-05i,-0.00027979+8.4413e-05i,0.00043687+0.0002875i,0.00078376+0.00057503i
0.00046478+0.00076442i,0.0015613+0.00055641i,0.0020971+0.00056381i,0.0021525-0.00083175i,0.0020474-0.0024467i,0.0015438-0.0028462i,0.00043985-0.0016342i,-0.00042877+8.7015e-05i,-0.00023858+0.0012909i,-0.00010641+0.00073951i,0.00032872-0.00075519i,0.0010513-0.0013004i,0.0013745-0.00073258i,0.00089756-2.9878e-05i,0.00062621-0.00014511i,0.00058514-0.00052342i,0.00027407-0.00048715i,4.3484e-05-5.4539e-05i,-0.0001689+0.00026832i,-0.00029643+0.00045297i,3.5182e-05+0.00011887i,0.00015666-0.00014566i,0.00066039-3.712e-05i
0.00098699+0.0020668i,0.0010126+0.0017489i,0.0012017+7.783e-05i,0.0015291-0.0012854i,0.00027258-0.0016438i,-0.00086485-0.0010486i,-0.0006916+0.00018079i,-0.00056041+0.00059045i,0.00015229+0.00061386i,0.00034418+0.00044424i,-0.000355+0.0003026i,-0.00029197+0.00071983i,-4.1322e-05+0.00085513i,0.00037749+0.00031923i,0.00075198+9.2197e-05i,0.00048886+0.00025547i,0.00076957+0.00036472i,0.00068457+0.00029524i,-0.00013434-0.00017959i,-0.00070245-0.00030003i,-0.00011963+0.00026386i,0.00057558+0.00067794i,0.00066035+0.0005929i
-0.00051943+0.0011265i,0.00014724+0.0010213i,0.0018039+0.00024806i,0.0027881-0.00063318i,0.0027467-0.0011725i,0.0015442-0.0011528i,0.00083894-0.00098427i,0.00027756-0.00061306i,-0.00037866-0.00014007i,0.00024162+0.00059954i,0.0008379+0.00069147i,0.00027889+0.00033207i,-0.00017301-0.00028719i,0.00037261-0.00093577i,0.00069741-0.00033165i,0.00010138+0.00078237i,-0.0011807+0.0003145i,-0.0014273-0.0003856i,-0.00097461-0.00015926i,-0.00056078+0.00095466i,-0.00043028+0.001315i,-0.0007095+0.00066739i,-0.00063762+0.00040402i
0.00027866+0.0025734i,0.0013252+0.0026363i,0.0027485+0.0021316i,0.0030995+0.00046315i,0.0026846-0.0014984i,0.001457-0.0023747i,0.0004223-0.0015264i,0.00014397-0.00010835i,7.8678e-05+0.00035564i,0.00027053-0.00053091i,0.00064663-0.00074739i,0.00046654-0.00050614i,0.00044736-0.00065234i,0.00067608-0.00071998i,0.00084753-0.00079285i,0.00080487-0.00025646i,0.0003868-0.00026776i,0.00029303-0.0007261i,-9.7737e-05-0.0010663i,-0.00048258-0.00077025i,0.00019046-0.00033739i,0.00062074-0.00021675i,0.0001601+0.00047031i
0.00037633+0.0015795i,0.00047888+0.0010431i,0.00092348+0.00010485i,0.0010724-0.0014828i,0.00037711-0.0019651i,-0.00075355-0.0016989i,-0.0003839-0.00089541i,-3.6429e-05+0.00017788i,0.00024084+0.00039369i,0.00058357+0.00032233i,-0.00054831-0.0005156i,-0.0010455-0.0014404i,-0.0007994-0.0015216i,-0.0011445-0.001825i,-0.00065685-0.0015271i,0.00056464-0.00068475i,0.0010374-0.00011555i,0.00064089+0.0004418i,0.00081846+3.1635e-05i,0.0011747-0.00012561i,0.00079688+0.00040236i,8.1123e-05+0.00031369i,-0.00021582+0.00012968i
0.0003351+5.1307e-05i,0.00054812-0.00058328i,0.0018429-0.00024748i,0.0030167+0.00024154i,0.0027172+0.00055084i,0.0017497-0.00026328i,0.0015311-0.0012106i,0.0010625-0.00042563i,4.5207e-05+0.00037727i,-0.0002296+0.00058496i,-0.00014044+0.00074528i,-0.00019466+0.00040374i,-5.006e-05+0.00023737i,0.00021536-0.00026301i,0.00044306-0.00080662i,-0.00016559-0.00052261i,-0.00068508-0.00052165i,-0.00072695-0.00063783i,-0.00063935-0.00015879i,-0.00089269+0.000333i,-0.00075954+5.8298e-05i,0.00016364-0.00025641i,0.00059407+0.00013856i
6.3296e-05+0.00076869i,0.0006605+0.00082762i,-9.4431e-05+0.00042692i,-0.00029752-0.00066779i,0.0006013-0.0019232i,0.0013702-0.0015538i,0.001212-0.00026i,0.0010483+0.00019764i,0.00039947-0.00046385i,1.3186e-06-0.0002537i,-0.00033926+0.0010015i,-0.0010792+0.0017804i,-0.00075856+0.0015048i,-0.00037776+0.00032654i,-1.3104e-05-0.00061614i,0.00057506-0.00073329i,0.0010648+1.6314e-05i,0.00066946+0.0007066i,2.2642e-05+0.0012283i,-0.00046845+0.0013769i,-0.00076725+0.00054714i,-7.595e-05+0.0001753i,0.00016618+0.00051227i
0.00019888-0.0013807i,-0.0002746-0.0015335i,-0.0002035-0.0015035i,0.00056116-0.0012258i,0.0013321-0.00051261i,0.0012179-0.0004641i,0.00060087-0.00085443i,0.00044007-0.00016048i,0.0001654-2.0795e-05i,-0.00059125+0.00031194i,-0.00087042+0.00055119i,-0.00035882+0.0001212i,-0.0001996-0.00026202i,-6.1777e-05+7.0118e-05i,0.00084606+0.00090378i,0.00086421+0.0007174i,0.00088286+0.00022147i,0.0013301-0.0001569i,0.00043942-0.00061372i,-0.00021235-0.00064397i,-2.3415e-05-0.00047688i,6.228e-05-0.00046479i,5.9086e-05-0.00017698i
0.0022939+0.0004897i,0.0032022-0.00096164i,0.0025944-0.0013115i,0.0016424-0.0015157i,0.0010565-0.0019248i,0.0002863-0.001804i,0.00019494-0.0010992i,0.00011885-0.00025146i,0.00018909+0.00047316i,-3.5697e-05+0.00051967i,3.2471e-05+9.7059e-05i,0.00010359-8.1487e-05i,-0.00035349-0.00021292i,-0.00048378+0.00039226i,-0.00095233+0.00025698i,-0.00048862-0.00026449i,0.00025683+0.00033952i,-1.554e-05+0.00071758i,0.00012752+0.00029556i,0.00068377-0.00041338i,0.00041491-0.00025871i,0.00050505-0.00023032i,0.00037719-0.00018685i
0.0027385+0.0017063i,0.0023281+0.00076736i,0.0016141-0.0012764i,0.0016812-0.0015956i,0.0018414-0.0015738i,0.0018869-0.0018836i,0.0012235-0.0011732i,0.00054278-0.00025864i,0.00088703-0.00043283i,0.00102-0.00080962i,0.00047498-4.0077e-05i,0.0005611+0.00051366i,0.00069577+0.00046121i,4.296e-06+0.00074633i,-3.5192e-05+0.00075279i,0.00086015+0.00057754i,0.0010945+0.00091129i,0.0010498+0.00025302i,0.00051829-0.00055595i,-9.3726e-05-6.4603e-05i,-0.00011875+0.00034567i,-0.00023188+0.00016106i,-0.00047129-0.00059771i
0.00082905+0.0013022i,0.0010927+0.0014886i,0.0021632+0.00058242i,0.0020969-0.00088227i,0.00012947-0.0018834i,-0.0012762-0.0017038i,-0.0010175-8.8753e-05i,-0.00078059+0.00089769i,-0.00079118+0.00093707i,-0.00073403+0.00058646i,3.7453e-05+0.00048758i,0.00081919+0.0008359i,0.00035856+0.0015827i,-0.0002193+0.0012167i,-0.00094424+0.00074606i,-0.001335+0.00068479i,-0.00017756-0.00017445i,0.00087644-0.00040116i,0.00069937-0.0004105i,0.00048024-0.00038181i,0.001005-0.00028852i,0.00071702-0.00022432i,0.00015446-9.7914e-05i
0.00079161+0.0018856i,0.0015547+0.00053681i,0.0029788-0.0001711i,0.0030002-0.0012697i,0.0022682-0.0025441i,0.0011413-0.0024275i,0.00067674-0.00011306i,0.00042707+0.0010819i,0.00035734+0.00015702i,0.00039163-0.00028346i,-4.1113e-05-0.00037614i,-3.5702e-05-0.00062104i,-0.00014068-0.00016199i,-0.0016426-0.00030056i,-0.0020586-0.00080216i,-0.00012097-0.00019189i,0.0010361+0.00033581i,0.00065864-0.00019396i,0.0002196-0.00053754i,-0.00063697+0.00010367i,-0.00020902+0.00058335i,0.00068156+0.00032487i,0.00085234+0.00032008i
-0.0014385+0.00043549i,-0.0014031+0.001421i,0.00023059+0.0025241i,0.001392+0.0017957i,0.0011031+4.2816e-05i,0.00048485-0.0012782i,0.00036124-0.0014991i,0.00018664-0.0004663i,-0.00043072-8.4292e-05i,-0.00025398-0.00027338i,1.1387e-05+2.5227e-06i,0.00060716+0.00059628i,0.00061816+0.00052403i,0.00015066-9.688e-05i,0.00021416-0.00056256i,0.00059688-0.00069558i,0.0013937-0.00055662i,0.00099011-0.0008151i,0.000201-0.0010656i,0.00027493-0.00040658i,0.00014846+0.00036897i,0.00036542-0.00028458i,0.00061346-0.00069682i
0.0012249+0.0004068i,0.0017354-0.00010953i,0.0024594-0.00116i,0.0017148-0.0015456i,0.00053691-0.0017701i,0.00021978-0.0015988i,0.00040678-0.00020275i,6.5472e-05+0.00039008i,-0.00055439+5.1906e-05i,-0.00030971-0.00020444i,1.3892e-05-0.0002377i,-0.00030859+0.00014209i,0.00046382-6.8647e-05i,0.0010142-5.4813e-05i,0.00011496-0.0001594i,-8.174e-05+4.4201e-06i,-8.2774e-05+0.00019247i,-5.2363e-06-0.00026874i,6.5572e-05-0.00017947i,1.7915e-05+0.00048332i,0.00023724+0.0010121i,0.00047301+0.00074316i,0.00053744+7.1274e-05i
-0.00020189-0.00039971i,0.00024697-0.00032902i,0.00073806+0.00099997i,0.00071263+0.00069303i,0.00071787-0.0020805i,0.00044432-0.0026076i,0.00039347-0.0012123i,0.00069485-0.00013538i,0.00050336+0.00035495i,0.00055531+0.0001634i,-7.3525e-05+7.1092e-05i,-0.00011205-0.00034758i,0.00067813-0.00060262i,-0.0001945-0.00026565i,-0.00051112-0.00045505i,0.00086815-0.00026778i,0.0005644+0.00035392i,-0.00053409+0.00098421i,-6.3669e-05+0.00076634i,0.0014398-0.00036618i,0.0014867-0.0011695i,0.00071526-0.001104i,0.00023058-0.00067626i
-0.00043853-0.0014184i,-0.00060697-0.00059756i,-0.0015333-0.00048444i,-0.00083218-0.00031072i,0.00057012+0.00036995i,0.0015617-0.00012768i,0.0009933-0.00086464i,0.00044393-0.00032143i,7.8641e-07+0.00020756i,0.00018568+0.00023683i,0.00084015-6.0303e-05i,0.00032371-0.00053414i,2.9157e-05-0.00093761i,0.00092019-0.00051735i,0.0012469-0.00029161i,0.0012262-0.00045393i,0.0009982+6.2268e-05i,0.00059274+0.00023215i,-7.3811e-05+0.00067879i,-0.00050353+0.00084694i,0.0001675+0.00035695i,0.00051949+0.00046934i,0.00016701+0.00039996i
0.00058294-0.0012605i,0.0008741-0.0017424i,0.00047334-0.00091401i,0.00021158-0.0010092i,-0.00031995-0.0015898i,-0.0013219-0.0014965i,-0.00079391-0.00025018i,2.7092e-05+0.00017208i,-0.00060028-0.00042106i,-0.0013593+0.00010602i,-0.0007208+0.0005456i,5.4105e-05+1.2947e-05i,-0.00014162-0.0003482i,-0.0003307+1.2785e-05i,0.00012186+0.00045084i,0.00097907+0.00017114i,0.0013011+0.00027881i,0.00095003+0.00034914i,0.00020084+0.000333i,-0.00056075+0.00047971i,-0.00078364+0.00025351i,-0.00071806-0.00030474i,-0.00043444-0.00036366i
0.00081933-0.0013501i,0.00031143-0.00053851i,0.00082775-0.00025619i,0.0011292-0.0012105i,0.00064466-0.0022668i,-0.00038904-0.0024744i,-0.00069764-0.00062016i,-0.00022058+0.00083057i,-5.5888e-05+0.00041839i,2.7721e-05+0.00029941i,-0.00016315+0.00083038i,-6.228e-05+0.0010898i,0.00081012+0.00095939i,0.0013242+0.0012211i,0.00031505+0.0014107i,-0.00083709+0.00081845i,-0.0011503+8.0219e-05i,-0.00034409-0.00014715i,0.00035769+0.00020636i,-0.00024704+0.00020886i,-0.00059816+0.000103i,7.3672e-05-0.0002313i,3.738e-05+5.4339e-06i
-0.00023479+0.0019128i,0.00074569+0.0023657i,0.001947+0.00090076i,0.0019565-0.00027805i,0.0013548-0.00048461i,0.00088563-0.00075468i,0.00022984-0.00021347i,-0.00026226+7.7812e-05i,-0.00011718+0.00032406i,-3.6371e-05+0.00042629i,9.4925e-05-0.00010764i,0.00025139+2.4815e-05i,0.00027757+0.00010727i,0.00041449-0.00032337i,-6.7959e-05-0.00054598i,-1.2113e-05-0.00046832i,-8.2652e-05-0.00047578i,-0.00036267-0.00081107i,-0.0013012-0.00040295i,-0.0010977-1.1944e-05i,-0.00019517+0.00016961i,-0.00032644+0.00056545i,-0.00020658+0.00059333i
-0.0020936-0.00011215i,-0.0014241+0.00079301i,-0.00039232+0.0010089i,0.00086342-0.00045304i,0.0023383-0.0018129i,0.0020549-0.0021755i,0.00069881-0.0012491i,-0.00065297+5.8058e-05i,-0.00058052+0.0002107i,-0.00020109+0.0003016i,-0.00026405+0.0001719i,0.00015997-9.4526e-05i,0.00038477+0.00032847i,-0.00011107+0.00052972i,0.00049582-0.00025586i,0.00049319-0.00047556i,-7.3403e-05+0.00042961i,0.00021504+0.00048422i,-0.0004433-0.00014027i,-0.0012232-0.0007367i,-0.00070263-0.00071346i,-6.2325e-05-0.00047005i,0.00040155-0.00044447i
1.3751e-05-0.00012556i,-0.0006425+0.001397i,0.00019468+0.0019162i,0.00066547+0.0015751i,0.00035351+0.0004451i,4.008e-05-0.00066889i,-0.00011614-0.0008053i,-0.00040372-0.00043693i,-0.0001391-0.00034812i,-0.00013107-0.00045048i,-0.00024336-0.00041977i,0.00048759+0.00044264i,0.0010085+0.00071047i,0.00060915+0.00081237i,-0.00068139+0.00084206i,-0.0011119+0.00050298i,-0.00033792+0.00033214i,0.00040228+0.00032095i,0.00087983-0.00022908i,0.00078915-0.0012996i,0.00084058-0.00082449i,0.00065787+0.00027816i,2.2753e-05+0.00055515i
0.00078927+0.00047318i,0.0010485-0.00092656i,0.0020492-0.0018346i,0.0027076-0.0023258i,0.0019611-0.0030129i,0.00051815-0.0023622i,-0.00038036-0.00019184i,-0.00046493+0.00063857i,-0.00030708-0.00028445i,0.0001543-0.00019038i,0.0004145+0.00029295i,0.00040999-0.00019548i,0.00039153-0.00023504i,-9.6951e-05-0.00047433i,-0.00020869-0.00063002i,0.00051785-0.00045635i,0.00043066+0.00023802i,0.00041446+0.00075642i,0.0010227+0.00068407i,0.0010852+0.00016027i,0.0011624-0.00053529i,0.00089258-0.00043292i,0.00038851-0.0002353i
0.00070186+0.00071397i,0.00095114+0.0010008i,0.002074+0.0010596i,0.0031606-0.00023866i,0.003347-0.0013844i,0.0015349-0.0013674i,-5.0138e-05-0.00082875i,-0.00013583-0.00064408i,0.00027962-0.00082707i,0.00035833-0.00059749i,-0.00020501+5.0682e-05i,-0.0009943+5.4405e-05i,-0.00044726-0.00045447i,0.00027363-0.00048438i,0.00039635-0.0002794i,0.00040835-0.00023299i,0.00039768+0.00011917i,0.00060098+0.00052932i,0.00049441+0.00071951i,0.00074007+0.00027464i,0.001274-0.00059849i,0.0009691-0.00091069i,0.00046163-0.00065304i
0.00010577+0.0022593i,0.00013517+0.0018024i,0.00119+0.00078113i,0.0010715-0.0013224i,0.000154-0.0026605i,-0.0010206-0.0018055i,-0.00048486-3.9539e-05i,0.0004541+0.0012167i,-0.00016188+0.0012806i,-0.0005753+0.00038419i,-0.00011507+0.00039737i,-0.000292+0.00058538i,-0.00096438+0.00012876i,-0.0011258-0.00032272i,-0.0014262-0.00089597i,-0.0010987-0.00083759i,-0.00057031-0.00057853i,-0.00019405-4.4013e-05i,0.00018266+0.00044547i,0.00060968+0.00084984i,0.00053464+0.0012509i,0.00031477+0.00090083i,0.00045572+4.5241e-06i
