-7.2031e-05-0.00051637i,0.00041711-0.0015165i,1.2876e-05-0.0027602i,-0.0013412-0.002508i,-0.0024-0.00038068i,-0.0020013+0.0017717i,-0.00086762+0.0027678i,0.0002651+0.0027201i,0.00088538+0.0020296i,0.00058709+0.0015544i,-2.379e-05+0.00048478i,0.00046493-0.00050705i,0.0004125-0.00027804i,-0.00096944-4.9613e-05i,-0.00086597-9.0688e-05i,0.00024475-0.00048083i,0.00036523+0.00016481i,0.00065601+0.00052819i,0.0011955-0.00056849i,0.00023874-0.0011262i,-4.6661e-05-0.0008358i,0.00038931-0.0004312i,0.00052788+9.364e-05i
0.0020524+0.0014575i,0.0041386+0.00070757i,0.0056415-0.0010012i,0.0039799-0.0014424i,0.00063785-0.0015867i,-0.0017516-0.001108i,-0.00077906-3.2997e-05i,-7.6755e-05+0.0003366i,-3.2329e-05-7.6196e-05i,0.00078327-0.00071825i,0.0011255-0.00049011i,0.0012119+0.00012955i,0.00062288+0.00023542i,7.1945e-05+0.00039154i,0.0004887+0.00062405i,0.00032329+0.00043164i,0.00028244+0.00020131i,0.00087024-0.00011225i,0.00080303-0.00040757i,-5.1051e-05-0.00024262i,-0.00063655-0.00051243i,-0.00044208-0.00039703i,0.0001758-0.00034594i
-0.0013718-0.0011555i,-0.00016968-0.0011407i,0.0009212+5.0437e-05i,0.0012184-0.00042i,0.00027299-0.0018984i,-0.0011873-0.00094684i,-0.0010829-0.00040942i,-0.00016359-0.001682i,0.00019912-0.0028995i,-0.00075516-0.0027429i,-0.0018803-0.001497i,-0.0012884-0.00026841i,0.00021033-0.0004456i,0.0010346-0.0011951i,0.0003029-0.0011755i,2.0081e-05-0.00049958i,6.9207e-05-4.1897e-05i,5.3036e-05+0.00039258i,-4.8278e-05+0.00074446i,-0.00077404+0.00032376i,-0.00065626-0.00022813i,0.00042617-0.00041022i,0.0010783-0.00035979i
0.00078435+0.0012945i,0.0018022+0.00034837i,0.0026229-0.001363i,0.002095-0.0025537i,0.00013631-0.0035638i,-0.0011858-0.0035852i,-0.0014457-0.0022593i,-0.0017119-0.00145i,-0.0020889-0.0012759i,-0.002673-0.0011519i,-0.0018692-0.0006787i,-0.00083252+8.0192e-05i,-0.00048077-0.0001284i,-0.00044877-0.00062625i,-0.00066078-0.00062118i,-0.0010693-2.1333e-05i,-0.00094016-6.83e-05i,0.00040772-0.00099051i,0.00043802-0.00069873i,-0.00013403-8.2954e-05i,-0.00017973-0.00023534i,-0.00038316-0.00021879i,-0.00019135-0.00071222i
0.0015202-4.4451e-05i,0.0020706+0.00028139i,0.0027806+4.9059e-05i,0.0012843-0.0011942i,-0.0014267-0.0018819i,-0.0026137-0.0018678i,-0.0030907-0.0011396i,-0.0028878-0.0003503i,-0.0019085+4.6899e-05i,-0.0013948+0.00063672i,-0.00083501+0.0013909i,-0.00082718+0.00081335i,-0.00058085+0.00024766i,-0.00036455+0.00045888i,-0.00069574+0.0002201i,-0.0010261+0.00041512i,-0.0010203+0.00045588i,-0.00061776-0.00030155i,-0.00044313-0.00054397i,-0.00051963-0.00037268i,-0.00023863-0.00067227i,0.00048243-0.00073575i,0.00047398-0.0005161i
0.00156+0.00031788i,0.0015835-5.7989e-05i,0.0022835-0.00091287i,0.0024344-0.0014597i,-0.00061184-0.0023448i,-0.0034808-0.0019739i,-0.003261+4.2851e-05i,-0.0014832+0.0016489i,-0.00060106+0.0020255i,-0.001316+0.0020337i,-0.0011685+0.0020758i,7.6022e-05+0.00097426i,0.00048592+0.00026719i,-0.00052877+0.00079607i,-0.00073911+0.0016467i,5.4884e-05+0.0018357i,0.00051912+0.001246i,0.00035937+0.0003401i,0.00021733+0.00055959i,-0.00021068+0.00091228i,-0.00062558-0.00069069i,-0.00016604-0.001901i,0.00016975-0.0013703i
0.00053807+0.0016186i,0.00023522+0.0009359i,0.00083799+0.00058415i,0.0014621+0.00031874i,0.00038478-0.00019643i,-0.0014814-0.00016409i,-0.0020539+0.00065822i,-0.00024938+0.0013071i,0.0013603+0.0015199i,0.0010723+0.00090502i,0.00036844-4.2989e-05i,0.00035043-0.0010616i,0.00026449-0.00074491i,-6.5132e-07-6.732e-05i,0.00023051+0.0006159i,0.00041259+0.0012122i,0.00046325+0.0015137i,0.00034255+0.0010444i,7.0794e-05+6.6589e-05i,7.5981e-05+3.2684e-05i,0.00012035+3.0135e-05i,0.00013946-0.00074018i,0.00020896-0.00080411i
0.0013659-0.0015999i,0.0021497-0.0011985i,0.0020997-0.0018844i,0.0013949-0.0027644i,0.0003548-0.0019485i,-0.0005528-7.696e-05i,-0.00060281+0.00043423i,0.00052328+7.9813e-06i,0.00062365-0.0003704i,4.9892e-05-0.00081656i,0.00022854-0.00069382i,0.00070015-0.00027249i,0.0011189+0.00042717i,0.00096403+0.00039914i,0.00037559-0.00010529i,0.00030201-3.5006e-05i,0.00037808+0.00036105i,0.00069324+0.00040608i,0.00082898-6.6556e-05i,0.00038218-0.0001038i,-0.00027835-0.00064752i,-0.00082349-0.00083474i,-0.00091361+8.231e-05i
-0.0010361-0.00018324i,-0.0012916+0.00049471i,-0.0011738-0.00057146i,-0.00080447-0.0020913i,-0.00080863-0.0029149i,-0.0007353-0.0015305i,-0.00057998-1.3509e-05i,0.00039035-0.00037743i,0.00032559-0.0010342i,-0.00071203-0.0007562i,-0.00094822-2.892e-05i,7.4231e-05+0.00061758i,0.00067592+0.00010674i,5.4834e-05-0.0008377i,-0.00078259-0.0011104i,-0.0003992-0.00090908i,0.00038373-0.00025088i,0.00047966+0.00018827i,-0.00018823-6.3444e-05i,-0.0005235-0.00039505i,-0.00070633-0.00068635i,-0.0004749-0.0011475i,0.00017482-0.0013361i
-0.00071761-7.1218e-06i,0.00081253+0.0019299i,0.0019237+0.0023367i,0.001688+0.0010212i,-3.7924e-05-0.00016394i,-0.0012476-0.00055151i,-0.0018412-0.0011991i,-0.0018803-0.0015774i,-0.0016237-0.0020129i,-0.0012912-0.0015918i,-0.00077063-0.00072977i,-9.9554e-06-0.00017637i,0.00032703-7.9932e-05i,-0.00022685-0.00072546i,-0.0011875-0.00083593i,-0.0013857-0.00029301i,-0.00061432-9.037e-06i,-1.976e-05-0.00064147i,0.00068546-0.0004496i,0.00043876+0.00070357i,8.1288e-05+0.0012526i,0.00053693+0.0010138i,0.00064182+0.00061588i
-0.00065985+0.001i,-0.00017351+0.0017352i,0.00081643+0.0019966i,0.00061173+0.00095242i,-0.0012522-0.00070506i,-0.0020088-0.00037753i,-0.0013659+0.00081688i,-0.0015709+0.00090348i,-0.0015897+0.00042814i,-0.00077734+0.00039824i,-0.00052628+0.00064215i,-0.00061396-1.5073e-05i,-0.00097048-0.00079897i,-0.00054059-0.00056425i,-0.00096187+0.00016425i,-0.0016514+4.9523e-05i,-0.00097729+3.5013e-05i,-0.00033545+0.00038188i,0.00014263+0.0006849i,0.00036426+0.00074464i,0.00028046+0.0002951i,3.0859e-05-0.00041066i,-0.00020203-0.0001567i
0.0010274+0.0002714i,0.0017931-0.00073505i,0.0030574-0.0019595i,0.0029818-0.0030026i,0.00098407-0.0036373i,-0.0013875-0.0026343i,-0.0013072-0.00035127i,-0.00077527+0.00086637i,-0.001508+0.0010394i,-0.0016842+0.00080903i,-0.0014187+0.00067959i,-0.0011598+0.00041176i,-0.00070136-0.00024814i,0.00027507-0.00017782i,0.00067212+0.00052969i,0.00025715+0.0013122i,0.00038727+0.00092993i,0.00099258+0.00035086i,0.00089225-7.686e-05i,0.00069157-0.0010939i,0.00034165-0.0013624i,-9.5944e-06-0.00074575i,0.00019244+0.00015252i
0.00010642+0.0010488i,0.00096173+0.0014844i,0.0011865+0.00053505i,0.0011-0.00091298i,0.00046573-0.0024418i,-0.0016609-0.0026199i,-0.0022333-0.0013391i,-0.00075511-0.00026675i,-0.00017398+7.2241e-05i,-0.00066344+0.0011972i,-0.00059545+0.0015464i,-0.00034155+0.00034965i,-0.00070204+0.00022438i,-0.00080717+0.00021025i,-0.00040184+0.00017836i,2.2129e-05+0.00071819i,5.686e-06+0.00057468i,0.00044129-1.6772e-05i,0.0014738-6.8981e-05i,0.0007333+0.00039094i,-0.00014258+6.2487e-05i,0.00046082-0.00068988i,0.00082951-0.00097141i
0.00046902+0.00091234i,0.0011516+0.00074687i,0.0012254+0.00040492i,0.00041702-0.00047987i,-0.00099634-0.0012897i,-0.0012738-0.0008577i,-0.0010134-0.00031673i,-0.00098032-0.0012987i,-0.00052191-0.0011604i,-0.00044344-0.00010781i,-0.0008235-5.1467e-05i,-0.00039098+0.00080955i,-6.5076e-05+0.00077273i,0.00024127-0.00044804i,0.00060839-0.00021018i,0.00038692-0.00021289i,0.0004068-0.00063394i,0.00031741-0.00042157i,6.7146e-05-0.00029446i,0.00047207-3.2688e-05i,0.00064066-0.00015124i,-2.0965e-05-0.00037831i,-0.00019487+8.0362e-05i
3.5523e-05+0.00039638i,0.00037976+0.00052993i,0.0018722-0.00091617i,0.00097126-0.0025838i,-0.00079014-0.0035536i,-0.00142-0.0022928i,-0.0021292-0.00052763i,-0.0017448-0.00015037i,-0.00031998-0.0004917i,0.00032593-0.0011065i,0.00065968-0.00096951i,0.0009352-0.00010778i,0.00095435+0.00059784i,0.00019261+0.00066381i,-6.4388e-05-0.00010119i,0.00062516+4.9104e-05i,0.0006491+0.00047775i,0.00088874+0.00025676i,0.0002659-0.00067841i,-0.00065767-0.0013705i,-9.612e-05-0.0010304i,0.00082389-0.00082713i,0.0011245-0.00090961i
0.0009095-0.00014471i,0.0013905+0.00058132i,0.0022866+0.001328i,0.0030337+0.00075709i,0.0018814+0.00011371i,-0.00060274+0.00017359i,-0.0014658+0.00083841i,-0.00099105+0.0011464i,-0.0013173-0.00070685i,-0.0013778-0.0017412i,-0.00054062-0.00065452i,3.0742e-05+0.00053593i,0.00042977+0.00044124i,0.00060385+2.7109e-05i,-3.632e-05+0.00011969i,-0.00036051+0.00047667i,-0.00026971+0.0011476i,0.00019679+0.0010901i,-7.3767e-05+0.00063243i,-0.00039652-6.3704e-05i,-2.0177e-05+8.9706e-06i,6.0572e-05+0.00034091i,9.2275e-05-0.00032319i
0.0018968+0.0012933i,0.0021487+0.00050181i,0.0023062-0.0011619i,0.0016965-0.002229i,9.8389e-05-0.0023411i,-0.0020014-0.001154i,-0.0022212+0.00013966i,-0.0010223-5.2858e-05i,-0.00092352-0.001127i,-0.0016467-0.0025086i,-0.0015836-0.0024496i,-0.001837-0.0015249i,-0.0011044-0.0015449i,-0.00026638-0.001587i,-0.00038139-0.00037154i,-8.9829e-05+0.0012621i,0.0004457+0.0013192i,0.00036611-0.00052377i,2.3885e-06-0.0013718i,-0.00014737-0.00080196i,8.0401e-05-0.00092652i,-3.9394e-05-0.00075196i,-0.00059561-0.00057094i
0.0001839-0.00030013i,0.00059692-0.00059094i,0.0014654-0.0031274i,0.00073137-0.0047024i,-0.0012991-0.0040738i,-0.0021658-0.0022241i,-0.001422-0.00098491i,0.00030447-0.00025363i,-8.9558e-05+0.00056085i,-0.0019733+0.00095003i,-0.0028054+0.00086757i,-0.0024147+4.1713e-05i,-0.001959-0.0002311i,-0.0014262+0.00016454i,-0.001086+0.00050489i,-0.00050171+0.00048715i,7.7054e-05-0.00016459i,0.00022859-0.00064211i,0.00021975-0.00084201i,0.00054205-0.00095012i,0.00039002-0.0010635i,-0.00096886-0.0012775i,-0.0017703-0.00093052i
0.0020955-0.00056604i,0.0025507-8.8588e-05i,0.0032524-0.00072523i,0.0016037-0.0023392i,-0.0016088-0.0025689i,-0.0027931-0.00080914i,-0.0017845-0.00049597i,-0.00013316-0.0017905i,0.00022943-0.0011151i,-0.0015015+0.00079936i,-0.001866+0.0020537i,-0.0006911+0.0020168i,-0.00037091+0.0015662i,-0.0008795+0.0018018i,-0.001027+0.0015726i,-0.00066361+0.0011053i,-0.00020638+0.00092333i,-0.00039947+0.00021733i,-0.00047804-6.7814e-05i,-0.00030126-0.00062656i,-0.00081983-0.001234i,-0.0014079-0.0012237i,-0.00097258-0.0006849i
-0.0052931+0.00021495i,-0.0023236+0.0014934i,-0.00091836+0.0020085i,0.00040279+0.0028671i,0.00061598+0.0027818i,-0.00020202+0.0017577i,-0.0012445+0.00064741i,-0.0021834+3.8757e-05i,-0.0017845+8.7126e-05i,-9.6333e-05+0.0011503i,0.0010945+0.0013123i,0.0016369+0.00023247i,0.0016068+0.00041301i,0.0011376+0.0009921i,0.00031479+0.0010167i,-0.00049646+0.00080785i,0.00011865+0.00028244i,0.00023881-0.00014373i,4.9583e-05-0.00030747i,0.00030698+0.00012429i,0.00011119+3.4033e-05i,1.2297e-05+7.8545e-05i,-0.00040523+8.2621e-05i
-0.0024644+2.457e-06i,-0.001986+0.0014719i,-0.0013447+0.0023053i,-0.00023807+0.0017355i,7.0811e-05+0.00067663i,-0.00069228+3.3239e-05i,-0.0023648+0.00096611i,-0.002832+0.0024576i,-0.0019681+0.0023999i,-3.9246e-05+0.0013432i,0.0017003+0.00027277i,0.002355-0.00082507i,0.0025444-0.0009417i,0.0021498+0.0001101i,0.0011249+0.00019137i,0.0004367-0.00012126i,-3.3823e-05+0.00051194i,-0.00029411+0.00063462i,-0.00045948+0.00015435i,-0.00042318+0.00062164i,5.6672e-06+0.0008739i,0.00072513+6.0553e-06i,0.00068517-0.0008888i
0.0010446-0.0016697i,0.0017894-0.00090191i,0.001841-0.0021271i,0.0013084-0.0044157i,-0.00039748-0.0049422i,-0.0018874-0.0029003i,-0.0016599+0.0002155i,-0.0004059+0.0018632i,8.4537e-05+0.00071867i,-0.00035972-0.0012337i,-0.0004126-0.0015925i,-0.00027623-0.0010707i,-2.3271e-05-0.0011326i,0.00094511-0.0011201i,0.0022807-0.00021175i,0.0020046+0.0011204i,0.0013938+0.0015632i,0.0011313+0.0010297i,0.00060103+0.00071849i,0.00035285+0.00047956i,0.00036805+0.00025744i,5.7104e-05+0.0001756i,-0.00029753-0.00015115i
0.0028175-0.0011009i,0.0024215-0.0019067i,0.0023718-0.0033825i,0.00072957-0.0039226i,-0.0020835-0.0030168i,-0.0041734-0.00082456i,-0.0024275+0.00086299i,0.00064093+0.0018829i,0.0013467+0.0013169i,-0.00020935-0.00029527i,-0.0011473-0.00050316i,-0.0009571+0.00011769i,-0.0010667-0.00041672i,-0.0011003-0.0013239i,-0.00059683-0.00083997i,0.00011349+0.0001134i,0.00082031-0.0001707i,0.00038912-0.0011092i,-0.00030538-0.00076735i,-0.00049358-0.00027027i,-0.00011502+0.00013373i,-1.5165e-05+0.00058897i,-0.00032486+0.00017643i
0.0020758-0.00030867i,0.0034029-0.00030787i,0.00371-0.0017116i,0.0015995-0.0020609i,-0.0012927-0.0018136i,-0.0023063-0.001289i,-0.00098662-0.00073396i,0.0015212-0.00061258i,0.001613-0.00032948i,-0.00060929+0.00059304i,-0.0017261+0.0015304i,-0.0015231+0.0012633i,-0.0013165+0.00082912i,-0.0029582+0.00091073i,-0.0034932+0.00024383i,-0.001112-0.00032763i,-1.3947e-05+0.00018781i,0.0004124+0.00030336i,0.00084721+4.4186e-05i,9.0616e-05-0.00033966i,-3.4328e-05-0.0010902i,-3.7016e-05-0.0012958i,-0.00022714-0.0010538i
5.7873e-05+0.00027526i,0.0011026+0.00089004i,0.0022644-0.00017551i,0.0017311-0.00070404i,-0.00075903-0.00085088i,-0.0023821-0.0009921i,-0.0018579-0.0015439i,-0.0010129-0.0029743i,-0.0012092-0.0030967i,-0.0017627-0.0013291i,-0.0012221+0.00021771i,-8.3018e-05+0.00073081i,0.00035334+0.0013448i,6.7315e-06+0.002179i,-0.00063704+0.0020252i,-0.001284+0.0013049i,-0.0007781+0.00059274i,-0.00014943+8.6794e-06i,-0.00052436-0.00026122i,-0.00074721-0.00040499i,-0.0010073-0.00036059i,-0.00068533-0.00076506i,-0.0001805-0.00036462i
-0.0013939+0.0016532i,-0.0004701+0.0013235i,0.0011874+0.0013191i,0.0021706-0.00063694i,0.0016465-0.0023115i,-0.00070182-0.0020411i,-0.0032646-0.0022858i,-0.0039117-0.002856i,-0.0031378-0.002477i,-0.0011625-0.0010794i,0.0009849-0.00059555i,0.0016763-0.0011058i,0.0018741-0.00071255i,0.001405+0.00054245i,0.000551+0.0015745i,-1.0021e-05+0.0012166i,1.2656e-05+0.00056634i,-0.000484+0.00076641i,1.6412e-05+0.00077064i,0.00062263+0.00050196i,0.00019773+7.755e-05i,0.00021307-0.00050121i,0.00040349-0.0010977i
0.00095414-0.00016179i,0.00074798+0.00014345i,0.00066537-0.000389i,-0.00012753-0.0011984i,-0.002362-0.0013028i,-0.0046991-0.00046418i,-0.0059187+0.0010077i,-0.0061742+0.0015388i,-0.005545+0.00049972i,-0.0028242-0.0012013i,-0.00064979-0.0013711i,-0.00024155-0.0012176i,0.00073873-0.0013092i,0.0016351-0.00063382i,0.0015751-0.0003265i,0.0017457+0.00020647i,0.0012352+0.0012347i,-5.6857e-05+0.00080814i,-6.786e-05+0.00017755i,9.2118e-05-0.00022124i,-0.00037527-1.3976e-05i,-0.00020335+0.00029726i,0.00027503+0.00015449i
-0.00087237-0.002302i,-0.00032651-0.00054904i,-0.00024651-0.00030044i,-0.00088457-0.00079837i,-0.0016307-0.00053407i,-0.0024702+0.0020076i,-0.0019614+0.0048848i,-0.0015915+0.0056741i,-0.0018998+0.0044227i,-0.0013288+0.0023582i,-0.0011526+0.0010435i,-0.0014797-0.00033142i,-0.00086376-0.001212i,0.00024172-0.0018048i,0.00080685-0.0019241i,0.00092435-0.00036512i,0.00085868+0.00023232i,9.9778e-05+0.00050859i,0.00020392+0.00028314i,0.00032055-0.00048182i,-0.00046904-0.00049815i,-0.0010724-0.00015716i,-0.0011962-6.217e-05i
0.0003545-0.00034827i,0.0017763+0.00021649i,0.0041185+0.00029769i,0.0024868-0.0008635i,-0.0005834-0.0016904i,-0.0023392-0.00058161i,-0.0014387+0.0010619i,0.0012155+0.0024164i,0.0017631+0.001901i,8.5882e-05+5.6472e-05i,-0.00097955-0.00010473i,-0.00044287+0.0011923i,-0.00050313+0.00082807i,-0.0010951-0.00074313i,-0.0011759-0.00090664i,-0.0012564+0.00022348i,-0.0010042+0.0011409i,-0.00074762+0.0013787i,-0.00083588+0.0008719i,-0.00065375-2.4527e-05i,-0.00027442-0.00071574i,1.8627e-05-0.00020952i,-0.00025175+0.0004399i
0.0008302+0.0023273i,0.0024418+0.00039249i,0.0034436-0.0019574i,0.0039136-0.0046937i,0.0017935-0.0046503i,-0.0010367-0.0026165i,-0.00021043-0.0016558i,0.0015233-0.0013285i,0.0017146-0.0011137i,0.00064902-0.00033198i,-0.00032668+0.0014124i,-0.00041835+0.0017795i,-0.00064345+0.00089183i,-0.0012597+0.00095052i,-0.0017653+0.0016859i,-0.0013399+0.0016747i,-0.00017964+0.0007969i,0.00058665+2.0161e-05i,0.00079942-0.00072149i,0.00016222-0.00064366i,-0.00057316+0.0002021i,0.00051029+0.00043485i,0.0011021+0.00053032i
0.0011634+0.0033301i,0.0025045+0.0016265i,0.0038819+0.00062839i,0.0022348-0.0012786i,0.00010073-0.0035495i,-0.0011843-0.0042593i,-0.0015926-0.0037042i,-0.0010517-0.003943i,-0.00039669-0.0037591i,0.00073969-0.0021073i,0.00185-0.00092119i,0.0016385-0.00057371i,0.00044696-0.00011476i,-0.00035877+0.00060252i,-0.00031658+0.0014048i,-0.00046021+0.0013929i,-0.00051711+0.00051341i,2.2836e-05+0.00011455i,0.00089705-0.00013532i,0.0010634-6.6316e-05i,0.00061714+2.3568e-05i,0.0006384-0.00025619i,0.00059106-0.00011661i
-8.4623e-05+0.0012716i,0.00066249+0.0015132i,0.002484+0.00067279i,0.0035377-0.00074661i,0.0020916-0.0021367i,-0.00085309-0.0025437i,-0.0029231-0.0024248i,-0.0037468-0.0027181i,-0.0039295-0.0027565i,-0.0023119-0.0016003i,-0.00040038-0.0015349i,0.00040556-0.0022228i,0.00075502-0.0014748i,0.0010438-0.00029598i,0.001286+0.00028033i,0.0010512+0.00064925i,0.00033772+0.00069497i,-8.5073e-05+0.00049242i,-0.00032617+0.00010728i,-0.00040063-0.00035649i,-0.00019162-0.00067198i,-0.0001157-0.001423i,-0.00018485-0.00142i
0.0012038-0.0002314i,0.0021749+0.00044084i,0.0031838+0.00097769i,0.0033495-0.0011223i,0.0009947-0.0036939i,-0.0018401-0.0021897i,-0.002855+0.00041176i,-0.0033508+0.0015347i,-0.0042117+0.0015726i,-0.0036109+0.00059859i,-0.0014305-0.0005893i,-0.00050677-0.0010609i,-0.00093883-0.00069233i,-0.00068295-0.00084499i,0.00032798-0.0011869i,0.00082239-0.00078049i,0.00065811-0.00015022i,0.00016593+0.00021046i,-0.00032099-9.5113e-05i,-0.00064285-0.0011424i,-0.0005458-0.0010804i,0.00046761-0.0006814i,0.00069438-0.00071583i
0.0019448+0.0016713i,0.0024952+0.0017096i,0.0047047+0.00084639i,0.0042983-0.0013525i,0.0003882-0.0027475i,-0.0030627-0.0019289i,-0.0030421+0.00049863i,-0.0013155+0.0030066i,-0.00096565+0.004145i,-0.0012065+0.0030251i,-0.0017536+0.001375i,-0.0018302+0.00065739i,-0.0011422+0.00019653i,-0.0011859-0.00047307i,-0.0013939-0.0013617i,-0.0011803-0.0010723i,-0.0014917-0.00031766i,-0.0015477+0.00096418i,-0.0012659+0.0023162i,-0.00068317+0.0014433i,-0.00054848+0.00019631i,-0.00079976-0.00028981i,-0.00076259-0.0006675i
-4.1543e-05-0.0022454i,0.00060185-0.0013528i,-0.00028303-0.0011879i,-0.0015461-0.00096543i,-0.0024682+0.00025056i,-0.0023051+0.0016802i,-0.0010843+0.0013378i,0.0011627+0.0014284i,0.0026383+0.0025861i,0.0017657+0.0021207i,3.0754e-05+0.0017159i,3.712e-05+0.0019917i,0.00030752+0.0019856i,-0.0005826+0.0010032i,-0.001291+0.00053299i,-0.0011097+0.00065143i,-0.00011187+0.00059902i,0.00072791+0.0010077i,0.00051179+0.0011885i,3.9226e-05+0.00065824i,0.00010995+0.00035228i,0.00053842+0.00051976i,0.00056238+0.00052552i
-0.00047818-0.0014529i,0.0012413-0.0012052i,0.0022639-0.002242i,0.00133-0.0029597i,-0.00086974-0.0020083i,-0.002611-0.00061794i,-0.0021067+0.00036035i,0.00012399+8.718e-05i,0.0019911-0.0011212i,0.0021332-0.0010626i,0.0011506+0.0010355i,0.00071968+0.0020927i,0.00046373+0.0016065i,-0.00013431+0.0016516i,-0.00099406+0.0017317i,-0.00066053+0.0011544i,0.00031974+4.4326e-06i,0.00081552-0.00091692i,0.00074049-0.0010635i,0.00042554-0.00071846i,0.00021398+0.00080451i,9.365e-05+0.00048437i,0.00091898-0.00076562i
0.00085844-0.00027609i,0.0017784+0.0016973i,0.0032873+0.0028271i,0.0028646+5.052e-06i,0.00023729-0.002363i,-0.0024412-0.0014781i,-0.0024954-0.00043889i,-0.0016835-0.0014525i,-0.0014213-0.0031975i,-0.00051485-0.0027953i,0.00080609-0.0016111i,0.001448-0.00082056i,0.00092732-0.00035147i,0.00049522-6.7359e-05i,0.0013445+0.00018486i,0.0012223+0.00025667i,0.00099536-0.00062528i,0.0018652-0.0012114i,0.0015969-0.0013434i,0.00017992-0.0013432i,-0.0006755-0.0011808i,0.00022898-0.00095655i,0.0010865-0.00056127i
0.0020705-0.0023587i,0.0014813-0.0033093i,0.0020085-0.0034272i,0.0016357-0.0032512i,-0.0001753-0.0028178i,-0.0015885-0.0011319i,-0.0017577+0.0013501i,-0.0023267+0.0017414i,-0.0026661+0.00051373i,-0.002059-0.00033647i,-0.0013571-0.0017719i,5.0198e-05-0.0027218i,0.0010812-0.0017632i,0.0011351-0.00051846i,0.00055914+0.00015045i,0.00035104+0.0002844i,0.00017762+8.5278e-05i,-0.00085918-0.00069721i,-0.001652-0.00077838i,-0.001948-0.00049914i,-0.0016352-0.0005728i,-0.0012756-0.0004201i,-0.00040248-0.001012i
0.0017782+0.0018921i,0.003841-9.611e-05i,0.0042525-0.0022816i,0.002904-0.0029557i,0.00054648-0.0026831i,-0.0018853-0.0019052i,-0.0020336-0.00081i,-0.0012785+0.00063756i,-0.0023185+0.00157i,-0.0028006+0.00095038i,-0.0021925-2.3044e-05i,-0.0014526-0.00026087i,-0.0010748-0.00064863i,-0.00061538-0.00090303i,-0.00046492+0.00035288i,-0.00085307+0.0011024i,-0.00082869+0.00045449i,-0.0012708+0.00049902i,-0.0019656+0.00094336i,-0.001466+0.00052531i,-7.8488e-05-0.00029977i,0.00046663-0.00075025i,6.248e-05-0.00070014i
-0.00060758+0.00058022i,-4.7721e-05+0.0027249i,0.0014968+0.0027467i,0.0008995+0.00029442i,-0.00030564-0.0023845i,-0.0009609-0.0043814i,-0.0012798-0.0045705i,-0.00070911-0.0019452i,-0.00070004+0.00047029i,-0.0017003+0.0010209i,-0.0021188+0.0011696i,-0.00070129+0.0014692i,0.00030185+0.00078296i,-0.00014572+7.3983e-05i,-0.0013967+0.00024781i,-0.001495+0.0013057i,-0.00058806+0.0022065i,-0.00011958+0.0018866i,-0.00023538+0.0014154i,-6.5825e-05+0.00073717i,0.00031426-0.00070441i,0.00041723-0.00070242i,-6.6855e-05-0.00041886i
-0.00091387+0.0022995i,-0.00022473+0.0027397i,0.0016373+0.0020636i,0.0032539+0.00049602i,0.0020925-0.0011548i,-0.00059014-0.0016814i,-0.0020221-0.0020465i,-0.0016762-0.0022676i,-0.00014154-0.0016129i,0.00051029-0.00016945i,0.00015212+0.0015971i,0.00067907+0.0017689i,0.00095509+0.00071287i,0.00022751-0.00013039i,0.00013073+0.00026261i,0.00042866+0.0012227i,0.00075869+0.0014782i,0.0011908+0.0015023i,0.0013056+0.0013268i,0.00090412+0.00056334i,0.00035394-0.00035183i,7.7228e-05-0.0003519i,-0.00010471+0.00013588i
-0.001584-0.0023519i,0.00065174-0.0017658i,0.0015187-0.00049405i,0.00048193+0.00063584i,-0.0021939+0.0017055i,-0.0049468+0.0028234i,-0.0059986+0.0023621i,-0.0050512-6.5918e-05i,-0.0033885-0.0018272i,-0.0013801-0.00079416i,0.0013682+0.00035395i,0.0028905-0.00063164i,0.0016983-0.00066074i,4.8021e-05-3.8016e-05i,0.00012922+0.0001071i,0.0010489+0.00070348i,0.001387+0.0010439i,0.0013335+4.213e-05i,0.00080653-0.0006942i,0.0001438-0.00087506i,0.00045656-0.00084223i,0.00078586-0.0008573i,0.00095955-0.00069356i
0.0015553+0.0019266i,0.0016568+0.0027416i,0.0016802+0.00082712i,0.00037006-0.0017385i,-0.0017113-0.0027371i,-0.003015-0.0017335i,-0.0050022+0.0024853i,-0.0055721+0.0047521i,-0.004485+0.0028455i,-0.0033077+0.00011842i,-0.00096516-0.0015608i,0.00035656-0.002615i,0.00017135-0.0025585i,-0.001186-0.0006424i,-0.0015366+0.0009201i,-0.00029962+0.00070554i,0.00013912+0.00074739i,4.0128e-05+0.0009049i,0.00019152-0.00016895i,-0.00011238-0.0010676i,0.00020452-0.00067821i,0.0010093-0.00025153i,0.0013619-0.00014527i
0.0026945-0.0026766i,0.0030557-0.0033312i,0.0021738-0.0036684i,0.00030038-0.0030428i,-0.0013284-0.0030435i,-0.0010651-0.00079378i,0.0012574+0.0042376i,0.0024394+0.0069823i,0.00055256+0.0055443i,-0.001332+0.0024564i,-0.0016843+0.00034001i,-0.0019334+0.0002511i,-0.001972+0.0008406i,-0.00095216+0.00069405i,-0.00060294+0.00032679i,-0.0010925+0.00056835i,-0.0014234+0.00097511i,-0.001256+0.00036269i,-0.0014039-0.0004295i,-0.0014607-0.00071506i,-0.00079961-0.00072394i,-0.00043066-0.00032863i,-0.00041287-0.00041897i
