-0.00057421+0.0012756i,-0.00046502+0.0015813i,-3.3676e-05+0.0026492i,0.00022851+0.0025578i,0.00093546+0.0022326i,0.0017769+0.0012715i,0.001349+5.7903e-05i,0.00048478-0.00051978i,0.00090981-5.8457e-05i,0.00081319-0.0008077i,0.00032298-0.0016959i,8.0354e-05-0.00033999i,-0.00037661+0.0010026i,-0.00096198+0.0016057i,-0.00098433+0.00151i,-0.0007474+0.0014436i,-0.00019966+0.00059449i,0.00056929-0.0006203i,0.00054901-0.00079935i,-2.789e-05-0.0013688i,-0.00059384-0.0010194i,-0.00072179-0.0002456i,-0.00020606-7.9567e-05i
0.00058085+0.0005153i,7.5387e-05+0.0018596i,0.0011487+0.0020371i,0.0020908+0.0019005i,0.0020766+0.0016742i,0.0020701+0.00050108i,0.0017072-0.00035494i,0.00088846-0.00015739i,0.0011989+0.00023784i,0.0012108+0.00026341i,0.00078767+0.0001054i,0.00024516+0.00046551i,-0.00095036+0.00073895i,-0.00082906+0.0008903i,-7.8384e-05+0.00031755i,0.00015065-8.7755e-05i,0.00036505+0.0001112i,0.00042665-0.00026977i,0.0005089+1.5361e-05i,0.00014385+0.00056013i,0.00014357+0.00035771i,0.00068463+0.00079308i,0.00058656+0.0010881i
5.2596e-05+0.00051941i,-0.00080813-0.00033058i,-0.00015174-0.00062865i,0.00059813-0.00046313i,0.0011426-0.00013803i,0.00099557+0.00050727i,0.00073988+0.00087341i,0.0011314+0.0011098i,0.001759+0.001393i,0.0020075+0.00018468i,0.0010611-0.00078884i,-0.00049715+4.4604e-05i,-0.0011832+0.00042235i,-0.00091914-4.3299e-05i,-0.00054001+0.0002131i,2.8344e-05+0.00073655i,0.00043287+0.00033361i,0.00015686-0.00060929i,0.00082977-4.7126e-05i,0.001383+0.00051017i,0.00070286-0.00010815i,0.00013397-0.00048226i,-8.3347e-05-0.00035875i
0.00015116-0.00084854i,0.0010431-0.00054367i,0.0014732-0.00039139i,0.0013582+0.0010184i,0.00065493+0.0017913i,0.00064474+0.0011684i,0.0013084+0.00089284i,0.001275+0.00050056i,0.00094926-0.00011722i,0.0010627-0.00054955i,0.00074031-0.00010201i,-0.00047288+0.00065247i,-0.0011205+0.00038537i,-0.00051711+0.00017792i,0.00016329+4.7509e-05i,0.0009211+0.00030741i,0.0013234+0.0012594i,0.0012903+0.00087645i,0.00090078-0.0003747i,0.00055618-0.00080697i,0.00056366-0.00042045i,0.00085536-0.0001186i,0.00021397+0.00019306i
0.00018468+2.7357e-05i,-0.0012009+0.00073591i,-0.0017772-3.7857e-05i,-0.0017139-0.0003567i,-0.00031449+0.00092026i,0.00088486+0.0014683i,0.0010982+0.0006931i,0.00068808+0.00032447i,0.00074038-0.00043645i,0.00018835-0.00097948i,-0.00013509-0.00033188i,-4.9267e-05-0.00016031i,5.1145e-05-0.00046737i,0.00017092-0.00019961i,0.00024784-0.00022135i,0.00061334-0.00090385i,0.00089425-0.00059171i,0.0017041+0.00037485i,0.001534+0.0005862i,9.4136e-05-0.00021519i,7.3212e-06-0.000405i,-0.00011774+0.00041479i,-0.00013579+0.0010079i
-0.0014936+0.0002253i,0.00016253-0.00017363i,0.001031+0.00011927i,0.00061974+0.0017766i,0.00076099+0.0026212i,0.0019922+0.0020218i,0.002478+0.00038359i,0.0017562+0.000121i,0.00039156+0.00039271i,-3.3618e-05-0.00052126i,-0.00012745-0.0013014i,-6.1033e-05-0.0012228i,0.0004712-0.00063291i,0.00074535+0.00015877i,0.00065368+0.001427i,0.001321+0.0010892i,0.0020209+6.1595e-05i,0.0019322-9.258e-05i,0.0012096-0.00040587i,0.00013692-0.0011402i,-4.1333e-05-0.00089103i,-0.00037831+0.00023526i,-0.00059723+0.00028325i
-0.00042305+0.0011054i,0.00024706+0.0019337i,-0.00068297+0.0014256i,-0.00065765+0.00070683i,0.0013004+0.0017315i,0.0026276+0.0019827i,0.002064+0.0010636i,0.00050048+0.00049022i,-0.00016984+0.00052217i,0.0010108+0.00015157i,0.0014205-0.00016621i,0.00026788-0.00013432i,-0.00014424-0.00053789i,0.00023419-0.00051332i,0.0002732-1.2096e-05i,0.00062563-0.0004048i,0.0005722-0.00089432i,-4.9585e-06-0.00073188i,0.00018179-0.00062175i,-3.9993e-05-0.0010772i,-0.00038059-0.00098011i,4.0613e-05-0.00048316i,-0.00049889-0.00057118i
0.00035481-0.00079721i,0.00059587-0.00055104i,0.00082664-0.00011765i,0.00044976+0.00035994i,0.00033959+0.00049726i,0.001081+0.00048294i,0.0015459+0.00037469i,0.0011928+0.00063741i,0.00082812+0.00029503i,0.00038244-0.00095462i,1.1498e-05-0.0010116i,-0.00046033-0.00065031i,-0.00055742-4.0026e-05i,0.00056207+0.001031i,0.0016673+0.0012098i,0.0013972+0.00032572i,0.0010725-7.0989e-05i,0.0007223+0.00023953i,0.00095154-0.00016729i,0.0014254-0.00070877i,0.00067344-0.00018059i,0.00019732-0.00023523i,0.00020351+0.00016397i
0.0022584-0.00015958i,0.0013391+5.0684e-05i,0.0013706-4.4856e-05i,0.0021598-3.1272e-05i,0.001901+0.00022816i,0.0011225+0.001402i,0.00074845+0.0014589i,0.00083053+0.00096604i,0.001474+0.00010976i,0.0017418-0.0013018i,0.0012074-0.0017093i,0.00051329-0.00060067i,3.2164e-05+0.00097697i,-0.00028367+0.001124i,7.0439e-05+0.0012496i,0.00076759+0.00081878i,0.0012801-0.00030504i,0.0013941-0.0010027i,0.00095434-0.00097557i,0.00019203-0.00075971i,-0.00073899-0.00051458i,-0.00030967-0.00027472i,0.00031753-1.9436e-05i
0.00051518-0.00063177i,0.00078982-4.1509e-05i,0.00099037+0.00051054i,9.445e-05+0.0007687i,0.000373+0.0014054i,0.0013169+0.0016641i,0.0015568+0.00027055i,0.00094462-0.00055829i,0.0011458-0.00023687i,0.0022649-0.00028605i,0.0014171-0.0005079i,-2.4168e-05+6.212e-05i,-1.0044e-05+0.00011166i,0.00064558-0.00042889i,0.00092553+0.00027921i,0.00032972+0.00037436i,0.00034164+0.00023879i,0.00094033+0.00059577i,0.00079074-3.1327e-05i,0.00034586-0.00057651i,-0.00016687-0.00071145i,-8.7553e-05-0.0010821i,-1.0855e-05-0.00072868i
