-0.002521+0.000468i,-0.00079968+0.00015757i,-0.00065816+0.00082539i,-0.00025334+0.0020607i,0.00010704+0.0030749i,0.00063902+0.002881i,0.00038593+0.002282i,-0.00013812+0.001977i,0.00063332+0.0014514i,0.0018926+0.00061305i,0.0015332-0.00064062i,0.00088934-0.00078941i,0.00059079-0.0009417i,0.00068861-0.0014866i,0.001182-0.001262i,0.00056596-0.00076829i,-0.00019635-0.00023527i,-4.1355e-05+0.00010426i,9.6259e-05+0.00011924i,-7.7896e-05-0.00021715i,5.2232e-05-0.00028539i,-0.00010103-0.0011046i,-0.00072718-0.0011416i
0.0019083-0.0011518i,0.0021896-0.0019739i,0.0013703-0.0022267i,-0.00011429-0.0014217i,-0.0010976-0.00026242i,-0.0011958+0.00095789i,-0.00077523+0.0014736i,0.00046204+0.00028253i,0.00086681-7.7953e-05i,0.00069435-0.00015477i,0.00044686-0.00075067i,-0.00048294-0.00060982i,-0.0013016+9.713e-05i,-0.0014877-0.00018519i,-0.00091949-0.00079296i,-0.00036275-0.0010675i,0.00013044-0.0012728i,-0.00041866+0.0001155i,-0.0010355+0.00090285i,-0.00038458+0.00035582i,0.00060438+0.00066512i,0.00077881+0.00067269i,0.00056012+5.9515e-05i
0.0017033-0.0012305i,0.0010651-0.0021076i,-0.00020205-0.0028625i,-3.6917e-05-0.0020049i,7.894e-05-0.00049379i,-0.0004407+0.00090683i,-0.00058241+0.001381i,-0.00075611+0.00085795i,-0.00052604+0.00029231i,-0.00054325-0.00029873i,-0.00083461-0.0005353i,-0.00079512-0.00023696i,-0.00020956+0.00048776i,-0.00024089+0.0006909i,-0.00057217+0.00010097i,0.00023343-5.2623e-05i,0.00087498+0.00070776i,0.00025582+0.00076492i,6.3737e-05+0.00020805i,0.00024553-2.6598e-05i,0.00048667-0.00063405i,0.00024134-0.0012151i,-0.00032631-0.00085012i
0.0016148+0.00040531i,0.00074366+0.00063492i,0.00036053+0.00013124i,0.0004885-0.00025927i,0.0010282+0.00036508i,0.00076704+0.0021086i,0.00062875+0.0020177i,0.001025+0.0010372i,0.00054027+0.00058798i,4.1308e-05+0.00036884i,-3.4173e-05-0.00014272i,-8.7182e-05-0.00085225i,-0.00046027-0.00086154i,-0.00052476-0.00049046i,0.00018983-0.00015979i,0.00073797+0.00019564i,0.00047269-0.00018061i,0.00016965-0.0011845i,-0.00018719-0.00081607i,-0.00066467+0.00020422i,-0.00053352+0.00012815i,-0.00075928+4.3736e-05i,-0.00042507-0.00022878i
0.0025545+0.00042768i,0.0018788-0.0008928i,0.0018279-0.0014011i,0.0010917-0.0017609i,-7.4105e-05-0.0015421i,-0.0010833-0.00082384i,-0.0020315+6.8646e-05i,-0.0016078+0.00042003i,-0.00083375+0.0002387i,-0.00085658+0.00015035i,-0.00053444-0.00039443i,0.00023378-0.00028782i,-0.00011737-0.00014866i,-0.00063581-0.00026483i,-0.00033063-0.00048713i,0.00025599-0.00026127i,0.00030135-0.00017484i,8.9492e-05+0.00014311i,-0.00060005+0.0010518i,-0.000683+0.00069438i,-0.00031632+0.00025367i,8.4999e-05-0.00017207i,0.00089694-0.00033421i
0.0024562+0.0022814i,0.003143+0.00088272i,0.0028867+0.00013729i,0.0017786-0.00054041i,0.00058586-0.00060369i,-0.00080511+0.00044578i,-0.0003496+0.00098469i,0.00042613+0.00071555i,-6.0678e-05-5.1685e-05i,5.3096e-05-0.00036256i,0.00082078+0.00013555i,0.00080113-0.00024316i,0.00020173-0.00071641i,9.8713e-05-0.00059327i,-0.00022088-0.00039627i,-0.0011769-0.00011457i,-0.0011416+0.0001588i,-0.0006121+5.714e-05i,-8.8579e-05+5.251e-05i,0.00025824-1.8233e-05i,0.00062852-0.00048029i,0.00067924-0.00020386i,-0.00028134+0.00030766i
-0.0012199+0.00018081i,-0.0011467+0.00067251i,-0.00042797+0.0014148i,0.00057362+0.00155i,0.0011406+0.00091036i,0.0014658+0.0002988i,0.0013297+0.00040317i,0.00059139+0.00069837i,-1.7338e-05+0.00076884i,8.1439e-05+0.0010462i,0.0012133+0.00077747i,0.0015651+0.00025207i,0.0012802-0.00036354i,0.0012218-0.0014418i,0.00041333-0.0016245i,0.00010132-0.00086287i,-0.00033559-0.00037425i,-0.0005278-0.00058085i,-0.00087357-0.00099474i,-0.001289-0.00055577i,-0.00048495-1.8452e-06i,0.00023942+0.00011357i,0.00092517+7.8324e-05i
-0.00021132+0.00023402i,-0.00082726+0.00212i,-0.00074977+0.002508i,-0.00010044+0.0022972i,-6.0147e-05+0.0012481i,0.00069+0.00047145i,0.0013577+0.00021559i,0.0010731+9.9835e-05i,7.5743e-05+0.00029279i,-0.00080673+2.2404e-05i,-0.00083258+0.00043666i,-0.00026495+0.0011983i,0.00063411+0.00085034i,0.0010214-0.00019004i,0.00095998-0.00050776i,-8.0356e-05-0.00086855i,-0.0010168-0.0010716i,-0.0011558-0.00054711i,-1.1062e-05-0.00032417i,0.00090068-8.3071e-05i,0.00089951-0.00017248i,0.00085589-0.00099655i,0.00068351-0.00072922i
-0.00059325+0.0012341i,0.00054952+0.0002414i,0.00063446-0.00081213i,0.00040429-0.00056188i,0.00037133+0.00147i,-8.5998e-06+0.0019988i,0.00040301+0.0011362i,0.001118+0.00073394i,0.00066799+0.00037686i,-6.088e-05-2.7405e-05i,1.8479e-05-0.0005753i,0.00020632-0.00040908i,0.00057934+4.5236e-05i,0.00067925-0.00018127i,0.0004129-3.5804e-05i,3.8187e-06+0.00010495i,-0.00060719+0.00023648i,-0.00070378-0.00032148i,-8.276e-05-0.00064864i,-0.00043994-0.00045412i,-0.00054574-0.00041081i,-0.00016141-0.00013231i,0.00074113+2.0101e-05i
0.0019316+9.9486e-05i,0.0020109-0.00025121i,0.001982-0.00034643i,0.0013192-0.00034635i,0.0008448+0.00059057i,8.5428e-05+0.0013338i,-0.0002633+0.0014319i,-4.4774e-05+0.0011528i,0.00024008+8.9544e-06i,1.1894e-05-0.00094192i,-0.00017145-0.0010688i,-0.00033764-0.00070658i,-0.00062854-0.00080354i,-0.00024966-0.00088333i,-0.00081571-0.00081329i,-0.0016173-0.00069089i,-0.0008574-0.00071515i,5.6334e-05-0.00063491i,0.0004566+0.00047013i,0.0004303+0.00015271i,0.00027738-0.00053234i,0.00052146+0.0002525i,0.00041218+0.0008538i
0.0015206-0.00054233i,0.00080284-0.00071939i,-0.00022719+0.00032602i,-0.0012939+0.00078308i,-0.0017453+0.0010009i,-0.0013782+0.0019012i,-0.00063366+0.002028i,0.00010994+0.0019621i,0.00065904+0.0010877i,-0.00011129-0.0001376i,-0.00031592-0.00053199i,0.00015797-0.000103i,-7.9082e-05+0.00037233i,-0.00043347+0.00012803i,-0.00012813-0.0004572i,-7.3482e-05-0.00073088i,0.00024937-0.0003795i,0.00060459-0.00010792i,-0.00024854-0.00018418i,-0.00081012+0.00057092i,-0.00043536+0.00028877i,0.00026666-0.00090761i,0.00056276-0.00071728i
