0.00066321-0.00037774i,0.00081893-0.0015273i,0.0011186-0.0013049i,-0.00033222-0.0017992i,-0.0014214-0.0015731i,-0.0027624+0.00032517i,-0.0035094+0.002476i,-0.0012912+0.0036687i,0.00055539+0.0028083i,0.00097898+0.00095946i,0.0009213+0.00011006i,0.00047791-8.5036e-05i,-3.1277e-05-0.00038456i,-0.00016134-0.00010212i,-0.00068947-0.00061813i,-0.00037734-0.00047385i,-0.00014473-2.6329e-05i,-0.00014683+0.00011465i,0.00044274+1.0824e-05i,5.1435e-05-0.00081125i,4.5344e-05-0.0012373i,0.00059973-0.00099764i,0.00032362-0.00023011i
0.0015471-0.00034092i,0.0025419-0.0013099i,0.0018063-0.002955i,0.0013686-0.0040431i,-0.00072927-0.0036181i,-0.0030846-0.0019386i,-0.0031118-0.00023577i,-0.0015379+0.00076582i,-0.00034131+0.00037479i,0.00027314-0.00054396i,0.0001627-0.00031158i,-0.00095608-0.00041937i,-0.00092132-0.0005962i,0.00011697+0.00032378i,0.00063252+0.00062989i,0.00067997+0.00033459i,0.00088199+6.3684e-05i,0.00059004-3.3765e-05i,0.00026838-0.00068383i,-0.00012213-0.00081185i,-0.00017037+6.7458e-06i,0.00016232+3.332e-05i,3.5526e-05-0.0010078i
-0.00016808-0.0016641i,0.00032528-0.0024336i,0.00026395-0.0028069i,-0.00089312-0.0028781i,-0.0020651-0.0026325i,-0.0025493-0.0014679i,-0.0029726-0.00071126i,-0.0021849-0.00080499i,-0.00023384-0.001097i,0.00051178-0.0012827i,0.00025113-0.001454i,0.00036137-0.00089219i,0.0004496-0.000713i,0.00068248-0.00061332i,0.00078892-0.00012076i,0.00026686-0.00050196i,0.00045741-0.00097758i,0.00045609-0.00048911i,-7.0125e-05-0.00060947i,-4.7772e-05-0.0008192i,-2.6805e-05-0.00079068i,-0.00024561-0.00028678i,-0.000136+0.0002425i
-0.00065915+0.0005204i,0.0014131-0.00058543i,0.003706-0.00088702i,0.0030537-0.00032738i,0.0010377-0.00062227i,-0.00093694-0.0011995i,-0.002351-0.00068354i,-0.0022225+0.00010561i,-0.001496-0.00042747i,-0.00051438-0.00085156i,-0.00020507-0.00075742i,-0.00067593-0.00049199i,-0.00086913-0.00033575i,-0.00020085-7.7165e-05i,0.00060255+5.7553e-05i,0.00094816-0.00033453i,0.0006332-0.00065263i,0.0003372-0.00032114i,-0.00026439+0.00018413i,-0.00080707-0.00017217i,-0.0004-0.00032698i,-0.00027183-0.00022484i,-0.00066867-0.00063865i
0.00067298+0.00069487i,0.00088611-0.000298i,0.0013452-0.0012683i,0.0011674-0.0016878i,-0.00047942-0.0020242i,-0.002223-0.0016463i,-0.0026553+0.00026275i,-0.0010306+0.0018258i,-0.00020139+0.0015088i,-0.0010677+0.0001012i,-0.00083144-0.00031918i,-0.00027826+7.1347e-05i,1.5504e-05-0.00075176i,0.00057604-0.0012244i,0.0008116-0.00058965i,0.00075215+7.5724e-05i,-8.2689e-05+0.00033209i,-0.00050896+0.00019009i,-0.001097-0.00042528i,-0.0013524-0.00070646i,-0.0014143-0.00068097i,-0.00098623-0.00056957i,0.00052689+0.00039215i
0.0014064-0.0015861i,0.0011836-0.0028108i,0.0019307-0.0042068i,0.001203-0.0038717i,-0.00092235-0.0021407i,-0.0025377-0.00099302i,-0.0024107+0.00017919i,-0.00148+0.0011668i,-0.0004569+0.0011715i,-0.00053907+0.00058675i,-0.0011715+0.00074015i,-0.00088297+0.0006931i,-0.0003626+0.00026094i,-0.00027819+0.00024632i,-4.2152e-05+0.0002592i,-0.00034026+0.00021755i,-0.00022032+0.00040786i,-9.7496e-05+0.00025961i,5.0848e-05-0.00013903i,0.00080465+0.00014324i,0.0012763+0.0005121i,0.0012033+0.00026662i,0.00073956-0.00029225i
0.00035331-0.00028866i,0.0012525-0.0013524i,0.0010568-0.0019269i,0.00061169-0.0022815i,-0.00037226-0.002461i,-0.0014192-0.0021733i,-0.00089695-0.00061118i,0.00028808+0.001508i,0.00073614+0.0017623i,-0.00011492+0.00079286i,-0.00060612+0.00020374i,-0.00053756+0.00023902i,-0.00027588+0.00021556i,-6.573e-05+4.3838e-05i,0.00012052+0.0004425i,0.00047866+2.46e-05i,0.00048461-0.00018371i,0.00038861+0.00065006i,0.00073493+0.00056623i,0.00094276+0.0001587i,0.00066328+0.00026219i,-0.00021511+0.0001665i,-0.00021971-9.0581e-05i
0.00065942-0.0021771i,0.00018437-0.002693i,-2.5907e-05-0.0023209i,-0.00038612-0.0014387i,-0.001074-0.0015655i,-0.0013981-0.0013977i,-0.0016205-0.0001851i,-0.00041826+0.00014185i,0.00078322+0.000865i,0.0003339+0.0007265i,0.00063808-0.00020053i,0.00075361+0.00033684i,0.00027719+0.0010317i,0.00055022+0.0008955i,0.00091885+0.00097308i,0.0011059+0.0010828i,0.00039729+0.00043123i,-0.00043429-0.00017965i,-0.00031199-0.00042121i,4.2166e-05-0.00061605i,0.00046949-0.00037847i,4.3658e-06+0.00045421i,-0.0010882+0.00030582i
0.00044623-0.00018153i,0.0011298-0.00027183i,0.0012196-0.0014219i,0.0014249-0.0018481i,0.0005468-0.00099196i,-0.0007376-0.00022991i,-0.0018409-5.5384e-05i,-0.0016692-0.00041016i,0.00011573-0.0011784i,0.00051571-0.001164i,4.3557e-05-0.00091381i,0.00025719-0.00031709i,5.7633e-05+0.00043091i,-1.3029e-05+0.00052712i,0.00061583+0.00022481i,0.00013286+3.4319e-05i,-7.5952e-06+0.00032928i,0.00025406-4.3105e-05i,1.3782e-05-0.000372i,-0.00028317-0.00024586i,-0.00017278+3.8406e-05i,-8.9361e-05+0.00013102i,0.00033286-0.00059544i
0.00020654-0.001487i,0.00025086-0.0021931i,0.00064967-0.0034266i,0.0002396-0.0037895i,-0.00049147-0.0033242i,-0.0015171-0.0026254i,-0.0018467-0.001103i,-0.0011104+0.00022578i,-0.00057397-0.0005625i,-0.00054879-0.0014432i,-0.00053595-0.0012522i,-6.9363e-05-0.0013414i,0.00037329-0.0009689i,0.00024039-0.00039548i,0.00051432-0.00051562i,0.0010795-0.00094512i,0.0010845-0.00080926i,0.00031037+4.3681e-05i,1.9139e-05+7.7801e-05i,-5.2212e-05-0.0004412i,-0.00011432-0.001104i,-4.6662e-05-0.001516i,-0.00016023-0.0015889i
0.0014612-0.0003365i,0.0032585-0.0017459i,0.0033068-0.0021185i,0.0014518-0.00061106i,-0.00099427-0.00065289i,-0.0029119-0.0016134i,-0.0030567-0.0010614i,-0.0020494+1.1068e-05i,-0.0016216+5.7941e-06i,-0.001261-0.00014639i,-0.001968-0.00028297i,-0.0016916-0.00097401i,-0.00097959-0.0013344i,-0.00055427-0.0010676i,-5.9595e-06-0.0007885i,0.00017579-0.00096999i,0.0008069-0.0010151i,0.00079317-0.001068i,-0.00041636-0.00084678i,-0.00090003-0.00076219i,-9.4918e-05-0.00080522i,-9.8249e-05-0.00064044i,-0.00071489-0.00045739i
-0.0010666-0.00071926i,-0.00057711-0.0015292i,-0.0010105-0.00078916i,-0.0010311-0.0001411i,-0.00064739-0.0014566i,-0.0013621-0.0018691i,-0.0020298-0.0001837i,-0.0020712+0.001027i,-0.0020103+0.00084016i,-0.0022093+0.00017646i,-0.001805+5.3516e-05i,-0.0010674+0.00062762i,-0.00082118+0.00064054i,-0.00079859+0.00040206i,-0.00061317+0.00064851i,-0.00096697+0.0003102i,-0.0009657-7.0165e-05i,-0.00074664-2.4534e-05i,-0.00059095-0.0002116i,-0.0008396+2.4717e-05i,-0.0006298+0.00053793i,0.00039554+0.00020141i,0.00079063-0.0001i
0.0017898-0.00099394i,0.0035668-0.0023292i,0.004613-0.0039437i,0.0029698-0.0044576i,1.8813e-05-0.0038224i,-0.0016029-0.0024539i,-0.0037906-0.00012446i,-0.0036929+0.0017261i,-0.0016461+0.0017213i,-0.00067129+0.0014048i,-0.0010442+0.0013985i,-0.00065693+0.00094807i,0.00037883+0.0011256i,0.00030114+0.0011081i,0.0002469+0.00012596i,0.00018815-0.00026275i,0.0004411+0.00027152i,0.00058352-0.00033384i,-0.00016826-0.00029382i,-0.000598+0.00038713i,-0.00045518+0.00023789i,-0.00093665+3.2173e-05i,-0.001522+8.5336e-05i
1.7558e-05+0.00050137i,0.0014176-6.0637e-05i,0.0022403-0.00020081i,0.001402-0.00083455i,2.7056e-05-0.0015109i,-0.0011923-0.0019223i,-0.002032-0.00082327i,-0.0017592+0.0011388i,-0.00076342+0.0024627i,0.00041015+0.0022573i,0.001302+0.0011783i,0.0017038+0.00027077i,0.00051703+0.00022818i,-0.00040008+0.00018057i,0.00044615+0.00025708i,0.00032942+0.00096083i,-0.00065207+0.00078907i,-0.001038+7.3585e-05i,-9.6151e-05-0.00020781i,9.0205e-05-0.0002264i,-0.00064708+0.00013962i,-0.00097759-0.00021483i,-0.00022656+0.00021649i
0.00088138-0.00040153i,0.0016599-0.0017536i,0.0026651-0.0020459i,0.0017667-0.002217i,-0.00050252-0.0024292i,-0.0022956-0.0020932i,-0.0019564-0.00077833i,-0.00012695+0.00028747i,0.0014697+0.00083155i,0.0023997+0.00036147i,0.0023953-0.00035786i,0.0019476+1.1715e-05i,0.0011076+0.0010339i,0.00093781+0.0012943i,0.0017365+0.0013198i,0.0016661+0.00093298i,0.001089+0.00028044i,0.00069201+0.00019884i,-6.015e-05+0.00019563i,-0.00046921-4.2141e-05i,-0.001002-0.00022857i,-0.00086071-0.00012243i,7.157e-05+0.00034958i
-0.00027523-0.0016077i,-0.00035387-0.0023793i,-0.00038553-0.0033552i,-0.00057194-0.004201i,-0.0020019-0.0028999i,-0.0037561-0.0015466i,-0.0029348-0.0017328i,-0.00058556-0.0013553i,0.00090268-0.00070265i,0.0014573-0.00067271i,0.00068914-0.00072239i,-5.6602e-05-0.00023149i,0.0010311+0.00010448i,0.0014915-0.00014393i,0.0014779+3.8109e-05i,0.0017615+8.8795e-05i,0.00081723-0.00035631i,-0.00026898-0.00018666i,0.00013729-0.00026968i,0.00012188-0.0005745i,-0.0002493-0.00046926i,-3.6915e-05+0.00025669i,0.00037719+0.0010629i
0.00092248+0.00072298i,0.001416-0.0014915i,0.0024927-0.00022236i,0.0035694+0.00052617i,0.0029499-0.00077158i,0.00026105-0.0018877i,-0.0023674-0.0018868i,-0.0033642-0.00017729i,-0.0024138+0.00021344i,-0.0010155-0.00054932i,-0.00047918-0.0010227i,-0.00016878-0.0015779i,0.00035857-0.0015208i,0.00035814-0.0012384i,-0.00011324-0.00045981i,-0.00011462+0.00051291i,0.00070457+0.00047402i,0.00089749+0.00033451i,0.00019775+2.2632e-05i,-0.00018005-6.9424e-05i,7.6622e-05+0.00014523i,0.00034988-4.2262e-05i,0.00034051-0.00033642i
-0.00011219+0.0012609i,0.0013441+0.00087361i,0.0019555-8.8982e-05i,0.0022879-0.0013449i,0.00077122-0.0028679i,-0.0018242-0.0027417i,-0.003654-0.00092446i,-0.004254-0.00014618i,-0.0037158-0.00023847i,-0.0031262-0.00085587i,-0.00179-0.0010246i,-0.0011394-0.00033274i,-0.00055907+5.7657e-05i,-0.00011971+0.0003831i,-0.00010498+0.00054679i,-0.00013551+0.00062517i,-0.00027137+0.00061073i,6.7522e-05-0.00026238i,0.0001113-0.0012688i,3.3863e-06-0.0010069i,-0.00023456-0.0002392i,-0.00037767-0.0002923i,0.00024932-0.00013609i
0.00052138+0.00028779i,-0.0008462-0.0012435i,-0.0012012-0.0028722i,-0.00058769-0.0026001i,-0.0011316-0.0014584i,-0.0019825-0.0015486i,-0.0029436-0.00050679i,-0.0029626+0.0012815i,-0.0014769+0.0019813i,-0.0007055+0.0017188i,-0.00052302+0.0014032i,-0.00027898+0.00014569i,-8.2162e-05-0.0013183i,-0.00022892-0.0017474i,-0.00017714-0.00090447i,0.0004283-0.0001885i,0.00076663-0.00050617i,0.00068783-0.0010488i,-0.00033807-0.0010632i,-0.001084-0.00082536i,-0.0011532-8.9253e-05i,-0.0010492+0.00056641i,-5.634e-05+0.00054332i
8.9717e-05-0.00030509i,0.0012542-0.0013803i,0.0024036-0.0022344i,0.0020815-0.0026272i,0.00057599-0.0022453i,-0.0015342-0.0013607i,-0.0030004+9.0003e-05i,-0.0025188+0.0027947i,-0.0014235+0.0035609i,-0.00046832+0.0024769i,-0.00039298+0.0017464i,6.4081e-05+0.0014142i,0.001249+0.00018759i,0.00077327-1.5421e-05i,-7.8718e-06+0.00046929i,-2.8207e-06-0.00016366i,0.00029852-0.00027134i,-0.00023562-0.00044096i,-0.0010817-0.00047634i,-0.00077662-3.2607e-05i,0.00037937+0.00014019i,0.00085773+6.6007e-06i,-0.00019872-0.00035777i
0.0017954+0.0002354i,0.0020945-0.0002588i,0.0022897-0.00061818i,0.0014542-0.00084859i,-0.00032707-0.0014766i,-0.0016122-0.0018386i,-0.0013841-0.00037616i,-0.00050036+0.0018478i,0.00066334+0.0019093i,0.0014279+0.00059152i,0.0017114-0.00062863i,0.0011379-0.0011439i,-0.00042592-0.00044692i,-0.00056867+0.00086934i,-0.00027115+0.0012223i,-7.1115e-05+0.00083564i,0.00021968+0.00041503i,0.00034279+5.0553e-05i,-0.00034665-0.00026085i,-0.0013277-0.00037401i,-0.00081289-4.9334e-05i,-0.00034087+0.00025808i,-0.00040564-3.0903e-05i
0.00063389-0.00097682i,0.0018012-0.0029096i,0.0028777-0.0032323i,0.002278-0.0029637i,0.0002867-0.0030038i,-0.0013802-0.0023393i,-0.0023171-0.00086529i,-0.0011116+0.00076338i,0.0013997+0.00072884i,0.0023541-0.00084157i,0.0011571-0.00056333i,-4.649e-05-0.0001002i,-3.6731e-05+0.00013788i,0.00043885+0.00053588i,0.00045932+0.00083532i,0.0011471+0.0011536i,0.0014361+0.0011857i,0.00093485+0.0006947i,0.00057082+0.00024432i,0.00019115+1.498e-05i,0.00057348-0.00012205i,0.0007846-0.00045865i,-0.0004055-9.1009e-05i
0.0044532+0.0010965i,0.0052956-0.0015025i,0.0051867-0.00366i,0.002881-0.0047694i,-0.00025908-0.0044138i,-0.003116-0.0029821i,-0.0033083-0.00092971i,-0.0010138-0.00039618i,0.0012523-0.0017672i,0.0012608-0.0028568i,0.0001279-0.0020671i,-0.00024887-0.00037339i,-0.00040106+0.00010548i,0.00012067-0.00017499i,0.00097823-3.0541e-05i,0.0011136-0.000353i,0.0011186-0.00095308i,0.00095122-0.00063434i,0.00031315+4.0147e-05i,-0.00031935+0.00012814i,-2.0781e-05-0.00030673i,0.00062565-0.00027897i,0.0010377-0.00042584i
-0.00094286+0.0017084i,-0.00036998+0.00092816i,0.00044308-0.00023248i,0.0011929-0.0007684i,0.00091222-0.0021603i,5.4636e-05-0.0032313i,-0.0012589-0.0020692i,-0.0022643-0.00083961i,-0.0027287-0.00076876i,-0.0020622-0.0011218i,-0.00086952-0.00032337i,0.00042732+0.00012047i,0.001037-0.00065731i,0.0013239-0.00023567i,0.0013121+0.00055221i,0.001061+0.0005252i,0.00070599+0.00034946i,0.00042735+0.00043927i,0.00036029+0.0003781i,0.00034262+8.5348e-05i,-2.8409e-05-0.00025227i,-0.00039395-0.00079378i,-0.00072298-0.0004411i
0.0014826-0.00077673i,0.0015222-0.0015698i,0.0012892-0.0025018i,0.00063408-0.0026853i,-0.0011566-0.0025228i,-0.003338-0.0026827i,-0.0043451-0.0019466i,-0.003823-0.00081072i,-0.0034091-0.00038123i,-0.0022238-0.00034707i,-0.00057986+0.00021436i,-9.8324e-05+6.2937e-05i,0.00013062-0.00019914i,0.00049102+0.00019216i,0.00014155+0.00014492i,0.00027265+1.0922e-05i,4.1239e-05+0.00018001i,-0.00062791-0.0004051i,-0.00055894-0.0011265i,-0.00059957-0.00034778i,-0.00079382+0.0004706i,-0.00073966+6.8493e-05i,-0.00058092-0.00044126i
0.00044557+0.0012923i,0.0010571-0.00026028i,0.001698-0.0019938i,0.00093809-0.0029815i,-0.0010884-0.0025932i,-0.0031849-0.0014079i,-0.0040222+0.00048292i,-0.0038716+0.0021205i,-0.0024385+0.0024156i,-0.0012793+0.0018136i,-0.00068499+0.00074809i,2.8727e-05-4.8711e-06i,5.8712e-05-0.00026053i,5.0835e-05-0.00046147i,-4.4765e-05-8.7814e-05i,0.00037079+0.00019612i,0.00068222-0.00025845i,0.00029683-0.00053605i,-0.00029898-0.0010759i,-0.00041347-0.0018987i,-0.00047781-0.0014986i,-2.7266e-05-0.0011269i,0.00039122-0.00049062i
0.0013784+0.0011045i,0.0029718-0.0011886i,0.0045144-0.0027078i,0.0037945-0.002619i,0.0015485-0.0035034i,-0.0004276-0.0031595i,-0.0025482-0.00011189i,-0.0029913+0.0027156i,-0.00133+0.0032083i,-0.00018642+0.0018132i,-0.00017116-6.4154e-05i,-0.00084633-0.0014447i,-0.00073812-0.0016092i,-0.00031923-0.00075196i,6.7556e-05+0.00041821i,0.00056599+0.00028491i,0.00042535+0.00021289i,-5.2257e-05-0.00018019i,-0.00039577-0.00041612i,-0.0005372+0.0006771i,-0.00050363+0.00085584i,-0.00028818+2.899e-06i,-0.00024757-0.00067662i
0.00044895+0.0022218i,0.0017681+0.0016427i,0.0024392+0.00092623i,0.0017969-0.00095332i,-4.4163e-05-0.0028553i,-0.0023014-0.002772i,-0.0020578-0.00083i,-0.00021308+0.0018195i,0.001437+0.0022595i,0.0018148+0.00035739i,0.00050813-0.0014264i,-0.00037852-0.0016329i,-0.00062086-0.00028369i,-0.00054041+0.00037908i,-0.00064515+2.3847e-05i,-0.00040468-0.0003106i,0.00088355-0.00068025i,0.0011497-0.00068492i,0.00044839-0.00031965i,-0.00043847-0.00052581i,-0.00082987-0.00035419i,-0.00080289-0.00027648i,-0.00049407+2.9418e-05i
-0.0014547-0.0018271i,-0.00074225-0.0026953i,9.97e-05-0.0029318i,0.00060418-0.0017967i,-0.00015067-0.00010207i,-0.001371+4.0063e-05i,-0.0017347+0.00048063i,-0.00038381+0.0016479i,0.0011844+0.0010733i,0.0011883-0.00019651i,0.00022906-0.0011898i,-4.4508e-05-0.00080491i,0.00010528+0.00013132i,0.00023399+0.00033197i,0.00050301+0.00025225i,0.00031658+0.00026882i,-1.4491e-05+0.00062358i,0.00024913+0.00054608i,0.00028054+0.00037545i,0.00033438-0.00036041i,0.0002408-0.00087867i,-0.00021311-0.0002762i,-0.00027859+0.00049321i
-0.00035131+0.0018689i,0.0023258+0.0019237i,0.0035285+0.0018152i,0.0033551+0.00024409i,0.0012624-0.00096613i,-0.00086907-0.0018432i,-0.00092406-0.0020318i,-0.00012665-0.0016993i,0.00034098-0.0018687i,-7.7727e-05-0.001531i,-0.00084363-0.00025904i,-0.00064919+0.0012364i,0.00049152+0.002256i,0.00084999+0.0017605i,0.00044988+0.00041662i,-0.0006537+4.2551e-05i,-0.0010648+0.00048956i,-0.00048675-0.00022364i,-0.00082577-0.0016516i,-0.00057751-0.0018564i,-0.00018484-0.0010237i,0.00053047-0.00059522i,0.00090759-0.0003902i
0.00097472-0.00064489i,0.00097073-0.0012041i,-5.7943e-05-0.0018674i,-0.00050029-0.0024409i,-0.001013-0.0027914i,-0.0027398-0.0028715i,-0.0030385-0.0023066i,-0.0023464-0.0014793i,-0.0019965-0.0014009i,-0.0014262-0.00064953i,-0.00088573-0.00012443i,0.00045641-0.00039601i,0.0011859-0.00087524i,0.00051186-0.0012126i,-3.2996e-05-0.00057986i,0.00016532+0.00075796i,0.00092639+0.0013644i,0.0013091+0.00056273i,0.00028637-0.00020887i,-0.00022754-2.9944e-05i,-3.5694e-05+0.00027782i,-0.00041456+0.00045867i,-0.00028455+0.00042893i
0.0021324-0.0015568i,0.0027671-0.0040226i,0.0031835-0.00477i,0.0013819-0.0036901i,-0.0016005-0.0027517i,-0.0030014-0.0020631i,-0.004365-0.00051408i,-0.0051841+0.00054721i,-0.0038995+0.00082625i,-0.0025414+0.0012311i,-0.00085897+0.00074596i,0.0009515-0.00042234i,0.0016371-0.00094596i,0.0011698-0.00089461i,0.0010248-0.00053317i,0.0010552+6.6018e-05i,0.00043875+0.00046439i,0.00026739-0.00020225i,0.00026629-0.0010653i,-0.00033907-0.00038283i,-0.0001866-0.00013881i,0.00026697+9.3067e-05i,0.00014623+0.00039954i
-0.0017681+0.00012636i,-0.00072714+0.0020222i,-7.3809e-06+0.0017311i,0.0011451+0.00031802i,0.00056713-0.0016331i,-0.0018943-0.0026567i,-0.0035617-0.00069591i,-0.0037972+0.0015617i,-0.0029118+0.0022566i,-0.0013437+0.0012471i,-0.00025347-0.0002444i,1.9098e-05-0.00078414i,-0.00028763-0.00092455i,-0.00033884-0.001066i,0.00045861-0.0003729i,0.0011695+0.00029711i,0.0013049-0.00030223i,0.00053231-0.0010798i,-0.00021634-0.0010468i,-2.2055e-05-0.00054139i,0.00038008-0.00014105i,0.00065004-0.00040719i,0.00095248-0.00027752i
0.0010568-0.00026706i,0.0026245-0.002413i,0.0032251-0.0034394i,0.0025156-0.0032167i,-9.5128e-05-0.0026825i,-0.0024777-0.0031855i,-0.0034277-0.001342i,-0.0022093+0.0022715i,-9.6362e-05+0.0043004i,0.00079697+0.0028881i,0.00047067+7.4762e-05i,-0.0004094-0.00070241i,-0.0009025+0.00048146i,-0.00085106+0.00062691i,-0.00024734+0.00063308i,-0.00041184+0.0010836i,-0.00055503+0.0009874i,-0.00095756-2.1702e-05i,-0.0017219-0.0003143i,-0.0012427+0.00056869i,-0.00079007+0.0010125i,-0.0013338+0.00068223i,-0.0011309+0.00033399i
8.5582e-05+0.00052508i,0.00096767+0.00042927i,0.0013968+3.6411e-06i,0.001505-0.00083986i,0.00081408-0.0013482i,-0.0010338-0.00090415i,-0.0023794+0.00090954i,-0.0018919+0.0024651i,-0.00018976+0.0021489i,0.00067551+0.0010257i,0.00056584-0.000342i,-0.00048827-0.00054131i,-0.0012892+0.00053051i,-0.0013779+0.0010401i,-0.00099539+0.0011336i,-0.00017979+0.0003718i,0.00018489+0.00013265i,-0.0004166-0.00024177i,-0.00093752-0.0008533i,-0.00049745-0.00046812i,2.5832e-05-0.00052847i,0.00081557-0.00052519i,0.00071314+8.5289e-05i
0.0026432+8.6524e-05i,0.0028723-0.0011602i,0.0023078-0.0027371i,0.0014881-0.0037722i,0.00077074-0.005093i,-0.0014371-0.0053615i,-0.002035-0.0021352i,-0.00036006+0.0005699i,0.0012769+0.00087177i,0.00066346+9.5959e-05i,-0.00051221-0.00043324i,-0.000135-0.00067263i,0.00014626-0.00011448i,-0.00050621+0.00020316i,-0.00088208-0.0003999i,-0.00030793-8.56e-05i,-0.00015525+0.00096474i,-0.00054517+0.00043593i,-0.00063164-0.00069331i,-0.0006388+0.0003076i,6.8496e-05+0.00086658i,0.00099682-8.8558e-05i,0.0004185-0.0004423i
0.0032729-0.0018171i,0.0030821-0.0018486i,0.0034062-0.0019384i,0.0013697-0.0028706i,-0.0026303-0.0032419i,-0.0043467-0.002135i,-0.0033119-0.0011563i,-0.00096101-0.001186i,0.0013516-0.001964i,0.0013803-0.0014513i,0.00023244+0.00015744i,0.00062206+0.00074947i,0.0013708+0.00074521i,0.0010748+3.7252e-05i,0.00080219-0.00017772i,0.00064847+0.00075261i,0.00091182+0.00082981i,0.0004771+0.00058308i,8.1975e-05+0.00044728i,-7.5999e-05+0.0005207i,-1.7518e-05+0.00039503i,0.00026507-0.00072094i,-0.00014207-0.00079915i
0.00053298-0.00038297i,0.00042331-0.0023873i,-4.1848e-05-0.0031545i,0.0002039-0.0026927i,-0.00019285-0.0024752i,-0.0020922-0.0020576i,-0.0023804-0.0010243i,-0.0011602-0.0016523i,-3.1851e-06-0.002244i,0.0002125-0.0016238i,-0.00010311-0.00048619i,4.3375e-05+0.00018629i,0.0010802+0.00023617i,0.0013778+0.00048325i,0.00093242+0.00037862i,0.00056752+0.00065221i,0.00032813+0.00086779i,0.00016735+0.00023056i,3.031e-05-0.00061856i,0.00048571-0.00075467i,0.0010595-0.00074211i,0.00068963-0.00081471i,0.00079709-0.0006498i
0.0022694+1.992e-05i,0.0038525-0.0020045i,0.0048042-0.004761i,0.0032402-0.0048369i,0.00028776-0.0039523i,-0.0018473-0.0030638i,-0.0022988-0.0015444i,-0.0024791+0.00022505i,-0.0025876+1.0277e-05i,-0.0021248-0.0005197i,-0.00053257-0.00073674i,-3.9461e-05-0.001488i,-0.00059344-0.0016658i,-0.00022999-0.00037614i,0.00039783+0.00023511i,0.0011475-0.00026684i,0.00090831-0.00058504i,0.00042275-0.0009548i,-0.00015678-0.0011843i,-0.0009442-0.001077i,-0.00058658-0.00066556i,8.7019e-06-0.00043035i,0.0003088-0.0013006i
-5.752e-06+0.0029619i,0.00095396+0.0044559i,0.0014474+0.0040097i,0.0010049+0.00080331i,-0.00085725-0.0027934i,-0.0031541-0.0038144i,-0.0041588-0.0022189i,-0.0041733-0.00033723i,-0.0027095+0.00039862i,-0.0012614-0.00043619i,-0.0012561-0.0018327i,-0.0014226-0.0019611i,-0.0011857-0.00072615i,-0.00039888-0.00019566i,0.00020303-0.00059509i,0.00031815-0.0010762i,0.00012319-0.0012238i,0.00028642-0.0011422i,0.0006019-0.0010432i,-5.4645e-05-0.00094096i,-0.00032295-0.00017991i,0.00013716+0.00044657i,-0.00015245+0.00079613i
-0.0010424-0.0012209i,-0.00072634-0.0037127i,-0.0010844-0.0048557i,-0.00093435-0.0032996i,-0.00032226-0.0012813i,-0.0014032-0.00081183i,-0.0037499-0.00029959i,-0.0042988+0.001795i,-0.0031264+0.0024266i,-0.0017049+0.0013402i,-0.0012113-3.9016e-05i,-0.0013026-0.00094311i,-0.00073934-0.00071393i,-0.00014003-0.00060517i,-0.00026258-0.00030785i,-0.00074827+4.1255e-05i,-0.00030186+0.00014716i,-0.00041579-0.00010064i,-0.00092312-0.00070563i,-1.8215e-05+0.00010525i,0.00052496+0.00028948i,0.0004421-9.3315e-05i,0.00015993+0.00038625i
0.0031702+0.0020837i,0.0063593+0.0020649i,0.0082605+0.001697i,0.006037-0.00064764i,0.0015354-0.0031265i,-0.001565-0.0030522i,-0.0032691-0.0010505i,-0.0024881+0.00079259i,-0.00072627+0.0021717i,0.00050628+0.0017627i,0.00063026+0.00059449i,-0.00034551+3.6664e-05i,-0.00069891+0.00030016i,-0.0010216+0.00071807i,-0.00064696+0.0009156i,0.00056373+0.00040281i,0.00053626-0.00050503i,0.00021164-0.0005801i,0.00021218+6.0501e-05i,-2.849e-05+0.00059882i,-0.00046258+0.00076065i,-0.0007257+0.00070943i,-0.0011608+0.00040119i
-0.00011312+0.0025319i,-0.0014329+0.00060228i,-0.00039689+1.385e-05i,0.00048742-0.00094932i,0.00015468-0.0032136i,-0.0017308-0.0031999i,-0.0026433-0.00017883i,-0.00087896+0.0018133i,0.0017844+0.0014045i,0.0021367+0.0002679i,0.0006106+0.00011921i,-8.7608e-05+0.00063121i,-0.00038818+0.00051372i,-0.00046121+0.00062694i,-0.000189+0.00077823i,-0.00032345+0.00047527i,-0.00050763+0.00079759i,-0.00032433+0.0003173i,0.00013509-0.00059725i,0.00094974+0.00017726i,0.0011781+0.00058479i,0.00031992+0.0002712i,-0.0002759-2.4267e-05i
0.0013393-0.0014312i,0.0041573-0.0031747i,0.0037736-0.0046814i,0.0013206-0.0037613i,-0.0011123-0.0021647i,-0.0014917-0.0012848i,-0.00023439-0.00038204i,0.00052686+0.0012197i,0.00074878+0.00054727i,0.00071017-0.0011875i,0.00039395-0.00091707i,0.00058991-3.6936e-05i,0.00056872+0.00015845i,0.00048275+0.00025043i,0.00019384+0.00067572i,0.00025807+0.0014036i,0.00077676+0.001742i,0.0007844+0.0013309i,0.00026412+0.0006013i,-0.00023871-0.00010562i,8.6888e-05-0.00052666i,0.00070825-0.00075504i,0.0007584+2.7981e-05i
