0.00062887-0.00019348i,0.00063681-0.00066615i,0.0013793-0.0017631i,0.00042549-0.0029899i,-0.0024867-0.0027721i,-0.0042198-0.0010323i,-0.0036995+0.00079286i,-0.0018332+0.0013024i,0.00096521+0.0011841i,0.0015863+0.00088646i,0.00075642+0.00063899i,-2.6608e-05+0.00098761i,-0.00083739+0.0015362i,-0.00065116+0.0012233i,1.7647e-05+0.00036422i,4.3216e-05-0.00012115i,2.3377e-05-5.0012e-05i,-0.00020562+0.00061259i,-0.00077763+0.00044717i,-0.00094785-0.00067615i,-0.00026475-0.00041403i,-0.00054065+9.2656e-05i,-0.00067193-0.00013364i
0.0072648-0.034284i,0.043109-0.10509i,0.089759-0.19141i,0.074218-0.21493i,-0.042376-0.13182i,-0.15283+0.0046195i,-0.15592+0.092548i,-0.11681+0.089651i,-0.096998+0.057058i,-0.061097+0.03956i,-0.016228+0.015773i,-0.0056444-0.006208i,-0.011708-0.00047447i,-0.0029115+0.011234i,0.010148-0.0010676i,0.0081807-0.025739i,-0.0053517-0.03859i,-0.011856-0.035283i,-0.0036696-0.020247i,0.0079868-0.004949i,0.011452+0.00028888i,0.0067072-0.00053858i,0.0017765-0.0018504i
-0.016445+0.033891i,-0.069401+0.090532i,-0.1615+0.16043i,-0.20895+0.20667i,-0.1199+0.21028i,0.038806+0.15267i,0.12279+0.057897i,0.11818+0.010857i,0.097565+0.012698i,0.069153-0.0033939i,0.02448-0.01971i,0.00084934-0.0063171i,0.011362+0.0061765i,0.018899+0.00062898i,0.0031816-0.0059911i,-0.019902+0.00035971i,-0.032648+0.013521i,-0.032269+0.018513i,-0.022897+0.010092i,-0.010403-0.0019459i,-0.0013582-0.0056927i,0.001475-0.0030895i,5.7419e-05+0.00019263i
0.019392-0.022546i,0.075428-0.051466i,0.17274-0.068068i,0.24515-0.062651i,0.21159-0.076818i,0.092492-0.11204i,-0.016793-0.11058i,-0.053177-0.086318i,-0.052945-0.071669i,-0.054612-0.04501i,-0.039822-0.016845i,-0.018659-0.013985i,-0.012865-0.020608i,-0.014263-0.016876i,-0.014421-0.0020843i,-0.0089407+0.0141i,0.0033966+0.022222i,0.013527+0.023422i,0.015801+0.016873i,0.012541+0.0028638i,0.0084866-0.008527i,0.0073841-0.01199i,0.00897-0.0096667i
-0.022365+0.018609i,-0.081509+0.031229i,-0.17632+0.028223i,-0.24488+0.0066308i,-0.23535+0.01748i,-0.15658+0.073355i,-0.053635+0.10651i,0.0021577+0.099514i,0.012441+0.088547i,0.019276+0.068006i,0.012534+0.034452i,-0.0025498+0.01582i,-0.0049074+0.0080263i,0.00017496-0.00026522i,0.0074456+0.00046228i,0.016525+0.0054216i,0.021946+0.0037609i,0.01988-0.0020348i,0.0070395-0.007047i,-0.010618-0.0078714i,-0.021614-0.0030815i,-0.021456+0.0014404i,-0.016202+0.00077322i
0.023401-0.0060065i,0.091454+0.0022817i,0.19716+0.048418i,0.28709+0.12168i,0.30892+0.13968i,0.23712+0.070605i,0.10868-0.0077743i,0.027398-0.036698i,0.015004-0.042226i,0.0076856-0.036994i,-0.0052043-0.01098i,-0.0066425+0.0090829i,-0.0091848+0.012053i,-0.014826+0.011228i,-0.0096141+0.0059616i,0.0015196-0.0022484i,0.006663-0.0080775i,0.0050376-0.0090734i,-0.00078487+0.0007217i,-0.0029769+0.015374i,0.0021479+0.021315i,0.0067502+0.017774i,0.0074187+0.014281i
-0.019542-0.0017162i,-0.068896-0.031746i,-0.12323-0.12546i,-0.14573-0.26494i,-0.1419-0.32784i,-0.12449-0.23316i,-0.075985-0.071017i,-0.026499+0.014425i,-0.011706+0.024422i,-0.0048648+0.028122i,0.012681+0.02767i,0.019402+0.019358i,0.019005+0.018501i,0.023701+0.019794i,0.022865+0.011836i,0.014272-0.001652i,0.0031024-0.010796i,-0.0056835-0.010975i,-0.003658-0.005028i,0.0034002-0.0018345i,0.0041422-0.0030185i,0.00016664-0.0049936i,-0.0021468-0.0073314i
0.0129+0.0098436i,0.047287+0.046955i,0.059482+0.12981i,0.0061535+0.23411i,-0.055615+0.28712i,-0.029377+0.22115i,0.039193+0.07916i,0.064052-0.012506i,0.059761-0.033539i,0.051651-0.041392i,0.03604-0.043823i,0.022428-0.035979i,0.013407-0.031947i,0.0047296-0.031871i,-0.0044631-0.029848i,-0.014801-0.025049i,-0.018059-0.01493i,-0.01066-0.005251i,-0.00037247-0.0021197i,0.0086988-0.0013564i,0.014121+0.00046648i,0.012887+0.003553i,0.0076803+0.0069184i
-0.013391-0.016394i,-0.036569-0.064185i,-0.028117-0.14911i,0.051816-0.22956i,0.13632-0.25384i,0.11023-0.19967i,0.012109-0.1024i,-0.045539-0.037139i,-0.059998-0.018387i,-0.060452-0.012009i,-0.044403-0.0072042i,-0.025268-0.004562i,-0.013668+0.00084808i,-0.0056467+0.0079058i,-0.0030656+0.014674i,-0.002434+0.019804i,0.00105+0.017538i,0.0045284+0.010451i,0.0071746+0.0023511i,0.0071581-0.0089482i,0.0046459-0.018895i,0.0032866-0.020258i,0.0048281-0.015721i
0.011787+0.014835i,0.012585+0.058388i,-0.041489+0.1199i,-0.17739+0.15115i,-0.29135+0.1281i,-0.25118+0.089835i,-0.11515+0.054436i,-0.035577+0.02901i,-0.015612+0.030129i,0.0013468+0.032451i,0.0048745+0.015306i,-0.0049741+0.00066571i,-0.0060434-0.005196i,-0.00084095-0.012686i,0.0026281-0.01627i,0.0028821-0.012745i,-0.00096296-0.0089776i,-0.0041056-0.0067824i,-0.0063825-0.0078531i,-0.013152-0.0073804i,-0.020019+0.00024879i,-0.019407+0.0067847i,-0.013238+0.0069238i
-0.0067644-0.011883i,0.0023797-0.044481i,0.056817-0.057058i,0.16669+0.0055484i,0.24349+0.096017i,0.19225+0.091607i,0.066835+0.022038i,-0.00089764-0.0067101i,-0.0023381-0.0078951i,-0.0054064-0.011324i,-0.016049-0.003876i,-0.018739+0.0076755i,-0.019025+0.013581i,-0.021564+0.014939i,-0.023297+0.015438i,-0.019857+0.018819i,-0.013971+0.02103i,-0.014684+0.017765i,-0.018214+0.015423i,-0.014763+0.017233i,-0.0043925+0.016146i,0.004338+0.0099617i,0.0062328+0.0040749i
0.00065858+0.014855i,-0.012474+0.046482i,-0.046894+0.053208i,-0.096443-0.024519i,-0.12472-0.12462i,-0.10471-0.1031i,-0.047874+0.0050306i,0.0049997+0.056201i,0.02598+0.047247i,0.024936+0.040154i,0.022888+0.035519i,0.024809+0.022693i,0.025286+0.0081439i,0.024375+0.0011541i,0.02522+6.5081e-05i,0.025981-0.0041318i,0.024176-0.0066601i,0.021912-0.0021341i,0.02116+0.0033502i,0.019786+0.0033521i,0.014494-0.00080108i,0.0067401-0.0035116i,-4.6034e-05-0.0034556i
0.0042043-0.014951i,0.0286-0.040726i,0.066376-0.038857i,0.08756+0.047447i,0.074483+0.15814i,0.05985+0.15574i,0.056508+0.067515i,0.045759+0.011604i,0.035596-0.0083561i,0.032786-0.025523i,0.02617-0.029002i,0.013745-0.020493i,0.00032924-0.014915i,-0.0069394-0.012254i,-0.0081935-0.0088044i,-0.010541-0.0048292i,-0.010733-0.0033849i,-0.0057219-0.0053695i,-0.0025113-0.0080855i,-0.0017713-0.0085954i,0.0013357-0.0057716i,0.0048915-0.0016322i,0.0061698+0.0016429i
-0.0054324+0.011522i,-0.024308+0.024735i,-0.034496+0.0066549i,0.004909-0.079498i,0.069484-0.1634i,0.065189-0.14173i,0.011022-0.062668i,-0.013846-0.029386i,-0.022391-0.031593i,-0.031479-0.02681i,-0.028849-0.019103i,-0.019624-0.010438i,-0.0087313+0.0040865i,0.0026542+0.013436i,0.01202+0.013198i,0.017541+0.009174i,0.0174+0.0038699i,0.012527+0.0018959i,0.0090856+0.0033807i,0.0067588+0.0012793i,0.0021002-0.0048896i,-0.0011801-0.0086606i,-0.00078751-0.0079899i
0.0065421-0.0090487i,0.025657-0.019948i,0.025674-0.024945i,-0.040711-0.0037547i,-0.1213+0.027025i,-0.08831+0.034797i,0.0064895+0.011404i,0.031281-0.013789i,0.012053-0.012213i,0.0080218-0.00028761i,0.0082793+0.0025207i,0.0021978-0.0012555i,-0.0011624-0.006455i,-0.0014316-0.012889i,-0.0041792-0.019128i,-0.010199-0.019906i,-0.014842-0.015671i,-0.014408-0.011871i,-0.013319-0.01076i,-0.014431-0.0083913i,-0.015326-0.0016225i,-0.013666+0.0037579i,-0.0093662+0.0039377i
-0.010367+0.0020035i,-0.03977+0.0034154i,-0.064191+0.006339i,-0.028175+0.01206i,0.043457+0.0097645i,0.04876-0.017001i,0.00068283-0.042585i,-0.018679-0.033082i,-0.012049-0.013267i,-0.012695-0.007454i,-0.01265-0.0050145i,-0.0059783+0.0014201i,-0.0021679+0.0090195i,-0.0028291+0.012298i,-0.003928+0.010409i,-0.0012551+0.0091107i,0.0038793+0.0099669i,0.0046545+0.0089016i,0.0025218+0.010371i,0.0044242+0.014718i,0.0080958+0.012842i,0.0073439+0.0082585i,0.0038557+0.0053168i
0.012246-0.00050987i,0.039185+0.00864i,0.055553+0.013959i,0.016763-0.0026102i,-0.053173-0.027424i,-0.075027-0.010422i,-0.054404+0.031939i,-0.038471+0.044678i,-0.027991+0.040813i,-0.016057+0.042485i,-0.0088604+0.040306i,0.0012551+0.027879i,0.013775+0.008181i,0.016797-0.0059191i,0.0098954-0.008563i,0.00057496-0.0085509i,-0.0042097-0.0088783i,-0.0021277-0.00743i,0.0032906-0.0069263i,0.0058438-0.0088464i,0.0045356-0.009172i,0.003754-0.0060365i,0.0041669-0.0015397i
-0.017209-0.0055059i,-0.042081-0.011143i,-0.070063-0.0091656i,-0.05975+0.035365i,-0.013968+0.086827i,0.016034+0.058708i,0.011298+0.0022243i,0.0025432-0.0019746i,0.010131+0.0044711i,0.021983-0.0059342i,0.02439-0.012492i,0.014951-0.013462i,-0.00073512-0.012077i,-0.010047-0.0069626i,-0.0083792+0.0010781i,-0.0031097+0.0079677i,-0.00077292+0.0078606i,-0.0010614+0.0040057i,-0.0025752+0.0021739i,-0.0019883+0.003486i,-0.0013037+0.0049062i,-1.0275e-05+0.0034748i,0.0030599+0.00012365i
0.014202+0.0087868i,0.037029+0.026406i,0.076193+0.047359i,0.099182+0.027942i,0.071241-0.016907i,0.0063395-0.01337i,-0.026377+0.017925i,-0.0076153+0.017062i,0.0083349-0.0017856i,0.0010114-0.010675i,-0.011648-0.013779i,-0.016612-0.013013i,-0.010352-0.0057874i,-0.00045644-0.001206i,0.0038684-0.0021325i,0.0013032-0.0044553i,-0.0026899-0.0055673i,-0.0044557-0.0057879i,-0.0033595-0.0069418i,-0.00039515-0.00872i,0.0020841-0.0089493i,0.0013366-0.0074572i,-0.0017612-0.0057005i
-0.0085242-0.012077i,-0.017249-0.039165i,-0.032655-0.078494i,-0.048299-0.081785i,-0.043361-0.029552i,0.002462+0.022379i,0.046925+0.03213i,0.044309+0.018918i,0.027448+0.0087269i,0.024442+0.005126i,0.022933+0.006399i,0.012833+0.0042633i,-0.0010361-0.0021982i,-0.0080075-0.0042851i,-0.005023-5.7754e-05i,3.5377e-05+0.0058963i,0.0022391+0.0086007i,0.002362+0.0070988i,-0.00012132+0.0053985i,-0.0042289+0.0030059i,-0.0061874+3.1888e-05i,-0.006548+0.00023422i,-0.0047451+0.0024524i
0.0015134+0.011086i,-0.00064103+0.038025i,0.00035623+0.07439i,0.015352+0.078993i,0.031679+0.034867i,0.016885-0.010428i,-0.0036768-0.022688i,7.9423e-05-0.020027i,-0.0011492-0.019719i,-0.012737-0.019524i,-0.014984-0.017115i,-0.011809-0.0063292i,-0.0061293+0.0091309i,0.0016142+0.013264i,0.0058374+0.0049242i,0.0055468-0.0050154i,0.0032702-0.0064989i,0.0019107-0.0019115i,0.002081+0.0023277i,0.0028406+0.0047672i,0.0043298+0.0045399i,0.005197+0.0030826i,0.0043976+0.0025446i
0.0040009-0.011813i,0.013894-0.041559i,0.025-0.089i,0.012502-0.11384i,-0.014394-0.07937i,-0.014835-0.01929i,-0.0035653+0.0028075i,-0.0090306-0.010228i,-0.01749-0.011211i,-0.015681+0.0054723i,-0.010412+0.018146i,-0.0016659+0.019233i,0.0068218+0.0094181i,0.0053054+0.00055365i,0.00034024+0.0015647i,-0.00032058+0.0062747i,0.0023579+0.0062835i,0.0040299+0.0039649i,0.0028755+0.0038331i,0.00079384+0.0032305i,-0.0014852-0.00065171i,-0.002098-0.0041172i,0.00074235-0.0041623i
-0.0072621+0.0072973i,-0.030728+0.030704i,-0.071507+0.067735i,-0.089308+0.094161i,-0.053266+0.077126i,-0.0067169+0.022633i,0.0043382-0.010559i,-0.0025896-0.00075652i,-0.00081694+0.0071247i,0.0040464-0.0026069i,0.0068519-0.010196i,0.0081403-0.010283i,0.0051205-0.0057322i,0.0033981-0.0018204i,0.0059581-0.0037941i,0.006252-0.008921i,0.0026705-0.010634i,-0.00064473-0.0094554i,-0.00042426-0.0069217i,0.0018255-0.0017599i,0.0016281+0.0043419i,5.6004e-05+0.0068793i,-0.0014933+0.0028626i
0.010463-0.0033493i,0.035589-0.011065i,0.080509-0.01976i,0.10434-0.028113i,0.066368-0.029808i,0.0067458-0.01374i,-0.014963+0.0052624i,-0.0086193+0.008961i,-0.0030403+0.007303i,-0.0020617+0.0063613i,-0.003336+0.0025273i,-0.0019684-0.0021567i,0.0021975-0.0067444i,0.0022082-0.0096714i,-0.0034004-0.0070503i,-0.006996-0.0009196i,-0.0044385+0.002663i,0.00060745+0.0015316i,0.0039244-0.0010411i,0.0059409-0.0044614i,0.007953-0.0081989i,0.0075428-0.00709i,0.0035457-0.0020502i
-0.0093018+0.0039487i,-0.032341+0.0016785i,-0.0734-0.0059903i,-0.098906-0.0058646i,-0.0757+0.0070578i,-0.031148+0.01284i,-0.014473+0.0098331i,-0.018188+0.012531i,-0.012423+0.014009i,-0.0013091+0.0076116i,0.0032026-0.00022448i,-0.00087186-0.0067842i,-0.0091266-0.0071386i,-0.010612-0.00151i,-0.003963+0.002713i,0.00072601+0.0014533i,-0.00064417-0.0021113i,-0.0031053-0.0037816i,-0.0035357-0.0047233i,-0.0048991-0.0046513i,-0.0083755-0.0027007i,-0.0097137+0.00019019i,-0.0060714+0.0020023i
0.0086012+0.0017484i,0.031426+0.015052i,0.073231+0.043139i,0.10654+0.057175i,0.092669+0.035964i,0.045588+0.0075072i,0.022468+0.002723i,0.031631+0.0061346i,0.030631+0.00090604i,0.013476-0.0021724i,0.00066244-0.0012592i,-0.0060523+0.00084169i,-0.0052777+0.0052775i,-0.00011017+0.0059045i,0.00014294+0.0032562i,-0.002012+0.0042155i,-0.0014312+0.00759i,-0.0011006+0.0086054i,-0.0022385+0.0066414i,-0.00053502+0.005678i,0.0039478+0.0053367i,0.007895+0.0034967i,0.0089877+0.0019706i
-0.0037557-0.0043785i,-0.016083-0.030642i,-0.036152-0.080855i,-0.053854-0.11792i,-0.054129-0.096571i,-0.035993-0.04589i,-0.012194-0.022287i,0.0022111-0.02149i,0.0055891-0.016322i,0.0033069-0.0080373i,-0.00075651-0.0026864i,-0.0021619+0.00181i,-0.0013301+0.0029146i,-0.00011992+0.0016988i,0.0024507+0.0010718i,0.0054156+0.00070783i,0.005598-0.0022704i,0.0024258-0.006371i,-0.0017257-0.0070984i,-0.0053161-0.0059935i,-0.0072314-0.006235i,-0.0071337-0.0089814i,-0.0051799-0.010836i
0.0031368+0.0047187i,0.0043709+0.026703i,-1.5192e-05+0.067849i,-0.0083031+0.1023i,-0.0088992+0.094051i,-0.0065753+0.062709i,-0.009915+0.043506i,-0.010902+0.032166i,-0.0053402+0.017903i,6.3028e-05+0.0088283i,0.0021049+0.009006i,0.0030357+0.011213i,0.0062323+0.011039i,0.009522+0.0063165i,0.00737+2.0673e-05i,0.002512-0.00086293i,-0.00098234+0.0022126i,-0.003713+0.0054912i,-0.0046918+0.0081295i,-0.0016685+0.010411i,0.0023837+0.011689i,0.0030807+0.011943i,0.00014813+0.010467i
-0.0025514-0.007976i,0.0027867-0.026386i,0.019072-0.060887i,0.034273-0.088696i,0.02821-0.080353i,0.014162-0.04688i,0.011205-0.027565i,0.007572-0.029339i,-0.00012029-0.02803i,0.00037161-0.019678i,0.0061763-0.013695i,0.0093881-0.0096277i,0.0089382-0.00852i,0.0047463-0.0099757i,0.00071427-0.0087016i,0.00050166-0.0071399i,0.0025154-0.0056017i,0.0052046-0.0031603i,0.0080438-0.0022708i,0.0096529-0.0053936i,0.0078572-0.010413i,0.0047931-0.011859i,0.0033953-0.0065969i
-0.0015069+0.0059764i,-0.014743+0.019718i,-0.048718+0.043934i,-0.085596+0.065465i,-0.088262+0.068218i,-0.061412+0.046631i,-0.043876+0.01843i,-0.03665+0.0062229i,-0.023411+0.0054478i,-0.012882+0.0035414i,-0.010296-0.00084201i,-0.0089641-0.0049391i,-0.0075139-0.0052527i,-0.0078886-0.0013861i,-0.0086428+0.0012467i,-0.0082455+0.00088088i,-0.0087507-0.00026579i,-0.008651-0.00024186i,-0.0057687+0.0014434i,-0.0043975+0.0030947i,-0.0078593+0.0058548i,-0.010161+0.010458i,-0.0067015+0.011036i
0.0018971-0.00018821i,0.021372-0.0050178i,0.062296-0.0055337i,0.1069+0.00047151i,0.11655+0.0066849i,0.09251+0.012149i,0.064227+0.024171i,0.043526+0.033527i,0.027915+0.026487i,0.01707+0.010658i,0.010873-0.0014645i,0.0066171-0.0065556i,0.0022763-0.0073867i,-0.00050401-0.0045847i,-0.00039833-0.0001276i,0.00099264+0.0035228i,0.0026332+0.0058604i,0.0049437+0.0045288i,0.0069412-0.00036906i,0.0081982-0.0042427i,0.01142-0.0051948i,0.015089-0.0065209i,0.014814-0.0076672i
-0.0027747+0.00023599i,-0.017232-0.0014019i,-0.046281-0.014251i,-0.07509-0.037097i,-0.075896-0.050604i,-0.052801-0.046927i,-0.027634-0.036926i,-0.014276-0.021913i,-0.011477-0.006636i,-0.011643-0.0022044i,-0.012286-0.0046958i,-0.011945-0.0041698i,-0.010814+0.00029067i,-0.00765+0.0044462i,-0.0035023+0.0046301i,-0.00055147+0.002933i,0.00063573+0.00093487i,-0.00044505-0.002346i,-0.0039069-0.0064643i,-0.0085663-0.0079709i,-0.013021-0.0067364i,-0.015457-0.0061082i,-0.01424-0.005821i
0.0050653-0.0021977i,0.015568+0.0043851i,0.036138+0.024433i,0.054777+0.05462i,0.052252+0.067752i,0.026963+0.059151i,0.00044854+0.045564i,-0.0057017+0.028076i,0.0010935+0.011328i,0.0041529+0.008054i,0.002631+0.014319i,0.0001594+0.016814i,0.0013109+0.014152i,0.0074031+0.01078i,0.010455+0.0073841i,0.0086437+0.0050591i,0.0057831+0.0049512i,0.0029478+0.0055184i,0.0013445+0.0066753i,0.0022812+0.0086752i,0.006355+0.010528i,0.0098608+0.011151i,0.0077348+0.0108i
-0.0048179+0.002813i,-0.0085577-0.009904i,-0.012476-0.041575i,-0.011751-0.086127i,-0.0053401-0.10628i,0.0076906-0.090831i,0.02518-0.064291i,0.033746-0.044484i,0.02478-0.031385i,0.011118-0.01915i,0.0042602-0.009993i,0.0021026-0.0041811i,0.0015398-0.00068065i,0.0010944-0.0018804i,0.0017543-0.0050835i,0.0038175-0.0068339i,0.0048139-0.0081637i,0.003627-0.008947i,0.00095043-0.0076668i,-0.0011149-0.0064169i,-0.0035541-0.0084828i,-0.0054273-0.010371i,-0.0026774-0.008701i
0.0019846+0.0013007i,0.00038978+0.012525i,-0.011286+0.036134i,-0.039072+0.063441i,-0.067897+0.069631i,-0.074901+0.050296i,-0.062391+0.02317i,-0.03978+0.0084059i,-0.016878+0.007672i,-0.0045883+0.0091613i,-0.00154+0.0074014i,0.0010081+0.0043113i,0.005222+0.00094587i,0.0070765-0.0027662i,0.0043963-0.0045241i,-0.00039463-0.0045886i,-0.0046135-0.0035397i,-0.0068298-0.00084789i,-0.0075706+0.0030781i,-0.006511+0.0086839i,-0.00319+0.012495i,0.00047911+0.012921i,0.0022544+0.0095103i
-0.0022465-0.004883i,0.0031971-0.012536i,0.01909-0.02609i,0.045207-0.034531i,0.063445-0.022148i,0.058325+0.0072226i,0.037852+0.031856i,0.014123+0.034401i,0.001888+0.020632i,0.0065657+0.0044123i,0.013026-0.0052134i,0.011966-0.0069665i,0.0077727-0.0079425i,0.0032033-0.010744i,-0.00040974-0.010209i,-0.0011238-0.0060491i,8.5051e-05-0.001832i,0.0012709+9.6697e-05i,0.0035544+0.00079323i,0.007487-0.00068391i,0.0091241-0.0067833i,0.00656-0.012083i,0.0028028-0.011996i
0.0019791+0.00563i,-0.0041391+0.010082i,-0.023259+0.015073i,-0.054549+0.01295i,-0.071785+0.00025968i,-0.061844-0.015697i,-0.040468-0.025582i,-0.025665-0.023674i,-0.017337-0.013853i,-0.010617-0.0086407i,-0.0086119-0.0088178i,-0.0079586-0.0088424i,-0.0067225-0.0070645i,-0.0074494-0.0023865i,-0.0092544+0.0022929i,-0.010041+0.0031991i,-0.0099401+0.0030799i,-0.0081448+0.0037823i,-0.0039471+0.0021782i,-0.0033737-0.00070503i,-0.0074646+0.00048853i,-0.010909+0.0047143i,-0.011516+0.0069763i
-0.0010772-0.0032293i,0.006087-0.0026842i,0.023794+0.0052704i,0.048886+0.029128i,0.059143+0.058278i,0.043292+0.069722i,0.017733+0.056506i,0.0052897+0.032077i,0.0059144+0.012021i,0.0047777+0.0033248i,-0.00036058+0.002678i,-0.0050569+0.0018908i,-0.0085476+0.00021997i,-0.0090794+0.0014196i,-0.0055678+0.0047071i,-0.00020159+0.0076014i,0.0041169+0.0081076i,0.0061633+0.0067464i,0.0073774+0.0049776i,0.0088413+0.003445i,0.010864+0.0018356i,0.012254+0.0010891i,0.011769+0.0021885i
0.00026741+0.0036738i,-0.0038408-0.00044346i,-0.011216-0.015554i,-0.01423-0.0437i,5.3224e-05-0.067322i,0.0258-0.065657i,0.044998-0.042825i,0.045447-0.017529i,0.028847-0.00525i,0.009424-0.0050083i,-0.0015009-0.0057083i,-0.0044906-0.0021683i,-0.0041064+0.0034075i,-0.0025945+0.0065168i,-0.00056985+0.0063001i,0.00078505+0.004465i,0.0011543+0.0025462i,0.001057+0.0002136i,-0.00017192-0.0039177i,-0.0035135-0.00722i,-0.0073349-0.0074071i,-0.0065685-0.0064615i,-0.0018904-0.0064183i
-0.00086324+0.00058453i,0.0022226+0.0046717i,0.0052395+0.018635i,0.001638+0.037967i,-0.013269+0.045486i,-0.029134+0.030718i,-0.032853+0.010598i,-0.023319+0.0021919i,-0.011956+0.0028645i,-0.0069877+0.0059762i,-0.0063995+0.0081417i,-0.0057362+0.0085912i,-0.00069456+0.0084082i,0.0063579+0.0069038i,0.010013+0.0042436i,0.010739+0.0036593i,0.010199+0.0031979i,0.0077641+0.0015162i,0.0026589+0.001132i,-0.0015321+0.0039882i,-0.00037718+0.0068533i,0.0021913+0.0056172i,0.0014454+0.0015839i
-0.00091951+0.00031473i,-0.00048424-0.0055597i,0.006093-0.020416i,0.021735-0.039115i,0.03725-0.044636i,0.038379-0.026755i,0.023849-0.0014083i,0.006814+0.0056877i,-0.00055585+7.3935e-05i,0.0019486-0.0009212i,0.0059679+0.00099337i,0.0078668+0.0029295i,0.0084176+0.0039063i,0.0088862+0.0013792i,0.0084335-0.0043746i,0.0050005-0.0099185i,0.0020532-0.011911i,0.00055545-0.009966i,3.7681e-05-0.0073533i,0.00031068-0.0076107i,-0.0015235-0.0096913i,-0.0043816-0.0089182i,-0.0060298-0.0042833i
-0.0015724+0.0036121i,-0.0031672+0.0079194i,-0.013651+0.013639i,-0.038023+0.011642i,-0.059743-0.0053817i,-0.060208-0.025482i,-0.042516-0.033652i,-0.021118-0.028077i,-0.0067417-0.015025i,-0.00030593-0.0051135i,0.0022695-0.0035838i,0.0040371-0.0055144i,0.0058886-0.0063493i,0.0055517-0.0065952i,0.0021542-0.0059472i,-0.00082801-0.0039496i,-0.00096314-0.0025137i,-0.0007914-0.002497i,-0.0019086-0.00061507i,-0.0038967+0.0039311i,-0.004858+0.0073836i,-0.0038701+0.0083655i,-0.0019004+0.0081594i
0.00085909-0.0017267i,0.0042739-0.0051529i,0.012621-0.0077926i,0.020787+0.001049i,0.016839+0.024232i,0.0027653+0.042078i,-0.0080337+0.039442i,-0.010529+0.026835i,-0.0047606+0.016659i,0.0028287+0.0092248i,0.0057405+0.0039282i,0.0045322+0.00010359i,0.0019175-0.0042164i,-0.0017716-0.0083496i,-0.0049915-0.0082607i,-0.0050497-0.0067136i,-0.0046591-0.0069912i,-0.00457-0.0052712i,-0.0012344-0.0017428i,0.0048975+0.000486i,0.0091696-0.00086312i,0.0096866-0.0032822i,0.0091462-0.0035883i
-0.00035161+0.0058934i,-0.0035054+0.0054544i,-0.011072+0.0024041i,-0.019934-0.008434i,-0.017233-0.01853i,-2.4015e-05-0.017355i,0.016574-0.0063202i,0.018349+0.0052623i,0.0097483+0.0070509i,0.003517+0.00091081i,0.0006299-0.0047538i,-0.0014334-0.0072056i,-0.0035578-0.0070293i,-0.005505-0.0035867i,-0.0067125+0.001671i,-0.0079756+0.0061105i,-0.0078911+0.0090685i,-0.0057083+0.0097315i,-0.0032932+0.0077049i,-0.0033742+0.004748i,-0.0053981+0.0034854i,-0.0055229+0.0017732i,-0.003608-0.0013216i
0.0022814-0.00046831i,0.0052833+2.6777e-05i,0.010569+0.0072706i,0.012002+0.025047i,0.0037785+0.043185i,-0.008768+0.042095i,-0.013223+0.024855i,-0.0066895+0.0069631i,0.00042272-0.0033924i,-0.00016215-0.0058342i,-0.0058292-0.0037034i,-0.0098973-0.0014182i,-0.01085-8.0248e-05i,-0.0083541+0.0023916i,-0.0037645+0.0042726i,-0.00077697+0.0035704i,-0.0011323+0.0030491i,-0.0016043+0.0039174i,0.0011044+0.002723i,0.0047045+0.00023535i,0.0062755+0.00068209i,0.0060927+0.0030474i,0.0037243+0.0029076i
0.001984-0.0010907i,0.0012757-0.0031373i,0.0027974-0.010697i,0.011787-0.018493i,0.029369-0.017296i,0.037327-0.005252i,0.02879+0.0065977i,0.018848+0.0079339i,0.013051+0.00070784i,0.0077212-0.0047001i,0.0023586-0.0034415i,-0.00063699+0.0013464i,-0.0025942+0.0062097i,-0.0028589+0.0094634i,-0.00085847+0.0098706i,0.0014516+0.0080756i,0.0031987+0.0077139i,0.0048447+0.0061974i,0.0040547+0.00090019i,0.00058424-0.0047402i,-0.0029494-0.0086609i,-0.0042379-0.0093758i,-0.0017724-0.0057595i
-0.0013418+0.00060312i,-0.00062811+0.0025111i,-0.0011526+0.0054821i,-0.004495+0.0059103i,-0.0091607-0.0047428i,-0.0099292-0.020095i,-0.0064258-0.025041i,-0.0029235-0.018285i,-0.0021509-0.0081593i,-0.0025473-0.0026604i,-0.0028279-0.00093793i,-0.0023476+0.0012114i,0.00066372+0.0036851i,0.005069+0.0040987i,0.0083071+0.0020668i,0.0091213-0.00027035i,0.009907-0.00229i,0.0090499-0.0040617i,0.0057916-0.0048907i,0.0023011-0.002601i,0.00013215+0.00082746i,-2.0401e-05+0.0027251i,0.000437+0.0021151i
0.0016546-0.0013669i,0.0022729-0.0034991i,0.0076826-0.0085022i,0.015297-0.012536i,0.01541-0.0088267i,0.0062025+1.3008e-05i,-0.0045096+0.0042238i,-0.012627+0.0023798i,-0.014167+0.0017019i,-0.0083984+0.0040761i,-0.0023367+0.0055883i,0.0013096+0.0065323i,0.0044041+0.0066105i,0.0052708+0.0041891i,0.0040435+0.001176i,0.0037125-0.00026397i,0.0044017+0.00044975i,0.0039431+0.00075096i,0.0006659-0.00016796i,-0.0018231-0.0009153i,-0.0011935-0.0025719i,6.9133e-05-0.0052629i,0.00033473-0.0053125i
