-0.0010082+0.0013966i,-0.0010367+2.2237e-05i,-7.5688e-05-0.0019441i,0.00035384-0.0028784i,-0.00025673-0.001983i,-0.00034337-0.00072257i,0.00046566+2.9119e-05i,0.00053377+0.00040358i,7.833e-05-6.5232e-05i,-5.7109e-05-0.00044649i,1.0553e-05+0.00047102i,8.4849e-05+0.00069933i,-0.00015576-9.8429e-05i,0.00013577-0.0009526i,0.00048482-0.0006202i,0.00066112+0.00057926i,9.7438e-05+0.00055453i,-0.00017133+0.00036241i,8.1247e-05+0.00018614i,-0.00021133+9.837e-07i,-0.0003426-7.9243e-05i,-0.00064864-0.00016985i,-0.00074126+0.00055489i
-0.00062458-0.0012053i,0.00090296-0.0010719i,0.0021206-0.00040425i,0.0026207+2.8308e-05i,0.0019178+0.00021923i,0.00058116+0.0003181i,-7.6689e-05+0.00058746i,-0.00055072+0.00072736i,-0.00085576+0.00064965i,-0.00040915+0.00077147i,0.00062443+0.0010396i,0.0010063-4.146e-05i,0.00054859-0.00040061i,0.00015449+8.8304e-06i,0.00068895-0.00042585i,0.00078347-0.00011985i,0.00073105+0.00032122i,0.0010507-0.00026414i,0.0010008-0.00090937i,0.00063251-0.00048396i,0.00046532+0.00012379i,-8.744e-06-0.00025263i,-0.00025157-9.78e-05i
0.0010441-0.00093161i,0.00061191-0.00094096i,0.0019282-0.0010517i,0.0022661-0.001641i,0.00040138-0.0016778i,-0.00046426-0.00181i,-2.887e-05-0.0012442i,-0.00023971+0.00039518i,-0.0003915+0.0010889i,-7.3363e-05+0.0011884i,0.0003614+0.0010776i,0.00024223+0.0010847i,0.00021569+0.00087187i,5.3421e-05+0.00031653i,-0.00029094-0.00038051i,-0.00021524-0.0010004i,-0.00022059-0.0012097i,9.4944e-05-0.00050248i,0.00017776+0.00034977i,3.1103e-05+0.00046921i,0.00022251+9.7968e-05i,0.00055712-0.00027288i,0.00043161-0.00028144i
0.0016866-0.00066998i,0.0021773-0.0012242i,0.0022813-0.0015872i,0.001739-0.0019686i,0.00081463-0.0014465i,-0.0005525-0.00027574i,-0.00084707-1.427e-05i,-0.00034239+0.00015655i,-0.00048704+0.00086306i,-0.00027985+0.00072421i,0.00016415+0.00088634i,0.00072475+0.0010738i,0.00099967+0.00043049i,0.00015334+0.00024862i,9.6235e-05+3.9666e-05i,0.00032359-0.00059669i,-0.00030436-0.00039058i,-0.0001605+0.0001405i,-0.00041628+0.00053262i,-0.00081286+0.0002592i,-0.00016469-0.00037812i,0.00032082-0.00018265i,0.00025085+0.00020422i
-0.0018513+6.9319e-05i,-0.00038347+0.0008237i,0.00095866+0.00096902i,0.0017885-0.00016264i,0.0011573-0.00098029i,3.6414e-05-0.00080965i,-0.00031689-0.00035466i,0.00028407+5.8295e-05i,0.0012162+0.00037452i,0.0015974+0.00030592i,0.0013913+0.00027043i,0.000616+0.00082284i,-0.00019829+0.00085475i,-0.0004835+0.00036593i,-0.0003523+4.1692e-05i,0.00047094-8.3442e-06i,0.00058684+0.00017172i,-0.00030005+0.00015493i,-0.00011443-0.00012173i,0.00035719+0.0002596i,0.00018207+0.00016376i,-0.00011118-0.00040253i,-0.0006483+0.0001905i
-0.00049264-0.0022275i,0.0008418-0.001563i,0.0018879-0.00083061i,0.0025791-0.00096268i,0.0020759+3.9278e-06i,0.00026982+0.00071912i,-0.00048011+0.00033542i,0.00015731+0.00021652i,0.00061438+0.00080892i,0.0010137+0.00092256i,0.00071697-6.3084e-05i,-7.6872e-05-0.0013187i,-3.1712e-05-0.0011288i,0.00037159+0.00046754i,0.00037915+0.0010418i,0.00034477+0.00045374i,2.8482e-05-7.9108e-05i,-0.00029199-0.00036983i,-0.00019296-0.00063699i,3.7745e-05-0.00046148i,0.0003579-0.00019682i,0.00053991+0.00055901i,0.00037905+0.00043106i
0.00014946+0.0024018i,0.0010342+0.0018129i,0.0021794+0.00056086i,0.0027112-0.0015444i,0.0014512-0.0022861i,-0.00043567-0.0019447i,-0.00084293-0.0015214i,-2.7999e-05-0.00061089i,0.00076385+0.00035425i,0.0010349+0.00056661i,0.00055156+0.00035494i,0.00022955+0.00025406i,-0.00017186+0.00035746i,-0.00063572+0.00073001i,-4.0711e-05+0.00037761i,0.00032696-0.0005852i,0.00079141-0.00040825i,0.00062663+0.00060977i,-0.00048159+0.00032525i,-0.00030644+5.7676e-05i,0.00064264+0.00016528i,0.0001571-9.9265e-05i,0.00016881-0.00020851i
0.0012285-0.00096271i,0.0023931-0.001442i,0.0042501-0.0023701i,0.0038638-0.0027302i,0.0014285-0.0024372i,0.00029813-0.0019432i,-3.6238e-05-0.0012116i,0.00018154-0.00053695i,0.00019655-0.00050727i,0.00028054-0.00048414i,0.00071678+0.00020048i,0.00071575+0.00042725i,1.4209e-05+0.00050182i,-0.00078694+0.00081441i,-0.00061323+0.00047231i,0.00061119+0.00012713i,0.0010103+8.839e-05i,-3.5939e-05-0.00011565i,-0.00054332+0.00011051i,0.00063258-0.00041996i,0.00087556-0.00089974i,0.00013067-0.00076899i,0.00015569-0.00050922i
0.00083225-0.001131i,0.00074511-0.0012906i,0.0015363-0.0013297i,0.0015379-0.0015451i,-2.8123e-05-0.0010255i,-0.0010603-2.789e-05i,-0.0001581+0.00040779i,0.00022336+0.0011244i,-0.00051782+0.0015193i,-0.00015487+0.0015237i,0.00021801+0.00098593i,-0.00024017-0.00012048i,-4.8324e-06-0.00093166i,0.00060295-0.00076732i,0.00041516-0.00015769i,0.00077739+0.00040348i,0.00065152+0.00083247i,8.4077e-05-4.1432e-05i,-1.6838e-05-0.00046129i,-0.00049191+6.9065e-05i,-0.00074806+0.00030465i,-0.00012212+0.00037869i,0.000105+0.00072126i
0.00029587-0.0018431i,-0.00063885-0.0019344i,-0.00015559-0.0024404i,0.0012107-0.0019422i,0.00055899-0.00032451i,-0.0012371+0.00052199i,-0.0012164+0.00037401i,-0.000386+0.00057246i,0.00018867+0.00085237i,0.00075753+0.0005324i,0.0010222-0.00019018i,0.0017429-0.00017478i,0.0017257-5.955e-05i,0.00049764-0.00029411i,0.0004581-0.00040412i,0.00067297-8.754e-05i,0.00046166+0.00043263i,0.00058334+0.00086005i,0.00023196+0.00022869i,-0.00028513-0.00053757i,-0.00012234-0.00060806i,0.00013372-0.00045306i,-6.6374e-05+3.6485e-05i
0.0032599+0.002397i,0.0031502+0.0006019i,0.0037803-0.00060086i,0.00382-0.0022244i,0.0020948-0.0033848i,-0.00072869-0.0027477i,-0.0015392-0.0012544i,-0.00043256-0.00045161i,0.00011056+0.00018001i,-4.2905e-05+0.00028465i,-0.00059691-0.00060402i,-0.0014467-0.00073108i,-0.0010905-0.0002202i,0.00040428+9.7164e-05i,0.0010959-1.1415e-06i,0.0007159+0.00029414i,3.5475e-05+0.00073472i,-3.9752e-05+8.2398e-05i,0.00049899-0.00094984i,0.00091128-0.001762i,0.00067236-0.00089727i,0.00012885-0.00028142i,-0.00013389-0.00097519i
