-0.0046981-0.00051243i,-0.0026826-0.001643i,-0.0040211-0.0001045i,-0.002913+0.0015706i,-0.00047982+0.002858i,-0.00034208+0.0027875i,-0.00060814+0.0015654i,-0.00015346+0.0012587i,-0.00018265+0.0017437i,0.0004025+0.0016904i,0.0018175+0.0011675i,0.0021638+0.00092902i,0.0009721+0.0011693i,0.00033987+0.00068454i,0.00067907+0.00010839i,0.0010841-0.00013262i,0.0011062-0.00030867i,0.00072805-4.335e-05i,0.00021197-4.5942e-05i,-7.8388e-05-0.00031636i,0.00042084-6.0903e-06i,0.0006376+0.00046564i,0.00068898+0.00012154i
0.00079018-0.0007404i,0.00017087-0.00069973i,1.3732e-05-0.0023467i,-0.00067993-0.0022561i,-0.00061281-0.00026652i,0.00049306+0.00077649i,0.0009016+0.00021716i,0.00015503-0.00023763i,-0.0001042-0.00025838i,0.00036256-0.00020346i,6.061e-05-1.7636e-05i,-0.00081632+8.1562e-05i,-0.00038642+0.00049145i,0.00043312+0.00059438i,0.00052864+0.00059547i,1.8669e-05+0.00055986i,-0.00043175-0.00036756i,-0.00049981-0.00058122i,4.3154e-05-8.7677e-05i,0.00043875+0.0005261i,-7.6377e-05+0.00087551i,-0.00065677+0.00015839i,-0.00043753-0.00025573i
0.0022849+5.8601e-06i,0.0014909-0.00070267i,0.00028055-0.00083297i,-0.00027778-0.00037413i,-0.00029644-0.00050709i,-0.00053107-0.0010875i,0.00015446-0.00089928i,0.0004406-0.00061416i,0.00032439-0.0008173i,0.0004364-0.00097874i,0.0008769-0.0012477i,0.00049041-0.001551i,-0.0003784-0.00047412i,-0.00062497+0.00071451i,-0.00073754+0.00012119i,-0.0011182-0.00084011i,-0.0012148-0.00060133i,-0.00039324-0.00011962i,0.00034996+0.0010385i,-0.00024567+0.001616i,-0.00068318+0.0009964i,-0.00061328+8.4977e-05i,-3.0746e-05-0.00056195i
0.00077592+0.00022202i,-0.00016121+0.0010752i,-0.0017455-0.00028288i,-0.002122-0.00085038i,-0.0026262+7.4011e-05i,-0.0029089+0.00026989i,-0.0018354+0.00037157i,-0.00073639+0.00033219i,-0.00040409-0.00021374i,-4.4058e-05-0.00089569i,0.0003572-0.00049592i,6.1953e-06+0.00019044i,-0.00050338+0.00045576i,-4.3878e-05+0.00055917i,-0.00023233+0.00059132i,-0.00086647+0.00078123i,-0.00039559+0.00082147i,-8.6232e-05+0.00013444i,0.00015681-0.00023623i,-0.00018319+3.8204e-06i,-0.00061259-0.00058988i,2.8253e-06-0.00071456i,-0.00016244-0.00013403i
0.0023536+0.00021386i,0.0022254-0.0011533i,0.002048-0.0032933i,0.00069326-0.003986i,-0.00072483-0.0023005i,-0.00070033-0.00026134i,-0.0001527+0.00050522i,-0.00021874-0.00011234i,-0.00071193-0.00067602i,-0.00060506-0.00054584i,-0.0006023-0.00016773i,-0.00050161-0.00030298i,-0.0004286-0.00036142i,-0.00095831-0.00039373i,-0.00060036-0.00088111i,0.00035503-0.0010661i,0.0003081-0.00075497i,-5.9256e-05+2.2037e-06i,0.00024403+0.00086254i,0.0003243+0.0010945i,-0.00040208+0.00029522i,-0.00079428+9.1244e-05i,-0.00058162-0.00026544i
0.0029969+0.0024176i,0.0033775+0.0026561i,0.0031987+1.3129e-05i,0.0010162-0.0019109i,-0.0004222-0.0022725i,-0.00051561-0.0022489i,-5.4318e-05-0.0016811i,0.00050313-0.0011391i,0.00098952-0.00027309i,0.00063395-0.00024224i,0.0005563-0.00035588i,0.0011563+0.00027692i,0.00085665+0.00088408i,-0.00020127+0.00073725i,-0.00019674-2.8448e-05i,6.6034e-05-0.00056393i,-0.00071198-0.00052858i,-0.00094875-0.00025666i,-0.00039209+0.00045408i,-0.00050415+0.00066559i,-0.00059701-0.0001992i,-0.00026253-0.00066085i,-0.0002579-0.00018403i
-0.00041818-0.00076164i,-0.0017084-0.00091864i,-0.003235-0.001864i,-0.0033336-0.0015888i,-0.0017999-0.00068678i,-1.2778e-05-5.3345e-05i,0.00068746+8.212e-05i,-0.00010958-0.00061445i,-0.00020676-0.00083438i,-0.00035854-0.00069752i,-0.0006187-0.0011291i,-0.00048572-0.00060071i,9.0932e-05+4.5525e-05i,0.00012545-0.0001786i,0.00058765-0.00017063i,0.0012659-0.00012181i,0.00093807-0.00040766i,0.00098747-0.00022865i,0.0010645-0.00051703i,8.8673e-05-0.0010668i,-0.00078992-0.0010227i,-0.00069571-0.00046683i,-4.895e-05+5.8581e-05i
0.0022339-0.00068457i,0.0020825-0.0015771i,0.0032116-0.0025808i,0.0010835-0.0026696i,-0.0013374-0.0020122i,-0.0016045-0.0016079i,-0.00064061-0.0015784i,1.3695e-05-0.001449i,0.00020061-0.0013869i,-5.6894e-05-0.0009346i,-0.00080794-0.00090987i,-0.00083136-0.0010729i,-0.0010488-0.0004432i,-0.00088014+0.00035525i,-7.1977e-06+0.00070375i,-0.00015477+0.00024451i,-0.00031817-0.00061753i,-0.00016182-0.0006123i,-0.00017761-0.00072351i,-0.00042289-0.00051079i,-4.2322e-05+0.00013199i,0.0001881+0.00058207i,-0.00019081+0.00048369i
0.011056+0.0052787i,0.0093667+0.0044929i,0.011434-0.00021159i,0.007387-0.0062651i,0.00046967-0.0078432i,-0.0029621-0.0042445i,-0.0010884-0.00012896i,0.0010984-9.4265e-05i,0.0017607-0.0013422i,0.0010662-0.0033308i,-0.0011019-0.0044392i,-0.0026016-0.003092i,-0.002749-0.0013017i,-0.001816-0.00083646i,-0.0010371-0.0016971i,-0.00054931-0.0016391i,-0.00018549-0.00033148i,0.00041146+0.00046434i,-0.00028384+0.00020011i,-0.0010243+0.00022106i,-0.0014415+0.00075006i,-0.0018306+0.00034728i,-0.0015445+5.4492e-05i
-0.01216-0.0054107i,-0.010599-0.0045244i,-0.011573+0.00053732i,-0.0074506+0.005999i,-0.00047419+0.0078949i,0.0045528+0.0037146i,0.0028892-0.0011459i,-0.00081996-0.0015678i,-0.0021924+0.00012252i,-0.001471+0.0028712i,0.00078893+0.0035882i,0.0035677+0.001777i,0.0035708+0.00088054i,0.0022478+0.0007826i,0.0017466+0.0011857i,0.0014867+0.001444i,0.00087638+0.00023077i,0.00095278-0.00032287i,0.0017099-0.00021203i,0.0014328+0.00034991i,0.00056598+0.00092724i,0.00058248+0.00068037i,0.0017064+0.00053667i
-0.0017546+0.00037987i,-0.002295+0.0012271i,-0.0023362+0.0029919i,-0.001523+0.003283i,-0.00036601+0.0021784i,0.00047654+0.00080312i,-0.0001783-0.00057995i,-0.00069648-0.00039803i,-0.00039201+0.00029388i,0.00021355+0.0011217i,0.0010112+0.0017662i,0.00081889+0.0013222i,-0.00017626+0.00048887i,-0.00022697-6.0019e-05i,0.0010057+0.00029744i,0.0013029+0.00065011i,0.00010809-0.00013592i,-0.00059843-0.00019755i,-0.00061271-3.0531e-06i,-0.0001468-0.00045095i,0.00040565-0.00040924i,0.00029749+0.00022132i,0.0005975+0.00033637i
-0.0026476-0.002023i,-0.002578-0.00043396i,-0.0023895+0.0020071i,-0.001422+0.0029183i,-0.00061309+0.0025213i,0.00027832+0.0018802i,0.00056637+0.00093741i,0.00036017+0.00012175i,0.00033548-0.00066298i,0.00014633-0.00068104i,0.00018473-0.00031869i,-0.00016158+0.00022398i,-0.00052178+0.00022363i,-0.00063497+0.00027624i,-0.00044096+0.00070827i,0.00032263+0.00083008i,0.0011312+0.00067213i,0.00071995+0.00069686i,-3.4912e-05+0.00097423i,-1.3555e-05+0.00083436i,-0.00047935-0.00011881i,-0.00028261-0.00054009i,0.00051799+0.00015601i
6.6425e-05-0.0017991i,0.0002959-0.0022045i,-0.00052617-0.0023784i,-0.0015787-0.00088779i,-0.0016177+0.0010804i,-0.00018671+0.00096033i,0.0001401-8.5882e-05i,-0.00024653+5.0519e-05i,-0.00033167+0.00081905i,-0.00019918+0.0010264i,2.6995e-05+0.0011056i,0.00012137+0.0016731i,-0.00015668+0.0013668i,0.00035267+0.0010847i,0.00063618+0.0015084i,-0.00016187+0.0013557i,-0.00039352+0.0005937i,-0.00012338-0.00013499i,0.00054274-0.00044193i,0.00064002-0.00038529i,-6.7357e-05-2.8008e-05i,-0.00060359-0.00035995i,-0.0010494-0.00047775i
-0.0037837-0.0023344i,-0.0041144-0.0013325i,-0.003973+0.00075179i,-0.0026643+0.00080024i,-0.00027786+0.0001455i,0.00092878+0.00022585i,0.00083336+3.839e-05i,0.00056963-0.00043947i,0.0003281-0.00051989i,-0.00023982+0.00032918i,-0.00063196+0.0012462i,-0.0006363+0.0012156i,-0.0005466-0.00013405i,-0.00040265-0.00078213i,-0.000284+0.00012854i,-0.0001041+0.00091303i,-0.00062464+0.00074623i,-0.00078249-1.1531e-05i,-0.0004521-0.00013376i,0.00086522+0.00040815i,0.0012955+0.0007669i,0.0003869-3.0982e-05i,0.00037263-0.0012316i
2.7118e-05+0.0012862i,0.0025174+0.0007995i,0.0033343+0.0011869i,0.0020484+0.00016641i,0.00077856-0.00099598i,0.00037265-0.0013848i,0.00027235-0.0012097i,-0.00017739-0.00057013i,1.3452e-05-9.602e-05i,0.00059705+0.00071785i,0.00049073+0.00073844i,0.00027503-0.00010838i,-3.7321e-05-0.00097355i,0.0002196-0.000863i,0.00016682-0.00043997i,9.364e-05+9.8049e-05i,0.00086127+0.00050591i,0.00098596+0.00031689i,0.00018934+8.6437e-05i,-0.00044437-3.9374e-05i,-0.00026089+4.7808e-05i,-0.0003265-0.000496i,-0.00052471-0.00087487i
-0.0021823-0.00032104i,-0.0024454-0.0011766i,-0.0029437-0.0013115i,-0.0029351-0.00032637i,-0.0020096+0.0011464i,-0.0003533+0.0011318i,0.00057115-0.00013348i,0.0004317+0.00025982i,-0.00033226+0.0012589i,-0.0008353+0.0016033i,-0.00034908+0.0015671i,0.00070713+0.00071891i,0.0012456+0.00023437i,0.000605+0.0002199i,-6.6836e-05+0.00054159i,-0.00021904+0.00075729i,-0.00037378+0.00028679i,0.00039542-0.00057152i,0.0011269-0.0009024i,0.0005937-0.00035621i,0.0001985+0.00058341i,-0.00019004+0.00017508i,-0.00071236-0.00069799i
-0.0026485-0.0014496i,-0.0027181-0.00093848i,-0.0033973-0.00040306i,-0.0032298+0.0010747i,-0.0015642+0.0024634i,0.00042951+0.0021867i,0.0010782+0.0011319i,0.0010958-0.00011131i,0.00035573-0.0009545i,9.9888e-06-0.00046139i,0.00073249+0.00095032i,0.0011061+0.0017607i,0.00085924+0.00078929i,0.00091141-9.1343e-05i,0.00025597+4.3524e-05i,-0.00015243+0.00057422i,0.00021762+0.00092204i,0.00027571+0.00059464i,0.00049271+0.00029375i,0.00077451+0.00024044i,0.00031512-0.00024697i,0.00029874-4.1625e-05i,0.00052331+0.00045181i
-0.00036998+0.0019634i,0.0010503+0.0019787i,0.0023608+0.0011579i,0.0022553+0.00019181i,0.00085959+0.0003267i,0.0003458+0.00036167i,0.00053073-0.00096658i,-0.00011238-0.0013265i,-0.00056506-0.00011195i,0.00016026+0.00050113i,0.00043401-8.7538e-05i,0.00028186-0.00047419i,-0.00024378-0.00028792i,-0.00049832-0.00057492i,-0.00063339-0.00079361i,-0.0004507+5.818e-05i,3.0368e-05+0.00056287i,-1.5758e-05+0.00039455i,-0.00054062+0.00040475i,-7.568e-05+0.00046238i,0.00062873-9.3123e-05i,0.0004166+5.9469e-05i,-0.00036712+0.0010072i
-0.002807-0.00053818i,-0.0025231-0.00090633i,-0.0027605+0.00057988i,-0.0016503+0.0019526i,0.00023341+0.0014193i,0.0010899+5.6123e-05i,0.00089837-0.0010968i,0.00082819-0.0012517i,0.00031267-0.00016484i,-0.00014212+0.00077268i,0.00041161+0.00094636i,0.00085232+0.00028471i,0.00012998-0.00011481i,-6.2784e-05+0.00040476i,-0.00011777+0.0012658i,-0.00069666+0.00098834i,-0.00083733-0.00043288i,-0.00050036-0.00051498i,0.00050625+5.353e-05i,0.00055593+0.00067062i,-1.3821e-05+0.00072371i,-0.00015337-0.00016492i,-0.00044076-0.00047144i
-0.00045182-0.00093612i,-0.00016243-0.00064271i,-0.0011507-2.8337e-05i,-0.0018163+0.00041452i,-0.0019364+0.00059204i,-0.0011834+0.00048824i,-1.9422e-05+7.201e-05i,0.00065021-0.00023979i,0.00045537-0.00067712i,0.00046662+0.00027845i,0.00078114+0.0010276i,0.00037535+0.00025436i,-0.00039114+0.00037338i,-0.00035053+0.0005468i,-0.00012951+0.00043622i,0.00011099+0.00031238i,-0.00011233-0.00028885i,-0.00036511-0.00041236i,-0.00017105+2.7604e-05i,0.00029183-0.00013927i,0.001005-0.00032478i,0.0013808-0.00044559i,0.0010373+0.00011473i
0.00013502-0.00096061i,0.00072025-0.0012498i,0.00088499-0.0014915i,-0.00039066-0.00073424i,-0.00074039+0.00021655i,0.0011187-1.4044e-05i,0.0018022-0.001672i,0.00094714-0.0023855i,0.00021548-0.0011783i,-0.00018692-0.00040016i,1.2037e-05+0.00037079i,-5.6079e-05+0.00099409i,0.00025528+0.0010428i,0.00073068+0.0004162i,0.00050679-0.00045769i,-0.00026935-0.00070628i,-0.00042479-0.00103i,-8.6741e-05-5.3447e-05i,0.00022231+0.00090462i,0.00021555+0.00097455i,7.4848e-05+0.00037512i,-0.00011713+4.1197e-05i,-0.00038031+0.0004487i
-0.00032992-0.00017537i,-0.00050945-0.00046275i,-0.0017664-0.0010395i,-0.0018979-0.0011688i,-0.0012368-0.0012351i,-0.0007102-0.00066187i,-0.00137-6.7484e-06i,-0.001274-0.00014442i,0.00028932-0.00017949i,0.00049163-0.00010896i,0.00048186-2.0553e-05i,0.0011149+0.00046323i,-2.3564e-05+0.00040159i,-0.0011051-0.00010451i,-0.00058279+0.00016645i,0.00015066+2.6866e-05i,0.00021798-0.00022365i,-6.2254e-05+0.00042208i,0.00010135+0.00050598i,-0.00022344-0.00023654i,-0.0001759-0.00050187i,-0.00015572+9.7597e-05i,-0.00032044+0.00055486i
-0.0014038-0.0020174i,-0.0016032-0.0015255i,-0.0011034-0.00078934i,-0.00048288-8.0396e-05i,-7.7186e-05+0.00057092i,0.00036218+0.0011948i,0.00059554+0.00028193i,0.00014305-0.00079822i,-0.00023483-0.00053564i,0.00019989+0.00050665i,0.00086928+0.00083192i,0.00011733+0.00056928i,-0.0010484+1.1061e-05i,-0.00044223-0.00063175i,0.00029213-0.00034718i,-2.9721e-05+0.00016302i,0.00028223+0.00042503i,0.00034788+0.00050706i,0.00010468-7.9815e-06i,0.00015275+7.7629e-06i,0.00025739+0.00032913i,-6.4859e-05+0.00042429i,-0.00051074+0.00069123i
0.00016341+0.001931i,-0.00026206+0.002329i,-0.0010488+0.0014833i,-0.0010536-9.563e-05i,0.00011901+0.00049606i,0.0004464+0.00062062i,0.00020847+0.00036956i,-0.00020633+0.00064126i,-7.8327e-05+0.0010756i,0.00067693+0.00078443i,0.00058974-5.946e-05i,0.00038746-0.00031506i,0.0001881+9.813e-05i,-0.00044904+0.00020676i,-0.00054504+0.00044012i,-0.00052895-3.8561e-05i,-0.00036426-0.00048959i,0.0002568-7.0962e-05i,0.00088156-0.00057209i,0.0010592-0.00014698i,0.00082367+0.00048711i,8.0563e-05+9.7469e-07i,-1.3143e-05-7.0681e-05i
-0.0018461-0.0017176i,-0.00095508-0.0012346i,-0.0005791-0.00026253i,-0.00074739+0.00021563i,-0.0011419+0.00053828i,-0.00046536+0.0004067i,0.0001539-6.3414e-05i,-0.00052445-0.0009694i,0.00011279-0.00063454i,0.00046502+0.00052616i,-0.00020331+0.00076213i,0.00012257+0.00061522i,0.00056134-0.00052677i,0.00031105-0.00050779i,-7.4665e-05-0.00011923i,0.00013214-0.00066517i,7.6039e-05-0.00046722i,-8.257e-05+0.00079887i,-1.8924e-05+0.0011654i,-0.00048376+0.00085673i,-7.5546e-05+0.00031345i,0.00067541-0.00050545i,0.00056087-0.00035369i
0.00092994-0.0019742i,0.00040424-0.0023935i,-0.0011984-0.0034081i,-0.0019582-0.0018082i,-0.0019255-0.00017491i,-0.00042914-0.00065538i,0.0014476-0.0010105i,0.0012717-0.00066901i,0.00035658-2.493e-05i,-0.00029869+0.00057502i,-0.00070611+0.00063994i,-0.00058286+0.00029475i,3.2202e-05+3.7237e-05i,0.00022153-8.6829e-05i,-0.00010238-0.00065951i,-0.00074627-0.00034608i,-0.00070986+0.00043299i,-3.6237e-05-3.8759e-05i,0.00058036-0.00078698i,0.00058134-0.00074161i,0.00047698-0.00030866i,0.0006713+5.1038e-06i,0.00070423+0.00021766i
-2.2548e-05+0.00021557i,2.1428e-05+0.00043024i,0.0010563+0.00033674i,0.00087229-0.0011245i,0.00029626-0.001965i,0.00055307-0.0013003i,0.00048843-0.00077376i,0.00031148-0.00024429i,0.00026616+8.813e-05i,5.1904e-05-0.00045679i,1.0565e-05-0.00047851i,5.6134e-06+0.000206i,-0.00010612+9.4843e-05i,-0.00043469-4.5912e-05i,-0.00015351-0.00058766i,0.00036387-0.00094111i,0.00011712-8.7713e-05i,-0.0001687-0.00031855i,-0.000105-0.00058001i,5.3646e-05-0.0003523i,0.00040603-0.00056719i,0.00026058-0.00033433i,0.000657+7.127e-05i
0.0017113+0.0020158i,0.0020874-0.00014577i,0.0013023+0.00033673i,0.0014462+0.00040401i,0.0016691-3.3973e-05i,0.00088596+0.00015475i,0.00011331-0.00023663i,0.00026389-0.0008746i,0.00042442-0.00066219i,-0.00016358-0.00048708i,-0.000195-0.00051263i,-0.00062526-6.7779e-05i,-0.00061979+0.00011543i,-1.6307e-05-0.00018149i,-8.0237e-05-0.00058395i,-0.00018137-0.00057433i,-0.0002275+0.00011461i,-0.00021424+0.0005658i,0.00025634+0.00087916i,6.9286e-05+0.00023811i,-6.1846e-06-0.00077414i,0.00068589-0.0013607i,0.00091017-0.00092871i
-0.0013004+0.0011213i,-0.0011034+0.00037363i,-0.00091139-0.00047449i,-0.00047559-0.00086734i,-0.00036095-0.00098153i,-0.0003747-0.00099952i,-8.794e-05-0.0011558i,-0.0001736-0.00050067i,-0.00029485-0.00048349i,0.00070296-0.00053938i,0.0012726-0.00050863i,0.00055175-0.00033448i,-0.00018213-0.00022897i,-3.9235e-05-0.00031944i,0.00010161+5.5831e-06i,0.00020152+0.00030371i,-0.0001535+0.00048472i,-0.00074928+0.00070949i,-0.00094465-0.00032282i,-0.00037487-0.00075162i,0.00018549-0.00029482i,0.00029484-9.4076e-05i,0.00028057-0.00038142i
0.0025506+0.0007706i,0.0031684-0.001345i,0.0024477-0.0025398i,0.00082267-0.0016088i,-0.00070941-0.00026088i,-0.00015032+8.1894e-06i,0.00062569+0.00044149i,0.00097314+0.00099908i,0.0010552+0.0012558i,0.00028749+0.00068512i,-0.00075418+3.102e-05i,-0.0013353-0.00046202i,-0.0014018-0.0004547i,-0.0013974-0.00025621i,-0.0006672-0.00062498i,3.6489e-05-0.00085572i,1.4013e-05-0.00079709i,-0.00048101-0.00063129i,-0.00052088-0.00026164i,2.7822e-05+0.00040843i,-0.00054142+0.00050888i,-0.00071556-6.1013e-05i,0.00030888+1.0136e-05i
-0.00015032+0.00068774i,-0.0020212+0.0010765i,-0.0027026+0.00080632i,-0.0024505+0.00045103i,-0.0012054-0.00022441i,0.00016014-0.0011959i,0.00036409-0.0013406i,-0.00036027-0.00037033i,-0.00087524+0.00040028i,-0.0016862-0.00015055i,-0.0012575-0.00080222i,0.00046895-9.5818e-05i,0.00089646+0.00094772i,0.00031981+0.00085807i,0.0005675+0.0004959i,0.00028539+0.0010022i,-0.00022095+0.00044958i,0.0003041-0.00058328i,0.00077472-0.00062426i,0.00078232-0.00056741i,0.00055723-0.00022032i,4.6219e-05+0.00017584i,-0.00047253+0.00061833i
-0.0031333-0.0012665i,-0.0016821-0.0019856i,-0.001273-0.0012597i,-0.00087029+0.00031475i,-0.00052668+0.0011022i,0.00058246+0.00049222i,0.00099616-0.00015863i,9.6255e-05-9.5053e-05i,-0.00042763+0.00018686i,-2.1394e-05+0.00085048i,0.00075078+0.00093767i,0.00099979+0.0010587i,0.00045256+0.00093499i,-0.00017178+0.00081551i,-0.00057447+0.00075154i,-0.00049217+0.00015914i,0.00023691-0.00014426i,0.00039688+0.00027136i,0.00031189+0.0008782i,-0.00032339+0.00049587i,-0.00031193-6.2825e-05i,0.00023637+0.00036738i,0.00049161+4.7286e-05i
-0.0010885-0.0012422i,-0.0025467-0.00089192i,-0.0033584-0.0012303i,-0.0025406-0.0006885i,-0.0020559+0.00072042i,-0.0021035+0.0013247i,-0.0020351-0.00010698i,-0.0017323-0.0011584i,-0.0010994-0.00048844i,-0.00031224-0.00012489i,-0.00016424+0.00040535i,-0.00044201+0.00072146i,0.00034505-0.00026174i,0.00030431-0.00054533i,-0.00011423+0.00046302i,0.00026153+0.0008661i,-0.00017326+0.00036028i,-0.00010314-0.00039803i,0.00066121-0.0008451i,0.00054043-0.000797i,1.8528e-05-4.3614e-05i,-0.00012859+0.0005563i,0.00025756+0.00093254i
0.0016057+0.0011168i,0.00099747+0.0010627i,0.00095153+0.0013944i,0.0013497+0.00060143i,0.001183-0.00027281i,0.0015154-0.00012164i,0.0012285+2.4243e-05i,0.00022315-5.0148e-05i,-0.00077899+0.00018593i,-0.00084274-3.7138e-05i,2.4667e-05+2.2523e-05i,-0.00039441+0.00024322i,-0.00051387-4.7002e-05i,-1.1003e-07-0.00019999i,-0.00031513-0.00064699i,-0.0007093-0.00084026i,-0.00077195-0.00012088i,-0.00065854+0.00041211i,-0.00036329+0.00052315i,-0.00054425+0.00011944i,-0.00051495-0.00034819i,-7.7999e-05-0.00070215i,0.00034906-0.00054886i
-0.0012689-0.00093762i,-0.0020351-0.000775i,-0.0029332-0.00087811i,-0.0024895-0.00091222i,-0.0014995+0.00028311i,2.1696e-05+0.00063011i,0.00053212-0.00027935i,-0.00032438-0.0010443i,-0.0006474-0.001403i,-0.00033354-0.00067359i,-2.7667e-05+0.00017736i,0.00044807+0.00072388i,-2.2564e-05+0.00091734i,-0.00070531+0.0006075i,-0.00059998+0.00036553i,-0.00025039+2.0106e-05i,-4.9321e-05-0.00057346i,8.2833e-05-0.00089923i,0.00050566-0.00051547i,0.00064223-0.00043559i,-1.2787e-05-0.00017965i,-0.00035013+0.00042807i,-5.8042e-05+0.00036676i
-0.00078787+0.00094772i,0.0004187+0.0010458i,0.00026786+0.0013316i,-0.00010951+0.0011875i,-0.00026503+0.00075667i,0.00056073+0.00050127i,0.0011265-3.7808e-05i,0.00093221-0.00035351i,0.00089373-0.00010443i,0.0011337+0.00017008i,0.00055317+6.8681e-05i,0.0010449-0.00044659i,0.0013029-0.00072129i,0.00051712-0.0002828i,0.0003841-9.4581e-05i,0.00010611-0.00047251i,3.7e-05-3.6075e-05i,-0.00033104+0.00027899i,-0.00070723-0.00034183i,-0.00040283-0.00061458i,-0.00023693-0.00016516i,-0.00015776-1.0448e-05i,0.00036342-0.00031331i
-0.0016465+0.00092903i,-0.001661+0.00083905i,-0.0017138+0.00052558i,-0.00083616+0.00052295i,-1.9121e-05-0.00016939i,0.00024343-0.00077726i,0.00022116-0.00017597i,0.00026929+0.00020154i,0.00015774-4.0424e-05i,-0.00051689-0.00027761i,0.00018432-0.00077565i,0.0011927-0.0013457i,0.00048987-0.00058101i,-0.00051831-0.0004424i,-0.00028748-0.00085123i,0.00043632-0.00055741i,0.00063441-0.00025158i,0.00037734-0.00021739i,8.2714e-05+0.00019536i,-8.0303e-05+0.00077662i,0.00053962-6.6173e-05i,0.00062201-0.00036729i,0.0016148-0.00027546i
-0.00088258+3.6461e-06i,-0.001217-0.0002369i,-0.0012057-0.00037331i,-0.001104-0.00033377i,-0.0010045-0.00060759i,-0.00023823-0.00027105i,0.00092072-0.00060391i,0.00068844-0.0013884i,-0.00020494-0.0003472i,-0.00064148-3.7483e-05i,-0.00052431-0.00037739i,-0.00073753-0.00070624i,-0.00020913-0.00089601i,0.00068568+0.00016712i,0.0010281+0.00095033i,0.0009688+0.00058039i,0.00056429+0.00011554i,0.00012616-5.1546e-05i,0.00039083+0.00040877i,0.00058217+0.00038173i,0.00024148-0.00021779i,0.0001087-0.00028151i,0.00046082-0.00026404i
1.8677e-05-0.0016146i,-0.00051548-0.0010311i,-0.0018122-0.0017015i,-0.0022957-0.0011754i,-0.0016555-0.0003317i,-0.00057655-0.0003799i,0.00040844-0.0011115i,0.00025317-0.0010355i,0.00020521-0.00041254i,0.00072166-0.00024393i,0.00093482-0.0002323i,0.00051034-0.00022419i,-0.00026079+0.00031902i,-0.00030572+0.00098081i,-0.00036804+0.00046064i,-0.00028379-3.3883e-05i,0.000378-0.00041615i,0.00052011-0.00041195i,-4.1709e-05-4.4073e-05i,-0.00054396-0.00016061i,-0.00096298+0.00021843i,-0.000747+0.00022385i,-0.00061769+0.00016965i
-5.4699e-05+0.0019089i,0.00051046+0.00020014i,0.00098687-0.00073796i,0.00096793-0.0011997i,0.0003475-0.0014281i,-0.00067425-0.0016889i,-0.00036885-0.0015433i,0.00034019-0.0007931i,-0.00028099-0.00051726i,-0.00021393+0.0001846i,0.00032444+0.0010081i,0.00079974+0.00067353i,0.00079287-0.00031949i,0.00051737-0.0013572i,0.00069732-0.0010215i,0.00071056+0.00033645i,-9.5679e-05+0.00086017i,-0.00055413-0.00013958i,0.00012262-0.0003328i,0.00041817+0.001195i,3.4883e-05+0.0011633i,-5.0553e-05+2.0216e-05i,-0.00025845-0.00048986i
-0.0011415-0.0008195i,-0.0010713-0.00036549i,-0.00065847+0.00096834i,-0.0010312+0.0016583i,-0.00065087+0.00094529i,-0.00041335+0.00041508i,-2.7537e-05+0.00020543i,0.00040592-0.00015986i,-2.1852e-05-4.7707e-05i,-0.00010564-0.00018099i,1.8334e-05-0.00061462i,0.00038108-0.00080483i,0.00094508-0.00051617i,0.00028222-0.00051216i,-0.00080338-0.0010856i,-0.00058464-0.0012882i,-0.00013337-0.00035051i,-0.00018438+9.9731e-05i,8.5403e-05+0.00012844i,0.00080761+0.00036696i,0.00078602-0.00019833i,0.00022144-0.00020002i,-0.00025643+0.00015663i
0.00194+0.00018811i,0.0016403-0.0006076i,0.00072361-0.0013547i,-0.0016989-0.0017413i,-0.0026018-0.0015299i,-0.0014208-0.00076027i,-0.00069583-0.000574i,-0.00031206-0.00070399i,0.00036753-0.00037734i,0.00056231-0.00036117i,-2.8773e-05-0.00034859i,-0.0006558+1.6679e-06i,-0.0006497+0.00047369i,-0.00015895+0.00042996i,-1.2073e-05-0.00033309i,-0.00014263-0.00044196i,1.6526e-05-0.00020549i,-0.00029911+0.00014604i,-0.0006977+0.00023397i,-0.00046349+0.00036797i,-0.00015724+2.9201e-05i,0.00010542-0.00049758i,-0.00018538-0.00042812i
-0.0010564+0.00029915i,-0.00061537-0.00043667i,-0.00024953-0.00067325i,-0.00014465-0.00022367i,0.00018969+0.0006569i,0.00077694+0.00094091i,0.0010592-5.6737e-05i,0.0010821-0.0012758i,0.0012123-0.00115i,0.00061464-0.00066277i,-0.00051805-0.00021915i,-0.001159+0.00044534i,-0.00097145+0.0006588i,-8.3845e-05+0.00084544i,-9.7121e-05+0.00051389i,-0.00059663-0.00037268i,-0.00057068-0.00050749i,-0.00053347-0.00031683i,-0.00067104-0.00030451i,-0.00020233+0.00021149i,0.00051417+0.00019585i,0.00023936-0.00017934i,0.00025692-0.00013019i
