-9.6691e-05-0.0004308i,0.0010113+0.00033448i,0.001556+0.00078794i,0.00078701+0.00034058i,-0.00027784-0.00012268i,-0.00037002-0.00032129i,0.00028508-0.00048896i,0.00053138-0.00034651i,-0.00017095-0.00030302i,5.9523e-05+0.0001937i,0.00059852+0.00038809i,0.00036918-0.00011304i,0.00042789-0.00058123i,0.00020149-0.00081479i,-0.00068447-0.0011021i,-0.00079349-0.00063667i,-0.00056022+0.00030588i,-0.00023237+0.00066277i,0.00024433+6.7571e-05i,0.00016753-0.00049593i,0.00058897-0.00062529i,0.001217-0.00016108i,0.00089985+0.0003751i
-0.00083538-0.0012436i,-0.00039179-6.0656e-05i,-0.00070481+0.00096955i,-0.00088377+0.0013384i,-0.00070099+0.00091953i,-0.00052866-0.0003002i,3.0747e-05-0.00070329i,0.00065939-0.00029023i,-0.00013266+3.5744e-06i,-0.00022391-0.00029579i,0.00042958-0.00053018i,0.00043187-0.00072424i,0.00020694-0.00045652i,0.0003514+7.0075e-05i,0.00025893+5.1243e-05i,0.00013289-8.6222e-05i,-0.00063567-0.00018993i,-0.00077155-0.0002526i,-0.00010292-0.00087927i,-0.00027533-0.0008109i,0.00020572-0.00035672i,0.00087884-0.00012624i,0.00040057+0.000497i
-0.0018053+0.0020213i,-0.00041907+0.00080397i,0.0010591-9.0479e-05i,0.00074476-0.00029639i,-1.6123e-05-0.0003204i,0.00029123-0.00032694i,0.0010759-0.0003314i,0.0009377-0.0008963i,-0.00020904-0.00093875i,-0.00081266-0.00040682i,-0.00097759-0.00026816i,-0.0010076-1.1521e-05i,-0.00067955+0.00030222i,-0.00064723+0.00017459i,-0.00069885-0.00032728i,-0.00020571-0.00015949i,0.00024934+0.00056444i,0.00048688+0.00036188i,0.00026818+0.00016053i,0.00023937-0.00014367i,2.2528e-05+1.1954e-05i,-0.00020446+9.8804e-05i,9.8404e-05-0.00023035i
0.00084613-0.0012042i,5.3689e-05+0.00037211i,0.00019184+0.0014886i,0.00040331+0.0015292i,0.00051792+0.0008856i,0.00073537+0.00072139i,0.0009257+0.00079943i,0.00073859+2.8772e-05i,-6.5182e-05-0.00014822i,-0.00058478-0.00058093i,-0.00032892-0.00070628i,-0.00031802-0.00028626i,-0.00052358-0.00067097i,5.9796e-05-0.00077795i,-0.00024587-0.00066711i,-0.00053264-0.00012699i,9.3614e-05-0.00027934i,0.00016286-0.00067725i,-0.00021967-0.00082458i,5.084e-05-0.00085864i,0.00066772-0.00020963i,0.00022099+0.00063682i,-0.00070691+8.2625e-05i
0.00053235-0.00025805i,0.0011076-0.00084019i,0.0015071-0.0016109i,0.00098227-0.0013341i,-4.7599e-05-0.00071077i,0.00057684-0.00039216i,0.0012573-0.00040338i,0.0014579-0.00011804i,0.00096992-8.0004e-05i,3.7978e-05-0.00025726i,2.8338e-05+0.00022607i,0.00025037+0.00065145i,-6.7063e-05-0.0002556i,0.00023345-0.00013414i,0.00030969+0.00063241i,4.4023e-05+0.0004624i,-0.00011254+8.1417e-05i,-0.00031251+0.00039313i,-7.2771e-05+0.00083273i,0.0010962+0.00045768i,0.0016557+0.00063907i,0.00091525+0.000835i,7.0094e-05+1.4311e-06i
0.0016303+0.0011907i,0.0017216+0.00085327i,0.0025065+0.00041877i,0.00098866-0.00061019i,-0.00086392-0.0022695i,-0.00051203-0.0020653i,0.00040474-0.0010499i,0.00040756-0.00081154i,0.00023447-0.00073872i,0.00019055-0.00093418i,-0.00019374-0.00042627i,-0.00046062+0.00052469i,-0.00080323+0.00095322i,-0.0015388+0.0008082i,-0.0013706-0.00051705i,-0.00037646-0.0012365i,0.00020779-3.6573e-05i,-8.5432e-05+0.0005119i,-8.0865e-06-0.00010618i,0.0004369-9.3119e-05i,0.0010189+0.00036384i,0.00083613+0.00058329i,0.00039441+0.00021641i
0.0005169+0.00019521i,0.00045425+0.00071111i,0.00081257+0.00064044i,0.001033-0.00014965i,0.00098829-0.00070139i,0.00055182-0.00058086i,0.0003448-0.00019646i,0.00057012-0.0002813i,0.00035431-0.00061785i,0.00011114-0.00037065i,0.00039901+0.00010907i,0.00070653+0.00035281i,0.00012215+0.00062675i,5.992e-05+0.00061356i,0.00078356+0.00036562i,0.00075138+0.00013425i,9.7467e-05+5.3468e-05i,-0.00036921+6.025e-05i,-0.00056262+0.00052928i,-0.00042786+0.0004868i,4.8965e-05-1.4665e-05i,0.00038867+0.00033428i,0.00021548+0.00081285i
0.00098462+0.0038378i,0.00054583+0.0020547i,0.0010264+0.00081773i,0.0011214+0.0010563i,0.0010425+0.00082713i,0.00047488+2.9356e-06i,-0.0001594-4.4018e-05i,0.000199+0.00015754i,0.0011223-0.00028028i,0.00097156-0.00077574i,-2.6217e-05-0.00079689i,0.00017474-0.00044082i,0.00067175+0.0002784i,0.0003279+0.00047583i,-0.00041667-0.00035749i,-0.00093585-0.0004972i,-0.00073853-0.00041396i,-0.00023995-0.00039465i,-0.00019675-0.00023387i,-1.5522e-05-0.0006121i,0.00046161-0.00049247i,0.0001654-0.00044904i,0.00012464-4.0865e-05i
0.0017314+0.00098955i,0.002209+0.00095084i,0.0028622-2.0112e-05i,0.002412-0.00096873i,0.0011236-0.001697i,0.00051593-0.0017321i,-0.0001813-0.0011611i,-0.00042082-0.00080614i,0.00080135-0.00027355i,0.0014106-0.00020407i,0.00061386-0.0005437i,2.0611e-05-0.00032516i,-4.8797e-05-0.00022274i,0.00034545+0.00020176i,-5.8287e-05+0.0005223i,-0.00036331+0.00074503i,-0.00022631+0.00049862i,0.00013247+0.00024515i,1.0415e-05+0.0012866i,-0.00040033+0.0010097i,-4.3851e-05+3.8387e-05i,0.00034534-0.00018424i,0.0004122-0.00052002i
0.0018425+0.00068922i,0.0012539+0.00083955i,0.00066049+0.00037997i,0.00042004-0.00036336i,-0.0005604-0.00096634i,-0.00072833-0.00075636i,0.00051936-0.00065127i,0.00095588-0.0012269i,0.0005349-0.0008951i,-0.00014897-0.00038696i,-4.678e-06-0.00065243i,0.00012235-0.00029295i,2.3486e-05-0.00013924i,0.00044163-0.00015316i,0.00064023-9.4045e-05i,0.00057036-0.00015678i,0.00027392-0.00031738i,-0.000316-0.00061625i,-0.00019403-0.00035979i,0.00053955-0.00026064i,0.00082142-0.00030256i,0.00015828-0.00016931i,-0.00060759-0.00039003i
