-0.002911+0.0011058i,-0.0025107+0.0015908i,-0.0021606+0.0035555i,-0.00072025+0.0030476i,0.00065339+0.0026496i,0.0012135+0.0030626i,0.00084157+0.0026201i,0.0013364+0.00083526i,0.0017971-0.000163i,0.00099592-0.00061007i,0.00068728-0.0010413i,0.00059094-0.0012322i,-0.0003695-0.00054509i,-0.00080134-0.00037264i,0.00082082-0.0011224i,0.00096199-0.0009553i,-0.000381-0.0003723i,-0.00034185-0.00019007i,0.00026108-0.00046235i,0.00061395-0.00041999i,0.0009398-0.00039158i,0.00068757-0.0007784i,0.00012702-0.00088661i
-0.00010753-0.00038175i,-0.00015938+0.0012705i,5.5966e-05+0.0029847i,0.00079084+0.0031872i,0.0016307+0.002377i,0.00098308+0.0015809i,-0.00044492+0.0010478i,-0.0008175+0.00036245i,-0.00054115+2.175e-05i,0.00015985-0.0008602i,0.00070077-0.0013885i,0.00071196-0.0009163i,0.0006156-0.00031454i,0.00074451-6.1408e-06i,0.0002324-0.00049381i,-0.00082573-0.0011412i,-0.0010132-0.00082801i,-0.00089201+0.00027929i,-0.00084983+0.00010409i,-0.00047331+3.6365e-05i,-0.00020893+0.00067827i,5.3891e-05+0.00072182i,0.00060594+0.00015685i
0.00087171+0.00080608i,0.0011561+0.0013924i,0.0013553+0.0013378i,0.00052423+0.001308i,-0.0009469+0.0014525i,-0.0015186+0.0012406i,-0.001127+0.0013886i,0.00015664+0.00098847i,0.001161+0.00032571i,0.00049486+0.00012778i,0.00024113+0.00035788i,0.00031006+0.00056227i,0.00010163-0.00012711i,-0.00011864-0.00064936i,-0.00044561-0.001339i,-0.00071298-0.0021561i,-0.00057639-0.0015003i,-0.00041003-0.00048064i,-0.00044171-0.00017554i,-0.00050118+0.00029549i,-0.0001144+0.00061171i,0.00064724+0.00061628i,0.00011161+0.0001829i
-0.0027409+0.0012978i,-0.0027536+0.0029805i,-0.0023916+0.0052145i,-0.0012137+0.0065204i,0.00027484+0.0047683i,0.00096039+0.0015182i,0.0011943+8.0243e-05i,0.00055219-0.0007051i,0.00072957-0.0013492i,0.001442-0.0005265i,0.0017574+0.00033572i,0.001061+0.00049124i,0.00024707-0.00074542i,0.00036502-0.00098058i,0.0003917-0.00036601i,0.00028309-0.0011694i,0.00033453-0.0014204i,0.00025273-0.0010014i,0.00067381-0.00057006i,0.00051094-0.00035508i,-0.00032098-0.00035381i,-0.00052045-0.00059244i,0.00016069-0.0010347i
0.00026695-0.0001127i,-0.00083047-0.00029838i,-0.0014326+0.00075032i,-0.0011085+0.0021273i,-0.0011516+0.0024359i,-0.0017317+0.0020656i,-0.0012547+0.0018478i,-0.00026254+0.0017503i,-0.0006419+0.0010571i,-0.0014082-0.00023766i,-0.0014936-0.001311i,-0.00073756-0.0010227i,-0.00055839+0.00034644i,-0.00018325+0.0011043i,0.00036338+0.00086662i,0.00013029-2.1874e-05i,-0.00040883-0.00089871i,2.862e-05-0.00080455i,-3.7785e-05-0.00011454i,-0.00096758+0.00014482i,-0.0011293-0.00053993i,-0.00025006-0.00075954i,0.00024408-0.00023135i
0.00035477-0.0020143i,-0.00073052-0.00065679i,-0.0013364+0.0012013i,-0.0017655+0.0031639i,-0.0015464+0.0043837i,-0.00019696+0.0043995i,0.00061601+0.002878i,0.00071547+0.001188i,-0.0003839-5.3305e-05i,-0.00077991-0.00022704i,-0.00034704+0.00012905i,-0.00045164+0.00020267i,-0.00032152+0.00077277i,0.00068974+0.0013777i,0.0016047+0.0012623i,0.00093959+0.00013633i,0.00068787-0.00061855i,0.00039644-0.00058202i,0.00018227-0.00067722i,0.00042508-0.00070954i,-0.00031701-0.001031i,-0.0010372-0.0003876i,-0.00036562+0.00036246i
-0.00051735+0.0006284i,-0.00071191+0.00052244i,-0.00024637+0.0018891i,-0.0013995+0.00291i,-0.0017209+0.0030763i,-0.00061849+0.0019076i,0.00065205+0.000659i,0.0010227+0.0005486i,0.00038459+0.00067033i,-0.00063714+0.0002392i,-0.00051563+4.2133e-05i,-0.00015287+0.00077242i,0.00037957+0.00069539i,-0.00019964-0.00029336i,-0.0011898-0.0008848i,4.8602e-06-0.0012216i,0.0015695-0.0010713i,0.00092289+0.00021594i,-0.00014004+0.00082869i,-0.00051808+0.00087441i,-0.00014699+0.001025i,0.00027666+0.00063699i,0.00054396+0.00021905i
-0.00035913+0.00058555i,-0.0009724+0.0012027i,-0.0017276+0.001517i,-0.0022734+0.0024864i,-0.0016119+0.0034364i,-0.00033513+0.0030701i,0.00070676+0.0025666i,0.0016684+0.0012698i,0.0020106-0.00016544i,0.0014078-0.00065226i,1.5503e-05-0.00052367i,-0.0012834-9.2098e-05i,-0.00080019+1.6281e-05i,-0.00035814-0.00017714i,-0.00046882-0.00087592i,-3.2547e-05-0.0012178i,-0.000114+3.2037e-05i,0.00022382+0.00056482i,0.00041809-5.2781e-05i,8.7339e-06+0.00032454i,0.00020766+0.00032186i,0.00020739+0.00046348i,0.00029659+0.00027673i
-0.0029434-0.00094265i,-0.0027889+0.00026806i,-0.0021261+0.0018822i,-0.0010208+0.0026496i,-0.00023742+0.0027477i,0.00019741+0.0033602i,0.00058601+0.0022231i,0.00086247+0.00039019i,0.0003732-0.00021013i,0.00043533+0.00061272i,0.00041236+6.6219e-05i,1.6054e-05-0.0012998i,7.9749e-05-0.0010068i,-5.0762e-05-0.00024114i,-0.00025394-0.0003663i,-0.00012148-0.0004691i,7.6475e-05-5.4124e-05i,0.00018101-6.3072e-05i,0.00015833-0.00010279i,8.6515e-05-0.00026339i,0.00048741-6.2346e-05i,0.00012676-0.00014534i,8.8809e-05+3.2518e-05i
0.00012455-0.0018057i,-0.00019483-0.0015345i,-0.00077976-0.00056905i,-0.0021589+0.0028636i,-0.0030157+0.0047956i,-0.0023779+0.0031868i,-0.0012671+0.0012448i,-0.00082249+0.0011017i,7.7178e-06+0.00037829i,0.00010952-0.0003181i,-0.00031968-0.00034334i,-0.00025101-4.0777e-05i,0.00023307+0.0006555i,-0.00020439+0.00068781i,-0.00034277+0.00048651i,8.7025e-05+0.00024676i,-6.6828e-05+0.00012134i,0.0002506+0.00033479i,0.00087628+0.0003233i,0.00044007+0.00017319i,-7.1299e-06+0.00022384i,-0.00015503+9.7758e-05i,0.00022999-2.703e-05i
-0.0002757+0.0010296i,-0.0003669+0.0025723i,-0.00067695+0.0036178i,-3.2388e-05+0.0048028i,-9.0537e-05+0.0052149i,-0.00011838+0.0037779i,0.00023235+0.0026625i,0.00060249+0.0021219i,0.00055931+0.0012973i,0.00043825+0.00069303i,3.4979e-05+0.00032316i,-4.2799e-05+8.4527e-05i,0.00018881+0.00011895i,0.00022658-7.9508e-05i,-2.3717e-05-0.00052895i,-0.00064941-0.00077416i,-0.00094623-0.00049935i,-0.0015926+0.00022467i,-0.0012746+0.00016784i,-0.00010746-0.0001052i,3.3917e-06+0.00021711i,9.8655e-06+0.00014386i,-0.00020461-8.1124e-05i
0.0026357+0.00039027i,0.0020426+0.00050159i,0.0019431+0.00081377i,0.00094151+0.00091411i,-0.0010727+0.00095746i,-0.0020437+0.0022806i,-0.0016497+0.0026966i,-0.00060713+0.0014651i,0.00046257+0.0004081i,0.00082847-0.00023385i,7.0979e-05-0.00026189i,-0.00093402-0.00014354i,-0.0013942+0.00056483i,-0.0013118+0.0012107i,-0.0011936+0.00041289i,-0.0017821-0.00035263i,-0.0019259-0.0004696i,-0.00060167-3.917e-05i,0.00023875+0.00044836i,-6.7631e-05+0.00048157i,0.00016045+6.1668e-05i,0.00050265-0.00018041i,-6.3414e-05-0.00087874i
-0.0024211-0.0014891i,-0.0032358-0.00095042i,-0.0027102+0.00068615i,-0.001897+0.0030662i,-0.0018328+0.0031742i,-0.00039765+0.0010543i,0.00054596+0.0002459i,8.3219e-05-8.4264e-05i,0.00019486-0.00040524i,0.00049824+0.00048114i,0.00046435+0.00084901i,-1.9778e-05+0.00051979i,-0.00076057-5.4557e-05i,-0.00011631+0.00023095i,0.0012179+0.00063944i,0.0012606+0.00018838i,0.00074499-1.3181e-05i,7.8492e-05+0.00014709i,-0.00074337+0.00042932i,-0.0013408+0.00054278i,-0.00093233-3.2653e-05i,-0.00069977-9.502e-05i,-0.00036683-0.00013882i
0.0027633+0.0024026i,0.0029858+0.0020815i,0.0025237+0.0020886i,0.0010364+0.0020756i,4.9768e-05+0.0010578i,-0.00093385+0.00012848i,-0.00072423-0.0001688i,-0.00025429+1.6732e-05i,-0.00059969+0.00020734i,0.00029878-0.00028202i,0.00077364-0.0010889i,-0.00026174-0.0016618i,-0.00017823-0.0010452i,-8.3815e-05+8.1801e-05i,-0.00014676-7.5093e-05i,-0.00053429-0.00014089i,-0.00066027-0.00045925i,-0.00043242-0.00071661i,-0.00077602+0.00033674i,-0.00081796+0.00075682i,-0.00050495+0.00020541i,-0.00021793-4.8705e-05i,-0.00049647-9.2623e-05i
0.00049154+0.0010959i,0.00054481+0.0017055i,-0.0003625+0.0023288i,-0.00093216+0.0020366i,-0.0014705+0.002198i,-0.0025557+0.0035727i,-0.0010005+0.0032835i,0.00056184+0.0022807i,0.00076146+0.00099168i,0.00048891+0.00019497i,-4.7882e-05+0.00061153i,6.2255e-05+0.0010761i,-0.00045781+0.00081504i,-0.0011306-3.9231e-05i,-0.00057121-0.00085449i,-0.00011331-0.00056955i,0.00037795-0.00066994i,0.00052135-0.00060413i,-0.00013392-1.5076e-05i,-0.0003996+3.9517e-05i,0.00040252+0.00017222i,0.00088444+0.00022494i,0.0011913-0.00033927i
-0.0014835+0.00011707i,-0.0014597+0.00083014i,-0.00050008+0.0023489i,0.00048862+0.0038528i,0.00080785+0.0042577i,0.00069644+0.0031813i,0.00067785+0.0016287i,0.0012038+0.00094338i,0.0014684+0.00054226i,0.0012854+0.00053403i,0.00077735+0.00010867i,0.00047209-0.00023611i,0.00036474-4.9105e-05i,0.00047719-0.00019279i,0.00047967-0.00092865i,-0.00011532-0.0006871i,5.613e-05+0.00036285i,0.0010831+0.00014641i,0.0013489-0.00039539i,0.00026044-0.0004052i,-0.00035518-0.0002303i,-2.804e-08-0.00044095i,0.00038713-0.00096936i
0.0016566-0.0018619i,-1.1052e-05-0.00054138i,-0.0015981+0.0010152i,-0.0020941+0.002436i,-0.001643+0.0027853i,-0.0014586+0.0022789i,-0.0015499+0.0018354i,-0.00088871+0.0011777i,0.00016664-2.6626e-05i,0.00075862-0.0012975i,0.00028068-0.0011261i,-0.00054559+5.8909e-05i,-0.00098553+0.0007068i,-0.00058786+0.0003721i,5.9908e-05+0.00023243i,0.00013325+0.00020002i,-0.00019591+9.9598e-05i,0.0002256-7.1265e-05i,0.00072809-0.00062433i,0.00074315-0.0017321i,0.00058626-0.0014571i,5.4163e-05-0.00041311i,-0.00018945-0.00019574i
1.5461e-05+0.00038774i,-0.0006504+0.0010643i,-0.0006327+0.0014951i,-0.00055402+0.0029484i,-0.00021881+0.0034517i,-2.5626e-05+0.0030985i,-0.00010221+0.0021004i,0.00034054-0.00024572i,0.00073206-0.0024452i,0.00050428-0.0025372i,0.0001195-0.0015041i,0.00021348-1.5951e-05i,0.00012082+0.00046351i,0.00041581+0.00032417i,0.0006807-9.0664e-05i,0.0011758-0.00084699i,0.0017626-0.00048356i,0.0015907-0.00038921i,0.001035-0.00095603i,0.00058618-0.00032701i,0.00050495-0.00026508i,0.00092407-0.00044783i,0.0010574+0.00084995i
-0.0012535-0.00019704i,-0.0002238+0.00034028i,-0.00082293+0.0012839i,-0.001409+0.0032298i,-0.00079189+0.0044152i,0.0005086+0.0039304i,0.0013697+0.0024166i,0.00089857+0.0012242i,-0.00053356+0.00078753i,-0.00045644+0.00028473i,0.00082166-1.4112e-05i,0.0012323-0.00039843i,0.00061606+0.00021229i,7.5573e-05+0.00037947i,0.00069884+0.00010139i,0.00088318-0.00044939i,0.00052679-0.0004433i,0.00012566-0.00050347i,-3.6712e-05-0.00091547i,0.00011343-0.0004973i,-0.00017319+0.00040149i,-0.00015201+0.00056857i,-0.00033236+0.00018593i
-0.0010179-0.00029346i,-0.002101+0.00090026i,-0.0030322+0.0031753i,-0.0027699+0.0044598i,-0.0018669+0.0046422i,-0.00053348+0.0038609i,0.0007212+0.0024655i,0.0011384+0.00077899i,0.0011969-0.00038555i,0.00089326+0.00010437i,0.00043678+0.00028224i,-0.00025621-0.0005886i,-0.00041237-0.000553i,3.377e-05-0.00039531i,0.00060003-0.00039352i,0.00046273-0.00056591i,-6.7213e-05-0.00049024i,-0.00013624+0.00040755i,0.00024224+0.0010966i,0.00050346+0.0011564i,0.00029662+0.00081819i,-0.00028058+0.00069334i,-0.00055403+0.00047566i
0.0022692+0.00085019i,0.002267+0.00059714i,0.002181+0.00031767i,0.0013067+0.00087704i,0.00012869+0.0011666i,-0.00065372+0.00081016i,6.3504e-05+0.0014417i,0.00097863+0.0022509i,0.0012001+0.0018124i,0.0012088+0.0010591i,0.00051779+0.00065401i,-0.00054144-2.7516e-05i,-0.0014077-8.5465e-05i,-0.0017455+0.0013403i,-0.0012497+0.001795i,-0.00040936+0.00088631i,0.0002749+0.00015446i,0.00050584+0.00045183i,0.00066418+0.0013281i,0.0011885+0.0015628i,0.0011712+0.00041521i,0.00093913-0.00029798i,0.00075253+0.00028725i
-0.0022953-0.00023947i,-0.0032586+0.00033912i,-0.0041586+0.0016839i,-0.0039061+0.0031773i,-0.0029212+0.0038879i,-0.0014217+0.0039414i,0.0004269+0.002514i,0.0016808+0.00015103i,0.0019137-0.0011827i,0.00096983-0.0011963i,-0.00046974-0.0015344i,-0.00061961-0.0006246i,-0.00010741+0.001232i,-0.00040229+0.0014926i,-0.0011+0.00051788i,-0.00034329+0.00012102i,0.00073859+0.00041194i,0.00021546+0.00053054i,-0.00027998+0.00075521i,-3.2314e-05+0.00072524i,0.00022066+0.00036672i,0.0003947+0.00010112i,0.00023054-0.00037646i
0.00069391+0.0012296i,0.00054667+0.0026404i,0.00051688+0.002889i,0.0015244+0.0019081i,0.0022202+0.0019859i,0.0015004+0.0031483i,-0.00012396+0.002417i,-0.00050452+0.00053624i,-0.00027693+1.1639e-05i,-0.0010418+0.00061662i,-0.0013666+0.00059721i,-0.00037025+0.00027387i,0.00023277-0.00067943i,0.00029805-0.00064649i,0.00034862+1.2441e-05i,0.00046681+0.00018104i,-6.5014e-05+0.00020548i,-0.000964-0.00023823i,-0.0019828-0.00035094i,-0.0015013-9.071e-05i,-5.2725e-05+0.0005177i,0.00042609+0.00025783i,0.00044788-0.00094519i
0.00089313+0.0016104i,0.0005026+0.00049177i,-1.9263e-05+0.00053724i,-0.001294+0.0019249i,-0.0024164+0.0028305i,-0.002157+0.0022403i,-0.00063698+0.0014596i,-0.00046664+0.0011859i,-0.00064222+0.0010085i,0.00053182+0.0004275i,0.00078489-0.00021489i,2.227e-05-0.00062215i,-0.00045666-0.00041786i,-0.00080901-0.0001062i,-0.00067106-0.0004621i,-0.00053476-0.00047177i,-0.00084998+0.00025368i,-0.001142+0.00020878i,-0.0013578-0.00017405i,-0.0011133-0.00014875i,0.00044232-0.00062772i,0.00099179-0.00072019i,9.5023e-05-0.00042017i
-0.0015496+5.6976e-05i,-0.0017728+0.00087372i,-0.0015096+0.003338i,-0.00059605+0.0053978i,-0.00059838+0.0053872i,-0.00025366+0.0040744i,0.0020133+0.0026456i,0.0030168+0.0012575i,0.0024824+0.00045888i,0.0020422+0.00015969i,0.0018692+6.5477e-05i,0.00094398+0.00018852i,0.00014222+0.00054068i,-0.00034017+0.0002455i,-0.00087043+9.6547e-05i,-0.00070608-6.3943e-05i,0.00035166-0.00013631i,0.0014678-3.1171e-05i,0.001227-0.00032391i,0.0010824-0.00068963i,0.00092648-0.00039598i,-0.00010386+0.00043175i,-8.958e-06+0.00065996i
0.0041601+0.00010114i,0.004819+0.00018983i,0.0034716+0.0020196i,0.0017448+0.0036923i,0.0010746+0.0032738i,-5.5372e-05+0.001826i,-0.00077+0.00066016i,-0.00021699-5.3725e-05i,0.00023304-0.00060089i,0.00031072-0.00074572i,0.00036151-0.00054711i,2.3812e-05+0.00025031i,-0.00039263+0.00087071i,7.0605e-06+0.00068967i,0.00091277+8.3233e-05i,0.0016923-0.00068745i,0.0016375-0.001032i,0.00073936-0.0011285i,0.00043966-0.00092694i,0.0010822-0.00041169i,0.0013957-0.00015234i,0.0015243+8.805e-05i,0.0013522+3.3631e-06i
-0.00086395+0.0013721i,-0.0026286+0.0028873i,-0.0037064+0.0044897i,-0.0034987+0.005841i,-0.0026112+0.0051459i,-0.0010928+0.0039341i,-0.00020435+0.0032201i,3.9543e-05+0.0023209i,-0.00013586+0.00063082i,-0.00082724-0.00034645i,-0.00089813-0.00025772i,-1.7609e-05+0.00031631i,0.0006494+0.0011509i,0.00092854+0.00072511i,0.001223+0.00030013i,0.00099357+0.0010694i,0.00099548+0.00081728i,0.0012224-0.0003142i,0.0018107-0.00084917i,0.0021875-0.00049769i,0.002009+0.00021888i,0.0015895-7.1692e-05i,0.00066692-0.00034874i
-0.0019856-0.0022742i,-0.0027857-0.00050789i,-0.0026008+0.0022571i,-0.0023582+0.0035305i,-0.0013295+0.0033629i,-0.0012001+0.0033882i,-0.0013989+0.002581i,-0.0014516+0.0015219i,-0.0017962+0.00057874i,-0.0013659+0.00040023i,-0.00031896+0.0009825i,-0.00020775+0.00080279i,-0.0005895+0.00046901i,-1.0999e-05+0.00082822i,0.00050428+0.00081967i,0.00012152-0.0003228i,5.1303e-06-0.00052707i,9.3956e-05-0.00022546i,0.00078502-9.9818e-06i,0.0016189+0.00034855i,0.0013515+0.00074526i,0.00066913+0.00049058i,0.00040982-0.00034764i
0.00064638-0.002576i,0.00020908-0.0022963i,-0.0016256-0.00034519i,-0.00333+0.00239i,-0.0037161+0.0048258i,-0.0034272+0.0053761i,-0.0016684+0.0042621i,0.00019738+0.0027732i,0.0011803+0.0014705i,0.0013842+0.00056997i,0.00080679-6.4295e-05i,0.00028544+0.00027029i,-0.00041557+0.00098783i,-0.0011833+0.0011451i,-0.00068289+0.0013146i,0.00026644+0.0011946i,0.00066312+0.0013661i,0.00075741+0.0016612i,0.0010214+0.0012258i,0.0010705+0.0010885i,0.0011873+0.0010042i,0.00072767+0.00031661i,-0.00016455-0.0007701i
-0.0034798+0.0010713i,-0.00351+0.0017036i,-0.0021854+0.0030554i,-0.00095196+0.0042635i,0.00037774+0.0045585i,0.00090592+0.0035958i,0.00011901+0.00091519i,0.00058034-0.0012437i,0.001457-0.0012317i,0.0020164-0.00097772i,0.0017499-0.001167i,0.0005225-0.0007555i,6.1194e-07+0.00034118i,9.8703e-05+0.0013065i,-0.00052433+0.0011917i,-0.00042039-0.00034188i,0.00061161-0.0011176i,0.00091654+0.00016836i,-0.00023944+0.00072311i,-0.00097552+0.001237i,-0.000521+0.0018223i,4.7339e-05+0.00099318i,0.00052282+6.1985e-05i
-0.0008541+0.0034114i,0.00055315+0.0037161i,0.0022007+0.0050969i,0.0015062+0.0041382i,0.0003863+0.0017671i,-0.00027997+0.00024164i,-0.00096886-0.00041027i,-0.0014635-0.00041537i,-0.0019581+0.00040494i,-0.00081324-5.1304e-05i,0.00080507-0.00151i,0.00043247-0.0017091i,-0.00061709-0.0010951i,-0.00082569-0.0014466i,-0.00066537-0.00206i,-0.00058713-0.00087385i,-0.0006138-0.00040773i,-0.00071763-0.00012791i,-0.0013846+0.00055009i,-0.0019812+0.00029951i,-0.002034+0.00047621i,-0.0011777+0.00048441i,-0.00058941+0.00021226i
-0.00064808-0.00025216i,-0.0012282+0.00098639i,-0.00096661+0.0025197i,-0.00025256+0.0047491i,0.00054681+0.006347i,0.0013632+0.0055607i,0.0020632+0.004016i,0.0014889+0.003071i,0.00073255+0.0024863i,0.00030367+0.0015417i,1.0233e-05+0.00058154i,-8.3301e-05+0.0003686i,-0.00042355+0.00025095i,1.9363e-05-0.0003773i,0.0010493-0.00099578i,0.0010486-0.00045382i,0.00050733+0.00048955i,-5.8275e-05+0.0009594i,-0.00085242+0.00042036i,-0.0011358-0.0004393i,-0.00066786+5.4987e-05i,-0.00051372+0.00038126i,-0.00065153+0.00034474i
-6.5479e-06+0.0052929i,0.0011911+0.0050892i,0.0015862+0.004834i,0.00049657+0.0035382i,0.00013824+0.00025983i,0.00060572-0.0019429i,0.00054855-0.0017181i,0.00078469-0.00075286i,0.0011311+0.00033926i,0.0011001+0.00044329i,0.0011302-0.0004533i,0.00073794-0.0013223i,7.2137e-05-0.0013886i,-0.00069823-0.0016187i,-0.00011767-0.0017538i,0.00077983-0.00094083i,0.00090799+2.8891e-05i,0.00021617+0.00022085i,-0.00062142+6.1048e-05i,-0.00044765-0.00014469i,-1.2046e-05-0.00045454i,0.00036103-8.8291e-06i,0.00032613-0.00021197i
-0.0027748+0.0023958i,-0.0039178+0.0022636i,-0.0048441+0.0032685i,-0.0051423+0.0049401i,-0.0054192+0.0055724i,-0.00433+0.0042945i,-0.0022653+0.002372i,-0.00019545+0.00068578i,0.0016862-0.00056952i,0.002148-0.0010333i,0.0014466-0.00094353i,0.0012844-0.00027711i,0.00093154+0.00064273i,0.00029141+0.00020599i,0.00057699-0.0010819i,0.001087-0.00050396i,0.00014151+0.00037316i,0.00033385+2.2985e-05i,0.0010165-0.00013319i,0.00013134-0.0010875i,-3.7213e-05-0.0013902i,0.00050316+0.00022949i,0.00010682+0.00061721i
-0.0025441+0.0012122i,-0.0020675+0.0016153i,-0.00040091+0.0032054i,0.0029153+0.004243i,0.0050898+0.0046034i,0.0037023+0.0035058i,0.0010617+0.0017483i,-0.00060515-0.00011054i,-0.0013988-0.0014759i,-0.0012226-0.0011675i,-0.00060565-0.00054579i,9.1399e-05-0.00049462i,-3.9768e-05-0.00063864i,-0.00052657-0.00037494i,0.00055448+0.0004042i,0.00054018+0.0013587i,-0.0008559+0.001003i,-0.0011839+0.00036671i,-0.00024031-3.9266e-05i,0.00063106-0.0001495i,5.5792e-05+0.00034962i,-0.00087868+0.00031264i,-0.00029439+0.00039614i
0.00056937+5.3435e-05i,0.00041532-0.0012085i,7.5398e-05-0.0018526i,-0.0014081-0.0018975i,-0.0025029-0.00092369i,-0.0027241+0.00086515i,-0.002099+0.0012839i,-0.0012216+0.001523i,-0.00050656+0.0027777i,-0.00024818+0.0030417i,-0.00022984+0.0020076i,-0.00057925+0.00069061i,-0.00024104-0.00041313i,4.1017e-05-1.3251e-05i,-0.00033569+0.0001478i,-0.00080554-0.00015598i,-0.00077833+0.00050984i,-0.00012149+0.00049884i,0.00046851+0.00035289i,0.00036956+0.00019309i,0.0002957+0.00034789i,5.8243e-06+0.00061263i,-0.0002718-9.4085e-05i
-0.0014311+0.00036144i,-0.0030082+0.001055i,-0.0050096+0.0031786i,-0.0055954+0.0057993i,-0.0047761+0.0071569i,-0.0018495+0.005967i,0.0014047+0.0034438i,0.0024657+0.0019328i,0.002401+0.001319i,0.0026231+0.00042712i,0.0020914-5.3742e-05i,0.0016293+0.00024118i,0.0015978+0.00066292i,0.00051743+0.00054891i,-0.00062446+0.00038559i,-0.00024273-8.9037e-05i,0.00060535-2.1804e-05i,0.00068862+3.8573e-05i,-2.5845e-05-0.00024016i,-0.00061829+6.3985e-05i,-0.00028445+0.00020541i,0.00077936-0.00010014i,0.0012661-0.00018748i
0.0023997+0.0012657i,0.002463+0.0032735i,0.0032976+0.0046607i,0.0030918+0.0045305i,0.0010016+0.0035758i,-0.00033166+0.0027351i,0.00030354+0.0015008i,0.0014118-1.7977e-05i,0.0016698-0.0016396i,0.0018754-0.0021138i,0.0011138-0.0011452i,0.00023906-0.00043794i,-0.00047557+0.00011773i,-0.0013086+0.00046547i,-0.0010986+0.0002683i,-0.00023414+1.3057e-05i,3.0522e-05-0.00084637i,5.0947e-06-0.0015934i,0.00018427-0.0013188i,0.0012207-0.00050603i,0.0011779+0.00023982i,0.00098833+0.00063829i,0.0014351+0.00026758i
-0.0010042-0.0020258i,-0.0024945-0.0019597i,-0.0030091-0.001939i,-0.0028851-0.0018529i,-0.0026738-0.0011217i,-0.0024474+0.00051733i,-0.00056287+0.00094054i,0.00089185-7.552e-05i,0.00016628-0.00096766i,-0.0010729-0.0013291i,-0.0012142-0.0010967i,-0.00049563-0.0012885i,-0.00025095-0.0014929i,-0.00010661-0.00032633i,-0.00064057-0.00014734i,-0.0010469-0.00076393i,6.5067e-05-0.0011545i,0.0010338-0.0013103i,0.00092718-0.0012625i,-0.00019584-0.00061806i,-0.0009939+3.5304e-05i,-0.00062439+0.0006137i,0.00052856+0.00069169i
-0.0010091+0.001029i,-0.001069+0.00066293i,-0.0017629+0.0021224i,-0.0023639+0.0039589i,-0.0024138+0.0044069i,-0.0016667+0.0030425i,-0.0007572+0.0016825i,-0.00081405+0.0023771i,-0.00091348+0.0031793i,-0.0013175+0.0020804i,-0.0010033+0.0014233i,-0.00067993+0.00075784i,-0.0010148-0.0006064i,-0.00073951-0.0018493i,-0.00038939-0.0021743i,0.00031446-0.0019926i,0.00042275-0.0012125i,-2.3518e-05+2.6813e-05i,0.00058507+0.00091533i,0.00051432+0.0012498i,-0.00033455+0.0015434i,-3.664e-05+0.0017602i,4.8164e-05+0.00083346i
0.0032726+0.00057833i,0.0020785-0.00054439i,0.0025752-3.4848e-05i,0.0027512+0.0015275i,0.0015609+0.0011099i,0.00013038+0.001081i,0.00040835+0.0030782i,0.0020702+0.0039705i,0.002769+0.0028313i,0.0024786+0.0016161i,0.0015091+0.00091431i,0.00071805+0.00092607i,2.0691e-05+0.00091288i,-0.0011214+0.00052599i,-0.0014526+0.00071221i,-0.0001881+0.00052239i,0.0012775+0.00034151i,0.0023741+0.00091179i,0.0017306+0.0011824i,8.7084e-05+0.00051348i,7.4021e-05+0.00059222i,0.00077196+0.0007109i,0.0010517+0.00052508i
0.0023995+0.00099758i,0.0033494+0.0012526i,0.0047858+0.0024388i,0.0035871+0.0026139i,0.0015522+0.001128i,0.00046423+0.00032308i,0.00102+0.00013316i,0.0023513-0.00031216i,0.0032182-0.00090307i,0.002819-0.0015045i,0.0023707-0.00091734i,0.0024497-0.00023916i,0.0014712-0.00042074i,0.00086275+0.00028298i,0.0018716+0.0015875i,0.0023258+0.0016804i,0.0015262+0.0015252i,0.0005927+0.0020881i,-0.00012473+0.00129i,-0.00056004-0.0010717i,-0.00047987-0.0017416i,-6.0527e-05-0.001291i,0.00038818-0.0013309i
0.0026438+0.0040636i,0.002655+0.0036339i,0.0029694+0.0024157i,0.00010896+0.0020296i,-0.0024532+0.0028039i,-0.0030512+0.0030901i,-0.002702+0.0023128i,-0.0022263+0.0010277i,-0.0023102-0.00017725i,-0.0021577-0.0010444i,-0.00086767-0.0011238i,-0.0002174-0.0015192i,-0.00046999-0.0014022i,-0.0011271-0.00053288i,-0.0015018+0.0008331i,-0.0012313+0.0014028i,-0.00077978+0.0014047i,-0.00049874+0.0017545i,-0.00041977+0.0014692i,-0.00030188-3.92e-05i,0.00025765-0.00076178i,0.00050045-0.00018406i,-0.00019028-0.00071466i
-0.0030633-7.5849e-05i,-0.0047552+0.00039102i,-0.0054504+0.0016046i,-0.0042567+0.0035239i,-0.0026681+0.0040081i,-0.0021158+0.0029827i,-0.0016755+0.0024483i,-0.00062201+0.0020621i,-0.00053007+0.0013904i,-0.0019793+0.0010482i,-0.0025624+0.00056802i,-0.0017106+0.00028951i,-0.0016291+0.0005466i,-0.0014426+0.00086782i,-0.00068203+0.0012689i,-0.00087052+0.0014486i,-0.0013323+0.001162i,-0.0012875+0.0010882i,-0.001347+0.0012693i,-0.0017217+0.00075061i,-0.0013157-0.00074833i,-6.7441e-05-0.0011978i,0.00043676-0.0003419i
