-0.001278+0.0014908i,-0.0006324+0.00081063i,-0.00085285+0.0010032i,-0.0017312+0.00049434i,-0.0026179+0.00103i,-0.0021604+0.0014806i,-7.7271e-05+0.0022275i,0.00099015+0.0032798i,0.0010683+0.0022342i,0.001413+0.00043854i,0.0013395-0.00015248i,0.00023628-0.00052809i,-0.00065149-0.00075169i,-0.00045114-0.00012004i,-0.00031428+0.00077489i,-0.00035545+0.00098071i,-4.0717e-05+0.00061079i,0.00046056-0.00018368i,0.00050424-0.00039528i,-0.00025563-0.00069064i,-0.00032537-0.00073496i,0.00010302+0.00016327i,-0.00034757+0.00044546i
-0.01466-0.019461i,-0.023944-0.019566i,-0.027259-0.0087827i,-0.016544-0.0019966i,-0.005564-0.0021975i,-0.0035622-0.0018414i,-0.0034361+0.00075166i,-0.00079173+0.0027562i,0.00080629+0.0022761i,0.00012012+0.0016775i,-7.9337e-05+0.0018121i,0.00044299+0.0011644i,0.00076849-0.00041182i,0.0003908-0.0011718i,-0.00037316-0.0007582i,0.00019451-0.00064663i,0.00066296-0.00092219i,-0.00014881-0.00093232i,-0.00089087-0.00097454i,-0.00095879-0.00098537i,-0.0010221-0.0008544i,-0.0011019-0.00025915i,-0.00075087+0.00057508i
-0.011307+0.025402i,-0.0068638+0.032488i,0.0054854+0.028095i,0.0063507+0.013266i,-0.0022632+0.0040501i,-0.004518+0.0039499i,-0.00076459+0.004298i,0.0019677+0.0025888i,0.0021247+0.00091457i,0.00076038-0.00028807i,0.00064766-0.0010193i,0.0010452-0.00099796i,0.00061762-0.00061439i,-0.00016936-0.00026039i,-0.00052641-0.00012828i,-0.00010191-6.5315e-05i,0.00049943-0.00029414i,0.00050037-0.00018997i,0.00077023+0.00043876i,0.00035704+0.00055688i,0.0002348+0.00054053i,0.0010499+0.00045601i,0.00092998+0.0005509i
0.026879-0.00013941i,0.028071-0.0071814i,0.017668-0.015454i,0.0065636-0.010694i,0.0023093-0.00046975i,0.002336+0.0027925i,0.00085303+0.00092422i,-0.0014421-4.8065e-05i,-0.002044+0.00056687i,-0.0016684+0.0013573i,-0.0020921+0.00075332i,-0.0017766+0.00016984i,-0.00051919+0.00011312i,0.00036622-0.000177i,0.00051183-0.00027541i,-5.9965e-05+0.00045715i,-0.00035591+0.0014391i,-0.00082721+0.0018577i,-0.001527+0.00072562i,-0.00093953-0.0011152i,-0.0002472-0.0017788i,-0.00024369-0.0015634i,-0.00020728-0.00079878i
-0.0134-0.02129i,-0.02323-0.019128i,-0.02584-0.0064905i,-0.013686-0.00023529i,-0.003251-0.0036397i,-0.00203-0.0044797i,-0.002987-0.0010674i,-0.0018606+0.0017529i,0.00027772+0.0025797i,0.00099777+0.0016496i,0.00097467+0.0012878i,0.00080534+0.0011817i,0.00056802+0.00059335i,8.454e-05+0.00073425i,-0.00030175+0.0009593i,0.00013988+0.00092852i,0.0016005+0.0007295i,0.0023172+0.00044781i,0.0012594+0.00020347i,-0.0001002+0.00031039i,-0.0011715+0.00064112i,-0.00078928+0.00057635i,0.00012335+0.00011958i
-0.014162+0.021013i,-0.0076456+0.026229i,0.0051837+0.022473i,0.0052993+0.0092421i,-0.0034946+0.0016733i,-0.0054845+0.0024699i,-0.0022776+0.0033465i,-0.00025293+0.002508i,0.00049685+0.00085561i,0.00065321-0.00065169i,0.0011898-0.0017577i,0.0016437-0.0019177i,0.0012396-0.0012048i,0.00014287-0.00056166i,-0.00048949+6.5258e-05i,-0.00051501+0.00046315i,-8.9046e-05+0.00076333i,-0.00039547+0.00025842i,-0.00057204-0.00053228i,-0.00036094-0.00041664i,-0.00027748+0.00024194i,0.00027272+8.596e-05i,0.00030978-0.00063433i
0.025228-0.0015894i,0.026317-0.010488i,0.015698-0.017538i,0.0043724-0.011138i,0.00078435+6.5366e-05i,0.00057834+0.0029843i,0.00070701+0.00062143i,0.00088976-0.00040476i,-0.00025612+0.00016426i,-0.001496+0.00072527i,-0.0024278+0.00010407i,-0.0021222-0.00087342i,-0.0011563-0.00026676i,-0.00088659+7.8532e-05i,-0.0006853-0.0004167i,-0.00079263-7.9163e-05i,-0.00097956+0.00057152i,-0.0010321+0.001149i,-0.0014833+0.0010421i,-0.0013706+0.00045221i,-0.00053609+0.00021854i,-0.00015066+0.00060308i,-0.00028554+0.00055713i
-0.012935-0.019897i,-0.019805-0.015832i,-0.021169-0.0019602i,-0.010989+0.003723i,-0.0022419-0.00039628i,-0.0017052-0.0025654i,-0.0023797-0.00096829i,-0.001564+0.0003622i,4.2954e-05+0.00071742i,0.00057548+0.0016013i,-0.00030956+0.0018214i,-0.00026612+0.0010255i,-7.1708e-05+0.00015992i,-0.00024392-0.00050413i,5.4875e-05-0.00044937i,0.00033841+0.00073793i,0.00042582+0.0012021i,0.001605+0.00048716i,0.0012036+0.00057447i,3.5899e-05+0.00040696i,-6.0422e-05-0.00016456i,0.00018726-0.00041468i,0.0008422+8.4397e-05i
-0.011685+0.022914i,-0.0041994+0.02549i,0.0072207+0.019286i,0.006544+0.0066311i,-0.002265-0.00010163i,-0.0057386-0.00036553i,-0.0041208+0.0017268i,-0.0010272+0.0027588i,0.00075729+0.001105i,0.00043298-6.0088e-05i,0.00098008-0.0003574i,0.0013596-0.00072686i,0.00081911-0.00045613i,0.00070534-0.00066328i,0.00028904-0.0021452i,9.9528e-05-0.0020102i,-0.00019504-0.0011779i,-0.00041917-0.001738i,-5.8172e-05-0.0015687i,0.00047415-0.00040864i,0.00022582-0.00040601i,-2.6663e-05-0.0013949i,0.00023223-0.0012984i
0.023678+0.0029528i,0.021963-0.0070361i,0.010933-0.015131i,0.00072516-0.0095693i,-0.00095881+0.0004296i,0.00059634+0.0034603i,0.0019598+0.0024908i,0.0020503+0.00072186i,0.00029219+4.3669e-05i,-0.00084102+0.00025396i,-0.0015383-0.0003222i,-0.0021629-0.00021559i,-0.0018816+0.00037386i,-0.0012544+0.00073373i,-0.0012419+0.0010458i,-0.00089975+0.00049581i,-2.9003e-05+0.00055465i,-0.00028237+0.00094185i,-0.0012766+0.00028308i,-0.0011696-0.00046621i,-0.00039161-0.00097511i,-0.00049189-0.00034896i,-0.0010833+0.00043228i
-0.0090715-0.019612i,-0.014553-0.014887i,-0.016462-0.00084046i,-0.0066482+0.0049415i,0.00075013+0.00035018i,0.00075745-0.0023828i,-0.00031788-0.0018004i,-0.00062593-0.00036926i,-8.627e-05+0.00095277i,0.0004961+0.0016002i,0.00025489+0.0021488i,-0.00012197+0.0016484i,-0.00013802+0.00037454i,0.00032631-0.00061515i,0.0012478-0.00039656i,0.0013071+0.00012871i,0.0010643+0.00067534i,0.00043123+0.0011861i,0.0001668+0.0010871i,0.00045585+0.00061072i,0.0003231+0.00013786i,0.00032413+9.3271e-06i,6.0288e-05+0.00056844i
-0.012762+0.0212i,-0.0050101+0.021777i,0.0072088+0.014653i,0.0072435+0.0034878i,-0.00071271-0.0016298i,-0.0038072-0.00092595i,-0.002631+0.00063404i,-0.0013028+0.001995i,-0.00043006+0.0019012i,-0.00025588+0.0010846i,0.00021809+0.00092359i,0.00082891+0.00010005i,0.00058663-0.0011044i,-0.00012863-0.0015234i,-0.00038621-0.00081102i,-5.8935e-05+2.1263e-05i,-0.00022514-0.00028066i,-0.00036017-0.0011325i,0.00050536-0.0015185i,0.00064683-0.0014384i,0.00025227-0.00041348i,6.2271e-05+0.00024197i,0.00011933+0.00031529i
0.020441+0.0059696i,0.01636-0.0024138i,0.004917-0.010245i,-0.003061-0.0058373i,-0.0029218+0.0027406i,-0.0010611+0.0044241i,0.00040447+0.0018274i,0.0012446-0.00021271i,0.00043616+0.00013215i,-0.00022407+0.0010671i,-0.00062776+0.00036873i,-0.0013673+0.00023099i,-0.00070935+0.00068069i,-6.3241e-05+0.00090482i,-0.00033404+0.0010743i,-0.00038676+0.0012259i,-0.00043328+0.00054706i,-0.00092806+0.00030746i,-0.0012705+0.00065691i,-0.0012838-7.4203e-05i,-0.0015191-0.0013101i,-0.0016886-0.00083005i,-0.00078996+0.0002143i
-0.010189-0.018327i,-0.01405-0.010202i,-0.01413+0.0028363i,-0.0056629+0.0071745i,0.0010655+0.0020442i,0.0019522-0.00084091i,0.0010016-0.0003332i,-0.00074397-0.00018176i,-0.0014558-0.00061625i,-0.00065883-0.00062631i,-3.3409e-05+0.00077211i,0.00097037+0.0011499i,0.0017128-0.00037693i,0.001231-0.00071109i,0.00098321-0.00030156i,0.00055042+3.8607e-06i,0.00012208+0.00057721i,0.00087861+0.0012849i,0.0015146+0.0012248i,0.0010747+0.00095992i,0.00022914+0.00065268i,7.2618e-05+0.00087084i,0.00078051+0.00080379i
-0.016888+0.016983i,-0.0077587+0.015089i,0.0046245+0.008884i,0.0043735-7.2188e-06i,-0.0029567-0.003399i,-0.0049936-0.0016341i,-0.0028069+0.00058616i,-0.00028914+0.0016451i,-0.00018601+0.00079736i,-0.0015753+0.00026493i,-0.00082983+7.061e-05i,0.00083357-0.0011585i,0.0008062-0.0018056i,-0.0007005-0.0017805i,-0.0013625-0.0014637i,-0.0010744-0.00053391i,-0.00050108-0.00034314i,-0.00010277-0.0014974i,0.00062363-0.0015862i,0.0012496-0.00093923i,0.00074635-0.00047724i,0.0002255+5.321e-05i,-0.0001287+0.00022704i
0.01566+0.0019648i,0.0090029-0.0036936i,-0.0016636-0.009022i,-0.0072126-0.0046577i,-0.0060632+0.0037484i,-0.0031069+0.0065473i,-0.00027374+0.0048601i,0.0012058+0.0015163i,0.00069882-0.00044734i,-0.00026952+0.00014159i,-0.00090841+0.00072887i,-0.0011517+0.00064874i,-0.0010021+0.00026835i,-0.001585+0.00027377i,-0.0019885+0.00076081i,-0.00067365+0.0010224i,0.00072893+0.00035131i,0.00045183+2.2347e-05i,-0.00023114+0.00053562i,-0.00076319+0.00037633i,-0.0017758-0.00069187i,-0.0018722-0.00095508i,-0.00066117-0.00027125i
-0.0078248-0.0225i,-0.0095695-0.012333i,-0.0090548+0.0024631i,-0.0027287+0.0057685i,0.00085465+0.0020112i,0.0010438+0.00072674i,0.00086406+0.00030094i,0.00023103+0.00028169i,4.4614e-05+0.00060198i,0.00015163+0.00034639i,0.00032174+0.0011235i,0.00098826+0.0019217i,0.0014125+0.00079739i,0.0012111-0.00044124i,0.00097233-0.0010463i,0.0011987-0.00073326i,0.0013175-0.00011077i,0.0012209+2.0454e-05i,0.0015094+0.00020758i,0.0016041+0.0008979i,0.00081042+0.0013658i,0.00043693+0.0007529i,0.00081482-0.00012956i
-0.014188+0.012844i,-0.005635+0.0089648i,0.0051226+0.0034828i,0.005222-0.0022429i,-0.0021528-0.0034363i,-0.005408-0.0025755i,-0.0040652-0.00055547i,-0.0013318+0.0017755i,0.00065902+0.0017213i,0.00089376+0.00083304i,0.00067174+0.00039954i,0.00070378-0.00049963i,4.7897e-05-0.00083544i,-0.00077447-0.00099566i,-0.0013948-0.001327i,-0.0011379-0.00056085i,-0.00024679+0.00017274i,-6.5795e-05-0.00046003i,-0.00010616-0.0015271i,0.00021093-0.0022035i,0.00057848-0.0022466i,7.8744e-05-0.0014078i,-0.0011537-0.00084172i
0.02213+0.0027956i,0.012768-0.0035445i,5.2637e-05-0.0083929i,-0.0069262-0.0058243i,-0.0067729+0.00023001i,-0.0054777+0.0038266i,-0.0036988+0.0037619i,-0.00072979+0.0012174i,0.00042146-0.00017274i,-0.00013357+0.00059668i,-0.00090922+0.00032285i,-0.0013791+0.00024059i,-0.0015843+0.00085429i,-0.0021321+0.0011063i,-0.0018833+0.0014092i,-0.00022005+0.0011769i,8.3796e-05+0.00094869i,-0.00038598+0.0011814i,-0.00059491+0.0009725i,-0.001342+0.00035138i,-0.0015695-4.8638e-05i,-0.0012787-0.00059097i,-0.0013423-0.00056434i
-0.0042243-0.018926i,-0.003949-0.0090433i,-0.0032996+0.0049941i,0.00097379+0.0079479i,0.0034472+0.0023724i,0.0037931+0.00017815i,0.0018689+0.0010434i,-0.0010478+0.00095008i,-0.0017794+0.0011718i,-0.0011272+0.001604i,-0.00077594+0.0019909i,0.00062713+0.0017414i,0.0020645+6.7764e-05i,0.0019043-0.00088533i,0.001705-0.00054095i,0.001489-0.00021726i,0.0011362-0.00039535i,0.00099688-0.00017472i,0.00119+0.0003799i,0.0013715+0.0010043i,8.8047e-05+0.0016375i,-0.00060432+0.0010447i,0.00056192+0.00033672i
-0.013202+0.012996i,-0.0044397+0.0071667i,0.0048075+0.0012519i,0.0045616-0.0031993i,-0.00024317-0.0034695i,-0.0013904-0.0026263i,-0.00082968-0.0007571i,0.00031204+0.0019936i,0.0010472+0.0026056i,0.00022015+0.0014131i,0.00014976-2.7001e-05i,0.00069941-0.0010247i,0.00012994-0.0012082i,-0.00031889-0.0015701i,-0.00071032-0.0008722i,-0.00089362+0.00030032i,-0.0010965+0.00090414i,-0.0012772+0.0006072i,-0.00044049-0.00031432i,0.00042712-0.0011378i,0.00053151-0.0018023i,1.5063e-06-0.0018879i,-0.00047478-0.0016256i
0.0225+0.010357i,0.013163+0.0037138i,0.0020166-0.0015027i,-0.0034296+0.00013935i,-0.0034307+0.0025442i,-0.0038506+0.0027569i,-0.0028709+0.0026798i,-0.0002837+0.001354i,0.00048234-0.00021687i,0.00067021-0.00011362i,0.00052708-0.00016018i,-0.0010768-3.3997e-05i,-0.0015959+0.0015233i,-0.0015427+0.0024983i,-0.0014852+0.0017756i,-0.0005549+0.0011445i,0.00046143+0.0007813i,0.00044038-0.00034268i,0.00014308-0.0010634i,-0.00061577-0.00053745i,-0.0013594-0.00013367i,-0.0016568+0.00013013i,-0.0012877+0.00023301i
-0.0024909-0.019941i,-0.0021794-0.0086652i,-0.002492+0.0016429i,-0.00054456+0.003391i,-7.7691e-05+0.0013977i,0.00027297+0.0018278i,0.0011091+0.0020192i,0.00039929+0.0011162i,-0.00044034+0.0014768i,-0.00091205+0.0014092i,-0.00084291+0.0016288i,0.00068784+0.0022863i,0.0021605+0.0012361i,0.0010437+6.2507e-05i,1.4183e-05-0.00032667i,0.00059589-0.00037298i,0.00057479-0.00091497i,-0.00019017-0.00050146i,0.00045425+0.0002383i,0.0015734+0.00081807i,0.0017576+0.0014946i,0.0010037+0.0011976i,0.00061306+0.00051128i
-0.016843+0.015078i,-0.008525+0.0069767i,-9.8988e-05+0.00061874i,0.00051051-0.0025867i,-0.0026692-0.00063381i,-0.0025625+0.00027423i,-0.00077626-0.00028354i,0.0005274+0.0017235i,0.0013484+0.0026712i,0.0010749+0.0023324i,0.00055808+0.0015807i,0.00067381-0.00026164i,8.5343e-05-0.0014322i,-0.00097379-0.0021014i,-0.0010981-0.0018199i,-0.00146-0.00015203i,-0.0013492+0.00028093i,5.0749e-05-0.00030369i,0.00065715-0.0013549i,0.00021165-0.0020355i,-0.00019414-0.0026973i,-0.0004201-0.0036324i,-0.00036158-0.0028001i
0.017527+0.014596i,0.0095361+0.0083919i,0.00088962+0.0033864i,-0.0024466+0.0029291i,-0.0016993+0.002418i,-0.0015856+0.001032i,-0.0012585+0.00075896i,-0.0001789-0.00063732i,0.00039166-0.0018528i,0.0002291-0.0010892i,-0.00029864-0.0003264i,-0.00046048+0.00059358i,-0.00059358+0.0012239i,-0.0014361+0.0012508i,-0.0017875+0.0012399i,-0.00069985+0.00071527i,0.00071212+0.00023154i,0.0017887+0.00049192i,0.0017269+0.00087347i,0.00034033+0.00068957i,-0.0010285+0.00030883i,-0.00082352-0.0001962i,-0.00076998+0.00041407i
-0.0010843-0.017537i,0.00026839-0.0081336i,0.00072647-0.00073249i,0.00084415+0.00044776i,0.00013747-0.0001216i,0.00078889+0.0014094i,0.0003784+0.0016075i,-0.0020092+0.00082274i,-0.0023964+0.0011292i,-0.0013249+0.0013841i,-0.0010003+0.0017555i,-0.00015162+0.0018934i,0.0011548+0.00014392i,0.0016194-0.0016787i,0.001632-0.0017159i,0.0010324-0.0011899i,0.0001777-0.0006693i,-0.00026702-0.0010625i,-3.7572e-05-0.0010813i,0.0011326-0.00033504i,0.0014306+0.00090635i,0.00078442+0.0013877i,0.00093507+0.00057209i
-0.023202+0.011123i,-0.014475+0.0046016i,-0.006034-0.00063959i,-0.0036457-0.0017459i,-0.0033255+0.00025032i,-0.001817+0.00067698i,-0.00084082+0.00073004i,9.4423e-05+0.0027028i,0.00079708+0.0032324i,0.0012805+0.0015745i,0.0017373+0.00071963i,0.0013365-0.00052411i,-0.00027313-0.0020848i,-0.0018056-0.0014788i,-0.0019665-0.00096919i,-0.001764-0.00054722i,-0.0012874+0.00072302i,-0.00077872+0.00056532i,-0.00079891-0.00084416i,-0.00079826-0.0017141i,-0.00049569-0.001974i,-0.0002283-0.0019615i,1.9632e-05-0.0017466i
0.01474+0.012135i,0.0052383+0.0091683i,-0.00055223+0.0063356i,-0.0017428+0.0042365i,-0.002115+0.0012917i,-0.0032383+0.00032402i,-0.0021088+0.00090889i,0.00029363-0.00065426i,0.00096307-0.001908i,0.00021731-0.0010445i,-0.00047008-0.001054i,-0.00071359-0.00086811i,-0.00061487+0.00061905i,-0.00047714+0.001315i,-0.0002183+0.0012539i,0.00085501+0.0012013i,0.0012467+0.0011637i,0.00065136+0.0013307i,0.00016796+0.0011517i,-0.00057085+0.00071923i,-0.0018473+0.00048063i,-0.002006-0.00042224i,-0.00080027-0.00089548i
0.0027063-0.025291i,0.0040433-0.015699i,0.0041801-0.0076438i,0.0018307-0.0056327i,-0.0026644-0.0038937i,-0.0035171+1.1635e-05i,-0.0012337+0.0021501i,-0.0014328+0.0023409i,-0.0028263+0.0020787i,-0.0026582+0.0016922i,-0.0018733+0.0019821i,-0.00032088+0.0022511i,0.0013898+0.0010432i,0.0015854-0.00015519i,0.001409-0.00087043i,0.00075687-0.0010585i,0.00073558-0.00091842i,0.0012514-0.00068423i,0.0012835-0.00080256i,0.0011348-0.0011821i,0.001026-0.00079768i,0.0010717+0.00021769i,0.00068505+0.00050493i
-0.023191+0.00834i,-0.014601+0.0022817i,-0.0077612+0.00084599i,-0.0048199+0.0017563i,-0.0019907+0.0032807i,8.4352e-05+0.0023996i,-5.0544e-05+0.0017066i,0.0011137+0.0026074i,0.001899+0.0017694i,0.0015789+0.00060215i,0.0021225-1.2127e-05i,0.0018363-0.00036248i,0.00043446-0.00093654i,-0.0010376-0.001854i,-0.0020321-0.0014451i,-0.0018718+6.1889e-05i,-0.0016357+0.00097795i,-0.0010883+0.0010502i,-0.00050146+0.00051866i,-0.001133+5.7647e-05i,-0.0013659-0.00097516i,-0.00037454-0.0015766i,0.00020054-0.0014653i
0.017399+0.012625i,0.0075306+0.0097841i,0.0019009+0.0074403i,0.0014924+0.0053659i,0.00045554+0.0017173i,-0.0013084-0.00020646i,-0.00028918-7.4944e-05i,0.00069831-0.00038655i,-0.00033535-0.00059283i,-0.00088638-6.301e-05i,-0.0007547+0.00030141i,-0.0010521+0.00021774i,-0.00093083+0.00069804i,-0.00059792+0.00098781i,-0.0013479+0.00060221i,-0.0010454+0.00025688i,0.00045423+0.00040266i,0.0013065+0.0013175i,0.0011777+0.0010808i,0.00082429+8.4825e-05i,0.00036973+0.0002314i,-0.00062451+0.00061727i,-0.0013546+2.7849e-05i
0.0038717-0.026167i,0.0057865-0.016102i,0.0044249-0.0093143i,0.0012844-0.0063741i,-0.0029633-0.0029089i,-0.0039764+0.0012246i,-0.0022239+0.002713i,-0.0021919+0.0018226i,-0.0021565+0.0020139i,-0.0012386+0.0023641i,-0.00027562+0.0019032i,0.0018965+0.0015357i,0.0030305+0.0007913i,0.0021601+0.00016829i,0.0011517-0.00017492i,0.00088269-6.4262e-05i,0.00063762+0.00013116i,0.00020529-0.00061742i,0.00015911-0.0011645i,0.00039534-0.0017203i,0.0003558-0.0012769i,-4.3983e-06+0.00012738i,-0.00014552+0.00054997i
-0.026162+0.0078627i,-0.01819+0.0019826i,-0.012492+0.00138i,-0.0086614+0.0031696i,-0.0035237+0.0045182i,0.00050035+0.0036228i,0.0010253+0.0029019i,0.0012699+0.0033638i,0.0014331+0.0028994i,0.0010714+0.0014717i,0.0010958+7.4511e-05i,0.00088875-0.001152i,-0.00018618-0.0019328i,-0.00063369-0.0017702i,-0.001071-0.0016094i,-0.001733-0.0001324i,-0.00069993+0.001172i,0.00069883+0.0011374i,9.5371e-05+0.00058385i,-0.001451-0.00032892i,-0.001389-0.00035198i,0.00035103-0.00066754i,0.0012706-0.0011204i
0.019877+0.021439i,0.0094032+0.016967i,0.0065186+0.012i,0.0061598+0.0071384i,0.0032667+0.0012081i,-3.6949e-07-0.0015466i,-0.00077273-0.00024312i,0.00045998-0.00037066i,-0.000119-0.0017483i,-0.0013244-0.0011845i,-0.0011736-0.00012778i,-0.0016916+0.00017654i,-0.0019395+0.00012944i,-0.0017013+0.0003709i,-0.0015427+0.00053346i,-0.0005181+0.00043258i,0.00097724+0.00047989i,0.0017131+0.00053035i,0.0014321+0.00078018i,0.00089143+0.0011981i,0.0010099+0.0012331i,0.00023981+0.00022583i,-0.00048266-0.0011981i
0.011519-0.027296i,0.01138-0.017704i,0.0079293-0.01403i,0.0021005-0.012142i,-0.0033216-0.0058265i,-0.004515+0.0006345i,-0.0035028+0.0024972i,-0.0034194+0.0021113i,-0.0030038+0.0023143i,-0.0013453+0.0022106i,-0.00044239+0.0020233i,0.00017443+0.0011383i,0.00047753-0.00056017i,-6.0819e-05-0.00069454i,-3.4031e-05+0.0002085i,0.00042129+0.00062446i,0.00047637-1.5405e-05i,0.00019664-0.00080085i,-0.00032499-0.00027114i,-0.0012531-0.00058892i,-0.001593-0.0015262i,-0.00046348-0.001027i,0.00093374+0.00011174i
-0.03271+0.0033117i,-0.02426-0.0013076i,-0.019355+0.00062259i,-0.014059+0.0044214i,-0.0065286+0.006229i,-0.0011417+0.0049977i,0.0012972+0.0042355i,0.0021887+0.0042521i,0.0013819+0.0025021i,0.00034753+0.00090234i,0.00092376+0.00060443i,0.00095293+0.00020422i,-0.00012219-0.00069727i,-0.00099242-0.0014642i,-0.00136-0.0015128i,-0.00081723-0.0017692i,-0.00041049-0.0014088i,-0.00033749-8.482e-05i,-6.2857e-05+0.0010462i,3.1585e-06+0.0019876i,-0.00026976+0.0010778i,0.00018736-1.5232e-05i,0.00044088-0.00040508i
0.01956+0.028313i,0.012474+0.022825i,0.011157+0.016849i,0.01182+0.0083368i,0.0072692-0.000261i,0.0013264-0.0039727i,-0.00034892-0.0034879i,-0.00025251-0.0021794i,-0.0011897-0.0012139i,-0.0016117-0.00035684i,-0.0010992-0.00050473i,-0.00053816-0.00037618i,-0.00069798+0.00038661i,-0.0018081+0.00040904i,-0.0017975+0.00061109i,-0.00049586+0.0010526i,0.00032595+0.0012485i,0.00048461+0.00075591i,0.0013543+0.00010389i,0.0016733-0.00032193i,0.0011722-0.00072971i,0.00094101-0.000603i,-0.00015687-0.00010854i
0.014612-0.030711i,0.013352-0.021141i,0.0066458-0.016584i,-0.0012549-0.013263i,-0.0075731-0.0054729i,-0.0083242+0.00069859i,-0.0061195+0.0015506i,-0.0044181+0.0013213i,-0.0026047+0.0022242i,-0.00070567+0.0027794i,0.00037497+0.0028379i,0.00085715+0.0020782i,0.0010005+0.0004455i,0.00056749-0.00041603i,2.0672e-05+1.328e-05i,-0.00015411+4.9338e-05i,-0.00035387-0.00025369i,6.124e-06-0.00087316i,-0.00022276-0.0015527i,-0.0011391-0.0016457i,-0.0011063-0.001228i,-0.00072523-0.00063338i,-0.00020932+0.00057037i
-0.038981+0.0025136i,-0.029029-0.00087265i,-0.020972+0.0042397i,-0.013249+0.0090819i,-0.0050773+0.0094759i,-9.5454e-07+0.0070799i,0.0014488+0.0051646i,0.0017638+0.0042439i,0.00088133+0.0022585i,-0.00015763+0.0004155i,7.2867e-05-0.00026576i,0.00025376-0.0010946i,0.00017955-0.0014459i,-0.00062575-0.00085921i,-0.0017021-0.00053552i,-0.0017507-0.00034895i,-0.0014536-0.00029195i,-0.001018-8.3328e-05i,-0.00028068+0.00087051i,-0.00028342+0.00141i,-0.00090158+0.0012371i,-0.00071969+0.00096507i,-0.00015121+0.00081781i
0.020366+0.031952i,0.011284+0.023596i,0.010667+0.014699i,0.012227+0.0055809i,0.0081367-0.0023167i,0.0030153-0.0045835i,0.0018372-0.0038743i,0.0015097-0.0031595i,-0.00048233-0.0018476i,-0.0025111-0.00040598i,-0.0027486-5.5668e-05i,-0.0017693-0.00046874i,-0.00094422-0.00071865i,-0.00071704+3.6441e-05i,-0.00081053+0.00037153i,-0.00032482+0.00074927i,6.8137e-05+0.0011277i,0.0011153+0.00016361i,0.0022587-0.0012055i,0.0027752-0.0017924i,0.0017299-0.0017713i,0.00047296-0.0014404i,0.00018877-0.00074125i
0.019492-0.036849i,0.015551-0.02509i,0.0059407-0.019011i,-0.0024791-0.01453i,-0.0079213-0.0051274i,-0.0080427+0.0013607i,-0.0057585+0.0017489i,-0.0046396+0.0014903i,-0.0026603+0.001938i,2.7897e-05+0.0021837i,0.0016852+0.0024485i,0.0021045+0.0024406i,0.0016814+0.0014192i,0.00032444+0.00048643i,-0.00014886-0.0002091i,0.00085274-0.00078998i,0.0014584-0.00070802i,0.00042628-0.00099728i,-0.00079297-0.001067i,-0.0017652-0.00118i,-0.0018364-0.0013253i,-0.00082747-0.00054136i,-0.00054153+7.8213e-05i
-0.042559-0.0037823i,-0.030812-0.0062498i,-0.021166+0.0017337i,-0.012939+0.0084161i,-0.0045881+0.008038i,-0.00013186+0.0062393i,0.0014574+0.0061268i,0.0024337+0.0048767i,0.0022087+0.0020284i,0.00050427+0.00030001i,0.00035267-7.1207e-05i,0.0014644-0.00028037i,0.00084788-0.00044593i,-3.4284e-05-0.00050087i,-0.00077307+7.4732e-05i,-0.001692+0.00059466i,-0.0019753+0.000958i,-0.0010046+0.0015472i,-0.00020733+0.002566i,-1.379e-05+0.0030561i,0.0006924+0.0029143i,0.0011873+0.0021751i,0.00048999+0.0014011i
0.021475+0.038429i,0.013114+0.027258i,0.012092+0.016079i,0.011056+0.0055842i,0.0053424-0.0030714i,0.0020847-0.0048015i,0.002453-0.0029838i,0.0012472-0.0017014i,-0.0012734-0.0004747i,-0.0017895-0.00018055i,-0.001397-0.00033607i,-0.001034+0.00052371i,-0.00048322+0.0004749i,-0.00070579-0.00014671i,-0.00081036+0.0008683i,-2.3665e-05+0.0016545i,0.0011689+0.0014522i,0.0010654+0.00075698i,0.0018131-0.00087364i,0.003133-0.0024893i,0.0024388-0.0025108i,0.00099164-0.0017291i,0.00028052-0.001117i
0.028296-0.039766i,0.021528-0.028186i,0.0074607-0.021923i,-0.0037133-0.015943i,-0.0090574-0.0065306i,-0.0095153-0.00051487i,-0.0082144+3.1798e-05i,-0.0059513+0.00035062i,-0.0023571+0.0010692i,0.00033999+0.0013637i,0.00073508+0.0015419i,0.00055829+0.001414i,0.00060381+0.00059618i,0.00067629-0.00044673i,0.00088012-0.00031502i,0.00085182-0.00068358i,0.0011084-0.0011111i,-7.021e-05-0.00073886i,-0.0023175-0.00112i,-0.0037944-0.0012913i,-0.0041231-0.00021433i,-0.0034488-0.0001423i,-0.0017995-0.00023651i
-0.048095-0.0052214i,-0.033385-0.0056261i,-0.021793+0.0028806i,-0.011067+0.0088176i,-0.0022293+0.0080708i,0.000165+0.0062615i,0.000346+0.0068995i,0.0014382+0.0058047i,0.0017163+0.0014478i,0.00066082-0.00078526i,0.00013706-0.00066665i,0.00036295-0.00093305i,0.00087009-0.00073892i,0.00045728-0.0003712i,-0.00036152+0.00010855i,-0.00039811+0.00039595i,-0.00038588+0.00076271i,-0.00064251+0.00099003i,-0.00029314+0.001368i,0.00017235+0.0020149i,0.0011334+0.0025894i,0.0013856+0.0026342i,4.8957e-05+0.0013622i
