0.0015974+0.0003971i,0.0024248-0.00074659i,0.0018297-0.0026418i,3.6992e-05-0.0033083i,-0.0018962-0.0021078i,-0.0024427+0.00024792i,-0.0011613+0.0013346i,0.00025564+0.00044428i,0.00044663-0.00068526i,0.00056898-0.0014854i,0.0012354-0.00099002i,0.0014361-0.00048504i,0.00055515-0.00084246i,6.5635e-05-0.00095912i,0.0004346-0.00047024i,0.00015671-4.44e-05i,-0.0004054+0.00063717i,-0.00029089+0.0010156i,0.00041128+0.0012469i,0.00028002+0.00083755i,-0.00031055-0.00015039i,-0.0001657-0.00079797i,0.00026161-0.00082404i
0.001736+0.00091403i,0.0023908+0.0011141i,0.0023392+0.00073245i,0.00025263-0.00045347i,-0.0013192-0.0014887i,-0.001396-0.0023203i,-0.00074636-0.0022746i,-0.00018212-0.0015216i,-0.00063929-0.00068892i,-0.00099566+0.00031092i,-0.00088516-0.00015973i,-0.0003169-0.00079345i,0.00042116-6.1262e-05i,0.0011408-0.00014908i,0.00078057-0.00067155i,0.00018665-0.00075731i,0.00093393-0.00031161i,0.0014676+0.0004134i,0.0014254+0.00035538i,0.00095238-1.1268e-05i,0.00065847-0.00013032i,0.00014469-0.00020476i,-0.00028374-0.00026082i
-0.00089182-0.00068811i,-0.0013519-0.00090817i,-0.0022688+6.7469e-05i,-0.0018386-0.00056622i,-0.0006063-0.0014703i,3.2488e-05-0.0012292i,0.00038787-0.0010491i,-0.00042299-0.00086593i,-0.0017351-0.00031896i,-0.0019411+0.00059699i,-0.0013368+0.0011252i,-0.00047436+0.0011998i,-0.00010364+0.00066584i,0.00013397+0.00037063i,0.00065495+0.00025579i,0.0003485+1.7544e-05i,0.0004193+0.00049789i,0.00073657+0.0011415i,-5.4248e-05+0.00097189i,-0.00033325+0.00020888i,0.00032597-0.00042644i,0.0009242-0.00028107i,0.00078804-0.00017632i
0.0014118+0.00069563i,0.0021395+0.00024166i,0.0023927-0.00018017i,0.0011291-0.0005986i,-0.00030027-0.00040481i,-0.0010176-0.00084599i,7.4202e-05-0.0016219i,0.00052707-0.0011903i,0.00013093-0.00017656i,0.00017436+0.00023508i,0.00014606+2.7013e-05i,0.0001229-0.00034622i,-0.00015602-0.00056046i,-0.00026349-0.00038585i,-0.00035658-0.00019309i,-0.00059421-0.00015505i,-0.00032792+0.0004142i,-0.00041119+0.0014471i,0.00027384+0.0010421i,0.00059284-0.00024948i,0.00036569-0.00045628i,9.3493e-05+0.00026143i,-0.00060444+0.00073347i
-0.0001269+0.00013813i,0.00095662-0.00033921i,0.0012418+0.00035238i,-0.00027666+0.0012939i,-0.0019124+0.0007262i,-0.0012741+8.9416e-05i,-0.00079668-0.00031197i,-0.00097414-0.00090449i,-0.00079295-0.0011306i,-0.00039394-0.0013149i,-0.00021755-0.0012564i,0.00071541-0.0011364i,0.00057689-0.00032312i,-0.00027852-6.1591e-05i,-6.0276e-05-0.00064867i,-8.0309e-05-0.00044822i,-5.2572e-05+7.6558e-05i,0.00070353-0.00012024i,0.00077799-0.00025031i,-0.00014331+0.00027271i,-0.00024513+0.00074745i,0.00015309+0.00059919i,-0.0003045+0.00038968i
0.0003652-0.001791i,-0.00088133-0.00092544i,-0.0013536-0.00059351i,-0.001198-0.00075431i,-0.0019628-0.00076041i,-0.0018434-0.00056154i,-0.00086513-0.00096009i,-0.00064921-0.00098243i,-0.00066955-0.00062768i,-0.0010949-0.00070465i,-0.00076422-0.00051342i,-0.00033928-0.00059977i,-0.00034964-0.00027277i,-0.00022762+0.00027115i,-8.9403e-05+0.00077846i,0.00035324+0.00049618i,0.00046223+0.00025145i,0.00037839+0.00075403i,9.3386e-05+0.00058144i,-0.00032299+0.0011063i,-0.00045752+0.00073613i,-0.00043988-0.00097389i,0.00012424-0.00034257i
0.001832-0.00012811i,0.001448-0.00027315i,0.0017416-0.0020316i,0.00024075-0.0019538i,-0.002013-0.0010708i,-0.0019808-0.00083701i,-0.0011559-0.00065103i,-0.0010964-0.0010241i,-0.00070578-0.00083372i,0.00019423-0.00037403i,0.00086153-0.00051298i,0.00057138-0.0005378i,0.00028052-0.00050713i,0.00017224-0.00034084i,0.00030014+0.00010041i,-0.00015351+0.00017124i,-0.00095049+0.00011894i,-0.00066549+0.00079326i,-8.3579e-05+0.0010761i,0.00036999+0.00034019i,-0.0001017-0.00021665i,-0.00076348-4.2551e-05i,-0.00026081-2.0756e-05i
0.00022538-0.0023315i,-0.00068787-0.0012883i,-0.0018985-0.0013017i,-0.0017808-0.00086641i,-0.0019619+0.00011049i,-0.0013008-8.6895e-05i,-0.00011875-0.0014185i,-0.00023246-0.002219i,-0.0006937-0.0014479i,-0.0009012-0.00058831i,0.0002038-0.00041064i,0.0013414+0.00015308i,0.00023354+0.00094753i,-0.00080544+0.0011996i,-7.9407e-05+0.00081421i,0.00055002-0.00010947i,0.00085355-0.00085546i,0.00041019-0.00062151i,-0.0002042+0.00049341i,-1.6889e-05+0.00094386i,-0.00014253+0.00073211i,-0.00023473+0.0015103i,-4.4564e-05+0.00105i
0.0028224+0.00097475i,0.0045301+0.00032284i,0.0053215-0.00047445i,0.0030385-0.0011909i,-7.0941e-05-0.0016223i,-0.0013404-0.0009206i,9.6896e-05-0.00041744i,0.0013652-0.0013021i,0.0011251-0.0016324i,0.00044499-0.0008875i,0.00025336-0.00062716i,0.00060663-0.0006912i,0.00029414-0.0002642i,0.00022302-0.00018415i,0.00031178-0.00064268i,-0.00014339+1.8799e-05i,-0.00010117-4.8896e-05i,0.0003122-0.00069012i,0.00054736-0.00042898i,-3.2788e-05-3.9055e-05i,-0.00042839+6.4472e-05i,0.00032095-1.6414e-05i,0.00043889-0.00064516i
8.2681e-05-0.00090866i,-0.00024817-0.00032944i,-5.5092e-05-0.00032648i,-0.0011578-0.00035361i,-0.0018634+0.00071353i,-0.0010911+0.0010584i,-0.00012531-0.00012377i,2.4361e-05-0.00084103i,-0.00025724-0.00087785i,-0.00026979-0.00065i,-0.00013649-0.00019391i,0.00052113-0.00017657i,0.00076191+0.00029506i,0.0001644+0.00054416i,-0.00024378+0.00042118i,8.3565e-05+0.00046494i,0.0005636+0.00027544i,0.00056001+0.00044081i,0.00046231+0.00026157i,0.00016913-0.00020407i,-0.00011001+0.00037234i,0.00011599+0.0005729i,-0.00011549-0.00028961i
-0.0013884+0.0023217i,-6.9343e-05+0.0025274i,-1.7794e-07+0.0037374i,-0.00051774+0.003279i,-0.000249+0.0013137i,0.00039168-0.00033635i,2.5701e-06-0.0011099i,-0.00065003-0.00048932i,-0.00029398-0.00050066i,0.00056653-0.00066813i,0.00032233+6.448e-05i,-0.00061462+0.00070753i,-0.00033153+0.0002455i,6.0934e-07+0.00039947i,-0.00057185+0.00063188i,9.686e-05+0.00050803i,0.0011723+0.00067303i,0.0015186+0.00014108i,0.00040619-0.00024806i,-0.00037562-0.00087075i,-0.0002913-0.00060997i,-0.0001645+0.00017977i,0.00036395-8.7783e-05i
