-0.0029945+0.0023888i,-0.0024902+0.0025946i,-0.00243+0.0018882i,-0.0020376+0.0015145i,-0.0010465+0.0012139i,-0.0002975+0.00056545i,-0.00072867+0.0011202i,-0.00023745+0.001491i,0.00089045+0.0010265i,0.0019204+0.00073519i,0.0017942+0.00081807i,0.00049792+0.00079585i,0.00011047+0.00082023i,-0.00027129+0.00045389i,-0.00034287+0.00050469i,0.00020577+0.0008251i,0.0007069+0.00045036i,0.00076266-0.00048639i,3.0185e-05-0.00079884i,-0.00023398-5.5796e-05i,-0.00025228-0.00016781i,-0.00040207-0.0002062i,-0.00014266-9.6008e-05i
0.0012115+0.0015867i,0.0017577+0.0011155i,0.0024891-0.00037324i,0.0030501-0.00043591i,0.0026872-0.00046609i,0.0017639-0.00011672i,0.00056949+0.00084721i,0.0003252+0.00091037i,0.00041459+5.4551e-05i,0.00021462-0.00059779i,0.00090896-0.00064403i,0.0012511+7.5002e-05i,0.00018854+3.5726e-05i,-0.00073768-0.00084915i,-0.00013835-3.1197e-05i,0.00031148+0.00051202i,-7.1723e-05-0.00023951i,-0.00081539-0.00072523i,-0.0002066-0.00048218i,0.00068348-2.4727e-05i,0.0004766-6.0331e-05i,0.0001316+0.00024086i,0.00012473-8.8015e-05i
0.00045218-0.0017565i,-0.00022937-0.0015735i,-0.0023963-0.00088829i,-0.0030693-0.00021354i,-0.0015725-0.00062185i,-0.00078077-0.00015655i,-0.0007717+0.00067158i,-0.00053833+0.00040358i,1.6332e-05+0.0001946i,0.00011933+9.5294e-05i,-0.0003732-0.00048524i,-0.00050377-0.00055081i,-0.00062209-0.00023961i,-0.00020966-3.2812e-05i,-0.00060529+3.5944e-05i,-0.0012481-0.00059092i,-0.0010077-0.0010731i,-0.00041692-0.0010439i,-0.00023487-0.0009875i,-0.00014504-0.00045802i,-0.00016425+0.00063954i,-0.00014395+0.00061936i,0.00038731+0.00012043i
-0.00012417+0.0025156i,0.0021488+0.0017163i,0.0040565+0.00017738i,0.0034152-0.00075114i,0.0019208-0.00090459i,-9.9112e-05-0.00066122i,-0.00074654-0.0006973i,-0.00029996+0.00015771i,0.00045077+0.0012809i,0.00067329+0.00081737i,-0.00082917-0.00017634i,-0.0016802-0.00028219i,-0.0014884-0.00043522i,-0.0012029-0.00088685i,-0.00052804-0.00061939i,-0.000764-0.00016648i,-0.00048956+0.00019721i,0.00021583+0.00020807i,-0.00038923-0.00034557i,-0.00027469-0.00064668i,-0.00021804-0.00018489i,-0.00022636-7.0338e-05i,0.00015512-0.00018354i
0.0020563-1.5838e-06i,0.0015556-0.00054642i,0.00085544-0.0014048i,0.0007249-0.0017868i,0.00061162-0.00068835i,-4.6871e-05+0.00040686i,-0.00020107+0.00029479i,-0.00021397+0.00032369i,-0.00032691+0.00015859i,0.00014708-0.00052517i,0.00065966+2.4022e-05i,0.00054658+0.00044998i,0.00055801-3.9502e-05i,0.00034475-0.00017904i,-0.00026621-0.00070648i,-0.00044681-0.0011877i,-5.786e-05-0.00024971i,-8.4452e-05+0.0011066i,0.00031468+0.00089997i,0.00077588-6.2879e-05i,0.0001807-9.6007e-05i,-8.7862e-05+0.00067555i,0.00031387+0.00094563i
7.818e-05+0.00012644i,0.0003847-0.000142i,0.00050904-0.0014314i,0.00013124-0.0013376i,0.00013793-0.00035924i,-0.00014704+0.00033392i,-0.00072213+0.00070728i,-0.00058487+0.0007952i,-0.00022711+0.00072069i,-0.00023483+5.4708e-05i,0.00016089-0.00023548i,0.001043+0.00047017i,0.0010571+0.00012729i,0.0006347+2.3684e-05i,0.00040578+0.00083391i,1.7345e-05+0.00053672i,5.6825e-05-0.00050913i,-0.00012015-0.0011561i,-3.5908e-05-0.00080992i,0.00089721-0.00046845i,0.0012362-3.004e-07i,0.0006927+0.00068061i,0.00076124+0.00094399i
-2.9084e-06-0.00097864i,0.00086195-0.00051986i,0.00083082-0.00098965i,0.0013544-0.00061076i,0.0014506+9.0144e-05i,0.0011921+0.00015897i,0.00070775-0.00050911i,-0.00048233-0.00071483i,-0.00038531+0.00020012i,0.00059966+0.001337i,0.00061185+0.0013924i,2.7016e-05+0.0007309i,-0.00020181+0.00032047i,0.0001882-0.00014456i,0.00077485-0.00034735i,0.00045308-0.00043127i,4.062e-05-0.00043344i,0.00021513-5.4504e-05i,0.00037226-0.00076768i,0.00018561-0.0011244i,0.0004175-0.00073908i,0.00078824-0.0011559i,0.00080176-0.00099121i
-0.00044717+0.0026377i,-0.00010195+0.0025884i,0.00092032+0.0019853i,0.0020001+0.00082694i,0.0022756+0.00040418i,0.0011535+0.00033244i,-0.00012518+3.3509e-05i,-0.00043161-0.00034727i,0.00018167-0.00021957i,0.0011196+0.00037873i,0.00073901+0.00019238i,0.00011078-0.00048907i,-2.3127e-05-0.00035927i,5.0146e-05-0.00038606i,-6.6047e-06-0.00056618i,0.00067388-0.00021845i,0.0012933+0.00010769i,0.00073654+0.0003575i,-0.00017647+1.716e-05i,-0.00074604-0.00038475i,-0.00035524-0.00062998i,0.00042485-0.00014477i,0.00028078+0.00083333i
0.0011639+0.0010445i,0.001996+0.0014415i,0.0022508+0.00053975i,0.0022881+0.00025141i,0.0014069+0.00077494i,0.00063746+0.00065312i,-0.00013589+3.9476e-05i,-0.00021381-0.00032934i,-0.0001014-0.00022136i,-0.0003011+3.9981e-05i,-0.00073634-0.00038218i,-0.00068614-0.0011477i,-0.00020398-0.0012746i,1.1941e-05-0.0010107i,0.0001179-0.0011888i,0.00042585-0.00068618i,0.00063668-0.00011141i,0.00069125+0.00016472i,0.00073808+0.0010559i,0.00075964+0.00040957i,0.00056894-0.00056322i,0.00022845-0.00049302i,9.0069e-05-0.00013333i
-0.0016955-0.0016406i,-0.0022854-0.0010868i,-0.0016964-0.00058197i,-0.00010403+0.00023195i,0.0006332+0.00036272i,0.00079086-6.2612e-05i,0.00034135-6.7649e-06i,-0.00031055-0.00025279i,-0.00013867-1.3772e-05i,0.00026775+0.00049254i,-0.00063349+0.0004313i,-0.0010109+9.6034e-05i,-0.00071117-0.0011994i,6.4139e-05-0.0022089i,0.00076973-0.00086096i,-0.00027386+0.00055005i,-0.0005032+0.00051304i,-0.0005827-0.00030921i,-0.00058688-0.00042594i,-0.0005452-0.00040788i,-0.00042812-0.00031398i,-0.00023476+0.00067537i,-0.00020758+0.00054808i
0.0026713+0.00032296i,0.0034365-0.00064998i,0.0034086-0.0024031i,0.0018584-0.0022224i,-0.00011341-0.00091738i,-0.00063835-7.3118e-05i,-0.00031423+5.252e-05i,0.00018748+0.0004546i,0.00038471+0.00058002i,-0.00054937+0.0001042i,-0.001119+0.00093753i,-0.0011175+0.0014419i,-0.00080777-5.3479e-05i,-0.00054387-0.00068332i,-0.00015043-0.00077936i,-2.2783e-05-0.001486i,-0.00041141-0.0006869i,-0.00043394+2.5943e-05i,0.00051582-0.00048547i,0.0013239-0.00015656i,0.0012123+0.00048077i,0.00073686+6.5686e-05i,0.00060141-0.00031598i
-0.00021421+0.00048822i,0.00046956+0.00088624i,0.00017857+0.0011999i,0.0008034+0.0014339i,0.0014135+0.0022006i,0.00093562+0.0020244i,0.00011446+0.00055363i,0.00028701-0.0001311i,0.0010463+0.00072358i,0.0010298+0.0009639i,0.00056613+0.00071373i,-7.097e-05+0.0003428i,-0.00091913-0.00057104i,-0.00078854-0.0007354i,0.00011196-0.00012224i,0.00039748-0.00032927i,0.00045641+0.00057191i,0.00078417+0.00078464i,0.00075052+0.00010554i,0.00014022+0.00018726i,-6.5277e-05-0.00017011i,0.0002299-2.2425e-05i,0.00024998+4.6402e-05i
-0.0004959+0.0014461i,-0.00093279+0.0012312i,-0.0015329+0.00096632i,-0.00041315-0.00013091i,0.0015791-0.00068852i,0.0020958-0.00023656i,0.00075299-0.00049431i,-0.00015752-0.00099074i,0.00028286-6.3267e-05i,9.8625e-05+0.00066347i,0.00019498+4.9316e-05i,0.00056875-0.00031734i,0.00023626-0.00076274i,0.00021448-0.001281i,0.00044451-0.0011386i,0.00071063-0.00031374i,0.0007394-0.00015162i,0.00031508-0.00050969i,-0.00041337+0.00034864i,-0.00043136+0.00099443i,-0.00031556+0.00049716i,-0.00044539-0.00079491i,-0.00035048-0.00051351i
0.00011357+0.00076579i,0.0010496+0.00022805i,0.0025083-0.00080172i,0.002921-0.00015225i,0.0012526+0.00026452i,-0.00022832+0.00026147i,-0.00054668+0.00015369i,-0.00051444+0.00030412i,-0.00042806-0.00045991i,-0.00012403-0.00066266i,0.00046986+0.00079135i,0.00087574+0.0011446i,0.0010689+0.00042836i,0.00045151+0.00076475i,-0.00029414+0.00066062i,-0.00032621+6.1657e-05i,-0.00044044-0.00048727i,-0.00083079-0.00066549i,-0.0010049-0.00015392i,-0.00037003-0.00043364i,0.00033403-0.00069937i,0.00062132-0.00047446i,0.00064673-0.00014259i
-0.00238-0.0015509i,-0.0025015-0.001595i,-0.0023549-0.00069939i,-0.00052893+0.00095119i,0.0014879+0.00047128i,0.0016834-0.00090495i,0.00049626-0.0008601i,-0.00061684+2.9946e-05i,-0.00057991+4.7198e-06i,0.00048663-0.00013496i,0.00060977-0.0001118i,-7.3647e-05-0.0010463i,-0.00025291-0.0012318i,-0.00033462-0.00097779i,-3.5088e-05-0.0010927i,0.00014603-0.00091903i,-0.00021785-0.00029386i,-0.00078094+0.00031846i,-0.00049916+8.1753e-05i,0.00011119-0.00047195i,-6.6748e-05-0.00075238i,-0.00017767-0.00082972i,-2.114e-05-0.0005021i
-0.00076181-0.00082119i,-1.3979e-05-0.00061892i,-0.00048744+0.00014474i,0.00010411+0.00023644i,0.00017155+0.00059576i,-0.00037666+0.00056057i,-0.00069522+3.3426e-05i,-0.0011254-0.00021883i,-0.00066715-7.0947e-05i,3.7428e-05+0.00026666i,-8.4104e-05-4.6982e-05i,-0.00022952-0.00023136i,-6.0788e-05+9.0566e-05i,3.2446e-06-0.00047941i,-0.00013121-0.0013877i,-0.00030901-0.0010197i,0.00018169-5.9385e-05i,0.00034411+3.6522e-05i,7.9959e-05-0.00069712i,0.00031024-0.00052566i,-0.00013345+0.00012879i,-4.58e-05-6.3178e-05i,0.00096463-0.00044965i
0.00086997+0.0028936i,0.00021716+0.0017666i,0.00032518+0.0014987i,0.00048041+0.001626i,0.00017379+0.00078758i,-0.00053188+0.00018077i,-0.00068615+0.00074266i,-0.00048819+0.00089529i,-0.0004567+0.0011278i,-0.00038659+0.00080066i,-0.00075541+0.00013604i,-0.00097713+0.00046725i,-0.00046307+0.00048766i,-0.00034344-8.2513e-06i,-0.00049249-0.00011608i,-0.00014238+5.7238e-05i,0.00062553+0.00012619i,0.00088102+0.00010845i,0.00052527+0.00034263i,-8.35e-05+0.00027396i,0.00019762+8.0878e-05i,0.00036147-0.00010554i,-0.00013864+0.00054001i
5.289e-05+0.001608i,0.00082342+0.0015236i,0.0023822+0.00084535i,0.003164+0.0004024i,0.0022329+0.00077557i,0.0012015+0.00051204i,0.00043912-0.00028684i,0.00039919-0.00064069i,0.00049245+5.6842e-06i,-0.00016475+3.5225e-05i,-0.00050008-0.00030891i,-0.0001226+0.00072689i,0.00083974+0.00043063i,0.00048726-0.00084746i,-9.2121e-05-0.00061742i,0.00044735+2.2966e-05i,9.575e-05-8.7584e-05i,-0.00055648-0.00027291i,0.000429-0.00026747i,0.00054701-0.00026534i,-0.00035968-0.00076609i,-0.0004536-0.00061569i,-0.00016249+0.00028733i
-0.00075362-0.00064904i,-0.0016159+0.00091364i,-0.0015409+0.0014954i,-0.00011325+0.0013342i,0.00036089+0.00079151i,9.9244e-05+0.00023962i,-0.00029017+0.0001008i,-0.00021593+0.00047992i,-0.00063256+0.00056772i,-0.0013442+0.00056326i,-0.00098594+0.00012605i,-0.0003053+2.3943e-05i,8.5712e-06+0.0002323i,1.1907e-05+0.00081141i,-0.00048865+0.00028702i,-0.00050626-0.00029903i,-0.00028775-0.0004544i,-0.00076416-0.00085111i,-0.00070708-0.0016041i,-0.00024493-0.0019258i,0.00049252-0.0011904i,0.00056308-0.0006929i,7.0026e-05-0.0010882i
0.0030726+0.0011679i,0.0025736-0.00091157i,0.0026276-0.0022228i,0.0023491-0.0024217i,0.0014336-0.0024155i,-0.00051179-0.0014111i,-0.0012402-0.00027182i,-0.00078646-0.00053279i,0.00052892-0.00082782i,0.001545-0.0004101i,0.00098647-0.00043096i,1.4792e-05-0.00049547i,-0.00015313-0.0002852i,0.00059228-0.00071763i,0.001187-0.0011835i,0.00094327-0.0012589i,0.00091409-0.00099462i,0.00066652-0.00049465i,0.00015547-0.00052995i,1.77e-05-0.00092465i,-4.9815e-05-0.00026896i,-0.0001446+0.00035262i,-0.00015366-0.00022204i
-0.00039063-0.00056229i,-0.00041347+0.00055249i,-0.0012368+0.0011307i,-0.00049397+0.0010738i,-0.00028252+0.00086759i,-0.00029537+0.0010653i,-6.882e-05+0.00036012i,-0.00024696+0.00049215i,-0.00020625+0.001279i,-0.00015026+0.00092055i,-0.00031782-0.00020359i,4.7308e-05-0.00067488i,0.00044982-0.00091222i,0.00076104-0.001269i,0.00076255-0.00019716i,0.0003221+0.00035917i,0.00031394-0.0003685i,0.00027339-0.0006112i,-0.00012783-0.00036846i,-0.00022747+0.00017986i,-0.00036045+0.00016719i,-0.00079513-5.3045e-05i,-0.00068254+2.9646e-05i
-0.00016813+0.0014646i,-0.001346+0.00085313i,-0.00086354+2.8333e-05i,0.00031503-0.0003826i,-0.00010403-0.00010235i,-0.00036907+0.00059845i,-8.1531e-05+0.00019053i,-0.00049687+0.00074908i,-0.0011326+0.0020741i,-0.00052375+0.0015055i,-0.00031579+0.00020636i,-0.00074115-0.00050119i,-3.2356e-05-0.00046223i,0.0004827-0.00016469i,0.0002538-7.3273e-05i,-2.3673e-05-0.00024343i,-0.00036617-0.00018265i,-0.00067028-0.00054222i,-0.00030151-0.00074504i,4.4379e-05-0.00051787i,-0.00031587-0.00010478i,0.00028963+0.00013936i,0.00011149+0.00017902i
-0.00024477-0.0029588i,0.0007398-0.0032641i,0.0020201-0.0013875i,0.0023058+0.00031634i,0.0023931+0.00068115i,0.0020709+0.00067171i,0.00077612+0.00090182i,-0.00014833+0.0009126i,0.0001141+0.00086081i,0.00066657+0.00052097i,-0.00033058+0.00041334i,-0.00096958+0.00056578i,-0.00086149+0.00039627i,-0.00060117+0.00019743i,3.6184e-05+7.4972e-05i,6.5875e-05-1.7779e-05i,-0.00029514-0.00012978i,0.00056864-0.00010163i,0.00049302+6.4449e-05i,-0.00023837-0.00059604i,-1.828e-05-0.00059227i,-5.198e-05-1.5723e-06i,-0.00032089-5.232e-05i
0.00068084+0.0018684i,0.00074007+0.001457i,0.00032441+0.00072479i,0.00047612-0.00060381i,0.00059199-0.0014349i,0.00027439-0.00037957i,2.9241e-05+0.00047295i,-0.00028651+0.00025058i,4.3875e-05+8.0664e-05i,0.00047083+0.00028834i,0.00075137+0.00058647i,0.00045332+0.00065147i,2.4078e-05+0.00038187i,-0.00045263-1.9935e-05i,-0.0004258-0.00039027i,0.00014313-3.0187e-05i,-0.00044033+0.0010293i,-0.00061501+0.0010625i,0.00026069-0.00028556i,0.00060397-0.00066353i,3.7814e-05+0.00016498i,0.00023041+0.00021723i,0.0004595-0.00049519i
-0.0010982-0.0028628i,-0.00029483-0.0025545i,-0.00074144-0.0013453i,-0.0007272+0.00057092i,0.00025698+0.00092271i,0.00085201+0.00018224i,0.00084448-0.00066946i,0.00015539-0.00014521i,-0.00054582+0.00070875i,7.6842e-05+0.00022567i,0.001193-0.00061638i,0.00068313-0.00048983i,0.00043159+7.4023e-05i,0.00081065+0.00041722i,0.00073426+0.00038945i,0.00022437+0.00051314i,-0.00045804+0.00068547i,-0.00048695+0.00044334i,-0.00023699-0.00012558i,-0.00015915-7.9582e-05i,0.00038093-0.00030888i,0.00072756-0.00044236i,0.00040198+0.00036537i
-0.00045161+0.0031941i,0.00054469+0.0040124i,0.0016838+0.0043506i,0.0021379+0.0029021i,0.0023891+0.0017665i,0.0010184+0.00071304i,0.00016563-0.00026211i,0.00038787+0.00020286i,0.00037693+0.00035455i,0.00060833+0.00050362i,0.00041497+0.00040638i,-0.00037907+3.798e-05i,-0.00035172+0.00036895i,0.00020094-0.00016273i,0.0012519-0.0011267i,0.0018745-0.00080706i,0.00081674+0.00041312i,0.00072136+0.00043273i,0.0010644-0.00065641i,0.0011563-0.00083727i,0.00085851-0.00068143i,0.00057573-0.00068585i,0.00075683-0.00082964i
-0.0016187-0.002481i,-0.0020723-0.0022336i,-0.0018111-0.00096709i,-0.00053955+0.00039093i,-0.00012326+0.00096985i,0.00060971+0.00039501i,0.001288-0.00081683i,0.00081724-0.00021023i,0.00030584+0.00050324i,0.00033578+0.00039683i,0.00067064-0.00018183i,0.00011598-0.00089429i,-0.00021075-0.0008646i,0.00055788-0.00039658i,0.00024667-0.00017812i,-9.9928e-05-0.00077002i,-3.1213e-05-0.00043363i,-0.00013624-3.8338e-05i,-0.00039207-0.00042522i,-0.0007611-0.0010268i,-0.00018657-0.00020171i,0.00046953+0.00058322i,4.1991e-05+5.1085e-06i
0.0015994-0.00089357i,0.0017626-0.00074124i,0.0011462-0.00082555i,0.001349-0.00085977i,0.0011739+6.6837e-05i,0.00043305+0.00071401i,-0.00023133+0.00014763i,-0.00056079-0.00014539i,-0.00025338-3.9452e-05i,-0.0005053+0.00019478i,-0.00066118+0.0010704i,1.2543e-05+0.0015393i,5.2768e-05+0.00097868i,-0.00031118-1.5749e-05i,0.00037112-0.00050462i,0.00087758-0.00046512i,0.00073646-0.00056949i,0.00037012-0.00035421i,-0.00017083-0.00038673i,-0.00041573-0.00061297i,5.8346e-05-0.00019396i,0.00011553+0.00078386i,0.00014985+0.0007457i
0.00085277+0.0014985i,0.00053197+0.00075463i,0.00021843-0.00038321i,0.00069881+0.00040011i,0.00040542+0.0011503i,-0.00035572+0.00013535i,-0.00017698-0.0010751i,0.00013075-0.00061506i,0.00072114+0.00047015i,0.00081478+0.00074716i,0.0005865+0.00038401i,0.00071563+0.00038425i,0.00054794+0.00040672i,3.7888e-05+8.5937e-05i,-8.6311e-05-0.00022832i,-0.00034261-0.0011155i,-0.00054009-0.0013457i,-0.00060966-0.00088595i,-0.00031615-0.00047991i,0.00044186-0.00015049i,0.000333+0.00040985i,-0.00035103+0.00043799i,0.00024277+2.7541e-05i
-0.00064042+0.00052921i,-0.00041894+0.0017252i,0.00081136+0.00080126i,0.001302+0.00060348i,0.0014142+0.0010536i,0.0015129+0.0013421i,0.00073379+0.0010351i,0.00012544+0.00080706i,6.3836e-05+0.00062917i,8.2511e-06+0.00058612i,0.00012275+0.00044731i,0.00034705-0.00015041i,0.00050705-0.00034563i,0.00060296-9.6552e-05i,-0.00022252-5.8462e-05i,-0.00080099+5.7738e-05i,-0.00072364+0.00024141i,0.000133+0.00034118i,0.00060767+0.0011243i,-0.00011296+0.0013624i,-0.0001695+0.00039156i,-0.00018649+3.363e-05i,-0.00017886+1.4569e-05i
-0.00064728-0.00037989i,-0.0011726-0.00013005i,-0.001038-0.00021729i,-0.00034912+1.2516e-05i,4.8887e-05+0.00050926i,-7.4998e-05+0.0010452i,-0.00015148+0.00063988i,0.00022774-0.00026979i,0.00072975-0.00073081i,0.0011002+1.6779e-05i,0.0010482-0.0001304i,0.00051607-0.00096812i,0.00039931-0.0007934i,0.00074179-0.00014508i,0.00039832-1.9778e-05i,-0.00021524+7.7845e-06i,9.2737e-05-7.8846e-05i,0.00079087-0.00025778i,0.0012301-0.00040344i,0.00069689-0.0007247i,0.00025279-0.000486i,0.00057631-0.00013258i,0.00056957+0.00011515i
0.00088772+0.00040339i,0.0012292+0.00027531i,0.0026985+0.000313i,0.0025105+0.00025861i,0.0012126+0.00037302i,0.00058677+0.00028898i,8.6714e-05-0.0004503i,-0.0004861-0.0010062i,-0.00048758-0.0010531i,-0.00079526-0.00078041i,-0.0014767-0.00093954i,-0.0011491-0.00066696i,-0.00022861-0.00027054i,-0.00015384-0.00057136i,-0.00035501-0.00017624i,-0.00037078+0.0002619i,-0.00045911+0.00029727i,0.00049425-7.8102e-05i,0.0012945+0.00020585i,0.00073157+0.0011113i,0.00028451+0.00061552i,0.00012963+0.00022067i,-0.00014148+0.00071284i
-0.001112+0.0023929i,-0.00096401+0.0014056i,0.0007885+0.0011883i,0.0020126+7.9784e-05i,0.0020462-0.00036257i,0.0014146-0.00033869i,0.00087652-0.00081184i,0.00042273-0.00059538i,0.00032226+0.00012869i,-0.00047996+0.00068405i,-0.0013727+0.00084362i,-0.0018652+0.00075237i,-0.001133-0.00044189i,6.6122e-05-0.0012294i,0.00043414-0.00059728i,0.00061947-0.00010731i,0.00030376-9.2587e-05i,-0.00018012+0.00054369i,-0.00057289+0.00059205i,-0.00042568-6.7839e-05i,-7.2363e-05-0.00049186i,8.1578e-05-0.0010035i,2.6398e-05-0.00121i
0.00058222-0.001876i,0.0016795-0.0032291i,0.0011837-0.0018825i,0.00045336-0.0003716i,0.00082879-0.00017942i,0.00073298-0.00081439i,6.4803e-05-0.0003908i,6.0298e-05+0.0004815i,0.00025041+0.0010788i,-0.00071831+0.0015821i,-0.00079996+0.00148i,-0.00014683+0.001589i,0.00016439+0.0018111i,0.00062475+0.0011489i,0.00077976+3.2184e-05i,0.00081748-0.00038075i,0.00059798-0.0004589i,0.00076065-0.00047627i,0.00051587-0.00031389i,-0.00030362+5.1342e-05i,-1.5547e-05-0.00032632i,0.00077375-0.0011734i,0.00018844-0.0005535i
-0.00052032+0.0040299i,0.00026945+0.0046298i,0.0017851+0.0031653i,0.0025692+0.0018778i,0.0020774+0.00021426i,0.00043372-0.0011247i,-0.0011051-0.0010905i,-0.0007756-0.00053075i,0.00061856-7.3615e-05i,0.0013906-0.00026093i,0.0012892-0.00060297i,0.0011723-0.00079977i,0.00067303-0.00067255i,0.00080156-0.0004546i,0.00051382-0.00056167i,8.3155e-05-0.00047772i,0.00026505-0.000483i,-9.3439e-05-0.00081977i,-0.0010747-0.00051384i,-0.0012826-0.00031239i,-0.0008889-0.00065835i,-0.00048571-0.00022575i,-0.0008259+6.93e-05i
-0.0021768-0.00091157i,-0.0016001-0.0011664i,-0.0015202-0.00058909i,6.862e-05+0.00064259i,0.0014346+0.0010835i,0.0006622+0.0011434i,0.00044043+0.0010107i,0.00040258+0.00034155i,0.00014853-0.00014918i,0.00042881-0.00035927i,0.00087444-0.0007576i,0.00051247-0.00085458i,-0.00027148-8.2164e-06i,-0.00017921+0.00056432i,0.00010322+9.7162e-05i,6.7371e-05-0.00031254i,-0.00021296-0.00020212i,-0.00044528-4.9846e-05i,-0.00041472-0.00047085i,-0.00064511-0.00035285i,-0.00058945+9.0782e-05i,-3.0737e-05-8.2124e-07i,0.00020309-0.0010149i
4.0909e-06-0.0020292i,-6.496e-05-0.0015485i,0.0011505-0.0012015i,0.0026407-0.00059276i,0.0016136-0.00095038i,0.00020345-0.00030922i,-0.00043098+0.00068333i,-0.00024448-0.00038111i,0.00045404-0.0013916i,-0.00013633-0.0014437i,-0.00080627-0.001065i,-0.00056136-0.0012295i,0.00014882-0.00065781i,0.00017788-0.00019657i,-7.8821e-05-0.00050402i,0.00027879-0.00017224i,0.00028777+0.00025473i,-0.00023913+0.00037333i,-0.00018381-0.00017246i,7.2836e-05-7.7565e-05i,0.0001321+0.0005159i,0.00012858+0.00097507i,0.0005113+0.00070451i
-0.00031963+0.00043261i,0.00016495+0.0012384i,-0.00034447+0.001788i,0.00047116+0.0015175i,0.0017246+0.0013464i,0.0016696+0.00057123i,7.9135e-05-0.0004712i,-0.00029606-0.00088275i,-0.00010576-0.00040677i,-0.00022854+0.00011699i,-0.0006217-0.00011787i,-0.0010719+0.00051633i,-0.00098262+0.00020191i,-0.00017242-0.0015476i,0.0001978-0.00097024i,-3.5256e-05-0.00018254i,-0.00024362-0.00034907i,-0.00063415+0.00058029i,-0.000206+0.00049018i,0.00012259-3.7338e-05i,-0.00030789-0.0004093i,-0.00037371-0.00091841i,0.00037365-0.0012184i
-0.0029431+0.00096668i,-0.0030799+0.00094067i,-0.0024614+0.00017471i,-0.001373+0.0010061i,0.00026932+0.0016382i,0.0010197+0.0016757i,0.00024528+0.0014512i,-0.00056318+0.0015839i,-0.0011243+0.0016671i,-0.0013715+0.0014165i,-0.0010367+0.0010034i,-0.00075348+0.00083163i,-0.00099685+0.0003406i,-0.0002842-0.00085508i,0.0010382-0.0012551i,0.00075356-0.00056697i,0.00011043-0.00060906i,-0.00013881-0.00067528i,-0.00016744-0.00045892i,0.00034023-0.0001893i,0.00079766-3.5527e-05i,0.00080023+6.5681e-05i,-0.00015463+0.00020962i
-0.00077337-0.0012085i,0.00026807-0.00012563i,0.00026396-0.00015795i,0.00010405-0.00087813i,0.00031759-0.00056429i,-0.00015611+0.00029097i,-0.00070794+0.00086785i,-0.00054449+0.0013271i,-9.1218e-05+0.0015609i,0.00019686+0.00091522i,0.00035036+0.0011093i,0.00056317+0.0016743i,0.00025818+0.0013524i,-0.00014354+0.000705i,0.00013006+0.00022163i,0.00044198-9.6794e-05i,0.00029327+0.00045366i,-0.00020312-8.4372e-05i,-0.00021291-0.00072046i,0.00021141-0.00061425i,-0.00025214-0.00085i,-0.0012761-0.00046113i,-0.00026501+0.00027932i
4.1263e-05+0.0019892i,0.00030817+0.0011171i,0.0013284+0.00057682i,0.0019602+0.00077268i,0.00085529+0.00060391i,-0.0004235-0.00010832i,-5.7206e-05-0.00022687i,0.00064845+0.00019831i,0.00083962+0.00084657i,0.00083675+0.00090093i,0.00066043+0.0011553i,-0.00013263+0.0012645i,-2.3306e-06+0.0011828i,-0.00011327+0.00017983i,-0.00010295-0.00075951i,0.00079331-0.00062445i,0.00058454-0.00043229i,-0.00014795-0.00041549i,5.622e-05-0.00039647i,0.00050623-0.00051575i,0.00048069-0.00029587i,0.00042475+0.00029628i,0.00047508+0.00067446i
0.001404+0.00044716i,0.0023471-0.00086475i,0.0031114-0.0017666i,0.0028528-0.00094682i,0.0016207+0.00036314i,0.0009248+0.0013041i,0.00032792+0.0008204i,-0.00048789+5.6521e-05i,-0.0003483-0.00094757i,0.00043142-0.0010769i,0.0012265-0.00022216i,0.000579+0.00016806i,-0.00012831+5.6654e-06i,0.00020877-0.00037404i,2.2585e-05-0.00050293i,-0.00047664+2.2363e-05i,-0.00061004-0.00031272i,-0.00027338-0.00040289i,0.00036612+0.00032693i,0.00036836-0.00037746i,-5.7703e-05-0.00091852i,0.00011399-0.00042901i,0.00013647-0.00013986i
-0.0009742-0.0010892i,-0.0018244-0.0006847i,-0.0015754-0.00028239i,-0.00025546+0.0016218i,0.00043376+0.0027066i,0.0011725+0.0016036i,0.00093488+0.0005921i,-0.00040632+0.0004947i,-0.0007816+0.00065885i,3.6468e-05+0.00051246i,0.00013469+1.4846e-05i,0.00085434+0.00030071i,0.0015912+0.00045447i,0.0004241+0.00041781i,-0.00056462+0.00074707i,-0.00084185+0.00077102i,-0.00091607+0.0010245i,-0.00041566+0.0009632i,5.1906e-05+0.00028738i,1.1771e-05-3.6831e-05i,-0.00017696+0.00053469i,4.4951e-05+0.00014023i,0.00060704-0.00078759i
0.00087647+0.0033879i,0.00085562+0.0019159i,0.0029533+0.0002068i,0.0037037-0.00039979i,0.002754-0.00055051i,0.0013152-0.00038135i,-0.00064009+0.00016185i,-0.0015571+0.00042878i,-0.00092833+0.0003547i,0.00017964+0.0002391i,-0.00071143-0.00011956i,-0.0018295-0.0003811i,-0.0009523-0.00083964i,0.00048424-0.00041347i,0.0012405+0.00081455i,0.00080352+0.0010042i,0.00038855+0.00042499i,3.0568e-05+0.00022291i,5.8736e-05+0.00025545i,0.00085668-0.00032654i,0.00089794-0.00031504i,0.00056669-0.00050813i,0.00025384-0.00065728i
