2.9111e-05+0.0002466i,0.00052205-0.0013061i,-0.00052752-0.0026037i,-0.0021089-0.0023091i,-0.0024357-0.0014669i,-0.0023657-8.4701e-05i,-0.0017798+0.0008582i,-0.0004431+0.0002806i,0.0006043-0.00041199i,0.00042332-0.0009928i,-0.00036706-0.0012972i,-0.00055489-0.00072428i,-0.0006214+0.00015207i,-0.0011236+0.00059988i,-0.0011562+0.0011257i,-0.0010435+0.00089418i,-0.00094534-0.00010671i,9.2551e-06-0.00059147i,0.00083365-0.00042411i,0.00030232+5.1687e-05i,0.00028816+0.00041175i,0.0002981+6.291e-05i,-0.0010112-0.00030627i
-0.0025813-0.0055291i,-0.0026454-0.0045094i,-0.0036187-0.0026756i,-0.003318-0.00048368i,-0.0010641+0.00074817i,0.00032521+0.0004385i,0.00017435-0.00091637i,0.0003616-0.00082161i,0.00036743-0.00020035i,0.00048448+0.00013649i,0.00045809+0.00021194i,7.8455e-05-9.8248e-05i,-0.00014229-0.00061215i,1.0497e-05-0.00066282i,0.0005124-8.5796e-05i,0.00038511+0.00038619i,0.00024184+8.3725e-05i,-0.00070448-0.0006573i,-0.0011596-0.0010919i,4.6083e-05-0.00051186i,-6.5183e-05-0.00019477i,-0.0007574-0.00024687i,-0.00066232-0.00017957i
-0.0010928-0.0037745i,-0.0011352-0.0039291i,-0.00061099-0.0030855i,-0.00057159-0.0019011i,0.00025688-0.0011894i,0.00019542-0.00058881i,-0.0008227-0.00024647i,-0.00012964-0.00078694i,0.00071324-0.001766i,0.00036755-0.0024846i,-0.00010933-0.0014427i,-0.00093635-0.00013403i,-0.0014654+0.00037842i,-0.00066439+0.00081682i,-0.00022016+0.00065048i,-0.00054645+0.00014242i,-0.0010997+0.00023811i,-0.0010466-0.00036141i,-0.00090729-0.00075139i,-0.0012326-0.00060737i,-0.00079907-0.00070021i,5.2905e-05-0.00066588i,-0.00032759-0.00071426i
-0.00059904-0.0043129i,-0.00022721-0.004236i,-0.00041492-0.004586i,-0.0013455-0.0034535i,-0.00075995-0.0010203i,-7.0217e-05-0.00020944i,-0.00053993-0.00030548i,-0.00030403-0.00030568i,0.00036701+1.7736e-05i,0.00014916-0.00040602i,9.1744e-05-0.00095657i,0.00026492-0.00065734i,0.00014206-0.00047873i,0.00021572+0.00057891i,0.0001343+0.0016134i,-2.0393e-05+0.00085416i,0.00053721+0.00024653i,0.00091387-0.00038263i,0.00020927-0.000402i,7.5034e-05+0.00021471i,-0.00047886-0.00023372i,-0.0013361-0.0011934i,-0.0010782-0.0012913i
-0.0016208-0.00042258i,-0.0015022-0.0011313i,-0.0018691-0.0012514i,-0.0008317-0.00014695i,-0.00040916+0.00011287i,-0.00040491-0.00074971i,-0.00076218-0.0010005i,-0.00118-0.00077287i,-0.00060476-0.0001008i,-9.5368e-05-0.00019055i,-9.4212e-05-0.00076691i,-0.00066548-0.0010527i,-0.0010738-0.00073931i,0.00024519-0.00074198i,0.00087603-0.0003812i,0.00032885+8.6926e-05i,0.00024724+0.00035653i,-0.00014256+0.00070196i,-0.00074669+0.00079423i,-5.5769e-05+0.00056184i,0.00037321+0.00025617i,0.00030165+1.3857e-05i,0.00045021-0.00029202i
0.0010426-0.0011418i,0.00053813-0.0019759i,0.00097863-0.0025194i,0.0011429-0.0019254i,0.00010425-0.0013686i,-0.001193-0.0016204i,-0.002126-0.0017065i,-0.0006818-0.0015088i,0.0012578-0.00122i,0.00159-0.00098681i,0.00098106-0.00068882i,0.00018135-0.00092749i,-0.00077666-0.00080968i,-0.00045143-2.8549e-05i,0.0002157+0.00024942i,0.00011166-0.00036666i,0.00053317-0.00089704i,5.0492e-05-0.00071763i,-0.0013386-0.00040331i,-0.0009305-0.00013533i,-0.0001616-0.00033079i,6.2445e-05-0.0002259i,0.00050024+5.8804e-05i
-0.00089987-0.0017283i,-0.00096421-0.0041955i,-0.00060542-0.0034911i,-0.0016046-0.00054713i,-0.0012627+0.00034873i,-1.8826e-05-0.00056503i,-0.0002416-0.0007581i,-0.00093608-0.00025095i,-0.00081222-0.00078798i,-0.00051239-0.0011727i,-0.00050381-0.0010973i,-0.00062014-0.0014344i,-0.00041096-0.0016459i,-0.00041288-0.00086542i,0.0003196-0.00035577i,0.0010941-0.00040894i,0.00070471-0.00023572i,-0.00038809-3.9113e-05i,-0.0012094-0.00019761i,-0.0012318-0.00018625i,-0.0007022+0.00019553i,3.8693e-05+9.4947e-07i,0.00057103+0.00028812i
-4.5989e-05-0.0011514i,0.00022825-0.0027701i,0.00027945-0.003064i,-0.00012277-0.0023788i,-0.00083469-0.001538i,-0.0019555-0.00022452i,-0.0022103+0.00068782i,-0.00080098+0.00072519i,0.00015149+0.00064252i,0.00068452-0.00038684i,9.4724e-05-0.0015675i,-0.00094486-0.0020061i,-0.00072195-0.0010925i,0.00029655-0.00012101i,0.0005866+0.00054164i,-3.7408e-05+0.0010391i,-0.00031894+0.00077182i,-0.00059325-0.00037023i,-0.00032599-0.00092672i,0.00026673-0.00091435i,-5.5069e-06-0.00063651i,-0.00046291-0.00063165i,-1.9024e-05-0.0005696i
5.8069e-05+0.0012871i,0.0028567-0.00094269i,0.0031452-0.001153i,0.0012792-0.00089595i,-0.00026132-0.0021537i,-0.0011136-0.0029064i,-0.0011229-0.0017783i,-0.00059162-0.00074328i,0.00072935-0.0008768i,0.001444-0.00054971i,0.0010696-0.00048111i,0.00054406-0.00087745i,-0.00023251-0.00094946i,-0.00071795-0.00032109i,-0.00028451+0.0001284i,0.00060662+0.00045937i,0.00045234+0.00031962i,-0.00060515-0.00033906i,-0.00071337-0.00057127i,-0.00021272-0.00051409i,0.00056645-9.7004e-06i,0.00079507+0.00017973i,0.0011113+8.1728e-06i
-0.0022711-0.0039727i,-0.00096274-0.0042944i,-0.00062698-0.0043103i,-0.002143-0.0023862i,-0.0023065-4.0994e-05i,-0.0015411+0.00088433i,-0.0015485-0.00049379i,-0.0010815-0.0014485i,-0.00068273-0.0016815i,-0.00052316-0.0014531i,0.00051925-0.00068541i,0.0015776+0.0002867i,0.0011746+0.00095692i,0.00039095+0.00070283i,0.00085697+0.00067417i,0.00091932+0.00060564i,0.00018584+0.00040192i,-0.00079192+0.00065861i,-0.0015315+0.00011529i,-0.00053921-0.00061271i,-6.7091e-05-0.00083322i,-0.00023012+8.2909e-05i,6.384e-05+0.00025376i
-0.0030079-0.0013588i,-0.0024791-0.001255i,-0.002442-0.0014823i,-0.0012208-0.0014501i,5.3369e-05-0.00099301i,-0.00052054-0.0014823i,-0.0011886-0.0014803i,-0.00031797-0.00056001i,0.00045952-0.00073129i,-0.00017378-0.001028i,-0.00044474-0.0004655i,-9.1411e-05-0.00089379i,0.00048604-0.0013351i,0.00053198-0.00085589i,0.00078563-0.0005781i,0.0012754+0.00030465i,6.6795e-05+0.00096021i,-0.00095933-0.00036517i,-0.00032528-0.0014618i,4.0609e-05-0.00034315i,-0.00039265+0.00072024i,-0.0008044+9.0551e-05i,-0.001212-0.00053983i
-0.0018718-0.0012061i,-0.00052901-0.001206i,0.00033762-0.00080033i,1.3584e-05+0.0004322i,-2.3779e-05+0.0001229i,0.00011641-0.0019855i,-0.00013261-0.0023923i,-0.00031918-0.0013663i,0.00068357-0.00023055i,0.0017653+0.0010166i,0.00081613+0.00055684i,0.00016273-0.00039089i,0.00080287-0.00074356i,0.00082403-0.0003676i,0.00027512+0.00052633i,-0.00048059+0.00072189i,-0.0014516+0.00028022i,-0.0017416-0.00083662i,-0.0018388-0.00089021i,-0.0014534-0.00071682i,-0.00058433-0.00072969i,-0.0003039+6.7676e-05i,0.00016708+0.0008589i
-0.00097223-0.0030912i,0.00021644-0.0030494i,-6.1497e-05-0.0026088i,-0.00086045-0.0021176i,-0.00015244-0.0006294i,0.00071484-0.0006525i,0.00067979-0.0010446i,0.00048889-0.0010477i,0.00058874-0.0014762i,0.00082858-0.0017725i,0.0014262-0.00156i,0.00081432-0.001203i,2.2361e-05-0.00054337i,0.00010477-0.00024316i,-0.00025491-0.00013957i,-3.1696e-05+0.00035779i,0.00015962+0.00021758i,-0.0009386-0.00065556i,-0.0014111-0.0012466i,-0.00086639-0.00078017i,-0.00021647-0.00072915i,-1.4492e-05-0.00074026i,0.00012893+0.00022471i
-0.00044217-0.0025798i,-3.8565e-05-0.0030574i,-0.00021948-0.0027724i,-0.00018458-0.0012104i,-0.00063897-0.00062932i,-0.0014538-0.00096691i,-0.0019483-0.00044386i,-0.00065175+3.3366e-05i,0.0010348-5.5398e-06i,0.0008131-0.00025215i,0.0003036-0.0002366i,0.0002094-5.3544e-05i,0.00031837+0.00020754i,0.00026532+0.00042109i,-0.00010827+0.0006105i,-4.4347e-05+0.00057592i,-0.00061078+0.00062635i,-0.0014482+7.7068e-05i,-0.0013595-0.001083i,-0.00069036-0.00099038i,-0.00045608-0.00015207i,-0.00078275+0.00042392i,-0.0015397+0.00056989i
-0.002312-0.0028584i,-0.0025045-0.0016161i,-0.0020605-0.0014929i,-0.0020282-0.00018409i,-0.0015994+0.0013944i,-0.00076314+0.00096743i,-0.00056257-0.0006796i,-0.00042495-0.0016603i,0.00016314-0.00051946i,0.00044796+0.00046078i,0.00063849+0.00024557i,0.00056238+0.00033465i,-0.00010089+8.2316e-05i,8.0912e-05+7.3058e-05i,0.00072308+0.0003842i,0.0013723+0.00012247i,0.00085124-0.00047385i,-9.6417e-06-0.00093852i,-0.0003795-0.0016259i,-0.00048304-0.0019584i,-8.8122e-05-0.001919i,0.00012188-0.0012776i,-0.00046078-0.00049001i
-0.003201-0.0042024i,-0.0028627-0.0034505i,-0.0022123-0.0034566i,-0.001518-0.0029397i,-9.3215e-05-0.0024197i,0.00065625-0.0018721i,0.00066982-0.00087027i,0.00086099-0.00058486i,0.0013898-0.00066382i,0.00071704-0.00064275i,0.00043954-0.0010806i,0.0010974-0.00088595i,0.0010659+0.00018646i,0.00048617+0.00079605i,-0.00041788+0.00044019i,-0.0011587+0.00035244i,-0.0018295+2.2195e-05i,-0.0015527-0.0010011i,-0.0011184-0.0014689i,-0.0011546-0.0015202i,-0.00025275-0.001187i,0.0003324-0.0011673i,1.4046e-05-0.00055697i
-0.0017303-0.0049445i,-0.0029446-0.0051001i,-0.0034296-0.0040024i,-0.00292-0.0028374i,-0.0013467-0.0015597i,-0.0004852-0.00090996i,-0.0011932-0.0013628i,-0.00098176-0.00084428i,-0.00050578-0.0011389i,-0.00035397-0.0018735i,0.00028768-0.0011106i,0.00038663-0.0005782i,0.00060656-0.00058262i,0.0013239-8.6643e-05i,0.0007622+0.00044681i,-9.1099e-05+0.00020449i,-0.00019306-0.000661i,-0.00044576-0.0014494i,-3.8694e-05-0.001262i,-0.00039871-0.00049063i,-0.0010134-2.4569e-05i,-0.00065898+0.00018569i,-0.00046939-2.683e-05i
0.00089661-0.002227i,0.00064047-0.0026684i,0.00017986-0.0011925i,-0.00017616-0.00026583i,0.00028099-0.0010121i,-0.00042468-0.0016308i,-0.0016685-0.0013551i,-0.0013562-0.0011494i,-0.00022775-0.00061863i,0.0010048-0.00048368i,0.0013738+1.2422e-05i,0.00021411+0.0005454i,-0.00039718+0.00047642i,-0.0002027+0.00050281i,-0.00059911+0.00042128i,-0.0013676+0.00013051i,-0.0014236-0.00059656i,-0.0012876-0.0011847i,-0.0017237-0.0015487i,-0.0015593-0.0011974i,-0.00037665-0.0010597i,3.1046e-05-0.0010121i,-0.00078725-0.00071966i
-0.00020832-0.0029029i,0.00022764-0.0042101i,0.00014356-0.0044815i,-0.00037095-0.0024416i,-0.00044953-0.00058866i,-0.00037261+9.3359e-05i,-0.00067603-0.00015183i,0.00013174+0.00031262i,0.00097173-2.9197e-05i,0.0013272-0.00055356i,0.0011859-0.00016498i,0.00047642+0.00070035i,-0.00021023+0.0010345i,-0.00043978+0.0013114i,-0.00054197+0.0014483i,-0.00080498+0.00024377i,-0.00076744-0.00022213i,-0.0013629+7.0432e-05i,-0.0012846-0.00070057i,-0.00062536-0.0010825i,-0.00032647-0.00061033i,-2.9043e-05-6.8327e-05i,-3.989e-05+0.00032482i
-0.00052147-0.001577i,-0.0002881-0.0010046i,-0.00079372-0.00058825i,-0.0013224-0.00079109i,-0.0012475-0.0012991i,-0.0012036-0.0013284i,-0.0012096-0.0012117i,-0.00071147-0.0011131i,-0.0007076-0.00062354i,-0.00091822-0.0015504i,-0.00016976-0.0022369i,0.00062278-0.0016497i,0.00012077+7.6109e-06i,-0.00015217+0.0016881i,-0.00010028+0.0011355i,-0.00044864-0.00026805i,-0.00055095-0.00095992i,-0.00090136-0.0014494i,-0.00087028-0.0013243i,-0.00050899-0.0011706i,-0.00040981-0.0010786i,-0.00015407-0.00017539i,-2.1168e-05-0.00017334i
-0.00076056-0.0034653i,-0.00025725-0.0037961i,-0.00091903-0.0025579i,-0.0016044-0.00068689i,-0.00032996+0.0013179i,0.00020919+0.0013086i,-0.0002632-0.00056455i,6.0388e-05-0.00083509i,0.0007544+0.00044291i,0.00030198+0.00026596i,-0.00034061-3.0615e-05i,-0.00093345+0.00041548i,-0.00041777+0.00095838i,0.00037218+0.0011367i,-0.00021606+0.00091775i,-0.00063117+0.00076502i,-0.0006422+0.00044891i,-0.0010188-0.00088945i,-0.0015681-0.0017685i,-0.0017097-0.0016322i,-0.0010527-0.0012563i,-0.00060695-0.0010711i,-3.2208e-05-0.00043689i
8.702e-05-0.0027227i,-0.00039108-0.0031735i,-0.0022793-0.0040199i,-0.0027261-0.0029131i,-0.0018077-0.0010655i,-0.0014266-0.0012842i,-0.0009166-0.0027884i,0.00079341-0.0022027i,0.0014219-0.00079268i,0.00043333-1.4702e-05i,9.4437e-05+0.00089068i,0.00024213+0.0014635i,-0.00014899+0.0022698i,-0.00086335+0.0026864i,-0.00071701+0.0021463i,-0.0001284+0.0010775i,-0.00080777-0.00087433i,-0.0016818-0.0018716i,-0.0015517-0.0019637i,-0.00036532-0.001943i,0.00020924-0.0012436i,4.9248e-05-0.00048697i,0.00043165-0.00036723i
-0.0019809-0.0018178i,-0.0019438-0.0021444i,-0.0018827-0.0013626i,-0.0010496-0.0016278i,-0.00039135-0.0012215i,-0.0012317-0.00087511i,-0.0012485-0.001333i,-0.0012196-0.0010936i,-0.00062459-0.0010819i,0.00064292-0.0010008i,0.0008542-0.00078336i,0.00070652-0.00038155i,0.00056289+0.00068271i,0.00081704+0.001542i,0.0009077+0.00058338i,0.00039894-0.0010549i,-0.00015373-0.0014384i,-0.00065954-0.0014993i,-0.00048864-0.0019307i,0.0002154-0.0021045i,0.00024813-0.0012285i,-0.00030901-0.0002784i,-0.0010025+0.00041156i
-0.0010594-0.0035196i,-0.00066584-0.0015487i,-0.001159+6.1322e-05i,-0.0018371+0.0013756i,-0.001397+0.0019138i,-0.00067445+0.001449i,-1.4923e-05+0.00098269i,-0.00014372+0.00055669i,-0.00066255-0.00020409i,-0.00090272-6.8216e-05i,-0.0004754+0.00088415i,0.00019076+0.00071804i,0.00020566+0.00020132i,-0.00024751+0.00087514i,-0.00092316+0.00073767i,-0.0013478-0.00014382i,-0.0015018-0.00054241i,-0.00044262-0.0012631i,0.0001356-0.0016814i,-0.00030144-0.0015508i,9.0596e-05-0.00109i,0.00038101-0.00080298i,-0.00019811-0.0014002i
-0.0030584-0.0048721i,-0.0032273-0.0058741i,-0.0031454-0.0051706i,-0.0025191-0.0020089i,-0.0014308-2.8716e-05i,-0.00070187-0.001315i,-0.0003525-0.0022378i,0.00045819-0.0012489i,0.0010805-0.00092129i,0.001664-0.00071483i,0.0016649+0.00084097i,0.00030087+0.0017439i,-0.0003808+0.0020538i,-0.00039729+0.0019419i,-0.0004209+0.00069263i,-0.00046236-0.00023101i,-0.00077941-0.00085233i,-0.0010055-0.0014248i,-0.00079034-0.002378i,-0.00054436-0.0024177i,-0.00021554-0.0010965i,0.00068218-0.00039275i,0.00047533-0.00019986i
-0.0026321-0.0027914i,-0.0031034-0.002467i,-0.0031729-0.0010701i,-0.0029024+9.178e-05i,-0.00085609+0.00026766i,0.00085586-0.00053427i,-0.00026718-0.0013937i,-0.0014172-0.00097573i,-0.00094718-0.00032451i,0.00042189+3.7875e-05i,0.00099722+0.00010639i,0.00061733-1.6515e-05i,0.00077826+0.00020373i,0.0010948+0.00050996i,0.00077522+0.00023358i,0.00033792+0.00067077i,-0.000338-0.00014191i,-0.00022317-0.0015513i,8.371e-05-0.0016094i,-0.000624-0.0013761i,-0.00096456-0.00076792i,-0.0007113+2.5215e-05i,-0.0010234+0.00032286i
-0.0017122-0.002669i,-0.0020437-0.0019669i,-0.0018751-0.0010568i,-0.0019391-9.4832e-05i,-0.0011075+0.00030942i,-0.00046362-0.00068296i,-0.0013653-0.0011948i,-0.0012674-0.00046884i,-0.00037989-0.00037174i,-0.00013106-0.00023472i,8.1173e-06+0.00021283i,-0.00024966+0.00060693i,-0.00051154+0.00017007i,0.0003455+1.822e-05i,0.00044383+0.00092774i,-0.00010862+0.00068804i,2.355e-05-0.00022452i,0.00017006-0.00097336i,-0.00077311-0.0018935i,-0.0011758-0.0017484i,-0.00065874-0.00074042i,-0.00014556-0.00042602i,0.00057961-4.4473e-06i
-0.00015008-0.0044244i,-0.00035981-0.0054725i,-0.0011713-0.004874i,-0.0013722-0.0032616i,-0.00061859-0.0013782i,-0.0012228-6.3865e-05i,-0.00099933+0.00038119i,0.00070583-5.9005e-05i,0.0021748-0.00068111i,0.0019973-0.0010202i,0.00030418-0.00099826i,-0.00089072-0.00018533i,-0.0014982+0.0014822i,-0.0015658+0.0019628i,-0.0011821+0.00091862i,-0.00060992-0.00082727i,8.3239e-05-0.0019216i,0.00021706-0.0019327i,-0.00050011-0.0016409i,-0.00021962-0.0010186i,0.0013985-0.00067691i,0.0011116-0.00050693i,-0.00041249-0.0004472i
-0.0014104-0.0011844i,-0.00092196-0.0009891i,-0.001035-0.00016041i,-0.00065809-0.0002351i,0.00012409-0.0011261i,0.0001418-0.001601i,-0.00060849-0.0013751i,-0.00050358-0.00055348i,0.0006687-0.0004939i,0.00082522-0.00054761i,0.00058159-0.00016299i,5.573e-05-0.00014368i,-0.00085466+0.00079558i,-0.00098613+0.0018257i,-0.00024233+0.00075399i,0.00017424-0.00079267i,0.00046966-0.001716i,0.00022877-0.0016637i,-0.00066065-0.0010913i,-0.00042411-0.0011738i,-0.001099-0.00037874i,-0.0015344+9.5553e-05i,-0.00071594-9.7161e-05i
-0.0009514-0.0044084i,-0.0012987-0.0048265i,-0.0021608-0.0047975i,-0.003343-0.0023566i,-0.0032356-8.9922e-05i,-0.0015423+0.00037616i,-0.00044289+0.00015648i,-0.00035175-0.00068669i,-0.00033429-0.0015835i,0.00030462-0.0015709i,0.00033635-0.00090455i,0.00027872-0.00057558i,0.00042707+0.00029745i,-5.8882e-05+0.0012726i,-0.00082673+0.001104i,-0.0010915+0.0004237i,-0.00031365-0.00039272i,0.00017599-0.0011374i,-0.00063956-0.0013925i,-0.00084158-0.0010114i,-0.00026043-0.00067601i,-0.00018397-0.00089197i,0.00010121-0.00084703i
7.3424e-05-0.0043019i,-0.0010061-0.0050119i,-0.0018863-0.0043518i,-0.00095335-0.0024024i,0.00065541-0.0012555i,0.00062014-0.00066555i,-0.00038559-0.00062044i,-4.0699e-05-0.00028133i,0.00048826+0.00055119i,0.00043688+0.0011521i,0.00012289+0.0010936i,-0.00025244+0.00086159i,-0.00097907+0.001558i,-0.00095641+0.0016466i,-0.00054441+0.0013254i,-0.00042804+0.00045566i,0.00060909-0.00066519i,0.00057364-0.0014719i,-0.00058267-0.0019599i,-0.00053345-0.0021096i,-0.00035568-0.0019328i,-0.00016638-0.0015552i,0.00034399-0.00090261i
-0.0011105-0.0041157i,-0.0007535-0.0045616i,-0.00010072-0.0034774i,-0.0011701-0.002077i,-0.001494-0.0012874i,-0.00093365-0.00092376i,0.00013367-0.0010181i,0.0015861-0.0011903i,0.0019685-0.00038295i,0.0015608-6.4136e-05i,0.0015414-0.00015117i,0.0010024+0.00039664i,-0.00015513+0.00093349i,6.1656e-05+0.0012633i,0.00068476+0.00091067i,-0.00010053+0.00043175i,-0.00049581-0.00031915i,-0.00042121-0.00078302i,-0.00051483-0.0014456i,-0.0013459-0.0019258i,-0.0009623-0.001689i,-0.00050298-0.00093036i,-0.00054398-0.00036364i
-0.0015868-0.0015186i,-0.0020845-0.0015224i,-0.0017597-0.00050624i,-0.00061267+0.00089913i,-0.00076795+0.0010989i,-0.00095163-0.00061425i,-0.00089815-0.0018595i,-0.0014008-0.0013974i,-0.00084491-0.0010008i,0.00038806-0.00084858i,0.00046009-0.00097929i,-0.00014185-0.00094433i,-0.00066815-0.00066141i,-0.0001164-0.00035373i,0.00027039-0.00072781i,-0.00029432-0.00099328i,-0.00023847-0.00046064i,-5.4137e-05-0.00069039i,-0.0011672-0.0018065i,-0.0017983-0.0012752i,-0.00075817-8.0039e-06i,-0.00027496+0.00012433i,-8.9978e-05+6.1331e-05i
-0.0014884-0.0039894i,-0.00087545-0.0061904i,-0.00041893-0.0061473i,-0.00022025-0.0031041i,0.00045104-0.0013923i,-0.00052393-0.001754i,-0.0016685-0.0011271i,-0.00068865-0.00013336i,-0.00031541+0.00024517i,-0.00040376+0.0003128i,5.5489e-05+0.00045892i,-0.00071676+0.00098028i,-0.0020725+0.0024186i,-0.0019292+0.002362i,-0.00087482+0.00061583i,-0.00020676-0.00018193i,0.00058756-5.9846e-05i,0.00095165-0.0006016i,0.00011418-0.0013788i,-0.00064528-0.001057i,-0.00045997-0.00059571i,0.00042128-0.00020452i,5.3128e-05+0.00021394i
-0.00036305-0.0064069i,-0.00081851-0.0064186i,-0.0020068-0.0047387i,-0.0031716-0.0022871i,-0.0023504-0.00054902i,-0.0011823-5.3085e-05i,-0.00094506-0.00024992i,0.00076851-0.0005363i,0.0021287-0.00071659i,0.001028-0.0005313i,-0.00011363-0.0003977i,-0.00018706+0.00036637i,0.00035818+0.0016134i,0.0010447+0.0026368i,0.00097172+0.002249i,0.00069783+0.00050236i,0.00080382-0.00078937i,0.00030019-0.0019617i,-0.00022227-0.0034157i,-0.00015789-0.00249i,-0.00029325-0.00095517i,-0.00036086-0.001148i,-3.8086e-05-0.00043594i
-0.0022357-0.0049828i,-0.0016195-0.0052351i,-0.0019534-0.0036757i,-0.0020387-0.00018276i,-0.0011441+0.0014995i,-0.00058584+7.0983e-05i,-8.7017e-05-0.00060501i,7.3334e-05-0.00062508i,-6.6551e-05-0.0014037i,-4.0858e-05-0.0011949i,-0.00044282-0.00036791i,-0.00090341+0.00011259i,-0.0013754+0.00054641i,-0.0010569+0.00052511i,0.00054212+0.00038645i,0.00068837+0.00066139i,-3.5573e-05+0.00015409i,-0.00064975-0.00061138i,-0.00093316-0.0012348i,-0.00064372-0.0014686i,-0.00039181-0.0014703i,0.00025527-0.00084598i,0.0012326-0.00039165i
-0.0011388-0.0012166i,-0.00024745-0.00060552i,-0.00042746-0.00012259i,-0.00025277-0.00029423i,0.00091615-0.0010603i,0.00066834-0.0029434i,-0.00080909-0.0030939i,-0.0018002-0.0015754i,-0.00076265-0.00076402i,0.00030251-0.00043918i,0.00067786-0.0005645i,0.00074083+4.8903e-05i,-6.5754e-05+0.0010379i,-0.00019289+0.00069228i,0.00048028-0.00055929i,0.00082381-0.00039245i,0.00049144+3.7678e-06i,0.00017078-0.00075088i,-0.00029889-0.00096962i,-0.00090196-0.0010392i,-0.0006422-0.00095319i,8.9125e-05+0.00011604i,0.00076606+0.00094849i
-0.0036305-0.0015035i,-0.0014173-0.00022645i,-0.0006135+0.00080119i,-0.0010078+0.00081672i,-0.00072108+0.00026088i,-0.00094149-0.0010334i,-0.0015488-0.00091775i,-0.0011177+1.7541e-05i,-0.00052626+5.1978e-05i,-0.00024089-0.00057191i,-0.00048993-0.00073919i,-0.0010359-0.0009926i,-0.00062803-0.00099108i,0.00062223-0.00072045i,0.0013307-0.0010313i,0.00032885-0.0014216i,-0.00046266-0.0010619i,-0.00025903-0.00089607i,-0.00079441-0.0012514i,-0.0010431-0.0010845i,-0.00053885-0.00046385i,-0.000104-0.00026376i,0.0003513-6.6274e-05i
-0.00057272-0.0039439i,-0.00046241-0.004569i,-0.0005758-0.0050652i,-0.00067475-0.0042356i,-0.00046011-0.0011645i,-0.00072995-0.0010851i,-0.00064952-0.0016465i,0.00062413-0.00098146i,0.0011206-0.00055389i,0.00026271-0.00051224i,-0.00053228-0.00067083i,-0.0013503-0.00015967i,-0.0018899+0.00082422i,-0.0015752+0.0014893i,-0.0009463+0.0010355i,0.00019732+0.00016126i,0.00038967+0.0001086i,-0.00043261+0.00063975i,-0.00035392+0.00017426i,-5.2155e-05-0.0010486i,-0.00014259-0.0016549i,0.00020175-0.00096494i,0.00075406-0.00033224i
-0.001861-0.0036499i,-0.0013246-0.002862i,-0.0012026-0.0011341i,-0.00068018-0.0011063i,-9.0936e-05-0.0013343i,0.00017257-0.0015771i,-0.00041877-0.0015087i,-6.8103e-05-0.00022747i,0.00034971+0.00049454i,0.00076391+0.00024212i,0.00040577+0.00030015i,-0.00084191+0.00055749i,-0.0015136+0.0014344i,-0.00074987+0.0017375i,5.6558e-05+0.0004077i,6.6791e-05-0.00026778i,-4.9986e-05-4.5008e-05i,-0.00041268+0.0001108i,-0.0012469-0.00098227i,-0.0010701-0.0014064i,0.00017888-0.00088305i,0.00070284-0.00058406i,0.00072122-3.1318e-05i
-0.0017165-0.0030234i,-0.0008101-0.0043492i,-0.00028297-0.0030777i,-0.00027545-0.0011273i,-0.0014238-0.00075585i,-0.0019163-0.00095276i,-0.0013847-0.00080533i,-0.0010587-0.00017792i,-0.00030688+0.00010137i,0.00020201-0.0001055i,0.00016939-0.00014267i,0.00019619-6.9623e-05i,-7.7205e-05-0.00041174i,-0.00025042-1.7676e-05i,0.00041168+0.00052526i,0.00036297-9.3799e-05i,-0.00038112-0.00091219i,-0.00074289-0.0010562i,-0.00096907-0.00062459i,-0.0015253-0.00040763i,-0.0012712-0.0010114i,5.7621e-06-0.001138i,0.00086722+0.00036384i
-0.0023844-0.0050802i,-0.0019146-0.0059083i,-0.0020038-0.0044722i,-0.0019673-0.0016671i,-0.0010682-0.00069086i,2.321e-05-0.0021978i,-7.7184e-05-0.0025233i,0.00014104-0.0016579i,0.00063325-0.0015095i,8.307e-05-0.0012136i,-0.0005504-0.00081436i,-0.0013761-0.00089251i,-0.0023024-0.001024i,-0.0021401-0.00065005i,-0.00090463-0.00028771i,-0.00067825-0.00013092i,-0.0011607+6.5632e-05i,-0.00039064-0.00038809i,-0.00048738-0.00075932i,-0.0011059-0.00061943i,-0.00053488-0.00053383i,-0.00013839-0.00087903i,-0.00070417-0.00080188i
-0.0013303-0.0047167i,-0.0022079-0.0037773i,-0.0017381-0.0025419i,-0.00078489-0.0018996i,-0.00010678-0.0021097i,2.316e-05-0.0018344i,-0.00037272-0.00058287i,-0.00022382+0.00028455i,-0.0005432+0.00062383i,-0.00040226+0.00034539i,0.00049799+3.2217e-05i,0.00026417+0.00036445i,-0.0010929+0.0014615i,-0.0014549+0.0027025i,-0.0004709+0.0022067i,-9.192e-05+0.00023568i,-0.0010771-0.00029432i,-0.0013164+0.00019069i,-0.00055613-0.00023728i,-0.0011688-0.0012193i,-0.0011869-0.0010044i,-0.00070158-0.00056552i,-0.00042612-0.00062006i
