-0.00047945+0.0031787i,-0.00050274+0.0024499i,-0.0012726+0.0025886i,-0.001113+0.0016626i,-0.00065729+0.0013482i,-0.00030205+0.0021398i,-0.00010682+0.0017662i,0.00065989+0.0011667i,0.0011855+0.0012097i,0.0011397+0.0010462i,0.00064312-5.8176e-05i,-0.00052049-0.00096115i,-0.00061553-0.00049474i,-0.00020385-0.00046736i,-0.00018284-0.00066875i,-0.00048832-0.00073786i,-0.00077949-0.00056741i,-0.00082113+0.00028835i,-0.00019627-0.00013589i,0.00053232-0.0007585i,0.00059146-0.00024114i,0.00027109-0.00057651i,0.00052006-0.001196i
-0.00058216+0.0031759i,0.00047438+0.0028889i,0.00059283+0.0022462i,-8.772e-05+0.00059471i,-0.00052473-0.00017196i,-0.00055856+0.00057818i,-5.581e-05+0.00098553i,0.00087218+0.00049096i,0.00073057+0.00025528i,0.00023294-0.00047913i,0.0004066-0.00074547i,0.00066883-0.00018372i,0.00076409-3.1269e-05i,0.0002702-6.0551e-05i,0.00033463-0.00010584i,0.0010542-0.00062341i,0.0013287-0.0010464i,0.00079943-0.00034145i,0.00085916+0.00036694i,0.0011812+0.00056364i,0.0013192+0.00021122i,0.0012954+0.00010415i,0.00079247+5.6034e-05i
0.0026003-0.0015415i,0.0017813-0.0027875i,0.0014355-0.0023937i,0.00017292-0.001106i,-0.0011165-0.00036014i,-0.0013959+0.00010217i,-0.0010572+0.00093923i,-2.3246e-05+0.00056785i,0.00022285+8.0317e-05i,0.00062617+0.00046417i,0.00051046+0.00065563i,-0.00074005+0.00061096i,-0.00080275+0.00099392i,6.1307e-05+0.00062864i,0.0001048-0.0006107i,-0.00042185-0.00074458i,-0.00057119-0.00022517i,5.4155e-05+0.00047295i,0.00064862+0.0010256i,0.0006373+0.00084374i,0.00067991+0.00051512i,0.00095743+5.6819e-06i,0.00088713-0.00033922i
0.0014106+0.0019168i,0.0011125+0.0012799i,0.0014269+0.0004273i,0.0017564+0.00056596i,0.0014984+0.00033389i,0.0013236+0.00028549i,0.0011559+0.00076672i,0.00067882+0.00045496i,0.00016505-0.00033635i,0.00064863+3.6006e-05i,0.00070509+0.00057776i,0.00070914+0.0009236i,0.00076112+0.00086424i,0.00037243+5.0306e-05i,-0.00044753-6.3477e-05i,-0.00062396+5.8935e-05i,0.00064679-3.1571e-05i,0.0010543+0.00061622i,0.0008669+0.00060175i,0.00055373+0.00023287i,0.00030839-0.000163i,-4.9431e-05-0.00053506i,2.2914e-06-0.00048723i
0.00014008-0.00020281i,-0.0011195-3.2645e-05i,-0.00075747-0.00031077i,-0.00027811-0.00084367i,-0.00074417-0.0002276i,-0.0016602+0.00088043i,-0.00148+0.00072993i,-0.00033532-0.00038285i,-0.00016478-0.0004393i,-0.00044971+0.00031075i,-0.0003718+0.00019389i,-0.00027391+6.1518e-05i,-0.00015236+0.00026153i,2.2333e-05+0.00052106i,0.00011125+0.00080888i,-0.00040987+0.00062056i,-0.00048997-0.00030447i,-0.00040189-0.00097669i,-2.2427e-05+0.00010173i,0.00011821+0.0010803i,-8.6366e-05+0.00064378i,-0.00012217+0.00076974i,0.00013879+0.0004781i
0.0014487+0.0010278i,0.00085501+0.00095361i,0.00037728+0.0007695i,0.00055682-0.0001974i,0.00046518-0.00072313i,-0.0003914+9.4734e-05i,-0.00064425+0.00087144i,-0.00058346+0.00038758i,-0.00052773-0.00016382i,-0.00025761-0.00045761i,-0.00038935-0.0007404i,-0.00041542-0.00031623i,-0.00023902+0.00074946i,-0.00020838+0.00086966i,-4.6633e-05-0.00031944i,0.00039119-0.00030532i,0.00074974-0.00040708i,0.00024886-0.00083489i,-0.0006694-0.00038447i,-0.001086+0.00060009i,-0.00040023+0.0010481i,0.00022851+0.00066913i,0.00037124+0.00051218i
-0.00075584-0.00078753i,-0.00026192-0.00083372i,0.00032978-9.9377e-06i,0.00049546+0.00033769i,0.00024363+0.00026946i,0.00095173+0.00082705i,0.0015788+0.0012146i,0.00074426+0.00085159i,-0.00074121+0.00011478i,-0.00079989-0.00044378i,-0.00010521-0.00023797i,0.0002478-0.00014547i,-6.1038e-05-0.00010353i,0.0001477-3.8629e-05i,0.00081278+3.8617e-05i,0.00045607-1.9172e-05i,-0.00013725-0.00034491i,-0.00026476+0.00028861i,-0.00023156+0.001345i,-0.00044147+0.0012335i,-0.00082445+0.00091032i,-0.00075711+0.0011077i,-0.00082254+0.00071078i
0.0012878+0.00085723i,0.0022646+0.00078256i,0.0022213+0.00045544i,0.0020168-0.00016812i,0.00046322-0.00053421i,-0.0011371+0.00015033i,-0.00045064+0.0008572i,0.00066606+0.0004674i,0.0014857+0.00039272i,0.0018074+0.00014752i,0.0011858-0.00092065i,6.8326e-05-0.0012443i,-0.00092284-0.00047575i,-0.0012414-0.00014421i,-0.0013026-0.00057712i,-0.00092822-0.00032169i,-0.00030435+9.355e-05i,-0.00066049+7.9241e-05i,-0.0012371-6.8519e-05i,-0.001481+9.6955e-05i,-0.0010985+0.00058953i,-0.00068253+0.00054652i,-0.00061677+0.00050267i
-0.00050276+0.0017855i,-0.0015567+0.0020415i,-0.0020023+0.00077171i,-0.0011637-0.00042569i,-0.00073407+0.00031241i,-0.0010143+0.0014601i,0.00031793+0.0012086i,0.0020006-0.00019021i,0.0015097-0.0014585i,0.0001118-0.0020801i,-0.00027748-0.00098938i,-0.000771+0.00045256i,-0.00096931+0.001119i,-0.00093312+0.0012496i,-0.0011734+0.0010649i,-0.0013242+0.00086009i,-0.001172+0.00088707i,-0.00072957+0.00056972i,-0.0013952+0.00057619i,-0.0019694+0.00051549i,-0.00073209-1.9014e-05i,0.00082988-0.00037767i,0.00050123+4.4394e-05i
-0.00047921+0.0013641i,-0.00054831+0.0011521i,0.00029643+0.0010015i,1.0053e-05+0.00019253i,0.00012265+0.00039539i,0.00086155+0.002141i,0.0017885+0.0022687i,0.0019317+0.00086523i,0.00077286-0.00035622i,-2.0668e-05-0.00077924i,-0.00040075-0.00058891i,-0.00033324-0.00054425i,-0.00023929+0.00020788i,-0.00025794+0.0010823i,0.00019576+0.00079212i,0.00079948+0.00033905i,0.00051599+5.6075e-05i,9.4172e-05-0.00046103i,-0.00034762-0.00064561i,-0.00042607-0.0002839i,-0.00016108+0.0001151i,-0.00053923+0.00076878i,-0.00030967+0.0010287i
-0.0014965+0.0021161i,-0.0012233+0.0027151i,-0.00073631+0.0028939i,0.00037148+0.0022673i,0.00084033+0.0016268i,0.0010152+0.0011457i,0.0010131+0.00024198i,0.00052667-0.00013923i,8.1718e-05+0.00038493i,0.00013718+0.00058697i,0.00089559-0.00017444i,0.0011456-0.00051661i,0.00057844-0.00021031i,-5.8034e-05-0.00091864i,-0.00031091-0.0017375i,-0.00041769-0.0014044i,-6.9496e-05-0.00043706i,0.00032968+0.00033361i,0.00042654-0.00012698i,0.00024184-0.00033722i,-0.00039261-0.00044505i,-0.00081354-0.00084734i,-0.00089824-0.00049542i
-0.00045895-0.0030356i,-0.001492-0.0039243i,-0.00045008-0.003754i,0.00062305-0.0024255i,-0.00028837-0.001177i,-0.0010455-0.00053144i,-3.0289e-05-0.00039791i,0.00035996-0.00061981i,-6.9477e-05-0.00095339i,-0.00046721-0.00066343i,0.00014564-6.4404e-05i,0.00061241-9.2109e-05i,5.475e-05+0.00062323i,-9.3962e-05+0.00075666i,0.00028919+0.00051304i,0.00048262+0.00046537i,0.00026168-0.00018822i,0.00014458-0.00054239i,0.00049126-0.00081634i,-0.00025049-0.00090718i,-0.00098231-0.0004287i,-0.00097429-3.0891e-05i,-0.0011335+0.00069004i
-0.001238-0.00017236i,-0.0021158+0.0013423i,-0.0017729+0.0024416i,-0.00025044+0.0018665i,-0.00032694+0.0014635i,-0.0010797+0.0016601i,-5.0564e-05+0.0011223i,2.8413e-06+0.00061556i,-0.0011124-3.2597e-05i,-0.00093103-0.00076594i,0.00030779-0.00084398i,0.00073942-0.00039331i,0.00064274-0.00046187i,8.9076e-05-0.00096297i,-0.00037476-0.0011848i,0.00024814-0.0011232i,0.0001764-0.0010542i,-5.6624e-05-0.0011282i,0.00041355-0.0007699i,0.00013023-0.0003895i,-0.00015331-0.00084887i,0.00024492-0.00039448i,0.00047967+0.00071865i
0.0019454+1.8235e-05i,0.0016372+0.00059676i,0.00092546-0.00055238i,0.00038742-0.00074313i,0.00014151+0.00034011i,0.00051762+0.001635i,0.0013827+0.0025654i,0.0019433+0.0017465i,0.0010607+0.00049723i,4.3159e-05-0.0002147i,0.00011676-0.00064343i,0.00024043-7.6342e-06i,0.00053174+0.00063348i,0.0010694+0.00087945i,0.00082194+0.0013905i,0.0005571+0.0015741i,0.00087054+0.00051086i,0.00034146-0.00028819i,0.00043287-0.00056227i,0.0012552-0.00042695i,0.00068192+0.0001192i,-0.00039858+0.0002786i,-0.00060298+0.00012479i
0.00067361-0.00093315i,-0.00040848-0.0015295i,-0.00078916-0.0010985i,-0.0012515-0.00052614i,-0.00157+0.00024528i,-0.0010463+0.0016318i,0.00018877+0.0016562i,0.0008552+0.00081486i,0.00014901+0.00084408i,-0.00079974+0.0010386i,-0.00029502+0.00073681i,-6.0511e-05+0.00077085i,-0.00018373+0.0011694i,0.00056916+0.00059354i,0.0010328-0.00011293i,0.0010867-0.00031897i,0.00089706-0.00071118i,0.0010733-0.00079174i,0.0006437-0.00051829i,-3.251e-05-6.1833e-05i,-8.2393e-05-0.00031562i,0.00016208-0.00092338i,0.00038036-0.00085843i
-0.0010543-0.00029238i,-0.0019724-0.00081829i,-0.0029624-0.00099185i,-0.0022736-0.00017796i,-0.00064224+0.00029044i,0.00014585+0.0003809i,0.00037177+0.00016745i,0.00030263-0.00077727i,-0.00065426-0.0012327i,-0.00073217+0.00022636i,-0.00034481+0.0016961i,-0.00022848+0.00084984i,0.0009153-0.00078168i,0.0019584-0.00059284i,0.0019306-0.0004987i,0.0012177-0.00063855i,0.0012012-4.4412e-05i,0.00088637+2.5372e-05i,0.00011703-0.0010767i,0.00016352-0.0010516i,0.00017923-0.00020503i,9.7861e-05-0.00023724i,9.8067e-05+0.00025959i
0.00026816-0.001773i,-0.00029339-0.0011914i,0.00040755-0.00040301i,0.0010049-8.1569e-05i,0.00023758+0.0005077i,-0.00092422+0.0019123i,-0.00018517+0.0024568i,0.00085615+0.0015265i,0.00097783+0.00076115i,0.00092791+0.00021108i,0.0007543-0.00017283i,0.00057416+0.0009307i,0.0011632+0.0015089i,0.0011748+0.0007188i,0.0010928+0.00024729i,0.00098954+0.00018478i,0.00061041+0.00027432i,0.00060445-0.0001653i,0.00051666-0.0003473i,0.00059162+0.00018275i,0.00077061-0.00010709i,0.00042979-0.00084818i,-0.00024891-0.00042109i
0.00069863-0.00026527i,0.00031996+0.00015077i,0.000692+0.00086813i,0.00014789+0.00076093i,-0.0012258-0.00023819i,-0.0019218-1.4747e-06i,-0.0012464+0.0013247i,0.00037119+0.0014723i,0.00056127-0.00013554i,-0.00033433-0.0012523i,-0.00067232-0.001668i,-0.00082485-0.00077775i,-0.00092383+0.00032613i,-0.00082478+0.00035892i,-0.00050489+0.00072429i,-0.00038836+0.001644i,-0.00073936+0.0018796i,-0.00086451+0.0010586i,-0.0009718+0.00027475i,7.9352e-05-0.00038557i,0.00072218-0.00075564i,-4.4824e-05+6.9792e-05i,-0.00038179+2.0588e-05i
-0.0013098-0.0011981i,-0.00065466-0.00079341i,0.0004264-0.00047177i,0.00093713-0.00039651i,3.5291e-06+0.00055568i,2.5295e-05+0.0013902i,0.00047276+0.0010802i,0.00039268-0.00010787i,-4.6315e-05-0.00028328i,-0.0003548+0.00038323i,-0.00055948-8.1292e-05i,-0.00091845-0.00078135i,-0.00052875+0.00012678i,0.00070199+0.00082462i,0.0018028+0.0013507i,0.0011131+0.0010958i,0.00068389+0.00036178i,0.00023826+0.00022585i,-7.9457e-05-6.5753e-05i,0.00077433-0.00018957i,0.00045976-0.00044428i,-0.00040421-0.00053302i,-0.00036448-0.00041037i
0.0035891-0.00064742i,0.0035703-0.0021018i,0.0024541-0.00243i,0.00062035-0.0013644i,-0.00027525+0.0004562i,-0.00082462+0.0019269i,-0.00085178+0.0022384i,-3.9114e-05+0.0005768i,8.0697e-05-0.00047734i,-0.00018021+7.3241e-05i,-6.0099e-05+0.00058993i,-0.00011833+4.3261e-05i,-0.00041825+0.00052343i,0.00025516+0.0019915i,0.00065302+0.0022769i,0.00020214+0.0011594i,0.00046914+2.9197e-05i,-0.00017516-2.4513e-05i,0.00012537+0.00036451i,0.0008968-0.00019411i,0.00089475-0.00070675i,0.00054973-0.00056713i,-0.00029417-0.00041389i
0.001589+0.0042095i,0.0021494+0.0032313i,0.0017028+0.0026588i,0.00052284+0.0010668i,-0.00043494-0.00074501i,-0.0011904-0.00090745i,-0.0011187-4.6914e-05i,-0.00062003+0.00052194i,0.00034269+0.00035333i,0.0013422+7.2321e-05i,0.00057652-0.00044538i,-0.00049513-0.000762i,-0.00060956-0.00052845i,-0.00050874-0.00018112i,-0.0015206-0.00080537i,-0.0019351-0.0013516i,-0.0014677-0.00060925i,-0.001242-0.0001248i,-0.00039302-0.00071604i,0.0008323-0.00085045i,0.001639-0.0002191i,0.001109-0.00031524i,-0.00017621-0.00082466i
-0.00059023-0.00029932i,-0.0011406+0.0013481i,-0.00078359+0.0014447i,-0.00053139+0.001073i,-0.001178+0.00028419i,-0.0016161+0.0013062i,-0.0010285+0.0024147i,8.8057e-05+0.00090378i,-0.00017808-0.0005472i,-0.00052814-0.00077685i,0.00043881-0.00055046i,0.0015414-0.00046403i,0.0014016-0.00048329i,0.00044892+0.00042504i,-0.0009235+0.0014412i,-0.0010175+0.0013516i,-0.00035869+0.00053566i,0.00043588-0.00038097i,0.00051835+0.00047102i,0.00056753+0.00086338i,0.00066975+0.00030387i,0.00065868-0.00038761i,0.00018915-0.00041377i
-0.0029899+0.0010019i,-0.0034128+0.00064816i,-0.00080172+0.00080388i,0.0015539+0.001082i,0.0010135+0.0014301i,-0.00012145+0.00028955i,-0.0001853-0.00067104i,-0.00051781-0.00020181i,-0.0010039-0.00074442i,-0.000192-0.0011215i,0.00017116-0.00080606i,-0.00039183-0.00086877i,-0.00086164-0.0010675i,-0.00061548-0.00024339i,0.00035405+4.9786e-05i,0.00092491-0.0002167i,0.0014379-0.00059936i,0.0011-0.0016259i,0.00065812-0.0012861i,0.00094564+6.2924e-06i,0.00068858+0.00081276i,0.00032473+0.00084666i,0.00073294+0.00013813i
0.0014388+0.00096863i,0.00087515+0.00011479i,0.0003071-0.0008581i,0.00023016-0.0011531i,-3.0169e-05-0.0015822i,-0.00057344-0.0010596i,-7.9685e-05+0.00041812i,0.00038594+0.00071641i,-1.2035e-07+0.00014852i,-0.0011047-0.00013574i,-0.0014412-0.00015661i,-0.00077342+0.00016899i,-0.00089527+0.00015509i,-0.0016296-9.7345e-05i,-0.0010609-0.00024402i,-0.00015128-0.00092339i,4.0285e-05-0.00085114i,-0.00098079+4.8943e-05i,-0.0015526+0.00066934i,-0.00048775+0.0013358i,7.4627e-05+0.001361i,-8.3904e-06+0.00055229i,-2.8546e-05+0.00079908i
0.003283-0.0011043i,0.002373-0.0018053i,0.001578-0.0011705i,0.00013522-0.00031483i,-0.0017952-0.00036724i,-0.0031266+0.00016575i,-0.0019345+0.00034836i,-3.2237e-05+0.00028212i,0.0008087+0.00056849i,0.00060596+0.00042803i,0.00028499+0.0010816i,0.00021472+0.0018507i,0.0004473+0.0016024i,0.00078406+0.00066941i,0.00075368-8.6568e-05i,0.00085226-0.00055505i,0.00063582-0.00083224i,0.00048242-0.00084931i,0.00036382+8.8617e-05i,0.00048603+0.00071981i,0.00060778+0.00085354i,0.00051411+0.00055585i,0.00064805-0.000109i
0.0020282-0.00024974i,0.0011979-0.00087579i,-0.00072549-0.001836i,-0.0011018-0.00074058i,0.00024524+0.0019549i,0.0012567+0.0033361i,0.0010832+0.0023453i,0.00034375+0.00027442i,0.00037195-0.0015624i,0.0017026-0.001141i,0.002318+0.0002524i,0.0011294+0.00068955i,-0.00023838+0.0009915i,-0.00012827+0.0010187i,0.00037197+0.00071145i,6.6487e-05+0.00057672i,0.00037549+9.5165e-05i,0.0009516+0.00012446i,0.0013264+0.00024844i,0.00094204-0.00047213i,0.0005362-0.00074228i,0.0012667-5.3446e-05i,0.0019478+0.00016463i
0.0010208+0.0008566i,-0.00019612+0.0021668i,0.00052295+0.0021774i,0.0013492+0.00064572i,0.0007485+0.00038234i,-0.00066012+0.00090367i,-0.00096201+0.0015914i,-0.00059867+0.0012914i,-7.1145e-05-7.2893e-05i,0.001083-0.0015726i,0.0011746-0.001912i,5.4773e-05-0.0006853i,-0.00059118+0.00024788i,-0.00080215+0.00087782i,-0.00081243+0.0013208i,0.00033503+0.0012557i,0.0013438+0.00072977i,0.0014668+0.00022609i,0.00081599+0.00042631i,-0.00021844+0.00054114i,-0.001367+0.00028628i,-0.001588+0.00019893i,-0.0011664+0.00012104i
-0.0030467+0.0012527i,-0.002995+0.0014622i,-0.0020141+0.0012256i,-0.0018832+0.00039653i,-0.0021137+0.0010253i,-0.0021693+0.00067114i,-0.0011815-0.00017144i,-0.00066191-0.00050812i,-0.0010096+2.8121e-05i,-0.0016138+0.00026481i,-0.0021283-0.00026709i,-0.0016718-0.00050702i,-0.00096417-7.6203e-05i,-0.00090558+0.0010422i,-0.00042936+0.00095787i,0.00063455+0.00048718i,0.0014518+0.00048636i,0.0015284+0.00055413i,0.00035758+0.00062149i,-0.001007+0.00070759i,-0.00031086+0.00043327i,0.00087695-0.00010779i,0.00076398-0.00015309i
-0.00095386+0.0028834i,-0.00037015+0.0027843i,0.00078561+0.0020377i,0.00098984+0.0012294i,0.00032055+0.00063453i,-0.00044596+0.0012681i,-0.00051597+0.0014198i,0.00041757+0.00067256i,0.00061119+0.0014845i,-0.00024793+0.0019664i,-0.00091596+0.0010882i,-0.0011459+0.00058246i,-0.00055714+0.00011174i,-0.00052252-0.00051672i,-0.00076855-0.00087513i,-0.00027953-0.00050785i,-0.00037233+0.00017894i,-0.00013127+0.0008456i,0.00032089+0.0015213i,-0.00030556+0.0013225i,-0.00054963+0.0006579i,0.00022926+0.00061508i,0.0004894+0.00067603i
0.0023694-0.0017417i,0.00065039-0.0010759i,0.0010945-0.0012528i,9.7282e-05-0.0011759i,-0.0018586-0.0003224i,-0.0016815+0.0015781i,-0.00020372+0.0022051i,0.0011963+0.00075218i,0.00083901-0.00026221i,-0.00023981+0.00024118i,-0.00050688+0.0011191i,-0.00033947+0.0016003i,-2.4928e-06+0.001993i,0.00048569+0.001828i,-0.0002569+0.0010001i,-0.0011637+0.00070896i,-0.00080671+0.00084245i,-0.00061453+0.00086394i,0.0002372+0.00052568i,0.00066192+7.6712e-05i,0.00014809-0.0002747i,-5.3087e-05-0.00029382i,0.00043268+0.00036186i
-0.0019954-0.0013684i,-0.0020589-0.001994i,-0.0011254-0.0019247i,-0.0009633-0.0020476i,-0.0018113-0.0013982i,-0.0014911-0.0010685i,-0.0005079-0.00084116i,0.00067802-0.0010132i,0.0013884-0.0012272i,0.0014573-0.00064193i,0.0010321-0.00048995i,0.00033651-0.00049257i,-0.00064598-0.00055338i,-0.0010796-9.2963e-05i,-0.00064532+0.00079789i,-0.00019286+0.0012811i,0.00017085+0.0017757i,-0.00021697+0.001712i,-0.00096723+0.00061268i,-0.0012455-0.00015198i,-0.0013062-0.00017588i,-0.00043699-5.7653e-05i,0.00046791+0.00010876i
-0.0021834-0.00075814i,-0.0015201-0.00097444i,-0.0012373+0.00094332i,0.00010884+0.0027337i,0.0019749+0.0025733i,0.0014845+0.0026235i,0.00034265+0.0025187i,-0.00028584+0.00086686i,-0.00050732-0.00075585i,-0.00028977-0.0013825i,-0.00056564-0.0011261i,-0.00082534-0.0011077i,-0.00039168-0.00094078i,0.00038977+5.6494e-05i,0.00046356+0.00069202i,0.00047918+0.00093084i,0.0002579+0.0013808i,-0.00023756+0.0012856i,-0.00069118+0.00067425i,-0.0014771-0.00061567i,-0.0014102-0.00095477i,-0.00089062-0.000129i,-0.00056838+0.00015095i
0.0005245-0.0014709i,0.0016269-0.00094197i,0.0027959-0.0015922i,0.0018767-0.0016419i,0.00096101-0.0008599i,3.295e-05+0.0011082i,-0.00088361+0.0019719i,-0.00072055+0.0019209i,-0.0016643+0.0010859i,-0.0027646-0.0005438i,-0.0027242-0.0011587i,-0.0027066-0.00096364i,-0.0019242-0.00053946i,-0.00041926+8.6389e-06i,-6.3027e-05-0.00016207i,2.0052e-06-0.0006586i,-0.00067672-0.0012249i,-0.0017438-0.000895i,-0.0017612-0.00023046i,-0.00070823-0.00015127i,3.2479e-05+0.00051376i,-0.00020193+0.0013363i,-0.00010465+0.00093541i
-0.0013987-0.0011448i,-0.00094083-0.00022357i,-0.0012583+0.0008975i,-0.0018101+0.00081219i,-0.0020341+0.00024189i,-0.0026671+0.00053256i,-0.0025344+0.0010264i,-0.0010643+0.0010104i,-0.00050155+0.0015663i,-0.0012924+0.0017683i,-0.0013222+0.0011812i,-0.00052085+0.0011768i,2.4465e-05+0.0010887i,0.00067386+8.1078e-05i,0.0015491-0.0010341i,0.0010279-0.0013504i,-0.00062472-0.001294i,-0.0014959-0.0015932i,-0.00068185-0.002036i,9.2201e-05-0.0019655i,0.00061421-0.0011389i,0.0010669-0.0002961i,0.00090672+0.00053667i
0.0018512-0.00022978i,0.0012864+0.00050759i,0.00044515+0.00077238i,0.0006634+0.001369i,0.00032064+0.0031607i,0.00064882+0.0041668i,0.0018321+0.0022988i,0.0021631-4.4036e-05i,0.0025364-0.00067981i,0.0032883+6.9282e-05i,0.0035686+0.0013326i,0.002797+0.00092335i,0.0014783-0.00014265i,0.00075617-0.0002439i,0.00062767-0.00027486i,0.00031744-0.00013243i,-5.5049e-05-2.2568e-05i,-0.00085835-0.00077099i,-0.0012872-0.0014453i,-0.0015804-0.00066245i,-0.0011025+0.00045595i,-0.00087978+0.00016942i,-0.0011838+1.2784e-05i
-0.00044042+0.0017821i,-0.0014652+0.0014151i,-0.00041785+0.0010124i,0.00054198+0.001185i,-0.00033863+0.0021596i,-0.0010238+0.0027602i,-0.00084862+0.0029427i,-0.0003101+0.0010633i,-4.1846e-06-0.001571i,2.7927e-05-0.0026147i,0.00127-0.002285i,0.0017374-0.0012935i,0.00088032-0.00033606i,0.00014925-9.4075e-05i,0.00021271+5.2317e-05i,0.00067914+9.6653e-05i,0.0001577-0.00088398i,0.00065566-0.0016129i,0.00093921-0.0019181i,0.00010295-0.0014167i,-0.00042047-0.00038582i,-0.0010189+0.00043794i,-0.0013412+0.00053443i
-0.0027989-0.0022203i,-0.0038173-0.0016088i,-0.0042883-0.0011896i,-0.0031494-0.0015985i,-0.0016721-0.00086859i,-0.001284+0.00083681i,-0.00089393+0.00093591i,-0.00027106+0.00011075i,-9.359e-05-0.0001358i,-0.00054222-0.00063968i,-0.0009296-0.00093916i,-0.00013198-8.6248e-05i,0.00034795+0.0013332i,0.00042069+0.0016907i,0.00022823+0.0013174i,0.00047418+0.00047426i,0.0014913-0.00060913i,0.0016109-0.0006692i,0.0008577-0.00073881i,0.0006279-0.0010965i,0.0006207-0.0011082i,6.7239e-06-0.0011416i,-7.5263e-05-0.00077744i
-0.00085269+0.00021156i,0.00024867+0.0001566i,0.00089169+0.00082973i,0.0012589+1.4136e-05i,0.0006474-0.0017342i,0.00016117-0.0012035i,5.674e-05+0.00036671i,-0.00027595+0.001253i,-0.0007159+0.0013136i,-0.0011865+0.0013298i,-0.00090434+0.0013473i,-0.00039224+0.0018293i,-0.00013103+0.0022905i,-0.00013314+0.0018495i,0.0010721+0.0013524i,0.0024542+0.00041412i,0.0024988-0.00039271i,0.0023496-0.00048265i,0.001402-0.00042419i,-7.4483e-05-0.00031204i,-0.00033776+0.00016687i,4.388e-05-0.00037201i,-0.00019471-0.00074546i
0.0018576+0.00024565i,0.0022908-0.00052455i,0.0017923-0.00076309i,0.00086857-0.00081797i,-0.00095511-0.00097664i,-0.0019073+2.9892e-05i,-0.00096837+0.0019464i,0.00065526+0.002407i,0.0014594+0.0016251i,0.0014394+0.00077989i,0.00054022+0.00047281i,-0.00037888+0.00089185i,-0.00047864+0.0021168i,-0.00046341+0.002547i,-0.00034201+0.0013148i,-2.3994e-05+0.00018806i,0.00067606-0.00041706i,0.0016331-0.00013922i,0.0020911+4.8239e-05i,0.0021557-0.00053089i,0.001304-0.00075667i,0.00014631-0.0013541i,-3.1744e-06-0.0018443i
0.0026715+0.0015154i,0.0026914-0.00016368i,0.0031239-0.0010228i,0.0017418-0.00011329i,-0.00034543+0.00048855i,-0.00040093+0.0010112i,-7.0226e-06+0.0013871i,0.00036603+0.00040125i,0.00062485-0.00062878i,0.00050382-0.00083388i,0.0004254-0.00076541i,0.00021106-0.00063152i,5.5099e-05-0.00036009i,-0.00044777-0.00021738i,-0.0011557+0.00080197i,-0.0003868+0.0018826i,0.0013831+0.0018708i,0.0024165+0.0016636i,0.0026001+0.0010523i,0.0025572+0.00028821i,0.0023937-0.00013091i,0.0013254-0.00015162i,0.00033101-0.00044608i
-0.00045774+0.0037202i,0.0012012+0.003156i,0.001436+0.0034405i,0.0021359+0.0045386i,0.002009+0.0052967i,-9.228e-05+0.004181i,-0.0011414+0.0012762i,-0.0011736-0.00019826i,-0.00096919-0.00032066i,0.00040982-0.00040026i,0.0010829-0.00016284i,-0.00047105+0.00024504i,-0.0014557+0.00027818i,-0.0010916-0.00072532i,-0.0006863-0.0013205i,-0.0010493-0.00064075i,-0.0014769-4.922e-05i,-0.0012971+0.00049645i,-0.00056292+0.00075033i,0.00053203+9.3025e-05i,0.0012922-0.00054459i,0.0015128-0.0002261i,0.0015543-0.00049238i
0.00011539+0.0015525i,-0.00020262+0.002046i,-0.00082958+0.0011977i,-0.0015069+0.00031265i,-0.0018149+0.0011399i,-0.0012705+0.0029616i,-0.00071734+0.0025121i,-0.0012798+0.00082565i,-0.0014756+0.00015976i,-0.0016282-0.00018756i,-0.0021879+0.000341i,-0.0019458+0.0015496i,-0.0010924+0.0014662i,-0.0014903+0.001213i,-0.0020536+0.0014212i,-0.0014179+0.0014561i,-0.0011756+0.00094185i,-0.00070857+0.00088029i,0.00050946+0.00079031i,0.0011892+3.8873e-05i,0.0012468+0.0001012i,0.001593+0.00019133i,0.0014284-0.00043154i
-0.0029442+0.0041271i,-0.0017715+0.0038905i,0.00060293+0.0030222i,0.0011166+0.00090655i,0.00037876-0.00077174i,0.00078589-0.0010651i,0.0012218+0.00015338i,0.0012764+0.0010857i,0.00013924+0.001633i,-0.00022658+0.0014043i,4.2204e-05+0.00076842i,0.00028941+4.5634e-05i,0.00015879-0.00040348i,-0.00010943-0.00018115i,0.00033678-0.0006426i,0.0008044-0.00075573i,0.00046653+0.00039444i,-0.00051767+0.0016324i,-0.00048461+0.0027527i,0.00036498+0.0031416i,0.00038246+0.0028262i,0.00068208+0.0018365i,0.0014559+0.00074714i
-0.0037225+0.0031126i,-0.0028342+0.0036304i,0.00027553+0.0039106i,0.001631+0.0022541i,3.4401e-05+0.00035598i,-0.0021481+0.00059745i,-0.0023196+0.00072603i,-0.00063447+0.00048504i,0.000958+0.00092313i,0.0019695+0.0013328i,0.0016984+0.00070217i,0.0007926-0.00079473i,0.00084874-0.0015902i,0.0012059-0.0015813i,0.0011064-0.0014389i,0.00080469-0.0025276i,0.00050685-0.0017697i,0.00014904+0.00058246i,-0.00054255+0.00097233i,-0.00052211+0.001035i,0.00052181+0.0016124i,0.0015133+0.0018294i,0.0011728+0.0013157i
