-0.00018209-0.00084829i,0.00068913-0.0010209i,-0.00010526-0.00081432i,-0.00081672+0.00048194i,-0.00084084+0.0011553i,-0.00069701+0.0014429i,-0.00024882+0.0007073i,0.00078015+0.00017393i,0.0013046+3.6741e-05i,0.00045+0.00022067i,-0.00025336-0.00028129i,0.00037395-0.0008951i,9.4265e-05-0.00054531i,-0.00045276-0.00040722i,-1.7805e-05-7.1525e-05i,0.0002529+0.00033299i,0.00054445+0.00034319i,0.00074352+0.00059373i,0.00010734+0.0002505i,5.9121e-05-0.00014841i,0.00032585+0.00019655i,7.3748e-05+4.4878e-05i,-7.3455e-05+0.00042397i
0.00018369-0.0012073i,-0.00023152-0.00097489i,-0.00052476-1.725e-05i,-0.00034757+0.001032i,-0.00022604+0.0011282i,0.00027094+0.0010646i,0.0006129+0.00096159i,0.00057391+0.00053894i,0.00015654-0.00025843i,0.00098489-0.00068462i,0.0009666-2.8134e-05i,-0.00028933+0.00063345i,-0.0011663-0.00024175i,-0.0010963-0.0009395i,-0.00077214-0.0014355i,-0.00055403-0.0020073i,-0.00012917-0.001261i,-0.00054545-0.00058091i,-0.00090883-0.00037531i,-0.001082+0.0002612i,-0.00081055+0.00044718i,-0.00020833-0.00024885i,-0.00036714-0.00083026i
0.00074828-0.00075658i,0.00049296-0.00099461i,0.0010102-0.0016391i,0.00014127-0.0010224i,-0.0010871-0.00061659i,-0.0011748-0.00025541i,-0.00025524+0.00021307i,0.00059584-7.81e-05i,0.0007998-6.2211e-05i,0.00021926-0.00013499i,-0.0004064-0.00051675i,-0.00036978-0.00092765i,-0.00039346-0.001471i,-0.00071655-0.0015938i,-0.00063735-0.0010229i,-0.00013782-0.00030155i,-3.2231e-05+8.7137e-06i,-0.00080932-9.2176e-05i,-0.0002793-0.00031697i,0.0008825-0.00079855i,0.0010827-0.00076822i,0.0016556-0.00028697i,0.0012599-8.287e-05i
0.00077775+0.0011536i,0.0011169+0.00059108i,0.0010958+0.00059472i,0.00014268-0.00024889i,0.00028773-0.0011798i,0.00024879-0.00042484i,-4.6836e-06-0.00032039i,0.00059198+0.00059264i,0.00084822+0.001598i,0.00057832+0.00094423i,0.00036746+0.00093242i,-3.7063e-05-4.9132e-05i,-0.00026544-0.0010376i,0.00069342-0.0010955i,0.00083571-0.00084111i,-8.8234e-05-0.0001478i,-0.00055161-0.00070585i,-0.00016651-0.0011694i,-0.00065285-0.00051976i,-0.00067709+4.3043e-05i,-0.00013869+7.1594e-05i,-0.00036532+1.2393e-05i,6.9278e-05-0.00028105i
-0.00092862+0.00024084i,-0.00094773+0.0013367i,-0.00020583+0.0021695i,0.00089052+0.0021109i,0.0011876+0.0015548i,0.0010873+0.00072224i,0.0011372+0.00019995i,0.0010621+0.00083448i,0.00037092+0.0016184i,-0.00013477+0.0015836i,8.183e-05+0.0006549i,0.00062482-0.00090603i,0.0010552-0.0010027i,0.00098794-0.00084857i,0.00068826-0.0011963i,0.00067167-0.0014354i,0.00054034-0.00065818i,0.00063673+0.00017899i,0.00064528-0.0003437i,0.00069663-0.00036306i,0.0013115+0.00041409i,0.001245+0.00072553i,0.001091+0.00093372i
-0.00053018+0.001202i,-0.00043642+0.00011555i,-0.00087016+7.6462e-05i,-1.5427e-05+0.00013675i,0.0016123-0.00036724i,0.0017425-0.00050807i,0.00098143+0.00020754i,0.0011106+0.0010861i,0.00081795+0.0011717i,0.00031473+0.00078343i,0.00023378-0.00051813i,0.00044309-0.0015493i,0.00017325-0.0013995i,8.4148e-05-0.00039358i,0.00030274+0.00055523i,-0.00020745+0.00055589i,0.00030322+0.00055029i,0.0010067+0.00033596i,-0.00022782-8.0846e-05i,-0.00087625+1.496e-05i,-0.00016598-7.2607e-06i,-8.5577e-05+5.5558e-07i,9.2833e-05+0.00083805i
0.0018094+0.00056872i,0.00042743+0.00024885i,-0.00034261+3.8594e-05i,-0.00029797-0.00042072i,-0.00025454-0.00077843i,-0.00018158+0.00046049i,1.8027e-06+0.0013754i,-6.6755e-05+0.00098529i,-0.00017648-0.00054829i,-0.00039269-0.0012584i,-4.2078e-05-0.00087918i,0.00051481-0.00073066i,0.0010793-0.00044527i,0.00090098+2.0447e-06i,-0.00017252+0.00036284i,-0.00074819+0.00043666i,-0.00015203+0.00077896i,0.00041273+0.00084613i,0.00047651+8.3833e-05i,0.00019291-0.00083843i,-0.00012677-0.00026513i,-0.00018492+0.00081841i,0.00012725+0.0011096i
-0.0015579-0.00045489i,-0.0020759-0.00050046i,-0.00083539-0.0004006i,0.00026673+0.00080375i,0.00038749+0.0019566i,0.00050641+0.0016082i,0.00077685+0.00083703i,0.00094001+0.00032772i,0.00038141+1.6163e-05i,0.00013937-0.0010032i,0.0010449-0.0013277i,0.00044893-0.00022857i,0.00013358+0.00046064i,0.00070767+0.00030644i,-0.00017464-1.3833e-05i,-0.00076371-0.00042516i,-0.00041623-1.0494e-05i,-0.00064277+0.00057818i,-0.00070562+1.1076e-05i,-0.00039689-0.00024117i,-0.00040605-0.00064453i,-0.00028755-0.000859i,-0.00044038+0.00025789i
0.00046628+0.0013118i,0.00060739-0.00025322i,0.0021501-0.0011412i,0.0021455-0.0017175i,0.00022314-0.0016197i,-0.00014118-1.4226e-05i,0.00019856+0.00076743i,0.0008837+0.00029876i,0.001382+0.00039354i,0.0016591+0.00018928i,0.001198-0.00035549i,-0.00020652-7.3263e-05i,-0.0011142+0.00093519i,-0.0011553+0.00092708i,-0.0010633+0.00037012i,-0.0013803+0.00028212i,-0.001465+0.00023062i,-0.0013697+0.00079579i,-0.00013184+0.0010837i,0.00064181+0.00099286i,3.6723e-06+0.000366i,7.5781e-05-0.0006932i,-8.2769e-05-0.00061221i
-0.00043694-0.0010217i,0.000599-0.0011824i,0.0021955-0.00051098i,0.0014543-0.0004252i,0.00065639-0.00036611i,0.00035808-0.00039517i,0.00085705-0.00052638i,0.0013754+0.00018359i,0.0017514+0.00064628i,0.0023667+0.00061497i,0.0012294+0.00047178i,-0.00025171+0.00020047i,-0.0010412-4.3526e-05i,-0.00097026-0.00039098i,-0.0008379-0.00023286i,-0.00085752-0.00014805i,-0.00057955-0.00048942i,-0.00037674-0.00046562i,-0.00056302-0.00064744i,-0.00072508-0.0011306i,0.00014198-0.00059566i,0.00059641+0.0002461i,0.00023247+0.00027045i
0.00050193+0.0015996i,0.00052282+0.0013247i,0.00062105+0.0018809i,0.00032299+0.0017196i,0.00041971+0.00097342i,0.0016935+0.00068684i,0.00153+0.000128i,0.00066327-0.00011475i,0.00092487+0.00054186i,0.0001992+0.00078219i,-0.00076855+0.00057025i,-0.00088748+0.00010858i,-0.0021022-0.00086318i,-0.0023659-0.0010342i,-0.0013468-0.00054661i,-0.00040991-0.00028359i,1.0628e-05-0.00076745i,0.00049376-0.0012201i,0.00067243-0.00113i,0.0006438-0.0012839i,0.00098656-0.00099736i,0.00085781-0.00060883i,0.00057262-0.00096968i
-0.00050402+0.000137i,-0.00070571+0.00029013i,-0.00046463+0.000483i,-8.4866e-05+0.0013378i,-2.7281e-05+0.0012572i,0.00014851+0.00023173i,0.00071313-0.00022793i,0.00067687+0.00040459i,0.00046185+0.0014371i,-0.00029608+0.00080769i,-0.0014273-0.00070078i,-0.0013509-0.0010884i,-0.00038604-0.0011276i,-0.00048815-0.00092596i,-0.00098529-0.00089735i,-0.0011859-0.00065532i,-0.0015705-0.00066376i,-0.00091809-0.00089525i,-0.00032283-0.00030588i,-0.00035778+0.00032727i,-0.00045083+0.00089059i,-0.00039819+0.00080073i,0.00045203+0.00023101i
-0.00061986-0.0012626i,-0.00059807-0.001648i,-0.00014765-0.0024158i,-0.00040069-0.0018338i,-0.00096125-0.0007398i,-0.0002428+0.00075003i,0.00039172+0.0005953i,-6.9615e-05+9.8928e-06i,-0.00093858+9.4754e-07i,-0.00083186-0.00033522i,-0.0003445-0.0011658i,9.6793e-05-0.0017826i,0.00051307-0.0017789i,0.001037-0.00097314i,0.0013679-0.00071963i,0.00094792-0.00044916i,0.00083802-0.00037067i,0.00088199-0.00052033i,0.00025879+0.00018366i,-4.0836e-05+0.0010451i,0.00032866+0.0012192i,0.00032047+0.00075581i,0.00044969+0.00072265i
-0.001397-0.0025924i,-0.00088761-0.0026481i,-0.0018287-0.0020429i,-0.0015585-0.00045794i,2.2563e-05+0.0009162i,0.0019906+0.0006655i,0.0024412+0.00054711i,0.0012273+0.00070781i,0.00035358-0.0002482i,0.00029661-0.001207i,0.00066417-0.0010747i,0.00093203-0.00078559i,0.0014029-0.00081409i,0.0017249-0.00089794i,0.0012871-0.0014483i,0.00076814-0.0016456i,0.00057886-0.00077818i,0.00056626+0.0003151i,0.00071282+0.0011252i,0.00039651+0.00092086i,0.00047624+7.8573e-05i,0.00099562-0.00033916i,0.00094352+2.4086e-05i
-0.00077366-0.00059347i,0.00067375-0.0011124i,0.00019186-0.00097027i,0.00053536+0.0004501i,0.0013033+0.0016789i,0.0010632+0.0010644i,0.0015657+3.5784e-05i,0.0017428+1.6187e-05i,0.0009154+0.00024398i,0.00051839-0.00036785i,0.0010567-0.00055383i,0.0010609+3.7343e-06i,0.00020469+6.8762e-06i,9.1095e-05-0.00072059i,0.00042607-0.0011635i,0.00078271-0.0011847i,0.00085483-0.0011207i,0.00043405-0.00035731i,-0.00059832-1.0145e-05i,-0.00010461-0.00048241i,0.00066057-0.00040277i,-4.4633e-05-0.00050005i,-0.00028614-0.00026279i
0.0008742+0.0014609i,0.00039528+0.00034962i,0.0012073-0.0013201i,0.0015666-0.0020266i,0.00092535-0.0015067i,7.9435e-05-0.00096621i,-0.00060311-0.00066241i,-0.00041971-0.00047226i,0.00010758+8.1567e-05i,0.00075486-3.1489e-05i,0.00097461-0.00036175i,0.00052752+0.00076903i,0.00093743+0.0019838i,0.00095304+0.0020488i,5.4648e-05+0.0012531i,0.00026234+0.00076111i,0.00076006+0.0006024i,0.00042356+0.00059632i,-0.0003755+0.00071551i,-0.001481+0.00064152i,-0.0011907+0.00072345i,-0.00040811+0.00033277i,-0.0001216+0.00018029i
0.0004223+0.00075948i,0.0010157+0.0011977i,0.0015116+0.00087229i,0.001126+0.00052452i,0.0010735+0.00080074i,0.0011938+0.00069813i,0.0011074-8.0174e-05i,0.00096491-0.00052848i,0.00090432+3.7006e-05i,0.00090334+0.00053611i,0.00027146+0.00080559i,-0.00069215+0.0012555i,-0.0010609+0.0010432i,-0.001114+0.00058296i,-0.00061288+8.1483e-05i,0.00011186+1.2311e-05i,0.0001844+0.00026615i,0.00037076-0.0005148i,0.00066077-0.0011015i,0.00015947-0.00096281i,9.4191e-06-0.00032307i,5.3476e-05-0.00029933i,-0.00034975+4.9352e-05i
5.1181e-05-9.1127e-05i,0.00061143+0.0010822i,0.00070484+0.0020191i,0.001002+0.0015021i,0.0012397+0.0013663i,0.0016171+0.00094387i,0.0012888+0.00053645i,0.00025214+0.00040968i,-0.00010495+0.00021453i,-0.00026716+0.00042502i,-0.0010967+0.00046267i,-0.0019377+0.000512i,-0.0022006+0.00059036i,-0.0018106+0.00022702i,-0.0013804+9.8129e-05i,-0.0009704+0.00076045i,-0.00022084+0.00047511i,2.333e-05-0.0011653i,-0.00020079-0.0016216i,-0.00021846-0.00087171i,0.00018547+2.8597e-05i,-0.00029476+0.00057333i,-0.0014053+0.00023173i
-0.00074682+0.00083892i,-0.00030256+0.00030802i,2.4397e-05-5.3199e-05i,-0.00048572+0.00061184i,0.00016828+0.0005074i,0.0012517-9.6489e-05i,0.0010168-0.00012843i,0.00076136+0.00036381i,0.00032631+0.0014946i,-0.00051878+0.0016553i,-0.0014189+0.00079775i,-0.0020588-0.00026922i,-0.0023373-0.0011295i,-0.0020212-0.00091676i,-0.0011572-0.00048085i,-0.0010672-0.00057429i,-0.0006325-0.00033073i,0.00013241-2.2025e-05i,-0.00026874+0.00016731i,-0.00086471+8.0592e-06i,-0.0012885-0.00062632i,-0.0015434-0.00098478i,-0.00080439-0.00070373i
-0.0014001+0.00026979i,-0.0014723-0.0006229i,-0.00093747-0.0002458i,-0.00083944+0.00080262i,-9.1531e-05+0.0012373i,0.001055+0.0011183i,0.0011911+0.00039347i,0.00047163+8.0433e-05i,-0.00025048-0.00026601i,-0.00041357-0.0016528i,-0.00029659-0.0021075i,-0.00056517-0.0020934i,-0.0010715-0.0024044i,-0.0011758-0.0016515i,-0.0014693-0.00011866i,-0.0010988-0.00040084i,-0.00038109-0.000126i,0.0001266+0.00055746i,0.00070385+0.00053513i,0.0004712+0.00033409i,-0.00018595+0.00032245i,-0.00053652+0.00077399i,-0.00084104+0.00032467i
-0.0010619+0.00067383i,-0.001125+0.00012932i,-0.001793+0.00012978i,-0.00087627+0.00085958i,0.00068295+0.001095i,0.0015136-5.3045e-05i,0.0010854-7.1542e-05i,0.00018379+0.00068162i,0.00013358+0.00074241i,0.00060891-0.00032373i,0.00063852-0.0010725i,0.00065885-0.0017549i,0.00035346-0.0027983i,-0.0006113-0.0024794i,-0.0011218-0.00059178i,-0.0011856+0.00061655i,-0.00071512+0.00048698i,2.9898e-05-1.8933e-05i,0.00018174-0.00036748i,0.00045499-0.00038238i,0.00096798-0.00062754i,0.00059548-0.00083968i,-0.00027633-0.0012892i
0.00045801+0.00082367i,-0.00045118-0.0009i,-0.00062672-0.0016909i,-0.00055991-0.0006328i,-0.00030488-0.00092876i,0.0002531-0.0016905i,0.00059739-0.00034121i,0.00074704+0.00039028i,0.001557+0.00036674i,0.0021077+0.00017407i,0.0013205-0.00066024i,0.00090299-0.00085818i,0.00061852-0.00071075i,0.00019151-0.0014101i,0.00017585-0.00141i,0.00064225-0.00038201i,0.00036906-0.00032811i,-0.00047791+5.1421e-05i,-0.00053763+0.00043016i,-3.686e-05+0.00027679i,0.00062001+0.00018561i,0.001279-3.1741e-05i,0.00098191-7.1833e-05i
0.0012657+0.00031158i,0.0011518-0.0010312i,0.0009562-0.002954i,0.00048291-0.0023905i,-0.00025635-0.00086652i,-0.0010288-0.00047795i,-0.00043059-4.9134e-05i,0.00076177+0.00021059i,0.0012879+0.00052785i,0.001801+0.00032623i,0.0023365+0.00047027i,0.0020363+0.0018523i,0.0017744+0.0020397i,0.0016521+0.0010994i,0.00067199+0.00049252i,-0.00025685+3.8431e-05i,-0.00063761-0.0003957i,-0.0010514-0.00078704i,-0.00064802-0.0011502i,-5.6434e-05+0.00019269i,5.9609e-05+0.0013536i,0.00059812+0.0017155i,0.0014814+0.0017488i
-0.00074355+0.0013106i,0.00012938+0.0012277i,0.0017961+0.00058055i,0.0018572+0.00019845i,0.0015919+0.00064811i,0.0017182+0.00036564i,0.0011241+2.0106e-05i,0.00067207+0.0005941i,0.0012126+0.00075273i,0.0010525+0.00054354i,0.00029777+0.0010196i,0.00018784+0.0017258i,0.00056356+0.0021151i,0.0001923+0.0017085i,-0.00033548+0.00066397i,-0.00078323-0.00016931i,-0.00067719-0.0005089i,-0.00047713-0.00021082i,-9.808e-05-0.00013571i,0.0013236-0.00055288i,0.0018735-0.00083908i,0.0011952-0.00012433i,0.0014098+0.0013627i
-8.949e-05-0.0013199i,-0.0006185-0.00080425i,-0.00046569-0.00026512i,0.0002082+1.867e-05i,0.00018645+0.00025013i,0.00040716-0.0003166i,0.0012446+0.00018012i,0.0011481+0.0011606i,0.00078203+0.0013231i,0.00027635+0.0012144i,-0.00066494+0.0016379i,-0.0013911+0.0019286i,-0.0011524+0.0012349i,-0.00026449+0.00098992i,0.0003048+0.0010418i,0.0003748+0.00022809i,0.00053159-0.00072458i,0.00088152-0.00025581i,0.00040089+0.00044065i,-0.00040842+0.00018974i,-0.00088588+0.00070507i,-0.0010189+0.00099978i,-0.000436+0.00080641i
-0.00040386-0.0020575i,0.00015464-0.0018731i,-0.00031371-0.00042882i,-0.00051154-0.00013776i,0.00022976+0.00019002i,0.0012975+0.00088254i,0.0014862+0.00046475i,0.00062217-0.00033632i,-0.00014511+0.00041806i,-0.00015427+0.00034989i,-0.0010027+1.5617e-05i,-0.001684+0.00039505i,-0.0012748+0.00013426i,-0.0012826-0.00010184i,-0.00083752-7.3081e-05i,0.00013954+6.1566e-05i,0.00025889+0.00029107i,0.00011109+0.0002653i,-2.2626e-05-2.1383e-05i,-0.00038553-0.00020006i,-0.00065323-0.00050539i,-0.0012608-9.6998e-05i,-0.0016383+0.00066777i
-0.0013507+0.00031069i,-0.00083979-2.9431e-05i,-0.00093913+0.00033376i,0.00020905+9.8427e-05i,0.0021172-0.00054183i,0.0034561+0.00015271i,0.0020593+0.00057342i,0.0004456-0.00035594i,0.00019477-0.00037086i,0.00010845-0.00044877i,9.9618e-05-0.0010906i,-0.00071591-0.0015917i,-0.0016484-0.0016906i,-0.0022505-0.00037815i,-0.00183+0.00032745i,-0.0010131-0.0001256i,-0.00039258+0.00051333i,6.992e-05+0.001125i,0.00024023+0.0011056i,0.00013354+0.00034827i,-7.9129e-05-0.00035152i,-0.00019165+0.00027355i,-0.0010425+0.0001378i
-0.00085023-0.0011118i,-0.00064562-1.5976e-05i,-0.0008178+0.00064992i,-0.00057828+0.0020663i,0.00037512+0.0027865i,0.0013182+0.0021817i,0.0014697+0.001225i,0.0010492+0.00057817i,0.00073621+0.00016244i,0.00068112-0.00069862i,0.00051037-0.0016231i,-0.00045215-0.0017821i,-0.0011348-0.0011739i,-0.0010974-0.00073448i,-0.001085-0.00071385i,-0.00059091-0.00026459i,-0.00069981+0.0003033i,-0.00064982+0.00086409i,-0.00090527+0.00084155i,-0.0013987-6.0985e-05i,-0.00046083-0.00058037i,0.00010309-0.00026422i,4.35e-05-0.00067059i
-0.00036184-0.0020189i,-0.00077942-0.0028981i,-0.00021204-0.0030205i,0.00048829-0.0018526i,0.00023227-0.00061391i,-0.00020336-4.2755e-05i,-0.00036142+0.00020283i,0.00017105-0.00026744i,0.0015077-0.00059972i,0.002421-0.00083976i,0.0017511-0.0011713i,0.0013267-0.0017431i,0.0008866-0.0015378i,8.3182e-05-0.0012766i,-0.00065247-0.00086306i,-0.0011778-0.00014628i,-0.00043984-0.00032605i,0.00061833-0.00051757i,0.00080117-0.00050806i,0.00039607-0.0011916i,0.00033197-0.0012274i,0.00066268-0.00042824i,0.0001834-9.6402e-05i
-0.00069079-0.0003281i,0.0015888-0.00054326i,0.002573+0.00077341i,0.0013858+0.0020591i,0.0014467+0.0020891i,0.0023099+0.0017334i,0.0015314+0.0011877i,0.0012837+8.0998e-05i,0.001992+0.00026996i,0.0024999+0.00085871i,0.0024745+0.00078888i,0.002228+4.1929e-06i,0.0011518-0.001529i,-3.9639e-05-0.0019776i,-0.00067552-0.0010493i,-0.00081582-0.0002661i,-0.00089994+0.00024101i,-0.00096741+0.00011298i,-0.00054105-6.9621e-05i,6.1526e-05-0.00010307i,0.00025285-0.00074182i,-4.7115e-05-0.0012088i,0.00037746-0.0010999i
-0.00013362+0.00069804i,1.6789e-05+0.0018413i,0.00010612+0.0019685i,0.00014657+0.0011062i,0.001351+0.00058396i,0.0025926+0.0010656i,0.0028709+0.00065116i,0.0025746+0.00010298i,0.0018525+0.00085845i,0.0013467+0.0014203i,0.00081038+0.0012665i,0.0008764+0.00077891i,0.0011189+0.00015438i,0.0010022-0.0001403i,0.00082599-0.00026633i,0.00014698+6.5094e-06i,-0.00050319+0.00017955i,-0.00023935+0.00020466i,0.00057666+0.00022478i,0.00065292-0.0001139i,0.00094336-0.00027193i,0.0012612-4.8733e-07i,0.0012216+0.00042804i
0.00022138-0.00081378i,-0.00056989-0.0013612i,-0.00081359-0.0017553i,-0.00053577-0.0020696i,-0.00040153-0.0013932i,-0.00036813-0.00040236i,-5.2065e-05+0.00014614i,0.00081397+0.00011895i,0.00089204+0.00040564i,-5.3642e-05+0.00087761i,-0.00028627+0.00087652i,-0.00029006+0.0013992i,0.00044254+0.0015274i,0.00065899+0.0012496i,-0.00019282+0.00092657i,-0.000256+0.00038531i,0.00013818-6.7335e-05i,0.00055026+0.00038366i,0.00033407+0.0012997i,8.3467e-05+0.0013216i,0.00055826+0.00056506i,0.00083355+0.00049099i,0.00090082+0.00074427i
-8.4195e-05-0.0001489i,0.00058291+0.00028449i,0.0012836+0.00067508i,0.0010314+0.00043524i,0.0011204+0.00056557i,0.001445+0.0010016i,0.0013209+0.0006469i,0.0012445-0.00022035i,-4.7821e-06-0.00033525i,-0.00099947-0.00011528i,-0.001524+0.00019901i,-0.0019616+0.00026808i,-0.00098544+0.0003539i,0.00024608+0.00079671i,0.00035921+0.00060982i,0.00068303-0.00010218i,0.00075622-0.0002254i,0.00055818+9.059e-05i,-1.7945e-05+0.00044666i,-0.00086533+0.00073415i,-0.00015462+0.00081185i,0.00072645+0.00014763i,0.00061761+0.00050485i
0.00166+0.00041525i,0.00056043+0.0010065i,-0.00053945+0.0012096i,-4.9493e-05+0.00018807i,0.00084097+7.5609e-07i,0.00068502+0.00059396i,-7.8868e-06-0.00035692i,0.00029557-0.001334i,0.00099737-0.0019779i,0.00030874-0.0021993i,-0.00097311-0.0016374i,-0.0013716-0.00071156i,-0.001335-0.00053062i,-0.00079388-0.00046349i,0.00045046+0.00022705i,0.0013616+0.00067263i,0.0012371+0.00025912i,0.00041036+5.1243e-05i,-0.00019663+0.0002158i,-8.0705e-05+4.3499e-06i,-0.00054473+7.0052e-05i,-0.00013427+0.00033651i,0.00045898+0.00063273i
0.0020444+0.00092191i,0.000954+0.00057862i,-0.00063515-0.0004525i,-0.0010819-0.00085029i,-0.0014084-0.00019223i,-0.00081809+0.0010641i,0.00092917+0.0013222i,0.0014833+0.00041032i,0.0010772-0.00058946i,0.0007164-0.0022064i,0.00026064-0.0029774i,-0.00068292-0.0023318i,-0.00076204-0.00084827i,-0.00036542+0.00098302i,7.3308e-05+0.0014007i,0.00083958+0.00054867i,0.00083343-0.00013594i,3.2397e-05-0.00018926i,-0.0005772-0.00037751i,-0.00015451-0.00073209i,0.00047829-0.00032888i,-0.0001093+0.00010232i,-0.0011836+5.8135e-06i
0.0012727-0.00049976i,-0.00014003-0.00067487i,-0.00067761-0.0015414i,-0.00090873-0.0016096i,-0.00070421-0.00086959i,-0.00030805-5.5821e-05i,-4.7214e-05+0.00010049i,0.00097414-4.8398e-05i,0.0019258+6.5261e-05i,0.0013266-0.00034975i,0.00074242-0.00095599i,0.00088398-0.0010947i,7.0613e-05-0.0011241i,-0.00044508-0.0011076i,-0.00036401-0.00032514i,-0.00034538+0.00026759i,-0.0003587-0.00015588i,0.00057203-0.00020957i,0.0011619-0.00016703i,0.00055887+0.0001734i,0.00032514+0.00027343i,2.913e-05-0.00034676i,-0.00072384+0.00026252i
-0.0014149+0.00024694i,-2.0633e-05-0.00033045i,0.00091538-0.00076026i,0.0011496-0.00035317i,0.0015955+0.0011769i,0.0015304+0.0016042i,0.0013724+0.00079772i,0.0015632+0.00016287i,0.0018944+0.0002324i,0.0022286+0.00054627i,0.0019547+0.00042273i,0.0018285-0.00043644i,0.00044876-0.0008015i,-0.00072353-0.00075455i,-0.00041843-0.00037755i,-0.00033757+4.6449e-05i,-0.00049673+0.00033714i,5.9057e-05+7.1571e-05i,0.00090459-0.00058968i,0.00076725-0.00073795i,0.00073515-0.00040487i,0.0012915-0.00075918i,0.0013254-0.00075625i
4.2533e-05-0.00082518i,0.0010659-0.0016725i,0.00072754-0.0011224i,-5.7303e-05+0.00042869i,0.00043603+0.00037645i,0.00098954+0.00056451i,0.00056166+0.0005656i,0.0003561+0.00018727i,0.00044003+0.00091574i,0.00078373+0.0011595i,0.0012645+0.0010114i,0.0011155+0.0005805i,0.00061189-6.7567e-05i,-2.9634e-05-0.00090066i,-0.001083-0.00075833i,-0.00086657-6.1547e-05i,4.5762e-05+0.00013206i,0.00048078+0.00017526i,0.0011059+0.00070603i,0.0015246+0.00058874i,0.00072996+0.00081738i,0.00019731+0.0013255i,0.00099448+0.0010267i
0.0024776+0.001166i,0.0023877+0.0012111i,0.0033217+0.00019321i,0.0024585-0.0011911i,0.0013984-0.0014375i,0.001792-0.00044418i,0.0013647+0.00019417i,0.00090662+8.6491e-05i,0.00078959+0.00022478i,0.00015738+0.00032432i,9.7638e-05+0.00073386i,0.00049043+0.0014329i,0.00043232+0.0008462i,0.00043881-0.00073737i,0.00029035-0.00090545i,-0.00020474-5.0203e-05i,-0.00035609+6.8602e-06i,-0.00017383-0.00035995i,-5.9116e-05-0.0001179i,0.00014799+0.00061278i,-0.00037897+0.00092099i,-0.00074085+5.1804e-05i,-0.00029512-0.0007283i
0.0011635+0.00075512i,0.0011641+0.0013623i,0.0010901+0.002629i,0.00063416+0.0018511i,0.00013252+0.0011062i,0.0010397+0.0017348i,0.0017484+0.0012835i,0.0012889+0.00066016i,0.00025909+0.00019655i,-0.0011569-0.00042143i,-0.0016813-0.0001495i,-0.00087264+0.00018661i,1.514e-05-9.0386e-05i,0.0006223-0.0004643i,-0.00022395-0.00030248i,-0.00058903-0.0002209i,0.00039-0.00071104i,0.00015021-0.0010951i,-0.00048697-0.00058917i,-0.00094469+1.89e-05i,-0.0011202-0.00010864i,-0.00066014+3.904e-05i,-0.00036379+0.00016563i
-0.0023765+0.0019236i,-0.0025465+0.00089134i,-0.0019668+0.00090739i,-0.00026187+0.0012829i,0.0010364+0.0013236i,0.00085393+0.00046356i,0.00047327+0.00031723i,0.00075702+0.00071841i,0.0010813+0.0001738i,0.00026037-0.00085774i,-0.0011941-0.0012551i,-0.0010734-0.00087493i,-0.00055563-0.0001307i,0.00016646+0.00027335i,0.00028771+4.6054e-05i,-0.0003125-0.00055491i,-0.00041663-0.0005059i,0.00017771+0.00042924i,-0.00010442+0.00034838i,-0.00087391-0.00021831i,-0.00098207-0.00085197i,-0.00058482-0.0015995i,-0.0002096-0.0017061i
-0.0019351-0.0010997i,-0.0018729-0.00092034i,-0.0017144-0.0016094i,-0.00052172-0.00093979i,-0.0004258-0.00017733i,0.00029245+0.00022994i,0.0014781+0.0012505i,0.00065725+0.0009871i,0.00068139-0.00017941i,0.0018079-0.001643i,0.0011459-0.0022816i,-4.6186e-05-0.0012811i,-0.00010043-0.00042047i,0.00076981+4.7915e-05i,0.00081647-0.0001023i,0.00032045-0.0008229i,-0.00029886-0.0010534i,-0.00062159-0.0012942i,-7.489e-05-0.001618i,7.8009e-05-0.0018281i,2.3764e-05-0.0013648i,-0.00010118-0.00089565i,-0.00013374-0.0012568i
-0.00056855-0.0018964i,-0.00034302-0.0016669i,-0.00017059-0.0015602i,0.00035798-0.00054903i,0.00084182+0.0011268i,0.0018776+0.0018487i,0.0021307+0.0011551i,0.0016662+0.00026911i,0.0013948-0.00023341i,0.0017956-0.00025827i,0.0012977-0.00054385i,0.00012203-0.001463i,0.0001992-0.0014513i,-8.9977e-05-0.00074496i,-0.00073463+5.3169e-05i,-0.00076536-0.0002164i,-0.00050462-0.00057292i,-0.00010446-0.00059952i,6.5477e-05-0.00080651i,0.00014654-0.001309i,0.00057444-0.0014237i,0.0013742-0.00072665i,0.0015568-0.00041709i
0.0017387+0.00026649i,0.0015432-0.00056784i,0.0016592-0.00071266i,0.00128-0.00021401i,0.00086071-0.00073337i,0.0009315-0.00068257i,0.0011729+0.00055592i,0.0015874+0.0011614i,0.0017539+0.001608i,0.0017932+0.0010733i,0.0021628-0.00053909i,0.0013118-0.00053961i,7.6465e-05-0.00016332i,-0.0001915-0.00021052i,-0.0005254+0.00021682i,-0.00039796+0.00075422i,0.00039781+0.00036802i,0.0010867-0.00035004i,0.00080865-0.0013436i,0.00075184-0.0020097i,0.0023422-9.2784e-05i,0.0026467+0.0010789i,0.0014306+0.0006222i
