0.00078131+0.00046853i,-0.00055878-0.00033211i,-0.0020985-0.00040199i,-0.001578-0.0011559i,-0.0017744-0.00043287i,-0.0025902+0.0007126i,-0.0022094+0.0013657i,-0.0011918+0.0018238i,0.00092126+0.0015714i,0.0025805+0.0010348i,0.0021537-2.0304e-05i,0.00087127-0.00075762i,0.00042548-0.00053957i,0.00083964-0.00016134i,0.00039374-0.0004647i,-0.00075067-0.0010965i,-0.00056581-0.001414i,0.00026479-0.00037726i,0.00087037-0.00014595i,0.00034571-0.00043621i,-7.885e-06+1.6197e-05i,-0.00021312-0.00087929i,-0.00040642-0.0011993i
-0.00066122-0.00031281i,-0.00038893+9.8596e-05i,0.00039335+0.0012701i,0.0013795+0.0019142i,0.0012602+0.0009834i,0.00015661-0.00031203i,-0.00063655-0.001096i,-0.00075449-0.00078998i,-5.1172e-05+0.0003961i,0.00036771+0.0010229i,0.00076273+0.0015964i,0.00075345+0.0013217i,0.00022879+0.00052939i,0.00058522+0.00060834i,0.00064311-0.00027617i,0.00019903-0.00093498i,7.7398e-05-0.00030411i,-0.00010732+0.00060311i,-6.5877e-05+0.0012052i,0.00032659+0.0012394i,-0.00012992+0.00078655i,-0.00080141+0.00025558i,-0.00076629+2.9668e-05i
0.00082655-0.0013603i,0.00091555-0.0016478i,0.00075757-0.0018488i,6.1993e-05-0.0027357i,-0.00070275-0.0026994i,-0.0012421-0.0024439i,-0.0016722-0.0018346i,-0.0013924-0.00055147i,-0.0014506+0.00069328i,-0.00099173+0.0013424i,-2.3399e-05+0.0014813i,0.0010051+0.00054118i,0.00068548+0.00012443i,0.00013659-7.7161e-05i,0.00036248-0.0010438i,0.00021011-0.00045238i,-0.00026483+0.00015445i,-0.00063608-0.0001674i,-0.00053538+0.00020305i,-0.00021314+0.00075863i,0.00019669+0.00050914i,0.00023572-3.1133e-05i,-8.4063e-05-0.00075755i
-0.00041008-8.6423e-05i,0.00077695+0.00076085i,0.0022195+0.0015168i,0.002533+0.0014189i,0.0020006+0.00048684i,0.00082199-0.00065635i,-0.00068274-0.00097837i,-0.0016618+0.00029143i,-0.0011474+0.0013714i,-0.00031615+0.0020242i,0.00013379+0.0014923i,0.00024006+9.0147e-05i,0.00020463-0.00071453i,-0.00025308-0.00093895i,7.4229e-05-0.001129i,0.00026833-0.00086651i,-0.00023319-0.00068722i,-0.00083322-0.00080612i,-0.0010811-7.3302e-06i,-0.0011609-8.9737e-05i,0.00033453+0.00011908i,0.00042087+0.00051827i,-0.00098425+0.00024066i
0.00019436+0.0017287i,-0.00013403+0.00099265i,-0.00055597+0.00047964i,0.00040685-0.00069098i,0.0013826-0.0019309i,0.00044921-0.0024256i,-0.00054674-0.0018165i,-0.0008815-0.00029145i,-0.00083156+0.00088056i,-0.00023653+0.0010932i,0.00018804+0.00080683i,0.00082286+0.00047327i,0.00062394+0.00076785i,0.0008864+0.00096973i,0.0013921+0.00028119i,0.0009341-0.0004388i,0.0005924+2.2395e-05i,-3.9874e-05+0.00049582i,-0.001201+0.00087247i,-0.0010459+0.00064693i,-7.9744e-05-0.00022489i,6.9075e-05-0.0009226i,-0.00021002-0.0011253i
0.0025202+0.0025092i,0.0024031+0.0020112i,0.0036015+0.00022554i,0.0034971-0.0017942i,0.0015777-0.0028301i,-0.00024927-0.0021964i,-0.0011038-0.0011775i,-0.0011057+4.8361e-05i,-0.00087538+0.0011874i,-0.00039698+0.0017904i,-0.0002699+0.0016513i,-0.00063046+0.0010357i,-0.00076898+0.00091288i,-0.00039757+0.0010178i,0.00054574+9.2445e-05i,0.0008964-0.001094i,0.00071788-0.0012149i,0.00081404-0.00070488i,0.00043702-0.00027636i,-8.8853e-05+0.00028918i,0.00016924+0.00047892i,0.00016671-0.00020345i,-0.00026409-0.00029391i
-0.0013239+0.00019889i,-0.0015389+0.00077522i,-0.001234+0.0014926i,-3.0076e-05+0.0007525i,0.00080694+3.598e-05i,0.00046486-0.00054674i,-0.00060677-0.0010681i,-0.00087355-0.00036733i,-0.0010511+0.00069644i,-0.0012655+0.0010946i,-0.00047515+0.0010204i,-0.00032856+0.00052622i,-0.00040517+0.00053775i,0.00036242+4.7012e-05i,0.00088467-0.00036163i,0.00075346-0.00028449i,0.00015711-0.00024196i,3.9881e-05+0.00020823i,-9.1721e-05+0.00068333i,-6.9895e-05+0.0013834i,-0.00020845+0.0013002i,-0.00049907+0.00015682i,-0.00047319-0.00010304i
0.000129-0.0013851i,-0.00010704-0.0013529i,-0.00039946-0.0016377i,0.00022632-0.0019775i,0.00043193-0.0018195i,0.00063373-0.0010735i,-0.00017249-0.00081455i,-0.0015432+9.2207e-05i,-0.0021411+0.00090877i,-0.0017803+0.0016418i,-0.0010207+0.0024748i,-0.00083324+0.0020753i,-0.00060693+0.0010391i,-0.0002576+0.00020106i,8.9753e-05-0.0003932i,0.00035368-0.00079847i,5.1015e-06-0.00019256i,-0.0004141+0.0005075i,-0.00080022+0.00083981i,-0.00055094+0.0011073i,-0.00033378+0.00064847i,-0.0010233-0.00031233i,-0.0009919-0.00095345i
-0.001801-0.0015834i,-0.0026585-0.00075815i,-0.0029984-0.00044047i,-0.0019397+0.00061317i,-0.0010127+0.0010313i,-0.00011937-0.00065299i,6.7375e-05-0.0011281i,-0.00058696+0.00026797i,-0.0010107+0.0014193i,-0.00021165+0.0017529i,0.0008779+0.0019072i,0.00089181+0.0017146i,0.00019882+0.00079306i,0.0006339-0.00019766i,0.00063357-0.00053609i,0.00055568-0.00059031i,0.00089207-0.0005086i,0.00057573-3.4187e-05i,0.00064828+0.0010048i,0.00049158+0.00046694i,0.00054804-0.00016106i,0.00048626-0.0001062i,0.00028175+3.6796e-06i
-0.00028818+0.0013891i,0.0014939+0.00094475i,0.0026085+0.0015366i,0.0033054+0.00043758i,0.0027146-0.00099075i,0.0010162-0.0015325i,-0.00067426-0.001021i,-0.00095928-2.6678e-05i,-0.00035549+0.00087523i,0.00051621+0.0010428i,0.00089459+0.00062417i,0.0005864+0.00030073i,0.00033649+0.00071384i,0.00015682+0.00063939i,-0.00018969-8.4784e-05i,0.00027055-0.0011635i,0.0010975-0.00086286i,0.0011003+0.00022692i,0.00077356+9.0405e-06i,0.00018589+9.3114e-05i,-0.00018848+0.00072918i,-9.9451e-05+0.00084135i,-0.00020163+0.0011396i
-0.0017452+0.0023613i,-0.0010422+0.003149i,-0.0003219+0.0034918i,-4.8484e-05+0.0024554i,-0.00011428+0.0007185i,-0.00015769-0.00037504i,-0.00029695+0.00019128i,-0.0011416+0.0010762i,-0.001593+0.0013274i,-0.00091284+0.001404i,-8.1927e-05+0.0010715i,-0.00066523+0.00093209i,-0.00044019+0.00033224i,0.00054065-0.0011467i,0.00074475-0.0010399i,0.0010466+0.00063006i,0.0010602+0.0012104i,0.00097524+0.0013835i,0.0010404+0.0010167i,0.0008011+0.00032582i,0.00064503+0.00012495i,0.00011989-0.00034154i,-0.00085335-0.00027795i
-0.0010432+0.0016403i,-0.0010672+0.0014958i,0.00096587+0.00028389i,0.0014306-0.0007938i,0.00063983-0.0014466i,2.8379e-05-0.0015521i,-0.00020145-0.0011751i,-0.0003842-0.00026632i,-0.00073414+0.0012435i,-9.3181e-05+0.0020205i,0.00057758+0.0013283i,0.00011835+0.00043315i,0.00015277+0.00024178i,0.0002482+0.0003537i,-2.1193e-05+0.00013168i,6.2057e-05-0.00028571i,1.1901e-05-0.00023105i,-9.8698e-06-3.5056e-05i,1.6153e-05+2.43e-05i,-0.00028877+0.00055435i,-0.00062373+9.1872e-05i,0.00010125-0.00090448i,0.00015835-0.00070856i
-0.00033595+0.00037183i,-0.00052321+0.0010657i,2.7823e-05+0.00075835i,0.0011013-0.00015657i,0.0014864-0.00059655i,3.2127e-06-0.0012271i,-0.0012596-0.00058568i,-0.0018782-0.00051095i,-0.00099439-0.0010529i,0.00071198-0.00023281i,0.00068581+0.00050712i,6.1925e-05+0.00031748i,0.00011411-1.9493e-06i,0.0001454-0.00049474i,3.9749e-05-0.00090123i,0.00024327-0.0012753i,1.84e-05-0.0002879i,-0.00090481+0.00039111i,-0.001067+0.00010171i,-0.00052283-0.00021652i,0.00016114-0.00060759i,-0.00010108-0.00041736i,8.7988e-05-0.00034718i
0.0015766-0.0010469i,0.00075766-0.0011855i,-0.00010804-0.0016944i,0.0004071-0.0027744i,0.00076065-0.0027057i,0.00046649-0.0016108i,9.012e-05-0.00089623i,-0.0001871+0.00052835i,0.00040469+0.001689i,0.00090314+0.0014649i,0.00069078+0.0012354i,0.00015427+0.0010669i,0.0001641+0.00073657i,0.00037392+0.00079707i,0.00019194+0.00038153i,0.00052575-0.00025023i,0.00079322+0.00012363i,0.00032963+0.00042883i,-0.00040081+0.00046501i,-0.00034611+0.00034153i,-0.00025154-0.00097153i,-0.00010274-0.0014399i,-0.00013788-0.0010827i
0.0010319-0.00038745i,0.00052785-0.00019373i,-0.00064383-0.00034964i,-0.00040301-0.0012831i,0.00034247-0.0012983i,-0.00015533-0.00013237i,-0.0015834+0.00026379i,-0.0013041+0.00075374i,-0.00034534+0.0012564i,8.1912e-05+0.0012201i,0.00062795+0.0014879i,0.00084966+0.00085095i,0.00058162+8.0834e-05i,0.00093459-0.00025815i,0.0010223-0.0013561i,0.00077638-0.0015516i,0.00026997-0.00098622i,-0.00077255-0.00026067i,-0.00083022+0.00032594i,-0.00049529+0.00060472i,-4.0715e-05+9.8195e-05i,0.00014412-0.00027727i,-0.00052929+7.0942e-05i
0.0030001+0.0021519i,0.0026025+0.0006347i,0.0020235-0.00011261i,0.0020017-0.00085744i,0.0018771-0.0014975i,0.00057504-0.0018311i,-0.0013271-0.001412i,-0.0024566-0.00010601i,-0.0016419+0.001061i,-0.0006673+0.0018618i,0.00018281+0.0017584i,0.00067871+0.0016687i,0.00037628+0.0016203i,0.00020815+0.0012853i,0.00013111+0.0003369i,0.00070044-0.0014308i,0.00044199-0.001159i,-0.00024117-0.00028921i,-0.00064788-0.00031778i,-0.00033844-0.00018684i,-4.9037e-05+0.00059038i,-0.00073606+0.00087916i,-0.00078312+0.00020341i
-0.001716+0.00024249i,-0.0010986+0.00025827i,-0.0006292+0.0011433i,-0.000667+0.0010341i,-0.00011687+0.00034291i,-0.00063654-0.00032803i,-0.0012823-0.00072955i,-0.0019683+0.00040395i,-0.0019573+0.0016108i,-0.00086514+0.0026566i,0.00044718+0.0029623i,0.00036412+0.0021359i,-0.00010373+0.00092469i,-0.00057536+1.643e-05i,-0.00049994+3.2162e-05i,-0.00027817+0.00033752i,-0.00055986+4.1579e-05i,-0.00026728+2.3956e-05i,-0.00031145+0.00025655i,-0.00032599-0.0004048i,-0.00038491-0.00076908i,-0.00087263-0.00054831i,-0.00047881-0.0007379i
-0.00063996+0.0014484i,-0.00042166+0.0012857i,-0.00046066+0.00066594i,0.00061234+0.00013383i,0.0019964-0.00048796i,0.00097176-0.00096142i,-0.0008711-0.00014197i,-0.001162+0.00096485i,-0.00021744+0.00076498i,0.0002038+0.00051052i,0.0007677+0.00080079i,0.00091417+0.0007921i,-6.1587e-05+0.00027036i,-0.00050642+0.00029956i,-0.00023732+0.00048546i,-0.00017264+8.3685e-07i,-0.00023421-0.00034991i,-0.00036585-0.00044219i,-0.0001249+0.00024918i,-0.00010929+0.00092968i,-0.00034578+0.00043065i,3.3786e-05-0.00062665i,0.00045346-0.00030773i
0.0010713-0.00090495i,0.0011151-0.00087983i,0.0013-0.00065208i,0.00040254-0.001923i,0.00013213-0.0027434i,-0.00091448-0.0025953i,-0.0015327-0.0014097i,-0.0018676+5.0707e-05i,-0.0015989+0.00041166i,-0.00027425+0.0006795i,0.00055245+0.0016876i,0.00045898+0.0015179i,0.00010796+0.00025157i,0.00075593-0.00028531i,0.0012107-0.00050115i,0.000647-7.6895e-05i,0.00066505+0.00052944i,-0.00042846+0.0006533i,-0.0014799+3.8616e-05i,-0.00068538-0.00041326i,0.00024573-0.00027617i,-0.00035542-0.00064672i,-0.0009566-0.00080572i
-0.00085903-0.0012622i,-0.00091581-0.0018766i,-0.0010716-0.0014788i,-0.00071494-0.00080808i,0.00050268-0.0011352i,0.00050589-0.0015998i,-0.00026894-0.00041057i,-0.00098279+0.00119i,-0.0013615+0.0020842i,-0.00063745+0.0022746i,-0.00041603+0.001618i,-0.00015336+0.00091444i,0.00067366+0.00039054i,0.0011036-0.00017305i,0.00069558-0.00053711i,0.0006733-0.00047816i,0.00044946-0.0002669i,-0.00032757-0.00023109i,-0.00058509-0.00016489i,-0.00069839-0.0001391i,-0.00048611-0.00081914i,-0.00043507-0.0017419i,-2.194e-05-0.0012786i
0.00051826+0.00069666i,0.00098705-0.00079689i,0.002067-0.0007541i,0.0019153-0.00087436i,0.001475-0.0022406i,0.00073294-0.0018964i,-0.00068469-0.0010051i,-0.0013757-0.00072554i,-0.0014487+0.00022861i,-0.00060568+0.0013705i,0.00060788+0.0010618i,0.0010189-0.00017372i,0.0003626-0.00036058i,0.00024328-0.00049292i,0.00098711-0.00091326i,0.00080329-0.00015504i,0.00051839+0.00043336i,0.00020738+0.00044725i,-0.00074488+0.00076851i,-0.00063289+0.00090916i,0.00011161+0.00035412i,0.00080011-0.0001904i,0.0014087-4.7711e-05i
0.0014436-0.0015704i,0.00062905-0.0018343i,0.00041021-0.0022325i,-0.00010163-0.0010831i,7.3982e-05-0.0005953i,-0.00019136-0.001357i,-0.0013421-0.0011322i,-0.00096796+0.00021777i,-0.00076152+0.0012487i,-0.00064421+0.0015727i,0.00038061+0.0013286i,0.0010412+0.00056777i,0.0007481+0.00018707i,0.00028536+0.00040744i,0.00092022-5.6656e-05i,0.0013107-0.00065798i,0.00085327-0.0011843i,-7.9195e-05-0.00093861i,-0.0005973-0.00031731i,-0.00014031-0.00030727i,0.00053633-0.00098065i,0.0004243-0.00083831i,-0.0005179+0.00037412i
0.0014408+0.00092442i,0.0011993+0.00097103i,0.0018351-0.00048437i,0.0026535-0.0019359i,0.0018371-0.0019979i,0.00058817-0.002155i,-0.00020849-0.0010917i,-0.00090219+0.00088963i,-0.00099897+0.0021211i,-0.00020644+0.0020791i,0.00021423+0.0010881i,-0.00047261+0.00061733i,-0.0011064+0.00096341i,-0.00054148+0.0006843i,0.00070297+0.00028718i,0.0013313+0.00019226i,0.00079399+0.00015446i,0.000455+0.00018228i,-8.1984e-05+0.00063076i,-0.00045502+0.00083688i,-0.00013645-0.00021119i,-8.2187e-05-0.00076154i,-0.00063779+0.00024323i
0.00079576-0.00011025i,0.0016825-0.00035447i,0.0013442-0.001068i,0.00020741-0.0012018i,-0.00053087-0.0011577i,-0.0011825-0.00094325i,-0.0014745-0.00069004i,-0.0014063+0.00024767i,-0.0015877+0.0016944i,-0.00142+0.0018099i,-0.00021849+0.0010092i,0.00052412+0.00098965i,0.00047276+0.00090967i,0.00026027+0.00037371i,0.0009427-9.6334e-05i,0.0018551-0.00042449i,0.0018519-0.0004157i,0.0012374+0.00048266i,0.00054982+0.00099567i,0.00040519+0.00049999i,0.00067477-0.00012889i,0.00011267-0.00061828i,-0.0008777-0.00042629i
-0.00086137-0.00043533i,-0.0010127-0.0010599i,-0.0010463-0.00095713i,-0.00081586-0.0012649i,0.00072313-0.0021692i,0.0013395-0.0025096i,0.00045645-0.0019102i,-0.00069971-0.00057833i,-0.0018257+0.00079525i,-0.0013013+0.0015129i,0.00018641+0.0013809i,0.00065309+0.00036558i,0.00044433+0.00034401i,4.8527e-05+0.00057617i,-0.00039294+4.8656e-05i,-0.00012942-5.4572e-05i,-0.00012401-0.00055123i,-0.00013223-0.0003301i,-0.00044927+0.0011902i,-0.00052455+0.0015594i,-0.00056032+0.00063966i,-0.00044782-0.00044349i,-0.00054433-0.00081246i
0.0010494-0.00067116i,0.0016466-0.0013105i,0.0016523-0.00098149i,0.00068869-0.0021264i,-0.00062809-0.0029339i,-0.0013446-0.002558i,-0.001223-0.0014078i,-0.0020913-5.0234e-05i,-0.0022676+0.0011292i,-0.0016224+0.0016029i,-0.00072931+0.00070943i,-1.6921e-05-0.00016469i,-0.00060872-0.0003956i,-0.0009248-0.0003359i,0.0001272-0.00024794i,0.00055824-0.0004804i,0.00035002-0.00039842i,-0.00012545-0.00021869i,-0.00056471-0.00041019i,-0.00029848-0.0005387i,0.00041735-0.00015293i,0.00052516-0.00024046i,0.00038823-0.00010361i
-0.00083965-0.00047319i,-0.0016648-5.0303e-05i,-0.0016367+0.00018946i,-0.0005655-0.00015722i,0.00013067-0.0012198i,0.00059316-0.0014143i,6.568e-05-9.1231e-05i,-0.00095675+0.00058581i,-0.0015575+0.00063737i,-0.00063557+0.0009488i,0.00042987+0.00073722i,0.00044303+0.00047009i,0.00015466+0.00021332i,-8.2781e-05+0.00013684i,-0.00029269-8.8444e-05i,-0.00045903-0.00039051i,-0.0001281-0.0007407i,-0.00010409-0.00033451i,-0.00065486+8.6036e-05i,-0.00037482+0.00044794i,0.00025367-8.7487e-05i,-0.00035913-0.0010576i,-0.00084972-0.00052675i
0.0029267+0.0014477i,0.0026261+0.00057035i,0.0035929-0.0011678i,0.0040862-0.0024418i,0.0025693-0.0030544i,0.00050858-0.002165i,-0.00054707-0.00092997i,-0.00095303-0.00026053i,-0.0010837+0.00052078i,-0.00047716+0.00032846i,0.00018684+0.00045707i,-3.0613e-05+0.0013386i,-0.00039042+0.0014487i,0.00021941+0.0015812i,0.001042+0.00097133i,0.001005-0.00029793i,0.00011549-0.00048612i,-1.2456e-05-2.6941e-05i,-0.00032785+0.00012232i,-0.00061679-1.9511e-05i,0.00032372-0.00045069i,0.00033932-0.00083541i,-0.00048782-0.0008785i
-0.0018916+0.0020954i,-0.00069521+0.0022767i,0.0001337+0.0025501i,0.00018175+0.0011812i,0.00079214-0.0013125i,0.00035282-0.0019786i,-0.00054262-0.0012665i,-0.00071756+0.00017551i,-0.00093523+0.0018687i,-0.000308+0.0022927i,0.00082935+0.0017932i,0.0013276+0.0011394i,0.0014196+0.00072216i,0.00047006+0.00034239i,9.4969e-05-4.9218e-05i,0.00056649+8.9188e-05i,0.00040782+0.00029899i,0.00064348+0.00094925i,0.00034058+0.00026802i,-0.00052203-0.00091355i,-0.00071328-0.00037076i,-0.00065586-0.00019818i,-4.7329e-05-0.0002605i
0.00022815+0.002796i,-0.00015356+0.0025075i,0.00057249+0.0010653i,0.0020065-0.00024484i,0.0020267-0.0019286i,0.00023483-0.0026543i,-0.00092642-0.00092589i,-0.00075058+0.00099356i,-0.00022186+0.001391i,6.9567e-06+0.0012401i,0.00010622+0.0014025i,6.5587e-05+0.00081218i,-2.8209e-05-0.00021585i,0.00026232-0.00017916i,0.00057928+0.00022794i,0.00023994+0.00045389i,1.4344e-05-0.00021684i,-7.5065e-05-0.00090288i,-6.5382e-06-0.00035473i,0.00028543+0.00033167i,0.00025702+0.00051896i,0.00040982+0.00064062i,0.00054701+0.0010699i
-2.6421e-05-0.00088598i,-0.0014232-0.0012937i,-0.0015856-0.0014782i,-0.00042665-0.0015782i,0.00030814-0.0018101i,-2.7373e-05-0.0010517i,-0.00074838-0.00049997i,-0.00097831+0.00030801i,-0.001285+0.0013672i,-0.0014085+0.0020575i,-0.00097288+0.00252i,-0.0007481+0.0015674i,-0.00031144+0.00055664i,0.00063849+0.00047865i,0.00060621-0.00028446i,6.9496e-05-0.00071285i,-0.00016667-0.00010004i,-0.00044145+0.00035604i,-0.00066283+0.00056599i,-0.00011435+0.00083556i,0.00029726+0.00092236i,0.00015585+0.00038651i,-0.00017607+0.00017644i
-0.001117-0.00057906i,-0.00095156-0.00072638i,-0.00091423-0.00011942i,0.00067209-0.00081255i,0.0019642-0.001784i,0.00082153-0.0017252i,-0.0012672-0.00061157i,-0.0016581+0.00087791i,-0.0013542+0.0016484i,-0.0013187+0.0024793i,-0.0012815+0.0019002i,-0.00058369-4.9872e-05i,7.4789e-05-0.00068742i,0.00037552-0.00036242i,0.00063812-0.00025765i,0.00050988-0.0004989i,0.00035825-0.00050365i,-0.00028909-0.00086653i,-0.00076083-0.00033609i,-0.00062523+0.00062675i,-3.0974e-05+0.00046132i,6.0143e-05-0.00059548i,-0.00076776-0.00043975i
0.00032987-0.0031255i,6.3524e-05-0.0029077i,0.00029352-0.001951i,-0.00033377-0.00049694i,-0.00010284-0.00040543i,0.00017747-0.0013194i,-0.0003807-0.00090728i,-0.0016288+0.00061735i,-0.002439+0.00093996i,-0.0020173+0.00084794i,-0.00057802+0.001665i,0.00048673+0.0013952i,0.00092181+0.00087866i,0.0006587+0.000879i,0.0007974-0.00013865i,0.0012261-0.00081897i,0.00074776-0.00098239i,-0.00013496-0.0014003i,-0.00063476-0.00094812i,0.00020234+0.00020713i,0.0007783+0.00013687i,0.00024323-0.00050003i,-0.00040411+6.7017e-05i
0.001022-0.0018701i,0.00082993-0.0011999i,0.00015708-0.0021271i,-0.00030339-0.0018697i,4.486e-05-0.0016878i,-0.00037402-0.0020367i,-0.0015672-0.0016212i,-0.0017875-0.00024047i,-0.0012391+0.0008459i,-0.00057054+0.0014087i,-0.00015205+0.0020059i,3.9492e-05+0.0013096i,0.0006591+0.0007794i,0.00079784+0.0012652i,0.00036606+0.00068341i,0.00034782+5.2535e-05i,0.00030842-0.00013094i,0.00026184-0.00012786i,-0.00022311+0.00026463i,-0.00051575+0.00050585i,-0.00032763+0.00031913i,-0.00061244-0.00038098i,-0.00077659-0.00058948i
-0.00077918+0.00021982i,-0.0016108+0.0003793i,-0.0009406+0.00023506i,0.0002579+0.00054972i,0.00010697+0.00011412i,-0.00034261-0.0010142i,-0.00038917-0.0017066i,-0.00049922-0.00064715i,-0.00044369+0.00070345i,-0.00061027+0.0015477i,-0.00061768+0.0019843i,-0.00014661+0.0011951i,0.0003468+6.1706e-05i,0.0010591-0.00064896i,0.0015245-0.00045497i,0.00058324-0.00057929i,-0.00011675-0.00083543i,-0.00023718-0.00046923i,-0.00060784+0.00064577i,-0.00041453+0.00090521i,0.00093334+0.00026452i,0.0012151+0.00028155i,0.00054969+0.00056946i
-0.0017764-0.0015727i,-0.0017613-0.0016719i,-0.0016176-0.0016558i,-0.00085221-0.0023145i,-0.00015081-0.002417i,-0.00025976-0.0017047i,-0.00070764-0.00078546i,-0.00098746+0.00023011i,-0.00097359+0.00097346i,-0.00079804+0.0011003i,-0.0008866+0.00098285i,-0.0006821+0.00063315i,-0.00052427-7.3923e-05i,5.8152e-05-0.00015172i,0.00036611+8.8042e-05i,0.00054406-4.2443e-05i,0.0010999+1.6291e-05i,0.00036967-0.00070523i,-0.0008028-0.0006287i,-0.001134+0.00056051i,-0.0003726+0.00020445i,0.00022314-0.00048547i,0.00019766-0.00016885i
0.00027259+0.00034672i,-0.00036486+0.00092319i,0.00052101+0.00023106i,0.0010292-0.00045913i,-0.00027457-0.00070565i,-0.0010652-0.00099914i,-0.00060435+0.00013134i,-0.00036283+0.001146i,-0.00035252+0.001452i,-0.00033213+0.0017876i,0.00020918+0.0020446i,0.00064859+0.001314i,-0.00015457+0.00032579i,-0.000416-0.00016759i,0.00013299-0.00034923i,0.00033176-0.0001904i,0.00010504-4.4249e-05i,-0.00052298+0.00045786i,-0.0012281+0.00036004i,-0.00082117+0.00033199i,0.00064492+0.00042837i,0.00036862-2.913e-05i,-0.00077048-0.00072433i
-0.00045457-0.0016653i,0.00026425-0.0012433i,0.00028385-0.0020734i,-0.00029306-0.0012665i,-0.00083676-0.00051437i,-0.00051652-0.00049313i,-0.00057136-0.00036618i,-0.0006929-0.00040303i,-0.00087321+0.00020953i,-0.00065443+0.0016348i,2.2196e-05+0.00312i,3.8658e-05+0.0025486i,-0.00019883+0.0012674i,0.00017476+0.00047104i,0.00031565+0.00015925i,3.0628e-05+0.0012349i,-0.00045+0.0015418i,-0.0010193+0.0007704i,-0.0004491+0.00048435i,0.00083941+0.00080039i,0.00085175+0.0005961i,0.00020511+0.00036957i,0.0005234+0.00048582i
0.0010034-5.6926e-05i,0.0013126+6.6484e-05i,0.0020078-6.7698e-05i,0.0030604-0.00054316i,0.0027151-0.0010266i,0.0010352-0.0011522i,-0.00034337-0.00057784i,-0.0013451+0.00081017i,-0.0012959+0.0022581i,-0.00075295+0.0025334i,-0.00089779+0.0018574i,-0.00066164+0.00085237i,-0.000104+2.9654e-05i,0.00024508-0.00084469i,7.3214e-05-0.0010143i,-0.00078485-0.00014205i,-0.0010705+0.00026577i,-0.00091035-3.5337e-05i,-0.00080141-0.00020863i,-0.00013813+0.00016022i,0.0002885-8.1632e-05i,1.6924e-05-9.9449e-05i,-0.00057901+0.00029571i
-0.00023031-0.0011081i,-0.00019892-0.0013051i,-0.0010955-0.0011704i,-0.001688-0.00037483i,-0.0013355-0.00019883i,-0.00084298-0.0013114i,-0.0013819-0.00090042i,-0.0014935+0.0005365i,-0.0011577+0.0025518i,-0.00057926+0.0041114i,-2.7824e-05+0.0033043i,0.00015127+0.0013887i,0.00047015+0.00082908i,0.00041071+0.00030864i,0.00013996-0.00056704i,0.00046952-0.00063118i,0.0007919-0.0003502i,5.9932e-06-8.0749e-05i,-8.0441e-05+0.00041136i,2.1146e-05+0.00099549i,-0.00062347+0.00046797i,-0.00034357-0.00016384i,0.00025703-0.0009427i
0.00081821+0.0033814i,0.0014525+0.0035512i,0.002242+0.0023936i,0.003237+0.00019282i,0.002685-0.001588i,0.001274-0.0022679i,-0.00024478-0.0013724i,-0.001959-4.7367e-05i,-0.0018812+0.0014872i,-0.00077306+0.0023104i,0.00036851+0.001878i,0.00021692+0.00067267i,-0.00056477-0.00048269i,-0.00093294-0.00056383i,-0.0011984-0.00028443i,-0.00072444-0.00026768i,-0.00050666-0.00019438i,-0.00031311+0.00015162i,-0.00070912+0.0007796i,-0.00040553+0.00063708i,0.00023933+0.00029357i,8.5656e-05-9.186e-05i,-0.00038104+4.3133e-05i
-0.00031639+0.00055574i,0.00072789+0.00071433i,0.0010069+0.00020262i,0.00027406-0.00038418i,-0.00033774-0.0012962i,5.9684e-05-0.0017419i,1.483e-05-0.0011121i,-0.001335-0.00020932i,-0.0019702+0.0014622i,-0.00021521+0.0019763i,0.00062944+0.0011994i,-0.00013439+0.0005724i,-0.00063372+0.00044226i,-7.6251e-05+0.00016462i,0.00083142-4.7533e-05i,0.00012573+9.4655e-05i,-0.0010967-0.00013073i,-0.0010044-0.00062421i,-0.00027187-0.00051113i,-0.00016565+0.00018968i,-0.00023091+3.5179e-05i,0.0003122-0.00034163i,0.00011492-0.00043725i
-0.0014944-3.9602e-05i,-0.0012112-6.08e-05i,-0.0010769+0.00080862i,-8.0374e-05+0.00028916i,0.0017385-0.0015538i,0.00083346-0.0020225i,-0.0010004-0.00087135i,-0.0014872+0.00058539i,-0.0018119+0.001179i,-0.0014699+0.0014845i,-0.00031799+0.0012933i,-0.000129+0.001069i,-4.5968e-05+0.0013474i,0.00044583+0.00098316i,-9.3022e-05-7.144e-05i,-0.00037159-0.0009008i,0.00019159-0.0010344i,0.00052109-0.0011227i,0.00017993-0.00082364i,-0.00017805+0.00038478i,-0.00030282+0.00065819i,-0.00039148+0.00030284i,-0.00021757+0.00025321i
0.00047759-0.0017009i,0.00062204-0.00097063i,0.00043508-0.00094237i,0.00095443-0.0016537i,0.0012414-0.0013222i,-7.0663e-05-0.0011651i,-0.0013465-0.0013787i,-0.0010923-0.00021693i,-0.000638+0.00034016i,-0.00025658+7.5319e-05i,0.00052341+0.0013323i,0.00042057+0.0017034i,-7.0658e-06+0.001045i,-0.00016588+0.00073371i,-0.00015281+0.00040729i,-0.00038399-3.8963e-05i,-0.00067816-9.6431e-05i,-0.00092334-5.5519e-05i,-0.00036966+0.00096887i,-0.00028584+0.0018244i,-0.0003555+0.00010849i,-0.00032906-0.0012934i,-0.00043887-0.0005203i
