0.00073439-5.8267e-05i,0.00093545-0.00087142i,-0.00029303-0.002174i,-0.0010624-0.0026538i,-0.001724-0.0011005i,-0.0021806+0.00037364i,-0.00089395+0.0011208i,0.00083025+0.0013062i,0.0017001+0.00068249i,0.00142-4.8974e-05i,0.00045096-0.00021642i,-0.00047703-0.00045046i,-0.00067109-0.00057191i,-0.0002843-8.4225e-05i,-0.00035615-5.6209e-05i,-0.00034303-0.00043876i,-8.8906e-05+1.9973e-05i,0.00024487+0.00071322i,0.00048022+0.00055914i,0.00068568-6.1035e-05i,0.0011765+7.2284e-05i,0.00059348-0.0003369i,-0.00039251-0.00090396i
-0.0017166+0.0014479i,-0.0012813+0.0013111i,4.2662e-05+0.0016741i,0.00078191+0.0019431i,-8.0802e-05+0.00092319i,-0.00051277-0.00020084i,-0.00070153+0.00019462i,-0.00046257+0.00011352i,-0.00050992-0.00083642i,-0.0014033-0.0011595i,-0.0017099-0.00099517i,-0.00090912-0.00061984i,-0.00042678+0.00021051i,-0.0003974+0.00035556i,0.00034129-7.9032e-06i,0.00068121+0.00023106i,0.00038916+0.0008013i,0.00035459+0.0006844i,-0.00035364+0.00047089i,-0.00030682+0.00096455i,0.00017048+0.00095323i,0.00056254+0.00060035i,0.0001763+0.00013812i
0.00016291+5.7836e-05i,0.00036121-0.00029864i,0.00026857+7.581e-05i,-0.00019711+5.4532e-05i,-1.0491e-05-0.00017432i,0.00063567-2.713e-05i,0.00074449-0.00022281i,-0.00016758-0.00069101i,-0.00077625-0.00075955i,-0.00095754-0.00039851i,-0.0011356+0.00012213i,-0.00069734+0.0010395i,-0.00047038+0.001539i,-0.00061133+0.0014487i,-0.00099311+0.00098707i,-0.00086643+0.00094739i,-0.00082614+0.0017768i,-0.00061508+0.0017332i,-0.00017243+0.00035519i,-0.0003501-0.00071464i,-2.5863e-05-0.00029267i,0.00029964+0.00074145i,0.00041509+4.1965e-05i
-0.00061885+0.00069226i,-0.00087481+0.00021316i,-0.0017294+0.00036835i,-0.00097619+4.6766e-05i,0.00019014-0.00070732i,0.00059654-0.0014513i,0.00056565-0.0010412i,9.9133e-05-0.00037355i,-0.00021884-0.00037693i,-0.00021384-7.1342e-05i,0.00053161+0.00024547i,0.0009582+0.00030247i,0.00051323-0.00024365i,-0.00037913+3.5504e-06i,-0.0002523+0.00084334i,0.00017014+0.0013009i,-2.093e-05+0.001093i,0.00024972+0.00072304i,4.7239e-05+0.00015568i,-0.0010727-0.00063444i,-0.00095609-0.0005028i,0.00037108+0.00052477i,0.00059312+0.0010635i
-0.0019141-0.0004117i,-0.0023843-0.0010934i,-0.0022829-0.00036578i,-0.0015851+0.00067034i,-0.0010615+0.00097762i,2.4746e-05+0.00061135i,0.001009-0.00070184i,0.0015746-0.0014685i,0.00069944-0.0010701i,-0.00062659-0.00065297i,-0.00054473-8.8719e-05i,0.00026426+0.00048495i,0.00041678+0.0010464i,0.00056144+0.0013644i,0.00079883+0.0011357i,0.00082827+0.0003629i,0.00084799+0.00043552i,-0.00033971+0.0014075i,-0.0012139+0.0011279i,-0.00066717+0.00026204i,-0.00035301-0.00026981i,-0.00031457-0.00049953i,-0.00024346+0.00019749i
0.0025686-0.0011972i,0.0024568-0.0013075i,0.00245-0.0022127i,0.0017676-0.0021156i,0.0004554-0.0016229i,-1.6365e-06-0.0014505i,-0.000277-0.0011381i,-0.00013851-0.0016702i,-0.00016482-0.0012023i,-0.0010891-0.00033428i,-0.00077763+0.00042159i,-0.00028201+0.00084635i,0.00018229+0.0010635i,0.00038923+0.0018815i,4.9067e-05+0.0018672i,-0.00037854+0.0016015i,-0.00091741+0.00089116i,-0.00021673-0.00023269i,0.0002866+0.00017114i,-0.00050962+0.00023261i,-0.00046937+0.00028597i,-0.00027782+0.00097938i,-0.00028537+0.0007428i
0.0019872-0.00030572i,0.0010182-0.00013886i,0.0015961+0.00015741i,0.0022633-0.00018641i,0.0015229-0.00059887i,0.00026332-0.0007626i,-1.5217e-05-0.0012864i,-0.00080401-0.0014583i,-0.0011694-0.0010192i,-0.00057906-0.00074973i,-0.00030869-0.00017841i,-0.00079967+9.2866e-05i,-0.00061109+0.00037462i,-0.00035235+0.0012435i,-0.00018021+0.0015999i,0.00049949+0.0014203i,0.00066919+0.00099096i,0.00056551+4.0639e-06i,0.00044723-0.00075635i,0.00033838-0.0010391i,0.00026696-0.00096734i,-2.9724e-05-0.00079869i,-0.00037269-0.00013377i
4.4238e-05+0.00021315i,-0.00054508+0.00085561i,-0.0014141+0.0024197i,-0.0012238+0.001866i,-0.00022754+0.0017604i,3.8383e-05+0.0011711i,0.0001788-0.00020234i,0.0002329-0.00070922i,-0.00025483-0.00087666i,-0.0012092-0.00026583i,-0.0013592+0.00057927i,7.8418e-05+0.00077722i,0.00053655+0.0011079i,0.0002021+0.0011972i,0.0006099+0.00083119i,0.0010582+0.00095234i,0.0016044+0.0011911i,0.0015156+0.0010797i,0.0002841+0.00039749i,-0.00057443+0.00048095i,-0.00073451+0.00062552i,-0.00017256+0.0001084i,0.00063173+0.00016857i
0.00085162+0.0006238i,0.0011715+0.0008514i,0.0022224+0.0001004i,0.0024331-0.00066853i,0.0011961-0.0013263i,0.00034996-0.0016339i,0.00056384-0.00085833i,0.00068103+2.9555e-05i,-0.00024555-0.00043227i,-0.00090387-0.0010844i,-0.00091788-0.00036819i,-0.00087065+0.00069499i,-0.00059238+0.0013851i,-0.00015064+0.001499i,0.000381+0.00068558i,0.00044554+0.0007894i,0.00048449+0.0011666i,0.0013741+0.0012895i,0.0013936+0.001181i,0.00040183+0.00081187i,-6.3397e-05+0.00062057i,0.00049754-0.00038265i,0.00046872-0.00085381i
0.002461-0.0013994i,0.001241-0.0019646i,0.0010026-0.0030592i,-4.641e-05-0.0026087i,-0.0013123-0.0014507i,-0.00062147-0.00034396i,0.00044457+7.0169e-05i,0.00011931+8.7359e-05i,-0.0008797-0.00025047i,-0.0010319+4.5753e-05i,-0.00076873+0.00099168i,-0.0007677+0.0010525i,-0.00039197+0.00087363i,-0.00024536+0.0010618i,-0.00060989+0.00092292i,-0.00013712+0.00080767i,0.00041766+0.000315i,0.00025216-0.00032801i,0.00035449-0.00043128i,0.00021377-0.0003211i,-0.00042102-7.239e-05i,-0.0010353+0.00035772i,-0.00097072+0.00024038i
-0.0010467+0.0011626i,0.00015398+0.0015785i,0.00025981+0.0017011i,-0.00033931+0.0016581i,-0.00048673+0.0012365i,7.4872e-05-5.2475e-06i,0.0002696-0.00051265i,0.0002021+0.00026483i,-5.5291e-05+0.00068212i,-0.00098271+0.00091303i,-0.0012051+0.0011531i,-0.00059564+0.00060426i,-0.00050252+0.00057593i,-0.00078589+0.0010298i,-0.00097608+0.00054514i,-0.00011573+0.00034871i,0.00094579+0.00084522i,0.0010043+0.00075148i,0.00053063+0.00024801i,-0.00032731-0.00012271i,-0.0010931+5.0597e-06i,-0.00071882-0.00021871i,-0.00062471-0.00036723i
0.0015518+4.838e-05i,0.00059478-0.00012828i,-0.00010543-0.00014928i,-3.305e-05-0.00075891i,8.6045e-05-0.0015686i,-0.00067467-0.0015307i,-0.0010994-0.00047993i,-0.00059694+0.00051054i,-9.841e-05+0.00016288i,-0.00066358-0.00070798i,-0.0008925-0.0005745i,-0.00054281+0.00024993i,-0.00013581+0.0010947i,0.0001345+0.0014883i,0.00031929+0.0015995i,0.00019732+0.0015867i,-0.00034655+0.00060677i,-0.00013018-0.00043041i,0.00090587-0.00049476i,0.0009154-0.00026228i,0.00025908+0.00012507i,0.00054763+0.00044727i,0.00053487+0.00055252i
0.0022031+2.9349e-05i,0.0013591-0.00032602i,8.1853e-05-0.0017447i,-0.00024925-0.002103i,-0.000183-0.0012934i,0.00040115-0.00077101i,0.0011579+0.00014089i,0.0011811+0.00036334i,0.0010855-0.00018752i,4.3021e-05-4.1948e-05i,-0.00090665+2.9996e-05i,-0.00083301+0.00023075i,-0.00038797+0.0011378i,-0.00010947+0.0015555i,0.00036798+0.00062924i,0.00084475+0.00017228i,0.00081456+0.00071366i,0.00076371+0.00060283i,0.00084964+0.00060477i,0.00053362+0.00038131i,0.00020214-0.00024968i,-0.00023326-0.00055232i,-2.3378e-05+0.00016369i
