-0.0021318+0.00031859i,-0.0032448+0.0006639i,-0.00294+0.00097697i,-0.0012077+0.00066488i,-0.0013962+0.0008604i,-0.0018557+0.0010071i,-0.0013218+4.9983e-05i,0.00029365-0.00027296i,0.001168-0.00027374i,0.0011325-0.00011396i,0.00083393-2.3671e-06i,0.00042983-7.8309e-05i,0.00081806+0.00016087i,0.00044199+0.00044015i,-0.00031119+0.0003325i,-0.00069588+0.0002849i,-0.00085375+7.9266e-05i,-0.00074209-0.00020188i,-0.00030947+3.577e-06i,0.00010025+0.00053543i,0.00044647+8.759e-05i,9.4984e-05-0.00032761i,-0.00013375-0.00022422i
-0.0016437-0.00059856i,-0.0013679+0.00025294i,-0.0015827+0.0012626i,-0.0016237+0.0014051i,-0.002154+0.00093959i,-0.0021609-0.0012038i,-0.0019945-0.0035841i,-0.0018994-0.0035661i,-0.00093792-0.0020589i,0.00017379-0.0010127i,0.00042722-0.00043199i,0.00035011+0.00019094i,-0.00079141+0.0010724i,-0.0021351+0.00054198i,-0.0016699-0.00037514i,-0.00089524-0.00083418i,-0.0004985-0.0014688i,-0.00051008-0.00041954i,-0.00023705+0.00078848i,0.00082394+0.00079846i,0.00092655+0.00023197i,0.00050943-0.00031275i,0.00060119-0.00024562i
0.00078864-0.0016924i,-0.00082209-0.0012321i,-0.0040126-0.00044567i,-0.0049798-0.00022063i,-0.0031671-0.0019755i,-0.00046947-0.0043705i,0.001042-0.0057252i,0.0020451-0.0049929i,0.0031119-0.0031543i,0.0027174-0.0019538i,0.00050998-0.0012611i,-0.001427-0.00043006i,-0.0019364-0.00027928i,-0.0016471-0.0010967i,-8.1855e-05-0.0011823i,0.00052767+0.0001792i,-0.00030004+0.0009425i,-1.7068e-05+0.00084525i,0.00035801+0.00081228i,0.00035615+0.00047769i,0.00028478+0.00043606i,-1.5355e-05+0.00034167i,-0.00018063+0.00026407i
0.001333-0.0014182i,0.00055678-0.0021217i,-0.0006159-0.0043851i,-0.0012286-0.0045655i,0.00048213-0.0036408i,0.0037823-0.0038227i,0.0058487-0.0038447i,0.0058701-0.0038918i,0.0042956-0.0037439i,0.0022002-0.0032401i,0.0013376-0.0022054i,3.7895e-06-0.00089315i,-0.00093289-0.0012304i,0.00042721-0.0021086i,0.0018686-0.0013918i,0.0011451-0.0003882i,0.00020515-0.00011329i,0.0011526+5.673e-05i,0.0018699+0.00058249i,0.00098212+0.000944i,-4.8532e-05+0.00071698i,-0.00078161+0.00060787i,-0.00093581+0.00091294i
0.0018521-0.00017088i,0.00091616-0.001163i,0.001408-0.00099397i,0.0013495-0.0010123i,0.0023164-0.0023703i,0.004057-0.0027921i,0.0057066-0.0025017i,0.0057882-0.0028633i,0.0044227-0.0020661i,0.0022467-0.0010025i,0.00057975-0.00057456i,-0.00045158-0.00067878i,-0.00056839-0.0018384i,0.00046492-0.0026406i,0.0013335-0.0018901i,0.00096039-0.00088279i,0.00069555-0.00054766i,0.00032223+0.00048509i,5.3135e-05+0.0019144i,5.2597e-05+0.002378i,0.00015185+0.00094737i,-6.1512e-05+1.3045e-05i,-0.00018003+0.00083032i
-0.0040364+0.00093921i,-0.0042177+0.001081i,-0.0045507+0.00074885i,-0.0033025+0.0010173i,-0.00020627+0.0020428i,0.0035715+0.0028228i,0.005372+0.0028189i,0.0052848+0.0025686i,0.0036857+0.0014689i,0.0013584+0.0011204i,0.00053784+0.0013188i,0.0015472+0.00054616i,0.0035191-0.00090396i,0.0041304-0.0014428i,0.0025738-0.0011132i,0.00088748-0.0016043i,0.00071431-0.0017626i,0.00037184-0.0013172i,2.9335e-05-0.00090306i,0.00014477+0.00016703i,-5.489e-05+0.0007601i,-0.00018198+0.00058793i,-0.00045017+0.00031721i
0.00055811-0.00084164i,0.0001965-0.0018589i,0.00096167-0.0023759i,0.0015173-0.0012597i,0.00075613+0.001098i,0.0011143+0.0043883i,0.0025985+0.0063404i,0.0032413+0.0057204i,0.0028336+0.0040308i,0.0024284+0.0021907i,0.0026044+0.0008638i,0.003089+0.0008178i,0.0030434+0.0010881i,0.0021338+0.0012183i,0.00031102+0.00091025i,-0.0011072-0.00040434i,-0.0012694-0.0010419i,-0.00073297-0.0012002i,-0.00031252-0.0011489i,-0.00047348-0.0010408i,-0.00042409-0.0013042i,-0.00020948-0.00068553i,-0.0001152-0.00021877i
-0.0005797-0.0013934i,-0.00022461-0.00042916i,-0.0014716+0.00037661i,-0.0015426+0.0017807i,-0.0014105+0.002974i,-0.0019529+0.0028926i,-0.0023262+0.0034897i,-0.0016236+0.0042189i,-0.00014493+0.0034038i,0.0012119+0.0023293i,0.0019993+0.0022043i,0.0017833+0.002416i,0.0028319+0.0030943i,0.0028658+0.0035854i,0.00011786+0.0028221i,-0.0014786+0.00032334i,-0.0011566-0.0012155i,-0.0012092-0.0018527i,-0.0019439-0.0025243i,-0.0013938-0.0019321i,-0.00012729-0.00074307i,-0.0005233+0.00038189i,-0.00067224+0.00020098i
-0.0028799+0.0013156i,-0.0023455+0.0021688i,-0.0030639+0.0031039i,-0.0029433+0.0039773i,-0.0029611+0.0038609i,-0.0045338+0.0024465i,-0.0054141+0.0025979i,-0.0036911+0.004375i,-0.00050916+0.0042823i,0.0015571+0.0022701i,0.0022416+0.0014722i,0.002009+0.001629i,0.0029499+0.0022062i,0.0024818+0.0030013i,0.00046939+0.0017301i,4.3391e-05+6.2923e-05i,0.00049055+2.4001e-05i,0.00040534-3.7207e-05i,0.0001089-0.0010617i,3.8668e-05-0.0013299i,-0.00048866+8.1813e-05i,-0.00066854+0.00030493i,-0.00048453-0.00037234i
-0.0016433+0.0022743i,-0.00049924+0.0014148i,-0.0015843+0.00056568i,-0.0019697+0.000409i,-0.0018719-0.00090982i,-0.0029357-0.0018744i,-0.0044009-0.0013862i,-0.0036739-0.0010407i,-0.00026006-0.00070077i,0.0020411+0.00062234i,0.0011868+0.0016871i,-4.1477e-05+0.001814i,-0.00060487+0.0016383i,-0.0011574+0.00040001i,-0.00072267-0.00085037i,0.00015705-0.00026132i,0.0011488+0.00083743i,0.0020938+0.00020005i,0.0020675-0.00083842i,0.00063108-0.00083607i,-0.00046796-0.00090037i,-0.00039267-0.00079294i,0.00017711-0.00054095i
-0.00017293+0.0011948i,-0.00038791+0.0011746i,8.8692e-05+0.0012669i,0.0013889+0.00035483i,0.0017701-0.0017008i,0.00045298-0.0044589i,-0.0010925-0.0056821i,-0.0023526-0.0049451i,-0.0019779-0.004062i,-0.00099384-0.0028303i,-0.0016199-0.0014899i,-0.002683-9.9783e-05i,-0.0037217-3.9434e-05i,-0.0039932-0.0021187i,-0.0020927-0.0029368i,0.00020694-0.0020994i,0.0011455-0.0011964i,0.0011049-0.00067696i,0.00073579+0.0001235i,0.00029301+0.0012092i,0.00053534+0.00097753i,6.1082e-05+0.00017876i,0.00030015-0.00021125i
-0.00087422+0.0026358i,-0.0018275+0.0028486i,-0.0032203+0.0032489i,-0.0017924+0.0022612i,0.0020354+0.00021821i,0.0037773-0.0030561i,0.0024843-0.0062406i,0.00040231-0.0079262i,-0.00092014-0.0074508i,-0.0012451-0.0051648i,-0.0014837-0.0019892i,-0.0023023-0.00064032i,-0.0034197-0.0019786i,-0.003744-0.0035964i,-0.0021059-0.0039598i,-0.00018878-0.0032444i,-0.00015484-0.0026016i,-0.0004432-0.0019256i,0.00053529-0.0010282i,0.001521-0.00085351i,0.0013713-0.00043446i,0.00086448+0.00053914i,0.00087824+0.00067157i
0.00060197+0.00017131i,0.00068398-0.0016968i,0.00186-0.0019544i,0.0022079-0.00133i,0.0032474-0.00066191i,0.0042882-0.0017804i,0.0038119-0.0044806i,0.002546-0.0066887i,0.00091688-0.0060204i,-9.2018e-05-0.0036677i,-0.0012135-0.0023146i,-0.0024758-0.0022829i,-0.002044-0.0032082i,-0.00028672-0.0038407i,0.00087324-0.0027426i,0.0004471-0.00077983i,-0.00046486+0.00010517i,-0.00056113+2.204e-05i,2.6127e-05-8.2331e-05i,0.0011189-0.00077024i,0.0017076-0.0012956i,0.00097021-0.00035502i,2.3838e-06+0.0002675i
0.001436-0.00065341i,0.0011313-0.00038382i,-0.00027917-0.00066854i,-0.001838+0.00051819i,-0.00090731+0.0015486i,0.0015707+0.00070054i,0.0034001-0.0013408i,0.0049339-0.0031672i,0.0041623-0.0026391i,0.0017301-0.0020056i,0.00055606-0.0018344i,0.00035663-0.001511i,0.0017226-0.0020642i,0.0036282-0.0020231i,0.0033332-0.00067799i,0.0019303+0.00066134i,0.00055303+0.0012054i,-0.00047615+0.00088576i,-0.00057282+0.00016946i,-0.00092832-0.00073622i,-0.0010817-0.00099267i,-0.0013575-0.00067077i,-0.0010051+0.00023549i
0.00089496-0.0012735i,-0.00051091-0.0012582i,-0.0014786-0.0015925i,-0.0018576-0.00083867i,-0.0008172+0.0012471i,0.0010745+0.0028079i,0.0038267+0.0023727i,0.0060712+0.0015013i,0.0062539+0.0017688i,0.004513+0.0026502i,0.0035547+0.0013609i,0.0046185-0.00085523i,0.0057861-0.0020608i,0.0061644-0.0014471i,0.0044299+0.00038965i,0.0020154+0.00076752i,0.0014036+0.0002142i,0.0010704+0.0003554i,0.00038729+0.00046824i,5.7834e-05-7.1142e-05i,-0.00049302-0.00040403i,-0.0007498-0.00072191i,0.00030572-0.0004724i
2.2926e-05+0.0024145i,-0.00054412+0.0023761i,-0.0002503+0.0019868i,-0.00031126+0.0012745i,-0.0004654+0.0010236i,0.00054751+0.0012222i,0.0024012+0.0028436i,0.0055738+0.0040985i,0.0084976+0.0032079i,0.0086344+0.0016278i,0.0066477+0.00083083i,0.0064361+0.00046584i,0.0077628+0.00015229i,0.006804+0.00048492i,0.0040664+0.0013969i,0.001777+0.0012457i,0.0009579-0.00010738i,0.00053284-0.0013253i,1.8298e-05-0.00086101i,0.00068555+0.00026815i,0.00085766-0.00015068i,0.00045356-0.00094247i,-0.00032251-0.0005784i
-0.00063717+1.3465e-05i,-0.0017323-0.0010855i,-0.0019564-0.0012756i,-0.0015646-0.00058637i,-0.0018955-0.00080241i,-0.0021204-0.00072236i,-0.00057834+0.0015207i,0.0028383+0.0033562i,0.0070312+0.0022372i,0.0085912+0.00018625i,0.0066392-0.00076542i,0.0052367+0.00023211i,0.0045001+0.0016812i,0.0020521+0.0021338i,-0.00013523+0.0016446i,-0.00052092+0.00023371i,-0.00041176-0.00029972i,0.00018534-0.00037773i,0.0012844-0.00010379i,0.0015772+0.00063192i,0.0012984+0.00061836i,0.001282+0.000375i,0.0011615+0.00027837i
0.0019669-0.0018105i,0.00077328-0.0036199i,0.00017315-0.0051799i,-0.00075345-0.0044125i,-0.0017067-0.0032745i,-0.0024908-0.0017522i,-0.0028624+0.0014042i,-0.0017741+0.0034987i,0.00041526+0.0021575i,0.0015166-0.00043385i,0.0013767+0.00014856i,0.00058228+0.0030583i,-0.0016313+0.0051879i,-0.0039155+0.0049978i,-0.0039233+0.0032652i,-0.001694+0.0021519i,-0.00024236+0.001508i,-0.00044548+0.0011103i,-0.00070273+0.00086472i,0.00049718+0.00047668i,0.0017861+0.00057164i,0.00099039+0.00046368i,0.0004204-0.00046042i
0.0024069-0.0021148i,0.0011106-0.0033702i,0.00061602-0.003451i,0.00041114-0.002503i,-0.00033453-0.002307i,-0.0011177-0.0015124i,-0.0032644+0.00064892i,-0.0063224+0.0019235i,-0.0065083+0.0012475i,-0.0049609+0.0006402i,-0.0048477+0.0012746i,-0.0056436+0.0032589i,-0.0059058+0.0045244i,-0.006349+0.0035085i,-0.0051264+0.0010887i,-0.0028794-0.0010153i,-0.00093446-0.0007954i,0.00042066+0.00015616i,0.00021591+0.00057187i,-0.00058724+0.00073768i,-0.00035792-0.00012179i,6.4547e-05-0.00085297i,0.00036795-0.00059304i
0.0013419+0.0040471i,0.0029774+0.0031804i,0.0045222+0.0027829i,0.0047803+0.0013619i,0.0035302-0.00010814i,0.0020442-0.0018799i,-0.0017057-0.0025309i,-0.0066047-0.00072954i,-0.0079773+0.0020534i,-0.0072115+0.0036475i,-0.0065648+0.0035689i,-0.0055132+0.0024414i,-0.0039209+0.0013413i,-0.0034672-0.0001468i,-0.0026076-0.001905i,-0.0014534-0.0022413i,-0.00098148-0.0016921i,-0.00027955-0.00052065i,-0.00011378+0.00092091i,-0.0012836+0.00033931i,-0.00082272-0.00051458i,0.0006837+2.2546e-05i,0.0010471+0.0010542i
0.0019991+0.0013442i,0.0017272+0.0017339i,0.0024596+0.0019993i,0.0012865+0.002857i,0.00074627+0.0022234i,-0.00021+1.6344e-05i,-0.0021926-0.0014891i,-0.0038931-0.0012581i,-0.0046763+0.0010157i,-0.0049192+0.0032475i,-0.0039654+0.0027263i,-0.0030448-4.1168e-05i,-0.0014359-0.0035663i,6.9388e-05-0.0057236i,0.00062208-0.006404i,0.00046604-0.0054652i,-0.00084824-0.0038466i,-0.0011943-0.0020777i,-0.0011467-0.00021762i,-0.0015245+0.0012582i,-0.00095629+0.0016955i,0.00020935+0.0013141i,0.00099809+0.0013057i
-0.001889+0.0014264i,-0.0035025+0.0024492i,-0.0052629+0.0046814i,-0.0048902+0.0054092i,-0.0030261+0.0042472i,-0.0011505+0.0012992i,-0.00011237-0.0025487i,0.0014349-0.0046715i,0.0026879-0.0026276i,0.0032969+0.00044392i,0.002967-4.8085e-05i,0.0017382-0.0033425i,0.0021003-0.0066826i,0.0029744-0.0081057i,0.0016599-0.006848i,0.00030635-0.0038456i,-0.00092198-0.001891i,-0.001272-0.0010765i,-0.00021-0.00049306i,0.00026322-0.0002681i,-0.00062666+0.00046625i,-0.00095696+0.0010979i,-0.00066163+0.00085287i
-0.0043414-0.0029186i,-0.0055957-0.00098115i,-0.0078998+0.00062614i,-0.0077561+0.0023406i,-0.0059707+0.0018561i,-0.0024775-0.0012297i,0.0013245-0.0052928i,0.0049863-0.0079627i,0.0078029-0.0079211i,0.0088207-0.0062435i,0.0075692-0.005845i,0.005577-0.0066065i,0.0052488-0.0069812i,0.0052277-0.0056581i,0.0040182-0.0028253i,0.002877-0.00060782i,0.00179-0.00035569i,0.00079088-0.00034757i,8.6886e-05-0.00016497i,0.00043148-0.00056058i,0.0015106-0.00022001i,0.00084374+0.001115i,-0.00067297+0.00062332i
-0.0013556-0.0023158i,-0.0030146-0.0026883i,-0.0072642-0.0037572i,-0.0094341-0.0040305i,-0.0068948-0.0043908i,-0.0021946-0.0048698i,0.0026416-0.0054372i,0.0056631-0.0072279i,0.0060908-0.0096236i,0.0055837-0.011054i,0.0050776-0.009263i,0.0050198-0.0052079i,0.0058291-0.0017957i,0.0056404-0.00023685i,0.0040775+0.00026548i,0.0027175-2.3465e-05i,0.0013708-0.0010994i,0.00012605-0.0014297i,0.00010727-0.001409i,0.0010169-0.001692i,0.0014781-0.00061193i,0.0007424-0.00031053i,-0.00014204-0.00085314i
0.0010384+0.002117i,0.0022614+0.00079761i,0.0028202-0.0012217i,0.0019149-0.0030928i,0.0024145-0.0040455i,0.0047362-0.0043852i,0.0065001-0.0038946i,0.0069616-0.0036841i,0.0055128-0.0052996i,0.0026692-0.006491i,0.0016298-0.0047241i,0.0034683-6.6773e-05i,0.0048831+0.0038984i,0.0046642+0.0050332i,0.0037591+0.0039207i,0.0022614+0.0016771i,0.0014123-0.00013043i,0.0011561-0.0010773i,0.0013185-0.0011816i,0.0011738-0.00091857i,0.00050786-0.00041601i,0.00042979-0.00074718i,0.00020394-0.0015572i
0.003198+0.00099044i,0.0025392-0.00062101i,0.0026594-0.0031968i,0.0038365-0.0052492i,0.005558-0.0052051i,0.006615-0.0024568i,0.0072567+0.00075616i,0.0069482+0.0022505i,0.0043813+0.0021299i,0.0010049+0.0016865i,-0.00073124+0.0035185i,-8.3837e-05+0.0070957i,0.0027784+0.0083724i,0.0037251+0.0071517i,0.0026961+0.0043587i,0.0012375+0.0011812i,-0.00039253-0.00021478i,4.4081e-05-0.00020183i,0.00083432-0.00011781i,0.00098248-7.2879e-05i,0.0010206+0.00015119i,0.00085125-0.00074197i,0.00097916-0.0012188i
0.0010384+0.00010027i,0.0016331-0.00056584i,0.0034386-0.0010137i,0.0055437-0.00028118i,0.0068421+0.0014422i,0.0059049+0.0034576i,0.0040353+0.0056894i,0.0035022+0.00811i,0.0032644+0.0099965i,0.0022925+0.01029i,0.00093601+0.0096946i,-0.00072651+0.009414i,-0.0017097+0.0081531i,-0.0015057+0.0056545i,-0.0010685+0.0030376i,-0.00076915+0.00088225i,-0.0006214+0.0004069i,-8.9404e-05+0.00033998i,0.00071921+4.2286e-05i,0.00054966+0.00057748i,-3.2094e-05+0.00087752i,-6.5961e-05+0.00036759i,0.00030213-0.00038718i
-0.0016126-0.00044921i,-0.0018829-0.00076677i,-0.002908+0.00094473i,-0.0016885+0.0043177i,0.00025922+0.0073921i,9.917e-05+0.0085924i,0.00067745+0.0092055i,0.0028459+0.010259i,0.005286+0.011446i,0.006339+0.011213i,0.004369+0.0090367i,-0.0003652+0.0057905i,-0.0042162+0.0019871i,-0.0050827-0.00087441i,-0.0049583-0.00096828i,-0.0038984+0.00043741i,-0.0027853+0.00063312i,-0.0020448-0.00016701i,-0.0012489-0.00033537i,-0.00044962+0.00086072i,0.00054663+0.0011872i,0.00087891+0.00092345i,0.0007633+0.0011318i
0.0012627-0.00087123i,0.00098075-0.00055608i,0.0014557-0.0001534i,0.00017146+0.0032912i,-0.002339+0.0066818i,-0.0045641+0.007859i,-0.0050098+0.0072904i,-0.0020773+0.0065521i,0.003473+0.0059957i,0.0074496+0.0033811i,0.0060203-0.0003836i,0.0003597-0.002833i,-0.0046413-0.0040783i,-0.0069776-0.004333i,-0.0063585-0.002932i,-0.0030687-0.00053926i,-0.0011088-1.8752e-05i,-0.0010017-0.00058321i,-0.0012329+0.00019688i,-0.001436+0.00060938i,-0.0010337-7.4744e-06i,0.00053574-0.00051786i,0.00050899-0.00048813i
0.00010089-0.00085103i,-0.0013415+0.00046172i,-0.0044087+0.0020995i,-0.0075484+0.0030208i,-0.009629+0.0025376i,-0.009141+0.00083593i,-0.0080864-0.00084749i,-0.0065986-0.001197i,-0.0030251-0.0026192i,2.662e-05-0.0057428i,-0.00057437-0.0076989i,-0.0033251-0.0071924i,-0.00507-0.0064226i,-0.0055018-0.0053451i,-0.0053219-0.003176i,-0.0029687-0.0020952i,-3.3974e-05-0.002188i,0.0001449-0.0018149i,-0.00072686-0.0016017i,-0.00069018-0.001374i,-0.00040969-0.0010704i,-0.00027738-0.00038713i,-0.00015148+6.1395e-05i
-0.0021816-0.00071373i,-0.0035569-0.00095013i,-0.0058557-0.0016544i,-0.0085961-0.0019702i,-0.010192-0.004326i,-0.010166-0.0071284i,-0.009351-0.0073247i,-0.0095205-0.0066504i,-0.0091788-0.0070578i,-0.0081895-0.0079253i,-0.0073427-0.007881i,-0.0043935-0.006547i,-0.00085509-0.0048206i,4.4665e-05-0.0042051i,-0.00010095-0.0029619i,0.00015541-0.0024817i,0.00062557-0.0029782i,0.00051388-0.0021114i,0.00013782-0.001368i,0.00019167-0.0014065i,7.0247e-05-0.00061991i,-0.00073349+0.0002061i,-0.00088699+0.000455i
-0.00087628-0.00057786i,-0.0014712-0.00018103i,-0.0050475+0.00037614i,-0.007162-0.0022736i,-0.0050781-0.0080327i,-0.0018165-0.012168i,-0.0021786-0.012403i,-0.0054183-0.010232i,-0.0087532-0.0065277i,-0.010305-0.0027271i,-0.0073125+9.5373e-05i,-0.00078735+0.0007723i,0.0052708-0.00034276i,0.0073216-0.0022174i,0.0046636-0.0038999i,0.0012757-0.0034528i,-0.00010583-0.0028507i,-0.00061542-0.0033974i,-0.00077504-0.0023706i,-0.00094682-0.00082218i,-0.0017347+2.1287e-05i,-0.00053084+0.00019348i,0.00068109+0.00034942i
-0.00077456-0.0011201i,-0.0021099-0.0015561i,-0.0043339-0.0028066i,-0.0025072-0.0060192i,0.003089-0.008608i,0.0083503-0.009075i,0.0080806-0.0084371i,0.0029339-0.006608i,-0.0010366-0.0023474i,-0.0018302+0.0026023i,-1.3015e-05+0.0049295i,0.0026848+0.005178i,0.0063447+0.0028909i,0.0087462-0.00093852i,0.0070122-0.0040823i,0.0039356-0.0040686i,0.001934-0.0021738i,0.00049171-0.0011821i,-0.00042355-0.00095969i,6.1794e-06-0.0007312i,0.00057747+3.6393e-05i,0.00014986+0.00072064i,-0.00013685+0.00056451i
-0.0027026+0.00043778i,-0.0028788+0.00052299i,-0.0031499-0.00036043i,0.00018072-0.00084896i,0.0072451-9.1479e-05i,0.013003-0.00015017i,0.013078-0.0013031i,0.010711-0.0024252i,0.0092706-0.0010723i,0.0092247+0.0031653i,0.0090507+0.0056145i,0.0076203+0.0044844i,0.0067859+0.0021947i,0.0063919-0.00014559i,0.0043963-0.0019492i,0.0017568-0.0021494i,0.001077-0.00219i,0.0019439-0.0015422i,0.0014177-0.00039299i,0.00069583+0.00078184i,0.0012708+0.0012235i,0.0021474+0.00083393i,0.0018442+0.00017223i
-0.0019211+0.0014348i,-0.0011951+0.00020287i,0.0010101-0.00095695i,0.0050923-0.00083046i,0.0090538+0.0034492i,0.011514+0.0064i,0.012414+0.0037566i,0.013801-0.00066245i,0.015433-0.0022928i,0.014581-0.0024797i,0.011932-0.0019932i,0.0066479-0.00060743i,0.00097235+0.001548i,-0.0005887+0.0018633i,0.00057551+0.00039047i,0.0013265-0.0007362i,0.00084399-0.0010216i,-4.7223e-05-0.00058848i,0.00013614-0.00031102i,0.0010936-0.00058698i,0.00050366-0.00080146i,-1.9194e-06-0.00032883i,0.00055553-0.00025918i
6.1591e-05+0.00041596i,0.0010552-0.00014323i,0.0021074+0.00054343i,0.0033933+0.0043564i,0.0034965+0.0096305i,0.0024841+0.011994i,0.0043329+0.0088697i,0.0091561+0.0032335i,0.01187-0.0031698i,0.010237-0.0075995i,0.0059463-0.0075633i,0.00097209-0.0037418i,-0.0019704+0.0016056i,-0.0019907+0.0043689i,1.0376e-05+0.0046843i,0.0013256+0.003872i,0.00052491+0.0019911i,-0.000385+3.4278e-05i,0.0004102-0.00029429i,0.00074237-0.00075003i,-0.00048455-0.0014897i,-0.00079158-0.0013893i,0.00012816-0.00066287i
-0.00087978+0.00057353i,-0.0011113+0.0011502i,-0.00089117+0.003105i,-0.0008848+0.0067632i,-0.0043108+0.010265i,-0.0078423+0.011381i,-0.0055383+0.010929i,0.00058648+0.0078446i,0.0031961+0.0018225i,0.00051342-0.003893i,-0.0022746-0.0053009i,-0.0031918-0.0023063i,-0.0028427+0.0014366i,-0.0020818+0.004377i,-0.00012714+0.0058512i,0.0024215+0.0046731i,0.0022938+0.0019207i,0.0020295+0.00028423i,0.0029697+0.00039503i,0.0023108+0.00056169i,6.4189e-05+0.00010193i,-0.00067732-0.00013068i,-0.00036532-8.5269e-05i
-0.00094968-0.00084572i,-0.00051953-0.00095613i,-0.00080109+0.00092181i,-0.0036622+0.0043028i,-0.0082693+0.0047094i,-0.011494+0.0022411i,-0.010765+0.0028572i,-0.0066239+0.0056765i,-0.0044667+0.0054889i,-0.0055722+0.0043086i,-0.005821+0.0044187i,-0.0034245+0.0034309i,-0.00063276+0.001733i,-0.00047153+0.001389i,-0.00021874+0.0025764i,0.00084731+0.0018964i,0.0010228+0.00038614i,0.00056211-0.00014376i,7.5198e-05+0.00016121i,0.00029815+0.001184i,0.00096253+0.00075612i,0.00070963-0.00021748i,0.0006918+0.00018834i
0.0031355+0.0015603i,0.0028156+0.0016774i,0.00087667+0.0034748i,-0.0028+0.0028584i,-0.0060617-0.0030315i,-0.0075054-0.0084827i,-0.0086462-0.0056411i,-0.0084748+0.0030355i,-0.0058194+0.010035i,-0.0028695+0.012208i,-0.00097084+0.011077i,0.00090277+0.0072744i,0.0018458+0.0013782i,0.00059533-0.0028583i,-0.0013859-0.0030759i,-0.0017385-0.0011391i,-0.0011912-0.00030484i,0.00013802-0.00038897i,0.0013175+0.0014418i,0.00069339+0.0029144i,0.00063101+0.0025295i,0.0012276+0.0010237i,0.00043858+0.00020634i
0.00017993-0.0017623i,-0.0015801-0.00058493i,-0.0057599-0.001034i,-0.00832-0.0032828i,-0.0067698-0.007012i,-0.0032597-0.010826i,-0.002938-0.008165i,-0.0036989+0.0008172i,-2.1172e-05+0.0077759i,0.0042923+0.0093844i,0.0056052+0.0083178i,0.0048838+0.0053825i,0.003042-0.00018728i,-0.00064095-0.0053313i,-0.0044377-0.005991i,-0.0050246-0.0029891i,-0.0038905-0.00046883i,-0.0025137+0.00017762i,-0.00082787+0.0010984i,0.00030676+0.0017156i,0.0011341+0.00086077i,0.0015955+6.3217e-05i,0.00028548+4.0171e-05i
-0.0014944+0.0014354i,-0.0023437+0.0030407i,-0.0031378+0.0028572i,-0.0020108-0.00033612i,0.0025887-0.0043673i,0.0075596-0.0072121i,0.0067618-0.007072i,0.0028353-0.0039347i,0.0044188+0.00036243i,0.0082163+0.0013232i,0.0082325-0.00068477i,0.0055532-0.0017989i,0.0030473-0.0024547i,-0.00089775-0.0036289i,-0.0050241-0.0040969i,-0.0051525-0.0022096i,-0.0033009-0.00055412i,-0.0020488+0.00035933i,-0.00078202+0.0014065i,7.1021e-05+0.0015901i,0.00051006+0.00050017i,0.00069693-8.9036e-05i,-8.7192e-05+7.6381e-05i
-0.0021585-0.0012382i,-0.0046661-0.0020935i,-0.0061593-0.0024631i,-0.0035241-0.0019662i,0.0044007-0.00040632i,0.011331+0.00023077i,0.0102-0.0031144i,0.0043665-0.0073073i,0.0017871-0.0088075i,0.0032198-0.0096191i,0.0023967-0.0090184i,-3.5782e-06-0.0056457i,7.5658e-05-0.0022697i,0.00047885-0.0014898i,-0.00087871-0.0027987i,-0.0014236-0.0020044i,-0.00036986-0.00023404i,-0.00019351+0.00016959i,-0.0011854+0.00031771i,-0.0011606+0.00035052i,-0.00089673-0.00022247i,-0.00041998-6.6785e-05i,0.00047436-0.00050015i
-0.0028537+0.00089482i,-0.0035946-0.00032665i,-0.0017099+0.0012724i,0.00041452+0.0024579i,0.0022043+0.0050534i,0.0054033+0.0062382i,0.0052332+0.0022065i,0.0011936-0.0052925i,-0.0029198-0.010027i,-0.0043517-0.0092244i,-0.004851-0.0067662i,-0.0048476-0.003798i,-0.0020821-9.396e-05i,0.0014344+0.0010895i,0.0033386-0.00085676i,0.0041564-0.0022418i,0.0035121-0.0017851i,0.0016362-0.0013008i,-0.00018938-0.0014668i,-0.00095526-0.00060421i,-0.0015717+0.00020975i,-0.001208-0.00028771i,-0.00036079-0.00069839i
0.0063176-0.0083095i,0.0053205-0.0097895i,0.002268-0.015203i,-0.002921-0.011996i,-0.007398-0.0033908i,-0.0080604+0.0067135i,-0.0032494+0.007754i,-0.0012048-0.00055066i,-0.0042602-0.0065667i,-0.0071971-0.0056294i,-0.0083222-0.0022869i,-0.0071822-0.00033964i,-0.0029846+0.00089403i,0.0020516+0.00078367i,0.0049769-0.0024267i,0.0045385-0.0052858i,0.0021678-0.0047616i,6.9676e-05-0.0033886i,-0.0013144-0.0031721i,-0.0021499-0.0024146i,-0.0022875-0.0011653i,-0.0016807-0.00083974i,-0.00076582-0.00080754i
0.00064662+0.00044223i,0.0019373-0.00091249i,0.0026555-0.0042848i,-1.0693e-05-0.0053177i,-0.0042145-0.00322i,-0.0076289+0.00058887i,-0.0063357+0.0023193i,-0.0019258+0.0014764i,-0.0014804+0.00096489i,-0.0032501+0.0038719i,-0.0016814+0.005801i,0.0017354+0.0038558i,0.0033962+0.001676i,0.0039233+0.00028137i,0.004192-0.0015235i,0.002485-0.0032477i,0.00012626-0.0028241i,-0.00055267-0.0010453i,0.0003288-0.00023449i,0.00090227+0.00025366i,0.00077184+0.00010498i,0.00034071-8.0486e-05i,0.0011228+0.00071989i
