-0.002455-0.00017916i,-0.002806-0.0005823i,-0.0036357-0.00065688i,-0.0040839+0.00018178i,-0.0043615+0.0010293i,-0.0028252+0.0010332i,-0.0015043+0.0011204i,-0.0011432+0.0016997i,-0.00046408+0.0011829i,-0.00080648+0.0010701i,-0.0013484+0.0011559i,-0.0017242+0.0010303i,-0.0019378+0.00087028i,-0.0011797+6.9173e-05i,-0.00053968-0.00028423i,9.5555e-05-8.4665e-05i,0.00046316+0.00064555i,0.00030411+0.00095207i,-7.138e-05+0.00012558i,-0.00073436-0.00052739i,-0.00023376-0.00071042i,0.00051521-0.00063376i,-9.5901e-05-0.00089614i
-0.0026165-0.00047324i,-0.0028836+0.0009204i,-0.0028365+0.0010807i,-0.0012992+0.0017854i,-0.00095552+0.0022054i,-0.00049873+0.00095987i,0.0004407-0.00029614i,0.00091898-0.00025904i,0.00048888+7.9155e-05i,0.0001402-8.4831e-05i,0.00048039-2.5736e-05i,0.00062962+0.00015941i,0.00083974-0.00011839i,0.0014361-0.00066317i,0.0013575-0.00083432i,0.00086363-0.00071453i,0.0013757-0.00013382i,0.001423+0.00017405i,0.00037767-0.00014726i,0.00016478+0.00023885i,0.0001837+0.00018191i,-0.00019119-7.0271e-05i,0.00055491+6.0161e-05i
0.00017382-0.00067351i,-0.00021013-0.0003346i,-0.00021747+2.4532e-05i,-0.00034832-0.00028682i,-0.00049971-0.00088051i,-0.00046797-0.0013834i,0.00011558-0.0018637i,4.9071e-05-0.0010156i,-0.00076453-0.00070802i,-0.0012154-0.00032921i,-0.00019329+0.00035763i,0.00062183-0.00012602i,0.0008375-0.00077191i,0.00074461-0.0008502i,-0.0001687-0.00021855i,-0.0010474-1.8938e-05i,-0.00056284+0.00012298i,0.00057976+0.0010955i,0.00057308+0.0014546i,0.00029348+0.00077769i,-9.3213e-05-0.00011423i,1.1785e-05-0.00056007i,-1.7238e-05-0.00058837i
0.0002785+0.00088076i,0.00079706+0.00077885i,0.00043195+3.9084e-05i,0.00033668-0.00071356i,0.00018764-0.00077664i,-0.00072012-0.00074738i,-0.0012798-0.00042664i,-0.0018044-0.00064574i,-0.0015568-0.00026835i,-0.00084202+0.00030148i,0.00018279+0.00069457i,0.00015063+0.00061219i,-7.1773e-05+0.00035843i,0.0006951+0.00023591i,-3.3436e-05+3.2163e-05i,-0.0012651+0.00031251i,-0.0011643+0.00023993i,-0.00074906+0.00018467i,-0.00012299+0.00046357i,0.00025051+3.7314e-05i,-0.00025667-0.00081576i,-7.7242e-05-0.0014935i,0.00020675-0.00098781i
-5.8486e-05+0.00055773i,-0.00071139-0.00054719i,-0.00012076-4.0936e-06i,0.00032683-0.0001269i,0.00083314-0.00061625i,0.00051118-0.00093412i,-0.00056004-0.0001321i,-0.00067854+0.00034849i,-0.00095282+0.00087878i,-0.00056801+0.00068715i,0.00051362-0.00010769i,0.00037123-0.00023527i,3.2774e-05-0.00065504i,0.0001853-0.00091512i,-0.00016459+0.00036589i,-0.00049709+0.0011881i,0.00025553+0.0010989i,0.00084681+0.00078669i,0.00048083+0.00024789i,-0.00066047-7.5287e-05i,-0.00082573+7.1116e-05i,-0.00032123-0.00026512i,-0.00091153-5.7317e-06i
-0.0015373-8.3567e-05i,-0.0015334-0.001714i,-0.0016336-0.0017488i,-0.00203-0.0010014i,-0.0015623-0.00051928i,-0.0012303-0.00064636i,-0.00077994-0.0010279i,-0.00062253-0.0011518i,-0.00067219-0.00040868i,-0.00027356+0.00021435i,-0.00011001+0.00019288i,-0.00057754+0.00079791i,-0.0010343+0.00046771i,-0.00069312-0.00023191i,-0.00046047+0.00034354i,-0.0008272+0.00050269i,-0.00016815+0.00044789i,0.00024936+0.00098969i,1.948e-05+0.0013601i,0.00024098+0.00073851i,-0.00011512-2.6789e-05i,-0.00033429+2.3778e-05i,-0.00021072+0.00020035i
0.0016983+0.00010024i,0.0015788-0.00079381i,0.0021766-0.0015926i,0.0014244-0.0012857i,0.00066529-0.00076475i,0.00069151-0.0010467i,0.0001422-0.0011276i,-0.0010645-0.00082224i,-0.0012852-0.00084299i,-0.00069108-0.00079531i,-0.0010312-0.00092418i,-0.0013362-0.0012831i,-0.0010941-0.00029068i,-0.00077363+0.0003594i,-7.7416e-05-8.1988e-05i,0.00031623+0.00039982i,5.0419e-05+0.00083028i,0.00037438+0.00063701i,0.00085938+0.00080021i,0.00073139+0.00079729i,0.0002033-0.00010033i,-0.00051717-0.00070854i,-0.00052036-0.00055961i
0.00070062-0.0010979i,0.00049745-0.0008452i,0.00025418-0.00094997i,9.3971e-05-0.00096924i,0.00045982-0.00085654i,-0.00015504-0.00069861i,-0.00059849-0.00059213i,-0.00067249-0.00034726i,-0.0013456+0.00049012i,-0.00084923+0.00069016i,0.00021322-3.7818e-05i,0.00026569-0.0008505i,0.00059955-0.0015075i,9.0453e-05-0.0019828i,-0.00032859-0.0017281i,0.00040795-0.00055668i,0.0010627+0.00030345i,0.0011981+0.00035724i,0.00048666+0.00053656i,-0.00054451+0.00083645i,-0.00064877+0.00048211i,-0.00061617+6.1284e-05i,-0.00079904-0.00024127i
0.00019216+0.00049303i,0.0013341-0.00071198i,0.0015213-0.00162i,0.0012159-0.0017255i,0.00084764-0.00095224i,0.00042366-0.00075862i,-0.00019064-0.0008363i,-0.00054866-0.00069254i,-0.00058106-0.00031243i,-0.0005937-0.00016362i,-0.0002752-0.00044929i,-0.00010359-0.00055738i,-0.00042535-0.00074359i,4.3242e-05-0.00044609i,0.00025389-0.00074625i,0.00046849-0.0017066i,0.00057264-0.0015276i,0.0004181-0.00051024i,0.00049247+0.00041984i,-0.00013378+0.00011146i,-0.00038336-0.00049659i,-2.3799e-05-0.00058725i,-0.00033224-0.00062173i
0.00033498+0.00091711i,0.00039611+0.0013791i,0.0004491+0.0013237i,-0.00041424+0.0010838i,-0.00089764+0.00086702i,-0.00033475-0.00013701i,-0.00022568-0.00095206i,-0.00029674-0.00097226i,-0.00041948-0.00032269i,-0.00048945+0.0011545i,-0.00058058+0.001428i,9.4889e-05+0.00017873i,0.00046224+0.00068085i,-0.0001537+0.00082427i,-0.00018737+0.00011587i,0.00011313+0.00032612i,-0.00025147+0.0009374i,-0.0007689+0.00064624i,-0.00054843-0.00010804i,0.00016488+3.4847e-05i,0.00038245+0.00012448i,-2.0359e-05-0.00012808i,-0.000753-0.00034424i
-0.00032106-0.00075783i,0.0002401-0.00024362i,-0.00093184-0.00040887i,-0.0017999-0.00066819i,-0.0023058+0.0002843i,-0.0026035+0.00016777i,-0.0012016-0.00045642i,-0.00040982-0.00039021i,-0.0010133-0.00038343i,-0.00086561-0.00030161i,-0.00033748-0.00019917i,-0.00088987-0.00038793i,-0.00086821-0.00030542i,-7.0973e-05+0.00025487i,-0.00029312+0.00088325i,-2.2932e-05+0.00074928i,0.00087897+0.00025102i,0.00079326+0.00062342i,0.00028685+0.00066652i,2.5624e-05+0.00031493i,-0.00016123+0.00019778i,-0.00042236-0.0001987i,-8.1472e-05+0.00038521i
-0.00047309-0.00086695i,-0.00091125+0.00047077i,-0.00041873+0.00058024i,-0.00042485-0.00025487i,-3.9067e-05-0.0011832i,0.0004047-0.0012413i,0.00012342-0.00091908i,0.00013531-0.00021132i,-4.0036e-05+0.00052918i,-8.1958e-05+0.00066029i,-0.00036272+0.00048168i,-0.00088308+8.1853e-05i,-0.00096239+0.00022086i,-0.00099375-0.00015133i,-0.00029775-0.00093442i,0.0005926-0.00064982i,0.00068734+0.00022257i,0.00043611+0.00099664i,-0.00015209+0.00073517i,-0.00014097+0.00033718i,0.00031692-8.8902e-05i,-0.0002633-0.0010145i,-0.0012822-0.0010117i
-0.00021797+0.00058618i,0.00038001+0.0018747i,0.00017552+0.0013436i,4.8531e-05-7.1563e-05i,0.00051365-0.00024136i,0.00028021+0.00016572i,-0.00020884-5.8404e-05i,-0.00041478-0.00031105i,-0.00067809-0.00041509i,-0.00065025-0.0010671i,-0.00072849-0.00077319i,-0.00082755+0.00014567i,-0.00043337-0.00018248i,-2.4029e-05-0.0012452i,-0.00024009-0.0012186i,5.7787e-06+1.5246e-05i,0.00087978+0.00012329i,0.00016749-0.00026295i,-0.00047188-0.00023245i,-0.0004082-0.00019978i,7.8326e-07-0.00041596i,0.00097371-0.0005675i,0.00085615-0.00055862i
0.00017466+0.0012645i,-0.00035546+0.00062495i,1.3709e-05+0.00065895i,-5.3467e-06+0.00010565i,0.00051613-0.00074383i,0.0012809-0.0011786i,0.0002634-0.00068017i,-0.00085435-0.00033848i,-0.0012833-0.00045728i,-0.00080856-0.00077942i,9.587e-05-0.00062835i,0.0006078+0.0001894i,0.00061753+0.00083085i,0.00075181+0.00036994i,0.00057754-0.00017471i,-0.00016487-0.00043769i,-0.0003798-0.0002137i,-0.00039661-0.00023279i,-0.00022447-0.00027693i,0.00019211-0.00033655i,0.00097229-0.00083418i,0.0010198-0.00083502i,0.00064316-0.00047135i
-0.00087655+0.00055274i,-0.0011013-5.6865e-05i,-0.0010404+0.00076921i,1.9237e-05+0.00066619i,1.8168e-05-0.00061865i,-0.00081702-0.0011565i,-0.00048335-0.00084035i,0.00032886-0.00041353i,-7.4743e-05-0.00041428i,-0.00031424-0.00071968i,0.00015265-0.00025527i,0.00037399-8.6287e-05i,0.00053964-0.00058194i,0.00078811-0.00074829i,0.00088985-0.0010004i,7.1775e-05-0.00033879i,-0.00054369+0.00025036i,-0.00032683+0.00033438i,8.4942e-05+0.00083883i,0.0001481+0.00092684i,0.00012524+0.00074155i,-0.00019459-0.00041036i,-0.00039322-0.00074588i
1.7618e-05+0.001258i,-0.0003719+0.00052411i,0.0013351+1.4255e-05i,0.0026993-0.00080697i,0.0019316-0.0014337i,0.00025034-0.0014566i,-0.00064826-0.00096567i,-0.00037597-0.00071892i,0.0002614-0.00062686i,-2.0932e-05-0.00052024i,0.00021859-0.00087446i,0.00026389-0.00017937i,7.2096e-06+2.3504e-05i,0.00010797-4.5501e-05i,1.558e-05+1.5975e-05i,0.00057396-0.00018622i,0.00059155-4.5631e-05i,0.00058864+0.00041762i,9.3345e-05+0.0013114i,-0.00067814+0.0010517i,-0.00057678+0.00017711i,-0.00062904-0.00023587i,6.0993e-05-0.00067512i
0.0020283-4.1919e-05i,0.0014935+5.0597e-05i,0.0004808+7.3631e-05i,0.00029504-0.0011609i,0.00052695-0.0013013i,0.00018624-0.00043377i,-0.00046097+0.00012643i,-0.00046904-7.6929e-05i,-0.00083953-0.00016374i,-0.00093375-6.8628e-05i,-0.00020904-0.00015245i,-0.00018557-0.00033623i,-0.0010878-0.00033217i,-0.0016399-3.7499e-05i,-0.0010908+7.8906e-05i,0.00022864+8.2929e-05i,0.0006852+0.0003157i,0.00024864+0.0006935i,-0.00037887+1.6148e-05i,-0.00045228-0.00079243i,-0.00054016-0.0009186i,-0.00081432-0.00102i,-0.00017965-0.00063929i
0.0003298-0.0014283i,0.000152-0.0016871i,-0.00040841-0.0024852i,-0.00059703-0.0023333i,-0.0010504-0.0016185i,-0.00091214-0.0009009i,-9.1917e-05-0.00022267i,-0.00035724+0.00071891i,-0.0011621+0.00059022i,-0.0011013-5.9612e-05i,-0.00063255-0.00040605i,-0.00071946-0.00044075i,-0.0012806+8.4102e-05i,-0.0011873+0.00034408i,-0.00035345+0.00073258i,1.0139e-07+0.0001131i,7.2443e-05-0.00053204i,0.00017286-0.00044715i,0.00059366-0.00046427i,0.00033054-0.0006663i,-0.00062002-0.00083464i,-0.00064803-0.00040884i,-0.00013506+0.00027612i
-0.0010455-0.00018284i,-0.00015134-0.0005628i,-0.00034697+0.00053328i,-0.001335+0.0013365i,-0.0015195+0.0012093i,-0.0014354+0.00098059i,-0.0010156+0.00010671i,-0.00051985-0.00033836i,-0.0001098-0.0001221i,1.9794e-05+0.00035776i,7.2709e-05+0.00010248i,-0.00025108+7.7574e-05i,-0.00083671+0.00078181i,-0.00083991+0.00093578i,-0.0011854-0.00016678i,-0.00066418-0.00047427i,0.00043347+0.00074895i,0.00058062+0.00028061i,0.00077592-0.00072804i,0.00097854-0.0005532i,0.00035596+0.00011112i,-0.00029774+0.00023216i,-0.00080045+1.9285e-05i
6.6034e-05-0.0010821i,-0.00067954-0.0013639i,-0.0013526-0.00095582i,-0.0012424-0.00078682i,-0.00092189-0.0014396i,-9.0043e-05-0.0011246i,0.00051301-0.00045269i,0.00029764-2.6833e-06i,0.00079309+0.00032521i,0.0002689+0.00024736i,-0.00021294-0.00062447i,-0.00033069-0.0012727i,-0.0010993-0.0013559i,-0.0008536-0.0006123i,-0.00047474-0.00020182i,-0.00048732-0.00071989i,-0.00010534-0.00053806i,0.00043617+3.008e-05i,0.0004628+0.00058644i,0.00012066+0.00078125i,-0.00062037+0.0005451i,-0.0012474+4.6971e-05i,-0.00093279-0.00055882i
0.00040005-0.00054088i,0.0012549-0.00037386i,0.00063221-0.001046i,-5.2277e-05-0.0013031i,-0.00082899-0.00055026i,-0.001278+0.00096092i,0.00015444+0.0023312i,0.0021375+0.0027292i,0.003153+0.002296i,0.002918+0.00047125i,0.0022977-0.0013681i,0.0012327-0.0019427i,0.00069926-0.0018018i,0.00016937-0.00078747i,-0.00086003-6.5023e-05i,-0.00032484-0.00038528i,0.00053748-0.0011216i,0.00038091-0.00099171i,0.00021244-9.1284e-05i,8.458e-05+0.0001883i,0.00051438-0.00039609i,3.8308e-06-0.00054816i,-0.00059803-0.00016547i
-0.0036989+0.001464i,-0.002884+0.001678i,-0.0012663+0.0027387i,-0.00047162+0.0020886i,-0.00033588+0.00083647i,0.0010123-0.00071951i,0.00059647-0.0023465i,-0.0017464-0.0027356i,-0.0032554-0.0016556i,-0.0035176-0.0001748i,-0.0031547+0.00099517i,-0.0012294+0.0014008i,0.00069775+0.0011859i,0.0011364+0.00043498i,0.00082236-0.00048121i,-0.0001172-0.00059445i,-4.994e-05-0.000424i,0.0001749+0.00031657i,0.0001185+0.00055733i,0.00037792-0.00014419i,0.00056655-0.00042923i,0.001072+5.0053e-05i,0.00096863-0.00020511i
-0.00052716-0.0014539i,-0.00028-0.0016561i,-0.00035834-0.0016922i,-0.00037852-0.0016998i,-0.00042698-0.0015909i,-0.00093389-0.0012721i,-0.0020771-0.00047439i,-0.0028617-0.00020763i,-0.002639-0.0014793i,-0.002506-0.0012742i,-0.0015855+2.5849e-05i,-0.00059469+0.00088243i,-0.00040715+0.0015133i,-0.00032859+0.0012625i,8.2345e-05+0.00072765i,0.00077269+0.00035234i,0.0013203+0.00065723i,0.0011993+0.0010286i,0.00049838+0.00084865i,6.6079e-05+0.00042323i,-0.00040413-9.386e-05i,-0.00019968+0.00016929i,0.00037+0.00036813i
0.00020072+0.0010997i,0.00048385+0.00048307i,0.0012259+9.6898e-05i,0.0021544-0.00058611i,0.0025484-0.00084947i,0.00182-0.0018213i,0.00019701-0.0020605i,-0.00062911-0.0017811i,-0.0015852-0.0015702i,-0.0019869-0.00081087i,-0.0015741-5.3059e-05i,-0.0013514-0.000446i,-0.0013972-0.00052737i,-0.0013273+0.00034296i,-0.00017112+0.00049582i,0.00083477+0.00065305i,0.0007467+0.0010489i,0.00045717+0.00062329i,0.00014505-2.0123e-05i,0.00035375-0.00063928i,0.00044851-0.0011856i,-0.00020316-0.001223i,-0.00062151-0.0011037i
-0.00078932+0.001798i,-0.00054647+0.0021964i,0.00065113+0.0008184i,0.001863+0.00034016i,0.0016907+0.00012795i,0.00052061-0.0012123i,-0.00035756-0.0013512i,-0.0014117-0.00042451i,-0.0015551+2.5013e-05i,-0.0012424+7.2193e-05i,-0.0006692-0.00080622i,-0.00083885-0.0013648i,-0.00095497-0.0006141i,-0.00069098+0.00039862i,-0.00051566+0.00039778i,-0.00031919+0.00042817i,0.00042493+0.0010739i,0.00042978+0.0010446i,0.00070061-0.0003314i,0.00053668-0.00089626i,0.00010802-0.00063818i,-4.1403e-05-0.00092953i,-0.00027305-0.0012652i
0.00051687-0.00085518i,0.00067798-0.00086384i,0.00060849-0.0012861i,0.00097582-0.0018341i,7.2576e-05-0.0017212i,-0.00055674-0.0018904i,-8.008e-05-0.0017746i,-0.0005493-0.00037196i,-0.00069814+8.2528e-05i,-0.00052788-0.00048677i,-0.00050902-0.00014131i,-0.00061025+0.0004336i,-0.00039465+0.00076267i,-0.00018172+0.00033974i,-3.1986e-05+0.00012794i,-8.3604e-05-0.00017293i,0.00015192-6.1889e-05i,0.00027977+0.00037526i,0.00028729+0.0005944i,0.00019216+0.00032751i,0.00037433-0.00031378i,0.00024087-0.00036048i,-0.00026276+0.00011003i
0.0013456-0.0016251i,0.0015383-0.0023898i,0.00012042-0.0022498i,-0.0010148-0.0018433i,-0.00039934-0.0012624i,-0.00027509-0.001297i,-0.00061313-0.0010099i,-0.00063335-0.00054866i,-0.0010726-0.00060878i,-0.0013766-4.0798e-05i,-0.0013457+0.0007531i,-0.0011465+0.00058777i,-0.0014228+0.00030604i,-0.0012621+0.00072169i,-0.00036923+0.00073315i,-0.00022613+0.00028184i,-0.00015561+0.0010034i,0.00022945+0.0011032i,0.00048385+0.00077788i,1.329e-05+0.0013037i,-0.00015441+0.00086824i,-0.00027809-0.00061687i,-0.0006495-0.0011314i
-2.4078e-05+0.00086698i,-7.5111e-05+0.00091682i,-0.00046239+0.0019501i,-0.00015397+0.0021233i,-6.6441e-05+0.00086277i,-0.00056047-0.00010524i,-2.1265e-05-0.00063178i,-0.00013669-0.00089597i,-0.00085867-8.442e-05i,-0.0008477+0.00083985i,-0.00036555+0.001283i,-0.00021095+0.0010694i,0.00027715+0.00047024i,0.00058765+0.00016153i,0.00023422-0.00043483i,0.00066225-0.0010358i,0.00089069-0.00069467i,0.00034143+0.00015597i,-0.00030985+0.0010462i,-0.00056988+0.0010375i,-0.00014269+0.00018743i,-0.00025264-0.00046813i,-0.00051685-0.00046353i
-0.0010246-0.00038575i,-0.0017054-0.00063286i,-0.0015212-0.00065124i,-0.00076106-0.0003468i,-0.00014783-0.00050018i,0.00063576+5.0061e-06i,0.0011723-0.0001175i,0.00068023-0.0007523i,-0.000284+7.5582e-05i,-0.0010112+0.00030532i,-0.00064863-0.00021277i,9.4975e-05+6.7017e-05i,-0.00025434-3.1145e-05i,-0.00027166+0.00012174i,0.0010163+0.00036189i,0.0012679+9.4024e-05i,0.00084618+0.00047307i,0.00085034+0.00089258i,0.00010824+0.00057471i,-0.00075751-9.2521e-05i,-0.00042971-0.00016624i,0.00011928-0.00076687i,-1.4295e-05-0.00097813i
-0.0011247-0.00021965i,-0.00020377-0.00066602i,0.0005013-0.00036293i,0.00057373-3.2742e-05i,0.00033339-0.00057547i,0.0005172-0.0018496i,0.00020957-0.00099491i,-0.00078043-0.00033702i,-0.0015631-0.00047602i,-0.0015513-0.00058362i,-0.0010455-0.00096652i,-0.00026138-0.00094325i,-0.00022201-0.00064278i,4.7869e-05+8.6785e-05i,0.00038625+0.00077813i,0.00013929+0.00079336i,0.00040263+0.00052387i,0.00069591+0.00027131i,0.00067308+0.00085675i,0.00052997+2.4317e-05i,0.00090101-0.0011368i,0.00059335-0.0013935i,0.00019175-0.0010998i
-0.0016001-0.0016268i,-0.0022164-0.0010708i,-0.0021039+6.6359e-05i,-0.0017216+0.0008442i,-0.0011732+0.00090773i,-0.00057822+0.0010299i,-0.00049643+0.00086254i,-0.0007693+0.00058184i,-0.0012983+0.00045801i,-0.0018056+0.0001356i,-0.0015665-0.00013243i,-0.0012769-0.00096788i,-0.00063017-0.00082308i,0.00019453+0.00041551i,-0.00012941+0.0013008i,-0.00032714+0.00094199i,0.00020719+0.00044383i,0.00065717+0.00058071i,0.00040739+0.00035405i,7.0374e-05-0.00013848i,-8.7154e-05-7.7781e-05i,-0.00012296-0.00011056i,0.00044843-0.00073358i
-0.00017241-0.00021565i,0.00032039-0.0011613i,0.00051455-0.0024833i,0.00053164-0.0024117i,-0.00039202-0.0019496i,-0.00033557-0.0019573i,-0.00024782-0.0012403i,-0.0008609-0.00045373i,-0.001312+7.8389e-05i,-0.0015602+0.00058633i,-0.0014007+0.00041114i,-0.0010811+0.00028542i,-0.0012534+0.00034598i,-0.00082438+0.00065601i,0.0001002+0.00085163i,0.00031703+0.00061186i,0.00033134+0.00073712i,0.00050231+0.00086749i,0.00024445+0.00075644i,-0.00019873+0.00015277i,-0.00049934-0.00074426i,-0.00076512-0.00056158i,-0.00025491+3.8575e-05i
-0.00076098+0.00071917i,-0.00071373-0.00026622i,-0.00052365-0.00014398i,-0.00022981+0.00075336i,6.3068e-05+0.0009735i,-4.0929e-05+0.00045705i,-7.57e-05-0.00027498i,-0.00016518-0.00063476i,-0.00080567-0.0010872i,-0.0010591-0.00085267i,-0.00091937-9.667e-05i,-0.0009589+0.00034348i,-0.000971+0.00031543i,-0.0011148-0.0001472i,-0.0013014-0.0003812i,-0.00077862-0.00015042i,0.00061949-3.5778e-05i,0.00097694+0.00047839i,-0.00022304+0.00045331i,-0.00057019-0.00020439i,1.3695e-05-0.0011657i,0.00064302-0.001326i,0.0010135-0.00091404i
-0.00022499-0.0016297i,-0.00076955-0.0020496i,-0.00030737-0.0015726i,-0.00046609-0.00061145i,-0.00093437-0.00041272i,-0.00070785-0.00076014i,-0.00077529-0.0010985i,-0.001176-0.00065962i,-0.0011897+0.00022667i,-0.00064478+0.00073491i,-0.00035413+0.0012644i,3.5454e-05+0.0012442i,0.000386+0.00071314i,0.00054797-0.00070075i,0.00048576-0.0010889i,-0.00025657+1.7067e-05i,-4.3074e-05+0.0010666i,0.00012736+0.0013523i,-8.568e-05+0.00085875i,2.9675e-05+0.00056809i,-1.1742e-05+0.00038647i,-0.00023748+0.00036036i,-0.0004842+0.00055927i
-0.00068291-0.0019026i,-7.3537e-05-0.00073476i,0.00023667-0.00086818i,-0.00040727-0.00067128i,-0.0013539+0.00014921i,-0.00094805+0.00028411i,-0.00041442-0.00041451i,-0.00078723-0.00044316i,-0.0011164-0.00020149i,-0.00076039+2.0859e-05i,-0.00020848+0.00052894i,-1.5065e-07+0.00062409i,-0.0001374-1.2312e-05i,0.00024603-0.00032213i,0.0011518-8.0482e-07i,0.00066291+0.00010781i,-0.00058335+0.00010568i,-0.00097081+0.00041045i,-0.00018759+0.00021281i,-3.9008e-05+0.00025482i,1.2113e-05+0.00024382i,0.00036782-0.0001511i,0.00060342-0.0010365i
-0.0018513+0.00056487i,-0.0010541+0.00043594i,-0.0002755+0.00080556i,0.000187+4.7573e-05i,0.00029248-0.00048876i,0.0007965-0.001059i,0.00040261-0.00067781i,0.00017746+5.8645e-06i,0.00035577-9.9343e-05i,-4.4225e-05+0.00035601i,4.2245e-05+0.00020604i,1.51e-05-0.00066407i,-0.00020542-0.00075597i,-8.685e-05-0.00040684i,0.00038316-0.00052447i,0.00061037-8.9717e-05i,3.4852e-05+0.00099482i,-0.00036703+0.0014652i,-0.00082573+0.0010752i,-0.00088296+0.00035429i,-0.00051293-0.00050132i,-0.00014241-0.00067524i,4.0553e-05-0.00058187i
-4.5505e-05-0.00017905i,-0.0006769-0.0011438i,-0.0014811-0.0012232i,-0.0011442-0.00057555i,-0.00028463+0.00041363i,0.00051993+0.00013871i,5.8691e-05-0.00013514i,-0.00072884-4.6571e-05i,-0.00098345-0.0003736i,-0.0012849-0.00097243i,-0.00054291-0.0013944i,-4.9842e-05-0.0012374i,-0.00076112-0.0001067i,-0.0011061+0.00064976i,-0.00022931+0.00043799i,0.00073773+0.00048559i,0.00065425+0.00056243i,0.00010345+0.00097398i,0.00043726+0.001003i,0.00033868+0.00022706i,-6.3791e-06-0.00062937i,0.00045202-0.00097075i,0.0010118-0.001132i
-0.0012546+0.0017792i,-0.00020537+0.00080498i,0.00074593+0.0017709i,0.00092583+0.0016342i,0.00090412+8.0435e-05i,0.0012731-0.0012371i,0.00037485-0.0013698i,-0.0017568-0.00029695i,-0.0018535+0.0004347i,-0.00087381+0.00066869i,-0.00059411+0.00026266i,-0.00087652-0.00087738i,-0.0010992-0.0013292i,-0.00046936-0.00016744i,0.00013752+0.0011266i,-8.5273e-05+0.0012613i,-0.0001008+0.00053108i,0.0006854-0.00014456i,0.0011327-0.0010146i,0.0011235-0.0013661i,0.0012198-0.00026745i,0.0011411+1.7707e-05i,0.00062853-0.00031296i
-0.00047064-0.0016054i,-0.00076937-0.00083092i,-0.00061102-3.5779e-05i,-0.00078704-0.00048821i,-0.00040243-0.00067057i,0.00037161-5.7235e-05i,0.00038237-0.00032584i,-7.8298e-05-8.8361e-05i,-0.00053475+0.00020431i,-0.00068904+0.00024372i,-0.00057425+0.00029637i,-0.0010154+0.00015037i,-0.0016465+0.00054948i,-0.0013174+0.0017757i,-0.00040358+0.0013093i,0.0003657+0.0004198i,0.00014832+0.00092779i,1.0821e-06+0.0013787i,0.00048091+0.00090594i,0.00088512+0.00027642i,0.00054523+0.00011182i,-8.0532e-05-0.00071851i,-0.00024112-0.00090307i
-0.00052106+0.0010551i,-0.00074245+0.0002667i,-0.0016642+0.00043671i,-0.0017661+0.0010586i,-0.00071468-0.00015891i,0.00032784-0.0013675i,-0.00036363-0.00086527i,-0.0016381-5.6856e-05i,-0.0014539+0.00022264i,-0.00065945+0.000462i,-0.0002931+0.00032655i,-0.00011073+0.00034362i,-0.00062671+0.00076407i,-0.00069794+0.00095172i,0.00084248-5.1189e-05i,0.0014519-0.00026237i,0.00034427+0.00036142i,-0.00035159-0.0002396i,-0.00043087-0.00049413i,0.00019985-0.00014242i,-0.0001414-0.00015193i,-0.00056681-0.00039443i,8.2787e-05-0.00062575i
0.0012972-1.8031e-05i,0.0010902-0.00092782i,0.0017144-0.001834i,0.0014931-0.0022336i,0.00033272-0.0013941i,-0.00045634-0.00056061i,-9.314e-05-0.00035313i,-0.00070656-0.00037476i,-0.0014696-0.00055522i,-0.0010656-0.00037622i,-0.00063912-0.00016333i,-0.00078131-0.00044715i,-0.0015709-0.00047131i,-0.0016617-0.00065888i,-0.00098272-0.00051543i,-0.00066063+0.00036891i,-0.00097206+0.0010163i,-0.0012544+0.0010292i,-0.00072574+0.00095299i,-0.00060712-0.00023837i,-3.156e-05-0.0016381i,0.00037024-0.0010847i,-8.789e-05-0.00058056i
0.0014863-0.0013178i,0.0012966-0.0013251i,0.0017917-0.0014507i,0.002199-0.0022309i,0.0010934-0.0024974i,0.00010633-0.0013611i,2.5039e-05-0.00068237i,-0.00088596-0.00010368i,-0.0010164-0.00031123i,-0.00021528-0.00103i,2.2672e-05-0.00055782i,-0.00021404-0.00024019i,-0.0011924-0.0011631i,-0.0015186-0.0013809i,-0.00090032-0.00058671i,-9.9394e-05-3.2921e-05i,0.00042935+0.00052191i,0.0005265+0.00097391i,8.7461e-05+0.00076898i,0.00039629-2.2089e-05i,0.00022151-0.00097446i,-0.00013859-0.00090803i,-0.00036063-0.00027295i
0.00025937-0.0011931i,-6.1734e-05-0.00059759i,0.0003579-0.00030681i,-5.4563e-05-0.00012573i,-0.0011471+0.00022818i,-0.0011206+9.6894e-05i,-0.00074077-0.00062621i,-0.00060236-0.00086939i,-0.0009214-0.00029847i,-0.00061303+0.0001037i,7.664e-06-0.00025515i,-0.00034975-0.0012241i,-1.5483e-05-0.001549i,0.00081821-0.00083121i,0.0011487-0.00073088i,0.0013172-0.00033539i,0.00048626+0.00014461i,-0.00055493-0.00027709i,-0.00053675-0.00037954i,0.00023168+0.00012552i,-8.9582e-05-0.00024719i,-0.00040888-0.0010002i,0.00027231-0.00045208i
